-0.027651-0.041985i,-0.021136-0.022151i,-0.012448-0.037226i,-0.029819-0.021346i,-0.024221-0.0014984i,-0.013163-0.0037087i,-0.052263-0.053101i,-0.046928-0.016234i,-0.038143-0.01194i,0.011475+0.012854i,-0.0089431+0.0053513i,-0.019637+0.01928i,0.0024683+0.011944i,-0.0043844-0.0020468i,0.00092663+0.00097495i,-0.00039841+0.02875i,0.025528+0.023564i,0.0027565-0.0019434i,-0.0027863-0.0069689i,0.0078742+0.0031218i,0.002374+0.00050616i,0.00018109+0.0039876i,-0.0004232+7.9332e-05i,-0.032211-0.0090049i,-0.00023506-0.0089548i,0.0013911+0.0023139i,0.0064734+0.00048773i,0.0022525+0.00020815i,0.0012714-0.00033366i,-0.00042923-0.0027292i,0.0015855-0.0021455i,-0.002305-0.0061304i,-0.00070256-0.0047102i,0.0032421-0.00049917i,0.0049969-0.0033493i,0.001185+0.029522i,0.0042718-0.0035277i,0.0032595-0.0014883i,0.0082224-0.00087503i,-0.0072511-0.0023741i,-0.00050687+0.00080913i,0.0089241+0.00097153i,0.0049959-0.0019679i,-0.0030779+0.0086504i,-0.016866-0.0095884i,-0.018049+0.015669i,-0.0010682-0.062661i,-0.0044429-0.026886i,-0.025779-0.033559i,-0.010457-0.026917i,0.051452-0.024609i,0.016395-0.043868i,0.024706-0.046938i,0.0071649-0.05435i,0.028098-0.0204i,0.0086046+0.0060892i,0.026308-0.03327i,-0.008365-0.006084i,0.0030812-0.0041757i,-0.0048712-0.00707i,-0.0014109-0.032598i,-0.020002+0.028678i,0.0091551-0.012146i,-0.0096717-0.0038196i,-0.0041394-0.0017516i,0.00019348-0.012877i,-0.01085+0.004146i,0.0026263+0.010623i,-0.0054353+0.027121i,0.0049753+0.0025646i,-0.0055443-0.0018979i,-0.0020898-0.0021504i,-0.013627-0.0082573i,-0.00024284-0.0043223i,-0.030417+0.0045049i,0.0012227-0.011229i,-0.0088928+0.00028493i,-0.0072266-0.0021364i,0.0052892+0.0013431i,-0.0078687-0.00074194i,0.0023023-2.6593e-05i,0.0043865+0.0075049i,0.0043419+0.00054651i,-0.0079589-0.012522i,0.002626+0.0097923i,-0.014344+0.0056601i,0.007224+0.00039597i,-0.022771-0.0013786i,-0.018295+0.0062156i,-0.0069885-0.067801i,0.0080341-0.012615i,-0.047854-0.025414i,-0.019894-0.00080417i,0.016512+0.012558i,-0.024116+0.014704i,-0.020074-0.0059861i
0.022504+0.040901i,0.014558+0.017658i,0.017327+0.025748i,0.0069612+0.020104i,0.0099801+0.006637i,0.0052642-0.0016493i,0.020405+0.010883i,0.016423-0.0033324i,0.0088218-0.0070438i,0.0025789+0.0043029i,0.0019768-0.0029272i,0.0010383-0.0050005i,-0.0023798+0.00050579i,0.00060489-0.0010266i,0.0021529-0.00040635i,0.0045064-0.0019452i,0.0058621-0.0034294i,-0.00023407+0.00016176i,-0.0044751+0.00023798i,9.8444e-05+0.00081575i,-0.00043701-0.00080641i,-0.0023986-0.00080817i,-0.0016883+0.0009601i,0.0019638+0.0097171i,-0.0012579+0.0013093i,0.00079636+0.0019119i,0.00095978+0.00066887i,-0.0018189+0.0025415i,-0.00072907+0.00033579i,-0.0015151+0.00029329i,-0.0015102-0.0016858i,-0.0039603-0.0003028i,-0.00033672+0.00012414i,0.00028282+0.00029792i,-0.0002047-0.00089621i,-0.0080047+0.0074784i,0.0016226-0.00038625i,0.00064918+0.0014003i,0.0025481+0.0024099i,-1.1728e-05-0.00074886i,-0.00062657-0.000665i,-0.0028873-0.001627i,0.000734+0.00091197i,-0.00058539+0.001501i,0.018528+0.017828i,-0.025985+0.01472i,-0.015077+0.016532i,-0.023113+0.011181i,-0.0043271+0.038537i,-0.024849+0.020588i,0.0006054-0.00061858i,-0.01156-0.015602i,-0.020066-0.0019299i,-0.0093136+0.012784i,0.018305+0.021041i,-0.00058976+0.0024537i,-0.0040282+0.00091341i,-0.011938-0.0047243i,0.011176+0.00095614i,0.011285+0.0092229i,-0.0012341+0.005564i,-0.0055224-0.008908i,0.0068352-0.0022904i,-0.0034487-0.0037845i,0.0039042-0.0084201i,0.0086227-0.0029878i,-0.0016159+0.01058i,0.012273-0.0056432i,0.0044002-0.0086003i,0.0030916-0.0093913i,0.0023175+0.00054301i,-0.0024199-0.0058402i,-0.0040323-0.0013024i,0.0025703+2.1861e-05i,-0.0072959+0.032763i,-0.0076779-0.0041857i,0.00017658+0.0010914i,-0.0013263-0.0073418i,0.0035561-0.00036379i,-0.016763-0.0076089i,-0.0014544-0.0041949i,0.0027015-0.0027039i,0.003316-0.0016122i,-0.0024376-0.0075717i,9.0112e-05+0.0074878i,0.00047624+0.0033158i,-0.0039118+0.0041893i,-0.0079747+0.003118i,-0.006594-0.001328i,-0.0085916+0.02856i,-0.0023166+0.015037i,-0.027213-0.011444i,-0.0025387-0.0025869i,0.013876+0.018912i,0.00025083+0.018875i,-0.00042293-0.0047621i
0.029171+0.035159i,0.017528+0.013668i,0.021565+0.022622i,0.010436+0.019556i,0.011749+0.0052467i,0.0053283-0.0029552i,0.020505+0.0066046i,0.015553-0.0061807i,0.0070133-0.0089598i,0.0037249+0.003029i,0.0016036-0.0029921i,-0.00092097-0.0036137i,-0.0028235+0.0018971i,0.00037759-2.3745e-05i,0.0020197-0.00081482i,0.0035582-0.0022388i,0.0048556-0.0043778i,0.00017992+0.00019405i,-0.0039522+0.00052146i,0.00045664+0.00010795i,-0.00055029-0.0010375i,-0.0024208-0.00039117i,-0.0013406+0.0011047i,0.0072239+0.0087321i,-0.0012602+0.0026008i,0.001737+0.0014585i,0.00087551-9.5334e-05i,-0.00062253+0.0028952i,-0.0010541+0.00080489i,-0.0013779+0.0010251i,-0.0022222-0.00093841i,-0.0025677+0.00060002i,-0.00045147+1.8542e-06i,0.00048744-1.5574e-05i,-0.00078557-0.00021862i,-0.0044833+0.009026i,0.001087-0.00088065i,0.0010953+0.0013389i,0.002211+0.0012489i,-2.0259e-06-0.00061602i,-0.00096362-0.00092258i,-0.0025595-0.0039979i,0.00053963+0.0010327i,-0.00098597+0.0018059i,0.022414+0.014746i,-0.020855+0.018291i,-0.01416+0.020248i,-0.018182+0.012979i,0.0072948+0.034708i,-0.013799+0.019079i,-0.0053681-0.0032427i,-0.019169-0.016264i,-0.021622-0.0015579i,-0.0025229+0.0093156i,0.020309+0.013991i,-0.00093548+0.002466i,-0.0028641+0.0048346i,-0.012153-0.00043042i,0.0096356-0.0033085i,0.013074+0.0064611i,0.0021772+0.0084804i,-0.010164-0.0075983i,0.0030344-0.0045284i,-0.0035128-0.0017053i,-0.0012902-0.0078716i,0.0066878-0.0057646i,0.0032358+0.0087195i,0.0074888-0.0086999i,-0.00080635-0.0090975i,-0.00094553-0.0065687i,0.0036722-0.00027102i,-0.0040736-0.0048315i,-0.0020429+0.0011725i,0.0033497-0.00038611i,0.0088347+0.030262i,-0.010075-0.001362i,0.00098435+0.00038513i,-0.0042109-0.0056164i,0.0039938-0.0017983i,-0.018456+0.00010778i,-0.0023523-0.0031408i,0.001341-0.0026118i,0.0032815-0.0031977i,-0.0038485-0.0056174i,0.0021437+0.0036803i,0.0017234+0.0023929i,-0.0012712+0.0056946i,-0.0054174+0.0054804i,-0.0073353-0.00020459i,-0.0025344+0.025225i,0.00053487+0.016188i,-0.029579-0.0047707i,-0.0042052-0.0058565i,0.016542+0.01635i,0.0039216+0.019712i,-0.0029538-0.0052634i
0.03406+0.028508i,0.018644+0.0086227i,0.026256+0.017186i,0.01531+0.016824i,0.013738+0.0032986i,0.0050033-0.0045339i,0.019873+0.0022664i,0.014182-0.0092875i,0.0049288-0.0097412i,0.0038165+0.0017007i,0.00075435-0.0034595i,-0.0012664-0.001908i,-0.001206+0.0020569i,0.0011741+0.00019043i,0.001808-0.0012276i,0.002735-0.0024234i,0.0036971-0.0055417i,0.00017496-0.0001977i,-0.0028521+0.001849i,0.00019858-0.00064538i,-0.0012384-0.0014299i,-0.002275+7.2119e-05i,-0.0010559+0.0012015i,0.010407+0.0039576i,4.7718e-05+0.0033672i,0.0019457+0.00066366i,0.00035788-0.00049368i,0.00051316+0.0026094i,-0.00075472+0.0014591i,-0.00099045+0.0016083i,-0.0025599+0.00027265i,-0.0022726+0.001749i,-0.00051424+8.3159e-05i,0.00050389-0.00030454i,-0.00071347+0.00055201i,-0.0014138+0.0089623i,0.00060308-0.00085087i,0.0016321+0.00076216i,0.0019228+0.00076649i,-0.00019008-0.00058403i,-0.0014867-0.00085346i,0.00052522-0.0039679i,0.00072169+0.0013419i,-0.00086604+0.0025807i,0.02655+0.010115i,-0.015877+0.020669i,-0.01045+0.024341i,-0.012504+0.012562i,0.017767+0.027196i,-0.0069802+0.019173i,-0.011577-0.0019109i,-0.025462-0.01321i,-0.016997+0.0028272i,0.0014459+0.0033965i,0.020853+0.0079069i,-0.0012092+0.0025386i,-0.0011047+0.0049855i,-0.011973+0.0026718i,0.005763-0.0074094i,0.013997+0.0025084i,0.0062341+0.0083651i,-0.013861-0.0042323i,0.00075184-0.0033698i,-0.0032271+2.378e-05i,-0.0038957-0.005271i,0.0042401-0.0069482i,0.0060497+0.0075755i,0.0043388-0.0090737i,-0.0062837-0.0052314i,-0.0014197-0.0036344i,0.0040988-0.0025701i,-0.0066951-0.0020559i,-0.00010865+0.0010345i,0.002699-0.0018431i,0.02068+0.021261i,-0.010411+0.0020202i,0.0014198-0.00023792i,-0.0037777-0.0038037i,0.0040643-0.0040503i,-0.014918+0.0080312i,-0.0024682-0.0017984i,0.00036079-0.0025347i,0.0016788-0.0039504i,-0.004507-0.0037999i,0.0012807+0.0026599i,0.0022226+0.0012711i,0.0012197+0.0056877i,-0.0029603+0.0057803i,-0.0078721+0.0018553i,0.00034565+0.02092i,0.0076497+0.015534i,-0.028825+0.00049761i,-0.0065843-0.0080698i,0.019699+0.01127i,0.0091367+0.019879i,-0.005295-0.0044608i
0.037204+0.021522i,0.017816+0.0048526i,0.028139+0.010247i,0.018496+0.011662i,0.01508+0.00025599i,0.0038859-0.0059464i,0.018316-0.001096i,0.011783-0.011837i,0.0034408-0.010446i,0.0034463+0.0010339i,-0.00032515-0.0025558i,-0.00075988-0.0010851i,-0.00088619+0.0020361i,0.0014333+4.5468e-05i,0.0013168-0.001569i,0.0018626-0.0022242i,0.0017157-0.0059192i,0.0001345-0.00022388i,-0.0012906+0.0026721i,-0.00044559-0.00088702i,-0.0019043-0.00078521i,-0.002272+0.00056938i,-0.00079333+0.0013032i,0.0096336-0.000954i,0.0014717+0.003262i,0.0016171+0.00037998i,-7.7685e-05-0.00032504i,0.0011523+0.0019144i,-0.00018437+0.0014791i,-0.00031558+0.0019208i,-0.0022414+0.0015783i,-0.0009099+0.0021773i,-0.00044477+0.00013113i,0.00023219-0.00034426i,-0.00032265+0.00096746i,0.00097585+0.008512i,0.00034536-0.00079811i,0.0015774-0.00014249i,0.0017003+0.00076064i,-0.00051376-0.00045469i,-0.0018295-0.00037441i,-0.0009703-0.0044555i,0.0012181+0.0015488i,-0.00035775+0.0034799i,0.029164+0.003224i,-0.010198+0.022331i,-0.0050506+0.026832i,-0.010271+0.0098638i,0.025332+0.015549i,-0.0002385+0.015458i,-0.01664+0.0028192i,-0.031522-0.0070898i,-0.027603+0.0209i,0.0017236-0.0030269i,0.021124+0.00048221i,-0.0013177+0.0032997i,-6.9467e-05+0.0066456i,-0.01107+0.0062046i,-0.00033188-0.0074241i,0.013913-0.0021612i,0.0099495+0.0062422i,-0.01646+0.00074424i,-0.00042758-0.0026364i,-0.0022464+0.0012797i,-0.0049427-0.001826i,0.0022309-0.0075386i,0.008726+0.0039253i,0.0017731-0.0094037i,-0.0064122+0.00087676i,-0.00067328-0.0021992i,0.002551-0.0047368i,-0.0068598+0.0010115i,0.00097008+0.00065866i,0.001873-0.002553i,0.027401+0.0098897i,-0.0086508+0.0058484i,0.001603-0.0012568i,-0.0039597-0.0025979i,0.0020086-0.0065041i,-0.0084798+0.010926i,-0.0019994-0.0011234i,-0.0002869-0.0017598i,0.00041624-0.0038454i,-0.004689-0.0028261i,0.00139+0.0026243i,0.0018146+0.00016164i,0.0039457+0.0055473i,-0.00093254+0.0046196i,-0.0079121+0.0039976i,0.001892+0.019164i,0.016134+0.0084984i,-0.025951+0.0052767i,-0.011683-0.0088301i,0.018973+0.0057356i,0.014485+0.017459i,-0.0055841-0.0034251i
0.039541+0.014658i,0.017596+0.0025613i,0.028274+0.0044773i,0.019795+0.0061859i,0.015366-0.0030343i,0.0026145-0.0068838i,0.01663-0.003289i,0.0091211-0.013518i,0.001984-0.011131i,0.0033337+0.00039182i,-0.00013555-0.0020799i,-0.00031635-0.001002i,-0.00061864+0.0024363i,0.0014956-0.00036213i,0.00080986-0.0015939i,0.0015806-0.0016005i,0.00042435-0.0056352i,-6.1177e-06-0.00013439i,-0.00024149+0.0023124i,-0.0010609-0.00069702i,-0.002152-0.00014504i,-0.0018701+0.0013108i,-0.00049965+0.0014318i,0.0078676-0.0036284i,0.0025006+0.0026703i,0.0012536-3.6729e-05i,-0.00033022-7.7246e-05i,0.0014405+0.0013267i,0.00018013+0.0014724i,0.00056454+0.0019244i,-0.0012628+0.0024533i,-0.00052305+0.0019638i,-0.00072188+0.00015843i,0.00016455-7.9758e-05i,0.000273+0.0011372i,0.0029828+0.0071261i,-5.3438e-05-0.00070318i,0.0010811-0.00067453i,0.0018262+0.00055327i,-0.00053113-0.00012409i,-0.0019114-6.1269e-05i,-0.0010295-0.0081478i,0.0016077+0.0012527i,0.00032706+0.0034291i,0.028889-0.0039022i,-0.0037975+0.02213i,0.001606+0.027805i,-0.0095184+0.0092651i,0.026384+0.0027625i,0.0024382+0.010197i,-0.017911+0.0105i,-0.033831+0.0025122i,-0.026245+0.021307i,-0.0018297-0.0077717i,0.016807-0.0053682i,-0.00054924+0.0041394i,0.0037198+0.0067006i,-0.0089402+0.0093003i,-0.0035027-0.0040403i,0.011414-0.0080675i,0.012567+0.0025276i,-0.017887+0.008913i,-0.00085107-0.00088636i,-0.0010391+0.0018612i,-0.0031584+0.00039607i,-0.0007912-0.0073537i,0.0087323+0.0004203i,-0.0010563-0.0089613i,-0.0031175+0.0042321i,0.00019035-0.0022081i,0.00028248-0.0056803i,-0.0048234+0.0029639i,0.0022747-0.00029639i,0.0012717-0.0025998i,0.027916-0.0050095i,-0.004753+0.0081308i,0.0010036-0.0021724i,-0.0034709-0.0020505i,-0.00099094-0.0070524i,-0.0040494+0.010524i,-0.002335-0.0010591i,-0.00017578-0.00044336i,0.00010465-0.0031834i,-0.0050758-4.1396e-05i,0.0019277+0.0027408i,0.00088906-0.00036532i,0.0052481+0.0032473i,-0.00086954+0.0028186i,-0.0067054+0.0063908i,0.0042199+0.018387i,0.018027-0.0043578i,-0.02168+0.0058771i,-0.016475-0.0065873i,0.01805+0.0015233i,0.018031+0.011763i,-0.0062941-0.0035152i
0.040911+0.0072884i,0.017702-0.00021784i,0.028374-0.0011154i,0.020032+0.00060925i,0.015248-0.0062097i,0.0011835-0.007602i,0.015765-0.0048879i,0.0064855-0.014636i,0.00033983-0.011982i,0.0027911-0.0001757i,-0.00019599-0.0021395i,-0.00013474-0.0010041i,0.00017461+0.0029488i,0.0014127-0.00060108i,0.00052778-0.0015488i,0.0020062-0.0011136i,-0.00044954-0.0057943i,0.00014064-0.00012509i,0.00034757+0.0017855i,-0.0013786-0.00023532i,-0.0017995+0.00051144i,-0.0010512+0.0015861i,-0.00014681+0.0014854i,0.0066707-0.005253i,0.0035401+0.0016429i,0.0010145-0.0005304i,-0.00033656+0.00012738i,0.001554+0.00085941i,0.00063914+0.0013869i,0.0012192+0.0013962i,-3.8791e-06+0.0028044i,8.658e-05+0.0023998i,-0.00062621+0.00068191i,0.00032591-6.3473e-05i,0.00070661+0.00086584i,0.0041216+0.0050736i,-0.00026793-0.00041669i,0.00067138-0.0007123i,0.0016713+9.2539e-05i,-0.00029725+7.6963e-05i,-0.0020901+0.00049752i,-0.0086227-0.00067355i,0.0019274+0.00099556i,0.00077045+0.0037669i,0.026997-0.010458i,0.0016895+0.019999i,0.0086773+0.025772i,-0.0085097+0.0097104i,0.023202-0.0077623i,0.0023392+0.0066367i,-0.014435+0.017986i,-0.030661+0.012799i,-0.019531+0.028127i,-0.0068965-0.0079338i,0.01185-0.0073385i,0.00074809+0.0043807i,0.0061445+0.004272i,-0.0057432+0.011868i,-0.0044129-0.0013606i,0.0054283-0.012938i,0.012608-0.002817i,-0.011042+0.015659i,-8.0659e-05+0.00027751i,0.00013142+0.0016258i,-0.0015993+0.0008301i,-0.0027111-0.0054501i,0.0071606-0.0019212i,-0.0028636-0.0076397i,0.00053821+0.0043133i,0.00040076-0.0033949i,-0.001848-0.0050564i,-0.0031419+0.0035753i,0.0021321-0.0021889i,0.00098092-0.0028559i,0.017058-0.017654i,-0.00047718+0.0082838i,3.7135e-05-0.0021873i,-0.0037925-0.001112i,-0.0039262-0.0060108i,-0.00096328+0.0099694i,-0.0011168+0.00028139i,0.0011104-0.00031307i,-0.00072277-0.0036276i,-0.0024597+0.0016804i,0.0040676+0.00063102i,0.00018655+0.00020294i,0.00057017-0.003007i,-0.0020337+0.001999i,-0.0043429+0.0077722i,0.0071177+0.016971i,0.011718-0.014378i,-0.020032+0.0029571i,-0.020629-0.0018021i,0.015202-0.0036846i,0.018257+0.0061288i,-0.0072312-0.0027475i
0.040713-0.00024567i,0.016999-0.0033373i,0.026254-0.0079607i,0.018056-0.005657i,0.014553-0.0097755i,-0.00057141-0.0078728i,0.015343-0.0067594i,0.0037067-0.015636i,-0.0017238-0.012389i,0.0022935+9.0897e-05i,-0.00097495-0.0020777i,-0.000303-0.0016008i,0.0010445+0.0029269i,0.0012211-0.00096796i,0.00023196-0.0014934i,0.0025641-0.0013536i,-0.0020021-0.0058944i,-0.00010742-0.00030964i,0.00076705+0.0011722i,-0.00163+0.00027824i,-0.001679+0.00068936i,-0.00028854+0.0012831i,0.00017048+0.0014195i,0.0049456+0.004888i,0.0039064-0.00027451i,0.00056536-0.00089588i,-0.00057932+0.00035633i,0.0015315+0.00049908i,0.0011875+0.00099002i,0.0015323+0.00072031i,0.0012383+0.0025291i,0.00089331+0.0027254i,-0.0006358+0.001052i,0.00040776-0.00013305i,0.00083402+0.00043494i,0.0046542+0.0033806i,-0.00045969-0.00015517i,0.00024065-0.00077297i,0.001789-0.00024639i,2.136e-05+8.8811e-05i,-0.0019867+0.0013242i,-0.0048774-0.00036337i,0.0022163+0.00054038i,0.0017463+0.0042685i,0.023767-0.016282i,0.0059784+0.016644i,0.013905+0.02137i,-0.0060775+0.010803i,0.017636-0.015352i,0.0013777+0.0049626i,-0.0081488+0.022158i,-0.022975+0.019322i,-0.0090421+0.031387i,-0.010661-0.004717i,0.0080311-0.0076713i,0.0017798+0.0038975i,0.006266+0.00098989i,-0.0014391+0.012631i,-0.0049416+0.0009093i,-0.0033338-0.012828i,0.0097418-0.0071213i,-0.0057134+0.015878i,0.0013343-0.00014845i,0.00062679+0.001098i,-0.0010997+0.00027844i,-0.003007-0.0035921i,0.0057317-0.0027893i,-0.0038254-0.0069248i,0.0021609+0.002739i,-0.00065342-0.0051327i,-0.0034022-0.003726i,-0.0011634+0.0041163i,0.00065681-0.0034561i,0.00043313-0.0035732i,0.012929-0.0084886i,0.0025736+0.006393i,-0.00041576-0.0021043i,-0.0031738-0.00082957i,-0.0055883-0.0041953i,0.0013744+0.00904i,-0.00029881-0.0006996i,0.0017157-0.0010453i,-0.0021288-0.0023947i,-0.0010154+0.00090892i,0.0028142+0.00077077i,0.00028968+0.0011669i,0.0053214-0.0026714i,-0.0032362+0.0024525i,-0.002308+0.0077139i,0.010321+0.015644i,0.0030254-0.020056i,-0.023577+0.00090441i,-0.021422+0.0050555i,0.0090725-0.0063406i,0.017739+0.0011145i,-0.0068419-0.0024889i
0.039109-0.0074079i,0.016473-0.0055792i,0.021978-0.012605i,0.013465-0.010049i,0.012682-0.013299i,-0.0021448-0.0075925i,0.015005-0.0088754i,0.00068769-0.015931i,-0.0035873-0.012631i,0.0026882+0.00057972i,-0.0015346-0.0011321i,-0.0012216-0.001638i,0.0018603+0.0026866i,0.00078701-0.0011436i,-2.9332e-05-0.0013648i,0.0027617-0.0018781i,-0.0042145-0.005172i,-0.00027743-0.00016587i,0.00088188+0.00056871i,-0.0015496+0.0010393i,-0.0015302+0.0011465i,-0.00027733+0.0007251i,0.00047899+0.0013517i,-0.0029558-0.00040543i,0.0029873-0.0017499i,0.00010771-0.00090926i,-0.00043368+0.00074594i,0.001481+0.00025878i,0.0012567+0.00034137i,0.0015392+0.00015951i,0.0022114+0.0017059i,0.0018653+0.0025166i,1.1798e-05+0.0016554i,0.00036959-0.00012255i,0.00077512+0.00052609i,0.0047854+0.0020965i,-0.00050165+0.00027296i,-7.8385e-05-0.00057219i,0.0019206-0.00076206i,0.00028322+2.7336e-05i,-0.0013242+0.0020581i,-0.003924+0.0004587i,0.0023141+2.7199e-06i,0.0030775+0.0038114i,0.019204-0.020945i,0.009023+0.012423i,0.016651+0.016796i,-0.0026699+0.010496i,0.011387-0.01961i,0.00051547+0.0049274i,-0.001417+0.023399i,-0.015043+0.021149i,0.0023121+0.03045i,-0.011481+0.00018359i,0.0061115-0.0073032i,0.0027838+0.0031877i,0.0049966-0.0011764i,0.0033061+0.011619i,-0.0041496+0.0038717i,-0.009705-0.0074047i,0.0057746-0.0090144i,-0.0022544+0.015598i,0.0014016-0.0017842i,0.0010468+0.00068459i,-0.0012586+0.00029431i,-0.0025384-0.0023192i,0.0046095-0.0035321i,-0.0051366-0.0062029i,0.0028225+0.0010207i,-0.0040117-0.0054398i,-0.0041099-0.0019484i,0.0010995+0.0029027i,-0.00031476-0.0037957i,-0.00070579-0.0040772i,0.0070071-0.017013i,0.0040508+0.0043742i,-0.00095536-0.0021841i,-0.0039594-0.00047769i,-0.0062456-0.0016564i,0.0029052+0.0079832i,-0.00092023-0.0019493i,0.0020757-0.002125i,-0.00062993+0.00018901i,-0.00041426+0.00021094i,0.003309+0.00022833i,0.0010734+0.0015133i,0.0038821-0.0029719i,-0.0038186+0.0039171i,-0.00056557+0.0070152i,0.014551+0.013896i,-0.0078673-0.022091i,-0.027663+0.0028627i,-0.017989+0.010964i,0.004457-0.0044811i,0.014223-0.0039579i,-0.0069025-0.0037172i
0.036439-0.014037i,0.016092-0.0087147i,0.01817-0.015225i,0.0089914-0.01137i,0.010015-0.016274i,-0.0033635-0.0070759i,0.014868-0.01167i,-0.0021336-0.015698i,-0.0058097-0.012581i,0.0034912+0.00024929i,-0.0010611-0.00028753i,-0.0018334-0.00076349i,0.0026938+0.0020629i,0.00037154-0.0011042i,-0.00014062-0.0012386i,0.0028409-0.0023156i,-0.0057124-0.0034035i,-7.5525e-05-0.00023658i,0.00067806+4.1606e-05i,-0.0010445+0.0014896i,-0.0011409+0.0014467i,-0.00041513+0.00063101i,0.00086496+0.0012147i,-0.0034445-0.00013233i,0.0019685-0.0024229i,-0.00020844-0.00076563i,-7.2789e-05+0.00079851i,0.0015088-0.00013388i,0.00098743+0.00025668i,0.0014507-0.00037091i,0.0027876+0.00063752i,0.002575+0.0018742i,0.00098883+0.0015679i,0.00053683-8.549e-05i,0.0011684+0.00072818i,0.0050096+0.00053106i,-6.8464e-05+0.00078847i,-0.00018182-0.00036986i,0.0015225-0.0014404i,0.00062943-0.00018512i,-0.00052246+0.0022256i,-0.0029736+0.0056291i,0.0022852-0.00056091i,0.0035577+0.0032599i,0.013975-0.023939i,0.0098284+0.0077909i,0.018364+0.012514i,-0.00011073+0.0088923i,0.0049909-0.022i,0.00077404+0.0067204i,0.0049641+0.022792i,-0.0080388+0.021061i,0.011003+0.026i,-0.0090049+0.0046311i,0.0044112-0.0078905i,0.0036837+0.0017819i,0.0041719-0.002593i,0.0071691+0.0083721i,-0.0016254+0.0050857i,-0.011626-0.0010026i,0.002089-0.009499i,0.0013375+0.014383i,0.0010203-0.0027173i,0.00060052+0.00016008i,-0.0012878+0.00077538i,-0.0022443-0.001741i,0.0035159-0.0033194i,-0.0063839-0.004641i,0.0023383-0.00021851i,-0.0066653-0.0027114i,-0.0035804-0.00031102i,0.0017028+0.00098972i,-0.0012688-0.0040328i,-0.0021559-0.0037342i,-0.00027213-0.016381i,0.0051422+0.0020565i,-0.0017743-0.0019828i,-0.0040336+0.0011002i,-0.0055163+0.00087325i,0.0045129+0.0069948i,-0.002688-0.0023715i,0.0017028-0.003584i,-0.0019772-0.0038044i,-0.0004813-0.0010018i,0.0037045-0.00036719i,0.0016495+0.001316i,0.0022815-0.0024936i,-0.0036079+0.0057006i,0.00044105+0.0059729i,0.019413+0.010121i,-0.018443-0.018453i,-0.030777+0.0067409i,-0.013056+0.012692i,0.0030201-0.0027107i,0.0090427-0.0055124i,-0.0094322-0.0042379i
0.032338-0.019905i,0.014773-0.012488i,0.014756-0.017456i,0.0057282-0.011528i,0.0065944-0.018656i,-0.0044789-0.0065i,0.014028-0.015796i,-0.0048368-0.01504i,-0.0083719-0.011928i,0.0041175-0.00044225i,-0.00039493-0.00017852i,-0.0019221+0.00031405i,0.0031238+0.001065i,0.00019643-0.00077425i,-0.00026217-0.0012386i,0.0026412-0.0030529i,-0.0062506-0.0013964i,-0.00010659-0.00048324i,0.00046133-0.00017184i,-0.00047195+0.0016397i,-0.00082606+0.0017698i,-0.00047217+0.0007525i,0.001146+0.00086293i,-0.0030245+0.0015176i,0.00099327-0.0027256i,-0.0005209-0.00055795i,0.00018426+0.00060375i,0.0011861-0.00055197i,0.0010923+0.00020841i,0.0010805-0.0009055i,0.002969-0.00054484i,0.0032266+0.0010571i,0.0015382+0.001182i,0.00063691-0.00046316i,0.0019006+0.00050719i,0.004647-0.0010032i,0.00091956+0.0011704i,-0.00021566-0.00012853i,0.00072038-0.0017238i,0.00087363-0.00058908i,0.00010711+0.0023887i,0.00071917+0.0041698i,0.0020147-0.0012537i,0.0042531+0.0031101i,0.0087013-0.025692i,0.008758+0.0047738i,0.019177+0.0087252i,0.0014149+0.0081452i,-0.0014105-0.023363i,0.003785+0.0087145i,0.01071+0.02004i,-0.0010818+0.019144i,0.0174+0.019766i,-0.004313+0.0071487i,0.0025221-0.0083123i,0.0035575-0.00069806i,0.0031652-0.0042903i,0.0082862+0.0040382i,-0.00012513+0.0044639i,-0.011075+0.0054289i,-0.0015682-0.0087578i,0.0039495+0.011784i,-0.0047465-0.0036617i,-0.00011554+0.00049618i,-0.00099492+0.0013784i,-0.0017125-0.0015489i,0.0036566-0.0020924i,-0.0064744-0.0017451i,0.0021159+2.4365e-05i,-0.0068376+0.0005203i,-0.0026334+0.00035508i,0.0013458-0.00012381i,-0.0033487-0.0041925i,-0.0033445-0.0025095i,-0.0056732-0.013975i,0.0050642-0.0006153i,-0.0024407-0.0013262i,-0.0028196+0.002167i,-0.0040491+0.0023193i,0.0064755+0.0058046i,-0.0041299-0.00099474i,0.00021145-0.0049238i,-0.0033773-0.0022638i,-0.0016722-0.0016232i,0.0041829-0.0019321i,0.0020754+0.001313i,0.0018544-0.0020144i,-0.001148+0.0071611i,0.00076409+0.0050475i,0.023354+0.0038086i,-0.024241-0.01015i,-0.03302+0.01321i,-0.0088203+0.013072i,0.001643-0.0011022i,0.0052851-0.0033958i,-0.011427-0.0031469i
