-0.024385-0.0040794i,-0.02072-0.0075185i,-0.012787-0.013269i,-0.03547-0.0077074i,-0.026845+0.0022093i,-0.035319-0.0022316i,-0.066116-0.03786i,-0.032781-0.014581i,-0.022278+0.0028434i,0.0067066+0.0052689i,-0.0051709+0.0069856i,-0.0080493+0.017566i,0.0056381+0.0076557i,-0.0011456+0.0035017i,0.0040893+0.0040731i,0.0042665+0.025751i,0.020207+0.019269i,0.0012908-0.00078339i,0.00032164-0.0051241i,0.0086924+0.00064911i,0.0050891-0.001655i,0.0020355+0.00205i,0.0010156-0.00050932i,-0.022919-0.0013741i,-0.0061698-0.0028447i,-0.0011471+0.0028719i,0.003331-0.0036267i,-0.002323+7.536e-05i,-0.00053577+0.0010026i,-0.0024877-0.0016055i,-0.0038923-0.00041767i,-0.0068901-0.0083167i,-0.0058944-0.0052466i,-0.00070036+5.4571e-07i,-0.00068145-0.002111i,-0.0011586+0.020201i,0.0025074-0.0038912i,0.0013092-0.0041841i,0.0025394-0.0020929i,-0.0024481-0.0031498i,0.0011173-0.00018943i,0.0074933+0.0022078i,0.0043809-0.0040455i,-0.00032693+0.0025244i,-0.013692+0.015457i,-0.027817+0.053266i,-0.0057021-0.036815i,-0.015295-0.018849i,-0.04001-0.016313i,-0.027334-0.012372i,0.036808-0.011108i,0.0064488-0.029753i,0.014052-0.037375i,-0.0084282-0.030079i,0.025707-0.023323i,0.013024+0.0073297i,0.030931-0.036544i,-0.0017708-0.00435i,0.0060674-0.0089758i,-0.00068407-0.0059454i,-0.00026743-0.035626i,-0.014969+0.029215i,0.0087362-0.011781i,-0.0088852-0.0051979i,-0.0025258-0.0020644i,-0.00051899-0.01595i,-0.0076783+0.0059486i,0.0041455+0.0063395i,-0.0014099+0.029062i,0.0023307+0.00080822i,-0.0070414-0.0039899i,-0.0042606-0.006242i,-0.014554-0.0090259i,-0.0021895-0.0056417i,-0.036937+0.0077391i,-0.0049268-0.0087095i,-0.013053-0.00082119i,-0.012339-0.0031665i,0.0019969-0.0014046i,-0.013737+0.0020313i,-0.0014241-0.00074791i,0.0059478+0.0058915i,0.0039173-0.0051534i,-0.015283-0.014883i,0.0074485+0.0088005i,-0.01396+0.0039978i,0.0050232+0.00051797i,-0.020287-0.0029939i,-0.016062-0.003875i,-0.015107-0.034981i,0.019731-0.0092739i,-0.041029-0.025158i,-0.010505+0.0049326i,0.018164+0.015488i,-0.022444+0.016871i,-0.0044398-0.0037644i
0.0082546-0.010268i,0.010935+8.3157e-05i,0.0075543+0.0034222i,0.014416-0.0034567i,0.018359-0.002051i,0.015343-0.013749i,0.016159-0.0053919i,0.012413-0.0014323i,0.00072727-0.0091616i,-0.00122+0.00093323i,-0.001008-0.00058113i,-0.0013445+0.00023812i,-0.0010041+0.0042392i,-0.0017783+0.0023413i,0.0012158+0.0028193i,0.00084834+3.7736e-05i,0.0031845-0.0023474i,0.0014215-0.00086368i,-0.00079163+0.0074347i,4.1882e-05-5.8621e-08i,0.00084365-0.002785i,-0.00088913-0.0018371i,-0.00064535-0.00040822i,0.0023074+0.0046568i,-0.0017379+0.00040756i,-0.0018182+0.0013715i,-0.0022537+0.00026583i,-0.0018966+9.6747e-05i,-0.0019711-0.00083724i,-0.0022834+0.00066734i,0.00033487-0.0014807i,0.00046214+0.0016155i,0.0016375+0.00057631i,0.0019641+0.00031884i,0.0009317-0.00067504i,-0.0073074+0.0057961i,-0.0015554-7.3522e-05i,-0.0010953+0.00041909i,-0.0022173+5.2904e-05i,0.00069311-0.0019251i,0.00028864-0.0010548i,0.0012235-0.0011292i,-0.0011449+0.00099424i,0.0030402-0.00022272i,0.00091783-0.01227i,-0.02737-0.0087984i,-0.0027317-0.0061299i,-0.0066538+0.001661i,0.014426+0.023163i,0.0018959+0.0048086i,0.012978-0.013916i,-0.013543-0.028617i,-0.0044258-0.011832i,0.0081054-0.0077318i,0.017626+0.018597i,0.00063489+0.0016261i,-0.0011269+0.0006441i,-0.0060077-0.0008156i,0.010755-0.0034376i,0.013382+0.0099838i,0.0030486+0.0045382i,-0.0046664-0.0079933i,0.0066812-0.0038045i,-0.0043175-0.0065226i,0.0025388-0.011834i,0.0063834-0.0060917i,-0.00076443+0.0076167i,0.0096607-0.0075111i,0.0056512-0.0084242i,0.0012759-0.006343i,-0.0029364-0.0015713i,-0.0058048-0.0068423i,-0.0068354-0.0040728i,-0.00049718-0.0015112i,-0.0022064+0.03202i,-0.011137-0.002056i,-2.1129e-05+0.0028002i,-0.0064902-0.0045547i,0.00032939+0.00059525i,-0.01538+0.0014844i,-0.0024241+0.0011219i,-0.0020239-0.0018122i,-0.0035824-0.00051844i,-0.0051202-0.0037946i,-0.0011662+0.0072805i,-0.001259+0.0020648i,-0.0050992+0.0055947i,-0.0065908+0.0011716i,-0.0025152-0.0011325i,0.0078434-0.0020011i,-0.0058851+0.018361i,-0.028305-0.0030081i,-0.010341-0.0025808i,0.0127+0.016027i,-0.0022843+0.017471i,-0.0071547-0.0044888i
0.0065196-0.012131i,0.010805-0.0034086i,0.0080644+0.0023583i,0.01329-0.0050373i,0.017996-0.0050892i,0.012727-0.016172i,0.013316-0.0084178i,0.011974-0.0035236i,-0.0010946-0.0092539i,6.2933e-05+0.00089749i,-0.0008808+0.00011236i,-0.0014525+0.0014403i,0.00020831+0.0043099i,-0.00081095+0.0029475i,0.0016554+0.00169i,0.00071448+0.00050874i,0.0018058-0.0029671i,0.0012492-0.0016374i,-0.0013112-0.00058564i,0.00041033-0.00062098i,3.5398e-05-0.0029709i,-0.0015658-0.0014825i,-0.00068549-0.00063798i,0.0045775+0.0033806i,-0.0017796+0.0015129i,-0.001023+0.0020781i,-0.0023195+0.00093532i,-0.0019079+0.00089628i,-0.0026686+0.00025995i,-0.0019488+0.001842i,-0.0011428-0.0014972i,0.00057789+0.00060421i,0.0011329-0.00011273i,0.0025327-0.001237i,0.00043482-0.00025318i,-0.0054455+0.0081862i,-0.0019766+0.00070226i,-0.00096499+0.0010966i,-0.0024387+0.0010914i,0.00035518-0.0018861i,2.4678e-05-0.0010832i,0.00078821-0.0017233i,-0.0012942+0.0012034i,0.0022507-0.0002837i,-0.00054812-0.011774i,-0.025817-0.0059299i,-0.0043527-0.002334i,-0.0040681-0.00032899i,0.023803+0.015871i,0.0054868+0.0021133i,0.0066201-0.016985i,-0.021218-0.027338i,-0.0087587-0.012997i,0.011008-0.014828i,0.017614+0.011528i,0.00050755+0.00048704i,-0.00047153+0.0028814i,-0.0057158+0.0011938i,0.0077116-0.0069117i,0.015297+0.0055097i,0.0058001+0.0051206i,-0.009319-0.0062255i,0.0028385-0.0056175i,-0.0053437-0.0042646i,-0.0031407-0.010119i,0.003601-0.0074888i,0.002868+0.005712i,0.0049712-0.0092749i,0.0013367-0.0094367i,-0.0017917-0.0037925i,-0.0021336-0.00053084i,-0.0073136-0.004516i,-0.0086153-0.00093309i,-0.00014994-0.0009286i,0.010623+0.028844i,-0.012073+0.0029612i,0.00069078+0.0017894i,-0.0092053-0.0035551i,0.0006528+9.9325e-05i,-0.013031+0.0082379i,-0.0012951+0.0023977i,-0.0021991+0.00017559i,-0.0024577+0.00019078i,-0.0054909-0.0013916i,0.00045585+0.003591i,-0.00031932+0.0016215i,-0.001708+0.0073152i,-0.0038749+0.0026152i,-0.0035513-0.0010515i,0.0087833-0.0086524i,-0.0017116+0.02055i,-0.029013+0.002515i,-0.011185-0.0041789i,0.014277+0.013729i,0.0010291+0.01908i,-0.009279-0.0035906i
0.003814-0.013501i,0.0086089-0.0072285i,0.0090388+0.0004748i,0.012554-0.0068731i,0.017416-0.0080852i,0.0096247-0.018482i,0.0099748-0.010965i,0.01126-0.0057438i,-0.0025997-0.0084058i,-0.0001109-0.00034457i,-0.00065534+0.0001952i,-0.00081842+0.0024072i,0.0013063+0.0038212i,0.00022741+0.0026846i,0.0015726+0.0013336i,0.00082447+0.00083821i,0.00037846-0.0029958i,0.0009771-0.0021734i,-0.0015346-0.00070162i,5.8446e-07-0.0014914i,-0.0011079-0.0032504i,-0.0015749-0.00085432i,-0.0010431-0.00078949i,0.0054765+0.00081523i,-0.0010731+0.0023316i,-0.00031666+0.0022884i,-0.0022294+0.0020679i,-0.0014837+0.0016323i,-0.0024745+0.0017928i,-0.001054+0.002689i,-0.00025336-0.00024001i,0.0001022+0.0015275i,0.00088311-0.00018774i,-0.00034447-0.0019288i,0.00052259+0.00023627i,-0.0026189+0.010035i,-0.001654+0.0019832i,-0.00039136+0.0014521i,-0.0018681+0.0023755i,-2.3448e-05-0.0020261i,-9.3038e-05-0.0010437i,0.00013436-0.0019384i,-0.0013909+0.0020413i,0.0022828+4.9765e-05i,-0.0013111-0.011019i,-0.026546-0.0052739i,-0.0019274+0.00086349i,-0.0020434-0.003043i,0.032155+0.0055823i,0.0082572+0.00021428i,0.00020617-0.017172i,-0.027858-0.023477i,-0.012653-0.010766i,0.0094418-0.023437i,0.023809+0.0037043i,-0.00093071+0.00044884i,-0.0007598+0.0022571i,-0.0058055+0.0023022i,0.0025003-0.0099293i,0.016043+0.00042302i,0.0081615+0.0036928i,-0.012491-0.0021335i,0.00083795-0.0045399i,-0.0057487-0.0014581i,-0.0056736-0.0066765i,0.00094639-0.0073369i,0.0050315+0.0046125i,0.0016514-0.0089169i,-0.0033776-0.0066721i,-0.0022325-0.0013776i,-0.0020537-0.00062666i,-0.0090279-0.0015351i,-0.0048351+0.002761i,-0.00091097-0.0013151i,0.020658+0.019629i,-0.010511+0.0084899i,0.0012134+0.0013105i,-0.006498-0.00078415i,0.00093615-0.00088443i,-0.0069858+0.012605i,5.5374e-05+0.002985i,-0.0023028+0.00075093i,-0.0022743+0.001327i,-0.0052136+0.0012901i,-0.0011618+0.0041101i,9.4147e-05+0.0010757i,0.0015134+0.0072018i,-0.0027777+0.0016656i,-0.0048865+0.00041324i,0.0055158-0.013839i,0.0078232+0.019401i,-0.027713+0.0065314i,-0.012705-0.0051934i,0.016891+0.0093991i,0.0056869+0.019978i,-0.010543-0.0021595i
0.00098284-0.013683i,0.0048745-0.0086523i,0.008841-0.0020292i,0.011397-0.0089979i,0.016007-0.011259i,0.0057941-0.019867i,0.0061787-0.011976i,0.0099243-0.0078105i,-0.0033822-0.0076445i,-0.0010865+0.00034369i,-0.00072795+0.00029342i,0.00025493+0.0027681i,0.0018418+0.0030667i,0.0006067+0.0024513i,0.0016318+0.0011406i,0.0009577+0.001124i,-0.00087955-0.0020663i,0.00052216-0.0028592i,-0.0013012-0.00058965i,-0.00097328-0.0017817i,-0.0020907-0.0024948i,-0.0016644-0.00056536i,-0.0015225-0.00062599i,0.0049074-0.0014635i,-0.00011437+0.0026956i,0.00047653+0.0024974i,-0.0010988+0.0033514i,-0.00093432+0.0020441i,-0.0014094+0.0028889i,0.00014612+0.0029556i,-0.00040047-0.0002055i,0.0016469+0.00171i,0.00082856-0.00028977i,-0.00098825-0.00049713i,0.00070063+0.00051983i,0.00080649+0.010432i,-0.00059156+0.0027088i,4.6494e-05+0.0015009i,-0.00075455+0.0031512i,-0.00074756-0.0021017i,-0.00032172-0.0012114i,-0.00025953-0.0019936i,-0.00068406+0.0029831i,0.0024832+0.00012392i,-0.0015435-0.011184i,-0.016598-0.0032213i,0.0013068+0.0026583i,-0.0033025-0.0063374i,0.035585-0.0089774i,0.0103-0.004223i,-0.0056901-0.014323i,-0.033953-0.016278i,-0.014782-0.0060837i,0.0035234-0.030107i,0.018796-0.0029463i,-0.0018428+0.0016792i,-0.00050682+0.0047378i,-0.0053595+0.0042991i,-0.0039328-0.0083476i,0.014962-0.0054235i,0.0099604+0.00119i,-0.013012+0.0027761i,-0.00049962-0.0043862i,-0.0045817+0.00078173i,-0.0064989-0.0028016i,-0.00099531-0.0073063i,0.0063672+0.0014465i,-0.0011675-0.0083513i,-0.0051626-0.0026986i,-0.0017079+0.00059451i,-0.0023896-0.00025886i,-0.0086277+0.0024247i,-0.0019994+0.0047118i,-0.0015507-0.001129i,0.024798+0.0095201i,-0.005762+0.014109i,0.0014916+0.00034785i,-0.0047377+0.0013922i,-2.9257e-05-0.0019134i,-0.00089193+0.012738i,0.0019867+0.0024556i,-0.0017666+0.0022871i,-0.0013904+0.0027574i,-0.0022759+0.0047238i,0.002839+0.0048902i,-0.00026226+0.00048033i,0.004923+0.0058506i,-0.0028464+0.0010924i,-0.005539+0.0025528i,0.0015609-0.015201i,0.017745+0.0097983i,-0.024311+0.011005i,-0.016229-0.004719i,0.015501+0.0049634i,0.011095+0.018662i,-0.010244-0.00094661i
-0.0012973-0.01335i,0.0025681-0.0081327i,0.007917-0.0038266i,0.010078-0.010986i,0.014015-0.014084i,0.0021322-0.020538i,0.0030423-0.011618i,0.0082717-0.0093151i,-0.0039878-0.0069873i,-0.001193+0.0016688i,-0.00087159+0.00045558i,0.0013506+0.0025428i,0.0019384+0.0026675i,0.00091735+0.0023205i,0.0018391+0.0010734i,0.0014477+0.0015631i,-0.0011818-0.0010042i,-0.00076586-0.0031999i,-0.0015592-0.00076517i,-0.0019059-0.0013865i,-0.0027322-0.0019213i,-0.0016011-0.00021022i,-0.0018922-0.00017268i,0.0035632-0.002948i,0.00089799+0.0027323i,0.0014958+0.0023585i,0.0003952+0.0037863i,-0.00033363+0.0023648i,-5.5335e-05+0.0033439i,0.0013882+0.0027233i,-0.00028568-3.734e-05i,0.0030873+0.0011471i,0.00059946-0.00018374i,-0.00034137+0.00033012i,0.0011961+0.0013175i,0.0039072+0.0099074i,0.00052029+0.0029486i,0.00042959+0.0016145i,0.00060047+0.0033706i,-0.0013163-0.0018948i,-0.0006514-0.0012585i,-0.00091102-0.0020598i,0.00021947+0.0031887i,0.0025247-0.00040122i,-0.0026331-0.011786i,-0.011398+0.00018295i,0.0057543+0.0020245i,-0.005373-0.0067233i,0.032271-0.022455i,0.0096722-0.0087968i,-0.0082342-0.0094271i,-0.036122-0.0073227i,-0.014546-0.00019339i,-0.004862-0.032676i,0.014101-0.0063575i,-0.0011825+0.0029245i,0.0024677+0.0053735i,-0.00418+0.0058423i,-0.0067248-0.0039391i,0.010666-0.01137i,0.010699-0.0024823i,-0.011394+0.0067818i,-0.0016739-0.0026436i,-0.0029646+0.0016749i,-0.0049107-0.00048475i,-0.0039662-0.0059654i,0.0057712-0.00078391i,-0.0035747-0.0061617i,-0.0039218+0.00072757i,-0.00021861+0.0016529i,-0.0022923+0.00030616i,-0.0057463+0.0051866i,0.0011768+0.0039366i,-0.0018334+3.457e-05i,0.025503-0.002247i,0.0017425+0.01602i,0.0010026-0.00027915i,-0.0024282+0.0019831i,-0.0010492-0.0014572i,0.0033441+0.010864i,0.0026118+0.0014059i,5.8943e-05+0.0038071i,0.000914+0.0036864i,0.0017404+0.0052353i,0.0017115+0.0018763i,-0.0013087+0.00069712i,0.0060616+0.0028774i,-0.0037167+0.0011182i,-0.0044072+0.0047936i,-0.00067008-0.015172i,0.018474-0.0051444i,-0.018563+0.011217i,-0.019368-0.0023535i,0.015264+0.0016795i,0.015236+0.013643i,-0.010917-0.0008916i
-0.0032332-0.012791i,0.0014227-0.0078012i,0.0072817-0.0052298i,0.0084017-0.013115i,0.011698-0.016601i,-0.0017097-0.020728i,0.0010598-0.010657i,0.0065969-0.01046i,-0.0043226-0.0064549i,-0.00059951+0.00244i,-0.00093069+0.00097099i,0.0022465+0.0020212i,0.0023423+0.0026783i,0.0013352+0.0022692i,0.0021592+0.00073018i,0.0024819+0.0019284i,-0.00090637-0.00039206i,-0.0019621-0.0029541i,-0.0021083-0.00048923i,-0.0025185-0.000631i,-0.0032072-0.0010414i,-0.0013706-2.7694e-05i,-0.0020686+0.0004302i,0.0018402-0.0038066i,0.0019641+0.0023297i,0.0024353+0.0017039i,0.0018708+0.0034641i,0.00052893+0.0026597i,0.0013221+0.0031756i,0.0023877+0.0019447i,-0.00015833+1.1964e-05i,-0.0064447+0.00029542i,-9.653e-05+9.3305e-05i,0.00014128+0.0004347i,0.0037237+0.0020814i,0.0067148+0.0083443i,0.0018022+0.002754i,0.0011057+0.0016247i,0.0019035+0.0028945i,-0.0017058-0.0015048i,-0.0011731-0.0011766i,-0.001657-0.0019398i,0.00097647+0.0034375i,0.0023881-0.00071636i,-0.0038827-0.012131i,-0.0084775-0.0004034i,0.0092825-0.0012865i,-0.0066618-0.0058625i,0.025126-0.033291i,0.0072358-0.012062i,-0.007764-0.0050179i,-0.034024+0.0015419i,-0.010066+0.0061658i,-0.012748-0.031016i,0.0096846-0.0073545i,-0.00017253+0.003352i,0.0044926+0.0036627i,-0.0026887+0.0074736i,-0.0073066-0.00049205i,0.0038408-0.014914i,0.0086651-0.0067152i,-0.0093603+0.0089928i,-0.0010736-0.0014297i,-0.0018976+0.0014221i,-0.0036868+0.00021005i,-0.0048185-0.0032277i,0.0043614-0.0018306i,-0.0049836-0.0038292i,-0.0012279+0.00197i,0.0018426+0.0009964i,-0.002015+0.0010523i,-0.0027231+0.0059894i,0.0020925+0.0019733i,-0.00083329+0.0010099i,0.019025-0.011034i,0.011035+0.0083273i,0.00067731+7.3859e-05i,-0.001244+0.0018006i,-0.0015651-0.00015908i,0.0065021+0.0081729i,0.0034733+0.00056435i,0.0030118+0.0036543i,0.0026086+0.0023127i,0.0035059+0.0035856i,0.0018208+0.0022641i,-0.0015032+0.0020648i,0.0049841+0.0010911i,-0.0047149+0.0016998i,-0.0022314+0.0060029i,-0.0024114-0.01548i,0.010613-0.015432i,-0.015813+0.0070659i,-0.022195+0.002028i,0.013071-0.0028885i,0.016717+0.008444i,-0.012061+0.00020654i
-0.005183-0.011733i,0.0001567-0.007809i,0.0062089-0.0074091i,0.0057973-0.015335i,0.0088529-0.018879i,-0.0058517-0.019795i,-8.1585e-05-0.0098963i,0.0049133-0.011573i,-0.0046451-0.0060367i,-0.00033222+0.0031849i,-0.00082925+0.0013711i,0.0025305+0.00091134i,0.0029669+0.0023884i,0.0017455+0.0021106i,0.0023134+0.00028169i,0.0037079+0.0013527i,-0.00085865-6.9466e-05i,-0.0030802-0.00252i,-0.0023039+0.0002258i,-0.0029235+0.00038749i,-0.0033068-0.00013877i,-0.0013013-0.00013056i,-0.0020497+0.0011125i,-2.9859e-05-0.0039896i,0.0028073+0.0012596i,0.0029168+0.0007804i,0.0029268+0.0026817i,0.0016226+0.0024381i,0.0026424+0.0023864i,0.0029434+0.00080909i,-8.2501e-07-2.1575e-05i,-0.00013343+0.0020182i,-0.00014739+0.00026791i,0.00060763+0.00034638i,-0.0037737-0.032724i,0.0087455+0.0056869i,0.0028008+0.0018043i,0.0016897+0.0012245i,0.0031363+0.001867i,-0.001887-0.0010174i,-0.0015779-0.00087094i,-0.0021918-0.001222i,0.0021375+0.0033542i,0.0020818-0.0010232i,-0.0054848-0.012273i,-0.0064406-0.0022497i,0.010614-0.005362i,-0.0062906-0.0041036i,0.014705-0.04035i,0.0043058-0.013779i,-0.0060665-0.0028444i,-0.029606+0.0066917i,-0.0021952+0.0084579i,-0.018903-0.026386i,0.0063205-0.007041i,0.00076077+0.003272i,0.0046282+0.0013825i,-0.00022556+0.0079879i,-0.0073147+0.0027464i,-0.0045756-0.014078i,0.0049565-0.0087266i,-0.0072115+0.01144i,-0.00024707-0.002045i,-0.0016391+0.0012427i,-0.0033604+0.00021694i,-0.0044709-0.0012229i,0.0033358-0.0020434i,-0.0063208-0.0030489i,0.00026623+0.0013669i,0.0027316-0.0011815i,-0.0016598+0.0017878i,9.859e-05+0.0055604i,0.0010339+0.00112i,3.5418e-05+0.00056554i,0.012143-0.014465i,0.0087881+0.0042857i,0.0010742-8.3434e-05i,-0.00015225+0.001098i,-0.00064454+0.00054554i,0.0079222+0.0049656i,0.0040845-0.0016625i,0.0048448+0.0017612i,0.0030708+0.0012038i,0.003967+0.0012371i,0.003196+0.0020755i,-0.00046773+0.003542i,0.0059256+0.00010558i,-0.0050093+0.0032641i,-0.00034049+0.0057466i,-0.0036021-0.015097i,0.00053079-0.021309i,-0.018538+0.0038715i,-0.02226+0.0076991i,0.0071219-0.0055965i,0.017109+0.003285i,-0.012005+0.0014782i
-0.0063056-0.010333i,-0.00037275-0.0071238i,0.0041039-0.0088189i,0.0021695-0.016622i,0.0054101-0.020603i,-0.0091737-0.017749i,-0.00062836-0.0093195i,0.0030342-0.012407i,-0.0049169-0.0058614i,0.00081042+0.0041752i,-0.00062162+0.0020749i,0.0024164+0.00021179i,0.0035696+0.0018275i,0.0022536+0.0019465i,0.0023776-0.00020725i,0.0037849+0.00038164i,-0.00091498+0.00048275i,-0.0041596-0.0012797i,-0.0021506+0.00079838i,-0.0026956+0.0016247i,-0.0032067+0.00068691i,-0.0018398-0.00022792i,-0.0017238+0.0017763i,-0.0018923-0.003277i,0.0028236+3.8662e-07i,0.0029931-0.00029514i,0.0039329+0.0014612i,0.0024785+0.0017581i,0.0033508+0.0010914i,0.0029605-0.00036682i,7.2711e-05-0.00015833i,0.0012541+0.0011057i,0.00018255+0.00044821i,0.00087942-0.00020948i,-0.0029446-0.0014662i,0.0097193+0.0025915i,0.0032087+0.00057989i,0.0020967+0.00066035i,0.0036875+0.00022924i,-0.0019528-0.00039594i,-0.0019351-0.0004712i,-0.0023774-0.00055053i,0.0030363+0.0026219i,0.0017395-0.0012933i,-0.0072878-0.012092i,-0.0055118-0.0052915i,0.010418-0.0093477i,-0.004386-0.0037083i,0.0037725-0.042675i,0.00084929-0.014291i,-0.0046643-0.0017252i,-0.024531+0.0076641i,0.0055579+0.0062036i,-0.021615-0.020607i,0.0048112-0.0065325i,0.0015749+0.0026148i,0.0039047+8.7483e-05i,0.0024779+0.007401i,-0.0057294+0.006151i,-0.010812-0.0088295i,0.0014661-0.0085893i,-0.0040236+0.013129i,-0.0011157-0.0029854i,-0.0015285+0.0013768i,-0.003645+0.00079675i,-0.0033178+8.0277e-05i,0.0023329-0.0021916i,-0.0091707-0.0032969i,0.00087617+0.00047058i,0.00093706-0.0032152i,-0.00054956+0.0023221i,0.0023231+0.0044623i,-0.00013631-0.00062188i,0.00030185+0.00018013i,0.0054587-0.015057i,0.0094516+0.0014626i,-9.6274e-05-0.00080175i,0.0002319-4.2281e-05i,0.00041991+0.00051207i,0.0080156+0.0021929i,0.0029716-0.0042891i,0.0057674-0.00030348i,0.0038628+1.9122e-05i,0.0043698-0.00069166i,0.0040154+0.00092071i,0.0013567+0.0038432i,0.004898-0.0019395i,-0.0044429+0.0051454i,0.0011298+0.0047217i,-0.0042599-0.014819i,-0.011828-0.022195i,-0.022073+0.0045961i,-0.019174+0.012861i,0.0023282-0.0037038i,0.014318-0.0018992i,-0.011494+0.0018958i
-0.006895-0.0095596i,-0.00034737-0.0074617i,0.0022179-0.0091807i,-0.0014959-0.01641i,0.0017954-0.021555i,-0.011515-0.015516i,-0.00067071-0.0096773i,0.0010529-0.013096i,-0.0053112-0.0057439i,0.0024781+0.0041315i,0.00015761+0.0028438i,0.0021984-0.00010943i,0.0041053+0.0008662i,0.0027744+0.0015063i,0.0023666-0.000765i,0.0039206-0.00043724i,-0.00053047+0.00091009i,-0.0043272+0.0002125i,-0.0019734+0.001236i,-0.0019811+0.0024482i,-0.0030858+0.0014891i,-0.0023323+0.00043658i,-0.0011448+0.002242i,-0.0032943-0.0017709i,0.0024586-0.00086629i,0.0026874-0.0012633i,0.0042042-0.00032135i,0.0030996+0.0007973i,0.0032829-0.00016095i,0.0026002-0.0014163i,8.6164e-05-0.00021884i,0.001386+0.00012791i,0.0006288+0.0003455i,0.0005753-0.00068979i,-0.0015448+0.00010539i,0.009297-0.00041615i,0.0031094-0.00066469i,0.0024244-0.00011896i,0.0032474-0.0013522i,-0.0016785+0.00025994i,-0.0020608+0.0002176i,-0.0025452+2.5511e-05i,0.0035598+0.0016907i,0.0013508-0.0014886i,-0.009179-0.011476i,-0.0074857-0.0082357i,0.0087301-0.013349i,-0.0033039-0.0048377i,-0.0056507-0.041815i,-0.0019579-0.012567i,-0.0030023-0.00090664i,-0.0194+0.0096613i,0.010132+0.0011585i,-0.021881-0.014799i,0.0031349-0.0073499i,0.0020654+0.0014474i,0.0037493-0.0010961i,0.0048938+0.0053588i,-0.0025296+0.007421i,-0.012991-0.0022463i,-0.001477-0.0078295i,-0.00022525+0.013036i,-0.0032306-0.0028612i,-0.0017695+0.0020041i,-0.0034553+0.0019475i,-0.0025146+0.00089919i,0.0016725-0.0013079i,-0.012678-0.0027488i,0.00064533-0.00023156i,-0.0011768-0.0026888i,0.00060074+0.0021599i,0.0035712+0.0025169i,0.00040493-0.000724i,0.00042312+0.000296i,0.00024434-0.013671i,0.0088411-0.0024862i,0.00058413+0.0013998i,0.00024007+0.0001668i,0.0011805-0.00024728i,0.0077947-0.00010454i,0.00014543-0.0056528i,0.0057221-0.0030834i,0.0037037-0.0020597i,0.0039447-0.0030014i,0.0043595-7.7018e-06i,0.002677+0.0033089i,0.003084-0.0022379i,-0.0031156+0.0057364i,0.0019215+0.0033892i,-0.0042775-0.015492i,-0.02288-0.016688i,-0.024866+0.007458i,-0.014388+0.014384i,0.0012023-0.0015515i,0.0093056-0.0031681i,-0.012806+0.0024321i
-0.0079385-0.0087972i,-0.00097922-0.0085927i,0.00085832-0.009307i,-0.0046178-0.015224i,-0.0020331-0.022016i,-0.013697-0.013165i,-0.0012996-0.011239i,-0.0011839-0.013549i,-0.0059619-0.0055447i,0.0038187+0.0034241i,0.0016071+0.0031894i,0.0020784-0.00022991i,0.0042137-0.00039477i,0.0032429+0.00091448i,0.0021379-0.0013857i,0.0038495-0.0013878i,-2.1333e-05+0.0011132i,-0.0040329+0.0015897i,-0.0016099+0.0017875i,-0.0011045+0.0029173i,-0.0026777+0.0024639i,-0.0022555+0.0014369i,-0.00052954+0.0024129i,-0.0037347+0.00016044i,0.0019879-0.0014825i,0.0020486-0.0020253i,0.0036174-0.0019923i,0.0032213-0.00046311i,0.0029045-0.0012743i,0.0018339-0.0022783i,0.00010205-0.00029316i,0.0012588-0.0002773i,0.00087613-7.7098e-05i,0.00016598-0.00071456i,-0.00058664+0.0001981i,0.0080843-0.0028211i,0.0026835-0.0017589i,0.0024209-0.0011494i,0.0022693-0.0024683i,-0.0011784+0.00076111i,-0.0019699+0.00094727i,-0.0025478+0.00076211i,0.0040398+0.00073717i,0.0009739-0.0012114i,-0.010979-0.010582i,-0.011123-0.0084803i,0.0052874-0.015724i,-0.0032853-0.0051873i,-0.014247-0.040096i,-0.0030302-0.0091753i,-0.0011613-0.0012444i,-0.014607+0.01072i,0.012855-0.0052651i,-0.019262-0.010785i,0.00084237-0.0085199i,0.0015268-0.00055049i,0.0032001-0.0028142i,0.005311+0.0024516i,-0.00058521+0.0069445i,-0.012276+0.0038026i,-0.0041849-0.0059762i,0.0023829+0.010992i,-0.0046786-0.0010447i,-0.0016031+0.0034387i,-0.0027185+0.0031643i,-0.0011796+0.001175i,0.0024153+0.00024675i,-0.0070644+0.0051902i,0.00064396+8.9485e-05i,-0.0017975-0.0016684i,0.0014079+0.0015725i,0.0036019+0.00070303i,-0.00024244-0.0022744i,0.00088057+5.096e-05i,-0.0043619-0.01165i,0.0069656-0.005262i,-5.2136e-05-0.00083421i,0.00072089-9.5186e-05i,0.00099646-0.0013017i,0.0073069-0.0023684i,-0.00226-0.0050463i,0.0041121-0.0056191i,0.0019992-0.0032563i,0.0018698-0.0048274i,0.0046478-0.0015075i,0.0037613+0.0025073i,0.0024364-0.0020692i,-0.0017928+0.0056235i,0.001663+0.0019522i,-0.0050555-0.01738i,-0.027595-0.0067447i,-0.026916+0.011999i,-0.010585+0.014615i,4.7099e-05+0.00011636i,0.053381+0.0037269i,-0.013703+0.0042452i
