-0.00070089-0.042312i,-0.00098111-0.046177i,-0.0073578-0.047227i,-0.030485-0.022743i,-0.022572+0.011297i,-0.036389-0.033554i,-0.063446-0.058675i,-0.020177-0.069831i,-0.023954-0.043727i,-0.0012305+0.016108i,-0.01099+0.012447i,-0.014576+0.013168i,0.0028695+0.014107i,-0.0031276-0.0022021i,0.00169+0.0059273i,-0.00057054+0.035139i,0.020769+0.057213i,0.00099915-0.00061116i,-0.0031128-0.0093108i,0.0073427+0.0045016i,0.0013672+0.0013905i,-0.00032147+0.0035705i,-0.00065177-0.00029013i,-0.038706-0.0098084i,-0.002412-0.0080196i,-0.0010449+0.0044701i,0.0056442-0.00049987i,-6.3507e-05+0.00057861i,0.00070789-0.0005966i,0.00012016-0.0022242i,-0.0014559-0.0059311i,-0.0031198-0.0061701i,-0.0015212-0.0067956i,0.0033997-0.00080057i,0.0029536-0.00097683i,-0.0017555+0.039018i,0.0064294-0.004045i,0.0034202-0.00075833i,0.0051439-0.00015517i,-0.011978-0.0071661i,-0.00087357+0.00069754i,0.0092474-0.0011012i,0.0039942+0.0005256i,-0.0050192+0.0018261i,-0.0030864+0.014881i,-0.005331+0.017744i,0.026461-0.080766i,0.000623-0.054413i,-0.023522-0.043449i,-0.01905-0.037201i,0.06386-0.015275i,0.030284-0.057683i,0.039244-0.045076i,0.033682-0.052712i,0.019855-0.01555i,0.0076904+0.012099i,0.023916-0.035255i,-0.0080078-0.0049895i,0.0027245-0.00069071i,-0.002542-0.0042482i,0.0043774-0.032369i,-0.025008+0.031472i,0.0087368-0.010286i,-0.01266-0.0029476i,-0.0045283-0.001357i,0.00047031-0.014551i,-0.0099254+0.005242i,0.0037959+0.0062964i,-0.014314+0.029959i,0.005357+0.0064567i,-0.0055534-0.0022512i,-0.00069261-0.0024987i,-0.011626-0.0077751i,0.00010603-0.0039361i,-0.036298+0.0060396i,0.0017128-0.013035i,-0.0090672-0.0025472i,-0.0071584-0.0034438i,0.0066402+0.0020093i,-0.0096881+0.0015002i,0.00023455+0.0020935i,0.005659+0.0099838i,0.0047677+0.0012041i,-0.0093738-0.010248i,0.0020251+0.0082514i,-0.020597+0.0043633i,0.0065272+0.0032823i,-0.027861-0.0092926i,-0.036307-0.002264i,0.026218-0.077965i,0.014452-0.0092085i,-0.042043-0.028495i,-0.025074-0.0072661i,0.017349+0.01221i,-0.027512+0.010864i,-0.011973-0.010163i
-0.01591+0.028163i,-0.00106+0.057636i,0.030758+0.038452i,0.0027206+0.012407i,-0.0027708+0.0053619i,0.031607-0.0058991i,0.0096048+0.016011i,0.011558+0.048082i,0.0050493+0.017582i,-0.0038252+0.0073142i,0.00043845+0.0011227i,0.0025503-0.0041586i,0.0022531-0.0020886i,0.0030234-0.0011725i,0.0037182-0.0015189i,0.0058238+0.00053897i,0.011581-0.0069872i,-0.0012107-0.00033644i,-0.0047985+0.00081143i,0.0002204+0.0023614i,-0.0016062-0.00017283i,-0.0041686-0.0013732i,-0.002458+0.0003715i,0.0051585+0.0077115i,0.0019473+0.0021193i,0.0023707+0.0012262i,0.0019083+0.0015987i,-0.00082827+0.0032273i,-2.2138e-05+0.00094182i,-0.00086237+0.0011001i,0.000954-0.0036176i,-0.00089003-0.0016104i,-0.00082239-0.00033384i,0.00033631+0.00032154i,-1.8611e-05-0.0024307i,-0.0075294+0.013586i,0.0026671-0.0002204i,0.00050926-0.00043589i,-0.00017692+0.0033586i,-0.00051948-0.0046836i,-0.0014101-0.00054698i,-0.0027596-0.0020543i,0.00017528+0.006053i,0.0038457+0.0025321i,-0.034824+0.015881i,-0.074231+0.016758i,-0.044006+0.038451i,-0.018617+0.034616i,-0.003664+0.049031i,-0.0099192+0.03045i,0.0084241+0.0068644i,-0.0090971-0.010164i,-0.038975-0.0048656i,-0.04423+0.012875i,0.0087046+0.022377i,-0.0030105+0.0038038i,-0.0042132+0.0038012i,-0.012736-0.0028111i,0.0097932+0.001829i,0.010174+0.017282i,-0.0034638+0.010314i,-0.0082333-0.011512i,0.0064969-0.0033952i,-0.006614-0.0047354i,0.0038299-0.0087638i,0.0062015-0.0022062i,-0.00031093+0.0098949i,0.014993-0.0051733i,0.0073789-0.0090539i,0.004999-0.0065665i,0.0033862-0.00091316i,-0.0026719-0.0070824i,-0.0044491-0.0020684i,0.0020651-0.000812i,-0.011297+0.037999i,-0.0062234-0.0049498i,0.0015255+0.00081374i,-0.00012747-0.0078222i,0.0041068-0.00091701i,-0.01341-0.0051377i,0.0012752-0.00046552i,0.0035038-0.0041491i,0.0021764-0.0024105i,0.0003417-0.0061566i,-0.0005277+0.0064574i,0.00036447+0.0028734i,-0.0033241+0.0054952i,-0.011973-0.00075773i,-0.010201+0.0017864i,-0.0349+0.039528i,-0.0088473+0.016195i,-0.022964-0.0055186i,-0.0015794-0.00041274i,0.0097958+0.020768i,-0.0010604+0.020523i,-0.0057157-0.00050203i
-0.011511+0.027534i,0.0080422+0.054892i,0.037094+0.032793i,0.0054563+0.012829i,0.00094999+0.0061928i,0.03001-0.01287i,0.010795+0.013481i,0.018705+0.044825i,0.0070766+0.016568i,-0.0012842+0.0075998i,0.0012871+0.0012133i,0.00037151-0.0032895i,0.0014308-0.0019615i,0.002564-0.00092375i,0.0031366-0.0020284i,0.0055364-3.1716e-05i,0.007987-0.0093207i,-0.00064229+0.00013024i,-0.0045975+0.0011773i,0.0013649+0.001376i,-0.0016232+3.5222e-05i,-0.0046528-0.0003415i,-0.0022734+0.00059609i,0.008843+0.0045385i,0.0022508+0.0025859i,0.0032114+0.00014319i,0.002081+0.00054098i,0.00045777+0.0030589i,-0.00012406+0.0012312i,-0.00058572+0.0015227i,-0.00071022-0.0033389i,-0.0016362-0.00167i,-0.0011171-0.0001437i,0.00048891+5.196e-05i,-0.001288-0.00091876i,-0.0023514+0.014655i,0.0018065-0.0012495i,0.00034365-0.00028253i,0.0014737+0.0024592i,-0.0016441-0.0036733i,-0.0014986-0.00027035i,-0.0035378-0.0010569i,0.0015251+0.0063416i,0.0033414+0.0019059i,-0.02951+0.022323i,-0.067265+0.028721i,-0.039701+0.046361i,-0.010992+0.035787i,0.010024+0.045416i,-0.0010724+0.028064i,0.0034945+0.0010103i,-0.016667-0.012898i,-0.04108-0.0020034i,-0.035309+0.014348i,0.013903+0.017859i,-0.0030363+0.0045683i,-0.002412+0.0072787i,-0.012879+0.0019343i,0.0082308-0.0019978i,0.015029+0.014051i,0.0019871+0.013923i,-0.013223-0.0089798i,0.0023108-0.0045694i,-0.0061378-0.0014866i,-0.0011011-0.0079443i,0.0042514-0.0046213i,0.0039549+0.0071766i,0.009764-0.0095501i,0.00104-0.0095449i,0.0018626-0.0049059i,0.0041333-0.0021867i,-0.0042807-0.0056491i,-0.0028165+0.00088621i,0.0028881-0.00074581i,0.0088447+0.037072i,-0.0073774-0.0034421i,0.0022181-0.0012589i,-0.0036973-0.0068234i,0.0043552-0.002618i,-0.013475+0.0012611i,0.0015588-0.00011227i,0.0014071-0.003657i,0.0021042-0.0031884i,-0.0011036-0.0058044i,0.0015223+0.0028949i,0.0013194+0.001976i,-0.00023212+0.0065485i,-0.010828+0.0034715i,-0.0099001+0.0040869i,-0.027044+0.040081i,-0.0063649+0.019326i,-0.024975-0.00073409i,-0.0021836-0.0042539i,0.012923+0.019631i,0.0032903+0.022099i,-0.0080269-0.00052717i
-0.0083515+0.027231i,0.015211+0.050515i,0.043396+0.024771i,0.0096752+0.010848i,0.0054602+0.0049495i,0.026517-0.019664i,0.011224+0.010793i,0.025836+0.040267i,0.0098283+0.016083i,0.00045396+0.0074346i,0.0015501+0.00031832i,-0.00016977-0.0016674i,0.00054781-0.002273i,0.0026854-0.0012724i,0.0025117-0.0024339i,0.0053331-0.00060557i,0.0047439-0.010058i,-0.000643-9.803e-05i,-0.0046692+0.0028071i,0.001406-0.00015868i,-0.0019712+2.8316e-05i,-0.004137+0.00096726i,-0.0023722+0.00088571i,0.0091469-0.00041389i,0.0038016+0.0016383i,0.0026374-0.0014491i,0.0019932-0.0001981i,0.0016018+0.0022463i,0.00036128+0.00145i,-0.00022193+0.0017418i,-0.0020086-0.0022557i,-0.0026948-0.00033673i,-0.0010112+0.00036885i,0.00032457-0.00034742i,-0.00094741+0.00042285i,0.0021575+0.013906i,0.00099408-0.0012197i,0.00025614-0.00042547i,0.0020152+0.0014753i,-0.0025189-0.0028147i,-0.0014318+0.00010323i,-0.0036727+0.00030432i,0.0033023+0.0066056i,0.0035116+0.001688i,-0.021882+0.026458i,-0.058866+0.038989i,-0.031106+0.053846i,-0.0031767+0.034445i,0.022185+0.036879i,0.0066433+0.025685i,-0.0031639-0.00070049i,-0.024227-0.01107i,-0.042724+0.0034818i,-0.028823+0.012223i,0.016429+0.0116i,-0.0026732+0.0052967i,-0.00028303+0.0071829i,-0.012615+0.0058338i,0.0049335-0.0057578i,0.018464+0.0087201i,0.0085056+0.013346i,-0.016644-0.005005i,0.00060566-0.0027122i,-0.0053791+0.0012936i,-0.0033127-0.0054243i,0.001799-0.0050546i,0.00567+0.0060978i,0.0054675-0.010514i,-0.0043421-0.0062556i,0.0016887-0.0033617i,0.003452-0.0049188i,-0.0065487-0.0037535i,-0.00074959+0.0010785i,0.0024303-0.0023675i,0.024382+0.026802i,-0.0086077-0.0006194i,0.0019337-0.0024111i,-0.0037924-0.0047439i,0.0045004-0.0043787i,-0.0099+0.0065385i,0.0025417-7.0542e-05i,4.9191e-05-0.0036875i,0.0007093-0.003276i,-0.0028495-0.0046522i,0.00030921+0.0019166i,0.0018527+0.0011413i,0.0028736+0.0063561i,-0.0088131+0.0059167i,-0.0094204+0.007076i,-0.020736+0.039311i,0.0015741+0.021249i,-0.024297+0.0035656i,-0.0039425-0.0078883i,0.018022+0.016022i,0.0089692+0.022824i,-0.0099796+0.00096492i
-0.005275+0.027291i,0.020147+0.046323i,0.046618+0.014871i,0.012142+0.0064581i,0.0088302+0.0011221i,0.020977-0.024793i,0.011143+0.0089803i,0.031369+0.033984i,0.013257+0.014221i,0.002012+0.0073372i,0.0011825+0.00018217i,0.00025709-0.00093568i,-0.00087214-0.0015119i,0.0020754-0.0014181i,0.0017177-0.0028473i,0.0050915-0.0012014i,0.0013704-0.0096647i,-0.00033187+0.00020802i,-0.0025751+0.0042464i,0.00047893-0.00093822i,-0.0021327+0.00092219i,-0.0036662+0.0022734i,-0.0022921+0.0015194i,0.0068623-0.0039328i,0.0039119+0.00013235i,0.0014589-0.0019402i,0.0016175-0.00079261i,0.0018317+0.0013204i,0.0010182+0.00089763i,0.00021802+0.002064i,-0.0025404-0.00060338i,-0.0022812+0.0011052i,-0.00067416+0.00058377i,-0.00010914-0.00043471i,-0.00024267+0.0007589i,0.0061384+0.012015i,0.0006775-0.0012345i,-4.8399e-05-0.00055788i,0.0022109+0.00088147i,-0.0031667-0.0017691i,-0.0013721+0.00036955i,-0.0032378+0.0013761i,0.0056016+0.0058392i,0.0038503+0.0014659i,-0.014055+0.026541i,-0.047623+0.046952i,-0.021315+0.058821i,0.0016784+0.03142i,0.030897+0.023795i,0.013133+0.019261i,-0.01028+0.0019865i,-0.031808-0.0048604i,-0.043228+0.011448i,-0.025606+0.0087114i,0.017137+0.0053703i,-0.0018392+0.0066155i,0.0010886+0.0088988i,-0.010549+0.010471i,-0.0005888-0.0055958i,0.020565+0.0012184i,0.014028+0.0097422i,-0.018913-4.9173e-05i,9.2494e-05-0.0022295i,-0.0031351+0.0029193i,-0.0043469-0.0020616i,0.00018133-0.0047872i,0.0073937+0.0027148i,0.0017699-0.010457i,-0.0057728-0.0007775i,0.0018966-0.0030649i,0.00091689-0.0064301i,-0.0072797-0.00028254i,0.00071489+0.0014931i,0.0012896-0.0030043i,0.031925+0.011304i,-0.0082228+0.0034103i,0.0014941-0.0037834i,-0.0045722-0.0030932i,0.0030416-0.0071566i,-0.0049398+0.0079655i,0.0037597-0.0014222i,-0.0010159-0.0023979i,7.7941e-05-0.0026076i,-0.0033878-0.0024741i,-0.00044562+0.0026451i,0.0016168+0.0001062i,0.0056894+0.0047706i,-0.0066015+0.0070747i,-0.0078632+0.0099103i,-0.015682+0.039825i,0.012984+0.016825i,-0.021691+0.007823i,-0.0092043-0.010264i,0.019675+0.010339i,0.015275+0.020723i,-0.0092+0.0029273i
-0.0015017+0.027389i,0.02535+0.043418i,0.047307+0.0056136i,0.012978+0.0018733i,0.0095287-0.0037874i,0.015222-0.028136i,0.011537+0.0080786i,0.035204+0.027762i,0.016579+0.011195i,0.0036665+0.0067683i,0.00097977+0.00048005i,0.00081451-0.00097871i,-0.0012595+0.00014218i,0.0016425-0.0015867i,0.00077769-0.0026422i,0.0050944-0.0016064i,-0.00096909-0.0083121i,-0.00033468+0.0003945i,-0.0010746+0.0039711i,-0.00042787-0.00096771i,-0.0017212+0.0015331i,-0.0022897+0.0032688i,-0.0017981+0.0022243i,0.0039491-0.0054846i,0.0033095-0.0010583i,0.00070699-0.0020266i,0.001025-0.0012214i,0.001697+0.0007367i,0.00099609+0.00037242i,0.0011244+0.0019487i,-0.0019563+0.00052528i,-0.0014066+0.0018117i,-0.00037957+0.00062755i,-0.00024371+5.7048e-05i,0.00036792+0.0010221i,0.0091594+0.0091144i,0.00022793-0.0010566i,-0.00041237-0.00039722i,0.0025338+0.00028091i,-0.0031261-0.00060803i,-0.0010824+0.00041535i,-0.0027036+0.0022547i,0.007239+0.0038611i,0.0037662+0.00058865i,-0.0087765+0.024558i,-0.03526+0.051235i,-0.0088695+0.062147i,0.0060927+0.03007i,0.032438+0.0096605i,0.015333+0.012318i,-0.013368+0.0093704i,-0.035103+0.0061915i,-0.041433+0.0205i,-0.026785+0.0056356i,0.014427-0.00019036i,0.00040202+0.0075477i,0.005262+0.0086207i,-0.0065149+0.013443i,-0.0032069-0.0025169i,0.018562-0.0081034i,0.017227+0.0041605i,-0.019346+0.0060996i,-0.00022886-0.00082724i,-0.0011626+0.0032051i,-0.0027057+0.00013647i,-0.0024225-0.0036i,0.0068006+0.00037619i,-0.0014641-0.009161i,-0.0037058+0.0032117i,0.0021812-0.0036128i,-0.0017677-0.0065081i,-0.0052624+0.0024208i,0.0028052+6.3329e-05i,0.00067966-0.0026132i,0.031364-0.003915i,-0.0050337+0.006177i,-0.00017958-0.0047563i,-0.0039537-0.0020981i,7.5107e-05-0.0083624i,-0.0016065+0.0073006i,0.0033774-0.0033254i,-0.00093304-0.00066449i,0.00053148-0.0021646i,-0.0023332-0.0010335i,0.00071217+0.0034414i,0.00066592-0.00036027i,0.0065202+0.0015456i,-0.004957+0.0071904i,-0.0045428+0.012531i,-0.010027+0.040123i,0.018522+0.003774i,-0.01708+0.0083142i,-0.015627-0.0096003i,0.02042+0.0054186i,0.020646+0.0146i,-0.0091664+0.0028973i
0.0025584+0.026305i,0.031274+0.039582i,0.046876-0.003238i,0.012772-0.0029919i,0.008996-0.0078208i,0.0090095-0.030422i,0.012991+0.0071606i,0.038242+0.021439i,0.019133+0.0066065i,0.004768+0.0057191i,0.0016211+0.00072869i,0.0010825-0.0012239i,-0.00016128+0.0013592i,0.0012747-0.0014215i,0.00022868-0.0023017i,0.0052661-0.0022524i,-0.0021539-0.0069622i,0.00033757+0.00040519i,-0.00011048+0.0036863i,-0.0010317-0.00058886i,-0.00089026+0.0017522i,-0.00070432+0.0032684i,-0.00097481+0.0025834i,0.00082885-0.0058764i,0.0028779-0.0019651i,-0.00012319-0.0020427i,0.00031358-0.0012649i,0.001666+0.00042588i,0.00082912+4.545e-05i,0.0016532+0.0011012i,-0.0012952+0.001088i,-0.00044947+0.0020683i,-0.00012975+0.00073069i,3.6165e-05+0.0001099i,0.00092364+0.00027092i,0.010474+0.0056241i,-2.43e-05-0.00094257i,-0.00045285-3.9425e-05i,0.0020667-0.00081204i,-0.0025422-3.1409e-05i,-0.0011574+0.00050082i,-0.0018534+0.0027i,0.0078298+0.0017664i,0.0036456+0.00041953i,-0.0051137+0.022361i,-0.02386+0.051906i,0.004599+0.060505i,0.011343+0.028271i,0.029687-0.0020792i,0.015078+0.00678i,-0.010702+0.017649i,-0.031701+0.018492i,-0.035709+0.031652i,-0.030108+0.0066919i,0.010693-0.002686i,0.0027774+0.0069503i,0.0079464+0.0059351i,-0.001941+0.015038i,-0.0036145+2.7024e-05i,0.011381-0.016044i,0.017293-0.0030968i,-0.017143+0.011025i,0.00075984-4.6322e-05i,0.00037656+0.0024825i,-0.00094314+0.00034805i,-0.0029463-0.00068973i,0.0053739-0.00097727i,-0.003273-0.0067802i,-0.00010288+0.0052713i,0.0015168-0.0049059i,-0.004121-0.0049998i,-0.0034809+0.0029703i,0.002706-0.002189i,0.0010153-0.0025069i,0.024424-0.016225i,-0.0014024+0.0068666i,-0.0021406-0.0042861i,-0.0038653-0.0011267i,-0.0033821-0.0078458i,0.00042262+0.0063792i,0.0025456-0.0047215i,0.00048179-0.00026162i,0.00066068-0.0035038i,-0.00082526-0.0014075i,0.0018583+0.0034857i,-0.00012715+0.00055099i,0.0055278-0.00041105i,-0.0040288+0.0070555i,-2.2339e-05+0.012839i,-0.0041632+0.039792i,0.014648-0.0079086i,-0.015098+0.005058i,-0.022055-0.0051543i,0.018894-0.0012723i,0.021885+0.0079914i,-0.0095076+0.0039486i
0.0064675+0.024843i,0.036566+0.034423i,0.044241-0.012685i,0.010078-0.0083519i,0.0073311-0.01222i,0.0024117-0.030979i,0.015047+0.0051247i,0.040777+0.014494i,0.019754+0.0016821i,0.0057365+0.0052128i,0.0020113+0.00043491i,0.0011744-0.0022191i,0.00096574+0.0015068i,0.0009981-0.0014377i,-5.0484e-05-0.001833i,0.0051115-0.0033657i,-0.0033457-0.0061398i,0.00019779-0.00010349i,0.0011818+0.0032315i,-0.0016325+5.4512e-05i,-0.00066081+0.0014973i,0.0006506+0.0023147i,-0.0002772+0.0026125i,-0.0021169-0.0049389i,0.0014657-0.0035101i,-0.00092787-0.0014353i,-0.00029789-0.0010835i,0.0016429+0.00013387i,0.00084131-0.00012703i,0.0017117+0.00032592i,-0.00040658+0.0013156i,0.00021649+0.0021714i,-7.3755e-06+0.00089936i,1.354e-05+0.00012899i,0.00051744-0.00069907i,0.010478+0.0025312i,-0.00036032-0.00063678i,-0.00047854+4.5703e-05i,0.0015381-0.0012196i,-0.0019442+0.00020061i,-0.0011054+0.00087149i,-0.00084168+0.0030717i,0.0079007-0.00051881i,0.0035974+0.00015233i,-0.0029747+0.020143i,-0.013846+0.050955i,0.015848+0.05476i,0.016903+0.025263i,0.023682-0.011095i,0.013616+0.0031166i,-0.0045191+0.022208i,-0.021905+0.027201i,-0.02385+0.03942i,-0.032385+0.011188i,0.0073349-0.0031362i,0.0043938+0.0054201i,0.0086672+0.0024277i,0.0030389+0.014649i,-0.0037114+0.002181i,0.00013388-0.01799i,0.013419-0.0084814i,-0.013921+0.014985i,0.0021455-0.0012366i,0.0010138+0.0014772i,-0.00056702-0.00062356i,-0.0012094+0.0011555i,0.0044542-0.0011653i,-0.0038347-0.0052108i,0.0034346+0.004156i,3.5012e-05-0.0061809i,-0.005367-0.0027415i,-0.0018558+0.0034068i,0.0014368-0.0038355i,0.00083576-0.0034627i,0.01386-0.022399i,0.0014456+0.0060598i,-0.0031566-0.0031084i,-0.0032261-0.00099166i,-0.0057032-0.0059729i,0.0018043+0.0052423i,0.0014368-0.0065831i,0.0012432-0.0010249i,-0.00075948-0.0040412i,-0.0011655-0.0025585i,0.0034833+0.0034165i,0.00023417+0.0015462i,0.0049896-0.0014746i,-0.0034191+0.0076439i,0.0033098+0.011056i,0.0022238+0.039042i,0.0074319-0.015623i,-0.017518+0.0023895i,-0.024667+0.0024395i,0.013097-0.0059424i,0.022238+0.001936i,-0.0082171+0.0046825i
0.010295+0.022095i,0.041764+0.028932i,0.039105-0.02051i,0.0047225-0.01154i,0.0038121-0.015811i,-0.0034209-0.029959i,0.016996+0.0020005i,0.041462+0.0070192i,0.019485-0.0034237i,0.0073915+0.0044592i,0.0023452+0.00027287i,0.00014582-0.003102i,0.0020326+0.001228i,0.00071805-0.0012966i,1.6621e-05-0.0016933i,0.0043309-0.0042047i,-0.0051632-0.0047237i,0.00013945-0.00016026i,0.0021062+0.0019752i,-0.0014914+0.0013541i,-0.00043571+0.0016846i,0.00050802+0.0010006i,0.00045669+0.002547i,-0.0041789-0.0024239i,-0.0010082-0.0031944i,-0.0012233-0.00071397i,-0.0006177-0.0007069i,0.0014876-0.00021802i,0.00063389-0.00065321i,0.0015358-0.00026186i,0.00040673+0.00098517i,0.00093892+0.0019089i,0.00040923+0.0010612i,3.6364e-06+0.0002854i,-0.00044261-0.00028971i,0.0098711-0.00024062i,-0.00040288-0.0002465i,-0.00042281+0.00030013i,0.00090248-0.0012844i,-0.0015107+0.00012728i,-0.0009044+0.0012385i,0.00019841+0.0029007i,0.0070281-0.0028563i,0.0034412-0.00016012i,-0.0015193+0.018416i,-0.0047492+0.047863i,0.023449+0.047609i,0.022387+0.020779i,0.016189-0.016155i,0.01189+0.001228i,0.0024118+0.023728i,-0.010904+0.029427i,-0.0095834+0.041307i,-0.031997+0.017907i,0.0058444-0.0025447i,0.0056072+0.0035551i,0.0078444-0.000316i,0.0079807+0.012168i,-0.0028825+0.0045378i,-0.009343-0.01341i,0.0084772-0.010763i,-0.0097528+0.017995i,0.0013308-0.0032206i,0.00094266+0.00073238i,-0.0010421-0.00061162i,0.0011037+0.0013424i,0.0041749-0.0015185i,-0.0046482-0.0037384i,0.0056123+0.0010028i,-0.0028884-0.0065469i,-0.0051993-0.00042206i,3.756e-05+0.0025834i,9.3535e-05-0.0045066i,-0.00015184-0.0042308i,0.0034604-0.023009i,0.003345+0.0044133i,-0.0036641-0.0023126i,-0.0039558-0.00084799i,-0.0069633-0.0033698i,0.0023087+0.0042365i,-0.0010401-0.0083138i,0.001482-0.0020573i,-0.0019423-0.0032385i,-0.0019138-0.002917i,0.0047963+0.0025159i,0.001007+0.0020354i,0.003628-0.0025298i,-0.0023415+0.0083141i,0.0055285+0.0085955i,0.0092549+0.037367i,-0.0032161-0.020035i,-0.02167+0.0029258i,-0.022787+0.010434i,0.0072054-0.0057622i,0.019694-0.0048206i,-0.0067582+0.0034313i
0.013011+0.018246i,0.046341+0.021604i,0.033336-0.026002i,-8.5618e-06-0.011321i,-0.00074249-0.017945i,-0.0082131-0.028357i,0.018239-0.0024736i,0.041037+0.00020313i,0.01761-0.008191i,0.0089214+0.0024494i,0.0030553-0.00029628i,-0.001166-0.0027523i,0.0027424-1.6349e-05i,0.00073759-0.0013303i,-0.0001566-0.00174i,0.003689-0.0044769i,-0.0055434-0.0024352i,0.00011311-0.00067572i,0.0019294+0.00070129i,-0.00056287+0.0020001i,-2.6471e-05+0.0017123i,6.1969e-05+0.00048103i,0.0011578+0.0022255i,-0.0046437+0.00066194i,-0.002144-0.0015092i,-0.0012454-0.00010906i,-0.00068872-0.00039876i,0.0012543-0.00054899i,-3.1705e-05-0.00042724i,0.0011224-0.00088753i,0.00094241+0.00036827i,0.0013997+0.0014735i,0.00097144+0.00083481i,0.00031194+0.00044218i,-0.0004762+0.00064342i,0.0084543-0.0023761i,-0.00042391+0.00016839i,-0.00019153+0.00054506i,0.00033038-0.0014296i,-0.0010288-8.4428e-06i,-0.00042995+0.0015612i,0.00091242+0.002422i,0.0051972-0.0044673i,0.0030083-0.00035211i,-0.00059462+0.01775i,0.001629+0.043304i,0.028964+0.040848i,0.0262+0.014248i,0.009535-0.018036i,0.011195+0.001556i,0.0096859+0.023441i,-0.0015994+0.028689i,0.0027285+0.037763i,-0.028736+0.02494i,0.00524-0.0027088i,0.0061714+0.00099536i,0.0071133-0.0024786i,0.011425+0.0075637i,-0.00059766+0.005166i,-0.014312-0.0059066i,0.0040298-0.011458i,-0.0037536+0.019257i,-0.00053858-0.0037136i,0.00023074+0.00085933i,-0.0013606-6.511e-05i,0.0025104+0.00010455i,0.0040292-0.0011964i,-0.004683-0.0018401i,0.0047565-0.001851i,-0.0053162-0.004716i,-0.0037548+0.00095029i,0.00055828+0.001047i,-0.0010749-0.0048076i,-0.0014554-0.0042602i,-0.0046453-0.020063i,0.0048427+0.0019967i,-0.0045879-0.0011467i,-0.0042382+0.00066549i,-0.0070252-0.00062409i,0.0029374+0.0038883i,-0.005057-0.0083417i,0.001118-0.0034373i,-0.0023231-0.002685i,-0.0028702-0.0032647i,0.0061464+0.001155i,0.0019965+0.0020529i,0.0022461-0.0020103i,-0.0010163+0.0084433i,0.0064615+0.0059609i,0.01643+0.033249i,-0.014868-0.018144i,-0.024839+0.0058558i,-0.017594+0.014977i,0.0042782-0.0043763i,0.014344-0.0089342i,-0.008327+0.0023668i
0.013987+0.014481i,0.049278+0.01318i,0.027573-0.030419i,-0.0030744-0.0099178i,-0.0055507-0.018448i,-0.012996-0.026444i,0.017747-0.0081004i,0.039793-0.006618i,0.014255-0.012106i,0.0095847+1.6616e-05i,0.0034725-0.0016232i,-0.0020102-0.0018i,0.0023991-0.0012627i,0.00055368-0.0014588i,-0.00059272-0.0018153i,0.0032279-0.0048536i,-0.005074-0.00082072i,-0.00054157-0.0011484i,0.0016983+5.9612e-05i,0.00037785+0.0020993i,0.00029547+0.0017609i,-0.00036274+0.00054674i,0.001519+0.0016596i,-0.0034564+0.0034272i,-0.0017881+0.00013215i,-0.0010622+0.000513i,-0.00074635-0.00016922i,0.00080853-0.00069203i,-0.00012333+6.8679e-07i,0.00035213-0.00098877i,0.0010379-0.00033369i,0.0019244+0.0010661i,0.0011761+0.00040259i,0.00054448+0.0001089i,0.00030206+0.00096736i,0.0068544-0.0038567i,-0.00016622+0.00038553i,9.8934e-05+0.00065383i,-0.00043913-0.0013123i,-0.00076448-0.00038677i,6.3858e-05+0.0017817i,0.0013827+0.0017955i,0.0030938-0.0048941i,0.0029469+0.00026597i,0.00098844+0.017517i,0.0057341+0.039827i,0.033477+0.033966i,0.027483+0.0084356i,0.0035745-0.019045i,0.013336+0.0018926i,0.016577+0.02012i,0.0075727+0.02561i,0.012813+0.031411i,-0.02133+0.031053i,0.0044962-0.0031672i,0.0050149-0.0024282i,0.0059955-0.0047058i,0.011493+0.0020801i,0.00057316+0.0046611i,-0.015326+0.002932i,-0.00027507-0.01084i,0.00087363+0.016884i,-0.0022081-0.0028418i,2.161e-05+0.0017102i,-0.0013131+0.00042627i,0.0033636-0.0016854i,0.0049585-0.00066317i,-0.0035573-0.00054365i,0.0032689-0.0023012i,-0.0062911-0.0024162i,-0.0024459+0.001177i,0.00027847+0.00044229i,-0.0033048-0.0047125i,-0.0028307-0.0035193i,-0.010867-0.015726i,0.0048037-0.00087887i,-0.0049219+0.00044943i,-0.0031785+0.0019333i,-0.006436+0.0014779i,0.0041155+0.0033931i,-0.0082117-0.0056242i,-0.00041269-0.0046123i,-0.0030266-0.0019262i,-0.0043734-0.0028676i,0.0068885-0.0012536i,0.0028785+0.0018499i,0.0023949-0.0016048i,0.00068567+0.0088056i,0.0060558+0.0034625i,0.02239+0.027035i,-0.021502-0.0099393i,-0.027354+0.011154i,-0.011796+0.017509i,0.0021101-0.0023866i,0.0094635-0.0091582i,-0.0092056+0.0030186i
