-0.027868-0.044861i,-0.021996-0.020617i,-0.012193-0.037476i,-0.029707-0.021432i,-0.022573-0.0011571i,-0.014272-0.0060507i,-0.054965-0.06055i,-0.047371-0.018669i,-0.038452-0.015604i,0.0091355+0.012948i,-0.0084098+0.0059234i,-0.020384+0.019258i,0.0023329+0.012111i,-0.005984-0.0034636i,0.00047173+0.0012512i,-0.0016757+0.031252i,0.027374+0.029016i,0.0022253-0.0012772i,-0.0019018-0.0066556i,0.0081645+0.0028214i,0.0027464+0.00113i,0.00036407+0.0037502i,-0.00038185+0.00019315i,-0.037594-0.011915i,-0.00037696-0.0073287i,0.0014086+0.002501i,0.0065812+0.001483i,0.0020795+0.00049849i,0.0010921-0.0006571i,-0.00059724-0.002653i,0.0012383-0.0024343i,-0.0025883-0.0057094i,-0.00044958-0.0050653i,0.0030565-0.00083148i,0.0047512-0.0025786i,0.0013815+0.032189i,0.0044262-0.003314i,0.0034832-0.0017449i,0.00869-0.0010584i,-0.0058106-0.0018718i,-0.00016944+0.0012376i,0.0092391+0.00072859i,0.0038309-0.0023913i,-0.0027127+0.0079792i,-0.016105-0.0086758i,-0.019248+0.014915i,-0.00010303-0.062161i,-0.0042433-0.027481i,-0.025442-0.03353i,-0.010515-0.027078i,0.056515-0.020334i,0.01823-0.043356i,0.023501-0.048384i,0.0066105-0.056075i,0.026686-0.019986i,0.0090476+0.0064997i,0.026625-0.033373i,-0.0080174-0.0069598i,0.0036733-0.0045408i,-0.0043071-0.006957i,-0.0016737-0.033643i,-0.019455+0.029614i,0.0085693-0.011128i,-0.0092224-0.0040913i,-0.0042326-0.0017892i,0.0011441-0.013292i,-0.011115+0.0040989i,0.0024426+0.010085i,-0.0056648+0.02731i,0.0044242+0.0024058i,-0.0054325-0.0018426i,-0.0019529-0.0026228i,-0.012724-0.0077603i,-0.00029659-0.0042161i,-0.036309+0.00074236i,0.0014242-0.010453i,-0.0081658+1.4732e-05i,-0.0068731-0.0026033i,0.0053793+0.0013837i,-0.0087773-0.00014535i,0.0016438+0.00010726i,0.0039809+0.007521i,0.0044772+0.00074683i,-0.008498-0.012759i,0.0018814+0.0097109i,-0.01611+0.0053413i,0.0062849+0.00029635i,-0.02306-0.0012434i,-0.019392+0.0044188i,-0.0052449-0.065571i,0.0084241-0.012189i,-0.048981-0.024124i,-0.021409+0.00023442i,0.017918+0.011969i,-0.02367+0.014272i,-0.019503-0.0058071i
0.0096532-0.031891i,-8.4631e-05-0.021274i,0.00012165-0.022583i,-0.0015161-0.0096877i,-0.010625-0.017186i,-0.0057414-0.0030612i,-0.0014136-0.023663i,-0.011741-0.0082241i,-0.012874-0.0029942i,0.00086939-0.0048936i,-0.0017236-0.00035012i,0.0010598+0.001175i,0.0012939-0.00045732i,0.0010189-0.00078146i,-0.00094825-0.00083393i,0.00011509-0.003717i,-0.00094888+0.0050348i,-0.0015112+0.0010841i,-0.00041965+0.00057911i,0.00083064+0.00076367i,0.0014423+0.00075488i,-0.00022346+0.0010305i,0.00092227-0.00085052i,0.0027847+0.00034667i,-0.0007981-0.0012511i,0.00026255+0.00035183i,0.0012508+0.00074502i,7.9294e-05-0.00062249i,0.0010491-0.00080275i,-0.00035701-0.00049771i,-0.0002995-0.0025843i,0.0019104-0.0034568i,0.0010742-0.0014775i,-0.00037893-0.00049684i,0.0019507-0.0038267i,0.0035095-0.0065915i,0.00071715+0.00039428i,0.00035587+0.00027206i,1.2083e-05-0.00093612i,-0.0012284-0.0025456i,0.0020374+7.5905e-05i,0.00081354-0.00056626i,0.00029453-0.0016404i,0.0046313+0.00089009i,-0.012094-0.023168i,0.012061-0.00048587i,0.022886-0.0037261i,0.007907-0.003183i,-0.015822-0.0067696i,0.016505-0.0070595i,0.019072+0.0032201i,0.0091086+0.0032425i,0.011688-0.0094511i,0.0087512-0.0032273i,-0.0061413-0.004745i,-0.0054302+0.00074723i,-0.0084503-0.0056336i,0.00090976-0.0036797i,0.0021196+0.0026582i,0.006888+0.011352i,-0.0041677+0.001317i,0.0055257+0.0027943i,-0.0010529+0.0039912i,0.0038206+0.0023589i,0.0025+0.00054651i,-0.0049598+0.002855i,0.00071727-0.0095004i,-0.0040077+0.0021883i,0.0022012-0.0060816i,0.0017567+0.0051116i,-0.0026547-0.00093097i,-0.00096484-0.0013243i,-0.0011139+0.0041356i,-0.0016633+0.0010267i,-0.010588+0.0069647i,-0.00075048-0.0041624i,-0.00090321+0.0010728i,-0.0010686+0.0017223i,0.0010367+0.0027396i,0.007987-0.0090013i,-0.00070796+0.0046148i,-0.0046278-0.00089921i,-0.0025399+0.00062215i,-0.0019609+0.0016989i,0.00027996-0.0021389i,0.0018054-0.0022122i,0.0031357-0.0029302i,0.00014239+0.0040917i,0.00047506+0.0040981i,0.013821-0.016837i,-0.018455+0.0069298i,-0.014749+0.036403i,-0.0042189+0.0070808i,0.0069973+0.0038826i,0.0023718-0.0013162i,-0.011639+0.006018i
0.0044114-0.032681i,-0.0042592-0.020449i,-0.0041271-0.022182i,-0.0027766-0.0097688i,-0.01332-0.01463i,-0.0061784-0.0028368i,-0.0063466-0.02233i,-0.012284-0.006385i,-0.012258-0.00077321i,-0.00064622-0.004411i,-0.0017214+0.00063256i,0.0013526+0.0004599i,0.0014956-0.00045683i,0.00049353-0.00096447i,-0.0010421-0.00043044i,-0.00067514-0.0033447i,0.00034203+0.0050144i,-0.00083676+0.0016805i,-0.0001426+0.00074347i,0.00058783+0.00043159i,0.001258+4.6969e-05i,6.9299e-05+0.0010487i,0.00052605-0.0010355i,0.0020397-0.001751i,-0.0011323-0.001263i,0.0003127+0.00018517i,0.0014318+0.00033985i,1.2613e-05-0.00053853i,0.00070057-0.0011419i,-0.0005448-7.9117e-05i,-0.0014258-0.0024008i,0.00068587-0.0038775i,0.00032894-0.0017898i,-0.00049351-0.00031273i,-0.00019373-0.0044051i,0.0018053-0.0073623i,0.00077913-4.3309e-05i,0.00048725+8.3775e-05i,-0.00012119-0.00090554i,-0.0023251-0.0022198i,0.0018202-0.00072948i,0.00060761-0.00070414i,-0.00014855-0.0014091i,0.0049006+5.5937e-05i,-0.014729-0.02126i,0.013057-0.0044787i,0.023112-0.0081121i,0.0079444-0.0069432i,-0.012727-0.0026085i,0.01486-0.014308i,0.019025-0.0010213i,0.0083001-0.0012608i,0.0080912-0.010867i,0.009268-0.0072466i,-0.006528-0.0031114i,-0.0053519+0.0038989i,-0.012472-0.0018608i,-0.00092534-0.0029814i,0.002419+0.0026287i,0.0098699+0.0088015i,-0.0026976+0.0023214i,0.0037318+0.0017038i,0.0017379+0.0031028i,0.0053321+0.0010245i,0.003026-0.00059282i,-0.003312+0.0051552i,-0.002644-0.010553i,-0.003593+0.0034258i,0.00017131-0.0071178i,0.0024663+0.0036072i,-0.0034825-1.0766e-05i,-0.0013241-0.0010338i,0.0019255+0.0042608i,-0.0010676+0.00050467i,-0.005838+0.0093686i,-0.00308-0.0039259i,-0.00034748+0.00063563i,-0.00072189+0.0014864i,0.001427+0.0014544i,0.0044724-0.01209i,0.0016265+0.0038029i,-0.0037694+0.00023699i,-0.0023223+0.0010137i,-0.0013013+0.0026856i,-0.00031982-0.0016598i,0.0010543-0.0021867i,0.0026379-0.0039895i,2.3373e-05+0.0043569i,0.0011452+0.0043346i,0.009618-0.01936i,-0.019663+0.0071055i,-0.007487+0.035404i,-0.0035497+0.0065812i,0.0082562+0.0024781i,0.0030269-0.00045715i,-0.0096768+0.0068829i
-0.00042994-0.032308i,-0.0076965-0.0189i,-0.0079901-0.020845i,-0.0043107-0.0093266i,-0.015769-0.012257i,-0.0067427-0.0025052i,-0.0097574-0.020447i,-0.012767-0.0047633i,-0.01109+0.00073459i,-0.0015216-0.0033753i,-0.0011177+0.001419i,0.0013151-2.7582e-05i,0.0015704-0.00069667i,0.00036839-0.00066579i,-0.00096899-0.00019632i,-0.0013216-0.0026162i,0.001946+0.0046821i,-6.7965e-05+0.0016981i,0.00016022+0.0008484i,0.00039062+0.00047152i,0.00091344-0.00046449i,0.00022889+0.00085889i,0.00010219-0.0011693i,0.00071584-0.0029409i,-0.0017278-0.00086549i,0.00023329+0.0001834i,0.0016093-0.00017906i,-0.00010392-0.00051481i,0.00022123-0.0012027i,-0.00047624+0.00024533i,-0.0023223-0.0016928i,-0.00082464-0.003979i,-0.00044511-0.0015785i,-0.00042788-0.00012934i,-0.0017568-0.0037835i,-0.00016987-0.0077409i,0.00065428-0.00014057i,0.00047545-9.0849e-05i,-0.00024941-0.00092208i,-0.0033328-0.0012791i,0.0013184-0.0012868i,0.00045948-0.00083534i,-0.00049974-0.00096239i,0.0049627-0.0011811i,-0.01757-0.019448i,0.012298-0.0088405i,0.022231-0.012812i,0.0055668-0.011122i,-0.0078818-0.0019521i,0.0095035-0.020065i,0.0185-0.0046459i,0.0069849-0.004226i,0.0055018-0.010108i,0.0082574-0.011564i,-0.00709-0.0014193i,-0.0033171+0.0065222i,-0.014364+0.0038725i,-0.0024202-0.002037i,0.0029333+0.0024734i,0.011057+0.0051343i,-0.0012576+0.0024559i,0.0023345+0.0015325i,0.0019962+0.0011826i,0.0056435-0.0014663i,0.0028229-0.0024384i,-4.161e-05+0.0063749i,-0.0073694-0.0086479i,-0.0022203+0.005331i,-0.0028975-0.0071262i,0.0037662+0.0028001i,-0.0038531+0.0014669i,-0.0014752-0.00065992i,0.0048708+0.00097357i,-0.00089859+0.00013249i,-0.00048527+0.008625i,-0.0050186-0.0020528i,-0.00028322-4.0549e-05i,-0.00087644+0.0013063i,0.00137+0.00049818i,-0.00051376-0.013797i,0.0030937+0.0017674i,-0.0032997+0.00060487i,-0.0022368+0.0014449i,0.00059641+0.0030314i,-8.7794e-05-0.00081666i,0.00034436-0.0017644i,0.001435-0.0049654i,4.3474e-05+0.0048039i,0.0017325+0.0042632i,0.0052086-0.019914i,-0.021217+0.010243i,-0.0022286+0.03368i,-0.0032352+0.0052716i,0.0091158+0.00048441i,0.0035342-0.00076175i,-0.0079198+0.0066489i
-0.0049975-0.031614i,-0.0103-0.016938i,-0.011267-0.018895i,-0.0055355-0.0086019i,-0.017831-0.0091129i,-0.007434-0.0019547i,-0.012741-0.018778i,-0.013205-0.0030512i,-0.0099378+0.001288i,-0.0017576-0.0023522i,-0.00029164+0.0018554i,0.0011719-0.00030199i,0.0015683-0.0009312i,0.00061695-0.0005204i,-0.00090502-7.0887e-06i,-0.0015404-0.0017653i,0.0031406+0.0037021i,0.00050904+0.0014995i,0.0005533+0.00084401i,0.00043796+0.00062233i,0.00039798-0.00072919i,0.00018085+0.00084467i,-0.00037191-0.00098727i,-0.00066215-0.0031028i,-0.0018602-0.0001503i,0.00032508+0.00021779i,0.0013691-0.00083864i,-0.00023296-0.00041371i,-0.00013969-0.0010899i,-0.00027693+0.00050101i,-0.0028146-0.00074133i,-0.0021959-0.0032564i,-0.00086012-0.0011603i,-0.00030566-2.5869e-05i,-0.0028099-0.00305i,-0.0021134-0.0073326i,0.00079774-0.00026423i,0.0003958-0.00014048i,-0.00055763-0.0009218i,-0.0038986+5.3543e-05i,0.00073506-0.001609i,0.00020742-0.0008881i,-0.00056546-0.00044489i,0.0045294-0.0021954i,-0.020605-0.016937i,0.010027-0.012331i,0.020028-0.017204i,0.0016191-0.01357i,-0.0052415-0.0047478i,0.0033003-0.022618i,0.018166-0.0085256i,0.0059973-0.0069863i,0.0054479-0.0093826i,0.0066426-0.014742i,-0.0077714-3.5151e-06i,-0.00039268+0.0075132i,-0.013054+0.010732i,-0.0034888-0.000788i,0.0033856+0.0019937i,0.010962+0.0024055i,-0.00035115+0.0019727i,0.00099606+0.002263i,0.0019449+0.00061448i,0.0042109-0.0037096i,0.0012117-0.0036771i,0.0031182+0.0053197i,-0.0094715-0.0039915i,0.00087813+0.0056723i,-0.0053269-0.0053071i,0.004571+0.00078426i,-0.0033978+0.0032475i,-0.0015532-0.00046326i,0.0043831-0.0029122i,-0.0012391+5.6578e-05i,0.0023219+0.0053145i,-0.0051859+0.00015994i,-0.00071055-0.00064864i,-0.00090771+0.0017037i,0.0009783-0.00029483i,-0.0065161-0.012666i,0.002869-0.0005629i,-0.0031442+0.0010719i,-0.0018708+0.0023165i,0.00218+0.0022225i,0.00047786-0.001264i,0.00020293-0.00096099i,5.3392e-05-0.0053552i,0.00010113+0.0056919i,0.0024342+0.0040368i,0.0026156-0.01959i,-0.021163+0.014403i,0.002204+0.031529i,-0.0038657+0.0036105i,0.0085438-0.0021837i,0.0034765-0.00076783i,-0.0073006+0.0056786i
-0.0097507-0.030368i,-0.012227-0.014933i,-0.01414-0.016521i,-0.0065926-0.0081283i,-0.019018-0.0056423i,-0.0082097-0.0011278i,-0.015732-0.01683i,-0.013279-0.0011663i,-0.0093182+0.0014625i,-0.0016865-0.0017037i,0.00064156+0.0019382i,0.0010952-0.00057026i,0.0015384-0.0012312i,0.00072278-0.00070944i,-0.00081249+0.0001822i,-0.0013582-0.001115i,0.0039689+0.0025701i,0.0009759+0.0011423i,0.00089204+0.00048552i,0.0006996+0.00064938i,-0.00037779-0.0005131i,0.00045499+0.0008672i,-0.00062699-0.00067866i,-0.0015984-0.002727i,-0.0016796+0.00053612i,0.00038229+9.0935e-05i,0.00070925-0.0011827i,-0.00030466-0.00036917i,-0.00042826-0.00084657i,-2.1835e-05+0.00059211i,-0.0030299+0.00035509i,-0.0029381-0.0020853i,-0.00089398-0.0007134i,-0.0002606-1.2658e-05i,-0.0037695-0.0019098i,-0.0036443-0.0061283i,0.00065359-0.00059107i,0.0003376-0.00017324i,-0.00073575-0.00057341i,-0.0038914+0.0014777i,-8.6952e-06-0.0016137i,-0.00014302-0.00095213i,-0.00027404-1.6262e-05i,0.0039501-0.0026971i,-0.023097-0.013445i,0.0065962-0.014609i,0.016783-0.020666i,-0.0025757-0.01404i,-0.0053772-0.0070169i,-0.0031341-0.023415i,0.017175-0.013116i,0.0042477-0.0099944i,0.0058351-0.010343i,0.00411-0.018419i,-0.0085856+0.0019471i,0.0023912+0.0068715i,-0.0082032+0.015709i,-0.0039635+0.00052123i,0.0035617+0.0014989i,0.010707-3.4103e-05i,-1.0635e-05+0.0015699i,0.00080601+0.0037197i,0.0024383-0.00016229i,0.0022081-0.0044571i,-0.00036427-0.0037181i,0.0049647+0.0031843i,-0.0092062+0.00029871i,0.0034545+0.0043311i,-0.0068513-0.002895i,0.0037784-0.0010679i,-0.0016906+0.0046164i,-0.0019215-0.00016059i,0.0018079-0.0054313i,-0.0015401+0.00025154i,0.0027313+0.002122i,-0.0045774+0.0020382i,-0.001544-0.00074776i,-0.00076625+0.0017798i,8.695e-05-0.00068344i,-0.010412-0.0090521i,0.0016275-0.0019889i,-0.002701+0.0014967i,-0.00084852+0.0028222i,0.0030394+0.00082336i,-3.5988e-05-0.0014315i,0.00080999-0.00058403i,-0.0012537-0.0051395i,0.0014891+0.0071089i,0.0027751+0.0037303i,-0.00045216-0.019625i,-0.020047+0.019199i,0.0058632+0.028938i,-0.0057646+0.0027182i,0.0059949-0.003633i,0.0037581-0.0011007i,-0.0079032+0.0049097i
-0.014235-0.027946i,-0.013886-0.013365i,-0.016319-0.013596i,-0.0078433-0.0075521i,-0.019622-0.0023607i,-0.008761+0.00012841i,-0.018247-0.014352i,-0.012932+0.00052763i,-0.0092253+0.0014556i,-0.0014296-0.0011868i,0.0015728+0.0014964i,0.0010345-0.00055981i,0.0013476-0.0014802i,0.00075452-0.00084559i,-0.00073085+0.00028022i,-0.00099248-0.00096579i,0.0047386+0.0012719i,0.0012384+0.00065248i,0.0009202-1.4261e-05i,0.0010117+0.00061914i,-0.00057734+3.6728e-05i,0.0008916+0.00065808i,-0.00062278-0.00037362i,-0.0021934-0.0023453i,-0.001346+0.00094269i,0.00044283-2.6878e-05i,0.00021363-0.0010342i,-0.00040974-0.00015814i,-0.00063662-0.0005214i,0.00032124+0.00067725i,-0.0027496+0.0015945i,-0.0032306-0.001025i,-0.0010082-0.0004452i,-0.00028654+0.00014239i,-0.0040763-0.0003075i,-0.0044544-0.0046219i,0.00033056-0.0006744i,0.00029969-0.00017699i,-0.00050405-0.0003463i,-0.0032469+0.002815i,-0.00042002-0.0013269i,-0.00039128-0.00079922i,0.00012017+7.804e-05i,0.0037137-0.0031026i,-0.024548-0.0094665i,0.0036059-0.014774i,0.013365-0.023045i,-0.0063995-0.013097i,-0.0069556-0.0081856i,-0.0097729-0.021447i,0.014752-0.017842i,0.0022791-0.012056i,0.0058584-0.011514i,-4.2436e-05-0.020717i,-0.0088999+0.00479i,0.0042647+0.0052038i,-0.0020657+0.01788i,-0.0041749+0.0020845i,0.003777+0.0013338i,0.0097974-0.0023423i,0.00026297+0.0010513i,0.002053+0.0050131i,0.0019792-0.0012106i,0.00094682-0.0040887i,-0.0018965-0.0031389i,0.0055586+0.00096352i,-0.0070748+0.0032267i,0.0050523+0.0020828i,-0.0073227+0.00017143i,0.0024241-0.0017056i,0.00054853+0.0046964i,-0.0019251+0.00060391i,-0.0012638-0.0061441i,-0.001549+0.00034804i,0.0013967+0.00033546i,-0.003354+0.0034326i,-0.0023194-8.0785e-05i,-0.00088694+0.0020023i,-0.00038307-0.00034016i,-0.012465-0.0048092i,2.7534e-05-0.0025397i,-0.00239+0.0017914i,0.00012471+0.0027294i,0.0031448-0.00080311i,-5.1302e-05-0.0011827i,0.0014136-0.00098292i,-0.0026162-0.0052268i,0.0034309+0.0069054i,0.0032227+0.0035721i,-0.0028109-0.018725i,-0.016886+0.024882i,0.0086693+0.026343i,-0.0079836+0.0033478i,0.0033214-0.0027384i,0.0034165-0.0019167i,-0.0089126+0.0050872i
-0.017658-0.024954i,-0.01608-0.01203i,-0.017648-0.010915i,-0.0090189-0.0065223i,-0.019689+0.0014316i,-0.0087837+0.0016083i,-0.020334-0.01155i,-0.012481+0.0019655i,-0.0097253+0.0019207i,-0.0010074-0.0010913i,0.0020871+0.00066339i,0.0011193-0.00082008i,0.0012141-0.0016535i,0.00096174-0.0013463i,-0.00061489+0.00039398i,-0.00095232-0.00096935i,0.0049152-0.00059006i,0.0011942+0.00019996i,0.00077147-0.00042246i,0.0015121+0.00033767i,-0.00049194+0.00040893i,0.00095844+0.00020836i,-0.00063314-0.00021104i,-0.0025275-0.0021882i,-0.0010221+0.0012322i,0.00044726-0.00018194i,-4.4081e-05-0.00091004i,-0.00039621+0.00012668i,-0.00069401-0.00015764i,0.00074372+0.00053974i,-0.0019784+0.0025807i,-0.003308+0.00012699i,-0.0008832-0.00016458i,-0.00015167+0.00021773i,-0.0036493+0.0010792i,-0.00481-0.0032701i,0.00023086-0.0006186i,0.00038942-0.0001459i,-0.00050682-0.00041305i,-0.0019515+0.0037096i,-0.0006287-0.0010027i,-0.00058988-0.00071949i,0.00040971-0.00019756i,0.0035898-0.0039183i,-0.025255-0.0055105i,0.0021502-0.014457i,0.0098696-0.02472i,-0.0095516-0.010596i,-0.0077826-0.0078726i,-0.014866-0.01652i,0.010968-0.021976i,0.00020146-0.014543i,0.0055815-0.013466i,-0.0045251-0.020934i,-0.0075964+0.0083478i,0.0051798+0.0032251i,0.0036627+0.017041i,-0.0037081+0.0036177i,0.0045446+0.00091126i,0.0084156-0.0044587i,0.00014379+0.00071067i,0.0044254+0.0050144i,0.0012507-0.0012785i,0.00017672-0.0039497i,-0.0027964-0.0021722i,0.0054493-0.0010666i,-0.0051165+0.0044926i,0.0052635-0.00081985i,-0.006368+0.0028339i,0.0021061-0.0015884i,0.0021771+0.0036663i,-0.0015728+0.00098992i,-0.0043302-0.0052455i,-0.0018858+0.00059133i,0.00036119+0.0005976i,-0.0016587+0.0041806i,-0.0022486+0.00088397i,-0.00064922+0.0028871i,-0.00039909-0.00024255i,-0.013044-0.00064854i,-0.0015827-0.0020731i,-0.0022796+0.0023931i,0.00060598+0.0025421i,0.0026796-0.0026068i,-0.00011205-0.0017638i,0.0016705-0.001677i,-0.004258-0.0043749i,0.0052598+0.0058554i,0.0040627+0.0033181i,-0.0048034-0.017798i,-0.010134+0.028319i,0.011667+0.023227i,-0.0094412+0.0049534i,0.0022313-0.0009275i,0.0025961-0.0020826i,-0.0097615+0.0058936i
-0.020575-0.021887i,-0.018659-0.0097498i,-0.018842-0.0084386i,-0.0097468-0.0054207i,-0.018405+0.0052363i,-0.0083755+0.0029541i,-0.02181-0.0084237i,-0.011912+0.0033032i,-0.010117+0.0030688i,-0.00099539-0.0012119i,0.0021116-0.00034887i,0.00083814-0.0011743i,0.0012034-0.0018879i,0.00030539-0.0020825i,-0.00058398+0.00053851i,-0.0010813-0.0010706i,0.004135-0.002266i,0.0011409-0.0001622i,0.00040491-0.00072135i,0.0018124-0.0002498i,-0.000237+0.00073216i,0.00084815-0.00016346i,-0.00065459-2.2785e-05i,-0.003225-0.0017209i,-0.00068492+0.0013047i,0.00035572-0.0004682i,-0.00019958-0.00071565i,-0.00017525+0.00036416i,-0.00052326+0.00011167i,0.0010113+0.00010857i,-0.00090454+0.0032217i,-0.0028287+0.0012609i,-0.00083776-7.5933e-05i,-3.4204e-05+0.00016477i,-0.0032458+0.0021672i,-0.0048789-0.0020635i,0.00015697-0.00087147i,0.00058117-0.00031194i,-0.0006625-0.00041755i,-0.00053773+0.0037813i,-0.00072281-0.00074988i,-0.00088556-0.00062336i,0.00034318-0.0005725i,0.0030684-0.0048102i,-0.024879-0.0017596i,0.0018352-0.014712i,0.0062702-0.025625i,-0.010646-0.0070527i,-0.0078048-0.0074322i,-0.015997-0.0099175i,0.0060556-0.025482i,-0.0027661-0.017143i,0.0046298-0.015987i,-0.0081968-0.019333i,-0.0046132+0.010434i,0.0050096+0.001159i,0.0081731+0.014837i,-0.0028721+0.0048785i,0.0050648-0.00060232i,0.0068796-0.0058316i,-0.00042571+0.00073561i,0.0061754+0.0035119i,0.0014139-0.00092077i,-0.00070882-0.0037485i,-0.0033107-0.00071846i,0.0046741-0.0027307i,-0.0033064+0.0054384i,0.004365-0.0033763i,-0.0043355+0.0047694i,0.0024217-0.0026731i,0.0032457+0.0021635i,-0.0013127+0.0014272i,-0.0067376-0.0024074i,-0.0020011+0.0012016i,0.00023353+0.0015688i,5.5246e-05+0.0039098i,-0.00176+0.0015346i,0.00053786+0.0029799i,-0.00063073-0.00030375i,-0.012312+0.0033777i,-0.0027-0.00054407i,-0.0014822+0.0033004i,0.0015557+0.0022618i,0.0010194-0.0039201i,-0.0007355-0.0019854i,0.0013181-0.0024767i,-0.0053591-0.0024526i,0.0062565+0.0038314i,0.00486+0.0026068i,-0.0055971-0.016224i,-0.0035848+0.028735i,0.014075+0.019528i,-0.010086+0.0073808i,0.0024912+0.00093906i,0.0021481-0.0016402i,-0.010082+0.0074555i
-0.023045-0.018364i,-0.020864-0.0063871i,-0.019956-0.0058966i,-0.01043-0.0045636i,-0.01606+0.0079994i,-0.0078012+0.0040995i,-0.0229-0.0053637i,-0.011226+0.0046208i,-0.0098218+0.0046998i,-0.0013494-0.0012989i,0.0015297-0.0011472i,0.00051012-0.0013241i,0.0010994-0.0023536i,-0.00080365-0.0021653i,-0.00046618+0.00083501i,-0.0013031-0.0009771i,0.002711-0.0031862i,0.00092827-0.00048092i,-1.4751e-05-0.0006917i,0.0016985-0.00098833i,4.367e-05+0.00076357i,0.00061794-0.00037597i,-0.00055934+0.00018226i,-0.0035874-0.00098162i,-0.00028836+0.0014825i,9.3403e-05-0.00067248i,-0.00031135-0.00056784i,9.5493e-05+0.00035391i,-0.00034873+0.0001907i,0.00093661-0.00041994i,0.00046886+0.0034793i,-0.0020859+0.0019212i,-0.0010554+7.9983e-05i,-5.1361e-05+8.4756e-05i,-0.0023614+0.0032339i,-0.0050631-0.00109i,-0.00030165-0.0010249i,0.0006459-0.00067596i,-0.00081628-0.00023592i,0.00059468+0.0032282i,-0.00076365-0.00060179i,-0.0011335-0.00040792i,3.4206e-05-0.00078527i,0.002178-0.0056937i,-0.024111+0.0014851i,0.0011443-0.016023i,0.0031035-0.025968i,-0.0097779-0.0040077i,-0.0072744-0.0072366i,-0.013495-0.0049947i,-0.00068301-0.027404i,-0.0073949-0.019257i,0.0021592-0.017978i,-0.010238-0.017075i,-0.00086416+0.011031i,0.0038532-0.00011137i,0.0112+0.010831i,-0.0016243+0.0062677i,0.0042882-0.0017236i,0.0053996-0.0072743i,-0.00047142+0.0015936i,0.006868+0.0014048i,0.0017919-0.0012055i,-0.0014671-0.0032914i,-0.0029889+0.00053454i,0.0036234-0.0038344i,-0.000658+0.0060275i,0.0022064-0.0049674i,-0.0018354+0.0056022i,0.0012703-0.0042884i,0.0035892+0.00045246i,-0.0006751+0.0016922i,-0.006806+0.001097i,-0.0016949+0.001528i,0.0010595+0.0024472i,0.00071898+0.0028233i,-0.0011078+0.0020415i,0.0014427+0.0027435i,-0.00090243-8.1424e-05i,-0.010085+0.0069165i,-0.0024528+0.0011638i,-3.4889e-05+0.0035186i,0.0022347+0.001403i,-0.0010484-0.0044048i,-0.0010373-0.0014616i,0.00067554-0.0031672i,-0.0051898-0.00046166i,0.0062318+0.001948i,0.0053484+0.0017311i,-0.0054282-0.016079i,0.0022992+0.027555i,0.015009+0.015272i,-0.0095407+0.0094875i,0.0042297+0.0022836i,0.0021764-0.0014622i,-0.0093959+0.0087919i
-0.024671-0.014654i,-0.021955-0.0021398i,-0.021013-0.003117i,-0.011247-0.0033836i,-0.013519+0.0097341i,-0.0069414+0.0051555i,-0.023488-0.0019542i,-0.010509+0.0058717i,-0.0088864+0.0061956i,-0.0017621-0.001018i,0.00071064-0.0013003i,2.6324e-05-0.0012769i,0.00073143-0.002915i,-0.0015877-0.0015176i,-8.7076e-05+0.0010008i,-0.0014962-0.00064708i,0.0013356-0.0032336i,0.00069182-0.00066158i,-0.00033981-0.00051945i,0.0012355-0.0015153i,0.0004101+0.00072185i,0.00048569-0.00046548i,-0.00040327+0.00029256i,-0.0038847-0.00024399i,7.2373e-05+0.001266i,-0.00023821-0.00068244i,-0.00032533-0.00032086i,0.00033693+0.00028926i,-0.00024867+0.00021033i,0.00074318-0.00069576i,0.0019486+0.0030169i,-0.0012589+0.002458i,-0.0013504+0.00052138i,-4.1562e-05+8.8784e-05i,-0.0010453+0.003771i,-0.0054551-8.7898e-05i,-0.00070827-0.00081991i,0.00042393-0.0010665i,-0.00084985-8.3023e-05i,0.0012334+0.0024777i,-0.00087867-0.00045895i,-0.0012583+3.7361e-05i,-0.0003961-0.00078158i,0.00090965-0.0063454i,-0.023058+0.0041817i,-0.00044935-0.017884i,0.00031486-0.025905i,-0.0079362-0.0022873i,-0.006417-0.0085296i,-0.0099375-0.0026859i,-0.0075793-0.026337i,-0.012729-0.019321i,-0.00051374-0.018976i,-0.011035-0.015214i,0.0021542+0.0097002i,0.0025548-0.00061347i,0.01195+0.0069846i,0.0002753+0.0069954i,0.003902-0.0022474i,0.0031043-0.0088797i,6.1242e-05+0.0021705i,0.0066138-0.00090821i,0.001961-0.001805i,-0.0018874-0.0025016i,-0.0024032+0.0013201i,0.0024345-0.0045841i,0.0019724+0.0049434i,-0.00029573-0.0054653i,0.00061523+0.0053234i,-0.00093835-0.0046201i,0.0029447-0.0010604i,-5.1658e-05+0.0015781i,-0.0051769+0.0036682i,-0.0012936+0.0018547i,0.002595+0.0023583i,0.00039247+0.0025735i,-0.00017606+0.0019875i,0.0026097+0.002099i,-0.00089665+0.00011718i,-0.0072439+0.0090857i,-0.0013267+0.002045i,0.0014277+0.0031599i,0.0024664+0.0003215i,-0.0033619-0.0038941i,-0.0013796-0.0014097i,-0.00028367-0.003377i,-0.0043719+0.0005717i,0.0054998+0.00057229i,0.005682+0.0007832i,-0.0061254-0.017045i,0.0076316+0.025099i,0.014684+0.01153i,-0.0085619+0.010871i,0.0061161+0.0024884i,0.0019725-0.00151i,-0.0084118+0.0095591i
