-0.025004-0.0047228i,-0.021137-0.0080097i,-0.013158-0.013957i,-0.036558-0.0088545i,-0.027132+0.0014413i,-0.03635-0.0030515i,-0.067556-0.035519i,-0.034173-0.014455i,-0.023279+0.002653i,0.0068386+0.0057794i,-0.005167+0.0072319i,-0.0076639+0.017431i,0.005492+0.0078332i,-0.0010472+0.0037291i,0.0041063+0.0043136i,0.0052742+0.02543i,0.021126+0.019053i,0.0012671-0.00066428i,0.00033122-0.0052942i,0.0088511+0.00035279i,0.0048986-0.0019733i,0.0027164+0.0019995i,0.0010585-0.00038802i,-0.022473+0.00078691i,-0.0061759-0.0030054i,-0.0013942+0.0032219i,0.0032819-0.0036205i,-0.001642+0.00010774i,-0.00065461+0.00098928i,-0.0025655-0.0017188i,-0.0041523-0.00057028i,-0.0070674-0.0084922i,-0.0058388-0.0052878i,-0.00062878-8.6204e-05i,-0.00062508-0.0022081i,-0.00083172+0.0205i,0.0027552-0.0041031i,0.0010272-0.0044589i,0.0025288-0.0021118i,-0.002304-0.0028653i,0.0010107-0.00015338i,0.0074417+8.2939e-05i,0.0040115-0.0020626i,0.00024384+0.0023252i,-0.014232+0.015355i,-0.026983+0.052793i,-0.0065665-0.036912i,-0.015107-0.019031i,-0.040593-0.01635i,-0.027414-0.0127i,0.035096-0.0105i,0.0057986-0.029737i,0.012813-0.037885i,-0.0084683-0.0296i,0.025682-0.023331i,0.013146+0.0073108i,0.031959-0.037488i,-0.0019907-0.0039682i,0.0061805-0.0089339i,-0.00042449-0.006132i,-7.0563e-05-0.034678i,-0.014486+0.029663i,0.0086539-0.01148i,-0.0083657-0.0044157i,-0.0025416-0.0020443i,0.00011624-0.014891i,-0.0082156+0.0062754i,0.0038366+0.0065364i,-0.00042595+0.027406i,0.0025099+0.00082481i,-0.0070751-0.0042443i,-0.004074-0.0060338i,-0.013324-0.010148i,-0.0026777-0.0058722i,-0.032945+0.016747i,-0.0054937-0.0090235i,-0.013075-0.00079558i,-0.0090177-0.006844i,0.0016525-0.0017237i,-0.013361+0.0014929i,-0.0013693-0.00078682i,0.0059465+0.0056133i,0.0037128-0.0052629i,-0.012854-0.014927i,0.0080144+0.0090064i,-0.014165+0.0055571i,0.0053143+0.0004462i,-0.019534-0.0020949i,-0.015836-0.0041972i,-0.015476-0.036127i,0.019803-0.0098002i,-0.040927-0.02437i,-0.010075+0.0060009i,0.017315+0.014672i,-0.022816+0.017621i,-0.0045385-0.0036867i
0.0086068-0.010618i,0.010752+0.0006833i,0.0078549+0.0035244i,0.015331-0.0033573i,0.018887-0.0014618i,0.016489-0.013708i,0.016816-0.0055313i,0.012034-0.0011428i,0.0010682-0.01005i,-0.0012744+0.0012015i,-0.0015672-0.0006552i,-0.00138+0.00024753i,-0.00063868+0.0042527i,-0.0018931+0.0024071i,0.0012257+0.0024209i,0.0011543-0.00011425i,0.0033861-0.0025314i,0.0013441-0.0011375i,0.0040817+0.00054209i,5.8723e-05+1.335e-05i,0.00061479-0.0027798i,-0.00097236-0.0020194i,-0.00066657-0.00033559i,0.0021416+0.0044261i,-0.0019626+0.00018163i,-0.0021472+0.0017673i,-0.0028885+0.00023809i,-0.0019748+0.00015711i,-0.0020851-0.0010247i,-0.0023101+0.00059484i,0.00014349-0.0010876i,0.00078486+0.0010078i,0.0015703+0.00016867i,0.0022929+0.0001537i,0.00095726-0.00054887i,-0.0077527+0.0042167i,-0.0011301-0.00046397i,-0.0010237+0.00031845i,-0.0020239+1.666e-05i,0.00092724-0.0014861i,0.0003274-0.0009227i,0.001095-0.0010259i,-0.00097583+0.0011263i,0.0031838-4.1979e-05i,0.00088931-0.012954i,-0.02499-0.0064828i,-0.0018655-0.0063949i,-0.0065914+0.0027255i,0.015541+0.023549i,0.0019752+0.0045124i,0.014075-0.013645i,-0.011485-0.027309i,-0.0053648-0.013206i,0.0078988-0.0073628i,0.020446+0.016155i,0.0019294+0.0021702i,-0.0013578+0.00056136i,-0.0059145-0.000588i,0.010718-0.0033413i,0.013772+0.0093686i,0.0031603+0.0046296i,-0.0037738-0.00707i,0.0066827-0.0034147i,-0.0041824-0.0066052i,0.0028021-0.011235i,0.0064718-0.0062212i,-0.00091816+0.0075856i,0.0095271-0.0076097i,0.0050023-0.0082898i,0.00067662-0.0068434i,-0.0030348-0.0016052i,-0.0066137-0.0066968i,-0.0066723-0.003826i,-0.00066559-0.0014548i,-0.0042914+0.033456i,-0.010221-0.0019791i,0.0001183+0.0028266i,-0.01234-0.0068236i,-1.7252e-06+0.00041091i,-0.01562+0.0014843i,-0.0024242+0.0016552i,-0.001846-0.0019798i,-0.003631-0.00049063i,-0.005237-0.0041328i,-0.0029419+0.0054177i,-0.0014061+0.0019557i,-0.0060413+0.0058269i,-0.0062367-0.00092051i,-0.0022858-0.00098446i,0.0082717-0.0019763i,-0.0055918+0.017949i,-0.028013-0.0021369i,-0.0098251-0.003625i,0.012057+0.016403i,-0.0022219+0.016433i,-0.0074341-0.0045954i
0.006896-0.01262i,0.010757-0.002745i,0.0084455+0.0025132i,0.014144-0.0051581i,0.018571-0.0046643i,0.013863-0.01637i,0.013769-0.0085448i,0.011738-0.0030657i,-0.00091234-0.010181i,-5.3782e-05+0.0010967i,-0.0012108+0.00023856i,-0.0013817+0.0015778i,0.00046788+0.004146i,-0.00091513+0.0030877i,0.0014298+0.0014071i,0.00087064+0.00030638i,0.0017468-0.0032813i,0.0012582-0.001744i,-0.00065164-0.00043464i,0.00042801-0.0005473i,-0.00015412-0.0028117i,-0.0017611-0.0015881i,-0.00068036-0.00056933i,0.0043521+0.0032325i,-0.0021288+0.0013672i,-0.0010658+0.0026201i,-0.0028753+0.001177i,-0.0020264+0.00091066i,-0.0028107+8.8033e-05i,-0.0020173+0.0017666i,-0.0012212-0.0006824i,0.00055115+9.5888e-05i,0.00097784-0.00034356i,0.0021175-0.0018429i,0.00053178-0.0001864i,-0.005817+0.0071476i,-0.0017169+0.00018541i,-0.00095016+0.00092608i,-0.0022517+0.00094837i,0.00073842-0.0017812i,0.00014086-0.0009592i,0.00086475-0.0014912i,-0.001024+0.0011049i,0.0023488-0.00021821i,-0.00070917-0.012406i,-0.025-0.0035474i,-0.0038487-0.002875i,-0.0035815+0.00078766i,0.025181+0.0168i,0.0054378+0.0018537i,0.0077039-0.017213i,-0.019399-0.026487i,-0.0095335-0.013451i,0.0118-0.014542i,0.018073+0.0058824i,0.00068914+0.00046865i,-0.00054581+0.0030672i,-0.0053+0.0012188i,0.0076832-0.0069167i,0.015111+0.0046811i,0.0060066+0.00546i,-0.0070804-0.005675i,0.003009-0.005451i,-0.0050978-0.0042967i,-0.0027852-0.0098609i,0.0037468-0.0077451i,0.0027726+0.0058204i,0.0048264-0.0094069i,0.0016847-0.0073391i,-0.0025291-0.0041501i,-0.0022552-0.0004976i,-0.0077881-0.0039836i,-0.0077402-0.00080933i,-0.00025218-0.0010258i,0.012003+0.029615i,-0.011047+0.0027138i,0.00083134+0.0016899i,-0.014717-0.011224i,0.0002706+9.8684e-06i,-0.013355+0.008201i,-0.0014264+0.0027326i,-0.0023199-0.00010392i,-0.0026356+0.00051854i,-0.0055578-0.0017203i,-0.00037025+0.0032874i,-0.00056583+0.0014989i,-0.0022103+0.0078171i,-0.0046446+0.0016921i,-0.003595-0.00090864i,0.0093147-0.0084095i,-0.0021818+0.020257i,-0.028445+0.0029789i,-0.010943-0.0049371i,0.013931+0.014383i,0.0006552+0.018149i,-0.0098735-0.0031878i
0.0040714-0.014176i,0.008866-0.0066032i,0.0095331+0.00059753i,0.013242-0.0070705i,0.018052-0.0078548i,0.01065-0.018908i,0.010438-0.010933i,0.011205-0.0051259i,-0.0027323-0.0093716i,-0.00028456-0.00022923i,-0.00079085+0.00027885i,-0.0005971+0.0025097i,0.0015212+0.0035957i,0.0001899+0.0028495i,0.0012227+0.0012158i,0.00082818+0.00057032i,0.00016196-0.003048i,0.00095036-0.0024905i,-0.0011129-0.00054966i,0.00013363-0.0013844i,-0.0010701-0.0028134i,-0.0017512-0.00078469i,-0.0010399-0.00074894i,0.0051337+0.00075477i,-0.0015084+0.0023454i,-0.0002239+0.002747i,-0.0025997+0.0026975i,-0.001641+0.0016651i,-0.0027076+0.001681i,-0.0011831+0.002652i,0.00016773-0.00038066i,0.00058107+0.00083688i,0.00074377-0.00041461i,-0.00082659-0.0021165i,0.00051526+0.00024883i,-0.0030286+0.009051i,-0.001656+0.0013297i,-0.00044062+0.0012712i,-0.0018158+0.0021337i,0.0003074-0.0021866i,0.0001086-0.00095536i,0.00034779-0.0017377i,-0.0013031+0.0018462i,0.0023127+0.00017379i,-0.0016006-0.01162i,-0.028288-0.00084472i,-0.0018551+0.00038764i,-0.0010387-0.0022292i,0.03335+0.0056782i,0.0082489-0.0001086i,0.0010826-0.017651i,-0.026059-0.023497i,-0.013302-0.01079i,0.010565-0.023443i,0.022166+0.0063521i,-0.001013+0.00012729i,-0.0005342+0.0023028i,-0.005404+0.0021602i,0.0024823-0.0097768i,0.015268-0.00018629i,0.0084703+0.0041509i,-0.0094446-0.0040611i,0.0010506-0.0042956i,-0.0057984-0.0016777i,-0.0054672-0.0065362i,0.0012787-0.0077525i,0.0050234+0.0048247i,0.0015236-0.0088464i,-0.0018118-0.007385i,-0.0028193-0.00098527i,-0.0021678-0.00059817i,-0.0091669-0.0010166i,-0.0047001+0.0029883i,-0.00096077-0.001346i,0.021303+0.020093i,-0.0098125+0.0077267i,0.0012151+0.0012046i,-0.0062031-0.0020617i,0.00067452-0.00084004i,-0.0073313+0.012786i,-8.1261e-05+0.0032585i,-0.0025415+0.00094474i,-0.0022751+0.0014729i,-0.0048662+0.00083558i,-0.0013123+0.0027847i,-0.00027235+0.00095026i,0.0012191+0.007909i,-0.0033022+0.0013318i,-0.0049311+0.00047309i,0.0062892-0.013912i,0.0075356+0.019098i,-0.026755+0.0066244i,-0.012722-0.0056905i,0.016803+0.0098366i,0.0050844+0.019406i,-0.011046-0.0014431i
0.00078068-0.014539i,0.0053802-0.0081633i,0.0093945-0.0019981i,0.011972-0.0092467i,0.016663-0.011187i,0.0066763-0.020514i,0.0068058-0.011937i,0.010105-0.0071755i,-0.0038461-0.0084634i,-0.0012288+0.00035281i,-0.00077929+0.00035343i,0.0005106+0.0027699i,0.0019099+0.0028561i,0.00060597+0.0025916i,0.0013512+0.0012912i,0.00074115+0.00091014i,-0.00098858-0.0020908i,0.00013115-0.003252i,-0.00098237-0.00048851i,-0.00076778-0.0017632i,-0.0018311-0.0021648i,-0.0016676-0.00045169i,-0.001543-0.00057597i,0.0046389-0.0013774i,-0.00048364+0.002936i,0.00065266+0.0029137i,-0.0011357+0.0041085i,-0.0010535+0.0021293i,-0.0016616+0.0028054i,2.7069e-05+0.002985i,-0.00020228-0.00032561i,0.0015844+0.0002346i,0.00058764-0.00053212i,-0.0011829-0.00043227i,0.00077313+0.00051243i,6.9104e-05+0.0096496i,-0.00088545+0.0021449i,-5.0588e-05+0.0013435i,-0.00081904+0.002874i,-0.00055358-0.0023125i,-3.2872e-05-0.0011736i,-1.9238e-05-0.0019484i,-0.00083168+0.002675i,0.0026505+9.1664e-05i,-0.0019757-0.011692i,-0.017617-0.0029468i,0.0014187+0.0024325i,-0.0018797-0.006237i,0.036613-0.0089063i,0.010154-0.0045151i,-0.0049489-0.014793i,-0.032558-0.017173i,-0.015147-0.0058517i,0.0049802-0.030699i,0.017676-0.0011165i,-0.0021043+0.0013898i,-0.00028531+0.0047555i,-0.0049199+0.0039802i,-0.0037517-0.0081169i,0.01407-0.0058232i,0.010234+0.0014307i,-0.012479-0.00048392i,-0.00039741-0.0041094i,-0.0046405+0.00074132i,-0.0061481-0.0028159i,-0.00080037-0.0076072i,0.0064733+0.0014953i,-0.0013616-0.0079392i,-0.0045423-0.0036103i,-0.0018752+0.0011436i,-0.002523-0.00011664i,-0.0086461+0.0026946i,-0.0020304+0.0046273i,-0.0015914-0.0010856i,0.025664+0.0094417i,-0.0057364+0.012328i,0.0015151+0.00037141i,-0.0046905+0.0012631i,-0.0001562-0.0017406i,-0.00089094+0.013001i,0.0018692+0.0025729i,-0.0021078+0.0025541i,-0.0012508+0.0027232i,-0.0021357+0.0035098i,-0.00065691+0.0046322i,-0.00047227+0.00038563i,0.0047269+0.006793i,-0.003288+0.00054198i,-0.0056201+0.0023256i,0.0024004-0.015188i,0.017352+0.0098757i,-0.023624+0.010812i,-0.016075-0.0051128i,0.015498+0.0053381i,0.010455+0.018247i,-0.010324-0.00040516i
-0.0017952-0.013798i,0.0031262-0.0078855i,0.0085346-0.0039466i,0.010483-0.011323i,0.014697-0.014125i,0.0027667-0.021253i,0.0037694-0.011743i,0.0086461-0.0087464i,-0.0046008-0.0074669i,-0.0014559+0.0017161i,-0.00093911+0.00061729i,0.0015166+0.0024331i,0.0019164+0.0025006i,0.00089094+0.0023935i,0.00177+0.0012943i,0.00078993+0.0015894i,-0.0013357-0.0009528i,-0.0012065-0.0032189i,-0.0012319-0.0006852i,-0.0016625-0.0014925i,-0.0023726-0.0016568i,-0.0015709-0.00024447i,-0.0018926-6.7448e-05i,0.003515-0.0028376i,0.00064195+0.0031004i,0.001798+0.0026625i,0.00070037+0.0043582i,-0.00043485+0.0025333i,-0.00037605+0.0033298i,0.0013027+0.0028162i,-0.00022459-0.00013234i,0.0031192-0.0020964i,0.00037748-0.00032778i,-0.00028491+0.00030965i,0.001573+0.0014286i,0.0029397+0.0092813i,1.9725e-05+0.0026158i,0.00027626+0.001518i,0.0004746+0.0031646i,-0.0012-0.0021247i,-0.00037925-0.0013573i,-0.00066861-0.0020988i,-0.00022534+0.0030217i,0.0025853-0.00062736i,-0.0030882-0.012259i,-0.011881+0.00053641i,0.0058918+0.001754i,-0.0042248-0.0072906i,0.032779-0.022943i,0.0095591-0.0089649i,-0.007724-0.0099878i,-0.03552-0.0084814i,-0.014568+0.00027779i,-0.0031772-0.033836i,0.013155-0.0047873i,-0.0016577+0.0029125i,0.0026495+0.0050065i,-0.0039179+0.0054577i,-0.0065291-0.0037854i,0.010143-0.011142i,0.010798-0.0021844i,-0.012522+0.0042999i,-0.0012941-0.0027132i,-0.0029882+0.0015447i,-0.0047756-0.00065235i,-0.0036407-0.0063507i,0.0057507-0.00089113i,-0.0041116-0.0062419i,-0.0037462-0.00031008i,-6.107e-05+0.0020171i,-0.0023223+0.0005492i,-0.0058739+0.0054374i,0.00077423+0.0041014i,-0.0017744+0.00016793i,0.025683-0.0014901i,0.0012573+0.014308i,0.0010303-0.0001977i,-0.0021849+0.0021803i,-0.0011216-0.0013699i,0.0034505+0.01081i,0.0024695+0.0015369i,-0.00043305+0.0044788i,0.0011447+0.003284i,0.0014952+0.0047159i,0.0015801+0.0039823i,-0.0013568+0.00057791i,0.0069394+0.0037791i,-0.004277+0.00068398i,-0.0048793+0.004812i,0.00030758-0.015389i,0.018247-0.0048976i,-0.018019+0.011069i,-0.019293-0.0031764i,0.015077+0.0021107i,0.014497+0.013837i,-0.011039-0.00052004i
-0.0037704-0.012855i,0.0020081-0.0077297i,0.0079332-0.0055183i,0.0086821-0.0135i,0.012348-0.016741i,-0.0012411-0.021335i,0.0018195-0.010953i,0.0071317-0.0099412i,-0.0049121-0.0067094i,-0.00079435+0.0024147i,-0.00090509+0.0012531i,0.0023208+0.0019017i,0.0022498+0.0025125i,0.0013317+0.0023505i,0.0022082+0.00092482i,0.0010681+0.0027523i,-0.00098538-0.00019866i,-0.0022966-0.0028805i,-0.00174-0.00053026i,-0.0023333-0.00092192i,-0.0026515-0.0010585i,-0.0014372-8.0676e-05i,-0.0020432+0.00053298i,0.0019659-0.0038578i,0.0018512+0.0027817i,0.0028048+0.0018704i,0.0023451+0.0037417i,0.00051448+0.0028494i,0.00096154+0.003264i,0.0023337+0.0021013i,-0.00015855-2.3015e-05i,-0.0046824+0.0068469i,-9.5842e-05+0.00025771i,0.00010951+0.00033548i,0.0042424+0.002039i,0.0056505+0.0080211i,0.0011927+0.0026124i,0.0009065+0.0015945i,0.0018059+0.0027556i,-0.0017299-0.0016532i,-0.00096596-0.0014594i,-0.0014348-0.0020052i,0.00049681+0.0033066i,0.0024089-0.0009242i,-0.0044852-0.012574i,-0.0082085-0.00031481i,0.0092353-0.001477i,-0.0059746-0.0068128i,0.024895-0.033636i,0.0071877-0.012102i,-0.0074693-0.0055302i,-0.034087+0.00032954i,-0.009749+0.0064673i,-0.011796-0.03268i,0.0093233-0.0059218i,-0.0006147+0.0035814i,0.004467+0.0034701i,-0.0025699+0.0069615i,-0.0072176-0.00043955i,0.0035143-0.014594i,0.0086793-0.0065645i,-0.011025+0.0078753i,-0.001136-0.0018331i,-0.0019367+0.0013211i,-0.0037258-0.00010537i,-0.0048337-0.0036446i,0.0042077-0.002059i,-0.0061121-0.0048126i,-0.0014699+0.0013936i,0.0020346+0.0011597i,-0.0020843+0.0012588i,-0.002995+0.0062804i,0.0018159+0.0023293i,-0.00078767+0.0010824i,0.020257-0.010555i,0.0076583+0.009157i,0.00076273+4.6357e-05i,-0.0011194+0.0018527i,-0.0015152-9.1959e-05i,0.0066171+0.008016i,0.0032518+0.00063605i,0.0025693+0.004179i,0.0028092+0.0019064i,0.0040501+0.0038668i,0.0022071+0.0031125i,-0.0017522+0.0019796i,0.0066391+0.00054815i,-0.0053724+0.0015525i,-0.0028445+0.0064356i,-0.0017396-0.016479i,0.010771-0.015176i,-0.015313+0.0068226i,-0.022618+0.0010798i,0.013289-0.0028648i,0.015976+0.0088699i,-0.012088+0.00087406i
-0.0056647-0.01164i,0.00076372-0.007869i,0.0067374-0.0079387i,0.0059464-0.015663i,0.0094429-0.019112i,-0.005403-0.020446i,0.00061059-0.010382i,0.0056568-0.011164i,-0.0052117-0.0060769i,-0.00053704+0.0033416i,-0.00068066+0.0015741i,0.0025026+0.00078203i,0.0028389+0.0022909i,0.001779+0.0021624i,0.002439+0.00045631i,0.0019126+0.0036813i,-0.00073504+0.00016507i,-0.0034648-0.0022863i,-0.0019958-3.2952e-05i,-0.0029447+5.3909e-06i,-0.0029522-0.00055741i,-0.0013894-0.00016635i,-0.0020145+0.0012207i,6.1212e-05-0.0042577i,0.0028761+0.0017107i,0.0033437+0.00076108i,0.0033677+0.0027481i,0.0016769+0.0026692i,0.0023003+0.0026749i,0.002946+0.00097953i,-2.6904e-06-2.0576e-05i,0.0014172+0.0037987i,-0.00019482+0.0004912i,0.0005391+0.00027121i,0.003645-0.034856i,0.0075943+0.0058024i,0.0021692+0.0019081i,0.001554+0.0012426i,0.0029166+0.0017606i,-0.0018797-0.0010859i,-0.0015676-0.0011499i,-0.0021335-0.0014465i,0.0015931+0.0034735i,0.0020258-0.0011274i,-0.0063239-0.012575i,-0.0061228-0.0024383i,0.010622-0.0057206i,-0.0059729-0.0050503i,0.01428-0.040658i,0.0043136-0.013668i,-0.0058709-0.0033351i,-0.029203+0.005406i,-0.0017416+0.0085776i,-0.019075-0.027776i,0.0065286-0.0059074i,0.00044823+0.0036163i,0.0045655+0.0012815i,-0.00039916+0.0075996i,-0.0072162+0.0027539i,-0.0047466-0.013722i,0.0048571-0.0087298i,-0.0085736+0.010938i,-0.00071597-0.0021291i,-0.0017038+0.0010322i,-0.0035643+6.892e-06i,-0.004366-0.0013813i,0.003245-0.0021642i,-0.0079207-0.0047803i,0.00022046+0.0010862i,0.0027517-0.0011266i,-0.0016797+0.0019143i,0.00016148+0.0059723i,0.0009495+0.0012273i,3.4552e-05+0.00075887i,0.012528-0.014502i,0.0077169+0.0058746i,0.0012442-2.6473e-05i,-0.00018694+0.00093206i,-0.00055576+0.00067737i,0.0081779+0.0048376i,0.004087-0.0012434i,0.0044861+0.0025751i,0.0034133+0.00078596i,0.0049057+0.0016335i,0.0034436+0.0028236i,-0.0007614+0.0036559i,0.0058731-0.0012645i,-0.0057902+0.0032411i,-0.00035843+0.0065392i,-0.0043118-0.016231i,0.00097789-0.021233i,-0.018272+0.0036027i,-0.022891+0.006902i,0.007309-0.005827i,0.016199+0.0042763i,-0.011827+0.0020855i
-0.0067327-0.010042i,0.00018985-0.0072907i,0.0043916-0.0094726i,0.0022933-0.016967i,0.005921-0.020822i,-0.008849-0.01854i,-0.00010868-0.010009i,0.0039384-0.012282i,-0.0053889-0.0057478i,0.00075865+0.0043978i,-0.00042298+0.0022393i,0.0023105+0.00015825i,0.0034436+0.0017813i,0.0022654+0.0019749i,0.0025948-8.5475e-05i,0.0028261+0.0028444i,-0.00077937+0.00053334i,-0.0044475-0.00086729i,-0.0019489+0.00048435i,-0.0029578+0.0013238i,-0.0032876+0.00032316i,-0.0019019-0.00022376i,-0.0016845+0.0019264i,-0.0019816-0.0036079i,0.0031198+0.0003685i,0.0033829-0.000466i,0.0043092+0.0013043i,0.0026346+0.0019564i,0.00315+0.001444i,0.0030424-0.0002066i,0.00011036-0.00012178i,0.002742+0.0016715i,0.00011713+0.00072903i,0.00067891-0.00027443i,-0.0038377-0.0008995i,0.0086456+0.003069i,0.0027275+0.00094844i,0.001979+0.00068636i,0.0033971+0.00026159i,-0.0019063-0.00048368i,-0.0020843-0.00067061i,-0.0024263-0.00080237i,0.0026263+0.002889i,0.0017214-0.0013799i,-0.0081441-0.012184i,-0.0054317-0.0058179i,0.0096811-0.0096856i,-0.0045457-0.0046428i,0.0032214-0.042813i,0.00098596-0.013917i,-0.0045577-0.0022327i,-0.023598+0.007184i,0.0060833+0.006081i,-0.021849-0.020455i,0.005288-0.0059297i,0.0016391+0.0030144i,0.00387+6.138e-05i,0.0023101+0.0071977i,-0.0056463+0.0060335i,-0.010814-0.0083867i,0.0012365-0.0087128i,-0.0049768+0.012632i,-0.0016701-0.0028761i,-0.0015507+0.0013365i,-0.0037+0.00072264i,-0.0034332-4.0756e-05i,0.0022054-0.0023211i,-0.0089825-0.0047756i,0.0008063+0.00025555i,0.00082436-0.0029572i,-0.00048884+0.0024769i,0.002364+0.0047426i,-0.00013692+0.00038239i,0.00034109+0.00033368i,0.0053145-0.014913i,0.0088523+0.0026397i,0.00087514-0.00064037i,0.00024493-1.2982e-05i,0.00053094+0.00050405i,0.0083427+0.001936i,0.0033226-0.0040313i,0.0057373+0.00062077i,0.0041978-0.00030736i,0.0050066-0.00056163i,0.0041746+0.0016856i,0.0012831+0.0041375i,0.0047326-0.0026832i,-0.0052968+0.0053355i,0.0017294+0.0051739i,-0.0049831-0.014797i,-0.011499-0.0225i,-0.022094+0.0043405i,-0.020074+0.012029i,0.0022199-0.0039077i,0.013911-0.00074808i,-0.011394+0.0022543i
-0.0070147-0.0091535i,0.00018981-0.0077097i,0.0022798-0.0097997i,-0.0014214-0.016819i,0.0022326-0.021849i,-0.011434-0.016348i,-0.00046256-0.01042i,0.0020245-0.013254i,-0.0057055-0.0055123i,0.0026267+0.0042661i,0.00053101+0.0029636i,0.0020879-0.00012806i,0.0039669+0.00082534i,0.0027975+0.0015494i,0.0025977-0.00071941i,0.0031173+0.0022692i,-0.00041942+0.0010248i,-0.0042432+0.0007243i,-0.0019169+0.00087108i,-0.0022974+0.0023443i,-0.0032363+0.0012091i,-0.0024176+0.00048357i,-0.0011267+0.0024285i,-0.0036492-0.0020318i,0.002884-0.00066255i,0.0029631-0.0016472i,0.0044268-0.00053443i,0.0032842+0.00090532i,0.0032436+0.00018727i,0.0027265-0.001284i,0.00016439-0.00015346i,0.0022943+0.00014385i,0.00073892+0.00073981i,0.00028804-0.0006061i,-0.0018438+0.00085414i,0.0084494+0.00024466i,0.002859-0.00015189i,0.0022769-4.8392e-05i,0.0030175-0.0011348i,-0.0016981+0.00011682i,-0.002313+9.8499e-05i,-0.002643-0.00014138i,0.0034049+0.0020178i,0.0013178-0.0015187i,-0.010002-0.011276i,-0.0076636-0.0089955i,0.0077488-0.012639i,-0.003891-0.0054322i,-0.0058488-0.041843i,-0.0012638-0.0123i,-0.0030114-0.0014108i,-0.019+0.0088704i,0.01078+0.00073516i,-0.020703-0.014189i,0.0038028-0.0066689i,0.0024868+0.0016429i,0.0036799-0.0010989i,0.0046078+0.0052659i,-0.0025958+0.0072638i,-0.012587-0.0018373i,-0.0016787-0.0077978i,-0.001293+0.01247i,-0.0033282-0.0024997i,-0.0018229+0.0018558i,-0.0033748+0.0016772i,-0.0028782+0.00073427i,0.0014638-0.0013503i,-0.010998-0.0046782i,0.00043406-0.0003243i,-0.00093426-0.0025439i,0.00083067+0.0022227i,0.0036234+0.0028731i,0.0014518-2.634e-06i,0.00049547+0.00032797i,0.00032879-0.013395i,0.0090551-0.0013146i,0.0012221-2.8504e-06i,0.00036301+5.879e-05i,0.0011836-0.00021908i,0.0080206-0.00048108i,0.00049477-0.0055688i,0.0061017-0.0023054i,0.0037739-0.0022669i,0.004387-0.003332i,0.0045956+0.00045765i,0.002836+0.003448i,0.0028997-0.0029151i,-0.0041576+0.0065836i,0.0025182+0.0035685i,-0.0049858-0.01535i,-0.022963-0.01692i,-0.025028+0.0070755i,-0.015424+0.014353i,0.0011514-0.0017097i,0.0085158-0.0009878i,-0.012681+0.0025951i
-0.0078874-0.0085717i,-0.00037081-0.0090419i,0.0007606-0.0098321i,-0.0045755-0.01564i,-0.0016791-0.02236i,-0.013794-0.013974i,-0.0013306-0.011841i,-0.00024877-0.014014i,-0.0062996-0.0053269i,0.0040188+0.003496i,0.0020614+0.0028174i,0.0019628-0.00021895i,0.0041203-0.00030325i,0.0033818+0.00095256i,0.0023447-0.001401i,0.003762+0.0016393i,7.5583e-05+0.00123i,-0.0038457+0.0018862i,-0.0016533+0.0014291i,-0.0014379+0.0029225i,-0.0028999+0.0022508i,-0.002252+0.0015589i,-0.00058863+0.0026476i,-0.00428+6.1745e-05i,0.0024745-0.0014994i,0.0021717-0.0024471i,0.0037829-0.0022661i,0.0034291-0.00042882i,0.0030155-0.00096387i,0.0020123-0.0021663i,0.00028153-0.00024504i,0.001921-0.0003432i,0.0011399+0.00022124i,1.8482e-05-0.00034761i,-0.00043967+0.00069809i,0.0075416-0.0020684i,0.0026465-0.0012426i,0.0023081-0.001022i,0.0021215-0.0020993i,-0.0012759+0.00065196i,-0.0022438+0.00092707i,-0.0026712+0.00069339i,0.0040917+0.00091479i,0.0010126-0.0011722i,-0.011794-0.0099822i,-0.011545-0.0091216i,0.0050467-0.014355i,-0.004014-0.00545i,-0.014345-0.039825i,-0.0017016-0.0097573i,-0.0012784-0.001745i,-0.014433+0.010165i,0.013191-0.0058813i,-0.018023-0.010981i,0.0022588-0.0077801i,0.0017819-0.00074178i,0.0029565-0.0025474i,0.0050587+0.0026061i,-0.00053309+0.0068155i,-0.011848+0.003974i,-0.0043556-0.005794i,0.0014131+0.010936i,-0.0047335-0.0010022i,-0.0015986+0.0031789i,-0.0026632+0.0026481i,-0.0013114+0.001472i,0.0023499+0.00026434i,-0.0053121+0.0067656i,0.00037315+0.00030509i,-0.0016099-0.0016825i,0.0016586+0.0015144i,0.0037198+0.0010663i,0.00078336-0.0019137i,0.00092787+6.9381e-05i,-0.0037695-0.011436i,0.0074362-0.0046749i,0.00068914-0.0012919i,0.00088608-0.00030006i,0.0011247-0.0012688i,0.0073621-0.0026605i,-0.0020458-0.0049427i,0.0046595-0.0051356i,0.0021464-0.0032015i,0.001702-0.0055806i,0.0047953-0.0013559i,0.0038143+0.0023677i,0.0023124-0.0023748i,-0.0029597+0.0067669i,0.0022696+0.001741i,-0.0057958-0.017032i,-0.027768-0.0069317i,-0.027182+0.011749i,-0.011306+0.015303i,0.00016821+6.3909e-05i,0.044314+0.01114i,-0.013408+0.0041559i
