-0.008491-0.039508i,-0.013272-0.043722i,0.00082955-0.046233i,-0.027077-0.027827i,-0.01997+0.014366i,-0.032891-0.031166i,-0.061081-0.059199i,-0.023574-0.070961i,-0.044127-0.057627i,0.0022651+0.015143i,-0.0075608+0.010133i,-0.014147+0.012902i,0.0018794+0.016232i,-0.0037827-0.0032036i,0.00077599+0.0064545i,0.0017317+0.037619i,0.018673+0.059426i,0.0011052-0.0004384i,-0.0054292-0.0085893i,0.0070961+0.0044881i,0.0017864+0.00088955i,-0.001276+0.0035736i,2.5613e-06-0.0013371i,-0.033848-0.0083097i,-0.00233-0.0076336i,-2.4837e-05+0.0043838i,0.0045238+0.00023183i,0.00025503+0.00095439i,-4.8219e-05-0.00090422i,-0.00016662-0.0029602i,-0.00076011-0.0055115i,-0.0027567-0.0040105i,0.00010155-0.0078959i,0.0030479-0.001068i,0.0030086-0.0028651i,-0.0030135+0.035002i,0.0061858-0.0047442i,0.0030226-0.0020204i,0.0050726-0.00031822i,-0.010036+0.015707i,-0.00032292+0.00012929i,0.0080258+0.00020121i,0.0061363-0.00011731i,-0.0033428+0.0040188i,0.002935+0.0017599i,-0.0030534+0.0068825i,0.012783-0.088167i,-0.0077341-0.048872i,-0.025039-0.03935i,-0.020609-0.041235i,0.062189-0.018571i,0.026582-0.062344i,0.037693-0.04566i,0.02925-0.05762i,0.018584-0.015875i,0.0085227+0.0095405i,0.022408-0.032967i,-0.0069871-0.005561i,0.0020193-0.0034275i,-0.0043872-0.0059576i,0.00040671-0.031751i,-0.023739+0.030429i,0.0079738-0.01097i,-0.011338-0.0016471i,-0.0051764-0.001034i,-0.0014119-0.013807i,-0.010198+0.0044859i,0.0038014+0.0080462i,-0.0092739+0.029928i,0.0055673+0.0069611i,-0.0058833-0.0016079i,-0.0016859-0.0016312i,-0.012026-0.0062236i,0.00099858-0.0034425i,-0.041964+0.013212i,0.0019076-0.012244i,-0.0098345-0.0016368i,-0.0064818-0.00233i,0.0063579+0.0019272i,-0.0093137+0.0015605i,0.00086956+0.00072024i,0.0056799+0.0086942i,0.004461+0.00065946i,-0.008796-0.0093929i,0.0026434+0.0087655i,-0.017075+0.0075617i,0.006759+0.00312i,-0.029435-0.0084823i,-0.033939+0.0032912i,0.019564-0.081236i,0.011642-0.01006i,-0.044469-0.027702i,-0.023209-0.0035585i,0.018312+0.01232i,-0.026647+0.012169i,-0.012492-0.0087969i
-0.013709+0.01856i,0.013143+0.046421i,0.026396+0.043756i,0.00058432+0.017416i,-0.0022936+0.0064449i,0.026817+0.00075365i,0.01436+0.016579i,0.012505+0.044401i,0.0063423+0.020013i,-0.0029607+0.0060513i,0.00091183+0.0015692i,0.0025439-0.0044364i,0.002686-0.0024138i,0.0034952-0.00057356i,0.003227-0.0020526i,0.0048621-0.001138i,0.012398-0.0065186i,-0.00082058-0.00043779i,-0.0044781+0.00026372i,-0.00056158+0.0028311i,-0.00049474-0.00095357i,-0.0050842-0.0014941i,-0.0024349+0.00061786i,0.0033454+0.009868i,0.0027897+0.0020136i,0.0021389+0.00057166i,0.0019531+0.0014482i,-0.0012316+0.0031541i,-0.00043676+0.00086869i,-0.0008325+0.0012876i,0.00075753-0.0036222i,-0.00096693-0.0010518i,-0.00075844-0.00061849i,-0.00022982+0.00053771i,-0.0010382-0.0020232i,-0.0058829+0.0095618i,0.0031995-0.00023459i,0.00084022+6.6165e-05i,-0.00093983+0.0023399i,-0.00084066-0.0025574i,-0.0022275+0.00056683i,-0.0009668-0.002698i,0.0015626+0.0086338i,0.0035616+0.00053135i,-0.030177+0.023883i,-0.05438+0.027268i,-0.029173+0.047774i,-0.017307+0.03302i,-0.0037156+0.049463i,-0.0064364+0.032142i,0.010085+0.011375i,-0.0048547-0.0058977i,-0.037614-0.0065742i,-0.042975+0.01797i,0.01058+0.021464i,-0.0016488+0.0025159i,-0.0054977+0.0024191i,-0.011479-0.0030404i,0.0095319+0.0015102i,0.012133+0.014025i,-0.002777+0.0081832i,-0.0061049-0.011739i,0.0050315-0.0021498i,-0.0047782-0.0040808i,0.0040537-0.0077283i,0.0048171-0.0023113i,-0.000934+0.009892i,0.012348-0.0050698i,0.0076745-0.0063819i,0.0053565-0.0070274i,0.003424-0.00066226i,-0.0027988-0.0063942i,-0.0038509-0.0012026i,0.0029117-0.00092859i,-0.019237+0.034266i,-0.005073-0.0052945i,0.0015549+0.00081605i,-0.0013472-0.0072719i,0.0030952-0.00097147i,-0.013718-0.0044488i,0.0011032-0.00083488i,0.0033777-0.0032413i,0.0021833-0.0021467i,-0.00018495-0.0061431i,-0.00092235+0.0068755i,-0.00068259+0.0031554i,-0.0020021+0.0055572i,-0.011477-0.0012587i,-0.0084796+0.0028049i,-0.039438+0.040993i,-0.0082045+0.015592i,-0.023399-0.0048735i,-0.0004303-0.0014214i,0.010841+0.019421i,-0.0013751+0.019294i,-0.0062045-0.00037611i
-0.011584+0.018311i,0.019817+0.042059i,0.033875+0.038341i,0.0046117+0.019249i,0.0013739+0.0068127i,0.026532-0.0049296i,0.015372+0.01301i,0.01993+0.040027i,0.0088976+0.018131i,-0.0010856+0.0060757i,0.0018431+0.0015458i,0.00015165-0.0032494i,0.0013364-0.0024546i,0.0032433-0.00066293i,0.0026707-0.0026124i,0.0039555-0.0011828i,0.0092863-0.0089188i,-6.3548e-05-5.6005e-05i,-0.0044198+0.0010052i,0.00073389+0.0017447i,-0.00098857-0.0012561i,-0.0051613-9.0623e-05i,-0.002292+0.00067235i,0.0087343+0.0079676i,0.0026257+0.0019529i,0.0025876-0.00043743i,0.0020064+0.00052774i,8.7533e-05+0.0034121i,-0.00061406+0.0013854i,-0.00042874+0.001596i,-0.00082862-0.003585i,-0.0014254-0.00095964i,-0.0011259-0.00050965i,0.00019811+0.00036114i,-0.001651-0.00036726i,-0.0021895+0.0098921i,0.0026553-0.001244i,0.00091522-0.0001498i,0.0002292+0.001948i,-0.0011792-0.001816i,-0.0017914+0.00083434i,0.00033324-0.014934i,0.0039087+0.0086277i,0.0027615+0.0001089i,-0.024288+0.029138i,-0.046211+0.035747i,-0.022693+0.052641i,-0.010292+0.034194i,0.0093867+0.045158i,0.002176+0.030043i,0.0053309+0.0044449i,-0.011386-0.0098968i,-0.041064-0.0046144i,-0.034128+0.018961i,0.014741+0.016029i,-0.0023753+0.0030831i,-0.0040957+0.0062956i,-0.011924+0.0016895i,0.0080111-0.0019645i,0.014606+0.011207i,0.0013751+0.011683i,-0.011702-0.0099031i,0.0023318-0.0031351i,-0.0044218-0.0016205i,-0.00082381-0.007174i,0.0034821-0.0041793i,0.0037297+0.0072827i,0.0085586-0.0081174i,0.0038159-0.0079223i,0.0020126-0.0054822i,0.0041965-0.0017807i,-0.0043284-0.0046792i,-0.0016519+0.00073444i,0.0031469-0.0015601i,0.0053955+0.034525i,-0.0071032-0.0038882i,0.0021282-0.00089682i,-0.0040674-0.0054585i,0.0036862-0.0019101i,-0.013096+0.0019013i,0.0014563-0.00047777i,0.0017282-0.0030749i,0.0019985-0.0033664i,-0.0018087-0.0054868i,0.0013611+0.0033841i,0.00087722+0.0028449i,0.0014235+0.005997i,-0.010871+0.0024646i,-0.0082147+0.0041078i,-0.031031+0.042302i,-0.0053457+0.019272i,-0.024357-0.00030048i,-0.0017502-0.0053724i,0.013429+0.018238i,0.0023994+0.021409i,-0.0080895-8.976e-05i
-0.010375+0.018715i,0.025053+0.036706i,0.04133+0.030117i,0.011523+0.017457i,0.0055867+0.0054831i,0.024825-0.010814i,0.01555+0.009375i,0.026417+0.033848i,0.011977+0.017014i,0.00012382+0.0056726i,0.0026536+0.00042122i,-0.00016215-0.0012452i,0.0001038-0.0023622i,0.0032663-0.0012164i,0.0019388-0.0029334i,0.0032024-0.0011722i,0.0059546-0.010269i,1.8146e-05-0.00052297i,-0.0042018+0.0029373i,0.00084327+0.00037222i,-0.0019178-0.0013734i,-0.0047674+0.0013557i,-0.0024036+0.00096358i,0.010871+0.0026906i,0.0035448+0.0010363i,0.0019434-0.0015558i,0.0019098-0.00018593i,0.0016195+0.0027017i,0.00026948+0.0016963i,-0.00010156+0.0018295i,-0.0023386-0.0026585i,-0.0019904+2.565e-05i,-0.0011904-0.00030119i,0.00019788+3.0607e-05i,-0.00093922+0.00067713i,0.00072176+0.0092096i,0.0018052-0.001758i,0.00090337-0.00077516i,0.00064338+0.0011045i,-0.0016392-0.0013389i,-0.0015231+0.0010851i,-0.0051241-0.00048634i,0.0065578+0.007482i,0.0026491+0.00010881i,-0.016183+0.032203i,-0.036952+0.041812i,-0.013938+0.056542i,-0.0029127+0.032763i,0.020305+0.036757i,0.013372+0.02716i,-0.0010483+0.001925i,-0.017973-0.0092177i,-0.044038+0.00052286i,-0.027449+0.016788i,0.01611+0.01005i,-0.0024914+0.004092i,-0.0024367+0.0074092i,-0.011067+0.0058702i,0.0048599-0.0054737i,0.017012+0.0070056i,0.0067443+0.011724i,-0.015871-0.0058546i,0.0011114-0.0020294i,-0.003901+0.0003467i,-0.0030422-0.0049412i,0.0012576-0.0046684i,0.0054158+0.0055678i,0.0055356-0.0087742i,-0.002178-0.0076791i,0.0013804-0.0036539i,0.0037281-0.0040789i,-0.0056727-0.0025192i,-0.00029284+0.00036687i,0.001979-0.0026204i,0.020011+0.027451i,-0.008569-0.00061855i,0.0020419-0.00199i,-0.0038045-0.0034344i,0.0042393-0.0038151i,-0.0096551+0.0066579i,0.0024204-0.00063797i,0.00023611-0.0033339i,0.00044393-0.0032709i,-0.0033962-0.0043537i,0.00036109+0.0022447i,0.0021382+0.001684i,0.0034301+0.0043021i,-0.009408+0.0049952i,-0.0078788+0.0063744i,-0.02476+0.04252i,0.0028691+0.020679i,-0.023874+0.004031i,-0.0043652-0.0086036i,0.017526+0.014456i,0.0087+0.022918i,-0.0093034+0.001476i
-0.0089042+0.019764i,0.028384+0.031512i,0.044916+0.02021i,0.01631+0.011759i,0.0088139+0.0017277i,0.021276-0.015638i,0.014942+0.0069087i,0.030307+0.026547i,0.015573+0.014048i,0.0014509+0.00608i,0.0015829-0.0002145i,0.00064732-0.00037905i,-0.0012601-0.0011866i,0.0028394-0.0017078i,0.0010589-0.0032022i,0.0027592-0.00077784i,0.0022767-0.010185i,0.00016586-0.00050926i,-0.0024793+0.0044957i,0.00014563-0.00024664i,-0.0025597-0.00040122i,-0.0041528+0.0029267i,-0.0022576+0.0015853i,0.010009-0.0023791i,0.003265-0.00023818i,0.00089585-0.001818i,0.0015276-0.00072587i,0.0020657+0.0015431i,0.00096106+0.0010837i,0.00056194+0.0021283i,-0.0031471-0.0010478i,-0.001564+0.0011389i,-0.00083433+0.0026172i,-3.928e-05+7.8551e-05i,-0.0001798+0.00096501i,0.0030776+0.0078866i,0.0010154-0.0020272i,0.00040384-0.001078i,0.00078518+0.0010757i,-0.0018839-0.00092578i,-0.0011181+0.0013804i,-0.0042739+0.0026795i,0.0083774+0.0052251i,0.0027765-6.2656e-05i,-0.0079825+0.031451i,-0.026616+0.045535i,-0.0044302+0.058809i,0.001809+0.030161i,0.028326+0.025731i,0.018056+0.019576i,-0.0079607+0.0039401i,-0.024857-0.0055142i,-0.045877+0.0079634i,-0.023961+0.013451i,0.017317+0.0048597i,-0.0018744+0.0052684i,0.00019545+0.009836i,-0.0089119+0.009345i,-0.00045142-0.0053909i,0.018745+0.00077695i,0.011989+0.0091026i,-0.018022-0.00058294i,0.00064203-0.0015311i,-0.0026791+0.0014552i,-0.0040114-0.0018311i,-5.2782e-05-0.0042109i,0.0071185+0.0024492i,0.0026914-0.0092446i,-0.0047846-0.0024276i,0.0019591-0.0029799i,0.0016434-0.0059752i,-0.005152+0.00090059i,0.00065313+0.00057963i,0.0011117-0.0026486i,0.028865+0.01339i,-0.0079274+0.0031627i,0.0017109-0.0032628i,-0.0038058-0.0021718i,0.0025316-0.0063918i,-0.0048578+0.0081428i,0.0029018-0.0019102i,-0.0010507-0.0024007i,-0.00039434-0.0027617i,-0.0038877-0.0018208i,-0.00016705+0.0029128i,0.0020378+0.00013775i,0.005189+0.0037948i,-0.0078537+0.0067995i,-0.0067322+0.0084161i,-0.019126+0.044055i,0.013431+0.015271i,-0.021535+0.0082069i,-0.0099088-0.010075i,0.018986+0.0093476i,0.01544+0.020604i,-0.0084977+0.0027157i
-0.0065411+0.020975i,0.031648+0.027345i,0.046957+0.011658i,0.018339+0.0050902i,0.0092616-0.0030439i,0.017465-0.019148i,0.014531+0.0055456i,0.03248+0.020029i,0.018468+0.010019i,0.0030937+0.0054167i,0.0015006+0.00025805i,0.0015928-0.0006398i,-0.0013874+0.00068025i,0.0022522-0.0021028i,0.00012729-0.0028511i,0.0029195-0.00013299i,-0.00039674-0.0087961i,-3.6366e-05-0.00060971i,-0.0014208+0.003847i,-0.00053102-0.00016327i,-0.0026346+0.0004181i,-0.0024051+0.0040249i,-0.0016605+0.0021654i,0.006848-0.0056413i,0.0027222-0.0011301i,0.0002471-0.0018694i,0.0010026-0.0010916i,0.0018038+0.00076132i,0.00087811+0.00051239i,0.0016026+0.0018645i,-0.0028163+0.00032955i,-0.00094774+0.001602i,-0.00062627+0.0011178i,0.00019493+0.00064905i,0.0007041+0.00094153i,0.0050325+0.0061709i,0.00011705-0.0019232i,-0.0001419-0.0010835i,0.0012712+0.00082322i,-0.001996-0.00036443i,-0.0007597+0.0013244i,-0.0030288+0.0037757i,0.0097227+0.0025155i,0.0023362-0.00079097i,-0.0028464+0.029168i,-0.015818+0.046492i,0.0071652+0.059229i,0.0061781+0.028392i,0.030933+0.01304i,0.020616+0.011951i,-0.011178+0.010747i,-0.029524+0.003406i,-0.046419+0.017881i,-0.024183+0.010677i,0.014692-0.0010258i,-0.00014768+0.0065807i,0.0045014+0.0090411i,-0.0060899+0.0119i,-0.0031313-0.002327i,0.016866-0.0067876i,0.015643+0.0045731i,-0.018079+0.0053205i,0.00079264-0.00044623i,-0.001514+0.0021409i,-0.0025259+0.00022603i,-0.0020423-0.003056i,0.0067003-0.00010844i,-0.00052283-0.0080306i,-0.0038849+0.0012734i,0.0024587-0.0038829i,-0.0010448-0.0064235i,-0.0042283+0.0023213i,0.0017592-0.00025114i,0.00062801-0.0022208i,0.030181-0.00060425i,-0.0049238+0.0056369i,0.00017329-0.0041128i,-0.0032529-0.0019082i,-0.00024333-0.0071818i,-0.0014797+0.0074216i,0.0019476-0.0030116i,-0.0011967-0.00046698i,-0.00042503-0.0018626i,-0.0021072-0.00063566i,0.00099753+0.0039046i,0.00088968-0.00078546i,0.0058817+0.00073869i,-0.0063046+0.0072628i,-0.0044156+0.010424i,-0.012113+0.045141i,0.018048+0.0026623i,-0.016791+0.0093769i,-0.015726-0.0083128i,0.019532+0.0046331i,0.020623+0.01416i,-0.0088365+0.0027163i
-0.0037354+0.021311i,0.03526+0.022444i,0.048065+0.002419i,0.018684-0.0014748i,0.0085919-0.006785i,0.013235-0.022016i,0.015429+0.0044073i,0.033658+0.013609i,0.020536+0.0048845i,0.0038494+0.0043287i,0.0020465+0.00035031i,0.0020495-0.0010156i,4.6534e-05+0.0020178i,0.0017257-0.0022252i,-0.00025707-0.0024178i,0.0036771+0.00025431i,-0.0017539-0.0075755i,0.00026785-0.00086703i,-0.00026745+0.00378i,-0.00086793+0.00025879i,-0.0020977+0.0011297i,-0.00032641+0.0037821i,-0.00098647+0.0023855i,0.0024892-0.0082428i,0.002325-0.0019238i,-0.00047411-0.0017411i,0.00044287-0.0011963i,0.0016975+0.00039491i,0.00078489+0.00029026i,0.0021703+0.00097239i,-0.002275+0.0012533i,-0.00029751+0.0018086i,-0.00027297+0.0014241i,0.00073835+0.00026779i,0.00095137+5.9383e-05i,0.0058989+0.0040852i,-0.00049966-0.0015027i,-0.00034629-0.0006694i,0.0011332+8.9971e-05i,-0.0015547-0.0001163i,-0.00074044+0.0015965i,-0.00061834+0.0030137i,0.0094473-0.00042306i,0.0017002-0.00071786i,0.001338+0.026332i,-0.0061522+0.044692i,0.019066+0.054786i,0.010834+0.026483i,0.02934+0.0018201i,0.020352+0.0056219i,-0.0090011+0.018261i,-0.028511+0.015054i,-0.040777+0.031074i,-0.026492+0.011298i,0.011126-0.0034994i,0.0019852+0.0062002i,0.0076041+0.006862i,-0.0026545+0.013396i,-0.0035707+0.00011253i,0.011641-0.013871i,0.015982-0.0023243i,-0.01598+0.0097724i,0.0016204-0.0004727i,-0.00040197+0.0018964i,-0.00094365+0.00042744i,-0.0021821-0.00068176i,0.0053484-0.0014287i,-0.0025764-0.006481i,-0.001452+0.0034812i,0.0018451-0.0051159i,-0.0034135-0.0048786i,-0.0029697+0.0025617i,0.0018243-0.0017426i,0.00090146-0.0019401i,0.024336-0.013441i,-0.0019238+0.0061326i,-0.0016282-0.0038048i,-0.0033462-0.0012758i,-0.0029877-0.0064958i,0.00074252+0.0062686i,0.0034585-0.0043053i,0.00030702+0.00019929i,0.00012712-0.0024389i,-0.00090892-0.0010845i,0.0039168+0.0050833i,-0.00023438-0.00019191i,0.0054427-0.00044461i,-0.0052863+0.0074907i,-0.00099128+0.011391i,-0.0050078+0.044872i,0.01447-0.0084937i,-0.013645+0.0062318i,-0.021069-0.003755i,0.017892-0.0016493i,0.021406+0.0072046i,-0.0090803+0.0045216i
-0.00078779+0.021566i,0.037872+0.016555i,0.046663-0.0075007i,0.015997-0.0089281i,0.0070684-0.010773i,0.0083354-0.02381i,0.017168+0.0023738i,0.033861+0.0074736i,0.020269-0.00058727i,0.0044496+0.0038433i,0.0022877-0.00034091i,0.0022837-0.0022426i,0.0014993+0.0020389i,0.0011821-0.002253i,-0.00050297-0.0020055i,0.0047102-0.00028493i,-0.0030707-0.0066839i,-0.00038258-0.0012339i,0.0010008+0.0033121i,-0.0011277+0.00085143i,-0.0017832+0.0014184i,0.00077976+0.0026171i,-0.00051924+0.002376i,-0.0055062-0.0088806i,0.0012944-0.0032927i,-0.0011885-0.0011066i,-0.00015704-0.0012i,0.0015476+8.173e-07i,0.0010095-2.7107e-05i,0.0021102-4.3781e-05i,-0.0012476+0.0018956i,0.00030654+0.0019913i,0.0001127+0.001664i,0.00071172-3.4252e-05i,0.00036173-0.00053563i,0.0059133+0.0023371i,-0.00098478-0.0011256i,-0.00050408-0.00047488i,0.00090614-0.00014384i,-0.00088693-0.00024875i,-0.00037831+0.0020629i,-0.00021609+0.0028449i,0.0068776-0.0029185i,0.0014101-0.0004055i,0.0044185+0.023593i,0.001666+0.041171i,0.027763+0.047367i,0.016012+0.023695i,0.024813-0.0068125i,0.018588+0.0012273i,-0.0029275+0.022753i,-0.01988+0.02436i,-0.02836+0.039962i,-0.028113+0.015553i,0.0080564-0.0046173i,0.0033917+0.0049822i,0.0087515+0.0032243i,0.0024181+0.013544i,-0.0037389+0.0018246i,0.0015435-0.016518i,0.012561-0.0076781i,-0.01348+0.013605i,0.0021174-0.0018488i,0.00032346+0.0017588i,-0.00077663-0.00029789i,-0.00079528+0.00057892i,0.0044688-0.0013255i,-0.0035962-0.0058761i,0.0014552+0.0033277i,0.00042969-0.0063835i,-0.0044824-0.0031382i,-0.0015086+0.0028541i,0.00069527-0.0030731i,0.0010748-0.0027172i,0.015077-0.019438i,0.00089252+0.0057424i,-0.0026459-0.0030386i,-0.0026793-0.0010031i,-0.0050789-0.005171i,0.0017061+0.004735i,0.0015545-0.006203i,0.0012385-0.00026418i,-0.00077522-0.0029898i,-0.0012607-0.0020212i,0.0037901+0.0037719i,-0.00057679+0.0011692i,0.0045219-0.0014612i,-0.0046369+0.0082925i,0.0018358+0.010554i,0.0021745+0.043852i,0.0067688-0.01631i,-0.015811+0.0026796i,-0.023175+0.0035242i,0.012068-0.0057546i,0.021739+0.001222i,-0.0073672+0.0052735i
0.0023954+0.020951i,0.039849+0.010923i,0.042394-0.016067i,0.0098498-0.013611i,0.0037663-0.014064i,0.0037432-0.02423i,0.018786-0.00090497i,0.033109+0.0019484i,0.018898-0.0059652i,0.0055431+0.0031801i,0.0021212-0.00058595i,0.001039-0.0034309i,0.002736+0.0014025i,0.0006985-0.0021259i,-0.00046175-0.0019847i,0.0051682-0.0011235i,-0.0049388-0.0049861i,-0.00094684-0.00084481i,0.0016032+0.0023432i,-0.00074667+0.0017768i,-0.0013936+0.0019671i,0.00077979+0.0012085i,-7.5734e-05+0.0023918i,-0.0076621+0.0019774i,-0.00099354-0.0032636i,-0.0013802-0.00037809i,-0.00068738-0.00092471i,0.0012721-0.00025671i,0.0006053-0.00068833i,0.0016564-0.00074228i,-0.00015522+0.001906i,0.0010832+0.0016202i,0.00096821+0.0016571i,5.3416e-05+0.0009325i,-5.9145e-05+8.8086e-05i,0.0056254+0.00093301i,-0.0016236-0.00036107i,-0.00055925+5.1471e-05i,0.00093008-0.00014001i,-0.00052555-0.00075086i,0.00035551+0.0023059i,0.00042323+0.0027842i,0.0050958-0.0020602i,0.0013828-0.00020288i,0.0069672+0.020593i,0.0076222+0.036716i,0.033491+0.039783i,0.020932+0.019199i,0.019008-0.012142i,0.016304-0.0015144i,0.0038362+0.024091i,-0.0096769+0.02723i,-0.014042+0.043369i,-0.026386+0.021368i,0.0062771-0.0044761i,0.0044004+0.0034549i,0.0082802+0.00035524i,0.007248+0.010774i,-0.0031372+0.0040828i,-0.0074173-0.012562i,0.0081443-0.010417i,-0.0093497+0.016625i,0.0013051-0.0031613i,0.00083645+0.0011104i,-0.0011283-0.00034781i,0.00099269+0.0008178i,0.0043079-0.001633i,-0.0050714-0.0045592i,0.003249+0.0018812i,-0.0025211-0.006689i,-0.0048394-0.0013281i,9.9697e-05+0.0019899i,-0.00020399-0.0035651i,0.0004899-0.0038725i,0.0060599-0.021497i,0.0028655+0.0042804i,-0.0029897-0.0022892i,-0.0034074-0.00099359i,-0.0064423-0.002744i,0.0019271+0.0040038i,-0.00092792-0.0076027i,0.0019913-0.0013082i,-0.0012006-0.0023903i,-0.0017985-0.0021548i,0.0047984+0.0023631i,4.2078e-05+0.002128i,0.0033769-0.0022928i,-0.0036844+0.009434i,0.0045228+0.0088592i,0.01023+0.041769i,-0.0040424-0.019996i,-0.019771+0.0028202i,-0.020311+0.010465i,0.0073173-0.0054625i,0.018208-0.0055075i,-0.0061295+0.0038845i
0.005156+0.019439i,0.041225+0.0042663i,0.037319-0.022369i,0.0041533-0.014364i,-0.00026958-0.015841i,-0.00016146-0.024318i,0.019612-0.0056422i,0.032185-0.0030568i,0.016022-0.010298i,0.0066481+0.0017784i,0.0024586-0.00087344i,-0.00044829-0.0031907i,0.0034293-0.00017876i,0.00039178-0.0019698i,-0.00070364-0.0021293i,0.0055001-0.0019807i,-0.0053224-0.0026027i,-0.0010126-0.00081737i,0.0014606+0.0013652i,0.00013375+0.0019996i,-0.00074396+0.0021493i,0.00040466+0.00045672i,0.00049238+0.002245i,-0.002282+0.0039856i,-0.0021118-0.0017701i,-0.0013175+0.00022675i,-0.00089492-0.00052557i,0.00086534-0.00062473i,-5.4823e-05-0.00041986i,0.00098085-0.0012975i,0.00080792+0.0014732i,0.0014575+0.0010283i,0.0016348+0.00090483i,0.00068279+0.0002035i,0.00035328+0.00066665i,0.0051029-0.00041409i,-0.0016172+0.00077041i,-0.00032824+0.00034157i,0.00081923-0.00055095i,-0.00050962-0.0012258i,0.0011151+0.0020468i,0.0013138+0.0021307i,0.0064746-0.00094272i,0.0011854-9.3612e-05i,0.0084549+0.017792i,0.011448+0.031639i,0.037773+0.032238i,0.024051+0.012915i,0.01329-0.01539i,0.014623-0.0016807i,0.010795+0.023438i,-0.00044733+0.027438i,-0.00088973+0.041289i,-0.02227+0.026958i,0.0050835-0.0053195i,0.0050133+0.0014563i,0.0077034-0.0019806i,0.010254+0.007021i,-0.00091277+0.0048505i,-0.011852-0.0059709i,0.003296-0.011447i,-0.0041705+0.017924i,-0.00012321-0.0038372i,0.00041726+0.00089217i,-0.0010849+4.8058e-05i,0.0021592-0.00010249i,0.0038493-0.0013656i,-0.0055186-0.0023202i,0.0036669+0.00010802i,-0.0051602-0.004822i,-0.0041765+0.00023891i,0.00036678+0.00066797i,-0.0010312-0.0041419i,-0.0010343-0.0043005i,-0.001964-0.020009i,0.0042102+0.0021582i,-0.0038595-0.001386i,-0.0038215+0.00066911i,-0.0063702-0.00032777i,0.0026996+0.0037631i,-0.0047833-0.0073973i,0.0020653-0.0028773i,-0.001624-0.0023934i,-0.0023362-0.0026146i,0.0057247+0.0011222i,0.0011138+0.0023214i,0.0022289-0.0018734i,-0.0017217+0.009822i,0.0059622+0.0064165i,0.017939+0.037515i,-0.01574-0.017566i,-0.023121+0.0051372i,-0.015178+0.01373i,0.0045882-0.0045441i,0.012854-0.0081809i,-0.0075788+0.0029795i
0.0071462+0.01792i,0.041309-0.0027519i,0.032075-0.027787i,0.00023005-0.013596i,-0.0043168-0.016429i,-0.004379-0.024239i,0.01875-0.011409i,0.030913-0.0083676i,0.012169-0.013488i,0.007227+3.2434e-05i,0.0027697-0.0018652i,-0.0014347-0.0023273i,0.0028841-0.0017238i,0.00022902-0.0018445i,-0.0013377-0.0021856i,0.0058635-0.0033157i,-0.0049952-0.00083105i,-0.0013715-0.00085604i,0.0013921+0.00093191i,0.00079613+0.0018912i,0.00010636+0.0022519i,-0.00029806+0.00027875i,0.0009406+0.0019265i,-0.00032333+0.0031134i,-0.0020125-0.00039552i,-0.0010297+0.00085429i,-0.00096132-0.00013341i,0.00079301-0.00081253i,-0.00016282-9.8939e-05i,-1.4519e-05-0.0013608i,0.0013379+0.00077011i,0.0017303+0.00059504i,0.0018926+0.00029144i,0.00075166-0.00040572i,0.0011079+0.00049284i,0.004405-0.0015574i,-0.0011108+0.0017006i,-1.6407e-05+0.00050396i,2.7756e-05-0.00069211i,-0.0004263-0.0016961i,0.0017599+0.0016233i,0.0016512+0.0013981i,0.0080824-0.004748i,0.0013544+0.00059722i,0.0095191+0.015462i,0.013564+0.027868i,0.040771+0.024681i,0.024713+0.0077724i,0.0071626-0.017496i,0.01587-0.0011404i,0.017308+0.019941i,0.0095109+0.024526i,0.010826+0.034741i,-0.015039+0.031259i,0.003256-0.0059007i,0.0043748-0.0014522i,0.0066761-0.0043298i,0.010499+0.0018763i,0.00032623+0.0043924i,-0.01273+0.0014205i,-0.0016595-0.010651i,-0.00013128+0.016034i,-0.0024389-0.0032202i,0.00020732+0.0015226i,-0.0010125+0.00040464i,0.0027291-0.0016028i,0.0045636-0.00057475i,-0.0042318-0.00049264i,0.0036766-0.00049399i,-0.0061827-0.0022625i,-0.0021116+0.0014683i,-9.3437e-06+0.00032976i,-0.003335-0.0047261i,-0.0024387-0.0036605i,-0.008878-0.016615i,0.0044311-0.00028955i,-0.0042104-0.00016145i,-0.0024665+0.0019348i,-0.0057573+0.0015314i,0.0041315+0.0032015i,-0.0074414-0.0048912i,0.00079631-0.0045816i,-0.0024942-0.0018142i,-0.0041136-0.002363i,0.0066155-0.0012126i,0.0021183+0.0024767i,0.0026211-0.0018026i,0.00066981+0.010522i,0.0061096+0.0040915i,0.024272+0.030979i,-0.022077-0.0091387i,-0.026001+0.0099974i,-0.010158+0.015309i,0.0019902-0.0027678i,0.0087047-0.0082159i,-0.0084543+0.0034216i
