-0.022161-0.038256i,-0.010187-0.05037i,-0.017548-0.045306i,-0.03051-0.03556i,-0.029802-0.016977i,-0.050751-0.028477i,-0.057663-0.026517i,-0.043783-0.038183i,-0.029286-0.027977i,0.0073148+0.011513i,-0.006657+0.016292i,-0.0050022+0.014519i,0.010424+0.020423i,0.00021584+0.0045974i,0.0032999+0.0034802i,0.006953+0.018264i,0.016174+0.038031i,-0.0027451-0.0016851i,-0.0052298-0.0062155i,0.0054525+0.0023957i,-0.00034063-0.00086441i,-0.0019944+0.0021447i,0.00013053-0.000354i,-0.029034-0.001534i,-0.0023002-0.005938i,0.0014007+0.0046232i,0.002775-8.6959e-05i,-0.00019704+0.00098626i,0.00067158-0.00034124i,-0.00091149-0.0027446i,-0.0015259-0.0058899i,-0.0045206-0.0046499i,-0.0029113-0.0044347i,0.0026123-0.00046975i,0.0019389-0.002767i,-0.001642+0.02815i,0.00095682-0.0034101i,0.0029767+0.00093409i,0.0056421+0.0011163i,-0.0084662-0.00039571i,-0.003951+0.00012641i,0.0046159-3.7716e-05i,0.006814+0.00014513i,-0.0036676+0.0049941i,0.0024656-0.0097577i,-0.011865+0.017562i,0.035285-0.090475i,0.01305-0.070695i,-0.015214-0.059448i,-0.015969-0.056253i,0.038744-0.046456i,0.017262-0.062502i,0.033475-0.056756i,0.031105-0.059909i,0.014537-0.013024i,0.0036264+0.017057i,0.017415-0.025309i,-0.010776+0.0059598i,-0.00061995+0.005712i,-0.005216-0.0010593i,-0.0027532-0.028665i,-0.025147+0.032119i,0.010282-0.011494i,-0.013039-0.0023281i,-0.00019984-0.00501i,-0.0010379-0.01614i,-0.0080548+0.0045755i,0.0054676+0.0061267i,-0.0088158+0.030245i,0.0053602+0.0058601i,-0.0050695-0.00088027i,-0.0029937-0.00030558i,-0.011589-0.0077439i,-0.00079047-0.0044183i,-0.031012-0.017616i,0.00011322-0.0099073i,-0.009289-0.0021309i,-0.0065056-0.0023925i,0.0068165+0.0030704i,-0.007782+0.0013452i,0.0003148+0.0004158i,0.0070478+0.010738i,0.0040334+0.0015175i,-0.0086578-0.0095069i,0.0032326+0.0083523i,-0.020914+0.0038307i,0.0086495+0.00051147i,-0.029489-0.004i,-0.04339+0.0027268i,0.021687-0.098299i,-0.0023637-0.012008i,-0.052561-0.021585i,-0.023537+0.00072121i,0.018079+0.010954i,-0.025068+0.01317i,-0.018029-0.014285i
0.0082711+0.021756i,0.013379+0.052802i,0.024065+0.035447i,0.017241+0.027825i,0.024354+0.027413i,0.033184-0.014093i,0.017782-0.0085888i,0.02974+0.0061608i,0.011206+0.013865i,0.0029119+0.0039398i,0.0047751+0.0028598i,0.0044238+0.0032602i,0.0060256+0.0027234i,0.0049893+0.0037429i,0.0031842-0.0033868i,0.0081098-0.0014649i,0.010592-0.0048746i,-0.0016773-0.0013039i,-0.00394+0.0012875i,-2.5112e-05+0.0012669i,-0.0010697-0.00023542i,-0.0026679+0.0013595i,-0.0019437+0.0010775i,0.0040181+0.007956i,0.0011038+0.00086126i,0.0024332+0.00061651i,0.0019079+0.001168i,0.0012+0.0012652i,0.00051683+0.00045713i,-0.00040626+0.00090793i,-0.0027725-0.0037097i,-0.00088314-0.00047365i,-0.0011342+0.00082039i,-0.0011695+0.00021496i,5.9515e-05-0.0015425i,-0.0064533+0.007282i,0.001273+0.00040051i,0.0015483-0.00055411i,-0.00080207+0.0022374i,0.00011436-0.0044004i,-0.0010544+0.00014116i,-0.0023893-0.00074287i,0.0020885+0.00077812i,0.0079764+0.0065764i,-0.013847+0.029679i,-0.081557+0.033941i,-0.05156+0.038832i,-0.037438+0.059482i,-0.019396+0.07275i,-0.0089427+0.050195i,0.016515+0.033107i,0.0034748-0.0011838i,-0.036622+0.0093315i,-0.047012+0.021224i,0.0017278+0.023568i,-0.0081006+0.002394i,-0.010818-0.00071788i,-0.014287-0.0010687i,0.002287+0.00055343i,0.0060546+0.0097172i,-0.0015084+0.0087091i,-0.0061337-0.012868i,0.0050455-0.0069144i,-0.0063517-0.0068253i,0.0018564-0.0064617i,0.003751-0.0041156i,-0.0017846+0.010223i,0.0096538-0.00403i,0.0060458-0.0053155i,0.0027241-0.0067335i,0.0030662-0.00029156i,-0.0015979-0.0045636i,-0.003348-0.00078528i,0.0025577-0.00053237i,-0.011209+0.030285i,-0.0044174-0.0039239i,0.00198+0.00038766i,0.00060269-0.0064145i,0.0024819-0.0014936i,-0.014257-0.0039949i,0.00051964+0.00011478i,0.0052433-0.0028933i,0.0032303-0.0013239i,0.0010469-0.0044795i,-7.5768e-05+0.0060599i,-0.00086534+0.0067329i,-0.0034664+0.0046943i,-0.011814+0.0026536i,-0.015741-0.002155i,-0.039393+0.057143i,0.00036075+0.0048755i,-0.025541-0.016804i,-0.0084975-0.0054539i,0.0097252+0.019918i,-0.0018144+0.022616i,-0.00055493-0.0011043i
0.010865+0.017988i,0.022126+0.048245i,0.029637+0.031247i,0.022173+0.02554i,0.030329+0.023421i,0.029863-0.019955i,0.015128-0.011998i,0.030196+0.00075929i,0.013326+0.011078i,0.0041125+0.0026603i,0.0055148+0.0017145i,0.0041705+0.0029407i,0.0060888+0.0016454i,0.0057103+0.0024529i,0.002059-0.0039258i,0.0067409-0.0030256i,0.0078478-0.0073155i,-0.0013525-0.0010687i,-0.0039558+0.0015618i,0.00054884+0.00050396i,-0.0012963-0.00027021i,-0.0022358+0.0018066i,-0.0015595+0.00115i,0.0075507+0.0054033i,0.0011808+0.00098572i,0.0027551-0.00048524i,0.0021015+0.00014307i,0.001477+0.0003817i,0.00028798+0.00017735i,-0.00031662+0.00093689i,-0.003661-0.0018214i,-0.0013077-0.00054417i,-0.00088137+0.0011338i,-0.0009472+0.00064754i,-0.0008248-0.00085681i,-0.0033067+0.0087998i,0.0010652-0.00017955i,0.0011928-0.00091186i,0.00029446+0.0020278i,-0.0016757-0.0037036i,-0.00097594+0.00016373i,-0.0028097+0.00026393i,0.0017555+0.00073949i,0.0087012+0.0052539i,-0.0088362+0.030777i,-0.070381+0.048528i,-0.047153+0.047419i,-0.027434+0.063483i,-0.0033428+0.070108i,0.0012702+0.048379i,0.01531+0.034111i,-0.0018335-0.00574i,-0.037863+0.011692i,-0.037643+0.023127i,0.0070235+0.021854i,-0.0081494+0.0047052i,-0.0099812+0.0051209i,-0.014157+0.0028573i,0.0013072-0.00081313i,0.0077411+0.0090364i,0.0028743+0.011442i,-0.012369-0.011095i,0.00076308-0.0075552i,-0.0060664-0.0030052i,-0.0017041-0.0059083i,0.0013813-0.0055063i,0.0026712+0.0080212i,0.0064743-0.0067535i,0.0024257-0.0058502i,-0.0001109-0.0041233i,0.0040294-0.0014449i,-0.0025304-0.0035145i,-0.0015278+0.0012644i,0.0026881-0.00089743i,0.002567+0.026469i,-0.0054173-0.0031237i,0.0025332-0.0016189i,-0.0028664-0.0063229i,0.0027795-0.0021799i,-0.013867+0.0024345i,0.00094575+0.00059602i,0.0033961-0.0030039i,0.0032669-0.0024991i,0.00020938-0.0046226i,0.0016538+0.0028405i,0.0020564+0.0057479i,-0.00060036+0.0059314i,-0.01042+0.006356i,-0.01674+0.0016492i,-0.028462+0.058088i,0.00070005+0.0058007i,-0.028925-0.011309i,-0.010777-0.0095156i,0.012585+0.018601i,0.0028294+0.024251i,-0.0029623-0.0023017i
0.012087+0.014933i,0.028801+0.041818i,0.035247+0.024561i,0.028047+0.020637i,0.036115+0.017688i,0.025221-0.025488i,0.011685-0.015047i,0.029962-0.0052344i,0.014851+0.0083869i,0.0041416+0.0011828i,0.0055686-0.00016896i,0.004872+0.0027624i,0.0059538+0.00010676i,0.0061137+0.00064857i,0.0008166-0.0041106i,0.005111-0.0039638i,0.0044835-0.0088014i,-0.0017045-0.0011295i,-0.0032372+0.00081184i,0.00041393-0.00053412i,-0.0018654-0.00023977i,-0.0016099+0.0022223i,-0.0014061+0.001236i,0.0084139+0.0012421i,0.0016774+0.00045234i,0.0021115-0.0015671i,0.0016759-0.0006877i,0.0016311+5.7768e-05i,0.00021335+0.00021371i,-0.0002049+0.0010569i,-0.0039321-8.6059e-05i,-0.0019835+0.00037525i,-0.00015275+0.0014978i,-0.00054768+0.00086559i,-0.00097368+9.8925e-07i,-6.6926e-05+0.0087347i,0.00075651-0.00036918i,0.00070179-0.0012105i,0.00092348+0.0014695i,-0.0028392-0.0023938i,-0.00094908+0.00022804i,-0.002494+0.0012319i,0.0016773+0.0011531i,0.010224+0.0036424i,-0.0025073+0.031477i,-0.057496+0.059857i,-0.038861+0.054985i,-0.0161+0.064594i,0.011108+0.063487i,0.010387+0.046657i,0.012775+0.03019i,-0.0071569-0.0067351i,-0.03841+0.017184i,-0.030031+0.022124i,0.011498+0.017648i,-0.007724+0.0069208i,-0.0076181+0.0082222i,-0.013327+0.004521i,-0.00069467-0.0025552i,0.0099725+0.0069833i,0.0075962+0.010744i,-0.016867-0.0064914i,-0.0013612-0.0051076i,-0.0052182-0.00032923i,-0.003391-0.003827i,-0.0010745-0.0048361i,0.0048631+0.0067885i,0.0039062-0.0070233i,-0.0011629-0.005849i,6.3409e-05-0.0017597i,0.003815-0.0040876i,-0.0039503-0.0026234i,-0.00019621+0.00082966i,0.0022239-0.0015387i,0.014583+0.019811i,-0.0068578-0.0011334i,0.0023586-0.0028219i,-0.0032906-0.003943i,0.0030873-0.003573i,-0.010008+0.0077274i,0.0021084+0.00069702i,0.0018484-0.0034825i,0.0020825-0.0031125i,-0.0012966-0.0050389i,0.0012079+0.0018311i,0.003842+0.0034833i,0.002394+0.005689i,-0.0084241+0.0085277i,-0.016527+0.0065352i,-0.019777+0.0575i,0.0047292+0.0057265i,-0.030351-0.0060044i,-0.013937-0.010862i,0.016738+0.015159i,0.0086752+0.024617i,-0.005153-0.0018099i
0.01283+0.012678i,0.03261+0.035418i,0.038055+0.016742i,0.031666+0.013273i,0.040163+0.0095665i,0.01912-0.029447i,0.0074499-0.016735i,0.027958-0.01106i,0.016022+0.0054466i,0.0035936+0.00041273i,0.0047524-0.00090494i,0.0056561+0.001893i,0.0050901-0.00081716i,0.0056333-0.0011013i,-0.00054049-0.0038765i,0.0035811-0.0042219i,0.0011909-0.0079597i,-0.0017356-0.00043116i,-0.001915+0.0015596i,-0.00038583-0.00093388i,-0.0021901+0.00064983i,-0.0010117+0.0026232i,-0.0012832+0.0015049i,0.0072961-0.0019877i,0.0014202-0.00011617i,0.0010913-0.0018702i,0.001116-0.00090578i,0.0013248-0.001002i,0.00031799+3.8656e-05i,0.00015833+0.0013522i,-0.0036227+0.0018947i,-0.0014184+0.0014451i,0.00041773+0.001219i,-0.00024541+0.0009498i,-0.0006987+0.00064146i,0.0026998+0.0080666i,0.00055446-0.00054953i,0.0003079-0.001462i,0.0011451+0.0012095i,-0.0031506-0.0012401i,-0.00085723+0.00042195i,-0.0021766+0.0018704i,0.002185+0.0013639i,0.011991+0.0010681i,0.0033024+0.029691i,-0.041938+0.06755i,-0.030003+0.060715i,-0.0068556+0.063858i,0.023324+0.052732i,0.019913+0.041657i,0.010833+0.028305i,-0.013655-0.0050533i,-0.037137+0.024279i,-0.025441+0.019286i,0.014592+0.011819i,-0.0061069+0.0098384i,-0.0042319+0.011318i,-0.011255+0.0075245i,-0.0044447-0.0014823i,0.012066+0.0035927i,0.011855+0.0075814i,-0.019525-0.00034754i,-0.00244-0.0038872i,-0.0034564+0.0011418i,-0.0038627-0.0015392i,-0.0026764-0.0035112i,0.0069081+0.0034977i,0.0015742-0.0072081i,-0.0051532-0.0020846i,0.0011755-0.00090181i,0.0016189-0.0058352i,-0.0047574-0.00047088i,0.00077607+0.001027i,0.0019628-0.002005i,0.020739+0.010298i,-0.0068234+0.0021966i,0.0020454-0.0043411i,-0.0032752-0.0024122i,0.0016599-0.0056476i,-0.0047928+0.0092928i,0.0031551-0.00040334i,0.0007484-0.0026541i,0.0012151-0.0030016i,-0.0035331-0.0027664i,0.00087964+0.0016367i,0.0038546+0.001099i,0.00471+0.0041209i,-0.0061685+0.0099989i,-0.014709+0.011249i,-0.012094+0.057849i,0.011045+0.0011276i,-0.029464-0.00023602i,-0.019284-0.010052i,0.01804+0.010175i,0.015066+0.022066i,-0.00527-0.0010336i
0.0141+0.01073i,0.036214+0.030192i,0.039358+0.0097735i,0.032999+0.005845i,0.041533+0.00081749i,0.01319-0.031869i,0.0033735-0.01675i,0.024812-0.01578i,0.016728+0.0022472i,0.003164-1.9014e-05i,0.0042343-0.0013877i,0.0062426+0.00061798i,0.0046509-0.0011195i,0.0046492-0.0023217i,-0.0016237-0.0029263i,0.0023548-0.0039208i,-0.00055031-0.0067675i,-0.0018181+9.8396e-05i,-0.0011982+0.0016837i,-0.0011583-0.00068349i,-0.001981+0.0013398i,1.5346e-05+0.002971i,-0.00096669+0.00193i,0.0053697-0.0041331i,0.001042-0.00033402i,0.00044362-0.0018542i,0.00069273-0.0010611i,0.0001674-0.0010742i,0.00012768+9.3337e-06i,0.00094168+0.0012478i,-0.002214+0.0031753i,-0.00054657+0.0018888i,0.00079032+0.00083659i,0.00013531+0.0011748i,-0.00014468+0.000911i,0.0053503+0.0060434i,0.00021797-0.000556i,-0.00042036-0.0014621i,0.0016072+0.000944i,-0.0030429-6.8081e-05i,-0.00068164+0.00046978i,-0.0014817+0.0022451i,0.0028765+0.0011003i,0.012023-0.0027859i,0.0077414+0.026805i,-0.02528+0.070332i,-0.018531+0.065445i,0.0026308+0.063202i,0.029512+0.039736i,0.026559+0.034611i,0.011043+0.029391i,-0.01768+0.0017773i,-0.033471+0.033377i,-0.024375+0.016761i,0.013847+0.0061066i,-0.0026877+0.011843i,0.00091113+0.011698i,-0.0089503+0.0099946i,-0.0054618+0.0018863i,0.012407-0.0016804i,0.014391+0.0027386i,-0.019847+0.0060795i,-0.0026057-0.0017107i,-0.0023827+0.0015839i,-0.0027455+9.145e-05i,-0.0040519-0.0012118i,0.0067559+0.00061205i,-0.00032676-0.006824i,-0.0042886+0.003078i,0.0024248-0.0016256i,-0.00094185-0.0061497i,-0.0035953+0.001033i,0.0021832+0.00029741i,0.0015073-0.0025052i,0.021516-0.00014178i,-0.0043833+0.0046017i,0.00041511-0.005539i,-0.0027254-0.0019567i,-0.00071463-0.0063115i,-0.0008824+0.0086521i,0.0033683-0.0021872i,0.00081854-0.0012362i,0.0011543-0.0025268i,-0.001852-0.0015598i,0.001241+0.0020883i,0.002269-0.00040195i,0.0051319+0.0019437i,-0.0035878+0.0099735i,-0.010679+0.015758i,-0.0039166+0.057582i,0.012412-0.009716i,-0.025886+0.0019374i,-0.024196-0.0072532i,0.018286+0.0056258i,0.020018+0.016298i,-0.0063756-0.0012879i
0.015633+0.0083157i,0.039877+0.024302i,0.040362+0.0025428i,0.033002-0.0017037i,0.041415-0.0076979i,0.006916-0.033352i,0.00043502-0.015998i,0.021284-0.019827i,0.017038-0.0012599i,0.0026447-0.00027244i,0.0041699-0.0018846i,0.0065031-0.00071842i,0.0049484-0.0016384i,0.0035596-0.0030199i,-0.0021406-0.0020293i,0.0017873-0.0033363i,-0.0015672-0.006076i,-0.0015269+0.00043388i,-0.00063941+0.0018262i,-0.0015697-0.00012935i,-0.0013778+0.0018084i,0.0013125+0.0026106i,-0.00032437+0.0022243i,0.0027217-0.0051311i,0.0009145-0.00044984i,-0.00018055-0.0017533i,0.00031307-0.0011691i,0.00038741-0.0014889i,7.5889e-06+9.0051e-05i,0.0013674+0.00057909i,-0.00059992+0.0035494i,0.00030455+0.0018987i,0.00092755+0.00045851i,0.00073583+0.00094775i,0.00027077+0.00058367i,0.0056069+0.0029677i,5.8039e-05-0.00043029i,-0.00081781-0.0010338i,0.0016051+0.00032077i,-0.002398+0.00059867i,-0.00065545+0.00051755i,-0.00065537+0.0023212i,0.0033665+0.0006335i,0.010673-0.0065121i,0.011359+0.023423i,-0.010379+0.068756i,-0.0051634+0.065973i,0.012465+0.060874i,0.03163+0.027811i,0.030822+0.026963i,0.014131+0.031356i,-0.016526+0.010502i,-0.024774+0.043007i,-0.025453+0.017446i,0.011968+0.0030297i,0.0011374+0.011822i,0.0049105+0.0098025i,-0.0058244+0.012435i,-0.0044979+0.0041594i,0.0096636-0.0072147i,0.01426-0.003159i,-0.01719+0.011459i,-0.0016278-0.00050691i,-0.0013878+0.0011998i,-0.0017025+0.00039471i,-0.0032076+0.0016386i,0.0054951-0.0011615i,-0.0018597-0.0053817i,-0.00021058+0.0054647i,0.0023677-0.0032254i,-0.0031814-0.0047233i,-0.0025939+0.0016988i,0.0025452-0.0012381i,0.0014534-0.0027017i,0.018193-0.0082915i,-0.0016732+0.0052381i,-0.0016984-0.005462i,-0.0028733-0.0015292i,-0.0029457-0.0056052i,0.0014766+0.0071105i,0.0024235-0.0036582i,0.002316-0.0014224i,0.0010295-0.0036761i,-0.0008505-0.0023483i,0.0025392+0.0025494i,0.00062031+0.00024777i,0.0050464+0.00082693i,-0.0020466+0.0093049i,-0.0047069+0.017822i,0.0042673+0.055794i,0.0062971-0.018394i,-0.02424+0.00048525i,-0.029037-0.0015311i,0.016534-0.00012214i,0.021526+0.0098442i,-0.0073973-0.00022735i
0.016941+0.0054509i,0.042293+0.01762i,0.039273-0.0058521i,0.030554-0.0095608i,0.039574-0.016761i,0.00032842-0.033207i,-0.0016647-0.015145i,0.017111-0.023298i,0.016252-0.0047062i,0.0021564+0.00011124i,0.0035769-0.002514i,0.0064426-0.0026788i,0.0048006-0.0029027i,0.0023465-0.0034681i,-0.002422-0.0011073i,0.0015915-0.0030691i,-0.002849-0.0053594i,-0.001527+0.00083382i,8.8754e-05+0.0018427i,-0.0019305+0.00057286i,-0.00097851+0.0019466i,0.0021124+0.0016651i,0.00028823+0.0022585i,-2.6159e-05-0.0048395i,0.00072579-0.00087128i,-0.00080968-0.0012394i,-0.0002432-0.0011943i,-0.00039299-0.0010618i,0.00018591+0.00027756i,0.0012442-3.2177e-05i,0.0010384+0.003228i,0.00091034+0.0016677i,0.00085264+0.00010468i,0.0011913+0.00047137i,0.00032693+0.0001122i,0.0056597+0.00036725i,-0.00013843-0.00030597i,-0.0011446-0.00072718i,0.0014374-4.6657e-05i,-0.0018308+0.00084523i,-0.00057751+0.00067331i,8.9252e-05+0.0020449i,0.0038633-0.00036737i,0.0068917-0.010533i,0.01414+0.020139i,0.0023991+0.064585i,0.0069082+0.06237i,0.022012+0.056945i,0.030295+0.01778i,0.033059+0.01993i,0.019677+0.03134i,-0.0096056+0.016455i,-0.011242+0.047549i,-0.025577+0.021002i,0.010397+0.0012936i,0.0042824+0.010301i,0.0069998+0.0065738i,-0.0020668+0.013278i,-0.0038082+0.0056393i,0.003304-0.0097436i,0.010702-0.0079009i,-0.013426+0.015709i,-0.0007293-0.00099216i,-0.0011568+0.00072949i,-0.0012656+0.00022982i,-0.0008505+0.0029804i,0.0043178-0.0013852i,-0.0024312-0.0044684i,0.003118+0.0043753i,0.0010992-0.004904i,-0.0044627-0.0028363i,-0.0013875+0.002086i,0.0017353-0.0027694i,0.00098197-0.0036433i,0.012341-0.013098i,0.00055824+0.005001i,-0.0032073-0.0046117i,-0.0025589-0.0011712i,-0.0043024-0.0043428i,0.0029371+0.0054166i,0.0015602-0.0049979i,0.0028697-0.0030536i,-0.00046183-0.0039424i,-0.001611-0.0032966i,0.0033097+0.0017968i,0.00060466+0.0019999i,0.0049994-0.0014714i,-0.0011492+0.0090384i,0.00055854+0.0168i,0.012305+0.053984i,-0.0019935-0.023316i,-0.026869-0.00057164i,-0.029538+0.0069768i,0.011147-0.0037509i,0.021677+0.0040007i,-0.0066603+0.00036724i
0.017975+0.0019377i,0.04438+0.011426i,0.035807-0.012881i,0.025355-0.015431i,0.034976-0.025073i,-0.0054903-0.031444i,-0.00317-0.014342i,0.012274-0.025692i,0.015246-0.0078452i,0.0026577+0.00078577i,0.0030501-0.0026822i,0.005165-0.0045828i,0.0041018-0.0039824i,0.0013006-0.0034212i,-0.0022492-0.00019364i,0.001388-0.0028589i,-0.0044496-0.0039034i,-0.0011267+0.001473i,0.0005621+0.0012426i,-0.0017607+0.0017137i,-0.00036752+0.0023218i,0.0022383+0.00046474i,0.00091406+0.0021529i,-0.0019717-0.0034115i,5.4862e-05-0.00098301i,-0.00097763-0.00063525i,-0.00073415-0.00093886i,-0.00068454-0.00049811i,0.00037618+2.6601e-05i,0.0010291-0.000347i,0.0022341+0.0021766i,0.0014478+0.0012157i,0.00077363-0.0001218i,0.00077975-0.00018791i,0.00011149+7.7779e-05i,0.0049006-0.0028687i,-0.00018856-0.00013582i,-0.0013922-0.00032177i,0.0012471-0.00042804i,-0.0012577+0.00096923i,-0.00047293+0.0009054i,0.00053956+0.0016728i,0.0036599-0.0017611i,0.0013323-0.0091124i,0.016058+0.016282i,0.013122+0.058342i,0.015788+0.05715i,0.030692+0.050928i,0.027603+0.010805i,0.033706+0.013393i,0.02543+0.028944i,-0.0018677+0.017134i,0.0025913+0.046831i,-0.023421+0.025674i,0.0097381+0.00019185i,0.0068343+0.0077737i,0.0072499+0.0037326i,0.0019576+0.012802i,-0.0022787+0.0075224i,-0.0024853-0.0080522i,0.006528-0.0096724i,-0.0083899+0.018085i,-0.0011844-0.001976i,-0.0014741+0.00094437i,-0.0011732+0.00037857i,0.0017511+0.0027276i,0.0036053-0.0016629i,-0.0033367-0.0035432i,0.0050018+0.0021014i,-0.0016625-0.0055679i,-0.0044477-0.00082625i,-0.00010813+0.0016021i,0.0010322-0.0034799i,-0.00020236-0.0048585i,0.0058699-0.014337i,0.002304+0.003965i,-0.0045193-0.0035821i,-0.0031245-0.0012454i,-0.0053721-0.0027717i,0.003367+0.0040548i,-0.0004548-0.0065357i,0.0026853-0.004718i,-0.0013483-0.0032021i,-0.0022919-0.0031927i,0.0037301+0.0012752i,0.001965+0.0030065i,0.003191-0.0017305i,0.00015547+0.0093938i,0.0043926+0.014386i,0.021436+0.050769i,-0.012219-0.025689i,-0.030357+0.0015282i,-0.025749+0.014016i,0.0065886-0.0032886i,0.019517-0.0021239i,-0.0059956-0.0010209i
0.018037-0.0022983i,0.046063+0.0040704i,0.031837-0.018146i,0.02003-0.018521i,0.028998-0.031576i,-0.010066-0.02917i,-0.0042382-0.014076i,0.00747-0.027139i,0.013655-0.011054i,0.0037206+0.00049055i,0.0029495-0.0030816i,0.003343-0.0054399i,0.0030341-0.0051942i,0.00047643-0.0031898i,-0.0018426+0.00037351i,0.0013893-0.002616i,-0.0049554-0.0017659i,-0.00049134+0.0011532i,0.00059893+0.00066881i,-0.00092317+0.002335i,0.00034881+0.0023119i,0.0018837-0.00034012i,0.0015995+0.0017654i,-0.002988-0.0012523i,-0.00036068-0.00073994i,-0.00093242-0.00024462i,-0.0010346-0.00065457i,-0.00036664+7.7376e-05i,5.8777e-05-6.5628e-06i,0.00064223-0.00070496i,0.0029207+0.00072947i,0.0015629+0.00067996i,0.0007914-0.00029882i,0.0008881+0.00010125i,8.9074e-05+0.00022428i,0.0067237-0.0044038i,-0.00016428+8.7197e-05i,-0.001538+0.00032265i,0.00089818-0.0008162i,-0.00064451+0.0011019i,-0.0002804+0.0010605i,0.00090654+0.0012088i,0.0028548-0.0027937i,-0.00060792-0.0066338i,0.017173+0.012445i,0.020398+0.050435i,0.023093+0.051941i,0.037636+0.043437i,0.02447+0.0053495i,0.033325+0.0089182i,0.030316+0.024943i,0.0045671+0.015887i,0.014676+0.041614i,-0.019007+0.030167i,0.0092724-0.0013757i,0.0083418+0.0045013i,0.0074988+0.001571i,0.0056191+0.010594i,0.00053496+0.008002i,-0.0056972-0.00467i,0.0022725-0.0099646i,-0.0028205+0.018117i,-0.0025846-0.001973i,-0.0021854+0.001901i,-0.0010525+0.00069951i,0.0032986+0.0010798i,0.002944-0.00090029i,-0.0038621-0.0020497i,0.00517-0.00022683i,-0.0041721-0.0041055i,-0.0034407+0.00076794i,0.00022909+0.00053726i,0.00015878-0.0042948i,-0.0022134-0.0048888i,0.000755-0.013522i,0.0035884+0.0022405i,-0.0059553-0.0019137i,-0.003683-2.5685e-05i,-0.005463-0.00056452i,0.0040086+0.0032519i,-0.0036607-0.0064174i,0.0016653-0.0067135i,-0.0018002-0.0027667i,-0.0030241-0.0033816i,0.0045077+0.00070659i,0.0037133+0.0027997i,0.0022392-0.0010086i,0.00197+0.0091032i,0.0064993+0.011374i,0.030137+0.044635i,-0.023788-0.022173i,-0.0335+0.0048326i,-0.020489+0.017947i,0.0044796-0.0020808i,0.014755-0.0052202i,-0.0082496-0.0019114i
0.016658-0.006225i,0.04611-0.0040777i,0.027855-0.022677i,0.015444-0.020264i,0.022105-0.036649i,-0.014458-0.026776i,-0.0056586-0.014662i,0.0026953-0.028023i,0.011349-0.01386i,0.0043945-0.00041768i,0.0027008-0.0038968i,0.0015773-0.0055673i,0.001234-0.0060171i,-0.00011549-0.0029888i,-0.001489+0.00056192i,0.0015346-0.0026455i,-0.0045988+6.0474e-05i,-0.00036202+0.00076294i,0.00052821+0.00041692i,-6.5626e-05+0.0024985i,0.00094625+0.0021297i,0.0014359-0.00078457i,0.0020096+0.001045i,-0.0024975+0.00084311i,-0.00043607-0.00037745i,-0.00081534+0.00016543i,-0.0011593-0.00031578i,-0.00068595+2.3412e-05i,2.3559e-05+0.00011619i,9.2178e-07-0.00079334i,0.002891-0.00070412i,0.0016299+0.00026301i,0.00064897-0.00055643i,0.0010258-0.00047424i,0.00026974+0.00034888i,0.0089411-0.0065984i,-9.064e-06+0.00012055i,-0.0012446+0.00084492i,0.00021921-0.00085417i,2.2007e-05+0.00091862i,-6.4493e-05+0.0013965i,0.0010314+0.00083683i,0.0016597-0.0032288i,-0.0012095-0.0045495i,0.017674+0.009382i,0.024527+0.043912i,0.02986+0.046528i,0.042633+0.036115i,0.020475+0.00091107i,0.034383+0.0053145i,0.03454+0.019667i,0.010843+0.012252i,0.02421+0.033079i,-0.012105+0.033437i,0.008356-0.0030735i,0.0080289+6.8164e-05i,0.0075539-0.0010345i,0.0075092+0.0071385i,0.0022488+0.0071343i,-0.007209-0.00025015i,-0.001523-0.0086823i,0.0012557+0.015696i,-0.0037264-0.00093276i,-0.0018788+0.0037458i,-0.00090486+0.0010226i,0.0039234-0.0010165i,0.0039748+0.00057807i,-0.0033198-0.00078871i,0.0044702-0.0011782i,-0.0050423-0.0020668i,-0.0014828+0.0013033i,-6.0023e-05+0.00022793i,-0.0021969-0.0048276i,-0.0037244-0.0036452i,-0.0034227-0.012339i,0.0039086+0.0001216i,-0.0061961+0.00034242i,-0.00287+0.0010606i,-0.0047609+0.0010671i,0.0051438+0.0021911i,-0.0060833-0.0043465i,-0.00098465-0.0082045i,-0.002441-0.0022042i,-0.0049359-0.0029856i,0.0055052-0.0012035i,0.0054191+0.0019136i,0.0027018-0.00081348i,0.0036489+0.008488i,0.0072736+0.0082047i,0.037127+0.036662i,-0.030703-0.012924i,-0.036647+0.01099i,-0.015014+0.020335i,0.0028575-0.0003114i,0.010221-0.0052079i,-0.0098191-0.0011169i
