-0.022686-0.019049i,-0.032267-0.032636i,-0.022319-0.019803i,-0.03238-0.020302i,-0.023789+0.0044088i,-0.028723-0.017528i,-0.058352-0.044063i,-0.040246-0.041622i,-0.031806-0.019012i,0.0050714+0.0053979i,-0.0035285+0.0062637i,-0.010756+0.010966i,0.0036782+0.006892i,-0.0038668-0.0026551i,0.0029019+0.0017486i,0.0045007+0.028082i,0.023062+0.026688i,7.8312e-05+0.00028584i,-0.0028174-0.0029592i,0.0077527+0.0040467i,0.0020619+0.00067244i,1.9708e-05+0.0023299i,-0.00059883+0.00041238i,-0.030549-0.0010988i,-0.003133-0.0047521i,-0.00015925+0.0027134i,0.0031691-0.0022186i,0.00057088-1.7662e-05i,-0.00044885-0.00064488i,-0.0012482-0.0017839i,-0.0019831-0.00047947i,-0.0042459-0.0041303i,-0.002811-0.005011i,0.00028687-0.0012505i,0.00037847-0.0028904i,-0.003161+0.024794i,0.0020703-0.0033824i,0.0023365-0.0038989i,0.0042021-0.0025672i,-0.0086793-0.00047324i,0.00043218+0.0012501i,0.0056725+0.0016355i,-0.0026581-5.0404e-05i,-0.0032652+0.001251i,-0.0094886-0.0030744i,-0.018856+0.021941i,-0.00789-0.085874i,-0.0026877-0.06132i,-0.021621-0.053059i,-0.011339-0.045717i,0.054599-0.025977i,0.023674-0.067622i,0.040931-0.053434i,0.019388-0.039026i,0.025968-0.019929i,0.012179+0.011898i,0.025832-0.030312i,-0.0092257+0.00026051i,-0.0007452-0.0012527i,-0.0074873-0.0019067i,-0.0047276-0.029266i,-0.02036+0.026615i,0.0076437-0.0090964i,-0.011192-0.003404i,-0.0023684-0.0019415i,-0.0001785-0.014467i,-0.0080366+0.0050733i,0.0054368+0.010445i,-0.010143+0.030344i,0.0070359+0.0075806i,-0.0038249-0.0015801i,-0.0023459-0.0014762i,-0.012395-0.0057052i,0.00038255-0.0039991i,-0.033133-0.00025424i,0.0034889-0.0088436i,-0.0071209-0.0022187i,-0.0055108-0.0026494i,0.0066081+0.0016688i,-0.010775+0.001214i,0.0023259-0.00046249i,0.0064899+0.0077552i,0.0052634+0.0014048i,-0.00816-0.0099331i,0.0026799+0.0078679i,-0.019151+0.0076042i,0.0034072+0.0059069i,-0.020973-0.0086129i,-0.027027-0.0045928i,0.0089956-0.061786i,0.018623-0.01494i,-0.051376-0.027878i,-0.023876+0.0034171i,0.018698+0.010379i,-0.027503+0.012791i,-0.012494-0.0078718i
0.0059201+0.004773i,0.036998+0.014078i,0.019625-0.0041348i,0.013375+0.0021523i,0.0084842-0.0019912i,0.015681-0.0075811i,0.012422+0.014354i,0.019166+0.020637i,0.0012032-0.0028122i,0.0012114+0.00099047i,0.0024301-0.0012332i,0.0013665-0.0041047i,-5.4819e-06-0.0011617i,0.002168+1.6563e-05i,0.0051494-0.001204i,0.005946+0.00041979i,0.006289-0.0052989i,0.0001053-0.0010267i,-0.0022136-3.6617e-06i,0.00039685+0.00086009i,0.00020097-0.00018549i,-0.0022551-0.00052916i,-0.0015283-6.4611e-05i,0.0061644+0.0073305i,-0.00061351+0.00024487i,0.00037945+0.00081233i,0.0010094+0.00092577i,8.0557e-05+0.0010731i,-0.00034867-0.00030289i,-0.0012191-3.6971e-05i,0.00068782-0.0011626i,-0.00040853+0.00050441i,6.662e-05+0.00061778i,-2.652e-05+0.00052276i,-0.00045445-0.00098757i,-0.013463+0.0074824i,0.00050285+0.00020139i,-0.00045583+3.9102e-05i,-0.00068036+0.0016818i,0.00023359-0.0028963i,-0.00072012+0.00036176i,-0.00036067-0.00019053i,0.00076988+0.0012015i,0.0029519-0.0026711i,0.00012778+0.0026595i,-0.050268+0.0088279i,-0.0030824+0.029274i,-0.013995+0.040697i,-0.0090074+0.065649i,-0.016617+0.044617i,-0.0054806+0.019623i,-0.0082076+0.014224i,-0.045347+0.0048232i,-0.024347-0.0079845i,0.015464+0.026165i,0.00057626+0.0053527i,-0.0068851+0.0020417i,-0.014611-0.0022889i,0.0037771-0.00025623i,0.0078048+0.013232i,-0.0058469+0.0060985i,-0.004973-0.0062028i,0.0054889-0.0026001i,-0.0065632-0.0053614i,0.003282-0.0067644i,0.0041164-0.0020493i,-0.0023996+0.0099533i,0.010959-0.0059171i,0.0062599-0.0049828i,0.0051069-0.0081675i,0.0030622+0.00092617i,-0.0019392-0.0058446i,-0.0036677-0.0013739i,0.0021189-0.0017193i,-0.011043+0.028139i,-0.0040452-0.0053355i,0.0032139+0.00014141i,-0.00042922-0.0074001i,0.0032933-0.0019029i,-0.013131-0.0054827i,0.00091626+0.00074052i,0.0044281-0.0015099i,0.0024588-0.00068234i,0.0012208-0.0055089i,-0.002177+0.0052961i,-0.00063884+0.0058554i,-0.0049875+0.0075941i,-0.0048309+0.0025096i,-0.0055843-0.00012129i,-0.024114+0.019835i,-0.0090078+0.014093i,-0.022471-0.011549i,-0.0085167-0.010164i,0.0087463+0.020277i,-0.00040032+0.019944i,-0.0087159-0.0033369i
0.0061983+0.0027346i,0.038243+0.0063063i,0.018493-0.008025i,0.013886+0.00062159i,0.0091962-0.0034096i,0.014156-0.010762i,0.013244+0.011336i,0.022062+0.016329i,0.00052868-0.0030829i,0.0015362+0.00037982i,0.0023139-0.0014926i,-0.00040352-0.0029642i,-9.3105e-05-0.0006051i,0.0021389-0.00010733i,0.0044358-0.0023388i,0.005385-0.00044504i,0.0035748-0.0062357i,0.0001377-0.00095483i,-0.0023796+0.00030252i,0.00089145+0.00025244i,5.8578e-05-0.00055289i,-0.0023213+0.00014294i,-0.0015151+0.00011546i,0.0095791+0.0039827i,-0.00094575+0.0010323i,0.00093427+0.00049724i,0.0010558+0.00029153i,0.00058178+0.00092293i,-0.00079303+0.00023541i,-0.0012571+0.0004641i,-0.00010943-0.0012175i,-0.00057225+0.00015638i,0.00012731+0.00043618i,0.00030726+0.00045481i,-0.00080382+9.3118e-05i,-0.011039+0.012277i,0.00029825+3.8529e-05i,-0.0002856+0.00036769i,0.0001519+0.0012839i,-0.00036013-0.0028859i,-0.00044046+0.00019978i,-0.00051488+8.1695e-05i,0.00076935+0.0010496i,0.001875-0.0028737i,0.0013696+0.0027709i,-0.045155+0.01721i,-0.00027282+0.030077i,-0.0054107+0.041083i,0.0080637+0.062474i,-0.0053656+0.043705i,-0.0074565+0.01582i,-0.011086+0.011529i,-0.04694+0.0080424i,-0.020845-0.0098585i,0.021083+0.020053i,0.00048582+0.0051065i,-0.0056705+0.0069956i,-0.01387+0.0023022i,0.0022724-0.0020951i,0.010067+0.011147i,-0.0022715+0.010552i,-0.0086028-0.0048438i,0.0023602-0.0041185i,-0.0066023-0.0020198i,-0.00089906-0.0065705i,0.0026164-0.0036075i,0.0024238+0.0079676i,0.0066301-0.0086433i,0.0024117-0.0054191i,0.0010749-0.0058057i,0.004199-0.00018092i,-0.0030091-0.004862i,-0.0018417+0.00088727i,0.0020784-0.0019115i,0.0024932+0.032086i,-0.0058437-0.0042389i,0.0036179-0.0016818i,-0.0036403-0.0064542i,0.0031902-0.0025978i,-0.013176+0.000804i,0.0016957+0.0010329i,0.0033687-0.0019299i,0.002919-0.0018389i,-0.0003066-0.0055457i,-0.00052582+0.0030334i,0.0017444+0.0048696i,-0.0010495+0.0088266i,-0.0033149+0.0045457i,-0.0064404+0.00078985i,-0.018573+0.018549i,-0.0068864+0.016553i,-0.025289-0.0059789i,-0.011902-0.012901i,0.012043+0.019661i,0.003136+0.021515i,-0.011249-0.0030325i
0.0057731+0.0011801i,0.037648-0.0019166i,0.017107-0.012469i,0.015095-0.0022724i,0.010033-0.0055285i,0.011681-0.013971i,0.0132+0.0083565i,0.023591+0.011108i,0.00015923-0.0028501i,0.0012472-0.00021895i,0.0020749-0.0023788i,-0.00057676-0.001498i,-6.5953e-05-0.00063063i,0.0020923-0.00060141i,0.0034877-0.0031276i,0.0047013-0.0012908i,0.0013958-0.0057127i,-0.00015966-0.0011236i,-0.0024933+0.0010333i,0.00070641-0.00067594i,-0.0006104-0.0009012i,-0.0019626+0.000762i,-0.0016005+0.00039371i,0.0098927-0.00096389i,-0.00014766+0.001466i,0.00084651-6.496e-05i,0.00079317-9.3868e-05i,0.0008686+0.00051588i,-0.00045823+0.00069096i,-0.0011013+0.00092624i,-0.00069223-0.00098982i,-0.0012413+0.00079104i,0.00032012+0.00037298i,0.00043558+0.00025989i,-0.00030723+0.00067963i,-0.0012683+0.017764i,0.00014382+0.00013442i,-7.581e-05+0.00030147i,0.00041386+0.00097297i,-0.0027048-0.0024164i,-0.00030386+2.9904e-06i,-0.00035274+0.00029614i,0.00093435+0.0011182i,0.0012412-0.0027702i,0.0034085+0.0019529i,-0.038846+0.023728i,0.0040507+0.03111i,0.0031723+0.03841i,0.023497+0.053719i,0.0042417+0.042362i,-0.010628+0.01462i,-0.013762+0.01202i,-0.047977+0.014296i,-0.019767-0.012721i,0.024691+0.011954i,0.00069576+0.0049427i,-0.0032884+0.0084631i,-0.013346+0.0058745i,-0.00016114-0.0038736i,0.012575+0.0080919i,0.0026908+0.011573i,-0.011263-0.0021768i,0.00055174-0.0027181i,-0.0059524+0.00073909i,-0.0031028-0.0042417i,0.00081662-0.0036238i,0.0049126+0.0069644i,0.0036236-0.0086491i,-0.00049518-0.0053668i,0.00067944-0.0032106i,0.0043491-0.002508i,-0.0055715-0.0036697i,-0.00065809+0.00058509i,0.00098225-0.0024053i,0.018039+0.025339i,-0.0074545-0.0021427i,0.0032442-0.003128i,-0.0039365-0.0041789i,0.0035031-0.0041346i,-0.010246+0.0058622i,0.0034368+0.00046679i,0.0022676-0.0024688i,0.0019134-0.0024725i,-0.0020251-0.004325i,-0.0012355+0.0028232i,0.003192+0.0032873i,0.003178+0.0089847i,-0.0019611+0.004861i,-0.0069611+0.0027144i,-0.016281+0.016858i,-0.00030098+0.017559i,-0.025897-0.0018478i,-0.016264-0.01381i,0.017+0.016624i,0.0082717+0.022567i,-0.013487-0.0010779i
0.0051471+0.00019823i,0.03434-0.0086274i,0.013571-0.016758i,0.014919-0.006509i,0.0098783-0.0085299i,0.0083273-0.01596i,0.01279+0.006346i,0.023757+0.0066385i,7.7689e-05-0.0030681i,0.00075798-0.00025544i,0.0010953-0.0028494i,-0.00026847-0.00077409i,-0.0004925-0.0003411i,0.0017324-0.00078323i,0.0023047-0.0035806i,0.0039573-0.0014918i,-0.00010174-0.0048687i,-0.00037661-0.0010105i,-0.0015919+0.0018073i,9.5142e-06-0.0010043i,-0.001139-0.0003358i,-0.0015688+0.0013736i,-0.0014818+0.00090106i,0.0077103-0.0044488i,0.00043248+0.0013446i,0.00053986-0.00020357i,0.00058293-0.00015433i,0.00071403+2.826e-05i,-9.707e-05+0.00066692i,-0.00072742+0.0014491i,-0.0011561-0.00043576i,-0.00071729+0.0014871i,0.00050844+0.00014553i,0.00037554+3.4428e-05i,0.00017948+0.00070361i,0.0021083+0.010648i,0.00030208+0.00020293i,-0.00010268+0.00018193i,0.00047102+0.00083351i,-0.0023685-0.0003843i,-0.00040299-1.0499e-05i,-0.0003016+0.00030455i,0.0012208+0.0011122i,0.00060934-0.0023318i,0.0051713-0.00016751i,-0.031429+0.028412i,0.0095014+0.031065i,0.0084018+0.034925i,0.035484+0.040072i,0.013795+0.036998i,-0.014364+0.016746i,-0.017032+0.014769i,-0.046648+0.021591i,-0.021503-0.015702i,0.025069+0.0031465i,0.0011872+0.0052613i,-0.0006465+0.010924i,-0.010913+0.0097157i,-0.0044657-0.0030182i,0.01464+0.0031403i,0.0074899+0.010085i,-0.013136+0.0019965i,-0.00018917-0.0020837i,-0.004446+0.0025067i,-0.0036906-0.001134i,-0.00024097-0.0032052i,0.0068357+0.0037227i,0.00086289-0.0087507i,-0.0035345-0.0021318i,0.001453-0.002008i,0.0029652-0.0045621i,-0.0061143-0.0013053i,0.00044515+0.00079101i,0.00034536-0.0020716i,0.025917+0.01273i,-0.0077158+0.0015037i,0.0024203-0.0044459i,-0.0040029-0.0022589i,0.0019917-0.0062793i,-0.0059748+0.0080025i,0.0046952-0.0017233i,0.0011583-0.0020358i,0.0012325-0.0025181i,-0.0022228-0.0027672i,-0.0013863+0.0037375i,0.0033261+0.0013007i,0.0073328+0.0064082i,-0.00088139+0.0044025i,-0.0070072+0.0050655i,-0.014425+0.018149i,0.0086772+0.012735i,-0.024843+0.0032514i,-0.022221-0.012359i,0.018779+0.011737i,0.015052+0.021188i,-0.012888+0.00074534i
0.0049513-0.00038721i,0.030891-0.013149i,0.0093128-0.019249i,0.013487-0.010507i,0.0084527-0.011579i,0.0052031-0.017024i,0.012666+0.0051811i,0.023377+0.0024455i,2.0062e-05-0.0034377i,0.00037932-0.00013954i,-0.0003949-0.0029424i,0.00010352-0.00049409i,-0.00062725+0.00027413i,0.0014442-0.0010122i,0.0011881-0.0034477i,0.0036367-0.0013874i,-0.00079509-0.0037936i,-0.0007678-0.00086983i,-0.00067088+0.0017955i,-0.00057732-0.00088792i,-0.0012013+0.00014247i,-0.00079069+0.0017746i,-0.0011312+0.0013572i,0.0052511-0.0066212i,0.00062472+0.0010735i,0.00036951-0.00027518i,0.00042747-0.00035703i,0.00041884-0.00011928i,2.4187e-05+0.00061793i,1.051e-05+0.0017144i,-0.0011742+0.00017735i,-0.00012468+0.001515i,0.00047561-0.00022838i,0.00037543+0.00021058i,0.00070055+0.00064131i,0.0034384+0.0083232i,0.00020385+0.00021075i,-0.00022394+0.00022248i,0.00087424+0.00071808i,-0.0016193+0.00031578i,-0.00059476-0.00011779i,-0.00016995+0.00032876i,0.0015045+0.00074937i,-0.00022159-0.0012864i,0.0053365-0.0032087i,-0.023106+0.031001i,0.015999+0.029269i,0.014157+0.032532i,0.040199+0.024127i,0.01929+0.029754i,-0.015537+0.022906i,-0.017606+0.021258i,-0.043942+0.030572i,-0.026247-0.016578i,0.020615-0.0041107i,0.0023503+0.0055008i,0.004364+0.010634i,-0.0078877+0.012589i,-0.0060835+0.00063056i,0.013537-0.003257i,0.011565+0.0065355i,-0.012542+0.0069803i,-0.0003675-0.00061208i,-0.0027855+0.0036574i,-0.0018669+0.0006055i,-0.0019119-0.0021729i,0.0068384+0.00096168i,-0.0015536-0.0083654i,-0.0029691+0.0012172i,0.0027109-0.0023575i,0.0010707-0.0055391i,-0.0038192+0.001414i,0.0017612+4.7132e-05i,0.00027734-0.0015165i,0.026739+0.00029753i,-0.0055188+0.0043297i,0.00050868-0.0053382i,-0.0031974-0.0016195i,-0.00037212-0.0069216i,-0.002319+0.0078593i,0.0036882-0.0036574i,0.0011452-0.0010401i,0.0014564-0.0023468i,-0.0015308-0.0022911i,0.00040094+0.0047607i,0.0020391+9.994e-05i,0.0084829+0.00063232i,-0.00059701+0.0033156i,-0.0053555+0.007827i,-0.01092+0.019167i,0.012027+0.0015118i,-0.020707+0.0053721i,-0.02728-0.0085485i,0.019761+0.0066866i,0.020461+0.014685i,-0.013467+0.0010636i
0.0049369-0.0012655i,0.027848-0.017291i,0.0054882-0.020787i,0.011097-0.014314i,0.0063198-0.01402i,0.0018363-0.017754i,0.013481+0.0042661i,0.022782-0.0013092i,-0.0001254-0.0041017i,-9.9205e-05+0.00018341i,-0.001131-0.0018667i,0.00031708-0.00041512i,-0.00019906+0.00087687i,0.001059-0.0010222i,0.00041731-0.0031247i,0.0038795-0.0013351i,-0.0012118-0.0032986i,-0.00083305-0.00057993i,7.5874e-05+0.0016077i,-0.00091214-0.00058813i,-0.00088386+0.00040405i,0.00019771+0.001523i,-0.00057313+0.0016252i,0.0017136-0.0074476i,0.001138+0.00087308i,0.00018148-0.00037561i,0.0002299-0.00049133i,0.00029636-0.00014705i,0.00022724+0.00059177i,0.00067954+0.0013973i,-0.00087041+0.0005936i,0.00045219+0.0012739i,0.0002208-0.00027596i,0.00060323+3.9097e-06i,0.00087902-3.1609e-05i,0.0049449+0.0069353i,0.00026845+0.00024975i,-0.00014259+0.0004361i,0.00090523+0.00034037i,-0.0010183+0.00052994i,-0.0010212+0.00030579i,-6.1867e-05+0.00023032i,0.0015949+0.00053154i,0.0015507-0.0053407i,0.0045208-0.0060031i,-0.015466+0.030855i,0.021811+0.025099i,0.02013+0.028403i,0.039755+0.0096276i,0.022161+0.023142i,-0.012377+0.029934i,-0.013793+0.028635i,-0.036838+0.040846i,-0.031186-0.013995i,0.015461-0.0074266i,0.0037064+0.0047272i,0.0076919+0.0082598i,-0.0038226+0.014891i,-0.0053837+0.0033767i,0.0092603-0.0087448i,0.013197+0.00095459i,-0.010171+0.0099802i,0.00073532+3.6883e-05i,-0.00082989+0.0033534i,-0.00037889+0.0004765i,-0.0021184+0.00013979i,0.0056-0.00072975i,-0.0028428-0.006241i,-0.0009257+0.0030053i,0.0028155-0.0041084i,-0.0011435-0.0053982i,-0.0025708+0.0017443i,0.001985-0.0010515i,0.00081277-0.0013794i,0.022685-0.01047i,-0.0026262+0.0053489i,-0.0010974-0.0048268i,-0.0031617-0.0011785i,-0.0027966-0.0065273i,0.00048848+0.0068155i,0.0031167-0.0048654i,0.0020786-0.0011082i,0.0012445-0.0034136i,-0.0013776-0.00272i,0.0022026+0.004381i,0.00096361+0.00038345i,0.0057373+0.0024608i,-0.0010759+0.0025933i,-0.0021569+0.009367i,-0.007231+0.018983i,0.0083184-0.0081721i,-0.017873+0.0032566i,-0.032382-0.0023411i,0.018211-7.8764e-06i,0.021302+0.0079588i,-0.014271+0.0029254i
0.0048018-0.0021247i,0.024131-0.021378i,0.0011111-0.022367i,0.0070053-0.017923i,0.0035874-0.016224i,-0.001715-0.017628i,0.015011+0.0024839i,0.021863-0.0050507i,-0.00071407-0.0047025i,-0.00037394+0.0010548i,-0.0013572-0.0011557i,0.0005101-0.00096055i,0.00030269+0.0010102i,0.00064547-0.00087777i,-0.00012588-0.0027049i,0.0041219-0.0018544i,-0.0016034-0.0030313i,-0.001161-0.00043065i,0.0007584+0.0011891i,-0.001368-0.00013927i,-0.00089467+0.0004231i,0.00067876+0.00081836i,-0.00010758+0.0016445i,-0.002174-0.0063232i,0.0013544-0.00016056i,-3.0836e-05-0.00019881i,-0.00018787-0.00045467i,0.00011139-9.7223e-05i,0.00052867+0.00037516i,0.00099303+0.00083373i,-0.00039528+0.00080985i,0.00044617+0.00068899i,-1.2837e-05-0.00011403i,0.00053052-0.00017303i,0.00038853-0.00068737i,0.0054497+0.0053812i,0.00034062+0.00026037i,-9.0769e-05+0.00049397i,0.00091132+0.00018513i,-0.0004814+0.00055278i,-0.00094758+0.00081211i,-2.4604e-05+0.00025885i,0.0017685+0.00014312i,-0.00080944-0.0027541i,0.0024696-0.0082964i,-0.009169+0.029156i,0.025906+0.019672i,0.025168+0.022918i,0.035164-0.0019052i,0.023327+0.0179i,-0.0062463+0.034101i,-0.0050673+0.033649i,-0.024922+0.047672i,-0.035068-0.0084884i,0.010678-0.0087276i,0.0045512+0.0035308i,0.0092247+0.0045038i,0.00089079+0.014807i,-0.0044911+0.0051055i,0.0018468-0.010761i,0.011323-0.0041667i,-0.007767+0.012424i,0.001782-0.0010519i,0.00040075+0.0037197i,-6.2845e-06-0.00017143i,-0.00026908+0.0015313i,0.0045495-0.0010275i,-0.0033634-0.0047721i,0.0013102+0.0031389i,0.0013796-0.0061845i,-0.002888-0.0041914i,-0.0016322+0.0020369i,0.0015236-0.0024045i,0.00085538-0.0021616i,0.014214-0.017761i,-6.3343e-05+0.0049003i,-0.0021287-0.0042803i,-0.0028267-0.00095367i,-0.0046132-0.00555i,0.0022598+0.005332i,0.0014825-0.0065412i,0.0026192-0.0020143i,-0.00031275-0.0037396i,-0.0022972-0.0031821i,0.0036056+0.0046192i,0.00058739+0.0013098i,0.0060925-0.00095494i,-0.0018605+0.0026653i,0.00097253+0.0086595i,-0.0037949+0.018925i,0.00067925-0.014504i,-0.019895+0.00038109i,-0.033498+0.0062993i,0.012171-0.0040504i,0.021604+0.0023414i,-0.01358+0.0050103i
0.0048088-0.0030647i,0.020124-0.024168i,-0.0041951-0.022483i,0.0013877-0.019538i,-6.5275e-05-0.017594i,-0.0046287-0.016369i,0.016609-0.00036649i,0.020383-0.0082724i,-0.0012821-0.0054702i,0.00031085+0.0021189i,-0.001439-0.00024669i,-0.00021072-0.0013912i,0.00091759+0.0010398i,0.00064267-0.00053844i,-0.00036894-0.0023224i,0.0040445-0.0025121i,-0.0027045-0.0025209i,-0.0012607+0.0001248i,0.0010091+0.00043928i,-0.0013419+0.00074378i,-0.00076656+0.0008901i,0.00049221+0.00013849i,0.00035158+0.0015842i,-0.0048542-0.0033825i,0.00045087-0.00071964i,-6.6264e-05-5.5198e-05i,-0.0014458+0.00035084i,1.9501e-05+1.7259e-05i,0.00045485-1.6599e-05i,0.0010419+0.00043119i,-2.4547e-05+0.00079239i,0.00081428+0.00071743i,6.2084e-05+9.1911e-05i,0.00043558-0.00017554i,-0.00024011-0.00037706i,0.0056601+0.0041785i,0.00044292+0.00013637i,1.6919e-05+0.00068719i,0.0010047+5.9237e-05i,6.2814e-05+0.00027771i,-0.00085957+0.0012146i,0.00012511+0.00019239i,0.0015464-0.00040674i,-0.0012866-0.0017313i,-0.00010925-0.0095937i,-0.0042134+0.026266i,0.028296+0.014071i,0.029422+0.016413i,0.028814-0.0097638i,0.023489+0.013734i,0.0010072+0.036223i,0.0044025+0.033826i,-0.011536+0.04958i,-0.035969-0.0016584i,0.0074386-0.0087467i,0.0053332+0.0022646i,0.0088186+0.0012983i,0.0054453+0.013265i,-0.0028485+0.0070651i,-0.0046156-0.0079557i,0.0079881-0.0068098i,-0.0043644+0.013452i,0.0012115-0.0029652i,0.00037542+0.0017152i,-0.00026799-0.00027809i,0.0017743+0.0013301i,0.0040742-0.0013844i,-0.0041845-0.0034233i,0.0028704+0.002049i,-0.0019338-0.0069804i,-0.0034643-0.0024732i,-0.00023836+0.0016532i,0.00095545-0.003205i,0.00035323-0.0032535i,0.0053469-0.01936i,0.0015918+0.0038054i,-0.00301-0.0035561i,-0.0036131-0.00097501i,-0.0062122-0.0036506i,0.0028111+0.0041071i,-0.0010176-0.0074331i,0.002766-0.0032089i,-0.0010663-0.0030941i,-0.0030303-0.0027266i,0.0052536+0.0031603i,0.0010969+0.0020651i,0.0046062-0.0024113i,-0.0021133+0.003776i,0.0028087+0.0069556i,0.00088027+0.018501i,-0.0092297-0.016709i,-0.024025+0.00068475i,-0.029927+0.014773i,0.0071938-0.0032843i,0.019908-0.004766i,-0.012418+0.0047472i
0.0046225-0.0046663i,0.016223-0.026888i,-0.0086628-0.020773i,-0.0035725-0.018782i,-0.0038113-0.017931i,-0.0067066-0.015101i,0.017461-0.0043974i,0.018469-0.011567i,-0.002092-0.0062553i,0.0015122+0.0021361i,-0.00099689+0.00049457i,-0.00093018-0.000893i,0.0013859+0.00050197i,0.00074883-0.0005293i,-0.00052897-0.0020803i,0.0039578-0.0031354i,-0.0032649-0.0011724i,-0.00089173+0.00030802i,0.00075462-0.00016626i,-0.00077375+0.0011664i,-0.00047991+0.0011535i,0.00013725-0.00023101i,0.00079317+0.0013286i,-0.0054037-0.001525i,2.3356e-05-0.00032046i,-4.1803e-05+2.7552e-05i,-0.00040148+0.00032303i,2.5952e-05+9.2297e-05i,0.00018979-4.9519e-06i,0.00096484-5.3079e-05i,0.00038015+0.00060014i,0.00069126+0.00042286i,0.00021276+7.6744e-05i,0.00042877-0.00012275i,-0.00028528+0.00016221i,0.0061043+0.0037298i,0.00030812+6.768e-05i,0.00040527+0.00076488i,0.00092699-0.00031283i,0.00035808-0.00016544i,-0.00076977+0.0010893i,0.00016202-6.0978e-05i,0.0010561-0.0008523i,-0.0015073-0.00099537i,-0.0029836-0.010199i,-0.001465+0.022969i,0.029467+0.008772i,0.03157+0.008225i,0.021956-0.01468i,0.023669+0.011731i,0.0089091+0.036216i,0.012758+0.031668i,0.00063764+0.0476i,-0.034362+0.0050538i,0.0049736-0.0090472i,0.0060758+0.00023251i,0.0083255-0.0010008i,0.0090188+0.0099439i,9.5327e-05+0.0074391i,-0.0078103-0.0030691i,0.0042641-0.0081727i,-0.00059721+0.013301i,-0.00041828-0.003683i,-0.00016828+0.0013664i,-0.00034079-3.3296e-05i,0.0027129+2.0555e-05i,0.0038309-0.0010348i,-0.004261-0.0014819i,0.003368+0.00063321i,-0.0045796-0.0052915i,-0.0034752-0.00087498i,9.0646e-05+0.00040557i,-2.7599e-05-0.0040521i,-0.00087383-0.0036337i,-0.0015023-0.017821i,0.0029365+0.0022612i,-0.0039646-0.0027573i,-0.0040317+0.00057719i,-0.0066521-0.0010075i,0.0034766+0.0031882i,-0.0043244-0.0068978i,0.0023581-0.0049191i,-0.0015174-0.0028203i,-0.0033936-0.0027159i,0.0063244+0.0018035i,0.0019796+0.0022636i,0.0030471-0.0023421i,-0.0018085+0.0045754i,0.0038513+0.0050401i,0.0056501+0.015904i,-0.019658-0.013756i,-0.027748+0.0034885i,-0.024371+0.018421i,0.0050929-0.0021405i,0.013124-0.0089576i,-0.014082+0.0049287i
0.0035186-0.0061887i,0.011866-0.029447i,-0.012104-0.018546i,-0.0075194-0.017024i,-0.007586-0.017421i,-0.0088892-0.014014i,0.016946-0.0094035i,0.015903-0.014472i,-0.003625-0.0070537i,0.0026579+0.0015796i,-0.00031806+0.00072015i,-0.0011382+5.8113e-05i,0.0014688-0.00011088i,0.00079111-0.00060783i,-0.0008195-0.0019913i,0.0037615-0.0038829i,-0.0032204+0.00029948i,-0.00067475+0.00018693i,0.00049279-0.0004071i,-0.00022397+0.0013206i,-0.00031295+0.0011174i,-0.00023906-0.0002911i,0.0010713+0.0009472i,-0.0044869+0.0012048i,-0.00010301+8.9661e-05i,-1.1825e-05+0.00012009i,-0.00030438+0.00022597i,0.00013228+0.00014494i,0.00019984+8.1724e-05i,0.00062495-0.00040033i,0.00055116+0.00015296i,0.00075979+0.00053759i,0.00028333+2.0584e-05i,0.0004414-0.00051233i,1.8261e-05+0.00040279i,0.0070614+0.001976i,0.00040137+7.1535e-05i,0.0007283+0.00062803i,0.00029846-0.00084056i,0.00061955-0.00052861i,-0.00052722+0.00099512i,5.44e-05-0.00011502i,0.00039838-0.00084482i,-0.0016108+0.00013979i,-0.0056866-0.0097854i,-0.00062998+0.021322i,0.030035+0.0037025i,0.03077+0.0017182i,0.014612-0.017729i,0.026271+0.01062i,0.016319+0.033397i,0.020921+0.02747i,0.0115+0.041517i,-0.029709+0.010547i,0.0026065-0.0088901i,0.0053176-0.0030048i,0.0077174-0.0037116i,0.010285+0.0052296i,0.0017836+0.0064065i,-0.0080933+0.00233i,0.00042632-0.0076431i,0.0025036+0.011478i,-0.0027044-0.003429i,-0.00050902+0.0016068i,-0.00030502+0.00021227i,0.0030562-0.0016547i,0.0045924-0.00024708i,-0.0033138-0.00037823i,0.0036582+0.00019174i,-0.0055592-0.0029099i,-0.0018379-0.00077667i,-0.00038576+8.7532e-05i,-0.0020956-0.004486i,-0.0022175-0.0030899i,-0.0069825-0.015142i,0.003323+9.8758e-05i,-0.0044339-0.0014812i,-0.0030882+0.001705i,-0.0060164+0.00096961i,0.0041848+0.0023918i,-0.0067262-0.0047123i,0.00031164-0.006487i,-0.0024229-0.002341i,-0.0049535-0.0021475i,0.0072462-0.0003791i,0.0031307+0.0021202i,0.0027268-0.0020137i,-0.00072171+0.0055098i,0.0038515+0.0029101i,0.0093689+0.011657i,-0.025238-0.0053687i,-0.030708+0.0087697i,-0.019559+0.021587i,0.0033834-0.00024092i,0.0070962-0.0077126i,-0.014483+0.0067527i
