-0.023087-0.01871i,-0.032865-0.033244i,-0.022435-0.019333i,-0.032724-0.020135i,-0.02392+0.0042095i,-0.028831-0.017604i,-0.058337-0.043559i,-0.041165-0.041074i,-0.034185-0.018551i,0.0049398+0.0047582i,-0.0040244+0.0065561i,-0.011215+0.011192i,0.0039494+0.0066473i,-0.0038067-0.0027683i,0.0027631+0.0016169i,0.0043614+0.028462i,0.023995+0.021151i,-0.00022117+7.6995e-06i,-0.0033404-0.0026951i,0.0077029+0.0034622i,0.0018835+0.0005554i,-0.00053875+0.0026012i,-0.00052628+0.00045614i,-0.031711-0.00088219i,-0.0039439-0.004689i,-0.00026417+0.0025474i,0.0043809-0.0013551i,0.00067584-0.0004119i,-0.0003614-0.00060497i,-0.0014044-0.0018794i,-0.0022641-0.00066762i,-0.003807-0.0038339i,-0.0030657-0.0053578i,0.0004566-0.0011187i,0.00032506-0.0028713i,-0.0022256+0.025104i,0.0020096-0.0029878i,0.0019936-0.004331i,0.0042461-0.002206i,-0.0085188-0.0012278i,0.00050982+0.0010681i,-0.0041751-0.0097483i,-0.0025902-2.1084e-05i,-0.0034598+0.00079356i,-0.0085688-0.0040023i,-0.019008+0.021563i,-0.0082714-0.086444i,-0.0025867-0.060717i,-0.021396-0.053943i,-0.010777-0.045367i,0.053929-0.026401i,0.02389-0.06719i,0.041339-0.053349i,0.018882-0.039759i,0.025485-0.020294i,0.012111+0.011932i,0.026106-0.029178i,-0.010115-0.0011558i,-0.0010326-0.00098441i,-0.0071599-0.0014258i,-0.005616-0.02916i,-0.021371+0.027167i,0.0073936-0.0095061i,-0.010148-0.0031852i,-0.0024586-0.0018904i,-0.00010055-0.014649i,-0.0079327+0.0053495i,0.0052262+0.010339i,-0.009238+0.030984i,0.0062941+0.0077115i,-0.0037579-0.0013877i,-0.0023543-0.0017501i,-0.013072-0.0056484i,0.00024156-0.0040567i,-0.037591+0.006215i,0.0030919-0.0088066i,-0.0071421-0.0015012i,-0.0055691-0.0031624i,0.0068301+0.0017718i,-0.010652+0.0005738i,0.0023367-0.00026866i,0.0061169+0.0075705i,0.005916+0.0010682i,-0.0077187-0.0097293i,0.002743+0.007993i,-0.01873+0.0072802i,0.0032769+0.0058784i,-0.021126-0.0086354i,-0.026817-0.005096i,0.0088915-0.059945i,0.018476-0.014431i,-0.051642-0.028898i,-0.024002+0.0020518i,0.01915+0.010408i,-0.027107+0.012383i,-0.012682-0.0077071i
0.0060054+0.0048595i,0.036463+0.014324i,0.019301-0.0042836i,0.012762+0.0022728i,0.0084878-0.001856i,0.015796-0.0075065i,0.012227+0.014126i,0.018746+0.019394i,0.00087531-0.0023458i,0.0012145+0.00090381i,0.0023078-0.0014202i,0.0010763-0.0038687i,9.433e-05-0.0012383i,0.0020585-8.5439e-05i,0.0051084-0.0011692i,0.0057687+0.0005318i,0.0055922-0.0057185i,0.00016253-0.0010126i,-0.0023548-0.00025933i,0.00051151+0.00093695i,0.00011193-0.00017378i,-0.0021479-0.00041541i,-0.0015647-0.00017859i,0.0062503+0.0077877i,-0.00065417+0.00024748i,0.00031626+0.00082724i,0.00095864+0.00091158i,-5.6654e-05+0.0011548i,-0.0004681-0.00038675i,-0.0011602-6.5644e-05i,0.00061027-0.0010863i,-0.00051182+0.00040195i,0.00018552+0.00061231i,-0.00012396+0.00059214i,-0.00052177-0.0010207i,-0.0097047+0.0068816i,0.00056129+0.00024641i,-0.00048103+1.9806e-05i,-0.00027907+0.0014293i,0.00027725-0.002783i,-0.00044396+0.00050818i,-0.00041982-0.00032757i,0.00054031+0.0012826i,0.0035586-0.0022975i,0.00019602+0.0028063i,-0.050155+0.0095333i,-0.003519+0.029279i,-0.014034+0.040924i,-0.0087687+0.064733i,-0.016948+0.044279i,-0.0058897+0.019663i,-0.0086754+0.013988i,-0.045987+0.0050304i,-0.024075-0.0074386i,0.015159+0.02521i,0.0007561+0.005611i,-0.0076833+0.0010885i,-0.014306-0.0017703i,0.0038065-0.00026941i,0.0069912+0.014072i,-0.0062232+0.0063821i,-0.0052044-0.0067685i,0.0061404-0.0029039i,-0.0066903-0.0052245i,0.0038397-0.0068093i,0.0042836-0.0021666i,-0.0020322+0.010134i,0.011455-0.0052505i,0.0061996-0.0046776i,0.005549-0.0082058i,0.0030885+0.00069769i,-0.0020315-0.0060072i,-0.0034661-0.0017518i,0.0021302-0.0017415i,-0.0090918+0.036841i,-0.0042986-0.0051264i,0.0033777+0.00013205i,-3.9289e-05-0.0068998i,0.0033844-0.0017966i,-0.013132-0.0060719i,0.00083407+0.00085656i,0.0037586-0.0021094i,0.0024521-0.00086567i,0.0013446-0.0054315i,-0.0019154+0.0056371i,-2.734e-05+0.0057057i,-0.0049195+0.0062899i,-0.0049004+0.0027885i,-0.0055379-0.00020548i,-0.023682+0.019767i,-0.0082185+0.014647i,-0.022187-0.010886i,-0.0091844-0.0095447i,0.0086649+0.019883i,-0.00043348+0.020251i,-0.0084892-0.0038719i
0.0063701+0.0027376i,0.038049+0.0069354i,0.018162-0.0079686i,0.013487+0.0010532i,0.0092446-0.0032853i,0.014274-0.01065i,0.012981+0.011199i,0.021089+0.015499i,0.0002572-0.0026597i,0.0016155+0.0003467i,0.0021029-0.001739i,-0.00060028-0.0025709i,-9.1614e-05-0.00065793i,0.0019535-7.0002e-05i,0.0045075-0.0021739i,0.0052044-0.0001678i,0.0028825-0.005699i,0.00022137-0.00085279i,-0.0026542+0.00016624i,0.00092714+0.00022821i,-7.9263e-06-0.00052418i,-0.0022003+4.8862e-05i,-0.0015745+8.1739e-05i,0.0098584+0.0044867i,-0.00096049+0.0010902i,0.00090083+0.00052246i,0.0010717+0.00030454i,0.00042847+0.0010489i,-0.0008734+0.00031945i,-0.0012528+0.0004103i,-0.00020416-0.0014388i,-0.00055682-4.0101e-05i,0.00024358+0.0005084i,0.00017071+0.00050644i,-0.00082881+3.2942e-06i,-0.0076709+0.009187i,0.00027893+5.682e-05i,-0.00035253+0.00042858i,0.00030046+0.0011697i,-0.00056458-0.0028418i,-0.00027477+0.00031721i,-0.00065324-1.1142e-06i,0.00068166+0.0012435i,0.0024543-0.002657i,0.0015122+0.0027366i,-0.044608+0.017476i,-0.00058002+0.030294i,-0.0051297+0.041323i,0.0074937+0.061552i,-0.0057657+0.043591i,-0.0078239+0.015797i,-0.011782+0.011856i,-0.047226+0.0082891i,-0.020288-0.0092966i,0.02052+0.019611i,0.00062161+0.0052588i,-0.0067828+0.0066057i,-0.013669+0.0029836i,0.0022674-0.0019372i,0.010035+0.011958i,-0.0021223+0.010982i,-0.0091459-0.005183i,0.0028062-0.0047307i,-0.0066813-0.0016001i,-0.00079778-0.0066589i,0.0028045-0.0040853i,0.0026538+0.0079738i,0.0074511-0.0084233i,0.0023813-0.0064836i,0.00096197-0.0058312i,0.0041008-0.00015582i,-0.0034881-0.0044333i,-0.0021666+0.00064411i,0.00205-0.0019046i,0.0076979+0.032664i,-0.0057945-0.0042552i,0.0036449-0.0018625i,-0.0031366-0.0062684i,0.003299-0.0027597i,-0.01349+0.00028069i,0.0017486+0.0012784i,0.0028427-0.0021484i,0.0028735-0.0020002i,-1.1754e-05-0.0055516i,-0.00041911+0.0028667i,0.0020962+0.0043837i,-0.00158+0.0077629i,-0.0034721+0.0046683i,-0.0063813+0.00066666i,-0.018316+0.018581i,-0.0059057+0.016658i,-0.024933-0.0057927i,-0.012159-0.012447i,0.012021+0.019391i,0.0033688+0.021786i,-0.011388-0.003629i
0.0059292+0.001098i,0.037781-0.0013014i,0.01669-0.012079i,0.014981-0.0018917i,0.010171-0.0054507i,0.011884-0.013762i,0.012969+0.0083624i,0.023165+0.010834i,-0.00022287-0.0024529i,0.0013817-0.0002433i,0.0016669-0.0023402i,-0.00063335-0.0010994i,-6.9213e-05-0.00061566i,0.0020447-0.00043478i,0.0036703-0.0030632i,0.0045946-0.00078639i,0.0011545-0.0053448i,-1.9647e-05-0.0011057i,-0.0026254+0.0011505i,0.00078377-0.00071066i,-0.0006627-0.00086898i,-0.0019698+0.00067719i,-0.0016504+0.00037665i,0.010472-0.0007307i,-0.00022106+0.0014418i,0.00090498-0.00010362i,0.00081231-0.00010726i,0.00087258+0.0005731i,-0.00045063+0.00074195i,-0.0011227+0.00088368i,-0.00080096-0.0010555i,-0.0011297+0.00052988i,0.00046324+0.00045348i,0.00037238+0.00026714i,-0.00035997+0.00063457i,-0.0020551+0.010805i,0.00014043+0.00018487i,-5.9874e-05+0.00037042i,0.00053042+0.00088327i,-0.0024065-0.0020324i,-0.00029722+7.703e-05i,-0.00041897+0.00027824i,0.0008828+0.0013088i,0.0017403-0.0028216i,0.0032921+0.0019047i,-0.038652+0.023471i,0.0039459+0.03127i,0.0038502+0.038254i,0.02246+0.053361i,0.0040702+0.042303i,-0.010918+0.015002i,-0.014306+0.0125i,-0.048146+0.01498i,-0.019117-0.01264i,0.023341+0.012131i,0.00082719+0.0050184i,-0.004184+0.0087566i,-0.012819+0.0057814i,-0.00012411-0.003699i,0.01284+0.0089992i,0.0032537+0.011826i,-0.012011-0.0021959i,0.00073114-0.0034096i,-0.005826+0.0010511i,-0.0029039-0.0042086i,0.00073475-0.0040437i,0.0050756+0.0068131i,0.0043971-0.0092831i,-0.001498-0.0047556i,0.00057766-0.0030598i,0.0044873-0.0023844i,-0.005133-0.0027507i,-0.00081896+0.00072568i,0.00088124-0.0023072i,0.019758+0.023582i,-0.0075629-0.0022505i,0.0029818-0.003134i,-0.0037518-0.0045407i,0.0034699-0.0041544i,-0.010421+0.0056434i,0.0034739+0.00091134i,0.0020519-0.0024439i,0.0019383-0.002538i,-0.0019164-0.0048297i,-0.0013429+0.0027121i,0.0029478+0.0027509i,0.0018052+0.0077601i,-0.0020034+0.0049806i,-0.0071116+0.0025434i,-0.015782+0.016897i,0.00030842+0.01708i,-0.025444-0.0013703i,-0.016369-0.013312i,0.016837+0.016704i,0.0089821+0.022288i,-0.013925-0.0017299i
0.0052681+0.00017435i,0.034542-0.008082i,0.013583-0.016244i,0.014856-0.0060651i,0.0099849-0.0086243i,0.0085-0.015879i,0.012655+0.0065139i,0.023171+0.0063544i,-0.0002283-0.0026895i,0.00083746-0.00025507i,0.00094453-0.0025684i,-0.00013003-0.00053169i,-0.0005008-0.00037321i,0.0017419-0.00065283i,0.0024044-0.003582i,0.0041501-0.001059i,5.4603e-05-0.0045444i,-0.00028675-0.0010307i,-0.0015698+0.0019773i,7.3656e-05-0.0010815i,-0.001195-0.00037689i,-0.0015582+0.0013509i,-0.0015979+0.00088621i,0.0082477-0.0046512i,0.00032243+0.001273i,0.00056566-0.00028292i,0.00067385-0.00014742i,0.00073679+7.0799e-05i,-6.1958e-05+0.00065354i,-0.00077305+0.0014269i,-0.0012126-0.00044585i,-0.00071567+0.0012051i,0.00058179+0.00010683i,0.00035707+5.3624e-05i,0.0001394+0.00068202i,0.0021175+0.0084323i,0.00020008+0.00021236i,-7.5836e-05+0.00021183i,0.00054972+0.00081367i,-0.0021671-5.1779e-05i,-0.00046082-4.8021e-05i,-0.00026144+0.00030974i,0.0011701+0.0013592i,0.0009013-0.002683i,0.0049096-0.00013409i,-0.031556+0.028206i,0.0095062+0.031082i,0.0090284+0.034253i,0.03442+0.040096i,0.013799+0.036968i,-0.014478+0.017349i,-0.017307+0.01554i,-0.046463+0.022728i,-0.02127-0.015866i,0.024329+0.0036192i,0.0012647+0.0053785i,-0.0012558+0.011641i,-0.010921+0.0092588i,-0.0044001-0.0027502i,0.01534+0.0037438i,0.0084876+0.0099834i,-0.013232+0.0020988i,-0.00013925-0.0027117i,-0.0040848+0.0027961i,-0.0036112-0.0013525i,-0.00023081-0.003457i,0.0069222+0.0033923i,0.0016658-0.0096373i,-0.0032794-0.0017282i,0.0013632-0.0019067i,0.0031356-0.004403i,-0.0057849+0.00050072i,0.0002948+0.0010546i,0.00035739-0.0019644i,0.026211+0.011089i,-0.0079031+0.00137i,0.0021673-0.0044491i,-0.0043366-0.0027173i,0.0019148-0.0062286i,-0.0058423+0.0077134i,0.0046785-0.0012649i,0.0013954-0.0019208i,0.0012333-0.0026886i,-0.0025159-0.0027162i,-0.0014745+0.0036849i,0.0029396+0.0011113i,0.0047243+0.0067631i,-0.00091201+0.0045553i,-0.0072423+0.0048313i,-0.0139+0.017845i,0.0088919+0.01212i,-0.024158+0.0034742i,-0.0217-0.011954i,0.018875+0.011905i,0.015028+0.020329i,-0.0137+2.4082e-05i
0.0050695-0.00041189i,0.031209-0.01264i,0.009584-0.019003i,0.013562-0.010102i,0.0084818-0.011659i,0.0053002-0.016963i,0.01258+0.0053658i,0.023114+0.0026697i,-0.00018926-0.0030967i,0.00042923-0.00016361i,-0.00020393-0.0027191i,0.00027776-0.00045107i,-0.0006556+0.00030677i,0.0014789-0.00085502i,0.0012192-0.0034831i,0.0040332-0.0011087i,-0.00061035-0.0037424i,-0.00078351-0.00091154i,-0.00069583+0.0018316i,-0.00059151-0.00094188i,-0.0012757+0.00010031i,-0.00078413+0.0016822i,-0.0012499+0.0014521i,0.0051691-0.0068993i,0.0005964+0.001042i,0.00035384-0.0003155i,0.00062456-0.00029868i,0.00039993-0.00011467i,5.3665e-05+0.00063933i,-3.4826e-05+0.0016908i,-0.0011543+0.0001796i,-0.00016039+0.0013861i,0.00046132-0.00013499i,0.0003618+0.00018566i,0.00070633+0.00063574i,0.0018954+0.0069096i,0.00014223+0.00031848i,-0.0002156+0.00026736i,0.00084796+0.00074066i,-0.0015038+0.00042625i,-0.00059529-0.00024091i,-0.00016834+0.00034889i,0.0015809+0.00098889i,0.00022215-0.0019031i,0.0051795-0.0029651i,-0.023232+0.03072i,0.015898+0.029325i,0.014362+0.031641i,0.039092+0.024579i,0.019391+0.02983i,-0.015384+0.023297i,-0.017523+0.022365i,-0.043109+0.031477i,-0.026236-0.016502i,0.020706-0.0038717i,0.0025646+0.0055299i,0.0042113+0.011677i,-0.0077978+0.012232i,-0.0059147+0.00082911i,0.014562-0.0031313i,0.012332+0.0060479i,-0.012932+0.006603i,-0.00049074-0.0011113i,-0.0025592+0.0035538i,-0.0018713+0.00054124i,-0.0019554-0.0024827i,0.0066155+0.00064642i,-0.0010258-0.008416i,-0.0029882+0.0013849i,0.0027144-0.0023494i,0.0012073-0.0053871i,-0.0037818+0.0019831i,0.0017946+0.00044639i,0.00025164-0.0015181i,0.026807-0.0010858i,-0.0056788+0.0042235i,0.00059971-0.005213i,-0.0037198-0.0016709i,-0.0004551-0.0067069i,-0.0021738+0.0076634i,0.0040168-0.0035186i,0.0014382-0.0010036i,0.0012357-0.0023703i,-0.0015026-0.0021063i,0.00029463+0.0046166i,0.0017666+6.8262e-05i,0.0061959+0.0039781i,-0.00064506+0.0034253i,-0.0057611+0.0076763i,-0.010705+0.018682i,0.011693+0.001067i,-0.020304+0.0054258i,-0.026674-0.0093409i,0.019818+0.0067742i,0.020099+0.014441i,-0.01431+0.00035135i
0.0050011-0.0013795i,0.028373-0.016968i,0.0057499-0.020608i,0.01134-0.014077i,0.0063272-0.014072i,0.0019695-0.017708i,0.013526+0.0043669i,0.022901-0.0013074i,-0.00032272-0.003981i,-0.00010012+0.00017069i,-0.0010448-0.0019027i,0.0004884-0.00045603i,-0.00017895+0.00094777i,0.0011558-0.00090688i,0.00042147-0.0031945i,0.0042256-0.0014469i,-0.00083297-0.0034235i,-0.0008606-0.00053523i,-7.5976e-05+0.0016978i,-0.0010001-0.0005534i,-0.00095128+0.00038548i,9.9432e-05+0.0015088i,-0.00059741+0.001721i,0.0015815-0.0077471i,0.0010594+0.00089029i,0.00020188-0.00037933i,0.00046561-0.00051382i,0.00024585-0.00017097i,0.00028664+0.0005925i,0.00063178+0.0014039i,-0.00089482+0.00061019i,0.00030311+0.0012739i,0.00028405-0.00019686i,0.00050491-3.0152e-05i,0.00095051-3.6923e-05i,0.0028326+0.0070189i,0.00025202+0.00030541i,-7.5287e-05+0.00046309i,0.00081931+0.00037674i,-0.00099675+0.00056654i,-0.00082477-0.00018807i,1.1492e-05+0.00027936i,0.001844+0.0006877i,0.00067565-0.0052384i,0.0045323-0.0055568i,-0.015764+0.030625i,0.021772+0.025168i,0.020004+0.027712i,0.039046+0.010531i,0.022362+0.023183i,-0.012231+0.029778i,-0.013205+0.029826i,-0.035908+0.041042i,-0.030994-0.013545i,0.015661-0.0079279i,0.0039026+0.0046763i,0.0079478+0.0091367i,-0.0039305+0.014556i,-0.0051175+0.0035465i,0.010126-0.0092455i,0.013702+0.00040566i,-0.010861+0.0099326i,0.00031851-0.00011043i,-0.00076223+0.0037568i,-0.00046872+0.00044355i,-0.0022524-0.00011772i,0.0052399-0.00075934i,-0.0031658-0.006066i,-0.0008871+0.0033016i,0.0028788-0.0041478i,-0.0010399-0.0051685i,-0.0025257+0.0021246i,0.0021775-0.0009391i,0.00082327-0.0015369i,0.021887-0.011413i,-0.0026089+0.0052603i,-0.0010579-0.0049191i,-0.0034238-0.00093216i,-0.0028025-0.0062151i,0.00044447+0.006755i,0.0028729-0.0048898i,0.0022272-0.0012737i,0.0010024-0.0031719i,-0.001019-0.002649i,0.0019239+0.0038891i,0.00072781+0.00040884i,0.010997+0.0017739i,-0.0011819+0.0026459i,-0.0027345+0.0094223i,-0.0072256+0.018557i,0.0074737-0.0078818i,-0.018074+0.0030034i,-0.032226-0.0035506i,0.018219+0.0005285i,0.021165+0.0074013i,-0.015022+0.002002i
0.0047806-0.002182i,0.024454-0.021279i,0.0014438-0.022305i,0.0073255-0.017807i,0.0036238-0.016305i,-0.0016436-0.017493i,0.015215+0.0024816i,0.022159-0.0051987i,-0.00097544-0.0048i,-0.00025199+0.00117i,-0.0012367-0.0012918i,0.00054747-0.0011193i,0.0004189+0.0010831i,0.00083705-0.00083839i,-0.00014495-0.0027595i,0.0045623-0.0022978i,-0.0013495-0.0031687i,-0.0011586-0.00037379i,0.00071202+0.0012883i,-0.0013818-7.3492e-05i,-0.00097008+0.00044402i,0.00064852+0.00085457i,-8.6721e-05+0.0016676i,-0.0021359-0.0071801i,0.0012557+2.271e-05i,-3.7348e-05-0.00020654i,-0.00024396-0.00085016i,9.2831e-05-0.00010559i,0.00059105+0.00028591i,0.00094127+0.00089109i,-0.00038225+0.00078757i,0.00033056+0.0012711i,3.2747e-05-0.0001072i,0.00042685-0.00019575i,0.00048733-0.00075989i,0.0042519+0.0059755i,0.00036157+0.00025349i,-3.1666e-05+0.0004577i,0.00093256+0.00030645i,-0.00038499+0.0005611i,-0.0010643-2.5688e-05i,0.00014372+0.00021945i,0.0020207+0.00023592i,-0.0011064-0.0026079i,0.0026964-0.0079369i,-0.0095216+0.029164i,0.025964+0.019525i,0.025147+0.022537i,0.034951-0.0010084i,0.023554+0.017856i,-0.0061452+0.034141i,-0.0038469+0.034369i,-0.024179+0.047297i,-0.034486-0.0082087i,0.010417-0.0094835i,0.0046518+0.0033553i,0.0097505+0.0050292i,0.00046918+0.014949i,-0.0042063+0.0051468i,0.0023085-0.011292i,0.011597-0.0049265i,-0.0079232+0.012474i,0.0015253-0.00090954i,0.00093492+0.0018572i,-0.00010518-0.00021789i,-0.00056369+0.0014021i,0.0043299-0.00088739i,-0.0037648-0.0042721i,0.0015645+0.0032879i,0.0014003-0.0062508i,-0.0025029-0.0040854i,-0.0015862+0.0023762i,0.0015194-0.0022684i,0.00087735-0.0022995i,0.013946-0.017918i,-2.8192e-05+0.0049344i,-0.0022498-0.0041715i,-0.0028554-0.00077558i,-0.0045528-0.0052i,0.0020058+0.0054284i,0.0014668-0.0063772i,0.0025424-0.0022387i,-0.0001104-0.0036366i,-0.0017985-0.0034632i,0.0030953+0.0039218i,0.00056154+0.0015311i,0.0067991-0.0010529i,-0.001949+0.0028488i,0.00035939+0.0090641i,-0.003909+0.018545i,0.00068934-0.013722i,-0.020348+0.00052492i,-0.033408+0.0054438i,0.012723-0.0036922i,0.02063+0.0015567i,-0.014359+0.0040389i
0.0047817-0.0031474i,0.020289-0.024081i,-0.0038847-0.022571i,0.001694-0.019571i,-4.6461e-05-0.017672i,-0.0044958-0.016335i,0.016782-0.00051016i,0.020604-0.0086924i,-0.0015792-0.005671i,0.00054469+0.0022456i,-0.0014483-0.00035495i,-0.00032412-0.0014704i,0.00098039+0.0010319i,0.00073325-0.0006055i,-0.00038332-0.002346i,0.0043263-0.0031136i,-0.0023172-0.0026731i,-0.0013574+0.00016917i,0.0009763+0.00048336i,-0.0013968+0.00077029i,-0.00087946+0.00077682i,0.00055335+7.0215e-05i,0.00034631+0.0015779i,-0.0048959-0.005188i,0.00049078-0.00042452i,-8.4542e-05-3.324e-05i,-0.0004974+8.3353e-05i,5.6232e-05+2.5843e-05i,0.00042903-9.2154e-05i,0.0010587+0.00050187i,-1.1537e-05+0.00070864i,0.0011899+0.00020284i,4.2745e-05+5.9375e-05i,0.00032004-0.00019783i,-0.00027601-0.00047601i,0.0056788+0.0046806i,0.00042226+0.00013664i,7.1345e-05+0.00064013i,0.0011327+0.00014867i,0.00015023+0.00020319i,-0.0014066+0.0012691i,0.00015325+0.0001255i,0.0018227-0.00036866i,-0.0015399-0.0014076i,0.00021467-0.009337i,-0.0044219+0.026579i,0.028092+0.013877i,0.029285+0.016012i,0.02905-0.0087698i,0.023718+0.013613i,0.0011092+0.036002i,0.0057551+0.033924i,-0.011171+0.0491i,-0.035361-0.0014897i,0.0072486-0.0093573i,0.0053259+0.0020183i,0.0093226+0.0014753i,0.0051093+0.013538i,-0.0026857+0.0069633i,-0.0043624-0.0086096i,0.0079017-0.0075692i,-0.0042608+0.013799i,0.0010611-0.002918i,0.00099848+0.0015126i,-0.00030333-0.00024279i,0.0015343+0.0013703i,0.0038766-0.0011372i,-0.0045124-0.0027269i,0.0032007+0.0020425i,-0.0020601-0.0070659i,-0.0031438-0.002502i,-0.00020609+0.0017651i,0.00084422-0.0030812i,0.00036975-0.0034649i,0.0055574-0.019668i,0.0016463+0.0039274i,-0.0029492-0.0035324i,-0.0034059-0.00075293i,-0.0059488-0.0034308i,0.0025371+0.0042155i,-0.0011921-0.0076333i,0.0025992-0.0033243i,-0.0010462-0.0030555i,-0.0025699-0.0033459i,0.0044202+0.003115i,0.0012629+0.0021813i,0.0052236-0.0025956i,-0.0021111+0.0038302i,0.0025931+0.0075178i,0.00052561+0.018276i,-0.0089454-0.016495i,-0.024272+0.00080339i,-0.030301+0.013567i,0.0076846-0.0036059i,0.017389-0.003905i,-0.01305+0.0043515i
0.0045188-0.0047443i,0.016478-0.026756i,-0.0085651-0.020886i,-0.0033252-0.018982i,-0.0038039-0.017952i,-0.0066234-0.015161i,0.017562-0.0046185i,0.01858-0.012209i,-0.0025369-0.0065201i,0.0020778+0.002416i,-0.00093982+0.00039705i,-0.00097322-0.00088304i,0.0015369+0.00046078i,0.00076444-0.00056229i,-0.00057109-0.0021106i,0.0039875-0.003663i,-0.0029192-0.0015397i,-0.0010073+0.00046114i,0.00071688-0.000134i,-0.0008566+0.001245i,-0.00044086+0.0009607i,0.00018065-0.00030722i,0.00078823+0.0013598i,-0.0050894-0.0017909i,-0.00011698-0.00026438i,-4.5562e-05+4.0984e-05i,-0.00034936-0.0001354i,9.6558e-05+6.9013e-05i,0.00014354-8.8593e-06i,0.001057-3.0864e-05i,0.00035126+0.00050062i,0.00085536+0.00035077i,0.00018484+6.7509e-05i,0.00035377-0.00012535i,-0.00037039+9.4773e-05i,0.0059895+0.0039886i,0.00033649+8.6429e-05i,0.00043373+0.00069414i,0.0012767-0.00041708i,0.00032426-0.00023139i,-0.00053219+0.0015995i,0.00014677-4.6752e-05i,0.0013367-0.0010486i,-0.0014567-0.00073665i,-0.0025787-0.0099212i,-0.0015115+0.023436i,0.029196+0.008785i,0.03119+0.0080751i,0.022562-0.014151i,0.023586+0.011655i,0.0088212+0.035791i,0.01382+0.031349i,0.00062296+0.046971i,-0.033803+0.0050043i,0.0046308-0.009427i,0.0058942+0.00013836i,0.0088918-0.0011587i,0.0088319+0.010288i,9.3537e-05+0.0073898i,-0.0077915-0.0039034i,0.0039784-0.0084906i,-0.00020403+0.013813i,-0.001154-0.0034268i,0.00010317+0.0015283i,-0.00037238-4.7885e-06i,0.0026525+8.0839e-05i,0.003713-0.00068529i,-0.0043044-0.0010501i,0.0035363+0.0004714i,-0.0048517-0.005103i,-0.0027883-0.0011657i,0.00014279+0.00052003i,-7.1414e-05-0.0039528i,-0.0009936-0.0037562i,-0.0015218-0.017792i,0.0030288+0.0022682i,-0.0039961-0.0026743i,-0.0036717+0.00061794i,-0.0065241-0.0012414i,0.0032152+0.0034216i,-0.0045118-0.0071264i,0.0022113-0.0048387i,-0.0015147-0.0027735i,-0.0032459-0.0034219i,0.0058117+0.0020282i,0.0021533+0.0022959i,0.003394-0.0028451i,-0.001652+0.0045853i,0.003933+0.0056745i,0.0053427+0.015985i,-0.019313-0.013798i,-0.028059+0.0036158i,-0.025255+0.018217i,0.0050254-0.0024445i,0.013267-0.0067621i,-0.014462+0.0048887i
0.0034425-0.0062152i,0.012307-0.029434i,-0.012095-0.018598i,-0.0073155-0.017286i,-0.0075414-0.017443i,-0.0088308-0.014042i,0.017036-0.009653i,0.015659-0.015185i,-0.004206-0.007255i,0.0032951+0.0019251i,-0.00022639+0.00069296i,-0.0011549-2.1563e-05i,0.0015271-0.00020576i,0.00081757-0.00061348i,-0.0008683-0.0019917i,0.0035731-0.0043613i,-0.003043-0.00036895i,-0.00070027+0.00030598i,0.00049998-0.00037083i,-0.00029015+0.0014209i,-0.00015475+0.0011033i,-0.00019455-0.0003106i,0.0010483+0.00098069i,-0.0046093+0.0011117i,-0.00010718+0.00013759i,-3.5402e-06+0.00011893i,-0.00048724-5.51e-05i,0.00011887+9.8833e-05i,0.00017455+9.7789e-05i,0.00069426-0.00039343i,0.0004779+0.00013593i,0.00093649+0.00051444i,0.00027757+1.483e-05i,0.00036024-0.00044532i,-8.0301e-05+0.00045396i,0.0067243+0.0025116i,0.0004234+1.8174e-05i,0.00075417+0.00052753i,0.00080781-0.00087696i,0.00051334-0.00047141i,0.00034224+0.0012592i,7.9356e-05-9.7219e-05i,0.00044606-0.0010197i,-0.00145+0.00022064i,-0.0051971-0.0094966i,-0.00060162+0.02168i,0.029768+0.0037904i,0.03032+0.0018164i,0.01549-0.01767i,0.026002+0.010508i,0.016208+0.033072i,0.021804+0.026651i,0.011182+0.041298i,-0.029259+0.010724i,0.0021541-0.0090457i,0.0051966-0.0029128i,0.0080979-0.0042012i,0.010117+0.0056828i,0.0017601+0.0064195i,-0.0086659+0.0016134i,5.4689e-05-0.0076931i,0.0027991+0.011622i,-0.0029758-0.0024782i,-0.0001605+0.0025372i,-0.00029248+0.00024661i,0.0032171-0.0015072i,0.0048328-3.1152e-05i,-0.0031345-9.489e-05i,0.0035661+5.2409e-05i,-0.0058302-0.0026341i,-0.0019956-0.00079401i,-0.00023323+0.00015922i,-0.0022538-0.0044607i,-0.0022351-0.0029642i,-0.0069974-0.014899i,0.0033949+0.00012879i,-0.0046533-0.0012966i,-0.0028438+0.0015182i,-0.0060928+0.00059713i,0.0040861+0.0025011i,-0.0069934-0.0047708i,0.00030296-0.0064425i,-0.0023355-0.0024436i,-0.0048838-0.002836i,0.0069481-0.00031982i,0.0032671+0.002599i,0.0027611-0.0024991i,-0.00030288+0.0055725i,0.004114+0.0034382i,0.0092909+0.01191i,-0.025046-0.0053787i,-0.030895+0.0090875i,-0.020019+0.021965i,0.0032308-0.00054901i,0.0089913-0.0073435i,-0.014711+0.0068459i
