-0.02657-0.044558i,-0.021135-0.02284i,-0.012736-0.037842i,-0.030197-0.021512i,-0.024945-0.0019395i,-0.013465-0.0037923i,-0.052842-0.054368i,-0.04801-0.017327i,-0.038887-0.016701i,0.010476+0.014011i,-0.0088467+0.0053275i,-0.019966+0.019591i,0.00206+0.012415i,-0.0039647-0.002491i,0.0010096+0.0010487i,-0.00022273+0.028577i,0.025746+0.025902i,0.0027993-0.0021591i,-0.0021341-0.0071348i,0.0078204+0.0028393i,0.0024654+0.00086543i,0.00013313+0.0037569i,-0.00051364+0.00010073i,-0.035307-0.010506i,0.00014831-0.0079379i,0.0015806+0.0023165i,0.0056348+0.0010057i,0.0020433+0.00044617i,0.0012366-0.00049236i,-0.00036403-0.0027135i,0.0016208-0.0021685i,-0.0023782-0.0056084i,-0.00074795-0.00434i,0.003091-0.0006713i,0.0046808-0.0031742i,0.0028505+0.029175i,0.0038784-0.0037444i,0.0028968-0.0016438i,0.0084653-0.0010213i,-0.0052632-0.0026092i,-0.00037054+0.00074418i,0.0099826-3.3877e-05i,0.0050169-0.0018294i,-0.0028316+0.0086789i,-0.015971-0.0091901i,-0.017902+0.016505i,0.0013189-0.062962i,-0.003858-0.027235i,-0.025301-0.034485i,-0.0096987-0.026869i,0.052431-0.023503i,0.017009-0.044073i,0.025511-0.047831i,0.0086906-0.054786i,0.028341-0.018885i,0.008838+0.0065317i,0.027278-0.032741i,-0.0079661-0.0064101i,0.003108-0.0039785i,-0.0051508-0.0068832i,-0.0010198-0.033481i,-0.020326+0.029615i,0.009752-0.011658i,-0.0093575-0.0038677i,-0.0041671-0.0019204i,0.000673-0.013197i,-0.010775+0.004117i,0.0024631+0.0105i,-0.0057937+0.027268i,0.0050295+0.0026433i,-0.0054905-0.0017557i,-0.0019262-0.0024712i,-0.01303-0.0078561i,-0.00020692-0.0044697i,-0.036543-0.00099364i,0.0016252-0.010882i,-0.0085086-6.5224e-05i,-0.0068144-0.002291i,0.0053809+0.0011877i,-0.0079354-0.00067037i,0.0022854+0.00012906i,0.004025+0.0072716i,0.0040744+0.00041494i,-0.0077197-0.013688i,0.0027+0.0097252i,-0.015343+0.0045672i,0.0070955+0.00039217i,-0.023306-0.0012545i,-0.019141+0.0058129i,-0.0034182-0.067721i,0.0086548-0.01258i,-0.047241-0.025599i,-0.020382-0.0011671i,0.016171+0.013278i,-0.024088+0.013799i,-0.01969-0.0065889i
0.024435+0.039654i,0.015185+0.018591i,0.017214+0.026538i,0.0074491+0.020414i,0.010784+0.006999i,0.0055688-0.0014798i,0.021213+0.011875i,0.017748-0.003163i,0.0091218-0.0068i,0.0031281+0.0041898i,0.0021786-0.0028436i,0.00097223-0.0052216i,-0.0024986+0.0007402i,0.00059997-0.00096796i,0.0022202-0.00037666i,0.0043413-0.0021516i,0.0053461-0.0062865i,-0.00033299+0.00017277i,-0.0041128+0.00080964i,5.2123e-05+0.00062412i,-0.00051885-0.00085561i,-0.0024154-0.00069723i,-0.0018022+0.00094415i,0.0046837+0.0091667i,-0.0012892+0.00096506i,0.00056371+0.0017554i,0.001068+0.00066958i,-0.0018151+0.0027434i,-0.00097007+0.00019484i,-0.0015152+0.00024571i,-0.0015194-0.002027i,-0.0017423-0.0015358i,-0.00023414+0.00012786i,0.0006828+0.00050274i,-0.00017021-0.0015273i,-0.0082682+0.0091933i,0.0018199+4.0697e-05i,0.00060783+0.0011373i,0.00059887+0.0024618i,0.00069619-0.0014247i,8.5999e-05-0.0010051i,-0.00025732-0.0012145i,0.00062371+0.0015303i,0.00027718+0.0017743i,0.016903+0.019234i,-0.027601+0.01554i,-0.016056+0.016918i,-0.024753+0.011081i,-0.0053125+0.039369i,-0.02204+0.018577i,0.0001244-0.0004688i,-0.012366-0.015602i,-0.021671-0.0015729i,-0.0084419+0.014858i,0.017568+0.023899i,-0.00050254+0.002613i,-0.0039249+0.00083419i,-0.012413-0.0049034i,0.011313+0.0011833i,0.01075+0.010093i,-0.0015343+0.0060204i,-0.0053933-0.0083673i,0.0066132-0.0027429i,-0.0034656-0.0040615i,0.0041175-0.0086175i,0.0089928-0.0029464i,-0.0018587+0.01078i,0.013034-0.0056929i,0.0037807-0.0084606i,0.0037097-0.0092575i,0.0021489+0.00061894i,-0.002309-0.005931i,-0.0040593-0.0012478i,0.0026107-4.1459e-05i,-0.010686+0.036787i,-0.0071649-0.006032i,0.00021801+0.0010609i,-0.0010999-0.0075461i,0.0034713-0.00022508i,-0.018454-0.0083557i,-0.0017854-0.0037734i,0.0028518-0.0025531i,0.0034632-0.0018092i,-0.003012-0.008862i,-0.00033223+0.0070935i,0.00032556+0.0035277i,-0.0035265+0.0047846i,-0.0079591+0.0012635i,-0.0067232-0.0013281i,-0.0096549+0.026137i,-0.0026926+0.01505i,-0.026367-0.01087i,-0.0025256-0.0027237i,0.013542+0.019611i,-0.00088805+0.019328i,-0.00048103-0.0048019i
0.030324+0.033469i,0.018254+0.014436i,0.021661+0.023462i,0.010916+0.019776i,0.012569+0.0054563i,0.0056511-0.00286i,0.021463+0.0074309i,0.016799-0.0061303i,0.0073837-0.0087742i,0.0041012+0.0027774i,0.0019633-0.0029298i,-0.0010353-0.0037237i,-0.0019718+0.0016061i,0.00045223-6.4968e-05i,0.0021105-0.00081753i,0.0033918-0.0023085i,0.0033308-0.0067143i,0.00010148+0.00019575i,-0.0036322+0.001377i,0.00037277+0.0001071i,-0.00063239-0.0010868i,-0.0023927-0.00025651i,-0.0014202+0.001139i,0.0092204+0.0062507i,-0.0014076+0.0022112i,0.0014619+0.0013242i,0.00089725-0.00015747i,-0.00061256+0.0029793i,-0.0013785+0.00065325i,-0.0013952+0.00099856i,-0.0023233-0.0011863i,-0.0023624-0.001269i,-0.00040347-9.0516e-06i,0.00075457+0.00024808i,-0.0012004-0.00057395i,-0.0047298+0.010878i,0.0014411-0.00067109i,0.00098975+0.0010514i,0.001417+0.0017923i,0.00013062-0.0012438i,-0.00013906-0.0013763i,-0.00089129-0.0010693i,0.00062535+0.0015811i,6.8854e-05+0.0022162i,0.021303+0.016354i,-0.022222+0.019362i,-0.015073+0.020387i,-0.019512+0.013396i,0.0066996+0.035586i,-0.014304+0.019245i,-0.0059538-0.0030138i,-0.020014-0.016039i,-0.024996-0.00051113i,-0.0014624+0.010006i,0.02233+0.01679i,-0.00094331+0.002521i,-0.0027137+0.0048809i,-0.012613-0.00033883i,0.0098461-0.0031196i,0.012901+0.0072562i,0.0021802+0.0089527i,-0.0099819-0.0067706i,0.0024904-0.0048002i,-0.0036085-0.0019926i,-0.0011926-0.0081496i,0.0070648-0.0058058i,0.0030541+0.0088286i,0.0080772-0.0089745i,-0.0013612-0.0079017i,-0.00073931-0.0064613i,0.0036565-0.00017919i,-0.0037561-0.005133i,-0.0021888+0.0012711i,0.0032908-0.00038292i,0.0087968+0.035692i,-0.0091334-0.0038056i,0.00099844+0.00031645i,-0.0043045-0.005787i,0.004007-0.0016207i,-0.01963+0.00042376i,-0.0025057-0.0027546i,0.0014573-0.0026176i,0.0033763-0.0033834i,-0.0054347-0.006835i,0.001964+0.0036186i,0.0017086+0.0026317i,-0.00050244+0.0062156i,-0.0060801+0.0041084i,-0.0074379-0.00015147i,-0.003997+0.023081i,-0.00014367+0.016452i,-0.028588-0.0048054i,-0.0038759-0.006046i,0.016381+0.017129i,0.0029119+0.020699i,-0.0031014-0.0051753i
0.0345+0.026615i,0.019463+0.0092354i,0.026577+0.017961i,0.015673+0.017035i,0.014529+0.0033625i,0.0053298-0.0045055i,0.02093+0.0029272i,0.015411-0.0093182i,0.0053815-0.0096615i,0.0040972+0.0014365i,0.0014053-0.0037411i,-0.0013068-0.0019206i,-0.0012872+0.0018405i,0.0011595+0.00012759i,0.0018792-0.001262i,0.0026388-0.0023794i,0.001509-0.0070066i,9.3137e-05-0.00015981i,-0.0030915+0.0023864i,0.00015759-0.00063206i,-0.0013727-0.001471i,-0.0022047+0.0001969i,-0.0011113+0.0012637i,0.010501+0.00096164i,-0.0004114+0.0030334i,0.001683+0.00040338i,0.00033859-0.00052598i,0.00052328+0.0026277i,-0.0011634+0.0014099i,-0.00099474+0.0016166i,-0.0027018+8.347e-05i,-0.0034267+0.00013621i,-0.00047321+0.00013338i,0.00071093-6.0895e-05i,-0.0012381+0.0005904i,-0.0011482+0.011214i,0.00092261-0.00080642i,0.0013661+0.00054365i,0.0014337+0.0012304i,-0.00035596-0.00099929i,-0.00078765-0.0016414i,-0.0014442-0.00080084i,0.00085054+0.0020123i,0.00060799+0.0027419i,0.025964+0.011919i,-0.017024+0.021987i,-0.011802+0.024439i,-0.013387+0.013067i,0.017561+0.028121i,-0.0074328+0.019685i,-0.012111-0.0016647i,-0.026315-0.012982i,-0.026971+0.0037785i,0.0016842+0.0026884i,0.023715+0.0080178i,-0.0013538+0.0025953i,-0.00086682+0.0048485i,-0.012562+0.002822i,0.005904-0.0074545i,0.014081+0.0032642i,0.0064398+0.0086792i,-0.013041-0.0031157i,0.00040376-0.0032806i,-0.0035172-0.00016971i,-0.0039394-0.0054365i,0.0046077-0.0071411i,0.0058925+0.0076351i,0.004831-0.0091485i,-0.0050152-0.0047097i,-0.0012004-0.0034747i,0.0039995-0.0025478i,-0.0061741-0.0034476i,-7.7887e-05+0.0011469i,0.0026637-0.0018131i,0.023136+0.025349i,-0.010339-2.4919e-05i,0.0014287-0.00031257i,-0.0038565-0.0038404i,0.0042258-0.0037828i,-0.015328+0.0085416i,-0.0025955-0.0015179i,0.00033332-0.0026745i,0.0017383-0.003972i,-0.0072836-0.0038036i,0.0012874+0.002461i,0.0023333+0.0013891i,0.0023639+0.0059602i,-0.0037747+0.0048865i,-0.0078616+0.0019115i,-0.0013935+0.019287i,0.0073393+0.016099i,-0.028295-2.2727e-05i,-0.0061234-0.0083549i,0.019909+0.012057i,0.0082367+0.02097i,-0.0051969-0.0043538i
0.036772+0.019821i,0.018635+0.0052912i,0.028581+0.010964i,0.018922+0.01191i,0.015855+0.00019605i,0.0042054-0.0059854i,0.019486-0.0006288i,0.013043-0.012064i,0.0038088-0.010387i,0.0036283+0.00074995i,7.0885e-05-0.0036185i,-0.00073093-0.0011045i,-0.0010222+0.0020001i,0.0013208+4.7482e-05i,0.0014039-0.0016092i,0.001873-0.0021586i,-0.00031382-0.0062971i,0.00011273-0.00014452i,-0.0015357+0.0030832i,-0.00048453-0.00086084i,-0.0020799-0.0006826i,-0.0021377+0.00061333i,-0.00080849+0.0013729i,0.0087481-0.0033029i,0.00071477+0.0032495i,0.0013938-0.0001372i,-0.00010707-0.00035191i,0.0010498+0.0019086i,-0.00049167+0.0015632i,-0.00028377+0.001954i,-0.0024221+0.0014576i,-0.0029087+0.0018324i,-0.00038904+0.00028001i,0.00040715-0.00027666i,-0.00072057+0.0012609i,0.0021491+0.010419i,0.00072109-0.00084689i,0.001266-6.1432e-05i,0.0013139+0.0012101i,-0.00080083-0.00065735i,-0.0016178-0.0013639i,-0.001923-0.0004586i,0.0015348+0.0022856i,0.0013315+0.0027997i,0.029031+0.0050349i,-0.010916+0.023725i,-0.0065052+0.027595i,-0.01089+0.01003i,0.025545+0.016174i,-0.00057204+0.015997i,-0.017249+0.0031043i,-0.03247-0.0066873i,-0.027135+0.0098094i,0.00034121-0.0042936i,0.022112-8.4574e-05i,-0.0014519+0.0035646i,-3.0746e-05+0.0063595i,-0.01194+0.0068248i,-0.00022182-0.0074417i,0.014395-0.0016273i,0.010218+0.0063698i,-0.014216+0.0017787i,-0.00060222-0.002673i,-0.0024733+0.0012816i,-0.0050344-0.0018211i,0.0023478-0.0079363i,0.008544+0.0040913i,0.0022389-0.0093899i,-0.0055649+0.0001289i,-0.00049652-0.0022306i,0.0024498-0.0045843i,-0.0068302-7.5938e-05i,0.0010513+0.00082064i,0.0018421-0.0025194i,0.0299+0.010646i,-0.0091529+0.0045688i,0.0015646-0.0013432i,-0.0040713-0.0025425i,0.0024913-0.0063001i,-0.0089025+0.01132i,-0.0019431-0.0007693i,-0.00042712-0.001801i,0.0005495-0.0037656i,-0.0067553-0.00019118i,0.0012073+0.0021675i,0.0019671+0.00014028i,0.0051555+0.0049833i,-0.001645+0.0042047i,-0.0078091+0.0038807i,-5.1085e-05+0.017849i,0.016197+0.0091427i,-0.025964+0.0049739i,-0.010956-0.009574i,0.019524+0.0061988i,0.013747+0.018904i,-0.0054805-0.0032476i
0.03852+0.013534i,0.01843+0.0028834i,0.028726+0.0049804i,0.020355+0.006452i,0.01612-0.0031939i,0.0029133-0.0069772i,0.017916-0.0030533i,0.010336-0.013961i,0.0023994-0.011054i,0.0034081+0.00021874i,-0.00094912-0.0030108i,-0.00027684-0.0010431i,-0.00071539+0.0024203i,0.0013904-0.00033364i,0.00090008-0.0016649i,0.0016638-0.0015811i,-0.0012504-0.0055319i,-2.368e-05-6.2334e-05i,-0.00032182+0.0027158i,-0.0010714-0.000666i,-0.0022571+1.3472e-05i,-0.0017729+0.0012729i,-0.00049379+0.0014854i,0.0058522-0.0058156i,0.0018309+0.0030534i,0.0012068-0.00047883i,-0.00036564-0.00011395i,0.0013631+0.0013665i,-6.4332e-05+0.0016078i,0.00061142+0.0019428i,-0.0014358+0.0023999i,-0.0019366+0.0028767i,-0.00038304+0.0003054i,0.00021851-3.2064e-05i,6.2107e-05+0.0015678i,0.0046428+0.0089105i,0.00032945-0.00091881i,0.00095368-0.00046296i,0.0016659+0.0010205i,-0.00082112-9.948e-05i,-0.0020258-0.00087954i,-0.0023557+0.00012922i,0.0023677+0.0020173i,0.0015872+0.0022824i,0.029178-0.0022763i,-0.0042122+0.023513i,0.00059227+0.028626i,-0.010323+0.0093831i,0.02664+0.0029524i,0.0021248+0.010756i,-0.018484+0.010872i,-0.034714+0.0032686i,-0.025285+0.016987i,-0.0045747-0.0084453i,0.016911-0.0054857i,-0.00058034+0.0045753i,0.0036635+0.0065702i,-0.0094566+0.010428i,-0.0035198-0.0042399i,0.011939-0.0078001i,0.012892+0.0024656i,-0.01367+0.0065913i,-0.00088488-0.0008377i,-0.0012167+0.0019449i,-0.0031905+0.00052974i,-0.00087276-0.0076192i,0.0088103+0.00058354i,-0.00071403-0.0087005i,-0.0032449+0.0031189i,0.00035976-0.0022829i,0.00032431-0.0053934i,-0.0051403+0.0025953i,0.0024126-0.00022213i,0.0012501-0.0025769i,0.028966-0.0033154i,-0.0053339+0.0073546i,0.00083994-0.0023401i,-0.003572-0.0020881i,-0.00028161-0.0071914i,-0.0043131+0.011133i,-0.001778-0.00039812i,-0.0002356-0.00036254i,0.00028444-0.003179i,-0.0044269+0.0018584i,0.0016517+0.0019767i,0.00093475-0.00039372i,0.0066022+0.0020764i,-0.0011219+0.0024528i,-0.0067092+0.0062666i,0.0020582+0.017483i,0.018666-0.0037681i,-0.021365+0.0058198i,-0.016043-0.007869i,0.018631+0.001683i,0.017939+0.013303i,-0.0063299-0.0032724i
0.0396+0.0068882i,0.018613-3.3427e-06i,0.028662-0.00088297i,0.020788+0.0008219i,0.015936-0.0064668i,0.0014456-0.0077589i,0.017067-0.0048438i,0.0076081-0.015349i,0.00077248-0.01192i,0.0028934-0.00032419i,-0.0011563-0.0021952i,-9.3918e-05-0.0010614i,2.5104e-05+0.0029456i,0.0013048-0.00055021i,0.00058029-0.0016743i,0.0021288-0.0011315i,-0.0020426-0.0053549i,0.00011108-7.0752e-05i,0.00038961+0.0021251i,-0.0014129-0.00022549i,-0.0018497+0.00067335i,-0.001042+0.0015132i,-0.0001414+0.0015251i,0.0022889-0.0069722i,0.0031013+0.0023767i,0.00095471-0.00082118i,-0.00040455+9.1419e-05i,0.0014826+0.00085952i,0.00041462+0.0016027i,0.0012646+0.0013905i,-0.00018636+0.0027581i,-0.00056214+0.0034772i,-0.00040273+0.00057204i,0.00033638+9.4144e-06i,0.00078008+0.0013223i,0.0061851+0.0070012i,1.3144e-05-0.000775i,0.00065961-0.00056857i,0.0016995+0.00046152i,-0.00043115+0.00022216i,-0.0024851-0.00022579i,-0.0024906+0.00080868i,0.0030047+0.0014711i,0.0018258+0.0021678i,0.02762-0.0090657i,0.0016535+0.021251i,0.0074066+0.026587i,-0.0092633+0.010214i,0.023624-0.0078668i,0.0020434+0.0071807i,-0.015026+0.018516i,-0.031138+0.013787i,-0.018824+0.024821i,-0.010444-0.007484i,0.01201-0.0073312i,0.00083416+0.0048141i,0.0061744+0.0040916i,-0.0058194+0.013315i,-0.0045308-0.0014723i,0.0059616-0.012903i,0.012894-0.0031733i,-0.011494+0.010221i,0.00012201+0.00011912i,1.5212e-05+0.0018416i,-0.0014786+0.00083982i,-0.0027534-0.005582i,0.0072769-0.0019872i,-0.0025483-0.0067647i,-0.00018866+0.0039716i,0.00055914-0.0035793i,-0.001744-0.004831i,-0.0033702+0.0034033i,0.0022273-0.0022031i,0.00096781-0.0027932i,0.022699-0.01428i,-0.0013563+0.007779i,-0.00019977-0.0022198i,-0.0038568-0.001087i,-0.0032441-0.0065915i,-0.00096016+0.010512i,-0.0011418-6.4918e-05i,0.0011221-0.00031235i,-0.00025561-0.0038148i,-0.0019336+0.0022119i,0.0017884+0.0018639i,0.00010264+0.00024659i,0.0058776-0.00017743i,-0.0020813+0.0013623i,-0.0043454+0.0077156i,0.0048327+0.016565i,0.012524-0.014322i,-0.019524+0.002554i,-0.020707-0.0034489i,0.01563-0.003628i,0.018628+0.0076652i,-0.0072541-0.0023331i
0.039475+8.5319e-05i,0.01796-0.003314i,0.026594-0.00774i,0.018904-0.0055799i,0.01517-0.010164i,-0.00035757-0.0080703i,0.016612-0.0069415i,0.0046955-0.016575i,-0.0012367-0.012333i,0.0023881-7.5737e-05i,-0.0015137-0.0017936i,-0.00024959-0.0017561i,0.00093398+0.002963i,0.0010948-0.00089783i,0.0002258-0.0016197i,0.0027242-0.0014338i,-0.0035028-0.0050709i,-0.00012496-0.00025643i,0.00088167+0.0013769i,-0.0017169+0.00028991i,-0.0016976+0.00086078i,-0.00037374+0.0012691i,0.00019229+0.0014665i,-0.0011935-0.0063314i,0.003865+0.00062947i,0.00046272-0.0010003i,-0.00060935+0.00030827i,0.0014602+0.00050002i,0.0010268+0.0012925i,0.0015486+0.00068656i,0.00107+0.0025641i,0.00065202+0.0035881i,-0.00036974+0.00090451i,0.0003778-1.7213e-05i,0.0010743+0.00076284i,0.0071176+0.0050892i,-0.00031331-0.00064675i,0.00029565-0.00068831i,0.0017978+0.00014506i,8.1318e-05+0.00018228i,-0.0026364+0.00077076i,-0.002187+0.0016669i,0.0035355+0.00051932i,0.001967+0.0020618i,0.024559-0.015198i,0.0061191+0.017631i,0.0126+0.022754i,-0.0065321+0.01141i,0.017656-0.016002i,0.0010969+0.0054898i,-0.0086081+0.022699i,-0.023041+0.020315i,-0.0087756+0.028346i,-0.014022-0.0031253i,0.0081806-0.0074644i,0.0020717+0.0042363i,0.0062138+0.0008004i,-0.00099944+0.014042i,-0.0050022+0.00087847i,-0.0030447-0.012931i,0.0098233-0.0074004i,-0.0085994+0.013094i,0.001423-0.0007219i,0.00079664+0.0013118i,-0.0010828+0.0002635i,-0.0030061-0.0037388i,0.0058095-0.0029055i,-0.0031983-0.0057295i,0.0018845+0.0029478i,-0.00054184-0.005365i,-0.0033035-0.0035507i,-0.0014077+0.0040316i,0.0006724-0.0034436i,0.00046283-0.0035755i,0.01326-0.019982i,0.0018954+0.0065848i,-0.00064879-0.0020095i,-0.0031572-0.00086138i,-0.005246-0.0050313i,0.0015395+0.009373i,-0.00034795-0.00084173i,0.0017017-0.0010634i,-0.001685-0.0037723i,-0.00071723+0.00106i,0.0028753+0.0018427i,0.00017908+0.0013247i,0.0051908-0.0015271i,-0.0033987+0.001497i,-0.0022732+0.0077135i,0.008019+0.015734i,0.0036957-0.020684i,-0.023161+0.0002466i,-0.022232+0.0029619i,0.0093405-0.0064758i,0.018475+0.002783i,-0.0068815-0.0021527i
0.038272-0.0064704i,0.017389-0.005699i,0.022385-0.012409i,0.014363-0.010216i,0.013205-0.013762i,-0.0019682-0.0078291i,0.016211-0.0092503i,0.0014517-0.017102i,-0.0030871-0.012605i,0.0027228+0.00040474i,-0.0017784-0.00086825i,-0.0012991-0.0018107i,0.0018074+0.0026727i,0.00067987-0.0010663i,-8.3199e-05-0.0014756i,0.0028832-0.0020552i,-0.0052642-0.0037987i,-0.00028938-0.00011125i,0.00098194+0.00065859i,-0.0016612+0.0010962i,-0.0014585+0.0013811i,-0.00034515+0.00074103i,0.00050054+0.0014082i,-0.0037297-0.0040453i,0.0033105-0.00092692i,3.4879e-05-0.00093969i,-0.00048336+0.0007152i,0.0013682+0.00027605i,0.0012583+0.00064668i,0.0015377+0.00013101i,0.0020892+0.0018066i,0.0019366+0.0030989i,4.0295e-05+0.0013029i,0.00041672-8.2266e-05i,0.00094806+0.00085542i,0.0074711+0.0030899i,-0.00052687-0.00046191i,-1.1769e-05-0.00054989i,0.0020391-0.00026086i,0.00044772+5.4557e-05i,-0.0022025+0.0018158i,-0.001424+0.0022798i,0.0034706-0.00067714i,0.0022319+0.0020222i,0.020002-0.020201i,0.0091537+0.013219i,0.015834+0.01845i,-0.002903+0.011119i,0.010505-0.020291i,0.00025542+0.0055072i,-0.0018474+0.024076i,-0.014865+0.022072i,0.0019689+0.027395i,-0.013985+0.0023793i,0.0062697-0.0070017i,0.0032134+0.0032623i,0.0049463-0.0012228i,0.0041444+0.012684i,-0.004164+0.0038713i,-0.0095948-0.0075406i,0.0058259-0.0092827i,-0.0048285+0.014973i,0.0009382-0.0024732i,0.0011433+0.00063659i,-0.0012453+0.0003269i,-0.0025618-0.0024648i,0.0046419-0.0036148i,-0.0042813-0.0046859i,0.0029028+0.0012313i,-0.0040183-0.0058323i,-0.003854-0.0018306i,0.00096069+0.0030498i,-0.00033887-0.0038057i,-0.0006413-0.0040986i,0.0040681-0.020741i,0.0037946+0.0047178i,-0.0011026-0.0019734i,-0.0039568-0.00055515i,-0.0064731-0.0025538i,0.0030286+0.0081769i,-0.00086558-0.0021112i,0.00206-0.0020485i,-0.0024697-0.0028134i,-0.0002527+0.00014623i,0.0036566+0.00090355i,0.0010238+0.0018653i,0.0035983-0.0026581i,-0.0042629+0.0025977i,-0.0006526+0.0070439i,0.012478+0.014337i,-0.0077034-0.02299i,-0.027601+0.0020253i,-0.020112+0.0093232i,0.0044994-0.0045924i,0.016186-0.0020432i,-0.007076-0.003512i
0.036125-0.012853i,0.016961-0.0089679i,0.018636-0.015119i,0.0097704-0.011736i,0.010391-0.016792i,-0.0032201-0.0073255i,0.015986-0.012297i,-0.0016778-0.016966i,-0.0051523-0.012654i,0.0035006+6.6083e-05i,-0.001183-0.00012173i,-0.0019797-0.00084945i,0.0025363+0.0019354i,0.0003101-0.0010594i,-0.00023612-0.0013166i,0.0028767-0.0025386i,-0.0062641-0.0018641i,-9.6997e-05-0.00026602i,0.00079809+6.3138e-05i,-0.0011498+0.0015934i,-0.00097432+0.001562i,-0.00047693+0.00064521i,0.00086653+0.001275i,-0.0046324-0.00098549i,0.0025285-0.0017885i,-0.00023733-0.00077853i,-9.8681e-05+0.00079172i,0.0014068+3.374e-06i,0.0010255+0.00047448i,0.0014391-0.00039737i,0.002751+0.00078424i,0.0027475+0.0022854i,0.00071528+0.0012844i,0.00059491-0.00011233i,0.0013731+0.0011332i,0.0071839+0.001396i,-0.0008002-0.00013003i,-0.0001219-0.00040519i,0.0018593-0.0010676i,0.0009076-0.00025229i,-0.0013458+0.0024055i,-0.00061282+0.0025523i,0.0028204-0.0016843i,0.0025571+0.0020852i,0.014813-0.023515i,0.0099288+0.0085331i,0.017796+0.014352i,-6.761e-05+0.0092801i,0.0042249-0.022093i,0.00067499+0.0073428i,0.0046567+0.023557i,-0.0077377+0.021842i,0.010221+0.022645i,-0.010729+0.0070207i,0.0048849-0.0076073i,0.00404+0.0014823i,0.0041786-0.002479i,0.0082819+0.008941i,-0.0016814+0.0050501i,-0.011706-0.0010464i,0.0020274-0.0096815i,-0.00039769+0.014917i,-0.00082554-0.0031348i,0.00060111+0.00012387i,-0.0012179+0.00077737i,-0.002283-0.0019056i,0.003489-0.0033707i,-0.0049894-0.0029213i,0.0024822-0.00015621i,-0.0070087-0.00305i,-0.0032915-0.00030656i,0.0017238+0.0010935i,-0.0013564-0.0040053i,-0.0021001-0.0037988i,-0.0033582-0.018439i,0.0050462+0.0023369i,-0.0017933-0.0017017i,-0.0041131+0.0010811i,-0.0061088+0.00032705i,0.0047855+0.0074533i,-0.002729-0.0025822i,0.0017076-0.0034829i,-0.0029114-0.0023893i,-0.0005828-0.0011009i,0.0041419+0.00014935i,0.0020345+0.001803i,0.0019306-0.0023894i,-0.0046998+0.0039543i,0.0003855+0.0062463i,0.017348+0.01087i,-0.018709-0.019412i,-0.030874+0.0060091i,-0.015272+0.012437i,0.0029061-0.0025908i,0.01216-0.0048899i,-0.0096926-0.0040079i
0.032603-0.018766i,0.015505-0.012828i,0.015365-0.017434i,0.0063352-0.011989i,0.0068971-0.019136i,-0.0044032-0.006765i,0.015011-0.016655i,-0.0046492-0.016245i,-0.007716-0.012201i,0.0039394-0.00079638i,-0.00045381-0.00011718i,-0.0020714+0.0003476i,0.0027497+0.0010529i,0.00012653-0.00071111i,-0.00036704-0.0012738i,0.0026177-0.0032566i,-0.0064259+0.00036017i,-0.00023579-0.00055704i,0.00051332-0.00021727i,-0.00055231+0.0018141i,-0.00062178+0.0017858i,-0.00053827+0.00075242i,0.0011404+0.00093651i,-0.0037948+0.0018174i,0.0017809-0.0022649i,-0.0004673-0.0005495i,0.00016054+0.00063913i,0.0011812-0.00039521i,0.0011169+0.00036048i,0.0010494-0.00092818i,0.0029988-0.00041043i,0.0034627+0.0013613i,0.001243+0.0010351i,0.00066109-0.00054095i,0.002279+0.00091431i,0.0068416+2.387e-05i,-0.00070358+0.00034306i,-0.00018485-0.00018649i,0.0011382-0.0015634i,0.0012271-0.00080564i,-0.00053347+0.0028259i,0.00035669+0.0026878i,0.0019419-0.0021673i,0.0031829+0.0022445i,0.0094682-0.025465i,0.0089076+0.0054611i,0.019029+0.010791i,0.0014374+0.0083344i,-0.0019968-0.023418i,0.0038257+0.0093145i,0.010514+0.020782i,-0.00064332+0.01974i,0.016372+0.01565i,-0.0053446+0.0093871i,0.003302-0.0080972i,0.0036414-0.0012189i,0.0032629-0.0041061i,0.0093091+0.0039017i,-0.000104+0.0045168i,-0.011083+0.0054193i,-0.0017116-0.0088641i,0.0029322+0.012303i,-0.0028653-0.0023616i,-5.1243e-05+0.00051161i,-0.00095782+0.00127i,-0.0018416-0.0017221i,0.0035149-0.0021395i,-0.0043103-0.0015142i,0.0021271+0.00016618i,-0.0073822+0.00050546i,-0.0023+0.00037122i,0.0014022-7.669e-05i,-0.0033769-0.0040014i,-0.0033003-0.0026127i,-0.0092462-0.014854i,0.0050895-0.00031373i,-0.0023064-0.00099863i,-0.0028476+0.0022074i,-0.0047421+0.0021129i,0.0069788+0.0063833i,-0.0042843-0.0011278i,0.00030349-0.0047966i,-0.0037229-0.001576i,-0.0019152-0.0015088i,0.0048001-0.0015454i,0.0029585+0.0013801i,0.0016304-0.0018137i,-0.0035509+0.0058561i,0.00085007+0.0052298i,0.021205+0.0050544i,-0.024747-0.01078i,-0.033268+0.012288i,-0.010815+0.013606i,0.0016922-0.00095583i,0.0086974-0.0049632i,-0.011658-0.0029541i
