-0.0030052-0.041781i,-0.00012225-0.046684i,-0.0080351-0.048496i,-0.02951-0.023547i,-0.022802+0.010706i,-0.036582-0.032553i,-0.062627-0.058451i,-0.019097-0.069544i,-0.034287-0.049195i,0.00010487+0.016356i,-0.011099+0.012483i,-0.014477+0.013529i,0.003177+0.013343i,-0.0028106-0.0016749i,0.0020815+0.0061233i,-0.001179+0.034249i,0.022829+0.055318i,0.0011577-0.0009248i,-0.0041631-0.0097031i,0.0083513+0.0050249i,0.001714+0.00097707i,-0.0014237+0.0038232i,-0.00018765-0.00044485i,-0.035541-0.011361i,-0.0044533-0.0071884i,-0.0013519+0.0043667i,0.0028073-0.0026263i,-0.00042583+0.00041951i,0.00089593-0.00054235i,5.8532e-05-0.0025267i,-0.0015343-0.005303i,-0.0030315-0.0069771i,-0.0020069-0.0066574i,0.0035086+0.00027385i,0.0030012-0.0020052i,-0.0053601+0.038383i,0.0078606-0.005039i,0.0033448-0.0001586i,0.0048216-0.00041041i,-0.015426+0.0032401i,-0.00090123-5.2864e-05i,0.0055619+0.0012238i,0.0040377+0.0027496i,-0.0039332+0.0014531i,-0.00061967+0.0086467i,-0.0054097+0.017697i,0.025815-0.082261i,5.6202e-05-0.05436i,-0.023552-0.04396i,-0.019479-0.037988i,0.062546-0.016123i,0.029859-0.057884i,0.038592-0.044335i,0.034168-0.0523i,0.018871-0.016305i,0.00758+0.012556i,0.024126-0.033727i,-0.0081759-0.004502i,0.0031426-0.0012374i,-0.0025514-0.0054538i,0.0053334-0.0327i,-0.026408+0.031073i,0.0091491-0.010922i,-0.011665-0.0025634i,-0.0048447-0.0015542i,0.00027828-0.015157i,-0.0098325+0.0048861i,0.0035946+0.0065624i,-0.013385+0.030014i,0.0051017+0.0062314i,-0.0051613-0.0018546i,-0.001243-0.0024294i,-0.011734-0.0084205i,0.00014861-0.003557i,-0.040188+0.0011916i,0.0013339-0.013413i,-0.0091502-0.0022604i,-0.0071222-0.0033729i,0.0066995+0.0022206i,-0.0086888+0.0020047i,0.00024073+0.0017593i,0.0065236+0.0098303i,0.0049866+0.00077196i,-0.0088197-0.010235i,0.0016112+0.0083201i,-0.021473+0.0046454i,0.0064696+0.0031212i,-0.028259-0.0087848i,-0.035842-0.0025969i,0.02812-0.077948i,0.014-0.0098451i,-0.042965-0.028082i,-0.025275-0.0063021i,0.017285+0.012349i,-0.026831+0.011376i,-0.011479-0.0097138i
0.018338+0.0066042i,0.044362-0.020655i,0.0015653-0.036335i,-0.0073473-0.0049351i,-0.021685-0.0080616i,-0.025205-0.011439i,0.00093527-0.018928i,0.025668-0.026798i,0.0020215-0.012271i,0.0036976-0.0088594i,-0.0023612-0.0034488i,-0.0016917+0.0011619i,-0.00043889-0.00074628i,-2.859e-05-0.0013547i,-0.0013615+9.9599e-05i,0.00015719-0.0062899i,-0.0018287+0.0017175i,-0.0024988+0.0019058i,0.00010506+0.00036318i,0.0014212-0.00052937i,0.0019035+0.00015187i,-0.00019564+0.0012077i,0.0017823-0.000859i,0.0032309+0.0017652i,0.0025236+0.00027505i,0.00016402+0.00017337i,-0.00019693+0.0014069i,0.00013344-0.00029633i,0.00051213+0.00074253i,0.00038162-0.00035942i,-9.0661e-05-0.0017929i,0.00087416-0.0016676i,0.00061041-0.0015447i,0.00037773-8.9719e-05i,-0.00089799-0.0031544i,0.0010779-0.0044771i,0.0018548+2.8495e-05i,0.00059846-0.00012551i,-2.038e-05-0.00051564i,-0.0025211-7.1723e-05i,0.0014169-0.00073497i,0.00093688-0.00018161i,-0.0004606-0.0040669i,0.0033281-0.0020942i,0.016007+0.0068954i,0.027928+0.023844i,0.041452+0.0052307i,0.02302-0.015879i,-0.0063105-0.0048581i,0.018734-0.0166i,0.028294-0.004723i,0.023661-0.0007979i,0.020389+0.0014127i,0.010294+0.022829i,-0.0011638-0.0020338i,-0.0058855+0.001758i,-0.0068477-0.0070747i,0.0017352-0.0047143i,0.0023476+0.0024112i,0.0055731+0.012794i,-0.0041282+0.00087783i,0.0058322+0.0067426i,-0.001026+0.0037798i,0.0055562+0.0011657i,0.0016076+0.00093718i,-0.0027449-0.0013942i,0.0019659-0.010305i,-0.0033095+0.0021185i,0.0024677-0.0068319i,-8.3658e-05+0.0037691i,-0.0031767+0.0011445i,-0.00073013-0.00051439i,-0.0015115+0.0042263i,-0.0029768+0.00046329i,-0.010918+0.0067936i,-0.0018991-0.0048399i,0.00062869+0.0023721i,-0.0017302+0.001774i,0.00062593+0.0037453i,0.0053855-0.0067921i,-0.004455+0.0073576i,-0.003738-0.00053975i,-0.0028816+0.00025241i,-0.0037239+0.0040726i,0.0001088-0.0037862i,0.0025981-0.0027447i,0.0017516-0.0040985i,0.0037477+0.0027629i,0.0051235+0.0026455i,0.02507+0.0023273i,-0.01913+0.0073023i,-0.010494+0.033084i,-0.0001709+0.0089515i,0.0085908+0.0037852i,0.00030009-0.0033973i,-0.0088408+0.0088473i
0.018468+0.0030219i,0.039496-0.026818i,-0.0040256-0.03563i,-0.0081303-0.0045236i,-0.022114-0.003391i,-0.026241-0.007138i,-0.0032812-0.018101i,0.021447-0.029731i,0.00086709-0.012303i,0.0010054-0.0087633i,-0.0028303-0.0018639i,-0.0013023+0.0016556i,-0.0002581-0.00036429i,-0.00072752-0.0010771i,-0.00073097+0.00072614i,-0.0011835-0.0060885i,-0.0013721+0.0020261i,-0.0010495+0.0026636i,0.00060025+0.00042828i,0.00081255-0.0010941i,0.0018341-0.00043205i,0.00015276+0.0012495i,0.0013577-0.0012819i,0.0033892-0.00050334i,0.001627-0.0018945i,0.00013632+6.29e-05i,0.0006301+0.0014571i,0.00021509-0.00036712i,0.00084277+0.00037707i,0.00011627-0.00053671i,-0.00079424-0.0017485i,0.00022952-0.0019146i,-0.00029422-0.0016306i,0.00028969-0.00017563i,-0.002214-0.0018677i,-0.00027395-0.0045648i,0.0015363-0.00076671i,0.00061428-0.00044419i,-0.00026883-0.0010246i,-0.0027532+0.00081208i,0.00089933-0.0010572i,0.00088586-0.00040712i,-0.0014702-0.0033645i,0.0028035-0.0025276i,0.016687+0.0021024i,0.03039+0.015734i,0.040549-0.0019778i,0.019327-0.01874i,-0.0031763-0.0018431i,0.015263-0.022649i,0.027221-0.010739i,0.022375-0.0084282i,0.01761-0.002924i,0.014717+0.017287i,-0.00089895-0.0018096i,-0.0049265+0.0056544i,-0.010482-0.0035163i,-3.5937e-05-0.0045248i,0.0025068+0.0022625i,0.009262+0.0097813i,-0.0019867+0.0015767i,0.0046903+0.0049514i,0.001746+0.0027819i,0.0062944-0.0013293i,0.0023494-2.6476e-05i,-0.0024561+0.00060804i,-0.0017708-0.011642i,-0.0031078+0.0033161i,0.00046408-0.0076949i,0.00020666+0.0031174i,-0.0031029+0.0023228i,-0.00091224-0.00033687i,0.0016132+0.0044584i,-0.0027017+0.00047388i,-0.0061032+0.0088517i,-0.004566-0.00397i,0.00099887+0.0012119i,-0.0012328+0.0019828i,0.0012802+0.0022754i,0.0024854-0.0092282i,-0.00085758+0.0080316i,-0.0028556+9.0362e-05i,-0.0026552+0.00097153i,-0.0020244+0.0054166i,-0.00098178-0.0029983i,0.0017513-0.0029968i,0.00068003-0.0047175i,0.0030781+0.0024614i,0.0060824+0.0015528i,0.02333-0.0020642i,-0.020443+0.007529i,-0.0034955+0.031586i,0.00096512+0.0071255i,0.010204+0.0015412i,0.00086903-0.001939i,-0.0072261+0.010305i
0.018173-0.00037618i,0.03427-0.031944i,-0.0093658-0.034136i,-0.008946-0.0035242i,-0.021859+0.0002779i,-0.026342-0.002875i,-0.0064819-0.016883i,0.017066-0.03268i,-0.00039579-0.012895i,-0.00090942-0.0080058i,-0.0025095-0.00065116i,-0.00062253+0.0023875i,-0.00016068-0.00010114i,-0.00073537-0.00040245i,8.4889e-06+0.00060593i,-0.0024578-0.0051554i,-0.00051154+0.002197i,-3.2969e-06+0.0030465i,0.00074919+0.00013754i,0.00016959-0.0011527i,0.0015173-0.0010218i,0.0004387+0.0011656i,0.00075893-0.0016129i,0.0024242-0.0020958i,0.00016831-1.0027e-05i,2.3901e-05+0.00017558i,0.0014755+0.0010802i,0.00019143-0.00047707i,0.0010727+0.00013658i,-0.00024944-0.00039335i,-0.0015381-0.0013813i,-0.00048224-0.0018083i,-0.00094122-0.0011223i,0.00040841-0.0002404i,-0.0021641-0.00094589i,-0.0013178-0.0042822i,0.0012612-0.00099907i,0.00023311-0.0007094i,-0.00097301-0.0015521i,-0.0025833+0.0018159i,0.00050599-0.0011305i,0.00072213-0.00063957i,-0.0022664-0.0021597i,0.0024194-0.0030784i,0.015483-0.0028514i,0.030336+0.0077603i,0.038506-0.0087439i,0.024375-0.026128i,0.0015638-0.0020887i,0.0091686-0.027087i,0.025491-0.015864i,0.019709-0.013951i,0.015229-0.0047707i,0.016946+0.010902i,-0.0013106-0.0018449i,-0.0015762+0.0081665i,-0.012279+0.0015392i,-0.0019021-0.0036639i,0.0026709+0.0022436i,0.009899+0.0048533i,-0.0004585+0.00073203i,0.0036873+0.0044739i,0.0019757+0.0011419i,0.0057196-0.0039672i,0.0021821-0.00174i,-0.00038901+0.0019352i,-0.0068843-0.0099394i,-0.0015615+0.0053422i,-0.001934-0.008955i,0.0014032+0.0029694i,-0.0023883+0.0036054i,-0.00097188-1.9795e-05i,0.0047528+0.001306i,-0.0025487+0.00070858i,-0.00098484+0.007902i,-0.0060885-0.0017994i,0.00086008+0.00028839i,-0.0010977+0.0018654i,0.0014321+0.0011444i,-0.001467-0.010394i,0.0031814+0.0063856i,-0.0026119+8.3024e-05i,-0.0025272+0.00153i,0.00090961+0.0055438i,-0.0012505-0.0016066i,0.001078-0.0027417i,-0.00067939-0.0050418i,0.0026159+0.0024809i,0.0059344+0.00031352i,0.021183-0.0051934i,-0.022811+0.011608i,0.0011876+0.028929i,0.0010715+0.0040667i,0.010706-0.0015755i,0.0015309-0.0017792i,-0.0043641+0.010472i
0.017076-0.0037689i,0.028764-0.036362i,-0.014363-0.031943i,-0.0094878-0.0026242i,-0.021077+0.0038317i,-0.025744+0.0012985i,-0.0093922-0.015723i,0.012123-0.03541i,-0.0022472-0.014002i,-0.0024647-0.0072815i,-0.0020192+0.00026013i,-0.00064249+0.0014746i,0.00014635+9.7205e-05i,-0.00041145-1.2644e-06i,0.00038029+0.00029057i,-0.0033605-0.0040221i,5.0545e-05+0.0018178i,0.00099584+0.0030881i,0.00085975-1.8086e-06i,-0.00029987-0.00092098i,0.0010181-0.0014331i,0.00062626+0.0012636i,0.00014165-0.0015033i,0.0010771-0.0027019i,0.00067688-0.00039892i,0.00014838+0.00034973i,0.0017667+0.0002009i,0.00012009-0.00062364i,0.0011335+2.1264e-05i,-0.00038632-1.488e-06i,-0.0020182-0.00072715i,-0.0010149-0.0014116i,-0.0010816-0.00055331i,0.00049129-0.0004536i,-0.0022365-0.00053452i,-0.0022967-0.0038766i,0.0011746-0.0015238i,-0.00013182-0.00059713i,-0.0019964-0.0006186i,-0.0020741+0.0028129i,0.00015833-0.0012287i,0.00047696-0.00084384i,-0.0024329-0.00085987i,0.0017484-0.0033834i,0.01252-0.0064934i,0.028064+0.0010239i,0.035093-0.014702i,0.012762-0.031714i,0.0044585-0.0054009i,0.0027029-0.029001i,0.023413-0.021289i,0.017273-0.019042i,0.01471-0.0062302i,0.018031+0.0052072i,-0.0025153-0.0020127i,0.0023647+0.0083357i,-0.011145+0.0071593i,-0.0031937-0.0024694i,0.0031257+0.0022979i,0.011224+0.0055692i,-0.00013896-0.00053504i,0.0024396+0.0048956i,0.0021314+0.00066775i,0.0034594-0.0058533i,0.0005415-0.0028452i,0.0012991+0.0011946i,-0.0094486-0.0052903i,0.0019118+0.0055136i,-0.0076297-0.0092228i,0.0023086+0.0018083i,-0.0010239+0.004781i,-0.00078712+6.1239e-05i,0.0042473-0.0026254i,-0.0025382+0.0011507i,0.0015115+0.0047056i,-0.0052842+0.00017441i,0.00025016-0.00054336i,-0.00077335+0.002445i,0.0011202+2.5243e-05i,-0.0061414-0.0090924i,0.0039617+0.0025784i,-0.0030424+0.00029894i,-0.0020467+0.002443i,0.0030864+0.0040776i,-0.00070031-0.0013334i,0.00085082-0.0022106i,-0.002262-0.0043747i,0.0019219+0.0027683i,0.0050714-0.00056998i,0.020288-0.0078275i,-0.02236+0.017205i,0.0053332+0.027844i,-0.00067684+0.0010991i,0.00878-0.005001i,0.0016899-0.0013774i,-0.0026349+0.0090743i
0.015082-0.0065935i,0.022959-0.039887i,-0.019189-0.029057i,-0.01009-0.0018379i,-0.01956+0.0067698i,-0.024615+0.0051594i,-0.012303-0.013998i,0.0061882-0.037328i,-0.0054038-0.014736i,-0.0039777-0.0063685i,-0.001195+0.00085087i,0.00065353+0.0016268i,0.00036927+0.00013165i,-0.00010881+0.00018781i,0.0005922-4.2101e-05i,-0.0034509-0.0028477i,0.00037048+0.001376i,0.0020586+0.0024825i,0.00097147-0.00053535i,-0.00045908-0.00066452i,0.00027731-0.0014517i,0.0012563+0.0011942i,-0.00021795-0.0012663i,8.1443e-05-0.0026534i,0.00074309-0.00061717i,0.00028159+0.00030633i,0.0014102-0.00056041i,-4.1608e-05-0.00065338i,0.00086475-0.00011913i,-0.00029828+0.00032122i,-0.0023561+0.00026059i,-0.0011118-0.0009418i,-0.00089335-7.1464e-05i,0.00031394-0.00075275i,-0.0024359+0.00027397i,-0.0030045-0.0028609i,0.00036843-0.001893i,-0.00031492-0.00034978i,-0.0014441+0.00050306i,-0.00097506+0.0037855i,-0.00037188-0.0011064i,0.00012618-0.00098015i,-0.001965+0.00037324i,0.0010308-0.003251i,0.0092655-0.0085966i,0.024494-0.003865i,0.030714-0.019249i,0.0042074-0.032632i,0.0048166-0.0085101i,-0.0040491-0.029218i,0.020308-0.027118i,0.013812-0.02418i,0.014188-0.008945i,0.017885-0.0015949i,-0.0044503-0.0012698i,0.0054715+0.0065675i,-0.0076504+0.010883i,-0.0039226-0.0012325i,0.0035737+0.0021137i,0.010593+0.001943i,-0.00075757-0.0010473i,0.0025253+0.0063104i,0.0026947-0.0004245i,0.00099859-0.0061127i,-0.00091494-0.0026226i,0.0019007-9.0649e-06i,-0.0093872-0.00084891i,0.0046152+0.0036503i,-0.011523-0.0043814i,0.0019761+0.00064417i,0.001242+0.0048909i,-0.0010289+2.2508e-05i,0.0018204-0.0051789i,-0.002438+0.0017197i,0.0014854+0.0017366i,-0.0039366+0.0024887i,-0.00077019-0.00069343i,-0.00062565+0.0036214i,9.2347e-06-0.00053429i,-0.0088188-0.0059937i,0.0030202+0.00036378i,-0.0031028+0.00055604i,-0.00083743+0.0026501i,0.0043915+0.0022042i,-0.00080223-0.0010448i,0.0012591-0.0020396i,-0.0024707-0.0033508i,0.0022714+0.0039046i,0.0038988-0.00056007i,0.018261-0.011297i,-0.020383+0.022774i,0.0080389+0.02273i,-0.0042351-0.00015803i,0.0050566-0.005892i,0.0023552-0.0016649i,-0.0023958+0.0074655i
0.012996-0.0085845i,0.016936-0.043097i,-0.023187-0.02527i,-0.010877-0.00079266i,-0.018263+0.0088047i,-0.022931+0.0088114i,-0.014628-0.011718i,0.00034175-0.038022i,-0.0087323-0.014337i,-0.005616-0.0050953i,-0.00030862+0.0007816i,0.0013459+0.0013847i,0.00075145-1.6461e-05i,0.00030194+0.00018523i,0.00061562-0.00041673i,-0.0033714-0.0021741i,0.00081136+0.00063377i,0.0026118+0.0014556i,0.00040152-0.0011312i,-0.00047393-0.00038322i,-0.00019375-0.0012728i,0.0019242+0.00058577i,-0.00033214-0.0011416i,-0.0005835-0.0024133i,0.00042472-0.00098504i,0.0004615+0.00020295i,0.0010002-0.00091194i,-0.00017615-0.00048466i,0.00059973-0.00031564i,8.1558e-05+0.00067779i,-0.0021577+0.0013292i,-0.0011972-0.00058018i,-0.00077539+0.00021099i,-3.4656e-05-0.0008048i,-0.0018921+0.0011687i,-0.0030939-0.0018968i,-0.00031654-0.0015799i,-0.00048568-0.00015038i,-0.00092404+0.00041804i,0.00021496+0.0038818i,-0.00054719-0.0008598i,-0.00018641-0.00094677i,-0.00098412+0.0012819i,0.00083849-0.0029965i,0.0067752-0.0097565i,0.021435-0.0065241i,0.026501-0.022527i,-0.0033256-0.030566i,0.0038384-0.010927i,-0.010876-0.026817i,0.015485-0.032313i,0.0093435-0.028246i,0.013132-0.011233i,0.01466-0.0073867i,-0.0060424+0.0010025i,0.0072059+0.0037646i,-0.003183+0.012534i,-0.0045563+0.00034066i,0.0042363+0.0019272i,0.0096126-0.00075137i,-0.0013007-0.0012288i,0.0038344+0.0075285i,0.0021393-0.0016957i,-0.00069031-0.0053532i,-0.0021252-0.0018687i,0.0019251-0.00082451i,-0.007485+0.0021117i,0.0058907+0.00092505i,-0.011725+0.0029828i,0.0014616+0.00059629i,0.0031123+0.0036995i,-0.0010328+0.00042468i,-0.001372-0.0061907i,-0.0012239+0.0019068i,3.8701e-05+0.0004807i,-0.0028379+0.0039545i,-0.0015407-6.9855e-06i,-0.00074179+0.0029794i,-0.00069461-0.00026155i,-0.010029-0.0024579i,0.0018173-0.00067108i,-0.0032725+0.00097776i,7.4269e-05+0.0023522i,0.0050912-0.00010172i,-0.0002743-0.00080648i,0.0014903-0.0026568i,-0.0027887-0.0027992i,0.0035358+0.0039759i,0.0036864-0.00037412i,0.015754-0.01374i,-0.016581+0.028978i,0.0098772+0.020038i,-0.0077794+0.00096134i,0.0017193-0.00442i,0.0022483-0.0025444i,-0.0028355+0.0065116i
0.01118-0.010287i,0.0098531-0.046165i,-0.026573-0.021279i,-0.011573+0.00079945i,-0.01706+0.011467i,-0.020261+0.01201i,-0.016504-0.0092101i,-0.0059043-0.038413i,-0.012318-0.012903i,-0.0068939-0.0025143i,8.4105e-05+0.00038333i,0.0020505+0.00061047i,0.0012123-0.00023361i,0.00079059-0.0003645i,0.00040659-0.0007772i,-0.0035786-0.0016333i,0.00057948-0.0010657i,0.0027461+0.00054467i,-0.00035507-0.00092212i,-0.0002006-0.00023565i,-0.00060291-0.0010135i,0.0020341-0.00035569i,-0.00062135-0.0010804i,-0.00087089-0.002322i,0.00011677-0.0011404i,0.00056864+3.0173e-05i,0.00060399-0.0011995i,-0.00015448-0.00030502i,0.00041086-0.00037887i,0.00075944+0.00072562i,-0.0015058+0.0022064i,-0.001322+2.359e-05i,-0.00032011+0.00043134i,-0.00024134-0.00076729i,-0.0010798+0.001291i,-0.0028521-0.0012284i,-0.00054792-0.00091606i,-0.00041759+0.00029885i,-0.00087746+0.00045273i,0.0014248+0.0031151i,-0.00058452-0.00071529i,-0.00048964-0.00085258i,0.00023277+0.0011661i,0.00090745-0.0032506i,0.0040935-0.010581i,0.019568-0.0087329i,0.022276-0.025035i,-0.0084566-0.02672i,0.0033062-0.01238i,-0.016123-0.02178i,0.0095377-0.036625i,0.0047051-0.032334i,0.012161-0.014123i,0.0099488-0.010554i,-0.0059255+0.0043256i,0.0074563+0.00072654i,0.00049505+0.012217i,-0.0043892+0.0022264i,0.0054204+0.0012956i,0.0077019-0.0029464i,-0.0021154-0.0013591i,0.0068934+0.0077645i,0.0011907-0.0016412i,-0.0018975-0.0045773i,-0.0027132-0.00078335i,0.0018724-0.0015161i,-0.0058636+0.0036555i,0.0057271-0.0021521i,-0.008399+0.0057881i,0.0021208+0.00087638i,0.0038954+0.00225i,-0.00086349+0.0004028i,-0.0049474-0.0054106i,-0.0018616+0.0014201i,-0.00078354+0.0013743i,-0.0014505+0.0045198i,-0.0014818+0.00085554i,-0.00023563+0.0035588i,-0.00088286+5.9125e-05i,-0.010065+0.00063747i,0.00061077-0.00083853i,-0.0035176+0.0022619i,0.00015854+0.0019468i,0.004445-0.0029003i,-0.00032867-0.0015875i,0.0012363-0.0034109i,-0.0031096-0.0018558i,0.0050107+0.003326i,0.0037968-0.00067764i,0.012953-0.015672i,-0.0086729+0.032985i,0.011386+0.016723i,-0.010155+0.0035966i,6.6829e-05-0.0016323i,0.0014863-0.0025693i,-0.0032682+0.0060544i
0.0090616-0.011962i,0.0014979-0.047444i,-0.029506-0.016493i,-0.011627+0.0026257i,-0.01482+0.014132i,-0.01717+0.014234i,-0.017902-0.006508i,-0.012425-0.037245i,-0.015168-0.010543i,-0.010289-0.0055038i,0.0001365-7.1037e-05i,0.0019396-0.00048055i,0.0015804-0.00073399i,0.00033003-0.0012176i,-6.5531e-06-0.00089538i,-0.0037829-0.0011146i,-0.00029532-0.0026868i,0.0027468-0.00019987i,-0.00055225-0.00064041i,-5.0537e-05-0.00038007i,-0.00078004-0.00055049i,0.0015277-0.0011711i,-0.0009195-0.00088858i,-0.0014461-0.0021565i,-0.00049321-0.0011513i,0.00051925-0.00028704i,-0.00011696-0.0011202i,-6.8367e-05-0.000343i,0.00034889-0.0003896i,0.0012815+0.00018015i,-0.0005604+0.0027994i,-0.0010693+0.00073642i,-5.1683e-06+0.00025701i,-0.0005114-0.0006825i,-0.00096139+0.0015296i,-0.0030772-0.00069344i,-0.00070322-0.000459i,7.2566e-05+0.00046408i,-0.00085291+0.00052449i,0.0019017+0.0025376i,-0.00069973-0.00062123i,-0.0007501-0.0007053i,0.0008548+0.00061459i,0.00039578-0.0036333i,0.0015945-0.011036i,0.018039-0.011227i,0.018046-0.02659i,-0.01122-0.021966i,0.0030568-0.013759i,-0.017478-0.015028i,0.002204-0.040247i,-0.0011496-0.036452i,0.010105-0.017231i,0.0058097-0.010784i,-0.0040473+0.0066787i,0.0062435-0.0019274i,0.0038164+0.011567i,-0.0036238+0.0036201i,0.0060645-0.0004765i,0.0063069-0.0037425i,-0.0035735-0.00056273i,0.009333+0.0059325i,0.0011731-0.0011431i,-0.0028578-0.0037862i,-0.0024168+0.00063641i,0.0014572-0.0022397i,-0.0042277+0.0049858i,0.0044802-0.004816i,-0.0048775+0.0075548i,0.003465-0.00038057i,0.003995+0.00036425i,-0.0011165+0.00053368i,-0.0072736-0.002363i,-0.0018457+0.0019543i,-0.00065144+0.0025608i,0.0004411+0.0044181i,-0.0011656+0.0012535i,0.0013766+0.0032917i,-0.001226+0.00017095i,-0.0096824+0.0035867i,-0.00038029-0.00025195i,-0.0027398+0.003737i,0.00081316+0.0017355i,0.0023819-0.0045894i,-0.0010235-0.0017376i,0.00038407-0.0040373i,-0.0034371-0.0015352i,0.0058623+0.001474i,0.0036691-0.0013028i,0.01091-0.016115i,-0.00065154+0.033397i,0.012124+0.013356i,-0.010807+0.0072377i,0.00050976+0.0012323i,0.00072155-0.0021899i,-0.0038424+0.0065399i
0.0065633-0.013232i,-0.0071216-0.04654i,-0.031345-0.011485i,-0.011254+0.0041877i,-0.011743+0.015744i,-0.014158+0.015786i,-0.019085-0.003637i,-0.018398-0.034839i,-0.017065-0.0073924i,-0.0062071-0.0044484i,-0.00021835-0.00032242i,0.0014073-0.001162i,0.0016208-0.0014137i,-0.00051995-0.0013043i,-0.00033999-0.00068186i,-0.0039017-0.00028331i,-0.0011305-0.0028695i,0.0025467-0.00087248i,-0.00074444-0.00023387i,-0.0002638-0.00060765i,-0.00074472-0.00023126i,0.0007674-0.0015637i,-0.0010773-0.00054478i,-0.0018021-0.0017318i,-0.00086224-0.00090472i,0.00030005-0.00047947i,-0.00050988-0.00090161i,-0.00010465-0.00041622i,0.00031108-0.00050449i,0.0013276-0.00055411i,0.00080996+0.0030258i,0.00097415+0.0011653i,-3.4081e-05+5.1529e-05i,-0.00079538-0.00051583i,-0.00048736+0.0020112i,-0.0032182-8.1207e-05i,-0.0011086+2.7261e-05i,0.00051352+0.00026309i,-0.00063526+0.00068157i,0.0022588+0.0021206i,-0.00089909-0.00055343i,-0.00093889-0.00048611i,0.0011837+2.1292e-06i,-0.00046377-0.0038087i,-0.0010323-0.011323i,0.016194-0.013965i,0.014472-0.027406i,-0.011787-0.01787i,0.0029331-0.015505i,-0.015347-0.010069i,-0.0070526-0.041799i,-0.0098006-0.039638i,0.0066886-0.019434i,0.0035588-0.0099055i,-0.0012168+0.0078186i,0.0040701-0.0032068i,0.0066524+0.009365i,-0.0025239+0.0050123i,0.0052551-0.001946i,0.0054124-0.0047333i,-0.0042595+0.001508i,0.010892+0.0031045i,0.0015818-0.0011522i,-0.00345-0.0029712i,-0.0014182+0.0014082i,0.0010679-0.0026576i,-0.0013881+0.0058411i,0.0016471-0.0065012i,-0.00085749+0.0086476i,0.0032893-0.0028242i,0.0033496-0.0012534i,-0.00093723+0.00096827i,-0.0074099+0.0015057i,-0.001473+0.0021211i,0.00061605+0.0036451i,0.0014266+0.0035336i,-0.00077466+0.0017984i,0.002009+0.0027471i,-0.0014548+0.00083872i,-0.0078071+0.0064242i,-0.0002655+0.00067427i,-0.00089363+0.0041929i,0.0012607+0.0010615i,5.2405e-05-0.0054945i,-0.0012129-0.0011108i,-0.0007753-0.0044145i,-0.0041213-2.0772e-05i,0.0056678-0.00010912i,0.0033495-0.0017469i,0.010188-0.017273i,0.0064167+0.031623i,0.011962+0.0099429i,-0.0096542+0.01026i,0.0028889+0.0031864i,0.00082394-0.0018753i,-0.003575+0.0067968i
0.0039666-0.014035i,-0.014874-0.043733i,-0.032355-0.0063363i,-0.010802+0.0059191i,-0.0086973+0.016424i,-0.010932+0.016725i,-0.019724-0.0003685i,-0.023706-0.031425i,-0.01819-0.0044553i,-0.0056817-0.0022876i,-0.00058294-5.7482e-06i,0.00066564-0.0013957i,0.0013742-0.0021007i,-0.0010887-0.00090212i,-0.00036266-0.00047581i,-0.0037065+0.00070036i,-0.0018107-0.0021189i,0.0023281-0.0015457i,-0.00075795+0.0001943i,-0.00061937-0.00047925i,-0.00058179+2.3059e-05i,8.7514e-05-0.001564i,-0.001122-0.00022342i,-0.0019813-0.0013179i,-0.001077-0.00073808i,8.9129e-05-0.00051899i,-0.00066099-0.00053698i,-0.00018482-0.00038666i,0.00020581-0.00059962i,0.0011597-0.001053i,0.0022691+0.0021157i,-0.00091082+0.00056113i,-0.00031034-2.7976e-05i,-0.00092195-0.0002463i,0.00030988+0.0021654i,-0.0033742+0.00051358i,-0.0011508+0.00061594i,0.00069458-0.00015676i,-0.00037131+0.00056521i,0.0026315+0.0012616i,-0.0011618-0.00036761i,-0.0010054-0.00015448i,0.0011658-0.00052088i,-0.0012596-0.0034448i,-0.0038395-0.010897i,0.013815-0.016796i,0.011636-0.028064i,-0.011135-0.01544i,0.0027165-0.018805i,-0.012264-0.0075879i,-0.016331-0.039881i,-0.019266-0.039111i,0.003546-0.020467i,0.0028501-0.009148i,0.0014925+0.0070861i,0.0019885-0.0033017i,0.0076918+0.0068418i,-0.00071862+0.0058232i,0.0048266-0.0027804i,0.0037436-0.0064647i,-0.0037059+0.0032065i,0.011217-0.00054069i,0.0019439-0.0015679i,-0.0036022-0.0021376i,-0.00061104+0.0015082i,0.00066261-0.0031066i,0.0011551+0.0047772i,-0.0012461-0.006541i,0.0031319+0.0071935i,0.0015932-0.0041267i,0.0021504-0.0022692i,-0.00055029+0.0011594i,-0.0055917+0.004594i,-0.0011589+0.0021698i,0.0028145+0.0033419i,0.001745+0.0030293i,0.00017494+0.0018527i,0.0031749+0.0020253i,-0.0010881+0.0013877i,-0.0050543+0.008132i,0.00058117+0.00088154i,0.00097474+0.0038837i,0.0013367+0.00042981i,-0.0028291-0.0052964i,-0.001373-0.0010759i,-0.00214-0.0042772i,-0.0034795+0.0015108i,0.0045688-0.001468i,0.0032775-0.002162i,0.0090621-0.019728i,0.012382+0.028382i,0.010768+0.007221i,-0.0077832+0.012035i,0.0056655+0.0033585i,0.00050311-0.0016618i,-0.0031844+0.0068454i
