-0.023498-0.019476i,-0.032298-0.033593i,-0.022369-0.020043i,-0.032309-0.020627i,-0.024+0.0040112i,-0.028846-0.018189i,-0.055461-0.047672i,-0.040862-0.044861i,-0.03004-0.023716i,0.0050212+0.0058427i,-0.0034803+0.0065153i,-0.011178+0.011391i,0.0039402+0.0070418i,-0.0037438-0.0029446i,0.0029237+0.0018972i,0.0016064+0.028467i,0.024927+0.031711i,-0.00024939+8.1371e-05i,-0.0029331-0.0029586i,0.0076114+0.0039283i,0.0020932+0.00072434i,-0.00015591+0.0026445i,-0.00056056+0.00022086i,-0.031761-0.0013693i,-0.0034414-0.0049051i,1.0899e-05+0.0025817i,0.0036071-0.0010215i,0.00092798-0.00020488i,-0.00074949-0.00060704i,-0.00091941-0.0020382i,-0.0022582-0.00056194i,-0.0038828-0.0039281i,-0.0031283-0.005295i,0.00046413-0.0012418i,0.00058541-0.0032803i,-0.001713+0.025892i,0.0019268-0.0029369i,0.0022005-0.0040487i,0.0045191-0.0022111i,-0.0058854-0.0019406i,0.00060023+0.0013968i,0.010318-0.000394i,-0.0011695+0.00050964i,-0.0031466+0.0013385i,-0.0082685-0.0022588i,-0.018503+0.021116i,-0.0081658-0.08655i,-0.0022154-0.061249i,-0.020823-0.054036i,-0.011403-0.045786i,0.05393-0.026858i,0.024323-0.067145i,0.040652-0.0545i,0.018469-0.039304i,0.026099-0.019573i,0.012184+0.012085i,0.025483-0.028643i,-0.011288-0.0010242i,-0.0014456-0.00092198i,-0.0085095-0.0018587i,-0.0045931-0.02991i,-0.020963+0.026461i,0.0073035-0.0093782i,-0.010555-0.0033i,-0.0026978-0.0019716i,-0.00036636-0.014709i,-0.0082377+0.0053533i,0.0059924+0.010798i,-0.010336+0.029977i,0.0063679+0.0076826i,-0.0033542-0.0016366i,-0.0022706-0.0014845i,-0.012834-0.0058596i,0.00056306-0.0045488i,-0.033245+0.0026722i,0.0035233-0.0086068i,-0.0073323-0.0020659i,-0.0052705-0.0031408i,0.0069225+0.0016815i,-0.010253+0.00042169i,0.0023767-0.00017379i,0.0060072+0.0080106i,0.0053739+0.00096633i,-0.0078186-0.010201i,0.0029393+0.0077738i,-0.019598+0.0075816i,0.0033749+0.0057239i,-0.021208-0.00936i,-0.027468-0.0053116i,0.010219-0.061733i,0.01859-0.014712i,-0.050522-0.02842i,-0.021539+0.0020085i,0.018901+0.010607i,-0.026942+0.011499i,-0.01294-0.0080243i
0.0054002+0.0050948i,0.036992+0.015517i,0.020002-0.0041633i,0.013044+0.0023238i,0.0086965-0.0014978i,0.01596-0.0072386i,0.011864+0.014362i,0.018434+0.01987i,0.0012339-0.0026991i,0.0011268+0.00073615i,0.0022915-0.0012414i,0.0010566-0.0038921i,6.8884e-05-0.0012595i,0.0022603-0.00012212i,0.0052685-0.0011656i,0.0053063+0.00041744i,0.0059367-0.0053993i,8.113e-05-0.0011092i,-0.0022782+3.3177e-06i,0.00046241+0.00076488i,0.00017463-0.00018262i,-0.0021346-0.00060973i,-0.0015367-0.0001688i,0.0065084+0.0076314i,-0.00058743+0.00020905i,0.00033984+0.0007548i,0.00094509+0.00095881i,-6.8403e-05+0.001289i,-0.00037482-0.0004346i,-0.0012134+0.00011186i,0.00051247-0.001162i,-0.0007564+0.0003966i,0.00020548+0.00064262i,-1.0294e-06+0.00062648i,-9.5665e-05-0.0011581i,-0.0091618+0.0069305i,0.0005513+0.00027232i,-0.00044167+9.2e-07i,-0.0005126+0.0016065i,-0.0001869-0.0031696i,-0.00059418-9.57e-06i,-0.00050737-9.143e-05i,0.00051987+0.001252i,0.0036733-0.0021389i,0.00013927+0.0031952i,-0.049576+0.0096294i,-0.0035238+0.029541i,-0.013965+0.041183i,-0.0087168+0.064891i,-0.017708+0.044369i,-0.0066379+0.018644i,-0.0090143+0.012491i,-0.048389+0.0021295i,-0.024943-0.0076249i,0.01504+0.025545i,0.00054786+0.0054124i,-0.0074208+0.001562i,-0.013857-0.001978i,0.0038713-0.00026635i,0.0056257+0.01384i,-0.0061814+0.007023i,-0.0053881-0.0069086i,0.0056123-0.0025776i,-0.0064306-0.005269i,0.0038612-0.0066987i,0.0043396-0.0022141i,-0.0023622+0.010525i,0.012064-0.0052166i,0.0060211-0.0048839i,0.0054885-0.0081714i,0.0031082+0.0008562i,-0.0018896-0.005811i,-0.0034048-0.0014762i,0.002116-0.001727i,-0.010762+0.031372i,-0.0042655-0.0053719i,0.0033691+0.0001902i,-0.00036075-0.0069022i,0.0033481-0.0013564i,-0.01356-0.005955i,0.00091062+0.00074757i,0.0040729-0.0017962i,0.0026857-0.0014661i,0.0010894-0.0057864i,-0.0024407+0.0056882i,-0.00021311+0.0060376i,-0.00451+0.0069351i,-0.0052025+0.0020246i,-0.0058529+1.2446e-05i,-0.023171+0.019221i,-0.008889+0.014325i,-0.022379-0.011363i,-0.0092416-0.0091092i,0.0089684+0.02043i,-0.00026278+0.01978i,-0.0094094-0.0031756i
0.0058188+0.0030896i,0.038705+0.0078534i,0.018971-0.0079285i,0.013695+0.00093291i,0.0095791-0.0030555i,0.014487-0.010421i,0.012626+0.011631i,0.020883+0.016087i,3.0711e-05-0.0030075i,0.0013915+0.00025486i,0.002185-0.0016042i,-0.00048986-0.0026597i,-8.8364e-05-0.0006935i,0.0021559-0.00017124i,0.0045394-0.0022739i,0.0048366-6.9472e-05i,0.0034532-0.0059676i,0.00011737-0.0009633i,-0.0023367+0.00027696i,0.00090524+0.00019088i,-7.2078e-06-0.00058926i,-0.0021949+6.3665e-06i,-0.0015276+5.8006e-05i,0.010068+0.0044561i,-0.00084513+0.0010197i,0.00087376+0.00048993i,0.0010622+0.00032339i,0.00049557+0.0011561i,-0.00088614+0.00015078i,-0.0012254+0.00055939i,-0.00014094-0.0012149i,-0.00074357+0.00010289i,0.00019272+0.000481i,0.0003223+0.00052663i,-0.00077242-0.00019252i,-0.0062394+0.0089825i,0.00026683-1.1775e-06i,-0.00035261+0.00040162i,0.00015076+0.0014148i,-0.0011763-0.0024733i,-0.00054829-0.00013584i,-0.00062044+0.00019424i,0.00056024+0.0012924i,0.0026159-0.0023499i,0.0014536+0.0031616i,-0.044173+0.01746i,-0.00060355+0.030471i,-0.0050713+0.04167i,0.0075349+0.061794i,-0.0064462+0.043696i,-0.0090459+0.015425i,-0.012692+0.010558i,-0.050447+0.0070389i,-0.020768-0.0094196i,0.020846+0.020029i,0.00054154+0.005092i,-0.0062552+0.0070218i,-0.0134+0.0027181i,0.0024548-0.0019511i,0.0092197+0.012435i,-0.001813+0.01135i,-0.0093514-0.0048294i,0.0025372-0.0044087i,-0.0065793-0.0018876i,-0.00075493-0.0066854i,0.0025635-0.0041066i,0.0025916+0.0082026i,0.0076362-0.0085743i,0.0022866-0.0061474i,0.0010894-0.0056947i,0.0041886-0.00015487i,-0.0029023-0.0046526i,-0.0018192+0.00076745i,0.0019329-0.0015396i,0.0056495+0.031598i,-0.005781-0.0045024i,0.0037467-0.0018311i,-0.0037379-0.0058881i,0.0036241-0.0023551i,-0.013784+0.00042802i,0.0017274+0.0012476i,0.00285-0.0020153i,0.0026485-0.0025157i,-0.00026758-0.0057055i,-0.00044604+0.0032689i,0.0022701+0.0047844i,-0.00082336+0.0081175i,-0.0042705+0.0044832i,-0.0065508+0.0008764i,-0.018039+0.017996i,-0.0065946+0.016723i,-0.025345-0.0059577i,-0.01168-0.011774i,0.011915+0.019801i,0.0037336+0.021567i,-0.011728-0.0030167i
0.0055056+0.0015552i,0.038495-0.00053508i,0.017563-0.012384i,0.015041-0.0018926i,0.010535-0.0053597i,0.012155-0.013603i,0.012703+0.0089385i,0.022897+0.011802i,-0.00063396-0.0026264i,0.0011552-0.0002948i,0.0017073-0.0024812i,-0.0005152-0.0011973i,-9.443e-05-0.00065604i,0.0020985-0.00057506i,0.003619-0.0030772i,0.0043198-0.00051733i,0.0013368-0.0060124i,-0.00011099-0.0011587i,-0.0022473+0.0010695i,0.00077084-0.0007369i,-0.00069393-0.00089421i,-0.0019628+0.00058293i,-0.0016353+0.00037064i,0.010495-0.00059378i,-0.00019663+0.0014834i,0.00084008-0.00011553i,0.00081957-6.7085e-05i,0.0010037+0.00058075i,-0.00053078+0.00066275i,-0.001051+0.0010136i,-0.00074027-0.00093265i,-0.0011814+0.00067732i,0.00039585+0.00044454i,0.00044539+0.0002617i,-0.00031499+0.00061455i,-0.0031386+0.010079i,6.3414e-05+0.00019322i,-7.4784e-05+0.00040496i,0.0005452+0.0011059i,-0.0018922-0.0015452i,-0.00058054-0.00018278i,-0.00045222+0.00037278i,0.00082872+0.0015583i,0.0021226-0.0024878i,0.0034855+0.0022508i,-0.038294+0.023566i,0.0038771+0.031463i,0.0038533+0.038464i,0.022724+0.053376i,0.0034599+0.042633i,-0.012166+0.015017i,-0.01554+0.011683i,-0.050562+0.014989i,-0.019588-0.012865i,0.02407+0.011996i,0.00067417+0.0049569i,-0.003563+0.0088544i,-0.012707+0.005983i,-2.2249e-05-0.0038989i,0.012248+0.0094786i,0.0037064+0.011961i,-0.011918-0.0014767i,0.00047579-0.0032831i,-0.0059104+0.00078452i,-0.002939-0.0042777i,0.00054732-0.0038668i,0.0049743+0.0071349i,0.0044154-0.0090633i,-0.0014546-0.0049538i,0.00055623-0.0030844i,0.0044202-0.0024418i,-0.0049726-0.0033991i,-0.00062426+0.00059732i,0.0012069-0.0020394i,0.018988+0.024043i,-0.0077956-0.0023021i,0.003103-0.0032297i,-0.0036544-0.0040766i,0.0039354-0.00418i,-0.010807+0.0059416i,0.0034666+0.00095463i,0.0019186-0.0022262i,0.0014964-0.0027587i,-0.0021143-0.0048713i,-0.0012596+0.0025977i,0.0033088+0.0027935i,0.0027238+0.0080139i,-0.0025787+0.0053177i,-0.0072566+0.0028211i,-0.015628+0.016439i,-2.8044e-05+0.017488i,-0.025838-0.0012682i,-0.015161-0.012807i,0.016959+0.016865i,0.0091418+0.022258i,-0.013889-0.0013885i
0.0049838+0.0006298i,0.03529-0.007566i,0.014219-0.016654i,0.014923-0.0060433i,0.010289-0.0085753i,0.0088329-0.015788i,0.012513+0.0071357i,0.023573+0.0073538i,-0.00072682-0.0025115i,0.00063951-0.0002844i,0.00063655-0.0026475i,-8.2344e-05-0.00063713i,-0.00054901-0.00038858i,0.0017316-0.00072674i,0.002391-0.003577i,0.0039643-0.0006684i,-0.00033161-0.0050547i,-0.00035534-0.0010107i,-0.0013392+0.0018544i,2.8982e-05-0.0011361i,-0.0011773-0.00036673i,-0.0016647+0.0011975i,-0.0015621+0.00092993i,0.0083155-0.0042803i,0.00034449+0.001401i,0.00052761-0.0002709i,0.00066468-0.00015158i,0.0007757-1.0198e-05i,-0.00012337+0.00060453i,-0.00062082+0.0015129i,-0.001111-0.00031759i,-0.00059176+0.0013844i,0.00054703+0.00018892i,0.00037208+6.6869e-05i,0.00029511+0.00072436i,0.00015816+0.010049i,0.00017142+0.00030291i,-6.9834e-05+0.00028439i,0.0006169+0.00091717i,-0.002061-0.0005329i,-0.00070151-0.00012633i,-0.00033565+0.00039497i,0.0014278+0.0016306i,0.0016555-0.002583i,0.0051332-0.00012969i,-0.031034+0.028315i,0.0094369+0.031371i,0.0089676+0.034342i,0.034463+0.039914i,0.013235+0.037342i,-0.015587+0.017601i,-0.018691+0.01522i,-0.048436+0.02353i,-0.021416-0.016264i,0.024696+0.00317i,0.0012421+0.0054169i,-0.00094042+0.011238i,-0.010984+0.0097485i,-0.0043169-0.0028331i,0.014952+0.0045296i,0.0089983+0.0098592i,-0.012689+0.0028221i,-0.00041248-0.0026447i,-0.0042421+0.0026375i,-0.003725-0.0013562i,-0.00035219-0.0033563i,0.0069798+0.0037698i,0.0014603-0.0090838i,-0.0034737-0.0016637i,0.0013352-0.001904i,0.0030574-0.0044734i,-0.0057184-0.00042159i,0.00043362+0.00097386i,0.0005985-0.0019855i,0.026464+0.011741i,-0.0079701+0.0013999i,0.0021491-0.0045855i,-0.0040832-0.0027503i,0.0021913-0.0065625i,-0.0058174+0.0081009i,0.0047463-0.00096935i,0.0012252-0.001676i,0.00099099-0.0023654i,-0.0027856-0.0031363i,-0.0016648+0.0033341i,0.0031749+0.00093049i,0.0059288+0.0064479i,-0.001103+0.0049928i,-0.0072714+0.0052987i,-0.014099+0.017261i,0.0090382+0.012653i,-0.024225+0.0034887i,-0.020555-0.012142i,0.018928+0.011958i,0.015283+0.020334i,-0.013614+0.00059605i
0.0049666+8.2135e-05i,0.032057-0.012367i,0.01003-0.019368i,0.013661-0.0099859i,0.0087889-0.011652i,0.0056243-0.016997i,0.01265+0.0061087i,0.023552+0.0034036i,-0.00041906-0.002675i,0.00027665-7.1759e-05i,-0.00032732-0.0023739i,0.00034396-0.00055149i,-0.00066488+0.00028579i,0.0014705-0.00089661i,0.0012571-0.0034644i,0.0041405-0.00062546i,-0.0010817-0.0039402i,-0.00076109-0.00085385i,-0.00053481+0.0018324i,-0.00063028-0.0010059i,-0.0012722+7.8638e-05i,-0.00095286+0.0017171i,-0.0011981+0.0014603i,0.0052496-0.0064488i,0.00072852+0.0011648i,0.00035691-0.0002747i,0.00051037-0.0003437i,0.00045808-9.9619e-05i,-1.9116e-05+0.00063645i,0.00015114+0.0016761i,-0.0010443+0.00022701i,7.2463e-05+0.0014455i,0.00050665-9.9813e-05i,0.00039144+0.00021702i,0.00079614+0.00062128i,0.0029483+0.00916i,0.00016702+0.00038408i,-0.0001684+0.00035076i,0.00099115+0.0007616i,-0.0017711+0.00028517i,-0.00082688-0.00015956i,-0.0002271+0.00039815i,0.001977+0.0012049i,0.00087266-0.002933i,0.0051089-0.0032039i,-0.022554+0.030705i,0.015991+0.02961i,0.014326+0.031824i,0.038929+0.02451i,0.018894+0.030328i,-0.016328+0.023693i,-0.018818+0.022661i,-0.044168+0.032931i,-0.026458-0.017307i,0.020587-0.0040799i,0.0025527+0.0056562i,0.0041853+0.011264i,-0.0078813+0.012691i,-0.0058418+0.00074108i,0.014575-0.0024199i,0.012706+0.0057286i,-0.011976+0.0067011i,-0.00063434-0.00088846i,-0.0025362+0.0034831i,-0.0020173+0.0005502i,-0.0020556-0.0022921i,0.0070523+0.0008559i,-0.0013563-0.0080812i,-0.0028984+0.0016645i,0.002487-0.0022679i,0.0010793-0.005463i,-0.0040534+0.001642i,0.0019331+0.00034013i,0.00031132-0.0017641i,0.027284-0.0009781i,-0.0056271+0.0042978i,0.00048442-0.0054095i,-0.0036589-0.0020257i,-0.00050116-0.0071361i,-0.0018916+0.0075767i,0.0040768-0.0032238i,0.0013476-0.00087193i,0.0013036-0.0019806i,-0.0018273-0.0023125i,-0.00017854+0.004427i,0.0018435-0.00023718i,0.0073107+0.00318i,-0.00049667+0.0037288i,-0.0054457+0.008114i,-0.010943+0.018423i,0.01235+0.0013609i,-0.020032+0.0052833i,-0.025936-0.0094465i,0.020105+0.0069624i,0.020022+0.014209i,-0.014164+0.0009874i
0.0051021-0.00093875i,0.029194-0.016835i,0.0061155-0.021042i,0.011495-0.01395i,0.0066257-0.014143i,0.0022301-0.017822i,0.013818+0.0050633i,0.023314-0.00042658i,-0.00029604-0.0035361i,-0.00011277+0.00024832i,-0.0007936-0.0017151i,0.00057934-0.00061299i,-0.00017992+0.00091638i,0.001079-0.00091073i,0.00048823-0.0031852i,0.0047198-0.00099979i,-0.0013406-0.0034348i,-0.00080573-0.00048634i,0.00012018+0.001673i,-0.0010235-0.00067211i,-0.00098606+0.00047775i,3.9667e-05+0.0015584i,-0.00056936+0.0017163i,0.0019601-0.0071104i,0.001228+0.00085663i,0.00022393-0.0003377i,0.00030753-0.00051208i,0.00031548-0.00015427i,0.00026926+0.00066093i,0.00075961+0.001314i,-0.00076755+0.00055925i,0.00066165+0.001221i,0.00029958-0.00020211i,0.00058582-1.1577e-05i,0.000989+1.6965e-05i,0.0048301+0.0075278i,0.00031182+0.00040967i,-2.6777e-05+0.00049847i,0.0010653+0.00036354i,-0.0011399+0.0007127i,-0.0010685-2.6422e-07i,-7.6288e-05+0.00030199i,0.0022668+0.00067562i,0.0001016-0.0027647i,0.0041705-0.005891i,-0.015006+0.030301i,0.021834+0.025336i,0.020053+0.027926i,0.038996+0.010685i,0.021965+0.023608i,-0.012912+0.030504i,-0.013979+0.030627i,-0.035825+0.042615i,-0.031815-0.014489i,0.015683-0.0076109i,0.0039605+0.0049329i,0.0076776+0.0086468i,-0.0038526+0.014921i,-0.0050929+0.0034526i,0.010358-0.0090609i,0.013603-0.00020114i,-0.010169+0.0093633i,0.00051913-0.00015751i,-0.0007655+0.0033832i,-0.00049415+0.00049898i,-0.0022056-1.0524e-05i,0.0057455-0.0010993i,-0.0031747-0.005823i,-0.00059292+0.0034756i,0.0027108-0.0040463i,-0.0010959-0.0051671i,-0.002749+0.0019151i,0.0021759-0.0010743i,0.0008024-0.00161i,0.022575-0.011797i,-0.0026986+0.0052632i,-0.0012836-0.0049521i,-0.0037053-0.0012333i,-0.0030955-0.0065094i,0.00041021+0.0064692i,0.0032109-0.0046199i,0.0023048-0.0012333i,0.0013439-0.0029743i,-0.0011283-0.0027343i,0.0013453+0.004575i,0.00065363+0.00010576i,0.0067885+0.00079683i,-0.0010984+0.0028013i,-0.0021785+0.0096613i,-0.0074347+0.018378i,0.0079885-0.0080578i,-0.017838+0.0027192i,-0.031408-0.0037317i,0.018541+0.00027201i,0.020939+0.0077296i,-0.01499+0.002615i
0.0050034-0.0018788i,0.025379-0.021298i,0.0016157-0.02276i,0.0074964-0.017773i,0.0038965-0.01646i,-0.0014019-0.017654i,0.015563+0.003086i,0.022545-0.0043505i,-0.0007514-0.00436i,-0.00022955+0.0010911i,-0.0012073-0.0012038i,0.0005629-0.0012552i,0.00034171+0.0010426i,0.00073098-0.00079389i,-0.00010792-0.0027799i,0.0051389-0.0020746i,-0.0018334-0.003116i,-0.0010751-0.00033206i,0.00084143+0.0012357i,-0.0014519-0.00016855i,-0.00097126+0.00054851i,0.00058973+0.00090412i,-5.3489e-05+0.0017237i,-0.0013035-0.0065153i,0.0013315-0.00022523i,6.3208e-06-0.00020871i,-0.00023261-0.00056894i,0.00014954-0.00014766i,0.00066451+0.00038004i,0.001025+0.00084152i,-0.00032033+0.00072682i,0.00084894+0.0009543i,4.5615e-05-0.00011222i,0.0004979-0.00022672i,0.00057599-0.00068955i,0.0059826+0.0058501i,0.00040318+0.00035016i,2.9234e-05+0.00046634i,0.0010819+0.00015756i,-0.00041204+0.00069439i,-0.0011934+0.00040398i,-4.5335e-06+0.00027285i,0.0024115+2.7748e-05i,-0.00068106-0.0023556i,0.002206-0.0081967i,-0.0089749+0.028627i,0.025922+0.01972i,0.025198+0.022825i,0.034758-0.00095166i,0.023109+0.018412i,-0.006434+0.034669i,-0.0041226+0.035029i,-0.023353+0.048282i,-0.035964-0.0086607i,0.010874-0.0091937i,0.0049024+0.0035383i,0.0092796+0.0049091i,0.00064246+0.015058i,-0.0042996+0.0050977i,0.0023161-0.011342i,0.011048-0.0050461i,-0.0078037+0.011619i,0.0015733-0.0010886i,0.00049807+0.002567i,-7.7998e-08-0.00012995i,-0.00042643+0.0013982i,0.0045186-0.0014415i,-0.0034574-0.0042186i,0.001865+0.0033588i,0.0013451-0.0060513i,-0.0025831-0.0040327i,-0.0018141+0.0022423i,0.001391-0.0025039i,0.00087726-0.0024868i,0.014326-0.017961i,-0.0001416+0.0050013i,-0.0023281-0.0040996i,-0.0031625-0.00084302i,-0.0048582-0.0053454i,0.0019574+0.0051853i,0.0018266-0.0063658i,0.0027042-0.0023142i,0.00010824-0.0037394i,-0.0020115-0.0034146i,0.003421+0.004409i,0.0004133+0.0013299i,0.0063896-0.0009304i,-0.0018637+0.0029379i,0.00089153+0.009083i,-0.0039705+0.018425i,0.00084623-0.014067i,-0.02027+4.1533e-05i,-0.033546+0.0046564i,0.012638-0.0040459i,0.020804+0.0020686i,-0.014317+0.0045334i
0.0050244-0.002968i,0.02129-0.024333i,-0.0038266-0.02291i,0.0019024-0.019625i,0.00017651-0.017911i,-0.0043518-0.016491i,0.017207+0.00010737i,0.020953-0.0079787i,-0.0011465-0.0053685i,0.0004853+0.0020821i,-0.0014033-0.00031847i,-0.00032182-0.0016253i,0.00091902+0.0010538i,0.00074914-0.00054249i,-0.00038624-0.0024002i,0.0049157-0.0031652i,-0.0027957-0.0022609i,-0.0012146+0.00014946i,0.0011023+0.00048055i,-0.0014569+0.00072112i,-0.00082251+0.00088048i,0.00051201+0.00010723i,0.00041965+0.0016249i,-0.0036844-0.0044361i,0.000438-0.00070872i,-2.8936e-05-9.2516e-05i,-0.00048216-0.00030171i,4.1292e-05-2.5364e-06i,0.00052331-0.00010298i,0.0011397+0.00045206i,2.7703e-05+0.00062152i,0.00096143+0.00058391i,7.6279e-05+5.024e-05i,0.00031292-0.00025593i,-0.00016542-0.00049535i,0.0066365+0.0039977i,0.00052508+0.00019418i,5.6215e-05+0.00062616i,0.0011869-3.7702e-05i,0.00020394+0.00030285i,-0.0010277+0.00099647i,0.00014291+0.00026069i,0.00209-0.00076259i,-0.0011403-0.0015696i,-0.00039322-0.0095673i,-0.0041484+0.025929i,0.028128+0.014074i,0.029582+0.01642i,0.0287-0.008587i,0.023466+0.014235i,0.0010744+0.03653i,0.0054031+0.034311i,-0.010279+0.049514i,-0.036921-0.0013725i,0.0075842-0.0092855i,0.0056359+0.0021511i,0.0090338+0.0015357i,0.0052552+0.013483i,-0.0027721+0.0070375i,-0.0042412-0.0084684i,0.0075942-0.0072126i,-0.0045619+0.01319i,0.0012564-0.0029354i,0.00081378+0.0016275i,-0.00014734-0.0002768i,0.0015586+0.0011993i,0.0040106-0.0017693i,-0.0041156-0.0030629i,0.0034102+0.0019536i,-0.0018385-0.0069674i,-0.0032332-0.0025146i,-0.00025519+0.0018815i,0.00062884-0.0032226i,0.00028448-0.0034807i,0.0057329-0.019612i,0.0016742+0.0039543i,-0.0030099-0.0034105i,-0.0037158-0.00063792i,-0.0062938-0.0034544i,0.0025044+0.0039147i,-0.00092649-0.0076884i,0.0026658-0.0035141i,-0.00089503-0.0032025i,-0.00274-0.0030584i,0.0047982+0.0033627i,0.0011098+0.0022094i,0.0048392-0.0025839i,-0.0019307+0.003777i,0.0030971+0.0073544i,0.00054417+0.018137i,-0.0090968-0.016608i,-0.024299+0.00044934i,-0.031542+0.01322i,0.0075064-0.003411i,0.018279-0.0035896i,-0.013134+0.0047279i
0.004782-0.004599i,0.017361-0.027231i,-0.0084721-0.021223i,-0.0032032-0.019053i,-0.0036318-0.018314i,-0.0065177-0.015295i,0.018219-0.0040375i,0.018955-0.011236i,-0.0021427-0.0064984i,0.0018692+0.0021965i,-0.00094896+0.00040333i,-0.0010608-0.00099199i,0.0014585+0.00051994i,0.00085169-0.00057421i,-0.0005578-0.0021577i,0.0044901-0.0039955i,-0.003053-0.0010122i,-0.00082585+0.0003506i,0.00084997-0.0001675i,-0.0009214+0.0012602i,-0.0005459+0.00098337i,0.00011677-0.000231i,0.00085611+0.0013474i,-0.0047711-0.0017184i,-0.00016301-0.00034869i,-2.4676e-05-2.3378e-05i,-0.00053224-0.00014773i,9.0958e-05+6.9491e-05i,0.00018121-3.2552e-05i,0.0010913-7.3715e-05i,0.00032248+0.00042265i,0.00077612+0.00034509i,0.00023648+1.7032e-05i,0.00035578-0.00017679i,-0.00036335+0.00010003i,0.0066273+0.0023065i,0.00042536+8.5531e-05i,0.00039768+0.00075085i,0.0011867-0.00052409i,0.00047569-0.00020565i,-0.00048103+0.0012908i,0.00020043+3.0253e-05i,0.0014019-0.0013364i,-0.0012979-0.0009169i,-0.0032532-0.010052i,-0.001445+0.022716i,0.029343+0.0089473i,0.031696+0.0084293i,0.022251-0.013673i,0.023645+0.012157i,0.0088525+0.03623i,0.013413+0.031647i,0.0015348+0.046761i,-0.035376+0.0057918i,0.0049223-0.0094971i,0.0062039+8.7838e-05i,0.0086947-0.00080457i,0.0090015+0.010091i,3.4537e-05+0.0074595i,-0.0074808-0.0038624i,0.0038674-0.0079818i,-0.00071623+0.013292i,-0.00047776-0.0037423i,0.00026587+0.0013976i,-0.0003286-9.8851e-05i,0.0025849+3.8425e-05i,0.0034968-0.0012828i,-0.0042043-0.0014844i,0.0037722+0.00017462i,-0.0049563-0.0053275i,-0.0028698-0.0012684i,0.00024334+0.00058157i,-0.00041608-0.0038716i,-0.00098458-0.0038093i,-0.0014299-0.01792i,0.0030388+0.0023299i,-0.0039045-0.0025311i,-0.0038464+0.00082174i,-0.0065072-0.00098637i,0.0031557+0.0032828i,-0.0044903-0.0072953i,0.0020422-0.0049955i,-0.0015115-0.003056i,-0.0032149-0.0030066i,0.0060777+0.0020734i,0.0020678+0.0024275i,0.0031782-0.0024078i,-0.0015987+0.0044011i,0.004281+0.0052844i,0.0054265+0.015736i,-0.019386-0.013791i,-0.028173+0.00344i,-0.026554+0.018549i,0.0051971-0.0023195i,0.013513-0.006932i,-0.014435+0.0050789i
0.003658-0.0061276i,0.012852-0.02995i,-0.012004-0.019017i,-0.0072432-0.017345i,-0.0074646-0.01786i,-0.0086868-0.014175i,0.017814-0.0093532i,0.016577-0.014184i,-0.0039078-0.0072934i,0.0030194+0.0015777i,-0.0002489+0.00072803i,-0.0012424-3.6035e-05i,0.0014749-0.00015294i,0.00086597-0.00068312i,-0.00087001-0.002055i,0.0038151-0.0049123i,-0.002887+0.00010145i,-0.00058494+0.00026129i,0.00059531-0.00041833i,-0.00031722+0.0014432i,-0.00032789+0.0011319i,-0.0002189-0.00026935i,0.0011059+0.00089693i,-0.0043483+0.00095576i,-0.00013938+0.0001462i,-1.7277e-06+5.2286e-05i,-0.00053485+7.5222e-05i,7.6172e-05+5.3316e-05i,0.00019592+4.9183e-05i,0.00070758-0.00046858i,0.00046441+0.00010156i,0.00083198+0.00045815i,0.00024409-3.2351e-05i,0.00037587-0.00049449i,-5.0354e-05+0.00046321i,0.0064958+0.0010317i,0.00047169-5.2907e-06i,0.00076206+0.00064053i,0.00065684-0.00086746i,0.00066162-0.00065115i,0.00012856+0.0013907i,0.00012043-3.6911e-05i,0.00052589-0.0012911i,-0.0012343+4.1092e-05i,-0.0059188-0.0094025i,-0.00070796+0.020979i,0.029976+0.0039646i,0.030788+0.0019635i,0.015364-0.017239i,0.026146+0.010873i,0.016237+0.033513i,0.021377+0.026876i,0.011636+0.040646i,-0.030695+0.011696i,0.0023369-0.0093165i,0.0053496-0.0030718i,0.0082949-0.0036224i,0.010253+0.005444i,0.0017846+0.006411i,-0.0083734+0.0015383i,0.00037397-0.0073513i,0.0022856+0.011198i,-0.0025865-0.0031307i,1.8744e-05+0.0020236i,-0.00035261+0.00017442i,0.0031697-0.0015213i,0.004231-0.00021712i,-0.0032572-0.00037916i,0.0036307-0.0003186i,-0.0058333-0.0028805i,-0.0022-0.00073862i,-0.00014577+6.8962e-05i,-0.0024248-0.004164i,-0.0022491-0.0030999i,-0.0072334-0.015096i,0.0033972+4.2109e-05i,-0.0044717-0.0012031i,-0.0029171+0.0018099i,-0.0059576+0.00069951i,0.0039772+0.002565i,-0.0070478-0.0047311i,0.0002954-0.0064329i,-0.0025113-0.0025029i,-0.0047658-0.0024054i,0.0069769-0.00045103i,0.0033081+0.0024656i,0.0028988-0.0022464i,-0.00046258+0.0055372i,0.0041233+0.0030639i,0.0092879+0.011605i,-0.025185-0.0054799i,-0.031335+0.0090958i,-0.02092+0.022647i,0.0032297-0.0008233i,0.0094268-0.0071343i,-0.014689+0.0070787i
