-0.030238-0.041247i,-0.021089-0.019812i,-0.012468-0.03671i,-0.029982-0.020624i,-0.02251-0.00067149i,-0.014186-0.0066058i,-0.055736-0.061921i,-0.047403-0.018746i,-0.037807-0.014811i,0.010793+0.012482i,-0.007433+0.0050688i,-0.020794+0.019394i,0.0024309+0.011852i,-0.0063738-0.0031466i,0.00012293+0.0013646i,-0.002187+0.031111i,0.028197+0.029296i,0.0026443-0.0019985i,-0.0019677-0.0069999i,0.008219+0.0028095i,0.0027302+0.0012314i,-9.6537e-05+0.00386i,-0.0003143+0.00023868i,-0.037619-0.012896i,9.0584e-05-0.0080242i,0.0014714+0.0022621i,0.0061278+0.0018321i,0.0018477+0.00055777i,0.0013747-0.0004917i,-0.00046214-0.0027309i,0.0016101-0.0026075i,-0.0026054-0.0061912i,-0.00060789-0.0048004i,0.0029039-0.00074703i,0.0046536-0.0028476i,0.0019918+0.031419i,0.0041494-0.0036616i,0.0031801-0.0017887i,0.0083143-0.0012383i,-0.005147-0.0026719i,-0.00019042+0.0010522i,0.0097422-2.4165e-05i,0.0041326-0.0025708i,-0.0016603+0.0091961i,-0.017741-0.0063597i,-0.018778+0.016291i,-0.00062774-0.061989i,-0.004215-0.02665i,-0.025801-0.033i,-0.010426-0.027174i,0.057241-0.018449i,0.018421-0.042237i,0.023217-0.048247i,0.0071833-0.054305i,0.02692-0.020513i,0.0083913+0.0062489i,0.025693-0.033491i,-0.0079621-0.0068233i,0.0041714-0.0046715i,-0.0043902-0.0071947i,-0.0011987-0.033829i,-0.018832+0.029567i,0.008764-0.011853i,-0.009304-0.0039696i,-0.0041936-0.0016671i,0.0012193-0.013207i,-0.011085+0.004273i,0.002114+0.01023i,-0.0062871+0.027396i,0.0045794+0.0027132i,-0.0054234-0.0020797i,-0.0020281-0.0022913i,-0.012374-0.0079874i,-0.00054844-0.0040943i,-0.036558+0.00032223i,0.0014666-0.010586i,-0.0084684-0.00011478i,-0.0066914-0.0023278i,0.0049403+0.00094022i,-0.0082912-0.00059627i,0.0022071+6.7671e-05i,0.0037715+0.007461i,0.0042341+0.00042199i,-0.0081964-0.013241i,0.0024423+0.0093334i,-0.015818+0.0046008i,0.0065538+0.00053509i,-0.02234-0.00031276i,-0.018273+0.0054238i,-0.0070762-0.065343i,0.0089669-0.012796i,-0.048673-0.024165i,-0.021688+0.00060621i,0.017383+0.011891i,-0.023731+0.01418i,-0.019161-0.0060359i
0.03+0.033176i,0.01398+0.016801i,0.017036+0.02593i,0.0064211+0.01995i,0.0086244+0.0080728i,0.0046734-0.0006147i,0.014963+0.013991i,0.016196-0.0015159i,0.0076863-0.0081635i,0.0011475+0.0042002i,0.0023754-0.0025166i,0.00058222-0.0053491i,-0.001734+0.00070155i,0.0014644-0.0014044i,0.0019475-0.00065713i,0.0055486-0.002571i,0.0057412-0.0074316i,0.00032626+0.00059881i,-0.0037666+0.0005459i,4.9994e-05+0.00062563i,-0.0010159-0.0012874i,-0.0027201-0.0010898i,-0.0016204+0.00079561i,0.006251+0.010074i,-0.00105+0.0016619i,0.00077605+0.0016482i,0.0013604+0.00097163i,-0.0019099+0.0027491i,-0.0010803+0.0001779i,-0.001348+0.00062595i,-0.0012266-0.0012944i,-0.0017882-0.00082724i,-4.5613e-07+0.00042945i,0.00058534+0.00071474i,-0.00014591-0.00094169i,-0.0096388+0.010743i,0.0015845+1.792e-05i,0.00073635+0.00076778i,0.00080169+0.0023917i,0.00099333-0.0015003i,-3.5563e-05-0.0003699i,-0.00084833-0.00048459i,-8.9009e-06+0.0013826i,0.00022322+0.0012999i,0.018877+0.013962i,-0.025517+0.014151i,-0.013426+0.016559i,-0.023255+0.010883i,-0.004826+0.038184i,-0.021305+0.017354i,0.0019561-0.0054414i,-0.012585-0.017596i,-0.019129-0.00051758i,-0.00759+0.01476i,0.017613+0.022272i,-0.00041352+0.002489i,-0.0036898+0.00070649i,-0.012814-0.0048558i,0.011721+0.0015257i,0.012538+0.010444i,-0.00061093+0.0055995i,-0.0047419-0.0072726i,0.006366-0.0024765i,-0.0033099-0.0045083i,0.0039208-0.0086357i,0.0091626-0.0027781i,-0.0015572+0.010578i,0.012927-0.0062812i,0.0034866-0.0077386i,0.0034838-0.0082384i,0.0023196+0.00056244i,-0.0023789-0.0060015i,-0.0036818-0.0014484i,0.0026291+3.9288e-05i,-0.0098163+0.037592i,-0.0070283-0.0060225i,0.00026414+0.0010873i,-0.0012709-0.0072539i,0.002981-9.8352e-05i,-0.018302-0.0070273i,-0.0015152-0.0036666i,0.0030395-0.0022552i,0.0034802-0.0014868i,-0.0034554-0.0076263i,-0.00041339+0.0074853i,0.00019645+0.003632i,-0.0034054+0.004545i,-0.0077737+0.0010415i,-0.0071666-0.00075405i,-0.0082169+0.023572i,-0.0023402+0.01554i,-0.026483-0.010479i,-0.0014092-0.0025504i,0.014322+0.018104i,-0.00066933+0.019043i,-0.00064465-0.0043691i
0.034631+0.026383i,0.01706+0.012837i,0.021429+0.022901i,0.0098534+0.019609i,0.01085+0.0067692i,0.0048622-0.0020766i,0.015232+0.010338i,0.015724-0.0041453i,0.0056135-0.0096562i,0.0022863+0.0033651i,0.0021484-0.0027158i,-0.0014405-0.003605i,-0.0012185+0.0013997i,0.0011806-0.00043901i,0.0017811-0.00097125i,0.0043703-0.0029801i,0.0029911-0.0079737i,0.00090265+0.00044382i,-0.0033677+0.00094189i,0.00036718+1.2184e-05i,-0.0011469-0.0013337i,-0.0028098-0.00048173i,-0.0012634+0.00094487i,0.011584+0.0066157i,-0.00082375+0.0027164i,0.0016014+0.0011163i,0.0012669-4.2174e-05i,-0.00070414+0.0029873i,-0.0015823+0.000656i,-0.0011186+0.0012601i,-0.0017415-0.00056275i,-0.0022222-0.00066103i,-0.00010209+0.00024795i,0.00070079+0.00045588i,-0.00094368+3.5977e-05i,-0.0054072+0.012527i,0.0011933-0.0005899i,0.00097491+0.00062589i,0.0014329+0.001622i,0.00044857-0.001432i,-0.00011543-0.00058651i,-0.0011967-0.00013949i,0.00010863+0.0015729i,-4.9537e-05+0.0015596i,0.021976+0.010872i,-0.020513+0.017815i,-0.01251+0.019645i,-0.018408+0.012907i,0.007162+0.034394i,-0.013659+0.017765i,-0.0049134-0.0090683i,-0.020234-0.018485i,-0.021974-0.00042273i,-0.00083982+0.0099078i,0.021921+0.015037i,-0.00088996+0.0023666i,-0.0026679+0.0044133i,-0.012877-0.00016697i,0.010185-0.0028716i,0.014161+0.006805i,0.0025081+0.0083406i,-0.0088442-0.0059083i,0.0024097-0.0045271i,-0.0035815-0.0023072i,-0.001519-0.0080954i,0.0071773-0.0055371i,0.0033566+0.0086514i,0.0076457-0.0091394i,-0.001188-0.0075066i,-0.00059927-0.0055735i,0.0037429-0.00015611i,-0.0037615-0.0051919i,-0.0020122+0.0010421i,0.0033458-0.00039089i,0.0096973+0.035909i,-0.0089145-0.0038813i,0.00098689+0.00032443i,-0.004226-0.0057231i,0.0038344-0.0014391i,-0.019107+0.001539i,-0.0021515-0.0027098i,0.0017194-0.0023732i,0.0034773-0.0029683i,-0.0055089-0.0057689i,0.0021193+0.0038469i,0.0015394+0.0027686i,-0.0004912+0.005852i,-0.0061431+0.0039517i,-0.0077386+0.0005817i,-0.0027459+0.020196i,0.00021849+0.016612i,-0.028573-0.0042888i,-0.0031334-0.0065015i,0.016999+0.015426i,0.0027578+0.0202i,-0.0032753-0.0047707i
0.037446+0.019043i,0.018326+0.0077918i,0.026298+0.017549i,0.014756+0.016955i,0.013245+0.0046899i,0.0045654-0.0038305i,0.014853+0.0066899i,0.014884-0.007186i,0.0036323-0.0099062i,0.0025969+0.0025017i,0.0016104-0.0036771i,-0.0015572-0.0016298i,-0.00064371+0.0014136i,0.0019193-0.00039862i,0.0015229-0.001257i,0.0033043-0.0034202i,0.00058555-0.0078527i,0.00093355-7.5196e-05i,-0.0030817+0.0018284i,3.1525e-05-0.00075427i,-0.0020124-0.0016725i,-0.0025103+0.00013421i,-0.0010377+0.0010582i,0.012935+0.00033606i,0.00038298+0.0032726i,0.0016895+0.00017785i,0.00060253-0.00046863i,0.00048351+0.0026298i,-0.0012778+0.0015489i,-0.0006007+0.0017274i,-0.0018939+0.00040989i,-0.0031407+0.00085672i,-7.4629e-05+0.0002477i,0.00073383+0.00012543i,-0.00071359+0.0010352i,-0.0013026+0.01287i,0.00072431-0.00061532i,0.0011752+0.00012304i,0.0016511+0.00099342i,-9.7883e-05-0.001436i,-0.00040666-0.00082729i,-0.0012434+0.00021598i,0.00033946+0.0019465i,0.000287+0.0019389i,0.025835+0.0067269i,-0.015292+0.020219i,-0.0093682+0.023294i,-0.012644+0.012663i,0.017662+0.027036i,-0.0069698+0.01805i,-0.012673-0.0083173i,-0.026961-0.015802i,-0.023984+0.0031683i,0.0022848+0.0031392i,0.022666+0.0066327i,-0.0013664+0.0022987i,-0.0011776+0.0046552i,-0.012701+0.0029803i,0.0064354-0.0075013i,0.014881+0.0024079i,0.0062896+0.0083021i,-0.0121-0.0028599i,0.0003786-0.0030987i,-0.0035215-0.0005312i,-0.0040481-0.0051682i,0.004865-0.0067657i,0.0059717+0.00737i,0.0044484-0.0087093i,-0.0048177-0.0045853i,-0.00091061-0.0028108i,0.0042514-0.0024416i,-0.0063319-0.003499i,-8.2158e-05+0.00097058i,0.0028677-0.0017534i,0.023942+0.025047i,-0.010495-0.00012505i,0.0014764-0.00025579i,-0.0040108-0.003836i,0.0043195-0.0035802i,-0.014724+0.0092706i,-0.002052-0.0017609i,0.00066298-0.0024644i,0.0020665-0.0036683i,-0.0070907-0.0029294i,0.0013829+0.0026341i,0.0021887+0.0016004i,0.0023642+0.0055593i,-0.0039596+0.0047693i,-0.0079932+0.0025564i,-0.00082538+0.016396i,0.0075219+0.016397i,-0.028461+0.00013436i,-0.0060512-0.009126i,0.019786+0.01021i,0.0077649+0.020774i,-0.0054203-0.0039046i
0.038306+0.012208i,0.017497+0.0038621i,0.028297+0.010464i,0.017962+0.011814i,0.014851+0.0013399i,0.0033697-0.0053317i,0.013746+0.004141i,0.012978-0.010076i,0.0023012-0.010159i,0.0026787+0.002108i,0.00021538-0.0036996i,-0.00079617-0.00078965i,-0.00052997+0.0015358i,0.0019073-0.00051328i,0.0010573-0.0014752i,0.0021478-0.0033285i,-0.0013105-0.0065397i,0.00090243-0.00026778i,-0.0017259+0.0025444i,-0.00070599-0.00091707i,-0.0026404-0.00066928i,-0.0024055+0.00064535i,-0.00083335+0.0011875i,0.010956-0.004832i,0.0015693+0.0031723i,0.0013092-0.00033692i,0.00012198-0.00028972i,0.0010323+0.0020215i,-0.00051539+0.0017532i,0.00014446+0.0018672i,-0.0015168+0.0013653i,-0.0022975+0.002451i,-4.3582e-05+0.00023917i,0.00051964-4.9378e-05i,-6.0134e-05+0.0013835i,0.0025038+0.012048i,0.00056847-0.00066005i,0.00094295-0.0004599i,0.0014956+0.00085869i,-0.00071653-0.0011375i,-0.00094748-0.00073746i,-0.0014045+0.00048552i,0.00097646+0.0022247i,0.00081689+0.0019987i,0.028218+0.00014976i,-0.0094435+0.021574i,-0.0043713+0.026016i,-0.010269+0.0098017i,0.02551+0.015341i,-0.00038562+0.014322i,-0.019648-0.0031968i,-0.033557-0.009812i,-0.024169+0.0082525i,0.00089689-0.0033914i,0.020881-0.000967i,-0.001571+0.0032207i,-0.00011966+0.0064459i,-0.011857+0.0070981i,-8.2875e-05-0.0076885i,0.014203-0.0028672i,0.009812+0.0063264i,-0.013746+0.0016036i,-0.00058993-0.0023983i,-0.0027045+0.00090616i,-0.0049279-0.0017223i,0.0028236-0.0075782i,0.0084859+0.0040145i,0.0023042-0.0084229i,-0.0056413+5.6713e-05i,-3.2975e-05-0.0017613i,0.0028306-0.0046412i,-0.0068627+5.459e-05i,0.00097629+0.0006088i,0.0019111-0.002695i,0.03039+0.010075i,-0.0093813+0.0046867i,0.0016751-0.0013123i,-0.0041091-0.0021158i,0.0025843-0.0062723i,-0.008108+0.01184i,-0.001792-0.0011304i,-4.8634e-05-0.0017146i,0.00064795-0.003839i,-0.0061926+0.00054888i,0.0012197+0.0023945i,0.0019477+0.00053092i,0.0050069+0.0042575i,-0.0020173+0.0041829i,-0.007663+0.0046024i,-0.00026404+0.015317i,0.01625+0.0093093i,-0.026473+0.0050691i,-0.011394-0.010113i,0.018604+0.0048449i,0.013409+0.018703i,-0.0056614-0.0029249i
0.038718+0.0059186i,0.017092+0.0014465i,0.028438+0.0045207i,0.019299+0.0064654i,0.01519-0.0022458i,0.0020305-0.006228i,0.01295+0.0029599i,0.010564-0.012253i,0.0010738-0.01073i,0.0029453+0.001628i,-0.00087438-0.0030312i,-0.00013563-0.00078864i,-0.00029936+0.0019342i,0.0019136-0.00095089i,0.00064482-0.0013726i,0.0016163-0.0025321i,-0.0021154-0.0052833i,0.00065525-0.00040136i,-0.00066173+0.0023332i,-0.0013233-0.00062637i,-0.0026777+2.9534e-05i,-0.001868+0.0012768i,-0.00053039+0.0013713i,0.007265-0.0079569i,0.0026168+0.0025682i,0.0010034-0.00060685i,-0.00017374-0.00011225i,0.001377+0.00149i,-5.5523e-05+0.0017622i,0.00097847+0.0016751i,-0.00066176+0.001921i,-0.0011651+0.0031784i,-0.00020376+0.00017298i,0.00042891+9.3176e-05i,0.00068836+0.0016358i,0.0054044+0.010357i,0.00027966-0.00069856i,0.00047479-0.00071983i,0.0016535+0.000677i,-0.00096602-0.00059127i,-0.0012489-0.00056351i,-0.0014377+0.00090111i,0.0017029+0.0021126i,0.00097921+0.0016243i,0.027948-0.0072142i,-0.0031544+0.021196i,0.0023424+0.026773i,-0.0098268+0.0093173i,0.026575+0.0022447i,0.002169+0.0089851i,-0.022345+0.005571i,-0.036655-1.8966e-05i,-0.022622+0.014801i,-0.0039407-0.0072608i,0.015931-0.0058516i,-0.00083685+0.0042418i,0.0035802+0.0063525i,-0.009193+0.010703i,-0.0035198-0.004336i,0.010972-0.0087199i,0.01273+0.0026836i,-0.013608+0.006146i,-0.00084575-0.00074492i,-0.0015928+0.0017673i,-0.0032664+0.00053414i,-0.00043967-0.0072678i,0.0088123+0.00052827i,1.0134e-05-0.0080018i,-0.0036968+0.0032451i,0.00085438-0.0020259i,0.00066244-0.0056431i,-0.0050091+0.0026399i,0.0020517-0.00042236i,0.0012154-0.0026803i,0.029062-0.0038747i,-0.005337+0.0076831i,0.0010008-0.0023799i,-0.0031845-0.0016722i,-3.566e-05-0.0071514i,-0.0034571+0.011649i,-0.0017576-0.00067483i,-1.968e-05-0.00049207i,0.00019818-0.0033306i,-0.0039396+0.0022781i,0.0018343+0.0021738i,0.0010574-9.7171e-06i,0.006001+0.0015508i,-0.0017596+0.0025497i,-0.0063088+0.0069027i,0.0017136+0.01542i,0.018185-0.0033878i,-0.022165+0.0063799i,-0.016674-0.0081564i,0.017448+0.00076684i,0.01767+0.013213i,-0.0064976-0.0030783i
0.038468-0.00045687i,0.01711-0.0013181i,0.028394-0.0011978i,0.019759+0.00096944i,0.015094-0.0056523i,0.00050703-0.00684i,0.013317+0.0020236i,0.0080798-0.013882i,-0.00040377-0.011398i,0.0028171+0.0010607i,-0.0011065-0.0022537i,0.00015302-0.00091482i,0.00041443+0.0023784i,0.0016621-0.0011331i,0.00048613-0.0013199i,0.0018615-0.0019418i,-0.0026243-0.0049256i,0.00066377-0.00059881i,1.0241e-05+0.0018812i,-0.0016353-0.00012229i,-0.0021921+0.00072682i,-0.0010107+0.0013725i,-0.00016098+0.0014397i,0.00281-0.0093035i,0.0036209+0.0015916i,0.00068971-0.00086343i,-0.00025273+7.7835e-06i,0.0015618+0.0010062i,0.00043968+0.0017523i,0.0015222+0.0010044i,0.00027893+0.0019737i,0.0002464+0.0034732i,-0.00032298+0.00048579i,0.00057016+5.058e-05i,0.0013025+0.0011767i,0.0072034+0.0082587i,-2.6191e-05-0.00056519i,9.8314e-05-0.00064023i,0.0016379+0.00037445i,-0.00075682-0.00016392i,-0.0016556-0.00014787i,-0.0012998+0.0011829i,0.0022873+0.0017986i,0.0011271+0.0014265i,0.025708-0.013819i,0.0023533+0.018905i,0.0088195+0.024708i,-0.008593+0.010103i,0.023537-0.0086294i,0.0017334+0.0052796i,-0.019846+0.014655i,-0.034469+0.010722i,-0.017137+0.022061i,-0.009318-0.0065827i,0.011152-0.0074986i,0.00049412+0.0045489i,0.0058862+0.004023i,-0.0055204+0.013709i,-0.0046178-0.0014601i,0.0049151-0.013135i,0.012822-0.0027042i,-0.011862+0.0096727i,0.00010797+0.00020788i,-0.00041068+0.0017938i,-0.0016313+0.00094576i,-0.002152-0.0052414i,0.0073897-0.001964i,-0.0015287-0.0067563i,-0.0008952+0.0041795i,0.0011137-0.0033419i,-0.0015661-0.005133i,-0.0031866+0.0034609i,0.0018397-0.0021043i,0.00097723-0.002849i,0.022508-0.01459i,-0.0011873+0.0080698i,4.464e-06-0.0024557i,-0.0034926-0.0011183i,-0.002983-0.0065372i,5.7764e-05+0.010906i,-0.0011804-0.00020379i,0.0012441-0.00033181i,-0.00029906-0.0038914i,-0.0015159+0.002434i,0.0021631+0.0019096i,0.00028202+0.00041345i,0.005216-0.00035356i,-0.0028027+0.0017618i,-0.0039285+0.0083009i,0.0043171+0.014393i,0.011935-0.013551i,-0.020445+0.0035386i,-0.021347-0.0034048i,0.01418-0.0040749i,0.018388+0.0075701i,-0.0073146-0.0022252i
0.037043-0.0066985i,0.016233-0.0044338i,0.026325-0.0080262i,0.017858-0.005357i,0.014246-0.0094863i,-0.0012176-0.0069212i,0.014533+0.00041778i,0.005267-0.015303i,-0.0022362-0.011714i,0.0025681+0.0012467i,-0.0015215-0.0018792i,2.0373e-05-0.0017375i,0.0012212+0.0023068i,0.0013861-0.0014133i,0.00028421-0.0012663i,0.0022953-0.0020101i,-0.0036973-0.0044674i,0.00020486-0.0008981i,0.00053033+0.001308i,-0.0018613+0.00049374i,-0.0021064+0.00094908i,-0.00039036+0.00092953i,0.0001686+0.0013884i,-0.0016121-0.0084493i,0.0040061-0.00025402i,0.00019985-0.0008848i,-0.00067598+0.00020746i,0.001555+0.00063867i,0.0011074+0.0014635i,0.0016074+0.00023977i,0.0012013+0.0016431i,0.0013892+0.0033476i,-0.0003262+0.00081801i,0.00062365-3.9336e-05i,0.001412+0.00044681i,0.0084579+0.0062268i,-0.00023269-0.00041725i,-0.00026838-0.00050148i,0.0018354+0.00011654i,-0.00039577-2.256e-05i,-0.0018086+0.00056927i,-0.00095869+0.0016773i,0.0028746+0.0011554i,0.0011042+0.0014316i,0.021858-0.019621i,0.0065326+0.015175i,0.013696+0.020887i,-0.0059374+0.011201i,0.017415-0.016809i,0.0004564+0.0036471i,-0.013833+0.020468i,-0.027147+0.018346i,-0.0079847+0.025755i,-0.01273-0.0026491i,0.0074858-0.007523i,0.0017286+0.0040748i,0.0059478+0.00098508i,-0.00067161+0.01455i,-0.0051559+0.00095714i,-0.003997-0.012895i,0.010191-0.0070546i,-0.0089305+0.01256i,0.0015547-0.00065812i,0.00043908+0.0013763i,-0.00097586+0.00031438i,-0.0021825-0.0036778i,0.0057928-0.0029175i,-0.0025736-0.0061099i,0.0011683+0.0038284i,-8.239e-05-0.0053355i,-0.0032269-0.0039028i,-0.0012866+0.0040754i,0.00043142-0.0031975i,0.00039777-0.0034411i,0.013226-0.020133i,0.0020557+0.0068173i,-0.00039592-0.002365i,-0.0029555-0.00089654i,-0.0048424-0.0049761i,0.0028787+0.0094677i,-0.00036196-0.00092207i,0.0019432-0.0011154i,-0.0015372-0.0036806i,-0.00031952+0.0013465i,0.003343+0.0017236i,0.00036004+0.0014021i,0.004524-0.0015567i,-0.0038847+0.0021031i,-0.0016156+0.0083543i,0.006886+0.013753i,0.0034852-0.019428i,-0.02364+0.0014645i,-0.02263+0.0034267i,0.0076526-0.0064471i,0.018362+0.0028351i,-0.0069647-0.00185i
0.034844-0.01232i,0.015432-0.0065875i,0.022122-0.012795i,0.0132-0.0097259i,0.012107-0.01313i,-0.0026708-0.0064583i,0.015819-0.0019889i,0.0020548-0.016038i,-0.0040261-0.011858i,0.0032758+0.0015064i,-0.0018749-0.00092485i,-0.00099617-0.0019071i,0.0020118+0.0019991i,0.00093034-0.0015183i,0.00014693-0.0012141i,0.0025489-0.0021598i,-0.0050298-0.0030053i,-0.00016275-0.0007561i,0.00073328+0.00071114i,-0.0016393+0.0013548i,-0.0017784+0.0016212i,-0.00055089+0.00034078i,0.000491+0.0012969i,-0.0047908-0.005633i,0.0030499-0.0017453i,-0.00013743-0.0007294i,-0.00069879+0.00065903i,0.0014994+0.00041i,0.0013615+0.00072403i,0.0014243-0.00032731i,0.0018336+0.00094813i,0.0024926+0.0025846i,6.7265e-05+0.0012342i,0.00061361-0.00013593i,0.0010104+0.00050333i,0.0091357+0.0039165i,-0.00031707-0.00025971i,-0.00047181-0.00017732i,0.0019631-0.00038931i,2.8029e-06-2.288e-05i,-0.0015264+0.0013936i,-0.00033149+0.001987i,0.0031058+0.00017028i,0.0011433+0.0016225i,0.016413-0.024027i,0.0090747+0.010751i,0.016797+0.016601i,-0.0024727+0.010829i,0.010178-0.021067i,-0.00078013+0.0037552i,-0.0068462+0.02315i,-0.019199+0.021305i,0.0017941+0.02533i,-0.012947+0.0026242i,0.0056659-0.0071072i,0.0028967+0.003246i,0.004733-0.00098881i,0.0045511+0.013256i,-0.0043555+0.0042137i,-0.010651-0.0073427i,0.0064913-0.0091994i,-0.0052532+0.014329i,0.0010386-0.0024002i,0.00082923+0.00081007i,-0.0011745+0.00018538i,-0.0018749-0.0027052i,0.0048031-0.0036509i,-0.0041469-0.0051315i,0.0025717+0.0025212i,-0.0035048-0.005903i,-0.0039554-0.0021758i,0.0011843+0.003084i,-0.00036802-0.0034883i,-0.00073571-0.0039966i,0.0041156-0.020927i,0.0041073+0.0047247i,-0.00097753-0.0025601i,-0.0038546-0.00065327i,-0.0062353-0.0028079i,0.0045496+0.0077725i,-0.00083852-0.0021376i,0.0023313-0.0021468i,-0.0022115-0.0027244i,0.00036102+0.00029274i,0.0038778+0.00076877i,0.0011901+0.0018676i,0.003038-0.0026476i,-0.0045995+0.0032514i,0.00021029+0.0077017i,0.01085+0.012799i,-0.0075114-0.021879i,-0.027599+0.0035914i,-0.020018+0.0097959i,0.0029986-0.0040802i,0.016151-0.0022189i,-0.0070514-0.0028764i
0.032099-0.017762i,0.014809-0.0094658i,0.018272-0.015499i,0.0087318-0.010962i,0.0090589-0.016078i,-0.0036764-0.0057727i,0.017031-0.0056611i,-0.0011685-0.016011i,-0.0060686-0.011761i,0.0042093+0.00089885i,-0.0013467-0.00014313i,-0.0017432-0.001023i,0.0026126+0.001186i,0.00054544-0.0015897i,7.6957e-05-0.0011809i,0.0028435-0.0024487i,-0.0055802-0.0012333i,-0.00020135-0.00084858i,0.00055333+0.00017926i,-0.0010366+0.0018005i,-0.0012713+0.0018004i,-0.00078212+0.00028022i,0.00083828+0.0011045i,-0.0062103-0.0017771i,0.001989-0.0023689i,-0.0003174-0.0005027i,-0.00035209+0.00080082i,0.0015745+2.7406e-05i,0.0011+0.00051718i,0.0010906-0.00076951i,0.002158+0.0001415i,0.0029924+0.001626i,0.00073834+0.0011903i,0.00071848-0.00022374i,0.0012463+0.00091367i,0.0089483+0.0016277i,-0.00048753+1.9473e-05i,-0.00038764+0.00013471i,0.001805-0.0011847i,0.00046519-0.00019669i,-0.0008102+0.0018582i,0.00030238+0.0019475i,0.0028312-0.00074491i,0.0013481+0.0018908i,0.010414-0.026583i,0.0095489+0.0062247i,0.01862+0.012411i,0.00014013+0.0090083i,0.0036738-0.022778i,-0.00072305+0.0058366i,0.00039069+0.023546i,-0.012021+0.02242i,0.0098594+0.021272i,-0.0095872+0.0070587i,0.0040794-0.0074697i,0.0038749+0.0016466i,0.0039972-0.0022358i,0.0088524+0.0095715i,-0.0015532+0.0053973i,-0.0125-0.00033297i,0.0025663-0.009982i,-0.0010407+0.014311i,-0.00056001-0.0032203i,0.00033842+0.00041912i,-0.0012339+0.00062915i,-0.0017234-0.0023779i,0.003659-0.0034675i,-0.0050655-0.0034002i,0.003053+0.0011581i,-0.0063803-0.0032998i,-0.003484-0.00059164i,0.0019464+0.000996i,-0.0010783-0.0037905i,-0.0021585-0.0034898i,-0.0033791-0.018708i,0.0052879+0.0021759i,-0.0019693-0.0024395i,-0.0041069+0.00087754i,-0.0061216-9.6955e-05i,0.0060205+0.0065597i,-0.0025237-0.0026175i,0.0019527-0.0036617i,-0.0025421-0.0022998i,-7.2813e-06-0.0010757i,0.0043768+0.00010597i,0.0020834+0.0016084i,0.0014777-0.0019797i,-0.0048187+0.0045906i,0.0015513+0.0067418i,0.015307+0.0094337i,-0.0182-0.018534i,-0.03028+0.0073278i,-0.014835+0.012724i,0.001821-0.0019291i,0.011894-0.00501i,-0.0094091-0.0032169i
0.028198-0.022714i,0.0134-0.01284i,0.014902-0.017767i,0.0055205-0.011022i,0.0053538-0.01818i,-0.0045181-0.0051114i,0.016959-0.011146i,-0.0041617-0.015332i,-0.0083639-0.01105i,0.0047719-0.00015539i,-0.00064868-9.8155e-05i,-0.0019153+0.00016987i,0.0026661+0.00027449i,0.00024147-0.0013265i,-8.0003e-05-0.0012718i,0.0028212-0.0031978i,-0.0056569+0.00055957i,-0.0004385-0.0010374i,0.00033182-1.9963e-06i,-0.00037853+0.0019476i,-0.00088267+0.0021798i,-0.00097119+0.00046034i,0.0010438+0.00076645i,-0.0050921+0.0017841i,0.0011587-0.0025421i,-0.00041589-0.0002517i,-3.9338e-05+0.00074142i,0.001323-0.00047483i,0.0012057+0.00040617i,0.00057792-0.0010932i,0.0022135-0.00072387i,0.0034298+0.00080772i,0.0012699+0.0009128i,0.00069442-0.00063823i,0.0021077+0.00073278i,0.0085375-0.00018206i,-0.00034621+0.00037697i,-0.00021171+0.00041469i,0.0010927-0.001586i,0.00087843-0.00064753i,-0.0001104+0.0021179i,0.00087367+0.0017943i,0.0021535-0.0013073i,0.0018082+0.002357i,0.0046483-0.02732i,0.0082013+0.0031627i,0.019627+0.0087255i,0.0015771+0.0081267i,-0.0025877-0.023885i,0.0022914+0.0082529i,0.0070265+0.021241i,-0.0044585+0.021392i,0.016104+0.014721i,-0.0041748+0.0090378i,0.002535-0.0076887i,0.0037315-0.0010595i,0.0030646-0.0037951i,0.010023+0.0042877i,8.3244e-05+0.004675i,-0.011558+0.0065329i,-0.0015904-0.0091109i,0.002374+0.012098i,-0.0026235-0.0025781i,-0.0002394+0.00086714i,-0.00088336+0.0012138i,-0.0013238-0.0024399i,0.0036149-0.0021255i,-0.0046597-0.0018496i,0.0034356+0.00085773i,-0.0068698-6.1895e-05i,-0.0025342+0.00020505i,0.0015043-0.00028095i,-0.0030109-0.0040532i,-0.0032638-0.0024734i,-0.0093658-0.015231i,0.0050615-0.00066001i,-0.0028416-0.0016662i,-0.0030193+0.0021066i,-0.0048902+0.0017958i,0.0078849+0.0050251i,-0.00407-0.0013309i,0.00055207-0.0049755i,-0.0033809-0.0014607i,-0.0012102-0.0014423i,0.004993-0.0016689i,0.0028265+0.0011314i,0.0015109-0.0013309i,-0.0034675+0.0066681i,0.0023213+0.0053204i,0.018501+0.0037377i,-0.024175-0.010139i,-0.032456+0.013101i,-0.010277+0.013585i,0.00078864-0.00014292i,0.0082513-0.0050616i,-0.011129-0.0020574i
