-0.025744-0.0047737i,-0.022016-0.0078711i,-0.013351-0.014314i,-0.03585-0.0087794i,-0.027155+0.0010737i,-0.036543-0.0031415i,-0.069113-0.036823i,-0.034133-0.015079i,-0.023616+0.0026037i,0.0064814+0.0065014i,-0.005364+0.0077029i,-0.0082864+0.018337i,0.0061273+0.0085577i,-0.00081139+0.0034388i,0.0043613+0.0040123i,0.0050641+0.025408i,0.024169+0.019904i,0.0013109-0.0006399i,0.00071834-0.0046332i,0.0088899+0.00013448i,0.0052811-8.321e-05i,0.0021647+0.0015435i,0.0014528-0.00048008i,-0.024847-0.00020214i,-0.0049033-0.0041648i,-0.0006127+0.0031168i,0.0047789-0.0042607i,-0.0018405-0.00051327i,-0.00036758+0.0012351i,-0.0021684-0.0015751i,-0.0039486-0.00047761i,-0.0073213-0.0085655i,-0.0054021-0.0077905i,-0.00065332+0.00017877i,-0.00036342-0.0024219i,0.00026129+0.021421i,0.0028019-0.0040997i,0.00071401-0.0045449i,0.0029922-0.0019508i,-0.0031171-0.0028446i,0.0009147+3.1176e-05i,0.0079853-0.0023351i,0.0030896-0.0022486i,0.00040065+0.0026317i,-0.014181+0.015715i,-0.025289+0.053107i,-0.0070173-0.037141i,-0.015471-0.01869i,-0.040614-0.016141i,-0.027889-0.01193i,0.03372-0.012166i,0.0052272-0.029503i,0.011768-0.038718i,-0.0092585-0.029834i,0.025574-0.023831i,0.013415+0.006877i,0.027519-0.035875i,-0.0016355-0.0042388i,0.0057314-0.0087736i,-0.00068001-0.0058696i,-0.00089772-0.035157i,-0.012918+0.029094i,0.0083894-0.011914i,-0.0085225-0.004433i,-0.0026719-0.0022912i,-0.00050134-0.01555i,-0.0075828+0.0060017i,0.0039001+0.0066825i,-0.00032257+0.028573i,0.0018441+0.00010067i,-0.00715-0.0042688i,-0.0039294-0.0063791i,-0.014666-0.010004i,-0.0025213-0.0059428i,-0.033756+0.0063339i,-0.0052321-0.0085005i,-0.013187-0.00081901i,-0.010638-0.0057254i,0.0014017-0.0015331i,-0.014098+0.0021947i,-0.001871-0.00069069i,0.0054018+0.0057144i,0.0032819-0.0051871i,-0.014219-0.013917i,0.0075881+0.0084033i,-0.015794+0.0054366i,0.0055994+0.00010496i,-0.019014-0.0024759i,-0.015864-0.0039387i,-0.015926-0.035215i,0.020177-0.010568i,-0.039762-0.023246i,-0.0094199+0.0057468i,0.01815+0.014841i,-0.021877+0.017318i,-0.0038215-0.003571i
0.0071972-0.01009i,0.012062+0.0014192i,0.0086723+0.0034743i,0.015531-0.0035819i,0.019246-0.0014491i,0.017042-0.013805i,0.017219-0.0051789i,0.01347-0.0013658i,0.001865-0.00963i,-0.0025777+0.0033799i,-0.00079888-0.00041411i,-0.0013716+0.00018108i,-0.00096098+0.0041583i,-0.0018129+0.0025433i,0.00040177+0.0023528i,0.0012192-0.00036599i,0.0026834-0.0018533i,0.00083772-0.0015732i,-0.00059008-0.0007124i,-9.9729e-05-5.7686e-05i,0.00074239-0.0027366i,-0.0012384-0.0014899i,-0.00060818-0.00049199i,0.0033763+0.0046917i,-0.0018381+0.00053592i,-0.0014293+0.0013722i,-0.0025347+0.00035011i,-0.0019119-8.9594e-05i,-0.0025955-0.0011276i,-0.0022496+0.00046601i,0.0013602-0.0011742i,0.00062709+0.0013623i,0.0013548+0.00023461i,0.0015078-0.00019023i,0.00098428-0.00034596i,-0.01052+0.0064656i,-0.0017086-0.00040832i,-0.0012095+0.00022119i,-0.0028912-0.00028764i,0.001555-0.003161i,0.00011171-0.0010399i,0.0005131-0.0017221i,-0.0012846+0.0022641i,0.0021146+0.00059515i,0.0014403-0.013245i,-0.022446-0.0088321i,-0.001339-0.005315i,-0.0062773+0.0030457i,0.017748+0.020829i,0.0018485+0.0042043i,0.014215-0.01344i,-0.010549-0.026579i,-0.0043182-0.012665i,0.0077376-0.0082449i,0.019097+0.017366i,0.0024098+0.0014303i,-0.0012428+0.00057476i,-0.0057719-0.00051391i,0.010619-0.0034883i,0.013486+0.0078792i,0.002651+0.0049924i,-0.0047074-0.0068697i,0.0061717-0.0037856i,-0.0035093-0.0062489i,0.0030711-0.011343i,0.0063502-0.0064172i,-0.00034567+0.0074621i,0.0094096-0.0078996i,0.0036698-0.0081262i,0.00036746-0.0068441i,-0.0029632-0.0012738i,-0.0063792-0.0065795i,-0.0085242-0.00066514i,-0.00034291-0.00097257i,-0.0087517+0.027261i,-0.0095621-0.0023963i,2.9143e-05+0.0033198i,-0.0037493-0.0044172i,0.00012932+0.00082011i,-0.016539+0.0012309i,-0.0034564+0.0018764i,-0.0017674-0.0018169i,-0.0039458-0.00038506i,-0.0064113-0.0031743i,-0.0013456+0.0049386i,-0.0016066+0.0017615i,-0.0052653+0.0061562i,-0.0053282+0.00053199i,-0.0023546-0.0012429i,0.0080467-0.0025708i,-0.0044842+0.017925i,-0.027837-0.0020841i,-0.010337-0.0034968i,0.011427+0.01567i,-0.0023773+0.016442i,-0.0065806-0.0042002i
0.0056551-0.011787i,0.012259-0.0025338i,0.0091505+0.002282i,0.014199-0.0054084i,0.018933-0.0047282i,0.014374-0.016545i,0.01431-0.0083831i,0.012883-0.003647i,3.5918e-06-0.010028i,-0.0014006+0.0035357i,-0.00055775+0.00012075i,-0.0014544+0.0014386i,0.00026559+0.0041894i,-0.00077361+0.0031258i,0.00092021+0.002235i,0.00095257-5.3659e-05i,0.0014788-0.0023689i,0.00078311-0.0016248i,-0.00067199-0.0011349i,0.0003104-0.00061206i,-3.3724e-05-0.0028736i,-0.0015708-0.001123i,-0.00063412-0.00070818i,0.005737+0.0027345i,-0.0020083+0.0018387i,-0.00067283+0.0018848i,-0.0025116+0.0011406i,-0.0020735+0.00066773i,-0.0034101+0.0002502i,-0.0020035+0.0016486i,0.00066221-0.0014152i,0.00071002+0.00032622i,0.00090404-0.00037886i,0.0011057-0.00072825i,0.00069709-0.0002317i,-0.0076386+0.0093623i,-0.002189+0.00030367i,-0.0012455+0.0009818i,-0.0029321+0.0010084i,0.00051184-0.0032336i,2.3414e-05-0.0011159i,-0.00015345-0.0015919i,-0.00076706+0.002589i,0.0017085+0.00060122i,-0.00023857-0.012628i,-0.02063-0.0063773i,-0.0028075-0.0027104i,-0.0030655+0.00092527i,0.0261+0.013886i,0.0053255+0.0017769i,0.0079759-0.016807i,-0.018459-0.026232i,-0.008974-0.013498i,0.010605-0.01537i,0.020776+0.0098699i,0.00089654+0.00022518i,-0.00042+0.002675i,-0.0052656+0.0013i,0.0075385-0.0070743i,0.014696+0.0038235i,0.0054329+0.0056732i,-0.0086334-0.005369i,0.0023541-0.0052108i,-0.0046238-0.0041867i,-0.0024118-0.010126i,0.0034731-0.0078493i,0.0030505+0.0055114i,0.0048775-0.0094535i,-0.0005177-0.007364i,-0.0030873-0.0036987i,-0.002127-0.00017639i,-0.0079711-0.0042148i,-0.0059383+0.0031535i,0.00016456-0.00072452i,0.0047266+0.026329i,-0.010278+0.00090334i,0.00096276+0.0021516i,-0.005777-0.0022624i,0.00052763+0.00037561i,-0.014232+0.0086097i,-0.0025265+0.0031227i,-0.0023045-0.00023868i,-0.0027398+0.0006132i,-0.0068269-0.00084268i,0.00010156+0.0023449i,-0.00068638+0.0015463i,-0.0014712+0.0076233i,-0.0037322+0.0019787i,-0.003584-0.001109i,0.0088612-0.0088397i,-0.00078637+0.019612i,-0.02806+0.0031711i,-0.011687-0.0050419i,0.013338+0.01358i,0.00034075+0.018091i,-0.0086618-0.0033859i
0.003133-0.013074i,0.010188-0.0069572i,0.010113+0.00023355i,0.013254-0.007285i,0.01834-0.0079536i,0.011176-0.019176i,0.010916-0.011035i,0.012049-0.0059527i,-0.0018489-0.0095158i,-0.00081065+0.0035476i,-0.00039865-1.4766e-05i,-0.00075519+0.002343i,0.0013241+0.0036238i,0.00028534+0.0028305i,0.0014446+0.0020212i,0.00084773+0.00013841i,0.00032243-0.0022743i,0.00061562-0.0021106i,-0.001123-0.0012162i,-3.66e-05-0.001471i,-0.001007-0.0029726i,-0.001505-0.00060301i,-0.00097526-0.00090267i,0.0061207-0.00038161i,-0.00099729+0.0028856i,-0.00015288+0.0020072i,-0.0022497+0.0024279i,-0.0017791+0.0015209i,-0.0031837+0.0021382i,-0.001204+0.0025742i,5.4738e-05-0.0012897i,4.6013e-06+0.00055172i,0.00056275-0.00048851i,0.00059554-0.0009888i,0.00067778-0.00014925i,-0.0042613+0.011087i,-0.0021531+0.0016737i,-0.00069927+0.0014382i,-0.002406+0.0024305i,-0.00049741-0.0031225i,-4.6023e-05-0.0013113i,-0.00039951-0.0013433i,-0.00025859+0.00292i,0.0018902+0.00089155i,-0.0010519-0.011827i,-0.019496-0.0030329i,-0.0012011+0.0006434i,-0.00062535-0.0021701i,0.032922+0.0035318i,0.0081721-4.9518e-05i,0.0015674-0.017295i,-0.025069-0.023036i,-0.013123-0.011045i,0.0091044-0.023536i,0.01915+0.0033121i,-0.00094346+0.00019169i,-0.00078791+0.0019595i,-0.0053685+0.0022704i,0.0022237-0.010017i,0.014737-0.00084709i,0.0079861+0.0044993i,-0.011345-0.0021786i,0.00072253-0.00423i,-0.0051121-0.0016268i,-0.0051641-0.0070339i,0.00083813-0.0078419i,0.0050897+0.0044143i,0.0019722-0.0090205i,-0.0035412-0.0050167i,-0.0026989-0.00027848i,-0.0018866-0.00029893i,-0.0096745-0.00073544i,-0.0030393+0.0040843i,-0.00051337-0.0011638i,0.014901+0.0196i,-0.0097717+0.0051739i,0.0015737+0.0015247i,-0.0046649+0.00023198i,0.00099562-0.00067266i,-0.0078489+0.013505i,-0.00074288+0.004277i,-0.0025891+0.00052933i,-0.0024345+0.0014403i,-0.0067907+0.002271i,-0.00073264+0.0022343i,-0.00026916+0.0010918i,0.001857+0.007418i,-0.0027619+0.0013702i,-0.0049354+0.00020567i,0.0058245-0.013879i,0.0081586+0.018155i,-0.026339+0.0064577i,-0.013745-0.0057292i,0.015987+0.0095447i,0.0050063+0.019657i,-0.0099644-0.0020944i
0.00038969-0.01324i,0.0062846-0.0089191i,0.0098446-0.0024258i,0.01195-0.0094374i,0.016885-0.01128i,0.0071802-0.020827i,0.0071573-0.012153i,0.010608-0.0080866i,-0.0030662-0.0088453i,-0.00030802+0.003844i,-0.00059794+0.00011315i,0.00027775+0.0026135i,0.0016791+0.002944i,0.0006785+0.0025871i,0.0017877+0.0016803i,0.00079886+0.00044218i,-0.0005516-0.001599i,0.00019925-0.0023852i,-0.0011546-0.00099351i,-0.00097965-0.0017888i,-0.0018579-0.0023811i,-0.0014815-0.00041547i,-0.0015218-0.00077168i,0.0050195-0.0027523i,0.00025968+0.003145i,0.00050547+0.0022547i,-0.00092471+0.0035311i,-0.0012158+0.0021162i,-0.0018541+0.0034359i,-2.4428e-06+0.0029373i,-0.00036803-0.00099407i,0.00038472+0.000961i,0.00029434-0.00056713i,1.5017e-05-0.0010481i,0.00067713-0.0002312i,-0.00056515+0.011727i,-0.0011439+0.0028098i,-0.00025988+0.0015595i,-0.0012573+0.0034423i,-0.0013859-0.0027901i,-0.00050234-0.0014849i,-0.00055467-0.0012653i,0.00048517+0.0032146i,0.0022924+0.00087306i,-0.0013263-0.011984i,-0.016025-2.5904e-05i,0.0023144+0.0023155i,-0.0015089-0.0062362i,0.035562-0.010339i,0.010228-0.0044215i,-0.0043414-0.014618i,-0.03101-0.01709i,-0.015281-0.00601i,0.0032133-0.030317i,0.016615-0.0016339i,-0.0018742+0.0014779i,-0.00073544+0.0044449i,-0.00499+0.0039816i,-0.0041524-0.0082735i,0.013168-0.0060498i,0.010021+0.0018807i,-0.012313+0.001966i,-0.0005507-0.0040389i,-0.0041456+0.00045408i,-0.0061951-0.0032177i,-0.0011894-0.0075484i,0.006272+0.0011927i,-0.00032249-0.0085685i,-0.0043791-0.0012608i,-0.0012588+0.0014629i,-0.0022215-1.0198e-05i,-0.0087665+0.0034077i,-0.0007235+0.004612i,-0.0011949-0.0011258i,0.019908+0.0099751i,-0.0067678+0.0095315i,0.0019568+0.00060247i,-0.0034993+0.0020691i,0.00013765-0.0016659i,-0.0010819+0.013577i,0.0016547+0.0036749i,-0.0023309+0.0022891i,-0.0016132+0.0027173i,-0.0040831+0.0050358i,-0.00050657+0.0029139i,-0.00056954+0.00056223i,0.0051378+0.0061088i,-0.0029814+0.00066382i,-0.0057368+0.0023593i,0.0019981-0.015113i,0.017135+0.0089789i,-0.023368+0.010442i,-0.017272-0.0045065i,0.015053+0.0053009i,0.010455+0.018144i,-0.0095057-0.00103i
-0.0017333-0.012762i,0.0036298-0.0086964i,0.0088647-0.0044259i,0.010418-0.011414i,0.014861-0.014191i,0.0033096-0.021645i,0.0040208-0.011991i,0.0088782-0.009695i,-0.0039957-0.0080674i,0.00045883+0.0040044i,-0.00080715+0.00037396i,0.0011881+0.0023295i,0.0018049+0.002678i,0.00094307+0.0023876i,0.0020529+0.0013956i,0.0011287+0.000885i,-0.00071723-0.00075062i,-0.00045764-0.0026532i,-0.0014748-0.001102i,-0.0019143-0.0014847i,-0.002397-0.0019005i,-0.001463-0.00021776i,-0.0019461-0.00028274i,0.0032511-0.0041337i,0.0014395+0.0029158i,0.0014404+0.0021709i,0.00057765+0.0037824i,-0.00054032+0.0025743i,-0.00022437+0.0039575i,0.0012558+0.0027694i,-0.00046493-0.00068278i,0.00078844+0.00098441i,-4.5706e-06-0.00049223i,-0.00053097-0.00053426i,0.00073419-0.00021775i,0.0030095+0.011326i,0.00011667+0.0033488i,0.00012048+0.0017564i,0.0003126+0.0039265i,-0.0019923-0.0022277i,-0.00090877-0.0015191i,-0.00090274-0.0012295i,0.0013881+0.0031246i,0.0025877+0.00029747i,-0.0024387-0.012665i,-0.011707+0.00059862i,0.0065919+0.0014775i,-0.0038151-0.0073593i,0.031502-0.023525i,0.0096817-0.008881i,-0.0069908-0.01012i,-0.033667-0.008756i,-0.014833+0.00030152i,-0.0050783-0.032754i,0.012659-0.0047226i,-0.0015056+0.0026857i,0.0021258+0.0049589i,-0.0040135+0.0052991i,-0.0069615-0.003857i,0.0090433-0.011i,0.010783-0.0019107i,-0.0115+0.0061188i,-0.0014102-0.0027099i,-0.0027167+0.0012266i,-0.0048292-0.00091263i,-0.0039375-0.0063002i,0.0055574-0.0010326i,-0.0023954-0.0073835i,-0.0030594+0.0012089i,0.00068796+0.0018218i,-0.0021406+0.00051345i,-0.0060128+0.0060888i,0.0019641+0.003765i,-0.0015025-5.8513e-05i,0.020078+0.00070444i,-0.0014713+0.011269i,0.0016167-0.00019676i,-0.0014943+0.0022816i,-0.00079381-0.0013375i,0.0033733+0.011472i,0.002588+0.0023612i,-0.00059267+0.0042571i,0.0005203+0.0035391i,-0.00031204+0.0052733i,0.00073354+0.003219i,-0.0015055+0.00085646i,0.0065845+0.0031825i,-0.0040141+0.00080735i,-0.0046952+0.0047933i,-0.00013859-0.014831i,0.017919-0.0052409i,-0.018032+0.010777i,-0.019905-0.0019043i,0.0149+0.0018841i,0.014578+0.013742i,-0.010372-0.0011611i
-0.0034733-0.0121i,0.0023381-0.0085092i,0.0080066-0.0059966i,0.0086016-0.0135i,0.0125-0.016822i,-0.00078369-0.021959i,0.0019627-0.011182i,0.0071405-0.010939i,-0.004487-0.0073961i,0.0011247+0.0039217i,-0.00081447+0.00091157i,0.001879+0.0019415i,0.002234+0.0026837i,0.0013071+0.0023718i,0.0024053+0.00096542i,0.0019031+0.0011559i,-0.00039728-0.00025875i,-0.001372-0.0027513i,-0.0021213-0.00090696i,-0.0026259-0.00077645i,-0.0028332-0.0013458i,-0.0013607-5.8841e-05i,-0.0021212+0.00035007i,0.0010239-0.0047837i,0.0025593+0.0022621i,0.0023189+0.0015798i,0.0019846+0.0033378i,0.00043238+0.0029171i,0.0013543+0.0037914i,0.0022613+0.0020671i,-0.00051438-0.00048624i,0.0013214+0.00085053i,-0.00023066-7.043e-05i,-0.00048885+8.0215e-05i,0.00080915-0.0004461i,0.0061136+0.0098676i,0.0016072+0.003262i,0.00083591+0.001906i,0.0019319+0.0035644i,-0.002317-0.0016061i,-0.0015054-0.0014215i,-0.00134-0.0011095i,0.0021625+0.0027642i,0.0026939-6.1193e-05i,-0.003787-0.013196i,-0.008492-0.00068374i,0.0099862-0.0018819i,-0.0056474-0.0068898i,0.024057-0.033609i,0.0073738-0.011999i,-0.0067972-0.0059417i,-0.032052-9.7687e-05i,-0.01008+0.0065798i,-0.012772-0.030735i,0.0091015-0.0058669i,-0.00059194+0.0034387i,0.0039976+0.0035563i,-0.0028123+0.0068009i,-0.0074706-0.00035592i,0.0025844-0.013877i,0.0089517-0.0060842i,-0.0094999+0.0088752i,-0.0011471-0.0016246i,-0.0018386+0.0010441i,-0.003827-0.00022385i,-0.0051096-0.0034793i,0.0040627-0.0020662i,-0.0037203-0.0056896i,-0.00079149+0.0019086i,0.0024071+0.00052076i,-0.0018571+0.0012103i,-0.0031981+0.0070387i,0.0028378+0.0018105i,-0.00064117+0.00086376i,0.016692-0.006815i,0.0033908+0.010445i,0.0013958-3.3362e-05i,-0.00050751+0.0020203i,-0.0011773-0.0002716i,0.0067944+0.008669i,0.0035871+0.0012911i,0.0024205+0.004092i,0.0021785+0.002321i,0.002404+0.0040586i,0.0016085+0.0029404i,-0.0016974+0.0022786i,0.0064476+0.0007613i,-0.005265+0.0016704i,-0.0026095+0.0060499i,-0.00157-0.015375i,0.010173-0.015706i,-0.015475+0.0068395i,-0.022489+0.0024574i,0.012884-0.0032051i,0.016097+0.0092374i,-0.011469+4.5917e-05i
-0.0051726-0.011017i,0.00083026-0.0086994i,0.006743-0.0083174i,0.0059357-0.015546i,0.0096034-0.019243i,-0.0051707-0.02116i,0.00074394-0.010544i,0.0053384-0.01215i,-0.0049319-0.0068443i,0.0016469+0.004178i,-0.00067664+0.0013096i,0.0021887+0.0010382i,0.0028427+0.0024226i,0.0017238+0.0022548i,0.0026157+0.00047766i,0.0027042+0.00073447i,-0.00024999-0.00014519i,-0.0025202-0.0025016i,-0.0025143-0.00023644i,-0.0031363+0.00024948i,-0.0033735-0.00064519i,-0.0012872-9.4769e-05i,-0.0021162+0.0010446i,-0.0012172-0.0044132i,0.0033381+0.00084614i,0.0028014+0.00069279i,0.0029033+0.0025521i,0.0016358+0.0027998i,0.0029003+0.0029553i,0.0029082+0.00098142i,-0.00046777-0.00034692i,0.0016071+0.00054776i,-0.00014878+0.0003982i,-0.00014169+0.00046466i,0.00068103-0.00083814i,0.0085617+0.0073963i,0.0028005+0.002434i,0.0015599+0.0015253i,0.003315+0.0025206i,-0.0023513-0.0010266i,-0.002113-0.00090056i,-0.0016825-0.00077672i,0.0029788+0.0021056i,0.0025392-0.00049272i,-0.0056986-0.013483i,-0.006441-0.0027403i,0.01123-0.006302i,-0.0057762-0.0051257i,0.014002-0.040215i,0.0044994-0.013703i,-0.0053669-0.0039828i,-0.027172+0.0057246i,-0.0020958+0.0087887i,-0.018528-0.026107i,0.006224-0.0057533i,0.0004454+0.0035323i,0.0041177+0.0014727i,-0.00066766+0.0075452i,-0.0073603+0.0028887i,-0.0050649-0.012736i,0.0054239-0.0082545i,-0.0069784+0.011362i,-0.00040689-0.0019365i,-0.0016288+0.00085778i,-0.0037032+4.5269e-05i,-0.0047123-0.0012485i,0.0031386-0.0021894i,-0.0044698-0.0045392i,0.00051089+0.0013135i,0.002715-0.0017669i,-0.0013646+0.0018216i,0.00013608+0.0070801i,0.0025059+0.00033858i,0.000122+0.00053409i,0.011394-0.011265i,0.0072204+0.0078465i,0.0019393-0.00025717i,0.00071531+0.0011985i,-0.00027753+0.00039761i,0.0083245+0.0051694i,0.0045047-0.00097105i,0.0043959+0.0026053i,0.0028496+0.0012395i,0.003706+0.0020198i,0.0030254+0.0025421i,-0.00064264+0.0036375i,0.0059908-0.00098035i,-0.0057561+0.0035332i,-0.00049291+0.0059258i,-0.0029837-0.01527i,0.00031186-0.021478i,-0.018271+0.0037575i,-0.022286+0.0081597i,0.0066825-0.0058048i,0.016984+0.0050626i,-0.011407+0.0011457i
-0.0060195-0.0097377i,5.0792e-05-0.0080399i,0.00435-0.009789i,0.0023619-0.016796i,0.0060864-0.021055i,-0.008893-0.019131i,0.00016134-0.010156i,0.0032839-0.01311i,-0.0052608-0.006575i,0.0028951+0.0044407i,-0.00035896+0.0019807i,0.0021618+0.00053441i,0.0034866+0.0019382i,0.0022945+0.002116i,0.0027076-0.0001319i,0.0030915+0.00020421i,-0.00039883-3.2549e-05i,-0.0035504-0.0015247i,-0.0024821+0.00047208i,-0.0030247+0.0015786i,-0.0036084+0.00051267i,-0.0017088-0.00019184i,-0.0018092+0.0017772i,-0.0030949-0.0030298i,0.0031241-0.00063805i,0.0028664-0.00035305i,0.0038284+0.0013288i,0.0027148+0.0021143i,0.0037741+0.0014246i,0.0030139-0.00022158i,-0.00045434-0.00029629i,0.0017757-0.00013192i,0.00033627+0.00065638i,0.00036213+0.00052517i,0.00027736-0.00085782i,0.0099569+0.0042288i,0.0035331+0.0011403i,0.0020612+0.00098489i,0.0041162+0.00091075i,-0.0023599-0.00043475i,-0.0024337-3.3415e-05i,-0.0019268-0.00037371i,0.0034269+0.0010969i,0.002394-0.00093038i,-0.0078129-0.013264i,-0.0055686-0.006046i,0.01021-0.010449i,-0.0042753-0.0047493i,0.0034202-0.042242i,0.0012917-0.013991i,-0.0043016-0.002902i,-0.022346+0.008103i,0.0056259+0.0064153i,-0.021318-0.019981i,0.0049606-0.0054643i,0.001611+0.0029334i,0.0035871+0.00027498i,0.002+0.0072214i,-0.0055599+0.006334i,-0.010561-0.0075493i,0.001801-0.0084161i,-0.0036153+0.012839i,-0.0012682-0.002801i,-0.0015661+0.00098951i,-0.0037889+0.00074296i,-0.0036023+0.00025226i,0.0021039-0.0022925i,-0.0052007-0.0030472i,0.0010063+0.00048479i,0.00049025-0.0034038i,-0.00031269+0.0021731i,0.0030104+0.0052508i,0.0026499-0.00060154i,0.00037697+0.00011432i,0.0055206-0.012871i,0.0093442+0.0038829i,0.0020851-0.0013258i,0.00059843+0.00013965i,0.0007228+0.00034341i,0.0083474+0.0021515i,0.0036426-0.0038426i,0.0059012+0.00060274i,0.0035165+0.00020913i,0.0043805-0.00016888i,0.0038545+0.0011972i,0.0011267+0.0039395i,0.0045379-0.0025487i,-0.0051599+0.0058733i,0.0012326+0.0048947i,-0.0035858-0.014953i,-0.011794-0.022505i,-0.021939+0.0044584i,-0.018813+0.013343i,0.0018838-0.0037456i,0.0157-0.00019351i,-0.011044+0.0012907i
-0.006427-0.0090929i,2.539e-05-0.0083883i,0.0021937-0.010067i,-0.0012081-0.01663i,0.0023708-0.022153i,-0.011545-0.016778i,-8.3754e-05-0.010662i,0.0010722-0.013736i,-0.0057519-0.0063856i,0.0044475+0.0037892i,0.00055268+0.0024627i,0.0021172+0.0002724i,0.0041124+0.0010464i,0.0029249+0.0016516i,0.0026467-0.00080462i,0.0034291-0.00017458i,-0.00035822+0.00025887i,-0.0038582-0.00029437i,-0.002401+0.00099753i,-0.0023031+0.0025641i,-0.0034228+0.001533i,-0.002162+0.00037592i,-0.0011654+0.0023632i,-0.0042188-0.00093131i,0.0024836-0.0015756i,0.0025411-0.0013219i,0.0040326-0.00033636i,0.003474+0.00095335i,0.0037311-3.5494e-06i,0.0027029-0.0012959i,-0.00037934-0.0001216i,0.0013378-0.00064501i,0.00092037+0.0004564i,0.00076368+0.00036423i,2.065e-05-0.00069673i,0.0098532+0.00095471i,0.0035488-0.00032118i,0.002467+0.00024479i,0.0040572-0.00086975i,-0.0021347+0.00024244i,-0.0021867+0.00079242i,-0.0020981+0.00015801i,0.0033426+5.7387e-06i,0.0021217-0.0013345i,-0.010028-0.012545i,-0.0078849-0.0090719i,0.0077091-0.013469i,-0.0035723-0.00569i,-0.0053939-0.041359i,-0.00085283-0.012263i,-0.0029124-0.0020697i,-0.018598+0.0096499i,0.010297+0.0013536i,-0.020735-0.014107i,0.0037867-0.0060471i,0.0022824+0.0015874i,0.0034913-0.00085096i,0.0043866+0.005447i,-0.0022678+0.0074244i,-0.012059-0.0013487i,-0.0012959-0.0075981i,0.00014461+0.012698i,-0.0029676-0.002781i,-0.0019563+0.0015737i,-0.0035802+0.0017279i,-0.0026556+0.0010884i,0.0015355-0.0013273i,-0.005475-0.0011091i,0.00074936-0.00023337i,-0.001397-0.0025708i,0.00072722+0.0019498i,0.0040947+0.0026612i,0.002633-0.0019602i,0.00054038+0.00014649i,0.00050512-0.012135i,0.0096531-0.00044132i,0.0013649-0.0021776i,0.00031665+8.8105e-05i,0.0015613-0.00031201i,0.0080295-0.00010091i,0.0010797-0.0054333i,0.0062606-0.0023854i,0.0033989-0.0016452i,0.003693-0.0027511i,0.0042351-4.6158e-05i,0.0024531+0.0033886i,0.0026619-0.0026588i,-0.003444+0.0074461i,0.0019831+0.003454i,-0.0037496-0.015772i,-0.022942-0.01714i,-0.024741+0.0072702i,-0.013835+0.014822i,0.00080701-0.001449i,0.012405-0.0034173i,-0.012548+0.0016725i
-0.0074159-0.0085943i,-0.00060853-0.0096698i,0.0006046-0.01002i,-0.0042432-0.015577i,-0.0015775-0.022724i,-0.013929-0.014307i,-0.0009093-0.012258i,-0.0013347-0.014046i,-0.0065635-0.0061796i,0.0055465+0.0025978i,0.001691+0.0023089i,0.0021203+0.00012893i,0.0043383-0.00018371i,0.0034796+0.00097369i,0.0023845-0.0015018i,0.0036964-0.00071259i,-0.00025416+0.00042113i,-0.0038218+0.00087361i,-0.0021444+0.0017034i,-0.0013268+0.0031719i,-0.0029484+0.0026422i,-0.0021491+0.0012951i,-0.00046373+0.0026045i,-0.0041156+0.0014483i,0.00174-0.0021347i,0.0018739-0.0020269i,0.0034944-0.0019005i,0.0035451-0.00046553i,0.0033561-0.0012355i,0.0019926-0.0022066i,-0.00016467-0.00012368i,0.00099226-0.00071087i,0.0011872-6.1037e-05i,0.0010879-0.00017551i,3.5672e-06-0.00058258i,0.0088609-0.0017683i,0.0032034-0.0015822i,0.0026323-0.00073156i,0.0032105-0.0023812i,-0.0015957+0.00087221i,-0.0017382+0.0015242i,-0.00208+0.00078032i,0.002889-0.00075443i,0.0016798-0.001303i,-0.012156-0.011379i,-0.011737-0.0090896i,0.0049846-0.01493i,-0.0037966-0.0057949i,-0.013472-0.039908i,-0.00096309-0.01039i,-0.0013134-0.0022652i,-0.014188+0.010561i,0.013168-0.004963i,-0.018171-0.010826i,0.0023135-0.0065601i,0.0017536-0.00059226i,0.003006-0.0021506i,0.0049163+0.0027986i,-0.00022232+0.0068121i,-0.011061+0.004279i,-0.0038437-0.0057266i,0.0028398+0.010544i,-0.0046735-0.001262i,-0.0018467+0.0029603i,-0.0030506+0.0027984i,-0.0012367+0.0013384i,0.0023006+0.00021809i,-0.0046446+0.00030111i,0.0007122+6.5043e-05i,-0.0019154-0.0015048i,0.0015072+0.0013834i,0.0040016+0.00072222i,0.00091502-0.0035834i,0.00081799-0.00012353i,-0.0035973-0.010447i,0.0083395-0.0041102i,0.0006357-0.0025726i,0.00084969-0.00011502i,0.0014752-0.0014852i,0.0075282-0.0024296i,-0.001376-0.0050315i,0.0047419-0.0052555i,0.0020571-0.002694i,0.0015183-0.0040697i,0.0042442-0.0016471i,0.003482+0.0025094i,0.0021073-0.0022828i,-0.00083782+0.0079264i,0.001602+0.0019408i,-0.0047075-0.017753i,-0.027876-0.0073268i,-0.026802+0.011886i,-0.0099921+0.015104i,-0.00019422+0.00056878i,0.0091669-0.0045241i,-0.013464+0.0034208i
