0.0012342-0.042122i,-0.0021701-0.046067i,-0.0070516-0.047632i,-0.030335-0.023296i,-0.022598+0.010489i,-0.036461-0.033243i,-0.062785-0.058399i,-0.019408-0.070408i,-0.022792-0.044129i,-0.0020278+0.015447i,-0.010011+0.013154i,-0.014461+0.013345i,0.003775+0.014067i,-0.0026511-0.0018841i,0.0022275+0.0056624i,-0.00058717+0.033587i,0.020106+0.057995i,0.00088199-0.00035315i,-0.0028826-0.0090626i,0.0076461+0.0041254i,0.001838+0.0015439i,-0.00024349+0.0029728i,-0.00017145-0.00061657i,-0.036844-0.0097393i,-0.0024678-0.0074593i,-0.00060189+0.0048486i,0.0049426-0.00033515i,-7.7454e-05+0.00048243i,0.00070772-0.0008318i,0.00064048-0.0021641i,-0.0017066-0.0058993i,-0.002972-0.0060574i,-0.00080094-0.0071255i,0.0031828-0.00090894i,0.0035197-0.0013558i,-0.0018745+0.038527i,0.00657-0.00341i,0.003791-0.00094805i,0.0054375+0.00033999i,-0.012385-0.0066909i,-0.00075662+0.00069551i,0.0090354-8.8716e-05i,0.003651+0.0014622i,-0.0053995+0.0013778i,0.0013557+0.010419i,-0.0055751+0.017617i,0.026209-0.081471i,-0.00013908-0.05495i,-0.023019-0.043622i,-0.019609-0.037607i,0.063258-0.016466i,0.029898-0.057457i,0.039031-0.045027i,0.033769-0.052717i,0.019904-0.015196i,0.0077374+0.011878i,0.024204-0.034545i,-0.0084809-0.0055172i,0.0031639-0.0014887i,-0.0023215-0.0049008i,0.0055427-0.032235i,-0.025481+0.03186i,0.0086205-0.010171i,-0.012531-0.0026618i,-0.0045794-0.001541i,0.00023295-0.014903i,-0.010119+0.0050517i,0.0035026+0.0064661i,-0.014223+0.03063i,0.0054432+0.0066301i,-0.0056498-0.0018512i,-0.00095863-0.0020938i,-0.012022-0.0079949i,0.0002088-0.0036794i,-0.03616+0.0067055i,0.0018915-0.012384i,-0.0094489-0.0026031i,-0.0071604-0.0030757i,0.006578+0.0019692i,-0.0093106+0.0022781i,-5.2695e-05+0.0019804i,0.0057929+0.0097415i,0.0048319+0.00059069i,-0.0094847-0.010559i,0.0016077+0.0082154i,-0.020117+0.0054913i,0.0069816+0.0036039i,-0.028307-0.0090986i,-0.036222-0.0023068i,0.027699-0.077537i,0.013947-0.0091169i,-0.042683-0.028187i,-0.024809-0.0061408i,0.01737+0.012189i,-0.026957+0.011162i,-0.012427-0.0097524i
-0.015726+0.033455i,-0.0013753+0.058225i,0.031642+0.038343i,0.0040933+0.012035i,-0.0024649+0.0050594i,0.031667-0.0064708i,0.010492+0.016051i,0.011699+0.048486i,0.005334+0.018737i,-0.003409+0.0058637i,0.0007717+0.0015326i,0.0026512-0.0044289i,0.0021489-0.0023691i,0.003185-0.0011025i,0.0036514-0.0015073i,0.0065334+0.0006113i,0.011502-0.0072226i,-0.0022251-0.00066384i,-0.004327+0.0009131i,0.00030777+0.0022604i,-0.0012952-0.0001531i,-0.0044473-0.0016843i,-0.0025934+0.00041644i,0.0055002+0.0084747i,0.0012976+0.0029045i,0.0023247+0.00091797i,0.0017395+0.0014501i,-0.00084795+0.0032332i,1.8139e-05+0.00096805i,-0.00074804+0.00087058i,0.00095679-0.0028139i,-0.00085966-0.00181i,-0.00069139-0.00023884i,0.00039089+0.0002308i,6.644e-05-0.0021477i,-0.0075422+0.013919i,0.0030501+0.00017573i,0.00053381-0.00047524i,0.00056142+0.0030112i,-0.0015949-0.0050152i,-0.0015485-0.00012978i,-0.002546-0.0011256i,-0.00017396+0.0058842i,0.0037487+0.0017046i,-0.031393+0.015079i,-0.073757+0.016561i,-0.043917+0.03944i,-0.020785+0.035224i,-0.0023539+0.049906i,-0.0092197+0.030431i,0.0099757+0.0084948i,-0.0086065-0.0084805i,-0.037597-0.0038477i,-0.043798+0.013884i,0.0085272+0.022505i,-0.0027336+0.0038499i,-0.0031627+0.0037198i,-0.013846-0.0029145i,0.0098418+0.0017034i,0.011819+0.015893i,-0.0034284+0.0090677i,-0.0075163-0.011036i,0.0064387-0.0028579i,-0.006391-0.0046814i,0.0034028-0.007707i,0.0061795-0.0022292i,-0.00056617+0.010043i,0.013622-0.005572i,0.0075232-0.0071154i,0.0057276-0.0067151i,0.0034971-0.0010229i,-0.0026914-0.0072735i,-0.0043718-0.0017962i,0.0022004-0.00094498i,-0.010076+0.03758i,-0.0056548-0.0048887i,0.0013508+0.00054157i,-0.0001794-0.0082372i,0.0038145-0.0013783i,-0.013565-0.0050312i,0.0012032-0.00040428i,0.0035386-0.0035838i,0.0022258-0.0022514i,0.00027189-0.0058011i,-0.00073031+0.0068765i,-0.00014403+0.0039665i,-0.0031617+0.0050909i,-0.011496-0.0013308i,-0.0090321+0.0023198i,-0.035616+0.040087i,-0.0080514+0.016408i,-0.023284-0.0058748i,-0.00058936-0.00061432i,0.01008+0.020411i,-0.00097907+0.020463i,-0.0054576-0.00073121i
-0.010124+0.032564i,0.0080039+0.055669i,0.037843+0.032553i,0.0065048+0.011919i,0.0011433+0.0059218i,0.029965-0.013296i,0.011642+0.013237i,0.019109+0.045324i,0.0078922+0.017598i,-0.0012939+0.0061357i,0.0017022+0.0013952i,0.00031453-0.0036929i,0.0012323-0.0021045i,0.0027102-0.00091011i,0.0030618-0.0020254i,0.0061612-0.00030781i,0.0080036-0.0091279i,-0.0017213+0.00013218i,-0.0042163+0.001041i,0.0012806+0.0012829i,-0.001365-0.00013923i,-0.0047655-0.00041823i,-0.0023954+0.00066073i,0.0093751+0.0049786i,0.0017218+0.0035127i,0.0030079-0.0002009i,0.0019711+0.00052418i,0.00043406+0.0031277i,-0.00010514+0.0011652i,-0.00051863+0.0012951i,-0.00037487-0.0025722i,-0.0017127-0.0018361i,-0.00090695-3.0034e-05i,0.00048243-3.1158e-05i,-0.00085769-0.00069646i,-0.0022095+0.014847i,0.0024116-0.00096304i,0.00035349-0.00034823i,0.0018693+0.0021256i,-0.0027609-0.0035145i,-0.001409+0.00016734i,-0.0029925-0.00035101i,0.0011627+0.0060059i,0.0028946+0.0010215i,-0.026959+0.020846i,-0.066778+0.028471i,-0.039471+0.047255i,-0.013074+0.037538i,0.01106+0.045601i,-0.00061943+0.027848i,0.005179+0.0018886i,-0.015848-0.011315i,-0.039849-0.0021297i,-0.034829+0.014991i,0.014059+0.018497i,-0.0026792+0.0044819i,-0.0015558+0.0069455i,-0.013798+0.0027309i,0.0082748-0.0021053i,0.015541+0.01228i,0.0011692+0.013193i,-0.012664-0.0086876i,0.002733-0.0040687i,-0.0061026-0.0012936i,-0.00098584-0.006957i,0.0044478-0.0047938i,0.003694+0.0074154i,0.0084735-0.0090754i,0.0022064-0.0085739i,0.0023246-0.0054211i,0.0041866-0.0022832i,-0.0043737-0.0057247i,-0.0026236+0.0010108i,0.0029665-0.00092323i,0.0096291+0.036282i,-0.0069162-0.0036431i,0.0019441-0.001288i,-0.0039696-0.007081i,0.0039485-0.002656i,-0.013747+0.001371i,0.0017579+7.6918e-05i,0.0017457-0.0031946i,0.0023201-0.0032657i,-0.00084862-0.0054755i,0.0014977+0.0032051i,0.0014914+0.0031169i,-8.6567e-05+0.0058901i,-0.010486+0.0026417i,-0.0089095+0.0040564i,-0.027001+0.040564i,-0.0059802+0.019126i,-0.025015-0.00099884i,-0.001365-0.0049594i,0.012944+0.019495i,0.0035305+0.021824i,-0.0079011-0.0007778i
-0.0058648+0.031889i,0.015579+0.051262i,0.043881+0.024513i,0.010204+0.0095745i,0.0057208+0.0047744i,0.026482-0.019963i,0.011908+0.010295i,0.026452+0.040549i,0.010826+0.016659i,8.6005e-05+0.0060159i,0.0019879+0.00050152i,-0.00048999-0.0020067i,0.00039754-0.0022731i,0.00264-0.0012628i,0.0024265-0.0024486i,0.0056655-0.0011234i,0.004802-0.0098794i,-0.0015849+0.0003193i,-0.0044341+0.0024294i,0.0012693-0.0001728i,-0.0018922-5.9704e-05i,-0.0044309+0.0010519i,-0.0024298+0.00097248i,0.0098198-0.00021176i,0.0037062+0.0028372i,0.0023599-0.001626i,0.0018042-0.00021197i,0.0016237+0.0023476i,0.00032915+0.0013417i,-0.00028237+0.0015394i,-0.0013616-0.0016954i,-0.0027828-0.00040328i,-0.00079795+0.00036113i,0.00024476-0.00032079i,-0.00037542+0.00031751i,0.0022717+0.013924i,0.0016139-0.0013428i,0.00024022-0.00046151i,0.0020658+0.0010625i,-0.0034902-0.0022181i,-0.0013021+0.00037415i,-0.0029907+0.00063923i,0.0027728+0.0062171i,0.0027083+0.0011891i,-0.020351+0.024516i,-0.058381+0.038618i,-0.031066+0.054726i,-0.0044309+0.03733i,0.022867+0.036953i,0.0069559+0.025482i,-0.0014295-0.00065411i,-0.022654-0.0097068i,-0.042319+0.0030739i,-0.028201+0.012466i,0.017276+0.012032i,-0.0023771+0.0050568i,0.00012584+0.0064986i,-0.012562+0.0069108i,0.0048834-0.0058355i,0.018319+0.007545i,0.0072796+0.013309i,-0.015953-0.0045724i,0.001243-0.002617i,-0.0050936+0.001581i,-0.0029436-0.0048689i,0.0018461-0.0053372i,0.0054545+0.0062738i,0.0048159-0.0095239i,-0.0027065-0.0068963i,0.0014677-0.0038855i,0.0034673-0.0049499i,-0.0067185-0.0037357i,-0.00062728+0.0012601i,0.0022815-0.0024943i,0.024487+0.025904i,-0.008335-0.00094242i,0.0018124-0.0022522i,-0.0041407-0.004851i,0.0040985-0.0043727i,-0.01007+0.0068392i,0.0029104-0.00011032i,0.00048502-0.0035145i,0.0011046-0.0034211i,-0.0026125-0.0046841i,0.00020708+0.0023001i,0.0024753+0.0018017i,0.0026145+0.0057821i,-0.0089739+0.0052055i,-0.0085068+0.0065572i,-0.020554+0.039837i,0.001876+0.021093i,-0.024211+0.0034736i,-0.003551-0.0088964i,0.018085+0.016032i,0.0090943+0.022662i,-0.0099482+0.00075967i
-0.0017294+0.031145i,0.020748+0.046787i,0.046995+0.014739i,0.012114+0.0053036i,0.0091271+0.000805i,0.020956-0.02511i,0.011645+0.0083407i,0.032009+0.03399i,0.014069+0.014356i,0.0012743+0.0060828i,0.0015792+0.00025449i,-8.973e-05-0.0010461i,-0.00093321-0.0014752i,0.002029-0.001418i,0.0015902-0.0028683i,0.0050509-0.0016446i,0.0014294-0.0094982i,-0.0010614+0.00085953i,-0.0025482+0.003924i,0.00042634-0.00088458i,-0.002056+0.00080049i,-0.0037528+0.0024039i,-0.0022683+0.0016186i,0.0073988-0.0040448i,0.0041233+0.0011546i,0.0012654-0.0019849i,0.0014543-0.00062643i,0.0019319+0.0013423i,0.0009242+0.00084451i,0.00015718+0.0018656i,-0.0017331-0.00035734i,-0.0022523+0.0010533i,-0.00054197+0.00053363i,-0.00011254-0.00034597i,-5.6585e-05+0.00046704i,0.0060914+0.011981i,0.0010895-0.0015958i,-3.7905e-05-0.0005723i,0.0018737+0.00049062i,-0.0038936-0.00094514i,-0.0012004+0.00074199i,-0.0025421+0.0014523i,0.0048379+0.005692i,0.0030646+0.0013903i,-0.013034+0.024825i,-0.047279+0.046415i,-0.021122+0.059848i,0.0021601+0.034873i,0.031427+0.023715i,0.013341+0.019036i,-0.0088041+0.0016328i,-0.029449-0.0043959i,-0.042741+0.010787i,-0.025229+0.008659i,0.017877+0.0050116i,-0.0016196+0.0063706i,0.0011968+0.0081194i,-0.0097616+0.011005i,-0.00083847-0.0057102i,0.019821-6.0156e-06i,0.012936+0.010367i,-0.018028+0.00022849i,0.00056204-0.0023891i,-0.002884+0.0029588i,-0.0038599-0.0019006i,2.3478e-06-0.0048059i,0.0074306+0.0030712i,0.0017765-0.0094856i,-0.0049544-0.0022381i,0.0015443-0.003283i,0.0010153-0.0066733i,-0.0071912-3.6997e-05i,0.00095569+0.001433i,0.0010708-0.0028074i,0.031408+0.01058i,-0.0080956+0.0030296i,0.0012754-0.0037025i,-0.0048656-0.0030309i,0.0022613-0.0069391i,-0.0048004+0.0082511i,0.0039035-0.0016554i,-0.00056576-0.002372i,0.00054362-0.0032136i,-0.0031146-0.0025256i,-0.0001307+0.0028342i,0.0022621+0.00014544i,0.0055335+0.0046007i,-0.0069641+0.0067697i,-0.0074584+0.0090672i,-0.015502+0.04023i,0.013047+0.016376i,-0.021646+0.0077987i,-0.0092318-0.011192i,0.019793+0.010467i,0.015405+0.020873i,-0.0090253+0.0025381i
0.0027034+0.030233i,0.025943+0.043827i,0.047709+0.0054735i,0.012536+0.0011257i,0.0097663-0.0041725i,0.015176-0.028448i,0.011759+0.0073628i,0.035832+0.027652i,0.01707+0.011154i,0.0026671+0.0057427i,0.0013323+0.00039381i,0.00058366-0.00098413i,-0.0012873+0.00017649i,0.0015403-0.0015914i,0.00073639-0.0026562i,0.0047924-0.0018872i,-0.00079325-0.0080477i,-0.00088662+0.0012879i,-0.0011766+0.0037687i,-0.00044943-0.00090108i,-0.0017443+0.0013767i,-0.0022915+0.0033481i,-0.0017168+0.0023003i,0.0042734-0.0059691i,0.003642-0.00032677i,0.0005861-0.0020324i,0.0010138-0.00092268i,0.0017725+0.00063058i,0.00089936+0.00035072i,0.0010561+0.0018358i,-0.0010886+0.00052949i,-0.0014309+0.0016883i,-0.00034765+0.00055415i,-0.00020948+4.8221e-05i,0.00043022+0.00072848i,0.0090131+0.009115i,0.00047133-0.0015137i,-0.00040529-0.00044281i,0.001989-7.9507e-06i,-0.0036851+0.00031388i,-0.00082393+0.00076171i,-0.0021375+0.0020924i,0.0063976+0.0040034i,0.002992+0.00056506i,-0.0084545+0.023161i,-0.035027+0.050778i,-0.0082491+0.063237i,0.0082357+0.032525i,0.032787+0.009578i,0.015524+0.012187i,-0.012305+0.0088096i,-0.032941+0.0052261i,-0.041755+0.019919i,-0.026323+0.0053721i,0.014627-0.00070626i,0.00023422+0.0074527i,0.0049826+0.0078603i,-0.005928+0.013723i,-0.0034464-0.0023615i,0.017101-0.0086709i,0.016951+0.0053868i,-0.018346+0.0059004i,0.00055398-0.0010545i,-0.00097859+0.0032257i,-0.0022887+1.5959e-05i,-0.0022872-0.0036077i,0.0068974+0.00054295i,-0.0011234-0.0083588i,-0.0037812+0.0015083i,0.0017733-0.0037355i,-0.0018295-0.0067006i,-0.0050087+0.0024688i,0.0024907+0.00012422i,0.00067788-0.0023984i,0.03053-0.0041379i,-0.0050818+0.0058018i,-0.00025126-0.0045933i,-0.004055-0.0020176i,-0.00037293-0.007602i,-0.0012926+0.0073885i,0.0034853-0.0033429i,-0.0004766-0.00090495i,0.00043474-0.0028429i,-0.0019735-0.0014414i,0.00091614+0.0035382i,0.0011055-0.00063282i,0.0066033+0.0016582i,-0.0051528+0.0070468i,-0.0047047+0.011536i,-0.0095312+0.040499i,0.018165+0.0034345i,-0.016836+0.0088889i,-0.016188-0.010238i,0.020658+0.0053751i,0.020804+0.014696i,-0.0092828+0.0024724i
0.0071466+0.028212i,0.032054+0.03995i,0.04722-0.0035244i,0.012163-0.0034224i,0.009106-0.0083799i,0.00893-0.030744i,0.012961+0.0065662i,0.038758+0.021147i,0.019426+0.0066911i,0.0036817+0.0050112i,0.0018635+0.00052196i,0.00089284-0.0011792i,-0.00016682+0.001414i,0.0012065-0.0014708i,0.00024695-0.0023396i,0.0048376-0.0022157i,-0.001828-0.0069583i,3.1244e-05+0.0014985i,-0.00019297+0.0036745i,-0.0010301-0.00054509i,-0.00099186+0.001684i,-0.00077905+0.0034414i,-0.0008729+0.0026249i,0.00071478-0.0065396i,0.0032312-0.0013122i,-0.0002033-0.0020644i,0.0005376-0.0010701i,0.0016844+0.00020033i,0.00072386+6.9058e-05i,0.0015306+0.0010625i,-0.00044202+0.00071438i,-0.00050278+0.0019876i,-0.00014903+0.00072753i,-2.6182e-05+7.7069e-05i,0.00084344-1.8255e-05i,0.010308+0.005745i,7.1372e-05-0.0014072i,-0.00051617-6.2481e-05i,0.0014074-0.00076007i,-0.0029179+0.0011838i,-0.0008189+0.00074803i,-0.0014589+0.002423i,0.007127+0.0021427i,0.0027764+0.00067843i,-0.0052291+0.020872i,-0.023606+0.051534i,0.005535+0.061307i,0.01408+0.029472i,0.029782-0.0025131i,0.015148+0.006816i,-0.010286+0.016556i,-0.030541+0.016636i,-0.036202+0.031305i,-0.029743+0.0062198i,0.010435-0.0031522i,0.0026758+0.0071992i,0.0073115+0.0055591i,-0.0011441+0.015165i,-0.0038517+0.00011196i,0.010097-0.015518i,0.017697-0.0018317i,-0.016215+0.01057i,0.0014879-0.0010436i,0.00042531+0.0024723i,-0.00060278-3.281e-05i,-0.0026612-0.00090403i,0.005579-0.001016i,-0.0025757-0.0064611i,-0.0008855+0.0036415i,0.0012415-0.004855i,-0.0040729-0.0050462i,-0.0034531+0.0028541i,0.002383-0.0017406i,0.00096366-0.0023008i,0.02361-0.015912i,-0.0016744+0.0064334i,-0.0021029-0.0040811i,-0.0039703-0.0010792i,-0.003115-0.0071376i,0.00070956+0.0062225i,0.0027521-0.0047127i,0.00069525-0.00063512i,0.00021123-0.0037145i,-0.00071766-0.0017848i,0.0020196+0.0035099i,1.558e-05-6.4886e-05i,0.0058741-0.00027236i,-0.004335+0.0069132i,-0.00056827+0.012521i,-0.0034717+0.03977i,0.014322-0.0079248i,-0.014537+0.00562i,-0.022698-0.0051569i,0.018909-0.001504i,0.022113+0.007631i,-0.0098807+0.0038642i
0.011307+0.025819i,0.037368+0.034497i,0.044522-0.013006i,0.0094984-0.008478i,0.0072564-0.012812i,0.0022463-0.031333i,0.014837+0.0047135i,0.040997+0.014064i,0.020007+0.0017934i,0.0044502+0.0047981i,0.0021738+0.00017198i,0.0010915-0.0020544i,0.00099283+0.0015293i,0.00091048-0.0014951i,-3.9735e-05-0.0019266i,0.0047684-0.0029552i,-0.0031089-0.0062457i,0.00024256+0.0011445i,0.0011581+0.0032903i,-0.0016088+0.00013801i,-0.0007679+0.0015574i,0.00051093+0.0025335i,-0.00016259+0.0026235i,-0.0025222-0.0052986i,0.0021525-0.0029315i,-0.00096638-0.0014148i,-0.00014651-0.0011132i,0.0015037-0.00018398i,0.00075681-0.00012099i,0.0015887+0.00031835i,0.00019516+0.00058608i,0.00011828+0.0020822i,-2.2822e-05+0.0008789i,-0.00011802+0.00012194i,0.00033161-0.00088979i,0.010415+0.0027723i,-0.00044541-0.0011509i,-0.00057132+8.8396e-05i,0.00098774-0.00085746i,-0.001864+0.0014916i,-0.00070707+0.00095507i,-0.00052491+0.0027575i,0.0074502+0.0001524i,0.0028912+0.00062875i,-0.0032523+0.019036i,-0.01365+0.050382i,0.016895+0.055098i,0.019621+0.025563i,0.023451-0.011541i,0.013826+0.0034348i,-0.0044438+0.021592i,-0.02176+0.025267i,-0.024682+0.039599i,-0.032475+0.01087i,0.0068622-0.0033817i,0.0045778+0.0057858i,0.0079747+0.0024368i,0.0037286+0.014291i,-0.0038476+0.0021955i,-0.00067437-0.017066i,0.014505-0.0079732i,-0.013385+0.014103i,0.0019124-0.0023866i,0.0011383+0.001463i,-0.00060015-0.00096282i,-0.0011597+0.00082933i,0.0046141-0.0012149i,-0.0031689-0.0053588i,0.0021496+0.0033844i,-5.6416e-05-0.0060644i,-0.0052777-0.0028919i,-0.0018439+0.0033262i,0.0013709-0.0033946i,0.0007329-0.0032606i,0.013381-0.021911i,0.00098098+0.0058487i,-0.0030291-0.0031328i,-0.0032246-0.0007954i,-0.0050695-0.005846i,0.0020333+0.0048022i,0.0015229-0.0066111i,0.0014114-0.0013735i,-0.0011166-0.0038559i,-0.0013387-0.0027148i,0.0036271+0.003414i,-0.00017607+0.001135i,0.0053574-0.001451i,-0.0038164+0.0075405i,0.0030273+0.011101i,0.0025455+0.038723i,0.0072941-0.015739i,-0.017173+0.0026768i,-0.025022+0.0031656i,0.013002-0.0061227i,0.022098+0.0017065i,-0.0084004+0.0048276i
0.015134+0.022028i,0.042403+0.028873i,0.039423-0.020895i,0.0042678-0.011417i,0.0034231-0.016392i,-0.0037281-0.030283i,0.016785+0.0017909i,0.041554+0.006729i,0.019745-0.003203i,0.0060146+0.0043596i,0.0023687-1.4077e-05i,0.00026073-0.0029216i,0.0020268+0.0012466i,0.0006928-0.0013808i,-1.3866e-05-0.0017818i,0.0043224-0.0035802i,-0.0049593-0.0047489i,0.00051733+0.00096078i,0.0021362+0.0020692i,-0.0014122+0.0013848i,-0.00043473+0.0017933i,0.00051139+0.0011123i,0.00051933+0.0025626i,-0.0046387-0.002572i,-0.00019047-0.0030135i,-0.0011782-0.0006883i,-0.00056664-0.00074016i,0.0012354-0.00034889i,0.00056769-0.00058877i,0.0013932-0.0001951i,0.00062665+0.00013331i,0.00077278+0.0018646i,0.00034511+0.0010437i,-7.462e-05+0.0002736i,-0.00067096-0.00035579i,0.0099912-1.2333e-05i,-0.00070352-0.00062753i,-0.00048506+0.00033855i,0.00077406-0.00089049i,-0.00095507+0.0013006i,-0.00044865+0.0012673i,0.00044847+0.0025953i,0.0069212-0.0020645i,0.002882+0.00052218i,-0.0015711+0.017723i,-0.0048503+0.047222i,0.024632+0.047553i,0.024965+0.020232i,0.01577-0.016268i,0.01228+0.0015199i,0.0025445+0.023626i,-0.01176+0.027894i,-0.010475+0.042362i,-0.032317+0.017885i,0.0052609-0.0025347i,0.0059845+0.0037288i,0.0072906+0.00010429i,0.0082023+0.011496i,-0.002848+0.0045774i,-0.0096618-0.012261i,0.0096001-0.011205i,-0.0095924+0.017092i,0.00077141-0.003851i,0.00099918+0.00068491i,-0.0012364-0.00092761i,0.00094963+0.0012677i,0.0043292-0.0016317i,-0.0042994-0.0040697i,0.0040242+0.0014064i,-0.0027918-0.0064276i,-0.0053088-0.00056203i,0.00010915+0.0025294i,0.00030855-0.0041864i,-0.00025502-0.00397i,0.0034693-0.022682i,0.003028+0.0044018i,-0.0036214-0.0023957i,-0.0038465-0.00072544i,-0.0066104-0.0038114i,0.0020988+0.0037014i,-0.001235-0.0081165i,0.0015424-0.0023041i,-0.0019646-0.0029372i,-0.0019961-0.0027176i,0.0047069+0.0023779i,0.00056688+0.0020225i,0.0040407-0.0026905i,-0.0027126+0.0082588i,0.0053312+0.0086603i,0.0092615+0.037104i,-0.0035623-0.020155i,-0.021074+0.0031025i,-0.02268+0.011384i,0.0070154-0.0057897i,0.0197-0.0047541i,-0.0067998+0.0035373i
0.017597+0.017189i,0.047029+0.021603i,0.033544-0.026457i,-0.00035484-0.010984i,-0.0012602-0.01822i,-0.0085686-0.028587i,0.017992-0.002565i,0.041109+3.1443e-05i,0.01802-0.0078143i,0.0075248+0.002703i,0.0030118-0.00052482i,-0.00096099-0.0026751i,0.0027599+2.5102e-05i,0.0006709-0.0014404i,-0.00017621-0.0017886i,0.0040293-0.0039626i,-0.0053116-0.0024889i,0.00075655+0.00021419i,0.001953+0.00072975i,-0.00050235+0.001935i,3.0533e-05+0.0017566i,9.9203e-05+0.00064161i,0.0012409+0.0022417i,-0.0051901+0.0007444i,-0.0012072-0.0016033i,-0.0011798-8.4264e-05i,-0.00067672-0.00044419i,0.0010465-0.00053979i,-5.4838e-06-0.00037944i,0.0010256-0.00068358i,0.00075331-0.00043667i,0.0011587+0.0015715i,0.00088609+0.00081006i,0.00023062+0.00045952i,-0.00057559+0.00060958i,0.0087446-0.0022766i,-0.00079588-3.0397e-05i,-0.00024093+0.00056571i,0.00055103-0.0011511i,-0.00011811+0.00088621i,0.0001387+0.0013282i,0.0010335+0.002059i,0.0054685-0.0037733i,0.0025666+0.00039878i,-0.00050707+0.017005i,0.0012766+0.042765i,0.029993+0.040415i,0.02823+0.012781i,0.0090614-0.017674i,0.01168+0.00169i,0.010155+0.023278i,-0.0032054+0.028143i,0.0019865+0.039841i,-0.028806+0.025268i,0.0048546-0.0024272i,0.0064836+0.00080073i,0.0068974-0.001716i,0.011017+0.0069905i,-0.00040801+0.0052563i,-0.013848-0.0046841i,0.0045539-0.012429i,-0.0042421+0.018391i,-0.0012271-0.0039851i,0.00030644+0.00073946i,-0.0017114-0.00036386i,0.0024713+0.00012894i,0.0039775-0.0014305i,-0.004765-0.0022314i,0.0039281-0.00063428i,-0.0053376-0.0045818i,-0.0039527+0.0010433i,0.00056086+0.00091848i,-0.00072902-0.0046121i,-0.0014856-0.004002i,-0.0044962-0.019992i,0.0046101+0.0021704i,-0.0045034-0.001226i,-0.0042389+0.0007583i,-0.0071625-0.0010136i,0.0026342+0.0035772i,-0.00508-0.0079832i,0.0011193-0.0036874i,-0.0023644-0.0024057i,-0.0025853-0.003198i,0.0055446+0.0013774i,0.0016435+0.0023229i,0.0024786-0.0024396i,-0.0014097+0.0084612i,0.0065121+0.0059348i,0.016362+0.033221i,-0.015243-0.01818i,-0.024489+0.0057209i,-0.017097+0.015691i,0.0041075-0.0043075i,0.014491-0.0089761i,-0.0082106+0.0025828i
0.018183+0.012696i,0.050024+0.013i,0.027702-0.030869i,-0.0030847-0.0095877i,-0.0060528-0.018575i,-0.013379-0.0266i,0.017566-0.0080362i,0.039799-0.0067628i,0.014886-0.011751i,0.0082423+0.00059525i,0.0034367-0.0017671i,-0.0017624-0.0018007i,0.0024083-0.0012678i,0.00053182-0.0015007i,-0.00062723-0.0018521i,0.0037358-0.0045683i,-0.0049643-0.00087644i,0.00038392-0.00047567i,0.0016726+0.00013663i,0.00038371+0.0020131i,0.00035612+0.0017363i,-0.00025793+0.00067039i,0.0016546+0.0016404i,-0.0038277+0.0037763i,-0.00098188-0.00036533i,-0.0009708+0.00052118i,-0.00070378-0.00022858i,0.00068752-0.00069125i,-8.5177e-05-2.9314e-05i,0.00036452-0.00084451i,0.00054326-0.00093632i,0.0017762+0.0013319i,0.00111+0.00041222i,0.00048754+0.00021111i,0.00016469+0.00098678i,0.0071343-0.0039286i,-0.00055823+0.0003369i,6.7202e-05+0.00068526i,-0.00028202-0.0011851i,0.00049056+0.00023325i,0.00058874+0.0012589i,0.0013902+0.0015205i,0.0036425-0.0044904i,0.002655+0.001197i,0.00078613+0.016666i,0.0052912+0.039428i,0.034117+0.033357i,0.028653+0.0065534i,0.0032839-0.018243i,0.013762+0.0017933i,0.017037+0.019707i,0.0060554+0.026115i,0.013177+0.033396i,-0.021119+0.031222i,0.0043198-0.0029097i,0.0052284-0.0027886i,0.0061433-0.0038256i,0.011045+0.0018134i,0.00075908+0.0044972i,-0.0142+0.0037623i,-0.00067526-0.011821i,7.3308e-05+0.016767i,-0.0030713-0.002897i,-7.1648e-05+0.0015006i,-0.0016677+0.00027442i,0.0033162-0.0014486i,0.0047567-0.00076935i,-0.0037814-0.00086664i,0.0034361-0.00096816i,-0.0061389-0.0022636i,-0.0026072+0.0014043i,0.00021425+0.00033239i,-0.0028838-0.0050315i,-0.0028451-0.0032775i,-0.010739-0.015816i,0.0046667-0.00066007i,-0.0049922+0.00038123i,-0.003207+0.0021333i,-0.0066046+0.0014035i,0.0038744+0.0031199i,-0.0081604-0.0054557i,-0.00043181-0.0048342i,-0.003013-0.0016435i,-0.0042329-0.0029346i,0.00652-0.0009557i,0.0027856+0.0021928i,0.0023708-0.0020748i,0.0002626+0.0090749i,0.0063833+0.003455i,0.022327+0.026902i,-0.022009-0.0098256i,-0.027165+0.01107i,-0.011056+0.017804i,0.0019602-0.0020953i,0.0095768-0.0093142i,-0.0086889+0.0031615i
