-0.026824-0.0051854i,-0.025073+0.0033016i,-0.016664-0.0071267i,-0.029127-0.013085i,-0.028597+0.0025049i,-0.039774-0.0047296i,-0.062255-0.029629i,-0.032505-0.01511i,-0.031185-0.0033366i,0.0056546+0.0042908i,-0.0041276+0.0081978i,-0.0049311+0.013685i,0.0062879+0.010443i,-0.0019138+0.0029621i,0.0051276+0.002943i,0.0062832+0.025485i,0.024566+0.024762i,0.0014232-0.00024723i,0.0014066-0.0050602i,0.0072314-0.0013306i,0.0054293+0.00074652i,0.0031444+0.00035172i,0.0019644-0.0010263i,-0.030744-0.00074883i,-0.0038091-0.0058045i,-0.00010366+0.002599i,0.0033381-0.0027774i,-0.00013301+0.00017193i,0.00030263+0.00064557i,-0.00074466-0.0028324i,-0.0031361-0.0018391i,-0.006414-0.0060804i,-0.0041244-0.0026339i,0.00024076-0.00011863i,0.0025709-0.0026415i,0.0028135+0.023341i,0.0015291-0.0024224i,0.00071373-0.0022253i,0.005196-0.0022756i,-0.0026551-0.0010056i,0.00058676+0.00090434i,0.0066494-0.0015064i,0.0028937-0.0019675i,-0.001913+0.0029589i,-0.015172+0.016478i,-0.031199+0.055119i,-0.002372-0.038174i,-0.014046-0.018312i,-0.037154-0.017486i,-0.026959-0.014458i,0.040805-0.0080137i,0.0085235-0.031563i,0.014084-0.040383i,-0.010649-0.031128i,0.025238-0.023016i,0.013546+0.0078131i,0.029216-0.032993i,-0.0021011-0.0053729i,0.0070168-0.008321i,0.00056897-0.005364i,0.0038505-0.036581i,-0.013658+0.03043i,0.0076328-0.011684i,-0.009768-0.0047434i,-0.0019975-0.0018874i,0.0012036-0.016135i,-0.0074093+0.005283i,0.0040447+0.0067798i,-0.0027347+0.030734i,0.0014867+0.00091051i,-0.0069302-0.0048507i,-0.0023066-0.0062662i,-0.014479-0.010571i,-0.0018628-0.0058864i,-0.034125+0.0071905i,-0.0047713-0.0082907i,-0.013213-0.0018498i,-0.010415-0.0058779i,0.0017318-0.0010765i,-0.013209+0.0024225i,-0.0021024+0.00076393i,0.005874+0.0073331i,0.0035292-0.0047071i,-0.013768-0.012646i,0.0070528+0.0090314i,-0.017856+0.0050975i,0.0048449-3.7094e-06i,-0.019766-0.0036462i,-0.01872-0.0048506i,-0.01648-0.035251i,0.021052-0.0085233i,-0.037989-0.024633i,-0.010309+0.0046003i,0.017261+0.015993i,-0.02316+0.017758i,-0.0037486-0.0044307i
0.0059656-0.010549i,0.0093695-0.00839i,0.009839-0.0024581i,0.011314+0.0029333i,0.015808-0.003741i,0.012477-0.016432i,0.019391-0.0033784i,0.013883+0.0018876i,0.0047112-0.008539i,-0.0024275+0.0029089i,-0.00082943+0.001097i,-0.0020113-0.00069009i,-0.0012487+0.0033201i,-0.0024636+0.0025401i,0.0010096+0.0022257i,0.0014719-0.0013039i,0.0031698-0.0014415i,0.0011905-0.0011156i,0.00087101-0.00067961i,-0.00040728-0.00088912i,-3.5765e-05-0.0021396i,-0.0020308-0.0014075i,-0.0019471-0.00065309i,0.0070167+0.0045668i,-0.0017937-0.00022465i,-0.0010961+0.001615i,-0.0021593+0.0001091i,-0.0026156-1.4694e-05i,-0.0019906-0.0020534i,-0.0032967+0.00052125i,0.0012983-0.0020928i,0.00057084-9.4991e-05i,0.00086288-0.0013365i,0.0013285-0.00020061i,0.00082412-2.1182e-05i,-0.0095586+0.0054197i,-0.001882-0.00059841i,-0.00087862-0.00016303i,-0.0015618+0.00021066i,0.0022289-0.0019899i,0.00047245-2.1533e-05i,0.00079816-0.00047108i,-0.0025186+0.0026093i,0.0024181+0.00083944i,-0.002797-0.015468i,-0.029652-0.0065401i,-0.005298-0.0085858i,-0.00781+0.0040657i,0.016689+0.023777i,0.00020832+0.0054833i,0.012387-0.017389i,-0.010939-0.029023i,-0.0050773-0.013126i,0.0081774-0.0077264i,0.018415+0.018337i,0.0022362+0.002061i,-0.00090722-0.00026959i,-0.0067764-0.0001555i,0.011604-0.0018545i,0.013664+0.0095665i,0.0025186+0.0060258i,-0.0059848-0.0061579i,0.0065428-0.0025845i,-0.0039552-0.007155i,0.003329-0.011827i,0.0068734-0.006986i,-0.00046303+0.006763i,0.011931-0.0090505i,0.0055312-0.0078368i,0.0022651-0.0062421i,-0.0021296-0.0021466i,-0.0062773-0.0076184i,-0.008358-0.0016031i,0.00027479-0.002103i,-0.0068189+0.028881i,-0.0089956-0.0023749i,0.0013223+0.0029067i,-0.0028957-0.0050816i,0.0012233+0.001026i,-0.015482+0.0013383i,-0.0025178+0.002713i,-0.00073344-0.0023282i,-0.0039568+3.4784e-06i,-0.0054258-0.0028891i,-0.0018283+0.0059913i,-0.0028255+0.002829i,-0.0065934+0.0066041i,-0.0060563-0.00032182i,-0.0033343-0.0030729i,0.008613-0.0030924i,-0.0055156+0.018811i,-0.028049-0.0025098i,-0.010983-0.0017512i,0.011505+0.01684i,-0.0018832+0.017157i,-0.0075547-0.0058342i
0.004464-0.01214i,0.008052-0.010242i,0.0094985-0.0038265i,0.011246+0.0017577i,0.015745-0.0063178i,0.0094033-0.018391i,0.017193-0.0067684i,0.013518-0.00038355i,0.0028583-0.0096114i,-0.0014802+0.0032842i,-7.9244e-05+0.001445i,-0.0026569+0.000625i,-0.0001427+0.0036048i,-0.0013474+0.0036047i,0.0014875+0.0020749i,0.00082747-0.00082248i,0.0020086-0.0020782i,0.0013056-0.0013021i,0.00057742-0.0016183i,-0.00034899-0.0012081i,-0.00051731-0.0022444i,-0.0022687-0.00093845i,-0.0019812-0.00054891i,0.0093418+0.0010589i,-0.0024532+0.0012327i,-0.00016767+0.0019095i,-0.0021422+0.00098162i,-0.0025445+0.0010469i,-0.0033478-0.00091528i,-0.0030375+0.0021584i,0.00021495-0.0022373i,0.0002421-0.00080897i,8.6203e-05-0.0015394i,0.0010337-0.00068988i,0.00060362+0.00038519i,-0.0071888+0.0080429i,-0.0022668+0.00020049i,-0.0010565+0.00041229i,-0.0016828+0.00074548i,0.0014754-0.0024172i,0.00072816-0.00029369i,0.00046931-0.00066766i,-0.0019962+0.0032791i,0.0019083+0.00076073i,-0.004437-0.014307i,-0.026825-0.0029849i,-0.0076362-0.0047979i,-0.0039407+0.0022232i,0.02605+0.016634i,0.0046357+0.0032955i,0.0051773-0.020446i,-0.019684-0.028787i,-0.010167-0.014294i,0.011325-0.014667i,0.020589+0.010926i,0.0010858+0.00076573i,-0.00049999+0.0020696i,-0.005921+0.0020098i,0.0089182-0.0058857i,0.01548+0.0055344i,0.0058848+0.0068343i,-0.0096176-0.0041695i,0.0028196-0.0045539i,-0.0051334-0.0048165i,-0.0025329-0.01076i,0.0034766-0.0084667i,0.0029439+0.0048616i,0.0063081-0.011246i,0.0012585-0.0077022i,-0.001301-0.0039277i,-0.0013348-0.0013099i,-0.0080793-0.0053702i,-0.0062724+0.0022116i,0.00044614-0.0018704i,0.0073979+0.026744i,-0.0097866+0.0007982i,0.0019622+0.00081613i,-0.0051498-0.0031451i,0.0017608-4.8825e-05i,-0.013303+0.0083467i,-0.0013122+0.0035165i,-0.0015503-0.00064877i,-0.0025154+0.0012045i,-0.0058564-0.00061446i,4.254e-05+0.0034375i,-0.0012468+0.0027475i,-0.0027278+0.0085809i,-0.0046105+0.0016332i,-0.0049282-0.0025075i,0.009416-0.0090936i,-0.0014984+0.020965i,-0.02795+0.0027582i,-0.011734-0.0031963i,0.013665+0.014358i,0.0006822+0.018787i,-0.01009-0.0049332i
0.0019168-0.013333i,0.0057819-0.01246i,0.009109-0.0058208i,0.011787-0.00023738i,0.015659-0.0092941i,0.0059229-0.020128i,0.014466-0.0098756i,0.012898-0.0026375i,0.00086114-0.0094976i,-0.00081958+0.0033816i,0.00039259+0.00091422i,-0.0023214+0.0019955i,0.00065123+0.003203i,-7.502e-05+0.0037188i,0.0019495+0.0018237i,0.00052054-0.00032466i,0.0009543-0.0021596i,0.0011486-0.0020038i,-0.00019092-0.001874i,-0.00089989-0.0017116i,-0.0014139-0.0022907i,-0.0022208-0.00031618i,-0.0022891-0.00038719i,0.0086345-0.0036175i,-0.0016187+0.0025414i,0.00035622+0.0017591i,-0.0018493+0.0020661i,-0.0020053+0.002038i,-0.00374+0.0010529i,-0.002049+0.0035439i,-0.00072585-0.0018265i,-0.00078884-0.00044854i,-0.00060033-0.0012728i,0.00058884-0.0010037i,0.00091701+0.00069728i,-0.0043703+0.0097755i,-0.0022239+0.0014925i,-0.00074598+0.00091165i,-0.0015898+0.0017119i,0.00061396-0.002653i,0.0009181-0.00075958i,0.00035731-0.00075496i,-0.0012403+0.0040508i,0.0020777+0.0010756i,-0.0051193-0.013014i,-0.024798+0.001249i,-0.0061251+0.00025108i,-0.0010448-0.00092362i,0.0337+0.0059871i,0.0082604+0.0014346i,-0.0022728-0.020411i,-0.027139-0.025072i,-0.014816-0.011585i,0.0098784-0.023165i,0.019316+0.0038384i,-0.00076149+0.00066688i,-0.00076499+0.0014544i,-0.0056582+0.0031062i,0.0040484-0.0096142i,0.016207+0.0004001i,0.0088952+0.0052729i,-0.011787-0.0008197i,0.0010445-0.0035399i,-0.005828-0.0019532i,-0.0055957-0.0075836i,0.00051392-0.0082176i,0.0047771+0.0041158i,0.0025123-0.010851i,-0.0020416-0.0058548i,-0.0013245-0.00092709i,-0.0015125-0.0019627i,-0.010272-0.0020022i,-0.0039453+0.003343i,-0.00064521-0.0023709i,0.017359+0.018715i,-0.0092822+0.0049086i,0.0019635-0.00012824i,-0.0045232-0.00097938i,0.0020049-0.0015518i,-0.0068576+0.012923i,0.00074595+0.0041001i,-0.0020171+0.0001081i,-0.0017611+0.0021167i,-0.0057138+0.0022959i,-0.00058512+0.0030735i,-0.00045544+0.0021927i,0.00093282+0.0086099i,-0.0033372+0.0016749i,-0.0063877-0.00042031i,0.006574-0.014497i,0.0085257+0.01974i,-0.026211+0.0061354i,-0.013162-0.0039626i,0.016366+0.0098227i,0.005301+0.020497i,-0.011716-0.0032177i
-0.0009005-0.013352i,0.0024449-0.013312i,0.0078296-0.0077339i,0.01161-0.0029195i,0.014503-0.012937i,0.0018279-0.020895i,0.011185-0.011786i,0.011805-0.0046578i,-0.0003704-0.0092485i,-0.00026259+0.0035903i,0.00026274+0.00071466i,-0.0013633+0.0029152i,0.00092426+0.0030177i,0.00074376+0.003755i,0.0022673+0.0014438i,0.00046462+0.00028549i,5.3815e-05-0.0016756i,0.00072027-0.0024419i,-0.00042843-0.0017816i,-0.0018418-0.0015907i,-0.0020687-0.0016434i,-0.0022434+0.00014826i,-0.0026781+0.00012836i,0.0056435-0.0065585i,-0.00043626+0.0030684i,0.00086015+0.0018088i,-0.00085386+0.0029805i,-0.0011684+0.0027141i,-0.0028685+0.0026239i,-0.0004024+0.0042408i,-0.0013822-0.0011469i,-0.00071218+0.00040093i,-0.00098396-0.00080148i,-5.1395e-05-0.001122i,0.0012103+0.00037477i,-0.0010836+0.010537i,-0.0013075+0.0025717i,-0.00035612+0.0010829i,-0.00090778+0.0025716i,-0.0001885-0.0027282i,0.00059347-0.0013812i,0.00020678-0.00093613i,-0.00010997+0.0046044i,0.0023408+0.001191i,-0.0051549-0.012913i,-0.020161+0.004889i,-0.0020649+0.0029828i,-0.0015635-0.0050638i,0.036845-0.008553i,0.011-0.0036588i,-0.0091501-0.016738i,-0.033762-0.018391i,-0.017461-0.0057887i,0.0040516-0.030077i,0.016728-0.0012269i,-0.0015201+0.0021579i,-0.0011259+0.0039343i,-0.0049169+0.0048313i,-0.0025893-0.0087253i,0.015049-0.0057518i,0.011228+0.0022894i,-0.012426+0.0033021i,-1.8001e-05-0.0034967i,-0.0047263+0.00050906i,-0.0069684-0.0035016i,-0.001535-0.0078079i,0.0059399+0.0010489i,-0.00058087-0.010241i,-0.0034019-0.0021999i,-0.00024713+0.00055957i,-0.0026962-0.0017888i,-0.010041+0.0025425i,-0.0017981+0.0044542i,-0.0016711-0.0021775i,0.021751+0.0081712i,-0.0063814+0.0092487i,0.0018182-0.0013114i,-0.0038676+0.00092637i,0.00070317-0.0029147i,-0.00054825+0.012463i,0.0030078+0.0028317i,-0.0017906+0.0021176i,-0.00061713+0.0030598i,-0.0031356+0.0047436i,-0.00030874+0.0036517i,-0.00051165+0.0016162i,0.0048672+0.0075887i,-0.003063+0.00088934i,-0.0072203+0.002339i,0.0024411-0.016011i,0.01894+0.009975i,-0.023352+0.010134i,-0.016161-0.0031587i,0.015353+0.005389i,0.010843+0.019351i,-0.011161-0.0018591i
-0.003236-0.012678i,-0.0004228-0.012675i,0.0061576-0.0090145i,0.010856-0.0054611i,0.012186-0.016264i,-0.0020106-0.020855i,0.0081248-0.012493i,0.010586-0.0061356i,-0.0012422-0.0089655i,0.00045079+0.0036747i,5.6931e-05+0.0008009i,-0.00021647+0.0032939i,0.001353+0.0032322i,0.0015445+0.0036018i,0.0025337+0.0011305i,0.0009509+0.00098087i,-0.00012699-0.0010907i,-3.7996e-05-0.0027709i,-0.00090438-0.0020628i,-0.002595-0.0009175i,-0.0024868-0.0011684i,-0.0020762+0.0006639i,-0.0028045+0.00098796i,0.002184-0.0076569i,0.00074702+0.00318i,0.0016189+0.0015638i,0.00040188+0.0033045i,-0.00018197+0.0030609i,-0.0016145+0.0036484i,0.0014417+0.0041804i,-0.0014558-0.0004072i,-0.00035914+0.00083327i,-0.0011497-0.00029632i,-0.0006474-0.00060041i,0.0013644+0.00021545i,0.0021452+0.010389i,-0.00010725+0.0030446i,-4.9326e-05+0.0012066i,0.00018203+0.0030877i,-0.00095344-0.0025852i,0.00019115-0.0017072i,-0.00010817-0.0011506i,0.001265+0.0046288i,0.0025566+0.00080887i,-0.0063459-0.013399i,-0.014544+0.00566i,0.0032094+0.0029997i,-0.0035537-0.0063083i,0.03273-0.022418i,0.010453-0.0088403i,-0.012133-0.010822i,-0.036606-0.0088668i,-0.016983+0.0011388i,-0.0044503-0.032432i,0.012865-0.0041741i,-0.00064233+0.0034793i,0.0017341+0.0048419i,-0.0035716+0.006117i,-0.0059034-0.0045787i,0.010744-0.011751i,0.012268-0.0018243i,-0.011414+0.0073006i,-0.00090953-0.0023107i,-0.0031167+0.0014156i,-0.0055861-0.00077921i,-0.0045153-0.0063573i,0.0052426-0.0010879i,-0.0031424-0.008523i,-0.0023066+0.0005739i,0.0012761+0.000761i,-0.0032855-0.00089983i,-0.0073466+0.0059349i,0.001046+0.0039695i,-0.0023498-0.00095178i,0.020984-0.0017695i,-0.0009771+0.010782i,0.00070874-0.0021312i,-0.0023175+0.0014081i,-0.00082133-0.0026295i,0.0034618+0.010257i,0.0036179+0.0010556i,-4.0844e-05+0.0040924i,0.0015253+0.0033948i,0.00041184+0.0048771i,0.00097367+0.0040776i,-0.0013485+0.0017525i,0.0070448+0.0046734i,-0.0040314+0.00061808i,-0.0059104+0.0053556i,-8.4337e-05-0.015973i,0.019874-0.0053368i,-0.018078+0.010499i,-0.018666-0.0010009i,0.015095+0.0021091i,0.015486+0.014656i,-0.012052-0.001907i
-0.0051849-0.01159i,-0.002355-0.011595i,0.0046258-0.0098975i,0.009785-0.0081501i,0.0093691-0.019007i,-0.0059585-0.02035i,0.0058323-0.012501i,0.0094644-0.0074347i,-0.0017649-0.0090871i,0.0011297+0.0035342i,0.00020843+0.0010862i,0.00092332+0.0032305i,0.0023966+0.0033663i,0.0024259+0.0034434i,0.002934+0.00066431i,0.0019905+0.001321i,7.1694e-05-0.00093905i,-0.00093901-0.0029069i,-0.0017538-0.0020646i,-0.0030162+3.7707e-05i,-0.0028308-0.00058871i,-0.0016892+0.0010401i,-0.0025277+0.0019185i,-0.0014479-0.0073187i,0.0020703+0.0028037i,0.0022289+0.00090508i,0.0017312+0.0030589i,0.00096918+0.0031473i,-0.00012097+0.0040681i,0.0029371+0.0032934i,-0.0013071+0.00013002i,0.00019137+0.0011084i,-0.0010871+0.00030112i,-0.00067482-2.9732e-05i,0.0014913-0.00021548i,0.0049718+0.0092287i,0.0012478+0.002974i,0.00042584+0.0012904i,0.0013376+0.0029954i,-0.0016022-0.0022074i,-0.00041984-0.0018945i,-0.00053488-0.0012338i,0.0025408+0.0042045i,0.0028093+0.00065151i,-0.0077414-0.013651i,-0.010155+0.0041927i,0.0076155-0.0001635i,-0.0051122-0.0060377i,0.025081-0.032846i,0.0079239-0.012472i,-0.011659-0.0052795i,-0.03454+0.0010461i,-0.011799+0.0082555i,-0.011925-0.030161i,0.009502-0.0052723i,0.00070545+0.0038311i,0.0037074+0.0036604i,-0.0020841+0.007351i,-0.0067894-0.0011961i,0.0036693-0.015393i,0.010273-0.0067898i,-0.0093207+0.0098369i,-0.00057492-0.0012613i,-0.0020098+0.0011855i,-0.0043346+0.00025721i,-0.0055124-0.0032297i,0.003803-0.0020802i,-0.0044638-0.0062566i,-2.3678e-05+0.0013253i,0.0025486-0.0006716i,-0.0033838+0.00036173i,-0.0043151+0.0072639i,0.0020974+0.0021752i,-0.0017973+0.00038125i,0.016537-0.0093534i,0.0037391+0.0097084i,-0.0003952-0.0014196i,-0.0015129+0.001574i,-0.0019039-0.0012819i,0.0063879+0.0074815i,0.0041689-0.00029305i,0.0031414+0.003825i,0.0028839+0.0019852i,0.0030544+0.0033895i,0.0021521+0.0038461i,-0.0013349+0.0031673i,0.0073696+0.0021049i,-0.0053393+0.0013339i,-0.0032872+0.0068597i,-0.001884-0.016353i,0.012177-0.016324i,-0.015749+0.006492i,-0.02137+0.0029133i,0.012912-0.0028249i,0.017145+0.0094728i,-0.013272-0.00052212i
-0.0067423-0.009942i,-0.0040132-0.010661i,0.0028227-0.011013i,0.0074024-0.01108i,0.005888-0.021553i,-0.0099446-0.018693i,0.0041614-0.012553i,0.0082997-0.0088509i,-0.0026573-0.0092781i,0.0016382+0.0035052i,0.00029573+0.001121i,0.0018789+0.0025221i,0.0034531+0.0028796i,0.0032951+0.0029562i,0.003209+8.1774e-05i,0.0030529+0.00078217i,-0.00013638-0.0010466i,-0.0020928-0.0026858i,-0.0024835-0.0015576i,-0.0031611+0.001196i,-0.0032023+0.00023725i,-0.0012555+0.0011095i,-0.0019425+0.002747i,-0.0045171-0.0055343i,0.0031313+0.001397i,0.0024258+0.00013272i,0.0027976+0.0022665i,0.0022051+0.0027642i,0.0016828+0.0038292i,0.0039198+0.0018976i,-0.00094771+0.00050971i,0.00066174+0.0011565i,-0.00077391+0.00078255i,-0.00045163+0.00042659i,0.0012221-0.00084084i,0.00721+0.0072289i,0.0023867+0.0022263i,0.00089711+0.001063i,0.0026076+0.0024035i,-0.0020229-0.0016246i,-0.0012005-0.0017013i,-0.00089336-0.0010418i,0.0037603+0.0033157i,0.0030016+0.00031158i,-0.0097523-0.013563i,-0.0074142+0.001892i,0.0095925-0.0046992i,-0.0053085-0.0047193i,0.014913-0.03965i,0.0046661-0.014404i,-0.0096241-0.002415i,-0.028766+0.007386i,-0.0029707+0.01086i,-0.017407-0.025593i,0.0070243-0.005325i,0.0018958+0.0033611i,0.0040742+0.001597i,0.00014885+0.0077199i,-0.0071121+0.0019355i,-0.0051144-0.014312i,0.0061993-0.0092165i,-0.0066651+0.012075i,0.00023858-0.0018511i,-0.0017778+0.00077979i,-0.0039177+0.00051919i,-0.0046925-0.00094955i,0.0027596-0.0022037i,-0.0051587-0.0049856i,0.0012733+0.00046842i,0.0024402-0.0029601i,-0.0031022+0.0017035i,-0.00082735+0.0078011i,0.0018075+0.00084051i,-0.001026+0.00040095i,0.010225-0.013385i,0.0073177+0.0068712i,-9.499e-05-0.00076877i,-0.00034284+0.00094654i,-0.0014754-0.00025616i,0.0076307+0.0042348i,0.0045871-0.0025689i,0.0049969+0.0019523i,0.0031876+0.00070291i,0.0041829+0.00091771i,0.0039051+0.0032507i,4.4199e-05+0.0044816i,0.0074018-0.00015086i,-0.0060078+0.00312i,-0.0010571+0.0066701i,-0.0035429-0.016057i,0.0016465-0.022688i,-0.018681+0.0034615i,-0.0212+0.0082564i,0.006761-0.0053761i,0.017911+0.0046876i,-0.013003+0.00072127i
-0.0072397-0.0081878i,-0.0052557-0.0090457i,0.00047366-0.011424i,0.0037408-0.012722i,0.0014656-0.023317i,-0.013061-0.016078i,0.0029075-0.012601i,0.006914-0.010154i,-0.0035719-0.0097285i,0.0024631+0.0035407i,0.00050902+0.0015081i,0.0023309+0.0018494i,0.0044323+0.0019964i,0.0042067+0.0022271i,0.0033844-0.00074563i,0.0035648-5.521e-06i,-0.00078437-0.0008936i,-0.0031113-0.0017891i,-0.0028413-0.00084941i,-0.0026383+0.0025924i,-0.0030899+0.0013534i,-0.0012665+0.00095669i,-0.00096587+0.0033601i,-0.0063507-0.002477i,0.0030234-3.1855e-05i,0.0023521-0.00071744i,0.0036282+0.0010447i,0.0032095+0.0018676i,0.0030513+0.0026262i,0.0043184+0.00035075i,-0.00056597+0.00062957i,0.0011344+0.00074656i,-0.00025215+0.0010737i,-2.6159e-05+0.00068193i,0.0006352-0.00077238i,0.0085523+0.0045589i,0.0030222+0.0010166i,0.0012434+0.00076063i,0.0035234+0.0011784i,-0.0022755-0.00092608i,-0.0017913-0.0010588i,-0.0012124-0.00081468i,0.0044072+0.0018757i,0.0031439-0.00025266i,-0.011722-0.012918i,-0.0057176-0.0017074i,0.0089808-0.0091382i,-0.0041812-0.0043938i,0.0040961-0.041897i,0.0010162-0.014701i,-0.0079305-0.00058474i,-0.022876+0.009586i,0.005755+0.0084594i,-0.019736-0.01984i,0.0058308-0.0053516i,0.0029585+0.0019619i,0.0035055+0.00032737i,0.0027876+0.0070754i,-0.0059355+0.0054494i,-0.011438-0.0085713i,0.0022372-0.0092702i,-0.0032461+0.013368i,-0.0006481-0.002943i,-0.00183+0.00083857i,-0.0037851+0.0012727i,-0.0034156+0.0004487i,0.0016604-0.0023064i,-0.0060593-0.0035039i,0.0015511-0.00066538i,-5.0586e-05-0.0045226i,-0.0018539+0.0028678i,0.0024678+0.0062198i,0.0020784-4.2127e-05i,-0.00066345+0.00035158i,0.0038053-0.014337i,0.0090103+0.0028636i,0.0001083-0.0012283i,-0.00043448+0.00023823i,-0.0004988+0.000177i,0.0073372+0.0015461i,0.0031508-0.005352i,0.0062988-0.00034096i,0.0035559-0.00032604i,0.0044889-0.0014845i,0.0050739+0.0018209i,0.0019564+0.0045978i,0.0061482-0.0022569i,-0.0058607+0.0054793i,0.00068279+0.0054793i,-0.0041609-0.015479i,-0.011118-0.023901i,-0.02253+0.0042464i,-0.018092+0.013064i,0.0020066-0.0031942i,0.016501-0.00075413i,-0.012681+0.00079292i
-0.0071164-0.007219i,-0.0056-0.0076727i,-0.0015385-0.01095i,0.00038887-0.01262i,-0.0032624-0.023879i,-0.015213-0.013263i,0.002051-0.013228i,0.0053077-0.01136i,-0.0050082-0.0099769i,0.0034998+0.0030391i,0.0012347+0.0016963i,0.0025834+0.0012711i,0.0050276+0.0005179i,0.0048563+0.0010431i,0.0032525-0.0017256i,0.0038275-0.00069516i,-0.00098325-0.00023651i,-0.0034353-0.00074284i,-0.0031826-0.00015964i,-0.0014796+0.0033995i,-0.0026278+0.0022025i,-0.0013516+0.0013286i,0.0002582+0.0034955i,-0.0066377+0.00095813i,0.0025351-0.00095271i,0.0019741-0.0015214i,0.0038341-0.00052484i,0.0037457+0.00054875i,0.0034716+0.0013981i,0.0041606-0.0013033i,-0.00011668+0.00072864i,0.0010502+0.00031706i,0.0003389+0.0010438i,0.00048404+0.00070916i,0.000445-0.00040605i,0.0086+0.0018532i,0.0029822-0.00027191i,0.0015555+0.00034049i,0.0036165-0.00029507i,-0.0022258-5.419e-05i,-0.0018452-0.00032887i,-0.0014667-0.00045785i,0.0043437+0.00037726i,0.0030816-0.00088472i,-0.013758-0.011887i,-0.0075236-0.0051694i,0.0065489-0.012221i,-0.0037717-0.005212i,-0.0050159-0.04114i,-0.0014925-0.012597i,-0.0056555+0.00079954i,-0.018613+0.010684i,0.011162+0.002603i,-0.019254-0.01447i,0.0046086-0.0062779i,0.0031273-3.0714e-05i,0.0034319-0.00072058i,0.0050183+0.0049757i,-0.0029457+0.0069726i,-0.013278-0.0016929i,-0.0010516-0.0083859i,0.00053602+0.012974i,-0.0024238-0.0030465i,-0.0024499+0.0016191i,-0.0033171+0.0022444i,-0.0024792+0.0011977i,0.0011161-0.0010876i,-0.0063743-0.0012562i,0.00093223-0.0016681i,-0.0022616-0.0034532i,-0.00014193+0.0030388i,0.0039979+0.0036797i,0.0022455-0.0013056i,-0.00044675+0.00074736i,-0.001443-0.012789i,0.0090654-0.001358i,-0.00048075-0.0014123i,-0.00048097+0.00053979i,0.000508-0.00014355i,0.006817-0.00024688i,2.6689e-06-0.0067496i,0.0062052-0.0036425i,0.0032941-0.0021235i,0.003463-0.0041291i,0.0057062+0.00019765i,0.0035009+0.0039433i,0.004263-0.0029016i,-0.0044788+0.0073179i,0.0014677+0.004032i,-0.0040574-0.016276i,-0.022912-0.018425i,-0.025058+0.0071792i,-0.013567+0.014409i,0.00098955-0.0010187i,0.012902-0.0041841i,-0.014483+0.0012094i
-0.0075031-0.0067141i,-0.0056469-0.007006i,-0.0030598-0.010276i,-0.0021222-0.011737i,-0.0081152-0.023456i,-0.017057-0.010378i,0.00070788-0.014862i,0.0033237-0.012453i,-0.0068594-0.0097616i,0.0043401+0.0022426i,0.0020616+0.0012848i,0.0026755+0.00071148i,0.0049061-0.0010688i,0.0051338-0.00029588i,0.0027102-0.0026391i,0.0038808-0.0014595i,-0.00083384+0.00031633i,-0.0035272+0.00020764i,-0.0032632+0.00093986i,-0.00023401+0.0036793i,-0.0019258+0.0030449i,-0.0010337+0.0019165i,0.0012822+0.0030932i,-0.0052075+0.0040203i,0.0019793-0.0015814i,0.0012558-0.0020339i,0.0033677-0.0020327i,0.0036232-0.00086826i,0.0036813+0.00017375i,0.0032311-0.0028017i,0.00035899+0.00055578i,0.0010414+0.00023406i,0.00078705+0.00075428i,0.00093451+0.0002847i,0.00078507-0.00031091i,0.0080036-0.00043653i,0.0025547-0.0012768i,0.0017024-0.00027187i,0.0031058-0.0015905i,-0.0016781+0.00073633i,-0.0018335+0.0002624i,-0.001612+3.7937e-05i,0.003719-0.00070029i,0.0027432-0.0010986i,-0.015851-0.010434i,-0.011185-0.0054143i,0.0038809-0.01365i,-0.0041835-0.0050657i,-0.013386-0.039703i,-0.0014333-0.010345i,-0.0032179+0.0007337i,-0.013826+0.011116i,0.014126-0.0042859i,-0.016629-0.011575i,0.0029058-0.0069327i,0.0016796-0.002612i,0.0030267-0.0019621i,0.0051805+0.0022122i,-0.0010088+0.0066902i,-0.01238+0.004644i,-0.0039013-0.0066088i,0.003386+0.010592i,-0.004073-0.0017195i,-0.0023767+0.0033592i,-0.0025741+0.0030952i,-0.00099761+0.0014098i,0.0020752+0.00074952i,-0.0053718+0.00038603i,0.0004138-0.0016035i,-0.0030348-0.0021314i,0.0011838+0.0024278i,0.0042235+0.0015973i,0.00087518-0.0027604i,0.00018327+0.00083886i,-0.0055935-0.010303i,0.0073721-0.0048813i,-0.00098669-0.0011958i,0.00039413+0.00054579i,0.00052387-0.0011067i,0.0063012-0.002114i,-0.0029205-0.0058882i,0.0041878-0.006592i,0.0018966-0.0030997i,0.0010354-0.0053802i,0.0059155-0.0020008i,0.0049322+0.0029016i,0.0033475-0.002957i,-0.0018435+0.0081022i,0.0010331+0.0026581i,-0.0047419-0.018242i,-0.028155-0.0086042i,-0.026875+0.011747i,-0.0099775+0.01491i,-2.359e-06+0.00058353i,0.0095393-0.0050322i,-0.01564+0.0031606i
