-0.0052492-0.040504i,-0.0095832-0.043989i,0.0047501-0.045689i,-0.0265-0.028949i,-0.021255+0.013164i,-0.031364-0.035719i,-0.059565-0.066271i,-0.019652-0.075199i,-0.03369-0.053048i,0.00021277+0.015173i,-0.00736+0.010996i,-0.016692+0.014427i,0.0012046+0.017429i,-0.0037971-0.0032671i,0.00021739+0.0070465i,-0.0012557+0.041915i,0.017501+0.062899i,0.00056374-0.00023753i,-0.0046721-0.0087506i,0.0095893+0.0058645i,0.0014444+0.0011471i,-0.0010673+0.0037327i,0.00050941-0.0013413i,-0.037192-0.010548i,-0.0023238-0.0074983i,-0.00013088+0.0050288i,0.0054291+0.00022278i,0.00058543+0.00075872i,-0.00023448-0.0012063i,-7.0828e-06-0.0022762i,-0.001522-0.0062228i,-0.0022839-0.0042687i,9.0726e-06-0.0083592i,0.0033898-0.0012607i,0.0032798-0.0022589i,-0.0034518+0.035149i,0.0063074-0.0038333i,0.0042448-0.0021014i,0.005096+0.00067187i,-0.014163-0.00507i,-6.5928e-05+0.0010152i,0.010045+0.00053393i,0.0062409-0.0015423i,-0.0049482+0.003463i,0.0030649+0.0022194i,-0.0038826+0.010972i,0.019285-0.086426i,-0.0044939-0.049266i,-0.023416-0.041242i,-0.018041-0.042331i,0.0665-0.01458i,0.03023-0.060325i,0.039584-0.04428i,0.030571-0.055904i,0.020251-0.01545i,0.0086418+0.010232i,0.025771-0.031485i,-0.0073774-0.0053239i,0.0027713-0.0021277i,-0.0044199-0.0057962i,0.0019537-0.033016i,-0.025649+0.03033i,0.0088801-0.01031i,-0.011398-0.0018632i,-0.0052336-0.00129i,-0.00049831-0.014956i,-0.0099111+0.0042248i,0.0032049+0.0083999i,-0.011821+0.031101i,0.0047559+0.0081445i,-0.0053416-0.0017379i,-0.0018432-0.0024062i,-0.011692-0.0079116i,0.00059277-0.0038762i,-0.035786+0.0034576i,0.0026527-0.012421i,-0.0090318-0.0026275i,-0.0066173-0.0029054i,0.0067631+0.0018085i,-0.0090857+0.0016123i,0.0011013+0.001043i,0.0054053+0.0096792i,0.0048936+0.00029773i,-0.0092905-0.0099084i,0.0021205+0.0088391i,-0.019331+0.0064675i,0.0068006+0.003655i,-0.028835-0.0094103i,-0.035354+0.0016994i,0.026873-0.077129i,0.013346-0.0098569i,-0.041857-0.028199i,-0.022204-0.0041373i,0.017839+0.013109i,-0.027205+0.011422i,-0.011138-0.0091078i
0.0002184+0.017231i,0.038619+0.02052i,0.04811-0.006961i,0.017106-0.0084712i,0.0095834-0.011026i,0.011281-0.023819i,0.018611+0.0067698i,0.033372+0.011225i,0.020497+0.0018271i,0.0030648+0.0051244i,0.0020786-0.00039831i,0.0025264-0.0022723i,0.001597+0.0022541i,0.0015268-0.0023808i,-0.00016294-0.0017515i,0.0048138-0.00049541i,-0.0025006-0.0078252i,-0.0004267-0.00060644i,0.00072721+0.0030204i,-0.0015828+0.0010734i,-0.0019756+0.0015355i,0.00046146+0.0028829i,-0.0003758+0.002501i,-0.002988-0.0050188i,0.0027147-0.0024837i,-0.0013845-0.0014159i,-5.3023e-05-0.0012783i,0.0017139+0.00013832i,0.001012+0.00015415i,0.0018136+0.00017355i,-0.00017278+0.0008706i,0.00027037+0.0020226i,-0.00038883+0.0011926i,0.00078445-0.00018744i,0.00017973-0.00076828i,0.0085244+0.0028363i,-0.00065163-0.0019319i,-0.00046175-0.00024677i,0.0015353-0.00035371i,-0.001899+0.001688i,-0.00051372+0.0020529i,-0.00057464+0.0020382i,0.011578-0.00044891i,0.00069437+0.00080366i,0.0031049+0.0178i,-0.0027319+0.04468i,0.0237+0.049664i,0.014739+0.025146i,0.024984-0.0072553i,0.017953+0.003135i,-0.0070794+0.025129i,-0.023508+0.026745i,-0.030311+0.039849i,-0.030313+0.013433i,0.0088184-0.0045595i,0.0034903+0.005318i,0.0087927+0.0034345i,0.0025401+0.01449i,-0.0041029+0.0021942i,0.0014788-0.016884i,0.013521-0.0083475i,-0.013438+0.014423i,0.0021556-0.0016458i,0.00052439+0.0016379i,-0.00060865-0.00037053i,-0.00096282+0.00083631i,0.0047315-0.0016606i,-0.0035022-0.0061423i,0.0016591+0.0036505i,0.00027469-0.0063411i,-0.0048431-0.0035322i,-0.0014313+0.0030982i,0.0012142-0.003321i,0.00093602-0.0027285i,0.016175-0.021092i,0.00076798+0.0057316i,-0.0025727-0.0032688i,-0.0033248-0.00084665i,-0.0050841-0.0056941i,0.0018557+0.0050076i,0.001432-0.0063379i,0.0015492-0.00058425i,-0.00099599-0.0033229i,-0.001419-0.0021594i,0.0038787+0.0036785i,-0.00060967+0.0012942i,0.004948-0.0016838i,-0.004905+0.0076412i,0.0023692+0.010716i,0.0001675+0.042238i,0.0074533-0.01612i,-0.016095+0.0028593i,-0.024182+0.0033371i,0.013107-0.0059039i,0.022214+0.0014901i,-0.0082736+0.005317i
0.0021576+0.016394i,0.041281+0.01469i,0.043427-0.015917i,0.011011-0.013479i,0.0059379-0.014988i,0.0064676-0.02476i,0.02123+0.0031222i,0.033116+0.0059079i,0.019753-0.0040966i,0.0046641+0.0050574i,0.0018742-0.00041538i,0.0012045-0.0036451i,0.0030797+0.0015803i,0.00091489-0.0023386i,0.00015815-0.0019152i,0.0054685-0.0014871i,-0.0048601-0.0062108i,-0.00082865-0.00037247i,0.0013943+0.0020815i,-0.0011184+0.0022179i,-0.0014935+0.0020498i,0.00063491+0.0014445i,0.00010965+0.002504i,-0.0047418-0.0021574i,0.00066724-0.0030306i,-0.0016609-0.00055025i,-0.00057315-0.00099268i,0.0015024-0.00010147i,0.00074367-0.00044558i,0.0014926-0.00048652i,0.00048278+0.00054243i,0.00089994+0.0017517i,0.00025768+0.0015236i,0.00051417-0.00023371i,-0.00060999-0.00015013i,0.0081431+0.00059569i,-0.0011759-0.001324i,-0.00057109+0.00021184i,0.0013644-0.00042963i,-0.00079034+0.0015195i,0.0001672+0.0024193i,9.7852e-05+0.0019771i,0.010575-0.0037468i,0.00092983+0.0013057i,0.0044255+0.015144i,0.004466+0.040501i,0.030169+0.042161i,0.020007+0.020963i,0.018659-0.012923i,0.015991+0.00034881i,0.00031641+0.027312i,-0.012438+0.030027i,-0.016067+0.043486i,-0.029279+0.019692i,0.0069464-0.0044279i,0.0048409+0.0038438i,0.008155+0.00050603i,0.007411+0.01203i,-0.0033489+0.0046441i,-0.0077614-0.0129i,0.0085428-0.011134i,-0.0092722+0.017202i,0.0013698-0.0036958i,0.00085395+0.0010354i,-0.0008905-0.00056029i,0.00098573+0.0010025i,0.004299-0.0018919i,-0.0048868-0.0046574i,0.0034775+0.0020087i,-0.0027143-0.0066279i,-0.0052689-0.0014865i,0.00026534+0.0022407i,0.00038216-0.0040004i,0.00037311-0.0039501i,0.0060676-0.023038i,0.0025016+0.0045771i,-0.0031815-0.0026284i,-0.004004-0.00074643i,-0.0068653-0.0034856i,0.0020122+0.0040961i,-0.00099826-0.0079917i,0.0022845-0.0017054i,-0.0017763-0.002532i,-0.0017127-0.0022534i,0.005269+0.0025197i,-3.5618e-05+0.0023518i,0.0033973-0.0025945i,-0.0041207+0.0089383i,0.0048846+0.0087412i,0.0078953+0.040735i,-0.0031701-0.020381i,-0.020081+0.0026886i,-0.021604+0.01088i,0.0075308-0.0061846i,0.01928-0.0051943i,-0.0065579+0.003829i
0.0037663+0.015064i,0.043377+0.0076045i,0.038021-0.02238i,0.0052838-0.014528i,0.0014081-0.017287i,0.0023948-0.025132i,0.022877-0.0022508i,0.032664+0.00088853i,0.017241-0.0092919i,0.0064823+0.0038017i,0.002435-0.00063645i,-0.00040394-0.0034282i,0.0038827-0.00028703i,0.00052232-0.0022184i,-7.6662e-05-0.0023391i,0.0058873-0.0026255i,-0.0056638-0.0035542i,-0.00078228-0.0005191i,0.0012735+0.0011358i,-7.6985e-06+0.0025474i,-0.00085825+0.0022636i,0.00027959+0.0006243i,0.00062602+0.0023443i,-0.005025+0.0012034i,-0.00063237-0.0021781i,-0.00161+0.00021808i,-0.00086409-0.00063157i,0.0012383-0.00038716i,0.0001811-0.00018117i,0.00092675-0.00095203i,0.00085993-6.1236e-05i,0.0013419+0.0013647i,0.00099227+0.0012935i,0.00068364-0.00015508i,-0.00046596+0.00076657i,0.0070767-0.0012515i,-0.0016284-0.00054609i,-0.00024473+0.00051581i,0.0012025-0.00097927i,8.3413e-05+0.0010049i,0.0010415+0.0022053i,0.00066583+0.0016652i,0.0083652-0.006378i,0.0014318+0.0015913i,0.0047058+0.012869i,0.0092827+0.035446i,0.03492+0.034869i,0.023662+0.014653i,0.012308-0.015939i,0.014456+0.00024895i,0.0083128+0.027294i,-0.0024307+0.030528i,-0.002658+0.041973i,-0.02572+0.02591i,0.0058564-0.0051685i,0.0057212+0.0015323i,0.0075417-0.0015757i,0.010874+0.0078442i,-0.00069231+0.0054971i,-0.012298-0.0057018i,0.0032251-0.012163i,-0.0041293+0.018059i,-0.0008757-0.0042978i,0.00030765+0.0010104i,-0.0012164-0.00018542i,0.0023137-5.2007e-05i,0.003759-0.0016684i,-0.0052602-0.0023285i,0.003991+1.5366e-05i,-0.0052898-0.0047597i,-0.0043534+0.00038899i,0.00063113+0.00065604i,-0.00065746-0.0045673i,-0.0011508-0.0043643i,-0.0027375-0.020941i,0.0041845+0.0025695i,-0.0042057-0.0016443i,-0.0043624+0.00090434i,-0.0070777-0.00048894i,0.0028369+0.0037838i,-0.0049872-0.0080134i,0.0023852-0.0033697i,-0.001938-0.0022257i,-0.002221-0.0028468i,0.0064648+0.0012335i,0.001015+0.0028397i,0.0021759-0.0019465i,-0.0024157+0.0097285i,0.0064079+0.0062352i,0.015641+0.036683i,-0.014971-0.018478i,-0.023564+0.0048472i,-0.016146+0.014622i,0.0041779-0.0048765i,0.013765-0.008936i,-0.0079921+0.0027151i
0.0047397+0.013907i,0.043995-0.00015061i,0.032581-0.027807i,0.0011496-0.014084i,-0.0032035-0.018184i,-0.0020639-0.025528i,0.022561-0.0089561i,0.032017-0.0043903i,0.013301-0.013518i,0.0076261+0.0018961i,0.0029299-0.0016181i,-0.0014999-0.0024945i,0.0032296-0.002039i,0.00022692-0.0020717i,-0.00080489-0.0027224i,0.0059912-0.0041785i,-0.0055295-0.0013406i,-0.0011707-0.00073988i,0.0011305+0.00071509i,0.00092259+0.0023634i,-0.00032561+0.0024825i,-0.00031833+0.00044191i,0.00095085+0.0020159i,-0.0033764+0.0040655i,-0.00081341-0.0011558i,-0.0013098+0.0009495i,-0.001016-0.00026209i,0.00090384-0.00047234i,0.00014208-1.2107e-05i,0.00014058-0.0010701i,0.00082314-0.00068476i,0.0018147+0.00091064i,0.0013933+0.00079745i,0.0006895-0.0006912i,0.00030626+0.0010313i,0.0058538-0.0025379i,-0.0015618+0.0002563i,0.00018653+0.00056876i,0.00013244-0.0011995i,0.00081368+9.9605e-05i,0.0017602+0.0017291i,0.00096106+0.0013002i,0.0056495-0.0072769i,0.0020834+0.0022802i,0.0045911+0.011736i,0.012121+0.031461i,0.038394+0.027521i,0.024844+0.0091814i,0.0059903-0.017625i,0.016149+0.0007744i,0.015832+0.024137i,0.0083269+0.027891i,0.0095201+0.035917i,-0.018389+0.030687i,0.0041255-0.005948i,0.0049529-0.0019511i,0.006697-0.0036884i,0.011448+0.0023935i,0.00067773+0.0048264i,-0.013237+0.0020308i,-0.0017806-0.010871i,6.0962e-05+0.016368i,-0.0029553-0.0032191i,0.00020028+0.0018022i,-0.001254+0.00034986i,0.0031003-0.0016177i,0.0045164-0.00082546i,-0.0041895-0.00065159i,0.0038811-0.00080989i,-0.0061091-0.0024435i,-0.0030821+0.0012203i,0.00011507+0.00020479i,-0.0031735-0.0050602i,-0.0025791-0.0036487i,-0.0096943-0.017263i,0.0044627-0.00022223i,-0.0045926-4.9964e-05i,-0.0030154+0.0021681i,-0.0061479+0.0016567i,0.0040914+0.003177i,-0.0080095-0.0053046i,0.00094759-0.0050986i,-0.0026638-0.0018329i,-0.0040677-0.0026089i,0.0072086-0.0014293i,0.0023721+0.0031845i,0.0024742-0.0016034i,5.7108e-05+0.010661i,0.0064001+0.0034928i,0.022004+0.030592i,-0.022081-0.010169i,-0.026631+0.009754i,-0.010681+0.016506i,0.0018601-0.0026247i,0.0089034-0.0090452i,-0.0089222+0.0032635i
0.0053855+0.013414i,0.042736-0.0078356i,0.026478-0.032505i,-0.002204-0.013698i,-0.0079332-0.018209i,-0.0068371-0.024539i,0.019289-0.015255i,0.030541-0.0093499i,0.0084537-0.015307i,0.0079199-0.00025431i,0.002429-0.0030429i,-0.0019156-0.0016619i,0.0017265-0.003052i,-7.3282e-05-0.0019105i,-0.0017351-0.0022482i,0.0051589-0.0058158i,-0.0049488+0.00070475i,-0.0018224-0.00022921i,0.00087028+0.00046778i,0.0014798+0.0017633i,0.00019234+0.0025534i,-0.00064211+0.00078264i,0.0013883+0.002011i,-0.00027371+0.0053526i,-0.00066462-0.00039695i,-0.00067247+0.0014477i,-0.0012946+0.00018327i,0.00058494-0.00032767i,2.0916e-05+0.00013745i,-0.00025951-0.00040099i,0.00049571-0.0011206i,0.0020367+0.00025583i,0.00147+0.00010385i,5.9327e-05-0.00072104i,0.0010307+0.00094603i,0.0046471-0.0033275i,-0.0012996+0.00083361i,0.00048729+0.00024179i,-0.00034334-0.00046636i,0.0006115-0.0010431i,0.0023654+0.00098788i,0.0013708+0.00086819i,0.003239-0.0074704i,0.0036072+0.0023066i,0.0052835+0.011608i,0.015047+0.029101i,0.040514+0.020576i,0.026277+0.0040069i,-0.00040179-0.015969i,0.019545-0.0013914i,0.021808+0.019504i,0.017016+0.021202i,0.017103+0.025673i,-0.009304+0.032354i,0.002135-0.0066283i,0.0019685-0.0040144i,0.0052523-0.0057544i,0.0099307-0.0019559i,0.0016983+0.0043189i,-0.01018+0.0085104i,-0.0050364-0.0075423i,0.0028388+0.014774i,-0.0034022-0.0016639i,0.0010549+0.0024317i,-0.00084621+0.0010705i,0.0018814-0.0037083i,0.0067638-0.002386i,-0.003584-0.00070181i,0.0047217-0.0017583i,-0.0069137+0.00016214i,-0.0020527+0.0010184i,0.00041318+4.7089e-05i,-0.0060302-0.0022597i,-0.0035257-0.0026234i,-0.014821-0.011374i,0.0033951-0.002451i,-0.0038027+0.0013368i,-0.0011606+0.0019506i,-0.0047939+0.0032843i,0.005626+0.0019766i,-0.0093459-0.0016509i,-0.0012752-0.0054506i,-0.0028043-0.00074929i,-0.0053876-0.00084155i,0.0056812-0.0042138i,0.0038232+0.0024174i,0.0025712-0.0022248i,0.0026991+0.010135i,0.0054936+0.0015237i,0.025941+0.022586i,-0.023002-0.0026132i,-0.027591+0.016029i,-0.004968+0.015431i,0.00087887+0.00043105i,0.0062326-0.0080998i,-0.0099574+0.0033878i
0.0069068+0.013102i,0.040423-0.014849i,0.01984-0.036093i,-0.005052-0.012385i,-0.012475-0.016753i,-0.010782-0.022803i,0.014426-0.019513i,0.028486-0.014032i,0.0050903-0.015304i,0.0075442-0.0024673i,0.0012285-0.0040758i,-0.0020448-0.00076696i,0.00025067-0.0029372i,-0.00027083-0.0016032i,-0.0021936-0.0016692i,0.0037999-0.0069132i,-0.0036249+0.0021599i,-0.0021058+0.00038955i,0.00064307+0.00011452i,0.0019442+0.0010896i,0.0010554+0.0025283i,-0.00040161+0.0013105i,0.0020354+0.001497i,0.0024347+0.0044246i,-0.0003473-0.00012326i,5.4441e-05+0.0014082i,-0.00092512+0.00096833i,0.00048974-0.00020869i,9.1204e-05+0.00038401i,-5.3983e-05+0.00016204i,-2.3893e-05-0.0014356i,0.0021051-0.0006363i,0.0016291-0.00044539i,-0.00036064-0.00040384i,0.0016965+0.00049174i,0.0036133-0.004058i,-0.00074267+0.0014607i,0.00048094-3.9306e-05i,-4.71e-05+0.00015484i,-0.00040996-0.0019302i,0.002331+0.0001002i,0.0014413+5.5595e-05i,0.0012321-0.006968i,0.0050398+0.0011713i,0.0072497+0.01111i,0.01919+0.02665i,0.042022+0.013924i,0.026707-0.0023375i,-0.0043535-0.012224i,0.021952-0.0058757i,0.026674+0.013588i,0.021622+0.013134i,0.019046+0.015625i,-0.0010128+0.029966i,-4.893e-05-0.0066381i,-0.0015262-0.0037779i,0.0027268-0.0079564i,0.0070078-0.0047966i,0.0024699+0.0033854i,-0.0051563+0.011934i,-0.0058904-0.0036266i,0.0054439+0.012959i,-0.0040404-0.0005426i,0.0023741+0.0027889i,0.00032439+0.0013752i,-0.00040856-0.0037533i,0.0066322-0.0059552i,-0.004227+0.00010183i,0.0044841-0.0038568i,-0.0059574+0.0032932i,-0.0017108+0.00032353i,3.4527e-05-0.00079891i,-0.0056779+0.0014081i,-0.003885-0.0014371i,-0.01619-0.0044158i,0.0015798-0.003311i,-0.0025302+0.0022301i,-0.0011635+0.0012522i,-0.0032315+0.004589i,0.007267-0.00049266i,-0.0088554+0.002088i,-0.0030384-0.0047122i,-0.0024352-0.0002089i,-0.0050919+0.0014594i,0.0026059-0.0050799i,0.0047517+0.00045233i,0.0022032-0.0026238i,0.0049772+0.0084466i,0.0044362+0.00059501i,0.026562+0.015109i,-0.022069+0.0023157i,-0.025547+0.023232i,-0.0019637+0.012635i,0.0021977+0.003368i,0.0037213-0.007551i,-0.011608+0.0053091i
0.0090901+0.01219i,0.036565-0.021745i,0.012507-0.038041i,-0.0070378-0.010435i,-0.016732-0.014287i,-0.014361-0.02046i,0.0090042-0.022283i,0.026019-0.0185i,0.0020334-0.014852i,0.0063132-0.0043209i,-0.00048713-0.0044333i,-0.0018401+0.00012064i,-0.00083183-0.0022289i,-0.00031843-0.001411i,-0.0027961-0.00094133i,0.0021602-0.0076i,-0.0020076+0.0024662i,-0.0021867+0.0012433i,0.00035238+0.00022332i,0.0019985+0.00011533i,0.0019598+0.001883i,-0.00018658+0.0014271i,0.0023513+0.00071015i,0.0042289+0.0025542i,0.00025529-0.00016157i,0.00059824+0.0011076i,-0.00028827+0.0012935i,0.00045367-0.00010558i,0.00033242+0.0005194i,0.00037194+0.00021021i,-0.00062035-0.0014081i,0.0016687-0.001525i,0.0012693-0.001189i,-0.00021594-4.7357e-05i,0.0021067-0.00074935i,0.0025681-0.0046232i,0.00026118+0.0015583i,0.00041102-0.00019682i,0.00035169-2.1036e-05i,-0.0015727-0.0018624i,0.0021465-0.00072887i,0.0011286-0.00052242i,-0.00029704-0.0063168i,0.0055052-0.00085544i,0.0093495+0.0097307i,0.024213+0.023058i,0.043023+0.0070676i,0.02522-0.0082566i,-0.0059587-0.0080187i,0.023437-0.011406i,0.029351+0.0066535i,0.024453+0.0057704i,0.01775+0.0081205i,0.0046947+0.027249i,-0.0024338-0.0057332i,-0.0041833-0.0017013i,-0.0013749-0.0088275i,0.0033686-0.0056823i,0.0025207+0.0024701i,-0.00035837+0.012296i,-0.0049156-0.00093912i,0.0067077+0.010222i,-0.0043916+0.0021816i,0.0036081+0.0024774i,0.00096654+0.00095911i,-0.0020002-0.0025709i,0.0045744-0.008153i,-0.0038688+0.0012686i,0.0033906-0.0054094i,-0.0028342+0.0046909i,-0.0020226+0.00016067i,-0.00065592-0.00070817i,-0.0038924+0.0034229i,-0.0035675-0.00033653i,-0.015114+0.0015782i,0.00035768-0.0038825i,-0.0013364+0.0024226i,-0.0012357+0.0014337i,-0.00088399+0.0045361i,0.0071497-0.0037571i,-0.0069056+0.0051229i,-0.0044731-0.0032632i,-0.0023067-5.7645e-05i,-0.00387+0.0027309i,0.0010331-0.004239i,0.0043676-0.00133i,0.0020852-0.0030263i,0.0055088+0.0052225i,0.0033571+0.0002555i,0.026578+0.0097326i,-0.01977+0.0060748i,-0.020013+0.02962i,-0.0011815+0.010068i,0.0051324+0.0041662i,0.0013883-0.0059834i,-0.011125+0.0080639i
0.010891+0.010318i,0.031485-0.02709i,0.0057094-0.038696i,-0.0078802-0.0088737i,-0.02007-0.010105i,-0.017322-0.017659i,0.0031625-0.023319i,0.022818-0.022957i,0.00028107-0.014146i,0.004613-0.0055476i,-0.0023788-0.0034111i,-0.0012337+0.0004431i,-0.0011978-0.001257i,-0.00045971-0.0015379i,-0.0027864+0.00033364i,0.00027683-0.0077136i,-0.0012754+0.0021283i,-0.0017426+0.0024401i,0.00054826+0.00067208i,0.0015815-0.00065095i,0.0023886+0.00090483i,-0.00016592+0.0015686i,0.002279-4.2374e-05i,0.004833-0.0002883i,0.00067099-0.00066228i,0.00082662+0.00077245i,0.00030278+0.0013129i,0.00064912-0.0001593i,0.00057109+0.00035615i,0.0005328-0.00017021i,-0.0010749-0.0011915i,0.0008387-0.0019568i,0.0007946-0.0015022i,-0.00013419-0.00019098i,0.001606-0.002342i,0.0015295-0.0049495i,0.0010686+0.0011028i,0.00040323-0.00022449i,0.00049389-0.00023171i,-0.0025873-0.0013023i,0.0016265-0.0013003i,0.00063475-0.00066924i,-0.0015534-0.0052389i,0.0048179-0.0023803i,0.011416+0.007248i,0.028676+0.017135i,0.043146+6.8794e-05i,0.022862-0.01292i,-0.0048064-0.0036196i,0.022979-0.018617i,0.0303-0.00057238i,0.025774-0.0026686i,0.015414+0.0028485i,0.011104+0.023523i,-0.0037546-0.0037972i,-0.0054061+0.0012708i,-0.0059601-0.0081574i,0.00069083-0.0052234i,0.0022752+0.0022978i,0.0031669+0.011125i,-0.003427+0.00079203i,0.0068813+0.0071483i,-0.0018648+0.0046849i,0.005104+0.0014464i,0.0018015+0.00057291i,-0.00278-0.0010567i,0.002254-0.0098454i,-0.0030686+0.0020035i,0.0017475-0.0069775i,-0.00077652+0.0037804i,-0.0026636+0.0003045i,-0.00084343-0.00046914i,-0.0017827+0.0048297i,-0.0030943+0.00035155i,-0.011867+0.00651i,-0.0014165-0.0044308i,-5.8732e-05+0.0020172i,-0.0011843+0.001288i,0.00063633+0.0034254i,0.0056389-0.0068499i,-0.0033886+0.0067981i,-0.0045501-0.0013352i,-0.0025431+0.00023069i,-0.0028531+0.0037102i,9.3866e-05-0.003642i,0.0033121-0.002247i,0.0016619-0.0038293i,0.0044527+0.0040804i,0.0028271+0.00034565i,0.026075+0.0044947i,-0.017649+0.0069982i,-0.012005+0.032602i,-0.00027876+0.0091671i,0.0072832+0.0037589i,0.000566-0.0036772i,-0.0091574+0.010258i
0.012031+0.008021i,0.025767-0.031072i,-0.00097538-0.038343i,-0.0089323-0.0080325i,-0.021228-0.0056179i,-0.019874-0.014442i,-0.0020211-0.022699i,0.018742-0.026446i,-0.00062311-0.013773i,0.0026525-0.0059311i,-0.0030804-0.0017881i,-0.00095464+0.00055824i,-0.0011472-0.0005114i,-0.0010902-0.00129i,-0.0019535+0.0013973i,-0.0017255-0.0070877i,-0.00069322+0.0023435i,-0.00044041+0.0031607i,0.00097107+0.00061115i,0.00089413-0.001088i,0.0023787-0.00010234i,0.00019987+0.0016442i,0.0020492-0.00074083i,0.0035575-0.0025868i,0.00029454-0.001504i,0.00096978+0.00050622i,0.00084863+0.001183i,0.00075777-0.00039879i,0.00060793+0.0001306i,0.00026554-0.00047293i,-0.0014464-0.00080531i,0.00013569-0.0020104i,0.00010548-0.0016833i,-0.00026411-0.00015055i,-7.209e-05-0.002903i,0.00054841-0.0050849i,0.0013864+0.00042104i,0.00033808-0.00053154i,0.00068903-0.00052671i,-0.0032776-0.00031555i,0.00097693-0.0016598i,0.00035261-0.00055439i,-0.0024122-0.0040683i,0.0040087-0.0034118i,0.013323+0.0040077i,0.030962+0.0099786i,0.042139-0.0069796i,0.020507-0.017791i,-0.0011819-0.00032553i,0.019688-0.026003i,0.029609-0.0071641i,0.024-0.010749i,0.011991+0.00013678i,0.016245+0.017931i,-0.0038451-0.0027324i,-0.0048054+0.0048991i,-0.010508-0.0048868i,-0.0012704-0.0043283i,0.0024419+0.002209i,0.0060691+0.0094465i,-0.0017128+0.001124i,0.0058276+0.0051392i,0.0015229+0.0038173i,0.0062836-0.00085179i,0.0023828-0.00043588i,-0.0025428+0.00099224i,-0.001251-0.011512i,-0.0028901+0.0029373i,-0.00051062-0.0078335i,-0.00058294+0.0032957i,-0.0032538+0.0011185i,-0.00086549-0.00035072i,0.0019603+0.0051271i,-0.0027612+0.00028383i,-0.0069813+0.009501i,-0.0039451-0.0038415i,0.00069372+0.0010039i,-0.0011176+0.0014267i,0.0013261+0.0023139i,0.0031197-0.0092215i,-0.00014596+0.0061493i,-0.0036066-0.00019395i,-0.002329+0.00077401i,-0.0012871+0.004738i,-0.00091404-0.0028335i,0.0022939-0.0026053i,0.0005374-0.004351i,0.0037436+0.0035271i,0.0026742+0.00029834i,0.024738-0.00024004i,-0.018931+0.0067669i,-0.0048988+0.031418i,0.0010625+0.0071263i,0.0088312+0.0018767i,0.00099237-0.0020451i,-0.0062361+0.01131i
0.012905+0.0057505i,0.019997-0.033785i,-0.0072884-0.036902i,-0.01-0.0067622i,-0.021658-0.0017723i,-0.021569-0.010863i,-0.0062134-0.02146i,0.014258-0.029695i,-0.0013159-0.014502i,0.0012551-0.0055906i,-0.0028857-0.00028828i,-0.00071159+0.0008565i,-0.00094405+0.0001843i,-0.0012698-0.00051057i,-0.00095093+0.0016151i,-0.0030431-0.0056639i,0.00047399+0.0024027i,0.00087314+0.0027818i,0.001262+0.0003382i,0.00029599-0.0010434i,0.0019847-0.00096841i,0.00057444+0.0015976i,0.0014287-0.0014131i,0.0017631-0.0036318i,-0.00065831-0.0016917i,0.0010611+0.00028315i,0.0014288+0.00081694i,0.00058395-0.00069968i,0.00066432-5.7737e-05i,-0.00012726-0.00035317i,-0.0016768-0.00023156i,-0.00060873-0.0018577i,-0.00054044-0.001322i,-6.9115e-05-0.00010537i,-0.00085953-0.0022324i,-0.00047092-0.0051289i,0.0014866+4.4219e-05i,-3.0651e-05-0.00068969i,0.00045663-0.00089623i,-0.0034859+0.00094952i,0.000287-0.0017404i,0.00030024-0.00035632i,-0.0026994-0.0027928i,0.0029707-0.0043304i,0.013686-0.00061046i,0.031292+0.0024155i,0.039872-0.013833i,0.015908-0.022628i,0.0042667-0.0011088i,0.013275-0.03173i,0.028037-0.012946i,0.020824-0.016698i,0.0097928+0.00066009i,0.019105+0.010726i,-0.0044998-0.0020338i,-0.001821+0.0074402i,-0.012854+0.00044083i,-0.0028113-0.0031414i,0.0025965+0.002196i,0.0074511+0.0070337i,-0.0006155+0.00033355i,0.0048942+0.0040495i,0.002118+0.0020258i,0.0056471-0.0036038i,0.0021324-0.0021165i,-0.00035158+0.0023029i,-0.0064428-0.0098026i,-0.0017971+0.0047386i,-0.0040685-0.007678i,0.0008942+0.003564i,-0.0033566+0.0025504i,-0.0009095-0.000233i,0.005416+0.0016405i,-0.002658+0.00050865i,-0.0010679+0.0090512i,-0.0059681-0.0016989i,0.00057369-7.7444e-05i,-0.0013186+0.0014439i,0.0016598+0.0010602i,-0.00077375-0.010846i,0.0022463+0.0044797i,-0.0031033+5.5302e-05i,-0.0022744+0.0011947i,0.0011233+0.0047421i,-0.0010097-0.0016738i,0.0015614-0.0024743i,-0.00052017-0.0045531i,0.003144+0.0034413i,0.00221+0.00026069i,0.0229-0.0035067i,-0.021399+0.010167i,0.00032205+0.029157i,0.0012212+0.0039333i,0.009442-0.0004691i,0.0015652-0.001865i,-0.0032367+0.010747i
