-0.02424-0.038405i,-0.011581-0.050132i,-0.017952-0.044916i,-0.030838-0.035304i,-0.030106-0.01613i,-0.050635-0.027418i,-0.057954-0.025533i,-0.044944-0.037245i,-0.02946-0.034525i,0.007998+0.012655i,-0.005498+0.015196i,-0.0045924+0.014514i,0.010556+0.020782i,0.00034462+0.0044246i,0.0033857+0.0033208i,0.0065903+0.017878i,0.026522+0.034908i,-0.0028181-0.0010528i,-0.0046544-0.0060365i,0.0068717+0.0026516i,-7.8833e-05-0.00071115i,-0.0011636+0.0027657i,0.00012324-0.00024986i,-0.029767-0.0021376i,-0.0014671-0.0059426i,0.0014114+0.0043376i,0.0030692-0.00020032i,-0.00037848+0.00069095i,0.00058892-0.00035978i,-0.00092122-0.0026288i,-0.0019578-0.0058613i,-0.0046156-0.0045872i,-0.0021674-0.005002i,0.0022999-0.00065055i,0.0022661-0.0028818i,-0.00012919+0.025472i,0.0013892-0.0032738i,0.0025229+0.00093123i,0.0057515+0.0010444i,-0.010493-0.0028963i,-0.0038243+0.00049424i,0.0057541+0.00056175i,0.0064716-0.00035538i,-0.0033299+0.0045317i,0.0016913-0.0090799i,-0.011767+0.017946i,0.035471-0.090857i,0.012233-0.07009i,-0.015859-0.059615i,-0.017012-0.055547i,0.038989-0.046816i,0.01694-0.06273i,0.03393-0.055718i,0.030996-0.059914i,0.01558-0.013378i,0.0044497+0.016856i,0.016614-0.026778i,-0.011335+0.0054562i,-0.00047229+0.0051474i,-0.0050093-0.0011833i,-0.0021133-0.02861i,-0.023709+0.031446i,0.010008-0.011323i,-0.013192-0.0024789i,-0.00010047-0.0049091i,-0.0010509-0.016287i,-0.0076058+0.0045404i,0.0050179+0.0062143i,-0.0089999+0.030711i,0.0051679+0.0060714i,-0.0051076-0.00043813i,-0.0029366-0.00042573i,-0.012246-0.0079798i,-0.00080214-0.0041058i,-0.02321+0.0011474i,0.00031782-0.0099298i,-0.0095009-0.0016024i,-0.0065057-0.0027277i,0.0068815+0.0032606i,-0.0075799+0.0017854i,2.5813e-06+0.00075087i,0.0054596+0.01138i,0.0038819+0.001078i,-0.0090335-0.010091i,0.003279+0.0079573i,-0.021657+0.0061234i,0.008603+0.00018386i,-0.028877-0.0032444i,-0.041774+0.0028915i,0.019945-0.096806i,-0.0016068-0.012333i,-0.052381-0.022053i,-0.023049+0.00058748i,0.017847+0.010986i,-0.02482+0.012897i,-0.019822-0.012781i
0.0083483+0.021642i,0.014778+0.051654i,0.024727+0.035105i,0.01741+0.027312i,0.024732+0.026943i,0.032665-0.014628i,0.0177-0.0090082i,0.03024+0.0065162i,0.012247+0.013697i,0.0028734+0.0039875i,0.0050834+0.0028636i,0.0042827+0.0033522i,0.0059284+0.0027768i,0.005036+0.0035919i,0.0030393-0.0033623i,0.0080826-0.0015374i,0.010214-0.0038477i,-0.0016353-0.001416i,-0.0031805+0.00052893i,0.0001046+0.0012683i,-0.0010696-0.0002024i,-0.0026663+0.0011622i,-0.0018779+0.0010038i,0.0044615+0.0076961i,0.0015372+0.0010015i,0.0024648+0.00049137i,0.0019236+0.0011235i,0.0012016+0.0013822i,0.00066166+0.00011974i,-0.00047717+0.00089057i,-0.0022636-0.003193i,-0.00080974-0.00045959i,-0.00094052+0.00095279i,-0.0011655+0.00024557i,-0.00061504-0.0016341i,-0.0068553+0.0076241i,0.0012562+0.00026604i,0.0013084-0.00050463i,-0.0010374+0.002309i,6.111e-05-0.0036608i,-0.0012273+0.00034545i,-0.0020155-0.00046367i,0.0020893+0.00063135i,0.0071438+0.0048922i,-0.01343+0.033139i,-0.081171+0.035739i,-0.051232+0.038365i,-0.037117+0.059872i,-0.018388+0.072586i,-0.0086007+0.051548i,0.011193+0.037497i,0.0034298-0.0018142i,-0.036293+0.0091603i,-0.046203+0.019624i,0.0018663+0.024164i,-0.0081826+0.0025357i,-0.01055-0.00063589i,-0.013471-0.002233i,0.0023498+0.00050676i,0.0060966+0.0096059i,-0.0021143+0.0086224i,-0.0060196-0.011972i,0.0055315-0.0066347i,-0.0066073-0.0067262i,0.0019015-0.0060792i,0.0036156-0.0040991i,-0.0015828+0.0099962i,0.0098547-0.0039836i,0.0051197-0.0057852i,0.0030835-0.0065558i,0.0032479-0.00028287i,-0.0011339-0.0045414i,-0.0034137-0.00057629i,0.0025706-0.00045737i,-0.0065426+0.025042i,-0.0042283-0.0040284i,0.0019822+0.00040808i,0.00016335-0.0065234i,0.0023726-0.0014211i,-0.014774-0.0024944i,0.00058683+0.00012583i,0.0052951-0.0032644i,0.003034-0.0007344i,0.00023176-0.004462i,-0.00041116+0.0060037i,-0.0012205+0.0068496i,-0.0031258+0.0043704i,-0.012199+0.0030059i,-0.015018-0.0019514i,-0.039474+0.057135i,0.0005147+0.0045956i,-0.025035-0.017111i,-0.0054966-0.0057299i,0.0093342+0.020196i,-0.0013341+0.022694i,-0.00069213-0.0007792i
0.01099+0.017953i,0.022867+0.046939i,0.030296+0.030569i,0.022249+0.024948i,0.030516+0.022863i,0.029338-0.020371i,0.014917-0.012416i,0.030858+0.00047713i,0.014224+0.010764i,0.003968+0.0027475i,0.0057435+0.0015729i,0.004177+0.0031458i,0.0060312+0.0016792i,0.0056453+0.0022772i,0.0019155-0.0038689i,0.006627-0.0029773i,0.0075801-0.0064963i,-0.0013851-0.0011641i,-0.0025391+0.0005688i,0.00066009+0.00048815i,-0.0013109-0.00022764i,-0.0023325+0.0016739i,-0.001511+0.0010862i,0.0080192+0.0051415i,0.0014595+0.0010625i,0.0027615-0.00057121i,0.002017+9.4462e-05i,0.0019799+0.00057825i,0.00024483+6.2179e-06i,-0.00035674+0.00099771i,-0.0033087-0.001821i,-0.0012054-0.00049247i,-0.00068477+0.0012008i,-0.00089893+0.00065615i,-0.0012995-0.00053255i,-0.0039757+0.0088518i,0.00099975-0.00029741i,0.00099665-0.00086669i,8.3336e-05+0.0021547i,-0.0012388-0.0032431i,-0.0010626+0.00041601i,-0.0021307+0.00018072i,0.0017387+0.00061165i,0.0076511+0.0038057i,-0.0074068+0.034513i,-0.069332+0.049654i,-0.047216+0.046933i,-0.026981+0.063728i,-0.0023504+0.069888i,0.0023474+0.049619i,0.011111+0.031471i,-0.0025295-0.006309i,-0.03738+0.011311i,-0.037269+0.021756i,0.0077314+0.022018i,-0.0083672+0.0049096i,-0.0097258+0.0050041i,-0.01325+0.001261i,0.0013058-0.0008893i,0.007969+0.0090135i,0.0021419+0.011537i,-0.012118-0.010142i,0.0010217-0.0072996i,-0.0061431-0.0029267i,-0.001439-0.0059637i,0.0013011-0.0052695i,0.0028401+0.0079514i,0.0063577-0.0065811i,0.0010392-0.0059132i,6.9896e-05-0.0041072i,0.0040265-0.0013856i,-0.0023276-0.003942i,-0.001364+0.0013729i,0.0028129-0.00071343i,0.003283+0.025528i,-0.0052217-0.0031818i,0.0026903-0.0016706i,-0.0032958-0.0059101i,0.0027103-0.0022206i,-0.013312+0.0036731i,0.00095506+0.00051694i,0.0034276-0.0030539i,0.0032273-0.0020422i,-0.0008955-0.0041244i,0.0015059+0.0027609i,0.0017077+0.005627i,-0.00028211+0.0056222i,-0.010675+0.00663i,-0.016205+0.0015731i,-0.028175+0.058428i,0.00073104+0.0055727i,-0.029089-0.011718i,-0.0089487-0.0096558i,0.012118+0.018906i,0.0030197+0.024136i,-0.0032855-0.0017741i
0.012353+0.015002i,0.029246+0.040365i,0.03579+0.023705i,0.027886+0.020197i,0.036188+0.01714i,0.024735-0.025701i,0.011328-0.015407i,0.030365-0.0058793i,0.015805+0.0078922i,0.0040653+0.0013751i,0.0055035-0.00036294i,0.0050542+0.002954i,0.005977+5.8102e-05i,0.0059674+0.00057939i,0.00069613-0.0040132i,0.0050047-0.0039515i,0.0051704-0.0076409i,-0.0017807-0.0011057i,-0.0019507+0.0013017i,0.00043504-0.00053265i,-0.0018414-0.00014334i,-0.0018064+0.002245i,-0.00142+0.0011827i,0.008842+0.00090051i,0.0020913+0.00045832i,0.001972-0.0016046i,0.0015821-0.00062852i,0.0012814-0.00035609i,0.00018856+0.0001299i,-0.00014828+0.0011544i,-0.0036764-0.00020199i,-0.0018647+0.00044654i,-4.5898e-05+0.0014947i,-0.00054119+0.00090116i,-0.00099728+0.0004474i,-0.0011738+0.0094098i,0.00069412-0.00041901i,0.00052702-0.0013652i,0.00070576+0.0014774i,-0.0024706-0.0024198i,-0.00096025+0.00052442i,-0.0020342+0.0008799i,0.001705+0.0010075i,0.0085727+0.0022152i,0.00013113+0.034516i,-0.056251+0.059972i,-0.039136+0.05521i,-0.015733+0.064526i,0.012063+0.06312i,0.012164+0.047356i,0.010819+0.027994i,-0.0081038-0.0069034i,-0.037982+0.016504i,-0.030018+0.020855i,0.012255+0.017489i,-0.0078204+0.0068823i,-0.0074975+0.0080019i,-0.012299+0.0045089i,-0.00068479-0.0026585i,0.010125+0.0072404i,0.0072454+0.010914i,-0.016432-0.0058032i,-0.001061-0.0050177i,-0.0052487-0.00019888i,-0.0033343-0.0039317i,-0.0011225-0.0046444i,0.0050851+0.0067939i,0.0039027-0.0072508i,-0.0020832-0.0045001i,9.1399e-05-0.0019693i,0.0037122-0.0040124i,-0.0038211-0.0030664i,-7.3852e-05+0.00077338i,0.0024175-0.0015677i,0.013514+0.019457i,-0.0065997-0.0012802i,0.0024422-0.002937i,-0.0032868-0.003722i,0.003069-0.0037232i,-0.0093405+0.008353i,0.0021444+0.0004559i,0.0020647-0.0036278i,0.0019448-0.0027717i,-0.0011997-0.0030435i,0.00088692+0.0018074i,0.0037642+0.0035909i,0.002427+0.0050933i,-0.0084851+0.0087377i,-0.016247+0.0062598i,-0.019432+0.05791i,0.0044315+0.0056827i,-0.030542-0.0060098i,-0.01285-0.010929i,0.016454+0.015122i,0.0087634+0.024695i,-0.00526-0.0011649i
0.013211+0.012645i,0.032713+0.034077i,0.038269+0.015733i,0.031651+0.012812i,0.040084+0.009059i,0.018641-0.029533i,0.0070649-0.017014i,0.027924-0.011807i,0.016881+0.0047919i,0.00368+0.00069694i,0.0046762-0.001155i,0.0059291+0.001925i,0.0051544-0.00088675i,0.0054544-0.0010381i,-0.00060715-0.0037906i,0.0033929-0.0042135i,0.00219-0.0078513i,-0.0018302-0.00049734i,-0.0011379+0.0020704i,-0.00040404-0.00091291i,-0.0021192+0.00070035i,-0.0011859+0.0028264i,-0.0012747+0.0014735i,0.0075095-0.0025001i,0.0018681-0.00035773i,0.00097292-0.0017692i,0.001038-0.00090869i,0.00096922-0.0010094i,0.00027815-4.9441e-05i,0.00020466+0.0013409i,-0.0033432+0.001601i,-0.0013224+0.0014108i,0.00062843+0.0011538i,-0.00020966+0.00091885i,-0.0005089+0.00098862i,0.001807+0.0087146i,0.00048824-0.00058993i,-5.7032e-05-0.001504i,0.0008687+0.0011607i,-0.0028575-0.0012393i,-0.00090856+0.00078308i,-0.0017008+0.0012904i,0.0022688+0.0011684i,0.0092231+0.00028583i,0.0069586+0.031515i,-0.040967+0.067276i,-0.029836+0.061322i,-0.0068488+0.063894i,0.024229+0.052175i,0.021919+0.041168i,0.0098002+0.026501i,-0.014554-0.0049599i,-0.037166+0.023155i,-0.025633+0.018559i,0.015067+0.011578i,-0.0059868+0.0096909i,-0.0042701+0.011326i,-0.010604+0.0074673i,-0.0043909-0.0016245i,0.012216+0.0040491i,0.011596+0.0080384i,-0.018424-4.7908e-05i,-0.0019894-0.0039387i,-0.0033706+0.0012678i,-0.003938-0.0015617i,-0.0024856-0.0033134i,0.0071879+0.0033863i,0.0016513-0.0075069i,-0.0044203-0.00077702i,0.0011475-0.0010821i,0.0014645-0.0058332i,-0.0043897-0.00080371i,0.00085269+0.00087057i,0.0021272-0.0020428i,0.02013+0.0097636i,-0.0066968+0.0019194i,0.0020046-0.0043637i,-0.003308-0.0023989i,0.001448-0.0060177i,-0.0040408+0.0095652i,0.0031987-0.00069104i,0.00092051-0.0027686i,0.00097881-0.0028692i,-0.0015651-0.002988i,0.00045522+0.0017288i,0.0037998+0.00092684i,0.0045861+0.0039473i,-0.0057416+0.010179i,-0.01461+0.010655i,-0.011826+0.058489i,0.010901+0.0014883i,-0.029457-7.2027e-05i,-0.018108-0.010855i,0.017478+0.0099203i,0.015201+0.02263i,-0.0052687-0.0005214i
0.014565+0.010595i,0.036028+0.029057i,0.039301+0.0087422i,0.032867+0.0052909i,0.041375+0.00026306i,0.012637-0.031858i,0.0030591-0.016936i,0.024629-0.016626i,0.017575+0.0014743i,0.0033948+0.00018135i,0.0040969-0.0015862i,0.0065266+0.00051578i,0.004642-0.0012074i,0.0045549-0.0021944i,-0.001629-0.0028925i,0.0021566-0.0037822i,7.369e-05-0.0071043i,-0.0019419+8.2338e-05i,-0.00068937+0.0019825i,-0.0011362-0.00072615i,-0.0018926+0.0013588i,-3.8028e-05+0.0031323i,-0.00095928+0.0019178i,0.0052331-0.0046805i,0.0013614-0.00074741i,0.00040216-0.0017578i,0.00062441-0.0010787i,-0.0001364-0.00049112i,0.00011318-6.5104e-05i,0.00090063+0.0012845i,-0.0020616+0.0029019i,-0.00053905+0.0017762i,0.00085768+0.000753i,0.00026466+0.0012327i,0.0001833+0.0011113i,0.0044585+0.0070089i,0.00019759-0.00056199i,-0.00055974-0.0013518i,0.0014677+0.00081171i,-0.0030006-0.00017848i,-0.00058989+0.00078166i,-0.0012686+0.0016687i,0.0029167+0.00084478i,0.0087228-0.0024261i,0.011575+0.027284i,-0.024679+0.070016i,-0.018004+0.065923i,0.0026232+0.063388i,0.030191+0.039063i,0.027959+0.033452i,0.010433+0.027961i,-0.018298+0.0019629i,-0.034069+0.032134i,-0.024458+0.016457i,0.014066+0.0059043i,-0.0026291+0.01169i,0.00085445+0.011637i,-0.0085375+0.010037i,-0.0054827+0.0017652i,0.012594-0.0012337i,0.014415+0.0031885i,-0.018533+0.0058909i,-0.0023471-0.002033i,-0.0022866+0.0015993i,-0.0026862+0.00015011i,-0.0037522-0.0012629i,0.0069485+0.00053104i,-0.00065134-0.0067698i,-0.0032048+0.0031171i,0.0024559-0.0016948i,-0.0012676-0.0061027i,-0.0034268+0.00096397i,0.0021293+0.00018308i,0.0017531-0.0024349i,0.020245+0.00044296i,-0.0044353+0.0043817i,0.00034379-0.0057473i,-0.0026542-0.001946i,-0.0010808-0.006575i,-0.00024397+0.0085188i,0.0028997-0.0024179i,0.00095291-0.0013139i,0.00080191-0.0026663i,-0.00094053-0.0018345i,0.00091078+0.0019748i,0.0022619-0.00035681i,0.0054027+0.0013822i,-0.0034528+0.0098436i,-0.010916+0.015306i,-0.0032712+0.058122i,0.012875-0.0095046i,-0.025711+0.0021656i,-0.023769-0.0080918i,0.017986+0.0054089i,0.020539+0.016454i,-0.0062424-0.001022i
0.01598+0.0080618i,0.039572+0.023449i,0.040052+0.0017081i,0.032703-0.0021939i,0.041127-0.0082797i,0.0063376-0.033321i,0.00016702-0.016087i,0.020872-0.020538i,0.017843-0.0022676i,0.0029194-0.000251i,0.003948-0.0019892i,0.0067246-0.00097526i,0.0048801-0.0017376i,0.00353-0.0030085i,-0.0021286-0.0019933i,0.0015928-0.0031429i,-0.0012994-0.0064469i,-0.0016057+0.00047599i,-0.0002829+0.0019825i,-0.0015666-0.00017646i,-0.0012808+0.0018183i,0.0013183+0.0027398i,-0.00032788+0.0022128i,0.0023288-0.0056364i,0.0011518-0.00097341i,-0.00024441-0.001627i,0.00017624-0.0012183i,0.00068851-0.001525i,-1.2244e-08+9.2357e-05i,0.0013638+0.00068668i,-0.00056052+0.0032859i,0.00029237+0.0017749i,0.00093438+0.00043193i,0.00094367+0.0010479i,0.00060553+0.00054593i,0.0056037+0.0047387i,4.4543e-05-0.00043079i,-0.00091025-0.0009837i,0.0013427+0.00015985i,-0.0024911+0.00064172i,-0.00043468+0.0008323i,-0.00070026+0.0017731i,0.0033739+0.00026542i,0.0075592-0.0043716i,0.014948+0.023062i,-0.010111+0.068314i,-0.0044276+0.06629i,0.012664+0.061157i,0.032098+0.02715i,0.031724+0.02558i,0.013616+0.029807i,-0.016965+0.010867i,-0.025798+0.042241i,-0.025149+0.016811i,0.012195+0.0027245i,0.0013925+0.01173i,0.004629+0.0098755i,-0.0055673+0.012217i,-0.0045919+0.0040674i,0.0098877-0.0069929i,0.014434-0.0029698i,-0.016441+0.010846i,-0.0015379-0.00095686i,-0.001167+0.0013166i,-0.0016637+0.00036592i,-0.0031803+0.0014586i,0.005594-0.0012151i,-0.0020989-0.0052459i,6.9177e-05+0.0043212i,0.0024942-0.0033537i,-0.0036719-0.004576i,-0.0025437+0.0016276i,0.0023978-0.0011599i,0.0016279-0.0026916i,0.017074-0.0071462i,-0.0018885+0.0052575i,-0.0019437-0.0056692i,-0.0028469-0.0016401i,-0.0034211-0.0057304i,0.0020497+0.0069754i,0.0023061-0.0036836i,0.0024913-0.0013847i,0.00048612-0.0033638i,-0.00027002-0.0024671i,0.0013524+0.0020224i,0.00091619+0.00014985i,0.0048988-0.0002602i,-0.001905+0.0091202i,-0.0052104+0.017512i,0.0052476+0.056348i,0.0068355-0.018796i,-0.023798+0.0010315i,-0.028621-0.0020634i,0.016425-0.00010445i,0.02203+0.0098684i,-0.0072065+2.6096e-05i
0.017236+0.0051602i,0.042163+0.017004i,0.038837-0.0064344i,0.030102-0.0099753i,0.039186-0.017265i,-0.00033195-0.033156i,-0.0018844-0.015173i,0.016671-0.02402i,0.016895-0.0060348i,0.0024261+4.7771e-05i,0.0033401-0.0025602i,0.0064291-0.0030492i,0.0046987-0.0029889i,0.0023569-0.0034987i,-0.0024176-0.0010288i,0.0015525-0.002855i,-0.0027024-0.0055814i,-0.0016113+0.00092518i,0.00038565+0.0017525i,-0.0019432+0.00054561i,-0.0008719+0.0019749i,0.0022043+0.0017823i,0.00026219+0.002214i,-0.00061663-0.0051816i,0.0006896-0.001661i,-0.00077986-0.0010985i,-0.00038866-0.001172i,-0.000258-0.00083278i,0.00024404+0.00023871i,0.0012477+3.6671e-05i,0.00098375+0.0030029i,0.00086939+0.0016442i,0.0008396+9.7684e-05i,0.001417+0.00088235i,0.00042577-7.5171e-05i,0.006259+0.0022247i,-0.00010828-0.00029122i,-0.0011741-0.00060305i,0.0012763-0.000134i,-0.0018297+0.00095949i,-0.00027482+0.00089128i,-0.00013056+0.0016882i,0.0037591-0.00077311i,0.0057384-0.006102i,0.017193+0.018707i,0.0023522+0.064511i,0.0077137+0.062523i,0.021994+0.057256i,0.030661+0.017058i,0.033536+0.018635i,0.0195+0.029913i,-0.0096367+0.016729i,-0.012344+0.047416i,-0.025557+0.020198i,0.010414+0.0009622i,0.0044793+0.0099571i,0.0069077+0.0068395i,-0.0019508+0.013106i,-0.0039652+0.0055179i,0.003325-0.0096507i,0.010961-0.0076937i,-0.012909+0.014721i,-0.00060318-0.0015377i,-0.00085715+0.00066445i,-0.001362+0.00027003i,-0.00085545+0.0028065i,0.0042643-0.0014222i,-0.0027484-0.0041941i,0.0026775+0.0035773i,0.0011787-0.0050817i,-0.0045531-0.0025556i,-0.0013454+0.0022417i,0.0016988-0.0024341i,0.0011483-0.0036087i,0.01128-0.011959i,0.00029847+0.004971i,-0.0035655-0.0043716i,-0.0025447-0.0013085i,-0.0048573-0.0045111i,0.003563+0.0052602i,0.0014787-0.0051945i,0.0031303-0.0030329i,-0.00050502-0.0036675i,-0.0012619-0.0032577i,0.0027769+0.0021635i,0.00090012+0.0018627i,0.0038472-0.0009994i,-0.00082496+0.0089255i,5.7809e-05+0.016715i,0.013431+0.054152i,-0.0021211-0.023941i,-0.026382-0.00051013i,-0.029962+0.0058667i,0.011312-0.0039365i,0.022189+0.0037871i,-0.0064115+0.00060912i
0.018171+0.0015696i,0.04418+0.010869i,0.035364-0.013281i,0.024842-0.015802i,0.034483-0.025496i,-0.0061169-0.031309i,-0.0033953-0.014326i,0.011828-0.026209i,0.01557-0.0094592i,0.0028604+0.00054076i,0.0028952-0.0026202i,0.004907-0.0048085i,0.0039757-0.004056i,0.0013114-0.0034981i,-0.0022057-9.5929e-05i,0.0014263-0.0026915i,-0.0044463-0.0040411i,-0.0011326+0.0016415i,0.00069043+0.0011019i,-0.0017146+0.0017261i,-0.00028921+0.0023017i,0.0023562+0.00051165i,0.00089961+0.0021382i,-0.0026778-0.003409i,-0.00052301-0.00162i,-0.00090041-0.00054562i,-0.00077141-0.00090577i,-0.00051912-0.00053609i,0.00034942-9.3815e-05i,0.0010301-0.00035661i,0.0021288+0.0020721i,0.0013603+0.0010865i,0.00077687-0.00011267i,0.0015092-0.0008292i,7.3556e-05+7.7971e-05i,0.0066708+0.00028869i,-0.00012897-0.00012884i,-0.001421-9.4192e-05i,0.0011428-0.00040745i,-0.0011494+0.0010792i,-4.9271e-05+0.000985i,0.00030011+0.0014588i,0.0032661-0.0021089i,0.0031051-0.006616i,0.018453+0.01452i,0.013002+0.058389i,0.016616+0.057036i,0.030986+0.0518i,0.027632+0.0098731i,0.033869+0.012255i,0.025426+0.027259i,-0.001997+0.017191i,0.0018475+0.047117i,-0.023684+0.024808i,0.0095884-3.2449e-05i,0.0068486+0.0075418i,0.0074167+0.0040008i,0.0019917+0.012541i,-0.0024506+0.0074495i,-0.0024962-0.0079595i,0.0067301-0.0095207i,-0.0083866+0.017484i,-0.0013763-0.0025945i,-0.0012623+0.00065729i,-0.0012053+0.00047063i,0.0016358+0.0026178i,0.0035548-0.0017727i,-0.0035819-0.0033211i,0.0040957+0.0017189i,-0.001666-0.0058288i,-0.0045929-0.00060533i,-1.9479e-05+0.001686i,0.0010843-0.003207i,-1.6488e-05-0.0047715i,0.0053739-0.013613i,0.0020937+0.0040928i,-0.0044607-0.0034027i,-0.0032607-0.0013329i,-0.0061534-0.0025915i,0.0038855+0.003863i,-0.00053994-0.0064968i,0.002882-0.004638i,-0.0012892-0.0031151i,-0.0020893-0.0030334i,0.0035628+0.0014413i,0.0019682+0.0027145i,0.0031442-0.0015339i,0.00029627+0.0092203i,0.004095+0.014156i,0.022536+0.050633i,-0.012709-0.025521i,-0.030364+0.0010191i,-0.027305+0.013539i,0.0066114-0.0033209i,0.019764-0.0026037i,-0.0058379-0.00080556i
0.018137-0.0026604i,0.045848+0.0034904i,0.031551-0.018348i,0.019479-0.0187i,0.028327-0.031903i,-0.010639-0.028936i,-0.0044393-0.013995i,0.0070651-0.027544i,0.013654-0.012913i,0.0037379+0.00018763i,0.0028585-0.0030032i,0.0030918-0.0054822i,0.0028528-0.0052346i,0.00053878-0.0033244i,-0.0016969+0.0004521i,0.0014681-0.002565i,-0.0049884-0.0018773i,-0.00039415+0.0014555i,0.00057216+0.00052764i,-0.00083837+0.002306i,0.00040265+0.0022792i,0.001977-0.00040335i,0.001569+0.0017405i,-0.0035569-0.00094411i,-0.0010554-0.00095498i,-0.00083815-0.00020229i,-0.0010146-0.00060779i,6.0154e-06-0.00046693i,2.8621e-05-5.1302e-05i,0.00066165-0.0007306i,0.0028045+0.00076676i,0.0014306+0.00060807i,0.00074324-0.00027502i,0.0012212-0.00021553i,0.00014747+0.00035226i,0.0083147-0.001373i,-9.2202e-05+6.8211e-05i,-0.0013761+0.00047828i,0.00087081-0.00088502i,-0.00057811+0.0011154i,0.00026682+0.00087348i,0.00060096+0.0010826i,0.002265-0.002931i,0.00094695-0.0060129i,0.018829+0.010485i,0.020395+0.050609i,0.023657+0.051644i,0.038545+0.044017i,0.024242+0.0046463i,0.033357+0.0079705i,0.030424+0.023471i,0.0043741+0.015858i,0.014177+0.042184i,-0.019242+0.029376i,0.0091529-0.0014938i,0.0083676+0.0042626i,0.0076906+0.0017345i,0.0054885+0.010438i,0.00037448+0.0079478i,-0.0058341-0.0045751i,0.0025399-0.0097939i,-0.0029233+0.017939i,-0.002947-0.0023407i,-0.0021378+0.0015993i,-0.0010119+0.00071949i,0.0032054+0.0012397i,0.0028492-0.0010402i,-0.0038116-0.0019443i,0.0042569-0.00040367i,-0.0040841-0.0042999i,-0.0034598+0.0011538i,0.0002895+0.00062793i,0.00012422-0.0040656i,-0.0019566-0.0049278i,0.00042929-0.012935i,0.0035654+0.0024127i,-0.0055472-0.0018276i,-0.0037896+2.4529e-05i,-0.0059296+8.6715e-06i,0.0044693+0.0031152i,-0.0035336-0.0063773i,0.0015512-0.0068067i,-0.0016493-0.0027852i,-0.0027387-0.0032197i,0.004277+0.00068614i,0.0036323+0.0023408i,0.0022562-0.0010335i,0.0016185+0.0090687i,0.0063548+0.011024i,0.031255+0.044248i,-0.023583-0.022185i,-0.03353+0.0047679i,-0.021846+0.018512i,0.0046418-0.0019364i,0.014713-0.0063215i,-0.0081138-0.0016927i
0.016689-0.0066092i,0.045946-0.0046781i,0.02751-0.022801i,0.014994-0.020323i,0.021357-0.036704i,-0.014941-0.026377i,-0.0058972-0.01457i,0.002267-0.028314i,0.010703-0.01589i,0.0042621-0.00067486i,0.002648-0.0038455i,0.0013816-0.0055363i,0.0010913-0.0059396i,-0.0001378-0.0031605i,-0.0013683+0.00056184i,0.0015738-0.0027541i,-0.0046805+0.00010526i,-0.00015248+0.001117i,0.00044564+0.00034727i,3.0656e-05+0.0024842i,0.0010279+0.0020806i,0.0014774-0.00086965i,0.0019301+0.0010145i,-0.0028938+0.0013499i,-0.0010451-0.00028496i,-0.00078119+0.00020946i,-0.0011839-0.00027431i,-0.00065743-7.9215e-06i,5.0413e-05+7.0284e-05i,5.1378e-05-0.00084808i,0.0028282-0.00070532i,0.0015414+0.00028717i,0.00066305-0.00049322i,0.0011454-0.00069926i,0.00047367+0.00047645i,0.0074366-0.00089524i,3.8074e-05+0.00010505i,-0.0011138+0.00089492i,9.9408e-05-0.00089317i,9.3428e-05+0.00086903i,0.00041354+0.00090072i,0.0007071+0.00084189i,0.0010846-0.0030815i,-0.00016363-0.0045014i,0.018723+0.0073804i,0.024472+0.044017i,0.030283+0.046139i,0.043278+0.03627i,0.020231+0.00043368i,0.03444+0.0044504i,0.034729+0.018452i,0.010524+0.012257i,0.024033+0.033639i,-0.012487+0.032537i,0.0083396-0.0030467i,0.0078912-0.00026006i,0.0078258-0.00099583i,0.0073483+0.0070528i,0.0021563+0.0071268i,-0.0073115-0.00016169i,-0.0012402-0.0085742i,0.001383+0.015259i,-0.0041879-0.0010065i,-0.0019218+0.0035667i,-0.0008996+0.00099664i,0.0040123-0.00086349i,0.0037144+0.000332i,-0.0031482-0.00073939i,0.003981-0.0012421i,-0.0049985-0.0022944i,-0.0013659+0.001301i,-5.9852e-06+0.00025483i,-0.0021487-0.0046717i,-0.003575-0.0037329i,-0.0035545-0.011843i,0.0038769+0.00024865i,-0.0056994+0.00037808i,-0.0029554+0.0011583i,-0.0048074+0.0015212i,0.0056843+0.0022643i,-0.0059049-0.0043336i,-0.0013606-0.008226i,-0.0024527-0.002225i,-0.0044767-0.0031793i,0.0052343-0.0010479i,0.0047974+0.0015321i,0.0026644-0.00073758i,0.0036495+0.0092997i,0.0068425+0.0076913i,0.038416+0.036086i,-0.030544-0.013249i,-0.036463+0.010767i,-0.015822+0.021108i,0.0028706-0.00022752i,0.0094842-0.0054905i,-0.0098026-0.00087758i
