-0.0070424-0.039864i,-0.013168-0.043875i,0.0020964-0.044975i,-0.027204-0.027487i,-0.020448+0.014205i,-0.032171-0.032689i,-0.06002-0.06276i,-0.021488-0.07141i,-0.039921-0.050522i,0.0014059+0.014753i,-0.0072256+0.011058i,-0.015112+0.014344i,0.0012173+0.016747i,-0.0036286-0.0031497i,0.00043062+0.0070283i,0.00014126+0.039239i,0.028267+0.051238i,0.00080631-0.00040279i,-0.0049616-0.0085071i,0.0082514+0.0047013i,0.0016779+0.0010679i,-0.0017548+0.0044027i,0.00013213-0.0013379i,-0.034769-0.011695i,-0.0026281-0.0065515i,-0.00051561+0.0051924i,0.0078802-0.0033777i,-0.00029642+0.00051954i,-0.00018251-0.00079032i,-0.00022369-0.0028526i,-0.0010089-0.0048983i,-0.0026727-0.0038511i,-0.00062922-0.0083673i,0.0031014-0.00093127i,0.0028931-0.002592i,-0.0027207+0.035941i,0.0065477-0.0044371i,0.0034219-0.0027295i,0.0051279+0.00020276i,-0.011945+0.0016774i,8.4465e-05+0.00023773i,0.01312+0.0043531i,0.0067137-0.0021073i,-0.0035019+0.0042621i,0.0023282+0.0016408i,-0.0037363+0.0086971i,0.015448-0.08717i,-0.0067695-0.048575i,-0.024199-0.039175i,-0.019569-0.041947i,0.063429-0.015206i,0.027819-0.060847i,0.039108-0.044242i,0.029557-0.056226i,0.019419-0.015271i,0.0083856+0.0098759i,0.025961-0.031881i,-0.0071521-0.0053696i,0.002758-0.0029479i,-0.0048131-0.0063307i,0.0012444-0.032093i,-0.024578+0.030306i,0.0074733-0.010096i,-0.01131-0.0024896i,-0.0053997-0.0011715i,-0.00081159-0.013704i,-0.010267+0.0037078i,0.0037503+0.0079779i,-0.011214+0.030605i,0.005782+0.0071617i,-0.0058063-0.0014448i,-0.0020255-0.002122i,-0.0099864-0.0057825i,0.00071582-0.0038384i,-0.03549+0.0036535i,0.002734-0.011702i,-0.0087292-0.0021969i,-0.0061921-0.0027732i,0.0063032+0.0010572i,-0.010176+0.0015301i,0.0012592+0.00078783i,0.0052975+0.0089671i,0.0050826+0.00037186i,-0.0083003-0.0094932i,0.0028898+0.0089196i,-0.019355+0.0052713i,0.0069856+0.0032565i,-0.029443-0.0090463i,-0.034305+0.0033571i,0.019645-0.075431i,0.013355-0.010819i,-0.042615-0.027431i,-0.023024-0.003624i,0.017581+0.013728i,-0.026178+0.013225i,-0.010635-0.0078469i
-0.013694+0.01837i,0.012265+0.046936i,0.026294+0.045424i,-0.00010679+0.01724i,-0.0023692+0.0075368i,0.026966+0.0020868i,0.013403+0.017365i,0.01021+0.046157i,0.0056027+0.020274i,-0.0021325+0.0063516i,0.00073275+0.0015372i,0.002761-0.0044355i,0.0025105-0.0028274i,0.0035987-0.00054787i,0.0030985-0.002264i,0.0050343-0.0013994i,0.012254-0.0067114i,-0.00057695-0.00069718i,-0.0044702+0.0007442i,-0.00035802+0.0026593i,-0.00035073-0.0010127i,-0.0050161-0.0018886i,-0.0025618+0.00070978i,0.004666+0.011074i,0.0024128+0.0021138i,0.0023415+0.00064792i,0.0020587+0.001483i,-0.0010391+0.0030484i,-0.00043325+0.00078316i,-0.0010025+0.0013777i,0.0006101-0.0037692i,-0.001286-0.00099472i,-0.00063155-0.00057375i,-0.00016275+0.00067181i,-0.00081336-0.0016425i,-0.0057693+0.0094882i,0.0032656-0.00042304i,0.00090419+0.00012141i,-0.0006757+0.0018156i,-0.00099041-0.0026599i,-0.0019001+0.00078347i,-0.00040822-0.0027035i,0.0025607+0.007956i,0.0035048+0.00092134i,-0.030042+0.023453i,-0.056979+0.024608i,-0.0304+0.04673i,-0.018854+0.032587i,-0.0039271+0.049681i,-0.0088716+0.032687i,0.0087501+0.0098973i,-0.0059933-0.0073408i,-0.036829-0.0085473i,-0.043409+0.017484i,0.0090604+0.020436i,-0.0017555+0.00322i,-0.0054984+0.0021403i,-0.01164-0.0029358i,0.009774+0.0017061i,0.011751+0.01393i,-0.0027596+0.0085365i,-0.0068175-0.012157i,0.005214-0.0030947i,-0.0050992-0.0044849i,0.0042077-0.0073717i,0.0052873-0.0023715i,-0.0007831+0.0098814i,0.012909-0.003903i,0.0077562-0.0060518i,0.0054009-0.0077393i,0.0032438-0.00051995i,-0.0029587-0.0068456i,-0.0036598-0.0016534i,0.0030504-0.0012818i,-0.035773+0.02466i,-0.0069604-0.0063834i,0.0013479+0.00060794i,-0.0010992-0.0083352i,0.0030197-0.0010192i,-0.013873-0.0052419i,0.0011351-0.00085474i,0.003557-0.0026416i,0.0028434-0.0021352i,0.00054606-0.0062141i,-0.00039492+0.0073768i,-0.00092428+0.0030037i,-0.0028211+0.0055846i,-0.010969-0.0014143i,-0.0090295+0.0028397i,-0.039234+0.038779i,-0.0074902+0.016383i,-0.022726-0.012056i,-0.00074739-0.0012612i,0.010436+0.02004i,-0.001247+0.020234i,-0.0063698-0.00094417i
-0.011582+0.018212i,0.019165+0.042807i,0.03368+0.040249i,0.0039415+0.018968i,0.0015755+0.0078314i,0.026849-0.0037934i,0.014527+0.013973i,0.018357+0.041649i,0.0080341+0.018502i,-0.0003611+0.0061543i,0.0016067+0.0015921i,0.00017302-0.0033377i,0.0011034-0.0025445i,0.0032937-0.00067968i,0.0025597-0.0027345i,0.004035-0.0013205i,0.0088635-0.009069i,4.439e-05-0.00036165i,-0.0042243+0.0014235i,0.00080519+0.0015467i,-0.00088185-0.0013896i,-0.0053396-0.00039859i,-0.0023341+0.00080029i,0.010939+0.0083451i,0.0022765+0.0023071i,0.0026631-0.0004168i,0.0020962+0.00050552i,0.00013427+0.0034184i,-0.00061408+0.0012232i,-0.00059364+0.0017019i,-0.00097095-0.0036163i,-0.0017698-0.00072958i,-0.0012625-0.00048355i,0.00029358+0.00040819i,-0.0013309-0.00034565i,-0.0017427+0.0099238i,0.0024022-0.001408i,0.00097156-4.9908e-05i,0.00013039+0.0016253i,-0.0013323-0.0019023i,-0.0016101+0.00095958i,-0.0050487-0.0051461i,0.0045542+0.0071461i,0.0029074+0.00048822i,-0.024465+0.028619i,-0.049054+0.033604i,-0.023967+0.051451i,-0.011927+0.034061i,0.00921+0.045129i,0.0014788+0.032248i,0.0037311+0.0033079i,-0.012644-0.011375i,-0.040642-0.0070566i,-0.034204+0.018588i,0.013643+0.016903i,-0.0022897+0.0034718i,-0.004308+0.006303i,-0.011716+0.0016592i,0.0082084-0.0020271i,0.014361+0.011613i,0.0016631+0.012299i,-0.011979-0.0099063i,0.0016753-0.0038059i,-0.0047032-0.0019357i,-0.00076894-0.0072837i,0.0037271-0.0045044i,0.0035907+0.0075342i,0.0091514-0.0073363i,0.0042812-0.0089348i,0.0012749-0.0053113i,0.0041639-0.0015668i,-0.0044551-0.0058537i,-0.0018452+0.0008319i,0.0030932-0.0018693i,-0.00025616+0.058648i,-0.0079173-0.0047131i,0.0019871-0.0010069i,-0.0051435-0.0064109i,0.0035565-0.0018275i,-0.013656+0.001149i,0.0011619-0.0003923i,0.0021263-0.0028011i,0.0025065-0.0038403i,-0.0010911-0.0066503i,0.0012231+0.0033883i,0.00062696+0.0026385i,0.00026539+0.0068148i,-0.01032+0.0022089i,-0.0086781+0.0042379i,-0.031347+0.039906i,-0.0047632+0.018859i,-0.025837-0.00026027i,-0.0018191-0.0051944i,0.013005+0.018745i,0.0029678+0.021924i,-0.0088347-0.00082834i
-0.010304+0.018567i,0.024789+0.037463i,0.042175+0.032191i,0.010672+0.017331i,0.0060995+0.0063707i,0.025309-0.0099012i,0.014738+0.010473i,0.025344+0.035576i,0.011137+0.017482i,0.001106+0.0059655i,0.0021111+0.00083883i,-0.00024682-0.0012898i,4.895e-05-0.002475i,0.0032811-0.001208i,0.0018308-0.0031008i,0.0031896-0.001165i,0.0056926-0.010199i,2.6881e-05-0.00075275i,-0.0036257+0.0041123i,0.00081719+0.00031084i,-0.0018095-0.0015222i,-0.0049444+0.0011838i,-0.0024091+0.0010617i,0.012756+0.0014908i,0.0034356+0.0014595i,0.0018751-0.0015303i,0.0019502-0.00016111i,0.0015626+0.0029779i,0.00016113+0.0015086i,-0.00018572+0.001996i,-0.0024527-0.0026972i,-0.0021186+0.0004971i,-0.0016646-0.00035258i,0.0002139-3.0901e-05i,-0.00079516+0.00048271i,0.0010752+0.0086617i,0.0016571-0.0017194i,0.00083968-0.00062458i,0.0005017+0.0011202i,-0.0017559-0.0014331i,-0.0014716+0.0012395i,-0.0049169-0.00061366i,0.00614+0.0057858i,0.0028708+0.00018073i,-0.016391+0.03203i,-0.040269+0.040619i,-0.015712+0.054827i,-0.0042467+0.033074i,0.020312+0.036942i,0.0094968+0.024052i,-0.002747+0.0008857i,-0.01983-0.010371i,-0.044321-0.0020581i,-0.027183+0.016456i,0.016789+0.011025i,-0.0025737+0.0040038i,-0.002342+0.0076404i,-0.011041+0.005185i,0.004938-0.0056853i,0.016934+0.0075459i,0.0075017+0.01242i,-0.016088-0.0059258i,0.00060815-0.0019843i,-0.00407+0.0003126i,-0.0031418-0.0050837i,0.0011422-0.004621i,0.0057117+0.0065751i,0.0059215-0.0086531i,-0.0023445-0.0084674i,0.001165-0.0032807i,0.0038946-0.004156i,-0.0083079-0.0040369i,-0.00021222+0.00056167i,0.0019126-0.0027825i,0.03453+0.031863i,-0.0093772-0.00099447i,0.0019688-0.001962i,-0.0047437-0.0036502i,0.0040507-0.0036895i,-0.010643+0.0065331i,0.0021026-0.0003099i,0.000624-0.0034094i,0.00069046-0.0038411i,-0.004055-0.0048542i,0.00016474+0.0024635i,0.0018384+0.0017024i,0.0041567+0.0067788i,-0.0088856+0.0044365i,-0.0082273+0.0064365i,-0.025322+0.040337i,0.0023269+0.02025i,-0.02464+0.0046114i,-0.0042426-0.0084143i,0.01734+0.01555i,0.0092751+0.022864i,-0.010365+0.0013185i
-0.0089219+0.019563i,0.028194+0.032299i,0.046698+0.02082i,0.015701+0.012228i,0.0093892+0.0023265i,0.021806-0.014974i,0.014291+0.0081704i,0.029644+0.028143i,0.014826+0.01473i,0.0021562+0.0050918i,0.0023322-0.00028443i,0.000569-0.00033627i,-0.0013287-0.0012685i,0.0027813-0.0015517i,0.00081352-0.0032502i,0.0029085-0.00068912i,0.0021948-0.0099444i,0.00010984-0.00068404i,-0.0047104+0.010682i,3.1816e-05-0.00024984i,-0.0025896-0.00049899i,-0.0043651+0.0029147i,-0.002225+0.0016511i,0.010712-0.0040557i,0.0034523-5.9546e-08i,0.00090005-0.0016963i,0.0015368-0.00078309i,0.0021209+0.0017479i,0.00081604+0.00090173i,0.0005595+0.0023531i,-0.0032002-0.0010037i,-0.0011446+0.0012545i,0.00066655+0.00095406i,-0.00011878+3.7586e-05i,-0.00014014+0.00075825i,0.003128+0.0075466i,0.0010348-0.0019343i,0.00041618-0.00097761i,0.00055631+0.0011267i,-0.002073-0.00094767i,-0.0010264+0.0014962i,-0.004443+0.0027242i,0.0077263+0.0044743i,0.0028045-0.00018738i,-0.008297+0.03132i,-0.029988+0.045621i,-0.0070654+0.057828i,0.00075072+0.030654i,0.028414+0.025517i,0.016131+0.021008i,-0.0099733+0.0029114i,-0.027095-0.0063379i,-0.047254+0.0050186i,-0.023577+0.012907i,0.017542+0.0043978i,-0.002027+0.0054415i,-1.935e-05+0.009723i,-0.0090814+0.0086527i,-0.00067341-0.0057865i,0.018917+0.0016473i,0.012864+0.0096135i,-0.017911-0.00018479i,0.00052415-0.0014383i,-0.0027321+0.001385i,-0.0041644-0.0017867i,-0.00021054-0.0041211i,0.0079643+0.0030597i,0.0030142-0.0090749i,-0.0061672-0.0030845i,0.0017261-0.0025941i,0.0018198-0.0062123i,-0.0064322+0.00093852i,0.00085077+0.00055734i,0.0010262-0.0028521i,0.035972+0.0099701i,-0.0086884+0.0035523i,0.0017494-0.00307i,-0.0043661-0.0020277i,0.0025521-0.0060549i,-0.0054826+0.0084692i,0.0028925-0.0014432i,-0.00083701-0.0026645i,-0.00024995-0.0033094i,-0.0039179-0.0017067i,-3.1825e-05+0.0026204i,0.0019756+0.00036772i,0.0076657+0.0040833i,-0.0075075+0.0061731i,-0.0070859+0.0083993i,-0.019846+0.041691i,0.013029+0.015965i,-0.021984+0.0086995i,-0.0093203-0.0099117i,0.019283+0.010467i,0.015963+0.020293i,-0.0094297+0.0026635i
-0.0066296+0.020753i,0.031624+0.028127i,0.048021+0.011108i,0.018138+0.0057951i,0.0098623-0.0026436i,0.018063-0.018528i,0.01412+0.0069244i,0.032181+0.021403i,0.017831+0.010854i,0.0025277+0.0047006i,0.0017325+5.0557e-05i,0.001631-0.00036504i,-0.0014782+0.00066963i,0.0021742-0.0019987i,0.00013458-0.0027302i,0.0031776-0.00010755i,-0.00027211-0.0086349i,-0.00018164-0.00069799i,-0.0034946+0.0056071i,-0.0005841-0.00010641i,-0.0027985+0.00033666i,-0.0025525+0.0040785i,-0.0016036+0.0022472i,0.0073195-0.0077738i,0.0029001-0.0012133i,0.00029084-0.0017944i,0.00089038-0.0011673i,0.0019873+0.00074042i,0.00073414+0.00044746i,0.0016453+0.002071i,-0.0027927+0.00045095i,-0.00043592+0.0013613i,-0.0007155+0.0010595i,0.00030067+0.00069635i,0.00055308+0.00076797i,0.0046293+0.0058636i,8.914e-05-0.0019669i,-0.00020392-0.00099308i,0.00085492+0.0010634i,-0.0019318-0.00024639i,-0.00073089+0.0013367i,-0.0033708+0.0038671i,0.0086997+0.001438i,0.0023223-0.0007866i,-0.0030032+0.029254i,-0.018706+0.047681i,0.0047531+0.058569i,0.0054657+0.029i,0.030607+0.012718i,0.019671+0.013344i,-0.013487+0.0099698i,-0.031672+0.0028896i,-0.048207+0.016295i,-0.02399+0.010068i,0.014415-0.0010116i,-0.00019872+0.0064193i,0.0045385+0.0094789i,-0.0063279+0.011325i,-0.0034166-0.0025268i,0.017089-0.0064314i,0.016582+0.0044958i,-0.017623+0.0050269i,0.00062493-0.00027353i,-0.0015659+0.0020818i,-0.0023628+4.4694e-05i,-0.002102-0.0029664i,0.0072771-2.6112e-05i,0.00024461-0.0080498i,-0.0049675+0.0022627i,0.0025942-0.0031696i,-0.0011232-0.0066725i,-0.00405+0.0021761i,0.0020592-0.00031079i,0.00045705-0.0023614i,0.031867-0.005807i,-0.005182+0.0062185i,0.00038414-0.0044222i,-0.0034784-0.0015962i,-4.6662e-05-0.007026i,-0.0017236+0.0076671i,0.0017845-0.0028239i,-0.0012669-0.00079983i,-6.1106e-06-0.0025999i,-0.0021387-0.00053721i,0.0014798+0.0028309i,0.00098004-0.00064756i,0.0077336-0.0021359i,-0.0059069+0.0069001i,-0.0050877+0.010722i,-0.013671+0.042658i,0.018213+0.0034236i,-0.017005+0.009973i,-0.015169-0.0097923i,0.020404+0.0051363i,0.020484+0.013822i,-0.009506+0.002781i
-0.0038669+0.021178i,0.035443+0.023268i,0.048217+0.0021046i,0.018789-0.00086412i,0.0091898-0.0065433i,0.01388-0.021644i,0.015247+0.0059102i,0.033698+0.015029i,0.020263+0.005763i,0.0031369+0.0042348i,0.0022194+9.2853e-05i,0.0022114-0.00068301i,7.8598e-07+0.0021606i,0.0016101-0.002034i,-0.00010084-0.0023407i,0.003966+7.2811e-05i,-0.0015976-0.007752i,0.00012175-0.00083942i,-0.0010459+0.0050613i,-0.00086202+0.00027012i,-0.0023017+0.0011694i,-0.00046912+0.0037608i,-0.00083926+0.0024599i,0.0012445-0.011108i,0.0025461-0.0018247i,-0.0004824-0.0017386i,0.00029717-0.0011186i,0.0017909+0.00023902i,0.0007051+0.00033351i,0.0023263+0.0010762i,-0.0021023+0.0013755i,-4.4855e-05+0.0013322i,-0.00046908+0.0016265i,0.00097431+7.6085e-05i,0.000737-9.5734e-07i,0.0049389+0.0038475i,-0.00068286-0.0016068i,-0.00039748-0.00050651i,0.00095629+0.00051952i,-0.0014358-0.00012641i,-0.00076211+0.0015612i,-0.0001963+0.0038599i,0.0068552-0.0011457i,0.0017774-0.00074606i,0.0014538+0.026614i,-0.0082042+0.046208i,0.016397+0.054664i,0.010441+0.02685i,0.028981+0.0016584i,0.019365+0.0063996i,-0.011647+0.018198i,-0.030792+0.015018i,-0.042663+0.029733i,-0.026191+0.010716i,0.010731-0.0034329i,0.001776+0.0060999i,0.0076921+0.0068079i,-0.0021824+0.013306i,-0.0038193+3.0228e-05i,0.011775-0.013363i,0.016729-0.0026155i,-0.016519+0.0091709i,0.0015434-1.7125e-05i,-0.00069794+0.0019947i,-0.00095061+0.00017065i,-0.0023343-0.0005521i,0.0055545-0.0014542i,-0.0020531-0.0068786i,-0.0010424+0.0043577i,0.002118-0.0046853i,-0.0036766-0.00509i,-0.0030157+0.0023903i,0.001932-0.0016748i,0.00077781-0.0021109i,0.022805-0.016087i,-0.0018552+0.0066525i,-0.0015582-0.0042053i,-0.0034241-0.0011159i,-0.0028891-0.0064601i,0.00056456+0.0064466i,0.0093124-0.01006i,0.00018617+7.7051e-05i,-0.0002098-0.0037864i,-0.00084794-0.00099303i,0.0064614+0.0069067i,-0.00026017-0.0001857i,0.0053021-0.0026318i,-0.0047682+0.0069907i,-0.0016528+0.011837i,-0.0073135+0.042839i,0.01434-0.007968i,-0.013706+0.0067759i,-0.021642-0.0049574i,0.018593-0.0015792i,0.021519+0.007242i,-0.010182+0.0045677i
-0.0009331+0.021402i,0.038176+0.017338i,0.046579-0.0078525i,0.016259-0.0085168i,0.0076888-0.010707i,0.0091085-0.023558i,0.017171+0.0039201i,0.034291+0.0087531i,0.020509+0.0001679i,0.0036447+0.0040074i,0.0023835-0.00045699i,0.0025627-0.0021751i,0.0016105+0.0022212i,0.0010632-0.0019651i,-0.00029715-0.0020683i,0.0049067-0.00043534i,-0.0031221-0.0068901i,-0.00047488-0.0011878i,0.0009641+0.0039328i,-0.001188+0.00086257i,-0.0019905+0.0015103i,0.0006001+0.0026059i,-0.00034925+0.0023782i,-0.0089083-0.0084654i,0.0018252-0.0033579i,-0.0011604-0.0011314i,-0.00014814-0.0010339i,0.0015321-0.00012331i,0.00094677+0.00013527i,0.0022381-5.1004e-06i,-0.0010908+0.0018707i,0.00028712+0.0014587i,6.3663e-05+0.0020986i,0.00088571-5.0524e-05i,0.00022218-0.00050476i,0.0049171+0.0022033i,-0.001093-0.00085308i,-0.00044735-0.00032503i,0.00090012+0.00012537i,-0.00095253-0.0002794i,-0.00029881+0.0019652i,-6.1154e-05+0.0032458i,0.0046493-0.0014291i,0.0014228-0.00057593i,0.0048722+0.023758i,0.00033495+0.042934i,0.02533+0.047943i,0.015362+0.023962i,0.024441-0.0070649i,0.017573+0.0022681i,-0.0055153+0.023205i,-0.022317+0.025216i,-0.030553+0.039163i,-0.027439+0.014688i,0.0076365-0.004124i,0.0033737+0.0050284i,0.0088085+0.0031256i,0.0022051+0.013164i,-0.0039838+0.0019661i,0.0017017-0.016323i,0.013389-0.0084819i,-0.014427+0.013646i,0.002266-0.0013212i,0.00095075+0.0024702i,-0.00055236-0.00040814i,-0.0007937+0.00084217i,0.0045858-0.0015711i,-0.0032579-0.0060349i,0.0018864+0.0034721i,0.00051669-0.0061142i,-0.0049032-0.0029993i,-0.0016291+0.0027335i,0.0011666-0.0031413i,0.00088484-0.002882i,0.014329-0.019981i,0.0010643+0.0060964i,-0.0026049-0.0033191i,-0.0029022-0.00081394i,-0.005069-0.0052874i,0.001544+0.0049387i,0.0036526-0.0072715i,0.0010666-0.00047333i,-0.00098398-0.003473i,-0.0011795-0.0018422i,0.0038138+0.0058773i,-0.00066712+0.0010913i,0.004492-0.0028211i,-0.0040416+0.0076928i,0.0016321+0.011445i,-0.00060064+0.042518i,0.0072152-0.015347i,-0.015793+0.0029251i,-0.024078+0.002956i,0.012681-0.0055849i,0.021734+0.00086531i,-0.008177+0.0057057i
0.0022099+0.020867i,0.040245+0.011539i,0.042332-0.016169i,0.01015-0.013349i,0.004307-0.014265i,0.0046345-0.0241i,0.019144+0.00068496i,0.033772+0.003042i,0.019222-0.0054651i,0.0048972+0.003883i,0.0022121-0.0006631i,0.0011762-0.0035436i,0.0031572+0.0015293i,0.00078903-0.0018475i,-0.0002441-0.0020658i,0.0054454-0.0014054i,-0.0049641-0.0051213i,-0.00097615-0.0008262i,0.0016898+0.0025987i,-0.00085174+0.0018842i,-0.0019103+0.0021805i,0.00067782+0.0012298i,8.6227e-05+0.0023444i,-0.0090484+0.0044922i,-0.00054384-0.0036729i,-0.0014269-0.00040602i,-0.00053546-0.00084472i,0.0012389-0.00042484i,0.0006631-0.00050428i,0.0017387-0.00077429i,-4.4956e-05+0.0017991i,0.00086613+0.0012748i,0.001402+0.0017254i,-0.0066649+0.0033469i,-9.3876e-05+5.007e-05i,0.0045169+0.00092429i,-0.0014829-0.00035932i,-0.00052235+0.00017235i,0.0008395+3.5729e-05i,-0.00062596-0.00060609i,0.0003884+0.0021337i,0.00070362+0.0031323i,0.0040822+0.001096i,0.0013121-0.00026658i,0.0076473+0.020516i,0.0070949+0.038169i,0.031328+0.040661i,0.020188+0.01968i,0.018425-0.012489i,0.015626-0.00039039i,0.0014645+0.025469i,-0.01147+0.028414i,-0.016062+0.043068i,-0.025936+0.020143i,0.0062826-0.0040572i,0.004575+0.003542i,0.0081694+0.00027876i,0.0063599+0.011309i,-0.0030486+0.004259i,-0.007512-0.012618i,0.0083215-0.011385i,-0.010123+0.017065i,0.0016535-0.0030918i,0.001195+0.00098853i,-0.00093348-0.00062403i,0.0010116+0.0010207i,0.0040648-0.0021003i,-0.0052088-0.004816i,0.0034707+0.0018559i,-0.0025256-0.0066621i,-0.0050138-0.00072765i,3.2181e-06+0.0019996i,0.00010339-0.0038065i,0.0002559-0.0040244i,0.0056329-0.021581i,0.0030784+0.004402i,-0.0032223-0.0025823i,-0.0036019-0.00080947i,-0.0063805-0.0031448i,0.0018928+0.0040783i,-0.00041141-0.0094442i,0.0018429-0.0012589i,-0.0014763-0.0025938i,-0.0015049-0.0022056i,0.0059254+0.0034346i,-0.00022796+0.0020521i,0.0029575-0.003323i,-0.0031602+0.0087136i,0.0046537+0.0094045i,0.0070594+0.041141i,-0.003247-0.019956i,-0.019994+0.0027625i,-0.021895+0.01033i,0.0074197-0.0056471i,0.018411-0.005174i,-0.0063131+0.0040374i
0.0050006+0.019453i,0.041672+0.0047387i,0.037272-0.022452i,0.0045201-0.014215i,0.0002132-0.016216i,0.00073867-0.024356i,0.020321-0.0041135i,0.033018-0.0024105i,0.016338-0.010035i,0.0065177+0.0026057i,0.0025953-0.0010045i,-0.00036219-0.0033602i,0.0037101-0.00046575i,0.00060939-0.0018655i,-0.00049247-0.0022349i,0.0056478-0.0025014i,-0.0054074-0.0027805i,-0.00098206-0.00088521i,0.0016516+0.0014211i,0.00011196+0.0021523i,-0.0018704+0.0026897i,0.00036973+0.00038626i,0.00058854+0.0022116i,0.0010617+0.0051167i,-0.0019727-0.0023932i,-0.0013438+0.00028475i,-0.0007794-0.00050286i,0.00082648-0.000991i,4.1452e-05-0.00029709i,0.00097524-0.0013934i,0.00076842+0.001336i,0.0011699+0.00096918i,0.0015139+0.00097667i,0.00028034+0.00019005i,0.00043389+0.00061614i,0.0041247-0.00037194i,-0.0018373+0.00050931i,-0.00023731+0.00039631i,0.00069416-0.00040138i,-0.00039321-0.0011097i,0.0011264+0.0018293i,0.001621+0.0020494i,0.0071289+0.00137i,0.0011903-0.00010065i,0.0091773+0.017563i,0.011379+0.032656i,0.036081+0.033554i,0.023429+0.013647i,0.012491-0.015563i,0.014236-0.00070779i,0.009195+0.025313i,-0.001751+0.028822i,-0.0025013+0.041371i,-0.022267+0.025099i,0.0051892-0.0049251i,0.0052789+0.0013462i,0.0076765-0.0017601i,0.0099458+0.0077672i,-0.00065473+0.0051116i,-0.012129-0.005837i,0.0030307-0.012204i,-0.004842+0.0185i,-0.00039291-0.0038581i,0.00047155+0.0008469i,-0.0012876-0.00016187i,0.002159+4.4447e-05i,0.0034663-0.0016041i,-0.0059297-0.0027438i,0.0038452+5.0814e-05i,-0.0052871-0.0049635i,-0.0039271+0.0013023i,0.00028309+0.00072348i,-0.00093975-0.0043491i,-0.0012162-0.0043651i,-0.0022549-0.020182i,0.0044414+0.0021331i,-0.004078-0.0016105i,-0.0040891+0.00071569i,-0.0066723-0.00060611i,0.0025763+0.0036329i,-0.0052507-0.0086444i,0.0019691-0.0027649i,-0.0017212-0.0023722i,-0.002175-0.0028781i,0.0073683+0.0018181i,0.00053536+0.002386i,0.0017636-0.0023274i,-0.0013285+0.0090687i,0.0062449+0.0070422i,0.014517+0.037833i,-0.014822-0.018117i,-0.023596+0.0050955i,-0.01632+0.015029i,0.0043892-0.0042843i,0.013952-0.0093086i,-0.0076175+0.0029658i
0.007019+0.01797i,0.041685-0.0024132i,0.032098-0.028101i,0.00051938-0.01358i,-0.0039769-0.016896i,-0.0036224-0.024507i,0.019849-0.010072i,0.031551-0.0080323i,0.01249-0.013716i,0.0072834+0.00068934i,0.0028051-0.0020154i,-0.0014222-0.0024808i,0.0029985-0.002051i,0.00032363-0.0018365i,-0.0011692-0.0024112i,0.0057551-0.00393i,-0.0051594-0.00082835i,-0.0013997-0.0010069i,0.0015517+0.00085184i,0.00084953+0.0019796i,0.00086494+0.0030929i,-0.00032529+0.00022016i,0.00099683+0.0019328i,0.00098896+0.0012678i,-0.0022011-0.00068618i,-0.0009987+0.00082861i,-0.00084596-0.00017435i,0.00012924-0.0014821i,-6.4093e-05-0.00010601i,2.0442e-05-0.0014275i,0.0012202+0.00071223i,0.0015504+0.00060574i,0.0018291+0.00065914i,0.00055607-0.00035455i,0.0012121+0.00032222i,0.003436-0.0013611i,-0.0013997+0.0015091i,4.2397e-05+0.00055517i,-4.3856e-06-0.00050299i,-0.00041576-0.001776i,0.0016566+0.0014496i,0.0017683+0.0012927i,0.0097393-0.004541i,0.0012923+0.00053145i,0.010215+0.014898i,0.013434+0.028406i,0.039637+0.026296i,0.024341+0.008535i,0.0062952-0.017506i,0.015695-0.00021837i,0.016221+0.022132i,0.0083963+0.02609i,0.0091352+0.035371i,-0.015839+0.029273i,0.0036802-0.0055895i,0.0046253-0.0017459i,0.006668-0.0040863i,0.010872+0.002404i,0.00049269+0.0045249i,-0.012972+0.0017262i,-0.0019614-0.010944i,-0.00044235+0.017076i,-0.0026196-0.0027426i,0.00032871+0.0016624i,-0.0012717+0.00043472i,0.0027999-0.0014327i,0.0043393-0.00048005i,-0.0046967-0.00072721i,0.003761-0.00063138i,-0.0064108-0.0024445i,-0.0015714+0.0010032i,-7.0296e-06+0.00040931i,-0.0034032-0.0045938i,-0.002622-0.0036496i,-0.0087301-0.017149i,0.0044937-0.0004403i,-0.0043423+1.7102e-05i,-0.0028714+0.0019195i,-0.0058769+0.0015037i,0.0035925+0.003206i,-0.0081223-0.0054172i,0.00083719-0.0041671i,-0.0025154-0.0017914i,-0.0041342-0.0026299i,0.0080957-0.0012599i,0.0015519+0.0030662i,0.0023594-0.0018084i,0.00084855+0.0092223i,0.0068579+0.0043913i,0.021669+0.032522i,-0.02192-0.010374i,-0.026471+0.010033i,-0.0098071+0.016381i,0.0023103-0.0022375i,0.0074483-0.010252i,-0.0083746+0.0032828i
