-0.025961-0.0052844i,-0.021831-0.008055i,-0.012295-0.013434i,-0.035227-0.0076667i,-0.027439+0.0013289i,-0.03602-0.0032145i,-0.066618-0.039759i,-0.032584-0.015167i,-0.02291+0.0029224i,0.0062029+0.0066312i,-0.0048471+0.0076238i,-0.0083637+0.018193i,0.0060475+0.0081328i,-0.0010365+0.003192i,0.0043517+0.0036286i,0.0048449+0.026248i,0.022367+0.020422i,0.0014-0.0004278i,0.0012605-0.0046428i,0.008917-7.1889e-05i,0.0052576-0.00030413i,0.0025239+0.0013797i,0.0015892-0.00075963i,-0.024435-0.0012838i,-0.0045362-0.0041191i,-0.00012271+0.0030673i,0.0047012-0.004292i,-0.0016149-0.00044907i,-0.00029782+0.0011796i,-0.0019441-0.0013845i,-0.0035141-0.00026652i,-0.0068239-0.0089215i,-0.0048979-0.0073333i,-0.00055045+0.00032846i,-8.1091e-05-0.0020892i,0.0005071+0.022281i,0.0026909-0.004019i,0.000638-0.0043011i,0.0029283-0.0018885i,-0.0030911-0.0028892i,0.00090851-7.8976e-05i,0.0081612-0.0017791i,0.0029413-0.0021153i,-0.00016212+0.0026867i,-0.014082+0.015361i,-0.027455+0.053841i,-0.0050694-0.037982i,-0.014275-0.018599i,-0.039738-0.017223i,-0.027312-0.01282i,0.037022-0.011599i,0.0065191-0.030188i,0.013035-0.038268i,-0.0081517-0.030472i,0.026534-0.022995i,0.013492+0.0073996i,0.028467-0.035698i,-0.0015003-0.0043758i,0.0062649-0.0090839i,-0.00095062-0.0058945i,-6.4404e-05-0.035831i,-0.01354+0.028824i,0.0090166-0.011126i,-0.0086109-0.0048771i,-0.0024211-0.0020528i,0.00019925-0.01597i,-0.0076125+0.0059686i,0.004104+0.0066729i,-0.0020991+0.028921i,0.0023809+0.0005267i,-0.007223-0.0045075i,-0.0038852-0.0061545i,-0.014469-0.0097491i,-0.0019836-0.0057387i,-0.034564+0.0060999i,-0.0048178-0.0085973i,-0.012964-0.00092444i,-0.010404-0.0056122i,0.0016683-0.00097168i,-0.013993+0.0021651i,-0.0019335-0.00022916i,0.0053406+0.0061058i,0.0038863-0.0050756i,-0.01398-0.013873i,0.0072899+0.0080526i,-0.016362+0.0052622i,0.0046442-0.00017919i,-0.018965-0.0037191i,-0.016406-0.0043348i,-0.014862-0.036271i,0.020765-0.0097707i,-0.039068-0.024204i,-0.010374+0.0047372i,0.018096+0.015561i,-0.022771+0.016935i,-0.0041832-0.003894i
0.0064125-0.010296i,0.012642+0.001841i,0.007712+0.0031849i,0.014856-0.003697i,0.019034-0.001741i,0.016668-0.013569i,0.016281-0.0049022i,0.013001-0.0017455i,0.0017035-0.0093699i,-0.0029737+0.0037805i,-0.0006745-0.00048175i,-0.0017733+6.018e-05i,-0.00096842+0.0042291i,-0.0018162+0.0025277i,0.00038517+0.0024584i,0.00081799-0.00040469i,0.0029463-0.0016386i,0.0011163-0.0010362i,-0.00016329-0.00083492i,-0.00013922+2.8978e-05i,0.00068425-0.0024643i,-0.0013413-0.0013674i,-0.00065006-0.0006336i,0.0039011+0.004831i,-0.001322+0.0009141i,-0.0013621+0.0012133i,-0.0028538+0.0003879i,-0.0021116-6.9387e-05i,-0.0025997-0.0011434i,-0.0019632+0.00032852i,0.0018252-0.0012953i,0.00080145+0.0012403i,0.001314-4.1367e-06i,0.0017094-0.00040459i,0.0013917-0.00039187i,-0.010236+0.0065524i,-0.0013548-0.00020505i,-0.00093828+0.00029325i,-0.0025199+0.00015392i,0.0017939-0.0025827i,-1.6236e-05-0.00060092i,0.00051215-0.0010176i,-0.0015357+0.0023887i,0.0014872+0.00037553i,0.0012171-0.013808i,-0.025509-0.0086319i,-0.0027787-0.0058744i,-0.0078618+0.0040706i,0.017907+0.02129i,0.0011466+0.0049703i,0.012635-0.013955i,-0.011461-0.027292i,-0.004173-0.0128i,0.0079054-0.0086013i,0.019127+0.018388i,0.002094+0.0015683i,-0.0016041-0.00012749i,-0.0061836-0.00014116i,0.01072-0.0032079i,0.014127+0.0082098i,0.002656+0.0050251i,-0.0053427-0.0077781i,0.0066701-0.0031286i,-0.0039284-0.0067631i,0.0033099-0.011409i,0.0063835-0.0063243i,-0.00046603+0.0073151i,0.010488-0.0080367i,0.0039059-0.0079922i,0.0012259-0.0068051i,-0.0027923-0.0017112i,-0.0065303-0.006896i,-0.0084767-0.0011144i,0.00019902-0.0013127i,-0.0087086+0.028652i,-0.0094435-0.0025413i,0.0003923+0.0033216i,-0.0034247-0.0047365i,0.00037708+0.00078321i,-0.016414+0.0013365i,-0.0032358+0.0021949i,-0.001648-0.0016268i,-0.0037632+0.00010908i,-0.0057114-0.0034497i,-0.0018213+0.0048308i,-0.0021861+0.0020727i,-0.005668+0.0063671i,-0.0054878-0.00010145i,-0.0028911-0.0017494i,0.007963-0.0018001i,-0.0053109+0.018352i,-0.028665-0.0019713i,-0.010659-0.0033221i,0.012155+0.016497i,-0.0019068+0.01696i,-0.00671-0.0048475i
0.0048563-0.011781i,0.013067-0.0023799i,0.0081023+0.0023543i,0.01345-0.0053722i,0.018746-0.0048971i,0.014093-0.016288i,0.013543-0.0080008i,0.012358-0.0038812i,-6.4966e-05-0.0097228i,-0.0016696+0.0040576i,-0.00052934-1.0709e-05i,-0.0019298+0.0015143i,0.0002823+0.0042704i,-0.00070291+0.0031796i,0.0009588+0.0023714i,0.00056473+6.7073e-05i,0.0019355-0.0021894i,0.0012399-0.0011982i,-0.00039253-0.001419i,0.00031776-0.00047574i,6.3241e-05-0.0026051i,-0.001516-0.0009721i,-0.00076432-0.00083284i,0.0062614+0.002707i,-0.0013788+0.0019421i,-0.00068378+0.001706i,-0.0028152+0.0013164i,-0.0022503+0.00080565i,-0.0034028+0.00021903i,-0.0018075+0.0013811i,0.0010894-0.0017213i,0.00084347+5.8948e-05i,0.00074987-0.00053534i,0.0011944-0.0010112i,0.0010288-0.00044791i,-0.00737+0.0093323i,-0.0018079+0.00042311i,-0.00099164+0.00097499i,-0.002398+0.0012455i,0.00099307-0.002727i,3.441e-05-0.0006738i,5.8277e-08-0.00098925i,-0.0010434+0.0027101i,0.00097353+0.00054251i,-0.00061445-0.013128i,-0.02337-0.0053223i,-0.0043103-0.0028798i,-0.0037589+0.0026079i,0.026558+0.013946i,0.00503+0.0025949i,0.006169-0.017035i,-0.019482-0.026687i,-0.0087413-0.013851i,0.010829-0.015699i,0.020988+0.010941i,0.00070146+0.00047119i,-0.00092335+0.002965i,-0.0055165+0.0018559i,0.007674-0.0067199i,0.015305+0.0037298i,0.0055545+0.0058005i,-0.0094631-0.0058463i,0.0032004-0.0053198i,-0.0048427-0.0044876i,-0.0022929-0.010432i,0.0034945-0.0078846i,0.0029409+0.0054904i,0.005656-0.009921i,-0.0002235-0.0075583i,-0.0024922-0.0039283i,-0.0020346-0.00072885i,-0.0080713-0.0044299i,-0.0061477+0.0026532i,0.00060672-0.0011523i,0.0054864+0.027698i,-0.010293+0.00064265i,0.0012864+0.0018538i,-0.0056669-0.0025519i,0.00090401+0.00018946i,-0.014016+0.0086027i,-0.002008+0.0033292i,-0.0021101-5.1061e-05i,-0.0023886+0.00099046i,-0.0064517-0.001075i,-0.00047783+0.0024188i,-0.001235+0.0018586i,-0.0016977+0.0079536i,-0.0040767+0.0015763i,-0.0040835-0.0014282i,0.0089819-0.0081115i,-0.0015761+0.020511i,-0.028692+0.0036681i,-0.011883-0.0047364i,0.014362+0.013928i,0.00087561+0.018366i,-0.0089356-0.0041361i
0.0023262-0.012828i,0.010995-0.0070259i,0.0092505+0.0006237i,0.012558-0.0069671i,0.018245-0.0081503i,0.010971-0.018878i,0.010339-0.01067i,0.011552-0.0061317i,-0.0017548-0.0091867i,-0.00091094+0.0041378i,-0.00036169-0.00014581i,-0.0010915+0.0026878i,0.001366+0.0037149i,0.00042297+0.0028361i,0.0015356+0.0021231i,0.0005664+0.00040081i,0.00084104-0.0023183i,0.0012389-0.0018385i,-0.0010246-0.0015276i,1.0303e-05-0.0013276i,-0.00080699-0.0027711i,-0.0014634-0.00055097i,-0.0011877-0.00096429i,0.0065869-0.00052378i,-0.00038057+0.002726i,-0.00023515+0.0018583i,-0.0024768+0.002668i,-0.0019117+0.0017056i,-0.0032105+0.0020994i,-0.0011545+0.0022421i,0.00032357-0.0017943i,-9.1074e-05+0.00030518i,0.00034726-0.00054282i,0.00054666-0.0012883i,0.00094414-0.00051412i,-0.0040378+0.010973i,-0.0017956+0.0016541i,-0.00043602+0.0013901i,-0.0017976+0.0024199i,0.00021735-0.0028318i,0.000109-0.00088756i,-0.0001188-0.00089255i,-0.00050653+0.0031538i,0.001121+0.0011323i,-0.0015623-0.012247i,-0.021578-0.0015562i,-0.0029725+0.00095597i,-0.00010793-0.00064126i,0.033119+0.0036037i,0.0082262+0.00084054i,-0.00038697-0.017059i,-0.026171-0.023433i,-0.012985-0.011808i,0.009447-0.024186i,0.019894+0.0039372i,-0.001077+0.00030649i,-0.00065213+0.0024643i,-0.0053445+0.0027618i,0.0025074-0.009774i,0.015146-0.0012387i,0.0080789+0.0045037i,-0.012137-0.0024936i,0.0013419-0.0046044i,-0.005415-0.0018647i,-0.005189-0.0073599i,0.00084747-0.0076699i,0.0048286+0.004475i,0.0025182-0.0095236i,-0.0033301-0.0052273i,-0.0023733-0.00058241i,-0.0020019-0.00084393i,-0.0098174-0.0011496i,-0.0034255+0.0037161i,-0.00038254-0.0017867i,0.016044+0.020489i,-0.0099776+0.0048524i,0.0017657+0.00099159i,-0.0046387-0.00021477i,0.0014545-0.00093124i,-0.00753+0.013369i,-0.00020966+0.0042461i,-0.0022425+0.00055324i,-0.0019463+0.0018157i,-0.0065401+0.0018964i,-0.0012932+0.0025078i,-0.00063041+0.0015394i,0.0016553+0.0076549i,-0.0030639+0.0012828i,-0.0054168+0.00019988i,0.0059705-0.013564i,0.0082065+0.019387i,-0.026817+0.0073123i,-0.013836-0.0055224i,0.016981+0.009259i,0.005512+0.019701i,-0.010356-0.0027124i
-0.00034535-0.012763i,0.006986-0.0091499i,0.0091857-0.0019345i,0.011459-0.0090241i,0.016769-0.011546i,0.0070543-0.020522i,0.00655-0.011804i,0.010157-0.0082076i,-0.002886-0.008616i,-0.00020453+0.0044329i,-0.00066385-9.7535e-05i,0.00019714+0.0030315i,0.0017872+0.0029735i,0.00087765+0.0025448i,0.0019015+0.0017216i,0.00060067+0.00074018i,-0.00022053-0.0017309i,0.00088854-0.0023838i,-0.0012017-0.0013289i,-0.000847-0.0016535i,-0.0016163-0.0023309i,-0.0014355-0.00029231i,-0.0017345-0.00072051i,0.0053325-0.0030611i,0.00079864+0.0026841i,0.00035994+0.0021264i,-0.0010438+0.0038173i,-0.0012663+0.0023685i,-0.0018961+0.0034158i,-0.00012628+0.002611i,-0.00034504-0.0015651i,0.00023788+0.00085248i,6.2705e-05-0.00055619i,-0.00015751-0.0012788i,0.0007488-0.00065009i,-0.00039185+0.01151i,-0.00089299+0.0026352i,-1.5168e-05+0.0014092i,-0.00072077+0.0031869i,-0.00068329-0.0027973i,-0.00020232-0.0011772i,-0.00014251-0.00092257i,0.00031838+0.0034678i,0.0015823+0.0014456i,-0.0019491-0.012332i,-0.017571+0.0015272i,0.00067596+0.0031107i,-0.00050409-0.0054436i,0.035675-0.010585i,0.010501-0.0037406i,-0.0062018-0.01396i,-0.032481-0.017364i,-0.015738-0.0069181i,0.0034171-0.031081i,0.017269-0.0013195i,-0.0019595+0.0017357i,-0.00055072+0.0046455i,-0.0049072+0.0043699i,-0.0039552-0.0081835i,0.013407-0.0064303i,0.01008+0.0018794i,-0.013123+0.0024197i,-0.00018461-0.0045769i,-0.0046221+0.0003553i,-0.0063518-0.0035265i,-0.0010283-0.0073287i,0.0061334+0.001459i,-3.6387e-05-0.0091506i,-0.0042491-0.0012951i,-0.00080211+0.0012873i,-0.0024548-0.00051256i,-0.0091741+0.003009i,-0.0012237+0.0042883i,-0.0012793-0.0016511i,0.021402+0.010225i,-0.0070415+0.0094475i,0.0019514-0.00011084i,-0.0036435+0.0017605i,0.0003927-0.0021147i,-0.00084707+0.013423i,0.0021367+0.0037325i,-0.0019388+0.0022557i,-0.001129+0.0028973i,-0.0042692+0.0046654i,-0.0010172+0.0033122i,-0.00072117+0.0011294i,0.0049222+0.006293i,-0.003244+0.00057864i,-0.0063216+0.002335i,0.0020964-0.014934i,0.01808+0.0098476i,-0.023782+0.011308i,-0.017388-0.0045075i,0.015498+0.0046578i,0.010721+0.018384i,-0.010015-0.0013878i
-0.0023555-0.012063i,0.0042481-0.0090997i,0.0083025-0.0037949i,0.010091-0.011i,0.014682-0.014505i,0.0032477-0.021385i,0.0034049-0.011491i,0.0083659-0.0097554i,-0.0038024-0.0079607i,0.00072977+0.0045205i,-0.0010102+0.00019181i,0.0012632+0.0027153i,0.0019172+0.0026197i,0.0011176+0.0023256i,0.00219+0.0013899i,0.00096898+0.001241i,-0.00051536-0.00095045i,0.00014527-0.002886i,-0.0016965-0.001315i,-0.0017245-0.0013995i,-0.002171-0.0019159i,-0.001327-8.9274e-05i,-0.0021119-0.0001591i,0.00332-0.0045903i,0.001682+0.0022514i,0.0012244+0.0021351i,0.00055712+0.0040462i,-0.00047216+0.0028029i,-0.00031522+0.0039746i,0.00099781+0.0025323i,-0.00067667-0.0012169i,0.00061315+0.00090458i,-0.00030787-0.00043341i,-0.00079059-0.00067272i,0.00062027-0.00065719i,0.0030265+0.011107i,0.00021472+0.0030908i,0.00030158+0.0015258i,0.00072291+0.0034833i,-0.0013845-0.002458i,-0.00054553-0.0013153i,-0.00041409-0.0010436i,0.0012851+0.0033734i,0.0020127+0.0010914i,-0.0032532-0.012835i,-0.012742+0.0024385i,0.0054057+0.0027207i,-0.0028586-0.007233i,0.031359-0.023853i,0.010085-0.0083959i,-0.0086202-0.0089801i,-0.035155-0.008428i,-0.01598-0.00044347i,-0.0052311-0.033539i,0.013205-0.0044629i,-0.0013284+0.0032204i,0.0022541+0.0052267i,-0.0037653+0.0056892i,-0.0067933-0.0037981i,0.0092229-0.011447i,0.010986-0.0018186i,-0.012264+0.0067438i,-0.0012252-0.0030007i,-0.0031677+0.0014691i,-0.0051603-0.0010061i,-0.0037474-0.0060797i,0.0054498-0.00079272i,-0.0024332-0.0079668i,-0.002659+0.0013845i,0.0010674+0.001399i,-0.0025287+6.7713e-05i,-0.0064347+0.0059783i,0.0013991+0.0036003i,-0.0017189-0.0006205i,0.021364+0.00010759i,-0.001644+0.011246i,0.0013143-0.00090844i,-0.0016414+0.0020865i,-0.00074493-0.0017904i,0.0036878+0.011082i,0.0031809+0.0022978i,-0.00036146+0.0041826i,0.00097298+0.0034726i,-0.00063754+0.0054461i,0.00027759+0.003951i,-0.0014025+0.0013411i,0.0065513+0.0034761i,-0.0043699+0.00047909i,-0.0053015+0.0050835i,-0.00014874-0.014704i,0.019007-0.0052392i,-0.018135+0.011394i,-0.020187-0.0017536i,0.01503+0.0013339i,0.01492+0.013852i,-0.010802-0.0014016i
-0.0038945-0.011186i,0.0027728-0.0090058i,0.0077754-0.0052846i,0.0083913-0.013101i,0.012222-0.017148i,-0.00084744-0.021748i,0.0013883-0.010526i,0.006581-0.010856i,-0.0043656-0.0073804i,0.0015013+0.0043083i,-0.0010516+0.00083879i,0.0021644+0.0022731i,0.0023158+0.0025581i,0.0015117+0.0022287i,0.002546+0.00088531i,0.0018345+0.0015898i,-0.00033671-0.00064542i,-0.00088739-0.0031372i,-0.0023844-0.00094887i,-0.0023711-0.00080412i,-0.0025955-0.001408i,-0.001155-2.0184e-05i,-0.0022172+0.00053009i,0.00087248-0.0052296i,0.0025056+0.0015559i,0.0021022+0.001657i,0.0020836+0.0036167i,0.00059102+0.0031228i,0.0012762+0.0038677i,0.0019451+0.0019664i,-0.00091271-0.00089678i,0.0011663+0.00086662i,-0.00045597+0.00015725i,-0.0007827+4.5127e-05i,0.00052587-0.00081521i,0.0060587+0.0097101i,0.001579+0.0029957i,0.00091682+0.0016344i,0.0021298+0.0029816i,-0.0018039-0.0020118i,-0.0010841-0.0013178i,-0.00086611-0.0011333i,0.0020797+0.0030935i,0.0023002+0.00081467i,-0.0047534-0.013108i,-0.0089651+0.0011361i,0.0093376-0.0005625i,-0.0048843-0.0073709i,0.023502-0.033772i,0.0077006-0.011811i,-0.0080684-0.0044274i,-0.033396+0.00059672i,-0.011465+0.0066116i,-0.013278-0.03157i,0.0096372-0.005553i,-0.00012742+0.0037417i,0.0041951+0.0036862i,-0.002392+0.0069514i,-0.0072446-0.00027273i,0.0026146-0.014393i,0.0092917-0.0061756i,-0.010243+0.0098078i,-0.00095829-0.0020088i,-0.0020919+0.0014423i,-0.0040497-0.00019833i,-0.0047944-0.0034228i,0.0040002-0.0017837i,-0.0039124-0.0062358i,-0.0003364+0.0020395i,0.002477-0.00010298i,-0.0023717+0.00097861i,-0.0035665+0.0071093i,0.0023429+0.0017863i,-0.0011696+0.00047598i,0.017598-0.0079001i,0.0033456+0.010367i,0.00080575-0.00047897i,-0.00063241+0.0018912i,-0.0013541-0.0007125i,0.0067636+0.008002i,0.003982+0.0011367i,0.0025758+0.004083i,0.0025588+0.0021341i,0.0025727+0.0042165i,0.0016063+0.0037792i,-0.0014942+0.0025992i,0.0066364+0.0011529i,-0.0057044+0.0013392i,-0.0028004+0.0064874i,-0.0016469-0.015217i,0.011404-0.015835i,-0.015385+0.0071532i,-0.022888+0.0026786i,0.012724-0.0033967i,0.016427+0.0091413i,-0.012055-8.2103e-05i
-0.0052484-0.0099852i,0.0010917-0.0091258i,0.0067442-0.0077306i,0.0058177-0.015204i,0.0091842-0.019519i,-0.0052504-0.020979i,0.00028097-0.009737i,0.0047828-0.011993i,-0.0048729-0.0068243i,0.0021192+0.0044307i,-0.00093191+0.0013267i,0.0026062+0.0011855i,0.0028558+0.0022629i,0.001876+0.002018i,0.0027183+0.0003237i,0.0027916+0.0012328i,-0.00044632-0.00053108i,-0.0021689-0.0029882i,-0.0027015-0.00019561i,-0.0029188+0.00010855i,-0.0031827-0.00080914i,-0.0010919-0.00017276i,-0.0020943+0.0012534i,-0.0015686-0.0047643i,0.002994+0.00023758i,0.0026432+0.00086376i,0.0031053+0.0027345i,0.0018978+0.0028823i,0.0028398+0.0030997i,0.0025622+0.0010062i,-0.0010099-0.00055985i,0.0014477+0.00058458i,-0.0002384+0.00063847i,-0.00042859+0.0005424i,0.00029297-0.0010442i,0.0084674+0.0072756i,0.0027026+0.0021918i,0.0015397+0.0012727i,0.0033054+0.001937i,-0.0020683-0.001585i,-0.0016958-0.00094445i,-0.0011971-0.00090155i,0.0029991+0.0025421i,0.0024315+0.00043019i,-0.0066895-0.013064i,-0.0065597-0.0014206i,0.010951-0.0050111i,-0.0054857-0.0060193i,0.013414-0.040196i,0.0046163-0.01369i,-0.0061027-0.0022106i,-0.028363+0.0066671i,-0.0032303+0.0094776i,-0.01947-0.026543i,0.0069741-0.005557i,0.0009995+0.0035527i,0.0043279+0.0014633i,-0.00030792+0.0074266i,-0.0070309+0.0028352i,-0.0053039-0.013029i,0.0058469-0.0085485i,-0.0073693+0.012408i,-0.00059484-0.0023261i,-0.0017322+0.0012946i,-0.0038913+3.7708e-05i,-0.0044008-0.001311i,0.0030171-0.0018739i,-0.0048221-0.0050283i,0.00098282+0.0014286i,0.0025163-0.002369i,-0.0019434+0.0018507i,-0.00011669+0.0073105i,0.0020702+0.00041597i,-0.00045826+0.0003066i,0.011701-0.012519i,0.0071665+0.0076921i,0.0012853-0.00041788i,0.00045185+0.00091938i,-0.00078379-6.8437e-05i,0.0080711+0.0045933i,0.0048599-0.0011349i,0.0046519+0.002534i,0.0029775+0.00098907i,0.0040784+0.0018188i,0.003441+0.0032565i,-0.00037567+0.0040174i,0.0063758-0.00075788i,-0.006384+0.0034116i,-0.00059883+0.0063629i,-0.0029806-0.015131i,0.0013239-0.022329i,-0.018297+0.003701i,-0.022572+0.008524i,0.0064313-0.0059266i,0.017291+0.0048554i,-0.012025+0.0011785i
-0.0057527-0.0087204i,0.00023201-0.008529i,0.0043906-0.0092988i,0.0023034-0.016533i,0.0055152-0.021196i,-0.0089805-0.018958i,-0.00019394-0.0091916i,0.002766-0.012752i,-0.0052674-0.0065638i,0.0034222+0.0045121i,-0.00062375+0.002058i,0.0025289+0.00041879i,0.0034233+0.0017554i,0.0023097+0.0018445i,0.0027317-0.00031731i,0.0033652+0.00067128i,-0.00071299-0.00019319i,-0.0033805-0.0020858i,-0.0026197+0.00053077i,-0.0028715+0.0013634i,-0.0035217+0.0002772i,-0.0015578-0.00036273i,-0.0016635+0.0019669i,-0.0034761-0.0031848i,0.0025832-0.0010017i,0.0027749-0.00013778i,0.0040599+0.0014081i,0.0029838+0.0020728i,0.0038255+0.0015992i,0.0027001-3.9801e-05i,-0.0010138-0.00023962i,0.001622-9.2714e-05i,0.00031694+0.00087106i,0.00012146+0.00070149i,-0.00016499-0.00090113i,0.0098391+0.0041554i,0.003358+0.00093853i,0.0019242+0.00075251i,0.0038683+0.0003976i,-0.0023499-0.001032i,-0.0020456-0.00020888i,-0.0014925-0.00059786i,0.0035872+0.0015354i,0.0025687-3.9479e-05i,-0.0086477-0.012494i,-0.0056998-0.0049792i,0.010297-0.0093537i,-0.004656-0.0054831i,0.0028482-0.042118i,0.001172-0.013982i,-0.0045324-0.0011488i,-0.023269+0.0093559i,0.0051072+0.007622i,-0.022236-0.020048i,0.0057399-0.0053637i,0.0021503+0.0027557i,0.0036537+0.0001844i,0.0022754+0.006993i,-0.0053965+0.0061118i,-0.010818-0.0075159i,0.0021538-0.0089452i,-0.0037238+0.013758i,-0.0015745-0.0029493i,-0.0015135+0.0014231i,-0.0039834+0.00086141i,-0.0034214+0.00012755i,0.0021823-0.0018659i,-0.0058161-0.0034154i,0.0015778+0.00042155i,0.00016174-0.0039029i,-0.00078975+0.0024135i,0.0029056+0.0055288i,0.0023594-0.00052066i,-0.00026152+7.5844e-06i,0.0053743-0.014135i,0.0092625+0.0038066i,0.0014628-0.0012041i,0.00018592-4.3606e-05i,1.3163e-05+0.00016115i,0.0078187+0.0018322i,0.0039487-0.004104i,0.0060925+0.00032464i,0.0035687+1.3781e-05i,0.0045501-0.00058768i,0.0044814+0.001858i,0.0014365+0.0043152i,0.0050108-0.00233i,-0.0057347+0.005952i,0.0012134+0.0053071i,-0.0034475-0.015006i,-0.011505-0.023688i,-0.022111+0.0043502i,-0.019156+0.013774i,0.0015711-0.0033588i,0.016008-0.00045038i,-0.011654+0.0014358i
-0.0058269-0.0082026i,-1.4013e-06-0.0089655i,0.002272-0.0096121i,-0.0012855-0.016425i,0.0017251-0.022078i,-0.011685-0.016612i,-0.00012873-0.009638i,0.00062085-0.013266i,-0.0058609-0.0063252i,0.004905+0.0036976i,0.00028015+0.0026342i,0.0023457+3.8362e-05i,0.0039366+0.00089918i,0.0027835+0.0013629i,0.0026215-0.00096541i,0.003897+0.00015864i,-0.00064279+0.00018411i,-0.0038907-0.0008804i,-0.0025594+0.0011358i,-0.0022647+0.0023042i,-0.003413+0.001307i,-0.0020825+0.00014617i,-0.00093733+0.0024725i,-0.0045961-0.00083175i,0.0018625-0.0016578i,0.0025627-0.0010585i,0.0042856-0.00032162i,0.0036745+0.00082791i,0.0038858+0.00014457i,0.0025435-0.00099908i,-0.00086128+0.00013431i,0.0011706-0.00057849i,0.00095243+0.00064444i,0.00063505+0.00060324i,-0.00034918-0.00056085i,0.0097052+0.00091657i,0.0033662-0.00046057i,0.0022696+8.4707e-05i,0.0036744-0.0012229i,-0.0022637-0.00027921i,-0.001862+0.00054344i,-0.0017438-0.00024878i,0.0036468+0.00036702i,0.0025786-0.00053687i,-0.010598-0.011546i,-0.0079013-0.0080758i,0.0080031-0.012608i,-0.004429-0.0061568i,-0.0057858-0.041016i,-0.0010674-0.012065i,-0.0027513-0.00044814i,-0.019004+0.011038i,0.010567+0.0028102i,-0.021623-0.014014i,0.0047126-0.0062526i,0.0026777+0.0011116i,0.0035211-0.00087992i,0.0045633+0.0050921i,-0.0022282+0.0072088i,-0.012269-0.0012873i,-0.00096192-0.008213i,0.00021224+0.013217i,-0.0032112-0.0025943i,-0.0017904+0.0020509i,-0.0036658+0.0019451i,-0.0025217+0.00097558i,0.0017008-0.0010029i,-0.0061864-0.0012968i,0.0013572-0.00039194i,-0.0019514-0.0030224i,0.00045155+0.0023461i,0.0040703+0.002991i,0.0025113-0.0017979i,-0.00015144+0.00026509i,-0.00013866-0.013242i,0.0096085-0.00060902i,0.0008624-0.0018458i,3.5212e-06+0.00010101i,0.0010006-0.00018272i,0.0073898-0.00028644i,0.0011429-0.005947i,0.0062241-0.0027219i,0.0035023-0.0019823i,0.0038595-0.0031385i,0.0050148+0.00053689i,0.0029111+0.0036526i,0.0033437-0.0023698i,-0.0039089+0.0076776i,0.0021796+0.0037467i,-0.0035645-0.015829i,-0.023087-0.018279i,-0.024972+0.0071221i,-0.013926+0.01539i,0.00080566-0.00082004i,0.012716-0.0039246i,-0.013125+0.0018125i
-0.0065309-0.0079664i,-0.0008367-0.010153i,0.00078232-0.0096653i,-0.0043396-0.015388i,-0.0021939-0.022462i,-0.014067-0.014091i,-0.00068379-0.011402i,-0.0016344-0.013446i,-0.0066767-0.0059598i,0.0059551+0.0023299i,0.0015062+0.0026071i,0.0022183-0.00018432i,0.004064-0.00020031i,0.0032543+0.00075451i,0.0022848-0.0016326i,0.004271-0.00059001i,-0.0005318+0.00047304i,-0.0040473+0.00032077i,-0.0022239+0.0019104i,-0.0013921+0.0029056i,-0.0030433+0.0023986i,-0.0021648+0.0010372i,-0.00019375+0.0026025i,-0.0043676+0.0017489i,0.0011688-0.0019831i,0.0020524-0.0018083i,0.0037769-0.0019315i,0.0037213-0.00068333i,0.0035944-0.001179i,0.0020144-0.0018997i,-0.00051243+0.00031168i,0.00086473-0.00054403i,0.0013378+0.00012216i,0.001092+6.87e-05i,-0.00024517-0.00030968i,0.0086752-0.0017632i,0.0029887-0.0016513i,0.0023717-0.00083568i,0.0027707-0.0025883i,-0.001828+0.00042567i,-0.0015071+0.0011519i,-0.0018715+0.00024672i,0.0032878-0.00048692i,0.0024038-0.00068537i,-0.012443-0.010246i,-0.011666-0.0083338i,0.0053069-0.014244i,-0.0049311-0.0057513i,-0.013623-0.039441i,-0.0010852-0.010002i,-0.00088115-0.00088827i,-0.014209+0.011708i,0.014255-0.0039491i,-0.018844-0.010411i,0.0030702-0.0070798i,0.0017301-0.0012734i,0.003069-0.0022307i,0.0049319+0.0024202i,-0.00027389+0.0066953i,-0.01131+0.0044733i,-0.0037762-0.0064753i,0.0029963+0.011179i,-0.0047581-0.0010941i,-0.0015215+0.0033258i,-0.0029356+0.0030081i,-0.0010513+0.00122i,0.002553+0.00039035i,-0.0052797+0.00032924i,0.0012642-0.00034243i,-0.0027636-0.0017343i,0.0014632+0.001781i,0.0040769+0.0010519i,0.00086665-0.0033378i,0.00032596+0.00027979i,-0.0045179-0.011187i,0.0082133-0.0043476i,0.00024853-0.0020664i,0.00050437-0.00019471i,0.0011927-0.0012679i,0.0067964-0.0022643i,-0.0016091-0.0055787i,0.0046979-0.0056373i,0.0020564-0.0031526i,0.0017209-0.0046421i,0.0053153-0.0013872i,0.00402+0.0027104i,0.0028125-0.002386i,-0.0012107+0.0083819i,0.0018538+0.0020048i,-0.0042908-0.017707i,-0.028341-0.0079387i,-0.027313+0.011703i,-0.0097378+0.015444i,0.00019021+0.00084819i,0.0093358-0.0050302i,-0.014103+0.0036243i
