-0.024543-0.0041165i,-0.022853+0.0018441i,-0.01703-0.006825i,-0.029428-0.012709i,-0.028463+0.0033936i,-0.039333-0.0052179i,-0.064543-0.03287i,-0.034248-0.017237i,-0.030499-0.0023985i,0.0063796+0.0029521i,-0.0035784+0.0068487i,-0.005971+0.013138i,0.004123+0.0097288i,-0.0026208+0.003859i,0.0043446+0.0046934i,0.0031902+0.026554i,0.02278+0.023241i,0.00081319-0.001196i,0.00079142-0.0065643i,0.0065311-0.0004233i,0.0058244+1.0834e-05i,0.0033442+0.002756i,0.00091021-0.00017492i,-0.030102-0.002881i,-0.0054957-0.0053289i,-0.0015508+0.002615i,0.0010619-0.0026424i,-0.00098839+0.00060671i,-0.0013042+0.0011375i,-0.0019784-0.0032874i,-0.0042646-0.0016199i,-0.0068768-0.0070249i,-0.003339-0.0015327i,-0.00042867+2.1464e-05i,0.0015102-0.0032029i,-0.0010251+0.021345i,0.001173-0.0032136i,0.00030571-0.0023286i,0.0043981-0.003123i,-0.0022414-0.0022221i,0.0008802+0.00025334i,0.0057678-0.0005339i,0.0049519-0.0026642i,-0.00069962+0.0022106i,-0.013434+0.016222i,-0.02985+0.056168i,-0.0026769-0.037308i,-0.013814-0.015677i,-0.034198-0.014554i,-0.028026-0.014689i,0.043135-0.0068879i,0.0085262-0.032868i,0.014738-0.040655i,-0.010271-0.029481i,0.025245-0.024228i,0.012123+0.0062991i,0.028137-0.034973i,-0.0025752-0.0047999i,0.0068964-0.0082792i,-0.0014647-0.006124i,0.0034929-0.037379i,-0.012664+0.029415i,0.006444-0.010828i,-0.01054-0.0063344i,-0.0028672-0.001624i,0.0001299-0.013634i,-0.008172+0.0058948i,0.0036631+0.0073282i,-0.0012668+0.027614i,0.0021683+0.00038315i,-0.0072876-0.0047698i,-0.002878-0.0064851i,-0.013716-0.0088235i,-0.002291-0.0068375i,-0.03664+0.0052948i,-0.0045467-0.0091632i,-0.012948-0.002599i,-0.010185-0.0048558i,0.0014863-0.0016996i,-0.013788+0.0021712i,-0.0012565-3.2244e-05i,0.0067006+0.0065229i,0.0037556-0.0050828i,-0.012043-0.01137i,0.0083501+0.0091162i,-0.017238+0.0049667i,0.0051978-0.00047648i,-0.019446-0.0018596i,-0.018269-0.0036518i,-0.017882-0.032826i,0.020414-0.009438i,-0.039603-0.022835i,-0.0084803+0.0045252i,0.017793+0.016581i,-0.021557+0.017138i,-0.0032586-0.0044682i
0.0065739-0.0098645i,0.0095759-0.0088742i,0.0084282-0.0027i,0.01113+0.0032546i,0.01615-0.0030676i,0.012608-0.015686i,0.018495-0.0020393i,0.013358+0.004392i,0.0036252-0.0085856i,-0.0017395+0.0021472i,-0.0013865+0.00030494i,-0.0024761+0.00021788i,-0.00074861+0.003461i,-0.0017717+0.0025001i,0.0015484+0.0022521i,0.0023627-0.00086108i,0.0020032-0.0031037i,0.0015606-0.00081922i,5.944e-05-0.00095628i,-0.00016021-0.00034162i,5.8988e-05-0.0020789i,-0.0017508-0.0012585i,-0.0017796-0.00026122i,0.0057963+0.0065298i,-0.0023565+0.000166i,-0.0017205+0.0017192i,-0.0018982+0.00046526i,-0.0021888+0.00031115i,-0.0015956-0.0015868i,-0.0032544+0.0011602i,-0.00016374-0.0025299i,0.0003042+0.0011002i,0.0010087-0.00071823i,0.0023125+0.0010094i,0.00066607+0.00033203i,-0.0086339+0.0063327i,-0.0020126-0.00010169i,-0.0011881+0.00064681i,-0.0019658+0.00044466i,0.0013454-0.00071335i,0.00036409-0.00040559i,0.00044113-0.0010207i,-0.0016876+0.0013128i,0.0046737-0.0005151i,-0.0017209-0.013969i,-0.028095-0.0047939i,-0.003633-0.0084295i,-0.00645+0.0034224i,0.014349+0.022515i,-0.00077366+0.0056128i,0.01216-0.020868i,-0.0092735-0.030538i,-0.0048354-0.013471i,0.009054-0.0083023i,0.019629+0.020736i,0.0024207+0.0010684i,-0.00062732-0.00023116i,-0.0062047-0.00035204i,0.01206-0.0022684i,0.013197+0.0098716i,0.0012554+0.005358i,-0.0044852-0.0076026i,0.0050891-0.0022251i,-0.004314-0.0065646i,0.0032681-0.0123i,0.0066342-0.0060175i,-0.00093646+0.0070705i,0.010995-0.0083203i,0.0065887-0.0084272i,0.00015197-0.0062113i,-0.0029302-0.0017683i,-0.0062701-0.0070338i,-0.0065175-0.0013165i,-0.00075026-0.0019957i,-0.0053657+0.036415i,-0.011965-0.0037821i,8.3658e-05+0.0027086i,-0.0038413-0.0063886i,0.0003882+0.00093914i,-0.016131+0.0019859i,-0.0025604+0.001432i,-0.0013691-0.0029107i,-0.0039521-0.00081788i,-0.004974-0.0028707i,-0.0015007+0.0050976i,-0.0019322+0.0023838i,-0.0046544+0.0074631i,-0.0059544+0.00080432i,-0.0032591-0.0014732i,0.0083785-0.0035967i,-0.0056357+0.01851i,-0.027315-0.0031301i,-0.010381-0.0021291i,0.011459+0.01647i,-0.0018615+0.017161i,-0.0080565-0.005534i
0.0051808-0.011508i,0.0082038-0.010679i,0.0080515-0.0038283i,0.011206+0.002076i,0.016105-0.0059238i,0.0094618-0.017859i,0.016279-0.0054478i,0.01391+0.001828i,0.0020357-0.0092605i,-0.0010303+0.0025391i,-0.00084645+0.00095395i,-0.00271+0.0015368i,0.00035181+0.0035086i,-0.0007198+0.003264i,0.0019989+0.0018415i,0.0016674-0.00065491i,0.00036764-0.0030344i,0.00093537-0.0015984i,-0.00043411-0.0016363i,0.00010877-0.00076541i,-0.00039729-0.0021721i,-0.0019112-0.0008155i,-0.0016564-0.00028024i,0.0090184+0.0033791i,-0.0026319+0.0017104i,-0.00066359+0.0024269i,-0.0018189+0.0011887i,-0.0020418+0.0011839i,-0.0027977-0.00064611i,-0.0026674+0.0027806i,-0.0031524-0.0036665i,0.00031271+0.0001986i,0.00040192-0.0010176i,0.0016265-0.00074428i,0.00033553+0.00093126i,-0.0063722+0.0087668i,-0.0022662+0.00077443i,-0.0010119+0.0012047i,-0.002088+0.0012808i,0.0011716-0.001451i,0.00031624-0.00057005i,8.7493e-05-0.0011824i,-0.0016092+0.0015669i,0.0035662-0.0008464i,-0.0027816-0.013098i,-0.024865-0.0020346i,-0.006156-0.0053472i,-0.0030224+0.0019317i,0.021523+0.016273i,0.00372+0.0032437i,0.0032592-0.023937i,-0.018927-0.031127i,-0.0099754-0.014454i,0.011857-0.015142i,0.025712+0.017164i,0.00062573+0.0005773i,-0.00022319+0.0023013i,-0.0055993+0.0014955i,0.0092137-0.0063578i,0.014833+0.0061646i,0.0046625+0.0074069i,-0.0090308-0.006036i,0.0023975-0.0034535i,-0.0054804-0.0042419i,-0.0029715-0.010917i,0.0035693-0.0075336i,0.0029012+0.0054864i,0.0059895-0.010096i,0.0025668-0.0089692i,-0.0025645-0.0028299i,-0.0017506-0.00067006i,-0.0078161-0.0049528i,-0.0055088+0.00083481i,-0.00043415-0.0013453i,0.010807+0.031623i,-0.014992+0.00061404i,0.00080004+0.0012946i,-0.0072802-0.0036575i,0.0010047+0.00032515i,-0.013752+0.008883i,-0.0015952+0.0025274i,-0.002087-0.0011165i,-0.0028822+0.00032171i,-0.0054112-0.00031226i,-9.4798e-06+0.0028224i,-0.00051679+0.0022497i,8.2048e-05+0.0086681i,-0.0038169+0.0026255i,-0.0044287-0.00093253i,0.0085953-0.0098051i,-0.0017629+0.020639i,-0.028264+0.0022218i,-0.011454-0.0033637i,0.013511+0.014419i,0.0010427+0.018538i,-0.010445-0.0043225i
0.0027656-0.012754i,0.0059315-0.013012i,0.0077471-0.0054855i,0.011789+0.00010172i,0.015977-0.0091292i,0.005816-0.019746i,0.013557-0.0085329i,0.013911-0.0010419i,0.00052932-0.0090536i,-0.00044991+0.0027774i,-0.00042076+0.00078624i,-0.0020731+0.00275i,0.0011892+0.0028711i,0.00036556+0.0030962i,0.0023465+0.0013188i,0.0012509-0.00036812i,-0.00061068-0.0021644i,0.00064192-0.002005i,-0.0010756-0.0014861i,-0.00024514-0.0014267i,-0.0011671-0.0022416i,-0.0017396-0.00033664i,-0.0018694-0.00026419i,0.00926-0.0013232i,-0.0016502+0.0028394i,0.00021522+0.0024289i,-0.0015174+0.0021891i,-0.0014869+0.0019781i,-0.0031603+0.0011452i,-0.0014267+0.00391i,0.00015576-1.7015e-05i,-0.00066089+0.00074253i,-8.2815e-05-0.00084817i,0.00095169-0.00087942i,0.00067573+0.0017444i,-0.0035699+0.010626i,-0.0019361+0.0020878i,-0.0004892+0.0015883i,-0.0016343+0.002505i,0.0005025-0.0020781i,0.00030358-0.00065629i,-0.00028538-0.0011817i,-0.001655+0.0022301i,0.0032621-0.00070497i,-0.0029516-0.012392i,-0.022897+0.001253i,-0.0042034+0.00048899i,-0.00018322-0.0010296i,0.029159+0.0064825i,0.0072944+0.0015109i,-0.0055282-0.023252i,-0.027209-0.027765i,-0.014436-0.011766i,0.009894-0.023366i,0.018742+0.00032461i,-0.001265+0.00068975i,-0.00048482+0.001547i,-0.0055713+0.0026261i,0.0040438-0.010048i,0.015898+0.0014982i,0.008436+0.0062322i,-0.012688-0.0025763i,0.0010516-0.0028682i,-0.0060335-0.001395i,-0.0058548-0.0072743i,0.00093588-0.0076983i,0.0049711+0.004774i,0.0028645-0.010061i,-0.0030037-0.0080513i,-0.0021655-0.00049203i,-0.0017428-0.0012063i,-0.0099967-0.002023i,-0.0034081+0.0026285i,-0.0012645-0.0017861i,0.021465+0.022308i,-0.014795+0.0083491i,0.0011214+0.00073579i,-0.0055509-0.00020509i,0.0012926-0.00088359i,-0.0072124+0.013564i,-5.1377e-05+0.0030965i,-0.0029245-0.00052838i,-0.0024749+0.0013519i,-0.0045939+0.0027663i,-0.001012+0.0026239i,0.00015273+0.001546i,0.0041647+0.0075838i,-0.0024638+0.0017804i,-0.0054087+0.00088852i,0.0051562-0.014566i,0.0081787+0.019466i,-0.026912+0.0061115i,-0.012806-0.003841i,0.016137+0.010045i,0.0059435+0.019886i,-0.011949-0.0025017i
9.984e-05-0.012924i,0.0023234-0.013958i,0.0066495-0.0071317i,0.011786-0.0025798i,0.014668-0.012831i,0.0014615-0.020515i,0.010193-0.010315i,0.013107-0.0037685i,-0.00039216-0.0090253i,0.00011537+0.0027494i,-0.00043638+0.00081083i,-0.0010269+0.0034926i,0.0013074+0.0024733i,0.00088771+0.0029842i,0.0024692+0.00077646i,0.0010663+0.0001753i,-0.00096021-0.0010352i,0.00031389-0.0025409i,-0.00090708-0.0010976i,-0.0010777-0.0016076i,-0.0016966-0.0016928i,-0.0017598-0.00013315i,-0.0021974+7.1753e-05i,0.0070726-0.0048353i,-0.00051582+0.0033506i,0.00107+0.0024087i,-0.0004608+0.0030283i,-0.00073106+0.0024602i,-0.0022792+0.0025542i,0.0002738+0.0043182i,-0.00039139-0.00014198i,0.00012084+0.0018134i,-0.00032974-0.00058363i,0.00035365-0.00098679i,0.0011679+0.0018122i,-8.8166e-05+0.011387i,-0.00066628+0.0029779i,5.2095e-05+0.0016811i,-0.00055519+0.0032933i,-0.00049311-0.0021634i,0.00027677-0.00085254i,-0.0005448-0.0011459i,-0.0011922+0.0032381i,0.0030465-0.00067364i,-0.0030135-0.01311i,-0.019141+0.004216i,-0.00074268+0.001811i,-0.00070049-0.0049368i,0.032397-0.00611i,0.0099803-0.0035872i,-0.013433-0.018438i,-0.035111-0.021783i,-0.016825-0.0063755i,0.0038729-0.029696i,0.016414-0.0025912i,-0.0014363+0.0021981i,-0.0010035+0.0039319i,-0.00503+0.004555i,-0.002748-0.0090156i,0.015172-0.0043574i,0.01151+0.0033751i,-0.013249+0.003643i,9.8217e-05-0.0027863i,-0.0048235+0.00099092i,-0.0068849-0.0030066i,-0.0012241-0.0070787i,0.0066566+0.0015733i,-5.6566e-05-0.0099726i,-0.0044844-0.0029541i,-0.0012201+0.001141i,-0.0027188-0.00090022i,-0.0098185+0.0024919i,-0.0018674+0.0036284i,-0.0022182-0.0013851i,0.026655+0.009985i,-0.010535+0.013155i,0.0015239-0.00037425i,-0.0039476+0.0013708i,0.00035894-0.0019278i,-0.00073911+0.013304i,0.0018556+0.002506i,-0.002963+0.0019743i,-0.0017656+0.0026732i,-0.0020879+0.0053275i,0.00040909+0.0038256i,-0.00014902+0.00075386i,0.0074369+0.0047875i,-0.0024435+0.00079906i,-0.0061146+0.0031155i,0.0012401-0.015267i,0.017996+0.0099588i,-0.023945+0.010856i,-0.015468-0.0030527i,0.015563+0.0053116i,0.010879+0.017868i,-0.011377-0.001265i
-0.0020573-0.012406i,-0.0007074-0.013366i,0.0052229-0.0082182i,0.011257-0.0052292i,0.012302-0.016149i,-0.0025412-0.020283i,0.0072601-0.010749i,0.011761-0.0058931i,-0.0012543-0.0090309i,0.00055457+0.0026482i,-0.00051059+0.00095209i,0.00021085+0.0038782i,0.0015144+0.0025642i,0.0013587+0.0028541i,0.0025676+0.00053521i,0.0013242+0.0010362i,-0.00067283-0.00030764i,-0.00054847-0.0028593i,-0.0011156-0.0013461i,-0.0019375-0.0012601i,-0.0020449-0.0014406i,-0.0016841+0.00018112i,-0.0023315+0.00074334i,0.0040236-0.0067638i,0.00072202+0.0034957i,0.0020624+0.0019878i,0.00080386+0.0032189i,0.00013766+0.0026983i,-0.0010562+0.0033859i,0.0021081+0.0040153i,-0.00034897+6.3259e-06i,0.0012636+0.0022318i,-0.0005336-0.00031099i,-9.3886e-05-0.00051417i,0.0018194+0.0022958i,0.0034323+0.010934i,0.00064297+0.0030755i,0.00055401+0.0016814i,0.00075168+0.0035119i,-0.0011572-0.0018581i,0.00015356-0.0012021i,-0.00086271-0.0010847i,-0.00032055+0.0036772i,0.0028004-0.0011982i,-0.0044943-0.014206i,-0.013674+0.0052015i,0.0039558+0.0014048i,-0.0027503-0.0062349i,0.029869-0.018839i,0.0093483-0.0086047i,-0.016708-0.010861i,-0.039531-0.011398i,-0.016694+0.0003515i,-0.0039607-0.03154i,0.012379-0.0046081i,-0.00059823+0.0032946i,0.0016647+0.0047715i,-0.0037069+0.0061591i,-0.0060846-0.0045803i,0.011346-0.010637i,0.013031-0.001128i,-0.010973+0.0076528i,-0.00050485-0.0018906i,-0.0031448+0.0020085i,-0.005112-0.00056001i,-0.0037902-0.0058964i,0.0060292-0.001107i,-0.0029787-0.0083295i,-0.0035079-2.9343e-05i,0.0003795+0.0017649i,-0.0028182-6.0299e-05i,-0.0071462+0.0061942i,0.00073967+0.0034932i,-0.0025192-6.7941e-05i,0.026926-0.0011792i,-0.004674+0.01344i,0.00062508-0.0013107i,-0.0022224+0.0015302i,-0.00077849-0.0016819i,0.0036286+0.011107i,0.0024922+0.0012576i,-0.00098692+0.0044528i,0.00032529+0.0036416i,0.00093243+0.0054714i,0.0016974+0.0024604i,-0.0013383+0.00089979i,0.0080522+0.00067091i,-0.003452+0.00066365i,-0.0047087+0.0057879i,-0.00089512-0.015025i,0.019092-0.0047716i,-0.017929+0.011178i,-0.017817-0.0011605i,0.014893+0.0018581i,0.01496+0.013305i,-0.012329-0.0012846i
-0.0038259-0.011571i,-0.0028709-0.012313i,0.0038764-0.0089137i,0.010268-0.0081421i,0.0094626-0.018841i,-0.0065107-0.019409i,0.0052764-0.010522i,0.010305-0.0075854i,-0.0019995-0.0093553i,0.00089617+0.0025174i,-0.00039315+0.0012559i,0.0016104+0.0037455i,0.0022953+0.0027305i,0.0019488+0.0028632i,0.0027574+3.09e-05i,0.0034438+0.0027295i,-0.00012186-0.00019907i,-0.0014829-0.0028712i,-0.0017699-0.0013041i,-0.0025298-0.00049686i,-0.002559-0.0011551i,-0.0014437+0.00034767i,-0.0021279+0.0014719i,0.00049508-0.0073451i,0.0021431+0.0031232i,0.0027907+0.0011388i,0.0020807+0.0028444i,0.001161+0.0026976i,0.0003776+0.0036806i,0.0035116+0.0028531i,-0.00022787+8.0192e-05i,0.0024965+0.0028926i,-0.00063231+0.00053247i,-2.896e-05-0.00014278i,0.003482+0.0026953i,0.0064782+0.0093997i,0.0018749+0.0026774i,0.0011313+0.0015472i,0.0019993+0.0031406i,-0.0015958-0.0013423i,-0.00031788-0.0015728i,-0.0012094-0.00093535i,0.00069289+0.0039528i,0.0025108-0.001328i,-0.0064793-0.014801i,-0.0096443+0.0037704i,0.0077043-0.0016911i,-0.0044264-0.0060722i,0.023443-0.02859i,0.0067545-0.012036i,-0.015781-0.0037786i,-0.038963+0.00027612i,-0.011842+0.0073719i,-0.010849-0.029689i,0.0092466-0.0052621i,0.00074702+0.0036547i,0.0035333+0.0033953i,-0.0021092+0.0075561i,-0.0069789-0.00099263i,0.0045845-0.015169i,0.011381-0.0068237i,-0.0084379+0.009595i,-0.00030809-0.0011679i,-0.0017117+0.0017305i,-0.0038154+0.00017632i,-0.0049934-0.0031758i,0.0044381-0.002334i,-0.0053685-0.0057835i,-0.0015391+0.0013789i,0.0020887+0.00065329i,-0.0026406+0.00095178i,-0.0038818+0.0078095i,0.0019159+0.0018629i,-0.0015692+0.0011813i,0.021934-0.010412i,-0.0049207+0.014896i,-7.5489e-05-0.00051765i,-0.0013336+0.0017667i,-0.0014956-0.00047793i,0.0068264+0.0084173i,0.0032095+0.00018894i,0.002312+0.0043426i,0.002046+0.0027826i,0.0032459+0.0040838i,0.0019416+0.0023453i,-0.0016255+0.0024929i,0.0053462-0.0018513i,-0.0043945+0.0012851i,-0.0020445+0.0067767i,-0.0026522-0.015071i,0.011169-0.015741i,-0.015249+0.0066249i,-0.020539+0.0024944i,0.012628-0.0027487i,0.0163+0.0080481i,-0.013715+0.00016362i
-0.0054018-0.010364i,-0.0047935-0.01128i,0.0023697-0.0098696i,0.0078935-0.011303i,0.0060363-0.021247i,-0.010225-0.017395i,0.0039947-0.010472i,0.0088608-0.0091667i,-0.0030857-0.00953i,0.001039+0.0025614i,-0.00030665+0.0014733i,0.0027883+0.0028115i,0.0030747+0.002353i,0.0026805+0.0026242i,0.0027235-0.00050333i,0.0048844+0.0010175i,-5.5973e-05-0.00039883i,-0.0026778-0.0025213i,-0.0022317-0.00079763i,-0.0029081+0.00055778i,-0.0033714-0.00050385i,-0.0012913+0.00025007i,-0.0017687+0.00209i,-0.0028945-0.0064951i,0.0033139+0.0018006i,0.0030343+0.00010481i,0.0030462+0.0018732i,0.0022309+0.0022667i,0.0020113+0.0033042i,0.0042565+0.0011972i,-1.4893e-05+5.1036e-05i,0.0022146+0.0030604i,-8.6019e-05-0.00013643i,0.00017376+5.391e-05i,0.0064954+0.013236i,0.0088502+0.0067943i,0.002792+0.0017168i,0.0016439+0.0011299i,0.0033651+0.0022525i,-0.0017082-0.00072536i,-0.00094239-0.0015584i,-0.001478-0.00050513i,0.0021293+0.0037475i,0.0022266-0.0013803i,-0.0089992-0.014794i,-0.0070469+0.0015889i,0.0093836-0.0058369i,-0.0048506-0.0047605i,0.014652-0.035253i,0.0035616-0.013608i,-0.012606+2.3022e-05i,-0.032917+0.0083025i,-0.0033875+0.010089i,-0.016055-0.025554i,0.0069133-0.0052748i,0.0021366+0.0029068i,0.0036415+0.001458i,0.00014173+0.0079983i,-0.0071721+0.0023019i,-0.0048725-0.014685i,0.0070732-0.010016i,-0.0059366+0.011164i,0.00022775-0.0017469i,-0.0012737+0.0011296i,-0.0036063+0.00017303i,-0.004489-0.0011221i,0.0032067-0.0025211i,-0.007009-0.0039872i,0.00022726+0.0011742i,0.0024524-0.0014134i,-0.0022005+0.0019929i,-7.6061e-05+0.0080696i,0.0016013+0.0006945i,-0.0005366+0.00099198i,0.013375-0.014689i,0.017474+0.012104i,0.00048302-8.9074e-05i,0.00019644+0.0015642i,-0.00085808+0.00021232i,0.0084082+0.005044i,0.003758-0.0019066i,0.0043688+0.0029504i,0.0026169+0.0017093i,0.0041788+0.0015604i,0.0030183+0.002189i,-0.00025993+0.003903i,0.0050337-9.1601e-05i,-0.0048912+0.0026851i,7.1337e-05+0.0062862i,-0.0032919-0.014156i,0.0008438-0.021688i,-0.018357+0.0031298i,-0.020579+0.0075392i,0.0064921-0.0053755i,0.016211+0.0027892i,-0.013223+0.0016067i
-0.0059988-0.0089375i,-0.0062782-0.0094207i,0.00029138-0.010195i,0.0041388-0.013223i,0.0017509-0.022931i,-0.012908-0.014613i,0.0031425-0.010537i,0.007193-0.010514i,-0.0042285-0.0097826i,0.0015843+0.0028954i,7.4565e-06+0.0019988i,0.0033265+0.0017513i,0.0038755+0.0017104i,0.0035501+0.002183i,0.0026533-0.0010865i,0.0051751+0.00013698i,-0.00056402-0.00046195i,-0.0037243-0.0014292i,-0.0023421-0.00026317i,-0.0026177+0.0018924i,-0.0035681+0.00095741i,-0.0017632+7.3409e-05i,-0.0011346+0.0026464i,-0.0055261-0.0040817i,0.0034665+0.00030695i,0.0028448-0.00098357i,0.003698+0.00052973i,0.0029907+0.0013535i,0.0031916+0.0019636i,0.0043024-0.00048153i,0.00010079-0.00012908i,0.0021667+0.0020125i,-4.6074e-07+0.00023713i,0.0004604-8.9009e-06i,-0.0028182-0.00167i,0.010059+0.0034572i,0.0031128+0.00048446i,0.0020019+0.00060118i,0.0040924+0.00054383i,-0.001633-0.00010583i,-0.0016114-0.0012899i,-0.0015124-9.752e-05i,0.00335+0.0026812i,0.001992-0.001649i,-0.011423-0.013973i,-0.0055118-0.0018957i,0.0087802-0.0099402i,-0.0039293-0.0041984i,0.0050547-0.037776i,0.00042427-0.013682i,-0.0096506+0.0021855i,-0.025796+0.010955i,0.0052571+0.0079181i,-0.018471-0.020609i,0.0056431-0.0052795i,0.0028224+0.0013694i,0.0030828+0.00051633i,0.0028844+0.0071533i,-0.0057103+0.0059744i,-0.011673-0.0085178i,0.00232-0.010255i,-0.0030456+0.012288i,-0.00070052-0.0028514i,-0.0013603+0.00097599i,-0.0038384+0.00084844i,-0.0034921+0.000546i,0.0020961-0.0027548i,-0.0084947-0.0032895i,0.0011882+0.00018968i,0.0006219-0.0030173i,-0.00096348+0.0027196i,0.003025+0.0060554i,0.0015906+0.00013698i,2.0922e-05+0.00072048i,0.0056289-0.015538i,0.013191+0.004583i,0.00094218-0.0007091i,0.00026591+0.00036153i,-1.7406e-05+0.00048659i,0.0083264+0.0021221i,0.0024626-0.0044228i,0.0062798+0.0011083i,0.0032424+0.00059189i,0.0043674-0.00069188i,0.0038375+0.0011675i,0.0015717+0.0039653i,0.0044424-0.0020054i,-0.0050992+0.0046722i,0.0015297+0.0049485i,-0.0030358-0.014981i,-0.011732-0.02251i,-0.022554+0.0038088i,-0.01778+0.012221i,0.0019085-0.0033423i,0.01174-0.0030532i,-0.012499+0.001357i
-0.0060072-0.0082576i,-0.0066818-0.0077187i,-0.0013571-0.0097433i,0.00051019-0.013251i,-0.0027769-0.023532i,-0.014617-0.011961i,0.002783-0.011252i,0.0053105-0.011711i,-0.0057244-0.009742i,0.0025102+0.0026999i,0.00081649+0.0023259i,0.0034448+0.00079807i,0.0044885+0.00047045i,0.0042754+0.0013091i,0.0023967-0.0016656i,0.0056439-0.00081433i,-0.00083798-8.8632e-07i,-0.00384-4.8025e-05i,-0.0025902+0.00020006i,-0.0017488+0.0027409i,-0.0032435+0.0020478i,-0.0022659+0.00074295i,-0.00034586+0.0028903i,-0.0068333-0.0009322i,0.0031238-0.00084316i,0.0023067-0.0019214i,0.0036847-0.001065i,0.0033173+0.00016194i,0.0033849+0.00065277i,0.0037244-0.0020944i,0.00013871-0.00020221i,0.0017376+0.00067291i,0.0003046+0.00027242i,0.00055897-0.00021399i,-0.0010587-0.00021177i,0.0095544+0.00023946i,0.0028567-0.00064496i,0.0022247-8.848e-05i,0.0037164-0.0010932i,-0.0012576+0.00045587i,-0.0020894-0.00063465i,-0.0015306+0.00027069i,0.003708+0.001267i,0.0015078-0.0019417i,-0.013681-0.012613i,-0.0075299-0.0052792i,0.0064785-0.013031i,-0.0034088-0.0048324i,-0.0031427-0.037625i,-0.0017705-0.011756i,-0.0063355+0.0033874i,-0.019969+0.012855i,0.010558+0.0024831i,-0.018448-0.015858i,0.0043079-0.0060855i,0.0023573-0.00027079i,0.0032929-0.00028784i,0.0051965+0.004954i,-0.0024807+0.0072862i,-0.013287-0.0013857i,-0.0015109-0.0089204i,0.0001906+0.012164i,-0.0024947-0.0032508i,-0.0018695+0.0016787i,-0.003675+0.0019375i,-0.0023153+0.0011564i,0.0011323-0.0016632i,-0.0078611-0.0019728i,0.00088327-0.0012168i,-0.0011255-0.0022477i,0.00054503+0.0025133i,0.0041909+0.0031861i,0.002073-0.0010334i,0.00043202+0.00064395i,-0.00047028-0.013533i,0.013308-0.00036551i,0.00010439-0.0011573i,0.00028987+0.00064484i,0.00098159+0.00016604i,0.0082204-4.0815e-05i,-0.0004865-0.0057699i,0.006761-0.0022009i,0.0032901-0.0011509i,0.0037882-0.003201i,0.0040181+5.8612e-05i,0.0028135+0.0032291i,0.0027685-0.0026666i,-0.0038189+0.0058411i,0.0021419+0.0035454i,-0.0039701-0.01616i,-0.022868-0.01671i,-0.025557+0.0069151i,-0.013776+0.013594i,0.00065531-0.0011503i,0.0019591+0.00046839i,-0.014081+0.0014955i
-0.0066378-0.0080366i,-0.0067552-0.0067266i,-0.0025745-0.0091874i,-0.0022701-0.012321i,-0.0074898-0.023289i,-0.016237-0.0093488i,0.0019082-0.013221i,0.0031593-0.01259i,-0.0075859-0.0093151i,0.0033549+0.0021322i,0.0017571+0.0020847i,0.0033007+1.8681e-06i,0.0044604-0.00091361i,0.0047408+0.0001461i,0.0019447-0.0021655i,0.0059006-0.0020589i,-0.00072231+0.00058411i,-0.0036714+0.0010379i,-0.002596+0.0010654i,-0.00070104+0.0031504i,-0.0025851+0.0031544i,-0.0021605+0.0018162i,0.00044811+0.0027588i,-0.0061181+0.0021564i,0.0025871-0.0016795i,0.0014256-0.0025161i,0.0030644-0.0025194i,0.0030493-0.00107i,0.0032722-0.00049555i,0.0024714-0.003326i,0.00021841-0.00032232i,0.001391+0.00018429i,0.00055505+2.8661e-05i,0.00060684-0.00046267i,-4.8473e-05-0.00030636i,0.0082568-0.0022333i,0.0023918-0.0014674i,0.0021519-0.00089743i,0.0028198-0.0022817i,-0.00069372+0.00091447i,-0.0022179+0.00022781i,-0.0014849+0.00073131i,0.003538+9.7596e-05i,0.00092965-0.001579i,-0.015618-0.011069i,-0.01126-0.0053103i,0.0037502-0.014399i,-0.0036554-0.0047401i,-0.010713-0.036671i,-0.0016078-0.0098106i,-0.0031797+0.0028228i,-0.013561+0.013678i,0.013915-0.0042822i,-0.01661-0.013095i,0.0027954-0.0063625i,0.00081483-0.0020282i,0.003164-0.0016838i,0.0053577+0.0019943i,-0.00046077+0.0067027i,-0.012342+0.0050343i,-0.0043119-0.0066943i,0.0027757+0.010092i,-0.0044388-0.0015889i,-0.0017832+0.0031396i,-0.0033932+0.0031323i,-0.001058+0.0011523i,0.0018856+0.00027126i,-0.0066807+0.00021634i,0.00032553-0.0010827i,-0.0015622-0.0013871i,0.0015414+0.0017534i,0.0041938+0.00089992i,0.00054972-0.0025137i,0.00085413+0.00049991i,-0.0052067-0.010898i,0.012736-0.0052449i,-0.00033601-0.00095352i,0.0010325+0.00041385i,0.0011812-0.00099327i,0.0077163-0.002412i,-0.003076-0.004786i,0.0051108-0.0054491i,0.0021302-0.0022127i,0.0017398-0.0046572i,0.0040672-0.0011751i,0.0039794+0.0023256i,0.0020316-0.0025449i,-0.0019579+0.0061412i,0.0017194+0.0022071i,-0.0047602-0.017876i,-0.027767-0.0070786i,-0.027443+0.012016i,-0.010328+0.014478i,-0.00021269+0.00049544i,0.024061-0.020231i,-0.015139+0.0030725i
