-0.024336-0.0046285i,-0.021671-0.0090369i,-0.012753-0.013539i,-0.035826-0.0082503i,-0.027336+0.0015242i,-0.035916-0.0029346i,-0.065695-0.038761i,-0.033158-0.014627i,-0.022977+0.0030546i,0.0066115+0.0053689i,-0.005241+0.0074243i,-0.0079023+0.01826i,0.0055877+0.0073364i,-0.00088848+0.0035452i,0.0041117+0.0042273i,0.0042842+0.026465i,0.019348+0.018807i,0.0012472-0.00091648i,0.00052178-0.0051777i,0.0087348+0.00030069i,0.0052227-0.0020509i,0.0026086+0.0025305i,0.0010813-0.00051972i,-0.02321-0.0013378i,-0.0058083-0.0029909i,-0.0010988+0.0030479i,0.003184-0.0031578i,-0.0019731+0.00011567i,-0.00065804+0.00097096i,-0.0026178-0.0015962i,-0.0038768-0.00050779i,-0.0064479-0.0088128i,-0.0058595-0.0039735i,-0.00067721-5.6805e-05i,-0.00077944-0.0021382i,-0.00065258+0.020318i,0.002695-0.0038862i,0.0010679-0.0044976i,0.0024565-0.0020129i,-0.0021303-0.003419i,0.0010011-0.00024927i,0.0078049+0.0014458i,0.0042678-0.0022558i,0.00010215+0.0023325i,-0.014799+0.015544i,-0.028283+0.053401i,-0.0054792-0.03805i,-0.014145-0.01851i,-0.040141-0.017182i,-0.027181-0.012811i,0.037132-0.010915i,0.0059361-0.030548i,0.013673-0.037564i,-0.0086102-0.030602i,0.02616-0.022903i,0.013343+0.0075555i,0.03398-0.037735i,-0.0016389-0.0039283i,0.0061343-0.00867i,-0.0010421-0.0060449i,-1.0932e-05-0.035344i,-0.014984+0.028567i,0.0090188-0.011388i,-0.0082524-0.004636i,-0.0025005-0.0022088i,-4.7644e-05-0.015634i,-0.0076901+0.0057639i,0.0041266+0.0066605i,-0.00059825+0.027937i,0.0024962+0.00044223i,-0.0068743-0.0042961i,-0.0041506-0.0063892i,-0.013976-0.0097942i,-0.002179-0.005902i,-0.040878+0.014731i,-0.005197-0.0085529i,-0.012897-0.00082782i,-0.0075681-0.0063958i,0.0017602-0.0015591i,-0.013618+0.0016447i,-0.0014774-0.0004946i,0.0058064+0.006043i,0.0037478-0.005097i,-0.01199-0.01406i,0.0073845+0.0089023i,-0.014315+0.0047121i,0.0052009-0.00016578i,-0.019247-0.002985i,-0.016356-0.0041439i,-0.015162-0.036036i,0.019884-0.009839i,-0.040163-0.024682i,-0.0098615+0.0050023i,0.018616+0.015808i,-0.02235+0.016412i,-0.0040793-0.0043191i
0.0084605-0.010327i,0.011831+0.00085995i,0.0078747+0.0033205i,0.015047-0.003761i,0.019217-0.0016616i,0.016018-0.013387i,0.016539-0.0054503i,0.012377-0.0012621i,0.0013593-0.010127i,-0.0021729+0.0009765i,-0.001434-0.00056821i,-0.0015937+0.00027318i,-0.00080393+0.0042977i,-0.0020358+0.0022578i,0.0015001+0.0024834i,0.00084995+1.8248e-05i,0.0034436-0.0020896i,0.0013938-0.0010469i,0.0012123+0.00099418i,7.2687e-05-1.7712e-05i,0.0006022-0.0028309i,-0.0011037-0.0020117i,-0.00069616-0.00039591i,0.0020541+0.0044495i,-0.0018201+0.00040063i,-0.0021045+0.0017431i,-0.0027449+0.00010839i,-0.0019641+0.00010173i,-0.0019579-0.00076279i,-0.0023516+0.00066555i,0.0004414-0.0014396i,0.00076679+0.0013262i,0.0016784+0.00029185i,0.0021823+0.0006436i,0.0011462-0.00043939i,-0.0063351+0.0055927i,-0.0013655-0.00028295i,-0.00104+0.00039559i,-0.0022114+0.00041002i,0.00050576-0.00135i,0.00021587-0.00085775i,0.0012124-0.0010586i,-0.00084057+0.0010612i,0.0029897-0.00023856i,0.00092813-0.012765i,-0.027701-0.0077657i,-0.0024682-0.0057333i,-0.0074895+0.0035628i,0.017102+0.022849i,0.0015107+0.0046998i,0.013093-0.013893i,-0.012544-0.027961i,-0.0045899-0.012912i,0.0076087-0.0083008i,0.018875+0.017778i,0.0025132+0.0018642i,-0.0013805-7.1085e-05i,-0.0059749-0.00027559i,0.01089-0.0033843i,0.014137+0.0098141i,0.0032861+0.0048954i,-0.0033485-0.007776i,0.0064884-0.0035629i,-0.0040565-0.0065166i,0.003124-0.01145i,0.0061361-0.0061218i,-0.0010016+0.0077224i,0.0090217-0.0077772i,0.0057742-0.0077473i,0.00087232-0.0072022i,-0.0030422-0.0016581i,-0.006074-0.0067928i,-0.0060771-0.003798i,-0.00053847-0.0015829i,-0.0035491+0.033461i,-0.010867-0.0027892i,-1.5909e-05+0.0029616i,-0.0072508-0.0062977i,0.00017086+0.00050581i,-0.016006+0.001374i,-0.002349+0.0014712i,-0.001911-0.0018832i,-0.0036356-0.00029136i,-0.0049522-0.0043552i,-0.0024981+0.005837i,-0.0016037+0.0021043i,-0.0055246+0.0057631i,-0.0071625+0.00035181i,-0.0023783-0.0012121i,0.0081722-0.0014817i,-0.0060103+0.018286i,-0.028573-0.0028092i,-0.010226-0.0032293i,0.011913+0.016615i,-0.0016908+0.017023i,-0.0072687-0.0045222i
0.0066166-0.012329i,0.012017-0.0026227i,0.0084019+0.0023782i,0.013602-0.0054912i,0.018939-0.0048807i,0.013429-0.015919i,0.013554-0.0085295i,0.012022-0.0032862i,-0.00063894-0.010346i,-0.0012441+0.00113i,-0.0011705+0.00025215i,-0.0016743+0.0016093i,0.00048781+0.0042758i,-0.0010708+0.0030831i,0.0014389+0.0014148i,0.0006089+0.00046126i,0.0021286-0.0028672i,0.001208-0.0017241i,-0.00062963-0.00064868i,0.000443-0.00055751i,-0.00021445-0.0027979i,-0.0017845-0.0015256i,-0.00071891-0.00063981i,0.0041713+0.0032618i,-0.0019007+0.0015099i,-0.0010509+0.0025697i,-0.0028386+0.00091678i,-0.0020087+0.00090388i,-0.0025704+0.00028035i,-0.0020305+0.0018763i,-0.00097372-0.0014693i,0.00068094+0.00026068i,0.0010943-0.000253i,0.0026106-0.0010403i,0.00066595-0.00019106i,-0.0048705+0.0078947i,-0.0018842+0.0004366i,-0.00094163+0.0010203i,-0.002311+0.0013054i,0.00045008-0.0013697i,1.7031e-05-0.00085673i,0.00083907-0.0016046i,-0.0009634+0.00095357i,0.0022122-0.00028625i,-0.00058297-0.012085i,-0.025478-0.0049938i,-0.0041801-0.0025055i,-0.0037991+0.002076i,0.026136+0.015361i,0.0051151+0.0021783i,0.0065855-0.017023i,-0.020646-0.026998i,-0.0088092-0.013755i,0.010937-0.015484i,0.019013+0.012973i,0.00087334+0.00040365i,-0.0008603+0.0027368i,-0.0051961+0.0016549i,0.0078059-0.0069587i,0.015727+0.0048206i,0.0060974+0.0056857i,-0.0076526-0.006726i,0.002966-0.0054421i,-0.0048805-0.0042688i,-0.0026858-0.010238i,0.0033146-0.0075426i,0.0026839+0.0060983i,0.0045567-0.0092824i,0.002706-0.0080024i,-0.0028569-0.0042198i,-0.002304-0.00057723i,-0.0074776-0.0044144i,-0.0086319-0.0019619i,-0.00020147-0.0010427i,0.010827+0.0301i,-0.012189+0.0020226i,0.00075386+0.0017191i,-0.014088-0.0074793i,0.0003699+1.6309e-05i,-0.013743+0.0083105i,-0.0013114+0.0025981i,-0.0022873+1.6876e-06i,-0.0025128+0.00046381i,-0.0055439-0.0020215i,-0.0005537+0.0031803i,-0.00055585+0.0016375i,-0.0018628+0.007761i,-0.0047219+0.0024731i,-0.0034802-0.0011028i,0.0090875-0.0083023i,-0.0022432+0.020418i,-0.029043+0.0030149i,-0.011205-0.0047532i,0.014076+0.01416i,0.0012144+0.018384i,-0.0096275-0.0035691i
0.0037492-0.013644i,0.010318-0.0067471i,0.0094629+0.0005259i,0.012706-0.0072164i,0.018376-0.0081159i,0.010447-0.018365i,0.010143-0.011122i,0.011403-0.005523i,-0.0025008-0.0096319i,-0.0015274+0.00067399i,-0.00079715+0.00027059i,-0.00084932+0.002674i,0.0015493+0.0035963i,7.5897e-05+0.0029278i,0.0012579+0.0013233i,0.00062077+0.000824i,0.00055509-0.0030142i,0.00097382-0.0024042i,-0.0010749-0.00069524i,0.00014669-0.0013912i,-0.0011976-0.0028802i,-0.001728-0.00076662i,-0.0010962-0.00084645i,0.0049224+0.00093326i,-0.0012231+0.0023814i,-0.00025617+0.0027105i,-0.0027639+0.0023931i,-0.0016136+0.0016678i,-0.002433+0.0017362i,-0.0011416+0.0027904i,-0.00012166-0.00030794i,0.00036856+0.0009857i,0.00088349-0.00032441i,0.00024362-0.0025592i,0.00062635+0.00023849i,-0.002119+0.0099214i,-0.0017052+0.0016494i,-0.0004289+0.0013946i,-0.0016795+0.0024634i,0.00040674-0.001704i,-2.2032e-06-0.00087861i,0.00031204-0.0019055i,-0.001363+0.0016202i,0.0022454+5.4863e-05i,-0.0013601-0.011314i,-0.025136-0.0032333i,-0.0015986+0.00037522i,-0.00027809-0.00099247i,0.033723+0.0045994i,0.0080122+0.00039473i,-0.0001088-0.017281i,-0.027402-0.023455i,-0.012705-0.011692i,0.0096908-0.024371i,0.022023+0.004804i,-0.0010214+0.00034061i,-0.00058328+0.0023566i,-0.0050942+0.0024574i,0.0025-0.0099709i,0.015875-0.00028828i,0.0084391+0.0042623i,-0.011449-0.0042327i,0.0011285-0.0045515i,-0.0053911-0.0017133i,-0.0053505-0.0069038i,0.00098064-0.0072746i,0.0049574+0.0051288i,0.0015355-0.0088981i,-0.0018051-0.0072241i,-0.0030325-0.00088297i,-0.002213-0.00057274i,-0.0091212-0.0012677i,-0.005163+0.002453i,-0.0010427-0.0014225i,0.02074+0.022071i,-0.010845+0.0074007i,0.0011864+0.0011555i,-0.007406-0.0017444i,0.00069378-0.00084973i,-0.0076875+0.013145i,0.00015568+0.0030476i,-0.0024672+0.0007802i,-0.0022121+0.0013602i,-0.0053669+0.00058169i,-0.0022176+0.0031532i,-4.2564e-05+0.0011407i,0.0015811+0.0076948i,-0.0032865+0.0017864i,-0.0046799+0.00041812i,0.0058034-0.013626i,0.0073112+0.019511i,-0.027425+0.0069624i,-0.01296-0.0057027i,0.016734+0.0094782i,0.0058631+0.01972i,-0.011034-0.0017999i
0.00071516-0.013773i,0.0067046-0.0087322i,0.0094018-0.0020926i,0.011461-0.009241i,0.016914-0.011488i,0.0066219-0.019892i,0.0062625-0.01209i,0.010187-0.007677i,-0.0036526-0.0088278i,-0.0020403+0.0016271i,-0.00090749+0.0004426i,0.00041734+0.0028919i,0.0019117+0.002847i,0.00058019+0.0027435i,0.0013997+0.0013886i,0.00054222+0.0010958i,-0.00088026-0.0020267i,0.0003571-0.0031021i,-0.00099062-0.00057979i,-0.00072437-0.0017809i,-0.0020008-0.0021774i,-0.0016819-0.00045074i,-0.001625-0.00067293i,0.0044938-0.0010992i,-0.00027496+0.0028365i,0.00068638+0.002872i,-0.001345+0.0038842i,-0.0010547+0.0021314i,-0.0013894+0.0027648i,0.00012613+0.0030942i,-0.00035737-0.00027461i,0.0013541+0.00089227i,0.00073211-0.00058522i,-0.0012704-0.00095556i,0.00070237+0.00061777i,0.0012818+0.010248i,-0.00081016+0.00246i,-1.5934e-05+0.001457i,-0.00052074+0.003104i,-0.00027496-0.0020709i,-0.00011765-0.0010472i,-0.00012758-0.0020491i,-0.0010217+0.0024645i,0.0025517+6.3955e-05i,-0.0017137-0.011484i,-0.017218-0.0014336i,0.0010536+0.0029196i,-0.0006051-0.0055869i,0.036171-0.010053i,0.010148-0.0040187i,-0.0061597-0.014177i,-0.033887-0.017359i,-0.015292-0.0068826i,0.0035797-0.031484i,0.01838-0.0022011i,-0.0020304+0.0016644i,-0.00030771+0.0045118i,-0.0046541+0.0040003i,-0.0039906-0.008426i,0.014204-0.0057892i,0.010544+0.0015968i,-0.013743+0.0011143i,-0.00028647-0.0045145i,-0.0044457+0.00048115i,-0.006204-0.0031833i,-0.00074057-0.0072942i,0.0064405+0.0017854i,-0.0014198-0.0081943i,-0.0043655-0.0030413i,-0.0017118+0.0013717i,-0.0025856-0.00022964i,-0.0086945+0.0024811i,-0.0025476+0.0040983i,-0.0017623-0.0011438i,0.026554+0.012262i,-0.0072806+0.012449i,0.0015284+0.00024192i,-0.0052493+0.0012105i,-0.0002631-0.0016424i,-0.0010783+0.013439i,0.0019471+0.0024899i,-0.0019951+0.002537i,-0.0014096+0.0025863i,-0.0025648+0.0036502i,-0.0010603+0.0062716i,-0.00036108+0.00055802i,0.0052317+0.0065718i,-0.0032675+0.00081603i,-0.0055544+0.002248i,0.0019825-0.014911i,0.017354+0.010553i,-0.024015+0.011452i,-0.016366-0.0051118i,0.015561+0.0050224i,0.010976+0.017976i,-0.010619-0.00044616i
-0.0016558-0.013287i,0.004213-0.0086439i,0.0084892-0.0040665i,0.010033-0.011198i,0.014845-0.014396i,0.0029419-0.020643i,0.0031188-0.011665i,0.0085657-0.0093185i,-0.0045534-0.0079289i,-0.001775+0.0028171i,-0.0010459+0.0007996i,0.001396+0.0024497i,0.001926+0.0025473i,0.00097338+0.0025623i,0.0018132+0.0013321i,0.00046208+0.001608i,-0.001179-0.00082346i,-0.00097456-0.0032388i,-0.0012459-0.00073761i,-0.0016575-0.0015553i,-0.0023342-0.0015913i,-0.0016456-0.00018364i,-0.0020113-0.00015586i,0.00345-0.0025142i,0.00072884+0.0029543i,0.0018226+0.0026359i,0.00046312+0.0042046i,-0.00044338+0.0024977i,-9.0587e-05+0.0031743i,0.0014105+0.002887i,-0.00027766-9.1467e-05i,0.0030234+0.00023191i,0.00040007-0.00049869i,-0.0005301+0.00040513i,0.0012559+0.0015703i,0.0040887+0.0097079i,0.00023987+0.0028253i,0.00035846+0.0015988i,0.00082415+0.0031863i,-0.00092937-0.0019648i,-0.0003977-0.001226i,-0.00082469-0.0021309i,-0.00036412+0.0028375i,0.0025071-0.00056303i,-0.0028785-0.011961i,-0.011949+0.0009755i,0.0056751+0.0022955i,-0.0029178-0.0075233i,0.032078-0.023233i,0.0096176-0.0085598i,-0.0086481-0.0091313i,-0.036855-0.0082881i,-0.015456-0.0005292i,-0.00555-0.033642i,0.01369-0.0059514i,-0.001538+0.0030721i,0.0024421+0.0049323i,-0.0037014+0.0053969i,-0.0068586-0.0038999i,0.010174-0.011359i,0.011215-0.0021824i,-0.013191+0.0059126i,-0.0013548-0.0029523i,-0.0030287+0.0015583i,-0.0048843-0.00098104i,-0.0035504-0.0059433i,0.0060426-0.0006007i,-0.0041957-0.0064117i,-0.0035457+0.00013534i,0.00019758+0.0020818i,-0.002474+0.00038999i,-0.0063135+0.005086i,0.00038927+0.0039022i,-0.0019978+3.4866e-05i,0.027529-0.0007486i,-0.0004912+0.014915i,0.0010127-0.00041075i,-0.0027112+0.0023618i,-0.0010412-0.0011757i,0.0034231+0.011405i,0.0024862+0.0015906i,-7.658e-05+0.0043889i,0.00072569+0.003308i,0.00088642+0.0046972i,0.0020587+0.0040266i,-0.0013605+0.00072726i,0.0067275+0.0034847i,-0.0043344+0.00066643i,-0.0047641+0.0047779i,-0.00034977-0.014976i,0.018794-0.0043028i,-0.018063+0.011591i,-0.019701-0.002738i,0.015038+0.001508i,0.015056+0.013659i,-0.011314-0.00048779i
-0.0036131-0.012496i,0.0030092-0.0086604i,0.0078225-0.0056432i,0.0082414-0.01322i,0.012445-0.017044i,-0.00096772-0.020926i,0.0011605-0.010585i,0.0069078-0.010565i,-0.005064-0.0071554i,-0.00091038+0.0034543i,-0.00088274+0.0013995i,0.0021935+0.0019495i,0.0022957+0.0025386i,0.0014719+0.0024369i,0.0022436+0.00096441i,0.00032585+0.0028843i,-0.00078866-0.00021379i,-0.0022178-0.0028583i,-0.0017438-0.00064185i,-0.0023494-0.00096009i,-0.0025075-0.0010747i,-0.0014812-1.5662e-05i,-0.0021974+0.00047372i,0.0019849-0.003467i,0.0018989+0.0026826i,0.0028044+0.0018178i,0.0021141+0.0038202i,0.00046277+0.0027949i,0.0011705+0.0030318i,0.0024788+0.0021207i,-0.00016935-1.7464e-05i,-0.0044691+0.0056663i,-0.00012155+0.00019783i,0.00014422+0.00048091i,0.0040133+0.0025785i,0.0067529+0.0084128i,0.0014917+0.00273i,0.001029+0.0016538i,0.0020321+0.0026418i,-0.0014417-0.0016259i,-0.00092015-0.0013262i,-0.0016211-0.0020527i,0.00025179+0.0031443i,0.0023253-0.00094766i,-0.0042051-0.012212i,-0.008501+0.00017589i,0.0092562-0.00098722i,-0.0051231-0.0076246i,0.02438-0.033753i,0.0071473-0.011701i,-0.0081451-0.0046252i,-0.035088+0.00086874i,-0.01102+0.0064054i,-0.013476-0.031333i,0.0095417-0.0067178i,-0.00034705+0.003661i,0.0042346+0.0034508i,-0.0023554+0.0067923i,-0.0073339-0.00044663i,0.0032803-0.014673i,0.0093522-0.0066057i,-0.011092+0.0092666i,-0.0011368-0.002052i,-0.0019112+0.0013859i,-0.00383-0.00024587i,-0.0045313-0.0033672i,0.0046117-0.0019253i,-0.0067269-0.0043669i,-0.0014218+0.0016969i,0.0023212+0.00099153i,-0.002199+0.0011555i,-0.0035211+0.0060146i,0.0014242+0.0023862i,-0.0010288+0.0011823i,0.020857-0.0097857i,0.0091413+0.01044i,0.00062634+1.8224e-05i,-0.0011473+0.001952i,-0.0015195-0.00013564i,0.0067743+0.0085097i,0.0033597+0.00083483i,0.0030832+0.0040609i,0.0024003+0.0020011i,0.0033322+0.0036377i,0.0021614+0.003177i,-0.0016624+0.0021278i,0.00668+0.0010304i,-0.005581+0.001522i,-0.002629+0.0061252i,-0.0022542-0.015426i,0.011438-0.015151i,-0.015264+0.0071562i,-0.022918+0.0016441i,0.012896-0.003232i,0.016409+0.0088064i,-0.012487+0.00071743i
-0.0054112-0.011206i,0.0014781-0.0090294i,0.0065752-0.0080786i,0.0056991-0.01522i,0.0094435-0.019456i,-0.0051544-0.020208i,3.7658e-05-0.0097718i,0.0051911-0.011737i,-0.0054748-0.0064216i,-0.00030686+0.0042714i,-0.00064518+0.001768i,0.0024875+0.00088848i,0.0028258+0.0022894i,0.0019366+0.0021945i,0.0024414+0.0004863i,0.0010576+0.0037813i,-0.00071077+5.6653e-05i,-0.0033664-0.0020962i,-0.002056-0.00019322i,-0.0029548-2.8357e-05i,-0.0028555-0.00067272i,-0.0014188-9.3051e-05i,-0.0021906+0.0011962i,0.00032699-0.0038345i,0.0029463+0.0016607i,0.0032874+0.00072405i,0.0032739+0.0028989i,0.0015985+0.0026357i,0.0023788+0.002339i,0.0031147+0.00091597i,8.9777e-07-3.2204e-05i,0.00093516+0.0029358i,-0.00020725+0.00042788i,0.00064035+0.00031503i,-0.0002024-0.027535i,0.0088425+0.0059698i,0.0025138+0.001946i,0.0016643+0.0012685i,0.0030944+0.0015861i,-0.0017721-0.0011294i,-0.0014582-0.0010832i,-0.0022164-0.0014695i,0.001247+0.0033944i,0.0019139-0.0011912i,-0.005823-0.01228i,-0.0061215-0.0019579i,0.010833-0.0050858i,-0.0058616-0.0060212i,0.013835-0.040619i,0.0042467-0.013161i,-0.006286-0.0023738i,-0.029916+0.0068449i,-0.0028861+0.0091128i,-0.019758-0.026286i,0.0064206-0.0063109i,0.00076747+0.0035475i,0.0043136+0.0013234i,-0.00032604+0.0072372i,-0.0072788+0.0027391i,-0.0049479-0.013782i,0.0055797-0.0089363i,-0.0083109+0.011903i,-0.00084047-0.002387i,-0.0016386+0.0011615i,-0.0035799-8.4112e-05i,-0.004173-0.0014477i,0.0034534-0.0022585i,-0.0095576-0.0034524i,0.0001106+0.0013344i,0.0028846-0.0014296i,-0.0017325+0.0020058i,-0.00056721+0.0060561i,0.0008598+0.0016042i,-1.4421e-05+0.00078781i,0.013619-0.013522i,0.0084833+0.0060205i,0.00092457+1.6093e-05i,-0.00013144+0.0014025i,-0.0006509+0.00046782i,0.0082944+0.0051056i,0.004225-0.0014682i,0.0049438+0.0021614i,0.0029254+0.0010767i,0.0043701+0.0015809i,0.0034462+0.002709i,-0.0006965+0.0037314i,0.0064119-0.0010966i,-0.006097+0.003572i,-0.00065016+0.0062351i,-0.0035107-0.015181i,0.0011896-0.021513i,-0.018147+0.003632i,-0.023193+0.0076302i,0.0069604-0.0057943i,0.01691+0.0038427i,-0.012384+0.0017327i
-0.0063225-0.009798i,0.00056201-0.0085194i,0.0041788-0.0096025i,0.0021927-0.016435i,0.0058048-0.021214i,-0.0087071-0.018291i,-0.0004505-0.0091893i,0.0033332-0.01259i,-0.0057398-0.0059966i,0.0012149+0.0050487i,-0.00029147+0.0024733i,0.0023072+0.00018742i,0.0034271+0.001875i,0.0024218+0.0019115i,0.0025495-3.7263e-05i,0.0021654+0.0030748i,-0.00075919+0.0004856i,-0.0041411-0.0006506i,-0.0020656+0.00032907i,-0.0029607+0.0012664i,-0.0032656+0.00012205i,-0.0019476-0.00015604i,-0.001876+0.0019456i,-0.0014128-0.0034573i,0.0031718+0.00028717i,0.0033241-0.00046548i,0.0043207+0.0014192i,0.0025618+0.001977i,0.0030879+0.0011119i,0.0031626-0.00034818i,8.6262e-05-0.00016691i,0.0020717+0.0014144i,9.4911e-05+0.00061597i,0.00085125-0.00034078i,-0.0033262-0.0018277i,0.0098488+0.0027013i,0.0029866+0.00085053i,0.0021326+0.0006815i,0.0034496+0.00011764i,-0.0019244-0.00045881i,-0.0019536-0.00059856i,-0.0025663-0.00074533i,0.0024002+0.00298i,0.0015849-0.0013456i,-0.0074592-0.011938i,-0.0050926-0.0054198i,0.010447-0.0092966i,-0.0049599-0.005337i,0.0027919-0.04258i,0.0011503-0.013494i,-0.0046485-0.001227i,-0.024315+0.0089279i,0.0052882+0.0071951i,-0.022232-0.019629i,0.0052511-0.0060529i,0.0018684+0.002827i,0.0035915+0.00010248i,0.002162+0.0069134i,-0.0055962+0.0062197i,-0.010916-0.0083616i,0.0017516-0.0091247i,-0.0047084+0.01337i,-0.0016748-0.0028485i,-0.0015201+0.001397i,-0.0036843+0.00060908i,-0.0033824-0.00021385i,0.0023173-0.0023533i,-0.011614-0.0034047i,0.00083722+0.00057011i,0.00075934-0.0033585i,-0.00052214+0.0024383i,0.0022171+0.0048409i,-0.00072736+0.0017723i,0.00026475+0.00030663i,0.0069186-0.014906i,0.0095946+0.0031405i,0.00026594-0.00054942i,0.00012341+9.9441e-05i,0.00027544+0.00048848i,0.008314+0.0021847i,0.0030492-0.004195i,0.0062316+0.00011346i,0.0035853+1.3513e-05i,0.0049542-0.00052565i,0.0042951+0.0013989i,0.0011316+0.004145i,0.0047328-0.0028166i,-0.0054939+0.0060949i,0.0012565+0.0051785i,-0.0041884-0.014828i,-0.011474-0.022975i,-0.021868+0.0042069i,-0.02009+0.013298i,0.0023279-0.0037549i,0.013284-0.0019116i,-0.011791+0.0018349i
-0.0066885-0.0090673i,0.00030332-0.0089904i,0.002007-0.0098559i,-0.0013458-0.016287i,0.002-0.022242i,-0.011248-0.016171i,-0.00041676-0.0095437i,0.0012084-0.013329i,-0.0061355-0.0056965i,0.0029972+0.0047645i,0.00087681+0.0030383i,0.0020914-6.7356e-05i,0.0039558+0.00097285i,0.0029169+0.0014192i,0.0025615-0.00065769i,0.0026532+0.0025747i,-0.00043567+0.00085039i,-0.0040058+0.00079965i,-0.0020758+0.00075465i,-0.0023618+0.0022612i,-0.0032845+0.0011025i,-0.0024166+0.00057017i,-0.0012764+0.0025315i,-0.0029143-0.0022587i,0.0029242-0.00074516i,0.0029258-0.0015425i,0.004513-0.00049692i,0.0032459+0.00099879i,0.0031055-5.1241e-05i,0.0027719-0.0014766i,0.00011921-0.00021699i,0.0019781+0.00014377i,0.00061376+0.00059935i,0.0004264-0.00077094i,-0.0020289+0.0002031i,0.0091891-0.00040346i,0.0030918-0.00034106i,0.0024675-9.8753e-05i,0.0030236-0.0012424i,-0.001654+0.00022309i,-0.0021477+0.00012133i,-0.0027829-7.2978e-05i,0.0031591+0.0021741i,0.0012233-0.0014605i,-0.0091341-0.011337i,-0.0073269-0.0086764i,0.0084162-0.012852i,-0.0046056-0.0058605i,-0.0063014-0.041436i,-0.00096757-0.011614i,-0.0028269-0.00051608i,-0.019723+0.01048i,0.010633+0.0022093i,-0.021293-0.013597i,0.0039749-0.0068504i,0.0024882+0.0012863i,0.0034368-0.00088092i,0.0044534+0.0051063i,-0.0023602+0.0074336i,-0.012622-0.0020722i,-0.0015954-0.0082078i,-0.00098255+0.013039i,-0.003365-0.0025734i,-0.0017493+0.0019657i,-0.003523+0.0016193i,-0.0027734+0.00058646i,0.0016776-0.0013779i,-0.015031-0.0042729i,0.00060197-0.00014938i,-0.0012993-0.0027118i,0.00065953+0.0022629i,0.0036019+0.0027444i,0.0014139+0.0010556i,0.00044654+0.00045175i,0.0010669-0.013887i,0.0098206-0.0011559i,0.00046603+4.1499e-05i,0.00032963+9.5995e-05i,0.0011716-0.00011184i,0.0079804-0.0002225i,0.00035245-0.0056486i,0.0064223-0.0030118i,0.0035278-0.0019764i,0.004391-0.0032617i,0.0047046+6.3977e-05i,0.0024446+0.0038585i,0.0027385-0.0027385i,-0.003529+0.0079073i,0.0021426+0.0036709i,-0.004068-0.015558i,-0.022842-0.017204i,-0.02482+0.006789i,-0.015084+0.015253i,0.0011823-0.001601i,0.0076561-0.0011389i,-0.013134+0.0022302i
-0.0076201-0.008511i,-0.00053395-0.010283i,0.00050055-0.0097917i,-0.004397-0.01521i,-0.0019677-0.022739i,-0.01363-0.013925i,-0.0010083-0.011149i,-0.0011036-0.013678i,-0.006807-0.0052973i,0.0044787+0.0039764i,0.0023611+0.0026599i,0.0019684-0.00019601i,0.0041375-0.00019584i,0.0033952+0.00083553i,0.0023201-0.0013146i,0.0034965+0.0019881i,-7.9177e-05+0.001068i,-0.0035846+0.0019216i,-0.0018368+0.0013658i,-0.0015154+0.0028738i,-0.0030195+0.0022846i,-0.002239+0.0016099i,-0.00066431+0.0027955i,-0.0035125-0.00050247i,0.0025121-0.0015456i,0.0022092-0.0023585i,0.0038831-0.0022241i,0.0034263-0.00032815i,0.0028218-0.0010965i,0.0019581-0.002395i,0.00017523-0.00029933i,0.001713-0.00033376i,0.0010092+0.00014139i,-8.8815e-06-0.00061585i,-0.00081598+0.00046208i,0.0080737-0.0027797i,0.0027844-0.0014296i,0.0024655-0.0011408i,0.0021232-0.0021993i,-0.0011802+0.00071678i,-0.002066+0.00096332i,-0.0028132+0.00072187i,0.0037798+0.0013214i,0.00092359-0.0011651i,-0.010838-0.010606i,-0.011303-0.0089985i,0.0055665-0.014838i,-0.0048802-0.0053884i,-0.014516-0.039379i,-0.00078618-0.0097461i,-0.00090787-0.00092875i,-0.014478+0.011418i,0.014049-0.0046524i,-0.01826-0.010441i,0.0024156-0.0081497i,0.0015923-0.00093411i,0.0029942-0.0022821i,0.0049164+0.0024777i,-0.00038803+0.0069277i,-0.011977+0.0038527i,-0.0044184-0.0062602i,0.0018373+0.011229i,-0.0048112-0.0010288i,-0.0014745+0.0031955i,-0.0028234+0.0026838i,-0.0014774+0.0014653i,0.0023723+0.000219i,-0.010378+0.0078566i,0.0005242+0.00022941i,-0.0020296-0.0016628i,0.0015719+0.0016479i,0.0038337+0.0008964i,0.0012381-0.0012298i,0.00096573+0.00016633i,-0.0036917-0.011909i,0.008051-0.0050293i,9.5556e-05-0.0012945i,0.00079526-0.00024276i,0.0011502-0.0011289i,0.0074952-0.0024545i,-0.0021209-0.0051313i,0.0045957-0.0058112i,0.0022387-0.0031785i,0.0019053-0.0052745i,0.0048346-0.0016156i,0.0040901+0.0030493i,0.0022405-0.0023945i,-0.00067971+0.0081694i,0.0018981+0.0020364i,-0.0047824-0.017559i,-0.027704-0.007176i,-0.027152+0.011438i,-0.010772+0.015568i,0.00021916+0.00023798i,0.019793+0.0056915i,-0.013995+0.0040351i
