-0.023923-0.042333i,-0.010295-0.047686i,-0.017139-0.046588i,-0.030971-0.035855i,-0.029741-0.017474i,-0.050812-0.0293i,-0.059787-0.02645i,-0.045211-0.0404i,-0.029457-0.036503i,0.0064034+0.014487i,-0.0044812+0.015994i,-0.005276+0.014635i,0.0098624+0.02175i,0.00024917+0.004633i,0.0037981+0.0030958i,0.0067379+0.018316i,0.028072+0.039548i,-0.0020587-0.00043011i,-0.0041516-0.0062356i,0.0080704+0.0017312i,0.00028226-0.00098034i,-0.00069026+0.0013023i,4.0585e-05-0.00040713i,-0.030908-0.002615i,-0.0012428-0.0056609i,0.001923+0.0050157i,0.0038483+7.0423e-05i,-6.5718e-05+0.00076564i,0.00026162-0.00062698i,8.8969e-05-0.0024393i,-0.0017804-0.0061442i,-0.0042749-0.0041245i,-0.0021288-0.0051666i,0.0019668-0.00089133i,0.0027077-0.002892i,0.0027541+0.026339i,0.0022979-0.0027707i,0.0030141+0.00019428i,0.0062371+0.0013119i,-0.0099361-0.0030323i,-0.002382+0.0011184i,0.0069775+0.0021018i,0.004419+0.0010303i,-0.0049287+0.0063941i,0.0016656-0.0086467i,-0.011001+0.016327i,0.036702-0.091576i,0.012196-0.070625i,-0.015413-0.060055i,-0.01668-0.056095i,0.039218-0.047292i,0.017533-0.062828i,0.034927-0.056041i,0.031254-0.060724i,0.014969-0.012747i,0.004334+0.016614i,0.016367-0.026338i,-0.011419+0.0060897i,-0.00093736+0.0055684i,-0.0053597-0.0006239i,-0.002404-0.028625i,-0.023991+0.031827i,0.010482-0.010902i,-0.013014-0.0024889i,-0.00011265-0.0051404i,-0.0014274-0.016264i,-0.0076299+0.0048834i,0.0051955+0.0060046i,-0.0082346+0.030887i,0.0047559+0.0058711i,-0.0051629-0.00048371i,-0.0031061-0.00037209i,-0.012374-0.0076791i,-0.00051699-0.0045787i,-0.029847+0.0064579i,-3.1063e-05-0.0096888i,-0.0096224-0.0021383i,-0.0065003-0.0026951i,0.0072174+0.0029234i,-0.0080477+0.0016516i,0.00010576+0.00035925i,0.0056732+0.010764i,0.0041745+0.0012035i,-0.0096667-0.010397i,0.002765+0.0083518i,-0.021297+0.0068219i,0.0078993+0.0011015i,-0.029789-0.0048534i,-0.043125+0.00102i,0.021503-0.095234i,-0.0026703-0.011744i,-0.05342-0.021753i,-0.023345+0.0011406i,0.018089+0.010586i,-0.024621+0.012803i,-0.019417-0.013622i
-0.031481+0.021886i,-0.054102+0.01857i,-0.03204+0.046203i,-0.031526+0.024924i,-0.028562+0.039823i,0.0050106+0.047568i,-0.0033516+0.024306i,-0.017322+0.039799i,-0.014345+0.022383i,-0.0031011-0.0068429i,-0.0040057-0.0029803i,-0.0019147-0.0035773i,-0.003707-0.00087741i,-0.0068505-0.0047814i,-0.0019611+0.0042294i,-0.0032949-0.0017432i,-0.011531-0.003485i,-0.0024117-0.00053318i,0.003159-0.001763i,0.0020207-0.00032631i,0.0026583-0.0036719i,0.0025041-0.0039298i,0.0013644-0.002624i,-0.0092722-0.0082209i,-0.0018108+0.00031154i,-0.0041132+0.0014919i,-0.0018222-0.00011348i,-0.0035878-0.0010757i,-0.0013777-0.0014938i,0.00094261-0.0019229i,-0.0019498+0.0058062i,0.0015598+0.000459i,0.0028249+6.0406e-06i,0.0009818+0.0013514i,-0.0017253+0.0033006i,-0.0010471-0.0062252i,-0.0013345+0.0012358i,0.00075608-0.00011234i,0.00012953+0.0035393i,0.0075671+0.0050432i,0.0015138-0.00255i,0.0011708-0.003685i,-0.0038236-0.00061916i,0.0016758+0.00217i,-0.032159-0.0065032i,0.011444-0.078416i,-0.093832-0.029097i,-0.053064-0.036129i,-0.076006-0.050029i,-0.058572-0.0059379i,-0.094283+0.019021i,-0.059303+0.011731i,-0.049519-0.025838i,-0.032384-0.056746i,-0.025234-0.030327i,0.0034171+0.0052849i,-0.017975+0.010717i,0.0094057+0.0031653i,0.011178+0.0041819i,0.00079484-0.0068679i,0.008531+0.0007748i,-0.0077441-0.0035873i,0.0027617+0.015217i,-0.00082658+0.0090015i,0.00079145+0.0015511i,0.0055284+0.0034456i,0.0019721-0.00059424i,-0.00068979+0.015458i,0.00038523+0.010964i,0.0032838-0.0057652i,0.010473-0.0068019i,0.0023141+0.0025156i,-0.0082033-0.0074831i,-0.0021151-0.0023854i,0.018404-0.027063i,0.0062753+0.0033775i,0.0033203+0.004286i,-0.0032844+0.002601i,0.0020244-0.003773i,0.021555+0.0016267i,0.0019361-0.0031281i,-0.00080485-0.009399i,0.00076022-0.002481i,0.012712+0.0035461i,0.0052761-6.9876e-05i,0.0041577-0.0064773i,0.0025661+0.0080325i,0.0047325+0.00052651i,0.025192+0.0050043i,-0.08011-0.039379i,-0.0059986+0.019732i,0.0072177-0.0028309i,-0.0016188+0.0029371i,-0.035327+0.013458i,-0.006832+0.0065444i,-0.01708+0.013327i
-0.026301+0.025378i,-0.050391+0.024125i,-0.021006+0.044412i,-0.027317+0.02889i,-0.022044+0.041246i,0.01382+0.044852i,-7.5355e-05+0.023994i,-0.00946+0.040993i,-0.0095459+0.019576i,-0.0052841-0.0046535i,-0.004225-0.00060212i,-0.0029514-0.0038263i,-0.0044495-0.0004143i,-0.0071956-0.001904i,-0.00067047+0.0051677i,-0.0056091+0.00049957i,-0.013409+0.0019252i,-0.0019973+0.00071471i,0.0033314-0.0024557i,0.0021987-0.0013357i,0.0014779-0.0040677i,0.0016901-0.0040315i,0.00087776-0.0026687i,-0.010562-0.0050277i,-0.0011515+0.00066395i,-0.0035696+0.0027777i,-0.0013884+0.0004944i,-0.0034832+0.00016221i,-0.0019356-0.0013332i,0.00035456-0.0017738i,0.00058379+0.0062661i,0.0012797-3.6285e-05i,0.0023708-0.001123i,0.00080766+0.0012082i,-0.0014926+0.0028836i,-0.0012666-0.0056665i,-0.00074357+0.0010963i,-0.00018236-0.00052057i,0.00045628+0.0041558i,0.0075975+0.00082359i,0.00070321-0.0028814i,-0.00082556-0.0039797i,-0.0044642+0.0005469i,0.0022277+0.0018342i,-0.03266-0.0061565i,-0.012982-0.089769i,-0.090346-0.01079i,-0.062335-0.034026i,-0.08827-0.038639i,-0.058008+0.004231i,-0.084481+0.036537i,-0.055264+0.023924i,-0.041868-0.024955i,-0.03937-0.051931i,-0.033673-0.019369i,0.0045686+0.0019793i,-0.011513+0.019255i,0.0091013-0.0006208i,0.012064-0.0022195i,-0.0046882-0.010952i,0.0041036+0.0003961i,-0.0080207+0.0026621i,0.0085628+0.012672i,0.0013791+0.010962i,0.0010174+0.0012652i,0.0071773+0.0035848i,0.0027382+0.00034858i,0.0058451+0.011626i,0.0053675+0.0065146i,-0.0020419-0.0077051i,0.0034457-0.0079379i,0.0034829+0.0028514i,-0.010892-0.0001169i,-0.0023941+0.00022953i,0.0062284-0.028179i,0.0069794+0.0023789i,0.0069342+0.0026723i,-0.00029789+0.0025735i,-0.00049694-0.0012447i,0.018536-0.0081177i,-0.00011947-0.0034536i,-0.0055864-0.0075979i,-0.002426-0.0016834i,0.011109-0.0015273i,0.0046789+0.00027144i,0.0017192-0.004475i,0.0051603+0.0068355i,0.0037398-0.00013296i,0.024764-0.003047i,-0.085218-0.029621i,0.002312+0.009622i,0.0062613-0.0056489i,-0.00056001+0.00085188i,-0.028466+0.023258i,-0.0050617+0.0071644i,-0.013098+0.016323i
-0.020462+0.027358i,-0.047362+0.029834i,-0.014531+0.040227i,-0.022875+0.03136i,-0.014615+0.043233i,0.021731+0.039917i,0.0035766+0.02366i,-0.0017155+0.040456i,-0.0085606+0.017358i,-0.0064758-0.0021141i,-0.0030995+0.0011895i,-0.0063237-0.0031272i,-0.0047801+0.0015181i,-0.007314+0.00024316i,0.0012152+0.0056341i,-0.0062369+0.0041253i,-0.012031+0.0081635i,-0.00037538+0.0015718i,0.0031863-0.0042443i,0.0020005-0.0026679i,1.5737e-06-0.0044827i,0.00076918-0.0047334i,0.00044142-0.0028989i,-0.011518-0.0023244i,-0.0010569+0.00083424i,-0.0021366+0.0042181i,-0.00099184+0.00037613i,-0.0028318+0.0015426i,-0.0023268-0.00076679i,-0.00063521-0.0024604i,0.003042+0.0052381i,0.00095079-0.00036077i,0.0016533-0.0016906i,0.001301+0.0006126i,-0.00040591+0.0038075i,-0.0013808-0.0057303i,-0.0010602+0.00085785i,-0.00075215-0.00040177i,0.0036525+0.002684i,0.0058871-0.0017024i,-0.0001441-0.002694i,-0.0012335-0.0023842i,-0.0049835+0.0020077i,0.0025677+0.00032327i,-0.03548-0.0036228i,-0.042749-0.088799i,-0.080327+0.002606i,-0.071926-0.026208i,-0.095709-0.022887i,-0.053716+0.012975i,-0.06953+0.04859i,-0.040974+0.034047i,-0.04556-0.026362i,-0.045606-0.048011i,-0.035095-0.0068925i,0.0046872-0.0013107i,-0.0020492+0.021037i,0.0081449-0.0033712i,0.0079867-0.0074864i,-0.014705-0.0091936i,0.0028741-0.00019523i,-0.0038556+0.0062063i,0.011809+0.0069824i,0.0046294+0.011819i,0.00014086+0.0016613i,0.0078921-0.00063064i,0.0043715-0.0016994i,0.0076328+0.0064403i,0.0049365+0.0021424i,-0.0075761-0.0038464i,0.00084896-0.0061704i,0.0054584+0.0016932i,-0.006844+0.0089664i,-0.0003551+0.0014035i,-0.0032646-0.025026i,0.0086561-0.00059926i,0.0067714-0.0007357i,0.00039426+0.0020104i,0.00076809+0.00054378i,0.01159-0.012869i,-0.0027196-0.00040023i,-0.0084854-0.0037886i,-0.0032855+0.0018431i,0.007051-0.0042121i,0.0077415-0.0014886i,0.0026362-0.00451i,0.0085736+0.0038668i,0.005007-0.0016181i,0.021189-0.010393i,-0.089451-0.0159i,0.00052676-0.00033667i,0.0063044-0.0082073i,-0.00039594-0.0017392i,-0.018863+0.026801i,-0.0056681+0.0032i,-0.0084125+0.013072i
-0.014524+0.027139i,-0.042929+0.036516i,-0.011146+0.037066i,-0.017778+0.034631i,-0.0061739+0.042456i,0.028095+0.033546i,0.0079575+0.022772i,0.0053036+0.038109i,-0.0083434+0.017749i,-0.0063318+0.00060849i,-0.0023162+0.0012282i,-0.0081681+0.00097926i,-0.0044471+0.0031443i,-0.0072616+0.0028532i,0.0029133+0.0050366i,-0.0046278+0.0078991i,-0.0071598+0.012964i,0.00075119+0.00077319i,0.0013226-0.0053379i,0.00043573-0.0040134i,-0.0016084-0.0041897i,-0.00053881-0.0048123i,-0.0001902-0.0033627i,-0.011638+0.0014245i,-0.00061192+0.00066408i,0.00025181+0.00359i,-0.0010223+0.00027603i,-0.0016361+0.0019496i,-0.0025398+0.00026128i,-0.0020965-0.0016209i,0.0044281+0.0034174i,0.00049546-0.0004978i,0.00073779-0.0021282i,0.0012813+1.0612e-05i,0.0016869+0.003528i,-0.0023838-0.0070922i,-0.00071916+0.0014279i,-0.0011595+2.2956e-05i,0.0032586-0.00084821i,0.0042061-0.002728i,-0.00060038-0.0024397i,-0.0010297-0.0021955i,-0.0044321+0.0041026i,-0.00013386-0.0016949i,-0.038165+0.00074012i,-0.0681-0.072631i,-0.070433+0.0082294i,-0.079136-0.014464i,-0.099827-0.0058323i,-0.047746+0.018926i,-0.055539+0.054635i,-0.026524+0.033411i,-0.048789-0.020781i,-0.051936-0.040935i,-0.033128+0.0019418i,0.0026771-0.0040605i,0.0058036+0.018999i,0.006762-0.0060352i,0.0023696-0.0087816i,-0.02072+0.00011172i,-0.00021842+0.00053777i,0.00032614+0.0055853i,0.010882+0.0011263i,0.0095534+0.0114i,0.000649+0.0028911i,0.004785-0.0022846i,0.0038325-0.0050599i,0.0066126+0.0018511i,0.0024471+0.00053519i,-0.0075877+0.00043512i,-0.0012206-0.0050042i,0.0058917-0.00043853i,0.002702+0.010178i,0.00048271+0.00053165i,-0.0084061-0.019643i,0.0074586-0.0035687i,0.0060312-0.0029741i,0.0016505+0.0027676i,0.0016879+0.00017319i,0.0057982-0.012932i,-0.00033+0.0018612i,-0.0094977+0.00067749i,-0.00088031+0.0038755i,0.0042679-0.0038392i,0.0068264-0.0055747i,0.0008278-0.0049882i,0.0085719-0.0013876i,0.0038671-0.0049771i,0.016445-0.016489i,-0.087153-0.0008641i,-0.0058184-0.0046835i,0.003852-0.012997i,-0.001399-0.0040905i,-0.012238+0.026121i,-0.0090596+0.0031937i,-0.0079871+0.012047i
-0.010335+0.026232i,-0.037541+0.042169i,-0.0099102+0.035872i,-0.011223+0.036579i,0.00087052+0.039773i,0.032442+0.026524i,0.012561+0.020428i,0.011393+0.034805i,-0.0064004+0.019383i,-0.0048646+0.002817i,-0.0025562+0.0018312i,-0.0071114+0.0046147i,-0.00369+0.004685i,-0.0056057+0.0056442i,0.0044944+0.003981i,-0.0012294+0.010171i,-0.0012363+0.0145i,0.00097608+1.1464e-05i,-0.00014963-0.0051029i,-0.0016409-0.0038999i,-0.0029597-0.0033021i,-0.0019648-0.004343i,-0.0015235-0.0033352i,-0.0094632+0.0042979i,-0.0010912+0.00019406i,0.00056745+0.0018551i,-0.0011554+0.00043156i,-0.00083671+0.0019339i,-0.002143+0.0013145i,-0.0020283-0.00013591i,0.0048615+0.0013969i,0.00031908-0.00064545i,-0.00015531-0.0019793i,0.00091169-0.00037634i,0.0024359+0.0021859i,-0.0049171-0.0073465i,-0.00035376+0.0016916i,-0.0011674+0.00091537i,0.00090369-0.0015692i,0.002764-0.0025479i,-0.0010717-0.0024013i,-0.0011748-0.0021948i,-0.0025906+0.0054764i,-0.0026623+0.00067461i,-0.039041+0.0076175i,-0.078122-0.048467i,-0.064542+0.0094811i,-0.083401-0.00042064i,-0.10003+0.012954i,-0.043098+0.021908i,-0.04184+0.057957i,-0.017081+0.030119i,-0.050151-0.015547i,-0.055542-0.033956i,-0.030127+0.010232i,0.00020769-0.0053153i,0.014278+0.014107i,0.004637-0.0076242i,-0.0025806-0.0073015i,-0.020045+0.0096103i,-0.00074522+0.0028064i,0.003006+0.0053535i,0.0067029-0.0009404i,0.014195+0.0078831i,0.0018441+0.0032249i,0.0026832-0.0014197i,0.0018228-0.0071862i,0.0034825+0.0010298i,0.00039131+0.0017207i,-0.0071364+0.0051005i,-0.0028242-0.0024966i,0.0052136-0.0024607i,0.0074516+0.0054953i,0.00067283+0.00023965i,-0.011112-0.017004i,0.0054543-0.005703i,0.0043027-0.0048768i,0.0045987+0.002182i,0.0020059-0.00012923i,0.0026989-0.011749i,0.0014752+0.0016408i,-0.0071395+0.0058872i,0.0015869+0.0037552i,0.0036662-0.0032585i,0.0032601-0.0094121i,0.00048955-0.004291i,0.0051073-0.0049154i,0.00036276-0.0063523i,0.0086324-0.021884i,-0.081344+0.0092055i,-0.014311-0.0019697i,-0.00082862-0.016043i,-0.0027139-0.0063374i,-0.0075656+0.025391i,-0.012204+0.0060439i,-0.0068975+0.012654i
-0.0070767+0.025335i,-0.031297+0.047398i,-0.0083961+0.037595i,-0.0047+0.036106i,0.0055216+0.035789i,0.035584+0.019572i,0.016832+0.016564i,0.016336+0.030808i,-0.0036332+0.019638i,-0.0034833+0.0033337i,-0.002898+0.0032312i,-0.0050033+0.0070357i,-0.0022722+0.0062971i,-0.0031441+0.006767i,0.0052538+0.0024047i,0.0024784+0.010454i,0.0048979+0.013453i,0.0012251-0.00027906i,-0.0017291-0.0049133i,-0.0030227-0.0028904i,-0.0033359-0.0017846i,-0.0028356-0.0034269i,-0.002389-0.0025267i,-0.0078228+0.0053348i,-0.0017948+0.00078424i,0.00014527+0.0014802i,-0.0014099+0.00080994i,-8.1777e-05+0.0015114i,-0.0012246+0.0018288i,-0.001553+0.00054856i,0.0046582-0.0002847i,4.3824e-05-0.00074165i,-0.00077749-0.0015339i,0.00048862-0.00075407i,0.0024842+0.0015711i,-0.0075636-0.0062228i,-0.0001245+0.001548i,-0.00042238+0.0015252i,-0.00015747-0.0014235i,0.0019869-0.0020849i,-0.0016834-0.0018243i,-0.0018508-0.0018332i,-0.00035181+0.0057796i,-0.0022329+0.0038776i,-0.038001+0.015292i,-0.076265-0.030801i,-0.062238+0.011894i,-0.083264+0.016582i,-0.094016+0.033368i,-0.04141+0.024842i,-0.030062+0.057574i,-0.0096491+0.025945i,-0.049572-0.0089414i,-0.059812-0.026903i,-0.024985+0.015271i,-0.0034792-0.004966i,0.017625+0.0020987i,0.0027856-0.0094199i,-0.0060267-0.0036017i,-0.014346+0.017433i,0.00041642+0.0034943i,0.0063265+0.0030069i,0.0052604+0.00025221i,0.017502+0.00078528i,0.0028092+0.0032679i,0.0022678-0.00075663i,-0.0029166-0.0090609i,0.0021415+0.0025008i,0.00078513+0.0037302i,-0.0026303+0.0091555i,-0.0017555-0.00020873i,0.0036437-0.0034614i,0.0086629+0.00093023i,0.0012367-0.0005055i,-0.016183-0.015264i,0.0026039-0.006484i,0.001375-0.0058443i,0.0043571-0.00035649i,0.0020097+8.2285e-05i,0.001232-0.010027i,0.0024345+0.00044138i,-0.0026332+0.0082569i,0.0027117+0.0016281i,0.0028214-0.0038745i,-0.0024832-0.0095802i,-0.00036743-0.0055875i,0.0017248-0.005106i,-0.0017706-0.0063818i,-0.001402-0.021927i,-0.077816+0.017658i,-0.013137+0.0084456i,-0.0061529-0.01659i,-0.0058297-0.0073958i,-0.0046191+0.024722i,-0.01144+0.0109i,-0.002696+0.012267i
-0.0037518+0.024822i,-0.023789+0.052188i,-0.0043782+0.040369i,0.00033335+0.034428i,0.0080363+0.033237i,0.037534+0.012267i,0.019819+0.011875i,0.020081+0.026744i,-0.00089395+0.020223i,-0.002748+0.003852i,-0.0018478+0.0054559i,-0.0020007+0.0086271i,-0.00020729+0.0071686i,-0.00087549+0.0067772i,0.0053348+0.00089192i,0.0058018+0.0094314i,0.0095635+0.010214i,0.0012674-0.00063978i,-0.003129-0.0040045i,-0.0037284-0.0012464i,-0.0031125-0.00063881i,-0.0035958-0.0025855i,-0.0027863-0.0016611i,-0.0069859+0.0069912i,-0.0016509+0.0017043i,5.2817e-05+0.0018059i,-0.0011986+0.0015586i,-0.00012238+0.00095399i,-0.00054801+0.0017707i,-0.00097564+0.00074642i,0.0039171-0.0017675i,8.6545e-05-0.00038927i,-0.00092112-0.0012086i,0.00018965-0.00086677i,0.002934+0.00029767i,-0.0097068-0.0042239i,0.00026785+0.0016384i,0.00026173+0.0013687i,-0.0010401-0.0012228i,0.0017915-0.0020511i,-0.001939-0.0010867i,-0.0019379-0.00097175i,0.0013295+0.0048862i,-0.00068593+0.005065i,-0.033946+0.021658i,-0.075315-0.023103i,-0.061301+0.016521i,-0.076565+0.031651i,-0.082265+0.050438i,-0.038607+0.030817i,-0.020024+0.057192i,-0.0055723+0.020989i,-0.047942-0.0036833i,-0.062599-0.017908i,-0.020635+0.018857i,-0.0044946-0.0043577i,0.011111-0.0082604i,-0.00042586-0.011141i,-0.0065983-9.3931e-06i,-0.0065165+0.019725i,0.00079019+0.0030719i,0.0075041-0.001643i,0.0063772-0.00023904i,0.015486-0.0052864i,0.0050276+0.0028307i,0.0023862+0.00050996i,-0.0077079-0.0042005i,0.0030153+0.0037475i,0.0024055+0.0048599i,0.0025507+0.0090182i,-0.0011431-1.7796e-05i,0.00243-0.003897i,0.0083247-0.0045349i,-5.5856e-05-0.0010207i,-0.021829-0.0094995i,0.00056037-0.0060107i,-0.00092788-0.0042926i,0.0049504+0.00017542i,0.0019319-0.00054313i,0.00078955-0.010662i,0.0022714-0.0010236i,0.00099542+0.0067285i,0.0026691+0.0011774i,0.0026086-0.0033426i,-0.0059482-0.0059139i,-0.0037507-0.0058078i,-0.00076499-0.0043715i,-0.0040369-0.0063275i,-0.0085232-0.018034i,-0.072526+0.026829i,-0.0078889+0.007336i,-0.0070578-0.015351i,-0.0081062-0.0065658i,-0.00010351+0.023189i,-0.0099619+0.012767i,-0.0011296+0.0098382i
-0.0006636+0.023742i,-0.014983+0.055674i,0.0017828+0.042838i,0.0046707+0.033218i,0.010584+0.031895i,0.037944+0.0051155i,0.021644+0.0067271i,0.023557+0.022741i,0.0024961+0.020225i,-0.0018304+0.0046005i,0.00093002+0.0065421i,0.0015035+0.008418i,0.001998+0.0071919i,0.00065625+0.0065863i,0.005241-0.00031813i,0.0086448+0.007074i,0.012054+0.0058399i,0.0013386-0.0017144i,-0.0039883-0.0027838i,-0.0033948+0.00055655i,-0.0025275+0.00026778i,-0.0041172-0.0010516i,-0.0029708-0.00083779i,-0.0040241+0.0086877i,-0.00098601+0.0026573i,0.00079847+0.0019745i,-0.00058794+0.0020846i,-0.00048193+0.0010629i,-3.4095e-05+0.0017624i,-0.00068093+0.0009114i,0.002671-0.0027827i,0.00040131-0.00074822i,-0.0014121-0.00091757i,-0.00019931-0.0009226i,0.0022831-0.0010894i,-0.010928-0.00099646i,0.00074878+0.0014333i,0.0007347+0.0012363i,-0.0020048-0.00067626i,0.0017442-0.0020212i,-0.0017455-0.00060485i,-0.0017363-0.00049366i,0.0023447+0.0037261i,0.00097793+0.0059341i,-0.029482+0.025469i,-0.079972-0.016162i,-0.060084+0.022472i,-0.068164+0.043387i,-0.066689+0.061596i,-0.034265+0.035832i,-0.01003+0.055157i,-0.0028353+0.018005i,-0.046028+0.00089481i,-0.06324-0.0077665i,-0.016229+0.021941i,-0.0059184-0.0033447i,0.0032162-0.0096543i,-0.0045917-0.011308i,-0.0052377+0.0038678i,0.0004548+0.018205i,0.00045553+0.0026366i,0.0055258-0.0062191i,0.0054535-0.0016189i,0.01143-0.010875i,0.0066292+0.00062135i,0.003486+0.00066997i,-0.0080148-0.00023772i,0.0047567+0.0044992i,0.0049303+0.0050647i,0.0071571+0.0066807i,-0.00087078+0.00088912i,0.002037-0.0040568i,0.0047898-0.008174i,-0.00062672+0.00064281i,-0.024447-0.0010098i,-0.00061613-0.0055682i,-0.0017985-0.0024576i,0.0055384-0.00079067i,0.0016628-0.00080909i,-0.0012914-0.012489i,0.0010921-0.0016813i,0.0036032+0.0059074i,0.0032966+0.00023813i,0.0035675-0.0037673i,-0.0077846-0.0029954i,-0.0070366-0.0024927i,-0.0029925-0.0028344i,-0.0060269-0.005779i,-0.012691-0.012979i,-0.066409+0.033942i,-0.007614+0.0057783i,-0.0078039-0.017921i,-0.0094505-0.0049297i,0.0014443+0.021976i,-0.0094428+0.014394i,-0.00020947+0.0083896i
0.0024497+0.02284i,-0.0047712+0.057268i,0.0098691+0.043199i,0.0089018+0.031845i,0.014385+0.031608i,0.037398-0.0015635i,0.022085+0.0010627i,0.026895+0.018029i,0.0063536+0.019158i,-0.00088281+0.0050622i,0.0033028+0.0052847i,0.0037536+0.0063518i,0.0041397+0.006575i,0.0024377+0.0061739i,0.0048812-0.0015568i,0.0098985+0.003733i,0.012576+0.0011756i,0.00012392-0.0025595i,-0.004773-0.0011251i,-0.0021406+0.0015275i,-0.0016047+0.00045878i,-0.0036864+0.0001558i,-0.0029761+8.1009e-05i,-0.00085745+0.0088155i,0.00014115+0.0029602i,0.001416+0.0015253i,0.00035382+0.0021548i,-0.0002295+0.0016625i,0.0006786+0.0013682i,-0.00032286+0.00091804i,0.0012943-0.0031492i,-0.00010702-0.0011102i,-0.0017503-0.00018491i,-0.00064823-0.00077807i,0.001267-0.0019136i,-0.010563+0.0027255i,0.00097424+0.0011379i,0.0012219+0.00087479i,-0.0023713+0.0003046i,0.0013898-0.0024327i,-0.0017407-0.00037417i,-0.0014405-0.00024057i,0.0026195+0.002649i,0.0030101+0.0059687i,-0.025114+0.029437i,-0.087975-0.0027741i,-0.05572+0.02822i,-0.056991+0.051771i,-0.051458+0.06886i,-0.029176+0.04209i,-0.00053564+0.051043i,0.0023514+0.01453i,-0.043576+0.0059049i,-0.061008+0.0026877i,-0.011526+0.024726i,-0.0077242-0.0021569i,-0.0024239-0.0091248i,-0.0089905-0.0096902i,-0.0013695+0.005222i,0.004289+0.014504i,-0.00049123+0.0027181i,0.0023406-0.0092782i,0.0057255-0.0011256i,0.0046789-0.013491i,0.0067034-0.0028481i,0.0046548-0.00028018i,-0.0077903+0.0039812i,0.0076378+0.0037577i,0.008032+0.0028181i,0.0095093+0.0023064i,0.00035223+0.001696i,0.0011709-0.0043045i,-0.0011095-0.0085824i,0.00076345+0.0021727i,-0.023832+0.0081245i,-0.0017301-0.0051543i,-0.0013653-0.00052784i,0.0058201-0.0042939i,0.0017407-0.00060435i,-0.0067189-0.013076i,6.0838e-05-0.001287i,0.0057739+0.0034075i,0.003271-0.00022778i,0.0029131-0.0049671i,-0.0077348+0.0015242i,-0.0072525+0.0020358i,-0.0044052-0.00095569i,-0.0082729-0.0046473i,-0.014299-0.0078601i,-0.061365+0.040412i,-0.0085243+0.0086249i,-0.012273-0.021885i,-0.0082125-0.0038693i,0.0044779+0.021459i,-0.0089937+0.017913i,0.001379+0.0061917i
0.0057543+0.021233i,0.0051713+0.056252i,0.017876+0.040499i,0.013233+0.029918i,0.019372+0.030358i,0.036092-0.0078906i,0.020908-0.0043182i,0.029032+0.012609i,0.0096634+0.017133i,9.7743e-05+0.0055965i,0.0042077+0.0039191i,0.0042832+0.0045251i,0.0058496+0.0049384i,0.0039545+0.0050986i,0.0041003-0.0026239i,0.0095365+0.00067362i,0.011476-0.0024032i,-0.00090612-0.0022204i,-0.0043496+0.00056336i,-0.00093344+0.00166i,-0.00093017+0.00014513i,-0.0030953+0.00077373i,-0.0023679+0.00083405i,0.0016747+0.0083275i,0.0013535+0.0024821i,0.0017722+0.0011643i,0.0011658+0.0017816i,0.00048822+0.0017112i,0.00097113+0.00065159i,-0.00030763+0.00092042i,-9.5529e-05-0.0028238i,-0.00078248-0.00099977i,-0.0016478+0.00059936i,-0.0010102-0.00039764i,0.00037573-0.0020912i,-0.008998+0.0056371i,0.0011491+0.00068127i,0.0013809+0.0002242i,-0.0021054+0.0014044i,0.00096154-0.003083i,-0.0017421+7.5219e-05i,-0.0013941-0.00046349i,0.0027348+0.0018687i,0.0047429+0.00523i,-0.020125+0.032544i,-0.089377+0.01773i,-0.052979+0.032385i,-0.046671+0.056552i,-0.034603+0.073405i,-0.020733+0.04835i,0.0062117+0.04476i,0.0051886+0.0071086i,-0.03923+0.0094911i,-0.055603+0.013143i,-0.0043268+0.025709i,-0.009115+0.0003538i,-0.0080783-0.0062087i,-0.011953-0.0062551i,0.0015119+0.0035643i,0.0058936+0.01164i,-0.0022225+0.0040303i,-0.0019205-0.01151i,0.0068505-0.0033522i,-0.0017107-0.012023i,0.0044627-0.0050597i,0.0051984-0.0026152i,-0.006209+0.0071985i,0.0099328+0.00025531i,0.0088121-0.0021984i,0.0088156-0.0033748i,0.0023995+0.001135i,2.6873e-05-0.0044514i,-0.0045493-0.0047932i,0.0028217+0.0012304i,-0.019156+0.017971i,-0.0030442-0.0041824i,6.06e-05+0.00052541i,0.0025694-0.0062954i,0.0019122-0.00064975i,-0.012485-0.0095723i,0.00014121-0.00028767i,0.0063986-0.00011312i,0.0029225-0.0011468i,0.0016451-0.0054309i,-0.0051886+0.0049995i,-0.0049334+0.0053595i,-0.0045517+0.0023885i,-0.010422-0.0025582i,-0.014482-0.003731i,-0.054667+0.049093i,-0.0021196+0.011761i,-0.019795-0.021479i,-0.0073804-0.004954i,0.0066509+0.019989i,-0.0055263+0.021475i,0.0021355+0.002683i
