-0.0073636-0.038582i,-0.011977-0.044224i,0.0014361-0.045723i,-0.026771-0.027162i,-0.02071+0.014095i,-0.032576-0.032483i,-0.059521-0.062324i,-0.021196-0.072932i,-0.033463-0.050638i,0.0023774+0.01668i,-0.0066481+0.01052i,-0.014993+0.01442i,0.0017581+0.016596i,-0.0036836-0.0035872i,0.000425+0.006602i,0.00075692+0.039285i,0.019643+0.059712i,0.00116-0.00010631i,-0.0045302-0.0080781i,0.0091415+0.005058i,0.0015567+0.0010473i,-0.0011995+0.0035971i,0.00028788-0.0016656i,-0.036141-0.0099629i,-0.0025169-0.0076762i,2.4773e-05+0.0044414i,0.0054483+0.00038732i,0.00027411+0.0010431i,-0.00020715-0.00091277i,0.00014349-0.0022336i,-0.0012907-0.0058127i,-0.0022321-0.003527i,-0.00074848-0.0076522i,0.0032356-0.0010597i,0.002856-0.0024531i,-0.0019506+0.034172i,0.0064289-0.0041478i,0.0035243-0.0025435i,0.0052494-0.00015758i,-0.013485-0.0053424i,0.00014828+0.00012244i,0.011102-0.00062108i,0.0054953-0.0016994i,-0.0031161+0.0049719i,0.0026471+0.0015084i,-0.0029775+0.0084571i,0.015609-0.086915i,-0.0061453-0.048062i,-0.02501-0.039294i,-0.01925-0.042044i,0.063578-0.015804i,0.027866-0.060876i,0.038764-0.044634i,0.030533-0.056083i,0.019331-0.015819i,0.0082897+0.0096975i,0.024839-0.032151i,-0.0073463-0.0051312i,0.0028257-0.0027724i,-0.0049061-0.0066425i,0.0015662-0.032009i,-0.024213+0.031007i,0.0082255-0.010148i,-0.010755-0.0015646i,-0.0053837-0.001454i,-0.00080834-0.013893i,-0.0099726+0.0040393i,0.0036192+0.0083239i,-0.011516+0.03078i,0.0058334+0.0081525i,-0.005021-0.0015807i,-0.0022467-0.0020347i,-0.011169-0.00726i,0.00048591-0.0033885i,-0.035236+0.0050126i,0.0025488-0.012719i,-0.0089078-0.0023952i,-0.0063261-0.0030377i,0.0060742+0.0011814i,-0.0091343+0.0017246i,0.0012318+0.0008412i,0.0056193+0.0092453i,0.0044805+0.00041822i,-0.0097444-0.0095895i,0.0026985+0.008734i,-0.019421+0.0066293i,0.0067589+0.0033902i,-0.028553-0.0088167i,-0.035105+0.0022784i,0.025414-0.077629i,0.012489-0.010145i,-0.042331-0.027814i,-0.022743-0.0036843i,0.01792+0.012607i,-0.027285+0.012115i,-0.011603-0.0083398i
-0.014365+0.020409i,0.012366+0.047129i,0.026482+0.045769i,0.00044578+0.017497i,-0.002555+0.0073218i,0.027042+0.002227i,0.013164+0.017325i,0.012392+0.045138i,0.0047981+0.020495i,-0.0023151+0.0054295i,0.00093937+0.0015112i,0.0028632-0.0043006i,0.0027437-0.0027675i,0.0034991-0.00049041i,0.0030608-0.0025777i,0.0048207-0.0015038i,0.013335-0.0065923i,3.6768e-05-0.00083203i,-0.0049516+0.00064222i,2.5508e-05+0.0022774i,-0.00041379-0.0010757i,-0.0050401-0.0019153i,-0.0025668+0.00052276i,0.0047983+0.0081881i,0.0017877+0.0012862i,0.0025145+0.00096288i,0.0020489+0.0016356i,-0.0013842+0.0034063i,-0.00035798+0.00091325i,-0.00074752+0.0011173i,0.00023468-0.0036085i,-0.0010273-0.0010601i,-0.00060715-0.0004519i,-5.2216e-05+0.00074358i,-0.00053483-0.0021686i,-0.0057868+0.010349i,0.0029879+0.00015369i,0.00088057+1.0723e-05i,-0.00097229+0.002452i,-0.00017776-0.0036239i,-0.0021357+0.0007197i,-0.002412-0.0013297i,0.0013774+0.0086482i,0.0035247+0.00034107i,-0.028321+0.020915i,-0.056637+0.023837i,-0.030293+0.045899i,-0.018828+0.03233i,-0.0040205+0.050296i,-0.008361+0.032151i,0.0089397+0.010287i,-0.0059253-0.007182i,-0.038502-0.0079227i,-0.042477+0.016095i,0.0094355+0.020934i,-0.001831+0.0029708i,-0.0054588+0.0023798i,-0.011721-0.0032832i,0.0097429+0.0014353i,0.012074+0.014365i,-0.0028537+0.0079266i,-0.0071372-0.012394i,0.0054951-0.0023805i,-0.0048966-0.0045383i,0.0039764-0.0077383i,0.0051521-0.0022961i,-0.00097853+0.0099781i,0.01269-0.0046728i,0.0078349-0.0064542i,0.0056414-0.0071213i,0.0035261-0.00054874i,-0.0032372-0.0063581i,-0.0037499-0.0019477i,0.0029674-0.0012141i,-0.012708+0.036353i,-0.0053259-0.0053511i,0.0015912+0.00069019i,-0.000494-0.0078812i,0.0032803-0.0012947i,-0.014373-0.0048193i,0.0017089+1.3463e-05i,0.0032081-0.0030399i,0.0028279-0.001903i,0.00040324-0.005973i,-0.001722+0.0066449i,-0.00028882+0.0033075i,-0.0026449+0.0056937i,-0.011455-0.0019969i,-0.0084859+0.0033678i,-0.039437+0.039654i,-0.0082722+0.016668i,-0.023603-0.0053746i,-0.00036509-0.0016004i,0.010049+0.019968i,-0.00097729+0.020468i,-0.005909-0.0003786i
-0.011792+0.020493i,0.019201+0.042806i,0.034405+0.040271i,0.0042542+0.019231i,0.0013785+0.0076911i,0.027007-0.0036677i,0.014401+0.013995i,0.019916+0.040319i,0.0073276+0.018739i,-0.00057401+0.0055024i,0.0017888+0.0014975i,0.00034917-0.0033088i,0.0012862-0.0027312i,0.003163-0.00057311i,0.0022997-0.0030071i,0.0039479-0.001296i,0.0096434-0.0092085i,0.00051216-0.00066268i,-0.004671+0.0013064i,0.00092116+0.0012999i,-0.00095172-0.0013081i,-0.0053588-0.00046955i,-0.0023438+0.00068806i,0.0086679+0.0049828i,0.001507+0.0016328i,0.0030461-0.00014142i,0.0020822+0.00054304i,7.1299e-06+0.0035559i,-0.00049634+0.0014807i,-0.00050913+0.0013792i,-0.0011988-0.0031706i,-0.0016257-0.00096602i,-0.0010121-0.00022871i,0.00039678+0.00045762i,-0.0015017-0.00072386i,-0.0020683+0.010945i,0.0024782-0.0010265i,0.00089694-0.00010911i,0.00050106+0.0021453i,-0.0009126-0.0031253i,-0.0016893+0.00094077i,-0.0029027-0.00031854i,0.0032105+0.0087685i,0.0026792-0.00014721i,-0.023675+0.025391i,-0.048811+0.03278i,-0.024153+0.05074i,-0.01172+0.033778i,0.0091797+0.046013i,0.001055+0.029562i,0.004132+0.0035975i,-0.012616-0.011162i,-0.042105-0.0060937i,-0.033916+0.017i,0.013711+0.017154i,-0.0022941+0.0033303i,-0.0044253+0.0063519i,-0.011956+0.0015917i,0.008154-0.0020618i,0.014588+0.011421i,0.0012929+0.011848i,-0.012983-0.010108i,0.0023169-0.0034838i,-0.0046456-0.0017977i,-0.00083433-0.0074602i,0.0036244-0.0042991i,0.0037724+0.0078565i,0.0086463-0.0079307i,0.0031903-0.0083356i,0.00208-0.0056057i,0.004195-0.0016913i,-0.0045434-0.0045903i,-0.0022404+0.00073078i,0.0030209-0.0017567i,0.006412+0.03652i,-0.0067509-0.0042056i,0.0021838-0.001058i,-0.0040841-0.0067857i,0.0035416-0.002304i,-0.014153+0.0020693i,0.0020789-0.00023246i,0.0016098-0.002861i,0.0028675-0.0034657i,-0.0016468-0.005992i,0.00057694+0.0038441i,0.0010445+0.002702i,0.00066866+0.0064354i,-0.010787+0.0017264i,-0.007844+0.0045288i,-0.030984+0.040818i,-0.0052374+0.01958i,-0.024997-0.00027929i,-0.0019187-0.0056387i,0.012902+0.018794i,0.0030764+0.021928i,-0.0081134-0.00056662i
-0.0097238+0.021016i,0.024638+0.037464i,0.042418+0.032022i,0.011095+0.017632i,0.0058848+0.0063043i,0.025492-0.0097681i,0.014737+0.01047i,0.026245+0.033991i,0.010362+0.017858i,0.0007138+0.0051357i,0.0022049+0.00042753i,-5.872e-05-0.0014038i,-1.6039e-05-0.0026331i,0.0033443-0.0010265i,0.0014968-0.0030742i,0.0032633-0.0012146i,0.0062169-0.010559i,0.00034554-0.0012934i,-0.0043902+0.0028222i,0.00087574-1.8673e-05i,-0.0018892-0.001416i,-0.0050542+0.00096108i,-0.0024301+0.00098811i,0.0090979+0.00010712i,0.0022897+0.0011151i,0.0024093-0.0015036i,0.001863-0.00011011i,0.0015062+0.0029577i,0.00040309+0.0017755i,-0.00019802+0.0016331i,-0.0024791-0.0021303i,-0.0022565+0.00020935i,-0.00099775+0.0003127i,0.00030438+8.1627e-05i,-0.00099078+0.0004906i,0.001138+0.010421i,0.001602-0.0014787i,0.00079681-0.00060637i,0.00090358+0.0013018i,-0.0019123-0.0027662i,-0.0014972+0.0010528i,-0.0027115+0.00078232i,0.0056549+0.0087235i,0.002334-0.0003456i,-0.017119+0.028846i,-0.03995+0.039576i,-0.015805+0.054587i,-0.0043367+0.032576i,0.020669+0.037566i,0.0089654+0.027359i,-0.0024154+0.00099057i,-0.019668-0.010531i,-0.045716-0.00052736i,-0.027366+0.014861i,0.016554+0.011636i,-0.0023403+0.0039689i,-0.0026568+0.0078555i,-0.011115+0.0052841i,0.0049453-0.0056265i,0.01712+0.007418i,0.0068387+0.012258i,-0.016805-0.0055684i,0.00094675-0.0021604i,-0.0040618+0.00028015i,-0.0031743-0.0050291i,0.0013023-0.004672i,0.005862+0.0061655i,0.0057513-0.0087932i,-0.0020091-0.0071905i,0.0013558-0.0036766i,0.0038866-0.0042149i,-0.0062225-0.0025892i,-0.0003211+0.00069219i,0.0019272-0.0027363i,0.021772+0.027716i,-0.0087214-0.0015512i,0.0019367-0.0021391i,-0.0043023-0.0042213i,0.0038795-0.0040512i,-0.010124+0.0072146i,0.0031467-0.00081862i,0.00012598-0.0029725i,0.0010463-0.0037808i,-0.0036499-0.0042836i,-2.3666e-05+0.0030927i,0.0020387+0.0015398i,0.0036795+0.0053738i,-0.0095013+0.0044537i,-0.0073843+0.0062572i,-0.02464+0.041043i,0.0026294+0.020932i,-0.024284+0.0038837i,-0.0045791-0.0087938i,0.017594+0.015461i,0.0089945+0.02283i,-0.0097008+0.0012594i
-0.007625+0.021766i,0.028049+0.032367i,0.046762+0.021348i,0.016043+0.011995i,0.0092651+0.0023758i,0.022129-0.014818i,0.014248+0.0080137i,0.030099+0.026854i,0.014102+0.015395i,0.0015851+0.0047437i,0.0018324+0.00014436i,0.00054055-0.00057067i,-0.0014728-0.0013465i,0.0029-0.0014535i,0.00068933-0.0031222i,0.0028735-0.00083982i,0.0025918-0.010482i,-3.1484e-05-0.00137i,-0.0026068+0.0038474i,-6.9084e-05-0.00058692i,-0.0025794-0.0004151i,-0.004444+0.0028842i,-0.0022825+0.0016648i,0.0070341-0.0034322i,0.0023008+0.0002548i,0.0013144-0.0019384i,0.0014986-0.00059337i,0.0020258+0.0016857i,0.0011489+0.00095613i,0.00042511+0.0019569i,-0.0030415-0.00038034i,-0.0017629+0.0012561i,-0.00061766+0.00058719i,2.6471e-05+0.00012857i,-0.00018663+0.00089224i,0.0039796+0.0092385i,0.0010495-0.0017428i,0.00032411-0.00088333i,0.0010008+0.0013388i,-0.0026996-0.0021039i,-0.0012111+0.0013204i,-0.0023163+0.0014543i,0.0083794+0.0074543i,0.0023176-0.00054596i,-0.0098865+0.029039i,-0.029874+0.044149i,-0.0069806+0.057267i,0.00051428+0.030431i,0.02882+0.025693i,0.016379+0.021159i,-0.0098212+0.0029186i,-0.027504-0.0064886i,-0.047489+0.0075085i,-0.024441+0.011301i,0.01766+0.0050661i,-0.0018504+0.0051837i,0.00014943+0.01016i,-0.0092508+0.0085761i,-0.00065715-0.0057172i,0.019004+0.0014388i,0.012263+0.0097868i,-0.019015+0.00022718i,0.00055215-0.0017478i,-0.0027902+0.0015162i,-0.003971-0.001927i,-0.00019056-0.0042i,0.0074821+0.0028779i,0.0026279-0.0094i,-0.0048031-0.0028489i,0.0017724-0.0027431i,0.0018123-0.0060713i,-0.0062136+0.00055468i,0.00083966+0.00051583i,0.00093516-0.0030696i,0.030353+0.013511i,-0.0085345+0.0028715i,0.0014577-0.0032534i,-0.0041916-0.0025392i,0.0023344-0.0063096i,-0.0051808+0.0085588i,0.0037898-0.002487i,-0.00088396-0.0018845i,8.4196e-05-0.0036233i,-0.0036708-0.0017423i,-6.0493e-05+0.0034838i,0.0019973+0.00021174i,0.0057979+0.0036056i,-0.0076799+0.0059296i,-0.0064332+0.008399i,-0.018812+0.042423i,0.01341+0.016233i,-0.021984+0.0082972i,-0.010154-0.010449i,0.019111+0.010165i,0.016008+0.020707i,-0.0086856+0.0023925i
-0.0048365+0.022616i,0.031481+0.028202i,0.048183+0.011478i,0.018119+0.0055288i,0.0098587-0.002596i,0.018471-0.018599i,0.013981+0.00682i,0.032083+0.020281i,0.017481+0.011825i,0.0024509+0.0043216i,0.001742+0.00029076i,0.0013398-0.00051499i,-0.0016144+0.00075502i,0.0024603-0.001846i,-1.4146e-05-0.0025783i,0.0031003-0.00026313i,5.8163e-05-0.0091451i,-0.00063797-0.0012946i,-0.0012654+0.0036429i,-0.00088648-0.00032772i,-0.0026996+0.00043478i,-0.0026661+0.0041687i,-0.001643+0.0022569i,0.0041811-0.0052727i,0.0018805-0.00034808i,0.00056292-0.0020965i,0.0010665-0.0010614i,0.0018057+0.00075773i,0.00093983+0.00033607i,0.0014159+0.0017891i,-0.0023275+0.00098678i,-0.00098283+0.0018145i,-0.00036323+0.00062989i,0.00026312+0.00072914i,0.00065587+0.0010741i,0.0061813+0.0073602i,0.00031264-0.0017772i,-0.00017685-0.0007212i,0.001957+0.0011877i,-0.003072-0.0011102i,-0.00088033+0.0012447i,-0.0017649+0.0019172i,0.010392+0.0047556i,0.0017429-0.0011358i,-0.0046541+0.027551i,-0.019146+0.045981i,0.0045097+0.058239i,0.0053148+0.028803i,0.030912+0.012829i,0.01954+0.013378i,-0.013362+0.010025i,-0.032205+0.0032065i,-0.047509+0.018379i,-0.025139+0.0087666i,0.014689-0.00042394i,-0.00026996+0.0062285i,0.0050064+0.0093333i,-0.0066061+0.011359i,-0.0033318-0.0024907i,0.017556-0.0065971i,0.016069+0.0045784i,-0.018923+0.0062729i,0.00058925-0.00065389i,-0.0016505+0.0021609i,-0.0022903+2.4676e-05i,-0.0019816-0.0029221i,0.0070571+0.00022134i,-0.00034687-0.0085812i,-0.0038785+0.0012118i,0.0025366-0.0033363i,-0.00076305-0.006507i,-0.0041878+0.0025923i,0.001975-0.00011892i,0.00027808-0.0023739i,0.031114-0.0013071i,-0.0053378+0.0058049i,9.1418e-05-0.0040702i,-0.003628-0.0019985i,-0.00027727-0.0072428i,-0.0015358+0.007765i,0.0028009-0.0040522i,-0.00089409-0.00034083i,-0.00022446-0.0028656i,-0.002038-0.00079697i,0.0014614+0.0041133i,0.00077352-0.00086907i,0.0059867+0.00089852i,-0.0063272+0.0062207i,-0.0039397+0.010626i,-0.012132+0.043022i,0.018653+0.0033763i,-0.016837+0.0095023i,-0.016249-0.0088686i,0.019776+0.0052166i,0.021238+0.013979i,-0.0093991+0.0021072i
-0.0016082+0.022615i,0.035158+0.023315i,0.048626+0.0021378i,0.018543-0.00092203i,0.0092292-0.0065369i,0.014234-0.021763i,0.015165+0.0058542i,0.033161+0.014057i,0.020314+0.0069097i,0.003028+0.0036886i,0.0022728+0.00027769i,0.0019788-0.000808i,-5.7262e-05+0.0022233i,0.0019626-0.002074i,-0.00020753-0.0021225i,0.0039339+6.4699e-06i,-0.0014263-0.0080475i,-0.00055458-0.0011885i,-0.00039145+0.0034963i,-0.0011611+0.00031121i,-0.0021918+0.0011756i,-0.00044272+0.0039959i,-0.00090219+0.0024262i,0.00091075-0.0058563i,0.001734-0.0006232i,-0.00034044-0.0020927i,0.00051812-0.001257i,0.0016277+0.0003241i,0.00079228+0.00018793i,0.0020218+0.00096158i,-0.0014826+0.0016668i,-9.7963e-05+0.0019848i,-0.00019306+0.00077289i,0.00096305+0.00027302i,0.0011693+0.00012442i,0.0072234+0.0049955i,-0.00028203-0.00157i,-0.00030719-0.00030469i,0.001832+0.00014269i,-0.0028368-0.0002496i,-0.0010242+0.0014101i,-0.0011745+0.0022913i,0.011286+0.0019763i,0.00094067-0.00087587i,-0.00028623+0.025504i,-0.00928+0.044679i,0.016301+0.054534i,0.01026+0.026611i,0.029269+0.0017444i,0.019507+0.0066134i,-0.011255+0.018097i,-0.031097+0.015444i,-0.041429+0.031391i,-0.027742+0.0094765i,0.011227-0.0028913i,0.0017061+0.0060272i,0.0076947+0.0065317i,-0.0025806+0.013737i,-0.0037081+8.7133e-05i,0.011813-0.013663i,0.016428-0.0022512i,-0.016501+0.011077i,0.0017041-0.00062337i,-0.00039361+0.0021126i,-0.00090095+1.4251e-05i,-0.0022424-0.00065511i,0.0056977-0.0012994i,-0.0021003-0.0070295i,-0.0012855+0.0033894i,0.0019409-0.0047849i,-0.0031448-0.0053745i,-0.0025308+0.0028533i,0.0022483-0.0016875i,0.00075591-0.0018835i,0.025419-0.013838i,-0.0020479+0.0063635i,-0.0015039-0.003832i,-0.0037268-0.0013187i,-0.0029646-0.0065664i,0.00084345+0.0064789i,0.0020377-0.0048678i,0.00041476+0.00030948i,-0.00040083-0.0030964i,-0.00098146-0.0012711i,0.0026799+0.0038398i,-0.00078758-0.00020101i,0.0051189-0.00057726i,-0.0057209+0.006547i,-0.00047003+0.011073i,-0.0054155+0.042529i,0.015068-0.0085304i,-0.013645+0.0063803i,-0.021411-0.0038044i,0.018279-0.0011868i,0.022066+0.0069368i,-0.010152+0.0041265i
0.0016572+0.022223i,0.037946+0.017401i,0.046826-0.008021i,0.016138-0.0083638i,0.0077064-0.010731i,0.0093486-0.023805i,0.017085+0.003886i,0.033353+0.0081575i,0.021055+0.0012789i,0.0034916+0.0034047i,0.0023636-0.00034309i,0.0024144-0.0021275i,0.001608+0.002199i,0.0013836-0.0022631i,-0.0002756-0.0018021i,0.0049321-0.00062501i,-0.0028117-0.0071698i,-0.0011814-0.0013385i,0.00077473+0.0030746i,-0.0013255+0.00099035i,-0.0018613+0.0014978i,0.00078835+0.0027417i,-0.00048766+0.0024088i,-0.0021824-0.0046899i,0.0012736-0.0018156i,-0.0012067-0.0014928i,-0.00010584-0.0012348i,0.0014542+9.146e-05i,0.00093371-4.0144e-05i,0.0020015+3.1666e-05i,-0.00034886+0.0019252i,0.00059172+0.0019125i,-9.7781e-05+0.0010176i,0.00088454-5.1014e-05i,0.00068922-0.00068993i,0.0075065+0.0029642i,-0.00089136-0.0011432i,-0.00027625-0.00012673i,0.001505-0.00021087i,-0.0023064+0.00021657i,-0.00078489+0.0019134i,-0.0004381+0.0024397i,0.011564-0.0013462i,0.00059571-0.00039705i,0.0031845+0.023121i,-0.001183+0.041645i,0.02533+0.047823i,0.015209+0.023771i,0.024636-0.0071436i,0.017871+0.0023145i,-0.0052986+0.022868i,-0.022421+0.02541i,-0.028995+0.040179i,-0.029635+0.013864i,0.0083269-0.0038028i,0.0033+0.0049718i,0.0086926+0.0030175i,0.00237+0.01366i,-0.0039135+0.0019847i,0.0018062-0.016204i,0.013181-0.008073i,-0.013386+0.014868i,0.0023204-0.002005i,0.00049647+0.0016181i,-0.00083493-0.00058182i,-0.0008308+0.00081785i,0.0045449-0.0015841i,-0.0032189-0.0059093i,0.0013529+0.0034783i,0.0002254-0.0061457i,-0.0045043-0.0036324i,-0.0010624+0.0029268i,0.0012021-0.003168i,0.0010967-0.0027497i,0.015756-0.02077i,0.00063744+0.005739i,-0.0023576-0.0030869i,-0.0032393-0.000821i,-0.0048822-0.0054405i,0.0020774+0.0050407i,0.001205-0.006095i,0.0014419-0.00020727i,-0.0013069-0.0030775i,-0.0010568-0.0021486i,0.0044164+0.0035363i,-0.0010828+0.0013574i,0.0044877-0.0016866i,-0.005308+0.0077144i,0.0025889+0.010144i,0.0012867+0.041567i,0.0070895-0.016405i,-0.015577+0.0026154i,-0.023223+0.0031395i,0.012583-0.0056632i,0.021818+0.0010483i,-0.0083176+0.0054771i
0.0048528+0.020988i,0.040042+0.011726i,0.042266-0.016625i,0.010224-0.01327i,0.0043594-0.01421i,0.0046413-0.02443i,0.019085+0.00077502i,0.032526+0.0028791i,0.020494-0.0046142i,0.0045028+0.0032173i,0.0022247-0.00049252i,0.0011132-0.0034551i,0.0030054+0.001481i,0.00085107-0.0022498i,-0.00013919-0.0018573i,0.0054262-0.0015935i,-0.0048068-0.0055361i,-0.0016774-0.00074679i,0.0014617+0.0020959i,-0.00092684+0.0019782i,-0.0014176+0.002i,0.00079401+0.0014817i,-3.4358e-05+0.002459i,-0.0039314-0.0022635i,-0.00028163-0.0019489i,-0.0015538-0.00067334i,-0.00060035-0.00099478i,0.0012524-0.00012842i,0.00052977-0.00060123i,0.0016389-0.00073205i,0.00076674+0.0015739i,0.0011723+0.0015158i,0.00048362+0.0012151i,0.00068821-0.00015783i,1.5989e-06-0.00046478i,0.0073086+0.0010499i,-0.0011678-0.0006035i,-0.00030333+0.00014086i,0.0015542-0.00036117i,-0.0017376+0.000359i,-7.0538e-05+0.0024376i,0.00023074+0.0023459i,0.010241-0.0046707i,0.00050462+0.00024173i,0.006158+0.020033i,0.0052688+0.037406i,0.031347+0.040396i,0.020123+0.019548i,0.018583-0.01256i,0.015738-0.00045257i,0.0014548+0.024963i,-0.011672+0.028905i,-0.01456+0.043408i,-0.02844+0.020057i,0.0067124-0.0039456i,0.0045319+0.0035229i,0.0080298+0.00026339i,0.0069758+0.011369i,-0.0031074+0.0042414i,-0.0072068-0.012484i,0.0084511-0.011076i,-0.0091647+0.017703i,0.0014221-0.0036496i,0.00084996+0.0010359i,-0.0011363-0.00046857i,0.0010342+0.0010811i,0.0040992-0.0018516i,-0.0047273-0.0044636i,0.0034897+0.0020198i,-0.0026857-0.0064905i,-0.0049778-0.0015795i,0.00038324+0.0019753i,0.00017605-0.0036314i,0.00040763-0.0040572i,0.0057663-0.022674i,0.0026099+0.0044237i,-0.0029162-0.0024891i,-0.0038561-0.00067495i,-0.0065417-0.0033654i,0.0022702+0.0040169i,-0.0010565-0.0075411i,0.0023237-0.0012134i,-0.0016865-0.0022974i,-0.0013693-0.0025009i,0.0055708+0.0023454i,-0.00026507+0.0025662i,0.0030061-0.0025399i,-0.004218+0.0090489i,0.0048982+0.0081907i,0.0087734+0.039556i,-0.0037571-0.020308i,-0.019958+0.0026817i,-0.020965+0.010412i,0.0072498-0.0055692i,0.018811-0.0051955i,-0.006557+0.0038498i
0.0075637+0.01892i,0.041626+0.0049974i,0.036836-0.02285i,0.0045918-0.014195i,0.00034702-0.01621i,0.00066425-0.024556i,0.020494-0.0040102i,0.031554-0.0019239i,0.01807-0.0099918i,0.0057203+0.0021959i,0.0026927-0.00086484i,-0.00039396-0.0032638i,0.0036615-0.00028185i,0.0004628-0.0021442i,-0.00031598-0.002082i,0.0057734-0.0025697i,-0.0054925-0.0029754i,-0.0015651-0.00052514i,0.0014267+0.0011544i,6.6882e-05+0.002306i,-0.00081886+0.0021718i,0.00040729+0.00061841i,0.00055916+0.002371i,-0.0044136+0.00075195i,-0.0011292-0.00098574i,-0.0015425+3.8739e-05i,-0.00087474-0.00064978i,0.0010439-0.00035594i,-0.00013992-0.00029139i,0.00094276-0.0013245i,0.0015299+0.00077064i,0.0014959+0.0010611i,0.0010347+0.00091784i,0.00078538-0.00011493i,-0.00018331+0.0002726i,0.0065615-0.00061944i,-0.0013541+8.12e-05i,-9.1947e-05+0.00031806i,0.0014738-0.00088782i,-0.0011526+0.00041372i,0.00087759+0.0023265i,0.00093008+0.0019778i,0.0076589-0.0070875i,0.00063741+0.000645i,0.0076643+0.01716i,0.0094262+0.03259i,0.035886+0.033198i,0.023401+0.013417i,0.012619-0.015687i,0.014243-0.00063052i,0.0090369+0.025037i,-0.0015431+0.029468i,-0.0014406+0.041219i,-0.024538+0.025822i,0.0056511-0.004798i,0.0053049+0.0013696i,0.0074229-0.0018187i,0.010259+0.0074517i,-0.00076081+0.005195i,-0.011945-0.0059452i,0.0031999-0.012186i,-0.0038409+0.01845i,-0.00060064-0.004213i,0.00039258+0.00089552i,-0.0012597-5.3561e-05i,0.0021706+3.3876e-05i,0.0036458-0.0015847i,-0.0051645-0.0023034i,0.0041067+0.00024975i,-0.0051616-0.0048231i,-0.0042272+0.000163i,0.00051789+0.00064119i,-0.00072955-0.0041789i,-0.0011844-0.0043534i,-0.0027262-0.020781i,0.004078+0.0022559i,-0.0037914-0.0016678i,-0.0041325+0.00088517i,-0.0067492-0.00054597i,0.0029878+0.0038066i,-0.0046605-0.0074841i,0.0024815-0.0028481i,-0.0019546-0.0019738i,-0.0020905-0.0031582i,0.0067375+0.00097746i,0.00084372+0.0028912i,0.0017938-0.0017962i,-0.0025416+0.0099162i,0.0061563+0.0055966i,0.015847+0.03548i,-0.015401-0.018043i,-0.023293+0.0049515i,-0.01545+0.014272i,0.0045876-0.0044974i,0.013336-0.0088538i,-0.0080934+0.0029739i
0.0093937+0.016725i,0.041792-0.0022754i,0.031463-0.027967i,0.00056372-0.013652i,-0.003893-0.017009i,-0.0036244-0.024554i,0.020029-0.010169i,0.030538-0.0069236i,0.013994-0.01445i,0.0064097+0.0006079i,0.0029164-0.0019475i,-0.0013857-0.0024382i,0.0030458-0.0019101i,0.00018048-0.0019738i,-0.00099405-0.0023582i,0.0059163-0.0040232i,-0.005313-0.00097453i,-0.0018311-0.00043551i,0.0013431+0.00070088i,0.00090281+0.0021401i,-0.00031722+0.0022971i,-0.00026707+0.00045686i,0.00096833+0.0020558i,-0.0032146+0.0034819i,-0.00091988+3.7073e-05i,-0.0012965+0.00074695i,-0.00099631-0.00023338i,0.00080847-0.00041761i,-0.00017555-7.6358e-06i,2.1007e-05-0.0013811i,0.0017353-0.00016944i,0.001835+0.00061004i,0.001309+0.00050826i,0.00077261-0.00067103i,0.00038101+0.00068144i,0.0057095-0.001844i,-0.0010351+0.00074947i,0.0002076+0.00038877i,0.00037734-0.0013168i,-0.0005575+3.1338e-05i,0.0016323+0.0019518i,0.0013427+0.001562i,0.0047494-0.0077303i,0.0010983+0.001391i,0.0086222+0.014929i,0.011814+0.029014i,0.039138+0.025879i,0.024313+0.0081468i,0.0065027-0.0175i,0.015892-0.00010029i,0.016043+0.021959i,0.0088846+0.026523i,0.010202+0.034946i,-0.017646+0.030372i,0.0041752-0.0056802i,0.0046295-0.0017533i,0.0064311-0.0040533i,0.010852+0.0023765i,0.00053467+0.0046791i,-0.012963+0.0016706i,-0.001854-0.010936i,0.00026872+0.016452i,-0.0025716-0.0033539i,0.00034524+0.0015552i,-0.0013357+0.0004939i,0.0028128-0.0014691i,0.0043825-0.00078026i,-0.0041692-0.00084897i,0.0040108-0.00064284i,-0.0061786-0.0025018i,-0.0031636+0.00092192i,8.5299e-05+0.00024437i,-0.0031112-0.004667i,-0.0026248-0.0035755i,-0.0096397-0.017109i,0.0041917-0.0003316i,-0.0040997-0.00032556i,-0.0028444+0.0020386i,-0.0058598+0.0015658i,0.0042218+0.0033479i,-0.0074942-0.0050187i,0.0013266-0.0045859i,-0.0024816-0.0014149i,-0.0040232-0.0027726i,0.007239-0.0016913i,0.0021444+0.003281i,0.0023036-0.0012893i,-6.5469e-05+0.010888i,0.0060766+0.003086i,0.021912+0.029791i,-0.022046-0.0097841i,-0.026499+0.009801i,-0.010232+0.015574i,0.0020103-0.0026515i,0.0086304-0.0086994i,-0.0085613+0.0036053i
