-0.024555-0.0046235i,-0.023613+0.0011491i,-0.017216-0.0075906i,-0.02951-0.013265i,-0.02863+0.0028337i,-0.039664-0.0059558i,-0.063573-0.033465i,-0.033944-0.018362i,-0.030877-0.002635i,0.0065256+0.003702i,-0.0037598+0.0070227i,-0.0056703+0.012975i,0.0044661+0.010877i,-0.0024517+0.0035836i,0.0042962+0.0046834i,0.0027844+0.027141i,0.021943+0.023184i,0.0008439-0.0012154i,0.00082948-0.0067445i,0.0060454-0.00096301i,0.0049908-0.000366i,0.0035859+0.0019537i,0.0010177-0.00026443i,-0.032323-0.00065381i,-0.0059923-0.006863i,-0.0014517+0.0028893i,0.00039781-0.0019287i,-0.00082554+0.00039662i,-0.0012534+0.0011729i,-0.0019653-0.0033667i,-0.0043482-0.0020416i,-0.0067435-0.0074162i,-0.0006008+0.00013789i,-0.00064551-0.00010532i,0.0015979-0.0035494i,-0.0013993+0.022518i,0.0014037-0.0031985i,0.00017943-0.002394i,0.0048606-0.0030317i,-0.0022315-0.0016181i,0.00095184+0.00032403i,0.0062818-0.0020724i,0.0046357-0.0027611i,-0.00051382+0.00217i,-0.013577+0.015537i,-0.031162+0.055936i,-0.0023127-0.036544i,-0.013714-0.016377i,-0.034822-0.015455i,-0.027978-0.015043i,0.043969-0.0047195i,0.0080063-0.032821i,0.015391-0.04i,-0.0098359-0.030155i,0.024969-0.021043i,0.012697+0.0066192i,0.030481-0.032353i,-0.0030706-0.0044263i,0.0065212-0.0079322i,-0.0017304-0.006074i,0.0039412-0.038173i,-0.013867+0.029042i,0.0071508-0.012298i,-0.0085668-0.0051693i,-0.0029315-0.0015672i,0.00016799-0.013716i,-0.008525+0.0059594i,0.003821+0.0074391i,-0.0017726+0.029155i,0.0023468+7.1222e-05i,-0.0069684-0.0050747i,-0.0028759-0.0064141i,-0.013369-0.0097108i,-0.0024632-0.0066495i,-0.0492+0.0074905i,-0.0039765-0.0096582i,-0.01353-0.0022726i,-0.0078451-0.006698i,0.001423-0.0019326i,-0.013693+0.0021295i,-0.0012562+0.00014978i,0.0066353+0.0072686i,0.0038748-0.0047382i,-0.0055921-0.0090381i,0.0080746+0.0089747i,-0.017984+0.0069442i,0.0050519-4.8952e-05i,-0.019559-0.0025736i,-0.018075-0.0037972i,-0.017512-0.033526i,0.02069-0.0092042i,-0.039594-0.026162i,-0.0094459+0.0031461i,0.017371+0.016511i,-0.021986+0.017921i,-0.0034496-0.0039153i
0.0033383+0.013295i,0.0087528+0.017081i,0.0059533+0.023378i,-0.0075903+0.019568i,0.00030279+0.030787i,0.01292+0.022399i,-0.011305+0.025893i,-0.0082172+0.021423i,0.011819+0.0098316i,0.00040963-0.0037773i,0.0011235-0.00055677i,0.0052904-0.0034622i,0.0029157-0.0011308i,0.0024271-0.0030407i,-0.00035123-0.0014568i,0.0069521-0.0063116i,-0.0025814-0.0054603i,-0.0030542+0.00075713i,-1.4739e-05+0.00061351i,0.0002601+0.0017581i,-0.0013905-0.0033742i,-6.0911e-05-0.00081936i,0.0021302+0.00021711i,-0.010516-0.005569i,-0.00033326-0.00051181i,-0.0016226+0.00058817i,-0.0025531+0.00040209i,-0.0023108+0.00085095i,-0.0020092-7.9374e-05i,0.00080398-0.00094751i,-0.003584+0.001358i,0.00068021-0.001683i,-0.00089502-0.0011698i,0.00089696-0.0010817i,-0.00085968+0.0013159i,-0.00070782-0.0046644i,-0.0017147+0.0010951i,0.0012505+0.00049223i,0.0023963+0.0058013i,0.0028535+0.0030601i,-0.00043993+0.00075104i,-0.0010253+0.00023906i,-0.0012709-0.001655i,0.0034181+0.0070071i,0.014488+0.0057866i,0.048712-0.058161i,-0.026692+0.0047364i,0.016356-0.024749i,-0.020031-0.034599i,-0.014146+0.00074259i,-0.039954+0.03226i,-0.022736+0.0026784i,-0.018511+0.0073128i,-0.002909-0.018598i,-0.040813-0.022293i,-0.0079234+0.0024373i,-0.028609+0.012271i,0.002994+0.015397i,0.00019436+0.0055162i,-0.0061962-0.0044698i,-0.00026233+0.0019009i,-0.015918-0.0039843i,0.0069242+0.012084i,-0.0018829+0.0072898i,-0.0021945+0.0031049i,0.00072782+0.0051078i,0.0013333+0.0036436i,-0.0025367+0.020065i,0.0011744+0.017349i,0.005534-0.0059403i,0.01369-0.0059145i,0.0090912+0.0032178i,-0.002811-0.0066645i,-0.00053703-0.0013507i,0.020404-0.036313i,0.010163+0.0058729i,0.0084457+0.00034682i,0.0026204-0.00098355i,0.0050038-0.0075914i,0.021308+0.0013303i,0.0062649-0.0027722i,0.0015045-0.0073808i,0.0042578-0.0034217i,0.014358+0.0031892i,0.0057569+0.0028973i,0.0036544-0.0047676i,0.00803+0.0093346i,-0.00236+0.0046664i,0.010122+0.010808i,-0.01294-0.013677i,-0.010023-0.00015056i,-0.0088163-0.013953i,-0.0080061-0.0048326i,-0.038525+0.0025684i,-0.0057256+0.0047943i,-0.014149+1.4914e-05i
0.0056458+0.012347i,0.0111+0.013922i,0.01056+0.018651i,-0.0046191+0.01894i,0.0048726+0.028256i,0.016067+0.01923i,-0.0079159+0.02724i,-0.0039831+0.021675i,0.012495+0.004894i,-0.00087776-0.0028264i,0.001346+8.9773e-05i,0.0038138-0.0050364i,0.0022015-0.0027485i,0.0024069-0.0028149i,-0.00088466-0.0010767i,0.002993-0.0062212i,-0.0054106-0.0036591i,-0.00061071+0.0026039i,0.0012381+0.00083391i,0.00099844+0.0013291i,-0.0048946-0.00015654i,0.00041953-0.00012123i,0.0025289-0.00065575i,-0.010317-0.0018217i,-4.0967e-05-0.00011665i,-0.0013775+0.0012759i,-0.0017091+0.0014429i,-0.0015154+0.0014159i,-0.0018017-0.000168i,0.00088127-0.00098358i,-0.0027457+0.0034582i,-0.00028403-0.0011491i,-0.0016483-0.00053203i,-0.00088982-0.0016311i,-0.0017858+0.00076074i,0.00025535-0.0033216i,-0.00076555+0.0015996i,0.0012499+1.4506e-05i,0.013626+0.0090846i,0.003531+0.0012262i,-4.64e-05+0.0010254i,-0.0011398+0.00053617i,-0.0018135-0.001144i,0.0051614+0.0059502i,0.015309+0.0006684i,0.027066-0.070252i,-0.019793+0.013075i,0.0070438-0.031733i,-0.030845-0.027362i,-0.01166+0.0048581i,-0.027116+0.040182i,-0.01995+0.008342i,-0.006758+0.0016301i,-0.0051515-0.016728i,-0.044959-0.0052229i,-0.007712+0.002864i,-0.02329+0.023492i,0.0061252+0.011403i,0.0013041+0.0037345i,-0.010662-0.0075451i,-0.0035212+0.0047941i,-0.014277+0.003428i,0.011602+0.0085144i,-9.1606e-05+0.010078i,-0.00082062+0.003734i,0.0026114+0.0062633i,0.0031736+0.0038665i,0.0061392+0.016514i,0.0071715+0.011185i,-0.0015704-0.0091277i,0.0065546-0.0080208i,0.0087894+0.0014996i,-0.0050986+0.00073311i,-0.00046523+0.0010092i,0.0034058-0.037351i,0.012445+0.0030156i,0.010034-0.0031965i,0.0042184-0.0026261i,0.00083068-0.0049503i,0.021-0.0083877i,0.0036423-0.0044875i,-0.0015441-0.0061783i,0.00032769-0.0030087i,0.011942-0.0024449i,0.0078687+0.0018004i,0.0026683-0.0027671i,0.011151+0.005743i,-0.00073839+0.0057281i,0.011545+0.0057754i,-0.018456-0.011807i,-0.0063279-0.014231i,-0.0077193-0.011639i,-0.0084401-0.003805i,-0.034675+0.015991i,-0.0032672+0.0059058i,-0.01002+0.0024645i
0.0086068+0.010741i,0.013014+0.011044i,0.012822+0.013562i,-0.0021662+0.018258i,0.010273+0.026001i,0.018719+0.015448i,-0.0036781+0.028191i,0.00028021+0.02064i,0.011021+0.0013305i,-0.001223-0.0022975i,0.002357+0.00017407i,0.00074091-0.0056151i,0.00099786-0.0033302i,0.0015401-0.0034695i,-0.00107-0.00061472i,-0.00059139-0.0042314i,-0.0066526-0.00018077i,0.0012714+0.0029073i,0.0022022-0.00053574i,0.0018308+0.00076397i,-0.0016587+0.00088176i,0.0013439-0.00044009i,0.0024495-0.0017062i,-0.0098187+0.00056981i,-3.8631e-05+0.00018991i,-0.00049494+0.0021385i,-0.00053941+0.0015968i,-0.00057603+0.0017645i,-0.001794+0.00058035i,0.00030583-0.0015748i,-0.0011579+0.0047123i,-0.00070252-0.0005806i,-0.0017926+0.00038964i,-0.0018088-0.00079883i,-0.0018095+0.0019489i,0.0015085-0.0034475i,8.4694e-06+0.0014642i,0.0010113-0.00052594i,-0.0036449+0.01029i,0.0031237-0.00011242i,0.00037822+0.00089105i,-0.00045026+0.0013415i,-0.0023085-0.00078969i,0.0060812+0.003368i,0.014192-0.0037972i,0.0015662-0.070488i,-0.0088971+0.016436i,-0.0035569-0.033392i,-0.035428-0.01947i,-0.0057367+0.006719i,-0.010165+0.041844i,-0.010124+0.012831i,-0.0066725-0.0058042i,-0.0070975-0.015279i,-0.041871+0.0085504i,-0.0066753+0.0044075i,-0.010213+0.030688i,0.0058001+0.0074976i,-0.00028158+0.00073986i,-0.019964-0.0035692i,-0.002467+0.0071078i,-0.010869+0.0072559i,0.012306+0.0018033i,0.0043723+0.010861i,-0.0017518+0.004649i,0.0041159+0.0046929i,0.00481+0.0019464i,0.0088513+0.0098122i,0.0078776+0.0054993i,-0.0077914-0.0033645i,0.0036056-0.0068934i,0.0097548+0.00014689i,-0.0022426+0.0065967i,0.0023488+0.0025207i,-0.010745-0.047595i,0.014126-0.003055i,0.0074407-0.007185i,0.0022167-0.0046552i,0.00089846-0.0032833i,0.013615-0.016161i,7.9145e-05-0.001318i,-0.0015295-0.0015744i,-0.00082159+0.00075973i,0.0090218-0.0054094i,0.010521-0.0017511i,0.0035162-0.0041311i,0.013722-0.00044953i,0.0028825+0.0049977i,0.011501+0.0011339i,-0.021626-0.0043691i,-0.016537-0.020172i,-0.0064856-0.014183i,-0.0073098-0.0037243i,-0.026727+0.026437i,-0.0031229+0.00079564i,-0.0087628-0.0010287i
0.011317+0.0078673i,0.014463+0.0078461i,0.013326+0.0087633i,0.00048586+0.018051i,0.015178+0.021196i,0.020709+0.011054i,0.0016666+0.02841i,0.0035757+0.018411i,0.0093675-0.0001743i,-0.001822-0.0017646i,0.0030396-0.0011071i,-0.0014721-0.0042278i,-0.00044203-0.0033796i,-0.00044617-0.0032241i,-0.001191-0.00019189i,-0.001749-0.00075152i,-0.0051292+0.0033357i,0.0022346+0.0016379i,0.001498-0.0013197i,0.0021811-0.00056918i,-0.00071041+0.00086428i,0.0018101-0.0012702i,0.0018601-0.0028165i,-0.009129+0.0033903i,0.00044103+0.00015194i,0.0016225+0.0011577i,0.0002593+0.001155i,0.00039956+0.0014654i,-0.0010288+0.0012213i,-0.00026969-0.0011656i,0.0004613+0.0042921i,-0.0010683-0.00010039i,-0.0015676+0.0011431i,-0.0021154+0.00040084i,-0.00081669+0.0024632i,0.0015278-0.0050616i,0.00080695+0.0012117i,0.00052677-0.00083187i,9.4602e-06+0.00062944i,0.0027987-0.00099419i,0.00079403+0.00052711i,0.00054546+0.0010996i,-0.0026842-6.7724e-05i,0.004604-9.8287e-05i,0.012413-0.0069037i,-0.018223-0.058919i,0.00068815+0.012578i,-0.013107-0.030857i,-0.038599-0.0118i,-7.8011e-05+0.0043858i,0.0032349+0.035594i,0.00032337+0.0069494i,-0.0074178-0.0067605i,-0.007433-0.011863i,-0.035014+0.018791i,-0.0053234+0.0055968i,0.0016293+0.029045i,0.0084129+0.0035i,-0.004217+0.0015528i,-0.022933+0.0075732i,-0.0014612+0.009622i,-0.0079834+0.0083794i,0.009031-0.0037451i,0.0085322+0.0090248i,-0.00051775+0.0071381i,0.0036278+0.0045452i,0.0057241-0.0014731i,0.0077457+0.0036594i,0.0056967+0.0022374i,-0.0052913+0.0018335i,0.001517-0.006281i,0.008927-0.0026i,0.0051497+0.0072504i,0.0040872+0.00078985i,-0.016277-0.015298i,0.010696-0.0080915i,0.0037162-0.010078i,0.0013482-0.0032003i,0.00053688-0.0040932i,0.0056843-0.017488i,0.0030066+0.00037288i,-0.0049136+0.0010725i,0.0022369+0.0025499i,0.0073994-0.0055699i,0.0089317-0.0066701i,0.0014411-0.0047659i,0.010254-0.0078786i,0.0034905+0.0016073i,0.010389-0.0036153i,-0.016708+0.0035748i,-0.027247-0.018347i,-0.010227-0.018037i,-0.0079681-0.005557i,-0.016442+0.026682i,-0.0082422-3.4302e-05i,-0.012047-4.2164e-05i
0.012599+0.0044904i,0.014915+0.0042811i,0.012362+0.0049072i,0.0036886+0.017224i,0.018095+0.01581i,0.021431+0.0065369i,0.0072725+0.026812i,0.0058688+0.016235i,0.0085933-0.0010506i,-0.0020585-0.0010129i,0.0021471-0.0023602i,-0.0022959-0.0026223i,-0.0016828-0.0028871i,-0.00094711-0.002007i,-0.0013688+0.00064991i,-0.00090551+0.0018232i,-0.0026033+0.0053179i,0.002271+0.00067989i,0.0012718-0.001325i,0.0016013-0.0013352i,-0.00040313+0.00071539i,0.0014349-0.0020693i,0.00053254-0.003417i,-0.0063447+0.0050386i,0.00054755-0.00037945i,0.0014338-0.0010765i,0.00059014+0.00046103i,0.0010002+0.00083387i,-0.00059168+0.0013951i,0.00019356-0.00079295i,0.002221+0.0038246i,-0.00088993+0.00014461i,-0.00099767+0.0018338i,-0.0017905+0.0013976i,-0.00022021+0.0023595i,-0.00019072-0.0063128i,0.0010343+0.00050648i,0.00010635-0.00069531i,0.00068369-0.001143i,0.0021667-0.0014842i,0.00079036+7.6595e-07i,0.00084362+0.00044408i,-0.002134+0.001122i,0.0020097+0.0003499i,0.010591-0.0090254i,-0.024805-0.041735i,0.005079+0.0062918i,-0.021324-0.025243i,-0.036312+0.0051218i,0.0027545-0.00087591i,0.015711+0.027507i,0.0041307-0.00050313i,-0.0070157-0.0080067i,-0.0055498-0.011265i,-0.027383+0.026765i,-0.0035969+0.0059029i,0.012536+0.024602i,0.0075974-5.5418e-05i,-0.0060199+0.0053679i,-0.019733+0.017217i,0.001757+0.011256i,-0.0042433+0.010858i,0.0034515-0.0045413i,0.011069+0.0057498i,0.0020777+0.0083331i,0.0045768+0.004599i,0.0053003-0.0043079i,0.0040472+0.0033553i,0.0035643+0.0028733i,-0.0036588+0.0032794i,0.00016248-0.0046922i,0.0075844-0.0052687i,0.0089951+0.002598i,0.0042838-0.001517i,-0.016033-0.016562i,0.0063103-0.010577i,-0.00038627-0.0089952i,0.0026589-0.0029804i,-0.00095706-0.0036349i,0.00019845-0.016014i,0.004471-0.0020911i,-0.002371+0.0033795i,0.005069+0.00067185i,0.006813-0.0061799i,0.0055019-0.010793i,0.00089562-0.0042869i,0.0041576-0.011385i,0.0024121-3.6059e-05i,0.0059524-0.0077507i,-0.010364+0.0047461i,-0.038264-0.0085032i,-0.016186-0.017813i,-0.0090917-0.0066096i,-0.0093177+0.026358i,-0.012322+0.003249i,-0.011094+0.0040684i
0.012913+0.0010333i,0.014346+0.0012332i,0.010879+0.0026026i,0.0065836+0.015363i,0.018959+0.010235i,0.021771+0.0024512i,0.012522+0.023514i,0.0078244+0.013913i,0.0084259-0.0023545i,-0.0020174-0.00057787i,0.00047785-0.0027749i,-0.0024939-0.0012794i,-0.0027947-0.0018395i,-0.00095736-0.0016433i,-0.001375+0.001149i,0.00069129+0.0031642i,0.0005072+0.0057819i,0.0023505-0.00024212i,0.00065886-0.001844i,0.00073486-0.0013441i,0.00032911+0.00066242i,0.00090102-0.0027264i,-0.00064991-0.0033245i,-0.0049925+0.0046358i,8.9582e-05-0.000495i,0.00034589-0.0021914i,0.00046611-0.000208i,0.0012992-0.00014667i,0.0004171+0.0013722i,0.0002391-0.0013666i,0.0044529+0.0020602i,-0.00084305+0.00016741i,-1.2753e-05+0.0021205i,-0.00099793+0.0018178i,0.00015326+0.0025876i,-0.0022393-0.0066301i,0.0010058-4.3555e-05i,-3.388e-05-0.00062969i,0.0001646-0.0013412i,0.0013262-0.0015813i,0.00057678-0.00014088i,0.00082948+0.0001259i,-0.0013514+0.00058299i,0.0013205+0.0019924i,0.0086168-0.010108i,-0.025922-0.034101i,0.0061381+0.0014658i,-0.025381-0.015962i,-0.036511+0.017087i,-0.00038272-0.0059222i,0.019878+0.019385i,0.0052402-0.007167i,-0.0065104-0.0077632i,-0.0057973-0.011031i,-0.019638+0.03034i,-0.0031172+0.0064437i,0.018972+0.01221i,0.006178-0.0028004i,-0.0045267+0.0093813i,-0.011446+0.024321i,0.0061001+0.0099496i,0.0020171+0.0094059i,0.0013728-0.0025182i,0.013576+0.00099845i,0.0051684+0.0083058i,0.005833+0.0039749i,0.00054598-0.0080433i,0.0041115+0.0055902i,0.0043608+0.0046868i,-0.0012787+0.0062121i,0.00076073-0.0039788i,0.0056929-0.0067854i,0.0097291-0.0027416i,0.0036561-0.0037321i,-0.022206-0.01504i,0.0021071-0.011016i,-0.0041584-0.0081797i,0.001173-0.0043053i,-0.0015136-0.0022071i,-0.0028997-0.012559i,0.0032081-0.0040756i,0.00037997+0.0033466i,0.0054179-0.0032704i,0.0038497-0.0076475i,-0.0022393-0.011222i,0.00012753-0.0053817i,-0.0022941-0.0089899i,0.0019975-0.0011845i,0.00026347-0.0074046i,-0.0075833+0.004136i,-0.034988+0.00979i,-0.021862-0.01556i,-0.01134-0.0063108i,-0.0053965+0.025559i,-0.011334+0.0091822i,-0.0062392+0.0047671i
0.012203-0.0021655i,0.013557-0.0010749i,0.0095749+0.0012749i,0.0086874+0.012659i,0.018187+0.0059759i,0.021729-0.0019511i,0.016635+0.018932i,0.0090622+0.011688i,0.0080411-0.0035671i,-0.0021223+5.9428e-05i,-0.00073439-0.0019603i,-0.0019247-0.00018369i,-0.0032619-0.00046255i,-0.0014812-0.0019928i,-0.0011817+0.0017023i,0.0022132+0.0034461i,0.0034233+0.0047829i,0.0017614-0.00055484i,0.00020041-0.0016877i,-0.00013239-0.0010903i,0.00083148+0.00030078i,-0.00011066-0.0031713i,-0.0016154-0.002765i,-0.0046306+0.0056405i,-0.00017313-0.00073621i,-0.00090914-0.0020424i,0.00015334-0.00060148i,0.00081856-0.0011583i,0.0010555+0.00057354i,-0.00059091-0.002001i,0.0052275+8.9653e-05i,-0.00059104+0.00063696i,0.0010658+0.0017337i,-0.00044922+0.0018494i,0.0011079+0.0019912i,-0.0046348-0.006427i,0.00097742-0.00057264i,-0.00038611-0.00077139i,-9.3323e-05-0.0013017i,0.00079023-0.0013995i,0.00052325-0.00026185i,0.0008601-0.00015361i,-0.0014776+0.0004262i,0.0021153+0.0025536i,0.0075423-0.01156i,-0.028333-0.033057i,0.0064863-0.0016915i,-0.023915-0.0078103i,-0.027548+0.026414i,-0.0033084-0.0062455i,0.022275+0.011244i,0.0029797-0.012942i,-0.0054456-0.0087614i,-0.0050066-0.0098417i,-0.011851+0.032846i,-0.0010187+0.006581i,0.013252+0.00081353i,0.0031802-0.0050809i,-0.0011428+0.011489i,-0.0022729+0.024838i,0.0079808+0.0064223i,0.0037916+0.0054786i,0.0013935-0.0014396i,0.01313-0.0037304i,0.010226+0.0062825i,0.0069807+0.0033799i,-0.004233-0.0041945i,0.0063364+0.0059484i,0.0065561+0.0049361i,0.0026641+0.0062018i,-0.00032757-0.0043744i,0.0037374-0.0084163i,0.00772-0.0088565i,0.00036453-0.0047972i,-0.028988-0.0076079i,-0.0014111-0.010477i,-0.0063247-0.0038544i,0.0010077-0.0026683i,-0.0016425-0.0016246i,-0.004441-0.012208i,0.00087269-0.0052157i,0.0017745+0.001576i,0.0026547-0.0048907i,0.0012357-0.0080321i,-0.0061054-0.007033i,-0.0027274-0.0055858i,-0.0034864-0.0054036i,0.00023866-0.0020094i,-0.0019725-0.0045293i,-0.0044594+0.0040444i,-0.025388+0.011518i,-0.022536-0.010883i,-0.01312-0.0048842i,-0.00016357+0.02396i,-0.009252+0.011353i,-0.0047046+0.0030051i
0.010836-0.0046095i,0.012911-0.0029703i,0.0087078+0.00084964i,0.010046+0.010244i,0.016898+0.0030091i,0.020516-0.0061689i,0.019518+0.013738i,0.010117+0.0098097i,0.0075856-0.0051683i,-0.0017047+0.00067336i,-0.00070209-0.0010674i,-0.0011919-6.6045e-05i,-0.0032971+0.00099747i,-0.0028599-0.0012489i,-0.00062622+0.0023279i,0.0037753+0.0025776i,0.0051303+0.0024188i,0.0017359-0.00060074i,-9.1927e-05-0.0016129i,-0.00071772-0.0008155i,0.0010556-0.00036456i,-0.0011475-0.0027003i,-0.0022246-0.0019788i,-0.0029566+0.0068538i,-0.00073825-0.00076136i,-0.001501-0.0011278i,-0.00040611-0.00095441i,-0.00030398-0.0016286i,0.0010103-0.00034253i,-0.0015583-0.0018847i,0.008047-0.0033836i,5.167e-06+0.00034844i,0.0014481+0.00081095i,-6.2884e-05+0.0018919i,0.0012087+0.0010897i,-0.0079434-0.0043177i,0.00046406-0.0011943i,-0.00089093-0.00064512i,-0.00081193-0.001494i,0.0005472-0.0010118i,0.00045693-0.00038088i,0.00079805-0.00040313i,-0.0017556+0.00038849i,0.0030686+0.0027267i,0.0057206-0.013686i,-0.033303-0.028735i,0.0055817-0.0055592i,-0.022229-0.0020274i,-0.015624+0.029772i,-0.0066942-0.0060962i,0.023589+0.0026483i,0.00037652-0.015861i,-0.0055725-0.010086i,-0.0033449-0.0078438i,-0.0027809+0.034424i,0.0012719+0.005628i,0.0074373-0.00056382i,0.00023611-0.0056848i,0.0037501+0.012824i,0.005688+0.021486i,0.0079249+0.0033505i,0.0051074+0.0019118i,0.00054222-0.0007976i,0.010077-0.0088771i,0.012723+0.0012479i,0.0089519+0.002023i,-0.0045454-0.0012543i,0.0086639+0.0054507i,0.0084918+0.0040224i,0.0061646+0.0036283i,-0.001234-0.0037586i,0.001822-0.0094019i,0.0023272-0.012004i,-0.0012315-0.0028835i,-0.031183+0.0026792i,-0.0041337-0.0092496i,-0.0060006-0.0010675i,0.00146-0.0025935i,-0.0020096-0.0010542i,-0.0081014-0.01169i,-0.0016658-0.005186i,0.0028226+0.00064008i,0.0007086-0.0050206i,-0.0005817-0.0074824i,-0.0081103-0.0040821i,-0.0052306-0.0032337i,-0.0044479-0.0013848i,-0.00027723-0.0017928i,-0.0023588-0.0025478i,-0.0018237+0.0031511i,-0.024545+0.011711i,-0.02175-0.0088146i,-0.013832-0.0027077i,0.0016743+0.022746i,-0.0075273+0.012114i,-0.0035224+0.0019746i
0.0094165-0.0064282i,0.012405-0.0050745i,0.0087806+0.00036647i,0.010975+0.0079277i,0.016258+0.0011603i,0.018416-0.0097809i,0.020786+0.0075746i,0.011133+0.007925i,0.0065592-0.0066845i,-0.0013353+0.00080567i,-0.00087676-0.0011129i,-0.0012155-0.0004629i,-0.0025946+0.0023451i,-0.0030815+0.00016611i,0.00023748+0.0025859i,0.0042769+0.0010753i,0.0050335-4.8886e-05i,0.0013111-0.0010834i,-0.00057614-0.0013857i,-0.00068714-0.00045377i,0.00095728-0.0011771i,-0.0015228-0.0021198i,-0.0024154-0.0011163i,-0.00047901+0.0072068i,-0.0012205-0.00060894i,-0.0021984-0.00022825i,-0.0012425-0.0008991i,-0.0013985-0.00132i,0.00056828-0.0012019i,-0.0023441-0.0012394i,-0.00039232-0.0042652i,-0.00024489+0.00028821i,0.0012803+0.00017454i,0.00054103+0.0019272i,0.001053+0.00078088i,-0.009954-0.00035189i,-0.00037676-0.0013823i,-0.0011499-0.00020204i,-0.0015995-0.0011844i,0.0005369-0.00065733i,0.00032716-0.00040857i,0.00068026-0.00064816i,-0.0019+0.0007506i,0.0041369+0.0023499i,0.0026601-0.01475i,-0.037594-0.020135i,0.003618-0.008341i,-0.016874+0.0036096i,-0.0046633+0.03074i,-0.0089646-0.0019202i,0.02307-0.0065457i,0.00068207-0.019506i,-0.0058758-0.010732i,-9.5266e-05-0.0042413i,0.0068072+0.033448i,0.0015048+0.0032944i,0.0046961-0.0013571i,-0.0033267-0.0053355i,0.0099313+0.010165i,0.009273+0.016367i,0.005334+0.0010847i,0.0042966-0.0031263i,0.0013251+0.0018692i,0.0044973-0.01135i,0.012737-0.0051459i,0.0098004-0.00094356i,-0.0049082+0.0017583i,0.011966+0.0036793i,0.011386+0.00081588i,0.0067449-0.00067438i,-0.001564-0.0031974i,-0.00090107-0.0096206i,-0.0056237-0.0092343i,-0.00074932-0.0012535i,-0.028202+0.013933i,-0.0063778-0.0081162i,-0.0047578+0.0016584i,0.001418-0.0051193i,-0.0019753+0.00039032i,-0.012014-0.0088034i,-0.0041109-0.0031061i,0.0029334-0.001656i,-0.00095895-0.0045172i,-0.0023261-0.0071808i,-0.0081755+0.00081956i,-0.0055219+0.00020527i,-0.0086424-0.0025383i,-0.00096069-0.0027822i,-0.0018808-0.0019633i,0.00028426+0.0022412i,-0.023912+0.018849i,-0.02228-0.0098262i,-0.011171-0.00040794i,0.0059376+0.022146i,-0.0064439+0.014157i,-0.0022376-0.00084644i
0.0080416-0.0079251i,0.011298-0.0071885i,0.0091546-0.00088779i,0.011333+0.0053736i,0.016142-0.00085506i,0.015991-0.012562i,0.019891+0.0020598i,0.011865+0.0058268i,0.0055014-0.0078023i,-0.0013512+0.00108i,-0.0013862-0.00071844i,-0.0017702-0.00037008i,-0.0016102+0.0030757i,-0.0027803+0.0014477i,0.0010182+0.0024069i,0.0035725-0.00020135i,0.0040046-0.0017421i,0.00075958-0.0010735i,-0.00070579-0.0010003i,-0.00041598-0.00029277i,0.00077104-0.0017899i,-0.0017265-0.0017173i,-0.0021448-0.00045373i,0.0019176+0.0069339i,-0.0016404-0.00030357i,-0.0023596+0.00089682i,-0.0019331-0.00030051i,-0.0020784-0.00053405i,-0.00042354-0.0016851i,-0.0030791-0.00032384i,6.6672e-05-0.0018858i,-0.00030056+0.00076929i,0.0010526-0.00023259i,0.0014978+0.0016528i,0.00084385+0.00060542i,-0.010184+0.0036515i,-0.0011506-0.0011876i,-0.0013091+0.00013849i,-0.0020333-0.0003972i,0.00097621-0.0003216i,0.00037413-0.00041824i,0.00060424-0.00084662i,-0.0018565+0.0011744i,0.0049422+0.0012337i,0.00017633-0.014314i,-0.036091-0.0090094i,0.00018546-0.0099801i,-0.010864+0.0043901i,0.0061829+0.028303i,-0.0074666+0.0032571i,0.018456-0.014647i,-0.0021137-0.025799i,-0.0060832-0.0095494i,0.0017898-0.0024184i,0.015506+0.026534i,0.00075114+0.0021932i,0.0017066-0.001532i,-0.0057252-0.0027711i,0.012942+0.0042011i,0.01226+0.013891i,0.0020529+0.0014841i,0.00080811-0.0069725i,0.0047611+0.0011135i,-0.0010693-0.010432i,0.0086572-0.0098419i,0.0091813-0.0039611i,-0.0043867+0.0038836i,0.013992-0.0018596i,0.0099431-0.00472i,0.0054853-0.0046208i,-0.0020124-0.0029033i,-0.0038771-0.0089308i,-0.0060846-0.0063812i,0.00030574-0.0014274i,-0.021548+0.024783i,-0.0092697-0.0061862i,-0.0024818+0.0031281i,-0.0014576-0.0060375i,-0.00076175+0.0011598i,-0.014846-0.0038978i,-0.0039954+4.2743e-05i,0.0011193-0.0033619i,-0.0027408-0.0035696i,-0.0043165-0.0057409i,-0.005795+0.0037102i,-0.0037148+0.0022541i,-0.0078976+0.002826i,-0.0039224-0.0025463i,-0.0022358-0.0019353i,0.0041992+0.0012445i,-0.013099+0.024901i,-0.026701-0.008925i,-0.011345-0.0016644i,0.0083486+0.019676i,-0.0034523+0.015955i,-0.0034759-0.0044453i
