-0.023853-0.037677i,-0.01192-0.049822i,-0.018352-0.044612i,-0.0312-0.035701i,-0.030023-0.016044i,-0.050522-0.02739i,-0.057925-0.025302i,-0.044368-0.037253i,-0.026996-0.032734i,0.0080871+0.011566i,-0.0059688+0.015526i,-0.0046547+0.014238i,0.010167+0.020519i,0.00053931+0.0044168i,0.0033936+0.0034621i,0.0065393+0.017394i,0.023247+0.039776i,-0.0023698-0.0014944i,-0.004929-0.0056185i,0.0072682+0.0029876i,-0.00013469-0.00079739i,-0.00085206+0.001634i,0.00013157-0.00038138i,-0.029246-0.0025337i,-0.0021056-0.0063752i,0.00094416+0.004388i,0.0032174-0.0001031i,-0.00033602+0.00068373i,0.00057807-0.000468i,-0.0007898-0.0025512i,-0.0016614-0.0060459i,-0.0046004-0.004203i,-0.0025719-0.0048513i,0.0023978-0.00028573i,0.001931-0.0030172i,-0.00019335+0.026624i,0.0016678-0.0032977i,0.0027692+0.00086123i,0.0054343+0.00099846i,-0.010493-0.0025278i,-0.0036391+0.00022406i,0.0055019-0.00049847i,0.0059267-0.00014275i,-0.0036643+0.0050519i,0.001337-0.0094138i,-0.012021+0.018092i,0.035046-0.091105i,0.012391-0.07047i,-0.016084-0.059377i,-0.016603-0.055267i,0.039248-0.046064i,0.016871-0.062589i,0.034096-0.055404i,0.030499-0.059954i,0.015461-0.013762i,0.0043111+0.016364i,0.016583-0.026399i,-0.011277+0.0061133i,-0.000654+0.0052287i,-0.0051306-0.0013237i,-0.0018473-0.028508i,-0.024308+0.031311i,0.0098821-0.011523i,-0.013159-0.0020972i,-1.1789e-05-0.0049434i,-0.0011358-0.016269i,-0.0074574+0.0045959i,0.0050547+0.0063012i,-0.0083244+0.030248i,0.0051696+0.0061508i,-0.0049487-0.00060567i,-0.0031157-0.00038592i,-0.012494-0.0074555i,-0.00077279-0.0042466i,-0.025199+0.0029566i,0.00030469-0.010047i,-0.0097503-0.0011816i,-0.0066566-0.0026462i,0.0070471+0.0029457i,-0.0080206+0.0011676i,-3.8582e-05+0.00080497i,0.0069601+0.010869i,0.0038534+0.0013947i,-0.0094407-0.009853i,0.003087+0.0082232i,-0.020524+0.0062157i,0.0084153+0.00061816i,-0.029087-0.0034545i,-0.042114+0.0022054i,0.018421-0.09586i,-0.0020443-0.012091i,-0.053411-0.022285i,-0.02357+0.00018275i,0.017915+0.010389i,-0.025587+0.012967i,-0.018355-0.013263i
0.0084346+0.021413i,0.014453+0.051364i,0.02457+0.0342i,0.017557+0.027235i,0.024656+0.026777i,0.032561-0.014614i,0.017623-0.0090297i,0.02981+0.0053869i,0.01217+0.013279i,0.0029015+0.0042269i,0.0048397+0.002651i,0.0043276+0.0033733i,0.0059969+0.0026954i,0.0049843+0.0036586i,0.0029826-0.0033313i,0.0080108-0.0014805i,0.011329-0.0040814i,-0.0016316-0.0010916i,-0.0033873+0.00028569i,5.9138e-05+0.0013059i,-0.0010933-0.00017482i,-0.002758+0.0011449i,-0.0018764+0.00098633i,0.0046443+0.007627i,0.0015156+0.00088829i,0.0023106+0.00048315i,0.0018711+0.0011486i,0.0010709+0.0013201i,0.00059855+3.4925e-05i,-0.00041521+0.00090366i,-0.0018802-0.0032995i,-0.00079044-0.00042394i,-0.00091141+0.00086157i,-0.0012065+0.00013397i,-0.00054943-0.0013331i,-0.0071653+0.0072581i,0.0011353+0.00023088i,0.0015139-0.00054722i,-0.00093601+0.002541i,0.00017936-0.0036118i,-0.0010689+0.00036786i,-0.0022152-0.00041019i,0.001934+0.00055047i,0.0064898+0.0051536i,-0.012213+0.033116i,-0.080718+0.034446i,-0.051657+0.038127i,-0.036869+0.059273i,-0.018592+0.072587i,-0.0086745+0.051494i,0.01122+0.037079i,0.0032889-0.0019981i,-0.036187+0.0091366i,-0.045888+0.019183i,0.0018995+0.023789i,-0.0082016+0.0022437i,-0.010534-0.00043424i,-0.013686-0.0027041i,0.0024365+0.00048745i,0.005992+0.0095703i,-0.0019217+0.0085385i,-0.0059418-0.012092i,0.0056516-0.006868i,-0.0063213-0.0065039i,0.0019756-0.0064812i,0.0036266-0.0040273i,-0.0017991+0.010018i,0.0097326-0.004143i,0.0053969-0.0052152i,0.0027804-0.0070058i,0.0030412-0.00029725i,-0.0013582-0.0047285i,-0.0034651-0.00064619i,0.002475-0.00038576i,-0.0050604+0.027929i,-0.0043286-0.0042466i,0.0021206+0.00039369i,0.00028435-0.0062263i,0.0023583-0.0013625i,-0.013964-0.0023381i,0.00050153+0.00010677i,0.0054153-0.0033399i,0.0032629-0.0010881i,0.00075011-0.0041205i,-0.00024529+0.0061927i,-0.00072234+0.0067746i,-0.0031344+0.0039914i,-0.011878+0.0030192i,-0.014886-0.0022847i,-0.039131+0.057247i,0.00056408+0.0051069i,-0.024913-0.017557i,-0.011793-0.0043844i,0.0095178+0.019926i,-0.00093694+0.02295i,-0.00065122-0.00078817i
0.011053+0.017714i,0.022748+0.046757i,0.029866+0.029957i,0.022398+0.024822i,0.030458+0.022747i,0.029212-0.02038i,0.014835-0.012416i,0.030101-0.00028448i,0.014116+0.010374i,0.0040702+0.0028982i,0.0053814+0.0016195i,0.0043201+0.0031587i,0.0060948+0.0015517i,0.0056201+0.0023399i,0.0018936-0.0038279i,0.0066464-0.0029719i,0.0087837-0.007441i,-0.0012155-0.00086725i,-0.002896+0.00026863i,0.00065722+0.00046957i,-0.0013209-0.00022571i,-0.002462+0.001772i,-0.0015196+0.0010491i,0.0080324+0.0049928i,0.0014405+0.0010595i,0.0026628-0.00055342i,0.0019533+0.00010492i,0.0015181+0.00047141i,0.00023352-1.6284e-05i,-0.00031348+0.00096756i,-0.003079-0.0019576i,-0.0012964-0.00045376i,-0.00064092+0.0010383i,-0.0010404+0.00063045i,-0.0010704-0.00036009i,-0.0044209+0.0087202i,0.00091077-0.00027441i,0.0010957-0.00085007i,0.00054091+0.0021584i,-0.0011018-0.0032079i,-0.00092131+0.00044019i,-0.0023792+0.00031738i,0.0015784+0.00056959i,0.0071034+0.0041592i,-0.0060211+0.034117i,-0.069171+0.048272i,-0.047522+0.047373i,-0.027115+0.063058i,-0.0025905+0.069976i,0.0022108+0.049605i,0.010859+0.031926i,-0.0025853-0.006439i,-0.037163+0.011088i,-0.036956+0.021313i,0.0076086+0.021596i,-0.0085038+0.004808i,-0.009733+0.0051042i,-0.014037+0.0014693i,0.001338-0.0008804i,0.0078754+0.0088i,0.0023322+0.01156i,-0.011958-0.010242i,0.00098796-0.0076761i,-0.0059779-0.0029012i,-0.0015557-0.006005i,0.0014942-0.0053548i,0.0027398+0.0078893i,0.0062901-0.0065994i,0.0015824-0.0059094i,-0.00016941-0.0041744i,0.0040039-0.0012478i,-0.0027058-0.0037481i,-0.0014946+0.0013588i,0.0027225-0.00076557i,0.0075814+0.022265i,-0.0053687-0.003368i,0.0025875-0.0018226i,-0.0027766-0.0057371i,0.002714-0.0022634i,-0.013008+0.0034479i,0.00090944+0.00061088i,0.003314-0.0030251i,0.0031817-0.0025752i,-1.1284e-06-0.003865i,0.0015931+0.0028931i,0.0022584+0.0053043i,-0.00063166+0.0051484i,-0.010605+0.0066031i,-0.016345+0.0009804i,-0.027807+0.058301i,0.001239+0.0058983i,-0.029061-0.012011i,-0.011087-0.009146i,0.012326+0.018449i,0.00318+0.024289i,-0.0032879-0.0022203i
0.012376+0.014731i,0.029045+0.040211i,0.035292+0.023388i,0.028055+0.019932i,0.036125+0.017059i,0.024537-0.025724i,0.011261-0.015347i,0.029392-0.006216i,0.015746+0.0075004i,0.0041725+0.0014231i,0.0053893-9.2277e-05i,0.0051412+0.0028489i,0.005955-4.5894e-05i,0.0059764+0.00058468i,0.00070206-0.0039703i,0.0050345-0.0039939i,0.005191-0.0093638i,-0.0015302-0.00095401i,-0.0020049+0.00084644i,0.00046279-0.0005459i,-0.001803-0.00016606i,-0.0018807+0.0024246i,-0.0014211+0.0011772i,0.0087662+0.0007972i,0.0020694+0.00046441i,0.0019244-0.0015853i,0.0015589-0.00064875i,0.0012444+4.8785e-05i,0.00018677+0.00010378i,-0.00015919+0.0010994i,-0.0036556-0.00024216i,-0.0019321+0.00048742i,-0.00013521+0.0013323i,-0.00054102+0.0010654i,-0.00082297+0.00038062i,-0.0013597+0.0092523i,0.00067805-0.00037736i,0.00068567-0.0011667i,0.0011044+0.0013275i,-0.0023672-0.0024953i,-0.00082367+0.00050712i,-0.0021138+0.0010418i,0.001497+0.00094229i,0.0082385+0.003015i,0.0012645+0.033726i,-0.056817+0.058764i,-0.038746+0.055621i,-0.016102+0.064035i,0.011784+0.063105i,0.012033+0.047569i,0.010691+0.028305i,-0.008092-0.0069844i,-0.037926+0.01613i,-0.029675+0.020386i,0.012097+0.017116i,-0.0077343+0.0070097i,-0.0076346+0.0080969i,-0.012708+0.0043421i,-0.00059387-0.0026125i,0.0099543+0.006959i,0.0075538+0.010858i,-0.016323-0.0057115i,-0.0012908-0.005485i,-0.0052723-0.0002484i,-0.0032999-0.0039355i,-0.0011521-0.0048116i,0.004917+0.0067271i,0.0039475-0.0071134i,-0.0022017-0.0047897i,1.805e-05-0.0019366i,0.0038272-0.0038267i,-0.0046602-0.0023535i,-3.4506e-05+0.00091796i,0.0021962-0.0015987i,0.014533+0.018229i,-0.0069371-0.001234i,0.0021925-0.00287i,-0.0031072-0.0039187i,0.0030817-0.0037822i,-0.0091496+0.00813i,0.0021291+0.0005557i,0.0020847-0.0035005i,0.0017219-0.0030451i,0.00011963-0.0041194i,0.0008326+0.0019729i,0.0038518+0.0032593i,0.0018105+0.0049338i,-0.0083157+0.0087219i,-0.016871+0.0059422i,-0.019173+0.057476i,0.0048844+0.0057041i,-0.030276-0.0060394i,-0.014382-0.010494i,0.016258+0.015024i,0.009322+0.024401i,-0.005479-0.0016717i
0.013173+0.012328i,0.032608+0.03392i,0.037858+0.01571i,0.031567+0.01258i,0.04003+0.0089062i,0.018466-0.029525i,0.0070138-0.016972i,0.027062-0.011639i,0.016777+0.0043073i,0.0037364+0.00059572i,0.004683-0.00087966i,0.0059737+0.0018064i,0.0050835-0.00092819i,0.0054531-0.001045i,-0.00059486-0.0037517i,0.0034444-0.0042806i,0.0012923-0.0086633i,-0.0016518-0.00054588i,-0.0010203+0.0017599i,-0.00038409-0.00092857i,-0.002094+0.0006725i,-0.0011042+0.0029598i,-0.0012983+0.0014699i,0.0074391-0.0026438i,0.0017928-0.000364i,0.00096183-0.0017331i,0.0010106-0.00093951i,0.0010319-0.00078363i,0.00025493-3.7319e-05i,0.00026196+0.0013507i,-0.0033903+0.001614i,-0.0013567+0.0013709i,0.00043618+0.0011315i,-0.00016201+0.001064i,-0.0004024+0.00085348i,0.001336+0.0092249i,0.00047664-0.0005438i,0.00015482-0.0014189i,0.0011295+0.00094189i,-0.0028791-0.0014328i,-0.00074789+0.00068776i,-0.0017935+0.0014282i,0.0020437+0.0011899i,0.0093619+0.0011562i,0.0078623+0.030582i,-0.041864+0.066639i,-0.029216+0.061271i,-0.0073056+0.063485i,0.023958+0.052298i,0.021975+0.041444i,0.0094935+0.026605i,-0.014423-0.0052014i,-0.037107+0.023002i,-0.025538+0.018006i,0.015245+0.011314i,-0.0059211+0.0096524i,-0.0043947+0.01152i,-0.010766+0.0072573i,-0.004357-0.0016116i,0.011957+0.0038286i,0.011755+0.0078582i,-0.018606+0.00018937i,-0.0022796-0.0042378i,-0.0034436+0.0012034i,-0.0038847-0.0013821i,-0.0025247-0.0034134i,0.0069764+0.0034239i,0.0016553-0.0076211i,-0.0042125-0.0012267i,0.0011145-0.0010405i,0.0016731-0.005759i,-0.0050008-0.00039111i,0.00095198+0.00093855i,0.001956-0.0020525i,0.020156+0.0093843i,-0.0068617+0.0021983i,0.0018222-0.0041677i,-0.0033923-0.0025743i,0.001392-0.0059551i,-0.0040854+0.0092984i,0.0032417-0.00064213i,0.00080313-0.0027813i,0.00081118-0.0028356i,-0.0025525-0.0037131i,0.00060539+0.001955i,0.0036842+0.0010792i,0.0039187+0.0042742i,-0.0056994+0.010071i,-0.015+0.010805i,-0.01161+0.057824i,0.011064+0.0011685i,-0.029386-0.00014662i,-0.019556-0.0096745i,0.017209+0.010154i,0.015996+0.021777i,-0.005357-0.0008895i
0.01447+0.010301i,0.03612+0.028824i,0.039006+0.0088989i,0.03269+0.0051934i,0.041304+0.00016222i,0.012476-0.031818i,0.0029745-0.016888i,0.023995-0.016236i,0.017346+0.00099341i,0.0033658+4.7232e-05i,0.0042076-0.0013892i,0.006552+0.00043596i,0.0045581-0.001171i,0.0045827-0.0022527i,-0.0015703-0.0028585i,0.0022287-0.0038491i,-0.00083411-0.0071876i,-0.0018543-6.3602e-05i,-0.00061397+0.0017081i,-0.0011658-0.00071007i,-0.0018643+0.0012869i,0.0001435+0.0032075i,-0.0010005+0.0018983i,0.0052026-0.0048558i,0.001251-0.00069213i,0.00038186-0.0016787i,0.00061082-0.0011029i,0.00013624-0.00064889i,8.784e-05-3.7796e-05i,0.00096505+0.0012637i,-0.0020969+0.0028675i,-0.00056815+0.0017762i,0.00074469+0.00079364i,0.00030167+0.0013424i,0.00022711+0.000911i,0.0037005+0.0077015i,0.00018802-0.00054316i,-0.00048414-0.0013577i,0.0014731+0.00064193i,-0.0029575-0.00038269i,-0.00052789+0.00067658i,-0.0012675+0.0017465i,0.0027078+0.00096132i,0.0092796-0.0016062i,0.012205+0.026075i,-0.025747+0.06979i,-0.017501+0.065727i,0.0019975+0.063212i,0.030032+0.039194i,0.028067+0.033501i,0.0099718+0.02806i,-0.018288+0.0016509i,-0.033988+0.032435i,-0.024458+0.015843i,0.014586+0.0055315i,-0.0026357+0.011458i,0.00096549+0.011954i,-0.0086345+0.0096819i,-0.0055051+0.0018311i,0.012331-0.001515i,0.014447+0.0030115i,-0.0188+0.006068i,-0.0027477-0.0021727i,-0.0022903+0.0014847i,-0.0026744+0.00020081i,-0.0038608-0.0013248i,0.006659+0.0006282i,-0.00047486-0.0068691i,-0.0033014+0.0025398i,0.0024546-0.0016201i,-0.00095961-0.0060607i,-0.003703+0.0011875i,0.0020999+0.00012928i,0.0015984-0.0024435i,0.020092+0.00074141i,-0.004397+0.004657i,0.00033754-0.0054494i,-0.0027629-0.0019241i,-0.0010228-0.0063818i,-0.00045387+0.0081878i,0.0029514-0.0024829i,0.00089385-0.0013399i,0.00077243-0.002101i,-0.0014038-0.0020264i,0.0012657+0.0022426i,0.0021523-0.00026551i,0.0048837+0.0022957i,-0.003326+0.009878i,-0.011165+0.015256i,-0.0033834+0.057321i,0.012576-0.0096825i,-0.025728+0.0020056i,-0.024464-0.0070865i,0.017878+0.005787i,0.020561+0.015399i,-0.0062073-0.0013741i
0.015859+0.0077429i,0.03971+0.023065i,0.040031+0.0018147i,0.032531-0.0021525i,0.040985-0.0082573i,0.0061703-0.033239i,7.7894e-05-0.016011i,0.020468-0.020017i,0.017409-0.002671i,0.0027421-0.00036201i,0.0041892-0.0018354i,0.0066822-0.0011427i,0.0047675-0.0016215i,0.0035786-0.0030893i,-0.0020703-0.0019966i,0.0016644-0.0031961i,-0.0020817-0.0062004i,-0.0016089+0.00033891i,-0.00032507+0.001683i,-0.0015775-0.00012439i,-0.0013355+0.001801i,0.0014774+0.0027239i,-0.00032052+0.0022029i,0.0022456-0.0056498i,0.0010696-0.0008664i,-0.00019166-0.0015964i,0.00021957-0.0012242i,0.00048078-0.0015426i,-5.8576e-06+9.144e-05i,0.0013738+0.00065966i,-0.00063187+0.0033152i,0.00026687+0.0018131i,0.00086157+0.000497i,0.00096213+0.0011297i,0.00054445+0.00041302i,0.0050659+0.0052264i,4.1878e-05-0.00040188i,-0.00084309-0.00092193i,0.0013728+0.00011485i,-0.0026334+0.00035772i,-0.00040514+0.00070374i,-0.00064668+0.0018146i,0.0032154+0.00048378i,0.0088249-0.0039277i,0.015215+0.021752i,-0.01117+0.06861i,-0.0038504+0.065925i,0.01194+0.061109i,0.032154+0.027221i,0.031675+0.025786i,0.013261+0.030038i,-0.017225+0.010568i,-0.025555+0.042178i,-0.025186+0.016345i,0.012429+0.0023937i,0.0011719+0.011479i,0.004864+0.0099909i,-0.0057473+0.011977i,-0.0046446+0.0041087i,0.0096736-0.0071929i,0.014405-0.0030317i,-0.016442+0.010964i,-0.0019239-0.00080038i,-0.0012584+0.001298i,-0.0016055+0.0004467i,-0.0032641+0.0015344i,0.0054172-0.00099847i,-0.0019354-0.0053989i,-0.00012783+0.0044884i,0.0025558-0.0033436i,-0.0032298-0.004644i,-0.0025463+0.0019235i,0.002421-0.0011195i,0.0015158-0.0026982i,0.016871-0.0071787i,-0.0017488+0.0053995i,-0.001842-0.0054874i,-0.0028407-0.0016139i,-0.0032375-0.0055397i,0.0016979+0.0067209i,0.002478-0.003774i,0.0024751-0.0015296i,0.0011515-0.0027506i,-0.00065486-0.0027628i,0.0024004+0.0021433i,0.00069815+0.00031995i,0.00496+0.0013733i,-0.0019071+0.0092041i,-0.0053325+0.017674i,0.0049206+0.055433i,0.0064735-0.018594i,-0.024077+0.00086284i,-0.028819-0.000955i,0.016519+0.00010841i,0.021645+0.009039i,-0.0072509-0.00024411i
0.016995+0.0048978i,0.042087+0.01647i,0.038962-0.0064177i,0.029968-0.009851i,0.039037-0.017181i,-0.00041999-0.033051i,-0.0019683-0.015098i,0.016326-0.023311i,0.01634-0.0062969i,0.002205+2.3064e-05i,0.0036102-0.0025355i,0.0062662-0.0031914i,0.0046019-0.0028215i,0.0023656-0.0035629i,-0.0023622-0.0010578i,0.001609-0.0029054i,-0.0034051-0.0051638i,-0.001644+0.00073148i,0.00025007+0.0016609i,-0.0018773+0.00060872i,-0.00093495+0.0020264i,0.002327+0.0016488i,0.00027925+0.0022085i,-0.00072971-0.0051665i,0.0006324-0.0014975i,-0.00077786-0.0010819i,-0.00031576-0.001197i,-0.00023265-0.0010318i,0.00020171+0.00020288i,0.0012771+2.8645e-05i,0.00091023+0.0030674i,0.00087216+0.0015906i,0.00080856+0.00016336i,0.00153+0.0010016i,0.00036338-9.5778e-05i,0.0053326+0.0027498i,-0.0001139-0.00029292i,-0.0010606-0.00065111i,0.0012001-0.00024686i,-0.0021341+0.0006952i,-0.00025903+0.0007226i,-4.4926e-05+0.0017322i,0.0036608-0.00048392i,0.007182-0.0069133i,0.017236+0.017502i,0.0016757+0.065119i,0.0081313+0.061761i,0.021816+0.057217i,0.030739+0.017164i,0.033473+0.018815i,0.019013+0.030283i,-0.0099862+0.01653i,-0.012116+0.047351i,-0.025556+0.019802i,0.010387+0.00065983i,0.0041787+0.0099739i,0.0070795+0.0068098i,-0.0020362+0.012933i,-0.0040224+0.0055456i,0.0030784-0.0097618i,0.010821-0.0078818i,-0.013291+0.01486i,-0.00095003-0.0014604i,-0.00090352+0.0006318i,-0.0012006+0.00032978i,-0.00087529+0.0029706i,0.0042226-0.0012625i,-0.0025361-0.0042434i,0.0027969+0.0037574i,0.0012295-0.0050757i,-0.0044422-0.0028255i,-0.0012349+0.0022567i,0.0018157-0.0024416i,0.00099783-0.0035903i,0.011498-0.011807i,0.00047936+0.0050626i,-0.0033315-0.004472i,-0.0026269-0.0012999i,-0.004567-0.0042926i,0.0031961+0.0051028i,0.001612-0.0052746i,0.0031397-0.0031734i,0.00011121-0.0036387i,-0.0015286-0.0034485i,0.0033009+0.0020993i,0.00050012+0.0017989i,0.0058141-0.0013022i,-0.00089217+0.0089935i,0.00028045+0.017076i,0.012593+0.053256i,-0.002447-0.023646i,-0.026527-0.00047325i,-0.029419+0.0076718i,0.011292-0.0036933i,0.021572+0.0031558i,-0.0064768+0.00046566i
0.017858+0.0013915i,0.043956+0.010394i,0.03559-0.013461i,0.024762-0.015593i,0.034273-0.025412i,-0.0061181-0.031182i,-0.0034732-0.014239i,0.011602-0.025481i,0.014898-0.0096234i,0.0026094+0.00058746i,0.0030687-0.0027597i,0.0047709-0.0048061i,0.003991-0.0038946i,0.0013069-0.0035271i,-0.0021517-0.00012638i,0.0014808-0.0027157i,-0.004952-0.00338i,-0.0013424+0.001419i,0.0006273+0.0010932i,-0.0016474+0.0017861i,-0.00033324+0.0023513i,0.0024008+0.00035309i,0.00091491+0.0021013i,-0.0026866-0.0033274i,-0.00050802-0.0014521i,-0.000915-0.00055224i,-0.00073214-0.00096502i,-0.00057203-0.00064567i,0.00030203-4.9988e-05i,0.0010928-0.00035844i,0.0021004+0.0021283i,0.0012799+0.00111i,0.00076001-9.6376e-05i,0.0012778-0.0020067i,7.414e-05+5.4977e-05i,0.0049952+0.00044435i,-0.00016562-0.00015104i,-0.0012885-0.00021528i,0.0010285-0.00049851i,-0.0014703+0.0010091i,-0.00013753+0.00080389i,0.00038897+0.0014661i,0.0033483-0.0017861i,0.0033631-0.0076369i,0.018216+0.013404i,0.012864+0.059061i,0.016613+0.056166i,0.030712+0.0515i,0.027791+0.0099739i,0.033845+0.012472i,0.024883+0.027628i,-0.0022944+0.017174i,0.0019733+0.046735i,-0.023695+0.024315i,0.0094222-0.00018482i,0.0065993+0.007732i,0.0074668+0.003874i,0.0018343+0.012549i,-0.002576+0.0074147i,-0.0027341-0.0080327i,0.006396-0.0095508i,-0.0087271+0.017772i,-0.0016661-0.0021412i,-0.0013296+0.0005623i,-0.0011238+0.00052973i,0.0016922+0.0026861i,0.003532-0.0017333i,-0.003301-0.0034137i,0.0044293+0.001793i,-0.0016629-0.0057958i,-0.0043915-0.0009626i,5.2224e-05+0.0016603i,0.0010594-0.0032274i,-0.00011606-0.0047776i,0.0056064-0.013581i,0.0021894+0.0040096i,-0.0042979-0.0035472i,-0.0033299-0.001287i,-0.0056077-0.0024167i,0.0036209+0.0037444i,-0.00054266-0.0065932i,0.0028055-0.0047505i,-0.0011284-0.003385i,-0.002215-0.0031958i,0.0038153+0.0014519i,0.0015437+0.0026429i,0.0037927-0.0021522i,0.00022681+0.0093245i,0.0046396+0.014417i,0.021354+0.050273i,-0.012704-0.025157i,-0.030385+0.0010813i,-0.025383+0.014907i,0.0067924-0.0032227i,0.018556-0.0026425i,-0.005927-0.00088184i
0.01776-0.0027783i,0.045472+0.0031565i,0.031609-0.018728i,0.019481-0.018581i,0.028189-0.031704i,-0.010582-0.028836i,-0.0045294-0.013867i,0.0071282-0.026948i,0.012845-0.01277i,0.0034937+0.00032611i,0.0029117-0.003147i,0.0029704-0.0054563i,0.0029282-0.0051188i,0.00053958-0.0033658i,-0.0016515+0.0004192i,0.0015176-0.0025638i,-0.0051443-0.0011507i,-0.00059204+0.0015048i,0.00050418+0.00054584i,-0.00077894+0.0023636i,0.00040466+0.0023135i,0.0019585-0.00050388i,0.0015818+0.0017099i,-0.003535-0.00082112i,-0.00095332-0.00086179i,-0.00089012-0.00019828i,-0.00098656-0.00070063i,-0.00063236-0.00070886i,2.9887e-05-3.1353e-05i,0.00067788-0.00073569i,0.0027785+0.00082064i,0.0013303+0.00068686i,0.00073683-0.00030717i,0.00087638-0.00010478i,0.00019542+0.00029813i,0.0066839-0.0024926i,-0.00012701+5.3135e-05i,-0.0012916+0.00031081i,0.00067153-0.00085961i,-0.00077369+0.0011709i,6.3293e-05+0.0007412i,0.00066693+0.0010932i,0.0024594-0.0027307i,0.00087041-0.0065706i,0.018502+0.0095618i,0.020629+0.05097i,0.02332+0.05092i,0.038023+0.043855i,0.024403+0.0046124i,0.033278+0.0081657i,0.029853+0.023732i,0.004105+0.015983i,0.014097+0.041708i,-0.019324+0.028791i,0.0088709-0.0014713i,0.0083012+0.0045409i,0.0077586+0.0015943i,0.0054714+0.010538i,0.00022611+0.0078778i,-0.0060116-0.0045796i,0.0023166-0.0098364i,-0.0029787+0.017953i,-0.0029525-0.0019636i,-0.0023854+0.0016384i,-0.00097035+0.00072699i,0.003242+0.001233i,0.0028476-0.0010556i,-0.0036521-0.0020213i,0.0045435-0.00032468i,-0.0041057-0.0041266i,-0.0034884+0.00026356i,0.00032921+0.00057795i,0.00017551-0.0040621i,-0.0020058-0.004826i,0.00056392-0.013125i,0.0035258+0.002286i,-0.0056231-0.0019921i,-0.0038316+6.3067e-05i,-0.0054808-0.0001475i,0.0043289+0.0029249i,-0.0035684-0.0063939i,0.0018168-0.0066361i,-0.0018664-0.0028832i,-0.0028939-0.00355i,0.0045786+0.00080801i,0.0030341+0.0025653i,0.0024383-0.0014722i,0.0016986+0.0090101i,0.0068947+0.011105i,0.030187+0.044494i,-0.023605-0.022035i,-0.033404+0.0048964i,-0.020274+0.018416i,0.0048705-0.0020711i,0.013737-0.0052006i,-0.0082474-0.0017514i
0.016285-0.0066507i,0.04549-0.0049177i,0.027429-0.023188i,0.015027-0.020279i,0.021242-0.036495i,-0.014924-0.026308i,-0.005916-0.014378i,0.0025186-0.027855i,0.0099978-0.015407i,0.0041006-0.00042662i,0.0026261-0.0039501i,0.0012849-0.0054261i,0.0011479-0.0059i,-0.00016451-0.0031778i,-0.0013426+0.00054273i,0.0016556-0.0027276i,-0.0045443+0.00068731i,-0.00026162+0.0011436i,0.00044355+0.0003689i,5.6585e-05+0.0024783i,0.0010282+0.0020817i,0.0014534-0.00092537i,0.0019432+0.0010001i,-0.002809+0.001536i,-0.00095121-0.00022909i,-0.00080013+0.00018841i,-0.0011483-0.00032177i,-0.00075503+0.0001505i,2.6316e-05+7.9205e-05i,3.8306e-05-0.00083466i,0.0028144-0.0005639i,0.0014439+0.00036419i,0.00062446-0.00051794i,0.00095526-0.00057529i,0.00048384+0.00041389i,0.0069857-0.0017272i,1.1785e-05+0.00012109i,-0.0010502+0.00073616i,3.4934e-05-0.00079092i,1.7325e-05+0.00096958i,0.00010539+0.00083626i,0.00081322+0.00081798i,0.0013164-0.0029744i,-0.0003784-0.0048888i,0.018312+0.0066118i,0.025034+0.044124i,0.029625+0.045678i,0.042761+0.036515i,0.020279+0.00033975i,0.034329+0.0046599i,0.0341+0.018694i,0.010322+0.012502i,0.023831+0.033161i,-0.012556+0.032089i,0.007958-0.0030235i,0.0080959+5.6076e-05i,0.0077609-0.0012098i,0.0074967+0.0071906i,0.002039+0.007035i,-0.0074535-2.8884e-05i,-0.0014627-0.0085593i,0.0012233+0.015235i,-0.0039551-0.00063931i,-0.0022847+0.0038542i,-0.00084434+0.0009595i,0.0039619-0.00097512i,0.0038093+0.00036016i,-0.0031242-0.00078486i,0.0041578-0.0011798i,-0.0047753-0.0020141i,-0.0023992+0.00080526i,3.884e-05+0.00023058i,-0.0020066-0.0047278i,-0.0035619-0.0036331i,-0.003504-0.011991i,0.003823+0.00022301i,-0.0059157+0.00020851i,-0.0029159+0.0011129i,-0.0047833+0.0014598i,0.0054998+0.0021257i,-0.0058928-0.0044234i,-0.00098964-0.0081749i,-0.0026821-0.0022586i,-0.0047964-0.0033121i,0.0053024-0.0010906i,0.0047387+0.0024422i,0.0027351-0.0010553i,0.0036198+0.0088073i,0.0071685+0.0077613i,0.037476+0.036512i,-0.03058-0.013085i,-0.036385+0.010926i,-0.014338+0.02063i,0.0028266-0.00042303i,0.010352-0.0049805i,-0.0098296-0.00094278i
