-0.030824-0.041892i,-0.022963-0.01993i,-0.014159-0.0356i,-0.030124-0.019872i,-0.023134-0.00037598i,-0.013976-0.0054901i,-0.055996-0.059296i,-0.049025-0.017403i,-0.039545-0.014375i,0.011002+0.011988i,-0.0072119+0.0054175i,-0.018779+0.018955i,0.0027332+0.011512i,-0.0058115-0.0031376i,0.00028585+0.0011963i,-0.00061432+0.030185i,0.028455+0.027414i,0.0023428-0.0022635i,-0.0019677-0.0067725i,0.0078222+0.0022737i,0.0030235+0.0010363i,0.00019301+0.0036114i,-0.00042341+0.00033586i,-0.03741-0.011542i,0.00011799-0.0077756i,0.0015265+0.0022047i,0.0057593+0.0017101i,0.0020021+0.00044886i,0.0013245-0.0005471i,-0.00038615-0.0025487i,0.0016202-0.0027542i,-0.0026594-0.0056634i,-0.00042312-0.0046618i,0.0027802-0.0011107i,0.0046535-0.002755i,0.0027698+0.029841i,0.0041472-0.0035042i,0.0029636-0.0017825i,0.0082739-0.0012097i,-0.0051078-0.0023632i,-8.1034e-05+0.0010684i,0.0092559-0.00030126i,0.0042994-0.0026006i,-0.0013029+0.0097768i,-0.01909-0.0099676i,-0.01781+0.013577i,-0.005266-0.06269i,-0.0062379-0.025141i,-0.025605-0.029794i,-0.01137-0.027135i,0.053203-0.022915i,0.015613-0.043629i,0.021875-0.049993i,0.0046901-0.056537i,0.025359-0.020898i,0.0079706+0.0055123i,0.023442-0.034426i,-0.0078133-0.0053093i,0.0038922-0.0048637i,-0.0045533-0.0069526i,-0.003088-0.032475i,-0.017773+0.030006i,0.0072356-0.011121i,-0.0091905-0.0036224i,-0.0043571-0.0015598i,0.00044349-0.011583i,-0.010931+0.0044983i,0.002642+0.0096366i,-0.0044678+0.026441i,0.0053365+0.0021596i,-0.0054345-0.0015516i,-0.0022559-0.0019395i,-0.011624-0.0063184i,-0.0011019-0.004238i,-0.036039+0.0018675i,0.0007173-0.010565i,-0.0085707+0.00027923i,-0.0066416-0.001936i,0.0046343+0.00082696i,-0.0083806-0.000407i,0.0017555-0.00057602i,0.0036636+0.0069247i,0.004101+0.00057931i,-0.0080153-0.011367i,0.0025826+0.0090733i,-0.015422+0.0048152i,0.0065889-0.00038766i,-0.022177+0.0011079i,-0.017198+0.0066742i,-0.010724-0.066842i,0.0076512-0.013071i,-0.050672-0.022095i,-0.021707+0.0013665i,0.017287+0.011354i,-0.021969+0.01509i,-0.019579-0.0053874i
0.031282+0.035399i,0.014426+0.016407i,0.01808+0.024486i,0.0076319+0.018963i,0.009473+0.0065664i,0.0048183-0.0011937i,0.016108+0.012504i,0.016612-0.0023091i,0.0082153-0.0083384i,0.00073719+0.0038793i,0.0022035-0.0023869i,0.00049585-0.0051092i,-0.0018937+0.00088138i,0.0011721-0.0014587i,0.0020298-0.00062597i,0.005168-0.0025738i,0.0055582-0.0072663i,8.9208e-05+0.00061846i,-0.0035425+0.00082552i,-3.5216e-05+0.00054426i,-0.00080589-0.0010811i,-0.0025245-0.0010055i,-0.0015667+0.00081843i,0.0059421+0.0096156i,-0.00093091+0.0020969i,0.0010111+0.0016607i,0.0013335+0.00095682i,-0.0018444+0.0027279i,-0.0010515+0.0001388i,-0.001121+0.00061702i,-0.0010829-0.00094828i,-0.0015989-0.00078956i,-5.056e-05+0.00036516i,0.0006027+0.00067432i,7.8206e-05-0.00082009i,-0.0087967+0.010436i,0.001654+0.00011112i,0.00091786+0.00081331i,0.00088498+0.0024995i,0.00078256-0.0012687i,-0.00022889-0.00033074i,-0.0011517-0.00032219i,-3.9818e-05+0.0014881i,-0.0002771+0.0017701i,0.021941+0.016758i,-0.021908+0.015988i,-0.011+0.019228i,-0.019991+0.011039i,-0.0034616+0.034908i,-0.019475+0.018487i,0.0030823-0.002603i,-0.011351-0.015575i,-0.019188+0.0020558i,-0.0061948+0.017065i,0.016622+0.020209i,-0.00026482+0.0020192i,-0.003687+0.0010544i,-0.011499-0.0041923i,0.011094+0.0012391i,0.012677+0.009983i,-0.00029804+0.0056001i,-0.0044232-0.0064544i,0.0055343-0.0021283i,-0.0030656-0.004238i,0.0034263-0.0080324i,0.0081621-0.0026166i,-0.0012429+0.01021i,0.012262-0.0064214i,0.0031587-0.0070608i,0.0030151-0.0077925i,0.0021845+0.00054156i,-0.0024558-0.0054008i,-0.0034786-0.0014789i,0.002681-7.8203e-05i,-0.0081983+0.0357i,-0.0067489-0.0054865i,0.00022806+0.0010576i,-0.0013376-0.0072826i,0.0027205-0.00019702i,-0.017893-0.0057969i,-0.0019887-0.0034019i,0.0029742-0.002239i,0.003175-0.0015521i,-0.0025982-0.0065062i,0.00025327+0.0075953i,0.00034984+0.0036454i,-0.0028497+0.0044627i,-0.0077998+0.0015788i,-0.0070917+0.00014681i,-0.0077682+0.025935i,-0.0019649+0.01445i,-0.025977-0.010414i,-0.00088685-0.0027119i,0.014487+0.016903i,-0.00046701+0.018187i,-0.00068852-0.005004i
0.036202+0.028391i,0.017451+0.01251i,0.022277+0.021297i,0.010765+0.018231i,0.011361+0.0051658i,0.004876-0.0025852i,0.016211+0.0087151i,0.015979-0.004988i,0.0060915-0.0098071i,0.0018397+0.0032874i,0.0020806-0.0026094i,-0.0013985-0.0034903i,-0.0013141+0.0015748i,0.0010374-0.00047445i,0.0018494-0.00096699i,0.0040417-0.0029062i,0.0030235-0.007794i,0.00072478+0.00060099i,-0.0030602+0.0012727i,0.00024327+3.9535e-05i,-0.00097044-0.0012211i,-0.0025953-0.00044854i,-0.0012307+0.00096218i,0.010809+0.0063262i,-0.00049376+0.002995i,0.0017987+0.0010341i,0.0012264+7.5023e-06i,-0.00064877+0.00294i,-0.0014967+0.00061471i,-0.00092052+0.0011294i,-0.0014749-0.00029748i,-0.0020835-0.0006071i,-0.00019594+0.00021663i,0.00072222+0.00039692i,-0.00074104-2.7545e-05i,-0.004777+0.011977i,0.0012605-0.00052773i,0.0011326+0.00058386i,0.0015139+0.0018293i,0.00032707-0.0011345i,-0.00031301-0.00054288i,-0.001381+8.8629e-05i,0.00011464+0.0017297i,-0.00025378+0.0022296i,0.025398+0.013256i,-0.01678+0.018735i,-0.009542+0.021667i,-0.015742+0.0126i,0.0069594+0.031385i,-0.011993+0.018504i,-0.0031283-0.005973i,-0.018477-0.016408i,-0.021362+0.0022532i,0.00048348+0.011826i,0.02012+0.013667i,-0.00076312+0.001919i,-0.0024939+0.0046224i,-0.011483-0.00015187i,0.0097141-0.0028457i,0.014309+0.0063847i,0.002462+0.0079677i,-0.0084003-0.0054178i,0.0020453-0.0036781i,-0.0032957-0.0022112i,-0.0014025-0.0074921i,0.0064465-0.0050371i,0.0033961+0.0080935i,0.0071395-0.0090346i,-0.00097975-0.0066535i,-0.00071061-0.0051809i,0.0034742-0.00019355i,-0.0037642-0.0046635i,-0.0019747+0.00088966i,0.0033135-0.00044565i,0.010003+0.033472i,-0.0085703-0.0034511i,0.00097891+0.00031285i,-0.0042841-0.0055961i,0.0034299-0.0013213i,-0.018068+0.0025261i,-0.0025157-0.0024833i,0.0016822-0.0022994i,0.0030961-0.0028454i,-0.0045047-0.0050469i,0.0027002+0.0039565i,0.0017829+0.0027497i,0.00017565+0.0054441i,-0.0060697+0.0044775i,-0.0075206+0.0014243i,-0.002092+0.02276i,0.00038776+0.015762i,-0.028412-0.0043635i,-0.0027244-0.0066498i,0.01673+0.014006i,0.0029051+0.019321i,-0.0032957-0.0052773i
0.03926+0.020756i,0.018762+0.0074955i,0.02664+0.015838i,0.015108+0.015429i,0.013375+0.0030854i,0.0044995-0.0042732i,0.015648+0.0049454i,0.014941-0.0080201i,0.0041252-0.01023i,0.0021833+0.0026451i,0.0015258-0.0035427i,-0.0015731-0.001596i,-0.00064382+0.0016128i,0.0016798-0.00051933i,0.0016007-0.001287i,0.0030594-0.0032411i,0.00061826-0.0077011i,0.00082395+0.00015462i,-0.0025863+0.002021i,-3.6006e-05-0.00061264i,-0.0017588-0.0015329i,-0.0023544+0.00011026i,-0.001018+0.0010668i,0.011942+0.00049089i,0.00077695+0.0033313i,0.0018423+3.0595e-05i,0.00061398-0.00039464i,0.00055183+0.0025936i,-0.0012107+0.0014607i,-0.00043727+0.0015328i,-0.0015425+0.0005181i,-0.0030389+0.00080292i,-0.0001479+0.00018886i,0.00076507+8.4165e-05i,-0.00061108+0.00089203i,-0.00093686+0.012161i,0.00078011-0.00062704i,0.0012885-2.3388e-05i,0.0016716+0.0011093i,-0.00012508-0.0011264i,-0.00062198-0.00073928i,-0.0013484+0.00035257i,0.00045511+0.0021066i,0.0005047+0.0024699i,0.029434+0.0085733i,-0.01157+0.020353i,-0.0062434+0.024582i,-0.010524+0.0123i,0.016351+0.024745i,-0.0054687+0.018465i,-0.0099282-0.0054196i,-0.024729-0.013851i,-0.022851+0.0055895i,0.003593+0.0049437i,0.020917+0.0063132i,-0.0012806+0.0018784i,-0.00087161+0.0046554i,-0.011378+0.0026855i,0.0059958-0.0071593i,0.014936+0.0018115i,0.0061188+0.0079051i,-0.011644-0.0022857i,0.00055083-0.0023431i,-0.0032987-0.00050075i,-0.0037455-0.0048525i,0.0043705-0.0061959i,0.0060045+0.0070542i,0.0040801-0.0085661i,-0.0041151-0.0040695i,-0.00076587-0.0024855i,0.0040203-0.0023814i,-0.0059435-0.0029947i,-0.00027473+0.00080482i,0.0028642-0.0018677i,0.023101+0.022978i,-0.0098811+0.00021625i,0.0013787-0.00030662i,-0.0040194-0.0035073i,0.0037713-0.0030605i,-0.01364+0.0095398i,-0.0024041-0.0015039i,0.00062627-0.0023839i,0.0018386-0.0034271i,-0.0060246-0.0026844i,0.0020882+0.0024591i,0.0024715+0.0014143i,0.0024589+0.0047173i,-0.0037932+0.0052342i,-0.0075935+0.0032763i,0.00037956+0.019109i,0.0075431+0.015235i,-0.028029+0.00018007i,-0.0056819-0.0090642i,0.019075+0.0088757i,0.0079444+0.019709i,-0.0053583-0.0042904i
0.040332+0.013602i,0.018037+0.0037181i,0.028196+0.009004i,0.018027+0.010391i,0.014629-9.613e-05i,0.0032868-0.0056979i,0.014276+0.0022836i,0.012827-0.010787i,0.0026373-0.01062i,0.0023479+0.0023996i,0.00023804-0.0035186i,-0.00086741-0.00065151i,-0.00046217+0.0017161i,0.0015893-0.00060542i,0.0011377-0.0015309i,0.0019979-0.003092i,-0.0012786-0.0064563i,0.00083481-3.463e-06i,-0.0013985+0.0025418i,-0.00067891-0.00070215i,-0.0023476-0.00059928i,-0.0022702+0.00059322i,-0.00080853+0.0012104i,0.010267-0.0043654i,0.0018821+0.0030186i,0.001352-0.00052971i,9.9077e-05-0.00024991i,0.0010969+0.00197i,-0.00052543+0.0016941i,0.00024501+0.0016405i,-0.0011815+0.0013242i,-0.0022812+0.0022961i,-8.5017e-05+0.00016868i,0.00051256-0.00012062i,-5.797e-05+0.0012602i,0.0026069+0.011322i,0.00059914-0.00068829i,0.00098738-0.00060794i,0.0015085+0.00084407i,-0.00063729-0.00083967i,-0.0010769-0.00060063i,-0.0014847+0.00067074i,0.0011194+0.0023387i,0.0011937+0.0023574i,0.032049+0.0014329i,-0.0060321+0.020997i,-0.0012444+0.026642i,-0.0081708+0.0096422i,0.023217+0.014364i,0.00095534+0.014677i,-0.016039-0.00093874i,-0.030812-0.0083332i,-0.02244+0.010307i,0.0022149-0.0015017i,0.019311-0.00078276i,-0.0016135+0.0027722i,0.00018308+0.0059853i,-0.010688+0.0061925i,-0.00018833-0.0073606i,0.014095-0.0032938i,0.0094171+0.0058693i,-0.012876+0.0019336i,-0.00013021-0.001852i,-0.0025243+0.00078708i,-0.0046248-0.0014445i,0.0024274-0.0069062i,0.0084125+0.0035693i,0.0020035-0.0082959i,-0.0049317+0.00010822i,0.00015955-0.0014844i,0.0026756-0.0044491i,-0.0063714+0.00024359i,0.0007529+0.00055021i,0.0018561-0.0028149i,0.028749+0.0087199i,-0.0086332+0.0047712i,0.0016109-0.0012673i,-0.0040477-0.0018688i,0.0023334-0.0051779i,-0.0072868+0.011857i,-0.0020241-0.00094333i,-3.5569e-05-0.001714i,0.00063062-0.0037704i,-0.0054397+0.00028082i,0.0017208+0.0020854i,0.0020737+0.0002811i,0.004521+0.0037378i,-0.0017368+0.0044749i,-0.0071767+0.0051124i,0.0016874+0.017801i,0.015776+0.0083298i,-0.026042+0.0046736i,-0.01077-0.0098222i,0.017667+0.0038406i,0.013195+0.017503i,-0.0056075-0.0032803i
0.040943+0.0070124i,0.017774+0.0011521i,0.028145+0.00327i,0.019213+0.0051982i,0.014727-0.0034203i,0.0019442-0.0065472i,0.013207+0.00093562i,0.010304-0.012819i,0.0012633-0.01121i,0.0028049+0.0019905i,-0.0007281-0.002916i,-0.00019403-0.00060337i,-0.000206+0.0020839i,0.0015707-0.00096135i,0.00070905-0.0014444i,0.0015448-0.0023629i,-0.002056-0.0053324i,0.00070803-0.00014614i,-0.0004268+0.0022536i,-0.0011304-0.00044694i,-0.0024731+2.564e-05i,-0.0017698+0.0011875i,-0.00049622+0.0013988i,0.0068437-0.0072486i,0.0028283+0.0023719i,0.00096869-0.00081407i,-0.00015203-8.5433e-05i,0.0014321+0.0014653i,-5.5854e-05+0.0017337i,0.00095154+0.0014096i,-0.00038137+0.0017589i,-0.0011851+0.0030755i,-0.00023158+0.00014815i,0.0003829+9.8509e-05i,0.00065983+0.0015198i,0.0052917+0.0096181i,0.00029903-0.00074993i,0.00047455-0.00087517i,0.0017064+0.0007132i,-0.00080194-0.00036265i,-0.0013788-0.00041557i,-0.0014446+0.0010922i,0.0018846+0.0021344i,0.0015333+0.0019134i,0.031894-0.0064555i,-0.00029809+0.020144i,0.005201+0.026838i,-0.0076605+0.0089657i,0.02421+0.0028714i,0.0033203+0.0092943i,-0.0181+0.0068079i,-0.033483+0.0008536i,-0.020644+0.016275i,-0.0021289-0.005025i,0.014502-0.0052889i,-0.00097871+0.0037926i,0.0034367+0.0057843i,-0.0084617+0.0093696i,-0.0033445-0.0041146i,0.01078-0.0088235i,0.012048+0.0023899i,-0.012757+0.0059962i,-0.00039107-0.00060307i,-0.0015966+0.0015516i,-0.0028591+0.00053174i,-0.0004812-0.0065102i,0.0084128+0.00032464i,-0.00010523-0.0077413i,-0.0029033+0.0031017i,0.0011704-0.0017926i,0.00059572-0.0053992i,-0.0046102+0.0025941i,0.0018275-0.00033086i,0.0010701-0.002753i,0.027091-0.0043407i,-0.0047831+0.0073972i,0.00099875-0.0021936i,-0.003173-0.0014537i,0.00015121-0.006077i,-0.0027843+0.011251i,-0.0019241-0.00036565i,-6.5631e-05-0.00058967i,-1.8487e-05-0.0031982i,-0.0034623+0.0019989i,0.0022283+0.0017464i,0.0011348-0.00024637i,0.0054594+0.0013826i,-0.0014871+0.0028234i,-0.005962+0.0072348i,0.0039297+0.017216i,0.017244-0.0040668i,-0.022088+0.0057029i,-0.015757-0.0080141i,0.016332+5.5733e-05i,0.017038+0.012105i,-0.006377-0.0034374i
0.040847+0.00025802i,0.017811-0.0018451i,0.027862-0.0023169i,0.019461-0.00016325i,0.014415-0.0065764i,0.00043319-0.0071231i,0.013248-8.9925e-05i,0.0077738-0.014355i,-0.00031497-0.011883i,0.0028597+0.0014058i,-0.00093615-0.0021796i,0.00016566-0.00075578i,0.00050604+0.0024613i,0.0013677-0.0010558i,0.0005079-0.0013927i,0.0017827-0.0018177i,-0.0026326-0.0049862i,0.00081742-0.00040013i,0.00014879+0.0017356i,-0.001347-4.4983e-05i,-0.0020324+0.00062028i,-0.00099672+0.001314i,-0.00010148+0.0014666i,0.002876-0.0085147i,0.0036879+0.0013831i,0.00058431-0.0010404i,-0.00023297+4.0436e-05i,0.0016042+0.00093896i,0.00044418+0.0017283i,0.0013475+0.00078048i,0.00048044+0.001727i,0.00013553+0.0033487i,-0.0003226+0.00044621i,0.0005635+8.3426e-05i,0.0011826+0.0011294i,0.0069251+0.0075656i,8.044e-06-0.00067349i,6.2647e-05-0.0008106i,0.001695+0.00033958i,-0.00054348+1.8159e-05i,-0.0017559+1.9697e-05i,-0.001262+0.0013708i,0.0025239+0.0017212i,0.0018308+0.0016015i,0.029671-0.013685i,0.0046957+0.017545i,0.011328+0.024362i,-0.0066061+0.0094877i,0.021702-0.0068155i,0.0029156+0.0055173i,-0.015467+0.014691i,-0.031162+0.010874i,-0.015002+0.022786i,-0.0069981-0.0045333i,0.010299-0.0067069i,0.00019291+0.0041212i,0.0054244+0.0034914i,-0.0051249+0.011969i,-0.0043209-0.0014196i,0.0047285-0.013066i,0.012136-0.0026094i,-0.011042+0.0094319i,0.00048938+0.00011869i,-0.00048672+0.0016714i,-0.0013586+0.00074079i,-0.0020387-0.0047731i,0.0070661-0.0020446i,-0.0015629-0.0064441i,-0.00018779+0.0038505i,0.00137-0.0031567i,-0.0015536-0.0048751i,-0.0029136+0.0034115i,0.0017285-0.0018764i,0.00083516-0.0028187i,0.020627-0.014191i,-0.00093208+0.0076726i,0.00010431-0.0023121i,-0.0034489-0.0009229i,-0.0024167-0.0055463i,0.00065854+0.010321i,-0.00099032+0.00016426i,0.0011072-0.00037934i,-0.00029843-0.0035797i,-0.0012371+0.0021129i,0.0023043+0.0014132i,0.00041963+0.00022162i,0.0046346-0.00039443i,-0.0023546+0.0019652i,-0.0035428+0.0085346i,0.0067079+0.015888i,0.01121-0.013793i,-0.020621+0.0030679i,-0.020146-0.0034823i,0.013018-0.0045451i,0.017622+0.0069326i,-0.0072394-0.0025942i
0.03951-0.0064327i,0.016917-0.0050911i,0.025637-0.0088488i,0.017461-0.0062099i,0.013451-0.010141i,-0.0012831-0.0072206i,0.014005-0.0016084i,0.0049196-0.015701i,-0.0023044-0.01218i,0.0026862+0.0014612i,-0.0013998-0.0019096i,5.8114e-05-0.0015172i,0.0013116+0.002359i,0.0010202-0.0012971i,0.00029272-0.0013495i,0.0022442-0.0019098i,-0.0037538-0.0044872i,0.0004043-0.00077989i,0.00057446+0.001172i,-0.001556+0.00043512i,-0.0019255+0.000852i,-0.00038755+0.00093544i,0.0002249+0.0013912i,-0.0012379-0.007938i,0.0039832-0.00041633i,5.3019e-05-0.0010402i,-0.00057558+0.00025004i,0.0015703+0.00054298i,0.0010801+0.0014397i,0.0014128+0.00013046i,0.0012917+0.0013391i,0.0012267+0.0032782i,-0.00024749+0.00076812i,0.00063437-2.3295e-05i,0.0013313+0.00045983i,0.0080242+0.0056629i,-0.00024731-0.0005296i,-0.00033046-0.00065222i,0.0018327+2.7162e-05i,-0.00014925+6.9299e-05i,-0.0018739+0.00077106i,-0.00092881+0.0019045i,0.0031486+0.00097538i,0.0019037+0.0013489i,0.025689-0.020181i,0.0083841+0.013743i,0.01589+0.020386i,-0.0041773+0.010289i,0.016637-0.014179i,0.0016608+0.0038534i,-0.0097318+0.019318i,-0.024154+0.017714i,-0.0061609+0.025877i,-0.0098824-0.00098762i,0.0070372-0.0068715i,0.001411+0.0038258i,0.0052955+0.00068289i,-0.00094954+0.012744i,-0.0049395+0.00082319i,-0.0040655-0.012647i,0.0098385-0.0068045i,-0.0082055+0.012338i,0.0017327-0.00076501i,0.00031336+0.0013584i,-0.00093926+0.00021473i,-0.0021301-0.0033375i,0.0054353-0.0028206i,-0.0025803-0.0057511i,0.0016176+0.0033426i,2.0833e-05-0.0049966i,-0.003014-0.0036834i,-0.00095253+0.0039949i,0.00047411-0.0027778i,0.0001243-0.0033568i,0.011943-0.01916i,0.0021097+0.0063268i,-0.00034095-0.0022084i,-0.0030012-0.00070674i,-0.0041207-0.004229i,0.0031613+0.0087099i,0.00011963-0.00060577i,0.0017915-0.001127i,-0.001438-0.0035554i,-7.5603e-05+0.0011557i,0.0032044+0.0012463i,0.00041712+0.0011107i,0.0040105-0.0012343i,-0.0032976+0.0021861i,-0.0012698+0.0086399i,0.0095024+0.014609i,0.002725-0.019302i,-0.023599+0.0014274i,-0.021327+0.0030293i,0.0068314-0.0061574i,0.017418+0.0024486i,-0.0070472-0.0021525i
0.037351-0.012468i,0.015924-0.0074247i,0.021477-0.013304i,0.012938-0.010393i,0.011312-0.013529i,-0.002736-0.0067625i,0.014817-0.0038494i,0.0016535-0.016332i,-0.0041853-0.012211i,0.0034089+0.0016233i,-0.0017824-0.0010241i,-0.00088571-0.0017537i,0.0020742+0.0020481i,0.00064383-0.0012373i,0.00012168-0.0012922i,0.0024791-0.0020996i,-0.0050892-0.0030955i,4.4171e-05-0.00068141i,0.00066466+0.00062996i,-0.0014058+0.0012111i,-0.0016383+0.0014786i,-0.00051044+0.00039395i,0.00053478+0.0012927i,-0.0043894-0.0054645i,0.0030247-0.001872i,-0.00033386-0.00081119i,-0.00052313+0.0006606i,0.0014759+0.00028258i,0.0013014+0.00074891i,0.0012298-0.00034091i,0.0018042+0.00064681i,0.0023964+0.0025988i,0.00013499+0.001184i,0.00059517-0.00013279i,0.00098627+0.00046883i,0.0085976+0.0034944i,-0.00037209-0.0003659i,-0.0005739-0.00026724i,0.0019429-0.00042586i,0.00026011+6.7954e-06i,-0.0015283+0.0015934i,-0.00019656+0.0022401i,0.0032831-0.00011501i,0.0019053+0.0013282i,0.02002-0.02526i,0.010371+0.0093184i,0.018836+0.015991i,-0.0011221+0.0098032i,0.010385-0.018185i,0.00054069+0.0038159i,-0.0033329+0.021282i,-0.01662+0.020042i,0.0034652+0.025175i,-0.0096254+0.0036087i,0.0051846-0.0066438i,0.0025944+0.0031301i,0.0041051-0.0010009i,0.0036783+0.011731i,-0.004246+0.0038471i,-0.010536-0.0069473i,0.006101-0.0089581i,-0.0045179+0.013839i,0.0012367-0.0024961i,0.00082117+0.00089125i,-0.0011079+0.00017967i,-0.0018725-0.0024132i,0.0043935-0.0034565i,-0.0040212-0.004817i,0.0028106+0.0020645i,-0.0032279-0.0056457i,-0.0037537-0.0020023i,0.0012975+0.0030092i,-0.00013185-0.0029991i,-0.0009501-0.0037577i,0.0033074-0.019756i,0.0038464+0.0041985i,-0.00082496-0.0023848i,-0.003716-0.00050314i,-0.0052825-0.0022825i,0.0045998+0.0070857i,-0.00012517-0.0018586i,0.0020736-0.0021944i,-0.0021719-0.0027399i,0.00047655+0.00025777i,0.0034183+0.00039075i,0.0011486+0.0015991i,0.0029566-0.0020836i,-0.0038971+0.00325i,0.00069409+0.0079529i,0.013495+0.012843i,-0.0077763-0.021189i,-0.027656+0.0034156i,-0.018928+0.0088968i,0.0026417-0.0035757i,0.015062-0.0022144i,-0.0072081-0.0031002i
0.034521-0.018303i,0.01508-0.010438i,0.017759-0.015906i,0.0084444-0.011614i,0.0083516-0.016265i,-0.0037819-0.0060916i,0.01564-0.0071594i,-0.0015688-0.016268i,-0.0062866-0.012029i,0.0043809+0.00098054i,-0.0013478-0.00026827i,-0.0016006-0.0009994i,0.0026404+0.0012559i,0.00037285-0.0012262i,1.6783e-05-0.0012199i,0.0026991-0.0023979i,-0.0055963-0.0013451i,1.9691e-05-0.00083861i,0.00059319+0.00015912i,-0.00085862+0.0015983i,-0.0011882+0.001616i,-0.00070541+0.00036441i,0.00088297+0.0010874i,-0.0059046-0.0018421i,0.0019269-0.0024661i,-0.0005106-0.00052023i,-0.000151+0.00076586i,0.0015358-9.075e-05i,0.0011035+0.00053693i,0.00090135-0.0006986i,0.0020348-0.00011382i,0.0029444+0.0016966i,0.00077763+0.0011649i,0.00072345-0.00025052i,0.0012049+0.00086467i,0.0083527+0.0013729i,-0.00056376-9.1774e-05i,-0.00050501+7.8426e-05i,0.0017945-0.001199i,0.00069414-0.00021095i,-0.00078319+0.0020491i,0.00054543+0.0020634i,0.00293-0.0010993i,0.0020349+0.0013651i,0.013618-0.028321i,0.010561+0.0049402i,0.020569+0.01171i,0.0011447+0.0080763i,0.0048165-0.019892i,0.00068269+0.0056219i,0.0032123+0.021231i,-0.010054+0.020852i,0.0114+0.020831i,-0.0062049+0.007116i,0.0038182-0.0069953i,0.0035829+0.0016237i,0.0034085-0.0019645i,0.0074656+0.0085026i,-0.0016751+0.005129i,-0.012204-0.00027874i,0.002205-0.0096002i,-0.00073813+0.013655i,-0.00040246-0.003236i,0.00048878+0.00050048i,-0.0011462+0.0006187i,-0.0017592-0.0020331i,0.0032897-0.0032108i,-0.0048848-0.00314i,0.0032383+0.00076206i,-0.0060359-0.0032931i,-0.00332-0.00051335i,0.0020075+0.001028i,-0.00069912-0.0032622i,-0.002183-0.0032814i,-0.0035893-0.017425i,0.0048996+0.0018389i,-0.0017283-0.0023445i,-0.0039244+0.00092602i,-0.0051473-9.1367e-05i,0.0059083+0.0057632i,-0.0016782-0.0024662i,0.0017068-0.0035658i,-0.002508-0.0022731i,0.00032043-0.00093832i,0.0039082-0.00018826i,0.0019926+0.0014435i,0.0016786-0.0016983i,-0.0041887+0.0045237i,0.0021066+0.0067191i,0.017651+0.009052i,-0.018056-0.017453i,-0.030361+0.0073796i,-0.014261+0.011608i,0.0018994-0.0014573i,0.011136-0.0046341i,-0.0094722-0.0033288i
0.030415-0.023683i,0.013364-0.013823i,0.014443-0.018108i,0.0051272-0.011613i,0.0047614-0.018249i,-0.0046848-0.0054121i,0.015333-0.012178i,-0.0045935-0.015535i,-0.0085464-0.011303i,0.0049403-0.00016901i,-0.00073806-0.00020463i,-0.0018017+0.00010792i,0.0027073+0.0003577i,0.00014486-0.00094618i,-0.0001482-0.0012729i,0.0026367-0.0030747i,-0.0056208+0.00045282i,-0.00027784-0.0011141i,0.00041866-7.1961e-05i,-0.00034095+0.0017317i,-0.00080996+0.0018853i,-0.0008901+0.00050699i,0.0010965+0.00072692i,-0.005004+0.0017407i,0.0010653-0.0026256i,-0.00059399-0.00019199i,8.931e-05+0.00071863i,0.0012605-0.00058784i,0.0011945+0.00039569i,0.00045169-0.00095i,0.0020069-0.00093227i,0.0033927+0.00077538i,0.0013063+0.00089069i,0.00067649-0.00070904i,0.0020411+0.00073537i,0.0079155-0.00028968i,-0.00046599+0.00029642i,-0.00031788+0.00037406i,0.0010482-0.0016473i,0.001023-0.00068257i,2.308e-05+0.0022875i,0.0011201+0.0017935i,0.0021977-0.0016805i,0.0023213+0.0016022i,0.0074892-0.029514i,0.0091532+0.0020733i,0.021475+0.0077568i,0.002536+0.0070755i,-0.00045782-0.021155i,0.0036136+0.0076766i,0.0090394+0.01877i,-0.0030906+0.019672i,0.01732+0.014279i,-0.001108+0.0082051i,0.0023974-0.0072524i,0.0035212-0.00083767i,0.0027037-0.0033114i,0.0085123+0.0039855i,-5.8306e-05+0.0046336i,-0.011212+0.006246i,-0.0017333-0.0086503i,0.0022984+0.011809i,-0.0022429-0.0025462i,0.00013983+0.00084931i,-0.00084525+0.0011573i,-0.0013972-0.001999i,0.0033734-0.002117i,-0.0045193-0.0017073i,0.0033459+0.00022459i,-0.0066174-0.00015141i,-0.002448+0.00020101i,0.0015949-0.00023776i,-0.0023921-0.0035658i,-0.003181-0.0022904i,-0.0089703-0.014024i,0.0047212-0.00070076i,-0.0025306-0.0016747i,-0.0027938+0.0020178i,-0.0041984+0.0014895i,0.0076521+0.0043068i,-0.0032654-0.0015307i,0.00034321-0.0048105i,-0.0032874-0.0015391i,-0.0009045-0.0015842i,0.0043154-0.0017782i,0.002776+0.0010932i,0.0017175-0.0012389i,-0.0029723+0.0063395i,0.0027825+0.0051761i,0.020713+0.0032665i,-0.023181-0.0092053i,-0.03219+0.013316i,-0.01007+0.012551i,0.0010237+0.00052644i,0.0078591-0.0044913i,-0.011084-0.0021409i
