-0.023973-0.038917i,-0.012005-0.04861i,-0.017852-0.04477i,-0.030775-0.035304i,-0.030096-0.016133i,-0.050147-0.027418i,-0.057666-0.026225i,-0.045377-0.037304i,-0.029141-0.036979i,0.0068259+0.012865i,-0.0051807+0.015957i,-0.0045732+0.013934i,0.0097394+0.021405i,0.00053799+0.0043473i,0.0032518+0.0034424i,0.0060344+0.01824i,0.026419+0.038322i,-0.0025214-0.00075996i,-0.004436-0.0058354i,0.0079659+0.0014354i,-0.00010522-0.0010345i,-0.0010445+0.0014822i,0.00012991-0.00028598i,-0.030638-0.0038711i,-0.0016203-0.0057969i,0.0014747+0.0046217i,0.003784-0.00029252i,-0.00058486+0.00055921i,0.00045552-0.00046613i,-0.00011954-0.0024915i,-0.001647-0.0062538i,-0.0045199-0.0038543i,-0.0020119-0.0047367i,0.0021399-0.00068441i,0.0021385-0.0027136i,0.0026286+0.025607i,0.0019132-0.0027392i,0.0029058+0.00044039i,0.0063212+0.001461i,-0.010014-0.0041305i,-0.0032142+0.00094411i,0.006429+0.0010611i,0.0054172-4.1323e-06i,-0.0034237+0.0060114i,-0.00078326-0.0084156i,-0.011991+0.0186i,0.036276-0.090427i,0.01193-0.069955i,-0.016086-0.059518i,-0.016356-0.055148i,0.039508-0.045319i,0.017421-0.061919i,0.034408-0.055582i,0.029693-0.060146i,0.015796-0.013647i,0.0048417+0.016446i,0.016935-0.026098i,-0.011409+0.0055784i,-0.00019447+0.0056128i,-0.0050416-0.0016523i,-0.0023036-0.029629i,-0.024505+0.031682i,0.010267-0.01158i,-0.013053-0.002756i,2.4708e-06-0.0048101i,-0.0010174-0.016097i,-0.0068907+0.0044797i,0.0053165+0.0066632i,-0.0092574+0.030179i,0.0047157+0.0056842i,-0.0049853-0.00074508i,-0.0030388-0.00081502i,-0.011931-0.0078188i,-0.001095-0.0049338i,-0.030575+0.0063388i,7.054e-05-0.010134i,-0.0095594-0.0022743i,-0.0066275-0.0028801i,0.006806+0.0030395i,-0.008011+0.0012287i,3.1916e-05+0.00043707i,0.0054308+0.010651i,0.0042826+0.001806i,-0.0092329-0.0096672i,0.0029331+0.0074909i,-0.021384+0.0061366i,0.0080512+0.001003i,-0.029145-0.0043151i,-0.041934+0.0017257i,0.020133-0.09643i,-0.001814-0.013514i,-0.052448-0.021483i,-0.022247-0.001245i,0.017689+0.010986i,-0.024849+0.013337i,-0.01797-0.013089i
0.008654+0.019109i,0.014954+0.051494i,0.024343+0.034695i,0.01734+0.027237i,0.024331+0.02667i,0.032167-0.014317i,0.017253-0.0091208i,0.029084+0.0054917i,0.012228+0.012685i,0.0019317+0.0051249i,0.0047303+0.0025549i,0.0044041+0.0031823i,0.0059477+0.0027388i,0.0050023+0.0034154i,0.0030803-0.003341i,0.0077702-0.001195i,0.0088574-0.0049891i,-0.0010947-0.0012826i,-0.0033097+0.0012408i,-4.1077e-05+0.0013993i,-0.0010816-0.00019224i,-0.0027669+0.0012431i,-0.0017586+0.00081181i,0.0046504+0.0079044i,0.0013828+0.0011856i,0.0022755+0.00047856i,0.0018967+0.0012137i,0.0010444+0.0014267i,0.00070431+5.1727e-05i,-4.4669e-05+0.00070556i,-0.0011884-0.001943i,-0.00079757-0.00045829i,-0.0010953+0.00088839i,-0.0011544+0.00020331i,-0.00074068-0.0019578i,-0.0070015+0.0076944i,0.001344+0.00030826i,0.0011332-0.00052195i,-0.00091643+0.0025037i,-0.00031089-0.0037166i,-0.0012817+0.00019481i,-0.0017106-0.00016912i,0.0019557+0.0014088i,0.0060462+0.0043076i,-0.013442+0.034024i,-0.081393+0.034692i,-0.051388+0.037557i,-0.037026+0.058957i,-0.018847+0.07257i,-0.0092484+0.051251i,0.0091048+0.036364i,0.0021531-0.0030048i,-0.037965+0.0098285i,-0.04423+0.019283i,0.0024057+0.024173i,-0.0078704+0.0024897i,-0.010443-0.00077935i,-0.013521-0.00245i,0.0023452+0.00054957i,0.00546+0.010946i,-0.0021868+0.0084638i,-0.0078182-0.011842i,0.005325-0.0069481i,-0.0063142-0.0069496i,0.0019262-0.0063808i,0.0040125-0.0040355i,-0.0015328+0.010064i,0.010176-0.0043931i,0.0051187-0.006178i,0.0034852-0.0058426i,0.0032067-0.00059647i,-0.0012072-0.0047544i,-0.0035859-0.0010203i,0.0024901-0.00033774i,-0.0089721+0.026101i,-0.0040824-0.0032234i,0.002208+0.00036064i,0.00021205-0.0065908i,0.0022469-0.0015046i,-0.015308-0.0035841i,0.00052106+5.3384e-05i,0.0052945-0.0029228i,0.0030006-0.0013043i,0.00080024-0.0048943i,-0.00060312+0.0058933i,-0.00086244+0.0062889i,-0.0030275+0.0047981i,-0.012068+0.001609i,-0.014673-0.0011176i,-0.04115+0.055919i,0.00076504+0.0051955i,-0.025185-0.016687i,-0.0077862-0.0066487i,0.009662+0.019377i,-0.0022501+0.022865i,-0.00083761-0.00050624i
0.010729+0.015513i,0.023205+0.046713i,0.029864+0.03034i,0.022139+0.024728i,0.030043+0.022618i,0.028921-0.019987i,0.014501-0.012308i,0.02946+0.00025643i,0.013673+0.0099746i,0.0035017+0.0041994i,0.0052837+0.0014232i,0.0042292+0.002903i,0.0060892+0.0016165i,0.0055357+0.0021825i,0.0019219-0.0038411i,0.0065358-0.0025807i,0.0063637-0.0065636i,-0.00081542-0.0011762i,-0.0026204+0.001335i,0.0006425+0.00064963i,-0.0013116-0.00022701i,-0.0023914+0.0018114i,-0.0015021+0.00084824i,0.0081684+0.0053114i,0.0014709+0.001313i,0.0025897-0.00051937i,0.00203+0.00012641i,0.001558+0.00089962i,0.00027827-1.6557e-05i,-8.4651e-05+0.00071748i,-0.0018848-0.0010183i,-0.0011705-0.00049647i,-0.00085041+0.0011715i,-0.00088131+0.00061146i,-0.0016284-0.00063458i,-0.0040384+0.0091265i,0.0010208-0.00027813i,0.00079827-0.00080188i,0.00047415+0.0022929i,-0.0014168-0.0030882i,-0.0011664+0.00030794i,-0.0018141+0.00034669i,0.0018761+0.0013532i,0.0065276+0.0032073i,-0.0071165+0.035553i,-0.069913+0.048727i,-0.047224+0.046523i,-0.027112+0.062707i,-0.0027719+0.069861i,0.0016607+0.049297i,0.0099364+0.030826i,-0.0037121-0.0068594i,-0.038711+0.012722i,-0.035776+0.020616i,0.0081564+0.021826i,-0.0081142+0.004911i,-0.0097043+0.0047576i,-0.013141+0.0017443i,0.001249-0.00069019i,0.0079918+0.010171i,0.0020807+0.011616i,-0.013388-0.0094326i,0.00076622-0.0077059i,-0.0061133-0.0031231i,-0.0015456-0.0059657i,0.001691-0.00568i,0.002964+0.0075114i,0.0065914-0.0071523i,0.00070807-0.0063579i,0.00051885-0.0038331i,0.0038695-0.0017286i,-0.0025381-0.0039683i,-0.0017431+0.0013053i,0.0027582-0.0004179i,0.0045629+0.025969i,-0.0046208-0.0026046i,0.0028598-0.0017343i,-0.0028631-0.0059805i,0.0026887-0.0023789i,-0.0144+0.0033472i,0.00098084+0.00048305i,0.0032735-0.0027847i,0.00295-0.0022996i,-0.00059623-0.0050521i,0.0012016+0.002769i,0.0021163+0.0051989i,-0.00028618+0.0058094i,-0.010949+0.0053792i,-0.015649+0.0019615i,-0.030432+0.057717i,0.0010205+0.0058531i,-0.028775-0.011189i,-0.0098628-0.009078i,0.012357+0.018147i,0.0021092+0.024768i,-0.003008-0.0016943i
0.011562+0.01258i,0.029496+0.039899i,0.035529+0.023654i,0.027611+0.020014i,0.035713+0.016999i,0.024392-0.0253i,0.011012-0.015116i,0.029163-0.0053685i,0.014894+0.0074935i,0.00402+0.0029466i,0.0050487-0.00021868i,0.0049111+0.0026923i,0.006058-2.2943e-05i,0.0058764+0.00046887i,0.00073017-0.0039815i,0.0050835-0.0035179i,0.0037283-0.0075856i,-0.0012203-0.0012764i,-0.0022661+0.0018456i,0.00053752-0.00037516i,-0.001809-0.00019339i,-0.0016792+0.0024106i,-0.0015148+0.001007i,0.0089905+0.00083354i,0.0022304+0.00062216i,0.0018638-0.0015178i,0.0015875-0.00062868i,0.0019537-2.6474e-05i,0.00020423+0.00010727i,-9.15e-05+0.00085382i,-0.0020558+3.5002e-05i,-0.0018264+0.00031568i,-0.00022853+0.0015591i,-0.00054079+0.00090495i,-0.0012531+0.00051655i,-0.0010747+0.0096008i,0.00069935-0.00035642i,0.00040575-0.0011014i,0.00091534+0.0014189i,-0.0023112-0.0022968i,-0.0011327+0.00049522i,-0.0015304+0.00083835i,0.0022033+0.0016895i,0.0073662+0.0018668i,0.0007169+0.035402i,-0.057077+0.059549i,-0.03886+0.054607i,-0.016128+0.063813i,0.011676+0.062974i,0.011419+0.047189i,0.0095431+0.02758i,-0.0092861-0.006975i,-0.038053+0.018736i,-0.029278+0.019506i,0.012634+0.017292i,-0.0074734+0.0069029i,-0.0075743+0.0077564i,-0.012253+0.0047339i,-0.0005153-0.0024853i,0.010742+0.0078768i,0.0073903+0.011329i,-0.017129-0.0049424i,-0.001498-0.0053172i,-0.0053572-0.0001652i,-0.0032702-0.0038565i,-0.0011239-0.0050494i,0.0050313+0.0064467i,0.0037993-0.0075932i,-0.0028871-0.0043846i,0.00064122-0.0016942i,0.003392-0.0042715i,-0.0042106-0.0027496i,-0.00014193+0.0010011i,0.0023962-0.0011333i,0.015307+0.019523i,-0.0059359-0.0011242i,0.0025308-0.0029869i,-0.0032914-0.0042402i,0.0029837-0.0039323i,-0.0099242+0.0084005i,0.0023429+0.0003355i,0.0021031-0.0030473i,0.0017017-0.0026556i,-0.0022116-0.004115i,0.00042232+0.0021135i,0.0035081+0.0030614i,0.0024298+0.0056087i,-0.0091232+0.0078385i,-0.015603+0.0063724i,-0.021739+0.05759i,0.0047378+0.0053559i,-0.030127-0.0055624i,-0.012861-0.010495i,0.016447+0.015i,0.0081699+0.0253i,-0.0052454-0.0012162i
0.011793+0.010537i,0.032845+0.033418i,0.038122+0.015762i,0.031251+0.012962i,0.039639+0.0089135i,0.018395-0.029132i,0.0069373-0.016634i,0.027313-0.010844i,0.015989+0.0048037i,0.0041852+0.0021869i,0.0042641-0.00077829i,0.0056969+0.0018421i,0.0051658-0.001i,0.0053154-0.001135i,-0.0005415-0.0038041i,0.003681-0.0038121i,0.0010789-0.0072891i,-0.0014725-0.00093854i,-0.0012351+0.0022316i,-0.00021265-0.00077627i,-0.0021103+0.00060779i,-0.0010122+0.0028259i,-0.0014108+0.0014413i,0.0075117-0.0025641i,0.0020257-0.00033467i,0.0009353-0.001611i,0.0010486-0.00090212i,0.0013839-0.0010123i,0.00024683-1.972e-05i,6.9419e-05+0.0011744i,-0.0017618+0.0011712i,-0.0013678+0.0012999i,0.00050955+0.0013257i,-0.00026036+0.0010206i,-0.00064316+0.0011007i,0.0019552+0.0091477i,0.00056042-0.00048183i,-0.0001112-0.0012519i,0.00098203+0.0012219i,-0.0028615-0.0013709i,-0.00098602+0.00086144i,-0.001273+0.0011434i,0.0030259+0.0016084i,0.0078058+9.8343e-05i,0.0077665+0.03231i,-0.041966+0.067111i,-0.029624+0.060357i,-0.0070626+0.063258i,0.02389+0.052145i,0.021148+0.041407i,0.0085852+0.026295i,-0.015391-0.0044271i,-0.035632+0.02517i,-0.025328+0.016995i,0.015553+0.011414i,-0.0059207+0.0095994i,-0.0044131+0.011173i,-0.010892+0.0075555i,-0.0041576-0.0015896i,0.013234+0.0039383i,0.011988+0.0082004i,-0.019183+0.00071136i,-0.0023531-0.0037542i,-0.0032921+0.0011648i,-0.0039423-0.0014624i,-0.0026341-0.0034815i,0.0069609+0.0031465i,0.0012377-0.007488i,-0.0045344-0.00020945i,0.0017522-0.0010061i,0.0010884-0.0058894i,-0.0046462-0.00045561i,0.00098062+0.0011201i,0.0022313-0.0017575i,0.020926+0.0094119i,-0.0061016+0.0017894i,0.0018826-0.0044656i,-0.0035993-0.002753i,0.001551-0.0060258i,-0.0045132+0.009636i,0.0035297-0.0010638i,0.001221-0.0024475i,0.001007-0.0023597i,-0.0025076-0.0023417i,0.00020028+0.0021318i,0.0032007+0.0010573i,0.0046002+0.0043254i,-0.0066386+0.0094775i,-0.013995+0.010654i,-0.013755+0.058296i,0.010821+0.00083507i,-0.029126+6.9783e-05i,-0.017829-0.010563i,0.017433+0.010151i,0.015151+0.023524i,-0.0053934-0.00030581i
0.012655+0.0090197i,0.035953+0.028319i,0.039216+0.0087995i,0.032592+0.0055269i,0.040949+0.00026476i,0.012485-0.031397i,0.0030624-0.016602i,0.024458-0.015552i,0.017135+0.0019i,0.004279+0.001421i,0.0037589-0.0010781i,0.0063462+0.00056158i,0.0045982-0.0012659i,0.0044128-0.0022673i,-0.0016266-0.002959i,0.0026184-0.003578i,-0.00060564-0.0061703i,-0.0019365-0.00050347i,-0.00060324+0.0019952i,-0.00097198-0.00062878i,-0.001916+0.0013004i,0.00011697+0.0030737i,-0.0010663+0.0019892i,0.0052622-0.004711i,0.0014191-0.00075372i,0.00043079-0.0015484i,0.00067122-0.0010594i,0.00053214-0.001238i,8.6856e-05+1.2607e-06i,0.00065287+0.0012296i,-0.00085327+0.0018042i,-0.00061162+0.0017291i,0.00085938+0.00087865i,0.0002179+0.0012265i,0.00016952+0.0014117i,0.0044099+0.0076687i,0.00018502-0.00051921i,-0.00068958-0.001073i,0.0014017+0.0010025i,-0.0030472-0.00029334i,-0.00060797+0.00090583i,-0.00089305+0.0013342i,0.0037751+0.00083297i,0.0074227-0.002037i,0.012665+0.028034i,-0.025459+0.070014i,-0.017894+0.064934i,0.0023354+0.062828i,0.029959+0.038945i,0.027441+0.03374i,0.0091291+0.027844i,-0.018756+0.0026598i,-0.031588+0.032923i,-0.024926+0.014927i,0.014422+0.0056005i,-0.0026731+0.011747i,0.00086529+0.011715i,-0.0088522+0.010345i,-0.0054657+0.0015314i,0.013411-0.0020316i,0.014918+0.0031771i,-0.018702+0.0068003i,-0.002442-0.0019056i,-0.0025456+0.0013965i,-0.0026846+0.00017225i,-0.003873-0.0014024i,0.0068407+0.00036417i,-0.0010001-0.0066203i,-0.0028447+0.0033808i,0.0029379-0.0017988i,-0.0014599-0.0059181i,-0.0035706+0.0011496i,0.0023199+0.00014271i,0.0017808-0.0023084i,0.02126-0.00042805i,-0.0040496+0.0040986i,9.474e-05-0.0055658i,-0.0029495-0.0020498i,-0.00071813-0.006539i,-0.00059484+0.0086221i,0.0030861-0.0027273i,0.0013079-0.0014233i,0.0011182-0.0020812i,-0.0013735-0.0017025i,0.00076276+0.002455i,0.0020258-0.00011415i,0.0054978+0.0018931i,-0.0044468+0.0094077i,-0.010475+0.014977i,-0.0052785+0.057973i,0.012333-0.0092865i,-0.025612+0.0024059i,-0.023123-0.0083229i,0.017937+0.0056563i,0.020573+0.017201i,-0.0061574-0.00078494i
0.013827+0.0069304i,0.039328+0.022718i,0.040053+0.0016566i,0.032408-0.001988i,0.040705-0.0080791i,0.006298-0.032796i,0.00024429-0.015888i,0.021119-0.019524i,0.017899-0.0019634i,0.0040884+0.00073793i,0.0038034-0.0012818i,0.0065126-0.00086733i,0.004828-0.001725i,0.0034047-0.0029811i,-0.0021442-0.0020927i,0.0020751-0.0032139i,-0.001395-0.0054292i,-0.0017909+8.0803e-05i,-0.00018482+0.0019191i,-0.0013724-0.0001189i,-0.0013189+0.0017828i,0.0014528+0.0026338i,-0.00037235+0.0022928i,0.0024346-0.0056127i,0.0011986-0.00089373i,-0.00010231-0.0015057i,0.00022559-0.0011812i,-3.8288e-06-0.0010564i,3.7064e-05+0.00018058i,0.0010258+0.00078144i,9.2572e-05+0.0018647i,0.00021983+0.0017853i,0.00091897+0.0005466i,0.00081049+0.0010066i,0.00085131+0.00081159i,0.0058065+0.0056064i,-1.0097e-06-0.00036142i,-0.00097661-0.00060769i,0.0013918+0.00039853i,-0.0026341+0.00050839i,-0.00041048+0.00082865i,-0.00048572+0.0013433i,0.0041601-0.00014041i,0.0062778-0.0035246i,0.016216+0.023327i,-0.010685+0.068434i,-0.0043982+0.065207i,0.012056+0.060757i,0.031951+0.026968i,0.031149+0.025916i,0.012404+0.030051i,-0.016911+0.011287i,-0.023347+0.041i,-0.026148+0.016242i,0.01216+0.0025408i,0.0013536+0.011797i,0.0047873+0.0098295i,-0.0056767+0.012572i,-0.0046796+0.0040287i,0.010029-0.0081844i,0.014542-0.0030341i,-0.016231+0.011562i,-0.0014811-0.00085845i,-0.0015438+0.0013576i,-0.0016019+0.00043113i,-0.0033149+0.0014223i,0.0053606-0.0015056i,-0.0023588-0.0048832i,0.00050351+0.0046567i,0.0028408-0.0035548i,-0.0034799-0.0046442i,-0.0025447+0.0018028i,0.0024613-0.0013049i,0.001753-0.0026506i,0.017551-0.0087494i,-0.0016425+0.0047832i,-0.0020129-0.0051794i,-0.002957-0.0014546i,-0.0030621-0.0057237i,0.0019094+0.0068866i,0.0026084-0.0037243i,0.0025097-0.0019015i,0.0011277-0.0031666i,-0.00072304-0.0021758i,0.001303+0.0026332i,0.00087677+0.00050606i,0.0051147+6.5628e-05i,-0.0030703+0.0089798i,-0.0046128+0.017039i,0.0031882+0.056461i,0.0069262-0.018315i,-0.024019+0.00078509i,-0.028271-0.0028835i,0.01663-0.00022682i,0.022139+0.010541i,-0.0071588+0.00022511i
0.014851+0.0046559i,0.041568+0.016219i,0.038903-0.006562i,0.029908-0.0097379i,0.038854-0.016922i,-0.00021874-0.032658i,-0.0018633-0.015096i,0.017123-0.023112i,0.017288-0.0060782i,0.0038865+0.00061345i,0.0034892-0.0018445i,0.0063048-0.0028188i,0.0045887-0.0028813i,0.0022297-0.003465i,-0.0024246-0.0011124i,0.001832-0.0030991i,-0.002532-0.004815i,-0.0019616+0.00047928i,0.00055248+0.0017061i,-0.0017602+0.00053784i,-0.00089438+0.0019431i,0.002251+0.0016226i,0.00028525+0.0023308i,-0.00051173-0.005288i,0.00075341-0.0016515i,-0.00063006-0.0010236i,-0.00030294-0.0010997i,-0.00031524-0.00080952i,0.00029369+0.00024121i,0.0010373+0.00028931i,0.0010733+0.0014879i,0.00081204+0.0015604i,0.00086348+0.0002331i,0.0011174+0.00060452i,0.00081763+3.1071e-05i,0.0064203+0.0037012i,-0.00016701-0.00023845i,-0.0011277-0.00025933i,0.0013183+9.6708e-05i,-0.0021153+0.00090752i,-0.00029029+0.00090003i,-0.0001594+0.0011798i,0.0041031-0.0014418i,0.0047145-0.0044874i,0.018347+0.018488i,0.0021835+0.064599i,0.0074596+0.061289i,0.021601+0.056966i,0.030468+0.016858i,0.032983+0.019216i,0.018205+0.030121i,-0.0098631+0.016664i,-0.011173+0.045136i,-0.026306+0.020008i,0.010121+0.00085085i,0.0045896+0.010037i,0.006944+0.0066771i,-0.0018832+0.013307i,-0.0039746+0.0054315i,0.0030637-0.010679i,0.011093-0.007751i,-0.012856+0.015686i,-0.00067477-0.0013772i,-0.0011038+0.00068901i,-0.0012185+0.0002369i,-0.00090757+0.0029659i,0.0040196-0.0014339i,-0.0025767-0.0037649i,0.003206+0.0034838i,0.0013901-0.005363i,-0.0045655-0.0028221i,-0.0013135+0.0021695i,0.0015776-0.0026185i,0.001263-0.0037213i,0.011212-0.0133i,0.00047858+0.0044873i,-0.0033127-0.0041508i,-0.0024376-0.001175i,-0.0044776-0.0044484i,0.0033371+0.0051497i,0.0016543-0.0052809i,0.0029147-0.0035091i,-0.00016924-0.0038324i,-0.0014516-0.0027561i,0.0028013+0.0026722i,0.00083764+0.0019221i,0.0045906-0.0010652i,-0.0021414+0.0091006i,0.00042316+0.01619i,0.011427+0.054507i,-0.0016706-0.023676i,-0.026939-0.00054754i,-0.029932+0.0050195i,0.011037-0.0041694i,0.022475+0.0046349i,-0.0066166+0.0010353i
0.015806+0.00173i,0.043351+0.010316i,0.035198-0.013437i,0.02469-0.015634i,0.034199-0.025095i,-0.0058851-0.030864i,-0.0033942-0.01433i,0.012391-0.025616i,0.01592-0.0099945i,0.0044157+0.00061452i,0.0032125-0.0020529i,0.0050092-0.0045511i,0.0039167-0.0038983i,0.0011529-0.0033671i,-0.0021688-0.00017556i,0.0015127-0.0029409i,-0.0040131-0.0034225i,-0.0017984+0.0012185i,0.00084579+0.00096173i,-0.0015884+0.0016425i,-0.00030476+0.002296i,0.0022998+0.00037549i,0.0009838+0.0021543i,-0.0026861-0.003466i,-0.00051104-0.0015365i,-0.00074576-0.00059638i,-0.00066045-0.00084431i,-0.00059365-0.00045819i,0.00031636-5.3484e-05i,0.0010171+1.2629e-05i,0.0016436+0.00072793i,0.0012875+0.0010948i,0.00082666-3.6303e-05i,0.0011878+0.00012713i,0.00029933-1.2691e-05i,0.0064541+0.0018237i,-0.00016413-0.00014123i,-0.0012262+0.00021399i,0.0012693-9.8371e-05i,-0.0014507+0.0012192i,-4.5282e-05+0.0010677i,3.845e-05+0.00095198i,0.0034025-0.0026666i,0.0031298-0.0047753i,0.019235+0.013887i,0.012953+0.05813i,0.016041+0.055904i,0.030543+0.05148i,0.027306+0.0098099i,0.033548+0.012885i,0.024122+0.027765i,-0.0024688+0.017171i,0.001629+0.044794i,-0.024062+0.024705i,0.009176-5.9312e-05i,0.0070533+0.007569i,0.0073981+0.0038182i,0.0020746+0.012661i,-0.0026436+0.0073466i,-0.0031357-0.0087096i,0.0066709-0.0097319i,-0.0078796+0.018556i,-0.0012417-0.0024477i,-0.0015628+0.00058601i,-0.0011371+0.00039667i,0.0017286+0.0026554i,0.0034987-0.0015862i,-0.0031578-0.0030397i,0.0044694+0.0014468i,-0.0014681-0.0062128i,-0.004477-0.00078843i,5.2235e-05+0.0017048i,0.0008697-0.0033547i,7.0547e-05-0.0048852i,0.0049539-0.014434i,0.0020599+0.0034777i,-0.0042934-0.0032233i,-0.0029862-0.0012418i,-0.005844-0.0027697i,0.0036027+0.0037511i,-0.00045524-0.0065104i,0.0024439-0.0051743i,-0.0011803-0.0032092i,-0.0019405-0.0026039i,0.0035676+0.0019153i,0.0020307+0.0026605i,0.0033191-0.0019778i,-0.00066252+0.0097173i,0.0042149+0.013837i,0.020963+0.051427i,-0.012064-0.025263i,-0.030533+0.0012913i,-0.027508+0.01298i,0.0060011-0.0035484i,0.020523-0.0014316i,-0.0059737-0.00012417i
0.015956-0.001964i,0.04488+0.0032657i,0.031148-0.018494i,0.019391-0.018551i,0.028175-0.031475i,-0.010334-0.02858i,-0.0045404-0.013989i,0.0076204-0.027239i,0.013617-0.01364i,0.0051723-0.00027386i,0.0033056-0.0026202i,0.0032384-0.0053236i,0.0029146-0.0050928i,0.00044941-0.0031793i,-0.0016771+0.00039815i,0.001377-0.0027086i,-0.0044144-0.0014343i,-0.0012367+0.0014072i,0.0005543+0.00034787i,-0.00080868+0.0021739i,0.00041497+0.0022435i,0.0019356-0.00042719i,0.0016146+0.0016745i,-0.0035743-0.00096388i,-0.0009869-0.00071098i,-0.00074048-0.0002935i,-0.00090703-0.0006158i,-0.00054507-0.00013638i,3.865e-05-4.7176e-06i,0.00077973-0.00044478i,0.0019098-0.0002178i,0.0013772+0.00062388i,0.00081712-0.00030818i,0.001227-0.00017161i,0.00013547+0.00029141i,0.005842+0.00025223i,-0.00018627+3.3442e-05i,-0.0010446+0.00079318i,0.0011078-0.00050355i,-0.0007379+0.0013617i,0.00033898+0.00098367i,5.6427e-05+0.00065617i,0.0021519-0.0034458i,0.0017651-0.0045455i,0.019335+0.0097954i,0.0203+0.050148i,0.022843+0.050829i,0.037978+0.043773i,0.024006+0.0046138i,0.033137+0.0085245i,0.029209+0.024084i,0.0035726+0.015803i,0.012877+0.040502i,-0.019716+0.029521i,0.0086291-0.0013507i,0.0084366+0.0040287i,0.0076633+0.0015541i,0.005636+0.010481i,0.00010368+0.0079588i,-0.0067836-0.0048381i,0.0023574-0.0098934i,-0.0021812+0.018598i,-0.002717-0.0024513i,-0.002522+0.0018405i,-0.00097171+0.00065282i,0.0031676+0.0011377i,0.0029069-0.00080787i,-0.003434-0.0018858i,0.0045419-0.00066475i,-0.0040767-0.0049056i,-0.0032931+0.00053276i,0.00044627+0.00052288i,-3.081e-06-0.0042221i,-0.0018296-0.0049992i,-9.0451e-05-0.013475i,0.0033129+0.0018547i,-0.0053571-0.0017657i,-0.0034616-0.00011007i,-0.0061009-0.0001522i,0.0040565+0.0030421i,-0.0036308-0.0062767i,0.0011609-0.0067247i,-0.0017805-0.0029025i,-0.0024514-0.0030608i,0.0043682+0.0013101i,0.003477+0.0023724i,0.0023057-0.0013756i,0.001004+0.0095243i,0.0065182+0.010783i,0.029665+0.045398i,-0.022765-0.022171i,-0.033685+0.0049078i,-0.022325+0.017609i,0.0040751-0.0021032i,0.016006-0.0056328i,-0.0080371-0.00093108i
0.014823-0.0054961i,0.044876-0.0045914i,0.027047-0.022788i,0.014886-0.020213i,0.021219-0.036346i,-0.014643-0.02612i,-0.0060135-0.014468i,0.0027394-0.028188i,0.010137-0.016567i,0.0054564-0.0015636i,0.0031714-0.0036793i,0.0015377-0.0054149i,0.0011765-0.005811i,-0.00017386-0.0030162i,-0.0013246+0.00056245i,0.0013997-0.0026839i,-0.0040797+0.0001804i,-0.00093187+0.0014019i,0.00036313+0.00019951i,-2.2733e-05+0.0023157i,0.0010352+0.0020341i,0.0014773-0.00087615i,0.001895+0.00095018i,-0.002932+0.0014247i,-0.00077186-2.3229e-05i,-0.00068082+9.7636e-05i,-0.0010573-0.00025272i,-0.00050356-2.6107e-06i,9.7599e-05+0.000125i,0.00028651-0.00063709i,0.0017128-0.0012147i,0.0014774+0.00030414i,0.00066625-0.00051895i,0.0010988-0.00072823i,0.00027677+0.00047761i,0.0051947-0.00075723i,-3.7228e-05+0.00016595i,-0.00059136+0.0012106i,0.00053511-0.00077969i,0.00013647+0.001137i,0.00062611+0.00092404i,-1.2724e-05+0.00062746i,0.00079206-0.0033986i,0.00074565-0.0036201i,0.018785+0.006564i,0.024237+0.043556i,0.029322+0.045579i,0.042566+0.035956i,0.020026+0.00031849i,0.034309+0.0050676i,0.033553+0.019123i,0.0096038+0.01261i,0.022311+0.033066i,-0.012423+0.033151i,0.0078513-0.0028783i,0.0077512-0.0003784i,0.007651-0.00098618i,0.0075475+0.007025i,0.0019152+0.0071889i,-0.008189+7.925e-05i,-0.0014693-0.0085903i,0.0018846+0.015908i,-0.0039708-0.0010612i,-0.0019678+0.0038948i,-0.0008529+0.00095286i,0.0038608-0.00076251i,0.004088+0.00054212i,-0.0029615-0.00092764i,0.0039635-0.00141i,-0.0051873-0.0029357i,-0.0022707+0.00072345i,0.00010356+6.6905e-05i,-0.0020893-0.0047525i,-0.0035485-0.0038665i,-0.0042519-0.011993i,0.003604-0.00018272i,-0.0055683+0.00017832i,-0.0028142+0.0010181i,-0.0052091+0.0016443i,0.0050404+0.002419i,-0.0058508-0.0042633i,-0.0012973-0.0078896i,-0.0026222-0.0023316i,-0.00417-0.0026522i,0.0055123-0.00038953i,0.0046874+0.0019241i,0.0026409-0.00094894i,0.0030425+0.0094134i,0.0069164+0.0076544i,0.036872+0.037539i,-0.02977-0.013644i,-0.036384+0.010838i,-0.016791+0.020688i,0.0024264-0.00031158i,0.011727-0.0065688i,-0.0094292-6.8091e-05i
