-0.022852-0.018659i,-0.032611-0.033095i,-0.022483-0.019606i,-0.032832-0.020329i,-0.023818+0.0042556i,-0.028819-0.017794i,-0.058321-0.044103i,-0.040408-0.041394i,-0.030236-0.019639i,0.0046454+0.0050679i,-0.0035393+0.0065411i,-0.011211+0.011059i,0.0038664+0.0068778i,-0.0039492-0.0024672i,0.0029312+0.0017213i,0.0044631+0.028341i,0.014474+0.031413i,-0.00025178+0.00014907i,-0.0032151-0.0025743i,0.0075673+0.0037211i,0.0019515+0.00061205i,-0.00037525+0.0022701i,-0.0005147+0.00041691i,-0.030428-0.0013868i,-0.0035787-0.0046475i,-0.00012133+0.0026543i,0.0057565-0.0012893i,0.00056868-0.00016492i,-0.00054096-0.00060648i,-0.001254-0.0017516i,-0.0022222-0.00060173i,-0.003962-0.0039091i,-0.0034209-0.0047423i,0.00061552-0.0012226i,0.00035521-0.0028734i,-0.0018856+0.024026i,0.0023342-0.0032962i,0.0025065-0.0037818i,0.0041174-0.0024219i,-0.0089047-0.0005312i,0.00056415+0.0011639i,0.0024324-0.0086149i,-0.0022795+0.00039093i,-0.0033704+0.0011165i,-0.0094195-0.0031683i,-0.019061+0.022011i,-0.0080708-0.086566i,-0.0021887-0.06105i,-0.02161-0.053921i,-0.010992-0.045715i,0.054736-0.026017i,0.024148-0.067629i,0.041275-0.053251i,0.019113-0.039324i,0.025989-0.019828i,0.01222+0.011838i,0.025741-0.02962i,-0.011021-0.00043016i,-0.00096908-0.0011158i,-0.0074883-0.0019421i,-0.0053547-0.028848i,-0.021556+0.027455i,0.0074657-0.0094463i,-0.010355-0.0033797i,-0.002628-0.0019476i,-0.00026091-0.014116i,-0.0082689+0.0051298i,0.0053216+0.010738i,-0.011397+0.030673i,0.0061558+0.0073971i,-0.0037122-0.0016169i,-0.0024626-0.0015533i,-0.012494-0.0054206i,0.0007038-0.0041777i,-0.035761+0.001732i,0.0037907-0.008754i,-0.007101-0.0016281i,-0.005149-0.0031262i,0.0072181+0.0014504i,-0.010164+0.00069432i,0.0024211-0.00017972i,0.0062021+0.0077393i,0.0057768+0.0006938i,-0.0075597-0.010195i,0.002919+0.0078124i,-0.019891+0.0071043i,0.003505+0.0058311i,-0.020955-0.0084948i,-0.027158-0.0053737i,0.00944-0.060192i,0.018499-0.014082i,-0.051382-0.028896i,-0.024349+0.0032621i,0.019035+0.010407i,-0.027582+0.011386i,-0.012556-0.0077678i
0.0058212+0.004908i,0.036963+0.014527i,0.019727-0.0045969i,0.013194+0.0020791i,0.0085483-0.0018323i,0.015949-0.0075038i,0.012596+0.014361i,0.020337+0.020994i,0.001269-0.0024562i,0.0012403+0.00095921i,0.00213-0.0012911i,0.0010358-0.0039374i,5.5072e-05-0.0012645i,0.0020858+5.1056e-05i,0.0052078-0.0012061i,0.0059644+0.00038937i,0.0048349-0.0047746i,6.8966e-05-0.0010967i,-0.0023629+0.000133i,0.00055441+0.0006429i,0.00017889-0.00016432i,-0.0021595-0.000561i,-0.0015342-5.7439e-05i,0.0063662+0.0073762i,-0.00056779+0.00030958i,0.00034515+0.00084137i,0.001044+0.00090714i,-4.4369e-05+0.0011802i,-0.00039171-0.00028361i,-0.0012415-6.2607e-05i,0.00084279-0.0014427i,-0.00048074+0.00038474i,0.00018209+0.00062325i,-5.9962e-05+0.00051791i,-0.00034265-0.0009406i,-0.012218+0.0036577i,0.00054115+0.0001625i,-0.00048436+9.6175e-05i,-0.00070725+0.001415i,0.00049622-0.0029302i,-0.00047378+0.00034759i,-0.00045729-0.00024045i,0.00099531+0.0012623i,0.0034676-0.0024381i,0.00036899+0.0030913i,-0.050356+0.0091255i,-0.0033926+0.029711i,-0.014123+0.040695i,-0.0086277+0.065118i,-0.017074+0.044058i,-0.0055841+0.019527i,-0.0082875+0.014051i,-0.044316+0.0036376i,-0.024596-0.0077925i,0.014603+0.025362i,0.00074947+0.0054189i,-0.0076879+0.0014761i,-0.014319-0.0022644i,0.0038138-0.00032878i,0.0079041+0.013214i,-0.0060609+0.0063196i,-0.0048082-0.0070966i,0.0057564-0.002972i,-0.0066688-0.0052874i,0.0037931-0.0068402i,0.0041366-0.0022423i,-0.0024734+0.01005i,0.011412-0.0057331i,0.0060978-0.0049461i,0.0051507-0.0079808i,0.0030065+0.00077065i,-0.0022661-0.0057108i,-0.0037774-0.0016012i,0.0021494-0.001666i,-0.005727+0.027509i,-0.0041394-0.005118i,0.0032462+0.0001325i,-9.3672e-05-0.0072855i,0.0031966-0.001855i,-0.013502-0.0064179i,0.00087656+0.00097937i,0.0038613-0.001782i,0.0028544-0.00090101i,0.0012784-0.0055897i,-0.0021908+0.0054417i,-0.0006574+0.0055394i,-0.0051931+0.0071825i,-0.0047649+0.0027996i,-0.0055689-0.00028091i,-0.023446+0.019878i,-0.0088524+0.013733i,-0.02216-0.011547i,-0.0090256-0.0098085i,0.0089353+0.020906i,-0.00057002+0.019537i,-0.0092288-0.0039194i
0.0062482+0.0027794i,0.038525+0.0068948i,0.018559-0.008241i,0.013753+0.00072681i,0.0093428-0.0032646i,0.014388-0.010708i,0.013347+0.011337i,0.022998+0.016919i,0.0005434-0.002911i,0.0017022+0.00037473i,0.0019996-0.0014682i,-0.00055012-0.0026528i,-9.6719e-05-0.00067863i,0.0021211+1.1635e-06i,0.0045054-0.0023177i,0.0054371-0.0003817i,0.002888-0.0052188i,0.00010963-0.00092529i,-0.0024976+0.00035017i,0.00083133+0.00011363i,3.9797e-05-0.00059005i,-0.0022165+1.6313e-05i,-0.0015141+0.0001381i,0.0097471+0.0040133i,-0.00083241+0.0010366i,0.00096136+0.00055543i,0.0011418+0.00024797i,0.00041638+0.00098418i,-0.00083129+0.00025654i,-0.0012695+0.00044904i,-0.00047163-0.0014055i,-0.00056472-9.2107e-05i,0.00023335+0.00053555i,0.00025413+0.00038737i,-0.00073342-4.724e-05i,-0.016775+0.0068306i,0.00021584+3.5548e-05i,-0.00028325+0.00046407i,5.2151e-05+0.0013064i,-0.00038841-0.0028872i,-0.00036825+0.00019658i,-0.00058982+8.7412e-05i,0.00095233+0.0010254i,0.0022923-0.0026784i,0.0016723+0.0030026i,-0.045357+0.017024i,-0.00024612+0.030497i,-0.0054561+0.041207i,0.0079272+0.061726i,-0.0061411+0.043365i,-0.0077202+0.015326i,-0.011365+0.011677i,-0.046441+0.0063409i,-0.020845-0.0094962i,0.020132+0.019877i,0.00062731+0.0050608i,-0.0065592+0.0069677i,-0.013439+0.0025236i,0.0024085-0.0020325i,0.010347+0.010996i,-0.0022813+0.010681i,-0.0087354-0.0053277i,0.0022977-0.0045561i,-0.0066947-0.0018074i,-0.00079577-0.0066347i,0.0025579-0.0038694i,0.0023533+0.0081375i,0.0071788-0.0084525i,0.0017532-0.0061679i,0.00092652-0.00548i,0.004164-0.00014136i,-0.0033066-0.0044072i,-0.0023281+0.0010104i,0.0019141-0.0018256i,0.0055965+0.028574i,-0.0057788-0.0044001i,0.0036278-0.0016894i,-0.0036608-0.0064176i,0.0031997-0.0025336i,-0.013843+0.00023662i,0.0017879+0.0012757i,0.0029876-0.0021384i,0.0030457-0.0021996i,2.8631e-05-0.0058507i,-0.0006435+0.0030818i,0.0015291+0.004599i,-0.0014942+0.0086035i,-0.0035286+0.0048687i,-0.0064239+0.00064008i,-0.018085+0.018567i,-0.0069629+0.016322i,-0.025327-0.0064196i,-0.01237-0.012576i,0.012332+0.020282i,0.0031426+0.021127i,-0.011744-0.0034288i
0.0057895+0.0010935i,0.038201-0.001309i,0.017167-0.012567i,0.015074-0.0021351i,0.010269-0.005495i,0.01194-0.013812i,0.013345+0.0083873i,0.025751+0.011705i,8.1647e-05-0.0028397i,0.001473-0.00033268i,0.0018983-0.0020384i,-0.00061075-0.0010877i,-0.00011298-0.00067281i,0.0021562-0.00045818i,0.0035163-0.0031678i,0.0047142-0.0011759i,0.0012432-0.0049538i,-9.0957e-05-0.0011308i,-0.0025782+0.0011353i,0.00068141-0.00070601i,-0.00068981-0.00091345i,-0.0019504+0.0006797i,-0.0015882+0.0004014i,0.010029-0.00090304i,-0.00015811+0.0014502i,0.00089076-0.00013531i,0.00087603-0.00011305i,0.00085016+0.00052762i,-0.00045511+0.00068033i,-0.0011139+0.00092536i,-0.0008665-0.0009502i,-0.0012449+0.00037336i,0.00045114+0.00043927i,0.00040359+0.00019672i,-0.00034184+0.00056995i,0.0069299+0.012901i,5.0433e-05+0.00015622i,-8.5036e-06+0.00037327i,0.00041496+0.0010206i,-0.0018609-0.0022829i,-0.0003342+4.0883e-05i,-0.00039564+0.00031468i,0.0010104+0.0011173i,0.0015734-0.0027049i,0.003632+0.0020895i,-0.039595+0.02364i,0.0042576+0.031222i,0.0033666+0.03833i,0.022828+0.053153i,0.0037477+0.042472i,-0.011302+0.014469i,-0.013859+0.012181i,-0.048147+0.012732i,-0.019767-0.012677i,0.023821+0.012375i,0.00066633+0.0048274i,-0.0038143+0.0090549i,-0.012675+0.0063165i,-5.0241e-05-0.0038988i,0.012658+0.0078867i,0.0029354+0.011584i,-0.011638-0.0025574i,0.00030838-0.0030995i,-0.0058692+0.00096737i,-0.0029264-0.0042219i,0.0006449-0.0037873i,0.0048+0.007052i,0.0041913-0.0090755i,-0.0014552-0.0045861i,0.00057966-0.0029306i,0.0045168-0.0024213i,-0.0049796-0.0030019i,-0.00068427+0.00091515i,0.00090036-0.002185i,0.01815+0.022374i,-0.0077055-0.0021926i,0.003098-0.0030051i,-0.0040175-0.0043788i,0.0035772-0.0039887i,-0.010794+0.0057422i,0.0036821+0.00092619i,0.0019539-0.0025407i,0.0019482-0.0027172i,-0.0021025-0.0050185i,-0.0013899+0.0028552i,0.0028033+0.0031429i,0.0019561+0.0086822i,-0.0020673+0.0051288i,-0.0071109+0.0026018i,-0.015635+0.01687i,-0.00068454+0.017652i,-0.026116-0.0016813i,-0.016353-0.013498i,0.017424+0.017065i,0.0085633+0.022001i,-0.013845-0.0013617i
0.0050507+0.00016105i,0.034851-0.0082453i,0.013802-0.01674i,0.014935-0.0063325i,0.010013-0.008706i,0.0086565-0.015959i,0.01292+0.0063813i,0.026164+0.0057453i,-8.8656e-05-0.003149i,0.00082691-0.00041085i,0.0016142-0.0028626i,-0.00015826-0.00046149i,-0.00055961-0.0003735i,0.0018169-0.00069979i,0.0022675-0.0036346i,0.0040061-0.0014201i,5.4642e-05-0.0044573i,-0.00037433-0.0010892i,-0.0015279+0.0019031i,3.5242e-05-0.0010833i,-0.0011806-0.00036601i,-0.0015385+0.0013746i,-0.0015115+0.00087856i,0.0077646-0.0046785i,0.00030478+0.0013026i,0.00054283-0.00028181i,0.00080619-0.00017645i,0.00067025+2.6796e-05i,-8.4656e-05+0.00060313i,-0.00070986+0.0014701i,-0.0012489-0.00031351i,-0.00086279+0.0012082i,0.00048857+0.00022497i,0.00037378+1.0418e-05i,0.00016584+0.00066824i,0.0032333+0.009511i,0.00015407+0.0002117i,-5.3418e-05+0.00022199i,0.00052053+0.00090329i,-0.002299-0.0007477i,-0.00042524+1.7221e-05i,-0.00025453+0.00031105i,0.001288+0.0011533i,0.0010226-0.0025624i,0.0053553-0.00019678i,-0.032023+0.028964i,0.0094217+0.031035i,0.0085334+0.034393i,0.034518+0.039964i,0.01339+0.037148i,-0.015038+0.016801i,-0.017117+0.014895i,-0.047487+0.02092i,-0.021817-0.015906i,0.025356+0.0035344i,0.0010615+0.0052088i,-0.00072793+0.011612i,-0.011056+0.0099573i,-0.0043387-0.0029281i,0.014595+0.0029151i,0.0080937+0.0098734i,-0.013341+0.0017303i,-0.000498-0.002321i,-0.0041813+0.0025436i,-0.0036077-0.0012948i,-0.00027559-0.003303i,0.0068745+0.0037709i,0.0013755-0.0092445i,-0.0035318-0.0017439i,0.0013327-0.0019169i,0.0031854-0.0044865i,-0.0049579-8.2971e-05i,0.00047474+0.0011244i,0.00037489-0.0019765i,0.026192+0.011022i,-0.007777+0.0016199i,0.0023568-0.0043418i,-0.0042719-0.0024489i,0.0022023-0.0062205i,-0.0059032+0.0079027i,0.0049267-0.0012146i,0.0010251-0.0019857i,0.0011962-0.0026605i,-0.0025866-0.0031706i,-0.001499+0.0035371i,0.0030944+0.0013488i,0.0060226+0.0074078i,-0.00086385+0.0047334i,-0.0072617+0.0049963i,-0.014026+0.017764i,0.0084839+0.013306i,-0.024676+0.0035892i,-0.02202-0.01199i,0.019362+0.011757i,0.014773+0.020493i,-0.013422+0.00048656i
0.0048537-0.00032793i,0.031499-0.012936i,0.0098055-0.019388i,0.013484-0.010341i,0.0084821-0.011752i,0.0054545-0.01712i,0.012754+0.0052288i,0.025314+0.0011763i,-0.00022932-0.0034716i,0.0003398-0.00024623i,-0.00056281-0.0029484i,0.00026197-0.00041083i,-0.00067824+0.00030605i,0.0015129-0.00092269i,0.0011633-0.0034785i,0.0037695-0.0013341i,-0.00060066-0.0036183i,-0.00083765-0.00088706i,-0.00062096+0.0018313i,-0.00060316-0.00094535i,-0.0012507+0.00010892i,-0.00080426+0.0017353i,-0.0011688+0.001383i,0.0046564-0.0067851i,0.00061014+0.0010967i,0.000368-0.00031912i,0.00062186-0.00046563i,0.00039352-0.00010208i,-7.0864e-06+0.00059147i,5.4843e-05+0.0017004i,-0.0011427+0.00029757i,-0.00020029+0.0014208i,0.00054128-6.3727e-05i,0.00034016+0.0001258i,0.00067631+0.00058862i,0.0028257+0.0077429i,8.4129e-05+0.0002694i,-0.00021252+0.00031146i,0.00088945+0.00080569i,-0.0017533+0.00037011i,-0.00067863-0.000167i,-0.00011869+0.00033431i,0.0016168+0.0007977i,0.00050495-0.0021022i,0.0054038-0.0032892i,-0.023208+0.031545i,0.015772+0.029397i,0.013984+0.03193i,0.039243+0.024518i,0.019104+0.030041i,-0.016231+0.022872i,-0.017728+0.021465i,-0.044895+0.030744i,-0.026621-0.016672i,0.020788-0.0044882i,0.0022936+0.0055471i,0.004589+0.011347i,-0.0081917+0.012712i,-0.0058868+0.00074318i,0.013489-0.003466i,0.011909+0.0061827i,-0.013209+0.0064754i,-0.00057832-0.00058668i,-0.0026658+0.0033828i,-0.0019811+0.00054552i,-0.0019848-0.0021978i,0.006802+0.00093167i,-0.00091795-0.0084095i,-0.003057+0.0014564i,0.0026864-0.0023427i,0.0012255-0.0056195i,-0.003408+0.0015437i,0.0017752+0.00038211i,0.00025157-0.0015583i,0.027689-0.0012133i,-0.0052882+0.0043596i,0.00082644-0.0053794i,-0.0034162-0.0016233i,-0.00023734-0.0069541i,-0.0021858+0.0076894i,0.0041012-0.0036667i,0.0011067-0.00091879i,0.0011907-0.002321i,-0.0018072-0.0021869i,-4.5386e-05+0.0044554i,0.002054+3.566e-05i,0.0083478+0.004681i,-0.00050024+0.00346i,-0.0057773+0.0078673i,-0.010711+0.01887i,0.011985+0.0021282i,-0.020535+0.0057224i,-0.027191-0.0085734i,0.020217+0.0065556i,0.020168+0.014447i,-0.014073+0.00092525i
0.0048561-0.0012093i,0.028568-0.017287i,0.0057932-0.021072i,0.011184-0.01416i,0.006348-0.01414i,0.0020491-0.017902i,0.013635+0.004289i,0.02361-0.0028709i,-0.00042257-0.0041632i,-0.00014673+0.00014239i,-0.00098005-0.0016691i,0.00053045-0.00043128i,-0.00016814+0.00092746i,0.0011426-0.00099352i,0.00041187-0.0031435i,0.0040302-0.0013755i,-0.00086602-0.0032998i,-0.00086149-0.00055223i,5.6538e-05+0.0016814i,-0.00093768-0.00058705i,-0.00093255+0.0004541i,0.00011185+0.0015301i,-0.00058304+0.0016515i,0.001407-0.0074896i,0.0010095+0.00087987i,0.00020096-0.0004183i,0.00035959-0.00063707i,0.00025187-0.00013261i,0.00018313+0.00057017i,0.00070701+0.0013778i,-0.00083748+0.00064668i,0.0005615+0.0012813i,0.00028021-0.00019754i,0.00049311-1.9225e-05i,0.00087874-2.9166e-05i,0.0038014+0.0065908i,0.00020471+0.0003134i,-9.9554e-05+0.00053169i,0.00094817+0.00040107i,-0.001205+0.00065014i,-0.0011332-8.5376e-05i,3.3049e-05+0.00019449i,0.0017344+0.00054306i,-0.00092875-0.0046026i,0.0045018-0.006035i,-0.01535+0.031277i,0.021605+0.02533i,0.019848+0.028089i,0.039018+0.010329i,0.022152+0.023608i,-0.013262+0.02966i,-0.013907+0.029002i,-0.037611+0.041716i,-0.031701-0.014095i,0.015401-0.0077812i,0.0037248+0.0048034i,0.0081314+0.0086439i,-0.0042762+0.015091i,-0.0051231+0.0034212i,0.0092017-0.0090801i,0.013359+0.00064279i,-0.010975+0.010284i,0.0005189+0.00011693i,-0.0008923+0.0035201i,-0.00050888+0.00051377i,-0.002042+0.00014582i,0.0054265-0.00067192i,-0.0028596-0.0066236i,-0.00103+0.0032028i,0.0027973-0.0041949i,-0.0010667-0.0053967i,-0.0024175+0.001729i,0.0021857-0.00093904i,0.0008098-0.0014909i,0.022421-0.012063i,-0.0023933+0.0051815i,-0.0010321-0.0051882i,-0.0032492-0.0011513i,-0.0028767-0.0064171i,0.00042779+0.0065732i,0.0027673-0.0049447i,0.0020859-0.0009781i,0.0010353-0.0031293i,-0.0011808-0.0026625i,0.0015365+0.0044118i,0.00089416+0.00025179i,0.0065181-0.00087108i,-0.00099335+0.0025976i,-0.0025675+0.0097884i,-0.0072271+0.018675i,0.0080687-0.0074412i,-0.017944+0.0033529i,-0.032326-0.0022618i,0.018524-7.2048e-05i,0.020898+0.0076706i,-0.015286+0.0026084i
0.004712-0.0019636i,0.024693-0.02158i,0.0012565-0.022635i,0.0072155-0.017872i,0.0035905-0.016372i,-0.0015883-0.017739i,0.015254+0.0024815i,0.022094-0.0068598i,-0.0010219-0.0047404i,-0.00024178+0.0010508i,-0.0012024-0.0012065i,0.00062848-0.0010942i,0.0004095+0.001052i,0.00070948-0.00087933i,-0.00013901-0.002722i,0.0042922-0.0020365i,-0.0013109-0.0032779i,-0.0011775-0.00039881i,0.00076448+0.001198i,-0.0013619-0.00013731i,-0.00092998+0.00050795i,0.00059245+0.00085708i,-7.3869e-05+0.0016607i,-0.0019779-0.0066842i,0.0011058+0.00011087i,-6.3707e-05-0.0002428i,-0.00043376-0.00059312i,0.00013735-4.5859e-05i,0.00049035+0.00035912i,0.0010207+0.00084222i,-0.00035457+0.00081253i,0.00021878+0.00086092i,2.3649e-05-8.1255e-05i,0.00048145-0.00015892i,0.00044569-0.00066802i,0.004585+0.0058826i,0.00035938+0.0002579i,-5.6657e-05+0.00054729i,0.00099457+0.00020072i,-0.00049866+0.00069194i,-0.0017141+0.00061333i,7.0642e-05+0.0001105i,0.0018752+9.4793e-05i,-0.0010003-0.0026421i,0.0023863-0.008453i,-0.0088091+0.0293i,0.025746+0.019793i,0.025025+0.022844i,0.034798-0.0012191i,0.02345+0.018273i,-0.0070954+0.034336i,-0.0048501+0.03388i,-0.025158+0.048558i,-0.035764-0.0087022i,0.010472-0.0088755i,0.0046339+0.0035423i,0.0095865+0.0046884i,0.00049875+0.01528i,-0.0043032+0.0051012i,0.001661-0.010887i,0.011395-0.0045577i,-0.007512+0.012863i,0.001627-0.0009167i,0.0004038+0.0021202i,-9.4856e-05-0.00022603i,-0.00027238+0.0015083i,0.0044245-0.0009335i,-0.0034025-0.004869i,0.0014058+0.003292i,0.0013711-0.006373i,-0.002622-0.0042338i,-0.0015411+0.0021188i,0.0015972-0.0024188i,0.00089925-0.0022657i,0.014736-0.017812i,-5.7999e-05+0.0048298i,-0.002242-0.0044079i,-0.0029086-0.0010626i,-0.004637-0.0054827i,0.0021334+0.0051492i,0.0010854-0.0064867i,0.002615-0.0018307i,-4.4698e-05-0.0036619i,-0.0019891-0.0032936i,0.0030937+0.0045155i,0.00055373+0.0014057i,0.0059377-0.0017481i,-0.0018515+0.0025856i,0.00076421+0.0092964i,-0.0038581+0.018711i,0.0011415-0.013814i,-0.020026+0.00065621i,-0.03301+0.0064781i,0.012559-0.0043567i,0.020603+0.0022413i,-0.014472+0.0044273i
0.0047977-0.0029649i,0.020594-0.024457i,-0.0041557-0.022742i,0.0016362-0.019583i,-7.1896e-05-0.017757i,-0.004576-0.016485i,0.016826-0.00041726i,0.019392-0.010034i,-0.0015015-0.0054749i,0.00052562+0.0019514i,-0.0014349-0.00032447i,-0.00020497-0.001518i,0.0009774+0.0010228i,0.00066294-0.0005699i,-0.00037968-0.002366i,0.0041678-0.0025985i,-0.0024428-0.002975i,-0.0013363+0.00024443i,0.0010066+0.00046128i,-0.001352+0.00075614i,-0.00080882+0.00083192i,0.00049766+0.00011259i,0.00037667+0.0015891i,-0.0041963-0.0042811i,0.00042471-0.00033802i,-0.00011024-6.2485e-05i,-0.00047091-0.00018553i,0.00010906+1.9814e-05i,0.00043569-1.3475e-05i,0.0010731+0.00045728i,3.1524e-05+0.00073314i,0.00090137+0.00069538i,8.4184e-05+8.5463e-05i,0.00042326-0.00025803i,-0.00017334-0.0004045i,0.0053413+0.0052392i,0.00046297+0.00010526i,5.4664e-05+0.00069471i,0.0011254+3.9548e-05i,0.0001325+0.00035355i,-0.0010033+0.0010758i,0.0001381+9.2166e-05i,0.0016551-0.00052633i,-0.0014163-0.0017303i,-0.00028705-0.009567i,-0.0038684+0.026392i,0.02795+0.014294i,0.029426+0.016405i,0.028692-0.0090385i,0.023563+0.013997i,0.00056373+0.036584i,0.0044752+0.033756i,-0.011467+0.050539i,-0.036592-0.0014805i,0.0076348-0.0090846i,0.0053284+0.0022062i,0.0090749+0.0013425i,0.0051995+0.013649i,-0.0027959+0.0070365i,-0.0047697-0.0078386i,0.0080099-0.0070683i,-0.0039794+0.013989i,0.0010142-0.0027271i,0.00064587+0.0014415i,-0.0003053-0.00021784i,0.0017834+0.0013437i,0.0040413-0.0012324i,-0.0042455-0.0034994i,0.0028964+0.0020415i,-0.0019576-0.0072143i,-0.0032005-0.0027i,-0.00015848+0.0016051i,0.00092545-0.0032364i,0.00038871-0.003364i,0.0060841-0.019603i,0.0015442+0.0038384i,-0.0031241-0.0038155i,-0.0035758-0.00095156i,-0.006238-0.0036934i,0.0027154+0.0039068i,-0.0015672-0.0072682i,0.0029158-0.003099i,-0.00091207-0.0030745i,-0.0027566-0.0031685i,0.0048278+0.003412i,0.0011744+0.0022203i,0.0044483-0.0029075i,-0.0021249+0.003545i,0.0030038+0.0075272i,0.00071033+0.018454i,-0.008985-0.016812i,-0.023745+0.00077191i,-0.029658+0.01461i,0.0072099-0.0036527i,0.018422-0.0033312i,-0.013071+0.0042991i
0.00462-0.0045817i,0.016649-0.027223i,-0.0087188-0.021006i,-0.0033971-0.018969i,-0.003804-0.018032i,-0.0066827-0.01523i,0.017677-0.004503i,0.016981-0.012187i,-0.0023833-0.0063032i,0.0018403+0.0018196i,-0.00099583+0.00043217i,-0.00093179-0.00097511i,0.0014783+0.00045681i,0.00074169-0.00053552i,-0.0005755-0.002126i,0.0040899-0.0031428i,-0.0030152-0.0017103i,-0.00088362+0.00051791i,0.00076044-0.00014029i,-0.00081524+0.001307i,-0.00051222+0.00088585i,0.00013416-0.0002692i,0.0008132+0.0013485i,-0.0050619-0.0016887i,-3.8829e-05-0.00015534i,-8.5419e-05+3.5246e-05i,-0.00059659-0.00017502i,0.00013096+3.4207e-05i,0.00017428+2.4914e-05i,0.0010009-1.7692e-05i,0.00038542+0.00049523i,0.00072475+0.0004868i,0.00027448+9.45e-05i,0.00039524-0.00017684i,-0.00029112+9.3238e-05i,0.0065513+0.0046998i,0.00034263+5.0465e-05i,0.00043301+0.00072111i,0.0011852-0.00042578i,0.00041836-0.00018819i,-0.00053926+0.00080732i,0.00016679-8.1128e-05i,0.0011507-0.001035i,-0.001606-0.00093008i,-0.0030033-0.0099177i,-0.0011424+0.023017i,0.029253+0.0092399i,0.03158+0.0085175i,0.022186-0.014091i,0.023683+0.011949i,0.0085531+0.036484i,0.012664+0.031664i,0.00099089+0.048152i,-0.034859+0.0055479i,0.004986-0.0093788i,0.0060768+0.00022724i,0.0085449-0.0010533i,0.0090297+0.010213i,1.179e-05+0.0075613i,-0.0076875-0.002915i,0.0043036-0.0080997i,6.7144e-05+0.013725i,-0.00041947-0.0031398i,7.6e-05+0.0014263i,-0.00039437-2.1924e-05i,0.0027646+3.156e-05i,0.0037503-0.00095557i,-0.0044353-0.0016266i,0.0033647+0.00059496i,-0.0049281-0.0053424i,-0.002936-0.0014467i,9.8185e-05+0.00038354i,9.8413e-05-0.0041646i,-0.00092009-0.0037066i,-0.0012998-0.017827i,0.0028618+0.0022452i,-0.0042742-0.002834i,-0.0039001+0.00045659i,-0.0067348-0.0010042i,0.0032168+0.0031724i,-0.0046649-0.0066719i,0.002567-0.004892i,-0.0012772-0.0028646i,-0.00347-0.0031891i,0.0061882+0.0022676i,0.0021803+0.0024037i,0.0028726-0.0024001i,-0.0018054+0.0042637i,0.004326+0.0054449i,0.0056336+0.016007i,-0.019598-0.014094i,-0.027706+0.003322i,-0.024381+0.018398i,0.0049782-0.0021393i,0.013415-0.0072576i,-0.0143+0.0048194i
0.0035763-0.0061131i,0.012258-0.029849i,-0.012252-0.018723i,-0.0073642-0.017253i,-0.0075769-0.017579i,-0.008837-0.014056i,0.017152-0.0095369i,0.014608-0.014392i,-0.0039904-0.0070795i,0.0028957+0.00074648i,-0.00033992+0.00071601i,-0.0011646-7.0408e-05i,0.0014896-0.00016007i,0.00083169-0.00062643i,-0.00088091-0.0019952i,0.0039115-0.0040076i,-0.003121-0.00066038i,-0.00061955+0.00041785i,0.00051925-0.00035539i,-0.00024627+0.0013736i,-0.00033566+0.0010952i,-0.0002166-0.00027905i,0.0010872+0.00092932i,-0.0044237+0.0012022i,-0.00013229+0.00011286i,-3.4017e-05+0.00012775i,-0.00060885+0.00014451i,0.00011601+6.0872e-05i,0.00021083+7.9866e-05i,0.00065461-0.00037403i,0.00050456+0.00015136i,0.00086308+0.00046991i,0.0003484+8.9989e-06i,0.00037641-0.00047485i,-2.6442e-05+0.00042148i,0.0076005+0.0026656i,0.00044533-4.4437e-06i,0.0007188+0.00059017i,0.00046864-0.00083283i,0.00069613-0.00052374i,-5.5198e-05+0.00067442i,6.6628e-05-0.00014889i,0.00040569-0.0010638i,-0.00153+0.00014531i,-0.005552-0.0093533i,-0.00050175+0.021115i,0.030035+0.004163i,0.030883+0.0020882i,0.015201-0.017397i,0.026127+0.010849i,0.016246+0.03365i,0.020862+0.027374i,0.011996+0.041986i,-0.030591+0.011058i,0.0025416-0.0091477i,0.0052952-0.0030144i,0.0078641-0.0037637i,0.010272+0.0054969i,0.0016929+0.0065503i,-0.0079774+0.0024962i,0.00058041-0.0075906i,0.0029334+0.011587i,-0.0023059-0.002914i,1.5427e-05+0.0024012i,-0.00033465+0.00021703i,0.0031262-0.0016349i,0.0045999-0.00028143i,-0.0034279-0.0003894i,0.0036581+0.00028301i,-0.0056072-0.0027238i,-0.0019466-0.00087492i,-0.00035377+0.00013152i,-0.0022715-0.0046255i,-0.0021706-0.0030199i,-0.0069833-0.015026i,0.0031959+0.00014366i,-0.0048413-0.0012451i,-0.003072+0.0015435i,-0.0060251+0.00095545i,0.0041704+0.0025104i,-0.0070228-0.0044342i,0.00060652-0.0067062i,-0.0021709-0.0024842i,-0.0050715-0.0024977i,0.0071684-0.00040707i,0.0033829+0.0023628i,0.0026699-0.0019187i,-0.00073239+0.0053903i,0.0043527+0.0030926i,0.0093574+0.011618i,-0.025409-0.0055684i,-0.030856+0.008736i,-0.01945+0.021716i,0.0033444-0.00021146i,0.0083827-0.0074883i,-0.014595+0.0065773i
