-0.022654-0.018906i,-0.031953-0.033061i,-0.022353-0.01972i,-0.032352-0.020083i,-0.023848+0.004163i,-0.028775-0.017512i,-0.05748-0.044012i,-0.04023-0.041528i,-0.030553-0.019087i,0.0052049+0.0057152i,-0.0036879+0.0062374i,-0.011085+0.011128i,0.0038272+0.0070917i,-0.0038627-0.0025854i,0.0029048+0.0017704i,0.0040289+0.028196i,0.021026+0.023211i,-2.0457e-05+0.00023028i,-0.0030145-0.0028978i,0.0075647+0.0038446i,0.0019477+0.00069655i,-0.00025319+0.0023343i,-0.000533+0.00040219i,-0.03155-0.0014714i,-0.0033374-0.0046541i,8.5998e-06+0.002665i,0.0040906-0.0015632i,0.00060648-9.4431e-05i,-0.00048141-0.00055805i,-0.0011409-0.0018418i,-0.0021817-0.00048112i,-0.0036085-0.0041806i,-0.003281-0.0056155i,0.00041642-0.001181i,0.00040152-0.0028285i,-0.0038374+0.024102i,0.0020387-0.0032542i,0.0022882-0.0038198i,0.0042174-0.0025142i,-0.0077083-0.0018579i,0.00056224+0.0011888i,0.0060019-0.0013351i,-0.0024627+4.5415e-05i,-0.0031357+0.0010157i,-0.0093298-0.0031975i,-0.018933+0.021498i,-0.0079346-0.086122i,-0.002543-0.060683i,-0.021084-0.053317i,-0.010674-0.046082i,0.054104-0.025877i,0.024445-0.067471i,0.040692-0.053584i,0.019521-0.038595i,0.025779-0.019672i,0.012364+0.011862i,0.0258-0.029983i,-0.010985-0.0019743i,-0.00086154-0.0011468i,-0.0073778-0.0019054i,-0.0049013-0.02944i,-0.02078+0.026767i,0.0075962-0.0096401i,-0.010239-0.003383i,-0.0023727-0.0018665i,-0.00061021-0.014689i,-0.008409+0.004907i,0.0053296+0.010601i,-0.011128+0.031264i,0.0068167+0.0077606i,-0.0035894-0.0017109i,-0.0024499-0.001547i,-0.012772-0.0057903i,0.00052814-0.0040364i,-0.032612+0.0026162i,0.003238-0.0087865i,-0.0072391-0.0017852i,-0.005108-0.002973i,0.006811+0.0019407i,-0.010599+0.00049439i,0.0024501-0.00027328i,0.005863+0.0078071i,0.0057642+0.00095741i,-0.0082685-0.0097106i,0.002644+0.0079383i,-0.020267+0.0086453i,0.0027179+0.0057515i,-0.021067-0.0089315i,-0.026942-0.0050168i,0.0099962-0.061981i,0.018554-0.014337i,-0.051065-0.028695i,-0.023571+0.0032214i,0.019186+0.010257i,-0.026855+0.011893i,-0.012517-0.0077597i
0.0057403+0.0047393i,0.036468+0.014422i,0.019614-0.0038963i,0.013098+0.0024234i,0.0084277-0.0018794i,0.015846-0.0072637i,0.01228+0.014167i,0.018663+0.019633i,0.0011015-0.0018579i,0.0011889+0.00089881i,0.0024499-0.0011588i,0.0012532-0.0041161i,3.4033e-05-0.0011848i,0.0021599+1.7953e-05i,0.0051253-0.0011965i,0.006104+0.00048101i,0.0052677-0.0055085i,7.3353e-05-0.0010858i,-0.0022372-0.0001194i,0.0003995+0.00078817i,0.00019994-0.00017887i,-0.0022004-0.00050096i,-0.001584-7.2031e-05i,0.0061128+0.0073898i,-0.00064072+0.00024336i,0.0003256+0.0008189i,0.0010527+0.00087486i,-2.9257e-05+0.0011242i,-0.00039994-0.0002404i,-0.0012762-8.6436e-05i,0.00066727-0.0012074i,-0.00053789+0.00042261i,0.00014449+0.00064853i,-5.9809e-05+0.00050692i,-0.00036724-0.0010214i,-0.0077812+0.007002i,0.00051717+0.00031344i,-0.00044017+5.8134e-05i,-0.00054723+0.001694i,-5.4986e-05-0.0025782i,-0.00065228+0.00037846i,-0.00040803-0.00030709i,0.00070726+0.0013388i,0.0034221-0.0023725i,0.00019893+0.002595i,-0.049637+0.008443i,-0.0035016+0.029138i,-0.014259+0.040572i,-0.0094245+0.06555i,-0.017045+0.04367i,-0.0059594+0.01916i,-0.0082421+0.01413i,-0.045195+0.0043485i,-0.02428-0.0074991i,0.015419+0.025687i,0.00049942+0.0054601i,-0.006848+0.0019061i,-0.014192-0.0018478i,0.0039319-0.00016884i,0.0075155+0.013278i,-0.0060232+0.0064634i,-0.004595-0.0066028i,0.0055529-0.002768i,-0.0066798-0.0053607i,0.0035466-0.0065313i,0.004048-0.0022787i,-0.0025869+0.010065i,0.011279-0.0056068i,0.0064366-0.0049522i,0.0052766-0.0081391i,0.0030368+0.00079391i,-0.0015304-0.0059057i,-0.0037201-0.0013346i,0.0021369-0.0016656i,-0.01045+0.031216i,-0.0041297-0.0050338i,0.0033417+0.00034618i,-0.00068795-0.0072225i,0.0033262-0.0017771i,-0.01335-0.0059754i,0.00086992+0.0010673i,0.0044936-0.0015487i,0.0025008-0.00081259i,0.001121-0.0054325i,-0.0020611+0.0054654i,-0.0007657+0.0059767i,-0.0049296+0.0074055i,-0.0050534+0.0025477i,-0.0055648-0.00015066i,-0.023938+0.019238i,-0.0085645+0.014329i,-0.022214-0.011558i,-0.0085627-0.010127i,0.008775+0.02069i,-0.0010738+0.01951i,-0.00876-0.0036689i
0.0061243+0.0027391i,0.037872+0.0068462i,0.018682-0.0076923i,0.013727+0.00087545i,0.0091395-0.003274i,0.014382-0.010441i,0.013064+0.011185i,0.022278+0.016041i,0.00044917-0.0021877i,0.0015322+0.00033132i,0.002347-0.0015163i,-0.00043855-0.0029347i,-8.6871e-05-0.00063161i,0.0021108-7.2975e-05i,0.0044451-0.0022899i,0.0054981-0.00036939i,0.002373-0.0055536i,0.00012171-0.00096772i,-0.0024848+0.00020687i,0.00086892+0.00022022i,4.0929e-05-0.00060255i,-0.0022492+9.2796e-05i,-0.0015515+0.00012921i,0.0095248+0.0041613i,-0.0010164+0.0010187i,0.00092926+0.00052242i,0.0010789+0.00017679i,0.00047699+0.0010124i,-0.00077792+0.00030012i,-0.0013097+0.00043805i,-0.00026514-0.0014125i,-0.00058582-1.1365e-05i,0.00020534+0.00055714i,0.00028095+0.00040311i,-0.00074702-1.3007e-05i,-0.0046411+0.0081243i,0.00028045+0.00012821i,-0.00029859+0.00036155i,0.00023215+0.0013654i,-0.00068499-0.0020614i,-0.00041271+0.00029748i,-0.00057103-4.4062e-05i,0.00082368+0.0012319i,0.0022486-0.0025965i,0.0013434+0.00264i,-0.044725+0.016676i,-0.00073289+0.030026i,-0.0056469+0.041035i,0.0076471+0.062537i,-0.0063653+0.042811i,-0.0081413+0.015534i,-0.011086+0.011426i,-0.046493+0.0071765i,-0.020464-0.0091626i,0.021+0.019416i,0.00037674+0.0051581i,-0.0057791+0.0068693i,-0.014228+0.0027555i,0.0023753-0.0019589i,0.0099969+0.01106i,-0.0022255+0.010788i,-0.0082906-0.0055263i,0.002486-0.0043829i,-0.0067546-0.001903i,-0.00070445-0.0063203i,0.0024993-0.0038035i,0.0021514+0.0080947i,0.0069578-0.0084582i,0.0025058-0.006131i,0.0010105-0.0055476i,0.004232-0.00019982i,-0.002669-0.0050641i,-0.0019006+0.00089426i,0.002078-0.0019143i,0.005725+0.032985i,-0.0055808-0.0042781i,0.0037145-0.0016604i,-0.0038898-0.0061661i,0.0032562-0.0025617i,-0.013512+0.00046796i,0.0018762+0.0013496i,0.0034792-0.0019663i,0.003062-0.0018685i,-0.00038104-0.0054994i,-0.00051583+0.0028894i,0.001629+0.0051225i,-0.00094791+0.008562i,-0.0034828+0.0047182i,-0.0064567+0.00084147i,-0.018552+0.018094i,-0.0063758+0.016642i,-0.025219-0.0063668i,-0.011929-0.013028i,0.011973+0.020081i,0.0026431+0.02146i,-0.011302-0.0033582i
0.0057117+0.0011774i,0.037502-0.0013286i,0.017277-0.012218i,0.015026-0.0019919i,0.010016-0.0054082i,0.012042-0.013551i,0.013067+0.0081946i,0.024501+0.010749i,1.5476e-05-0.0021191i,0.0012503-0.0002334i,0.0019327-0.0025375i,-0.00059651-0.001479i,-5.5934e-05-0.00061567i,0.0021204-0.00050676i,0.0035014-0.0031024i,0.004735-0.0011878i,0.0011265-0.0048339i,-0.00012014-0.001139i,-0.0025108+0.0011427i,0.00074365-0.00069474i,-0.00067407-0.00092897i,-0.001968+0.00073472i,-0.0016076+0.00040578i,0.010038-0.00074738i,-0.0002861+0.0014703i,0.00086966-0.00011351i,0.0007401-0.00017868i,0.00088392+0.00054893i,-0.00043378+0.000701i,-0.0011384+0.00093294i,-0.0008073-0.0010824i,-0.0011027+0.00055151i,0.00044047+0.000525i,0.0003733+0.00020973i,-0.00031582+0.0006167i,-0.0025065+0.0090858i,0.00014139+0.00020854i,-7.0019e-05+0.00032969i,0.00046445+0.0010022i,-0.0014713-0.0018296i,-0.00034243+9.242e-05i,-0.0004178+0.00022237i,0.0010501+0.0012079i,0.0017406-0.0025073i,0.0030915+0.0018515i,-0.038754+0.023219i,0.0036692+0.030936i,0.0029866+0.038385i,0.02311+0.053845i,0.0028639+0.041958i,-0.011287+0.014566i,-0.013686+0.011875i,-0.047598+0.013082i,-0.019376-0.012473i,0.023695+0.011461i,0.00065071+0.0050746i,-0.0033718+0.0084704i,-0.013479+0.0062422i,-1.5429e-05-0.0037916i,0.012404+0.008003i,0.0028389+0.011811i,-0.0111-0.0028998i,0.00059213-0.0030393i,-0.0061487+0.00088731i,-0.0027589-0.0040123i,0.00070287-0.003807i,0.0046315+0.0071627i,0.0041526-0.0086837i,-0.0011503-0.00521i,0.00073289-0.0030452i,0.0044778-0.002532i,-0.0043724-0.0039119i,-0.00068268+0.00068316i,0.00093295-0.0024282i,0.018948+0.024798i,-0.0072884-0.0022719i,0.0031984-0.0031319i,-0.0039957-0.0040766i,0.0035508-0.0040687i,-0.010612+0.0056167i,0.0037049+0.00055409i,0.0022623-0.0025846i,0.0021198-0.0024934i,-0.0019916-0.0041624i,-0.0013593+0.0028133i,0.0030386+0.0033032i,0.0030445+0.0083544i,-0.0019879+0.0050362i,-0.0069896+0.0027665i,-0.016103+0.016573i,2.0912e-05+0.017577i,-0.025878-0.0018468i,-0.016241-0.013936i,0.017048+0.016838i,0.0079346+0.022704i,-0.013533-0.001311i
0.0050767+0.0002551i,0.034184-0.0081681i,0.013837-0.016483i,0.01497-0.0062192i,0.0098535-0.0084748i,0.0087195-0.015692i,0.012635+0.0062314i,0.024891+0.0052352i,-3.542e-05-0.0025059i,0.0007086-0.00025608i,0.00063729-0.002934i,-0.00026272-0.00074643i,-0.00047345-0.00039831i,0.0017682-0.0007372i,0.0023126-0.0035672i,0.0039762-0.0014504i,0.00014018-0.0042118i,-0.00034029-0.0010324i,-0.0014776+0.0020373i,7.7302e-05-0.0010367i,-0.0011847-0.00040789i,-0.0015352+0.0014012i,-0.0015114+0.00089198i,0.0079156-0.0044563i,0.00028968+0.0013538i,0.00054928-0.00028748i,0.00058294-0.00019327i,0.00073714+7.6186e-05i,-7.4916e-05+0.00064972i,-0.00075097+0.0014723i,-0.0012664-0.00048822i,-0.00061128+0.0011911i,0.000572+0.00023813i,0.00031016+3.8316e-05i,0.00017938+0.00068294i,-0.00080793+0.010112i,0.00024101+0.00017943i,-8.7466e-05+0.00019577i,0.00049358+0.0008748i,-0.0018584-0.00075037i,-0.00045886+3.9704e-06i,-0.0002632+0.00026495i,0.0013736+0.0011526i,0.0014425-0.0022673i,0.0046868-9.3872e-05i,-0.031289+0.028033i,0.0090781+0.030973i,0.0082496+0.034833i,0.035206+0.040258i,0.012655+0.037179i,-0.015158+0.01681i,-0.01676+0.014549i,-0.046984+0.020659i,-0.021143-0.015448i,0.023843+0.0030602i,0.0012369+0.0054203i,-0.0007032+0.010927i,-0.011187+0.010049i,-0.0042986-0.0029327i,0.01446+0.003025i,0.0079477+0.010234i,-0.012947+0.00093036i,-0.00022881-0.0023273i,-0.0045466+0.0026665i,-0.0034678-0.0012734i,-0.00027553-0.0033896i,0.0068456+0.0038695i,0.0013613-0.0086311i,-0.0034396-0.001941i,0.001426-0.0018942i,0.003127-0.0045006i,-0.0049015-0.0001129i,0.00037506+0.00098125i,0.00032254-0.0020912i,0.026041+0.012551i,-0.0075843+0.0012147i,0.0022523-0.0044905i,-0.0040937-0.0023699i,0.0020052-0.0062902i,-0.0060147+0.0077362i,0.0048364-0.0018911i,0.0011247-0.0020538i,0.0013325-0.0025924i,-0.0023001-0.0028681i,-0.001348+0.0038867i,0.003195+0.0012456i,0.0066967+0.0062352i,-0.00092349+0.0047045i,-0.0069683+0.0050603i,-0.014357+0.017656i,0.0090759+0.012917i,-0.024619+0.0032262i,-0.022034-0.012429i,0.018913+0.011757i,0.014455+0.021529i,-0.012972+0.00065763i
0.0049261-0.00032245i,0.030899-0.012717i,0.0096204-0.019056i,0.013644-0.010313i,0.0084026-0.011464i,0.0055455-0.016894i,0.012393+0.0051108i,0.024267+0.00122i,-0.00011397-0.0030244i,0.00033958-0.00011517i,-0.0005219-0.0024616i,0.00011542-0.00056346i,-0.00065898+0.00022814i,0.0014308-0.00096662i,0.001192-0.0034732i,0.0036874-0.0013239i,-0.00053542-0.0033749i,-0.00078284-0.00088214i,-0.00056755+0.0018981i,-0.00055794-0.00094072i,-0.0012723+9.5988e-05i,-0.0007726+0.0017577i,-0.0011424+0.0014014i,0.0049914-0.0065161i,0.00063536+0.0011253i,0.00035357-0.0003066i,0.00037927-0.00036756i,0.00045522-9.3318e-05i,3.9006e-05+0.00058657i,6.5774e-06+0.0017463i,-0.0012457+0.00017654i,5.231e-06+0.0012628i,0.00046953-0.00010021i,0.00035274+0.00019579i,0.00069585+0.00060274i,0.0016376+0.010219i,0.00016179+0.00022663i,-0.00024421+0.00025949i,0.00088249+0.00078937i,-0.0016521+9.6589e-05i,-0.00072022-0.0001973i,-0.00015132+0.00029652i,0.0016331+0.00079633i,0.0011496-0.0017837i,0.0049163-0.0028622i,-0.023023+0.030498i,0.015485+0.029284i,0.014159+0.032441i,0.039788+0.024339i,0.018592+0.030301i,-0.01633+0.022806i,-0.017419+0.021065i,-0.044545+0.030018i,-0.02555-0.016254i,0.019689-0.0037039i,0.0025163+0.005577i,0.0041965+0.010784i,-0.0079426+0.012916i,-0.0060271+0.00062336i,0.013385-0.0033226i,0.011897+0.0065719i,-0.013175+0.0052447i,-0.0004047-0.00065612i,-0.0029001+0.0036334i,-0.0018425+0.00058597i,-0.0020451-0.0022529i,0.0068828+0.0010374i,-0.0011752-0.0077094i,-0.0030979+0.001295i,0.0027456-0.0023033i,0.0011425-0.0056257i,-0.0036832+0.0019023i,0.0016002+0.00028613i,0.00023451-0.0016055i,0.026995-0.00055813i,-0.0055082+0.0040773i,0.00062065-0.0053043i,-0.0033085-0.0016751i,-0.00041485-0.007027i,-0.002235+0.0076898i,0.0031936-0.0042679i,0.001189-0.00090896i,0.0014885-0.0024618i,-0.0015995-0.0024277i,0.00035792+0.0048371i,0.0020125-3.5877e-05i,0.0086468+0.0011386i,-0.00044852+0.0035805i,-0.005383+0.0077763i,-0.010892+0.018766i,0.012393+0.0015704i,-0.020536+0.0054524i,-0.027255-0.0090633i,0.019879+0.0068617i,0.020127+0.015192i,-0.013504+0.0011998i
0.0048834-0.0012093i,0.027978-0.016891i,0.0057556-0.020636i,0.011305-0.014202i,0.006311-0.013931i,0.0022325-0.01773i,0.013149+0.0042098i,0.023307-0.0027118i,-0.00030434-0.0038469i,-0.00012516+0.00019539i,-0.0010197-0.0017285i,0.00035204-0.00044141i,-0.0002442+0.00090562i,0.0010414-0.00098245i,0.00040477-0.0031632i,0.0039204-0.0013801i,-0.00063514-0.0029465i,-0.00082831-0.00057836i,9.5732e-05+0.0016963i,-0.00094262-0.00059832i,-0.00095767+0.00040889i,0.00017745+0.0015297i,-0.00055891+0.0016585i,0.0016809-0.007166i,0.0011575+0.00095047i,0.00018898-0.00036822i,0.00017563-0.00047388i,0.00029495-0.00013321i,0.00020637+0.0005648i,0.00068868+0.0014294i,-0.00094711+0.00058745i,0.00056851+0.0011601i,0.00021075-0.0001648i,0.00057352-1.2045e-05i,0.00089223-6.197e-05i,0.0048888+0.0094764i,0.00026565+0.00023347i,-0.00018586+0.00044203i,0.00093649+0.00038249i,-0.0011686+0.00046022i,-0.0012475+0.00017586i,-2.5681e-05+0.0001988i,0.0017661+0.00054729i,-0.00070054-0.0045636i,0.0043086-0.0055716i,-0.015325+0.030544i,0.021357+0.02523i,0.020187+0.028217i,0.039371+0.010054i,0.021851+0.023585i,-0.013262+0.0296i,-0.013923+0.028582i,-0.037556+0.040597i,-0.030203-0.013876i,0.015008-0.007317i,0.0037378+0.004794i,0.0076684+0.0084443i,-0.00392+0.014993i,-0.0053573+0.0034763i,0.0092603-0.0089122i,0.013386+0.00083572i,-0.01199+0.0090474i,0.00072211+5.0467e-05i,-0.00086162+0.0035451i,-0.0003726+0.00049205i,-0.0021036+0.00010023i,0.0056829-0.00065019i,-0.0027884-0.0060405i,-0.00090152+0.0031067i,0.0027842-0.0042343i,-0.0011299-0.0052537i,-0.0026387+0.0018886i,0.0019056-0.0010102i,0.00080695-0.0014967i,0.022291-0.011339i,-0.0026275+0.0051775i,-0.00099891-0.0050332i,-0.0031721-0.0011986i,-0.003017-0.0065278i,0.00053344+0.006854i,0.0023968-0.004816i,0.0021611-0.00094651i,0.0011309-0.0034844i,-0.0012745-0.002926i,0.0023499+0.0045112i,0.00088628+0.00026426i,0.0065275+0.0024053i,-0.0008824+0.0027005i,-0.0023007+0.0092198i,-0.0073513+0.018576i,0.008136-0.0079509i,-0.017997+0.0033361i,-0.032292-0.0025763i,0.018318+0.00024303i,0.021339+0.0083919i,-0.014766+0.0030379i
0.0046887-0.0020068i,0.024315-0.021093i,0.0013144-0.02228i,0.0072325-0.017867i,0.0036403-0.016194i,-0.0013244-0.017584i,0.014717+0.0024902i,0.021781-0.0063917i,-0.0009115-0.0045724i,-0.00034186+0.001052i,-0.001293-0.0011936i,0.00054133-0.00097574i,0.00032117+0.0010689i,0.00067626-0.00083264i,-0.00014093-0.0027073i,0.0041857-0.0019643i,-0.00086457-0.0029205i,-0.0011206-0.00042521i,0.00081831+0.0012557i,-0.0013522-0.00014523i,-0.00094554+0.00046532i,0.00066086+0.00083448i,-6.0424e-05+0.0016639i,-0.0016147-0.0063319i,0.0014788+0.00013649i,-4.805e-05-0.00020019i,-0.000283-0.00041268i,0.00013344-9.1715e-05i,0.00049737+0.00034728i,0.0010096+0.00088225i,-0.00044012+0.00081563i,-7.3545e-05+0.0009831i,-8.9531e-06-4.2227e-05i,0.0005078-0.00022315i,0.00040566-0.00070401i,0.0069376+0.007498i,0.00032832+0.0002151i,-0.0001331+0.00053173i,0.00095337+0.00018361i,-0.00058311+0.00061179i,-0.0012866+0.00059373i,4.0255e-05+0.00020831i,0.0019771+7.3513e-05i,-0.00101-0.0025937i,0.0024653-0.0080255i,-0.0090493+0.028833i,0.025499+0.019737i,0.02534+0.022772i,0.034901-0.0015309i,0.02307+0.018316i,-0.0070075+0.034002i,-0.0052058+0.033702i,-0.02557+0.047787i,-0.034089-0.008755i,0.01035-0.008803i,0.0045256+0.0036338i,0.0093067+0.0046207i,0.000723+0.015187i,-0.0044083+0.0052084i,0.0017833-0.010814i,0.011451-0.0043764i,-0.0091526+0.012297i,0.0017573-0.0010351i,0.00049119+0.0022713i,-4.2567e-05-0.00021993i,-0.000307+0.0014264i,0.0045265-0.00090276i,-0.0034388-0.0046105i,0.00138+0.003221i,0.0013405-0.0062575i,-0.0027005-0.004069i,-0.0016946+0.0021294i,0.0014336-0.0023748i,0.00083859-0.0022672i,0.014172-0.017661i,-9.6883e-05+0.0050043i,-0.00199-0.0042385i,-0.0029243-0.00099392i,-0.0047716-0.0053524i,0.002226+0.0053064i,0.0011521-0.006278i,0.0025259-0.0018489i,-0.00022476-0.0038874i,-0.0022993-0.0033101i,0.0035242+0.0040522i,0.00056668+0.0013737i,0.0067403-0.00085504i,-0.0018379+0.0027771i,0.00067696+0.0085517i,-0.0039489+0.018518i,0.00075998-0.014124i,-0.020012+0.00053096i,-0.033189+0.0062151i,0.012262-0.0040519i,0.021616+0.0026983i,-0.014169+0.0048992i
0.0047193-0.0029739i,0.020285-0.023959i,-0.0040751-0.022418i,0.0016687-0.019592i,-1.079e-05-0.017592i,-0.0042833-0.016421i,0.016297-0.00028017i,0.019715-0.0094511i,-0.0014472-0.0054725i,0.00035253+0.0020401i,-0.0014486-0.00032015i,-0.00023004-0.0014008i,0.0009029+0.0011264i,0.00065638-0.00053669i,-0.00038407-0.0023055i,0.0041446-0.0025353i,-0.0018817-0.0027479i,-0.0012615+0.00012848i,0.0010695+0.00044885i,-0.0013609+0.00074552i,-0.00077905+0.00078689i,0.00052786+9.8879e-05i,0.00037255+0.0015951i,-0.0042225-0.0039036i,0.00064923-4.5747e-05i,-7.9424e-05-3.5732e-05i,-0.00053079-3.827e-05i,6.004e-05+1.8472e-05i,0.0004403-2.8327e-05i,0.0010551+0.00047965i,-4.6532e-05+0.00077462i,0.00093121+0.00031862i,4.771e-05+0.0001288i,0.00038059-0.00025425i,-0.00026185-0.00040854i,0.0071581+0.0047439i,0.00041373+0.00011947i,-7.9959e-06+0.00069596i,0.0010874+1.1147e-05i,6.2547e-05+0.00034404i,-0.0010329+0.00091508i,0.00015089+0.0001477i,0.0017708-0.00054836i,-0.0013908-0.0016592i,-3.3261e-05-0.0093753i,-0.0042099+0.026027i,0.027863+0.014149i,0.029659+0.016199i,0.028597-0.0092377i,0.023442+0.014214i,0.00024204+0.036112i,0.0041976+0.033714i,-0.011996+0.04998i,-0.034909-0.0016163i,0.0072304-0.0086854i,0.0053831+0.002357i,0.008833+0.0012759i,0.0054602+0.013495i,-0.0028844+0.007162i,-0.004692-0.0079202i,0.0080914-0.0071003i,-0.0057265+0.01419i,0.0013131-0.0029168i,0.00051688+0.0014639i,-0.0002829-0.00029233i,0.001727+0.0012454i,0.00417-0.0012659i,-0.0042185-0.0033987i,0.0029103+0.00209i,-0.0020739-0.0071675i,-0.0033949-0.0025475i,-0.00029555+0.0016693i,0.00083875-0.003216i,0.00038507-0.0033319i,0.0057908-0.019209i,0.0016009+0.0040291i,-0.0028213-0.003567i,-0.0036594-0.0010036i,-0.0062969-0.0035169i,0.0027189+0.0040649i,-0.0011387-0.0072858i,0.0026809-0.0030252i,-0.0011131-0.003168i,-0.0028771-0.002903i,0.0048928+0.003024i,0.0011464+0.0021255i,0.0048937-0.0026135i,-0.0021645+0.0037578i,0.00275+0.0070202i,0.00061721+0.018081i,-0.0092156-0.016469i,-0.024017+0.00066505i,-0.029898+0.014519i,0.0071746-0.0033583i,0.019704-0.003909i,-0.012807+0.004744i
0.0045353-0.0045514i,0.016467-0.026658i,-0.0085602-0.020704i,-0.0034107-0.0189i,-0.0037511-0.017961i,-0.0064058-0.015195i,0.017155-0.0042171i,0.017647-0.01215i,-0.0024524-0.0063657i,0.0017291+0.0020548i,-0.00099336+0.00041769i,-0.00095669-0.00085195i,0.0015371+0.00058019i,0.00074837-0.00049621i,-0.00053093-0.0020532i,0.0040638-0.0031292i,-0.0025907-0.0017392i,-0.00090461+0.00032297i,0.00076056-0.0001802i,-0.00088735+0.001244i,-0.00046301+0.00093908i,0.00014342-0.00027059i,0.0008245+0.0013718i,-0.0055658-0.0017437i,0.00015127+9.0365e-05i,-4.9469e-05+4.34e-05i,-0.00042199+0.00013111i,6.4819e-05+8.0899e-05i,0.00018016+1.2523e-05i,0.0010044-1.7128e-05i,0.00039569+0.00059239i,0.00075819+0.00033366i,0.00022861+0.00013663i,0.00038805-0.00018251i,-0.00031732+0.00013186i,0.0074675+0.0023645i,0.00030593+0.00010655i,0.00038252+0.00076965i,0.0010694-0.00037324i,0.00037754-0.00012741i,-0.00043664+0.0010297i,0.00018707-4.9418e-05i,0.0012239-0.0010841i,-0.0016144-0.00089553i,-0.0028743-0.0099618i,-0.0014268+0.022766i,0.029018+0.0089078i,0.031721+0.0080453i,0.021793-0.01437i,0.023568+0.0122i,0.0081698+0.03619i,0.01234+0.031735i,0.00037028+0.047759i,-0.033203+0.0050523i,0.0048352-0.0089625i,0.0060858+0.00031377i,0.0083623-0.0010026i,0.0091989+0.010025i,5.4254e-05+0.0076371i,-0.0077929-0.0030244i,0.0042054-0.0083214i,-0.0011055+0.014568i,-0.00041293-0.0039253i,-1.3831e-05+0.0012995i,-0.00035905-7.4474e-05i,0.0027134-6.3464e-05i,0.0037809-0.00097681i,-0.0044013-0.0015742i,0.0034755+0.00067572i,-0.0050084-0.005225i,-0.0032459-0.0010583i,0.0001056+0.00039928i,-0.00011136-0.0040898i,-0.0008531-0.0037649i,-0.0012749-0.017922i,0.0030841+0.0023993i,-0.00389-0.0028059i,-0.00403+0.00055821i,-0.006676-0.0011189i,0.0033205+0.0033126i,-0.0042668-0.0068102i,0.0022887-0.0047245i,-0.001486-0.0028692i,-0.0032002-0.0029403i,0.0060452+0.0019167i,0.0020719+0.002322i,0.0030055-0.0024138i,-0.0019366+0.0044039i,0.003865+0.0051994i,0.0053002+0.015592i,-0.019534-0.013778i,-0.027814+0.0034165i,-0.024615+0.018518i,0.0049473-0.0020538i,0.014346-0.0089428i,-0.014149+0.0049585i
0.003485-0.0060168i,0.012145-0.029239i,-0.011996-0.018526i,-0.0074062-0.017065i,-0.0074475-0.017532i,-0.0085977-0.014022i,0.016742-0.0091736i,0.015123-0.01477i,-0.0040909-0.007101i,0.0028008+0.0013828i,-0.00030765+0.00070936i,-0.0011408+0.00010761i,0.0015816-0.00012446i,0.0008149-0.00057654i,-0.00080624-0.0019691i,0.003832-0.0039586i,-0.0026136-0.00055465i,-0.00067909+0.00023212i,0.00050622-0.00039036i,-0.00030068+0.0013831i,-0.00022913+0.0011451i,-0.00020615-0.00028744i,0.0010963+0.0009415i,-0.0047691+0.0012482i,-6.8971e-05+5.5761e-05i,-6.901e-06+0.0001327i,-0.00036494+0.0002251i,9.9903e-05+0.00013785i,0.00021509+8.2083e-05i,0.00066215-0.00037089i,0.00059135+0.00013874i,0.00090102+0.00046379i,0.0003172+7.7068e-05i,0.00034799-0.00050451i,-1.1028e-05+0.00042652i,0.0073214+0.000447i,0.00039867+8.2971e-05i,0.00071508+0.00064877i,0.00035724-0.00068491i,0.000667-0.00047265i,2.1095e-05+0.00091984i,6.9442e-05-0.000151i,0.00049424-0.0011462i,-0.0015403+0.00016258i,-0.0055695-0.0094803i,-0.00048165+0.020928i,0.029636+0.0038865i,0.030694+0.001524i,0.01462-0.017607i,0.02608+0.011034i,0.015718+0.033587i,0.02064+0.027432i,0.011397+0.041925i,-0.028716+0.010441i,0.00251-0.0088923i,0.0052815-0.0029098i,0.0077478-0.0037546i,0.010348+0.0053606i,0.0018697+0.0065979i,-0.0081535+0.0024654i,0.00033933-0.0077175i,0.0023973+0.012117i,-0.0029047-0.0034054i,-0.00021536+0.0018082i,-0.00030485+0.00013905i,0.0031967-0.0016537i,0.0045634-0.00037212i,-0.0034111-0.00045715i,0.0038238+0.00019385i,-0.0059134-0.0029193i,-0.0018103-0.001127i,-0.00036096+8.8672e-05i,-0.0022097-0.0045962i,-0.0021977-0.0030883i,-0.0070868-0.015268i,0.0035004+5.2835e-05i,-0.0045613-0.0014833i,-0.0030315+0.0017047i,-0.0061152+0.00084135i,0.0040898+0.002496i,-0.0065488-0.0046061i,0.00024519-0.0064396i,-0.0023499-0.0023557i,-0.0047189-0.0022757i,0.0071702-0.00043584i,0.0030644+0.0023425i,0.0027311-0.0020295i,-0.00083194+0.0055669i,0.0038792+0.0031845i,0.0088816+0.011538i,-0.025128-0.0053467i,-0.031017+0.0087912i,-0.019654+0.02176i,0.0032741-0.00043539i,0.007987-0.0081317i,-0.014456+0.0067924i
