-0.025042-0.0055087i,-0.020894-0.0080622i,-0.0127-0.013755i,-0.035895-0.0085291i,-0.02695+0.0016759i,-0.035966-0.0028445i,-0.067657-0.035852i,-0.034792-0.014804i,-0.023289+0.0025244i,0.0067231+0.0065049i,-0.0050655+0.006981i,-0.0078591+0.018246i,0.0046771+0.0077924i,-0.0011179+0.0036304i,0.0040854+0.0040277i,0.0048141+0.025408i,0.019534+0.018148i,0.0010759-0.00055762i,0.00069891-0.0055073i,0.0092197-0.00010121i,0.0046908-0.0017757i,0.0029782+0.0022306i,0.0010204-0.00048734i,-0.024036+0.00023527i,-0.0057185-0.0034533i,-0.0011681+0.0031314i,0.0033571-0.0033755i,-0.0016362+0.00031133i,-0.00068955+0.00095439i,-0.0026517-0.0017308i,-0.004064-0.00060766i,-0.0064934-0.0087604i,-0.005838-0.0030482i,-0.0007694-1.3343e-05i,-0.00044908-0.0020972i,-0.0026236+0.019967i,0.0023595-0.0040126i,0.0011222-0.0046044i,0.0026437-0.0019463i,-0.0010904-0.0027903i,0.00098523-0.00020528i,0.0087517-1.9442e-05i,0.0051365-0.002196i,0.00015296+0.0021407i,-0.014314+0.015442i,-0.027303+0.054429i,-0.0054378-0.037131i,-0.015209-0.018902i,-0.039879-0.016857i,-0.027699-0.012838i,0.036768-0.011314i,0.0061841-0.030333i,0.013198-0.037692i,-0.0072454-0.03034i,0.026439-0.022843i,0.013431+0.007204i,0.027754-0.034214i,-0.0018699-0.0041584i,0.0061426-0.0086351i,-0.00088715-0.005941i,9.2296e-05-0.035556i,-0.014537+0.028206i,0.0092371-0.012216i,-0.0078863-0.0045562i,-0.0026503-0.0018851i,-0.00031948-0.015822i,-0.0081545+0.0062184i,0.0041119+0.0070369i,-0.00040953+0.02645i,0.0032737+0.00060015i,-0.0067821-0.004619i,-0.0036643-0.0062598i,-0.014077-0.01004i,-0.00231-0.0057287i,-0.055524+0.022564i,-0.0044753-0.0089038i,-0.012534-0.00092274i,-0.010009-0.0058241i,0.0016765-0.0012647i,-0.013492+0.0025907i,-0.0010648-0.00056811i,0.0053447+0.0059528i,0.00396-0.0050133i,-0.010239-0.016404i,0.0077097+0.0091928i,-0.015583+0.0064253i,0.00494+0.00038837i,-0.019889-0.0029978i,-0.016005-0.0037146i,-0.015464-0.035888i,0.020262-0.010683i,-0.038922-0.023206i,-0.01042+0.0046407i,0.017534+0.014883i,-0.023001+0.017313i,-0.0043331-0.0033376i
0.0086209-0.0099654i,0.011284+0.00086898i,0.0077071+0.0036015i,0.014763-0.0033075i,0.018592-0.0013972i,0.015773-0.013241i,0.016537-0.0056026i,0.012179-0.00053803i,0.00058497-0.009383i,-0.00082984+0.0011584i,-0.001077-0.00077784i,-0.0013934+0.00023972i,-0.00088912+0.0045065i,-0.0019401+0.0024594i,0.0013191+0.0016791i,0.0015272-0.00018684i,0.003022-0.0035396i,0.0012997-0.00085017i,0.00064585+0.0036067i,7.7891e-05+2.3755e-06i,0.0004456-0.0027979i,-0.001735-0.0019193i,-0.00066319-0.00029254i,0.0020782+0.0051378i,-0.0016223+0.00029303i,-0.0021047+0.0016392i,-0.0026696+0.0002731i,-0.0021872+0.00011306i,-0.0020762-0.0013129i,-0.0022601+0.0006559i,8.0276e-06-0.0013916i,0.00072845+0.0012441i,0.0016185-6.5205e-05i,0.0021303-0.0001311i,0.0011043-0.00066031i,-0.0067707+0.0038607i,-0.00099424-0.00052476i,-0.001068+0.0001543i,-0.002067+5.6114e-05i,0.0016132-0.00094244i,0.00047488-0.00099619i,0.0011505-0.0011306i,-0.0013486+0.00073795i,0.0030708-0.00016862i,0.00071259-0.012598i,-0.026497-0.0042929i,-0.0018703-0.0057351i,-0.0071486+0.0021806i,0.016947+0.02412i,0.0015817+0.004627i,0.013671-0.014431i,-0.011091-0.027179i,-0.0042893-0.012454i,0.0070117-0.0088088i,0.02283+0.020898i,0.0018588+0.001153i,-0.0011879+9.1164e-05i,-0.0058311-0.00093672i,0.010514-0.0031664i,0.013741+0.007744i,0.0028568+0.0044449i,-0.0034712-0.0080336i,0.0065946-0.0029556i,-0.0042553-0.0066334i,0.0027453-0.01116i,0.0065306-0.006103i,-0.00076873+0.0077236i,0.0093981-0.0076097i,0.0054191-0.0091718i,0.0017028-0.0062042i,-0.0031624-0.0015233i,-0.0058118-0.0068507i,-0.0073483-0.0033437i,-0.00049131-0.0016005i,-0.0012975+0.027827i,-0.01038-0.00092568i,-0.00028887+0.002871i,-0.0073797-0.0032242i,0.00011776+0.00055254i,-0.015248+0.0018523i,-0.0028268+0.0010825i,-0.0015875-0.0019922i,-0.0033981-0.00036382i,-0.0050982-0.0042876i,-0.0026113+0.005877i,-0.0017336+0.0023829i,-0.0050719+0.0058512i,-0.0069261+0.00015012i,-0.0025558-0.0012423i,0.0085927-0.0017713i,-0.0056716+0.018082i,-0.028108-0.0025683i,-0.0095891-0.00327i,0.012237+0.016617i,-0.0021701+0.017184i,-0.0072031-0.004715i
0.006876-0.012i,0.011365-0.0029022i,0.0082866+0.0025811i,0.01355-0.0050064i,0.018375-0.0045606i,0.013246-0.015605i,0.013548-0.0086479i,0.01197-0.0026048i,-0.0011015-0.0094184i,0.0003077+0.0012446i,-0.00098497+0.0001142i,-0.0014767+0.0015434i,0.00045559+0.0043935i,-0.00094673+0.0031158i,0.0012106+0.00091262i,0.0011691+0.00015359i,0.0010975-0.0037461i,0.0013705-0.0015919i,-0.0010827-0.00048149i,0.00039581-0.00058786i,-0.00037061-0.0028769i,-0.0021156-0.00098215i,-0.00069485-0.00052294i,0.0047421+0.0039435i,-0.0017457+0.0012837i,-0.0010045+0.0023701i,-0.002845+0.0010998i,-0.002187+0.00096289i,-0.0029282-0.00017484i,-0.0019313+0.0017941i,-0.0014157-0.00091597i,0.00069439+0.00034245i,0.001014-0.00051843i,0.0019866-0.001827i,0.00055652-0.00031314i,-0.0054022+0.0068771i,-0.0016119+0.00013274i,-0.0010356+0.00077896i,-0.002275+0.0010309i,0.0015318-0.0015196i,0.00032175-0.00098955i,0.00083587-0.001627i,-0.0016732+0.00087753i,0.0023135-0.00023102i,-0.00077534-0.011992i,-0.024955-0.0016898i,-0.0033675-0.0034483i,-0.0040122+0.00062169i,0.025303+0.016855i,0.0052111+0.0020111i,0.0069087-0.017725i,-0.019129-0.027234i,-0.0087685-0.01377i,0.0098575-0.015644i,0.038897+0.005818i,0.00046295+0.00039726i,-0.00059188+0.00282i,-0.005483+0.00095214i,0.0075713-0.0067787i,0.014619+0.004036i,0.0055446+0.0053024i,-0.0081998-0.0078396i,0.0033024-0.0049389i,-0.0053275-0.0042579i,-0.0026536-0.010214i,0.0038276-0.0075835i,0.003171+0.0058896i,0.0050772-0.0089595i,0.0013355-0.0092546i,-0.0012957-0.0041962i,-0.0023004-0.00037347i,-0.0075625-0.0047101i,-0.0088097+0.0012078i,-0.00018053-0.0010697i,0.011568+0.02577i,-0.010834+0.0039601i,0.00058567+0.0017485i,-0.0085668+8.99e-05i,0.00065686+0.00026865i,-0.012983+0.008077i,-0.0015547+0.0023952i,-0.0022227-0.00032599i,-0.0023173+0.00032827i,-0.0054927-0.0017696i,-0.0003517+0.0031333i,-0.00053733+0.0019672i,-0.0013742+0.0067127i,-0.0045936+0.0023947i,-0.0035896-0.0009297i,0.0096407-0.0092537i,-0.0022169+0.020321i,-0.028514+0.0034055i,-0.011155-0.0050816i,0.0138+0.014691i,0.001202+0.018513i,-0.0095593-0.0034953i
0.004085-0.013212i,0.0092376-0.0071854i,0.009376+0.00067885i,0.012831-0.0068384i,0.017854-0.0077327i,0.010391-0.017963i,0.010015-0.011094i,0.011591-0.0047847i,-0.0025821-0.008559i,0.00018943+0.00012123i,-0.00061253+0.00014831i,-0.0007315+0.0025381i,0.0015492+0.0035798i,0.00011746+0.0029456i,0.00067531+0.00089834i,0.0010344+0.00035648i,-0.00045328-0.0029972i,0.0012467-0.0021944i,-0.0013692-0.0005768i,9.675e-06-0.0013474i,-0.0013828-0.0027332i,-0.001707-0.00034319i,-0.0010662-0.00069425i,0.0057572+0.0012658i,-0.001172+0.0020626i,-0.00031929+0.0025021i,-0.0027395+0.0026153i,-0.00172+0.0017926i,-0.0029981+0.0014778i,-0.0010644+0.0026141i,6.9747e-05-2.3759e-05i,0.00051783+0.0010017i,0.00075808-0.00059057i,-0.0008129-0.001644i,0.00065213+0.00019564i,-0.0028645+0.0090619i,-0.0015729+0.0011565i,-0.00057515+0.0011951i,-0.0017404+0.0022009i,0.0011301-0.0023632i,0.00033945-0.0011376i,0.00032773-0.0018416i,-0.0018578+0.0021013i,0.0023802+0.00021658i,-0.0014989-0.011249i,-0.027276-0.00066173i,-0.0026802+0.00098444i,-0.0012349-0.0023348i,0.033972+0.0061198i,0.0079683+8.835e-05i,0.0001846-0.017758i,-0.026324-0.024317i,-0.013094-0.011473i,0.0089746-0.0237i,0.011397+0.0034002i,-0.0012318+0.00044893i,-0.00040667+0.0020748i,-0.0054318+0.002053i,0.0024877-0.010007i,0.014573-0.000532i,0.0079935+0.0043632i,-0.012977-0.0045102i,0.0015633-0.004336i,-0.0057192-0.0014325i,-0.0053599-0.006907i,0.00091895-0.0076906i,0.0053145+0.0051263i,0.0021287-0.0086782i,-0.0042558-0.0069347i,-0.0025763-0.0017042i,-0.0021178-0.00051879i,-0.0093861-0.0015155i,-0.0043196+0.0037639i,-0.00091778-0.0014738i,0.020213+0.015635i,-0.009978+0.0083304i,0.0011561+0.0011514i,-0.0055681+0.0014248i,0.0012369-0.00073683i,-0.0072801+0.012519i,-0.00041229+0.0029483i,-0.0025287+0.00050069i,-0.0022242+0.0012688i,-0.0049136+0.00078431i,-0.0017722+0.0029865i,2.8092e-07+0.0011663i,0.0011867+0.0065187i,-0.0031655+0.001786i,-0.0044454+0.00020445i,0.0057593-0.015493i,0.0074322+0.019277i,-0.026769+0.0070952i,-0.013266-0.0057765i,0.016826+0.010323i,0.0057445+0.019441i,-0.010832-0.0020326i
0.0014203-0.013122i,0.0053513-0.0088809i,0.0092501-0.0018953i,0.011615-0.0090389i,0.016476-0.011023i,0.0066664-0.019624i,0.006236-0.011994i,0.010693-0.0069201i,-0.0033753-0.007807i,-0.00057464+0.00084662i,-0.0006704+0.00016433i,0.00048498+0.0028762i,0.0018698+0.0028364i,0.00061229+0.0027344i,0.00064094+0.0015427i,0.00082439+0.00078298i,-0.001328-0.0016707i,0.00064975-0.0029309i,-0.0011787-0.00057302i,-0.00082579-0.0015853i,-0.0019791-0.0019986i,-0.0015813-0.00020183i,-0.0015524-0.0004859i,0.0053224-0.0012799i,-0.00031819+0.0025393i,0.00043913+0.0027338i,-0.0012489+0.0040473i,-0.0011047+0.002289i,-0.0020162+0.0027971i,8.4633e-05+0.0028899i,-0.00017154-0.00020736i,0.0014681+0.00061213i,0.00070218-0.00071447i,-0.001046-6.1171e-05i,0.00085761+0.00048308i,9.4235e-05+0.0098703i,-0.00094154+0.0019146i,-0.00020089+0.0013156i,-0.00072253+0.0028811i,4.5597e-05-0.0027251i,8.1441e-05-0.0015288i,-3.9708e-05-0.0020062i,-0.0011938+0.0031725i,0.002679+0.00017117i,-0.0018661-0.011438i,-0.017273-0.00387i,0.0015525+0.0027039i,-0.0023169-0.0064464i,0.037091-0.0087715i,0.010039-0.0043891i,-0.0057836-0.014624i,-0.033084-0.01798i,-0.015463-0.0064023i,0.0029586-0.031011i,0.015531-0.00097236i,-0.0019066+0.0019969i,-0.00062297+0.0044295i,-0.0050076+0.0038834i,-0.0039035-0.0085094i,0.013118-0.0056935i,0.010219+0.0017369i,-0.014512+0.0025947i,4.0189e-05-0.0042542i,-0.0046622+0.00086562i,-0.0062578-0.003107i,-0.0009846-0.0074644i,0.0068214+0.0016444i,-0.00080176-0.0081283i,-0.0048621-0.0022981i,-0.0019619+0.00076668i,-0.0023883-0.00016856i,-0.0088683+0.0025014i,-0.0016931+0.0047027i,-0.001622-0.0011763i,0.023483+0.0080996i,-0.005763+0.013205i,0.0014176+0.00025208i,-0.0040461+0.0024626i,0.00020421-0.0018784i,-0.00115+0.012614i,0.0014922+0.0024708i,-0.0020168+0.0023784i,-0.0015128+0.0026235i,-0.0017638+0.003552i,0.0010545+0.0058639i,-0.00038427+0.00047623i,0.0043105+0.0054977i,-0.0031066+0.00062382i,-0.0054443+0.0020265i,0.00079099-0.016721i,0.017489+0.010181i,-0.023371+0.011067i,-0.016755-0.0050669i,0.015905+0.0053528i,0.010827+0.018304i,-0.01012-0.00075399i
-0.00042235-0.012807i,0.0027841-0.0083949i,0.0083974-0.0038335i,0.010161-0.011037i,0.01458-0.01387i,0.0030804-0.020484i,0.0031663-0.011574i,0.0093406-0.0087403i,-0.003979-0.0070666i,-0.00055065+0.0016182i,-0.00088196+0.00036871i,0.0015466+0.0025232i,0.0019751+0.0025182i,0.00098206+0.0025015i,0.0015372+0.0016819i,0.00078307+0.0017162i,-0.0012681-0.0005371i,-0.00053268-0.0033746i,-0.0014487-0.00073492i,-0.001648-0.0013662i,-0.0024074-0.0014473i,-0.0014361-4.6018e-05i,-0.0018632+3.266e-05i,0.0040515-0.0030116i,0.00066748+0.0026284i,0.0015171+0.0026497i,0.00052466+0.004265i,-0.00041012+0.0026633i,-0.0006905+0.0034818i,0.0012829+0.0027203i,-0.00019012-9.8821e-05i,0.0031415-0.001088i,0.00040687-0.00041973i,-0.00010587+0.00026573i,0.0017403+0.001465i,0.0030995+0.0096603i,-0.00023834+0.0024841i,0.00012625+0.0014984i,0.00054528+0.0031641i,-0.00080892-0.0026495i,-0.00043606-0.001753i,-0.00066472-0.0021291i,-0.00043054+0.0036644i,0.0026153-0.00060465i,-0.0030425-0.011872i,-0.011995-0.00047376i,0.00616+0.0018516i,-0.004797-0.0071251i,0.033191-0.02294i,0.0093382-0.0089713i,-0.0083739-0.0096246i,-0.03608-0.0091661i,-0.015253+0.0001393i,-0.0064526-0.033297i,0.012539-0.0047205i,-0.0012568+0.0030995i,0.0023257+0.0051611i,-0.0040219+0.005536i,-0.0067155-0.0040323i,0.009247-0.010908i,0.01086-0.0021728i,-0.012674+0.0061872i,-0.0010037-0.0029792i,-0.0030191+0.0019485i,-0.0048002-0.00068168i,-0.0037035-0.0062612i,0.0059801-0.00087138i,-0.0034961-0.006439i,-0.0035031+0.00052871i,0.00011799+0.0020245i,-0.0023667+0.0003038i,-0.0058348+0.0056935i,0.0012585+0.0040149i,-0.0018004+7.5626e-05i,0.023171-0.00096355i,0.0021075+0.015586i,0.00095399-0.00030235i,-0.0021464+0.0023524i,-0.00087164-0.0013802i,0.003141+0.010517i,0.002378+0.0013767i,-0.00023999+0.0042625i,0.00061771+0.0033445i,0.0018469+0.0047648i,0.0024017+0.0032132i,-0.0013672+0.00069915i,0.0050332+0.0027661i,-0.004285+0.00053841i,-0.0047819+0.0045103i,-0.0019843-0.016239i,0.018501-0.0044623i,-0.017635+0.011331i,-0.019672-0.0024517i,0.015337+0.00198i,0.015627+0.013545i,-0.010981-0.00087724i
-0.0022049-0.012457i,0.0016301-0.0081326i,0.0077259-0.005348i,0.0084688-0.013128i,0.01223-0.016535i,-0.0007118-0.020905i,0.0013153-0.010588i,0.0078208-0.010274i,-0.0042729-0.0065822i,-3.107e-05+0.0019404i,-0.00094442+0.00091863i,0.0024032+0.0019836i,0.0023336+0.0024399i,0.0013851+0.0024502i,0.0021949+0.0011557i,0.0013386+0.0037397i,-0.00070978-3.5523e-05i,-0.0017637-0.0033282i,-0.0020072-0.00045898i,-0.0022976-0.00076089i,-0.0025474-0.00093428i,-0.0012839+5.508e-05i,-0.0019662+0.00066829i,0.0022099-0.0042056i,0.0017137+0.0023794i,0.0025544+0.0018797i,0.0021218+0.0038617i,0.00057945+0.0029436i,0.00075023+0.0035584i,0.0022804+0.0020192i,-0.00013309-2.39e-05i,-0.0037475+0.0034822i,-8.0857e-05+0.00030992i,9.764e-05+0.00022526i,0.0051697+0.0014544i,0.0058514+0.0083956i,0.00092511+0.0025692i,0.00075631+0.001602i,0.0017908+0.0027441i,-0.001547-0.0021336i,-0.0010781-0.0017675i,-0.0014451-0.0020512i,0.00063652+0.0040474i,0.0023379-0.0010086i,-0.0043795-0.01207i,-0.0086794-0.00084507i,0.009795-0.0018349i,-0.006197-0.0062908i,0.025507-0.033924i,0.0068634-0.01209i,-0.0080355-0.0049508i,-0.033897-0.00034248i,-0.010409+0.006818i,-0.014146-0.030783i,0.0089615-0.0060786i,-0.00026042+0.0036723i,0.0042781+0.003625i,-0.0025341+0.0070486i,-0.0072565-0.00062645i,0.0026467-0.014023i,0.0089721-0.00641i,-0.010273+0.0089784i,-0.00075907-0.0020213i,-0.0016377+0.0017555i,-0.0036033-6.9833e-05i,-0.0045468-0.0036328i,0.0044183-0.0021579i,-0.0052621-0.0043399i,-0.0013234+0.0018194i,0.0023954+0.0011163i,-0.0021428+0.0010788i,-0.0028699+0.0062519i,0.0020215+0.0021431i,-0.00093605+0.0011193i,0.019201-0.0086829i,0.0090772+0.007342i,0.00067768+4.3294e-05i,-0.0013356+0.002264i,-0.0011724-0.00019913i,0.0061917+0.0079776i,0.0033119+0.00039794i,0.0031746+0.0042454i,0.002157+0.0021001i,0.0041976+0.0035456i,0.0024551+0.0029207i,-0.0016506+0.0021148i,0.004155+0.0023307i,-0.0057189+0.001309i,-0.0028471+0.0059161i,-0.0046644-0.015818i,0.010779-0.015134i,-0.015158+0.0071628i,-0.022758+0.0019281i,0.013152-0.0030915i,0.016734+0.0083508i,-0.012137+0.00053468i
-0.0040344-0.011687i,0.0002144-0.0080713i,0.0065602-0.007675i,0.0058682-0.015272i,0.0093456-0.018958i,-0.0049695-0.020235i,0.00029547-0.0098434i,0.0062345-0.01181i,-0.00463-0.0061143i,-5.1226e-05+0.0024676i,-0.00083193+0.0013626i,0.0026033+0.00084029i,0.0028363+0.0021351i,0.0018397+0.0022572i,0.0024273+0.00063332i,0.003265+0.0057998i,-0.00045747+0.00013281i,-0.003198-0.0028539i,-0.0022141+0.00015029i,-0.0027911+0.00015892i,-0.0027805-0.00057273i,-0.0012719-2.9717e-05i,-0.0018936+0.0013319i,7.4994e-05-0.0045771i,0.0025799+0.0014372i,0.0030686+0.00089731i,0.003313+0.002908i,0.0017475+0.0027369i,0.0022086+0.0029901i,0.002916+0.00090622i,1.0426e-05-2.2395e-05i,0.00087374+0.0028791i,-0.00020298+0.00059836i,0.00038193+0.00018551i,-0.006087-0.025687i,0.0079729+0.0059406i,0.0019608+0.0019584i,0.0013682+0.0012746i,0.0029453+0.0017809i,-0.0019204-0.0014858i,-0.001766-0.0015388i,-0.0021063-0.0014238i,0.0020267+0.0041409i,0.0018723-0.0012397i,-0.0060357-0.011889i,-0.0066364-0.0023838i,0.0108-0.0064465i,-0.0059766-0.004656i,0.014776-0.041046i,0.0038498-0.013607i,-0.0061682-0.0027098i,-0.028743+0.0056542i,-0.0023106+0.0091289i,-0.019639-0.026097i,0.006234-0.0060906i,0.00090781+0.0035507i,0.0043759+0.001398i,-0.00028351+0.0077293i,-0.0072311+0.0026401i,-0.0051415-0.012964i,0.0055195-0.0086377i,-0.0075669+0.011384i,-0.00010639-0.0025661i,-0.0012126+0.0013814i,-0.0034701-1.9011e-05i,-0.004263-0.0015855i,0.0032477-0.0022365i,-0.0063683-0.0027156i,5.872e-05+0.0015236i,0.0033212-0.0013073i,-0.0015513+0.0017953i,7.4082e-05+0.0062707i,0.0013751+0.0011749i,-3.5259e-05+0.00083202i,0.012456-0.013456i,0.0074976+0.0053312i,0.00092742-3.9585e-05i,5.2285e-06+0.0016944i,-0.00047993+0.00026449i,0.0077706+0.004834i,0.0039509-0.001772i,0.0050601+0.002298i,0.0028455+0.0011247i,0.0046563+0.0010905i,0.0036354+0.0022928i,-0.00071744+0.0036229i,0.00628+0.001812i,-0.0066775+0.0034295i,-0.00091987+0.0059074i,-0.0051193-0.014182i,0.00058201-0.020587i,-0.018373+0.003724i,-0.022321+0.0080872i,0.0070125-0.0059039i,0.01661+0.0036804i,-0.011901+0.0019842i
-0.0050308-0.01079i,-0.00031035-0.0073494i,0.0043165-0.0091512i,0.0022606-0.016589i,0.0057796-0.020719i,-0.0084458-0.018354i,-0.00015451-0.0094623i,0.0041739-0.013118i,-0.0048928-0.0059382i,0.001013+0.0034136i,-0.00064978+0.0020761i,0.0024021+0.00015281i,0.0033473+0.0017181i,0.0023765+0.0020699i,0.0025925+6.0388e-06i,0.0046814+0.0048863i,-0.000473+0.0003738i,-0.0046007-0.0015437i,-0.0020133+0.00070727i,-0.0027442+0.0013115i,-0.0031851+0.00028399i,-0.0017533-7.1337e-05i,-0.0015462+0.0020298i,-0.002204-0.0039864i,0.0028004+0.000339i,0.0032234-0.00029966i,0.0043154+0.0014229i,0.0027161+0.0020238i,0.0032748+0.0017822i,0.0029709-0.00025723i,9.3053e-05-0.00010047i,0.0020447+0.0013595i,0.00010584+0.00089139i,0.0004516-0.00022821i,-0.0040292-0.00020437i,0.008888+0.0028784i,0.0025423+0.0010617i,0.0018407+0.00077582i,0.0034138+0.00023021i,-0.0020068-0.00078337i,-0.0024833-0.00090584i,-0.0023954-0.00078599i,0.0033264+0.0032118i,0.0016244-0.0013721i,-0.0076043-0.011276i,-0.0056877-0.0054161i,0.0096796-0.010327i,-0.0043531-0.0042411i,0.0033489-0.043308i,0.00076114-0.013744i,-0.0046811-0.0015461i,-0.023398+0.008598i,0.0056723+0.0067504i,-0.022742-0.019796i,0.0048628-0.0058855i,0.002014+0.0027371i,0.0036663+0.00020413i,0.0024408+0.0072798i,-0.005478+0.0060679i,-0.010689-0.0078291i,0.0015611-0.0088882i,-0.0045248+0.013333i,-0.0014609-0.0039638i,-0.0011647+0.0013811i,-0.003626+0.00054657i,-0.0033449-4.3367e-05i,0.0022811-0.0025179i,-0.0074401-0.0016373i,0.0010083+0.00066338i,0.0010186-0.0035932i,-0.00055394+0.0022889i,0.002889+0.0047713i,0.00088582+0.0018327i,0.00033936+0.00037969i,0.0049446-0.014529i,0.0092761+0.00195i,-0.0002749-0.00035841i,8.3736e-05+9.2403e-05i,0.00033765+0.0002847i,0.0079512+0.0020135i,0.0030072-0.0043025i,0.0062084+0.00011379i,0.0037981+9.4504e-05i,0.0047817-0.00085828i,0.0043205+0.0011759i,0.00090449+0.0041159i,0.0052815-0.0013044i,-0.0060212+0.0062136i,0.00089058+0.0052781i,-0.0046385-0.013754i,-0.011213-0.021961i,-0.022265+0.0045871i,-0.018988+0.013078i,0.0021644-0.0036655i,0.014358-0.00088493i,-0.011425+0.0021086i
-0.005765-0.0107i,-0.00047784-0.0076798i,0.0023772-0.0095201i,-0.0013969-0.016481i,0.0020426-0.021654i,-0.01108-0.016316i,-0.00026868-0.0098363i,0.0017882-0.01419i,-0.0053081-0.0058023i,0.0024734+0.003289i,0.00014977+0.0028872i,0.00211-0.00014895i,0.003932+0.00083206i,0.0029809+0.0016136i,0.0025872-0.00067685i,0.0054999+0.0047189i,-0.00020193+0.00066945i,-0.0047579+0.00033953i,-0.0018931+0.0010748i,-0.0021844+0.0021769i,-0.0031251+0.0012256i,-0.002153+0.00060034i,-0.00096905+0.0025344i,-0.0040382-0.0022058i,0.0025735-0.00055743i,0.0029624-0.0014251i,0.0044565-0.00048736i,0.003434+0.00094602i,0.0034826+0.00043088i,0.0026479-0.0013039i,0.00012894-0.00013636i,0.0019534+0.00017964i,0.00080913+0.00084374i,7.9883e-05-0.00030189i,-0.0016571+0.0010313i,0.0084908+2.7575e-05i,0.0027346+1.8961e-05i,0.0021838+7.4741e-05i,0.003023-0.0011892i,-0.001857-0.00013061i,-0.0027184+0.00012295i,-0.0025943-0.00015236i,0.0039991+0.0019367i,0.0012922-0.001535i,-0.0089127-0.010593i,-0.0076626-0.0082476i,0.0074078-0.013366i,-0.0034826-0.0052712i,-0.0061772-0.042127i,-0.0019278-0.012029i,-0.002887-0.00084532i,-0.019206+0.010701i,0.010366+0.0016639i,-0.021783-0.013552i,0.0031676-0.0070407i,0.0024086+0.0011728i,0.003658-0.00084636i,0.0046491+0.0053128i,-0.0022515+0.0072881i,-0.012496-0.0013575i,-0.0015355-0.0078065i,-0.00043373+0.013036i,-0.0040317-0.0035606i,-0.0015741+0.0018941i,-0.0034029+0.0017183i,-0.0025037+0.00067235i,0.0016441-0.0015947i,-0.009131-0.00031796i,0.00084372-0.00019306i,-0.0010585-0.0027378i,0.00062076+0.0021874i,0.0038214+0.0024334i,0.0024676+0.00064769i,0.00050403+0.00029617i,-0.0001116-0.013538i,0.0090048-0.0022517i,0.0016549+0.0014434i,0.00016818+0.00014838i,0.0011277-0.00019036i,0.007737-0.00022723i,0.00038246-0.0055216i,0.0062401-0.002657i,0.0036878-0.002135i,0.0043936-0.0033623i,0.0045428-0.00025357i,0.0023166+0.0039422i,0.003158-0.0021454i,-0.0044395+0.008172i,0.0019234+0.0037814i,-0.0047191-0.014963i,-0.0223-0.016897i,-0.025226+0.0074437i,-0.014289+0.014728i,0.001382-0.0014627i,0.0099995-0.0023748i,-0.012956+0.0025931i
-0.0076504-0.01033i,-0.0010528-0.0086155i,0.00088083-0.0096558i,-0.0044834-0.015312i,-0.0018433-0.022227i,-0.013649-0.013898i,-0.0008873-0.01135i,-0.0009614-0.014769i,-0.0059954-0.005675i,0.0035773+0.0026554i,0.001648+0.0031369i,0.0019821-0.0002019i,0.0040455-0.00035172i,0.0035362+0.00091969i,0.0023555-0.0013624i,0.0062667+0.0032864i,0.00015012+0.00087469i,-0.0042549+0.0018642i,-0.0016276+0.0015802i,-0.0014069+0.0027824i,-0.0028405+0.0022336i,-0.002026+0.0014865i,-0.00038601+0.0027719i,-0.0047106+7.5717e-05i,0.0022256-0.0012027i,0.0022363-0.0023638i,0.0037586-0.0021862i,0.0035791-0.00039703i,0.003266-0.00082603i,0.0019574-0.0021776i,0.00020322-0.0002068i,0.0016759-0.00024824i,0.001237+0.0002683i,0.00017009+3.3166e-05i,-0.00033749+0.00078477i,0.0075119-0.0023549i,0.0025909-0.00097925i,0.0022586-0.0008561i,0.0020723-0.0022287i,-0.0014847+0.00050349i,-0.002485+0.0011639i,-0.0026804+0.0006209i,0.0045853+0.0004968i,0.00099898-0.0012236i,-0.010417-0.0099354i,-0.011225-0.0085222i,0.0043834-0.014671i,-0.0036569-0.0055717i,-0.014581-0.039666i,-0.0024242-0.0087852i,-0.0010298-0.0012453i,-0.014491+0.011416i,0.013499-0.0048566i,-0.018725-0.010268i,0.00085905-0.0086065i,0.0015909-0.00089376i,0.0031845-0.0023632i,0.005129+0.0025607i,-0.00022224+0.0067722i,-0.011554+0.0045922i,-0.0040764-0.005778i,0.0023782+0.01099i,-0.0058491-0.0012666i,-0.001283+0.0029953i,-0.0025127+0.0026346i,-0.0014258+0.0012526i,0.0023798-7.2203e-05i,-0.0057948+0.004697i,0.00063158+0.00011594i,-0.0016728-0.0016535i,0.0015759+0.0015749i,0.0036654+0.00057869i,0.0013324-0.0021834i,0.00086035+4.3485e-05i,-0.004123-0.01147i,0.0065198-0.0048335i,0.00039696-0.0010639i,0.0006298-3.0551e-06i,0.0011536-0.0012196i,0.007262-0.0024959i,-0.002271-0.0049231i,0.0046635-0.0059247i,0.0023465-0.0033036i,0.0023099-0.0048935i,0.004381-0.0020906i,0.0035064+0.0033022i,0.0025342-0.0019092i,-0.0014492+0.009365i,0.001724+0.0020815i,-0.0056665-0.016771i,-0.027268-0.0073359i,-0.027504+0.012218i,-0.010578+0.015152i,0.0003291+0.00015187i,0.020088+0.0026624i,-0.013516+0.0044299i
