-0.022746-0.037345i,-0.010396-0.051362i,-0.017647-0.045813i,-0.030811-0.03641i,-0.029572-0.017341i,-0.051133-0.029171i,-0.059505-0.026922i,-0.044494-0.038585i,-0.027868-0.031496i,0.0086623+0.011191i,-0.0069307+0.01629i,-0.0047593+0.014542i,0.0098905+0.020263i,0.00058774+0.0047914i,0.0035324+0.0034901i,0.0071024+0.018669i,0.015307+0.034491i,-0.0024297-0.0016051i,-0.0051588-0.005948i,0.0068178+0.0058546i,-0.00019867-0.00065784i,-0.0007704+0.0016681i,0.00010628-0.00041133i,-0.028057-0.0013652i,-0.0022412-0.0061493i,0.0011219+0.0049476i,0.0031079-0.0015941i,-0.00012179+0.00070946i,0.00064398-0.00028265i,-0.0009429-0.0025288i,-0.0014011-0.0056575i,-0.0051677-0.0047252i,-0.0024468-0.0040213i,0.0026339-0.00028644i,0.00195-0.0029887i,-0.0044178+0.026831i,0.0008428-0.0035629i,0.0029607+0.00092428i,0.0056094+0.0011583i,-0.0086378-0.00012346i,-0.0039792+5.8076e-06i,0.0045745-0.00048138i,0.007677+0.00076871i,-0.0043189+0.0047123i,0.0028391-0.010162i,-0.011344+0.017826i,0.035214-0.091376i,0.012959-0.070874i,-0.015698-0.059945i,-0.01584-0.056309i,0.038854-0.047106i,0.017027-0.062997i,0.034746-0.056556i,0.031342-0.05872i,0.014609-0.013445i,0.0041758+0.017015i,0.016421-0.025942i,-0.011837+0.0061456i,-0.00071445+0.005458i,-0.0054416-0.00075706i,-0.0024369-0.028404i,-0.025936+0.030767i,0.010029-0.011088i,-0.013304-0.0030248i,-0.00034943-0.0051075i,-0.0018607-0.016592i,-0.0074423+0.0044214i,0.0052082+0.0061304i,-0.0095807+0.030419i,0.0053422+0.006153i,-0.0051161-0.00071217i,-0.0032009-0.00020755i,-0.011988-0.008567i,-0.00067668-0.0044095i,-0.022988+0.018719i,0.00019527-0.0099728i,-0.0094747-0.0017607i,-0.0067088-0.0028388i,0.0078933+0.0030519i,-0.0071406+0.0013177i,-7.2743e-05+0.00037318i,0.0075465+0.010513i,0.0038597+0.0016411i,-0.00862-0.009743i,0.0034533+0.0081997i,-0.020555+0.0036429i,0.0084239+0.00052564i,-0.029762-0.0044541i,-0.041339+0.0018379i,0.022641-0.090906i,-0.0023212-0.012797i,-0.053446-0.021842i,-0.024553+0.00074526i,0.017976+0.010459i,-0.024844+0.012841i,-0.017825-0.010875i
0.0086475+0.022565i,0.01347+0.053445i,0.024404+0.035538i,0.017667+0.028126i,0.024861+0.027892i,0.034139-0.014571i,0.018284-0.0085374i,0.030484+0.0067859i,0.011999+0.014474i,0.0029468+0.0041108i,0.0049404+0.0029237i,0.0044192+0.0035469i,0.0060916+0.0028351i,0.0050223+0.0038518i,0.0032425-0.0034136i,0.0084404-0.0017017i,0.011324-0.0033904i,-0.0017765-0.00099816i,-0.0037652+0.00056528i,-1.8368e-05+0.0013679i,-0.0011189-0.00018644i,-0.002655+0.001154i,-0.0018617+0.0011282i,0.0037653+0.0078944i,0.0011953+0.001085i,0.0024178+0.00044611i,0.0019674+0.0011753i,0.0014554+0.0011194i,0.00063467+0.00019085i,-0.00034916+0.00093108i,-0.0026559-0.0032027i,-0.00091016-0.00047419i,-0.00086928+0.00085981i,-0.0011128+0.000116i,-0.00019543-0.0014215i,-0.0051801+0.0076657i,0.0011329+0.00029194i,0.0015755-0.00055911i,-0.0012449+0.0028034i,-0.00011919-0.0042594i,-0.00090326+0.00023155i,-0.0025735-0.00059518i,0.0019003+0.00056522i,0.006688+0.0075705i,-0.0097663+0.032874i,-0.08087+0.035759i,-0.052464+0.038996i,-0.037172+0.060285i,-0.019008+0.072693i,-0.0087336+0.050991i,0.014311+0.033878i,0.0037518-0.00011806i,-0.036433+0.0088467i,-0.048261+0.018566i,0.0013965+0.023961i,-0.0083829+0.0021836i,-0.010726-0.00054698i,-0.01425-0.0023606i,0.0021641+0.00056149i,0.00624+0.009584i,-0.0016452+0.0084481i,-0.0056579-0.012379i,0.0055167-0.0072169i,-0.0062401-0.0067124i,0.0019042-0.0063365i,0.0035911-0.0042086i,-0.0016907+0.0099315i,0.0095936-0.0041526i,0.0061233-0.0053978i,0.0025288-0.0065932i,0.0031367-0.00032954i,-0.0014754-0.0044842i,-0.0032632-0.00052067i,0.002583-0.00040026i,-0.011343+0.029933i,-0.0045787-0.0039908i,0.0020222+0.00035962i,0.00029362-0.0063612i,0.0024609-0.0015067i,-0.012752-0.0030873i,0.00048013-5.3405e-06i,0.0049775-0.0030628i,0.0034245-0.0012469i,0.0010098-0.0042677i,-6.8018e-05+0.006074i,-0.00015238+0.006944i,-0.0031489+0.004142i,-0.011839+0.0029344i,-0.01561-0.0023773i,-0.040924+0.058662i,0.00085349+0.0048798i,-0.024959-0.01716i,-0.0050192-0.0023055i,0.0095969+0.019882i,-0.00098163+0.022194i,-0.00047889-0.0010699i
0.011384+0.018711i,0.02216+0.048967i,0.030094+0.031221i,0.022657+0.025713i,0.030811+0.023822i,0.030721-0.020612i,0.015503-0.012073i,0.031032+0.0012695i,0.014063+0.011499i,0.0042448+0.0027668i,0.0057076+0.0017924i,0.0044047+0.003296i,0.0061644+0.0015705i,0.0056967+0.0025301i,0.0021224-0.0040253i,0.0069642-0.0032907i,0.0088073-0.0063243i,-0.0012528-0.00077923i,-0.003359+0.00042552i,0.00065921+0.00053941i,-0.0013135-0.00025031i,-0.0024031+0.0016749i,-0.0014758+0.0011509i,0.0073455+0.005608i,0.0011441+0.001204i,0.0027719-0.00065087i,0.0020566+0.00014426i,0.0014504-0.00027077i,0.00029056+0.00014706i,-0.00022567+0.00094676i,-0.0036457-0.0016393i,-0.0013857-0.00047608i,-0.00058572+0.0010159i,-0.00095636+0.000586i,-0.00090322-0.0006417i,-0.0023045+0.0088801i,0.00090904-0.00020838i,0.0013048-0.00098909i,0.00054971+0.0023794i,-0.0017187-0.0033703i,-0.00080407+0.00024561i,-0.0028799+0.00036948i,0.0016217+0.00050639i,0.0075451+0.0066543i,-0.0035692+0.032853i,-0.069383+0.049605i,-0.048051+0.048222i,-0.027092+0.06404i,-0.0030451+0.07014i,0.0019016+0.048989i,0.014502+0.035128i,-0.0013562-0.0048092i,-0.037654+0.010923i,-0.039599+0.021039i,0.0070123+0.021962i,-0.0087647+0.0048075i,-0.0099123+0.0050037i,-0.014223+0.0013032i,0.0011272-0.00085833i,0.0079042+0.008847i,0.0024509+0.011184i,-0.011734-0.010876i,0.00085158-0.0079224i,-0.0060257-0.0030736i,-0.0015663-0.0059269i,0.0014-0.0053713i,0.002736+0.0077974i,0.0064139-0.0066537i,0.0026305-0.0062651i,-0.00021947-0.0041406i,0.003925-0.001347i,-0.0027888-0.0038666i,-0.0013101+0.0011264i,0.0028844-0.00086254i,0.0060327+0.024655i,-0.0054559-0.0032321i,0.0025812-0.0018082i,-0.0028771-0.0059388i,0.0026839-0.0021847i,-0.01256+0.0020515i,0.00080569+0.00052158i,0.0032045-0.0029437i,0.0035075-0.0026732i,0.00026455-0.0040264i,0.0018377+0.0027657i,0.0026992+0.0055713i,-0.00066331+0.005216i,-0.010429+0.0065675i,-0.017128+0.0012296i,-0.02952+0.059776i,0.0012851+0.0054957i,-0.029097-0.011768i,-0.0094149-0.0075553i,0.01236+0.018495i,0.0029976+0.023525i,-0.0028014-0.0024015i
0.012831+0.015631i,0.028901+0.042329i,0.035729+0.024655i,0.028431+0.020695i,0.036623+0.018047i,0.025914-0.026221i,0.011925-0.015142i,0.03085-0.0048341i,0.015701+0.0086675i,0.0043511+0.0012008i,0.0056238-0.00011781i,0.0052452+0.0028492i,0.0060003+1.0067e-05i,0.0061368+0.00075919i,0.00082734-0.0042144i,0.0052441-0.0042506i,0.0055749-0.0081279i,-0.0014941-0.00095923i,-0.0026107+0.00088085i,0.00046683-0.0005295i,-0.00183-0.00020204i,-0.0018771+0.0022594i,-0.0013641+0.0012056i,0.0084187+0.0014768i,0.0018011+0.00071593i,0.0019851-0.0017156i,0.0016224-0.00066183i,0.00096099-2.9839e-05i,0.00028377+0.00021875i,-5.4297e-05+0.0010671i,-0.0039289+4.008e-05i,-0.0018935+0.00056974i,-4.1754e-05+0.0013107i,-0.00053281+0.0010252i,-0.00082968+0.00017421i,0.00088324+0.008483i,0.00067387-0.0003463i,0.00088301-0.0012725i,0.0011696+0.0014191i,-0.0028003-0.002144i,-0.00074766+0.00024205i,-0.0023754+0.001145i,0.0015581+0.00086354i,0.0092719+0.0056278i,0.0031028+0.031435i,-0.05692+0.060071i,-0.039218+0.056432i,-0.015932+0.064846i,0.01135+0.063393i,0.011274+0.04706i,0.012638+0.030889i,-0.0065471-0.0058939i,-0.038468+0.01601i,-0.032025+0.020803i,0.01161+0.017578i,-0.0080726+0.007189i,-0.0077696+0.0080613i,-0.012528+0.0043518i,-0.00081765-0.0024851i,0.010075+0.0069375i,0.007359+0.010745i,-0.015971-0.0063418i,-0.0013758-0.0055988i,-0.0052314-0.00032583i,-0.003283-0.0038643i,-0.0010857-0.0047591i,0.0048467+0.0067098i,0.0041067-0.006797i,-0.0019951-0.0063224i,-6.0354e-05-0.0019315i,0.0036927-0.0039278i,-0.0043935-0.0024434i,-0.00014936+0.00078602i,0.0022659-0.0016794i,0.013869+0.020211i,-0.0068523-0.0011693i,0.002227-0.0028081i,-0.0030977-0.0042196i,0.0029276-0.0036352i,-0.0095376+0.0070059i,0.0019746+0.00052548i,0.0019322-0.003318i,0.0020365-0.003211i,-0.00011585-0.0048423i,0.0010374+0.0017039i,0.0042258+0.0034126i,0.001756+0.0050571i,-0.0084222+0.0087578i,-0.017332+0.0064324i,-0.020483+0.05944i,0.0050219+0.0053831i,-0.030786-0.0060662i,-0.012848-0.00946i,0.016396+0.015068i,0.008563+0.024125i,-0.0048533-0.0018237i
0.013743+0.013051i,0.032799+0.036068i,0.038526+0.016772i,0.031963+0.013239i,0.040724+0.0098655i,0.019588-0.03026i,0.0077598-0.0168i,0.028961-0.010807i,0.016922+0.0053922i,0.0038289+0.00044695i,0.0048351-0.00099042i,0.006021+0.0017198i,0.0052169-0.00093669i,0.0056639-0.00094751i,-0.00048061-0.0039741i,0.0035012-0.0045079i,0.0021409-0.0078895i,-0.0015701-0.00050358i,-0.0012923+0.0017234i,-0.00039157-0.00091729i,-0.0020872+0.00064613i,-0.0012764+0.002854i,-0.0012262+0.0014906i,0.0074092-0.0017561i,0.0017151+2.8281e-05i,0.00093543-0.0018552i,0.0010834-0.00097712i,0.00077529-0.00055663i,0.0003668+1.8135e-05i,0.00031926+0.0012247i,-0.0035395+0.0019763i,-0.0012092+0.0015352i,0.00052126+0.0010679i,-0.00021708+0.0011109i,-0.00050352+0.00067909i,0.0036322+0.0071405i,0.0005163-0.00052882i,0.00033376-0.0015032i,0.0011992+0.001191i,-0.0029908-0.0011427i,-0.00076045+0.00038788i,-0.0020675+0.0017118i,0.0019854+0.001083i,0.011418+0.003386i,0.0082242+0.028046i,-0.041964+0.067718i,-0.029553+0.062203i,-0.0069542+0.0643i,0.023661+0.052756i,0.020927+0.041604i,0.011125+0.028571i,-0.01288-0.0045102i,-0.03782+0.023013i,-0.027173+0.018597i,0.014838+0.0118i,-0.0062379+0.009892i,-0.0044234+0.011435i,-0.010647+0.007549i,-0.0044527-0.0014181i,0.012077+0.0036552i,0.011713+0.0078634i,-0.018413-0.00078249i,-0.0024319-0.004229i,-0.003416+0.0011066i,-0.0039137-0.0014162i,-0.0026195-0.0034729i,0.006913+0.0035175i,0.0019225-0.0067105i,-0.0061114-0.0016017i,0.001002-0.0010514i,0.0014785-0.0057233i,-0.0047291-0.00020485i,0.00071557+0.0010328i,0.0019786-0.0021417i,0.019769+0.010458i,-0.0068809+0.0022057i,0.0018942-0.004187i,-0.0032392-0.0026355i,0.0013085-0.0056693i,-0.0045843+0.0084643i,0.0031778-0.00051868i,0.00081936-0.0026906i,0.00095935-0.0030675i,-0.0034374-0.0038656i,0.00065835+0.0016167i,0.0039242+0.0010092i,0.0040052+0.0045015i,-0.0060036+0.010178i,-0.015315+0.011718i,-0.01248+0.059823i,0.011155+0.00068513i,-0.029576-0.00017999i,-0.017566-0.0088807i,0.017538+0.010243i,0.014832+0.02195i,-0.0051885-0.0010069i
0.015059+0.010915i,0.036548+0.030903i,0.039828+0.0098368i,0.033165+0.005751i,0.04221+0.00096739i,0.013361-0.032666i,0.0037575-0.016788i,0.02587-0.015848i,0.017619+0.0019549i,0.0033829-0.00010963i,0.0043633-0.0014469i,0.0065164+0.00035237i,0.004672-0.0012533i,0.0047714-0.0021805i,-0.001595-0.0031173i,0.0021427-0.0041284i,0.00021803-0.0069524i,-0.0018046-6.322e-05i,-0.00073492+0.0016267i,-0.0012047-0.00070226i,-0.0018747+0.0013325i,-0.0001007+0.0031933i,-0.00095508+0.0018866i,0.0056294-0.0041535i,0.0013729-0.00029682i,0.0003367-0.0017998i,0.00064298-0.0011426i,0.00038251+3.5618e-05i,0.00014224-2.7647e-05i,0.0010127+0.0011245i,-0.0021039+0.0033314i,-0.00032832+0.0019419i,0.00077164+0.00076434i,0.00020799+0.0013772i,6.4924e-05+0.00085599i,0.0060338+0.0043989i,0.0001804-0.00053992i,-0.0003849-0.0014559i,0.0016564+0.00092208i,-0.0027598+6.0095e-05i,-0.00062216+0.00042754i,-0.0014105+0.0020977i,0.0025157+0.00088062i,0.012253-0.00044119i,0.011582+0.023973i,-0.025551+0.07081i,-0.017604+0.066828i,0.0025839+0.063811i,0.029706+0.039793i,0.027247+0.034204i,0.011586+0.029789i,-0.016904+0.0020438i,-0.034751+0.032528i,-0.025703+0.016389i,0.01404+0.0059601i,-0.0028487+0.011753i,0.0009412+0.011845i,-0.008578+0.010092i,-0.0054796+0.001917i,0.012277-0.0014934i,0.014542+0.0032281i,-0.018831+0.0052072i,-0.0027511-0.0021421i,-0.002319+0.0015188i,-0.0027205+0.00022544i,-0.0040517-0.0012906i,0.0069157+0.0006899i,-3.7502e-05-0.0063797i,-0.0045467+0.0038647i,0.0023543-0.0017147i,-0.0011784-0.0059826i,-0.0037376+0.001242i,0.0020596+0.00032409i,0.0015578-0.0024875i,0.020319+0.0012967i,-0.004383+0.0045865i,0.00034794-0.0053162i,-0.0026221-0.0020596i,-0.0009643-0.0061462i,-0.001003+0.0077348i,0.003314-0.0024454i,0.00095009-0.0013408i,0.00076266-0.002533i,-0.0016662-0.0019481i,0.0010328+0.0020173i,0.0023051-0.00040513i,0.0051168+0.0024115i,-0.0035221+0.010011i,-0.011276+0.016352i,-0.0039545+0.059369i,0.012412-0.0099646i,-0.026094+0.0020396i,-0.022397-0.0067772i,0.018107+0.0059018i,0.019888+0.016028i,-0.0062582-0.0012114i
0.016465+0.008275i,0.040405+0.024953i,0.040907+0.002541i,0.033094-0.0016674i,0.042114-0.0076423i,0.0068796-0.034089i,0.00085044-0.01606i,0.022308-0.020215i,0.017757-0.0018622i,0.0027864-0.00049404i,0.0042969-0.0019026i,0.0067292-0.001108i,0.004851-0.0017875i,0.0037471-0.0030239i,-0.0022022-0.0022051i,0.0015848-0.0033578i,-0.0010328-0.0062688i,-0.0015709+0.00034445i,-0.00036934+0.0016402i,-0.0016065-0.00013678i,-0.001319+0.0017998i,0.0012694+0.00283i,-0.00032345+0.0021605i,0.0028608-0.0053578i,0.0012663-0.00047859i,-0.00023535-0.0016528i,0.00020106-0.0012699i,0.0011433-0.0017263i,4.01e-05+9.7319e-05i,0.0013862+0.00049546i,-0.00047296+0.0036988i,0.00053294+0.0018058i,0.00092519+0.00047163i,0.00087686+0.0011365i,0.00040777+0.00047646i,0.005751+0.00049467i,3.5789e-05-0.00039784i,-0.00082363-0.0010728i,0.0016343+0.00021496i,-0.0021261+0.00061024i,-0.00056265+0.00047883i,-0.00068335+0.0021453i,0.0029751+0.00052502i,0.012009-0.0038437i,0.014093+0.020225i,-0.010897+0.069417i,-0.00389+0.067133i,0.012561+0.061599i,0.031899+0.027988i,0.031542+0.02652i,0.014773+0.031364i,-0.016012+0.010528i,-0.026074+0.042577i,-0.026385+0.01691i,0.012051+0.0028528i,0.0011597+0.011774i,0.004797+0.010084i,-0.0057083+0.012419i,-0.0045647+0.0042334i,0.0096307-0.0068919i,0.014609-0.0026774i,-0.016732+0.010267i,-0.0020122-0.00093783i,-0.0012178+0.0012816i,-0.001654+0.00048695i,-0.0032891+0.0015253i,0.0055603-0.0011261i,-0.0017078-0.0051336i,-1.7122e-06+0.0058387i,0.0024224-0.0033348i,-0.0033953-0.0045924i,-0.0026271+0.0019735i,0.0023682-0.0010467i,0.0015331-0.0027463i,0.017223-0.0067628i,-0.0017464+0.0052118i,-0.0017828-0.0054205i,-0.0028233-0.001686i,-0.003072-0.0052951i,0.0011442+0.0064007i,0.0024913-0.0038411i,0.0024498-0.001404i,0.00076112-0.0032076i,-0.00087721-0.0027616i,0.002325+0.0023552i,0.00064531+0.00035477i,0.0054078+0.0012552i,-0.0019952+0.0094828i,-0.0050695+0.018518i,0.004726+0.057469i,0.0064823-0.018814i,-0.024362+0.00063937i,-0.02703-0.0011011i,0.0167+5.5835e-05i,0.020987+0.0095688i,-0.0072823-0.0001841i
0.017642+0.0052738i,0.043064+0.018154i,0.03986-0.0058934i,0.030664-0.0094897i,0.040295-0.016799i,6.2412e-05-0.033965i,-0.001197-0.015314i,0.018069-0.023953i,0.016748-0.005585i,0.0022081-9.4044e-05i,0.0037191-0.0025648i,0.0063613-0.0031495i,0.0046547-0.0029612i,0.0025246-0.0035651i,-0.0025495-0.0011759i,0.0014246-0.0030059i,-0.0023588-0.0057149i,-0.001611+0.00073661i,0.00023317+0.0015642i,-0.0020278+0.00059716i,-0.00090725+0.0020119i,0.0022061+0.0018167i,0.0002583+0.0021798i,-4.1722e-05-0.0051155i,0.0010894-0.0011139i,-0.00081932-0.0011511i,-0.00037482-0.0012625i,-0.00013807-0.0011795i,0.00026795+0.00018411i,0.0012295-8.5362e-05i,0.0012782+0.0031637i,0.0011351+0.0014673i,0.00087122+0.00011776i,0.0013429+0.00079641i,0.00034766+8.4863e-06i,0.0055044-0.0025238i,-0.00011199-0.00027353i,-0.0011354-0.00074159i,0.0014351-0.00012546i,-0.0016469+0.00078424i,-0.00053884+0.00056018i,9.2828e-05+0.0019949i,0.0033748-0.00030279i,0.010229-0.0088825i,0.015794+0.016765i,0.0019285+0.065925i,0.0081829+0.063019i,0.022283+0.057588i,0.03064+0.017878i,0.033552+0.019615i,0.02057+0.031347i,-0.009123+0.016514i,-0.012674+0.047684i,-0.026293+0.0205i,0.010213+0.0010776i,0.0043426+0.010064i,0.0070704+0.0069869i,-0.0019745+0.013308i,-0.0038002+0.0057009i,0.0033457-0.0094158i,0.011288-0.0075728i,-0.01349+0.014271i,-0.0012746-0.0013797i,-0.00086237+0.00063812i,-0.001211+0.00038209i,-0.0010061+0.0030203i,0.0042938-0.0012605i,-0.0023292-0.0043303i,0.0034789+0.0046946i,0.0010682-0.0049406i,-0.0045768-0.0027828i,-0.0013582+0.002208i,0.0016793-0.0025282i,0.001035-0.0036306i,0.0117-0.011676i,0.00052112+0.0049442i,-0.003375-0.0044116i,-0.0024705-0.0012693i,-0.004283-0.0040948i,0.0025734+0.0049656i,0.0015761-0.005497i,0.0029654-0.0030767i,-0.00032739-0.0037155i,-0.0018921-0.0035029i,0.0031286+0.0017301i,0.00074221+0.0020159i,0.0056746-0.0011207i,-0.00098955+0.0091898i,0.00056806+0.0177i,0.012831+0.055301i,-0.002209-0.023809i,-0.02681-0.00071699i,-0.02778+0.0059749i,0.011335-0.0036022i,0.02136+0.003968i,-0.0065604+0.00052002i
0.018534+0.0015819i,0.045217+0.011899i,0.036481-0.013052i,0.02546-0.01543i,0.035715-0.025229i,-0.0057728-0.032183i,-0.0027678-0.014646i,0.013116-0.026413i,0.015281-0.0089892i,0.0025685+0.00050344i,0.003224-0.0027434i,0.0049247-0.0047976i,0.0039768-0.0040292i,0.0014363-0.0035903i,-0.0023477-0.00020136i,0.0012677-0.0028692i,-0.0040488-0.004547i,-0.0013112+0.0015001i,0.00065106+0.0010498i,-0.0017875+0.0018173i,-0.00028219+0.0023515i,0.0023488+0.00054757i,0.00086337+0.0020871i,-0.0021179-0.003585i,0.00015623-0.0014545i,-0.00095897-0.00058583i,-0.00073868-0.00097422i,-0.00058451-0.00069652i,0.00036388-8.9159e-05i,0.00095976-0.00042274i,0.0024268+0.0020507i,0.0015209+0.00096273i,0.00078096-0.00014141i,0.00099288-0.0012022i,8.7333e-05+5.4951e-05i,0.0045224-0.0064796i,-0.00016304-0.00012068i,-0.0014313-0.00035074i,0.0012336-0.00038649i,-0.0011559+0.00086758i,-0.00053939+0.00072176i,0.00053074+0.001682i,0.003117-0.0015035i,0.003999-0.010412i,0.017016+0.013248i,0.01326+0.060013i,0.016842+0.057409i,0.031039+0.051804i,0.027925+0.010767i,0.034096+0.013104i,0.026474+0.028445i,-0.0014678+0.017179i,0.0014715+0.04727i,-0.024208+0.024928i,0.0094351+0.00014675i,0.0067907+0.0076774i,0.007594+0.0040712i,0.0018862+0.012761i,-0.0022512+0.007493i,-0.0024054-0.0078336i,0.007058-0.0096676i,-0.0089882+0.017081i,-0.0018061-0.0020026i,-0.001364+0.00058302i,-0.0011397+0.00058931i,0.0015847+0.002784i,0.0036698-0.0016631i,-0.0032711-0.0035519i,0.0053838+0.0022586i,-0.0017134-0.0056779i,-0.0045033-0.00087368i,-6.0586e-05+0.0016938i,0.001067-0.0032555i,-0.00015584-0.0047999i,0.0057832-0.013758i,0.0021766+0.003922i,-0.0042698-0.0035056i,-0.0032457-0.0012831i,-0.0052044-0.0024386i,0.0031765+0.0037589i,-0.00055506-0.0067531i,0.0027506-0.0047288i,-0.0013786-0.0032106i,-0.0026532-0.0031898i,0.0035166+0.0012387i,0.0020974+0.0027402i,0.0035804-0.0019853i,0.00032918+0.0094549i,0.0048371+0.014797i,0.021706+0.052018i,-0.012706-0.025428i,-0.030748+0.0010372i,-0.025155+0.012711i,0.0067778-0.0032158i,0.018873-0.0017784i,-0.0059023-0.00092392i
0.018401-0.0027146i,0.046977+0.0044179i,0.032502-0.018502i,0.020218-0.018564i,0.029554-0.031856i,-0.010354-0.029911i,-0.0040194-0.014457i,0.0081494-0.028059i,0.013135-0.011982i,0.0034474+0.00024184i,0.0031006-0.0031638i,0.0031191-0.0054821i,0.0028486-0.0052555i,0.00060386-0.0034215i,-0.0018575+0.00041288i,0.0012968-0.0026601i,-0.0049298-0.0024841i,-0.00055924+0.001551i,0.00052482+0.00050993i,-0.00092712+0.0024209i,0.00045191+0.0022951i,0.0020009-0.00031328i,0.0015513+0.001671i,-0.0032543-0.0014789i,-0.00049994-0.0011692i,-0.00086133-0.00023209i,-0.0010215-0.00061124i,-0.00055648-0.00065265i,4.6288e-05-2.4406e-05i,0.00054619-0.00070337i,0.0030971+0.00057521i,0.0014748+0.00045928i,0.00074329-0.00030864i,0.00087193+2.1511e-05i,0.00013507+0.00026307i,0.0068475-0.0083567i,-0.00015362+6.6339e-05i,-0.0014913+0.00022898i,0.00095926-0.0007771i,-0.00063318+0.0010068i,-0.0004033+0.00082621i,0.00088639+0.0012814i,0.0023189-0.0022357i,0.00050742-0.0084684i,0.017702+0.0095278i,0.021167+0.052106i,0.023793+0.051993i,0.038175+0.043972i,0.024756+0.0053665i,0.0336+0.0085865i,0.031415+0.024299i,0.0050028+0.015942i,0.013515+0.042348i,-0.019904+0.029422i,0.0089867-0.0013145i,0.0083295+0.0044191i,0.0079059+0.0017451i,0.0054751+0.010735i,0.00057811+0.0079072i,-0.0056222-0.0045122i,0.0026238-0.010115i,-0.0036572+0.017616i,-0.003035-0.0017315i,-0.0023719+0.0015659i,-0.00096148+0.00082854i,0.0032559+0.0012393i,0.003063-0.00097497i,-0.0037708-0.0021129i,0.0054471-0.00033411i,-0.0041201-0.0040348i,-0.0035165+0.00059067i,0.00026978+0.00061048i,0.00027994-0.0041999i,-0.0021566-0.0048414i,0.00083296-0.013183i,0.0035794+0.0021704i,-0.0056159-0.0021055i,-0.0037824+3.9635e-05i,-0.0050722-0.00041303i,0.0037983+0.0031333i,-0.0037143-0.006501i,0.00168-0.0068146i,-0.001849-0.0027561i,-0.0033802-0.0033978i,0.0044404+0.00068635i,0.0035854+0.0023331i,0.0024159-0.0012645i,0.0019162+0.0091756i,0.0069976+0.011224i,0.030646+0.046211i,-0.023822-0.022005i,-0.033791+0.0047164i,-0.020552+0.016886i,0.0047795-0.002089i,0.014847-0.0051307i,-0.0081028-0.0017298i
0.016865-0.0066884i,0.047149-0.0039245i,0.028278-0.023122i,0.015739-0.020367i,0.022515-0.03689i,-0.014836-0.027438i,-0.0056212-0.015099i,0.0031934-0.028948i,0.010349-0.014471i,0.0040458-0.00055306i,0.0027785-0.0040399i,0.0014322-0.0054863i,0.0010484-0.006009i,-6.7471e-05-0.0032278i,-0.0015021+0.00059001i,0.0014053-0.0027298i,-0.0048494-0.00060383i,-0.00021825+0.0011305i,0.00045011+0.00034077i,-3.0494e-05+0.0025435i,0.0010673+0.0020581i,0.0015625-0.00075633i,0.0019563+0.00095317i,-0.0027253+0.00070169i,-0.00071517-0.00069519i,-0.00073632+0.00014392i,-0.0011713-0.0002517i,-0.00073044+4.7344e-05i,3.9468e-05+0.00013935i,-8.9991e-05-0.00075998i,0.0029306-0.00093531i,0.0014697+0.00010751i,0.0006477-0.00056963i,0.0010621-0.00053983i,0.00039341+0.00038323i,0.017955-0.011697i,4.1529e-06+7.3465e-05i,-0.00124+0.00064132i,0.00024984-0.00081013i,-2.856e-05+0.00082851i,-0.0003397+0.0012374i,0.0010472+0.00095865i,0.0014491-0.0024914i,-0.00090373-0.0059522i,0.017708+0.0065899i,0.025718+0.045258i,0.030234+0.046488i,0.04267+0.036385i,0.020842+0.00088731i,0.034676+0.0049394i,0.035484+0.018884i,0.011308+0.012232i,0.02321+0.034063i,-0.013008+0.032799i,0.0082024-0.0027917i,0.00807+1.7759e-05i,0.0079248-0.0010557i,0.0073463+0.0072952i,0.0023863+0.00708i,-0.007056-0.00023794i,-0.0013236-0.0089572i,0.00054717+0.015148i,-0.0039939-0.00056731i,-0.0021825+0.0036161i,-0.00084054+0.0010527i,0.0038098-0.0010172i,0.0040741+0.00052228i,-0.0033917-0.00094408i,0.004565-0.0013208i,-0.0048845-0.0018821i,-0.0020544+0.0014325i,-2.1434e-05+0.00027495i,-0.0019928-0.0049646i,-0.0037293-0.0035581i,-0.0033352-0.012203i,0.0038716+0.00013718i,-0.0060617+3.0235e-05i,-0.0029055+0.0011797i,-0.0045194+0.0011401i,0.0048989+0.0021391i,-0.0059759-0.004426i,-0.0011433-0.0083771i,-0.0025383-0.0021058i,-0.0054235-0.0030035i,0.0053392-0.0011651i,0.0049296+0.0017853i,0.0026732-0.00097057i,0.0036852+0.0089498i,0.0074078+0.007829i,0.038174+0.038047i,-0.030754-0.013141i,-0.036474+0.010911i,-0.015353+0.019393i,0.0028337-0.00046721i,0.011103-0.0055527i,-0.0096686-0.00095626i
