-0.0098732-0.039153i,-0.012812-0.043058i,0.0011358-0.045218i,-0.02673-0.0271i,-0.020339+0.01453i,-0.03303-0.03055i,-0.06002-0.059711i,-0.023232-0.070489i,-0.042575-0.047208i,0.0013092+0.015882i,-0.0063639+0.010065i,-0.014418+0.014189i,0.00093+0.016123i,-0.0034072-0.0032282i,0.00054681+0.0065051i,0.00053672+0.037269i,0.017042+0.055291i,0.00067022-2.4651e-05i,-0.0053959-0.0082586i,0.0094382+0.0051127i,0.0013915+0.00082597i,-0.0021869+0.0030251i,-0.00017105-0.0011338i,-0.035057-0.010354i,-0.0028834-0.0066208i,-0.00051559+0.0044653i,0.0051356+0.00097712i,-1.0094e-05+0.00063758i,-1.7523e-05-0.00088803i,-0.00036663-0.0027089i,-0.0016361-0.0054106i,-0.0020194-0.0037592i,-0.0010205-0.0083122i,0.0029903-0.0010355i,0.0030914-0.0026894i,-0.0026869+0.032207i,0.0062102-0.003953i,0.0035394-0.0021565i,0.0049426+1.3257e-05i,-0.11676-0.080213i,-3.2303e-05+3.2105e-05i,0.011084-0.013049i,0.0070058-2.8519e-05i,-0.0031109+0.0035812i,0.0023729+0.0005945i,-0.002518+0.0071074i,0.01307-0.088172i,-0.0078417-0.049596i,-0.025467-0.040621i,-0.020297-0.041865i,0.061931-0.017693i,0.026183-0.061744i,0.03859-0.04656i,0.027615-0.056703i,0.019275-0.016144i,0.0083884+0.010084i,0.024432-0.031515i,-0.0082049-0.0059428i,0.0026584-0.0028089i,-0.00511-0.0061371i,0.00077501-0.03202i,-0.023325+0.03157i,0.0083828-0.010737i,-0.010535-0.0012881i,-0.0051471-0.00099065i,-0.00073903-0.013936i,-0.010287+0.0041896i,0.0035972+0.0076896i,-0.011838+0.032887i,0.0052864+0.0076022i,-0.0046863-0.00079059i,-0.0019794-0.0023061i,-0.011622-0.0069447i,0.00037079-0.0034909i,-0.034489+0.0070702i,0.002115-0.012889i,-0.0085318-0.00205i,-0.0061716-0.0025326i,0.0063133+0.0018541i,-0.0097211+0.0018225i,0.001419+0.00060527i,0.0052472+0.0090491i,0.0045851+0.00012901i,-0.0094759-0.0097111i,0.0028987+0.0086493i,-0.020913+0.0069431i,0.0063992+0.0026507i,-0.029804-0.0070926i,-0.032854+0.0034932i,0.030769-0.080361i,0.012235-0.010885i,-0.042783-0.026227i,-0.022969-0.0023318i,0.018094+0.011931i,-0.026867+0.012373i,-0.011996-0.0078003i
-0.013175+0.018705i,0.013897+0.045374i,0.026365+0.045142i,-0.00029352+0.016647i,-0.002122+0.0063573i,0.026287+0.00060117i,0.014044+0.015863i,0.011766+0.044884i,0.0062996+0.019172i,-0.0020698+0.0063472i,0.0010305+0.001536i,0.0026867-0.0043225i,0.0023733-0.002503i,0.003527-0.00050616i,0.0030623-0.0021238i,0.0049797-0.00048109i,0.012288-0.0059918i,-0.00045366-0.0006414i,-0.0047587+0.00040783i,-0.00017894+0.0024208i,-0.00047389-0.001084i,-0.0052235-0.0016218i,-0.0024906+0.00059798i,0.0056517+0.01155i,0.0026429+0.0016907i,0.0022013+0.00064961i,0.0018476+0.0014518i,-0.0019138+0.0033237i,-0.00027501+0.00071513i,-0.00089605+0.0012356i,0.0009654-0.0039085i,-0.00073279-0.0010704i,-0.00063486-0.00083158i,7.3213e-05+0.0004667i,-0.00074231-0.0016979i,-0.0056359+0.0086248i,0.0031772-0.00062979i,0.00094476+6.1931e-05i,-0.0010983+0.0016656i,-0.0010214-0.002316i,-0.0018427+0.00067098i,-0.0013892-0.0022804i,0.0020559+0.0068368i,0.0033913+0.0013352i,-0.024768+0.02232i,-0.053795+0.026105i,-0.026846+0.047395i,-0.018199+0.034123i,-0.0034197+0.050939i,-0.0071631+0.03137i,0.010122+0.0125i,-0.0055362-0.0057617i,-0.038695-0.006392i,-0.041955+0.017726i,0.0092809+0.020091i,-0.0015823+0.0031705i,-0.0050939+0.0020854i,-0.011972-0.0031641i,0.009532+0.0012571i,0.012164+0.014295i,-0.0024633+0.0097213i,-0.0065193-0.01119i,0.0048867-0.0030022i,-0.0046455-0.0042439i,0.0038143-0.0070958i,0.0051422-0.0026975i,-0.00078585+0.009955i,0.011991-0.0040851i,0.0085187-0.0069362i,0.0056085-0.0073198i,0.0030622-0.00062857i,-0.0028949-0.0061899i,-0.0038955-0.0017331i,0.0028944-0.0012491i,-0.020261+0.043165i,-0.0057026-0.0058134i,0.0014464+0.00054464i,-0.00052384-0.0074513i,0.0034013-0.001052i,-0.014001-0.0045517i,0.0010134-0.00065202i,0.0028739-0.0027794i,0.0019164-0.001999i,0.00026723-0.006584i,-0.00062199+0.006106i,-0.00057173+0.0028953i,-0.0028157+0.0061834i,-0.011444-0.0015279i,-0.0091484+0.0029628i,-0.038226+0.04045i,-0.0068185+0.017021i,-0.021243-0.0030757i,-0.0011826-0.00035381i,0.0097796+0.019534i,-0.00099222+0.019144i,-0.0068693-0.00022307i
-0.011014+0.018391i,0.020468+0.040918i,0.034617+0.040012i,0.0035129+0.018811i,0.0015001+0.0065872i,0.026018-0.0050331i,0.01507+0.012449i,0.019535+0.040475i,0.0087495+0.017227i,1.967e-06+0.0060439i,0.0018808+0.0014521i,0.00036641-0.0031917i,0.0011627-0.0023285i,0.0031428-0.0006956i,0.0025168-0.0025941i,0.0042393-0.00071784i,0.0090969-0.0083118i,0.00012978-0.00030744i,-0.0045236+0.0012195i,0.00082511+0.001555i,-0.00091112-0.0013259i,-0.0054767-4.542e-05i,-0.0023447+0.00069178i,0.013168+0.0081659i,0.0023627+0.0017734i,0.0025493-0.00037968i,0.0020857+0.00056199i,-0.00037002+0.0036835i,-0.00051908+0.0011889i,-0.00053284+0.0015998i,-0.00071786-0.0037518i,-0.001332-0.0011069i,-0.0012516-0.00078097i,0.00033176+0.00014311i,-0.001339-0.00039479i,-0.0026628+0.0091306i,0.0024189-0.0016379i,0.0010996-0.00010855i,-0.00025984+0.0018563i,-0.0011874-0.0015946i,-0.0015212+0.00089941i,-0.0046916-0.0016303i,0.0036091+0.0058289i,0.0028236+0.00092299i,-0.019874+0.025648i,-0.045883+0.034583i,-0.02073+0.051283i,-0.010676+0.035429i,0.0098985+0.046823i,0.0014319+0.0294i,0.0059974+0.0049643i,-0.011577-0.0093409i,-0.041855-0.0041804i,-0.033635+0.018266i,0.013482+0.01652i,-0.0021231+0.0033808i,-0.0039725+0.0061001i,-0.011933+0.0018126i,0.0080677-0.0020357i,0.014981+0.011614i,0.0025829+0.012395i,-0.011734-0.0094292i,0.0016432-0.0037398i,-0.0044955-0.0017192i,-0.00085389-0.006802i,0.0032892-0.0045008i,0.0038374+0.007499i,0.0081949-0.0072701i,0.0033045-0.0091453i,0.0015241-0.0054061i,0.0039083-0.0016201i,-0.0036641-0.0043462i,-0.0021328+0.0011253i,0.0030433-0.0016746i,0.010745+0.042937i,-0.0069358-0.0043348i,0.0019447-0.0010402i,-0.0042513-0.0061209i,0.003835-0.0021472i,-0.013207+0.0017664i,0.0012389-0.00027834i,0.0016647-0.0025647i,0.0019143-0.0028575i,-0.0018438-0.0064795i,0.001037+0.0031444i,0.00075754+0.0025279i,0.00051791+0.0068855i,-0.011097+0.0022983i,-0.0087986+0.0046265i,-0.029599+0.041606i,-0.0038121+0.018782i,-0.023689-0.00026386i,-0.0017845-0.0042874i,0.012348+0.01846i,0.002958+0.021056i,-0.0087978+0.00019573i
-0.0097347+0.018763i,0.025502+0.035358i,0.043015+0.030967i,0.010298+0.017511i,0.0056657+0.0052306i,0.024412-0.010724i,0.015278+0.0088531i,0.02632+0.034624i,0.011564+0.015958i,0.0010026+0.0053627i,0.0026189+0.00046521i,3.6921e-05-0.0012069i,6.9603e-05-0.0022812i,0.0031487-0.0010968i,0.0018166-0.0028842i,0.0035316-0.00076612i,0.0061035-0.0097324i,0.00014439-0.00067231i,-0.004104+0.0028713i,0.00087248+0.00034981i,-0.0018203-0.0014365i,-0.0049265+0.0016027i,-0.0024445+0.0010086i,0.014818+0.00038167i,0.0032975+0.00095367i,0.0019475-0.0014435i,0.0019099-0.00012056i,0.001494+0.0033742i,0.00016724+0.0015015i,-9.555e-05+0.0018548i,-0.0022237-0.0028205i,-0.0018633-0.00019563i,-0.00091959-0.00087286i,0.0001292-0.00010774i,-0.0007863+0.00052707i,-0.00032783+0.0087585i,0.0014268-0.0019956i,0.00098317-0.00074308i,0.00038548+0.0015051i,-0.0015261-0.0011615i,-0.0012178+0.0011224i,-0.0041897+0.00023803i,0.0040563+0.0052708i,0.0029381+0.00052476i,-0.013672+0.027636i,-0.037158+0.041005i,-0.013003+0.05457i,-0.0028014+0.033723i,0.021591+0.038371i,0.010274+0.028668i,-0.00030501+0.0019842i,-0.017869-0.0089939i,-0.044448+0.0009878i,-0.027093+0.016007i,0.016384+0.010842i,-0.002356+0.0038852i,-0.0019771+0.0072951i,-0.011097+0.0054559i,0.0049743-0.0057196i,0.017593+0.0075828i,0.0080025+0.011882i,-0.015482-0.0054293i,0.00066635-0.0022226i,-0.0040865+0.00038877i,-0.0031013-0.0047201i,0.0014065-0.0046158i,0.0056426+0.0057113i,0.0053254-0.0081332i,-0.0029136-0.007564i,0.0011904-0.0036061i,0.0036508-0.00405i,-0.004516-0.0029197i,-0.00031818+0.000694i,0.0020366-0.0027239i,0.023947+0.026094i,-0.0085921-0.0013603i,0.001913-0.0019488i,-0.0042268-0.0036321i,0.0042477-0.0039879i,-0.0098507+0.0065154i,0.0021774-0.00027855i,0.0004429-0.0028349i,0.00086314-0.0030775i,-0.0040967-0.0044558i,4.9854e-05+0.0025282i,0.0017458+0.001575i,0.0033444+0.0061538i,-0.009387+0.0049645i,-0.0081637+0.0067903i,-0.023735+0.041449i,0.0035084+0.019386i,-0.023768+0.00406i,-0.0037474-0.0079893i,0.016845+0.015407i,0.0091182+0.021998i,-0.0097565+0.002005i
-0.0083192+0.019736i,0.028529+0.030259i,0.046627+0.020066i,0.015726+0.011867i,0.0086328+0.001613i,0.020849-0.015488i,0.014719+0.0062926i,0.030497+0.026885i,0.014779+0.013056i,0.001868+0.0047645i,0.0020077-0.00060891i,0.00077873-0.0003576i,-0.001305-0.0011433i,0.0026917-0.0014279i,0.00092464-0.0031941i,0.0032156-0.00046342i,0.0023484-0.0097262i,0.00026237-0.00058931i,-0.0010912+0.0044893i,0.00021968-0.00021249i,-0.0026344-0.00047191i,-0.0038283+0.0031848i,-0.0022596+0.0016447i,0.011139-0.0072463i,0.0032071-0.00040635i,0.0010292-0.001717i,0.0015245-0.00063101i,0.002173+0.002042i,0.00082166+0.00086653i,0.00058227+0.0021481i,-0.0030994-0.0011908i,-0.0015829+0.00070397i,0.00026811+0.0013859i,-0.00011787+9.8854e-05i,-0.00021524+0.00068511i,0.001792+0.007996i,0.00084359-0.0021794i,0.00034315-0.0010559i,0.00045857+0.0014705i,-0.0016501-0.00079182i,-0.00097381+0.0012526i,-0.0029281+0.0025094i,0.0051474+0.0049086i,0.0029266+0.00012341i,-0.0072721+0.026772i,-0.026787+0.04515i,-0.0041739+0.057186i,0.0018006+0.03088i,0.02984+0.025958i,0.016692+0.020425i,-0.007326+0.0037414i,-0.025155-0.0052237i,-0.045833+0.0082435i,-0.023923+0.01221i,0.017095+0.0046003i,-0.0017601+0.0053818i,7.7838e-05+0.0093132i,-0.0090326+0.0094635i,-0.00047224-0.0056448i,0.019174+0.00089173i,0.012768+0.0090408i,-0.017942-0.00013867i,0.00027977-0.0018218i,-0.0026226+0.0016462i,-0.0038924-0.0016511i,-0.00019432-0.0043042i,0.0069588+0.002777i,0.0027977-0.0083384i,-0.0052925-0.0023819i,0.0015519-0.0030036i,0.001622-0.0059932i,-0.0044024+0.00093589i,0.00083713+0.00069622i,0.0010955-0.0028728i,0.031123+0.012735i,-0.0082152+0.0032426i,0.001784-0.00311i,-0.0042736-0.0021475i,0.0024152-0.0064398i,-0.0049182+0.0080897i,0.0029989-0.0013629i,-0.00058764-0.0019498i,-0.00011531-0.0027922i,-0.0037712-0.001729i,-0.00018354+0.0028462i,0.0018152+0.00014789i,0.0065618+0.0046403i,-0.0075509+0.0066112i,-0.007245+0.0087439i,-0.01826+0.043069i,0.012969+0.014246i,-0.021528+0.0082609i,-0.0092958-0.010053i,0.018912+0.010375i,0.015024+0.019632i,-0.0087159+0.0032714i
-0.0059124+0.020862i,0.031633+0.026079i,0.04754+0.010688i,0.018348+0.0053525i,0.0090629-0.0030149i,0.017109-0.019047i,0.014219+0.0049156i,0.032659+0.01996i,0.017139+0.0094045i,0.002408+0.0044787i,0.0016893-0.00027451i,0.0016675-0.00035812i,-0.0013709+0.00074188i,0.0021844-0.0019005i,8.3751e-05-0.002784i,0.0033495-5.5816e-05i,-1.8141e-05-0.0084447i,-1.699e-05-0.0006789i,-0.0018545+0.0051376i,-0.00043657-0.00014279i,-0.0027096+0.00045824i,-0.0021311+0.0040469i,-0.0015982+0.0021858i,0.0054944-0.010492i,0.0026356-0.0013996i,0.00035368-0.0018816i,0.0010237-0.00097184i,0.0020124+0.00088241i,0.00078161+0.000417i,0.0016078+0.0019506i,-0.002778+0.00024897i,-0.0011441+0.0013586i,-0.00045355+0.0010647i,0.0001871+0.00071417i,0.00051737+0.00072814i,0.0038075+0.0067988i,-3.0829e-05-0.0021949i,-0.00017215-0.00089891i,0.0011269+0.0015341i,-0.0016184-0.0003221i,-0.0007406+0.0011708i,-0.0019738+0.0034025i,0.0064272+0.0029292i,0.0025119-0.00049462i,-0.0032705+0.024905i,-0.016036+0.046241i,0.0070831+0.057361i,0.0066558+0.02936i,0.031707+0.012919i,0.019628+0.012731i,-0.01072+0.010288i,-0.029479+0.0036562i,-0.04643+0.018054i,-0.02495+0.0096268i,0.014086-0.00081939i,-0.00019528+0.0063867i,0.0044336+0.0089531i,-0.0061697+0.012238i,-0.0031335-0.0024495i,0.017411-0.0069956i,0.015781+0.0042888i,-0.018431+0.0058819i,0.00047196-0.00051577i,-0.0015268+0.002224i,-0.0023683+0.00013162i,-0.002099-0.0028857i,0.0068029+0.00030615i,0.00011149-0.007911i,-0.0039304+0.0019848i,0.0022271-0.0034446i,-0.00088761-0.0065982i,-0.003697+0.0022797i,0.0020507-0.00023975i,0.00046744-0.0024029i,0.02987-0.0024092i,-0.0050611+0.0059413i,0.00048849-0.0041132i,-0.0033811-0.0015934i,-0.00027835-0.0069365i,-0.0014844+0.0074345i,0.0017461-0.0023771i,-0.00080788-0.00052476i,-1.2034e-05-0.0023048i,-0.0021635-0.00076779i,0.0009732+0.0028599i,0.00086223-0.00063448i,0.0091299-0.0019463i,-0.0059453+0.0070093i,-0.0049672+0.011342i,-0.011407+0.043976i,0.017014+0.0028981i,-0.016988+0.0094556i,-0.015342-0.0088079i,0.020088+0.0052418i,0.020015+0.013902i,-0.0087547+0.0032833i
-0.0032618+0.021268i,0.034876+0.021329i,0.047869+0.00089781i,0.018807-0.0012012i,0.0083506-0.0067305i,0.01293-0.022011i,0.014858+0.0038826i,0.033706+0.013345i,0.018832+0.0046842i,0.0028704+0.0042884i,0.0020453-0.0002121i,0.0021062-0.00064333i,9.7761e-05+0.0021666i,0.001553-0.0019445i,-0.00024195-0.0024067i,0.0040063+0.00011083i,-0.0010338-0.0075062i,0.0001557-0.00077058i,-0.00037984+0.0043152i,-0.00074615+0.00026823i,-0.0021447+0.0012325i,-0.00018746+0.0037892i,-0.00085793+0.002333i,-0.0028141-0.010496i,0.0021133-0.0020207i,-0.00041902-0.0017957i,0.00047519-0.0011248i,0.0018546+0.00028414i,0.00062677+0.00028352i,0.0021923+0.00094928i,-0.0022049+0.0011675i,-0.00045778+0.001701i,-0.00019908+0.0013547i,0.00078781+0.00035016i,0.00077766+9.5709e-06i,0.0046024+0.005274i,-0.00089746-0.0018852i,-0.00037751-0.00047592i,0.0013452+0.00063042i,-0.0013176-0.00030677i,-0.00070714+0.0013289i,-0.00033027+0.0026836i,0.0061193+0.0018684i,0.0019656-0.00055488i,-0.00020817+0.02267i,-0.0062378+0.044437i,0.018178+0.053414i,0.011658+0.027056i,0.029969+0.0015625i,0.019719+0.0061136i,-0.0088788+0.017625i,-0.028411+0.015059i,-0.041224+0.031392i,-0.027799+0.010832i,0.010527-0.0035019i,0.0018412+0.0062561i,0.0073275+0.0066082i,-0.0026422+0.013805i,-0.0035449-3.1898e-05i,0.011796-0.013958i,0.016321-0.0025883i,-0.016421+0.010457i,0.0015693-0.00048343i,5.1644e-05+0.0023468i,-0.00081959+0.00015854i,-0.0022139-0.00056905i,0.0054098-0.0012682i,-0.0021086-0.0074321i,-0.00064597+0.0036666i,0.001902-0.0048845i,-0.003469-0.0055619i,-0.0024628+0.0023105i,0.0018965-0.0018325i,0.00075947-0.0020909i,0.024451-0.014255i,-0.0015726+0.0064295i,-0.0011933-0.0041009i,-0.0031387-0.00097815i,-0.0030474-0.0063893i,0.00046634+0.0061977i,0.0050198-0.010494i,0.00033087+0.0001528i,0.00012967-0.0031007i,-0.0010366-0.001408i,0.0063104+0.0044743i,-0.00024794-0.00013514i,0.0050942-0.0019065i,-0.0048702+0.0072524i,-0.0011287+0.012483i,-0.0047607+0.043498i,0.014014-0.0075072i,-0.014172+0.0066458i,-0.020929-0.0042636i,0.018313-0.0014703i,0.021522+0.0073761i,-0.0093373+0.0048163i
-0.00037319+0.021495i,0.03727+0.015646i,0.045664-0.0091763i,0.016304-0.0086073i,0.0068617-0.010683i,0.0080706-0.023765i,0.016375+0.0019854i,0.034124+0.0073743i,0.018526-1.8987e-05i,0.0034845+0.0043119i,0.0020592-0.00067888i,0.002379-0.0019946i,0.0016746+0.0021613i,0.0010914-0.001943i,-0.0005116-0.0020714i,0.0048482-0.00034646i,-0.0024274-0.0069537i,-0.00036946-0.0011402i,0.0008639+0.0034615i,-0.0010066+0.00079767i,-0.0019133+0.0015095i,0.00090947+0.0025439i,-0.0003831+0.0023132i,-0.01025-0.0030786i,0.0010902-0.0033974i,-0.0011009-0.0011629i,-0.00022942-0.0010891i,0.0016957+4.3809e-05i,0.00082872+1.3426e-05i,0.0020876-0.00015602i,-0.0012683+0.0017785i,0.00018328+0.0018776i,0.00018735+0.0018094i,0.0009054-5.5401e-05i,0.00026511-0.00050114i,0.0048752+0.003611i,-0.0016335-0.0013022i,-0.00048734-0.00026424i,0.0011672+0.00024265i,-0.00090833-0.00035112i,-0.00041464+0.0016683i,-0.00011993+0.0027018i,0.0052492+0.0019456i,0.0015872-0.0004171i,0.0022978+0.020704i,0.0017034+0.041004i,0.026953+0.046789i,0.016467+0.023874i,0.025181-0.0076221i,0.017984+0.0018387i,-0.0030203+0.022187i,-0.020038+0.024079i,-0.029127+0.040682i,-0.028947+0.015909i,0.0073418-0.004325i,0.0034314+0.0050735i,0.008373+0.003311i,0.0024747+0.013958i,-0.0038837+0.0016798i,0.0016329-0.016538i,0.013139-0.0079728i,-0.01346+0.014139i,0.0020973-0.0020224i,0.0008001+0.0012125i,-0.00062526-0.00043887i,-0.00076273+0.00083055i,0.0044465-0.0013295i,-0.00343-0.0062288i,0.0018349+0.0032085i,0.00042724-0.006254i,-0.0047882-0.0035218i,-0.0011994+0.0025617i,0.00099465-0.0029562i,0.00092525-0.0028255i,0.014986-0.020173i,0.0011005+0.0058737i,-0.0024572-0.0031263i,-0.0027266-0.00091479i,-0.0049219-0.0053109i,0.0017261+0.0048265i,0.0023052-0.0084385i,0.00126-0.00022167i,-0.0011542-0.0032596i,-0.0014877-0.002266i,0.0047374+0.0041548i,-0.00076246+0.0010907i,0.0047469-0.0023384i,-0.0041353+0.0080287i,0.002719+0.011466i,0.0018781+0.042682i,0.0067925-0.01534i,-0.016159+0.0033699i,-0.022782+0.0025944i,0.012693-0.0058332i,0.021441+0.00095289i,-0.0078659+0.0057217i
0.0028231+0.020764i,0.039277+0.010314i,0.040671-0.017664i,0.010212-0.013572i,0.0035574-0.013999i,0.0032964-0.024188i,0.017962-0.00097052i,0.033231+0.0016949i,0.017239-0.0046306i,0.0051956+0.004289i,0.0018422-0.00068606i,0.0011062-0.0032959i,0.0030511+0.0014465i,0.00076039-0.0018857i,-0.00047876-0.0019784i,0.0054608-0.0012353i,-0.0045811-0.0053867i,-0.00086551-0.0008848i,0.0015715+0.0023447i,-0.00076801+0.0016933i,-0.0016938+0.0021077i,0.00087814+0.0010967i,4.5475e-05+0.0023915i,-0.0029304+0.0054018i,-0.0011676-0.0032369i,-0.0014146-0.00047332i,-0.00061696-0.00075967i,0.0015079-0.00040432i,0.00054033-0.00052903i,0.001607-0.00088151i,-0.00024241+0.0018553i,0.0008515+0.0016358i,0.0012854+0.0018022i,0.0022681+0.00091161i,-0.00010745-5.5565e-06i,0.0048715+0.00231i,-0.0019849-0.00039746i,-0.00053699+2.3071e-05i,0.0010397+1.9567e-05i,-0.00067442-0.00076672i,0.00025816+0.0019569i,0.00068256+0.0025269i,0.0072925+0.0041945i,0.0012841-0.00018251i,0.0044357+0.018657i,0.0080526+0.036233i,0.03311+0.039398i,0.021109+0.019733i,0.018903-0.01318i,0.015854-0.0010435i,0.0034329+0.023681i,-0.0099915+0.027017i,-0.014493+0.044245i,-0.027016+0.021908i,0.005707-0.0042703i,0.0045285+0.003609i,0.008018+0.00055524i,0.0069849+0.011164i,-0.0031907+0.0041944i,-0.0074282-0.013052i,0.0085167-0.01096i,-0.0095638+0.017035i,0.0010192-0.0031205i,0.00087978+0.00067319i,-0.001085-0.00055308i,0.0010737+0.00095247i,0.0042642-0.0017137i,-0.0050069-0.004652i,0.0033847+0.0016819i,-0.0026914-0.0066348i,-0.0049303-0.00155i,0.00019493+0.0019238i,0.00019054-0.0035771i,0.00020163-0.0040073i,0.0061195-0.021078i,0.0029732+0.0045519i,-0.0029143-0.0022324i,-0.0034692-0.00095283i,-0.0065242-0.0032766i,0.0021996+0.0039351i,-0.0012992-0.0088269i,0.0020452-0.0010996i,-0.0017798-0.0023724i,-0.001876-0.0023834i,0.0058097+0.0022174i,-0.00025846+0.0020747i,0.0036431-0.0032988i,-0.0032494+0.0092413i,0.0054009+0.0088976i,0.009793+0.040956i,-0.0038295-0.019116i,-0.020061+0.0032957i,-0.0202+0.010118i,0.0073613-0.0058398i,0.018075-0.0048997i,-0.0062377+0.0042178i
0.0055267+0.01926i,0.040704+0.0037295i,0.035366-0.023327i,0.0043459-0.014314i,-0.00047808-0.015775i,-0.00046579-0.02407i,0.018804-0.0055183i,0.032469-0.0032001i,0.015031-0.0082495i,0.006857+0.0028077i,0.0022459-0.0008887i,-0.00034504-0.0032076i,0.0035634-0.00034105i,0.00053334-0.0018705i,-0.00069945-0.0019846i,0.0059131-0.0022071i,-0.0050549-0.0031248i,-0.00097485-0.00084267i,0.0015418+0.0012931i,0.00010298+0.0020251i,-0.001436+0.003276i,0.0003335+0.00031706i,0.00063085+0.0022973i,0.0016432+0.0017897i,-0.0022441-0.0016651i,-0.001386+0.00015759i,-0.00086269-0.00042777i,0.0010641-0.00052848i,-2.3093e-05-0.00028321i,0.00087775-0.0014184i,0.00066462+0.0014656i,0.0013455+0.0012483i,0.0016659+0.00094731i,0.00070026+0.0005769i,0.00021368+0.00039532i,0.0045971+0.0010188i,-0.0022409+0.00063775i,-0.00038308+0.00031612i,0.00089561-0.00047231i,-0.00055009-0.0010497i,0.0010692+0.0017997i,0.0012964+0.0015938i,0.01185+0.0013762i,0.0012425+9.5723e-05i,0.0057837+0.016668i,0.011992+0.031014i,0.037476+0.031995i,0.024631+0.013662i,0.012855-0.016233i,0.014461-0.0012321i,0.01028+0.023382i,-0.0006087+0.027283i,-0.0012492+0.042133i,-0.022623+0.027981i,0.0043168-0.0049853i,0.0052467+0.0014506i,0.0075493-0.0016803i,0.010181+0.0072618i,-0.00085015+0.0051438i,-0.01212-0.0060773i,0.003569-0.012048i,-0.0044977+0.018137i,-0.00053055-0.0033839i,0.00037392+0.00054402i,-0.0012912-0.00021138i,0.0020296+6.0842e-05i,0.0040203-0.0017478i,-0.0049233-0.00247i,0.0038127-0.00016843i,-0.0052354-0.0045669i,-0.0042256+0.00017455i,0.00045673+0.00062674i,-0.00085836-0.004135i,-0.0013094-0.0043639i,-0.0020135-0.019711i,0.0045312+0.0022486i,-0.0038568-0.0014448i,-0.0038816+0.00061116i,-0.0065099-0.00045605i,0.0028236+0.003639i,-0.0049361-0.0079295i,0.0024691-0.0027154i,-0.0019291-0.0022183i,-0.0026954-0.0030138i,0.0064805+0.00078422i,0.0006505+0.0026354i,0.0019795-0.0025399i,-0.0013448+0.0097719i,0.0067562+0.0064396i,0.017376+0.03677i,-0.014989-0.016917i,-0.023115+0.0057466i,-0.015247+0.01324i,0.0044383-0.0046534i,0.013778-0.0082905i,-0.0073759+0.0032569i
0.0074163+0.01773i,0.040629-0.0033036i,0.030375-0.028062i,0.00024081-0.013601i,-0.0044406-0.01626i,-0.004671-0.023893i,0.018058-0.011035i,0.031085-0.0083089i,0.012087-0.011023i,0.0075988+0.00048562i,0.0025118-0.0018223i,-0.0013869-0.0024224i,0.0029124-0.0018863i,0.0003002-0.0017345i,-0.0012503-0.0021123i,0.0062685-0.0035494i,-0.004919-0.0012665i,-0.0014091-0.0010143i,0.0014699+0.00071156i,0.00080469+0.0018021i,0.00065031+0.0020073i,-0.00033113+0.00031263i,0.00099206+0.0019787i,-0.00019816-0.00069737i,-0.0021789-0.00026228i,-0.0010847+0.00082719i,-0.001017-4.1946e-05i,0.0004807-0.00072116i,-0.00012277-4.9172e-05i,-3.5992e-05-0.0014484i,0.0012472+0.0008242i,0.0017707+0.00070373i,0.0017621+0.00052537i,0.00073416-0.00032579i,0.00076094+0.000239i,0.0040373-0.00019885i,-0.0016678+0.0019129i,-8.2973e-05+0.00047111i,0.00020323-0.00070033i,-0.00054869-0.0014465i,0.001721+0.0013931i,0.0013069+0.0010951i,0.011652-0.0068316i,0.0014414+0.00074398i,0.0068842+0.015127i,0.014221+0.027118i,0.040516+0.024411i,0.025647+0.0078457i,0.0067055-0.018106i,0.015909-0.00083086i,0.016802+0.020296i,0.0092797+0.024712i,0.010739+0.035677i,-0.01476+0.032364i,0.0029533-0.0052784i,0.0046585-0.0016875i,0.0065712-0.0039777i,0.010833+0.0023099i,0.00045065+0.0045138i,-0.013092+0.0016844i,-0.0013597-0.011248i,-6.0701e-06+0.016351i,-0.0022724-0.0030235i,0.0002922+0.0010719i,-0.0012847+0.00033006i,0.0028822-0.0012267i,0.0045471-0.0010421i,-0.0041682-0.00096354i,0.0034794-0.00074359i,-0.0060256-0.0022767i,-0.0017239+0.0022883i,7.0977e-05+0.0002344i,-0.0032895-0.0044076i,-0.0027045-0.0036148i,-0.0084901-0.016629i,0.004602-0.00055086i,-0.0044602-3.0753e-05i,-0.0026389+0.0017943i,-0.0058961+0.0014587i,0.0041502+0.0031821i,-0.0079702-0.0049999i,0.0012562-0.0045605i,-0.0026996-0.0015922i,-0.0043896-0.0023676i,0.0072173-0.0017122i,0.0021661+0.0030707i,0.0022054-0.0020041i,0.00076927+0.010358i,0.0068059+0.003594i,0.023619+0.030386i,-0.021549-0.0091511i,-0.025829+0.010368i,-0.010373+0.014961i,0.0020405-0.002653i,0.0089759-0.0091198i,-0.0079793+0.0034109i
