-0.022927-0.038647i,-0.01061-0.050271i,-0.017214-0.045496i,-0.030482-0.036089i,-0.02958-0.017282i,-0.050513-0.028839i,-0.058538-0.026575i,-0.044672-0.038717i,-0.027355-0.033434i,0.0089272+0.011747i,-0.0072313+0.015889i,-0.0050246+0.014687i,0.0094897+0.022043i,0.00037995+0.0047541i,0.003417+0.0036074i,0.0064063+0.018276i,0.018146+0.03692i,-0.0024115-0.0014994i,-0.0050487-0.0061535i,0.006863+0.0042972i,-0.00026551-0.00070638i,-0.001128+0.0026209i,9.4691e-05-0.00031503i,-0.029478-0.0024326i,-0.0019526-0.0062833i,0.0011492+0.0047179i,0.0032546-7.8339e-05i,-0.00019415+0.00076989i,0.00060135-0.00038001i,-0.0008266-0.0027257i,-0.0017804-0.006013i,-0.004836-0.0048793i,-0.0023919-0.0046036i,0.00246-0.00061196i,0.0020498-0.0030915i,-0.00079812+0.028862i,0.0014271-0.0033254i,0.0028263+0.0007703i,0.0054147+0.0012768i,-0.010097-0.0025346i,-0.004079+6.7094e-05i,0.0052798+7.6532e-05i,0.0063839+8.6906e-05i,-0.0037125+0.0044284i,0.0019152-0.0087159i,-0.011915+0.018028i,0.035683-0.090673i,0.013548-0.070324i,-0.015621-0.059658i,-0.014779-0.056294i,0.03941-0.046136i,0.017088-0.062659i,0.034511-0.055563i,0.030617-0.059941i,0.015572-0.01393i,0.0040358+0.016636i,0.017152-0.025714i,-0.011974+0.0053338i,-0.000559+0.005333i,-0.0055252-0.0011211i,-0.0022903-0.02839i,-0.024736+0.031296i,0.0094885-0.011818i,-0.013433-0.0027344i,-0.00019413-0.0050658i,-0.00095611-0.017154i,-0.0070399+0.004577i,0.0051949+0.006446i,-0.0086561+0.030467i,0.005317+0.0060757i,-0.0048794-0.00080667i,-0.0032664-0.0002606i,-0.012078-0.0076919i,-0.00065267-0.0043457i,-0.017776+0.0090331i,0.00033391-0.010267i,-0.0093807-0.0019262i,-0.0064424-0.0025599i,0.0071909+0.0033867i,-0.0073584+0.0013667i,8.1379e-05+0.00053264i,0.0077399+0.010555i,0.0038148+0.0017781i,-0.009282-0.0096199i,0.0031983+0.0085522i,-0.020633+0.0068794i,0.0081239+0.00071896i,-0.028843-0.0029777i,-0.042877+0.0010199i,0.016425-0.097648i,-0.0017692-0.012394i,-0.052763-0.022728i,-0.023693+0.00091693i,0.017924+0.010348i,-0.025449+0.012496i,-0.018417-0.012761i
0.0079428+0.022102i,0.013414+0.052261i,0.024379+0.03574i,0.017255+0.028527i,0.024415+0.028057i,0.033331-0.01397i,0.018372-0.0084204i,0.029337+0.0066367i,0.011976+0.01432i,0.0027644+0.0040819i,0.0050287+0.0025024i,0.0042606+0.0034886i,0.005978+0.0030211i,0.0049891+0.0037251i,0.003157-0.0032901i,0.0083459-0.0015581i,0.011619-0.0031831i,-0.0019108-0.0012585i,-0.0031395-2.5606e-05i,1.6863e-05+0.0013233i,-0.0011034-0.00017299i,-0.0028328+0.00096982i,-0.0019634+0.0010917i,0.0044941+0.0082325i,0.0014118+0.0010346i,0.0023499+0.00047073i,0.0018978+0.0011344i,0.001214+0.001359i,0.00060162+6.2943e-05i,-0.00059998+0.00096019i,-0.0022682-0.0031443i,-0.00084443-0.0005172i,-0.00088278+0.00082601i,-0.0010726+6.4846e-05i,-0.00057555-0.0015632i,-0.0066062+0.0074493i,0.0011082+0.00030767i,0.0015133-0.00050795i,-0.0014094+0.0028664i,0.00025054-0.0032944i,-0.001128+0.00037326i,-0.0025283-0.00061091i,0.0020879+0.0004654i,0.0067327+0.0049787i,-0.013549+0.033733i,-0.08092+0.034531i,-0.05196+0.037714i,-0.036966+0.05959i,-0.020009+0.072898i,-0.0093576+0.050305i,0.015771+0.031494i,0.0034863-0.00080358i,-0.036381+0.0092272i,-0.045614+0.018417i,0.0023815+0.024201i,-0.0082002+0.0021452i,-0.010764-0.00069144i,-0.013932-0.0028695i,0.0022279+0.00047475i,0.0060294+0.009645i,-0.0019045+0.0083542i,-0.0064468-0.011923i,0.0059201-0.0074401i,-0.006112-0.0062938i,0.0021445-0.0065578i,0.0036008-0.0040374i,-0.0018106+0.010298i,0.0092605-0.0044251i,0.0052944-0.0058213i,0.0027006-0.0071263i,0.0031963-0.00037658i,-0.0015687-0.0049211i,-0.0032567-0.00067395i,0.0027464-0.00052378i,-0.010268+0.025311i,-0.0043413-0.004286i,0.0020971+0.00040828i,0.00060505-0.0068983i,0.0023544-0.0015063i,-0.014147-0.0023554i,0.00053851-4.4293e-05i,0.0052925-0.0035885i,0.0032856-0.0010996i,0.0010302-0.0040193i,-0.0003641+0.0058298i,-0.0010514+0.0074645i,-0.0029557+0.0043467i,-0.012257+0.0027832i,-0.014942-0.0019749i,-0.039938+0.057691i,5.4447e-05+0.0050682i,-0.025194-0.016914i,-0.012651-0.006529i,0.0096334+0.019479i,-0.0014295+0.023473i,-0.00052523-0.0010621i
0.010661+0.018484i,0.021848+0.047845i,0.029722+0.03144i,0.022376+0.026139i,0.030469+0.024005i,0.030122-0.019915i,0.015558-0.01205i,0.029847+0.0013388i,0.014087+0.01134i,0.0040313+0.0029154i,0.0054185+0.0013188i,0.0041255+0.0033634i,0.0062475+0.0018331i,0.0056419+0.0024623i,0.0020822-0.0038537i,0.0068471-0.0030717i,0.0099084-0.0071727i,-0.0014934-0.00092545i,-0.0022511-6.2522e-05i,0.00073344+0.00047073i,-0.0013035-0.00026959i,-0.0025884+0.0015986i,-0.0015509+0.0011418i,0.0081969+0.0057853i,0.001364+0.0011817i,0.0026076-0.00053367i,0.002029+0.00010345i,0.001701+0.00061096i,0.00024387+3.597e-05i,-0.00045897+0.0010038i,-0.0032097-0.0019537i,-0.001269-0.00057933i,-0.00060999+0.0010785i,-0.00089732+0.00040104i,-0.0012104-0.00049929i,-0.0039504+0.0085205i,0.00089286-0.00020979i,0.0011874-0.00096199i,0.00032406+0.0027383i,-0.00079204-0.0030137i,-0.00093635+0.00044906i,-0.0027492+0.00021551i,0.0016803+0.00046837i,0.0072587+0.0041599i,-0.0068593+0.034875i,-0.069405+0.048331i,-0.048195+0.046899i,-0.027132+0.063302i,-0.0038293+0.070526i,0.00097775+0.048215i,0.014729+0.035351i,-0.0016906-0.0053981i,-0.037125+0.011273i,-0.037257+0.020372i,0.0078914+0.02166i,-0.0085376+0.0046978i,-0.010007+0.0051275i,-0.015082+0.00070899i,0.0010963-0.00081501i,0.0079461+0.0088953i,0.0020014+0.01126i,-0.012201-0.010022i,0.00087744-0.0086518i,-0.0055104-0.0026689i,-0.0015165-0.0062153i,0.0014792-0.0051611i,0.0028643+0.0080668i,0.0058815-0.0066239i,0.0016718-0.0063184i,-0.00043181-0.0045595i,0.0039404-0.0015416i,-0.0028758-0.0041088i,-0.0014068+0.0011632i,0.0030137-0.00095902i,0.0041398+0.022554i,-0.0052941-0.0033467i,0.0027179-0.0018193i,-0.0026832-0.0058908i,0.0028459-0.0023529i,-0.013184+0.0033499i,0.00092838+0.00053083i,0.0032249-0.0031926i,0.0035178-0.0025462i,0.00010101-0.0036431i,0.0016659+0.0027507i,0.002576+0.0062538i,-0.00055369+0.0050911i,-0.010734+0.0066793i,-0.016158+0.001114i,-0.028608+0.059047i,0.00067812+0.0061795i,-0.029014-0.011913i,-0.01225-0.010444i,0.012218+0.018376i,0.0032034+0.024753i,-0.0029891-0.0021679i
0.012089+0.015603i,0.028435+0.041248i,0.035422+0.024915i,0.02833+0.021193i,0.036376+0.018285i,0.025591-0.025446i,0.011899-0.015135i,0.029985-0.0045106i,0.015616+0.0084093i,0.0042482+0.0015418i,0.0052014-0.00028631i,0.0049948+0.0031345i,0.0061772+7.5059e-05i,0.0060318+0.00073058i,0.00088533-0.004072i,0.0050954-0.0040568i,0.0052697-0.0098051i,-0.0016863-0.00086342i,-0.0013823+0.0010564i,0.00047572-0.00059595i,-0.0018645-0.00019404i,-0.0020667+0.0022998i,-0.0013659+0.0012507i,0.0092299+0.001459i,0.002145+0.0006683i,0.0018979-0.00155i,0.0016371-0.00063863i,0.0018226-0.00016783i,0.00018938+0.00014305i,-0.00025149+0.0012056i,-0.0035849-0.00028571i,-0.0019239+0.00039198i,1.618e-05+0.001325i,-0.00063491+0.00076456i,-0.00094907+0.0004408i,-0.0012758+0.008577i,0.00064365-0.00034828i,0.00068482-0.0013425i,0.0010602+0.0017409i,-0.0018795-0.0025564i,-0.00081542+0.00047397i,-0.002393+0.0010907i,0.001622+0.00094104i,0.0083926+0.0026125i,0.00085822+0.034196i,-0.056609+0.058623i,-0.039825+0.055575i,-0.01587+0.064377i,0.010687+0.063827i,0.0098919+0.046687i,0.012055+0.030735i,-0.0070064-0.006535i,-0.037538+0.015936i,-0.030257+0.019836i,0.012135+0.017067i,-0.0080513+0.0070941i,-0.0076513+0.0081517i,-0.013108+0.0040224i,-0.00077567-0.002413i,0.010144+0.0070236i,0.0071426+0.011044i,-0.015963-0.0055532i,-0.0018624-0.0060616i,-0.0046441-0.00051328i,-0.0033472-0.0039953i,-0.0010072-0.0047193i,0.0049835+0.0069382i,0.0036426-0.0070043i,-0.002808-0.0048985i,-0.00037823-0.0019457i,0.0036024-0.0040796i,-0.0048942-0.0025377i,-0.00023037+0.00078399i,0.0024837-0.0017762i,0.013664+0.018094i,-0.0068797-0.001333i,0.0022178-0.0030103i,-0.0027504-0.0040021i,0.0030928-0.0039609i,-0.0093197+0.0079946i,0.002155+0.00049263i,0.0020147-0.0034329i,0.0019963-0.0031759i,0.00053077-0.0036057i,0.00083169+0.0017641i,0.0043631+0.0035914i,0.0018165+0.0048543i,-0.0085851+0.0089061i,-0.016455+0.0058752i,-0.019648+0.058423i,0.0048441+0.0061003i,-0.030659-0.0059808i,-0.015439-0.011514i,0.016059+0.014986i,0.0093828+0.025128i,-0.0049461-0.0017861i
0.013132+0.013102i,0.032097+0.035105i,0.038163+0.016977i,0.032157+0.013629i,0.040472+0.010143i,0.019466-0.029367i,0.0076296-0.016794i,0.028344-0.010453i,0.016738+0.0051854i,0.0038707+0.00071499i,0.0045197-0.00091425i,0.0059367+0.0020101i,0.005264-0.00089107i,0.0056289-0.00089095i,-0.00046909-0.0039008i,0.0034128-0.0042505i,0.001083-0.0088266i,-0.0016872-0.00040251i,-0.00067522+0.0020107i,-0.0003939-0.00096794i,-0.0020944+0.00060774i,-0.0013568+0.003084i,-0.0011987+0.0015059i,0.0082333-0.0022752i,0.0021639-0.00022337i,0.00094526-0.001697i,0.0010865-0.00095054i,0.0013259-0.0011101i,0.00021842+9.6216e-06i,0.00018398+0.001359i,-0.0033092+0.0015936i,-0.001314+0.0013891i,0.00052439+0.0010702i,-0.00033998+0.00090156i,-0.00048593+0.00096481i,0.0015338+0.0083131i,0.0004799-0.00049545i,7.3548e-05-0.001495i,0.0011724+0.0013883i,-0.0023885-0.0015146i,-0.00079488+0.00067476i,-0.0020673+0.0015913i,0.0021322+0.0011792i,0.009153+0.00068454i,0.0070286+0.031063i,-0.042011+0.066224i,-0.030066+0.061627i,-0.0067999+0.06369i,0.02311+0.05326i,0.019433+0.041811i,0.010448+0.028451i,-0.013527-0.0050565i,-0.036884+0.02216i,-0.025801+0.017581i,0.014976+0.011381i,-0.0060761+0.0099339i,-0.0044442+0.011451i,-0.011123+0.0076385i,-0.0042663-0.0014548i,0.012103+0.003679i,0.011674+0.008048i,-0.018261-4.3461e-05i,-0.0032346-0.0043023i,-0.0032872+0.00065984i,-0.0038999-0.0015212i,-0.0026022-0.0033424i,0.0071634+0.0038122i,0.0016751-0.0071384i,-0.0044337-0.00060428i,0.000793-0.00087173i,0.001566-0.0057571i,-0.0054609-0.00081837i,0.00075168+0.0009851i,0.0020844-0.0022478i,0.019193+0.0087384i,-0.0070741+0.0021248i,0.0018246-0.0042317i,-0.0030506-0.0025905i,0.001454-0.0060908i,-0.0042131+0.0093368i,0.00322-0.00053078i,0.00088099-0.0027162i,0.00091749-0.0033762i,-0.0030189-0.00523i,0.00045384+0.0017401i,0.0041333+0.0009688i,0.0039499+0.0040056i,-0.005944+0.010126i,-0.014925+0.010909i,-0.011699+0.058556i,0.011326+0.0012664i,-0.029343-0.00034755i,-0.021145-0.010439i,0.01717+0.010509i,0.016412+0.022211i,-0.0051055-0.00098465i
0.014508+0.010982i,0.035707+0.030124i,0.039316+0.0099551i,0.033402+0.005997i,0.042032+0.0012497i,0.01342-0.031665i,0.003615-0.01676i,0.025379-0.015473i,0.017357+0.0018872i,0.0034625+0.00011538i,0.0040178-0.0013568i,0.0065779+0.00058771i,0.0047187-0.0012286i,0.0047883-0.0021731i,-0.0015908-0.0030334i,0.0021901-0.0037811i,-0.00094284-0.0071033i,-0.0018603+7.269e-05i,-0.00043301+0.0019336i,-0.0011927-0.00076108i,-0.0019093+0.001248i,-1.7237e-05+0.0034501i,-0.0009388+0.0019038i,0.0060142-0.0050503i,0.0016534-0.00071445i,0.00045445-0.0016427i,0.00064257-0.0010943i,0.0003516-0.00042822i,8.9031e-05+4.5101e-05i,0.00091378+0.0012376i,-0.002029+0.002942i,-0.00052201+0.0017418i,0.00072885+0.00073642i,5.9137e-05+0.0012404i,0.0001855+0.0011064i,0.0038091+0.0066013i,0.00017355-0.00050623i,-0.00061904-0.0014058i,0.0016981+0.00094355i,-0.0024749-0.00069996i,-0.0005671+0.00068409i,-0.0015158+0.0019783i,0.0028077+0.00091582i,0.009067-0.0017228i,0.011378+0.026852i,-0.02608+0.06935i,-0.018065+0.0664i,0.0025945+0.063045i,0.029319+0.040232i,0.026039+0.034675i,0.010717+0.029761i,-0.017623+0.0016843i,-0.034273+0.031428i,-0.024626+0.01538i,0.014285+0.005794i,-0.0027342+0.011673i,0.0009083+0.011979i,-0.0084958+0.010252i,-0.0054415+0.0017302i,0.012356-0.0014591i,0.014431+0.0034076i,-0.018323+0.0060392i,-0.002893-0.0017552i,-0.0025199+0.0012412i,-0.0028002+0.00016875i,-0.0038496-0.0011598i,0.0071749+0.00079987i,-0.00055319-0.0066184i,-0.0033441+0.0027767i,0.002334-0.0014146i,-0.0010018-0.0061008i,-0.0041213+0.0010192i,0.0021376+0.00024838i,0.001597-0.0025824i,0.020172-0.00013702i,-0.0046657+0.0046908i,0.00031299-0.0054034i,-0.0026846-0.0020196i,-0.00086706-0.0065273i,-0.00047817+0.0082451i,0.0029723-0.0021589i,0.0008949-0.0013059i,0.00053159-0.0029041i,-0.0017095-0.001952i,0.00075314+0.002008i,0.0024885-0.00069938i,0.0048926+0.0017828i,-0.0035016+0.0099097i,-0.011105+0.015737i,-0.003206+0.057998i,0.012773-0.0098964i,-0.025813+0.0017155i,-0.026031-0.006874i,0.017885+0.0060808i,0.020998+0.015522i,-0.0060636-0.0011581i
0.015989+0.00842i,0.039593+0.024428i,0.040349+0.0028922i,0.033269-0.0015546i,0.041978-0.0073327i,0.0071236-0.0332i,0.00074587-0.016029i,0.021844-0.019694i,0.017635-0.0017951i,0.0029059-0.00037317i,0.0039801-0.0016743i,0.0068869-0.00093089i,0.0049052-0.0017613i,0.0037195-0.0029828i,-0.0021675-0.0021149i,0.0016598-0.0032035i,-0.001874-0.0060217i,-0.0016004+0.00044372i,-0.00010263+0.001826i,-0.0016167-0.00015746i,-0.001344+0.001752i,0.0014549+0.0029287i,-0.00030666+0.0022224i,0.0028251-0.0062419i,0.00142-0.00097301i,-0.00011805-0.0015383i,0.00024096-0.0012357i,0.0004709-0.00097652i,4.8003e-05+0.00016109i,0.0013343+0.00060019i,-0.00052792+0.0032939i,0.00033482+0.0017201i,0.00082753+0.00047985i,0.0006519+0.0011051i,0.00060531+0.00059542i,0.004737+0.0039937i,7.735e-05-0.00036708i,-0.0010703-0.00095372i,0.0015591+0.00021313i,-0.0022692-2.7582e-06i,-0.00045076+0.00075115i,-0.00079598+0.0019946i,0.0032895+0.0004576i,0.0085421-0.0037417i,0.014615+0.022566i,-0.011827+0.068126i,-0.0042098+0.06668i,0.012149+0.060854i,0.031723+0.028247i,0.030317+0.027384i,0.013656+0.031656i,-0.016704+0.010535i,-0.026167+0.041545i,-0.025559+0.015971i,0.012388+0.0026796i,0.0012662+0.0116i,0.0047591+0.010143i,-0.005607+0.012392i,-0.0045288+0.0041377i,0.0097975-0.007021i,0.014563-0.0024588i,-0.015898+0.010893i,-0.0017684-0.00078156i,-0.0014659+0.0011373i,-0.0017296+0.00052591i,-0.003151+0.0015314i,0.0057955-0.0012374i,-0.0018225-0.0051247i,-0.00018731+0.0049427i,0.0026066-0.0031424i,-0.0033876-0.0047356i,-0.0028403+0.0018782i,0.0024288-0.0011279i,0.0015286-0.0027591i,0.016577-0.007993i,-0.0019437+0.0054594i,-0.0017837-0.0053874i,-0.0029417-0.001595i,-0.003069-0.0056722i,0.0017602+0.006683i,0.0024949-0.0034305i,0.0027509-0.0014011i,0.00050676-0.0029714i,-0.00079591-0.0026855i,-6.8064e-05+0.0036474i,0.00064408-0.00017733i,0.0043566+0.00051161i,-0.0020606+0.0093661i,-0.005144+0.017778i,0.0054448+0.055878i,0.0068049-0.018814i,-0.024283+0.0003583i,-0.030266-0.00061798i,0.016592+0.00034217i,0.021871+0.0086396i,-0.0070396+3.7195e-05i
0.017226+0.0054383i,0.042103+0.017687i,0.039542-0.0053847i,0.030775-0.0094532i,0.040222-0.016375i,0.0004293-0.033124i,-0.0013033-0.015263i,0.017789-0.023312i,0.016699-0.0055898i,0.0022885-5.3582e-05i,0.0035329-0.0022968i,0.0065647-0.0031241i,0.0047492-0.0029615i,0.0025024-0.0035166i,-0.0024655-0.0011458i,0.0015471-0.0029617i,-0.0029148-0.0053029i,-0.0016179+0.00080125i,0.00042146+0.0015709i,-0.0019915+0.0005501i,-0.00095312+0.0019521i,0.0023594+0.0018179i,0.00029012+0.0022739i,-0.00055179-0.0058882i,0.00095128-0.0017858i,-0.00067543-0.0011197i,-0.0003334-0.0012842i,-0.00016123-0.00079593i,0.00033566+0.0002269i,0.0012361+5.9733e-06i,0.0010093+0.0029932i,0.00092518+0.0015087i,0.00076745+0.00015689i,0.00099017+0.00093337i,0.00047982-5.4035e-05i,0.005064+0.0016865i,-6.5935e-05-0.00027266i,-0.0013607-0.00054805i,0.0014663-9.729e-05i,-0.0019286+0.00045515i,-0.00033054+0.00082215i,-0.00014711+0.0019134i,0.0036656-0.00051685i,0.0074231-0.0065221i,0.016602+0.01857i,0.00072955+0.064951i,0.0080079+0.062535i,0.021899+0.057128i,0.03045+0.01807i,0.032728+0.020509i,0.019534+0.031865i,-0.0096978+0.016443i,-0.013105+0.047286i,-0.02557+0.019414i,0.010419+0.00078536i,0.004286+0.0099159i,0.0070421+0.0069944i,-0.001915+0.013235i,-0.0038462+0.0056638i,0.0033003-0.0095453i,0.011454-0.0074251i,-0.012934+0.014514i,-0.00073914-0.0012269i,-0.0010842+0.00072879i,-0.0012529+0.00039848i,-0.00098663+0.0029761i,0.0044397-0.0013874i,-0.0023875-0.0040135i,0.002931+0.004386i,0.0013014-0.0051517i,-0.0043491-0.0027869i,-0.0014142+0.0023789i,0.0017093-0.0024808i,0.0010417-0.0036864i,0.011487-0.012115i,0.00035403+0.0051276i,-0.0032359-0.0043773i,-0.0025281-0.0012373i,-0.0044892-0.0043743i,0.0032519+0.0051976i,0.0015352-0.0051071i,0.0033023-0.0033163i,-0.00019401-0.0032625i,-0.0016891-0.00351i,0.004176+0.0019782i,0.00046353+0.001606i,0.0047519-0.00055317i,-0.0010058+0.0091298i,0.00010841+0.017249i,0.013449+0.053355i,-0.0019797-0.023824i,-0.026857-0.0008181i,-0.0305+0.0081711i,0.011344-0.0034918i,0.021956+0.0026491i,-0.006315+0.00059592i
0.018212+0.0018277i,0.044037+0.011631i,0.036309-0.012539i,0.025508-0.015381i,0.035628-0.024849i,-0.0053186-0.031425i,-0.0028137-0.01454i,0.012792-0.02587i,0.015381-0.0089113i,0.0026532+0.00047933i,0.0031484-0.0024797i,0.0050052-0.0048993i,0.004093-0.0039704i,0.0014241-0.0035385i,-0.0022667-0.00019414i,0.0014118-0.002771i,-0.00458-0.0039224i,-0.0012836+0.0014101i,0.00072708+0.00098117i,-0.0017676+0.0017401i,-0.00032619+0.0023185i,0.0024383+0.00050328i,0.00092603+0.0021508i,-0.0028215-0.0039967i,-0.00050011-0.0018966i,-0.00083891-0.00059687i,-0.00075141-0.001021i,-0.00045567-0.0005426i,0.00039861-0.00012241i,0.00099025-0.00037963i,0.0020879+0.0020253i,0.0013282+0.0010763i,0.00069866-6.8082e-05i,0.0015976+0.00022591i,0.00011414+1.9308e-05i,0.0049218-0.00051761i,-0.00014165-0.00015444i,-0.0014943-6.6033e-05i,0.0013418-0.00046332i,-0.0014199+0.00081596i,-0.00018345+0.00096326i,0.00034856+0.0016526i,0.0033823-0.0017749i,0.0036623-0.0075676i,0.017868+0.014603i,0.011974+0.05942i,0.01668+0.056719i,0.030599+0.051228i,0.027738+0.01092i,0.033413+0.013883i,0.025407+0.029303i,-0.0020378+0.017284i,0.0013436+0.047258i,-0.023542+0.023751i,0.0094563-0.00017332i,0.0065852+0.0075499i,0.0076368+0.0040962i,0.0017871+0.01253i,-0.0022819+0.0075269i,-0.0025169-0.0079278i,0.0071774-0.0094785i,-0.0086658+0.017274i,-0.0013948-0.0021202i,-0.00138+0.00070979i,-0.0011788+0.00058998i,0.0016132+0.0027207i,0.0036585-0.0016288i,-0.0032946-0.0034281i,0.0045482+0.0021261i,-0.0015546-0.0060958i,-0.0041192-0.00090161i,3.6326e-05+0.0017515i,0.0011188-0.0032132i,-0.00014728-0.0048594i,0.0056588-0.013922i,0.0021886+0.0040674i,-0.0042526-0.00347i,-0.0032334-0.0013965i,-0.0055401-0.0025792i,0.0036151+0.0039466i,-0.00047971-0.0064221i,0.0027671-0.0051042i,-0.00098401-0.0030624i,-0.0023575-0.0031476i,0.004119+0.0011069i,0.001621+0.0025818i,0.0036282-0.0016214i,0.00033126+0.0095406i,0.004341+0.014749i,0.021922+0.050036i,-0.012522-0.025708i,-0.030697+0.0011545i,-0.026039+0.016258i,0.006994-0.0031137i,0.018649-0.0036252i,-0.0056822-0.00083753i
0.018114-0.0024283i,0.04585+0.0043061i,0.032467-0.018068i,0.020219-0.018428i,0.029589-0.031517i,-0.0098642-0.029322i,-0.0039396-0.014319i,0.0078393-0.027393i,0.013458-0.012098i,0.0035167+0.00016815i,0.0031007-0.0029452i,0.0031235-0.0055494i,0.0031059-0.0052316i,0.00059828-0.0033604i,-0.0018229+0.00039452i,0.001464-0.0025109i,-0.0052122-0.0016492i,-0.0006605+0.0013255i,0.00054744+0.00046464i,-0.00092083+0.0023501i,0.0003881+0.0023325i,0.001999-0.00043447i,0.0015365+0.0017479i,-0.0039681-0.0012228i,-0.0012703-0.0011025i,-0.00082265-0.00025545i,-0.00096931-0.00071052i,-0.00031705-0.00037583i,7.4196e-05-9.0671e-05i,0.00054461-0.00067695i,0.0027327+0.00075255i,0.0013633+0.00064114i,0.0007314-0.00019907i,0.0012796+1.9026e-05i,0.0001752+0.00031523i,0.005835-0.0021185i,-0.00013608+3.6999e-05i,-0.0014296+0.00048585i,0.0010006-0.00090584i,-0.00090607+0.0010051i,0.00014241+0.00091013i,0.00066339+0.0013408i,0.0024835-0.0026654i,0.0010887-0.0064772i,0.01853+0.010609i,0.020012+0.051822i,0.023424+0.051221i,0.037504+0.043586i,0.024575+0.0053754i,0.033099+0.0094119i,0.030554+0.025111i,0.0044408+0.016197i,0.013714+0.042165i,-0.019446+0.028212i,0.0087755-0.0014993i,0.008166+0.0044279i,0.0079388+0.0016543i,0.0055666+0.010581i,0.00043328+0.0078723i,-0.0057329-0.0045089i,0.0028868-0.0099072i,-0.0031966+0.017827i,-0.002849-0.0021274i,-0.002131+0.0017034i,-0.00097797+0.00087874i,0.0030306+0.0011852i,0.0031185-0.00098222i,-0.0037814-0.0021772i,0.004696-0.000309i,-0.0042482-0.0045783i,-0.0030363+0.00020031i,0.00032668+0.00061644i,0.00021773-0.0040871i,-0.0021159-0.004915i,0.00072853-0.013235i,0.0036289+0.0023153i,-0.0055405-0.0019846i,-0.0038874-5.9165e-05i,-0.0053524-0.00021887i,0.0044251+0.0031489i,-0.0036017-0.0064487i,0.0014793-0.0069288i,-0.0015183-0.0028117i,-0.0029925-0.0033697i,0.0047341+0.00042339i,0.0027891+0.0024749i,0.0025645-0.0012741i,0.0019169+0.0094484i,0.0067813+0.011378i,0.03041+0.044297i,-0.023627-0.022211i,-0.033772+0.0049037i,-0.019532+0.019449i,0.0049333-0.0021385i,0.013052-0.006396i,-0.0079247-0.0017574i
0.016618-0.00634i,0.04619-0.0037952i,0.028236-0.022793i,0.015767-0.020214i,0.022638-0.03659i,-0.014389-0.027023i,-0.0054181-0.015009i,0.0030223-0.028203i,0.010823-0.014875i,0.0040679-0.0006542i,0.0029031-0.0039008i,0.0013651-0.0055242i,0.0013565-0.0060892i,-7.6482e-05-0.0031842i,-0.0014729+0.00054733i,0.0016374-0.002699i,-0.004719+0.00019172i,-0.00030708+0.0009922i,0.00045564+0.00031192i,-5.8169e-05+0.0025472i,0.0010282+0.0021192i,0.0014885-0.0008663i,0.0019366+0.0010341i,-0.003294+0.00144i,-0.0012079-0.00032751i,-0.00080776+0.0001257i,-0.0011228-0.0003331i,-0.00094983-0.00036137i,6.5383e-05+6.9927e-05i,-6.412e-05-0.00068789i,0.0027161-0.00061203i,0.0014239+0.00036404i,0.00067363-0.00046434i,0.0012226-0.00061194i,0.00049471+0.00050168i,0.0066326-0.0018677i,2.023e-05+8.8993e-05i,-0.0010296+0.0010126i,0.00024867-0.00087175i,-0.00018962+0.00096725i,0.00031431+0.00093544i,0.00089611+0.0010934i,0.0012815-0.0029008i,-0.00010792-0.0047505i,0.018499+0.0073568i,0.024651+0.045085i,0.029693+0.045765i,0.04206+0.036032i,0.020641+0.0008569i,0.034383+0.0058632i,0.034688+0.019696i,0.010777+0.0126i,0.02337+0.033675i,-0.012829+0.031527i,0.0078559-0.0029703i,0.0080827+2.2078e-05i,0.0078896-0.0011937i,0.0074402+0.0071907i,0.002262+0.0071196i,-0.0070926-0.00018177i,-0.0010346-0.0089515i,0.00080023+0.015306i,-0.0041275-0.00074994i,-0.0017455+0.0036148i,-0.00084993+0.0010767i,0.0038568-0.00097467i,0.0040347+0.00047135i,-0.003342-0.00094849i,0.0041435-0.0013357i,-0.0053316-0.0023235i,-0.0028768+0.00029523i,3.1675e-06+0.00020448i,-0.0020239-0.0047484i,-0.0037338-0.0036779i,-0.0034669-0.012026i,0.0039007+0.00016212i,-0.0057606+0.00012762i,-0.0030601+0.001112i,-0.004684+0.0014153i,0.0054708+0.0021409i,-0.0059598-0.0043679i,-0.0010694-0.008496i,-0.0024068-0.0022761i,-0.0048098-0.002954i,0.0053651-0.0013301i,0.0042465+0.0026506i,0.0027601-0.0010897i,0.0040997+0.0091014i,0.0072438+0.0077655i,0.037747+0.036263i,-0.030675-0.01318i,-0.036649+0.010976i,-0.01333+0.02126i,0.002906-0.00043044i,0.0094545-0.0057173i,-0.0095466-0.0010492i
