-0.022579-0.038829i,-0.0094677-0.050697i,-0.017036-0.046471i,-0.031117-0.036112i,-0.02958-0.017283i,-0.050867-0.029142i,-0.060407-0.026266i,-0.04547-0.039669i,-0.029618-0.037122i,0.0072823+0.013365i,-0.0058763+0.016561i,-0.0051269+0.015017i,0.010014+0.021785i,-7.7191e-05+0.0050411i,0.0035415+0.0032563i,0.0069608+0.018493i,0.027942+0.039909i,-0.0026958-0.0012033i,-0.004345-0.0058798i,0.0085387+0.0015642i,-0.00010483-0.0011383i,-0.00087339+0.0015357i,0.00019834-0.00048592i,-0.0314-0.0017097i,-0.0014843-0.0059292i,0.0016793+0.0048729i,0.0040116-0.00030991i,-0.00030555+0.00056284i,0.00056379-0.00064015i,-0.00020988-0.0027682i,-0.0016637-0.0063357i,-0.0049172-0.0044863i,-0.0019767-0.0053954i,0.0022618-0.00078236i,0.00254-0.0029724i,0.0027956+0.027346i,0.0019575-0.0031019i,0.0027099+0.00070262i,0.00613+0.0010147i,-0.010927-0.0034742i,-0.0031676+0.00059141i,0.006841+0.0014275i,0.0051634+0.00018818i,-0.003517+0.0052592i,0.0018331-0.0078445i,-0.011323+0.018482i,0.035865-0.091071i,0.012298-0.071127i,-0.015422-0.059982i,-0.017198-0.056035i,0.037623-0.048381i,0.016728-0.063685i,0.034786-0.05638i,0.031218-0.059564i,0.015321-0.013525i,0.0042086+0.016702i,0.015973-0.026902i,-0.011326+0.0063249i,-0.0007969+0.0059258i,-0.0052447-0.00041362i,-0.0029094-0.028244i,-0.024398+0.031569i,0.010198-0.011429i,-0.01289-0.0024696i,-1.8169e-05-0.0051484i,-0.0013428-0.015875i,-0.0077351+0.0052728i,0.0054579+0.0059645i,-0.007664+0.031239i,0.0055471+0.0060985i,-0.0052382-0.00095453i,-0.0031038-0.0002227i,-0.012058-0.0077949i,-0.00033303-0.004664i,-0.029433+0.0061793i,2.0909e-05-0.0099359i,-0.0092272-0.0018267i,-0.0067632-0.0029122i,0.0069732+0.0030699i,-0.0077489+0.00085671i,5.5805e-05+0.000757i,0.0057961+0.010662i,0.0039193+0.001579i,-0.0090077-0.010419i,0.0034771+0.0083459i,-0.021482+0.0058391i,0.0084514-0.00045598i,-0.028874-0.0036519i,-0.042476+0.0026561i,0.019756-0.096499i,-0.0020452-0.012158i,-0.054159-0.021738i,-0.023449+0.0013578i,0.018176+0.010494i,-0.024799+0.012836i,-0.01868-0.013058i
0.0069969+0.021656i,0.012518+0.053344i,0.024447+0.036773i,0.01799+0.028397i,0.02545+0.028727i,0.034247-0.014606i,0.018998-0.0084523i,0.030532+0.0073109i,0.012076+0.014185i,0.0027448+0.0045186i,0.0048161+0.0031209i,0.0042577+0.003411i,0.0060851+0.0028155i,0.0049832+0.0039522i,0.0032548-0.0035287i,0.0083885-0.0016618i,0.0089988-0.0051738i,-0.0015763-0.0013419i,-0.0033263+0.0013065i,0.00016009+0.0013748i,-0.0011058-0.00030215i,-0.002792+0.0012773i,-0.0018745+0.0010477i,0.0050798+0.007696i,0.0015063+0.0013198i,0.002597+0.00073634i,0.0018862+0.0012462i,0.0010802+0.0014851i,0.000683+0.00026834i,-0.00034549+0.0010007i,-0.0019373-0.0029923i,-0.00071177-0.00051504i,-0.0012698+0.00087552i,-0.0011161+0.00025012i,-0.00061617-0.0020113i,-0.0066737+0.0080403i,0.0014445+0.00047867i,0.0013215-0.00052324i,-0.00063792+0.0025415i,-0.00028794-0.0037303i,-0.001286+0.00031002i,-0.0023434-0.00029804i,0.0023625+0.00070158i,0.0068108+0.0041954i,-0.016043+0.035188i,-0.081774+0.035165i,-0.051925+0.038633i,-0.03743+0.0607i,-0.018752+0.073141i,-0.0077155+0.051838i,0.011399+0.039054i,0.0040981-5.5529e-05i,-0.037146+0.0095026i,-0.045646+0.020043i,0.0013494+0.024069i,-0.0084133+0.0022066i,-0.010676-0.00053265i,-0.013583-0.0021878i,0.0020324+0.00077715i,0.0059022+0.009649i,-0.0019797+0.0081902i,-0.0068702-0.012313i,0.0048443-0.0069811i,-0.0065781-0.0069552i,0.0019679-0.0062889i,0.0034436-0.0041368i,-0.0017901+0.0099774i,0.0090615-0.0041489i,0.0049834-0.0061723i,0.0026111-0.0060913i,0.0030093-0.00015749i,-0.0013171-0.0044855i,-0.0035162-0.00073929i,0.0026547-0.00026436i,-0.0095957+0.024653i,-0.0044605-0.0037445i,0.0017334+0.00041948i,0.00014552-0.0064106i,0.0025016-0.0014962i,-0.016118-0.0038177i,0.00048512+4.334e-05i,0.0056505-0.0031828i,0.0031561-0.0011928i,0.00037136-0.0049732i,-3.2597e-05+0.0054956i,-0.0013298+0.0064882i,-0.003096+0.0045143i,-0.012232+0.0022112i,-0.01471-0.0019211i,-0.039155+0.055662i,9.2911e-05+0.0047623i,-0.024936-0.017317i,-0.0067716-0.0074373i,0.010112+0.02027i,-0.0021813+0.02256i,-0.00049399-0.00064959i
0.0096859+0.018112i,0.021161+0.048858i,0.03032+0.032352i,0.022916+0.025986i,0.031472+0.024401i,0.030828-0.020658i,0.016123-0.012117i,0.031312+0.0015738i,0.014079+0.011234i,0.0039685+0.0032777i,0.0057127+0.0019461i,0.0041294+0.0031596i,0.0062347+0.0016977i,0.0057507+0.0026787i,0.0021287-0.0041006i,0.0069115-0.003243i,0.0061567-0.0068696i,-0.0011727-0.0010835i,-0.0026913+0.0013971i,0.0007515+0.0005318i,-0.0013654-0.00029827i,-0.002467+0.0019302i,-0.0015132+0.0011068i,0.0084414+0.0049013i,0.0017173+0.0014044i,0.002984-0.00040473i,0.0020349+0.00018962i,0.0015371+0.0009612i,0.0003093+0.00010918i,-0.00017629+0.0010696i,-0.0029715-0.0017321i,-0.0011983-0.00061762i,-0.00098144+0.0011947i,-0.00088329+0.00064404i,-0.0014966-0.00072584i,-0.0037996+0.009235i,0.0011682-0.00012811i,0.0010098-0.00085366i,0.0005291+0.002283i,-0.0014674-0.0030977i,-0.0011224+0.00037379i,-0.0024268+0.00036301i,0.0019638+0.00068738i,0.007161+0.0030414i,-0.0091372+0.037033i,-0.069926+0.049359i,-0.047682+0.04752i,-0.027221+0.064622i,-0.0026501+0.07059i,0.0031393+0.049781i,0.012442+0.032856i,-0.00096418-0.0047706i,-0.038437+0.012154i,-0.036979+0.021692i,0.0071629+0.022265i,-0.0088071+0.0047609i,-0.0099527+0.0051338i,-0.013129+0.0019477i,0.0011063-0.00061025i,0.0075101+0.0089776i,0.0021668+0.011085i,-0.012988-0.010231i,0.00041112-0.0072126i,-0.0061141-0.0031223i,-0.0014307-0.005983i,0.0012556-0.0054248i,0.002799+0.007854i,0.0058519-0.0064609i,0.00047505-0.0067604i,-0.00029661-0.0035525i,0.0039145-0.0012615i,-0.0023928-0.0037128i,-0.0013053+0.0015376i,0.0028155-0.00066638i,0.0032992+0.02527i,-0.0052856-0.0028244i,0.0024532-0.0015747i,-0.0030674-0.0057667i,0.0028584-0.0022221i,-0.015057+0.0033692i,0.0010404+0.00053454i,0.0036733-0.0032783i,0.0030379-0.0025094i,-0.0011329-0.0048913i,0.0016655+0.002622i,0.0017067+0.0054668i,-0.00011581+0.0056428i,-0.010905+0.0062807i,-0.016068+0.0014445i,-0.028493+0.057024i,0.00046742+0.0053229i,-0.028939-0.011887i,-0.0093423-0.010212i,0.01312+0.018598i,0.0021964+0.024382i,-0.0026642-0.0019245i
0.011077+0.015317i,0.027901+0.042364i,0.036168+0.025488i,0.028734+0.021069i,0.037355+0.018464i,0.026032-0.026288i,0.012492-0.015211i,0.031211-0.0046196i,0.015607+0.0084071i,0.0041478+0.001859i,0.0057034-0.00018618i,0.0049294+0.0030037i,0.0061901+6.2828e-05i,0.0062145+0.00083782i,0.00084348-0.0042952i,0.0052118-0.004213i,0.0035969-0.0075539i,-0.0015238-0.0011746i,-0.0023799+0.0018542i,0.0005024-0.00056881i,-0.0019239-0.00014299i,-0.0017252+0.0025354i,-0.0013868+0.001184i,0.0090587+0.00062402i,0.0024972+0.00062649i,0.0022271-0.001551i,0.0017097-0.0005954i,0.0019807+4.6719e-05i,0.00025775+0.00020638i,-0.00010514+0.0012335i,-0.0034009-0.00013997i,-0.0019186+0.00031953i,-0.00038335+0.0015462i,-0.00055768+0.00088728i,-0.0013353+0.00045579i,-0.0010546+0.0097964i,0.00084442-0.00027602i,0.00058478-0.0012182i,0.0010818+0.0016313i,-0.0024229-0.0022859i,-0.0011023+0.000449i,-0.0022236+0.00098099i,0.0019516+0.0010939i,0.0079+0.0015331i,-0.00083771+0.037315i,-0.057039+0.060095i,-0.039322+0.05569i,-0.01577+0.065445i,0.011812+0.063769i,0.012899+0.047616i,0.012371+0.029352i,-0.0064099-0.0059274i,-0.039016+0.017924i,-0.030001+0.020596i,0.012156+0.017948i,-0.0081867+0.0070719i,-0.0076546+0.0082896i,-0.012152+0.0048843i,-0.00079926-0.0022746i,0.0095375+0.0071368i,0.0071409+0.010746i,-0.017174-0.0054662i,-0.0015112-0.0047235i,-0.0054228-0.00036617i,-0.0032194-0.0040536i,-0.0012463-0.0047697i,0.0050878+0.0066365i,0.0036283-0.0067942i,-0.0033771-0.0045832i,0.00026858-0.0011938i,0.0037806-0.0038684i,-0.0039114-0.0025467i,7.7422e-05+0.00094711i,0.002363-0.0012687i,0.013758+0.019544i,-0.0064792-0.00098849i,0.0022972-0.0027788i,-0.0033876-0.0037205i,0.0031669-0.0036729i,-0.010646+0.0087928i,0.0021822+0.00040645i,0.0019842-0.0038176i,0.0017659-0.002879i,-0.0026306-0.0036516i,0.0012293+0.0019168i,0.0035886+0.0033869i,0.0025067+0.0050781i,-0.008714+0.0086649i,-0.016214+0.0060354i,-0.019919+0.05678i,0.0040116+0.0054623i,-0.030653-0.0062177i,-0.012936-0.011603i,0.017065+0.014876i,0.0082574+0.025109i,-0.0046422-0.0012749i
0.012047+0.013147i,0.031789+0.036171i,0.039017+0.017425i,0.032425+0.013574i,0.041451+0.010124i,0.019754-0.03033i,0.0082561-0.01696i,0.029324-0.010685i,0.016838+0.005268i,0.0038612+0.0011139i,0.0047398-0.00092604i,0.0058305+0.0020785i,0.0053445-0.00097912i,0.0057212-0.00087315i,-0.0005239-0.0040844i,0.0035193-0.0044693i,0.0010438-0.0072129i,-0.0017052-0.00065471i,-0.0013235+0.0022219i,-0.0004266-0.00096539i,-0.0021668+0.00075006i,-0.0010221+0.0029499i,-0.0012453+0.0014684i,0.0076036-0.0028355i,0.0021698-0.00039761i,0.0012459-0.0018757i,0.0011982-0.00089865i,0.0014471-0.0010191i,0.00031964+3.2272e-05i,0.00029005+0.0014091i,-0.0030924+0.0016462i,-0.0014478+0.0013462i,0.00033432+0.001367i,-0.0003249+0.00094558i,-0.00064853+0.0011271i,0.0020778+0.0094567i,0.00068723-0.00049627i,8.915e-06-0.0014325i,0.0011112+0.0012646i,-0.0028306-0.0013509i,-0.0010434+0.00077725i,-0.0017561+0.0014495i,0.0024947+0.0012241i,0.0084309-0.00036295i,0.006662+0.034314i,-0.041527+0.067792i,-0.030055+0.061615i,-0.0066628+0.064853i,0.024022+0.052889i,0.022625+0.041596i,0.011651+0.027662i,-0.012796-0.0043266i,-0.037297+0.025111i,-0.025626+0.017958i,0.015317+0.012008i,-0.0063518+0.0098902i,-0.0043262+0.011617i,-0.010554+0.0077432i,-0.0044355-0.0012247i,0.011749+0.0040267i,0.011316+0.0079785i,-0.019154+0.00073708i,-0.0021974-0.0035851i,-0.0035392+0.001131i,-0.0039489-0.001597i,-0.0028072-0.0034852i,0.0071735+0.0032786i,0.0015236-0.0069561i,-0.0047192-0.00022451i,0.0014954-0.00066845i,0.0016371-0.0057939i,-0.004408-0.00049826i,0.00086775+0.0009125i,0.0022337-0.0018461i,0.019787+0.010157i,-0.0064409+0.0021936i,0.0017627-0.0041941i,-0.0033612-0.0022481i,0.001738-0.0058614i,-0.004912+0.01025i,0.0031643-0.00093005i,0.00064146-0.0027475i,0.0009462-0.0027338i,-0.0026115-0.0020223i,0.00085462+0.0015039i,0.0035677+0.0010916i,0.0044931+0.0038533i,-0.0059494+0.0099865i,-0.015082+0.010668i,-0.012234+0.057003i,0.010415+0.0013805i,-0.029515-0.00042745i,-0.018303-0.011283i,0.018129+0.0096945i,0.015071+0.023063i,-0.0049596-0.00076986i
0.013502+0.011338i,0.035533+0.031095i,0.04048+0.010316i,0.033608+0.0058917i,0.042866+0.0011343i,0.013573-0.03277i,0.0041564-0.017029i,0.026332-0.015756i,0.01765+0.0018943i,0.0037083+0.00055734i,0.0043069-0.001351i,0.0064939+0.00073605i,0.0048345-0.0012776i,0.0048188-0.0021359i,-0.0016267-0.0031954i,0.0021843-0.0039997i,-0.00074782-0.0062499i,-0.002057-4.7809e-05i,-0.00081992+0.0019586i,-0.0012066-0.00069887i,-0.0019354+0.0014579i,7.3034e-05+0.0032348i,-0.00095723+0.0018846i,0.0052594-0.0050985i,0.0015536-0.00088587i,0.00054907-0.0018819i,0.00074919-0.0010785i,0.00058636-0.0012565i,0.00010435+7.1875e-06i,0.0010735+0.0012193i,-0.0018237+0.0027933i,-0.0006964+0.0018311i,0.00073756+0.00097231i,0.00010009+0.0012605i,0.00014452+0.0013897i,0.0047029+0.0080136i,0.00025371-0.00052776i,-0.00060629-0.0012693i,0.0015406+0.00088458i,-0.0029931-0.00036385i,-0.00072032+0.00085472i,-0.0012045+0.0017526i,0.0031617+0.00081568i,0.0076508-0.0027334i,0.011838+0.02979i,-0.024918+0.070311i,-0.018272+0.066419i,0.0029738+0.064324i,0.030051+0.039949i,0.028811+0.033856i,0.012333+0.028631i,-0.016831+0.0023598i,-0.033225+0.034486i,-0.024581+0.016033i,0.014356+0.0060238i,-0.003082+0.011864i,0.0010558+0.011851i,-0.0085265+0.01012i,-0.0053621+0.0020291i,0.012242-0.0013519i,0.014337+0.0034265i,-0.019028+0.0069186i,-0.002413-0.0016247i,-0.0025493+0.0015776i,-0.0027037+9.8395e-05i,-0.0041072-0.0011578i,0.0069079+0.00039652i,-0.00050891-0.0065404i,-0.002974+0.0032499i,0.0027243-0.0014331i,-0.0011299-0.0060362i,-0.0034868+0.0010845i,0.0019809+0.00018767i,0.001798-0.0023025i,0.020431+0.00060161i,-0.0041037+0.0044287i,0.00013642-0.0054058i,-0.0025639-0.0019051i,-0.00062299-0.0065351i,-0.00070354+0.0093066i,0.0027245-0.0024349i,0.00071683-0.0013162i,0.00079015-0.0021259i,-0.0014899-0.0012192i,0.00098682+0.0018231i,0.0022081-0.00035176i,0.0053624+0.0015291i,-0.0034506+0.0097528i,-0.011163+0.015298i,-0.004074+0.05638i,0.012393-0.009244i,-0.025869+0.0018194i,-0.023813-0.0085146i,0.018208+0.0051281i,0.020336+0.016982i,-0.0059802-0.0011713i
0.015155+0.0088886i,0.03942+0.025423i,0.041549+0.0028065i,0.033437-0.0016193i,0.042754-0.0074569i,0.0071075-0.034294i,0.0012323-0.016323i,0.022742-0.020051i,0.018066-0.0020002i,0.0031708+4.4213e-05i,0.0041498-0.0017589i,0.0067972-0.00077884i,0.0050644-0.0018311i,0.0038-0.0030058i,-0.0022032-0.0022964i,0.0015912-0.003323i,-0.0016136-0.0056056i,-0.0017144+0.00050164i,-0.00040908+0.0019553i,-0.001572-0.00015408i,-0.001332+0.0019441i,0.0014643+0.0027334i,-0.0003307+0.002204i,0.0021855-0.0059165i,0.0012773-0.0010979i,-0.00015023-0.0018181i,0.000353-0.001193i,8.6959e-06-0.001139i,6.4065e-05+0.00013942i,0.0014763+0.00060124i,-0.00040891+0.0031282i,0.00014615+0.001939i,0.00092502+0.00063398i,0.00070156+0.0010651i,0.00067675+0.00084277i,0.0063284+0.0059171i,8.4306e-05-0.00037455i,-0.0009512-0.00082534i,0.0015095+0.00022493i,-0.0027727+0.00047891i,-0.00056328+0.00096169i,-0.0005679+0.0016316i,0.0035976+0.00019793i,0.0062023-0.0042349i,0.015604+0.025038i,-0.010237+0.068332i,-0.0044408+0.06688i,0.012982+0.062127i,0.032233+0.028163i,0.03263+0.025875i,0.015549+0.030316i,-0.015605+0.011091i,-0.024138+0.043506i,-0.025488+0.016478i,0.012284+0.0029934i,0.00096818+0.012124i,0.0048039+0.0098535i,-0.0057211+0.01239i,-0.0045258+0.004248i,0.0096245-0.0068478i,0.014413-0.0026369i,-0.01648+0.011959i,-0.0014296-0.00072073i,-0.0015443+0.0013619i,-0.0016904+0.00042865i,-0.0032774+0.0015973i,0.0055175-0.0013375i,-0.002037-0.0052444i,0.00031742+0.004558i,0.0027284-0.0031219i,-0.0033025-0.0046804i,-0.0025077+0.0017568i,0.0023061-0.001171i,0.0016916-0.0025946i,0.01724-0.0075047i,-0.0016013+0.0051096i,-0.0020696-0.0051882i,-0.0028246-0.0017074i,-0.0030476-0.0059177i,0.0019395+0.0074965i,0.0023746-0.0033348i,0.0022711-0.0014586i,0.00096087-0.0028086i,-0.00060956-0.0018246i,0.0015627+0.0020292i,0.00072556+0.00014959i,0.0047211-4.5628e-05i,-0.0020674+0.0089078i,-0.0052827+0.01758i,0.003911+0.054875i,0.0067694-0.018442i,-0.024202+0.00046347i,-0.028699-0.0025037i,0.016342-0.00044972i,0.021891+0.010381i,-0.0071185-0.00018045i
0.016587+0.0060943i,0.042121+0.018851i,0.040417-0.0057275i,0.031009-0.0095768i,0.041033-0.016627i,0.00022138-0.034206i,-0.00082434-0.015625i,0.018521-0.023836i,0.01718-0.0059502i,0.0027891+0.00034107i,0.003574-0.0023636i,0.0066905-0.0029329i,0.0048462-0.003132i,0.0025363-0.0035735i,-0.0025965-0.0012403i,0.0014719-0.0029911i,-0.0026254-0.0050285i,-0.0017925+0.00092873i,0.00027938+0.0017684i,-0.0019599+0.00055782i,-0.00087019+0.0021177i,0.002208+0.0016878i,0.00028846+0.0022252i,-0.00083351-0.0054107i,0.00066911-0.0018949i,-0.00083474-0.001283i,-0.00021157-0.0012203i,-0.0003496-0.00089013i,0.00032075+0.00018418i,0.0013333-3.2042e-05i,0.001104+0.0028284i,0.00082112+0.0017877i,0.00092193+0.00030285i,0.0010266+0.0006868i,0.00058426+9.414e-05i,0.0070795+0.0037924i,-7.0787e-05-0.00033289i,-0.0011836-0.00047394i,0.0013243-0.00010035i,-0.0021357+0.00099056i,-0.00032374+0.0011084i,-8.8937e-05+0.0014905i,0.0038604-0.0009611i,0.0045687-0.0051842i,0.018018+0.020388i,0.0021117+0.064117i,0.0076153+0.063008i,0.022702+0.058169i,0.031005+0.017989i,0.034339+0.018802i,0.02134+0.030126i,-0.0085459+0.016908i,-0.010957+0.047828i,-0.025576+0.020137i,0.010546+0.0012743i,0.0044722+0.010416i,0.006884+0.0067576i,-0.0019836+0.013267i,-0.003757+0.0056694i,0.0034752-0.0094755i,0.011027-0.0074278i,-0.012511+0.01564i,-0.0007205-0.0014471i,-0.0012232+0.00082816i,-0.0012429+0.00035897i,-0.00090018+0.002939i,0.0042488-0.0014528i,-0.0027118-0.0042558i,0.0032692+0.0037441i,0.0015386-0.0048586i,-0.0044163-0.0028476i,-0.001331+0.0021571i,0.0014622-0.0025635i,0.0013616-0.0035847i,0.011558-0.012255i,0.00057924+0.0047134i,-0.0034207-0.0041179i,-0.0025211-0.0013262i,-0.0047572-0.0047176i,0.0034166+0.0057026i,0.001563-0.0048794i,0.0027659-0.0030052i,-6.4328e-05-0.00343i,-0.0011866-0.002731i,0.0027933+0.0018896i,0.00074234+0.0017994i,0.0040215-0.00086852i,-0.0015693+0.0088004i,-2.5919e-05+0.01667i,0.011906+0.05285i,-0.0019955-0.023456i,-0.026628-0.0009506i,-0.030062+0.0055826i,0.010817-0.0039335i,0.02227+0.0046575i,-0.0064367+0.00045128i
0.01778+0.0024374i,0.044385+0.012726i,0.036951-0.012801i,0.025786-0.015587i,0.036432-0.025152i,-0.005787-0.03237i,-0.0023694-0.015105i,0.013606-0.026422i,0.015798-0.0094389i,0.0033748+0.00072841i,0.0030827-0.0024561i,0.0052319-0.0048814i,0.0040844-0.0042359i,0.0014664-0.0035609i,-0.002363-0.00019958i,0.0013292-0.0027772i,-0.0043287-0.0037613i,-0.0013962+0.0016613i,0.00067983+0.001181i,-0.0017168+0.0017426i,-0.00025521+0.0024037i,0.002276+0.00050409i,0.00090635+0.0021289i,-0.0028985-0.0035413i,-0.00076272-0.0017441i,-0.0010126-0.00065255i,-0.00066632-0.00096725i,-0.00062006-0.00055252i,0.00033357-0.00016497i,0.0011184-0.00045143i,0.0021851+0.001924i,0.0014111+0.0012525i,0.00091789+4.1777e-05i,0.0010867+0.00026339i,0.00023297+6.9921e-05i,0.0071337+0.0016575i,-0.00016518-0.00020949i,-0.0013918+1.7613e-05i,0.0011584-0.00032789i,-0.0013544+0.0012425i,6.8376e-06+0.0013017i,0.00027985+0.0012812i,0.0033722-0.0022917i,0.0027735-0.0052942i,0.019342+0.015739i,0.012453+0.057785i,0.016485+0.057654i,0.031678+0.052406i,0.028185+0.010698i,0.034659+0.012245i,0.027064+0.027215i,-0.00083759+0.017324i,0.0030594+0.047115i,-0.023296+0.024912i,0.0097305+0.00034149i,0.0070665+0.0078603i,0.0074056+0.0039158i,0.0019857+0.012667i,-0.0023271+0.0074522i,-0.0023272-0.0080289i,0.006629-0.0094259i,-0.0076489+0.017814i,-0.0012537-0.0025004i,-0.0015461+0.00081635i,-0.0011949+0.00055129i,0.0015774+0.0026707i,0.0035613-0.0017272i,-0.0035923-0.0034227i,0.0047994+0.0014856i,-0.0013036-0.0057493i,-0.0044289-0.00092262i,-2.001e-05+0.0016283i,0.00089103-0.0032758i,0.00013858-0.0048645i,0.0056162-0.013744i,0.0022006+0.0037648i,-0.0043796-0.0031952i,-0.0031814-0.0013023i,-0.0060623-0.0027857i,0.0040588+0.0042414i,-0.00031966-0.0062835i,0.0026332-0.0048041i,-0.0010669-0.0030572i,-0.0019293-0.0030132i,0.0031816+0.0012631i,0.0018024+0.0024721i,0.0030246-0.0014927i,-0.00043496+0.0094141i,0.004056+0.014401i,0.020672+0.049581i,-0.012431-0.025222i,-0.030501+0.00088915i,-0.027203+0.013528i,0.0065674-0.0033655i,0.020298-0.0015643i,-0.0061412-0.00083264i
0.017807-0.0019446i,0.046251+0.0052127i,0.033036-0.018173i,0.02039-0.018673i,0.030338-0.031926i,-0.010527-0.030026i,-0.0036826-0.015081i,0.0088028-0.028081i,0.01379-0.012923i,0.0043035+0.00013622i,0.003148-0.0029145i,0.0033032-0.0056384i,0.0028963-0.0054735i,0.00066453-0.0034438i,-0.0018642+0.0004016i,0.0013667-0.0025461i,-0.0049149-0.0015693i,-0.00069813+0.0015355i,0.00058498+0.00059392i,-0.00082375+0.0023203i,0.00044502+0.0023408i,0.0019586-0.00034182i,0.0015408+0.001746i,-0.0037562-0.00093026i,-0.0012922-0.00086541i,-0.00097023-0.00019154i,-0.00095474-0.00070923i,-0.00067087-0.00021289i,5.9754e-05-8.5554e-05i,0.00071378-0.00076232i,0.0029209+0.00063274i,0.0015135+0.00069726i,0.00092718-0.00024432i,0.0012096-3.2135e-05i,0.00016978+0.00040433i,0.006365-0.00014854i,-0.00022161+4.1636e-05i,-0.0013198+0.00066405i,0.00093706-0.00074153i,-0.0006788+0.0013301i,0.00049693+0.0011436i,0.00044103+0.0010247i,0.00225-0.0032096i,0.0011352-0.0047648i,0.019771+0.011429i,0.019364+0.050084i,0.023585+0.052415i,0.039088+0.044506i,0.024831+0.005188i,0.034045+0.0077751i,0.031955+0.023067i,0.0055801+0.015905i,0.015064+0.041837i,-0.018785+0.02946i,0.0093452-0.0013093i,0.0085839+0.0044141i,0.0077594+0.0016632i,0.0055502+0.010514i,0.00030987+0.0078703i,-0.005636-0.0047327i,0.0024259-0.0097565i,-0.0023854+0.01788i,-0.0028407-0.0023217i,-0.0024368+0.0020319i,-0.001033+0.00078063i,0.0032051+0.001276i,0.0028968-0.00095883i,-0.0041155-0.0019501i,0.0046285-0.00083777i,-0.0037676-0.0044448i,-0.0034114+0.00045121i,0.00027045+0.00057533i,7.4322e-06-0.0040417i,-0.0017971-0.0048279i,0.00054383-0.013108i,0.0035131+0.0021368i,-0.0054729-0.0017867i,-0.0037209-1.3624e-05i,-0.0061675-0.00033818i,0.0045973+0.003421i,-0.0033961-0.0062894i,0.0015627-0.0067317i,-0.0016058-0.0026807i,-0.0028278-0.0030984i,0.0039739+0.0009424i,0.0031264+0.0023891i,0.0021429-0.00092428i,0.0011687+0.0093138i,0.0067969+0.01114i,0.029147+0.044039i,-0.023657-0.021844i,-0.033669+0.0045723i,-0.021789+0.018005i,0.0042853-0.0021382i,0.015735-0.0055569i,-0.008331-0.0014038i
0.016306-0.0060031i,0.046439-0.0030594i,0.028872-0.022907i,0.015915-0.020413i,0.023304-0.037177i,-0.015122-0.027442i,-0.0054073-0.015807i,0.0038902-0.029167i,0.010826-0.015957i,0.0047909-0.00091245i,0.0028955-0.0038797i,0.0015427-0.0057253i,0.0010319-0.0061624i,-5.1356e-05-0.0033419i,-0.0015464+0.00060724i,0.0015826-0.002686i,-0.0043387+0.00024151i,-0.00039187+0.0013187i,0.00053534+0.00038752i,-3.1247e-05+0.0024488i,0.0010971+0.0021371i,0.0014882-0.00078035i,0.0019388+0.0010684i,-0.0028979+0.0015572i,-0.0011865-0.00014127i,-0.00077616+0.00017665i,-0.0012013-0.00034715i,-0.00065097-1.3349e-05i,9.2513e-05+4.4528e-05i,8.8826e-05-0.00080431i,0.0029471-0.00083059i,0.0016259+0.00028271i,0.00077819-0.00051963i,0.0011567-0.00070508i,0.0004642+0.0005956i,0.0054259-0.0012523i,7.9844e-06+7.4469e-05i,-0.00092514+0.0012093i,0.00028634-0.00079565i,0.00011899+0.0011412i,0.0008362+0.00092456i,0.00046875+0.00082016i,0.00080291-0.0032431i,0.00028438-0.0037153i,0.019565+0.0080939i,0.023232+0.043955i,0.030341+0.047097i,0.043794+0.036819i,0.020909+0.00085065i,0.034959+0.0041507i,0.036089+0.017676i,0.011845+0.012025i,0.024499+0.033039i,-0.011932+0.032351i,0.0083307-0.0029869i,0.0082035-9.3969e-05i,0.0077646-0.00102i,0.0074085+0.007132i,0.0021057+0.0071192i,-0.0070698-0.00040491i,-0.0012905-0.0085093i,0.0015889+0.015415i,-0.0038729-0.00098179i,-0.001976+0.0040274i,-0.0008807+0.0010703i,0.0039888-0.00088184i,0.00392+0.00044801i,-0.0034433-0.00068265i,0.0040842-0.0016072i,-0.0049252-0.0026405i,-0.0022285+0.00077781i,2.2562e-05+0.00030933i,-0.0020566-0.0045582i,-0.0032678-0.0037079i,-0.0035085-0.011876i,0.0037818+0.00010222i,-0.0056541+0.00018458i,-0.0029386+0.0011336i,-0.0053096+0.0015356i,0.0056813+0.0026513i,-0.0057395-0.0043275i,-0.0012011-0.0081103i,-0.0023491-0.0021632i,-0.0045271-0.0026842i,0.004983-0.0007985i,0.0046872+0.0021012i,0.0026505-0.00056861i,0.0030457+0.0093127i,0.0070471+0.0075989i,0.036307+0.036373i,-0.030539-0.012784i,-0.036598+0.010761i,-0.016109+0.020785i,0.0028514-0.00022169i,0.011547-0.0062297i,-0.0098172-0.00056604i
