-0.024471-0.038514i,-0.012019-0.049458i,-0.017849-0.044785i,-0.031067-0.035341i,-0.029996-0.01638i,-0.050582-0.027539i,-0.058129-0.025453i,-0.044834-0.037864i,-0.029648-0.035999i,0.0076437+0.012525i,-0.0056179+0.015857i,-0.0047071+0.014216i,0.0099333+0.021507i,0.00044084+0.0044515i,0.0034285+0.0032295i,0.0065215+0.017511i,0.026742+0.038449i,-0.0026011-0.00098865i,-0.0046618-0.0056906i,0.0077451+0.0016525i,-1.0161e-05-0.00073095i,-0.0010922+0.0014461i,0.00011453-0.00041839i,-0.030291-0.0024652i,-0.0013017-0.0057631i,0.0013599+0.0046124i,0.0035175-7.5336e-05i,-0.00036714+0.0005483i,0.00048124-0.00055692i,-0.00043679-0.00262i,-0.0017312-0.0062346i,-0.004597-0.0042227i,-0.0019349-0.0049019i,0.0023786-0.00073408i,0.0021767-0.0028918i,0.0027364+0.025763i,0.0017923-0.0027335i,0.0027491+0.00072203i,0.0058906+0.00097618i,-0.010463-0.0035472i,-0.0033185+0.00080221i,0.0067676+0.0011359i,0.005149-0.00020988i,-0.0035267+0.0055915i,0.0014814-0.0088419i,-0.011813+0.017663i,0.035263-0.091021i,0.012157-0.070287i,-0.015865-0.059698i,-0.016695-0.055613i,0.038683-0.047033i,0.016845-0.062909i,0.03402-0.055913i,0.031105-0.059866i,0.015334-0.013558i,0.0043225+0.016745i,0.01648-0.026581i,-0.011374+0.0059802i,-0.00060301+0.0050802i,-0.0050105-0.0012306i,-0.0023874-0.028615i,-0.023697+0.031422i,0.0098858-0.011325i,-0.012938-0.0024165i,-0.00021632-0.0050042i,-0.00096388-0.01611i,-0.007585+0.0045557i,0.0050666+0.0062999i,-0.0084312+0.030755i,0.0050731+0.0060298i,-0.0050537-0.00062245i,-0.0029978-0.00035371i,-0.012049-0.0072344i,-0.00068851-0.0043194i,-0.029563+0.0063499i,5.1335e-06-0.010025i,-0.0093734-0.0017466i,-0.0066212-0.0026693i,0.0067956+0.0029507i,-0.0078091+0.0013424i,-8.6037e-05+0.00057581i,0.0057666+0.010865i,0.0038467+0.0013982i,-0.0094171-0.0097061i,0.0030976+0.0080538i,-0.021353+0.0061096i,0.0087654+0.00038964i,-0.02879-0.003541i,-0.042093+0.0025701i,0.01957-0.096935i,-0.0020955-0.012703i,-0.053005-0.021887i,-0.023091+0.00072396i,0.017844+0.01087i,-0.024953+0.012821i,-0.018351-0.01308i
0.013818-0.0089105i,0.043546-0.012435i,0.022621-0.026961i,0.01108-0.02163i,0.013829-0.040322i,-0.018631-0.022605i,-0.0085604-0.014897i,-0.0023428-0.028196i,0.0066119-0.018115i,0.0042991-0.0023445i,0.0018654-0.0049592i,4.2045e-05-0.0051892i,-0.00098196-0.0058187i,-0.00090738-0.0027555i,-0.0011947+0.00097685i,0.001423-0.0030332i,-0.0032225+0.0017612i,-0.00058621+0.0014855i,0.00013983+0.00017938i,0.00067034+0.0021018i,0.0013957+0.0017975i,0.0010527-0.0010088i,0.0020121+0.00050133i,-0.00099703+0.0025385i,-0.00071449+0.0004427i,-0.00059125+0.00045289i,-0.0013462+0.00016204i,-0.00055727+0.00038329i,0.00010712+0.00013877i,-0.00017579-0.00026071i,0.0019026-0.0020081i,0.0013733-0.00010091i,0.00041416-0.00079222i,0.0004922-0.0010612i,0.00081004+0.00065886i,0.00464-0.0017464i,2.4044e-05+7.1591e-05i,-0.00010511+0.001282i,4.3917e-05-0.00033613i,0.00048809+0.00041945i,0.00091223+0.00044102i,0.00046787+0.00063571i,9.3819e-07-0.0031417i,0.00035021-0.0029849i,0.019305+0.0046565i,0.029365+0.039146i,0.035477+0.039976i,0.047603+0.028619i,0.015774-0.00095696i,0.036014-0.00052079i,0.03796+0.012264i,0.014585+0.0063078i,0.029497+0.022093i,-0.0037283+0.033231i,0.0065529-0.0046066i,0.004704-0.0034116i,0.0066051-0.0038585i,0.0077869+0.0038829i,0.0036724+0.0063306i,-0.0062473+0.0042159i,-0.0038314-0.0058527i,0.0037548+0.013256i,-0.0037169+0.00059722i,-7.3225e-05+0.0055147i,-0.00052104+0.0014547i,0.0026019-0.0031862i,0.0063924-0.00075002i,-0.002608-0.00058624i,0.0043372-0.0025795i,-0.0059628-0.00089808i,-0.0014495+0.00053859i,0.00034367+1.2579e-05i,-0.0046989-0.0024855i,-0.0043131-0.0021515i,-0.0076385-0.0094129i,0.0029547-0.0020099i,-0.0048639+0.0018669i,-0.0015897+0.001198i,-0.0040641+0.0027263i,0.0069661+0.0010595i,-0.0069523-0.0014764i,-0.0043949-0.0074401i,-0.0028648-0.0012613i,-0.0055076-0.00075432i,0.0043135-0.0029694i,0.0061036+0.00054766i,0.0028779-0.0014488i,0.0054348+0.0082839i,0.0064233+0.0056464i,0.041921+0.027519i,-0.031516-0.0045892i,-0.036519+0.018143i,-0.010119+0.020788i,0.0017736+0.0024214i,0.0094002-0.0062206i,-0.011336-6.0564e-05i
0.011578-0.010805i,0.040355-0.019623i,0.017284-0.03008i,0.0071157-0.022242i,0.0055376-0.042127i,-0.021054-0.018896i,-0.011534-0.014024i,-0.0070123-0.02693i,0.0031971-0.018674i,0.0036948-0.0033724i,0.0004954-0.0055586i,-0.0010429-0.0045597i,-0.0026962-0.0047351i,-0.0014683-0.0021627i,-0.00067668+0.0012166i,0.00099834-0.0031777i,-0.0019253+0.0026815i,-0.00044691+0.0015338i,-4.4834e-05+0.00024189i,0.0012464+0.0018165i,0.0020231+0.001511i,0.00087-0.0011403i,0.0019953-0.00017099i,0.00074088+0.0022278i,-0.00036396+0.00062326i,-0.00021182+0.00043777i,-0.0011236+0.00091596i,-0.00040414+0.00057845i,0.0001532+0.00018521i,2.7377e-05+2.5971e-05i,0.00093976-0.0027148i,0.0013803-0.00056122i,0.00018688-0.00079515i,1.7709e-05-0.0010093i,0.0013906+0.00039474i,0.0040737-0.0026445i,-8.7826e-06+0.00023842i,0.00031971+0.0011986i,0.00024634-1.5051e-05i,0.00040374-0.0002311i,0.00094531+0.00020293i,0.00067325+0.00038893i,-0.00078926-0.0024414i,0.00063544-0.0027371i,0.019692+0.0020293i,0.034744+0.034383i,0.040524+0.033343i,0.050813+0.019743i,0.012996-0.00033882i,0.0364-0.0065524i,0.039919+0.0052439i,0.015504+0.0002389i,0.029785+0.011914i,0.0039402+0.030175i,0.0045715-0.0056379i,0.00060847-0.0037324i,0.0042582-0.0064105i,0.0070146+0.0010718i,0.0051562+0.0048472i,-0.0035508+0.0066822i,-0.0043665-0.0027248i,0.0057174+0.011346i,-0.0036815+0.0015052i,0.0028654+0.0061644i,0.00041049+0.0016736i,0.00045528-0.0035176i,0.0072114-0.0042926i,-0.0028372-0.00021499i,0.0036061-0.004304i,-0.0056705+0.0022312i,-0.0014184-0.00021434i,4.5272e-05-0.00057521i,-0.004463+0.00037035i,-0.0042217-0.00090634i,-0.0093301-0.0057947i,0.001499-0.0028636i,-0.0034965+0.0028684i,-0.0016603+0.00070298i,-0.0026734+0.0038622i,0.0080574-0.0017776i,-0.0067267+0.0014643i,-0.006686-0.0054975i,-0.0025067-0.00070723i,-0.0049953+0.001249i,0.0018714-0.0036087i,0.0061833-0.0022388i,0.0028492-0.0017732i,0.0070897+0.0060582i,0.0055659+0.0047726i,0.042888+0.017949i,-0.030669+0.0019855i,-0.034454+0.026101i,-0.0062785+0.018955i,0.0032589+0.0051229i,0.0068158-0.0064485i,-0.012845+0.0022589i
0.0097799-0.012439i,0.035665-0.026225i,0.011517-0.031744i,0.0036827-0.02205i,-0.0029848-0.042263i,-0.022944-0.015202i,-0.014236-0.012437i,-0.01102-0.02523i,-0.00033017-0.018725i,0.0027233-0.0040193i,-0.0013282-0.0054942i,-0.0018622-0.0037602i,-0.0037422-0.0031314i,-0.0017639-0.0015195i,-0.00036736+0.0011845i,0.00058123-0.0032576i,-0.00046567+0.0027222i,-0.00034176+0.0017473i,-4.3163e-05+0.00051352i,0.0016734+0.001165i,0.0026511+0.00069139i,0.00057196-0.0014382i,0.0017409-0.00080403i,0.0019267+0.0012554i,0.00014728+0.00065098i,1.4648e-06+0.00022835i,-0.0005082+0.001344i,-0.00030424+0.0007432i,0.0002758+0.00018984i,0.00017838+7.0416e-05i,-0.00021029-0.0029189i,0.0011613-0.0010242i,-0.00017166-0.00077579i,-0.00032333-0.00082336i,0.0018154-0.00047311i,0.0034218-0.0035856i,0.00026873+0.00035558i,0.0007359+0.0010721i,0.00046305-0.00023188i,2.5485e-05-0.00053063i,0.0010429-0.00011795i,0.00072366-1.2264e-05i,-0.0010496-0.0017333i,0.0006176-0.0031539i,0.020021-0.001068i,0.041009+0.027928i,0.044769+0.025909i,0.052105+0.010839i,0.011864+0.00075765i,0.036116-0.012819i,0.040047-0.0015909i,0.015361-0.0045268i,0.027393+0.004752i,0.0095382+0.026895i,0.0023647-0.0058019i,-0.0022569-0.0017253i,0.0005331-0.007826i,0.0052981-0.00072744i,0.0056202+0.003051i,-0.00095797+0.0074474i,-0.0036589-0.00070722i,0.0066122+0.0086539i,-0.0034473+0.0034664i,0.0056629+0.0050668i,0.0010525+0.0012478i,-0.0011273-0.0026734i,0.0061586-0.0068152i,-0.0026925+0.00038083i,0.0024201-0.0052616i,-0.002934+0.0041109i,-0.0019837-0.00034627i,-0.00039032-0.00058137i,-0.0032143+0.0019388i,-0.0035214+0.00045793i,-0.0099617-0.0023226i,0.00052187-0.0033219i,-0.0020715+0.0032601i,-0.0018551+0.0010469i,-0.00071043+0.0037685i,0.0074931-0.0053356i,-0.0051891+0.003799i,-0.0078583-0.0027664i,-0.0024135-0.00050308i,-0.0040485+0.0024153i,0.00082759-0.0029911i,0.0046744-0.0043346i,0.0029593-0.0022969i,0.0067939+0.0026069i,0.005308+0.0044208i,0.043235+0.010459i,-0.027558+0.0071808i,-0.028886+0.033432i,-0.0041107+0.016977i,0.0063824+0.0057406i,0.0042485-0.0054411i,-0.012578+0.0049581i
0.0078221-0.014359i,0.0299-0.031196i,0.0062672-0.032747i,0.00089944-0.022043i,-0.011268-0.040108i,-0.024257-0.011432i,-0.016778-0.010181i,-0.014828-0.022995i,-0.0033202-0.017804i,0.0016348-0.0044481i,-0.0029735-0.0042691i,-0.0021984-0.0030661i,-0.0039169-0.001467i,-0.0019387-0.0010435i,-3.5209e-05+0.0013913i,5.703e-05-0.0032604i,0.00038332+0.0022217i,0.00013548+0.0022073i,0.00027213+0.00084155i,0.0017899+0.00040747i,0.0027403-0.00041151i,-3.8794e-05-0.001642i,0.0012295-0.0012219i,0.0023636-0.00049722i,0.00067814+0.000447i,-0.00010145+8.3735e-05i,3.5003e-05+0.0014171i,3.0933e-05+0.00091303i,0.00036843+4.413e-05i,0.00028915+6.1164e-05i,-0.0013216-0.0026328i,0.00074926-0.0013285i,-0.00038116-0.00057875i,-0.0005244-0.00063444i,0.0014925-0.0016217i,0.0025402-0.0044338i,0.00057241+0.0001518i,0.001125+0.00076141i,0.00048988-0.00044276i,-0.00044555-0.00074136i,0.00090241-0.00049798i,0.00047134-9.0851e-05i,-0.0012365-0.0011131i,0.00014772-0.003216i,0.019957-0.0044475i,0.045442+0.018445i,0.047879+0.017809i,0.052319+0.0026823i,0.012565+0.0021989i,0.034332-0.020026i,0.039233-0.0083434i,0.014459-0.0095772i,0.025074-0.00018705i,0.015218+0.022539i,0.000765-0.0051177i,-0.0034357+0.001095i,-0.0038733-0.0078161i,0.0036529-0.0015991i,0.0054355+0.0017993i,0.0012792+0.007474i,-0.0026211+0.00051782i,0.006542+0.0060365i,-0.00096978+0.0054347i,0.0080958+0.0026597i,0.001683+0.00094708i,-0.0019527-0.0013694i,0.0040129-0.009404i,-0.0024047+0.00063485i,0.00098054-0.0061997i,-0.00092143+0.0035872i,-0.0027483+1.5567e-06i,-0.00046623-0.00049992i,-0.0016981+0.0031623i,-0.0026018+0.0011343i,-0.0091724+0.0012053i,-0.0007784-0.0038428i,-0.00073903+0.0029208i,-0.0017027+0.0011774i,0.0005647+0.0028722i,0.0053804-0.0087502i,-0.0026785+0.0049942i,-0.0071459+1.3832e-05i,-0.0026332-0.00035128i,-0.0031262+0.0034315i,0.00018211-0.0024217i,0.002909-0.0049029i,0.0028999-0.003342i,0.0051886+0.0011907i,0.0057571+0.0042628i,0.042623+0.0030794i,-0.024302+0.008806i,-0.020914+0.037839i,-0.0019321+0.016096i,0.0085269+0.004924i,0.0033562-0.0037035i,-0.011322+0.006961i
0.0050944-0.016094i,0.023796-0.034581i,0.00073035-0.033077i,-0.0022032-0.022221i,-0.017878-0.036567i,-0.025116-0.0077147i,-0.018657-0.0070759i,-0.017948-0.020194i,-0.0055727-0.016646i,0.00035534-0.0042901i,-0.0035036-0.0026982i,-0.0026795-0.0025066i,-0.0035832-0.00017321i,-0.0022936-0.000377i,0.00059655+0.0015152i,-0.00063517-0.0031207i,0.00070033+0.0020077i,0.0011819+0.0022774i,0.00068566+0.00066842i,0.0014982-0.0002774i,0.0023333-0.001356i,-0.00057191-0.0016165i,0.00075294-0.0014282i,0.0014459-0.0017781i,0.00084814-0.00016636i,-0.00025471+7.4042e-05i,0.00057875+0.0013464i,0.00048784+0.0008243i,0.00034645-0.00011162i,0.00034353-8.2418e-05i,-0.002139-0.0019258i,0.000358-0.001479i,-0.0006077-0.00039086i,-0.00071767-0.00035014i,0.00025313-0.0021786i,0.0014264-0.0050455i,0.0005609-0.00016318i,0.001364+0.00015637i,0.00049422-0.00057947i,-0.00097697-0.0006218i,0.0005845-0.00083283i,0.0004099-2.4178e-05i,-0.0011932-0.00059204i,-0.00027581-0.0030085i,0.019655-0.0083225i,0.046718+0.0081912i,0.049342+0.0092263i,0.052188-0.0061109i,0.015306+0.0029873i,0.030443-0.027033i,0.037176-0.014576i,0.011749-0.014016i,0.022274-0.0035954i,0.019769+0.016501i,-0.00014603-0.0050732i,-0.0028313+0.004318i,-0.0084819-0.0052865i,0.0020324-0.0019492i,0.005139+0.0008011i,0.0034116+0.006956i,-0.0015048+0.00085687i,0.0055213+0.0044634i,0.0022133+0.0044145i,0.0093727-0.0011401i,0.0022864+0.00019774i,-0.0018362+0.0003363i,0.00039541-0.011621i,-0.0026567+0.0012347i,-0.00083589-0.006669i,-0.00048643+0.0034124i,-0.0033036+0.00097648i,-0.00061338-0.00049459i,0.0012271+0.0033749i,-0.0019364+0.00079151i,-0.0068554+0.0039157i,-0.0027413-0.0036389i,9.0818e-05+0.002094i,-0.0014749+0.0013663i,0.0011076+0.0016301i,0.0017815-0.011315i,-0.00028979+0.0046136i,-0.005669+0.0013218i,-0.0026179+3.2489e-05i,-0.0014916+0.0046392i,-0.00046033-0.0018216i,0.0012053-0.0049437i,0.0019569-0.0043041i,0.0038226+0.0006883i,0.0064152+0.0035109i,0.040824-0.0036112i,-0.024741+0.0090091i,-0.013352+0.038336i,0.00068213+0.014111i,0.010296+0.0031303i,0.0037325-0.0025915i,-0.009487+0.008178i
0.002303-0.017251i,0.017943-0.036876i,-0.0046438-0.032325i,-0.0055543-0.021683i,-0.02404-0.0325i,-0.025408-0.0041016i,-0.019471-0.0037685i,-0.020589-0.017265i,-0.0074655-0.015714i,-0.00029121-0.003706i,-0.0034083-0.0014633i,-0.0030586-0.0015472i,-0.0031006+0.0008929i,-0.0021453+0.00059503i,0.0012308+0.0011075i,-0.0011372-0.0026421i,0.0013049+0.001924i,0.0020217+0.0015909i,0.00088891+0.00046973i,0.0011015-0.00055093i,0.0017277-0.0021103i,-0.0011467-0.0014606i,0.00021542-0.001652i,0.00039409-0.0022981i,0.00039958-0.00057535i,-0.00041433+0.00034985i,0.0011753+0.001034i,0.00071705+0.00052824i,0.00026642-0.0002433i,0.00012161-0.00016714i,-0.0026709-0.0010245i,-0.00014656-0.001524i,-0.00069772+8.7797e-05i,-0.0006483-4.0027e-05i,-0.0004519-0.0017582i,9.9464e-05-0.005334i,0.00046149-0.00016734i,0.0011613-0.00036644i,0.00036877-0.00085034i,-0.001443-0.00017188i,0.00020773-0.00092437i,0.00051085-3.8655e-05i,-0.00094211-0.00010061i,-0.00072329-0.0029566i,0.018287-0.013161i,0.045719-0.0017341i,0.049179+0.00081063i,0.049584-0.015815i,0.019562+0.00053646i,0.024375-0.032663i,0.034316-0.020064i,0.0087634-0.016723i,0.020543-0.0046882i,0.021769+0.0092646i,-0.0017198-0.0049249i,3.4208e-05+0.0063414i,-0.011136-0.00064164i,0.00058814-0.0018966i,0.0046511-1.042e-05i,0.0048293+0.0056709i,-0.0006898+0.00048023i,0.0047741+0.0033821i,0.0028687+0.0025223i,0.007843-0.0052209i,0.0024169-0.0011247i,-0.00020884+0.0014178i,-0.0049795-0.010436i,-0.0024037+0.0026241i,-0.0034672-0.006299i,0.0011126+0.0036831i,-0.0033919+0.0024971i,-0.00073341-0.0003591i,0.0037714+0.0004653i,-0.0018414+0.0005327i,-0.0036563+0.0046172i,-0.0045806-0.0021334i,0.00029171+0.0010689i,-0.0015198+0.0014004i,0.0012106+0.00044813i,-0.0031748-0.012213i,0.0014856+0.003217i,-0.0049488+0.0018393i,-0.0028649+0.00054256i,0.00093738+0.0048138i,-0.00035445-0.00098324i,-0.00019074-0.0042199i,0.00075763-0.0047588i,0.0026663+0.00080023i,0.0064704+0.0026821i,0.038151-0.0090876i,-0.026624+0.012168i,-0.0073105+0.037804i,0.0019724+0.010813i,0.011159+0.00084886i,0.0041102-0.0025738i,-0.0074963+0.0082357i
-0.00092694-0.018233i,0.01218-0.038479i,-0.009645-0.030846i,-0.0084648-0.020624i,-0.029227-0.026874i,-0.02528-0.00049237i,-0.01968-0.00075769i,-0.022838-0.013917i,-0.009355-0.015081i,-0.00056903-0.0032881i,-0.0030829-0.00044763i,-0.0030087-0.00045941i,-0.0022174+0.0017727i,-0.0015598+0.0012584i,0.0015382+0.00055371i,-0.0013854-0.0021233i,0.0019577+0.0014371i,0.0023893+0.00075021i,0.0010969+0.00028829i,0.00091274-0.00064424i,0.0008276-0.0025965i,-0.0017278-0.00094433i,-0.00033006-0.0014632i,-0.00039477-0.0022329i,8.73e-05-0.0006249i,-0.0002294+0.00068425i,0.0014397+0.00039104i,0.00087544+0.00023166i,0.00015325-0.00031846i,8.4851e-05+3.2753e-05i,-0.0028699-3.4573e-05i,-0.00060023-0.0012462i,-0.00040824+0.00043771i,-0.00050179+0.00012934i,-0.00078736-0.0014994i,-0.0012567-0.0050502i,0.00057928-0.00030497i,0.00084069-0.00063483i,-4.9456e-07-0.0008296i,-0.0016338+0.00048386i,-0.00013515-0.00099632i,0.00043135-0.00022254i,-0.00062526+0.00013831i,-0.0012828-0.002654i,0.014878-0.017424i,0.04223-0.010413i,0.047556-0.0072488i,0.044265-0.024034i,0.021541-0.0046333i,0.017576-0.036355i,0.031207-0.025067i,0.0062138-0.019131i,0.021239-0.0060315i,0.022146+0.0026961i,-0.0037107-0.0043938i,0.0033126+0.0059621i,-0.011046+0.0050919i,-0.00066649-0.0014527i,0.0042252-0.00052966i,0.0058275+0.0046005i,-0.00053109+2.4451e-06i,0.0033127+0.0031305i,0.0031147+0.0018177i,0.0044329-0.007718i,0.0015177-0.0022384i,0.0012049+0.00086913i,-0.0080529-0.0063983i,-0.00079892+0.0036003i,-0.0054244-0.00431i,0.0023952+0.0022892i,-0.0023429+0.0042006i,-0.00081708-0.00037021i,0.0031494-0.0029377i,-0.0020728+0.00074355i,-0.0016429+0.0034518i,-0.005041-0.00027361i,-0.00021531+0.00039909i,-0.0015533+0.0017805i,0.00060514-0.00069284i,-0.0085039-0.010056i,0.0019683+0.0012169i,-0.0046293+0.0025463i,-0.0027969+0.0016523i,0.0029934+0.0037958i,0.00015786-0.0010607i,-0.00036335-0.0030049i,-0.00038854-0.004826i,0.0017357+0.0015401i,0.0066155+0.0016525i,0.036559-0.013769i,-0.027109+0.017317i,-0.0017419+0.036392i,0.0013494+0.0074863i,0.010733-0.0023972i,0.0038005-0.0025213i,-0.0065198+0.0072293i
-0.0047906-0.018386i,0.0065138-0.039357i,-0.014425-0.028587i,-0.011271-0.019516i,-0.032654-0.020538i,-0.024674+0.0029623i,-0.019501+0.0021344i,-0.024434-0.01023i,-0.011564-0.014207i,-0.00088325-0.0031858i,-0.0024175+0.00032098i,-0.0025123+0.0003599i,-0.0011244+0.0022552i,-0.00091333+0.001581i,0.0017024-4.6444e-06i,-0.0014065-0.0017343i,0.0023824+0.00095572i,0.0025106-0.00013886i,0.0011994-0.00011203i,0.00080634-0.00086091i,-0.00034555-0.0025607i,-0.001889-0.00021514i,-0.0006537-0.0012234i,-0.00099533-0.0019424i,-0.00013909-0.00057361i,0.00010656+0.00079558i,0.0012893-0.00021047i,0.00097091-0.00013179i,-2.5066e-05-0.00025928i,0.00010967+0.00012397i,-0.0027007+0.00099701i,-0.00078123-0.00085124i,7.3985e-05+0.00049827i,-0.00037638+0.00018237i,-0.0013156-0.0010683i,-0.0023504-0.0042458i,0.00038449-0.00054742i,0.00047828-0.00077029i,-0.00017363-0.00038753i,-0.0016021+0.0010734i,-0.00064359-0.00082942i,0.00019454-0.00039781i,-0.00033263+0.00019791i,-0.001722-0.0019202i,0.010528-0.020244i,0.036966-0.016958i,0.044394-0.014243i,0.037574-0.030057i,0.021025-0.0093709i,0.010274-0.038503i,0.027569-0.03008i,0.0029941-0.021458i,0.022245-0.0092973i,0.021117-0.0042989i,-0.005782-0.0028055i,0.0055903+0.0038897i,-0.0080486+0.0095778i,-0.0015095-0.0007424i,0.0036306-0.00091887i,0.0070078+0.0032386i,-0.0007435-0.00016526i,0.0029664+0.0042187i,0.0038032+0.00059808i,0.00094144-0.0077137i,0.0004677-0.0025582i,0.0017661-9.8819e-05i,-0.0087287-0.0024231i,0.00097543+0.0034014i,-0.0063411-0.0020452i,0.00213+0.00086864i,-0.00030804+0.0049944i,-0.0012082-0.000333i,0.00061952-0.0049461i,-0.0021332+0.0010586i,-0.00098579+0.0020549i,-0.004914+0.0015104i,-0.00094856+0.00045818i,-0.0011317+0.0020362i,-0.00060963-0.00082475i,-0.011356-0.0056902i,0.0013509-6.307e-05i,-0.0042546+0.0031727i,-0.0018636+0.0023901i,0.0043849+0.0018012i,-0.00017712-0.0010481i,0.00033066-0.0028424i,-0.001321-0.0044251i,0.0025056+0.0031617i,0.0064553+0.00094193i,0.033404-0.019241i,-0.02614+0.023248i,0.0029298+0.034255i,-0.00071323+0.0054479i,0.0077515-0.0044944i,0.004191-0.0029538i,-0.0069233+0.0066458i
-0.0084912-0.017299i,0.0010049-0.039817i,-0.018438-0.02536i,-0.014027-0.01792i,-0.034818-0.014503i,-0.023681+0.0065101i,-0.018736+0.0050525i,-0.025206-0.0065786i,-0.013871-0.012997i,-0.0011901-0.0028893i,-0.0016334+0.00051547i,-0.0019061+0.00093003i,9.0261e-06+0.0024234i,-0.00030598+0.001756i,0.0015429-0.00062094i,-0.001403-0.0016357i,0.0030041+0.00011314i,0.002197-0.00098186i,0.001029-0.00059633i,0.00059281-0.0010154i,-0.0011975-0.0020862i,-0.0015775+0.00042452i,-0.00080965-0.0010677i,-0.0011302-0.0016441i,-0.00041849-0.00064015i,0.00044464+0.00069943i,0.0010202-0.00051326i,0.00085257-0.00037878i,-0.0001119-0.00012434i,0.00022977+0.00023541i,-0.0021214+0.0019132i,-0.00085936-0.00059911i,0.0002692+0.00032079i,-0.00031964+0.00032661i,-0.0015065-0.00038771i,-0.0029632-0.0031725i,9.3825e-05-0.00055447i,0.00013029-0.00074466i,1.6838e-05-0.00026323i,-0.0012327+0.0017725i,-0.00083944-0.00039076i,0.000182-0.00036496i,-6.2029e-05+0.00016233i,-0.0016887-0.0012661i,0.0061995-0.021961i,0.032507-0.02085i,0.040643-0.020082i,0.030482-0.033972i,0.019178-0.013228i,0.0028207-0.038555i,0.022927-0.034458i,-0.00037988-0.022898i,0.022113-0.013636i,0.017167-0.010274i,-0.0072753-0.00019945i,0.0062525+0.0011121i,-0.0038375+0.012072i,-0.002287+0.00028267i,0.0032607-0.00085651i,0.00774+0.001432i,-0.00092776-0.00028038i,0.0040098+0.0054825i,0.0034197-0.00088279i,-0.0012174-0.0065407i,-0.00066178-0.0024737i,0.0017874-0.00095423i,-0.0075011+0.00092532i,0.0024758+0.0025951i,-0.0062511+0.00050485i,0.0016379+0.00060308i,0.001922+0.0045098i,-0.0013915+0.00011869i,-0.0021747-0.0052837i,-0.0020573+0.0011776i,-0.0015865+0.0014892i,-0.0041768+0.0031586i,-0.0011716+0.0012116i,-0.0010938+0.0021354i,-0.0012701-0.00034079i,-0.011859-0.0013261i,0.00049451-0.00060487i,-0.0039205+0.0040611i,-0.00095551+0.0025213i,0.0047855-0.00057191i,-0.00010478-0.00096425i,0.00056852-0.0036719i,-0.0022377-0.0043724i,0.0038312+0.0028662i,0.0065798+0.00040907i,0.029726-0.023364i,-0.022781+0.030705i,0.0068563+0.032032i,-0.0032187+0.0053335i,0.0045656-0.0039584i,0.0035699-0.004032i,-0.0073628+0.0067873i
-0.011376-0.015659i,-0.0049868-0.040235i,-0.021657-0.022171i,-0.016562-0.015882i,-0.036153-0.0079334i,-0.02172+0.0098499i,-0.0174+0.0077087i,-0.025753-0.0030352i,-0.016212-0.011395i,-0.0013062-0.0029194i,-0.0012241+0.00046561i,-0.0010618+0.0011969i,0.0012352+0.002114i,0.00051542+0.0016041i,0.0011693-0.0010977i,-0.0015955-0.0016494i,0.0032602-0.0012734i,0.0015004-0.0015205i,0.00070042-0.00086424i,0.00049173-0.0011479i,-0.0017639-0.001369i,-0.0011917+0.00081532i,-0.0010925-0.00093722i,-0.0011909-0.0017657i,-0.00076372-0.00048973i,0.00071922+0.00052943i,0.00064616-0.00078347i,0.00064008-0.0005296i,-0.00010046-5.8492e-06i,0.00058447+0.00027605i,-0.0012884+0.0025742i,-0.0010069-0.00030827i,0.00046214+0.00013967i,-0.0001139+0.00039805i,-0.0011214+8.8289e-05i,-0.0032211-0.0021643i,4.1822e-05-0.00041203i,-3.4115e-05-0.00054285i,4.9812e-05-0.0004831i,-0.00057242+0.0020769i,-0.00075927-1.4407e-05i,0.00013841-0.00057473i,7.1223e-05-0.0001214i,-0.0014242-0.00095374i,0.0016336-0.022838i,0.029215-0.024697i,0.036497-0.025242i,0.02362-0.035835i,0.017609-0.015864i,-0.0041512-0.036369i,0.017676-0.038261i,-0.0033439-0.024266i,0.020916-0.018329i,0.011763-0.013282i,-0.007062+0.0034955i,0.0055781-0.0015529i,0.00029849+0.012362i,-0.0025531+0.0015694i,0.0035408-0.00093133i,0.0080018-0.00093077i,-0.0012448-0.0002796i,0.0063905+0.0053946i,0.0023848-0.0011741i,-0.0024787-0.0051688i,-0.001481-0.0018896i,0.001719-0.0016685i,-0.0060455+0.0027443i,0.0035026+0.0011799i,-0.0053195+0.0025671i,0.0019892+0.00086151i,0.0033724+0.0032435i,-0.0012234+0.00033678i,-0.0049269-0.0041921i,-0.0020959+0.0015005i,-0.0018701+0.0020916i,-0.0028139+0.0043387i,-0.0006226+0.0018225i,-0.0009754+0.0028642i,-0.001344+0.00025942i,-0.011029+0.0022289i,-0.00027332-0.00061108i,-0.0030772+0.0054409i,-0.00050539+0.002619i,0.004068-0.0032155i,9.4861e-05-0.0013698i,-4.1498e-05-0.0047131i,-0.0033722-0.0038085i,0.0048538+0.001879i,0.0070149-0.00058265i,0.025702-0.026933i,-0.014815+0.036125i,0.011287+0.029135i,-0.0049163+0.0064495i,0.0026597-0.0021532i,0.0020628-0.0041021i,-0.0077572+0.0074127i
