-0.023302-0.019697i,-0.031669-0.034358i,-0.022868-0.019981i,-0.032022-0.020419i,-0.024359+0.0036982i,-0.028736-0.018495i,-0.055042-0.04874i,-0.041025-0.044817i,-0.029926-0.020057i,0.0053107+0.0057996i,-0.0035055+0.0061294i,-0.010847+0.011687i,0.0041171+0.0070926i,-0.0038642-0.0027816i,0.0028864+0.001951i,0.0013068+0.029493i,0.018561+0.024991i,-0.00016573+0.00043135i,-0.0028944-0.0028615i,0.0080975+0.003929i,0.0018206+0.00043849i,-0.00030835+0.0022849i,-0.00076294+0.00019662i,-0.031366-0.0012132i,-0.0034069-0.0048047i,-0.00018756+0.002578i,0.0046868-0.0012354i,0.0007151-0.00020342i,-0.00068964-0.00046643i,-0.0012006-0.0019033i,-0.0022107-0.00048277i,-0.0041297-0.0043617i,-0.0040208-0.0057788i,0.00046644-0.0013532i,0.0006628-0.0028139i,-0.0045057+0.025053i,0.0018496-0.0032234i,0.0025837-0.0038744i,0.0045901-0.0023119i,-0.0059119-0.0029569i,0.0007122+0.0012845i,0.00099344-0.00089452i,-0.0021028+0.00049272i,-0.0030197+0.0013331i,-0.0084717-0.0036565i,-0.018221+0.021469i,-0.0086878-0.086595i,-0.0024515-0.061647i,-0.021013-0.054279i,-0.011266-0.045661i,0.052848-0.026868i,0.023355-0.067139i,0.040567-0.055104i,0.019407-0.039915i,0.025545-0.020584i,0.01228+0.012005i,0.025025-0.02878i,-0.010136+0.00027375i,-0.0011899-0.0004636i,-0.0086962-0.0011944i,-0.004849-0.029067i,-0.021435+0.027059i,0.0073522-0.0096272i,-0.010077-0.0033138i,-0.002689-0.0016645i,-0.0011438-0.014433i,-0.0086491+0.0052369i,0.0062246+0.010205i,-0.013577+0.030865i,0.0063533+0.0074045i,-0.0034328-0.0016332i,-0.00227-0.0017531i,-0.012612-0.0058216i,0.00033477-0.0042404i,-0.034363+0.00061471i,0.003103-0.0087374i,-0.0079577-0.001987i,-0.0049054-0.0031078i,0.0067558+0.0020718i,-0.010447+0.00066436i,0.0023794-0.00069849i,0.0062717+0.0082573i,0.0050507+0.0012329i,-0.007819-0.009684i,0.0031879+0.0076193i,-0.021397+0.0079138i,0.0029756+0.0054513i,-0.020988-0.0092554i,-0.026843-0.0048539i,0.0097995-0.062496i,0.018899-0.015373i,-0.049767-0.028847i,-0.021713+0.00046382i,0.018995+0.010619i,-0.026627+0.011752i,-0.012831-0.0075277i
0.0058762+0.0049999i,0.037689+0.015351i,0.020333-0.0041728i,0.01334+0.0020231i,0.0089368-0.0018454i,0.016311-0.0069879i,0.011893+0.015181i,0.014888+0.024335i,0.00067601-0.0023064i,0.0014827+0.00066399i,0.0025252-0.0012505i,0.0011563-0.0040482i,4.9573e-05-0.0011941i,0.0021581-6.5514e-05i,0.0051938-0.0013499i,0.0057012+0.0011219i,0.0047582-0.0060368i,0.0001226-0.00112i,-0.0023257+3.2545e-05i,0.00038589+0.00062769i,0.00021608-0.00019317i,-0.0022143-0.00041582i,-0.0015818-0.00010776i,0.0061125+0.0075314i,-0.00062956+0.00023319i,0.00035663+0.00067069i,0.0010859+0.0010883i,-2.3098e-05+0.0011649i,-0.00036316-0.0003637i,-0.0011852-8.9586e-06i,0.00060751-0.0011631i,-0.00073787+0.00056517i,0.00018607+0.00054741i,-5.2394e-05+0.00049848i,-0.00035974-0.0011672i,-0.0096261+0.0064509i,0.00056679+0.00015156i,-0.00047653+4.5827e-05i,-0.00059049+0.0020279i,-0.00025847-0.0026917i,-0.00083558+0.00030146i,-0.0003865-0.00026054i,0.00065797+0.0015925i,0.0038571-0.0020212i,0.00012286+0.0035866i,-0.04997+0.010136i,-0.0032164+0.029908i,-0.013309+0.04185i,-0.0085093+0.06488i,-0.016929+0.044094i,-0.0063829+0.019725i,-0.0083259+0.013818i,-0.04786+0.003966i,-0.025103-0.0074926i,0.015224+0.025487i,0.00059545+0.005627i,-0.00728+0.0015384i,-0.013789-0.001453i,0.0037191-0.00027795i,0.0071825+0.014541i,-0.0059748+0.0074521i,-0.0047008-0.0063698i,0.0054075-0.0027721i,-0.0067977-0.0052252i,0.0035769-0.0067484i,0.0042161-0.0023247i,-0.0023755+0.010314i,0.012287-0.0059381i,0.0061511-0.00478i,0.0050993-0.0078632i,0.0031352+0.00078239i,-0.0017626-0.0059162i,-0.0037795-0.0014525i,0.0021585-0.0016248i,-0.016958+0.030934i,-0.0043464-0.0052402i,0.0032085+0.00020043i,-0.00059773-0.0069135i,0.0033302-0.001584i,-0.013325-0.005837i,0.00097092+0.00075977i,0.0042372-0.0015971i,0.0026118-0.0010383i,0.0010467-0.005877i,-0.0021064+0.0052349i,-0.00047238+0.0060972i,-0.0049593+0.0074651i,-0.0048523+0.0021885i,-0.0057996+0.00033542i,-0.023697+0.019866i,-0.0082373+0.014077i,-0.021848-0.01141i,-0.0085141-0.0089122i,0.0087721+0.020554i,-0.00072187+0.019684i,-0.0087729-0.0033066i
0.006192+0.0029413i,0.039194+0.0076068i,0.019318-0.0079913i,0.013773+0.00055318i,0.0096618-0.0033087i,0.014904-0.010337i,0.012933+0.012257i,0.020543+0.019908i,-4.8847e-05-0.0022629i,0.0016885+7.4669e-05i,0.0023874-0.0015697i,-0.00044467-0.0028184i,-0.00010256-0.00064937i,0.0021335-5.7224e-05i,0.0043996-0.0023385i,0.0054463+0.00039761i,0.0026425-0.0061298i,5.5278e-05-0.00096826i,-0.002586+0.00035277i,0.00088147+0.0001269i,5.3717e-05-0.00057632i,-0.002191+0.00019121i,-0.0015515+0.00012122i,0.0097343+0.0046261i,-0.00095795+0.0010918i,0.00086286+0.00043785i,0.0011636+0.00039216i,0.00052469+0.00094994i,-0.00081946+0.00018008i,-0.0012588+0.00048433i,-6.3877e-05-0.0012659i,-0.00064692+0.00010214i,0.00010668+0.00041952i,0.00029404+0.00036587i,-0.00087212-0.00015546i,-0.0071637+0.0064429i,0.00027937-6.2441e-05i,-0.00030004+0.00041692i,0.00018422+0.0015054i,-0.00061965-0.0020473i,-0.00052422+0.0002789i,-0.00066121+4.0497e-05i,0.00085537+0.0015209i,0.0027646-0.0024768i,0.0015593+0.0035633i,-0.044713+0.01817i,-0.00028996+0.03094i,-0.0043665+0.041933i,0.0077949+0.061925i,-0.0064481+0.043126i,-0.0083403+0.016139i,-0.011491+0.011497i,-0.048817+0.00838i,-0.021145-0.0091902i,0.021108+0.019614i,0.00054691+0.005392i,-0.0060478+0.0069229i,-0.012879+0.0032534i,0.0023074-0.0018744i,0.010707+0.012016i,-0.0016794+0.011554i,-0.0081249-0.00482i,0.0023353-0.0043913i,-0.0067389-0.0017651i,-0.00095647-0.0067939i,0.0025122-0.0039839i,0.0021435+0.0080802i,0.007245-0.008853i,0.0019855-0.0058481i,0.00084712-0.0057751i,0.0041697-0.00023473i,-0.0030896-0.0045622i,-0.0022056+0.00087422i,0.0020168-0.0015732i,0.0050691+0.033313i,-0.0056955-0.0041796i,0.0037042-0.0016853i,-0.0038272-0.0060113i,0.0034659-0.0024879i,-0.013485+0.00055023i,0.0018086+0.0010436i,0.0030428-0.0017394i,0.0029007-0.0022913i,-0.00056152-0.0056978i,-0.00055064+0.0028714i,0.0020175+0.0050663i,-0.00094354+0.0087484i,-0.0035932+0.00455i,-0.0065202+0.001135i,-0.018211+0.018838i,-0.0062304+0.016398i,-0.024818-0.0061656i,-0.011081-0.011725i,0.011788+0.020146i,0.0030083+0.021406i,-0.01101-0.0033849i
0.0057611+0.0014098i,0.038879-0.00063827i,0.017778-0.012816i,0.015047-0.0021688i,0.010615-0.0054975i,0.012503-0.013573i,0.013167+0.0093164i,0.023803+0.014357i,-0.00030555-0.001982i,0.0013012-0.00045091i,0.0021582-0.0026384i,-0.00057954-0.0013011i,-6.1948e-05-0.00063159i,0.0021292-0.00055954i,0.0035453-0.0030725i,0.0049945-0.00046193i,0.00073253-0.0057651i,-0.00021039-0.0010764i,-0.0024675+0.0011751i,0.00078765-0.00075332i,-0.0005845-0.00088713i,-0.0019282+0.00073341i,-0.0016078+0.00043391i,0.010468-0.000172i,-0.00021527+0.0015979i,0.00083195-7.5296e-05i,0.00091102-6.5331e-05i,0.00089164+0.00041292i,-0.00051889+0.00070896i,-0.0011142+0.00095171i,-0.00072941-0.00096885i,-0.0012041+0.00064634i,0.00027156+0.00040143i,0.00047985+0.0001303i,-0.00039503+0.00056825i,-0.0077431+0.01431i,8.9031e-05+0.00011263i,-5.5675e-05+0.00039833i,0.00051265+0.0010427i,-0.0013218-0.0020479i,-0.00037099+0.00018679i,-0.00045814+0.00029946i,0.0012137+0.0016027i,0.0022346-0.0029245i,0.0037006+0.0026594i,-0.03848+0.024598i,0.0042941+0.032054i,0.0043811+0.038757i,0.022863+0.053353i,0.0031328+0.042734i,-0.01146+0.015369i,-0.014261+0.01236i,-0.048719+0.0148i,-0.020045-0.012447i,0.024166+0.010976i,0.00067118+0.0052199i,-0.0035842+0.0087296i,-0.012817+0.0061446i,-0.00013259-0.0038002i,0.013268+0.0085985i,0.0035537+0.011939i,-0.011222-0.0022052i,0.00036835-0.0029994i,-0.0060245+0.00084171i,-0.003278-0.0041014i,0.0006525-0.0037043i,0.0046895+0.0072081i,0.0040382-0.0093932i,-0.0014915-0.0045607i,0.00049995-0.0031141i,0.0042711-0.002527i,-0.0050889-0.0021616i,-0.00070068+0.0008737i,0.001311-0.0022556i,0.01839+0.023146i,-0.007488-0.0020229i,0.003207-0.0032763i,-0.0039164-0.0042307i,0.0037419-0.0041509i,-0.010435+0.0058205i,0.0036114+0.00064135i,0.0020823-0.0021061i,0.0015887-0.0027902i,-0.0020466-0.0045377i,-0.0012627+0.0027306i,0.0032185+0.003042i,0.0029827+0.0092259i,-0.0019969+0.0049772i,-0.0070714+0.0030505i,-0.015823+0.017067i,-6.9825e-05+0.017312i,-0.025618-0.0016327i,-0.014606-0.012993i,0.016973+0.016988i,0.0085069+0.022572i,-0.013429-0.0017433i
0.0051796+0.00046391i,0.035632-0.0075397i,0.014249-0.017152i,0.01501-0.0063578i,0.010334-0.0087672i,0.0092677-0.015762i,0.012902+0.0072401i,0.02589+0.0083652i,-0.00017871-0.0021906i,0.00069985-0.00046928i,0.0006813-0.0032497i,-2.9956e-05-0.00068249i,-0.00048212-0.00041596i,0.0017279-0.00078592i,0.0023792-0.0035679i,0.0044316-0.0009974i,-0.00062711-0.0045925i,-0.00039796-0.00098511i,-0.0013989+0.0018137i,8.8676e-05-0.0011102i,-0.0011215-0.00040959i,-0.0016291+0.0013234i,-0.0015318+0.00092865i,0.0087327-0.0039921i,0.00023495+0.0014639i,0.00057324-0.00032286i,0.00064378-0.0001276i,0.00066098-9.4201e-05i,-0.00013499+0.00067881i,-0.00072451+0.0014739i,-0.0012421-0.00043442i,-0.00062978+0.0011389i,0.00047472+0.00021251i,0.00038918+2.2294e-05i,0.00017028+0.00066648i,-0.00051957+0.014186i,0.00021301+0.00018978i,-4.6463e-05+0.00024928i,0.00057144+0.00090299i,-0.0021509-0.0007874i,-0.00047866+9.5607e-05i,-0.00033533+0.00037402i,0.0016627+0.0014652i,0.0015965-0.0029493i,0.0052828+0.00037785i,-0.03096+0.029639i,0.010001+0.03181i,0.0095886+0.034712i,0.034675+0.039958i,0.013062+0.037833i,-0.014991+0.017622i,-0.01718+0.015369i,-0.04738+0.022508i,-0.021672-0.015342i,0.02416+0.0022066i,0.0013082+0.0057662i,-0.0011089+0.011173i,-0.011693+0.010179i,-0.0043237-0.0027442i,0.01518+0.0036108i,0.0086922+0.0099939i,-0.01262+0.0019892i,-0.00033331-0.0022671i,-0.0044069+0.0025206i,-0.0036503-0.001137i,-0.00030703-0.0032686i,0.0066786+0.0039201i,0.0015942-0.0094527i,-0.0032382-0.0012849i,0.0012319-0.0020372i,0.0030549-0.0044684i,-0.0061498+0.00021183i,0.00031801+0.00084785i,0.00053822-0.0022389i,0.025889+0.0113i,-0.0077178+0.0015177i,0.0022046-0.0045892i,-0.0041764-0.0024753i,0.0021346-0.006657i,-0.0058067+0.0078999i,0.0048231-0.0014882i,0.0011391-0.0016138i,0.0010338-0.0025494i,-0.0023922-0.0030917i,-0.001681+0.0036409i,0.0031067+0.0010906i,0.007495+0.0069714i,-0.00072658+0.0045052i,-0.0070584+0.0053496i,-0.014275+0.017969i,0.0086965+0.012715i,-0.024464+0.0033005i,-0.020361-0.013041i,0.018889+0.011796i,0.015133+0.020939i,-0.012784+0.00047893i
0.0050583-8.1304e-05i,0.032373-0.012348i,0.0099503-0.01985i,0.01366-0.010301i,0.0087697-0.011876i,0.0061258-0.017053i,0.012874+0.0061119i,0.025659+0.0026524i,-2.28e-06-0.0026353i,0.00028727-0.00028189i,-0.00072908-0.0024301i,0.00039244-0.00054328i,-0.00064676+0.0002155i,0.0014199-0.00097416i,0.0013139-0.0034693i,0.0041704-0.0010433i,-0.0012622-0.0036757i,-0.00075488-0.00086872i,-0.00056001+0.0017986i,-0.00057914-0.001006i,-0.0012384+7.3101e-05i,-0.00088305+0.0017168i,-0.0011678+0.0014499i,0.0058029-0.0064885i,0.00065204+0.0012916i,0.00037645-0.00037586i,0.00046192-0.00029196i,0.00040411-0.00013069i,2.77e-06+0.0006758i,2.1705e-05+0.0017289i,-0.0012005+0.00023306i,1.5936e-07+0.0013974i,0.00047571-3.5402e-05i,0.00039518+0.0002016i,0.00066696+0.00062856i,0.0050738+0.0087333i,0.0001261+0.00025832i,-0.00017259+0.00028679i,0.0009211+0.00081823i,-0.0017088+0.00020706i,-0.00081853-3.1601e-05i,-0.00022041+0.00036546i,0.002002+0.001009i,0.00062615-0.0027352i,0.005481-0.0024893i,-0.022327+0.03187i,0.01649+0.029833i,0.014709+0.032045i,0.03925+0.024442i,0.01885+0.030766i,-0.015847+0.023541i,-0.017474+0.022137i,-0.044271+0.031733i,-0.026318-0.016159i,0.019876-0.0042782i,0.002656+0.0058263i,0.0040805+0.011582i,-0.0082806+0.013049i,-0.0058743+0.00080674i,0.014212-0.0031158i,0.012286+0.0059605i,-0.012794+0.0060231i,-0.00050015-0.0007757i,-0.0026867+0.0035456i,-0.0019321+0.00065998i,-0.0020503-0.0021513i,0.0068038+0.0010794i,-0.00095871-0.0077969i,-0.002717+0.0016712i,0.0024969-0.0022502i,0.0010025-0.0054451i,-0.0040624+0.0012644i,0.001654+0.00029405i,0.00017761-0.0016636i,0.025986-0.0004198i,-0.0055648+0.0043557i,0.00049835-0.005297i,-0.0034603-0.0017368i,-0.00055261-0.0073075i,-0.0019014+0.0074283i,0.0036439-0.0039994i,0.001227-0.00078728i,0.0012519-0.0023829i,-0.0015743-0.0022674i,-0.00029579+0.0055803i,0.0017865+1.665e-05i,0.0097034+0.0018185i,-0.00043089+0.0032569i,-0.0052689+0.0079174i,-0.010831+0.019197i,0.01204+0.0015049i,-0.020361+0.005304i,-0.026749-0.010176i,0.019837+0.0066567i,0.020358+0.014616i,-0.012884+0.00079765i
0.0051028-0.0010191i,0.029487-0.016661i,0.0058059-0.021377i,0.011417-0.014214i,0.0065921-0.01432i,0.0026685-0.018009i,0.0139+0.0050758i,0.024228-0.0015314i,-7.0696e-05-0.0037083i,-0.00013685+0.00010094i,-0.0010256-0.0015603i,0.00056702-0.00058696i,-0.0002092+0.00084683i,0.0010775-0.00096682i,0.00056669-0.0032052i,0.0044636-0.0012526i,-0.0015007-0.003115i,-0.00083279-0.00056407i,7.6381e-05+0.0016925i,-0.00098689-0.00062196i,-0.0009422+0.00048734i,3.6728e-05+0.0014928i,-0.00055155+0.0016857i,0.002552-0.007326i,0.0011751+0.00078549i,0.00020997-0.00039434i,0.00031331-0.00050022i,0.00027563-0.00017206i,0.0002242+0.00065745i,0.00067782+0.001402i,-0.00088963+0.00056482i,0.00067621+0.0010136i,0.0002807-0.00015191i,0.00059226-7.9335e-06i,0.00095059-7.3005e-06i,0.0047841+0.0082114i,0.00025297+0.00028801i,-0.00010486+0.00049482i,0.00093264+0.00039473i,-0.0011309+0.00061151i,-0.0013836+0.00039276i,-4.3317e-05+0.00029737i,0.0020859+0.00055554i,0.00013161-0.0042699i,0.0047973-0.0051543i,-0.014558+0.031381i,0.022457+0.025441i,0.02038+0.028291i,0.039184+0.010533i,0.022071+0.024085i,-0.012523+0.030169i,-0.013269+0.0299i,-0.036665+0.041495i,-0.031212-0.014058i,0.015017-0.0074855i,0.0041305+0.0048804i,0.0078375+0.0090484i,-0.003986+0.015249i,-0.0052132+0.0034906i,0.0095609-0.0093861i,0.013534+0.00033894i,-0.011+0.0098787i,0.00043732-3.183e-05i,-0.00089918+0.0030522i,-0.00042604+0.00059958i,-0.0021246+0.00022276i,0.0055912-0.00077764i,-0.0028247-0.0056726i,-0.00071119+0.0031537i,0.0027678-0.0040757i,-0.0010908-0.0052281i,-0.0027828+0.0016056i,0.0020783-0.0010889i,0.00072995-0.0014619i,0.022379-0.01125i,-0.0025429+0.0054757i,-0.0011042-0.0049421i,-0.0033875-0.0010297i,-0.0030707-0.0066113i,0.00045114+0.0064079i,0.0028101-0.0051045i,0.0021362-0.0010464i,0.0010884-0.0032075i,-0.00098828-0.0026782i,0.0037166+0.006148i,0.00075971+0.00035862i,0.0052837+0.00027502i,-0.0010322+0.0025058i,-0.0022691+0.0092699i,-0.0069939+0.018997i,0.0077099-0.0079301i,-0.018089+0.0028939i,-0.032493-0.0036462i,0.018208-7.5442e-06i,0.021421+0.0077454i,-0.014097+0.0027033i
0.0049926-0.0018938i,0.025818-0.021124i,0.0012292-0.023012i,0.0074709-0.017989i,0.0038128-0.016624i,-0.00099831-0.017932i,0.01551+0.0031545i,0.023575-0.0053091i,-0.00066175-0.0044576i,-0.00031046+0.00096444i,-0.0012683-0.0011461i,0.00057371-0.0011493i,0.00030167+0.0010108i,0.00068975-0.00086142i,-5.0367e-05-0.0028814i,0.0046667-0.0018929i,-0.0019846-0.0027737i,-0.0011037-0.00036932i,0.00084534+0.0012609i,-0.0014283-0.00015226i,-0.00093931+0.00052996i,0.000529+0.00082602i,-7.1392e-05+0.0016911i,-0.00070855-0.00707i,0.0013262-0.00032361i,-6.2337e-06-0.0002473i,-0.0001777-0.00064158i,0.00012484-9.5944e-05i,0.00056474+0.00043595i,0.00097651+0.00090832i,-0.00041299+0.00080924i,0.00073981+0.0014143i,3.0871e-05-6.0416e-05i,0.00053869-0.00019895i,0.00046771-0.0007072i,0.0064904+0.0073131i,0.00031908+0.00027443i,-2.5667e-05+0.0005583i,0.00096005+0.0002924i,-0.00050492+0.00067024i,-0.00115+0.00065436i,7.0222e-05+0.00028728i,0.0021721-6.294e-05i,-0.0010185-0.0026838i,0.0030825-0.0075715i,-0.0083089+0.029537i,0.026444+0.019697i,0.025718+0.023125i,0.034873-0.00091837i,0.023408+0.018683i,-0.0063462+0.034525i,-0.0039401+0.034396i,-0.025277+0.048142i,-0.035296-0.0084873i,0.010458-0.0089765i,0.0050493+0.0033832i,0.0094882+0.0050177i,0.00056998+0.015076i,-0.0043888+0.0051888i,0.0016738-0.010933i,0.011368-0.0048452i,-0.0076247+0.012061i,0.001443-0.00084209i,0.0017132+0.0027017i,4.9832e-05-0.0001407i,-0.00018243+0.0015004i,0.0045917-0.0011194i,-0.0030477-0.004214i,0.001396+0.0034043i,0.0013581-0.0061267i,-0.0027517-0.0040694i,-0.0016535+0.002012i,0.0016073-0.002685i,0.00076882-0.0023104i,0.013632-0.017833i,2.4459e-05+0.0049417i,-0.0021326-0.0042242i,-0.002854-0.00082031i,-0.004884-0.0054721i,0.0022173+0.005321i,0.0013931-0.0066881i,0.0025194-0.0021565i,-0.00024448-0.0038054i,-0.0017492-0.0032917i,0.0045548+0.0034162i,0.00050009+0.0013748i,0.0068614-0.0016075i,-0.0017936+0.0027246i,0.00075481+0.0085965i,-0.0035216+0.018748i,0.00065694-0.014203i,-0.020333+0.00026167i,-0.034052+0.0052658i,0.012477-0.0041494i,0.021188+0.0020622i,-0.01352+0.0045617i
0.005024-0.0029455i,0.021714-0.024271i,-0.0042367-0.022982i,0.0019262-0.019799i,1.7738e-05-0.018055i,-0.0040412-0.016805i,0.017077+0.0003101i,0.021656-0.0095453i,-0.0010777-0.0054178i,0.00038608+0.0018576i,-0.0014097-0.00031557i,-0.00030978-0.0015834i,0.00095228+0.0010807i,0.00070816-0.00052667i,-0.00042554-0.0025247i,0.0046717-0.0026982i,-0.0026182-0.001977i,-0.0011689+0.00015601i,0.0010654+0.00047127i,-0.0013862+0.00077383i,-0.00085153+0.00081837i,0.00042626+0.00011077i,0.0004099+0.0015969i,-0.0030663-0.0052142i,0.00055392-0.00054305i,-8.9331e-05-9.3773e-05i,-0.00052872-6.6053e-05i,4.9342e-05+2.4429e-05i,0.0005427-3.6083e-05i,0.0010922+0.00050938i,-3.2654e-06+0.00072077i,0.0013015+0.00024801i,5.856e-05+0.00010781i,0.00044938-0.00028013i,-0.00024586-0.00042078i,0.0076019+0.0057732i,0.00043528+0.00014407i,9.9042e-05+0.00073721i,0.0010119+0.00011247i,7.6753e-05+0.00038508i,-0.00099618+0.00080652i,0.00019374+0.00022715i,0.0018816-0.00082724i,-0.0015402-0.0017773i,0.00052657-0.0090955i,-0.0036071+0.026658i,0.028608+0.013935i,0.030172+0.016465i,0.028865-0.0083808i,0.023801+0.014437i,0.0013866+0.03654i,0.0054471+0.033755i,-0.011911+0.050732i,-0.035777-0.0012933i,0.0071151-0.0090683i,0.0056247+0.0019773i,0.009265+0.0016505i,0.0049506+0.013601i,-0.0027076+0.0071781i,-0.0046034-0.0077692i,0.0079704-0.0072059i,-0.0046048+0.013594i,0.0011724-0.0024953i,0.00070284+0.0016248i,-0.00023143-0.00032948i,0.0017403+0.0012323i,0.004062-0.0014853i,-0.0040279-0.0033664i,0.0031371+0.0020588i,-0.002-0.0069681i,-0.0031581-0.0025593i,-0.00010483+0.0017166i,0.00088505-0.0035499i,0.00024467-0.0032209i,0.0053298-0.019031i,0.0016247+0.0038639i,-0.0029846-0.0036463i,-0.0035438-0.00078775i,-0.0063388-0.003439i,0.0029104+0.0039461i,-0.0012975-0.0076224i,0.002521-0.0034036i,-0.0011206-0.0031676i,-0.0026812-0.0031069i,0.004965+0.0026391i,0.0011904+0.0021416i,0.0048183-0.0032618i,-0.0020421+0.0036428i,0.0026166+0.0070791i,0.0011611+0.018513i,-0.0093656-0.016528i,-0.02442+0.0007795i,-0.031388+0.013825i,0.0072056-0.0034341i,0.018668-0.0042478i,-0.01261+0.0047294i
0.0048058-0.0045508i,0.017677-0.027375i,-0.0088422-0.021206i,-0.0031978-0.019279i,-0.0037972-0.018376i,-0.0062761-0.015621i,0.018121-0.0035934i,0.018991-0.012585i,-0.0021089-0.0065202i,0.0016008+0.0019097i,-0.00096633+0.00035777i,-0.0010995-0.00096651i,0.0015205+0.00049596i,0.00079685-0.000538i,-0.00065241-0.0022133i,0.0045081-0.0035024i,-0.0028103-0.00072969i,-0.00081797+0.00041986i,0.00074197-0.00013739i,-0.00086042+0.0012897i,-0.00060235+0.00089577i,0.0001051-0.00021522i,0.00087349+0.0013266i,-0.004371-0.0024307i,0.00018784-0.00025278i,-7.2652e-05+2.5489e-05i,-0.00047182-3.1842e-05i,7.2907e-05+9.6763e-05i,0.0002577-5.7088e-05i,0.0010113-1.2068e-05i,0.00038713+0.00049903i,0.00098014+0.0003978i,0.00023995+9.7247e-05i,0.00042713-0.00026349i,-0.00034202+0.00016138i,0.0082501+0.0029279i,0.00034541+7.4688e-05i,0.00049185+0.0008036i,0.00094554-0.00035536i,0.00045182-3.4313e-05i,-0.00043254+0.00096064i,0.00024061-3.7582e-05i,0.0012883-0.0014405i,-0.0017486-0.00089689i,-0.002205-0.0097015i,-0.00077364+0.023303i,0.029661+0.0087496i,0.032203+0.0081797i,0.022794-0.013374i,0.024063+0.012155i,0.0092572+0.036183i,0.013501+0.031382i,0.00082522+0.048386i,-0.034101+0.0055324i,0.0046431-0.0089687i,0.0060542-0.00023725i,0.0089479-0.00091754i,0.0087794+0.010081i,0.00015456+0.0075685i,-0.0074574-0.0030128i,0.0042259-0.0080724i,-0.00092005+0.013848i,-0.00031989-0.0035834i,-0.00013852+0.0013929i,-0.00036775-6.5146e-05i,0.0027683-2.6062e-05i,0.0036446-0.0011889i,-0.0043981-0.0017156i,0.0034879+0.00051383i,-0.0047833-0.0048397i,-0.0029634-0.00088548i,0.00021612+0.00049798i,-0.00019287-0.0041401i,-0.00086549-0.0034762i,-0.0012991-0.017576i,0.0029456+0.0022964i,-0.0040394-0.0026742i,-0.0039792+0.00048466i,-0.0064635-0.00071716i,0.0034195+0.0032082i,-0.0045169-0.006977i,0.0021159-0.0049876i,-0.0016582-0.0029169i,-0.0031733-0.0030666i,0.0060781+0.0016124i,0.0022884+0.0022577i,0.0029141-0.0025401i,-0.0017342+0.0042887i,0.0038501+0.0053364i,0.0061856+0.015858i,-0.019484-0.013631i,-0.028055+0.0038293i,-0.026055+0.019029i,0.0052701-0.0019632i,0.012729-0.0083466i,-0.014129+0.0049483i
0.0037583-0.006075i,0.01304-0.030163i,-0.012346-0.01891i,-0.0073239-0.017615i,-0.0075824-0.017816i,-0.0085021-0.014525i,0.017953-0.0088211i,0.016201-0.015412i,-0.0037887-0.0072923i,0.0026129+0.0012864i,-0.00030989+0.000601i,-0.0012727+2.1256e-05i,0.0015302-0.00017303i,0.00084705-0.00061979i,-0.00097236-0.0020521i,0.0041063-0.0045873i,-0.0024474+0.00040511i,-0.0006633+0.00029799i,0.00048876-0.00035752i,-0.00029897+0.0014491i,-0.00027318+0.0011293i,-0.00018667-0.00028536i,0.0011166+0.0009073i,-0.0045012+0.0007489i,-0.00010365+6.5828e-05i,-1.7676e-05+0.00012458i,-0.00041849+0.00027712i,7.8077e-05+0.00011736i,0.00026003-4.136e-05i,0.00060247-0.00038103i,0.00050544+0.00010936i,0.0010403+0.00047512i,0.00030313+1.6189e-05i,0.00039696-0.00053613i,-5.406e-08+0.00049625i,0.0074484+0.0013647i,0.00046603+3.3255e-05i,0.00076135+0.00066679i,0.00044781-0.00089277i,0.00080627-0.00045554i,-0.00016435+0.00096325i,0.00016297-0.00012503i,0.00044394-0.0015771i,-0.0015797+0.00023535i,-0.0048767-0.0093592i,0.00017917+0.021364i,0.030121+0.0038338i,0.031368+0.0015026i,0.015958-0.017116i,0.026523+0.010728i,0.016549+0.033431i,0.021655+0.026752i,0.011843+0.042228i,-0.029147+0.011369i,0.0022813-0.0087572i,0.0050908-0.0032207i,0.0082215-0.0039107i,0.0099183+0.0054904i,0.0019371+0.006529i,-0.0078864+0.0022i,0.00061027-0.0075255i,0.0026367+0.011347i,-0.0026816-0.0031051i,-9.0014e-05+0.0024641i,-0.00028506+0.00012174i,0.0031286-0.0016692i,0.0043903-0.00031884i,-0.0032218-0.00053089i,0.0037086+0.00018023i,-0.0054487-0.0026274i,-0.0022192-0.00098286i,-0.00029171+0.00011497i,-0.0021472-0.0044332i,-0.0020721-0.0030133i,-0.0070348-0.015295i,0.0033552+0.00010177i,-0.0045445-0.0012637i,-0.003067+0.0017405i,-0.0056652+0.00091709i,0.0042591+0.0026046i,-0.0068242-0.0046349i,0.00022797-0.0065099i,-0.0025407-0.0023565i,-0.0047379-0.0024427i,0.0068085-0.00072167i,0.0032855+0.0020211i,0.0027971-0.0022658i,-0.00058519+0.005586i,0.0038578+0.0032302i,0.0097602+0.011566i,-0.025055-0.0052734i,-0.031208+0.0091802i,-0.020116+0.022773i,0.003625-0.00040783i,0.0080828-0.0073817i,-0.014577+0.00699i
