-0.025506-0.038758i,-0.011762-0.049174i,-0.01819-0.044394i,-0.031031-0.034793i,-0.030177-0.015952i,-0.050381-0.026815i,-0.057608-0.025399i,-0.045522-0.037001i,-0.029107-0.036591i,0.0074493+0.012737i,-0.0048554+0.015167i,-0.0045539+0.013943i,0.010097+0.021151i,0.00076597+0.0044065i,0.003238+0.0032808i,0.0061465+0.01802i,0.026848+0.038075i,-0.0022218-0.00053134i,-0.0041932-0.0061829i,0.0077814+0.0014546i,-0.00026528-0.00090251i,-0.00096904+0.0012937i,9.2245e-06-0.00046838i,-0.029891-0.0029344i,-0.0014322-0.0055494i,0.0018206+0.004489i,0.0036378-0.00026648i,-0.00042862+0.00062012i,0.00042736-0.00047885i,-0.00033057-0.0025169i,-0.0018182-0.005928i,-0.004509-0.0039483i,-0.0017794-0.0047447i,0.0021192-0.00094541i,0.0021164-0.0030742i,0.0027911+0.025465i,0.0018984-0.0027467i,0.0028341+0.00039336i,0.0062678+0.0012162i,-0.0098647-0.00405i,-0.0028482+0.00073677i,0.0065629+0.0014218i,0.0054158+0.00057811i,-0.0036708+0.0060973i,0.00043962-0.0089439i,-0.011891+0.018039i,0.036366-0.090795i,0.011824-0.070071i,-0.0162-0.059935i,-0.01661-0.054993i,0.038809-0.045714i,0.01727-0.062231i,0.034314-0.055162i,0.029367-0.060271i,0.016383-0.013762i,0.0047493+0.016173i,0.016868-0.026305i,-0.011026+0.0056985i,-0.00032516+0.0055903i,-0.0048952-0.0012331i,-0.0022731-0.029425i,-0.024478+0.031899i,0.010186-0.011418i,-0.01332-0.002573i,-0.00011745-0.0050639i,-0.001252-0.016197i,-0.0070596+0.0052816i,0.0053979+0.0066275i,-0.0087134+0.030499i,0.0045312+0.0060447i,-0.0049437-0.0005797i,-0.0031211-0.00073407i,-0.012282-0.0075433i,-0.0010516-0.0046597i,-0.030555+0.0065525i,2.4148e-05-0.0099689i,-0.0092889-0.002124i,-0.0065842-0.0030979i,0.0070536+0.0026924i,-0.0078145+0.00096433i,-0.00019538+0.00036719i,0.0057464+0.010785i,0.0043864+0.0014245i,-0.0090264-0.0098652i,0.0031638+0.007792i,-0.021111+0.0061643i,0.0084023+0.0011136i,-0.029175-0.003759i,-0.042513+0.0021996i,0.019672-0.097073i,-0.001357-0.012507i,-0.052717-0.021903i,-0.022414-0.001136i,0.017935+0.010712i,-0.025035+0.013335i,-0.018149-0.012997i
0.0071001+0.020438i,0.015199+0.050906i,0.024407+0.034511i,0.01755+0.026895i,0.024576+0.026303i,0.032139-0.014623i,0.017101-0.0093029i,0.029085+0.0050529i,0.012275+0.012433i,0.002959+0.0049072i,0.0046349+0.0028846i,0.0044277+0.0031572i,0.0059669+0.0026857i,0.0050835+0.0034383i,0.0030221-0.0033697i,0.0077287-0.0013105i,0.0089289-0.0049536i,-0.0012814-0.0015852i,-0.0031027+0.0012458i,-8.1628e-05+0.001492i,-0.0010923-0.00017889i,-0.0027862+0.0012468i,-0.0017493+0.00093032i,0.0047742+0.0077156i,0.0014868+0.0010779i,0.0019618+0.00033342i,0.0018199+0.0011895i,0.00096527+0.0013758i,0.00070499+8.7355e-05i,-0.00022476+0.00071509i,-0.0011981-0.002281i,-0.00088459-0.00051641i,-0.0011047+0.00088222i,-0.0010499+0.00026518i,-0.00059104-0.0020447i,-0.0067868+0.0073865i,0.0014316+0.00033061i,0.0011635-0.0004841i,-0.00090444+0.0026171i,-0.00031875-0.0035271i,-0.0014707+0.00022105i,-0.0019447-0.00036295i,0.0019669+0.0010785i,0.0067208+0.0043994i,-0.013959+0.033926i,-0.081188+0.034549i,-0.051519+0.037488i,-0.037064+0.059041i,-0.018519+0.072524i,-0.0085586+0.0512i,0.0097017+0.036786i,0.0024348-0.0026699i,-0.038021+0.0098556i,-0.044685+0.019954i,0.0019064+0.02426i,-0.0078542+0.0023868i,-0.010362-0.00061087i,-0.01357-0.0025872i,0.0022001+0.00057906i,0.005466+0.011119i,-0.0023512+0.0084153i,-0.0077752-0.011338i,0.0052778-0.0068219i,-0.0065458-0.0069285i,0.0019688-0.0061533i,0.003867-0.0041619i,-0.0015463+0.010396i,0.010101-0.0042864i,0.0051546-0.0062424i,0.0034731-0.0057939i,0.0031838-0.00062217i,-0.0012246-0.0046074i,-0.0037059-0.00080178i,0.0024031-0.00015004i,-0.0090058+0.025586i,-0.0040305-0.0033529i,0.0022983+0.00047283i,0.00028416-0.0066025i,0.0024984-0.0015113i,-0.015476-0.0038828i,0.00064911+0.00012496i,0.00517-0.0030026i,0.0029091-0.0013717i,0.00044551-0.0051445i,-0.00072352+0.006023i,-0.00096451+0.0062946i,-0.0029671+0.0047781i,-0.012356+0.0019788i,-0.014751-0.0018539i,-0.039108+0.05695i,0.00011247+0.0052254i,-0.02505-0.016427i,-0.0077541-0.0066555i,0.0098026+0.019849i,-0.0023303+0.022792i,-0.00083261-0.00038154i
0.0095411+0.017267i,0.023239+0.046044i,0.030057+0.030109i,0.022211+0.024477i,0.030227+0.022234i,0.028848-0.02028i,0.014277-0.012482i,0.029393-0.00019295i,0.013727+0.0098271i,0.0043916+0.003614i,0.0053524+0.0017622i,0.0041699+0.0028667i,0.0060667+0.0016393i,0.0056141+0.0021542i,0.0018699-0.0038505i,0.0064994-0.0026621i,0.0062543-0.0065481i,-0.001051-0.0013566i,-0.0025546+0.0012968i,0.00058788+0.00079292i,-0.0013406-0.00020231i,-0.0024015+0.0018984i,-0.0014382+0.00095919i,0.0081963+0.0050435i,0.0014398+0.0010725i,0.0022545-0.00058818i,0.0019802+0.00017607i,0.0015263+0.00089551i,0.00031174-2.4819e-05i,-0.00022878+0.00070178i,-0.0019908-0.0013458i,-0.0012471-0.00058528i,-0.00082284+0.0012239i,-0.00079856+0.00062451i,-0.0015307-0.00069477i,-0.0039073+0.0087771i,0.0011015-0.0002495i,0.0008468-0.00077989i,0.00044423+0.0024787i,-0.0013611-0.0029339i,-0.0012967+0.00046148i,-0.0020636+0.00020302i,0.0019276+0.0010504i,0.0072038+0.0032516i,-0.0077643+0.035608i,-0.069602+0.048664i,-0.04742+0.04646i,-0.026947+0.0628i,-0.0025895+0.069738i,0.0022842+0.049171i,0.010644+0.031089i,-0.0034631-0.0067372i,-0.038769+0.01279i,-0.035937+0.021494i,0.0076837+0.022171i,-0.0082199+0.0048069i,-0.0096637+0.0048829i,-0.013082+0.0017208i,0.0011849-0.00055875i,0.0080571+0.010379i,0.0020837+0.011531i,-0.013158-0.0090219i,0.00080024-0.0075746i,-0.0062085-0.0030459i,-0.0014817-0.0058166i,0.0014358-0.0056986i,0.0030558+0.0077388i,0.0064895-0.007162i,0.00079441-0.0065293i,0.00047582-0.0037929i,0.0037874-0.0017101i,-0.0023773-0.0038441i,-0.0015515+0.0014143i,0.0026773-0.0003358i,0.0042673+0.025542i,-0.0046899-0.0027241i,0.0028583-0.0017781i,-0.0029233-0.0060259i,0.0028283-0.0023134i,-0.014433+0.0031321i,0.0011071+0.00043195i,0.0032688-0.0028582i,0.0026881-0.0024189i,-0.0009029-0.0050756i,0.0012494+0.0029832i,0.001974+0.0053918i,-0.00014188+0.0056688i,-0.010908+0.0058795i,-0.01588+0.001185i,-0.028175+0.058194i,0.00066764+0.0059165i,-0.028613-0.010884i,-0.0098201-0.0091597i,0.012395+0.018327i,0.0022746+0.024602i,-0.0029389-0.0017299i
0.010921+0.014774i,0.029273+0.039485i,0.035528+0.023381i,0.027718+0.019856i,0.035831+0.016606i,0.024262-0.025578i,0.010783-0.015217i,0.029021-0.0057776i,0.015013+0.0074193i,0.0048003+0.0020733i,0.0052857-9.7092e-05i,0.0048544+0.0028327i,0.006001+8.7114e-05i,0.005923+0.00040836i,0.0006706-0.0039693i,0.0050628-0.0035968i,0.0037689-0.0074736i,-0.0014492-0.0013771i,-0.0022018+0.0017762i,0.00059764-0.00028458i,-0.0018388-0.00016407i,-0.0016998+0.0024363i,-0.0013592+0.0010451i,0.0088084+0.00068134i,0.0020573+0.00045435i,0.0015855-0.0014736i,0.0015971-0.00061371i,0.0019837-8.6468e-05i,0.00020919+7.3385e-05i,-0.0002289+0.00091496i,-0.0023152-0.00023927i,-0.0019197+0.00028315i,-0.00021903+0.0015704i,-0.00050981+0.00081162i,-0.0011533+0.00047487i,-0.0010634+0.0092576i,0.00075389-0.00036049i,0.00049102-0.0010758i,0.0010978+0.0015512i,-0.0022463-0.0021123i,-0.0011311+0.00069859i,-0.0018134+0.00075913i,0.002201+0.0013298i,0.0081175+0.0016769i,-2.4737e-05+0.035834i,-0.056694+0.059328i,-0.039172+0.054652i,-0.015847+0.06378i,0.011723+0.062986i,0.011971+0.047026i,0.010397+0.027758i,-0.0089847-0.0069599i,-0.038117+0.018658i,-0.029175+0.0202i,0.01247+0.017691i,-0.0076673+0.0069497i,-0.0074382+0.0079219i,-0.012195+0.0047115i,-0.00051532-0.0023163i,0.01075+0.008061i,0.0072828+0.011008i,-0.016988-0.0045311i,-0.0013103-0.0050423i,-0.0053392-0.00019972i,-0.0031611-0.0038556i,-0.0012329-0.0050235i,0.0051742+0.0065615i,0.0037135-0.0075938i,-0.0028177-0.0045514i,0.00061429-0.0017144i,0.0033635-0.0041473i,-0.004033-0.002809i,-0.00021435+0.0010314i,0.0023852-0.0010866i,0.014921+0.019388i,-0.0060105-0.0011869i,0.0023742-0.0029393i,-0.0033349-0.0041762i,0.0031705-0.0037724i,-0.0099892+0.008244i,0.0022596+0.00042278i,0.0022123-0.003302i,0.0014442-0.0025926i,-0.0023229-0.0039783i,0.0004298+0.0022192i,0.0034274+0.0032525i,0.0024773+0.0053503i,-0.0089999+0.0084348i,-0.016336+0.0057278i,-0.019364+0.057571i,0.0043949+0.0056944i,-0.030026-0.0054313i,-0.012645-0.010665i,0.016544+0.015086i,0.0081425+0.025223i,-0.005113-0.0014179i
0.011902+0.012824i,0.03266+0.033216i,0.038054+0.015492i,0.031307+0.01283i,0.039623+0.0085125i,0.018218-0.029346i,0.006751-0.016692i,0.027107-0.011165i,0.016176+0.0046489i,0.0045488+0.0010136i,0.0046206-0.0007869i,0.0057219+0.0019765i,0.0051399-0.00093347i,0.0053355-0.0011518i,-0.00060848-0.0037474i,0.0036483-0.0039047i,0.0012068-0.0072395i,-0.0017261-0.00088315i,-0.0012428+0.0020719i,-0.00015652-0.0007713i,-0.002193+0.00065254i,-0.0010275+0.0028795i,-0.0012719+0.0013643i,0.0072329-0.0026465i,0.0018541-0.00036851i,0.00072868-0.0014969i,0.0010463-0.00089599i,0.0013519-0.0010588i,0.00022576-4.9041e-05i,-1.5181e-05+0.0012319i,-0.0021157+0.0010238i,-0.0014269+0.0013692i,0.00045776+0.00137i,-0.00034514+0.00091992i,-0.00055054+0.0010343i,0.0018536+0.0088079i,0.000609-0.00051284i,-1.9304e-05-0.0012757i,0.0010677+0.0010931i,-0.0026971-0.0011988i,-0.00090099+0.00099389i,-0.0014969+0.0011344i,0.0028781+0.0012232i,0.0083281-0.00021131i,0.0072859+0.03304i,-0.041579+0.066496i,-0.029958+0.060409i,-0.0069848+0.063239i,0.023799+0.052061i,0.02166+0.041233i,0.0093545+0.026356i,-0.015023-0.0044924i,-0.035722+0.02526i,-0.025108+0.017556i,0.015642+0.011818i,-0.005904+0.0097045i,-0.0042622+0.011184i,-0.010785+0.007671i,-0.0042797-0.0015256i,0.013203+0.0040192i,0.01175+0.0080007i,-0.018931+0.0011425i,-0.0019196-0.0037372i,-0.0035879+0.0012217i,-0.0038829-0.0014323i,-0.0027161-0.0035726i,0.0070102+0.0032839i,0.0012051-0.0075275i,-0.004333-0.0003447i,0.0017052-0.0011506i,0.0012312-0.0057608i,-0.0046018-0.00052655i,0.0009652+0.001307i,0.0023571-0.0017202i,0.02075+0.009415i,-0.0062285+0.0017071i,0.0017762-0.0043355i,-0.0036042-0.0027756i,0.0015856-0.0058504i,-0.0044975+0.009497i,0.0034358-0.00088195i,0.0012199-0.0025273i,0.00080096-0.0022926i,-0.0024182-0.0021544i,0.00036714+0.0021361i,0.0032554+0.0010806i,0.0044797+0.0041344i,-0.0063652+0.0099882i,-0.014874+0.010778i,-0.011732+0.057537i,0.010976+0.0013032i,-0.028786+0.00032437i,-0.017745-0.01075i,0.017663+0.01009i,0.01497+0.023438i,-0.0051708-0.00055013i
0.013479+0.011188i,0.035907+0.028223i,0.039129+0.0085331i,0.032642+0.0054032i,0.040859-0.00012473i,0.012306-0.031621i,0.0029105-0.016625i,0.024255-0.015758i,0.017308+0.0017088i,0.0043037+0.00023288i,0.0041007-0.0012412i,0.006381+0.00070256i,0.0045767-0.001225i,0.0044154-0.002242i,-0.001662-0.0028834i,0.0025357-0.00364i,-0.00049747-0.0063665i,-0.0021182-0.00021945i,-0.00075206+0.0019013i,-0.00090231-0.00064517i,-0.0019386+0.0013303i,0.00012381+0.0031527i,-0.0010249+0.0018638i,0.0050114-0.0046892i,0.0012857-0.00081126i,0.00032412-0.001354i,0.00063226-0.0010286i,0.00056148-0.0012166i,4.126e-05-2.5963e-05i,0.00059227+0.001318i,-0.0012046+0.0017776i,-0.00064188+0.0018131i,0.00077567+0.00094237i,0.00010502+0.0012434i,0.00016438+0.0013516i,0.004244+0.0074439i,0.000194-0.00049889i,-0.00063314-0.0011437i,0.0014582+0.00082244i,-0.0027762-0.00022589i,-0.00051085+0.00099473i,-0.0010544+0.001464i,0.0034793+0.00057041i,0.0076484-0.0024251i,0.012416+0.028847i,-0.025515+0.06939i,-0.018296+0.065163i,0.0024604+0.062685i,0.029718+0.039114i,0.027849+0.033563i,0.0099253+0.027723i,-0.018346+0.0025831i,-0.031382+0.033114i,-0.024596+0.015301i,0.014638+0.0057732i,-0.0026309+0.011837i,0.00095884+0.011535i,-0.0087313+0.010348i,-0.0054427+0.0017171i,0.013381-0.0020351i,0.014555+0.0031666i,-0.018381+0.0072038i,-0.0021257-0.001958i,-0.0024665+0.0017176i,-0.0026313+0.00021707i,-0.003946-0.001363i,0.0069325+0.00041846i,-0.00098153-0.0066401i,-0.0027945+0.0030703i,0.0027633-0.0020475i,-0.0014067-0.0059035i,-0.0036057+0.0011181i,0.0023688+0.0002383i,0.0018676-0.0022555i,0.02102-0.00044688i,-0.0041258+0.0040637i,5.7398e-05-0.0055453i,-0.0028778-0.0019355i,-0.00083496-0.0063469i,-0.00049813+0.0085086i,0.0030353-0.0026191i,0.0013816-0.0014937i,0.0010241-0.0019553i,-0.0011842-0.0014833i,0.00075207+0.002323i,0.0020533-0.00017853i,0.0053246+0.0018104i,-0.003996+0.0098434i,-0.011059+0.015286i,-0.0034122+0.057195i,0.012782-0.0097405i,-0.025304+0.0022928i,-0.023162-0.0084696i,0.018043+0.005935i,0.020334+0.017211i,-0.0061609-0.00095854i
0.015205+0.0087789i,0.039183+0.022696i,0.039886+0.0013858i,0.032472-0.0021086i,0.04055-0.0084244i,0.0060567-0.032981i,0.00011282-0.015858i,0.020881-0.019734i,0.018022-0.0022251i,0.0037794-0.00049488i,0.0040338-0.0015879i,0.0065709-0.00077255i,0.0048358-0.0016842i,0.0033952-0.0029885i,-0.0021396-0.0020196i,0.0020116-0.0032366i,-0.0015154-0.0056556i,-0.001855+0.00043226i,-0.00032998+0.001909i,-0.0013051-0.00018708i,-0.0013159+0.0018369i,0.0014203+0.0027161i,-0.00035951+0.0022146i,0.0022521-0.0055427i,0.00107-0.00098138i,-7.8741e-05-0.0013052i,0.00022939-0.0011544i,3.6089e-05-0.0010939i,-7.8434e-06+0.00014184i,0.0010518+0.00090022i,-0.00021627+0.0019244i,0.000212+0.0018665i,0.00088975+0.00061847i,0.00074456+0.0010197i,0.00081213+0.00080735i,0.0056198+0.0055065i,2.5627e-05-0.00037365i,-0.00095279-0.00068387i,0.0014834+0.00025671i,-0.0024353+0.00046613i,-0.00026489+0.00093382i,-0.00054979+0.001468i,0.0038115-0.00027125i,0.0064114-0.0039548i,0.016222+0.024178i,-0.010915+0.067947i,-0.0046714+0.065633i,0.012121+0.060577i,0.031789+0.027266i,0.031478+0.025713i,0.013137+0.029628i,-0.016644+0.011i,-0.023245+0.041318i,-0.025765+0.016293i,0.012557+0.0025938i,0.0013116+0.011877i,0.0047445+0.0096936i,-0.0056307+0.012605i,-0.0045903+0.0040455i,0.010088-0.0081113i,0.014347-0.0030143i,-0.015889+0.011575i,-0.0013787-0.0010505i,-0.0014059+0.0014031i,-0.001597+0.00039645i,-0.0032837+0.0013672i,0.0053549-0.0014274i,-0.0023162-0.0048956i,0.00034519+0.0044747i,0.0025952-0.0036021i,-0.0034552-0.0044833i,-0.0025185+0.0018125i,0.0024486-0.0012745i,0.0017742-0.0026257i,0.01738-0.0086649i,-0.0016538+0.0046832i,-0.0021622-0.0052269i,-0.0029322-0.0014203i,-0.0031859-0.0057719i,0.0018614+0.0068186i,0.0024517-0.0036791i,0.0026366-0.0019459i,0.0011423-0.0030082i,-0.00048022-0.0019504i,0.0011817+0.0026096i,0.00088933+0.00047326i,0.0049094+0.00010303i,-0.0025135+0.0093045i,-0.0052412+0.017416i,0.0050611+0.055619i,0.0069532-0.018889i,-0.023935+0.00057511i,-0.028213-0.0030119i,0.016708+0.00024361i,0.022064+0.01055i,-0.0072036-2.6276e-05i
0.01678+0.0060804i,0.041482+0.016387i,0.038497-0.0067443i,0.029931-0.0099161i,0.038659-0.017229i,-0.00048153-0.032756i,-0.0019567-0.015079i,0.016843-0.023323i,0.017307-0.0063731i,0.0032133-0.00044002i,0.0035894-0.002205i,0.0063852-0.0028045i,0.0046354-0.0028655i,0.0022177-0.003433i,-0.0023952-0.0010644i,0.0017507-0.0031453i,-0.0026883-0.0049485i,-0.0019114+0.00090428i,0.00037936+0.0017106i,-0.0017459+0.00039956i,-0.00088457+0.0019783i,0.0022508+0.0016811i,0.00026596+0.002248i,-0.00066504-0.0050923i,0.00062787-0.0016833i,-0.00051674-0.00086112i,-0.00031729-0.0011717i,-0.00032978-0.00086252i,0.00025602+0.00020741i,0.0010608+0.00040568i,0.00082656+0.0016141i,0.00082919+0.0016823i,0.00082287+0.00021781i,0.0010572+0.00060809i,0.00079506+3.5451e-05i,0.0061941+0.0036887i,-0.00011887-0.00028079i,-0.0011484-0.00035079i,0.0013954-0.0001139i,-0.0019247+0.00084951i,-8.7303e-05+0.00091897i,-0.00017718+0.0012999i,0.0037506-0.001415i,0.0047253-0.0050326i,0.018609+0.01931i,0.0016217+0.064101i,0.0072658+0.06175i,0.021545+0.056849i,0.030351+0.01721i,0.033178+0.018995i,0.018781+0.02966i,-0.0095082+0.016419i,-0.010959+0.045376i,-0.025923+0.020036i,0.01057+0.00076919i,0.0046313+0.010096i,0.0067833+0.0065969i,-0.0019618+0.013311i,-0.0038912+0.005442i,0.0030958-0.010736i,0.010842-0.0077786i,-0.012582+0.015651i,-0.00066059-0.0014424i,-0.0010692+0.00089314i,-0.0012299+0.00031581i,-0.00089995+0.0027537i,0.0040302-0.0013649i,-0.0025243-0.0036965i,0.0031305+0.0035816i,0.001403-0.0054224i,-0.0043971-0.0027054i,-0.0013624+0.0022029i,0.0014652-0.0026913i,0.0012949-0.0036768i,0.01128-0.013233i,0.00038765+0.0043854i,-0.0034015-0.0040908i,-0.0024784-0.0011095i,-0.0047422-0.0046612i,0.0032157+0.0051635i,0.0015145-0.0050453i,0.0029385-0.0034032i,-4.9246e-05-0.0037166i,-0.0012407-0.0026538i,0.002769+0.0027026i,0.0008733+0.0017623i,0.0043915-0.00084311i,-0.0016835+0.0093538i,-4.4697e-05+0.01667i,0.013301+0.053243i,-0.001816-0.024065i,-0.026687-0.00071098i,-0.030017+0.0049717i,0.011404-0.0036519i,0.02244+0.0047871i,-0.0066362+0.00070367i
0.018018+0.002466i,0.043425+0.010493i,0.034967-0.013436i,0.024677-0.015797i,0.034011-0.025325i,-0.0061658-0.030893i,-0.003491-0.014309i,0.012037-0.025793i,0.015813-0.010298i,0.003371-0.00023346i,0.0032006-0.0023888i,0.0050016-0.0047023i,0.0039923-0.0039046i,0.0011734-0.0033353i,-0.0021451-0.00014259i,0.0013925-0.0029517i,-0.0042455-0.0034741i,-0.0015936+0.0015958i,0.00069177+0.0011046i,-0.0016652+0.0015544i,-0.00031213+0.002305i,0.0022967+0.0004441i,0.00088033+0.0021198i,-0.0026622-0.0033197i,-0.00057761-0.001497i,-0.00058341-0.00047932i,-0.00075733-0.00090249i,-0.00058926-0.00044678i,0.00028185-8.3311e-05i,0.0010348+5.9099e-05i,0.0014935+0.00090152i,0.0013488+0.001177i,0.00078811-6.1959e-05i,0.0011297+0.00022266i,0.00028219-2.2426e-05i,0.0062807+0.001911i,-0.0001493-0.00013391i,-0.0012782+0.00014504i,0.0012321-0.00030898i,-0.0012626+0.0010516i,7.6928e-05+0.00099854i,9.0536e-05+0.0011653i,0.0030359-0.0024668i,0.0029703-0.0052244i,0.019753+0.014616i,0.012103+0.058135i,0.016068+0.056347i,0.030406+0.051444i,0.02737+0.010084i,0.033722+0.012688i,0.024531+0.02721i,-0.0021753+0.016938i,0.0017682+0.045131i,-0.023696+0.024801i,0.0096223-0.00031783i,0.0071089+0.0075592i,0.0071702+0.0038839i,0.0020332+0.012627i,-0.0025971+0.0073607i,-0.0030688-0.0088048i,0.0064094-0.0096677i,-0.0075373+0.018153i,-0.0011614-0.0025317i,-0.0014594+0.00072053i,-0.0011736+0.00048633i,0.0015387+0.0024968i,0.0034715-0.0013988i,-0.0030646-0.0029509i,0.0044143+0.0015329i,-0.0015151-0.0062728i,-0.0043198-0.00091232i,-3.3651e-05+0.0017785i,0.00090155-0.0033955i,0.000156-0.0048668i,0.0049951-0.014439i,0.0019166+0.003448i,-0.0041969-0.0031679i,-0.0030684-0.0011578i,-0.0060861-0.0028702i,0.0035307+0.0038669i,-0.00040498-0.0064783i,0.002506-0.0050082i,-0.001089-0.0032034i,-0.0019679-0.0027165i,0.0036027+0.0018151i,0.0020588+0.0024413i,0.003312-0.0016151i,-0.00016928+0.0096854i,0.0040923+0.014299i,0.022153+0.049864i,-0.012566-0.025489i,-0.030374+0.0012338i,-0.027609+0.013048i,0.006672-0.0033104i,0.020603-0.0012183i,-0.0060557-0.00042095i
0.01822-0.0018206i,0.044984+0.0034106i,0.031026-0.018446i,0.019296-0.018778i,0.028018-0.031633i,-0.010616-0.028549i,-0.0046817-0.013942i,0.0072021-0.027388i,0.013451-0.01388i,0.0039126-0.00074299i,0.0031397-0.0029503i,0.003174-0.0054196i,0.0029209-0.0051212i,0.00043391-0.0031614i,-0.001668+0.00040976i,0.0012595-0.0026575i,-0.0045765-0.0013118i,-0.00090665+0.0016841i,0.00052056+0.00051877i,-0.00091156+0.0021683i,0.00046815+0.0022511i,0.001956-0.00038567i,0.0015069+0.001732i,-0.0035205-0.00084915i,-0.0010523-0.00076001i,-0.00056384-0.0002288i,-0.00098587-0.00059151i,-0.00051396-0.00010336i,-9.8563e-06-2.3733e-06i,0.00079218-0.00038306i,0.0017978+7.2527e-06i,0.0014322+0.00063107i,0.00079344-0.00030942i,0.0012557-9.1791e-05i,0.00011078+0.00030871i,0.0057536+0.00038683i,-0.00022622+8.4966e-05i,-0.0011224+0.0007263i,0.0010547-0.00066038i,-0.00062986+0.0011295i,0.00039588+0.00091216i,0.00018832+0.00089115i,0.0019404-0.0030574i,0.0015317-0.0050371i,0.019978+0.010537i,0.019522+0.050619i,0.022999+0.051208i,0.037948+0.043823i,0.024094+0.0048596i,0.033225+0.0082994i,0.029554+0.023456i,0.0037647+0.01554i,0.013148+0.04082i,-0.019285+0.02948i,0.0089546-0.0018289i,0.0085676+0.0040766i,0.0075442+0.0016599i,0.0055284+0.01047i,0.0001325+0.0078991i,-0.0066369-0.0050209i,0.0022478-0.0099334i,-0.0017993+0.018123i,-0.0028182-0.0024885i,-0.0022492+0.0018278i,-0.0010312+0.00071365i,0.0030389+0.0010972i,0.0030516-0.00066818i,-0.0033685-0.0018132i,0.004352-0.00061085i,-0.0041871-0.0048507i,-0.0033358+0.00034543i,0.00041432+0.00060571i,-2.1199e-05-0.0042398i,-0.0018566-0.0049514i,-8.6986e-05-0.013398i,0.0032167+0.001936i,-0.0052631-0.0017883i,-0.0034099-9.863e-06i,-0.0061552-0.00026699i,0.0040691+0.0031959i,-0.0035584-0.0064522i,0.0012696-0.0067252i,-0.0015577-0.0028906i,-0.0026397-0.0029514i,0.0042824+0.0012448i,0.0033013+0.0022163i,0.0023004-0.0011785i,0.0014319+0.0093768i,0.0064805+0.010879i,0.030691+0.044114i,-0.023398-0.022258i,-0.033389+0.0048942i,-0.022401+0.017685i,0.0044543-0.0019732i,0.016154-0.0054104i,-0.0082657-0.0012057i
0.016965-0.0059483i,0.045072-0.0044603i,0.026966-0.022829i,0.014754-0.02039i,0.021068-0.036475i,-0.014917-0.025994i,-0.006168-0.014391i,0.0023311-0.028266i,0.0099712-0.016825i,0.0041086-0.0016183i,0.0029316-0.0038951i,0.0014434-0.0054822i,0.0011451-0.005812i,-0.00020377-0.0030104i,-0.0013314+0.00055361i,0.0013435-0.0026302i,-0.0041796+0.00038723i,-0.00053113+0.0015091i,0.00032413+0.00035598i,-9.5412e-05+0.002347i,0.0010627+0.0020528i,0.0015317-0.0008644i,0.0018451+0.0010538i,-0.0028267+0.0014418i,-0.00090015-0.00011605i,-0.00049377+5.6843e-05i,-0.0011028-0.00026592i,-0.00051538+3.3126e-05i,7.5486e-05+0.00013675i,0.00031863-0.00062566i,0.0016845-0.00095947i,0.0015308+0.0003128i,0.00066983-0.00054464i,0.0011381-0.0007442i,0.00030713+0.0004956i,0.0051784-0.00062452i,-3.4406e-05+0.00019681i,-0.0006774+0.001213i,0.00045848-0.00082804i,0.00014381+0.00091851i,0.00068849+0.00082395i,0.00022729+0.00079302i,0.00079142-0.0029839i,0.00048525-0.0040468i,0.019757+0.0071842i,0.023834+0.044224i,0.029594+0.045798i,0.042688+0.036175i,0.020239+0.00045647i,0.034262+0.0048537i,0.033846+0.018399i,0.0097356+0.012221i,0.022509+0.033284i,-0.012179+0.03295i,0.0078904-0.0033457i,0.0079812-0.00048393i,0.007645-0.00097428i,0.0074268+0.0069961i,0.0019523+0.0071932i,-0.0081763-0.00012068i,-0.0015525-0.0086409i,0.002298+0.015313i,-0.004096-0.0011232i,-0.0018618+0.0036714i,-0.00093713+0.0010002i,0.0037918-0.00086281i,0.0041733+0.00065796i,-0.0029409-0.0008596i,0.0038771-0.0012809i,-0.0052702-0.0027231i,-0.0022649+0.0006849i,0.00011908+0.00012965i,-0.0020471-0.0048042i,-0.003525-0.003844i,-0.0041784-0.011917i,0.0035649-9.5271e-05i,-0.0055494+0.00010404i,-0.0028729+0.0010017i,-0.0051949+0.0014366i,0.0052146+0.0026595i,-0.0059923-0.0043103i,-0.0012509-0.0079408i,-0.0023988-0.0023587i,-0.0043699-0.0024182i,0.0054619-0.00042615i,0.004495+0.0018928i,0.0026324-0.00089633i,0.0034535+0.0093017i,0.0067312+0.0076995i,0.037793+0.035999i,-0.030459-0.013171i,-0.036022+0.011015i,-0.016835+0.020663i,0.0027218-0.00046376i,0.011851-0.0064407i,-0.0097184-0.00033653i
