-0.0072125-0.039881i,-0.011314-0.044041i,0.0028593-0.046173i,-0.026978-0.027708i,-0.020793+0.014141i,-0.032644-0.03332i,-0.061464-0.061817i,-0.022037-0.072902i,-0.033987-0.052412i,0.0012202+0.01548i,-0.0069832+0.010769i,-0.015634+0.014186i,0.0014927+0.016856i,-0.003863-0.0032277i,0.00040698+0.0065932i,0.00085679+0.039743i,0.019613+0.060674i,0.00078991-0.00024557i,-0.0046135-0.0085577i,0.0087759+0.0051819i,0.0017031+0.0010283i,-0.00089025+0.0033927i,0.00010135-0.001224i,-0.036834-0.0092834i,-0.0023928-0.0072291i,-2.0893e-05+0.0045344i,0.0050315+1.9812e-05i,0.00028758+0.0010508i,-0.00045514-0.00079883i,-8.0349e-05-0.0029248i,-0.0012334-0.0058982i,-0.0023889-0.0042438i,-0.00061566-0.0079927i,0.0031561-0.0012871i,0.0031577-0.0026045i,-0.0015925+0.03438i,0.0061778-0.0043271i,0.0036448-0.0023475i,0.0049642+0.00019525i,-0.013748-0.0041833i,1.6562e-06+0.00036461i,0.010154-0.00053942i,0.0061319-0.0013709i,-0.0036699+0.0038118i,0.0025482+0.0023042i,-0.0031186+0.0091852i,0.016456-0.086887i,-0.0060052-0.048324i,-0.023968-0.040078i,-0.018859-0.042027i,0.064641-0.014958i,0.028752-0.061253i,0.038872-0.044237i,0.030273-0.055777i,0.019955-0.015548i,0.0084113+0.01005i,0.025289-0.032225i,-0.0072586-0.005119i,0.0024857-0.0022214i,-0.0046422-0.0061304i,0.0015521-0.032129i,-0.024557+0.030881i,0.0085036-0.010275i,-0.011089-0.0016607i,-0.0051783-0.0012657i,-0.00087485-0.01422i,-0.0099426+0.0041954i,0.0033413+0.007962i,-0.011741+0.031457i,0.0053245+0.0077021i,-0.0054112-0.0016097i,-0.0020603-0.0022813i,-0.011763-0.0076718i,0.00049655-0.0036643i,-0.035293+0.0047957i,0.0023423-0.012537i,-0.0091306-0.0022368i,-0.006327-0.0029256i,0.0065174+0.0017917i,-0.0093374+0.0018233i,0.0012201+0.00095538i,0.0052943+0.0094416i,0.0046118+0.0003394i,-0.0093123-0.0098174i,0.0024834+0.0084899i,-0.019196+0.0062333i,0.0068017+0.0031557i,-0.028652-0.0087138i,-0.034719+0.0023175i,0.026266-0.07759i,0.012603-0.0093723i,-0.042386-0.02786i,-0.022996-0.0039894i,0.017683+0.012829i,-0.026678+0.011484i,-0.011299-0.0090063i
-0.013141+0.019567i,0.011686+0.048777i,0.025939+0.04681i,-0.00018599+0.018019i,-0.0026524+0.0077805i,0.027532+0.0027668i,0.01279+0.018439i,0.011221+0.045991i,0.0044284+0.020095i,-0.0028145+0.0052176i,0.0011838+0.0014734i,0.0028323-0.0044336i,0.0028647-0.002631i,0.0035444-0.00023265i,0.0031653-0.0025435i,0.0051126-0.0015331i,0.013372-0.0069433i,-0.00047389-0.00042089i,-0.0048753+0.00042718i,-0.00012053+0.0024845i,-0.00056514-0.0011175i,-0.0051545-0.0019157i,-0.0026206+0.00066659i,0.004665+0.008084i,0.0018448+0.0015888i,0.0024323+0.00083252i,0.0020001+0.0015834i,-0.0015392+0.0033789i,-0.0005516+0.001039i,-0.00070701+0.0011758i,0.00045015-0.0040257i,-0.0011233-0.0013046i,-0.00052542-0.00045065i,-5.5549e-05+0.00085483i,-0.00037153-0.0020394i,-0.0057955+0.010592i,0.0030956+7.5221e-05i,0.00084123+0.00012719i,-0.0007396+0.0026133i,-0.00029305-0.0031125i,-0.0021675+0.00048287i,-0.0022118-0.0018615i,0.00096851+0.0089901i,0.0034056+0.00066824i,-0.027861+0.021395i,-0.057539+0.024653i,-0.031248+0.046084i,-0.019554+0.032523i,-0.0049543+0.0503i,-0.0084977+0.032336i,0.0084062+0.010241i,-0.0066229-0.0071298i,-0.03826-0.0076445i,-0.042165+0.016132i,0.009415+0.021636i,-0.0017623+0.0030699i,-0.0054998+0.0020316i,-0.011859-0.0033924i,0.0099275+0.0017611i,0.012412+0.015248i,-0.0027046+0.0078282i,-0.0068337-0.011962i,0.0057013-0.0029941i,-0.0049821-0.0044186i,0.0041914-0.0076307i,0.0053005-0.0025647i,-0.0010177+0.0098754i,0.012866-0.0048953i,0.0075664-0.0066716i,0.0052802-0.0070577i,0.0034231-0.00054027i,-0.0029181-0.0064296i,-0.0038049-0.0015839i,0.0028713-0.0012558i,-0.013133+0.036285i,-0.005698-0.0050429i,0.0014318+0.00079505i,-0.00056039-0.0075659i,0.0032509-0.0011285i,-0.014415-0.004965i,0.0013576-0.00049719i,0.0031442-0.0032288i,0.0024262-0.0020516i,0.0001102-0.0060127i,-0.001231+0.0068035i,-0.00043086+0.0030024i,-0.0024747+0.0055697i,-0.011339-0.0020278i,-0.0091353+0.0029095i,-0.040123+0.039114i,-0.0079847+0.016273i,-0.023268-0.0054347i,-0.00025613-0.0011017i,0.0097699+0.020047i,-0.0014444+0.019752i,-0.0059991-0.00066224i
-0.010618+0.019198i,0.018961+0.044499i,0.03402+0.041379i,0.0039799+0.020015i,0.0014249+0.0081462i,0.027597-0.0031893i,0.014238+0.015145i,0.019102+0.041612i,0.0069765+0.018799i,-0.00098806+0.0053088i,0.0018694+0.0013384i,0.00032426-0.0033123i,0.0014741-0.002737i,0.0033668-0.00039562i,0.0023863-0.0029986i,0.0041452-0.0014932i,0.0096683-0.00948i,0.00022401-0.00012038i,-0.0047632+0.0010019i,0.00087375+0.0014297i,-0.0010516-0.0013397i,-0.0054402-0.00044005i,-0.0023665+0.00079716i,0.0085042+0.0048866i,0.0016465+0.0018227i,0.0029426-0.00029162i,0.0021744+0.00057801i,-9.6033e-05+0.0035538i,-0.00072442+0.0016529i,-0.00047723+0.0014637i,-0.0012274-0.0036339i,-0.0017445-0.0011527i,-0.00091989-0.00030056i,0.00037654+0.00054858i,-0.0013117-0.00040962i,-0.0019905+0.011153i,0.0026009-0.0010815i,0.00086557+2.4549e-05i,0.00061158+0.0022304i,-0.00088949-0.0024942i,-0.0017797+0.00072031i,-0.0028784-0.00087248i,0.00301+0.0092203i,0.0025223+0.00024658i,-0.022846+0.025726i,-0.049731+0.03365i,-0.0253+0.051022i,-0.012291+0.034165i,0.0085077+0.046357i,0.00093796+0.029937i,0.0038077+0.0035731i,-0.013469-0.010759i,-0.041819-0.0060286i,-0.033558+0.016692i,0.014279+0.017592i,-0.0022996+0.0034782i,-0.0044252+0.0063121i,-0.012204+0.0015719i,0.0083699-0.0018628i,0.015115+0.011823i,0.0012953+0.011486i,-0.012511-0.0099068i,0.0022322-0.0038856i,-0.004751-0.0016857i,-0.00065346-0.0073768i,0.0035279-0.0044166i,0.0037265+0.0075288i,0.008608-0.0082195i,0.0030137-0.00831i,0.0019837-0.0051514i,0.0042507-0.0015868i,-0.0043635-0.0047483i,-0.00195+0.00077178i,0.0030805-0.0017466i,0.0061677+0.036691i,-0.0070185-0.0037587i,0.0021574-0.00097203i,-0.0040204-0.0065221i,0.0036647-0.0019536i,-0.014069+0.0017812i,0.0015505-0.00010297i,0.0014706-0.002902i,0.0024244-0.0033473i,-0.001698-0.0056796i,0.0011842+0.0036584i,0.00098941+0.0025633i,0.00060182+0.006313i,-0.010766+0.001771i,-0.0086524+0.0044516i,-0.031854+0.040571i,-0.0049727+0.019195i,-0.024822-0.0003753i,-0.0014122-0.0054918i,0.012617+0.019246i,0.0026201+0.021719i,-0.0084067-0.00077578i
-0.0090242+0.019259i,0.024753+0.03912i,0.042297+0.033236i,0.011105+0.018479i,0.0060346+0.0068297i,0.026221-0.0093516i,0.014769+0.011698i,0.026005+0.035551i,0.010138+0.018181i,0.00012016+0.005097i,0.0022373+0.00032976i,-6.9499e-05-0.0013414i,6.0936e-05-0.0026926i,0.0034352-0.00096743i,0.0015284-0.0030985i,0.0033363-0.0014439i,0.0061868-0.010614i,0.00029566-0.00061058i,-0.0047195+0.002557i,0.00080955+0.00014416i,-0.0020444-0.0014263i,-0.0052203+0.0011653i,-0.0024314+0.0010941i,0.0089398-5.9997e-06i,0.00258+0.0013769i,0.0023607-0.001588i,0.0020018-0.00015796i,0.0015072+0.0029031i,0.0004226+0.0019637i,-0.00016003+0.0017239i,-0.0026015-0.002486i,-0.0023478+7.3341e-05i,-0.00091821+0.00024917i,0.00028605+0.0001214i,-0.00078953+0.000633i,0.0012957+0.010601i,0.0017589-0.0016133i,0.00081544-0.00054327i,0.0010559+0.0013329i,-0.0015768-0.002076i,-0.001614+0.00089734i,-0.0029074+0.00023128i,0.0056211+0.0090909i,0.0024239+0.00023356i,-0.016187+0.028685i,-0.040966+0.040764i,-0.016905+0.055144i,-0.0044454+0.032952i,0.020165+0.038165i,0.0090174+0.027714i,-0.0027426+0.001001i,-0.0201-0.0098771i,-0.045388-0.00062448i,-0.027251+0.0145i,0.017281+0.011574i,-0.002392+0.0040738i,-0.0024021+0.0076176i,-0.011524+0.0054957i,0.0052142-0.0055649i,0.017533+0.0074798i,0.0067245+0.011839i,-0.016238-0.0057804i,0.001031-0.0021977i,-0.004137+0.00051939i,-0.0030905-0.0051287i,0.0013106-0.0047281i,0.0055597+0.0061319i,0.0053315-0.0088612i,-0.0019045-0.0070036i,0.0015212-0.0034853i,0.00403-0.0040595i,-0.006237-0.002773i,-0.00033376+0.00059785i,0.0018934-0.0027727i,0.021642+0.027773i,-0.0085635-0.0011418i,0.0019792-0.0020322i,-0.0041352-0.0042025i,0.0041142-0.0038383i,-0.010348+0.0068995i,0.0027243-0.00014747i,0.00014263-0.0030786i,0.00094855-0.003525i,-0.0036365-0.0040327i,0.00028664+0.0024811i,0.0019401+0.0014943i,0.0035382+0.0055205i,-0.0094917+0.0042575i,-0.0081003+0.0066764i,-0.025728+0.040879i,0.0025237+0.020275i,-0.024242+0.0038943i,-0.0040947-0.009021i,0.017341+0.015981i,0.0085846+0.023109i,-0.010103+0.0011919i
-0.0074052+0.019846i,0.028339+0.033792i,0.047051+0.022491i,0.016311+0.012931i,0.0096158+0.0029711i,0.022877-0.014611i,0.014616+0.0093225i,0.030331+0.028076i,0.01415+0.015861i,0.0010183+0.0050608i,0.0018711+7.269e-05i,0.00063123-0.00052783i,-0.0014895-0.001406i,0.0029927-0.001396i,0.00069866-0.003118i,0.0029362-0.0010186i,0.002562-0.010332i,0.0002592-0.00068117i,-0.0029389+0.0037918i,-7.674e-05-0.00041581i,-0.0027425-0.00042107i,-0.0045548+0.0029873i,-0.0022247+0.0017069i,0.0068224-0.0035811i,0.0026308+0.00038145i,0.0012519-0.0019898i,0.0015994-0.00069605i,0.0020156+0.0017243i,0.0011714+0.0010831i,0.00047735+0.0020767i,-0.0032165-0.00070303i,-0.0018652+0.0012124i,-0.00066563+0.00049677i,-3.8208e-05+9.9301e-05i,-0.00017472+0.00093075i,0.0041967+0.0092752i,0.0011828-0.0019269i,0.00029924-0.00088875i,0.00093367+0.0011758i,-0.0020473-0.0015434i,-0.0012648+0.00124i,-0.0026365+0.0010434i,0.0082839+0.0078051i,0.0024283-3.6965e-05i,-0.00902+0.028749i,-0.030674+0.045688i,-0.0077572+0.057919i,0.00035302+0.030502i,0.028712+0.026315i,0.016435+0.021211i,-0.010081+0.0030283i,-0.027233-0.0056988i,-0.047469+0.0074169i,-0.024024+0.010785i,0.018045+0.004893i,-0.0018562+0.0054066i,-1.0712e-05+0.0097738i,-0.0094226+0.0091177i,-0.00044163-0.0058278i,0.019445+0.00083797i,0.012092+0.0093934i,-0.018519-0.00040922i,0.00059337-0.0019996i,-0.002764+0.0017307i,-0.0041221-0.0018908i,-0.00020175-0.0043064i,0.0075646+0.0028911i,0.0024827-0.0090697i,-0.0047149-0.0027256i,0.0018228-0.0029985i,0.0019417-0.0060576i,-0.0063135+0.00046408i,0.00080661+0.00058887i,0.001036-0.0028832i,0.030196+0.013617i,-0.0083011+0.0029207i,0.0016205-0.0032676i,-0.0041974-0.0023928i,0.0024838-0.0064401i,-0.00522+0.0084819i,0.0036923-0.0016299i,-0.0010556-0.0020455i,2.6988e-05-0.0032119i,-0.0035916-0.0015153i,-0.00017712+0.0028788i,0.0019008+0.00010626i,0.0059751+0.0037759i,-0.008054+0.0060297i,-0.0069691+0.0087718i,-0.020238+0.04266i,0.01287+0.015492i,-0.021968+0.007979i,-0.0099711-0.010725i,0.019315+0.010615i,0.01562+0.021144i,-0.0090738+0.0025878i
-0.0051549+0.020603i,0.031899+0.029579i,0.048744+0.012505i,0.018793+0.0063419i,0.010434-0.0021389i,0.01917-0.018482i,0.014661+0.007983i,0.03247+0.021316i,0.017648+0.012262i,0.002067+0.0048757i,0.0017184+0.00011674i,0.0015166-0.00058444i,-0.0016157+0.00068678i,0.0025253-0.0018954i,-9.2532e-05-0.0025664i,0.0030966-0.00048987i,-0.000169-0.0089199i,-9.1561e-05-0.00069493i,-0.0015257+0.0037193i,-0.00083793-0.00021139i,-0.0027735+0.00051813i,-0.0026714+0.0042657i,-0.001537+0.0022528i,0.0039286-0.0053379i,0.0023312-0.00041676i,0.00054064-0.0021361i,0.0011268-0.001083i,0.001816+0.00082089i,0.00093725+0.00036319i,0.001533+0.0019362i,-0.0026332+0.00070126i,-0.0010684+0.0018219i,-0.00049012+0.00055113i,0.00013184+0.00078637i,0.00044651+0.0010886i,0.0064512+0.0073147i,0.00036344-0.0019953i,-0.00023772-0.0007347i,0.0017131+0.00099086i,-0.0023452-0.00094328i,-0.00095592+0.0011554i,-0.0021645+0.0017903i,0.010364+0.0051614i,0.0019471-0.00064202i,-0.0039148+0.026814i,-0.019426+0.04762i,0.0038147+0.058903i,0.0050297+0.029007i,0.031062+0.013273i,0.019635+0.013525i,-0.013704+0.010263i,-0.031657+0.0035564i,-0.047438+0.018041i,-0.025181+0.0079089i,0.015302-0.00071433i,-0.00015664+0.0064353i,0.0046194+0.0095078i,-0.0064348+0.011816i,-0.0033965-0.0024998i,0.017516-0.0073213i,0.015849+0.0045354i,-0.018791+0.005595i,0.00037811-0.0006381i,-0.0015895+0.0023261i,-0.0024671+0.00015597i,-0.0021707-0.0030096i,0.0071214+0.00029305i,-0.00032568-0.0085905i,-0.003995+0.001313i,0.0025256-0.0033536i,-0.00074969-0.0066256i,-0.0043613+0.0024639i,0.0019151-0.00014227i,0.00038715-0.0023797i,0.031038-0.00094216i,-0.0051048+0.0058682i,0.00023769-0.0042151i,-0.0033962-0.0017332i,-8.8045e-05-0.0073158i,-0.0016473+0.0076858i,0.002956-0.0033087i,-0.0010822-0.00033521i,-6.7145e-05-0.0024538i,-0.0019585-0.00075193i,0.00089428+0.0037026i,0.00069255-0.00083668i,0.0062285+0.00084109i,-0.0065846+0.0066715i,-0.0045314+0.010954i,-0.013332+0.043671i,0.017963+0.0031927i,-0.017267+0.0093664i,-0.016366-0.0092915i,0.020157+0.0054886i,0.021096+0.014468i,-0.0093756+0.0025984i
-0.0025467+0.02058i,0.035792+0.024601i,0.049305+0.0029832i,0.019417-0.00059229i,0.0099407-0.0062808i,0.014917-0.021743i,0.015909+0.0067809i,0.033752+0.014983i,0.020485+0.0073307i,0.0028908+0.0042839i,0.002181+4.3264e-05i,0.002031-0.00096863i,-2.5834e-05+0.0021941i,0.0019892-0.0021236i,-0.00027354-0.0021391i,0.003748-0.00021207i,-0.001371-0.0078777i,0.00024696-0.00080269i,-0.00058357+0.0035977i,-0.0012188+0.00028222i,-0.0021914+0.0012373i,-0.00046543+0.003952i,-0.0008022+0.0023902i,0.00062865-0.0058149i,0.0021425-0.0010569i,-0.0004021-0.0021266i,0.00052219-0.0012709i,0.0016756+0.00042868i,0.00080022+0.00021086i,0.0021389+0.0010015i,-0.0018534+0.0015497i,-0.00022382+0.0020467i,-0.00036406+0.00088146i,0.00078904+0.00032536i,0.00093434+0.00021238i,0.0074205+0.0049451i,-0.00030935-0.0018765i,-0.00038037-0.00032739i,0.001511-4.3546e-05i,-0.0022088-0.00048732i,-0.001026+0.0013391i,-0.0015091+0.0021536i,0.011286+0.0023772i,0.0013126-0.00056678i,0.00019986+0.024375i,-0.0093259+0.046393i,0.015721+0.055269i,0.010147+0.026999i,0.029476+0.0019408i,0.019741+0.006827i,-0.011628+0.018396i,-0.030477+0.015493i,-0.041834+0.031056i,-0.028288+0.008813i,0.01153-0.003616i,0.0018318+0.0061891i,0.0075631+0.0069832i,-0.0025081+0.014032i,-0.0037845+0.00015051i,0.011566-0.014325i,0.016278-0.0023114i,-0.016597+0.010476i,0.001413-0.00036407i,-0.00030891+0.0022792i,-0.00086232+0.00021609i,-0.0023563-0.00056034i,0.0056548-0.0013306i,-0.0021658-0.0070574i,-0.0013589+0.0035056i,0.0020724-0.0048997i,-0.0032227-0.0053465i,-0.0028187+0.0027429i,0.0020317-0.0017429i,0.0008104-0.0020067i,0.025587-0.013419i,-0.0015677+0.0064221i,-0.0014562-0.0039323i,-0.0033508-0.0011472i,-0.0028728-0.0068674i,0.00056739+0.0065656i,0.0023109-0.0044537i,0.00026651+0.00029015i,-0.00017198-0.003143i,-0.00085192-0.0011739i,0.0022686+0.0038504i,-0.0004235-0.00017215i,0.0054013-0.00074085i,-0.0056232+0.0070335i,-0.00088877+0.01188i,-0.0064808+0.043585i,0.014517-0.0080173i,-0.014225+0.0064954i,-0.021929-0.0042219i,0.018598-0.0012593i,0.022096+0.0073086i,-0.0098492+0.004086i
0.00010325+0.020432i,0.038716+0.018467i,0.047643-0.0074638i,0.016757-0.0084174i,0.0084528-0.010763i,0.0099697-0.023872i,0.01799+0.0045028i,0.034101+0.0088773i,0.021194+0.001554i,0.0034971+0.0041375i,0.0022094-0.00047993i,0.0023213-0.002342i,0.001581+0.0022254i,0.0013507-0.0022968i,-0.00026991-0.0018i,0.0046443-0.00072568i,-0.0026825-0.0070894i,-0.0003925-0.0012266i,0.00066695+0.0032231i,-0.0014654+0.0010302i,-0.0018898+0.0015134i,0.00064868+0.0027429i,-0.00040237+0.002312i,-0.0024554-0.00469i,0.0014086-0.0023225i,-0.001263-0.0014639i,-0.00016629-0.0012655i,0.0016011+0.00013746i,0.00097386-5.2385e-05i,0.0020944-6.1468e-05i,-0.00066433+0.0020122i,0.00051553+0.0020466i,-0.00024194+0.0011755i,0.00064929+3.1157e-07i,0.00049159-0.00072758i,0.0076726+0.0029336i,-0.0010702-0.0014318i,-0.00038714-0.00016593i,0.0012066-0.00024361i,-0.0018263-0.00023258i,-0.00078088+0.0018198i,-0.00072703+0.0024631i,0.01166-0.00089263i,0.0010098-0.0001581i,0.0032486+0.021818i,-0.00075806+0.04346i,0.025031+0.048425i,0.015244+0.024141i,0.024903-0.0072625i,0.018121+0.0024047i,-0.0056055+0.023445i,-0.021799+0.025114i,-0.029541+0.039991i,-0.030178+0.013463i,0.0079888-0.0044321i,0.0034421+0.005041i,0.0088606+0.0034692i,0.0023463+0.013932i,-0.0039078+0.0020137i,0.0012122-0.016797i,0.013062-0.0078801i,-0.013587+0.014117i,0.0021476-0.0016436i,0.00057003+0.001573i,-0.00061196-0.00044183i,-0.00082701+0.00074118i,0.0044013-0.0013827i,-0.0033085-0.006016i,0.0012171+0.0035131i,0.00042576-0.0063085i,-0.0046108-0.0035453i,-0.0013372+0.0030453i,0.001061-0.0030492i,0.00098506-0.0027989i,0.016152-0.020659i,0.00096367+0.0055467i,-0.0023929-0.0030876i,-0.0028738-0.00092119i,-0.0049286-0.0057684i,0.0018545+0.0052043i,0.0013248-0.0060927i,0.0013249-0.00032603i,-0.0011684-0.0031965i,-0.0011265-0.0021114i,0.0040272+0.0036556i,-0.00071709+0.0011647i,0.0047419-0.0018549i,-0.0048808+0.0079101i,0.0023409+0.010947i,0.00039585+0.043033i,0.0073748-0.015776i,-0.016049+0.0028949i,-0.023835+0.0033282i,0.012797-0.0059918i,0.022018+0.0012899i,-0.0080598+0.0052911i
0.0028737+0.019567i,0.040844+0.012653i,0.043039-0.016258i,0.010513-0.013539i,0.0049247-0.014566i,0.0051829-0.024591i,0.020081+0.00099847i,0.033371+0.0032325i,0.020537-0.0044122i,0.0048038+0.0039605i,0.0020733-0.0005068i,0.0010078-0.0035685i,0.0030037+0.0015316i,0.00082448-0.0022114i,-2.6378e-05-0.0018853i,0.0051135-0.0015204i,-0.0047815-0.0055975i,-0.0010102-0.00088682i,0.0014711+0.0022383i,-0.000984+0.0020792i,-0.0014211+0.0019878i,0.00073579+0.0013671i,7.3007e-06+0.0023765i,-0.0042226-0.0021513i,-0.00040689-0.0024203i,-0.0015902-0.00063952i,-0.00065801-0.00094387i,0.0014539-5.5178e-05i,0.00052874-0.00061206i,0.0016289-0.00077232i,0.00048681+0.0017765i,0.0011308+0.0016728i,0.00035172+0.0013965i,0.00052751+5.2496e-06i,-0.00025696-0.00027322i,0.0074708+0.0010249i,-0.0014615-0.00071519i,-0.00042387+0.0002357i,0.0012409-0.00026849i,-0.0013995-0.0002593i,-0.00015277+0.0023111i,8.4932e-05+0.0024435i,0.010485-0.0042218i,0.00090114+0.00032357i,0.0057472+0.018962i,0.0062395+0.039008i,0.031184+0.04099i,0.020177+0.019905i,0.018635-0.012836i,0.016023-0.00034956i,0.0012896+0.025504i,-0.011522+0.028353i,-0.015506+0.043301i,-0.029003+0.019662i,0.0063955-0.0041677i,0.0045986+0.0035115i,0.0083232+0.00044617i,0.0070545+0.011499i,-0.0032234+0.0044487i,-0.0079093-0.012755i,0.0084353-0.010844i,-0.0096987+0.017099i,0.0012327-0.0034057i,0.00081661+0.00094132i,-0.00094537-0.00045784i,0.00098985+0.00093909i,0.0041983-0.0016927i,-0.0046729-0.0045804i,0.0031185+0.0021162i,-0.0026537-0.0066935i,-0.0050732-0.0015557i,0.00025527+0.0021654i,0.0002604-0.0036555i,0.00044039-0.0040146i,0.0062223-0.02258i,0.0026696+0.0043833i,-0.002853-0.0024801i,-0.0036677-0.00093487i,-0.0067275-0.0036248i,0.0022605+0.0042514i,-0.0011671-0.0076865i,0.0020409-0.0012803i,-0.0016647-0.0023725i,-0.001564-0.0021993i,0.0051442+0.0026556i,-0.00011682+0.0021993i,0.0031541-0.0027731i,-0.0039197+0.0091189i,0.0048566+0.0089654i,0.0084855+0.041515i,-0.0031663-0.019984i,-0.020006+0.0027883i,-0.021348+0.010785i,0.0072289-0.0060447i,0.019151-0.0053513i,-0.0063668+0.0038109i
0.0052445+0.018029i,0.042571+0.0058557i,0.037634-0.022596i,0.0045919-0.014354i,0.00058821-0.01664i,0.0011444-0.024747i,0.021271-0.0040834i,0.032354-0.0017298i,0.018036-0.0096631i,0.0063005+0.0027263i,0.002603-0.00084083i,-0.00049132-0.0032871i,0.0037032-0.00023161i,0.00049513-0.0021329i,-0.0002765-0.0021886i,0.0054938-0.00233i,-0.0054888-0.0030529i,-0.001032-0.00089323i,0.0014107+0.0012169i,8.1221e-05+0.0023764i,-0.00082744+0.002184i,0.00030336+0.00049586i,0.00052378+0.0023124i,-0.00459+0.00093409i,-0.0013268-0.0012998i,-0.0015477+8.5966e-05i,-0.00087328-0.00055789i,0.0011956-0.00031636i,-9.1925e-05-0.00019878i,0.00093735-0.0013208i,0.0013335+0.0010939i,0.0015353+0.0012135i,0.0010616+0.0010907i,0.00074086-0.00010475i,-0.00015067+0.00050255i,0.0067401-0.00066212i,-0.001651+7.7112e-05i,-0.00011959+0.00044791i,0.0011789-0.00086417i,-0.0011545-0.0004046i,0.00075333+0.0022057i,0.0007897+0.0020713i,0.0081847-0.0067402i,0.00107+0.00074761i,0.0069698+0.016184i,0.010664+0.033682i,0.035784+0.033769i,0.023551+0.013694i,0.012512-0.015904i,0.014422-0.0004487i,0.0089115+0.025474i,-0.0021098+0.029045i,-0.0023312+0.041649i,-0.025392+0.025913i,0.0053313-0.0048459i,0.0053014+0.0014155i,0.0077733-0.0017843i,0.010325+0.0074969i,-0.00072613+0.0053486i,-0.012517-0.0056471i,0.0033257-0.011998i,-0.0044522+0.018357i,-0.00064483-0.0038194i,0.00027177+0.00084116i,-0.0011772-7.4038e-05i,0.0021542-7.4112e-05i,0.0036665-0.0014299i,-0.0051255-0.0024024i,0.0035646+0.00035598i,-0.0051916-0.0047583i,-0.0041935+0.00018284i,0.0005371+0.00069136i,-0.0006412-0.004292i,-0.0010911-0.004474i,-0.0024104-0.020824i,0.0042734+0.0023298i,-0.0038293-0.0016147i,-0.0041359+0.00063835i,-0.00696-0.00064043i,0.0030339+0.0038388i,-0.0048291-0.0075246i,0.002305-0.0027974i,-0.0018099-0.0021675i,-0.0022435-0.0027878i,0.0064212+0.0014236i,0.00096937+0.0026306i,0.0017271-0.0020076i,-0.0020844+0.0096787i,0.0064443+0.0065628i,0.016274+0.037226i,-0.014819-0.017953i,-0.023458+0.0050527i,-0.015863+0.014519i,0.004162-0.0044672i,0.013413-0.0090427i,-0.0078098+0.0029232i
0.0068748+0.01653i,0.04291-0.0016122i,0.032243-0.02791i,0.00056825-0.013673i,-0.0038201-0.017377i,-0.0032181-0.024872i,0.020644-0.010287i,0.031161-0.0068713i,0.014081-0.013857i,0.007108+0.00091807i,0.0028854-0.0018793i,-0.0014561-0.0023688i,0.0031038-0.0018593i,0.0002211-0.0019807i,-0.00092215-0.0024887i,0.0057842-0.0036681i,-0.0052049-0.00095873i,-0.0014724-0.00098939i,0.0012811+0.00074147i,0.00099484+0.0021655i,-0.00031996+0.0023554i,-0.00036198+0.00041842i,0.00088972+0.0020672i,-0.0032226+0.0036191i,-0.0011968-0.00018991i,-0.0013258+0.00082157i,-0.0010007-0.00020015i,0.00088053-0.00042758i,-8.7138e-05+5.32e-05i,1.4314e-05-0.0014197i,0.0017212+0.00017587i,0.0018927+0.00068144i,0.00138+0.00063605i,0.00065408-0.00081448i,0.00052322+0.00076168i,0.0058662-0.0019477i,-0.0013657+0.00079945i,0.00023034+0.00049917i,0.0001646-0.0011925i,-0.00083879-0.00066584i,0.0015274+0.001881i,0.0012633+0.0016298i,0.0053482-0.0076086i,0.0015303+0.0015103i,0.0076561+0.014311i,0.013022+0.02971i,0.039159+0.026435i,0.024441+0.0084224i,0.0062806-0.017617i,0.015882+7.7074e-05i,0.015964+0.022343i,0.0082952+0.026617i,0.0095568+0.0359i,-0.017897+0.030864i,0.0038334-0.0055569i,0.0046292-0.0017202i,0.0068027-0.0042824i,0.010787+0.0023514i,0.00064194+0.0046427i,-0.013266+0.002145i,-0.0016583-0.01096i,1.875e-05+0.01655i,-0.0024643-0.0030167i,-1.5597e-05+0.0015602i,-0.0011723+0.00043259i,0.0029237-0.0014835i,0.0045184-0.0007281i,-0.004179-0.00071367i,0.0036425-0.00024773i,-0.0060803-0.0024036i,-0.0030609+0.00098034i,0.00011611+0.0002749i,-0.0030139-0.004871i,-0.002509-0.0037351i,-0.0093664-0.017261i,0.0043914-0.0004847i,-0.0041531-0.00022295i,-0.0029187+0.001895i,-0.0061744+0.001605i,0.0043397+0.0032297i,-0.0076366-0.005027i,0.0011627-0.0044869i,-0.0025478-0.0017057i,-0.0040322-0.0025273i,0.0072885-0.0013269i,0.002303+0.0028443i,0.0021526-0.0014417i,0.00030021+0.010376i,0.0065971+0.0040046i,0.022721+0.03103i,-0.021687-0.0098625i,-0.026426+0.0098568i,-0.010249+0.016115i,0.0019374-0.0025791i,0.008504-0.008887i,-0.0085775+0.0033211i
