-0.023902-0.037422i,-0.01155-0.050145i,-0.01779-0.044847i,-0.030532-0.035398i,-0.030032-0.016324i,-0.050443-0.0276i,-0.056782-0.027226i,-0.04347-0.036245i,-0.029583-0.032272i,0.008217+0.01234i,-0.0053194+0.015205i,-0.0047866+0.014451i,0.010015+0.021271i,0.00038392+0.004219i,0.0033722+0.003375i,0.0066343+0.018452i,0.019298+0.04122i,-0.0027622-0.0011025i,-0.0047359-0.0061598i,0.0071784+0.002732i,-0.00018045-0.0007483i,-0.0018495+0.0028111i,0.00010278-0.00024941i,-0.028936-0.0032842i,-0.0013896-0.0059429i,0.0015943+0.0046291i,0.0032137-0.00019113i,-0.00062066+0.00060807i,0.00063055-0.0004616i,-0.00072818-0.0026691i,-0.001941-0.00577i,-0.0045967-0.0049666i,-0.0022766-0.0045337i,0.0022141-0.00045314i,0.0020452-0.0029647i,-0.0012205+0.026637i,0.0012167-0.0031585i,0.0027137+0.00082686i,0.0057046+0.001013i,-0.010155-0.0024875i,-0.0037042+0.00019701i,0.0056097+0.00047004i,0.0059544-0.00026767i,-0.0036101+0.0047941i,0.0017998-0.0095426i,-0.011962+0.01783i,0.035869-0.090441i,0.01235-0.069939i,-0.015631-0.059992i,-0.015719-0.05617i,0.039596-0.045701i,0.017552-0.061857i,0.033214-0.055975i,0.030469-0.059371i,0.015754-0.013404i,0.0046507+0.016708i,0.016916-0.026548i,-0.011537+0.005404i,-0.00050641+0.005415i,-0.0052263-0.0016525i,-0.0023382-0.028832i,-0.02423+0.03149i,0.010114-0.011346i,-0.013022-0.0028077i,-0.00025694-0.0049813i,-0.00098726-0.015661i,-0.0081323+0.0044462i,0.0046933+0.0061564i,-0.0091518+0.029737i,0.0048798+0.0060795i,-0.0051621-0.00072472i,-0.0031375-0.00048664i,-0.012715-0.0087322i,-0.00097146-0.0039152i,-0.028299+0.0027136i,0.00018179-0.0099827i,-0.0095823-0.0016854i,-0.0067366-0.0024062i,0.006889+0.003256i,-0.0078833+0.0015624i,-0.00013982+0.00059068i,0.0072274+0.011702i,0.0037043+0.0014877i,-0.0093024-0.0099484i,0.0033001+0.0080741i,-0.021944+0.005612i,0.0082127+0.00034634i,-0.028819-0.003752i,-0.041236+0.0029272i,0.021257-0.097171i,-0.0020622-0.012379i,-0.051141-0.020469i,-0.023723-0.00043624i,0.018267+0.010631i,-0.024808+0.01308i,-0.019341-0.012951i
0.0083238+0.021776i,0.014676+0.051316i,0.024381+0.035306i,0.01714+0.027525i,0.024321+0.026857i,0.032549-0.01456i,0.01775-0.0088037i,0.02898+0.0050043i,0.011178+0.013501i,0.002843+0.0038049i,0.0051937+0.0029089i,0.0043398+0.0033176i,0.0059661+0.0027449i,0.0049667+0.0036046i,0.0028994-0.0034285i,0.0082596-0.00099826i,0.011126-0.0047436i,-0.0016169-0.0013681i,-0.003488+0.00068411i,8.4334e-05+0.0012997i,-0.0010303-0.00014088i,-0.0025929+0.0011719i,-0.0020126+0.001024i,0.004277+0.0082703i,0.0014158+0.00080043i,0.0023797+0.00058899i,0.0018491+0.001135i,0.001165+0.0012523i,0.00058267+0.00021393i,-0.00049874+0.00081784i,-0.0022105-0.0036065i,-0.00078045-0.00044121i,-0.00097404+0.00078541i,-0.0010667+0.00014961i,-0.00038363-0.0015572i,-0.0068171+0.0075114i,0.0011124+0.0003567i,0.0013174-0.00045497i,-0.00078013+0.0022987i,0.00013406-0.0034554i,-0.0010185+0.00030201i,-0.0017463-0.00068234i,0.0019105+0.00084746i,0.0066751+0.0065645i,-0.011245+0.032057i,-0.081048+0.035129i,-0.051435+0.037673i,-0.037239+0.059669i,-0.01968+0.072652i,-0.0086873+0.050396i,0.018174+0.037353i,0.0028457-0.0012094i,-0.035546+0.010592i,-0.046324+0.019075i,0.0019003+0.024006i,-0.0078612+0.0024848i,-0.010461-0.00064714i,-0.013913-0.001912i,0.0023227+0.00055775i,0.0068539+0.011025i,-0.0016022+0.0086341i,-0.0056715-0.01146i,0.0054122-0.0068134i,-0.0065329-0.0068615i,0.0019747-0.0061378i,0.0038378-0.0044396i,-0.0017805+0.0098018i,0.010299-0.0048821i,0.0052547-0.0047949i,0.0029535-0.0068069i,0.0031001-0.00043307i,-0.0012279-0.0044629i,-0.0037657-0.00099027i,0.0025784-0.00029658i,-0.01503+0.021073i,-0.0043705-0.0039479i,0.0019688+0.0003031i,0.00022674-0.0068088i,0.0021821-0.0013973i,-0.014188-0.0029042i,0.00067126+0.00013066i,0.0050483-0.0031148i,0.0029424-0.00075812i,0.00064101-0.0045718i,-0.00011928+0.005891i,-0.0011171+0.0068237i,-0.0032144+0.004274i,-0.011922+0.0028915i,-0.015148-0.0015887i,-0.039743+0.056596i,0.00049945+0.0045149i,-0.027006-0.018831i,-0.0078151-0.0006257i,0.0095242+0.020505i,-0.0011711+0.022175i,-0.00048131-0.0010127i
0.010994+0.018074i,0.022789+0.046625i,0.030127+0.030821i,0.022042+0.025256i,0.030109+0.022816i,0.029198-0.020346i,0.015046-0.012192i,0.029238-0.00035725i,0.013363+0.011023i,0.0038731+0.0025449i,0.005923+0.0015816i,0.0041918+0.0030656i,0.0060485+0.0016872i,0.005612+0.0023131i,0.0017823-0.0038587i,0.0070662-0.0025698i,0.0086639-0.0079206i,-0.0013316-0.0011049i,-0.0029855+0.00064972i,0.00066865+0.00051367i,-0.0012704-0.00023545i,-0.0023136+0.0016434i,-0.0016039+0.0011176i,0.0082851+0.0057202i,0.0012753+0.00092071i,0.0028406-0.00051284i,0.0019668+7.6559e-05i,0.0015581+0.00057737i,0.00027897+7.9807e-05i,-0.00039761+0.00090721i,-0.0034592-0.0018709i,-0.0011943-0.00049403i,-0.00075146+0.0011205i,-0.00085794+0.00053504i,-0.0010553-0.00061744i,-0.0035483+0.0089586i,0.0009469-0.00015815i,0.0010188-0.00073748i,0.00023088+0.0020441i,-0.00094988-0.0029562i,-0.00091359+0.00038378i,-0.0021789-0.00032971i,0.0016337+0.00073258i,0.0075096+0.0055133i,-0.0053565+0.032759i,-0.069443+0.049251i,-0.047459+0.046485i,-0.027338+0.063416i,-0.0034609+0.070321i,0.0015815+0.048123i,0.012925+0.034978i,-0.0023899-0.0056852i,-0.035763+0.011986i,-0.037673+0.021146i,0.0077082+0.021776i,-0.0082278+0.0048536i,-0.0097599+0.0049788i,-0.013737+0.0015866i,0.001314-0.00081872i,0.0090548+0.0093477i,0.0028512+0.011408i,-0.011179-0.010216i,0.0010058-0.0073618i,-0.0061485-0.0029519i,-0.0012588-0.0058338i,0.0013171-0.0056362i,0.00254+0.0078824i,0.0064075-0.0074486i,0.0021609-0.0052523i,-7.7752e-05-0.0040749i,0.0039847-0.0014982i,-0.0024752-0.0039265i,-0.0017584+0.001494i,0.0030758-0.00070629i,0.00092227+0.025237i,-0.005261-0.0032484i,0.0025305-0.0017725i,-0.0031559-0.006205i,0.0024704-0.0021144i,-0.01339+0.0030781i,0.0010203+0.00056148i,0.0033977-0.0028054i,0.0032279-0.0019725i,-0.00044621-0.0044316i,0.0015778+0.0024952i,0.0016189+0.0056154i,-0.00035628+0.0055551i,-0.010273+0.0065025i,-0.016305+0.0016188i,-0.02853+0.057857i,0.00080805+0.0055169i,-0.030797-0.011561i,-0.0098004-0.0077333i,0.012594+0.01896i,0.0025376+0.023602i,-0.0033258-0.0021729i
0.012354+0.015043i,0.029058+0.040157i,0.035717+0.023918i,0.027817+0.020579i,0.035813+0.01714i,0.024461-0.02577i,0.0116-0.015241i,0.028631-0.0062655i,0.015348+0.0083893i,0.0038899+0.0012484i,0.0055696-0.0004074i,0.0050275+0.0027985i,0.0059715+0.00012638i,0.0059776+0.00056583i,0.00062046-0.0039601i,0.0055906-0.0037867i,0.0043909-0.0097049i,-0.0017451-0.0010902i,-0.0027011+0.0011085i,0.0004578-0.00049999i,-0.0018126-0.00017386i,-0.0018553+0.0022313i,-0.0014483+0.0012411i,0.009281+0.0012013i,0.0018546+0.00036944i,0.002067-0.001635i,0.0015463-0.00061385i,0.001499-0.00047574i,0.00019033+0.00019902i,-0.00022015+0.0011185i,-0.0037733-0.00018242i,-0.001863+0.00041442i,-6.201e-05+0.0014317i,-0.00057703+0.00092298i,-0.000897+0.00022935i,-0.00050806+0.0091516i,0.00076838-0.00031113i,0.00067834-0.0010017i,0.00089708+0.0014293i,-0.0020942-0.0025106i,-0.0007681+0.00046511i,-0.0022007+0.00052772i,0.001521+0.0010734i,0.008949+0.0043856i,0.0015434+0.032151i,-0.056261+0.059733i,-0.039366+0.054797i,-0.016017+0.064451i,0.011187+0.063509i,0.010607+0.04638i,0.011778+0.029873i,-0.0077356-0.0065913i,-0.035933+0.015954i,-0.030598+0.020385i,0.012299+0.017216i,-0.0076532+0.0069541i,-0.0074538+0.0079687i,-0.012586+0.0043468i,-0.00052652-0.002573i,0.01115+0.006722i,0.0079091+0.01071i,-0.015507-0.0065278i,-0.0010727-0.0052358i,-0.0052299-0.00010851i,-0.0031173-0.003936i,-0.0012086-0.0047447i,0.0048234+0.0069719i,0.0037689-0.0076913i,-0.00092929-0.0058182i,3.0576e-05-0.0019283i,0.0036979-0.003962i,-0.0041616-0.0028112i,-6.8371e-05+0.0010923i,0.0024844-0.0017324i,0.013935+0.01988i,-0.0067236-0.0013362i,0.0022873-0.002895i,-0.0035917-0.0042074i,0.0028715-0.0035928i,-0.0096136+0.0078129i,0.0021921+0.00043455i,0.0022244-0.0034426i,0.0021541-0.0025612i,-0.0011463-0.0041029i,0.00082575+0.0016976i,0.0033937+0.0037263i,0.0023114+0.0052347i,-0.0080923+0.008592i,-0.016328+0.0062607i,-0.019998+0.057414i,0.0045171+0.0055079i,-0.03167-0.0049466i,-0.012578-0.0098261i,0.017083+0.015121i,0.0080112+0.024479i,-0.0055788-0.0013277i
0.013208+0.012653i,0.03267+0.034002i,0.038228+0.015877i,0.031585+0.013248i,0.039777+0.0089812i,0.018339-0.029491i,0.0073835-0.017024i,0.02634-0.01179i,0.016726+0.0051512i,0.0034807+0.00064225i,0.0046586-0.0011661i,0.0058465+0.0017891i,0.0051424-0.00083169i,0.005479-0.0010501i,-0.00066243-0.0037141i,0.0040008-0.0042855i,0.00098417-0.0084369i,-0.0018648-0.00057725i,-0.0015264+0.0017875i,-0.00039661-0.00087399i,-0.0021123+0.00064506i,-0.0012459+0.0028127i,-0.0012506+0.0015516i,0.0080582-0.0023464i,0.0016197-0.00036549i,0.0010534-0.0018498i,0.0010331-0.00089429i,0.00086498-0.0010125i,0.00033703+5.4987e-05i,0.0002184+0.0013437i,-0.0034538+0.0016316i,-0.0013275+0.0013859i,0.0005386+0.0010765i,-0.0002735+0.0010973i,-0.00053685+0.00072656i,0.0025354+0.0087615i,0.00058319-0.00054208i,0.00024169-0.0013282i,0.00093809+0.0010384i,-0.002711-0.0016114i,-0.00064169+0.00059558i,-0.0019629+0.0010566i,0.0021248+0.0012538i,0.010651+0.0023059i,0.0072613+0.028873i,-0.040966+0.067095i,-0.030085+0.060817i,-0.0070382+0.063618i,0.023492+0.052606i,0.019956+0.041133i,0.010351+0.027903i,-0.01385-0.0049068i,-0.035521+0.021534i,-0.026245+0.018385i,0.014993+0.0113i,-0.0059462+0.0097792i,-0.0044201+0.011225i,-0.010701+0.0077443i,-0.0042173-0.0018696i,0.012965+0.0029615i,0.012142+0.0073563i,-0.018338-0.0013123i,-0.0020875-0.0041235i,-0.0033323+0.0011661i,-0.0037376-0.001496i,-0.0024935-0.0033339i,0.0069351+0.0037187i,0.001366-0.0076165i,-0.0051703-0.0017092i,0.0011062-0.0009985i,0.0015723-0.0057645i,-0.0044192-0.00061448i,0.0010001+0.00095912i,0.0020567-0.0021865i,0.020852+0.0095131i,-0.0068599+0.0020074i,0.0018455-0.0041267i,-0.0038338-0.0023671i,0.0013143-0.0057137i,-0.004519+0.0093059i,0.003172-0.00075398i,0.001033-0.0029663i,0.0014665-0.0026116i,-0.0029066-0.0030785i,0.00050747+0.0017908i,0.003583+0.0014378i,0.0045955+0.004058i,-0.0055462+0.0098306i,-0.014641+0.010912i,-0.012449+0.057998i,0.010931+0.0013265i,-0.029694+0.00083906i,-0.017893-0.010044i,0.017839+0.0096828i,0.014533+0.02286i,-0.0053183-0.00051833i
0.014539+0.010655i,0.036038+0.028887i,0.039187+0.0088889i,0.032938+0.0056702i,0.041072+0.00027861i,0.012308-0.031681i,0.0033442-0.017086i,0.023291-0.016022i,0.017522+0.0016189i,0.00316+0.00014449i,0.0041481-0.0015846i,0.0063709+0.00047289i,0.0045795-0.0011474i,0.0045815-0.002212i,-0.0016364-0.0027904i,0.0026599-0.0040799i,-0.00063047-0.0071638i,-0.0019939+6.2016e-05i,-0.00091982+0.0017848i,-0.0011337-0.0006777i,-0.0018755+0.0012598i,-3.4085e-05+0.0031227i,-0.000892+0.0019923i,0.0056588-0.0048905i,0.0011331-0.00065772i,0.0004001-0.0018562i,0.00060298-0.0010913i,0.00016386-0.00071479i,0.00016961-2.8417e-05i,0.00090098+0.0012801i,-0.00221+0.0029752i,-0.00051072+0.0017277i,0.00079692+0.00071394i,0.00021528+0.0013755i,5.4502e-05+0.00091161i,0.004836+0.0070035i,0.00027715-0.00055055i,-0.00042827-0.0012934i,0.0013026+0.00076977i,-0.0028495-0.00054175i,-0.00042972+0.00054554i,-0.0015916+0.0015872i,0.0027723+0.00092976i,0.01119-0.0010373i,0.010989+0.024863i,-0.024757+0.069816i,-0.018435+0.065405i,0.0024022+0.063163i,0.029559+0.039643i,0.026341+0.034276i,0.010984+0.02927i,-0.01761+0.0015435i,-0.033571+0.030088i,-0.024805+0.016485i,0.014153+0.0058186i,-0.0025916+0.011615i,0.00087854+0.011741i,-0.0083553+0.010267i,-0.0055322+0.0013976i,0.012801-0.0026943i,0.014476+0.0024358i,-0.019191+0.0047132i,-0.0025532-0.0019697i,-0.0023263+0.0015013i,-0.002635+9.4864e-05i,-0.0038119-0.0012436i,0.006889+0.00080112i,-0.00056281-0.0066696i,-0.0040307+0.0030828i,0.0024031-0.0016807i,-0.0011306-0.0060076i,-0.0036128+0.00084267i,0.0020713-8.783e-06i,0.0017267-0.0025283i,0.021189-7.834e-05i,-0.0046128+0.0046576i,0.00056465-0.005439i,-0.0028924-0.0014961i,-0.00090709-0.0061168i,-0.00061033+0.0082893i,0.0029981-0.0023653i,0.00096318-0.0016154i,0.0013386-0.0027392i,-0.0013742-0.0017581i,0.0010256+0.0020159i,0.0023209+5.4527e-05i,0.0053618+0.0016405i,-0.003248+0.0094757i,-0.010788+0.015559i,-0.0041617+0.057734i,0.012994-0.0095804i,-0.025511+0.0026954i,-0.023223-0.0077888i,0.018259+0.0052942i,0.019963+0.016976i,-0.0061106-0.00099808i
0.015944+0.0080779i,0.039624+0.023292i,0.03996+0.0018121i,0.032792-0.0018711i,0.040872-0.0081257i,0.0061674-0.032895i,0.000285-0.016362i,0.020091-0.019848i,0.017534-0.0021022i,0.0026407-0.0002222i,0.0040173-0.0020543i,0.006548-0.00089659i,0.0048465-0.0016117i,0.0035825-0.0030336i,-0.0020258-0.001926i,0.0018628-0.0035963i,-0.0017977-0.0065237i,-0.0016429+0.00046271i,-0.00049108+0.0018078i,-0.0015299-0.00011372i,-0.0013139+0.0017337i,0.0013064+0.002727i,-0.00018826+0.0022399i,0.0025618-0.0058276i,0.00092375-0.00079696i,-0.00022894-0.0017675i,0.00019157-0.0012027i,0.00063251-0.0015529i,-3.5172e-06+8.1076e-05i,0.0013704+0.00072121i,-0.00068149+0.0034498i,0.00020328+0.0017735i,0.00091309+0.00039788i,0.00085721+0.0011148i,0.00049634+0.00048421i,0.0063608+0.0047199i,8.1922e-05-0.00044661i,-0.00074917-0.00094277i,0.0012703+0.00027695i,-0.0025131+0.00023367i,-0.00036877+0.00051238i,-0.0010235+0.0017838i,0.0031289+0.0003897i,0.011028-0.0042797i,0.013812+0.021153i,-0.010115+0.068152i,-0.0049942+0.065925i,0.012459+0.060949i,0.031795+0.027677i,0.030581+0.026652i,0.014228+0.031074i,-0.016563+0.010099i,-0.026639+0.04039i,-0.025362+0.016885i,0.012172+0.0026739i,0.0013427+0.011664i,0.004685+0.0098856i,-0.0055724+0.012411i,-0.0047579+0.003872i,0.0093882-0.0082512i,0.014167-0.0034735i,-0.017599+0.010069i,-0.0016548-0.00083498i,-0.0011844+0.0012954i,-0.001647+0.00037465i,-0.0032311+0.0015921i,0.0055624-0.0010626i,-0.0017533-0.0051676i,-0.00023738+0.0050546i,0.0024219-0.0034812i,-0.0033317-0.0047009i,-0.0027501+0.0017607i,0.0022505-0.0012205i,0.0015688-0.0027957i,0.018172-0.0085055i,-0.0018826+0.0054433i,-0.0018033-0.0055661i,-0.0026316-0.0013239i,-0.0029993-0.0055316i,0.0016453+0.0068381i,0.0025473-0.0036664i,0.0022427-0.0015405i,0.00045904-0.0035805i,-0.00046495-0.0025944i,0.0013895+0.0024435i,0.0010787+0.00024024i,0.0047874+0.00021769i,-0.0018661+0.0088425i,-0.0047595+0.017599i,0.0043563+0.05606i,0.0068498-0.018751i,-0.023712+0.0012379i,-0.028456-0.0017481i,0.016676-0.00037044i,0.021692+0.010284i,-0.0071316-9.7848e-05i
0.017196+0.0051984i,0.04219+0.016727i,0.038789-0.0062748i,0.030316-0.0097136i,0.038971-0.017004i,-0.00030993-0.032673i,-0.0019744-0.015476i,0.016144-0.023393i,0.016503-0.0057661i,0.0021966+0.00014391i,0.0033396-0.0026309i,0.0063387-0.002914i,0.0047118-0.0028357i,0.0023879-0.0035666i,-0.0022719-0.0010646i,0.0014907-0.0032853i,-0.0035125-0.0056417i,-0.0016658+0.00088653i,0.00021466+0.0017045i,-0.0019133+0.00055063i,-0.00090668+0.0019338i,0.0021983+0.0017695i,0.00041126+0.0021787i,-0.00053707-0.0053375i,0.00049374-0.0013446i,-0.00081735-0.0012034i,-0.00037977-0.0011648i,-0.00031551-0.00088433i,0.00018143+0.00025436i,0.0013351+7.5691e-05i,0.00097459+0.003146i,0.00083921+0.0016793i,0.00080404+0.00012382i,0.0012882+0.00070365i,0.00041873-3.7512e-05i,0.0069337+0.0024169i,-0.00012283-0.00031028i,-0.0011109-0.00070175i,0.0012201-1.1959e-05i,-0.0021202+0.00064801i,-0.00029765+0.00053201i,-0.00030108+0.001843i,0.0034845-0.0004141i,0.0084848-0.0086557i,0.015815+0.017429i,0.002294+0.064249i,0.0072158+0.062289i,0.02201+0.056921i,0.030428+0.017446i,0.03279+0.019848i,0.019952+0.031225i,-0.0097348+0.015786i,-0.013611+0.046668i,-0.025669+0.020155i,0.010387+0.0010589i,0.0045032+0.0099861i,0.0070456+0.0067853i,-0.0019202+0.013264i,-0.0041031+0.0053045i,0.0025472-0.010373i,0.010462-0.0080823i,-0.014394+0.014588i,-0.00080917-0.0014357i,-0.00087709+0.0006301i,-0.0013182+0.00022007i,-0.00075029+0.0030533i,0.0042644-0.0013103i,-0.0022488-0.0042355i,0.0026396+0.0040968i,0.001099-0.0051824i,-0.0044317-0.0026397i,-0.0015237+0.0023198i,0.0017264-0.0024639i,0.00099472-0.0037074i,0.011902-0.013047i,0.00033942+0.0051366i,-0.0034928-0.0043405i,-0.0023827-0.0013131i,-0.0044454-0.004523i,0.003197+0.0051447i,0.0016592-0.0053636i,0.0030182-0.002918i,-0.00063076-0.0035554i,-0.0014625-0.0034648i,0.0033125+0.0025988i,0.00086904+0.0017154i,0.0041355-0.00064916i,-0.00083261+0.0085746i,0.00064901+0.016555i,0.012636+0.053974i,-0.0022068-0.024045i,-0.026052-0.00012967i,-0.029188+0.0063339i,0.011369-0.0039957i,0.022055+0.0042983i,-0.0066061+0.00055523i
0.018104+0.0016255i,0.044232+0.010539i,0.035307-0.013043i,0.0251-0.015675i,0.034339-0.025174i,-0.005863-0.030815i,-0.0036322-0.014474i,0.011291-0.025754i,0.015154-0.0091034i,0.002679+0.0006244i,0.0028659-0.0026491i,0.0049202-0.0046734i,0.004093-0.0039915i,0.0013349-0.0035046i,-0.0021286-0.00022316i,0.0011517-0.0029546i,-0.0051781-0.0036469i,-0.0012027+0.001565i,0.00064031+0.0011389i,-0.0017233+0.0017146i,-0.00033674+0.0022496i,0.0023597+0.00049805i,0.00098001+0.0020065i,-0.0025719-0.0035597i,-0.00041756-0.0012144i,-0.00099471-0.00061448i,-0.00074757-0.00091808i,-0.00052371-0.0005251i,0.00032822-1.9791e-05i,0.0011422-0.00041203i,0.0021558+0.0022174i,0.0014061+0.0011006i,0.00073728-2.6334e-05i,0.0010143-0.0010083i,6.4197e-05+3.1535e-05i,0.0066599+0.00033128i,-0.00019285-0.00014946i,-0.0014478-0.00023101i,0.001052-0.00034471i,-0.0014709+0.0010639i,-0.00029344+0.00060511i,0.00015883+0.0016288i,0.0032712-0.0015467i,0.0034178-0.0091227i,0.016938+0.013728i,0.012786+0.058147i,0.016235+0.056829i,0.030684+0.051247i,0.027515+0.010289i,0.033482+0.013337i,0.025804+0.028767i,-0.0023922+0.016331i,0.00033968+0.046959i,-0.023918+0.024807i,0.0094561-4.5695e-05i,0.0068685+0.0076755i,0.0074762+0.0039048i,0.0019944+0.012622i,-0.0026749+0.0071047i,-0.0034938-0.0081479i,0.006203-0.0097627i,-0.0094186+0.017895i,-0.0014506-0.0023534i,-0.0013668+0.00060068i,-0.0012133+0.00042423i,0.0018755+0.0026894i,0.0037225-0.0016831i,-0.0030352-0.0034985i,0.004461+0.0020565i,-0.001777-0.0057924i,-0.0043428-0.0008237i,-1.1288e-05+0.0018321i,0.0010968-0.0032387i,-0.00013727-0.0047858i,0.0056617-0.014252i,0.0021469+0.0042245i,-0.0044446-0.0032992i,-0.0030812-0.001389i,-0.0057168-0.0026997i,0.0035701+0.0037576i,-0.00051653-0.0066368i,0.0029691-0.0046448i,-0.0013225-0.0028603i,-0.002255-0.0031963i,0.0038606+0.0017048i,0.0018387+0.0026432i,0.003128-0.0016932i,0.00021356+0.0088563i,0.0043869+0.013949i,0.021804+0.050458i,-0.012622-0.025411i,-0.029571+0.0013734i,-0.026656+0.013841i,0.0064811-0.0033731i,0.020035-0.0021596i,-0.0058921-0.00067462i
0.018079-0.0025948i,0.045781+0.0030106i,0.031516-0.018105i,0.019734-0.018646i,0.028281-0.031487i,-0.010306-0.028546i,-0.0046981-0.013946i,0.0064589-0.027107i,0.013173-0.012212i,0.0035478+0.00031577i,0.0027802-0.002975i,0.0031581-0.0053706i,0.0029746-0.0052344i,0.00054505-0.0032949i,-0.001707+0.00035165i,0.0011043-0.0025676i,-0.0054493-0.0012339i,-0.0004726+0.0014017i,0.00053875+0.00058377i,-0.00085513+0.0023194i,0.00037404+0.0022036i,0.0019968-0.00042625i,0.0015812+0.0016036i,-0.0035296-0.0011301i,-0.00078877-0.00071321i,-0.0009175-0.00018929i,-0.00094179-0.00068855i,0.00027304-0.0006599i,1.5851e-05-2.1675e-05i,0.00069048-0.00078337i,0.0029029+0.00093995i,0.0014595+0.00061986i,0.00073739-0.00022396i,0.00097054+2.5668e-05i,0.00010972+0.0002881i,0.0078304-0.0020422i,-0.00015151+6.5983e-05i,-0.0014306+0.00040088i,0.00079173-0.00073902i,-0.00075327+0.0012794i,-0.00026158+0.00064435i,0.00054152+0.0013019i,0.0025777-0.0023538i,0.00047958-0.0075105i,0.017496+0.010198i,0.020046+0.050313i,0.023332+0.051425i,0.037967+0.043505i,0.024272+0.0050639i,0.033122+0.0089523i,0.031044+0.024976i,0.0035446+0.015238i,0.012755+0.042659i,-0.019453+0.029406i,0.0089787-0.0015253i,0.0084726+0.004394i,0.0077711+0.0016i,0.0055356+0.010451i,5.264e-05+0.007702i,-0.006718-0.0042023i,0.0019588-0.0098687i,-0.0034878+0.018624i,-0.0028318-0.0022441i,-0.0022897+0.0017051i,-0.0010037+0.00069067i,0.0033255+0.0010097i,0.003196-0.0009893i,-0.0035467-0.002147i,0.0044806-8.2057e-05i,-0.004119-0.0042231i,-0.0033117+0.00080802i,0.0003218+0.00064709i,0.00018171-0.0041485i,-0.0020178-0.0048184i,0.0005255-0.013351i,0.0037032+0.0024228i,-0.0056011-0.0017584i,-0.0036804-0.00021436i,-0.0056415-0.00022383i,0.0041942+0.0029736i,-0.0036796-0.0065399i,0.0019301-0.0066671i,-0.0017459-0.0026376i,-0.0029937-0.0033195i,0.0047704+0.0010714i,0.0033572+0.0023144i,0.0021589-0.0010843i,0.0014975+0.0086176i,0.0065541+0.010862i,0.030528+0.044244i,-0.023803-0.022252i,-0.032408+0.0045374i,-0.020977+0.018684i,0.0046643-0.0017189i,0.01482-0.0064505i,-0.0081335-0.0016118i
0.01664-0.0065928i,0.045742-0.0050702i,0.027644-0.022618i,0.015192-0.02026i,0.021435-0.036387i,-0.014491-0.026106i,-0.0060601-0.014398i,0.001687-0.027841i,0.010473-0.014764i,0.0041502-0.00050704i,0.0025606-0.0037358i,0.0014564-0.005471i,0.0012459-0.0059718i,-0.00012068-0.0031298i,-0.0013973+0.00055294i,0.0013547-0.0025196i,-0.0048156+0.00077958i,-0.00021672+0.0010187i,0.00042199+0.00039612i,3.3146e-06+0.0024959i,0.00096161+0.0020562i,0.001493-0.00089752i,0.0019509+0.00093094i,-0.0027961+0.0012179i,-0.00080234-0.00014837i,-0.00079588+0.00022327i,-0.0011425-0.00034285i,-0.00074292+0.00012751i,2.4356e-05+0.00010677i,5.4014e-05-0.00085275i,0.0030232-0.0005917i,0.0015256+0.00026987i,0.00065802-0.00044829i,0.0010345-0.00050219i,0.00036409+0.00042544i,0.0077627-0.0022982i,-3.5532e-05+0.00013564i,-0.0012634+0.00082994i,0.00014955-0.0007005i,-1.1351e-05+0.0010281i,-0.00024898+0.00096566i,0.00071358+0.0010832i,0.001638-0.0026993i,-0.00074912-0.0053128i,0.017605+0.0073525i,0.024135+0.043831i,0.029861+0.045945i,0.042527+0.035801i,0.020383+0.00065195i,0.034291+0.0053647i,0.035171+0.019261i,0.0095473+0.012158i,0.023001+0.034814i,-0.012542+0.03258i,0.008103-0.0031991i,0.0079951-0.00014398i,0.0077619-0.0010889i,0.0073913+0.0070489i,0.0018861+0.006894i,-0.0078516+0.00068776i,-0.0017521-0.0084779i,0.0014197+0.015806i,-0.0040697-0.0010023i,-0.0020102+0.0036908i,-0.00085036+0.00098555i,0.0037967-0.00096334i,0.0042128+0.00020243i,-0.0031514-0.0010112i,0.0041845-0.00091029i,-0.0049576-0.0020772i,-0.0010186+0.00064498i,3.9226e-05+0.00024917i,-0.0019453-0.0047881i,-0.0035846-0.0036058i,-0.0035624-0.012141i,0.00392+8.1999e-05i,-0.0057251+0.00034982i,-0.0029803+0.00088979i,-0.0048335+0.001319i,0.0053136+0.0022174i,-0.0061316-0.0042965i,-0.00084181-0.0081362i,-0.0024593-0.0022051i,-0.0049239-0.0031433i,0.0057844-0.0010451i,0.0046067+0.0018712i,0.002617-0.00082371i,0.0031134+0.0088033i,0.0068946+0.0075504i,0.03764+0.036101i,-0.03084-0.013272i,-0.035642+0.0097403i,-0.014718+0.021083i,0.0029014-3.7853e-05i,0.0092526-0.0059115i,-0.0096987-0.0009429i
