-0.023651-0.018643i,-0.032524-0.032842i,-0.022405-0.019574i,-0.032573-0.020301i,-0.023935+0.0041543i,-0.028871-0.017668i,-0.057765-0.044532i,-0.040952-0.043203i,-0.029798-0.023365i,0.005479+0.0055199i,-0.0035737+0.0063958i,-0.011011+0.011083i,0.0039569+0.0069329i,-0.0039358-0.0027262i,0.0028863+0.0015402i,0.003004+0.027061i,0.0265+0.032904i,-6.7041e-05+0.00016704i,-0.0029934-0.0028921i,0.0074791+0.0039435i,0.0020748+0.00060374i,-0.00015332+0.002595i,-0.00050485+0.00039271i,-0.032034+5.9296e-05i,-0.0032285-0.0048649i,-3.8039e-06+0.0024499i,0.0039845-0.0010015i,0.0010069-0.00025096i,-0.00061762-0.00051824i,-0.0010212-0.00188i,-0.002193-0.00060814i,-0.0040583-0.0037024i,-0.0029785-0.0055604i,0.00048219-0.0012549i,0.00056652-0.0031513i,-0.0013669+0.02583i,0.0018145-0.0031829i,0.0020175-0.0039982i,0.0042684-0.0023033i,-0.0065493-0.0013479i,0.00060954+0.0011601i,0.010265-0.0006127i,-0.001528+0.00041135i,-0.0030177+0.0013147i,-0.0091349-0.0023493i,-0.018672+0.021521i,-0.0080756-0.086355i,-0.0021379-0.061139i,-0.021198-0.054143i,-0.011429-0.045964i,0.05386-0.027156i,0.023572-0.0674i,0.041429-0.0545i,0.01882-0.039307i,0.026078-0.019763i,0.012329+0.01199i,0.025752-0.029496i,-0.011405-0.0011974i,-0.0015472-0.0010838i,-0.008091-0.0017085i,-0.0046538-0.029157i,-0.020869+0.026i,0.0077038-0.0092992i,-0.01055-0.0033804i,-0.0027203-0.0018262i,-0.00068684-0.014625i,-0.0085607+0.0053597i,0.0059443+0.010963i,-0.0099811+0.030385i,0.0066187+0.0075335i,-0.0034608-0.001692i,-0.0022791-0.0013874i,-0.012947-0.0059148i,0.00066835-0.0044216i,-0.032947+0.0027643i,0.00344-0.0085554i,-0.0072063-0.0020362i,-0.0052064-0.0031689i,0.0068641+0.0015675i,-0.010395+0.00049615i,0.0025578-0.00036559i,0.005984+0.0078428i,0.0055135+0.00088867i,-0.008152-0.010212i,0.0027715+0.0077752i,-0.019543+0.0075927i,0.0032569+0.0056505i,-0.021174-0.0090959i,-0.027323-0.0051469i,0.0096971-0.061428i,0.018536-0.014651i,-0.051291-0.028337i,-0.021833+0.0036621i,0.018775+0.010521i,-0.027078+0.011663i,-0.012799-0.0076769i
0.0056411+0.0051928i,0.036855+0.014346i,0.019776-0.0043146i,0.012999+0.0022226i,0.0086033-0.0017684i,0.015818-0.0075831i,0.012525+0.013713i,0.019218+0.019448i,0.0016693-0.0032328i,0.0011593+0.00067129i,0.0023908-0.0013337i,0.0011096-0.003808i,0.00010656-0.001219i,0.0021886-7.5037e-05i,0.0052177-0.0012485i,0.0055026-0.00018378i,0.0061858-0.0052121i,0.00015965-0.0009668i,-0.0022004-9.9456e-05i,0.00047564+0.00074332i,0.00012128-0.00015972i,-0.0021713-0.00045607i,-0.0014533-9.4081e-05i,0.0064111+0.0075591i,-0.00060795+0.00011022i,0.00028886+0.0007738i,0.00090478+0.00094948i,-8.1995e-05+0.0012755i,-0.00033883-0.00037595i,-0.0012193+6.4848e-05i,0.00053159-0.0011245i,-0.0006309+0.00034029i,0.00018701+0.00072354i,-9.6652e-05+0.00059354i,-0.00031729-0.0010128i,-0.0089365+0.0066028i,0.00059869+0.0003059i,-0.00042533-1.7178e-06i,-0.00037608+0.0015135i,-0.00015458-0.003003i,-0.00057813+0.00012734i,-0.00050623-8.7574e-05i,0.0005259+0.00093357i,0.0034438-0.0023099i,0.00055747+0.0029166i,-0.049808+0.0092175i,-0.0036145+0.029394i,-0.013901+0.040857i,-0.0090363+0.064847i,-0.017261+0.044261i,-0.0055957+0.018964i,-0.0079226+0.012745i,-0.046812+0.0020493i,-0.024951-0.007671i,0.015437+0.026259i,0.00039147+0.0054459i,-0.0076437+0.0016308i,-0.013905-0.0018116i,0.003826-0.00039769i,0.005517+0.01239i,-0.0064674+0.0063213i,-0.0053494-0.0070923i,0.0060768-0.0028597i,-0.0066021-0.005196i,0.0039594-0.0067281i,0.004069-0.0020048i,-0.0024716+0.010471i,0.011682-0.0047534i,0.0064227-0.0052409i,0.0052766-0.0083568i,0.0030862+0.00092479i,-0.0018487-0.0058945i,-0.0033335-0.0013573i,0.0021631-0.0019671i,-0.010659+0.031007i,-0.0043403-0.0054363i,0.0033215+0.00021848i,-0.00055608-0.0067572i,0.0034094-0.001651i,-0.013378-0.0060387i,0.00076553+0.00068548i,0.0041986-0.0019156i,0.0028247-0.0011111i,0.0012455-0.0054874i,-0.0023617+0.0057027i,-0.00033669+0.0060729i,-0.0049887+0.0069502i,-0.0049426+0.0022142i,-0.0057174-0.00012485i,-0.023332+0.019353i,-0.0081715+0.014747i,-0.02216-0.011504i,-0.0093036-0.010531i,0.0087506+0.019943i,-0.00024472+0.020117i,-0.0091595-0.0034327i
0.0061404+0.0031929i,0.038312+0.0068037i,0.01865-0.0080837i,0.013736+0.00093072i,0.0093921-0.0032663i,0.014275-0.01071i,0.013054+0.010757i,0.021615+0.015442i,0.00028268-0.0037077i,0.0013947+0.00015846i,0.0022248-0.001693i,-0.00041734-0.0025591i,-7.8203e-05-0.00065914i,0.0020444-0.00018484i,0.004494-0.0023758i,0.0047695-0.0007351i,0.0036049-0.0060418i,0.00017853-0.00090608i,-0.002378+0.0002202i,0.00091282+0.0001522i,-1.8847e-05-0.00056768i,-0.0022621+6.42e-05i,-0.0014689+8.2096e-05i,0.0099159+0.0042144i,-0.0010405+0.00093847i,0.00082434+0.0004854i,0.0010538+0.00034275i,0.00048494+0.0010987i,-0.00083931+0.00016159i,-0.0012049+0.00052991i,-0.0001343-0.0011998i,-0.0006741+4.8033e-05i,0.00025111+0.00051597i,0.00020877+0.00057339i,-0.00081582-5.7671e-05i,-0.0062532+0.0087277i,0.00035942+4.2604e-06i,-0.0003598+0.00035843i,0.00020898+0.0012879i,-0.0010842-0.0023843i,-0.00044958-1.4094e-05i,-0.00062324+0.00019831i,0.0005103+0.0011183i,0.0023781-0.0024615i,0.0016922+0.0028222i,-0.04467+0.017089i,-0.00074865+0.030392i,-0.0052461+0.041187i,0.0074194+0.061843i,-0.0060947+0.043501i,-0.008056+0.015258i,-0.0117+0.010399i,-0.049328+0.0065748i,-0.020842-0.0092519i,0.021597+0.02026i,0.0003706+0.005193i,-0.0065198+0.0068523i,-0.01331+0.0028498i,0.0022492-0.0021089i,0.008312+0.011646i,-0.0025563+0.010945i,-0.009478-0.0050632i,0.0026793-0.0046001i,-0.0067356-0.0016699i,-0.00075278-0.0066179i,0.002656-0.0038276i,0.0024445+0.0081933i,0.0077483-0.0079776i,0.0022797-0.0066062i,0.00099309-0.0058087i,0.0042677-0.0001228i,-0.0030031-0.004685i,-0.0016717+0.00070836i,0.0017612-0.0020178i,0.0054657+0.031327i,-0.0058776-0.0043107i,0.0036758-0.0017147i,-0.0036495-0.0057832i,0.0034831-0.0025788i,-0.013603+0.00036157i,0.001595+0.0012734i,0.0030622-0.0022875i,0.0029792-0.0022195i,-0.00016268-0.0055511i,-0.00051386+0.0032783i,0.0021741+0.0048404i,-0.0013268+0.0082796i,-0.0039402+0.0043534i,-0.0064056+0.00092412i,-0.018167+0.01803i,-0.0059607+0.016552i,-0.025179-0.0062005i,-0.012651-0.012738i,0.011701+0.019707i,0.003729+0.021625i,-0.011563-0.0030591i
0.0059175+0.0016022i,0.037898-0.0014619i,0.017209-0.012438i,0.015138-0.0019934i,0.010268-0.0054875i,0.011907-0.013799i,0.012756+0.0079629i,0.023499+0.010983i,-0.00074001-0.0033851i,0.0011043-0.0003465i,0.0016839-0.0025882i,-0.00045751-0.0012159i,-8.5085e-05-0.00065309i,0.0020748-0.00049589i,0.0035224-0.0031787i,0.0039899-0.0010697i,0.0014466-0.0060192i,-8.5077e-05-0.001077i,-0.0023571+0.0011156i,0.00074375-0.00077765i,-0.000708-0.00087002i,-0.0020242+0.00068858i,-0.0015911+0.00036302i,0.010256-0.00082346i,-0.00033888+0.001493i,0.00080457-0.0001061i,0.00078936-6.1662e-05i,0.00091255+0.0005808i,-0.00054621+0.00063832i,-0.0010178+0.00094311i,-0.00073486-0.00091438i,-0.0011277+0.00060666i,0.00045658+0.00045832i,0.00041708+0.00039801i,-0.0003334+0.00067429i,-0.0032433+0.0099908i,0.00011529+9.9177e-05i,-0.00010917+0.00037497i,0.00047901+0.0010032i,-0.0018143-0.0014642i,-0.00043578-0.00013726i,-0.00042123+0.00038609i,0.00078161+0.0014173i,0.0019092-0.0025582i,0.0034492+0.0018497i,-0.038936+0.023405i,0.0038138+0.031523i,0.0034218+0.038209i,0.022536+0.053401i,0.0037461+0.042405i,-0.011459+0.014669i,-0.014563+0.011365i,-0.050254+0.014649i,-0.019545-0.012488i,0.024552+0.011623i,0.00060319+0.0051661i,-0.0040486+0.0088791i,-0.012452+0.0061393i,-0.00021067-0.003826i,0.01129+0.0092213i,0.002862+0.012021i,-0.012049-0.0018338i,0.00083382-0.0033492i,-0.005945+0.0012116i,-0.0030204-0.0041984i,0.00068131-0.0038489i,0.0048959+0.0071289i,0.0048122-0.0087048i,-0.0016661-0.0052549i,0.00053192-0.0032019i,0.0045128-0.0024473i,-0.0050352-0.0032302i,-0.00060356+0.00044301i,0.00077537-0.0022415i,0.01869+0.023991i,-0.0076167-0.0020799i,0.0030442-0.0031035i,-0.0035164-0.0040578i,0.00374-0.0041904i,-0.010727+0.0058948i,0.0034032+0.00093944i,0.0018881-0.0025478i,0.0018386-0.0026978i,-0.0019773-0.0047259i,-0.0011188+0.0028488i,0.0034241+0.0028947i,0.0022051+0.0083662i,-0.0025124+0.004947i,-0.0069988+0.0028361i,-0.015717+0.016457i,0.00035712+0.017143i,-0.025764-0.001583i,-0.016732-0.013034i,0.016618+0.016963i,0.0091615+0.022141i,-0.013644-0.001374i
0.0053982+0.0005771i,0.034581-0.0083012i,0.013857-0.016605i,0.015006-0.0062252i,0.010034-0.0086375i,0.0085911-0.015921i,0.012278+0.00633i,0.023972+0.0064061i,-0.001178-0.0031549i,0.00059517-0.0002904i,0.000579-0.0026903i,-0.00010622-0.00068246i,-0.00054808-0.00038919i,0.0017733-0.00073301i,0.0022914-0.0036014i,0.0034743-0.00096815i,-0.0002067-0.0051741i,-0.00030681-0.0010057i,-0.0013673+0.001869i,2.3021e-05-0.0011478i,-0.0011932-0.00034992i,-0.0015971+0.0013411i,-0.001512+0.00085249i,0.0079922-0.0044905i,0.00029687+0.00143i,0.00049711-0.00024792i,0.00066554-0.00012213i,0.00077182+3.3267e-05i,-0.00014846+0.00062962i,-0.00063798+0.0014227i,-0.0011139-0.00032674i,-0.00060664+0.0012646i,0.00058961+0.00017324i,0.00039938+0.00011103i,0.00024578+0.00072072i,9.207e-05+0.010146i,0.00013338+0.00016531i,-9.5399e-05+0.000242i,0.00055051+0.00088374i,-0.0019091-0.00046096i,-0.00055637-8.8639e-05i,-0.00026189+0.00037956i,0.0013364+0.0014531i,0.0014946-0.0026428i,0.0049084-0.00021772i,-0.031761+0.028281i,0.0094721+0.031437i,0.0085296+0.034343i,0.034573+0.040207i,0.013543+0.037146i,-0.015157+0.017203i,-0.017908+0.014542i,-0.048221+0.023616i,-0.021301-0.015896i,0.024725+0.002816i,0.0013272+0.005547i,-0.0011564+0.011596i,-0.010843+0.0095671i,-0.0043881-0.0027826i,0.013966+0.0047508i,0.0083268+0.010346i,-0.013067+0.0025199i,-0.00023037-0.0027677i,-0.0041903+0.0029009i,-0.0037053-0.0013305i,-0.00028999-0.0033528i,0.0070294+0.0036545i,0.0019829-0.0089813i,-0.0038246-0.0018472i,0.0012527-0.0019874i,0.0031047-0.0045304i,-0.0056117-0.00025016i,0.00026308+0.00089851i,0.00038614-0.0018553i,0.026275+0.012021i,-0.0077248+0.0014864i,0.002203-0.0044266i,-0.003788-0.0028512i,0.0021132-0.0063965i,-0.0057857+0.0080747i,0.0045072-0.0010635i,0.0010312-0.0018757i,0.0010465-0.0024394i,-0.0025825-0.0030469i,-0.001194+0.0034957i,0.0033028+0.00082564i,0.0057919+0.0069259i,-0.0011669+0.0047553i,-0.0070469+0.0052536i,-0.014098+0.017425i,0.0090374+0.012241i,-0.024393+0.0034997i,-0.021911-0.011164i,0.018654+0.012269i,0.015247+0.020133i,-0.013568+0.00042456i
0.0053282-8.4099e-05i,0.031284-0.012952i,0.0097492-0.019234i,0.013642-0.010232i,0.0085574-0.011687i,0.0053586-0.017074i,0.012272+0.0054972i,0.02376+0.002409i,-0.001069-0.0028601i,0.00021591-9.2241e-05i,-0.00039771-0.0023515i,0.00025179-0.000625i,-0.00068373+0.00027873i,0.0014436-0.00091747i,0.0011845-0.0034748i,0.0034931-0.00066554i,-0.0010233-0.0040208i,-0.00073092-0.00087018i,-0.00053187+0.0017793i,-0.0006309-0.0010042i,-0.0012642+0.0001442i,-0.00084302+0.0016908i,-0.0011984+0.0013427i,0.0050332-0.0065449i,0.00073609+0.0010964i,0.00035401-0.00028199i,0.00054685-0.00031116i,0.00043606-0.00014838i,-3.9291e-05+0.00065137i,0.00011126+0.0016513i,-0.001053+0.00021141i,5.9896e-05+0.0013668i,0.00050372-0.00011931i,0.00038837+0.00020535i,0.0007547+0.00060032i,0.0030019+0.009314i,2.9093e-05+0.00026144i,-0.00024725+0.00032505i,0.00094461+0.00076867i,-0.0016673+0.00025386i,-0.00069336-0.00018804i,-0.00018631+0.00033886i,0.0017662+0.0010485i,0.00071373-0.0029999i,0.0049275-0.0030214i,-0.02343+0.030928i,0.016116+0.029656i,0.013954+0.031972i,0.039236+0.024615i,0.019256+0.030087i,-0.016084+0.02336i,-0.018638+0.021904i,-0.043895+0.0332i,-0.026254-0.016879i,0.020699-0.0044409i,0.0026827+0.0057107i,0.004164+0.011591i,-0.0078222+0.012507i,-0.0059073+0.00079996i,0.014026-0.0017721i,0.012371+0.0063962i,-0.012285+0.006714i,-0.00063186-0.0010216i,-0.0024656+0.0036572i,-0.0020363+0.00060324i,-0.0019429-0.002357i,0.0069308+0.00086842i,-0.00081206-0.0083391i,-0.0033367+0.0016457i,0.002549-0.0023913i,0.0010832-0.0055054i,-0.003939+0.0016635i,0.001704+0.00046434i,0.00032559-0.0014736i,0.027272-0.00061371i,-0.0055592+0.004333i,0.00060673-0.0053493i,-0.0035566-0.0022884i,-0.00038096-0.007073i,-0.0019851+0.0076981i,0.0039738-0.0031748i,0.0012973-0.00080579i,0.0012417-0.0019151i,-0.0017352-0.0023568i,0.00025698+0.0044624i,0.0018434-0.00037403i,0.0075149+0.0034695i,-0.00067373+0.0034679i,-0.0052713+0.0078943i,-0.010856+0.018498i,0.012043+0.00088609i,-0.02032+0.0055883i,-0.026356-0.0079534i,0.019985+0.0071918i,0.020054+0.01402i,-0.014217+0.00098808i
0.0053633-0.0011644i,0.028301-0.01723i,0.0058474-0.020848i,0.011384-0.014149i,0.0064098-0.014152i,0.0019725-0.017816i,0.013382+0.004702i,0.02333-0.0014257i,-0.00071652-0.003369i,-0.00020501+0.00027109i,-0.00081653-0.0016549i,0.0004177-0.00060125i,-0.00021691+0.00090834i,0.0010932-0.00091944i,0.00041328-0.0031756i,0.0041396-0.00072579i,-0.0012438-0.0034113i,-0.00080902-0.00053772i,0.00011464+0.0015848i,-0.0010307-0.00063828i,-0.00092929+0.00043475i,9.1338e-05+0.0015089i,-0.00062575+0.0016512i,0.0016778-0.0072284i,0.0011954+0.00078311i,0.0001899-0.00034902i,0.00040684-0.00050733i,0.00028729-0.00018915i,0.00021755+0.00065457i,0.00073212+0.0012966i,-0.00079719+0.00055755i,0.00067334+0.0011469i,0.00031634-0.00015757i,0.00058497+1.1802e-07i,0.00098129-6.4916e-05i,0.0049574+0.0076335i,0.0001666+0.00034445i,-0.00012413+0.00056888i,0.00094548+0.00038015i,-0.0011364+0.00067562i,-0.00095843+6.101e-06i,-0.00010402+0.00021307i,0.0020664+0.00066314i,-0.00014412-0.0027607i,0.0041587-0.0055779i,-0.015858+0.030934i,0.02203+0.025343i,0.019798+0.028151i,0.039169+0.010629i,0.02227+0.02339i,-0.012863+0.030226i,-0.014331+0.030184i,-0.035487+0.043003i,-0.031454-0.014042i,0.015458-0.0082446i,0.0041208+0.0048197i,0.007881+0.0090147i,-0.0039017+0.014693i,-0.0051321+0.003609i,0.010447-0.00819i,0.013739+0.00047438i,-0.010139+0.0094708i,0.00037994-0.00011324i,-0.00060181+0.003458i,-0.00047418+0.00059142i,-0.0021177-0.00014014i,0.005495-0.00095628i,-0.0030997-0.0064362i,-0.0010366+0.0036919i,0.0026623-0.0042969i,-0.001133-0.0051699i,-0.0027543+0.001876i,0.0021355-0.00092865i,0.0010044-0.0013911i,0.022722-0.011586i,-0.0025444+0.0054134i,-0.0011839-0.0049947i,-0.0037087-0.0014017i,-0.0029388-0.0064935i,0.0005627+0.0066401i,0.0032033-0.0046655i,0.0024083-0.0011767i,0.0013515-0.0029127i,-0.0012697-0.0028329i,0.0017263+0.0045453i,0.00059937+8.5987e-05i,0.0071223+0.0008056i,-0.0012997+0.0026327i,-0.0021714+0.0094211i,-0.0075314+0.018301i,0.0074272-0.0083578i,-0.017756+0.0031603i,-0.031031-0.0022085i,0.018458+0.00052497i,0.020901+0.0074136i,-0.015149+0.0027617i
0.005192-0.0021385i,0.024434-0.02148i,0.0014255-0.022491i,0.0072915-0.01793i,0.0036848-0.016368i,-0.0016557-0.01758i,0.015208+0.0028945i,0.022306-0.0053391i,-0.00090664-0.0041036i,-0.00032341+0.0011594i,-0.001173-0.0011416i,0.00044971-0.0011923i,0.000325+0.0010346i,0.00075556-0.00078155i,-0.00018375-0.0027333i,0.0047723-0.0015695i,-0.0016221-0.0030923i,-0.0010495-0.00035303i,0.0007553+0.0011777i,-0.0014353-0.00012973i,-0.00095958+0.00050304i,0.00060803+0.00090123i,-8.7561e-05+0.0016898i,-0.0015908-0.0064716i,0.00136-0.00021154i,-3.6679e-05-0.00020571i,-0.00016307-0.00060469i,0.00012846-0.00014062i,0.00060908+0.00041666i,0.00098459+0.00080914i,-0.00032689+0.00072604i,0.0008306+0.00088478i,0.00012707-7.8204e-05i,0.00050683-0.00026842i,0.00055524-0.00075072i,0.0061592+0.0058473i,0.00030058+0.00032532i,9.7766e-06+0.00054705i,0.00098787+0.00022427i,-0.0003852+0.00073875i,-0.001067+0.0004414i,-2.7716e-05+0.00018749i,0.0022647-3.8225e-05i,-0.00086119-0.0022595i,0.0023492-0.007846i,-0.0095106+0.029421i,0.026148+0.019633i,0.025103+0.022995i,0.034941-0.00096613i,0.023402+0.018111i,-0.0063646+0.034604i,-0.0045056+0.03521i,-0.022758+0.048494i,-0.035364-0.008394i,0.01031-0.0095874i,0.0049495+0.0033536i,0.0096518+0.0051159i,0.00064465+0.014914i,-0.004171+0.0053024i,0.0028645-0.010779i,0.011516-0.0047839i,-0.0076803+0.011711i,0.0014616-0.00099972i,0.00065198+0.0024959i,-2.0712e-05-0.00011766i,-0.00052043+0.0013184i,0.0044184-0.0011423i,-0.0039066-0.004625i,0.0017245+0.0037526i,0.0011496-0.0063334i,-0.0025809-0.0039965i,-0.0018468+0.0022038i,0.0014099-0.0024321i,0.0010761-0.002343i,0.014515-0.017927i,5.9547e-05+0.0049738i,-0.0022117-0.00418i,-0.0032219-0.00095017i,-0.0047023-0.0053463i,0.002138+0.0052566i,0.0017421-0.0066371i,0.0027263-0.0022667i,0.00024242-0.0037318i,-0.0021104-0.0034002i,0.0037953+0.0042556i,0.00036395+0.00142i,0.00662-0.0010347i,-0.0021398+0.0027985i,0.00083541+0.0088129i,-0.0043338+0.018327i,0.00051202-0.013968i,-0.019984+0.00028807i,-0.032208+0.0057383i,0.012637-0.0037712i,0.020744+0.0019298i,-0.014243+0.0046122i
0.0051087-0.0032489i,0.020358-0.024257i,-0.0039575-0.022695i,0.0016849-0.019655i,-1.077e-05-0.01776i,-0.004584-0.016349i,0.016981-0.00013657i,0.020526-0.0088212i,-0.0010822-0.0051271i,0.0004135+0.0021763i,-0.0013532-0.00025212i,-0.00036518-0.0014866i,0.00089017+0.0010723i,0.00073779-0.00056505i,-0.00042991-0.0023044i,0.0048184-0.0025957i,-0.0025958-0.0025136i,-0.0011704+0.00013145i,0.0010215+0.00044604i,-0.0013986+0.00077343i,-0.00084009+0.0008752i,0.00054607+0.00011824i,0.00040485+0.0016227i,-0.0038057-0.0042571i,0.00046536-0.00071121i,-6.5364e-05-4.1714e-05i,-0.00044492-0.00032003i,6.1927e-05-1.8534e-05i,0.00053547-4.6308e-05i,0.0010528+0.00047848i,2.3353e-05+0.00063525i,0.00091107+0.00056066i,0.00015023+1.6402e-05i,0.00029385-0.00034711i,-0.00013671-0.00051191i,0.0067794+0.0038655i,0.00046178+0.00020479i,6.8457e-05+0.0006158i,0.0011148+1.1048e-05i,0.00030776+0.00033256i,-0.00086944+0.00094669i,8.5376e-05+0.00018407i,0.0018467-0.00083766i,-0.0012519-0.0014657i,2.732e-05-0.0092194i,-0.0043621+0.026751i,0.02833+0.013837i,0.029589+0.016429i,0.028902-0.0087294i,0.023687+0.013924i,0.0012542+0.036489i,0.005386+0.034766i,-0.0094759+0.049191i,-0.036253-0.0015062i,0.0071567-0.0092568i,0.005577+0.0019201i,0.0094079+0.0016324i,0.0052113+0.013358i,-0.0025689+0.0070369i,-0.0036046-0.0082076i,0.0079314-0.0073665i,-0.0045529+0.013487i,0.00098078-0.0027844i,0.00080779+0.0014311i,-0.00017793-0.00020994i,0.0015511+0.0012137i,0.0038957-0.001566i,-0.0046706-0.0030537i,0.0035746+0.0022442i,-0.0021633-0.0070792i,-0.0032224-0.002546i,-0.00036998+0.0018178i,0.0006465-0.0031979i,0.00045355-0.0034966i,0.0058552-0.019639i,0.0016198+0.0038118i,-0.0029221-0.0035535i,-0.003909-0.00071047i,-0.0061399-0.0035627i,0.0026858+0.0039552i,-0.0011077-0.007862i,0.0027254-0.0034057i,-0.00071888-0.0033597i,-0.0028303-0.0030852i,0.0050786+0.0030059i,0.0010284+0.0022939i,0.005046-0.0026911i,-0.0023578+0.0038395i,0.002956+0.0072032i,0.00013686+0.018249i,-0.0092161-0.016574i,-0.023962+0.00038771i,-0.029605+0.013368i,0.0076508-0.0034875i,0.018137-0.003738i,-0.013107+0.0045601i
0.004816-0.004894i,0.016495-0.026967i,-0.0085625-0.021035i,-0.0033703-0.019009i,-0.0038039-0.018054i,-0.0066978-0.015135i,0.017959-0.0044125i,0.018442-0.011908i,-0.0018083-0.0063842i,0.0018285+0.0022615i,-0.00084334+0.00045261i,-0.0010395-0.00088659i,0.0014556+0.00055926i,0.00079506-0.00054702i,-0.00056306-0.0020689i,0.0046104-0.0035353i,-0.0030313-0.0013069i,-0.00076994+0.00035417i,0.00078227-0.00014493i,-0.00086213+0.001276i,-0.00054131+0.0010079i,0.00014714-0.00026713i,0.00086336+0.0013758i,-0.0047331-0.0015431i,-0.0001351-0.00036594i,-3.3719e-05+1.1689e-05i,-0.00052744-0.00014817i,8.8719e-05+4.4928e-05i,0.00019477-1.3089e-05i,0.001041-1.3346e-05i,0.00033751+0.00045404i,0.00074779+0.0003801i,0.00026331+1.8114e-05i,0.00029201-0.00022723i,-0.00029974+6.2282e-05i,0.0067211+0.0020986i,0.00040296+0.00012811i,0.00039201+0.00070898i,0.0011607-0.00047827i,0.00055195-0.00026659i,-0.00039433+0.0011306i,0.00012122-3.685e-06i,0.0010857-0.0012972i,-0.0013895-0.00077461i,-0.0027024-0.0099598i,-0.0013235+0.023509i,0.02939+0.008606i,0.031717+0.0083509i,0.0225-0.013954i,0.023715+0.011846i,0.0091551+0.036198i,0.013824+0.032106i,0.0019368+0.045925i,-0.034949+0.0052204i,0.0045405-0.0094292i,0.0060512-0.0001213i,0.0090131-0.001086i,0.0089699+0.010066i,0.0001725+0.007368i,-0.0067648-0.0038318i,0.0039762-0.0083171i,-0.00038619+0.013584i,-0.00075211-0.0034948i,1.8996e-05+0.0012331i,-0.00029008-8.803e-05i,0.0026284+3.1037e-05i,0.0033531-0.0012223i,-0.004655-0.0011793i,0.003998+0.00032366i,-0.0049671-0.0051282i,-0.0029185-0.0012747i,9.2693e-05+0.00057778i,-0.00023254-0.0039472i,-0.00096185-0.0038841i,-0.0014347-0.018079i,0.0028942+0.0023196i,-0.0039249-0.0026665i,-0.0040555+0.00092845i,-0.0065501-0.0011998i,0.0032236+0.0031858i,-0.0046234-0.007305i,0.0021695-0.0050206i,-0.0013699-0.0032182i,-0.0033367-0.00309i,0.0061661+0.0018164i,0.0020484+0.0026435i,0.0032288-0.0027096i,-0.0019361+0.0046932i,0.0041241+0.0051669i,0.0052362+0.01601i,-0.019548-0.013884i,-0.027977+0.003246i,-0.025097+0.017476i,0.0052919-0.0026462i,0.013267-0.006867i,-0.0145+0.0050556i
0.0036591-0.0064137i,0.012166-0.029564i,-0.012107-0.018795i,-0.0073269-0.017238i,-0.0075948-0.017534i,-0.0088857-0.01403i,0.017441-0.0097093i,0.015947-0.014765i,-0.0036509-0.0075529i,0.0029868+0.0016596i,-0.00013949+0.0006964i,-0.001189+4.1698e-05i,0.0015021-0.00013466i,0.00085573-0.00064853i,-0.00085981-0.0019575i,0.0041696-0.0046047i,-0.0030292-0.0001947i,-0.00053316+0.00021875i,0.00054041-0.00039607i,-0.00026632+0.0014434i,-0.00026484+0.0011168i,-0.00019754-0.00029222i,0.0011668+0.00094605i,-0.0042712+0.0010493i,-0.00013203+0.00011715i,-2.6811e-05+9.339e-05i,-0.00055215+8.3515e-05i,0.00010288+6.341e-05i,0.00019671+8.6351e-05i,0.00069541-0.00043322i,0.00049643+0.00013087i,0.00082631+0.00049885i,0.00030259-6.0575e-05i,0.00032071-0.00046814i,-2.368e-05+0.00043366i,0.0064973+0.00076622i,0.00050233+3.8349e-05i,0.0007312+0.00057018i,0.00060061-0.00083461i,0.00072012-0.0006882i,0.00012464+0.0012256i,5.9222e-05-5.8233e-05i,0.00029884-0.0011153i,-0.0012855+0.00021526i,-0.0054498-0.0095299i,-0.00022334+0.021678i,0.029796+0.0036441i,0.030832+0.001817i,0.015399-0.017488i,0.026152+0.010664i,0.016699+0.033339i,0.022143+0.027135i,0.011631+0.039835i,-0.030626+0.011086i,0.001952-0.0090194i,0.005159-0.0031845i,0.0082619-0.0040783i,0.010151+0.0054684i,0.001887+0.0063027i,-0.0077574+0.0012166i,0.0003087-0.0076135i,0.0026399+0.011355i,-0.002783-0.0028518i,-0.00039744+0.0020121i,-0.00032047+0.00013874i,0.0031416-0.0016179i,0.0040783-0.00025876i,-0.0035368+2.4217e-05i,0.0037759-0.00032022i,-0.0057546-0.002716i,-0.0022302-0.00063187i,-0.00031182+0.00016023i,-0.0024214-0.0043767i,-0.002245-0.0031585i,-0.0072632-0.015202i,0.0033737+0.00017891i,-0.0045629-0.0012468i,-0.0028619+0.0019225i,-0.0061378+0.00060185i,0.0040309+0.00241i,-0.007204-0.0048223i,0.0001373-0.0065513i,-0.0023711-0.0026826i,-0.0048616-0.002369i,0.0069503-0.00063617i,0.0034207+0.0026601i,0.0027469-0.0024372i,-0.00053596+0.0058718i,0.0039541+0.0030626i,0.0091167+0.011743i,-0.025246-0.0054121i,-0.030977+0.008943i,-0.020598+0.021322i,0.0030602-0.00095457i,0.0092169-0.0069059i,-0.014751+0.0070854i
