-0.0076753-0.039638i,-0.01134-0.044898i,0.0021266-0.046637i,-0.026995-0.028759i,-0.020977+0.013762i,-0.032718-0.033563i,-0.060599-0.063093i,-0.022281-0.072861i,-0.029004-0.075724i,0.0018532+0.015457i,-0.0077528+0.010607i,-0.015299+0.013817i,0.0017134+0.017103i,-0.0037237-0.0031358i,0.00037506+0.0068107i,0.00035818+0.039858i,0.019499+0.065034i,0.00079886-0.00047893i,-0.0055009-0.0084972i,0.0092453+0.0043847i,0.0017419+0.00093843i,-0.0012956+0.0036475i,0.0001051-0.0013555i,-0.035594-0.009409i,-0.0028447-0.0073443i,-0.00037102+0.0045011i,0.0049874-0.00036679i,0.00035194+0.00072386i,-7.5851e-05-0.0012931i,-0.00029888-0.002696i,-0.0010813-0.0056292i,-0.0023996-0.0043329i,-0.0011546-0.0080042i,0.0035579-0.00090368i,0.0031007-0.0026999i,-0.0037612+0.03579i,0.0063062-0.0045404i,0.0037661-0.0021261i,0.0047128-0.00021003i,-0.026748+0.0052215i,-8.4093e-05+0.00020681i,0.0090709+0.0030345i,0.0064357-0.0010669i,-0.0035341+0.0037515i,0.0022066+0.0021228i,-0.0027027+0.008472i,0.015159-0.087896i,-0.0064567-0.046999i,-0.023369-0.038007i,-0.018962-0.042559i,0.063741-0.016463i,0.02841-0.060966i,0.038514-0.044538i,0.030244-0.056598i,0.019141-0.015045i,0.0082563+0.0094041i,0.024395-0.032258i,-0.0077548-0.004711i,0.0024141-0.0022558i,-0.0045653-0.0061333i,0.0011025-0.03231i,-0.024803+0.030277i,0.0080162-0.010557i,-0.010925-0.0017204i,-0.0053051-0.0013048i,-0.0012691-0.013695i,-0.0099365+0.0040404i,0.0037309+0.0081443i,-0.010281+0.031242i,0.0054229+0.0076043i,-0.00556-0.0017024i,-0.0020499-0.002062i,-0.011866-0.006701i,0.00070165-0.0037551i,-0.033526-0.0028012i,0.0023335-0.012868i,-0.0091995-0.0020897i,-0.0063978-0.0025906i,0.0063399+0.0015478i,-0.0090913+0.0015019i,0.0013781+0.00081186i,0.005738+0.0095126i,0.0045484+0.00036871i,-0.0088826-0.0090936i,0.0024331+0.008727i,-0.018389+0.0054026i,0.0068226+0.0031041i,-0.028805-0.0087615i,-0.035266+0.0032409i,0.028266-0.080235i,0.012672-0.01008i,-0.042617-0.027479i,-0.022193-0.0042706i,0.018035+0.012583i,-0.026741+0.011934i,-0.01173-0.0086918i
-0.014254+0.018391i,0.011787+0.048324i,0.025796+0.046929i,0.00020265+0.018639i,-0.0020701+0.0077717i,0.027764+0.0028244i,0.01295+0.018803i,0.011319+0.045612i,0.0050253+0.02031i,-0.003009+0.0066601i,0.00094968+0.0015136i,0.0028156-0.004413i,0.003014-0.0025537i,0.0037146-0.00060273i,0.0033322-0.0024161i,0.0051407-0.0014202i,0.012837-0.0064157i,-0.00063019-0.00050105i,-0.0049721+0.00043534i,-0.00021932+0.0028483i,-0.00044205-0.0010343i,-0.0052091-0.001677i,-0.0025632+0.00073193i,0.0043908+0.0090356i,0.002534+0.0019632i,0.0022637+0.00062171i,0.0019547+0.001572i,-0.0012326+0.0033565i,-0.00052538+0.0008934i,-0.00089329+0.001378i,0.00095601-0.0039247i,-0.0009313-0.0010005i,-0.00071744-0.0006658i,-0.00010218+0.00059834i,-0.00064447-0.0020499i,-0.0063486+0.010137i,0.0031233-7.3662e-05i,0.0010405+0.00012463i,-0.00082703+0.0024464i,-0.0008052-0.0027136i,-0.0021939+0.00059958i,-0.001924-0.0014123i,0.001405+0.0088638i,0.0033064+0.00096231i,-0.030564+0.022373i,-0.056824+0.025418i,-0.031643+0.047528i,-0.017855+0.031716i,-0.0049245+0.048523i,-0.0073148+0.03192i,0.0091607+0.011556i,-0.0054495-0.0067552i,-0.037403-0.0072277i,-0.043736+0.016734i,0.010525+0.020212i,-0.0019697+0.0028314i,-0.0053968+0.0023291i,-0.011534-0.0031672i,0.0097943+0.0017988i,0.011657+0.014196i,-0.0027873+0.0080294i,-0.006125-0.012093i,0.0055837-0.0029365i,-0.0047028-0.0043101i,0.0041445-0.007964i,0.005034-0.0022967i,-0.00087495+0.009929i,0.012854-0.0046779i,0.0078386-0.0066909i,0.0055393-0.0070637i,0.0033821-0.0006154i,-0.0030182-0.0063021i,-0.003498-0.0015496i,0.0029747-0.0012449i,-0.011923+0.033335i,-0.0060507-0.0056897i,0.0014266+0.00078478i,-0.00074722-0.0072596i,0.0030748-0.0010622i,-0.014022-0.0048693i,0.0013993-0.00075605i,0.0034655-0.0034071i,0.0024863-0.0022328i,0.00017182-0.005644i,-0.0011167+0.0065581i,-0.00050651+0.0031863i,-0.0021412+0.0053157i,-0.011511-0.0017835i,-0.0091552+0.002779i,-0.040347+0.040063i,-0.0075768+0.016823i,-0.025187-0.0066721i,-0.00027646-0.0012504i,0.0097888+0.019524i,-0.0011209+0.019833i,-0.0058948-0.00070772i
-0.012133+0.018281i,0.018783+0.044183i,0.033679+0.041617i,0.0043296+0.020432i,0.0020114+0.0080307i,0.02771-0.0031402i,0.014456+0.015541i,0.019033+0.041053i,0.0076986+0.018619i,-0.0008008+0.0069611i,0.0016904+0.0013756i,0.00038967-0.0032497i,0.0016501-0.0026779i,0.0033962-0.00077244i,0.0025684-0.0029524i,0.0041461-0.0013665i,0.0092049-0.0090928i,0.00010842-0.00020687i,-0.0047109+0.0012887i,0.00088037+0.0017043i,-0.00094156-0.0013577i,-0.0053583-0.0003408i,-0.0023761+0.00082906i,0.0090506+0.0062526i,0.0024534+0.0022931i,0.0027037-0.0004756i,0.0021454+0.00054694i,-9.2213e-05+0.0034447i,-0.00068323+0.0015229i,-0.0005509+0.0017007i,-0.00075919-0.00392i,-0.0014579-0.00091119i,-0.0012839-0.00041306i,0.00021947+0.0003423i,-0.0013679-0.00045269i,-0.0026323+0.010832i,0.0025751-0.0011594i,0.0011093+1.2613e-06i,0.00047611+0.001966i,-0.0011677-0.0019628i,-0.0018119+0.00083859i,-0.001199-0.0023436i,0.0034605+0.0086389i,0.0026805+0.00064353i,-0.025121+0.027524i,-0.048946+0.034101i,-0.02511+0.052934i,-0.011051+0.033008i,0.0076776+0.044603i,0.0022807+0.02788i,0.0042486+0.0045102i,-0.012231-0.010856i,-0.040355-0.005707i,-0.034948+0.018079i,0.014331+0.016447i,-0.0024862+0.0033137i,-0.0043323+0.0063243i,-0.011845+0.0018525i,0.0082269-0.0016474i,0.014432+0.011191i,0.0012113+0.01191i,-0.01195-0.0103i,0.0022669-0.003911i,-0.0045012-0.0017158i,-0.000921-0.0074147i,0.0036312-0.0040965i,0.0038628+0.0074559i,0.008767-0.0079766i,0.0030923-0.0086158i,0.0018176-0.0053675i,0.0041926-0.0016687i,-0.0045902-0.0044964i,-0.0017419+0.00067554i,0.0031342-0.0018561i,0.0076156+0.034304i,-0.0070394-0.0043296i,0.0021043-0.0010467i,-0.0040069-0.0061646i,0.0035952-0.0018444i,-0.013616+0.0018139i,0.0014564-0.00017804i,0.0017607-0.0030805i,0.0022232-0.003649i,-0.0011973-0.0052724i,0.0010767+0.003272i,0.0010075+0.0026453i,0.00049288+0.005958i,-0.011074+0.0021135i,-0.0087884+0.0043128i,-0.032094+0.04162i,-0.0039916+0.019625i,-0.02495+0.00031729i,-0.0013487-0.005547i,0.012539+0.018695i,0.0027938+0.021669i,-0.0083049-0.00070886i
-0.010786+0.018715i,0.024463+0.038996i,0.041637+0.033489i,0.011555+0.018487i,0.0065531+0.0065431i,0.026325-0.0092086i,0.015038+0.012003i,0.025731+0.035074i,0.010803+0.017585i,0.00099245+0.0065649i,0.0021514+0.00040391i,0.00018073-0.0012927i,0.00020819-0.002661i,0.0034183-0.0012794i,0.0016718-0.0031511i,0.003294-0.0012481i,0.0059496-0.010247i,0.00016013-0.00053482i,-0.0043177+0.0034185i,0.00091484+0.00031165i,-0.0019152-0.0015326i,-0.0050453+0.0013056i,-0.0024421+0.0011031i,0.010487+0.00058583i,0.0035872+0.0015017i,0.0021008-0.0016336i,0.001998-0.00018488i,0.0015881+0.0029114i,0.00028657+0.0017452i,-0.00015398+0.0020057i,-0.0023276-0.0029173i,-0.0019543+7.3131e-05i,-0.0018217+0.00020943i,0.00015416+2.6568e-05i,-0.00076465+0.00060344i,0.00075293+0.010121i,0.0017001-0.001693i,0.0010905-0.00069688i,0.00082901+0.0011837i,-0.0016534-0.0014332i,-0.0016584+0.001009i,-0.0029222-0.00025701i,0.0059709+0.0083423i,0.0026899+0.00046407i,-0.01757+0.030866i,-0.040256+0.040931i,-0.015828+0.056781i,-0.0037738+0.031884i,0.01878+0.037061i,0.0050722+0.02828i,-0.0023404+0.0017833i,-0.018866-0.010258i,-0.043651-0.00090735i,-0.028177+0.01632i,0.016789+0.010895i,-0.0024902+0.0039735i,-0.0024234+0.0077581i,-0.011075+0.0055227i,0.0051526-0.0053748i,0.01695+0.0072827i,0.0069095+0.012202i,-0.016014-0.0060708i,0.00078672-0.0022957i,-0.0039634+0.00035426i,-0.003126-0.0051133i,0.0013662-0.0045641i,0.0057497+0.006052i,0.0055171-0.0087415i,-0.0027233-0.0071614i,0.0011514-0.0035103i,0.004-0.0041551i,-0.006128-0.0022525i,-0.00030207+0.00052936i,0.0018509-0.0028516i,0.020646+0.025091i,-0.0091352-0.001357i,0.0018854-0.0019705i,-0.0040471-0.0040014i,0.0040753-0.0038021i,-0.0097464+0.0064964i,0.0025811-0.00039447i,0.00037981-0.0033318i,0.00056857-0.003603i,-0.0027963-0.0044241i,0.00011741+0.0024171i,0.0020579+0.0016175i,0.0030277+0.0059557i,-0.0095574+0.0046589i,-0.0083481+0.0066912i,-0.025839+0.041965i,0.0035729+0.020282i,-0.023877+0.0042277i,-0.0040987-0.0088536i,0.017147+0.015432i,0.0087588+0.023178i,-0.0099403+0.0011988i
-0.0093084+0.019713i,0.028043+0.033872i,0.046792+0.023287i,0.016556+0.012914i,0.0099273+0.0024787i,0.023116-0.014426i,0.014878+0.0095023i,0.030026+0.027771i,0.01453+0.014904i,0.0024528+0.0058579i,0.0016762+0.00020725i,0.00099634-0.00059291i,-0.0013361-0.0014514i,0.0029068-0.0017135i,0.00082398-0.0031794i,0.0028458-0.0008158i,0.0024965-0.0099269i,0.00024556-0.00060375i,-0.0030402+0.0069891i,7.5976e-05-0.00030615i,-0.002593-0.00058249i,-0.0043034+0.0030217i,-0.0022446+0.0017106i,0.0084481-0.0040443i,0.0037412+1.1655e-05i,0.0010328-0.0018795i,0.0015811-0.00074397i,0.0021425+0.001658i,0.00098895+0.0010846i,0.000545+0.0022859i,-0.0031891-0.0011967i,-0.0014692+0.00096383i,7.2766e-05+0.00074461i,-0.00010606+8.07e-05i,-0.00012335+0.00091915i,0.0032713+0.0088722i,0.00096256-0.0019638i,0.0004669-0.0010988i,0.00079327+0.0010735i,-0.0019219-0.00090551i,-0.0013374+0.0013334i,-0.0025645+0.00075198i,0.0085786+0.0068723i,0.0027896+0.00013801i,-0.0098682+0.030766i,-0.030038+0.045799i,-0.0064119+0.059135i,0.00082764+0.029565i,0.026984+0.02593i,0.016065+0.022575i,-0.0095723+0.0038755i,-0.02626-0.0064019i,-0.045657+0.0059455i,-0.024414+0.012865i,0.017799+0.0045196i,-0.0019011+0.0052113i,0.00018382+0.010039i,-0.0091361+0.0088914i,-0.00046201-0.0054856i,0.018924+0.0011815i,0.012384+0.0095629i,-0.018555-0.00057246i,0.00037741-0.0017385i,-0.0026889+0.0017039i,-0.0041035-0.0019669i,-0.00014018-0.0042441i,0.0074598+0.0028044i,0.0027191-0.0091592i,-0.0050912-0.0024964i,0.0016572-0.0028654i,0.0019112-0.0061685i,-0.006141+0.00044462i,0.00067135+0.0005099i,0.00088988-0.0028426i,0.028412+0.012502i,-0.0087197+0.0031426i,0.0016204-0.0031416i,-0.0041596-0.0023484i,0.0023457-0.0062277i,-0.0049502+0.0079318i,0.0033388-0.0017266i,-0.00096375-0.0023495i,-0.00035334-0.0031938i,-0.0035265-0.0020505i,-0.00027318+0.0027902i,0.0020226+0.00015723i,0.0058147+0.0047139i,-0.0079137+0.00631i,-0.0070912+0.0087727i,-0.020014+0.043854i,0.013704+0.015131i,-0.021442+0.0083217i,-0.0097799-0.010479i,0.01875+0.01024i,0.016029+0.02117i,-0.0089391+0.00264i
-0.0071+0.020935i,0.031721+0.029744i,0.04899+0.013318i,0.019075+0.0062445i,0.010563-0.0026064i,0.019496-0.018341i,0.014899+0.0081939i,0.032128+0.020777i,0.017661+0.011213i,0.0033345+0.0049013i,0.0017549+0.00042754i,0.0018387-0.0007768i,-0.0014947+0.00049825i,0.0023292-0.002081i,0.00010125-0.0027039i,0.0029924-0.00020146i,0.00013032-0.0087459i,-4.4564e-05-0.000674i,-0.0024369+0.0045307i,-0.00067958-0.00016708i,-0.0027709+0.00029521i,-0.0024375+0.004043i,-0.0016199+0.0022827i,0.0050844-0.0068944i,0.0029939-0.0010467i,0.00038369-0.001959i,0.0010984-0.0011269i,0.0019367+0.00069409i,0.00089759+0.0005184i,0.0016875+0.0020439i,-0.0028906+0.00025776i,-0.00089244+0.0014974i,-0.00048275+0.00090116i,0.00013922+0.0007201i,0.00057292+0.00094027i,0.0052685+0.0068813i,8.8347e-05-0.0019723i,-0.00016313-0.00092015i,0.0013681+0.00092105i,-0.0019346-0.00036055i,-0.0010035+0.0013101i,-0.0019961+0.0016952i,0.010128+0.0035919i,0.0024242-0.0006186i,-0.0045082+0.028836i,-0.018978+0.04765i,0.0051097+0.059806i,0.0053644+0.027983i,0.029454+0.013849i,0.020001+0.014241i,-0.013022+0.010976i,-0.031132+0.0027793i,-0.046679+0.015969i,-0.02499+0.010327i,0.01492-0.0011517i,-0.00018238+0.006202i,0.0047809+0.0097304i,-0.0064911+0.011527i,-0.0032838-0.0023041i,0.017275-0.0067523i,0.016173+0.0043741i,-0.018558+0.0053536i,0.00036745-0.00057109i,-0.0013919+0.0021633i,-0.0026014+8.5207e-05i,-0.0021168-0.002969i,0.0071753+0.0002974i,-0.00012325-0.0087988i,-0.0040685+0.0016845i,0.0023092-0.0033127i,-0.0007966-0.0066245i,-0.0043282+0.0024084i,0.0017353-0.00010248i,0.00031932-0.0023671i,0.02853-0.0011776i,-0.0053431+0.006113i,0.00029894-0.0041167i,-0.0033981-0.0018599i,-0.0001854-0.0068978i,-0.0016575+0.0072719i,0.0024221-0.0034376i,-0.0011921-0.00064871i,-0.00054051-0.0020784i,-0.0018944-0.001078i,0.00092126+0.0035454i,0.00086567-0.00082046i,0.0077336+0.0030034i,-0.006429+0.0068297i,-0.0048283+0.010842i,-0.01297+0.044795i,0.018432+0.0023816i,-0.016961+0.0093613i,-0.015962-0.0089991i,0.019905+0.0055201i,0.021234+0.014147i,-0.009231+0.0025392i
-0.0043666+0.021385i,0.035681+0.024733i,0.049743+0.0036319i,0.01972-0.00062004i,0.0098698-0.0067616i,0.015334-0.021682i,0.01622+0.007024i,0.033237+0.014504i,0.019944+0.0061588i,0.0038999+0.0040467i,0.0023725+0.000352i,0.0023097-0.0011232i,-4.0078e-05+0.0018961i,0.0017862-0.0021427i,-0.0001446-0.002402i,0.0037884+0.00011794i,-0.0011494-0.0078544i,0.00030479-0.00082072i,-0.0010434+0.0042888i,-0.0010356+0.00031208i,-0.0022987+0.0010881i,-0.00036047+0.003676i,-0.00086868+0.0024441i,0.00049123-0.0081448i,0.0026363-0.0017218i,-0.00040419-0.0018629i,0.00048518-0.0012882i,0.0018137+0.00030751i,0.00082379+0.00026705i,0.0022937+0.0010454i,-0.0023007+0.0013066i,-0.00017508+0.0017715i,-0.0003468+0.0013292i,0.00076398+0.00021722i,0.0008442+0.00020547i,0.0058754+0.0047405i,-0.00070277-0.0016694i,-0.00044645-0.00049539i,0.0012471+0.00014524i,-0.0015476-0.00013144i,-0.00095754+0.0015661i,-0.0015714+0.0019173i,0.010238+0.00045596i,0.0017809-0.00064834i,3.6355e-05+0.026526i,-0.0090376+0.046536i,0.017207+0.056182i,0.010187+0.026045i,0.028103+0.0029018i,0.020202+0.0072861i,-0.010826+0.019116i,-0.030428+0.014812i,-0.042265+0.029238i,-0.027211+0.011138i,0.011191-0.003743i,0.0017804+0.0058838i,0.0077008+0.0071953i,-0.0023458+0.013822i,-0.0036643+0.00020871i,0.011713-0.013822i,0.016472-0.0024145i,-0.016541+0.010028i,0.0012502-0.00044759i,-0.0002867+0.0020352i,-0.0009502+0.00029012i,-0.002413-0.00059074i,0.0057543-0.0013636i,-0.0021749-0.0073692i,-0.0014039+0.0036447i,0.0019338-0.0047646i,-0.0031986-0.0052893i,-0.0027187+0.0028232i,0.0020002-0.0016266i,0.00070478-0.0019392i,0.024607-0.01316i,-0.001844+0.006596i,-0.0014306-0.0039315i,-0.0034873-0.0013356i,-0.0027788-0.0064913i,0.00060919+0.0061897i,0.0053322-0.006262i,0.00018014+0.00013874i,4.8142e-05-0.0025271i,-0.00094452-0.0013125i,0.0027794+0.0029586i,-0.00025525-0.00025902i,0.0069915-0.00093711i,-0.005448+0.0072411i,-0.0012923+0.011948i,-0.0058434+0.044574i,0.014193-0.0088818i,-0.014042+0.0064376i,-0.02124-0.0039285i,0.018564-0.0010106i,0.021837+0.0068336i,-0.0097382+0.0040059i
-0.0014346+0.021733i,0.038675+0.0187i,0.04838-0.0068877i,0.017175-0.0086224i,0.0082774-0.01104i,0.010511-0.023949i,0.018352+0.0047068i,0.033387+0.0085768i,0.020054+0.00080895i,0.0043874+0.0036114i,0.0025212-0.00029i,0.0025314-0.0025729i,0.0014674+0.0019706i,0.0012159-0.0021399i,-0.00031831-0.0020994i,0.0048254-0.0004023i,-0.0025177-0.0071062i,-0.00034469-0.0012665i,0.000633+0.003776i,-0.0012979+0.00099029i,-0.0019679+0.0014161i,0.00066943+0.0026227i,-0.00041545+0.0023847i,-0.0055876-0.0061865i,0.0017328-0.0032468i,-0.0011486-0.0011958i,-0.00019727-0.0012565i,0.0017944+8.757e-05i,0.00099348-5.338e-05i,0.0022873-5.8607e-05i,-0.0012584+0.0019001i,0.0003492+0.0018938i,8.3951e-06+0.0016859i,0.00077428-5.604e-05i,0.00034174-0.00042152i,0.0060782+0.002811i,-0.0013357-0.0011587i,-0.00046023-0.0002784i,0.0010621-0.00012366i,-0.00097104-0.00022844i,-0.00059347+0.0020191i,-0.00082794+0.0023326i,0.0087735-0.0019221i,0.001478-0.00049574i,0.0034911+0.023978i,-0.00050432+0.04379i,0.026519+0.048746i,0.01519+0.023394i,0.023914-0.0057081i,0.018661+0.002726i,-0.0045913+0.024105i,-0.021748+0.024716i,-0.030493+0.039007i,-0.028621+0.01536i,0.0076637-0.0045679i,0.0032189+0.0048421i,0.0090485+0.0036448i,0.0023743+0.01371i,-0.0038312+0.0020789i,0.0016059-0.016455i,0.013323-0.0081351i,-0.013778+0.013852i,0.0019308-0.0017436i,0.0005123+0.0015054i,-0.00059415-0.00023759i,-0.0010445+0.00082628i,0.0045269-0.0013582i,-0.0033815-0.0061051i,0.0011534+0.0037149i,0.0003687-0.0062526i,-0.0045573-0.0034235i,-0.0012431+0.0029799i,0.0011387-0.0031143i,0.0008839-0.0026843i,0.015544-0.020325i,0.00079032+0.0059126i,-0.0025182-0.0031395i,-0.0029756-0.00094338i,-0.0048456-0.0053885i,0.0016732+0.0048981i,0.0019725-0.0056337i,0.0012529-0.00044884i,-0.00073911-0.0028543i,-0.0013251-0.0021625i,0.0039126+0.0037805i,-0.00062064+0.0010358i,0.0052971-0.0022983i,-0.004684+0.0079736i,0.0020016+0.011307i,0.0011142+0.043744i,0.0063839-0.01605i,-0.015984+0.0027953i,-0.023288+0.0034002i,0.012979-0.0058705i,0.021552+0.0012433i,-0.0080741+0.0050583i
0.0016887+0.021257i,0.040961+0.012918i,0.044008-0.015899i,0.010901-0.013727i,0.0047914-0.014678i,0.0056324-0.024862i,0.020411+0.0011993i,0.03274+0.0032371i,0.019072-0.0045704i,0.0053333+0.0030502i,0.0023944-0.00055384i,0.0010525-0.0037972i,0.0027761+0.0013972i,0.00086784-0.0020243i,-0.00023015-0.002108i,0.0054495-0.0014054i,-0.0045101-0.0056964i,-0.00095219-0.00098582i,0.0014982+0.0025582i,-0.00085283+0.0020142i,-0.0016144+0.0019921i,0.00071431+0.001228i,4.7575e-05+0.0023823i,-0.0060173+0.0015322i,-0.00053255-0.0034415i,-0.0014038-0.00044561i,-0.00071869-0.00089646i,0.00158-7.1244e-05i,0.00059874-0.00061636i,0.0018197-0.0008789i,-0.00020113+0.0018755i,0.001008+0.001671i,0.00097278+0.0017734i,0.00073524+0.00077755i,-0.00010404+4.9182e-05i,0.0056636+0.0009549i,-0.0019003-0.00024645i,-0.00050452+0.00010167i,0.0010151-0.00015645i,-0.00056162-0.00059819i,0.00012929+0.0024283i,-7.9231e-05+0.0021827i,0.006794-0.0022847i,0.0013294-0.00020187i,0.0063525+0.021023i,0.0065814+0.039435i,0.032263+0.040953i,0.020178+0.019197i,0.018256-0.010997i,0.016579-0.00015989i,0.0024142+0.025877i,-0.011307+0.028099i,-0.016241+0.042781i,-0.027188+0.021127i,0.0060714-0.0042299i,0.0043669+0.0033825i,0.008546+0.00057647i,0.0066517+0.01112i,-0.0030527+0.0044737i,-0.0074886-0.012764i,0.0085131-0.010918i,-0.0094846+0.017022i,0.0012346-0.0032833i,0.00091771+0.00088198i,-0.0009845-0.00028663i,0.00087831+0.00099854i,0.0042177-0.0017076i,-0.0048852-0.0046621i,0.0030286+0.0023235i,-0.0026469-0.0065881i,-0.0050751-0.0012678i,0.0002013+0.0020229i,0.00024365-0.0036888i,0.00038889-0.0038892i,0.0062216-0.022079i,0.0028848+0.0044879i,-0.0029706-0.0024968i,-0.0036923-0.00083244i,-0.0061964-0.0030369i,0.0019541+0.0041856i,-0.00072389-0.0074683i,0.0020465-0.0014391i,-0.0014028-0.002298i,-0.0017188-0.0022718i,0.0050021+0.0027247i,-2.2439e-05+0.0019148i,0.0035117-0.0030747i,-0.0038962+0.0091653i,0.0046406+0.0092064i,0.0090392+0.042079i,-0.0040475-0.019761i,-0.020116+0.0026799i,-0.020829+0.010831i,0.0074978-0.0059881i,0.018611-0.0052662i,-0.0064334+0.0036042i
0.0044814+0.019943i,0.04266+0.0059738i,0.038686-0.022828i,0.005045-0.014698i,0.00055529-0.016642i,0.001504-0.025062i,0.021662-0.0038561i,0.031899-0.0017288i,0.016462-0.0090778i,0.0064803+0.0019174i,0.0027975-0.00094067i,-0.00052638-0.0034915i,0.003543-0.00028647i,0.00059223-0.0019834i,-0.00054543-0.0023256i,0.0057734-0.0023853i,-0.005225-0.0033484i,-0.0010578-0.00092961i,0.0015444+0.0014329i,0.00013681+0.0022256i,-0.0012129+0.00249i,0.00028017+0.00038911i,0.00057455+0.0022572i,-0.0021378+0.0027206i,-0.0019557-0.0021631i,-0.0013558+0.00018359i,-0.00088215-0.00051217i,0.0010506-0.00039548i,1.7418e-06-0.00037355i,0.0010776-0.0014344i,0.00068653+0.0014539i,0.0014092+0.0012101i,0.0016914+0.0011857i,0.00066462+0.00012955i,0.00028287+0.0005865i,0.0050507-0.00041108i,-0.0018941+0.00081794i,-0.00027266+0.00036498i,0.00091367-0.00061367i,-0.00039806-0.001052i,0.0010255+0.0022178i,0.00043637+0.0020523i,0.0067485-0.0021918i,0.0013307-3.7521e-05i,0.0080092+0.018247i,0.011134+0.034299i,0.036607+0.033584i,0.023413+0.013141i,0.012828-0.01415i,0.014901-0.00043219i,0.0098572+0.025504i,-0.0016885+0.028722i,-0.0030583+0.041224i,-0.023335+0.0269i,0.0047392-0.004885i,0.0050936+0.0014232i,0.0079837-0.0017829i,0.0098415+0.007262i,-0.00062691+0.0052699i,-0.012131-0.0058745i,0.0033973-0.011924i,-0.0042451+0.017971i,-0.00066318-0.0040159i,0.00041138+0.00075683i,-0.0011725+1.0479e-05i,0.0020006-5.9197e-06i,0.0037109-0.0014881i,-0.0054497-0.0025249i,0.0037838+0.00035953i,-0.0052191-0.0046335i,-0.0040057+0.00079412i,0.00043798+0.00068466i,-0.00060544-0.0042681i,-0.0011164-0.004366i,-0.0019879-0.020714i,0.004359+0.0022443i,-0.0040198-0.0015752i,-0.0040394+0.00074182i,-0.0062867-0.00051806i,0.0027734+0.0038571i,-0.0044655-0.0074808i,0.00221-0.0029905i,-0.0016501-0.0021511i,-0.0023377-0.0027094i,0.0062694+0.0014838i,0.00077601+0.0021541i,0.0021739-0.0023319i,-0.002133+0.0098793i,0.0061424+0.0070794i,0.016746+0.037666i,-0.015556-0.017592i,-0.023448+0.0049989i,-0.015238+0.014268i,0.0045222-0.0047138i,0.012932-0.0086904i,-0.0078727+0.0026315i
0.0066685+0.018553i,0.042991-0.0014405i,0.032981-0.028582i,0.00094112-0.014131i,-0.0037473-0.017318i,-0.0030005-0.025248i,0.021084-0.010152i,0.030833-0.006876i,0.012827-0.012593i,0.0073149+0.00020634i,0.0030097-0.0020389i,-0.0015348-0.0025604i,0.0029249-0.0018625i,0.00028902-0.0019072i,-0.0012279-0.0024708i,0.0060131-0.0037286i,-0.0052113-0.0012136i,-0.0014849-0.00092642i,0.001501+0.00088013i,0.00091243+0.0020298i,0.00014012+0.0024279i,-0.00040274+0.00034963i,0.00093275+0.0019184i,-0.0015162+0.0024971i,-0.0020676-0.00067706i,-0.0011485+0.00077028i,-0.00098053-0.00015514i,0.0004359-0.00028075i,-0.00011013-0.00013111i,6.1517e-05-0.0015223i,0.0012508+0.00079816i,0.001754+0.00069968i,0.0019185+0.00056846i,0.00068244-0.00048258i,0.0010258+0.00049082i,0.0042025-0.0014818i,-0.0015979+0.001755i,3.2858e-05+0.00045121i,2.1284e-05-0.00077392i,-0.0003241-0.0016423i,0.0016955+0.0018081i,0.0010297+0.001761i,0.008168-0.0052827i,0.0014452+0.00065817i,0.0091087+0.016112i,0.013884+0.030274i,0.039896+0.026151i,0.024293+0.007913i,0.0071398-0.016227i,0.016219+2.0212e-05i,0.016799+0.022219i,0.0086338+0.026119i,0.0088657+0.035421i,-0.015869+0.031144i,0.0031645-0.0052962i,0.0045293-0.0014708i,0.0069043-0.0044094i,0.010245+0.0022543i,0.00065354+0.0046086i,-0.013052+0.0016711i,-0.0016232-0.010699i,-2.8897e-05+0.01643i,-0.0025019-0.0029199i,0.00017532+0.0015177i,-0.0011766+0.00039677i,0.0027416-0.0013503i,0.0044678-0.00086992i,-0.0044391-0.000669i,0.0036258-0.00052721i,-0.0059976-0.0023151i,-0.0018833+0.0011686i,0.00010692+0.00028715i,-0.0029449-0.0049074i,-0.0025741-0.0035838i,-0.0087191-0.017376i,0.0045167-0.00045487i,-0.0044698-4.2222e-05i,-0.0027475+0.0018786i,-0.0056138+0.0013814i,0.00411+0.003312i,-0.007549-0.0049332i,0.00087517-0.0046561i,-0.0024649-0.0016712i,-0.0041134-0.0023791i,0.0071222-0.0011452i,0.0017393+0.0026602i,0.0023675-0.0019205i,0.00045444+0.010714i,0.0067048+0.0045439i,0.023038+0.031442i,-0.022115-0.009346i,-0.026241+0.0098483i,-0.0098544+0.015766i,0.0018978-0.0028495i,0.0085794-0.0081116i,-0.008683+0.0030012i
