-0.026971-0.043085i,-0.021464-0.021129i,-0.01209-0.037429i,-0.029834-0.02132i,-0.024241-0.0015728i,-0.013067-0.0037472i,-0.052464-0.053187i,-0.046785-0.016305i,-0.038329-0.015646i,0.010026+0.01396i,-0.0087484+0.0059704i,-0.019697+0.019356i,0.0022314+0.012007i,-0.0041711-0.002577i,0.0010198+0.0008101i,-0.00016623+0.028267i,0.025951+0.026443i,0.0027547-0.001731i,-0.0019927-0.0066169i,0.0078736+0.0026818i,0.0026541+0.00084044i,0.00038331+0.0033937i,-0.00044813+8.0438e-05i,-0.035209-0.0095506i,0.00028963-0.0077485i,0.0016167+0.0023907i,0.005827+0.0012838i,0.002379+0.0002785i,0.001289-0.00073895i,-7.5696e-05-0.0026184i,0.0017965-0.0023873i,-0.0025092-0.0053959i,-0.00024667-0.0047756i,0.0031595-0.00089065i,0.0051678-0.0028132i,0.0031556+0.029078i,0.0041316-0.0033915i,0.0032859-0.0015231i,0.0088724-0.00068895i,-0.0047678-0.0020995i,-0.00041845+0.0011795i,0.010091+0.0010895i,0.0044171-0.0020849i,-0.0030621+0.0091382i,-0.017215-0.0077447i,-0.01762+0.016115i,-0.00041036-0.062027i,-0.004697-0.027073i,-0.025697-0.03346i,-0.010502-0.026946i,0.051739-0.024486i,0.016183-0.043941i,0.024419-0.048309i,0.0083211-0.054819i,0.027718-0.019629i,0.0088232+0.0061558i,0.026446-0.033666i,-0.008087-0.0061236i,0.0030667-0.0042747i,-0.0048429-0.0069438i,-0.0019261-0.033144i,-0.020046+0.029478i,0.0089297-0.011895i,-0.0093943-0.0039167i,-0.0042209-0.0017464i,0.00025181-0.012896i,-0.011+0.0043554i,0.0025942+0.010634i,-0.0054097+0.027012i,0.004747+0.002222i,-0.0054736-0.0017389i,-0.0020189-0.0023004i,-0.013228-0.0075302i,-0.00027189-0.0045866i,-0.036518-0.00036848i,0.0011944-0.010806i,-0.0085925+9.3305e-05i,-0.0071358-0.0024163i,0.0054984+0.00088858i,-0.0082742-0.0010111i,0.0018933-0.000361i,0.003991+0.0074005i,0.0044706+0.00047561i,-0.0078818-0.013718i,0.002759+0.0096141i,-0.015307+0.0044603i,0.0071734-0.00017644i,-0.022668-0.00093571i,-0.018202+0.0053087i,-0.0053246-0.065888i,0.008319-0.012599i,-0.047991-0.024563i,-0.020214-0.00060559i,0.016773+0.012933i,-0.023523+0.014558i,-0.019625-0.0060484i
0.026283+0.037006i,0.013734+0.01913i,0.016863+0.026125i,0.0072232+0.019958i,0.0099503+0.0066755i,0.0052845-0.0016256i,0.020557+0.010818i,0.016877-0.0033967i,0.0081251-0.0071483i,0.00067702+0.0043796i,0.0024369-0.0025692i,0.00069059-0.0051784i,-0.0023825+0.00067113i,0.0006327-0.00088823i,0.0022103-0.0003954i,0.0045312-0.0021933i,0.0053431-0.0059813i,-0.00018915+0.00076415i,-0.0037215+0.00095142i,-1.2237e-05+0.00071625i,-0.00061478-0.0010689i,-0.0023251-0.00072472i,-0.0016884+0.00080071i,0.0050014+0.0088786i,-0.00093235+0.002197i,0.00092845+0.0017715i,0.0011785+0.00068413i,-0.0017056+0.0026751i,-0.00095718+0.00012839i,-0.0011555+0.00048729i,-0.00094467-0.0012218i,-0.0016939-0.0012444i,-0.00025177+0.00046817i,0.00070441+0.00061097i,-2.4494e-05-0.00075845i,-0.007795+0.0092671i,0.0015852+0.00011689i,0.00078505+0.00088918i,0.00063255+0.0028877i,0.0010631-0.001024i,-0.00024968-0.00040862i,-0.0010342-0.00064891i,2.7472e-06+0.0013878i,0.00057429+0.0011635i,0.017092+0.019507i,-0.027089+0.01641i,-0.01484+0.016342i,-0.023702+0.010832i,-0.0041033+0.038589i,-0.020911+0.018591i,0.00070262-0.00067583i,-0.011928-0.015575i,-0.020964-0.0010554i,-0.0083581+0.014456i,0.017354+0.022966i,-0.00035433+0.0024393i,-0.0039997+0.00077829i,-0.011989-0.0044388i,0.011029+0.0011863i,0.011252+0.0096089i,-0.0011928+0.005582i,-0.005191-0.0080412i,0.0066664-0.0020535i,-0.0031936-0.0040381i,0.0038453-0.0085138i,0.0085075-0.0028724i,-0.0015621+0.010505i,0.012708-0.0057998i,0.0035913-0.0078649i,0.0037301-0.008177i,0.0022665+0.00045092i,-0.0023958-0.0057744i,-0.0038765-0.0011709i,0.0026879+1.4308e-05i,-0.010095+0.03694i,-0.0066207-0.0054728i,0.00034316+0.00097553i,-0.0011389-0.0073657i,0.0035211-0.00030976i,-0.018891-0.0073837i,-0.0017566-0.0034659i,0.003095-0.0023328i,0.0033646-0.0018779i,-0.0030396-0.0080668i,-0.00048143+0.0078014i,0.00046207+0.0035959i,-0.0033126+0.0046803i,-0.008469+0.0014859i,-0.0073675+2.532e-05i,-0.011913+0.022972i,-0.0022846+0.01469i,-0.026626-0.010456i,-0.0023516-0.0028696i,0.014598+0.018085i,-0.00062525+0.019041i,-0.00076378-0.0048723i
0.031497+0.030476i,0.017257+0.015244i,0.021286+0.023131i,0.010567+0.019334i,0.011742+0.0052966i,0.0053566-0.0029534i,0.020587+0.0065028i,0.015964-0.0062007i,0.0063519-0.0088857i,0.0019154+0.0037969i,0.0022083-0.0027707i,-0.0012632-0.0035248i,-0.0018819+0.0015131i,0.00049438+2.1251e-05i,0.0020857-0.00083175i,0.0035205-0.0024116i,0.0032701-0.0064671i,0.00046626+0.00085128i,-0.0032258+0.0013691i,0.00037435+0.000217i,-0.00074293-0.0011732i,-0.0023195-0.00029863i,-0.0013854+0.00099293i,0.0092877+0.0059635i,-0.00059721+0.0030487i,0.0017648+0.001181i,0.0010341-0.00014542i,-0.00054779+0.0028888i,-0.0014063+0.00061782i,-0.0010011+0.0011044i,-0.0014684-0.00066134i,-0.0022785-0.0010246i,-0.00029319+0.00030416i,0.00075649+0.00034089i,-0.0008093+4.8466e-05i,-0.0044479+0.010717i,0.0012134-0.00056162i,0.0010376+0.00072453i,0.0014569+0.002212i,0.0006046-0.0010596i,-0.00026329-0.0006207i,-0.0014665-0.00022923i,-5.2403e-05+0.0015578i,0.00021273+0.0015233i,0.021604+0.016681i,-0.021504+0.020137i,-0.013892+0.019701i,-0.01887+0.013006i,0.0076119+0.034707i,-0.013332+0.018917i,-0.0053109-0.0032955i,-0.019467-0.016143i,-0.024079-0.00014492i,-0.0014851+0.0095405i,0.021908+0.016124i,-0.00080081+0.0022528i,-0.0028266+0.004865i,-0.01206-0.00023441i,0.0097129-0.0029598i,0.013053+0.0067104i,0.0022526+0.0084179i,-0.0096627-0.0066988i,0.0027948-0.0041684i,-0.0033353-0.0021154i,-0.0013911-0.0079494i,0.006689-0.0055413i,0.0032716+0.0085323i,0.0078701-0.0088635i,-0.0013443-0.0074325i,-0.00013069-0.0055607i,0.0035833-0.00033822i,-0.0038096-0.0050306i,-0.0019555+0.0012973i,0.0033075-0.00037439i,0.009296+0.035551i,-0.0084841-0.0036181i,0.0010752+0.00016604i,-0.0043462-0.0056711i,0.0040186-0.001654i,-0.01952+0.0015092i,-0.0023186-0.0023628i,0.0018284-0.0025274i,0.0031436-0.0033774i,-0.0051066-0.0062168i,0.0020337+0.0043886i,0.0018068+0.0027134i,-0.00031599+0.0059685i,-0.0066132+0.0043572i,-0.0076627+0.0013233i,-0.0066048+0.020709i,0.00017299+0.01612i,-0.028708-0.0041839i,-0.0038596-0.006223i,0.016926+0.015296i,0.0030964+0.020255i,-0.0034093-0.0051356i
0.034888+0.023435i,0.018937+0.010083i,0.026081+0.017834i,0.015276+0.016618i,0.013785+0.0033214i,0.0050146-0.0045455i,0.01991+0.0021589i,0.014626-0.0092857i,0.0043422-0.0095576i,0.0024565+0.0030963i,0.001603-0.003651i,-0.0013991-0.0016078i,-0.0012148+0.0017132i,0.0012442+0.00012461i,0.001843-0.0012725i,0.0026924-0.0025353i,0.001501-0.0066903i,0.00065538+0.00028833i,-0.0027561+0.0021404i,0.00022443-0.00052965i,-0.0014216-0.0014859i,-0.0021158+0.0001231i,-0.0011398+0.0011376i,0.01053+0.00071464i,0.00063373+0.0033846i,0.0018689+0.00014688i,0.00050697-0.00054918i,0.0005692+0.0025528i,-0.0011828+0.0014344i,-0.00058833+0.0015788i,-0.0017046+0.00023656i,-0.0032616+0.00035901i,-0.00025753+0.00035198i,0.00070048+4.8599e-05i,-0.00063214+0.00099638i,-0.0011022+0.011032i,0.0007457-0.00062425i,0.0012441+0.00019766i,0.0016438+0.0015935i,9.7754e-05-0.0010955i,-0.00058259-0.00083733i,-0.0016305+0.00018267i,7.0932e-05+0.0020611i,0.0006161+0.0019576i,0.026412+0.012144i,-0.015902+0.022601i,-0.010695+0.023532i,-0.012923+0.012825i,0.018073+0.027071i,-0.0066279+0.019149i,-0.011398-0.0020086i,-0.025842-0.013185i,-0.025942+0.0040598i,0.001583+0.0021767i,0.023215+0.0076394i,-0.0012696+0.0022726i,-0.00097708+0.0049653i,-0.012052+0.0026997i,0.0058863-0.0072438i,0.014012+0.0027631i,0.0063298+0.0082577i,-0.012702-0.0032248i,0.00075454-0.002955i,-0.0032956-0.00043809i,-0.0039633-0.0052727i,0.0043929-0.006772i,0.0060498+0.00734i,0.0046141-0.0090518i,-0.0049437-0.0043647i,-0.00034011-0.0030083i,0.0038479-0.0026055i,-0.0062695-0.0033353i,0.00010906+0.0010157i,0.0027524-0.0017934i,0.023649+0.025068i,-0.0098659-0.00014873i,0.0014252-0.00050454i,-0.0037698-0.0037131i,0.0042737-0.0038084i,-0.014813+0.0095221i,-0.0022491-0.0012369i,0.00071905-0.0027167i,0.0015817-0.0038376i,-0.0067632-0.0035195i,0.0016743+0.0030413i,0.0024617+0.0015152i,0.0024463+0.0055173i,-0.0042873+0.0052739i,-0.0077621+0.0034115i,-0.0041889+0.017339i,0.007556+0.015793i,-0.028158+0.00043137i,-0.0063589-0.0084424i,0.019942+0.01022i,0.0083172+0.020538i,-0.0055067-0.0041702i
0.036437+0.016764i,0.018482+0.0059479i,0.028165+0.010925i,0.018402+0.011563i,0.015171+0.00022676i,0.0038908-0.0059541i,0.018309-0.0012008i,0.012319-0.011922i,0.0028113-0.010108i,0.0027861+0.0027201i,0.0002321-0.003616i,-0.00066835-0.00073278i,-0.00098256+0.0018638i,0.0014024-1.5962e-06i,0.0013433-0.0016254i,0.0017952-0.0023219i,-0.00019839-0.006005i,0.00067513+7.7624e-05i,-0.0014425+0.0027181i,-0.00038945-0.00077581i,-0.0020302-0.00069247i,-0.0021033+0.00052388i,-0.00089166+0.0012933i,0.0087357-0.0035475i,0.0017486+0.0031167i,0.0014265-0.00044248i,5.1149e-05-0.00040282i,0.0011072+0.0018544i,-0.00048862+0.0016233i,4.3076e-05+0.0017543i,-0.0014778+0.0011598i,-0.0026855+0.001987i,-0.00013907+0.00032424i,0.00040706-0.00014634i,-0.00010914+0.0013212i,0.0020969+0.010363i,0.00059815-0.00064058i,0.00095371-0.0003507i,0.0016525+0.0013907i,-0.00051195-0.00093599i,-0.0011032-0.00077614i,-0.0017203+0.00051224i,0.00068218+0.0026181i,0.0012075+0.0020429i,0.029778+0.0052551i,-0.0096225+0.023946i,-0.0056175+0.026472i,-0.010413+0.0099411i,0.02559+0.015371i,3.9994e-05+0.015393i,-0.016402+0.0026189i,-0.031949-0.0071123i,-0.025955+0.0097907i,-1.3211e-05-0.0047492i,0.021754-0.00023274i,-0.0014431+0.0032409i,4.0765e-05+0.0065438i,-0.011336+0.0065285i,-9.7319e-05-0.0072057i,0.014006-0.0020025i,0.0099977+0.0061043i,-0.014022+0.001619i,-0.00027112-0.0025842i,-0.0024494+0.0008984i,-0.0049903-0.0017174i,0.0022432-0.0074245i,0.0085524+0.0038555i,0.0020433-0.0091935i,-0.0055267+0.00041463i,0.00050588-0.0020355i,0.002276-0.0045683i,-0.0068117+4.8122e-05i,0.0010489+0.00051224i,0.0019332-0.0026127i,0.030236+0.010172i,-0.0086713+0.0044747i,0.0014901-0.0014697i,-0.0039823-0.0025112i,0.0025753-0.0062958i,-0.0080065+0.012088i,-0.0018482-0.00072988i,-6.8706e-05-0.0020033i,0.00051852-0.0036216i,-0.0062404-0.00018038i,0.0018531+0.0025871i,0.0021807+0.00030691i,0.0048595+0.0044032i,-0.0021633+0.004777i,-0.007398+0.0054187i,-0.0029224+0.016527i,0.016087+0.0088696i,-0.025832+0.0051682i,-0.011169-0.0093379i,0.019015+0.004651i,0.013697+0.018439i,-0.0058363-0.00303i
0.037533+0.010756i,0.018449+0.0033306i,0.028365+0.0049421i,0.01977+0.0062158i,0.01547-0.0031046i,0.0026222-0.0068815i,0.01663-0.0034039i,0.0096766-0.013642i,0.0013984-0.010642i,0.0032756+0.002191i,-0.0008624-0.0029853i,-2.7097e-05-0.00073844i,-0.00069744+0.0022958i,0.001464-0.00037771i,0.00083542-0.0016605i,0.0014926-0.0016582i,-0.0011199-0.0053505i,0.00052561-3.942e-05i,-0.00040119+0.0024049i,-0.00090718-0.00060519i,-0.0022297-2.3197e-05i,-0.0017434+0.0011923i,-0.00057054+0.0014742i,0.0057925-0.0059901i,0.0026612+0.0025574i,0.0011132-0.00074119i,-0.00026506-0.00018732i,0.001389+0.0013039i,-3.6159e-05+0.0016684i,0.00082895+0.0016583i,-0.00074048+0.0017502i,-0.0016988+0.0029825i,-0.00018461+0.00027676i,0.00024904+6.8147e-05i,0.00057254+0.001476i,0.0045699+0.0089448i,0.00026583-0.0006722i,0.00050271-0.00062124i,0.0019186+0.0010584i,-0.00069179-0.00047985i,-0.0013668-0.00055118i,-0.0018412+0.000936i,0.0016028+0.0026374i,0.0012471+0.0015316i,0.030158-0.0023787i,-0.0028741+0.023358i,0.0012257+0.027412i,-0.0097479+0.0093101i,0.026486+0.0024369i,0.0025779+0.010132i,-0.01772+0.010114i,-0.03434+0.0026581i,-0.024176+0.016612i,-0.005088-0.008641i,0.016581-0.005577i,-0.00065601+0.0042842i,0.0037442+0.0064932i,-0.0089968+0.0099728i,-0.003184-0.00407i,0.011478-0.0079448i,0.012617+0.002265i,-0.013594+0.0063042i,-0.00076023-0.00089775i,-0.0014217+0.0015675i,-0.00313+0.00049362i,-0.0007038-0.0070862i,0.0086489+0.00047811i,-0.00072026-0.0085226i,-0.0032901+0.0035202i,0.0013323-0.0024401i,0.00014212-0.0052452i,-0.005203+0.0026746i,0.0021454-0.00045581i,0.0013253-0.0026757i,0.029049-0.0038033i,-0.004945+0.0069707i,0.0007747-0.0023815i,-0.0033828-0.0020893i,-0.00024957-0.0071862i,-0.0032212+0.011486i,-0.0018285-0.00019929i,-0.00010659-0.00067457i,0.00030563-0.0030563i,-0.0038952+0.001667i,0.0024564+0.0020149i,0.0012218-0.00030719i,0.0061268+0.0016153i,-0.0015464+0.0033579i,-0.0059259+0.0077417i,-0.00064789+0.016546i,0.018269-0.0037376i,-0.02141+0.0060758i,-0.015983-0.0075346i,0.017762+0.00051435i,0.01769+0.012987i,-0.0066186-0.0029998i
0.038044+0.0045334i,0.018726+0.00021083i,0.02828-0.00079784i,0.020223+0.00068888i,0.015301-0.0062918i,0.0011831-0.0076207i,0.015731-0.0049233i,0.0070033-0.014956i,-0.00014318-0.011298i,0.0033374+0.0014675i,-0.0010423-0.0021557i,0.0002695-0.00091667i,4.0841e-05+0.0028129i,0.0013724-0.00060834i,0.00051422-0.0016603i,0.0019034-0.0011504i,-0.0018549-0.0051961i,0.00064754-0.00026659i,0.00022472+0.0018872i,-0.0012054-0.00025241i,-0.0017943+0.0006471i,-0.001012+0.0014139i,-0.00016668+0.0015636i,0.0022427-0.0070839i,0.0036027+0.0016081i,0.00074289-0.0010147i,-0.00032224+2.2233e-05i,0.0015085+0.00080316i,0.00046122+0.0016661i,0.0013697+0.0010558i,0.00016249+0.0019148i,-0.00032597+0.0035566i,-0.00019139+0.00046805i,0.00040656+0.00010922i,0.0011641+0.0010733i,0.0060892+0.0070887i,6.4917e-07-0.00053905i,0.00013102-0.00053696i,0.001825+0.00048364i,-0.00048114-0.00016055i,-0.0017191-0.00012958i,-0.0018076+0.0013522i,0.0024694+0.0023662i,0.0012976+0.0014625i,0.028601-0.0095927i,0.0028608+0.020764i,0.0078238+0.025359i,-0.0086863+0.01001i,0.023395-0.0082385i,0.0023268+0.0065412i,-0.014356+0.017598i,-0.031006+0.013009i,-0.017883+0.024185i,-0.010982-0.0075911i,0.011715-0.0073814i,0.00069752+0.0045859i,0.0060509+0.004i,-0.0055539+0.01272i,-0.0041434-0.0015204i,0.0054971-0.012797i,0.012559-0.0032146i,-0.011579+0.0098919i,0.00015984+4.0809e-05i,-0.00032592+0.0015829i,-0.0014829+0.00089448i,-0.0023895-0.0052713i,0.0071984-0.0020083i,-0.0024797-0.0067446i,-0.00021704+0.0044874i,0.0013967-0.003992i,-0.0017808-0.0046471i,-0.0034024+0.0034979i,0.0019461-0.0022418i,0.0010456-0.0029161i,0.022576-0.01471i,-0.0012736+0.0073828i,-0.00029288-0.0022332i,-0.0038382-0.0012713i,-0.0031925-0.0064403i,0.00023881+0.010515i,-0.00096611+0.00032298i,0.0010967-0.00055281i,-0.00015258-0.0037725i,-0.0014563+0.0019235i,0.0024367+0.0014773i,0.00045852+0.00014553i,0.0053219-0.0004221i,-0.0022164+0.002451i,-0.0032064+0.0090456i,0.00208+0.015681i,0.012414-0.013851i,-0.01964+0.0029434i,-0.020498-0.0031646i,0.014581-0.0045182i,0.018278+0.0074394i,-0.0076038-0.0019607i
0.037519-0.0016588i,0.018012-0.0033482i,0.026235-0.0075475i,0.018304-0.0057164i,0.014539-0.0099051i,-0.00056459-0.0078741i,0.015321-0.0067877i,0.0041449-0.016134i,-0.0020316-0.011527i,0.0032589+0.0014299i,-0.0014072-0.0018059i,0.00012207-0.0017423i,0.00090214+0.0028215i,0.0011935-0.00093417i,0.00015662-0.0015882i,0.0024647-0.0013486i,-0.0032429-0.0049747i,0.00020505-0.00061102i,0.00069557+0.0012664i,-0.0015133+0.00017991i,-0.0016315+0.00083279i,-0.0003489+0.0011335i,0.00021093+0.0014976i,-0.0012625-0.0063883i,0.004005-0.00019885i,0.00019899-0.0010742i,-0.00060937+0.00021876i,0.0014706+0.0004281i,0.0011438+0.0013654i,0.0015298+0.00035994i,0.0010483+0.0016928i,0.00089557+0.0036118i,-0.00019314+0.00074006i,0.00051312+8.9162e-05i,0.0012941+0.00040995i,0.0070623+0.0052811i,-0.00021628-0.0004181i,-0.00022287-0.00044356i,0.0019364+0.00012377i,-0.00010452-8.8359e-05i,-0.0018675+0.0005541i,-0.0013794+0.0019387i,0.0033384+0.0015293i,0.0012388+0.001453i,0.025459-0.01605i,0.0071544+0.016922i,0.012801+0.021569i,-0.0059585+0.011119i,0.017477-0.016268i,0.0012876+0.0049081i,-0.0081795+0.021694i,-0.023229+0.019632i,-0.0080391+0.02762i,-0.014688-0.003054i,0.0078918-0.0074667i,0.0019131+0.0041372i,0.0059913+0.00087746i,-0.0010264+0.013582i,-0.0047162+0.00063364i,-0.0032496-0.012749i,0.0095776-0.0073206i,-0.0087259+0.012794i,0.001435-0.00084952i,0.00042052+0.001184i,-0.00098834+0.00025132i,-0.0026225-0.0037182i,0.0056793-0.0028832i,-0.0032483-0.0057389i,0.002138+0.0036038i,8.0572e-05-0.0058933i,-0.0032228-0.0033678i,-0.0013987+0.0041881i,0.00048384-0.0034061i,0.00050147-0.0036458i,0.012985-0.020302i,0.0017417+0.0062995i,-0.00069647-0.0019862i,-0.0032491-0.0010175i,-0.0051162-0.0049017i,0.0026647+0.008948i,4.9698e-05-0.0004855i,0.0016164-0.0012835i,-0.0015394-0.0037979i,-0.000376+0.00087798i,0.0031665+0.0012515i,0.00049789+0.0010536i,0.0046413-0.0015223i,-0.0031409+0.0025755i,-0.00081888+0.008739i,0.0050983+0.015045i,0.0038183-0.019967i,-0.023148+0.00071174i,-0.02184+0.0032348i,0.0082701-0.0069207i,0.018039+0.002718i,-0.0072045-0.0015908i
0.036217-0.0075523i,0.017289-0.0059186i,0.022122-0.01223i,0.013603-0.010221i,0.01258-0.013401i,-0.0021061-0.0076092i,0.014969-0.0089197i,0.00096811-0.016552i,-0.003696-0.011662i,0.003987+0.0015206i,-0.0017186-0.0008865i,-0.00094367-0.0019445i,0.0017324+0.0025849i,0.00082181-0.001088i,-0.00014313-0.0014196i,0.0026826-0.0018448i,-0.004996-0.0037844i,-0.00012656-0.00050398i,0.0008334+0.00067205i,-0.0014928+0.00091576i,-0.0013626+0.0013362i,-0.00035324+0.00062096i,0.00053807+0.0014043i,-0.003827-0.0039853i,0.0030903-0.0016653i,-0.00021731-0.00091322i,-0.00054942+0.00066083i,0.0013517+0.00019064i,0.001391+0.00064168i,0.0014089-0.00015008i,0.0017383+0.0010741i,0.0021595+0.0030361i,0.0001278+0.0011011i,0.00059977-1.4928e-05i,0.00091879+0.000494i,0.0075545+0.0033055i,-0.0003479-0.00028816i,-0.00043142-0.00010756i,0.0020976-0.0003224i,0.00017242-0.0001192i,-0.001576+0.001335i,-0.00059665+0.0022312i,0.0036727+0.00028985i,0.0012886+0.0016096i,0.020728-0.021291i,0.0099217+0.012373i,0.015967+0.017324i,-0.002519+0.010621i,0.010346-0.020463i,0.00034074+0.0049034i,-0.0016487+0.023012i,-0.015163+0.021582i,0.0025452+0.026575i,-0.014672+0.0026245i,0.0058513-0.0070636i,0.003059+0.0032827i,0.0047952-0.0010677i,0.0039199+0.012353i,-0.0040601+0.0035002i,-0.0096705-0.0073689i,0.0055829-0.0092022i,-0.0051015+0.014623i,0.0010138-0.0025811i,0.00081419+0.00073035i,-0.0012602+0.00027608i,-0.0023461-0.0025823i,0.0045049-0.0035046i,-0.0042908-0.004649i,0.0035282+0.001874i,-0.0035965-0.0064588i,-0.003695-0.0017025i,0.0011208+0.0032443i,-0.00043416-0.0036186i,-0.00067737-0.0041129i,0.0036224-0.020955i,0.0035882+0.0045644i,-0.0010897-0.0019615i,-0.004176-0.00066788i,-0.006311-0.0024944i,0.0039222+0.0073416i,-0.00031514-0.0018768i,0.0018689-0.0022866i,-0.0023158-0.002878i,1.3154e-05+7.7128e-05i,0.0035496+0.00040651i,0.0012543+0.0014468i,0.0031514-0.0023893i,-0.0037687+0.0034213i,0.0010214+0.007696i,0.0093699+0.014238i,-0.0071503-0.022084i,-0.027425+0.0025203i,-0.019537+0.0094354i,0.003508-0.0046965i,0.015782-0.0020665i,-0.0072786-0.0027067i
0.034111-0.013451i,0.016695-0.0092127i,0.018404-0.014965i,0.0090141-0.01157i,0.0098323-0.016305i,-0.0032938-0.0071083i,0.014828-0.011768i,-0.0020767-0.016358i,-0.0055294-0.011596i,0.0049126+0.00067725i,-0.0011495-0.00013324i,-0.0017118-0.0010873i,0.0024427+0.0018902i,0.00047016-0.0011359i,-0.0002675-0.0012255i,0.0028229-0.0022488i,-0.0060124-0.0019208i,-0.00011253-0.00064373i,0.00070873+0.00011885i,-0.0010283+0.0013266i,-0.00091259+0.001465i,-0.00049283+0.00055157i,0.00091808+0.0012331i,-0.0047183-0.00082553i,0.002072-0.0022789i,-0.00045759-0.00065927i,-0.00018134+0.00079938i,0.0013609-9.1353e-05i,0.0011238+0.0004287i,0.0012226-0.00058471i,0.0021772+0.00030657i,0.0029105+0.0021493i,0.0007453+0.0010911i,0.00079272-0.00011117i,0.0011932+0.00091149i,0.0073293+0.0015422i,-0.00055136-1.4046e-05i,-0.00035144+0.00019914i,0.0018253-0.0010388i,0.00057506-0.00027802i,-0.00093702+0.0017996i,7.4243e-05+0.0021794i,0.0032622-0.00091529i,0.0014498+0.0019565i,0.015058-0.024854i,0.010553+0.0077295i,0.017828+0.013195i,6.7401e-05+0.0088947i,0.0039902-0.022204i,0.00065595+0.0067668i,0.00459+0.022494i,-0.0080799+0.021575i,0.010616+0.021836i,-0.011416+0.0073652i,0.004243-0.0074666i,0.0039914+0.0015702i,0.0040837-0.0023092i,0.0079328+0.0087801i,-0.0017138+0.0047235i,-0.011612-0.00091725i,0.0017954-0.0095702i,-0.00077445+0.01466i,-0.00075739-0.0032705i,0.00039636+0.00037211i,-0.0012652+0.00079961i,-0.0021504-0.0020708i,0.0034794-0.0032283i,-0.0050023-0.0028872i,0.0034563+0.00029104i,-0.0068365-0.0038864i,-0.0030917-0.0002577i,0.001968+0.0011767i,-0.0012688-0.0037053i,-0.0021564-0.003814i,-0.0037403-0.018456i,0.0046837+0.0022187i,-0.0018033-0.0017318i,-0.004323+0.0010634i,-0.0060277+0.00027386i,0.0052746+0.0063156i,-0.001869-0.0025768i,0.0014474-0.003638i,-0.0028121-0.0024995i,-0.00021613-0.0011972i,0.00381-0.00025925i,0.0020637+0.001331i,0.0016969-0.0018635i,-0.0040594+0.0045522i,0.0021989+0.0064228i,0.01413+0.011201i,-0.01764-0.018741i,-0.030503+0.006429i,-0.014759+0.01231i,0.0021359-0.0026071i,0.011771-0.0049018i,-0.009564-0.0030455i
0.030635-0.01895i,0.01512-0.013035i,0.015157-0.017302i,0.0056346-0.011678i,0.0064088-0.018574i,-0.0044341-0.006559i,0.013988-0.015923i,-0.0049769-0.015647i,-0.0077975-0.011115i,0.0053332-0.00063813i,-0.00045791-0.00016379i,-0.0019226+6.5526e-05i,0.0026605+0.0010213i,0.00024835-0.0008646i,-0.00036749-0.001181i,0.0027072-0.0030058i,-0.0062069+0.00023635i,-0.000357-0.00084312i,0.00047228-0.00011788i,-0.00054276+0.0015181i,-0.00055772+0.0016394i,-0.00059448+0.00067166i,0.0011818+0.00086194i,-0.0037435+0.0020367i,0.0012547-0.0025013i,-0.00061923-0.0003234i,0.00014268+0.00070703i,0.0010963-0.00047049i,0.0012117+0.00031892i,0.0008242-0.00098071i,0.0023505-0.00058682i,0.0035569+0.0011661i,0.0012291+0.00081359i,0.00084054-0.00059655i,0.0020752+0.00083528i,0.0070206+0.00013776i,-0.00040189+0.0003594i,-0.00016161+0.00047573i,0.0011038-0.0014428i,0.00091533-0.00063593i,-0.00033201+0.0021404i,0.00077105+0.0020857i,0.0024926-0.0015581i,0.0020929+0.0024283i,0.009234-0.026698i,0.0094895+0.0046846i,0.018925+0.0095284i,0.0015689+0.0080346i,-0.0021531-0.023351i,0.0037539+0.0087842i,0.010268+0.019839i,-0.0010087+0.019597i,0.016648+0.0149i,-0.0059953+0.0098621i,0.0026802-0.0077674i,0.0036693-0.0011366i,0.003201-0.0039169i,0.0089775+0.0039445i,-0.0003297+0.004241i,-0.010923+0.0054514i,-0.001855-0.0086812i,0.0025684+0.012227i,-0.0026758-0.0025228i,-4.4616e-05+0.0008154i,-0.00092709+0.0012836i,-0.0017956-0.0018787i,0.0035724-0.0019795i,-0.0043783-0.0014129i,0.00333+2.3571e-05i,-0.0075736-0.0003552i,-0.002114+0.00032027i,0.0016784-9.6725e-05i,-0.0030778-0.0037622i,-0.0033931-0.0026235i,-0.0095695-0.014837i,0.0046873-0.00024301i,-0.0023859-0.0010364i,-0.00302+0.0022275i,-0.0046864+0.0020914i,0.0070332+0.0051204i,-0.0033683-0.0015593i,8.4153e-05-0.0048505i,-0.0036907-0.0016564i,-0.0015583-0.0016404i,0.0043229-0.0018025i,0.0028377+0.00097356i,0.0015794-0.0012957i,-0.0028628+0.0062393i,0.0026428+0.0049803i,0.017905+0.0058682i,-0.023468-0.010501i,-0.032762+0.012616i,-0.010463+0.013376i,0.0010454-0.00075067i,0.0082818-0.0049615i,-0.011249-0.0018302i
