-0.025679-0.0043851i,-0.022055-0.0070995i,-0.012249-0.012662i,-0.035097-0.0071312i,-0.027151+0.0016592i,-0.036036-0.0032361i,-0.066619-0.040512i,-0.032946-0.015646i,-0.022425+0.0032204i,0.0064336+0.0063028i,-0.0051215+0.007371i,-0.0079472+0.018054i,0.006112+0.0080112i,-0.0011489+0.003204i,0.0042191+0.0037989i,0.0037128+0.025903i,0.021697+0.019944i,0.0013296-0.00060289i,0.00076831-0.0046904i,0.0088393-9.2072e-06i,0.0052892-0.000448i,0.0023202+0.0015695i,0.0014113-0.00082778i,-0.024515-0.0018675i,-0.0047872-0.0041695i,-0.00051182+0.0028499i,0.0045367-0.0040735i,-0.0018219-0.00039609i,-0.00043385+0.0011735i,-0.0020911-0.0013845i,-0.0036945-0.00017158i,-0.0072491-0.0086829i,-0.0052262-0.0071259i,-0.00052683+0.00031136i,-0.00036054-0.0022496i,7.5708e-05+0.021896i,0.0022983-0.0040985i,0.00058253-0.0042285i,0.0028455-0.0020848i,-0.0029728-0.0029336i,0.00074124-5.6293e-06i,0.0080064-0.0021458i,0.0030346-0.0019666i,-4.8846e-05+0.0027698i,-0.014367+0.015371i,-0.02666+0.052873i,-0.0060409-0.037571i,-0.014174-0.018291i,-0.039697-0.016832i,-0.027785-0.012782i,0.036428-0.011725i,0.0059709-0.030496i,0.012973-0.038387i,-0.0083062-0.030511i,0.025941-0.023298i,0.013117+0.0072246i,0.028233-0.03569i,-0.0016642-0.0042751i,0.0058942-0.0087563i,-0.0013814-0.0060159i,0.00032098-0.035929i,-0.014415+0.02843i,0.0088301-0.011295i,-0.0084761-0.0045552i,-0.0024163-0.0022239i,0.00025594-0.01568i,-0.0081282+0.005903i,0.004537+0.006867i,-0.0017673+0.02849i,0.0023777+0.00037578i,-0.0071144-0.0044421i,-0.0039088-0.0062847i,-0.014747-0.0094349i,-0.0018843-0.0064949i,-0.034768+0.0055861i,-0.0048603-0.0087201i,-0.013044-0.0010774i,-0.01035-0.0057751i,0.0016096-0.0015029i,-0.013557+0.0020956i,-0.0015256-0.00020644i,0.0054731+0.0060031i,0.003736-0.0051179i,-0.013885-0.013679i,0.0072567+0.0087105i,-0.016178+0.0052419i,0.0049075+0.00033332i,-0.019209-0.0031212i,-0.015856-0.00436i,-0.015433-0.035603i,0.020741-0.010255i,-0.038523-0.023841i,-0.0091105+0.0043677i,0.018108+0.014667i,-0.022236+0.017117i,-0.0035074-0.0037601i
0.0070836-0.010029i,0.011701+0.0010753i,0.0076397+0.0027638i,0.014386-0.0041936i,0.018651-0.0020179i,0.016504-0.013574i,0.016699-0.0052301i,0.013512-0.0014217i,0.0015283-0.0090595i,-0.0027236+0.003459i,-0.00060289-0.0003571i,-0.0016432+1.0212e-05i,-0.0011493+0.0040937i,-0.0019128+0.0023313i,0.00044111+0.0022614i,0.0011464-0.00075864i,0.0026753-0.001318i,0.0010739-0.0013739i,-0.00011394-0.0010181i,-9.9658e-05-0.00016739i,0.00065519-0.0027781i,-0.0012168-0.0014311i,-0.00051139-0.00066878i,0.0040241+0.0052248i,-0.0014876+0.00064745i,-0.0014208+0.0012858i,-0.0025916+0.00032786i,-0.0019182-3.0481e-05i,-0.0024263-0.00097011i,-0.0020868+0.00038183i,0.0015555-0.0013762i,0.00065625+0.0013161i,0.0014802+0.00012017i,0.0015752-0.00024308i,0.0012637-0.00044431i,-0.010628+0.006291i,-0.0015769-0.00018938i,-0.0010025+0.00039769i,-0.0027043-7.0446e-05i,0.0018378-0.0027732i,-5.6336e-05-0.00084054i,0.00065557-0.0013204i,-0.001337+0.0022889i,0.0018383+0.00070644i,0.0011338-0.013173i,-0.023221-0.0089232i,-0.0022146-0.005582i,-0.0075697+0.003876i,0.01765+0.020865i,0.00070796+0.0049615i,0.012908-0.014498i,-0.010542-0.028381i,-0.0043195-0.014019i,0.0073636-0.0082505i,0.01935+0.018112i,0.0020899+0.0013882i,-0.0015952-0.00034166i,-0.0064198+1.8863e-05i,0.010903-0.003449i,0.013073+0.007311i,0.002119+0.0047878i,-0.0051769-0.0078981i,0.0070686-0.0033327i,-0.0038153-0.0066587i,0.0033653-0.01163i,0.0063704-0.0062822i,-0.00055029+0.0074078i,0.010142-0.0075381i,0.0047647-0.0083177i,0.00096382-0.0071621i,-0.0027403-0.0017526i,-0.0061782-0.006837i,-0.0080503-0.00083626i,0.0003815-0.0014646i,-0.0085223+0.028375i,-0.0095553-0.0027114i,0.00065534+0.0032294i,-0.0034761-0.0046354i,0.00080282+0.00097164i,-0.016281+0.00087046i,-0.0031224+0.0019578i,-0.0013973-0.0017429i,-0.0036036-8.9258e-05i,-0.0056715-0.0033026i,-0.001475+0.0052418i,-0.0018617+0.0022737i,-0.0050319+0.0060282i,-0.0057486+0.00047755i,-0.0023955-0.0015735i,0.0079125-0.0013832i,-0.0050993+0.018663i,-0.028571-0.0016738i,-0.010889-0.0037951i,0.01194+0.016175i,-0.0020013+0.017125i,-0.0070298-0.0048642i
0.0056525-0.011752i,0.012019-0.0027941i,0.007925+0.0018i,0.012842-0.0057116i,0.01829-0.0050848i,0.013971-0.016194i,0.013769-0.0083503i,0.013003-0.0038062i,-6.9128e-05-0.0094186i,-0.0015329+0.003665i,-0.00042549+6.7417e-05i,-0.0018407+0.0014063i,5.224e-05+0.0042372i,-0.00091063+0.0029768i,0.0009185+0.0021666i,0.00068624-0.0003399i,0.0018165-0.0017444i,0.0010598-0.0015173i,-0.00043646-0.0015975i,0.00024588-0.00070366i,-9.7712e-05-0.0028746i,-0.0014403-0.0011368i,-0.00065539-0.00090729i,0.0065249+0.0029515i,-0.0016101+0.0017885i,-0.00070856+0.0017994i,-0.0025378+0.0011691i,-0.0020145+0.00075526i,-0.0031546+0.00030912i,-0.0018881+0.001512i,0.00078877-0.0016629i,0.00083435+0.0002298i,0.0009213-0.00050727i,0.0011764-0.00079379i,0.00087158-0.00047162i,-0.0078832+0.0093108i,-0.0019502+0.0004993i,-0.0010127+0.0010368i,-0.0026705+0.0011793i,0.00095999-0.0029687i,-4.411e-05-0.00092553i,7.3919e-05-0.0013779i,-0.00089115+0.002568i,0.0014578+0.00076113i,-0.00041584-0.012463i,-0.021023-0.0063473i,-0.0037298-0.0027103i,-0.003491+0.0023158i,0.025967+0.013605i,0.0046681+0.0027331i,0.0061362-0.017461i,-0.01933-0.028183i,-0.0094076-0.014816i,0.010261-0.015109i,0.021217+0.010531i,0.00078409+0.00024455i,-0.0011785+0.0025078i,-0.005562+0.0020627i,0.0077045-0.0070656i,0.01417+0.0037011i,0.0050866+0.0061868i,-0.0096973-0.0059584i,0.0033038-0.0053672i,-0.0048103-0.0043259i,-0.0024379-0.010559i,0.0035621-0.0077376i,0.0031261+0.0055206i,0.0056989-0.0094575i,0.0001647-0.0081056i,-0.00282-0.0042257i,-0.0019127-0.00075503i,-0.0078104-0.0047254i,-0.0058081+0.0026614i,0.00061164-0.001331i,0.0055901+0.027471i,-0.010425+0.00062632i,0.0014423+0.001791i,-0.0056072-0.0024296i,0.0013954+0.00010732i,-0.014254+0.008422i,-0.0019919+0.0032257i,-0.0018209-0.00029595i,-0.0023349+0.00085825i,-0.0061784-0.00092538i,-0.00012661+0.0025874i,-0.00069061+0.0020725i,-0.0014768+0.007389i,-0.004027+0.0021013i,-0.0034933-0.001349i,0.0087983-0.0075463i,-0.0010556+0.02036i,-0.028285+0.0040677i,-0.012499-0.004849i,0.013891+0.014044i,0.00079328+0.01872i,-0.0092898-0.0039897i
0.0032001-0.012988i,0.010022-0.0071489i,0.0088155+3.2824e-05i,0.011878-0.0071667i,0.01775-0.0081724i,0.010932-0.018765i,0.010337-0.011031i,0.012118-0.0063568i,-0.001658-0.0090135i,-0.00088993+0.0037036i,-0.00028882-0.00012526i,-0.001063+0.0024901i,0.0011592+0.0037779i,0.00013304+0.0028218i,0.0014007+0.0019382i,0.00049206+4.3679e-05i,0.00087599-0.0019525i,0.00089277-0.0020583i,-0.0011654-0.0015795i,-0.00015846-0.0015156i,-0.0010543-0.002919i,-0.0014472-0.00078934i,-0.0011004-0.0010587i,0.0068836-0.00051862i,-0.00070111+0.0026996i,-0.00016231+0.0019595i,-0.0022909+0.0024379i,-0.0016796+0.0015374i,-0.0029489+0.0020632i,-0.0011202+0.0024083i,9.3794e-05-0.001551i,1.3851e-05+0.00038665i,0.00052833-0.00057575i,0.00063804-0.0010646i,0.00074755-0.00044581i,-0.0044679+0.011217i,-0.0019364+0.001763i,-0.00046594+0.0014647i,-0.0020512+0.0024785i,8.3776e-06-0.0031238i,-8.946e-05-0.001134i,-0.00021763-0.0012895i,-0.00046271+0.0029498i,0.0017834+0.0010523i,-0.0010578-0.011684i,-0.0199-0.0033547i,-0.0022973+0.00091222i,-0.00012032-0.00099431i,0.032398+0.0035787i,0.007881+0.00094831i,-0.00061777-0.017332i,-0.026639-0.024741i,-0.014089-0.012206i,0.0090267-0.023427i,0.019888+0.003544i,-0.00095484+0.00014256i,-0.00094354+0.0022201i,-0.0052583+0.0028613i,0.0023939-0.010005i,0.014287-0.0005613i,0.0080714+0.0051188i,-0.012478-0.0020347i,0.0013568-0.0045435i,-0.0053476-0.0017848i,-0.0054331-0.0074687i,0.0010752-0.0077015i,0.005113+0.0045027i,0.0027918-0.0092784i,-0.0032891-0.0055672i,-0.0026643-0.00067411i,-0.0018606-0.00097972i,-0.0097228-0.0014434i,-0.0031516+0.0036763i,-0.00039954-0.0019434i,0.016097+0.020196i,-0.0099901+0.00485i,0.0018885+0.00099083i,-0.0043242-0.00015706i,0.0016808-0.0011558i,-0.0077239+0.013493i,-5.4504e-05+0.0041623i,-0.0021377+0.00028308i,-0.0019063+0.0015968i,-0.0061922+0.0019479i,-0.00080515+0.0027844i,7.3185e-05+0.0015749i,0.0015477+0.007133i,-0.0029102+0.001626i,-0.0047285+0.00014804i,0.0059336-0.01291i,0.0086075+0.018683i,-0.026177+0.0075077i,-0.01429-0.0050274i,0.016564+0.0096261i,0.0056253+0.020036i,-0.010582-0.0025019i
0.00060432-0.013143i,0.006207-0.0091258i,0.0085592-0.0024068i,0.010798-0.0090022i,0.016345-0.011428i,0.0070616-0.02039i,0.0064179-0.012069i,0.010521-0.0086684i,-0.0027962-0.0085134i,-0.00033243+0.0039853i,-0.00053875-5.3271e-05i,9.932e-05+0.0028309i,0.001638+0.0031426i,0.00062087+0.0027026i,0.0017127+0.0016228i,0.00036722+0.00051231i,1.2392e-05-0.0014911i,0.00047046-0.0024514i,-0.0013164-0.0013279i,-0.0010773-0.0017613i,-0.0018793-0.0023091i,-0.0015599-0.00054001i,-0.0016882-0.00084932i,0.0054894-0.0031822i,0.00051213+0.0028868i,0.00050488+0.0021628i,-0.00097833+0.0035347i,-0.001149+0.0020735i,-0.0016615+0.0032712i,-4.5742e-06+0.0027482i,-0.00041857-0.001231i,0.00042201+0.0008669i,0.00023585-0.00064454i,3.9573e-05-0.0011192i,0.00061082-0.0005147i,-0.00057537+0.011888i,-0.00099687+0.0027752i,-1.794e-05+0.0015063i,-0.00093891+0.0033569i,-0.0010828-0.0029686i,-0.00052302-0.0013306i,-0.00038413-0.0012785i,0.00028906+0.0033797i,0.0022955+0.0010254i,-0.001338-0.011894i,-0.016788-0.00031783i,0.0014088+0.0029898i,-0.00063238-0.0055242i,0.035159-0.010176i,0.01036-0.0036688i,-0.0064402-0.014157i,-0.033527-0.018278i,-0.016784-0.0065549i,0.003268-0.030239i,0.017247-0.0017463i,-0.0018661+0.0014443i,-0.00092721+0.0043685i,-0.0047902+0.00432i,-0.0040753-0.0083548i,0.013192-0.0053347i,0.010533+0.0024036i,-0.013027+0.0031151i,-8.5579e-05-0.0044076i,-0.0045386+0.00042096i,-0.0066795-0.0035108i,-0.00089427-0.0074575i,0.0065133+0.0012899i,0.00033289-0.0091353i,-0.0042226-0.0014474i,-0.0010111+0.0013049i,-0.0024639-0.00073349i,-0.0090931+0.0028106i,-0.00096861+0.0041882i,-0.001405-0.0015482i,0.021217+0.0099531i,-0.0069789+0.0093125i,0.0020806-0.00015792i,-0.0033206+0.0014645i,0.00056589-0.0022113i,-0.00095742+0.013328i,0.0023157+0.0033844i,-0.0021021+0.0020622i,-0.0010652+0.0027563i,-0.0037066+0.0046224i,-0.00020639+0.0034734i,-3.4767e-05+0.00086862i,0.0048074+0.0061772i,-0.0031052+0.0008458i,-0.0055736+0.0022226i,0.0021795-0.014421i,0.018078+0.0088618i,-0.023141+0.011345i,-0.017714-0.003907i,0.015303+0.0054013i,0.011049+0.018769i,-0.010253-0.001223i
-0.0014784-0.012718i,0.003591-0.0090237i,0.0076117-0.0041474i,0.0095586-0.010746i,0.01437-0.014335i,0.0032829-0.021283i,0.0032131-0.011634i,0.0084906-0.010333i,-0.0036914-0.0078364i,0.00050919+0.0041344i,-0.0008175+0.00017824i,0.0010907+0.0025599i,0.0018437+0.0028432i,0.00098487+0.002508i,0.0019954+0.0013633i,0.00068242+0.001194i,-0.00020147-0.00092123i,-0.00026081-0.0027958i,-0.0017427-0.0013339i,-0.0019709-0.0014013i,-0.0024036-0.0018254i,-0.0015547-0.00024415i,-0.0021135-0.00029429i,0.0034111-0.0047033i,0.0015547+0.0026009i,0.0014139+0.0020481i,0.00051268+0.0037996i,-0.00047186+0.002529i,-0.00015074+0.003734i,0.0011788+0.0026288i,-0.00057188-0.00088944i,0.00079957+0.00087146i,-0.00016409-0.00058207i,-0.00052246-0.00064237i,0.00058926-0.00048189i,0.0030485+0.011502i,0.00020524+0.0032875i,0.00032614+0.0016047i,0.00059478+0.0037165i,-0.0018328-0.0023875i,-0.00093694-0.0013352i,-0.00072661-0.0013058i,0.0012539+0.003353i,0.0025268+0.00040757i,-0.0025391-0.012551i,-0.012407+0.00048027i,0.0061433+0.0023445i,-0.0028583-0.0073644i,0.031126-0.023331i,0.0099298-0.0083791i,-0.0089274-0.009094i,-0.03657-0.0087061i,-0.016402+0.00050083i,-0.0051841-0.032819i,0.013091-0.004921i,-0.0013973+0.0027093i,0.0017687+0.005178i,-0.0037995+0.0056191i,-0.007035-0.0038555i,0.009651-0.010499i,0.011536-0.0014051i,-0.011508+0.007477i,-0.0011167-0.003189i,-0.0031834+0.0014426i,-0.005273-0.00098639i,-0.0036541-0.0062534i,0.0058837-0.00099665i,-0.0020654-0.0082172i,-0.0027895+0.0012968i,0.0008977+0.0016112i,-0.0025706+7.1645e-06i,-0.0064518+0.005779i,0.0016461+0.0034374i,-0.0016964-0.00031127i,0.021264+7.3804e-05i,-0.0014803+0.011011i,0.001391-0.00099138i,-0.0014862+0.0016713i,-0.00057889-0.001889i,0.0034192+0.01101i,0.0032011+0.0019551i,-0.00040961+0.0043131i,0.00093264+0.0033777i,-0.00020105+0.00488i,0.0012401+0.0036425i,-0.00095842+0.00076889i,0.0066162+0.0034868i,-0.0040927+0.00090609i,-0.0046814+0.0047112i,9.9881e-05-0.014494i,0.018485-0.0057777i,-0.017704+0.011537i,-0.020308-0.0011163i,0.015335+0.0022626i,0.01532+0.013996i,-0.011131-0.0012138i
-0.0031498-0.012119i,0.0021315-0.0088758i,0.0069039-0.0054812i,0.0080039-0.012716i,0.012008-0.016947i,-0.00074294-0.021639i,0.0012489-0.010519i,0.0064491-0.01141i,-0.0042388-0.0072856i,0.0012033+0.0039854i,-0.00091666+0.00073942i,0.0018917+0.0021646i,0.0023406+0.0027868i,0.0014417+0.0024683i,0.0023746+0.00094333i,0.0016207+0.0017428i,-0.00013806-0.00072342i,-0.0012594-0.0029048i,-0.0023657-0.001026i,-0.0026009-0.00071721i,-0.0027707-0.001245i,-0.00145-2.4722e-05i,-0.0022659+0.00040877i,0.00084295-0.0053619i,0.0025389+0.001944i,0.0022367+0.0014746i,0.0019579+0.0033446i,0.00050904+0.0028766i,0.0013427+0.0035751i,0.0021752+0.0019602i,-0.00066309-0.00064267i,0.0013034+0.0006891i,-0.00034733-5.9014e-05i,-0.00052312-5.2751e-05i,0.00059467-0.00064555i,0.0062695+0.0099693i,0.0016794+0.0031767i,0.00097018+0.0017439i,0.0021077+0.0032046i,-0.0021939-0.0017572i,-0.0014618-0.0011605i,-0.001295-0.0012558i,0.0021151+0.0030758i,0.0025492-2.5689e-05i,-0.0039475-0.012993i,-0.0092315-0.00076813i,0.0098414-0.00098663i,-0.0050542-0.0075368i,0.023532-0.033313i,0.0076309-0.011746i,-0.0083503-0.0043286i,-0.034689+0.0010994i,-0.011083+0.0075879i,-0.013277-0.030788i,0.0094936-0.0060708i,-0.00034036+0.0033699i,0.0038718+0.0040066i,-0.0023686+0.007038i,-0.0075821-0.00020445i,0.0034195-0.013891i,0.010005-0.0060254i,-0.0091982+0.010047i,-0.0012289-0.0021677i,-0.0020763+0.0014031i,-0.0041964-0.00012473i,-0.00486-0.0037003i,0.0043978-0.002228i,-0.0037794-0.0064795i,-0.000465+0.002142i,0.002657+0.00023315i,-0.0023859+0.00087579i,-0.0036248+0.0069969i,0.002526+0.0015275i,-0.00090729+0.00063922i,0.017669-0.0079342i,0.0033586+0.010072i,0.00075141-0.00053679i,-0.00074637+0.0015854i,-0.0013636-0.00080144i,0.0065598+0.008126i,0.0040601+0.0007692i,0.0028447+0.0040736i,0.0025261+0.0021207i,0.0024779+0.003592i,0.0021205+0.0032342i,-0.0012658+0.0020095i,0.0068007+0.00112i,-0.0051002+0.0016313i,-0.0023739+0.0060847i,-0.0014583-0.015149i,0.010656-0.016088i,-0.015001+0.0071751i,-0.022815+0.0032861i,0.0132-0.0030636i,0.016815+0.0090589i,-0.012283+0.00039512i
-0.0048201-0.011157i,0.00049903-0.00896i,0.0058269-0.0075841i,0.0056477-0.014774i,0.0090935-0.019323i,-0.0050954-0.020938i,0.00017165-0.0096346i,0.004413-0.012458i,-0.0047321-0.0068097i,0.001759+0.0041797i,-0.00086553+0.0011841i,0.0023141+0.0011973i,0.0029754+0.0024512i,0.00192+0.0022698i,0.0025966+0.00041762i,0.0027456+0.0015015i,-0.00029886-0.00069346i,-0.0024208-0.0026269i,-0.0027388-0.00031095i,-0.0030893+0.00029079i,-0.0032866-0.00061301i,-0.0013757-2.4654e-05i,-0.0022014+0.0011494i,-0.0016492-0.0047838i,0.0032069+0.0005719i,0.0026721+0.00065055i,0.0028458+0.0025434i,0.0016825+0.0026926i,0.0028271+0.0027889i,0.0027622+0.00089862i,-0.00066324-0.00046362i,0.0015051+0.00037577i,-0.00019617+0.00041458i,-0.00022141+0.00036923i,0.0004442-0.00091955i,0.0087801+0.0073938i,0.0028458+0.0023212i,0.0016624+0.0013896i,0.00335+0.0021048i,-0.0023236-0.0011922i,-0.0019388-0.00064959i,-0.0016412-0.00083514i,0.0030736+0.0024655i,0.0024718-0.00040143i,-0.0058347-0.013174i,-0.007421-0.0027769i,0.011361-0.0054889i,-0.0058046-0.0060976i,0.013542-0.039716i,0.0046223-0.013529i,-0.0062773-0.0020541i,-0.029084+0.0077134i,-0.0024403+0.010128i,-0.019232-0.025797i,0.0066471-0.006011i,0.00057097+0.00341i,0.0043255+0.001836i,-0.00023324+0.0074448i,-0.007364+0.0030697i,-0.0045627-0.01294i,0.0063413-0.0086996i,-0.0064583+0.012177i,-0.00068623-0.0022912i,-0.001674+0.0011246i,-0.0039432+0.00018337i,-0.0047075-0.0015077i,0.0032342-0.0024932i,-0.0047459-0.0051599i,0.00099203+0.0013854i,0.0027191-0.0022719i,-0.0020097+0.0017138i,-0.00031573+0.0072554i,0.0021752+0.00011608i,-0.00019168+0.00026781i,0.011664-0.012752i,0.0070454+0.0073843i,0.0012042-0.00053303i,0.00046095+0.00079721i,-0.000875-0.00014781i,0.0079863+0.004691i,0.004825-0.0017412i,0.0047742+0.0023772i,0.003014+0.00084397i,0.0036649+0.0014816i,0.0037967+0.0027522i,-0.00038952+0.0034285i,0.0065228-0.00093161i,-0.0057327+0.0033235i,-0.00041008+0.0058835i,-0.0029417-0.015299i,0.00028684-0.021956i,-0.018091+0.0035202i,-0.02217+0.0089061i,0.0068832-0.0058899i,0.017544+0.0045285i,-0.01187+0.0017304i
-0.0057506-0.0099707i,-0.00035454-0.0082044i,0.0036629-0.0089261i,0.0023025-0.016105i,0.0054806-0.021111i,-0.0088069-0.018963i,-0.00019154-0.0089915i,0.0022053-0.012996i,-0.0051354-0.0066125i,0.0029952+0.0043539i,-0.0006247+0.0019264i,0.002247+0.0005993i,0.0036002+0.0018805i,0.0024753+0.0019594i,0.0026695-0.00017087i,0.0035317+0.0009012i,-0.00063209-0.00043707i,-0.003449-0.0016857i,-0.0026901+0.00042565i,-0.0029229+0.0016343i,-0.003546+0.00048428i,-0.0017681-6.3816e-05i,-0.0018207+0.0019029i,-0.0035775-0.003145i,0.0029348-0.00081595i,0.0027168-0.00034291i,0.0037271+0.0013236i,0.002699+0.0019874i,0.0036836+0.001301i,0.0028245-0.00021133i,-0.00065742-0.00034265i,0.0016011-0.00025761i,0.00028607+0.00063578i,0.0002748+0.00043467i,5.8269e-05-0.00088201i,0.010171+0.0040748i,0.0035657+0.0010075i,0.0021483+0.00078762i,0.0039972+0.00050052i,-0.0024307-0.00051779i,-0.0021276+0.00012648i,-0.001822-0.00042919i,0.0036708+0.0013807i,0.0023764-0.00078787i,-0.0078488-0.012847i,-0.006466-0.0056705i,0.01061-0.0097909i,-0.0049746-0.005368i,0.003098-0.041772i,0.0013338-0.013774i,-0.0046038-0.00099307i,-0.023309+0.010407i,0.0062179+0.0077299i,-0.021824-0.019572i,0.0053353-0.0057727i,0.0016916+0.002866i,0.0038185+0.0005462i,0.0022754+0.0069964i,-0.0055928+0.0063195i,-0.010193-0.007673i,0.0023627-0.0092539i,-0.003215+0.01342i,-0.0015902-0.0030364i,-0.0016083+0.0013173i,-0.0039793+0.0010085i,-0.0037212+0.000112i,0.0021646-0.0025938i,-0.0057004-0.0035974i,0.0016749+0.00014483i,0.00013971-0.0038829i,-0.00093442+0.0023858i,0.0027186+0.0055289i,0.0023549-0.00095904i,-5.5455e-06-9.2952e-05i,0.0051673-0.014269i,0.0090338+0.0036168i,0.0013227-0.001283i,0.00012738-0.00019396i,-0.00010493+0.00012635i,0.0078312+0.0018681i,0.003585-0.0046596i,0.0060696+0.00014935i,0.0034566-0.00020394i,0.0041637-0.0005537i,0.0045439+0.0012171i,0.0012423+0.0037314i,0.00504-0.0027007i,-0.0053799+0.0057382i,0.0011686+0.0046377i,-0.0035552-0.015054i,-0.012274-0.022794i,-0.022111+0.0041891i,-0.018661+0.013781i,0.0023118-0.0036416i,0.016019-0.00070794i,-0.011383+0.0017955i
-0.0062846-0.0093875i,-0.00050657-0.0084633i,0.0017303-0.0090878i,-0.0011604-0.016037i,0.0016862-0.022093i,-0.011485-0.016669i,3.5378e-05-0.0094069i,4.655e-05-0.013223i,-0.0057368-0.0064135i,0.0044768+0.0036805i,0.00020739+0.0025249i,0.0021849+0.00033073i,0.0041455+0.00092327i,0.0029656+0.0013835i,0.0025998-0.00082011i,0.0041919+0.00025233i,-0.00073931-4.5693e-05i,-0.0038134-0.00045028i,-0.0026089+0.0010345i,-0.0021676+0.0025865i,-0.0033826+0.0015215i,-0.0021514+0.00052375i,-0.0011263+0.0024887i,-0.0045686-0.00073014i,0.0022368-0.0016958i,0.002408-0.0012322i,0.0039434-0.00027336i,0.0034182+0.00086061i,0.0036128-8.0285e-05i,0.0025539-0.0012089i,-0.00057781-0.00013299i,0.001072-0.00072178i,0.00083168+0.00038459i,0.0006549+0.00027163i,-0.00017068-0.0006839i,0.009878+0.00076635i,0.003611-0.00048417i,0.0024769-1.8316e-05i,0.0038105-0.0011807i,-0.0021293+0.00021373i,-0.0018172+0.00086656i,-0.0019768+2.4117e-05i,0.00369+0.00011694i,0.0021357-0.001161i,-0.0099232-0.012088i,-0.0084287-0.0085885i,0.0081962-0.013057i,-0.0046276-0.005845i,-0.0055919-0.040848i,-0.00089247-0.011952i,-0.0028163-0.00019656i,-0.018504+0.011857i,0.011632+0.0021772i,-0.021244-0.01409i,0.0041084-0.0065525i,0.0023699+0.0014577i,0.0038091-0.00056819i,0.004586+0.0051313i,-0.0023531+0.007423i,-0.011847-0.0015796i,-0.00098056-0.0084685i,0.00046691+0.012926i,-0.0032706-0.0027409i,-0.0019037+0.0018947i,-0.0036162+0.0021393i,-0.0027606+0.001061i,0.0013928-0.0015694i,-0.0061339-0.0014869i,0.0012039-0.00099333i,-0.0020439-0.0029133i,0.00031997+0.0024185i,0.0038844+0.0029447i,0.002238-0.0023031i,2.7901e-05-0.00011772i,-0.00029431-0.013239i,0.0093203-0.00060368i,0.00073272-0.0018606i,-0.00015434-3.0172e-05i,0.00086106-0.00019307i,0.0075088-0.00019918i,0.00055618-0.0061366i,0.0061536-0.0028323i,0.0031165-0.002121i,0.0034269-0.0030218i,0.0046288-8.5706e-05i,0.0025298+0.0032187i,0.003147-0.0030394i,-0.0036736+0.0075429i,0.0017632+0.0030697i,-0.0034772-0.015879i,-0.023405-0.017175i,-0.025009+0.0070943i,-0.013499+0.015126i,0.0012698-0.001795i,0.012609-0.0041398i,-0.012867+0.0020972i
-0.0074075-0.0089753i,-0.0012251-0.0095751i,0.00040416-0.0090152i,-0.0041236-0.015099i,-0.0023046-0.022465i,-0.013856-0.0142i,-0.00038387-0.011291i,-0.0020826-0.013098i,-0.0066024-0.0061445i,0.0055156+0.0024421i,0.0013901+0.0025338i,0.0021855+0.00014582i,0.0042908-0.00028546i,0.0033952+0.00070804i,0.002315-0.0014859i,0.0046-0.00070858i,-0.00067552+0.00036902i,-0.0038102+0.00071322i,-0.0022871+0.0018251i,-0.0011897+0.0031371i,-0.0029126+0.0026022i,-0.0020749+0.0013714i,-0.00035691+0.0027032i,-0.004281+0.0017776i,0.0014832-0.0021867i,0.001781-0.0018902i,0.0034775-0.0018215i,0.0035047-0.00057216i,0.0032306-0.001265i,0.0018819-0.0021241i,-0.00037553-6.2368e-05i,0.0007453-0.00067334i,0.0011097-0.0001025i,0.00094327-0.00022085i,-0.00016545-0.0005428i,0.0087624-0.0019114i,0.0032088-0.0018104i,0.0024971-0.0010347i,0.0028876-0.0025961i,-0.0015385+0.00074171i,-0.0013457+0.001447i,-0.0019443+0.00056437i,0.0031968-0.00082273i,0.0018479-0.0012027i,-0.011891-0.010977i,-0.012235-0.0086006i,0.0053883-0.01467i,-0.0049688-0.0053427i,-0.01356-0.039431i,-0.00092323-0.0099809i,-0.00080906-0.00056523i,-0.013299+0.012139i,0.014819-0.0050036i,-0.018836-0.010562i,0.0024304-0.0069853i,0.0016671-0.00071336i,0.0034983-0.0021984i,0.0050206+0.0024339i,-0.00030452+0.0068694i,-0.011038+0.0040936i,-0.0037274-0.0067228i,0.0030824+0.010633i,-0.0047858-0.0011642i,-0.0016902+0.0031098i,-0.0029246+0.0032374i,-0.001283+0.0014121i,0.0021138+8.6151e-06i,-0.0053139+0.00013834i,0.00074076-0.00083663i,-0.0027758-0.0016017i,0.0013488+0.0019042i,0.0038326+0.001048i,0.00040104-0.003596i,0.00014752-0.00020796i,-0.0047659-0.011093i,0.0079392-0.0041348i,9.94e-05-0.0020309i,0.00027668-0.00011488i,0.0010091-0.0013036i,0.0069448-0.0022664i,-0.0022236-0.0054642i,0.0044791-0.0058708i,0.0016972-0.0031005i,0.0012511-0.004403i,0.0046693-0.0016012i,0.0036703+0.0024659i,0.0022185-0.002896i,-0.00089474+0.0080867i,0.0012846+0.0016536i,-0.0041981-0.017772i,-0.02835-0.0071648i,-0.027205+0.011762i,-0.0095176+0.015131i,-0.00012096-0.0002085i,0.0091553-0.0051162i,-0.013772+0.003879i
