-0.024692-0.0041921i,-0.022725+0.0021853i,-0.017342-0.0076503i,-0.029945-0.012379i,-0.028936+0.0041688i,-0.038436-0.0037263i,-0.061259-0.027578i,-0.032687-0.014108i,-0.030703-0.0025968i,0.0062215+0.0034221i,-0.0029313+0.0067396i,-0.005404+0.014125i,0.0059354+0.0086561i,-0.0013893+0.003967i,0.0048066+0.0043405i,0.0044766+0.025231i,0.022889+0.021752i,0.00080882-0.0010246i,0.00083451-0.0064405i,0.0063625-0.00060414i,0.0054772-0.0010539i,0.0032895+0.0021675i,0.00091857-0.00033124i,-0.025159-0.0013712i,-0.0056734-0.0045357i,-0.0015995+0.0033004i,0.00088537-0.0017976i,-0.00088853+0.00074832i,-0.0010904+0.00083696i,-0.0023208-0.0034079i,-0.0041657-0.0016856i,-0.006187-0.0063612i,-0.0022179+0.0006909i,-0.00059557-0.00018261i,0.0012685-0.0031868i,0.00062303+0.018711i,0.0013712-0.0025562i,0.00045919-0.0026749i,0.0038385-0.0024498i,-0.0017944-0.0035369i,0.00084158+0.00028582i,0.0071629+0.00050856i,0.0050122-0.0044793i,-0.0011249+0.0020931i,-0.013327+0.016736i,-0.029544+0.05726i,-0.0041266-0.037144i,-0.014601-0.017697i,-0.037119-0.016142i,-0.027383-0.011644i,0.032743-0.0098062i,0.0072652-0.031178i,0.01289-0.040784i,-0.012336-0.029532i,0.025087-0.023352i,0.013373+0.0069897i,0.030622-0.035686i,-0.0017013-0.0038042i,0.0060603-0.0078926i,0.00039608-0.0048969i,0.0016742-0.035969i,-0.012307+0.029739i,0.0081405-0.011471i,-0.0097792-0.0043959i,-0.00236-0.0022392i,0.00052964-0.014667i,-0.0078062+0.0056949i,0.0033936+0.0051147i,-0.0014985+0.027499i,0.0025619-0.00044987i,-0.0071993-0.0043854i,-0.0029269-0.0061754i,-0.013478-0.0096205i,-0.0027862-0.0060728i,-0.036864+0.0066903i,-0.0052751-0.0078766i,-0.013158-0.0017191i,-0.011445-0.008255i,0.0012079-0.0015128i,-0.014272+0.0025092i,-0.0016351-0.00020853i,0.0073727+0.0071946i,0.0032054-0.0049277i,-0.0087161-0.011015i,0.008281+0.0082144i,-0.017316+0.0041958i,0.0055652-0.00091342i,-0.019135-0.0018705i,-0.018407-0.0030955i,-0.01828-0.032383i,0.020676-0.009124i,-0.039228-0.022484i,-0.0084719+0.003717i,0.018295+0.015286i,-0.021519+0.017732i,-0.0042127-0.0038057i
0.0064168-0.0094178i,0.0094715-0.0092571i,0.0087517-0.0026446i,0.01223+0.0025422i,0.016072-0.0044347i,0.011723-0.016225i,0.020087-0.0050362i,0.012038+0.0019149i,0.0039162-0.009731i,-0.00049317+0.0021258i,-0.0012021+0.00022317i,-0.0021886+0.00015959i,-0.00092918+0.0035137i,-0.0020181+0.0026793i,0.0025982+0.00182i,0.0013655+4.7301e-05i,0.0024743-0.0023443i,0.001623-0.00021998i,-0.00035641-0.00077607i,-0.00023632-0.0002233i,8.5889e-05-0.0019417i,-0.0017164-0.0014266i,-0.0017367-0.00014155i,0.0043736+0.005826i,-0.0022518+0.00010397i,-0.0016705+0.0020441i,-0.0020297+0.00052297i,-0.0023505+0.00028732i,-0.0016083-0.0016649i,-0.0032463+0.00095132i,-0.0002403-0.0014419i,0.00030628+0.00078699i,0.00084509-0.00073797i,0.0022648+0.00025833i,0.00056046+0.00021973i,-0.0089608+0.0056704i,-0.0016522-0.00055401i,-0.0011127+0.00052228i,-0.0020257+0.00023785i,0.0012219-0.0010581i,0.00037239-0.00056605i,0.00052425-0.0011547i,-0.0017967+0.0012083i,0.0053625-0.00050341i,-0.0020218-0.014078i,-0.027656-0.0039647i,-0.0043143-0.0082226i,-0.0069037+0.0034361i,0.014605+0.02121i,0.002626+0.0029484i,0.013648-0.016205i,-0.01058-0.02799i,-0.0051765-0.012208i,0.0094473-0.0068202i,0.018122+0.017347i,0.00022061+0.0025128i,-0.00052521+0.00056563i,-0.0048033-0.00090319i,0.011467-0.0028234i,0.012862+0.009177i,0.0030006+0.0050185i,-0.0042871-0.0063258i,0.0054593-0.0023789i,-0.0043214-0.0068016i,0.0027851-0.010239i,0.0060324-0.0067183i,-0.0010502+0.0070637i,0.0082987-0.0076134i,0.0058322-0.0084455i,0.00047339-0.0063113i,-0.0032012-0.0014276i,-0.0061462-0.0063023i,-0.0061081-0.0014859i,-0.00097059-0.0019068i,-0.0037863+0.026487i,-0.010213-0.0020058i,0.00023891+0.0027109i,-0.0066787-0.0059078i,0.00018285+0.00092295i,-0.015793+0.0026433i,-0.0031848+0.0013921i,-0.0018612-0.0034556i,-0.0039512-0.00076382i,-0.004841-0.003554i,-0.0022986+0.0054211i,-0.0015365+0.0023723i,-0.0050871+0.0061421i,-0.0060162+0.00059989i,-0.0031728-0.0016469i,0.0079547-0.0040041i,-0.005951+0.019195i,-0.02692-0.0034608i,-0.0091829-0.0015599i,0.010954+0.016198i,-0.0018899+0.016453i,-0.0074579-0.0056904i
0.0049129-0.011174i,0.0077994-0.011301i,0.0083946-0.0037429i,0.012109+0.0010488i,0.01583-0.0070972i,0.0086368-0.018119i,0.017348-0.0086137i,0.01209+8.3396e-05i,0.0018077-0.010454i,7.8111e-05+0.0023761i,-0.00069433+0.0008693i,-0.0024757+0.0014677i,0.00022008+0.0036731i,-0.0010538+0.0034526i,0.0023282+0.00063995i,0.00097794+0.00037881i,0.00093973-0.0025453i,0.0010429-0.0017863i,-0.0007252-0.001148i,6.6604e-05-0.0006597i,-0.00029985-0.0020546i,-0.0021653-0.00096382i,-0.0016151-0.00016529i,0.0072529+0.0035327i,-0.0025523+0.0015685i,-0.00048056+0.0025836i,-0.0019158+0.0013844i,-0.0021973+0.0012227i,-0.0028431-0.00070729i,-0.0027864+0.002572i,-0.0034029+0.0021726i,8.8939e-05+0.0001977i,0.00031756-0.00090497i,0.001296-0.00090253i,0.00027342+0.0008493i,-0.0066018+0.007985i,-0.0021497+0.00024326i,-0.0010179+0.0010869i,-0.0021277+0.001047i,0.00094984-0.0015308i,0.00036185-0.00070542i,0.00010298-0.0014182i,-0.0017666+0.0016401i,0.0041711-0.00096812i,-0.0031918-0.013248i,-0.024973-0.00094687i,-0.0058829-0.0048961i,-0.003382+0.0019952i,0.023596+0.014996i,0.0060275+0.00056721i,0.0069643-0.019136i,-0.019103-0.027721i,-0.0097667-0.013022i,0.012497-0.013719i,0.019334+0.011923i,0.00086031+0.00084126i,0.00014224+0.0028314i,-0.0045423+0.00056579i,0.0083756-0.006568i,0.014917+0.004987i,0.0057761+0.0056087i,-0.0081948-0.0055109i,0.0022682-0.0040517i,-0.0053919-0.0043218i,-0.0022635-0.0092781i,0.0031296-0.0078808i,0.0027074+0.0054053i,0.004045-0.008689i,0.0021084-0.0085873i,-0.0026361-0.0033827i,-0.0023566-0.00029706i,-0.007205-0.0041107i,-0.0062015-0.00068827i,-0.00054034-0.00098902i,0.0089313+0.023629i,-0.011753+0.0014496i,0.00089574+0.0012734i,-0.0072445-0.0031099i,0.00089061+0.0003907i,-0.013054+0.0093078i,-0.0023693+0.0024457i,-0.0028133-0.00072267i,-0.0029792+0.00028355i,-0.0052096-0.0013208i,8.9504e-05+0.0031339i,-0.0004062+0.0018735i,-0.0017184+0.0074989i,-0.0037912+0.0025563i,-0.0045111-0.0011096i,0.008128-0.0095903i,-0.001399+0.021299i,-0.027473+0.0016736i,-0.0098289-0.0033102i,0.012849+0.013945i,0.00081908+0.018104i,-0.010211-0.0047428i
0.0023386-0.012334i,0.0051106-0.013343i,0.0080696-0.0056125i,0.012405-0.00087783i,0.015445-0.010209i,0.0051517-0.019761i,0.014143-0.01167i,0.011884-0.0018925i,-0.00026857-0.0099237i,0.0010009+0.0022089i,-0.0003011+0.00065401i,-0.0019091+0.0027218i,0.001031+0.003157i,4.6043e-05+0.003431i,0.0015164+0.00047803i,0.00081398+0.0007202i,-0.00018124-0.0021153i,0.00064835-0.0021347i,-0.0010581-0.0011139i,-0.00031106-0.0013442i,-0.0010423-0.0022195i,-0.0020413-0.00017861i,-0.0018107-0.00019698i,0.007846-0.00039316i,-0.0016198+0.0026919i,0.00039632+0.0025222i,-0.0015008+0.0023555i,-0.0015826+0.0020684i,-0.0032408+0.0011229i,-0.001606+0.0038297i,0.00014156-0.00067266i,-0.00052625+0.0010972i,-0.00010793-0.00075952i,0.000687-0.00092245i,0.00072822+0.0015307i,-0.0036443+0.0096912i,-0.0021042+0.0015199i,-0.00048863+0.0014956i,-0.0018922+0.0021661i,0.00031278-0.0019866i,0.00043755-0.00088576i,-0.00039528-0.0013891i,-0.0016698+0.0025163i,0.0037869-0.00098373i,-0.0035596-0.012486i,-0.023452+0.0029434i,-0.0064178-0.001068i,-0.00046941-0.0009798i,0.031322+0.0061079i,0.0085897-0.0012397i,0.00023979-0.019256i,-0.025922-0.02417i,-0.013848-0.010323i,0.011243-0.022597i,0.02047+0.002735i,-0.00079895+0.0006312i,5.4446e-05+0.0017781i,-0.0047925+0.0013797i,0.0032017-0.0096456i,0.015501-6.041e-06i,0.0082514+0.0042787i,-0.012163-0.0023679i,0.0007676-0.0030707i,-0.0059929-0.0017161i,-0.0047253-0.0062693i,0.00035098-0.0079313i,0.0047759+0.0045937i,0.0011415-0.0083524i,-0.0026222-0.0071082i,-0.0024788-0.00050728i,-0.0021641-0.00053123i,-0.009014-0.0015379i,-0.0042748+0.0029018i,-0.00093093-0.0014496i,0.017413+0.018243i,-0.011728+0.0062368i,0.0011843+0.00065931i,-0.0055911-0.00020309i,0.0012509-0.00073173i,-0.006327+0.013263i,-0.00064561+0.0032938i,-0.0029834+0.00035389i,-0.002417+0.0014708i,-0.0043357+0.0014817i,-0.00091683+0.0025217i,1.2284e-06+0.0011521i,0.0017963+0.0075884i,-0.002213+0.0018918i,-0.0055298+0.00069287i,0.0053401-0.013875i,0.0087169+0.019316i,-0.026105+0.0058184i,-0.011297-0.0046768i,0.015645+0.0097654i,0.0055513+0.019205i,-0.011727-0.0028251i
-0.00022539-0.012294i,0.0014689-0.013942i,0.0068075-0.0073057i,0.012269-0.0035474i,0.013919-0.013689i,0.0010729-0.020393i,0.010423-0.013448i,0.01127-0.0036988i,-0.0014181-0.0093017i,0.0010603+0.0015822i,-0.00030112+0.00063526i,-0.00075921+0.003527i,0.0013458+0.0028563i,0.00068784+0.0033455i,0.001569+0.00089152i,0.00056069+0.0011526i,-0.00089904-0.001153i,0.000255-0.0024603i,-0.00095553-0.00098533i,-0.0011821-0.0014998i,-0.0016996-0.0017523i,-0.0019028+0.0001479i,-0.0021702+0.00013826i,0.0064349-0.0034672i,-0.00058078+0.0032781i,0.0012716+0.0024153i,-0.00042325+0.0031337i,-0.00080406+0.0025002i,-0.0023846+0.0026214i,0.0001314+0.004252i,-0.00039848-0.00040964i,0.00058837+0.0018206i,-0.00034496-0.00053773i,0.00010303-0.00094675i,0.001313+0.0016251i,-0.00056416+0.010319i,-0.0011635+0.0025556i,3.6079e-05+0.0015583i,-0.00095653+0.0030581i,-0.00050846-0.0019483i,0.00026213-0.0012453i,-0.00069176-0.0012441i,-0.00097124+0.0032675i,0.00363-0.00097274i,-0.0036091-0.012973i,-0.02162+0.0055231i,-0.001228+0.002347i,-0.0010229-0.0052858i,0.034792-0.0077091i,0.01049-0.0054952i,-0.0059382-0.016386i,-0.03208-0.017993i,-0.016077-0.0050119i,0.0055371-0.029414i,0.01627-0.0019101i,-0.0015069+0.0022365i,-0.00053514+0.0037205i,-0.0047203+0.0027371i,-0.0031686-0.0085064i,0.013772-0.0055i,0.010462+0.0015461i,-0.012009+0.0035985i,7.816e-05-0.0028475i,-0.0049847+0.00080024i,-0.0055031-0.0028344i,-0.0017952-0.0074534i,0.0060783+0.0013115i,-0.0015675-0.0076965i,-0.004099-0.0023809i,-0.00151+0.0011844i,-0.0026159-0.00011416i,-0.0092315+0.0024492i,-0.0018573+0.0036099i,-0.0018587-0.0013143i,0.021516+0.011688i,-0.0080364+0.010118i,0.0014397-0.00031188i,-0.004455+0.0014137i,0.0002171-0.0017293i,-0.00022042+0.012684i,0.0016318+0.0024415i,-0.0025712+0.0024464i,-0.0015013+0.0026168i,-0.0015834+0.0035803i,0.00026992+0.0039902i,-0.00042907+0.00047733i,0.0057858+0.0060835i,-0.0022875+0.00079019i,-0.0062615+0.0029414i,0.0023116-0.014984i,0.018131+0.0095005i,-0.022645+0.010133i,-0.014313-0.0045138i,0.014599+0.0052687i,0.01063+0.017976i,-0.011424-0.0012418i
-0.0020383-0.011763i,-0.0016051-0.013014i,0.0052481-0.0083292i,0.011558-0.0061417i,0.011435-0.016678i,-0.002728-0.02019i,0.0070504-0.013927i,0.010457-0.0051583i,-0.00214-0.0088845i,0.00063718+0.0012841i,-0.00039332+0.00074631i,0.00061062+0.0037565i,0.0016941+0.0029302i,0.0012682+0.0031888i,0.002109+0.0008198i,-7.6395e-05+0.0021794i,-0.00073026-0.00025823i,-0.00059104-0.0028099i,-0.0012853-0.001163i,-0.0019781-0.0010726i,-0.0022014-0.0014015i,-0.0017165+0.0005036i,-0.0023286+0.00084959i,0.0041736-0.0054178i,0.00059293+0.00358i,0.0022553+0.0018591i,0.00086146+0.0033266i,9.4305e-05+0.0027374i,-0.0010903+0.003495i,0.0019428+0.0040059i,-0.00041782-8.5911e-05i,0.0016027+0.0019039i,-0.0005803-0.0002191i,-0.00025232-0.00046162i,0.002124+0.0020521i,0.0026465+0.010083i,-1.4614e-05+0.0029071i,0.00045513+0.0015829i,0.00046367+0.0033895i,-0.001043-0.0017351i,-0.00010494-0.0014685i,-0.0009877-0.0011005i,-3.432e-05+0.0035243i,0.0032299-0.0015439i,-0.0050653-0.013892i,-0.014235+0.0036765i,0.0036839+0.0020372i,-0.0033023-0.0065356i,0.031507-0.020876i,0.0098564-0.0096462i,-0.008857-0.011518i,-0.035472-0.009263i,-0.015278+0.001316i,-0.0026687-0.032109i,0.012302-0.0044175i,-0.00069808+0.0036673i,0.0018171+0.0042979i,-0.0042128+0.0041563i,-0.0063972-0.004364i,0.0099001-0.010838i,0.011155-0.0024217i,-0.010717+0.0063997i,-0.0005762-0.0019693i,-0.0031901+0.0019087i,-0.0042775-0.000819i,-0.0044868-0.005779i,0.0055344-0.00086257i,-0.0038295-0.0061085i,-0.002761+7.9864e-05i,0.00013208+0.0019081i,-0.00259+0.000599i,-0.0067066+0.00573i,0.00047967+0.0033473i,-0.0022042+0.00015245i,0.021179+0.0034678i,-0.0034994+0.012251i,0.00070857-0.00094423i,-0.0023999+0.001799i,-0.00090195-0.001324i,0.003873+0.010657i,0.0023496+0.0012923i,-0.00071985+0.004691i,0.00035309+0.0031504i,0.0013805+0.0044192i,0.0012011+0.0028954i,-0.0014753+0.00077292i,0.007159+0.0026192i,-0.0033271+0.00058499i,-0.005034+0.0057997i,0.00078984-0.015483i,0.018704-0.0052807i,-0.017312+0.010488i,-0.017445-0.003168i,0.01413+0.0022482i,0.014791+0.013403i,-0.012242-0.0013277i
-0.00366-0.011251i,-0.0036274-0.011531i,0.0039166-0.0089508i,0.010433-0.0089718i,0.0086188-0.019181i,-0.0065532-0.019433i,0.0045402-0.013673i,0.0097804-0.0065667i,-0.0026839-0.0088593i,0.00067643+0.0013796i,-0.00031599+0.0010328i,0.0019666+0.0034883i,0.0025258+0.0029016i,0.0019876+0.003218i,0.0024876+0.00034848i,-0.0057358+0.010948i,-0.00016962-1.6858e-06i,-0.0015733-0.0028654i,-0.0018714-0.00089613i,-0.0025351-0.00027367i,-0.002644-0.00093698i,-0.0014028+0.00069945i,-0.0021099+0.0015919i,0.0013234-0.0064755i,0.002068+0.0032883i,0.0028612+0.00087366i,0.0022023+0.0028974i,0.0011639+0.0027662i,0.00035419+0.003794i,0.0033578+0.0028889i,-0.00026233+8.8245e-05i,0.0029076+0.0026849i,-0.0006276+0.00032747i,-0.00019436-7.3921e-05i,0.0037779+0.0022171i,0.0054558+0.0088032i,0.001239+0.0027781i,0.0010262+0.0015097i,0.0016915+0.0030571i,-0.0014595-0.0013133i,-0.00050502-0.0016558i,-0.0013446-0.00087163i,0.00094383+0.0037657i,0.002892-0.0017287i,-0.0068709-0.01437i,-0.0095432+0.0025845i,0.0077589-0.001045i,-0.0048906-0.0061289i,0.024412-0.031025i,0.0078579-0.012696i,-0.0088354-0.0068484i,-0.034278+0.00034099i,-0.010222+0.0076021i,-0.010104-0.030239i,0.0093474-0.0053025i,0.00076369+0.0041358i,0.0033128+0.003086i,-0.0033771+0.0056728i,-0.0072008-0.00092987i,0.0034709-0.014512i,0.0089461-0.0068492i,-0.008813+0.008562i,-0.00036106-0.0011855i,-0.0016343+0.0016979i,-0.0034388-0.00022319i,-0.0051565-0.0030399i,0.0041637-0.0021478i,-0.0058144-0.0038498i,-0.00087917+0.001019i,0.0020124+0.0010949i,-0.0022689+0.0014991i,-0.0040231+0.0067485i,0.0015758+0.0019173i,-0.0010974+0.0012893i,0.017099-0.00415i,-0.00213+0.012579i,7.5088e-05-0.00044133i,-0.0010426+0.0019318i,-0.0013235-0.00015408i,0.0070679+0.0079387i,0.0034058+0.00037508i,0.0025869+0.0046682i,0.0017957+0.0023149i,0.0038542+0.003143i,0.0017407+0.0028554i,-0.0016416+0.0021921i,0.0066039+0.00045789i,-0.0045466+0.001181i,-0.0023804+0.0073211i,-0.00068082-0.016936i,0.010841-0.016183i,-0.015041+0.0063521i,-0.021177+0.00081028i,0.011994-0.0025501i,0.015976+0.0086293i,-0.013654-0.00040057i
-0.0051223-0.010225i,-0.0052923-0.010206i,0.0024278-0.0098777i,0.0080376-0.01195i,0.0051376-0.021484i,-0.010236-0.01758i,0.0026587-0.013434i,0.0090037-0.0081766i,-0.0035786-0.008873i,0.0006549+0.0015867i,-0.00026367+0.0011434i,0.0030235+0.0024186i,0.003344+0.0024213i,0.0027997+0.002887i,0.0025566-0.00016493i,0.02121+0.012768i,-6.1873e-05-0.00011127i,-0.0028994-0.0024434i,-0.0021266-0.00038624i,-0.0028052+0.00077971i,-0.0032295-0.00012263i,-0.0011156+0.00060522i,-0.0017381+0.0022277i,-0.0017613-0.006264i,0.0032435+0.001966i,0.0029232-0.00015008i,0.0032344+0.0019388i,0.0022578+0.0022627i,0.0020135+0.0034148i,0.0041699+0.0013279i,-3.757e-06+9.4846e-05i,0.0029614+0.003107i,-0.00071748+0.00016277i,3.2852e-05+0.0001507i,0.0055808+0.0079863i,0.0077303+0.0066918i,0.0022593+0.0020143i,0.0015413+0.0011407i,0.002931+0.0022567i,-0.0016102-0.00072967i,-0.0012367-0.0016164i,-0.0016117-0.00040668i,0.0021562+0.0033571i,0.0025087-0.0019694i,-0.0092302-0.014353i,-0.0071921+0.00070102i,0.0094815-0.0052165i,-0.0051766-0.0048799i,0.01498-0.038032i,0.0049597-0.01472i,-0.0073423-0.0045938i,-0.029431+0.0064814i,-0.0019184+0.0095494i,-0.015634-0.02635i,0.0069603-0.005514i,0.0021855+0.0035016i,0.0034184+0.0015i,-0.0016784+0.0066755i,-0.0073688+0.0022602i,-0.0048927-0.013658i,0.0051993-0.0087917i,-0.0066128+0.010287i,0.00069834-0.0014239i,-0.0011725+0.001183i,-0.0032859-8.7397e-05i,-0.0049743-0.0010946i,0.0027806-0.0023478i,-0.0093122-0.003803i,0.0002199+0.00047001i,0.0025543-0.0011823i,-0.0017079+0.0022763i,-0.0008585+0.0069399i,0.0013363+0.00077689i,-0.00018339+0.00089381i,0.01209-0.0088488i,0.009104+0.010493i,0.00057892-8.3942e-05i,0.00045487+0.001191i,-0.0006021+0.00037337i,0.0085084+0.0044729i,0.0041642-0.0017705i,0.0044495+0.0029023i,0.0025881+0.0016048i,0.0045802+0.00096075i,0.0031824+0.0025589i,-0.00041644+0.0036457i,0.0059224-0.00175i,-0.0053026+0.0028547i,-5.8381e-05+0.0069935i,-0.0028402-0.018247i,-0.0002843-0.022088i,-0.018397+0.0032833i,-0.021661+0.0063665i,0.0064241-0.0050449i,0.015661+0.0038414i,-0.013354+0.00080882i
-0.0058174-0.0090327i,-0.0064135-0.0083394i,0.00044338-0.010156i,0.0043622-0.013794i,0.00089535-0.023004i,-0.013005-0.015017i,0.0012631-0.013129i,0.0078849-0.0098052i,-0.0044127-0.00912i,0.0011268+0.0021934i,-0.00014949+0.0016209i,0.003376+0.0013252i,0.0041954+0.001698i,0.0037307+0.0023309i,0.0026523-0.00070776i,0.0075504+0.0059509i,-0.00043492+8.1623e-06i,-0.0040504-0.0010736i,-0.0021139+8.4247e-05i,-0.0024289+0.0020859i,-0.0029338+0.0011187i,-0.0014735+0.00035i,-0.0010716+0.0028083i,-0.0044824-0.0046991i,0.0034322+0.00051977i,0.0026504-0.0011335i,0.0039666+0.00050981i,0.0030009+0.0013342i,0.0032631+0.002067i,0.0043061-0.00036576i,0.00015734-0.00011579i,0.0027974+0.0020583i,-0.0001662+0.00039648i,0.00033202+0.00011982i,-0.0020165+0.00066024i,0.0089856+0.0038355i,0.0027974+0.00089943i,0.0019151+0.00063818i,0.0037911+0.00083989i,-0.0015564-0.00012044i,-0.0019825-0.0011124i,-0.0016411+7.941e-05i,0.003033+0.0024146i,0.0020204-0.0021632i,-0.011528-0.013523i,-0.0058045-0.0026197i,0.0090967-0.0093021i,-0.0041155-0.0044389i,0.0045502-0.04052i,0.0013954-0.015261i,-0.0062905-0.0031564i,-0.023639+0.0083178i,0.0059656+0.0070681i,-0.018112-0.020992i,0.0056771-0.005492i,0.0032249+0.0018406i,0.0029613+0.00060893i,0.00080635+0.0069599i,-0.0058682+0.0056244i,-0.010782-0.0083962i,0.00165-0.0086422i,-0.003997+0.011508i,0.00044385-0.0033776i,-0.0013561+0.0011548i,-0.0034568+0.00038206i,-0.0037087+0.0010133i,0.0017704-0.0021648i,-0.0086064-0.0081067i,0.00047388-0.00016655i,0.00080963-0.0029762i,-0.0003938+0.0029008i,0.0024424+0.0055563i,0.00079384+0.00049385i,0.00019986+0.00063938i,0.0066212-0.010824i,0.010646+0.0048461i,0.00093139-0.00052308i,0.00043686+0.00058985i,0.0003598+0.00030749i,0.0081116+0.0016303i,0.0029539-0.0044759i,0.0060923+0.00082559i,0.0033832+0.00066004i,0.0045532-0.0012195i,0.003967+0.001328i,0.0011579+0.0040617i,0.0040863-0.0027947i,-0.0050032+0.0051046i,0.0018199+0.0057959i,-0.0067526-0.017224i,-0.013072-0.021945i,-0.022639+0.0040725i,-0.018846+0.011936i,0.0018801-0.0031175i,0.011358-6.4417e-05i,-0.012809+0.0010174i
-0.0060752-0.0085211i,-0.0066131-0.0067895i,-0.0012243-0.0097831i,0.00078057-0.013837i,-0.003583-0.023463i,-0.014962-0.012373i,0.00033728-0.013326i,0.0064049-0.011468i,-0.0056466-0.0091171i,0.0021311+0.002135i,0.00048488+0.0021276i,0.0033667+0.00045644i,0.0047487+0.00035628i,0.0044471+0.0012853i,0.0025656-0.0013535i,0.0053862+0.0044376i,-0.00032827+0.00045712i,-0.0038811+0.00055191i,-0.0022391+0.00050773i,-0.0014592+0.0028277i,-0.0025423+0.0018995i,-0.0019181+0.00092195i,-0.0001154+0.0030307i,-0.0061949-0.0020187i,0.0031956-0.00064546i,0.002094-0.0019869i,0.0039019-0.0011761i,0.0033618+0.00020663i,0.0034814+0.00073706i,0.0037875-0.0019599i,0.00023182-0.00020758i,0.0022766+0.00059596i,0.00027882+0.0004486i,0.00047677-2.0346e-05i,-0.00024273+0.00055051i,0.0089408+0.00083697i,0.0027868-0.0002168i,0.0021516-2.4435e-05i,0.0036092-0.00077139i,-0.0012677+0.00039983i,-0.0022473-0.00029808i,-0.0015769+0.00046831i,0.0034922+0.0013207i,0.0014289-0.0023469i,-0.013658-0.01219i,-0.0076592-0.0059108i,0.0071351-0.012793i,-0.0035292-0.0051693i,-0.004274-0.039748i,-0.00086591-0.0136i,-0.0048145-0.0018971i,-0.019395+0.0098451i,0.010687+0.0015651i,-0.018244-0.016096i,0.004672-0.0060677i,0.0028129-0.00035341i,0.0033299-0.00010813i,0.00323+0.0056712i,-0.0027698+0.0070621i,-0.012549-0.002432i,-0.0016114-0.0077061i,-0.00091284+0.011791i,-0.0024657-0.0041378i,-0.0018801+0.0018366i,-0.0035109+0.0013445i,-0.002327+0.0017031i,0.0013182-0.00099255i,-0.0062472-0.0046318i,0.00030037-0.00083702i,-0.0010624-0.0024811i,0.0010759+0.0025969i,0.0040297+0.0031476i,0.0015097-0.00010339i,0.00054638+0.00067581i,0.00217-0.010794i,0.011275-0.00042812i,0.00067219-0.001177i,0.00028315+0.00059026i,0.0011847-0.00027975i,0.0078658-0.00034373i,-4.4245e-05-0.0054731i,0.0065885-0.0022601i,0.003443-0.0012405i,0.003228-0.0038238i,0.0043067+0.00015904i,0.0027209+0.0038612i,0.0024449-0.0028057i,-0.003764+0.0063543i,0.0028815+0.0039289i,-0.0069989-0.01571i,-0.023546-0.015556i,-0.025418+0.0072972i,-0.014425+0.013892i,0.0010931-0.00088109i,0.0065557+0.003414i,-0.01416+0.0016099i
-0.0069839-0.0083796i,-0.0065653-0.0058913i,-0.0024322-0.0093043i,-0.0021174-0.013053i,-0.0082461-0.023179i,-0.016654-0.0095328i,-0.00087843-0.014467i,0.004372-0.01305i,-0.0072471-0.0088218i,0.0029106+0.0016919i,0.0014825+0.0021109i,0.0031611-0.00026568i,0.0046202-0.0011574i,0.0049186+7.2727e-05i,0.0022217-0.0019403i,0.0053461+0.0024497i,-3.074e-05+0.00070521i,-0.0035186+0.001664i,-0.0020496+0.0012538i,-0.00040886+0.0031141i,-0.0019324+0.0027198i,-0.0017121+0.0019222i,0.0006491+0.0028308i,-0.0059617+0.00090404i,0.0026803-0.0015723i,0.0012056-0.0025336i,0.0031808-0.0027058i,0.0031735-0.0010258i,0.0033795-0.00045881i,0.0026154-0.003252i,0.00033307-0.00037594i,0.00174+4.4037e-06i,0.00060015+0.00017407i,0.00062921-0.00025834i,0.00051713+5.4074e-05i,0.0079215-0.0017671i,0.0025166-0.0010616i,0.0021175-0.00080245i,0.0028497-0.0018971i,-0.00076088+0.00087514i,-0.0022022+0.00055769i,-0.0014942+0.00086837i,0.0033993+0.00038305i,0.00094012-0.0019917i,-0.015498-0.010653i,-0.011483-0.0061058i,0.0041688-0.014794i,-0.0036996-0.0050629i,-0.012463-0.038755i,-0.0012283-0.012006i,-0.0031608-0.0017725i,-0.014438+0.010841i,0.013367-0.0049603i,-0.016334-0.013154i,0.0033178-0.0067281i,0.0012666-0.0022514i,0.0032246-0.0016324i,0.003964+0.0033849i,-0.000651+0.0068991i,-0.012355+0.0033659i,-0.004105-0.0055857i,0.0018444+0.010153i,-0.004795-0.0020786i,-0.001662+0.0031898i,-0.0033446+0.0025236i,-0.00084398+0.0018029i,0.0021145+0.00064426i,-0.0069398-0.0024611i,0.0001147-0.0006456i,-0.0016978-0.0015902i,0.002093+0.0016694i,0.0042399+0.0010572i,0.00096395-0.0019029i,0.0010941+0.00027933i,-0.0017923-0.0095918i,0.0090807-0.0057813i,0.00022855-0.0014586i,0.0010573+0.00018506i,0.0011263-0.001305i,0.0074294-0.0026116i,-0.0023938-0.0047114i,0.0053686-0.0058193i,0.002219-0.0021566i,0.00056243-0.0046663i,0.0045149-0.0014154i,0.0041061+0.0029045i,0.002102-0.0025552i,-0.0023449+0.0068895i,0.0022608+0.0019324i,-0.0068902-0.016538i,-0.02735-0.0057238i,-0.027177+0.012191i,-0.010422+0.01481i,0.00032583+0.00046881i,0.030028-0.0013602i,-0.01511+0.0035847i
