-0.0099236-0.038988i,-0.01423-0.042554i,0.0011828-0.045391i,-0.026658-0.027325i,-0.020174+0.014191i,-0.033044-0.030502i,-0.060385-0.059852i,-0.022351-0.071269i,-0.03355-0.051069i,0.001412+0.014946i,-0.0068931+0.010496i,-0.014226+0.013881i,0.0018961+0.016015i,-0.0033469-0.0035353i,0.00057875+0.0062257i,0.00062302+0.037213i,0.019488+0.059832i,0.00083307-0.00083985i,-0.0050686-0.0083182i,0.0084635+0.0043462i,0.0015794+0.0010935i,-0.00094465+0.0035067i,0.00015708-0.0011544i,-0.035538-0.0097928i,-0.0022634-0.0072928i,-5.775e-05+0.0044757i,0.0050866+0.00024828i,-0.00013876+0.00061623i,-0.0001403-0.0011737i,-0.00021522-0.0024637i,-0.001247-0.0055328i,-0.0024276-0.0038112i,-0.00031858-0.007395i,0.0030955-0.001519i,0.0031365-0.0024861i,-0.0011091+0.032551i,0.005871-0.0037049i,0.0034101-0.0021326i,0.0049678+4.6593e-05i,-0.013961-0.0045682i,-0.0003267+0.00024814i,0.0093612-0.00052794i,0.0055154-0.00055543i,-0.0042279+0.0038255i,0.0025301+0.0002624i,-0.003105+0.0071684i,0.012672-0.087688i,-0.0071156-0.049949i,-0.025668-0.040599i,-0.020549-0.041852i,0.061599-0.017791i,0.026149-0.061671i,0.038651-0.046787i,0.028586-0.057708i,0.019022-0.015962i,0.0084337+0.010049i,0.024024-0.031299i,-0.0078498-0.0049724i,0.0030672-0.0030345i,-0.0048968-0.0061085i,0.00088048-0.032196i,-0.023569+0.031108i,0.0081016-0.01103i,-0.011272-0.001366i,-0.0048514-0.0010337i,-0.0012588-0.014211i,-0.010011+0.0040286i,0.0035198+0.0079127i,-0.01101+0.031477i,0.0057144+0.007346i,-0.0052904-0.0013698i,-0.001899-0.0019579i,-0.011356-0.0072633i,0.00030594-0.0034841i,-0.033784+0.0057851i,0.0019334-0.012939i,-0.0087245-0.002219i,-0.0064573-0.0027854i,0.0065097+0.0013574i,-0.0089725+0.0010889i,0.0014702+0.00057823i,0.005811+0.0085727i,0.0045965+0.00054554i,-0.0093096-0.0093975i,0.0027924+0.0091703i,-0.018935+0.0071294i,0.0066164+0.0030846i,-0.029742-0.0076371i,-0.033396+0.0039561i,0.023427-0.077853i,0.012783-0.010964i,-0.043247-0.02671i,-0.022892-0.002619i,0.018074+0.012496i,-0.026226+0.012782i,-0.011787-0.0071091i
-0.010885+0.018594i,0.013544+0.045951i,0.026821+0.044519i,0.00012142+0.017083i,-0.0023185+0.006177i,0.026389+0.00070059i,0.014065+0.015839i,0.012987+0.044435i,0.0056718+0.020372i,-0.0029477+0.0051029i,0.0012273+0.0015032i,0.0027789-0.0042613i,0.0025827-0.002455i,0.003454-0.00057445i,0.0029446-0.0023571i,0.0050158-0.00059777i,0.013264-0.0062918i,-0.00024347-0.00075365i,-0.0045456+0.00039954i,-0.00011091+0.0023566i,-0.00048864-0.001064i,-0.005073-0.0016956i,-0.0025341+0.00058572i,0.0043659+0.008283i,0.0014829+0.0015294i,0.0024767+0.00064797i,0.0019452+0.0015551i,-0.001505+0.0034655i,-0.0005014+0.00081214i,-0.00056786+0.0010462i,0.00030415-0.0034414i,-0.0010473-0.001327i,-0.00055734-0.00053026i,-2.2096e-05+0.00052682i,-0.00045985-0.0019504i,-0.0056222+0.0098729i,0.0029401+0.00012968i,0.00090334+1.5073e-05i,-0.00077288+0.0026078i,-0.00096218-0.0034081i,-0.0021676+0.00059741i,-0.0021256-0.0012907i,0.00092116+0.0079696i,0.0031244+0.00035136i,-0.02591+0.020888i,-0.053116+0.025924i,-0.028009+0.047528i,-0.017733+0.033863i,-0.003284+0.051198i,-0.006966+0.031825i,0.0099952+0.011949i,-0.0055217-0.0060358i,-0.039638-0.0061426i,-0.041635+0.017679i,0.0096464+0.020676i,-0.0016958+0.0029422i,-0.0052409+0.0024355i,-0.012013-0.003049i,0.0094061+0.0014619i,0.012462+0.014957i,-0.0022423+0.0087169i,-0.0075799-0.01158i,0.0056653-0.0024819i,-0.0047209-0.0042925i,0.0036916-0.0074959i,0.005121-0.0025071i,-0.00071815+0.0097723i,0.012115-0.004685i,0.0071431-0.0063498i,0.0056669-0.0072292i,0.0032316-0.00060353i,-0.0031281-0.0061636i,-0.0037242-0.0015337i,0.0030507-0.0010692i,-0.011863+0.03522i,-0.0055301-0.0049384i,0.0015933+0.00067635i,-0.0004786-0.0075285i,0.0032909-0.00091019i,-0.014224-0.0044573i,0.0014909-0.00065541i,0.0028522-0.0028772i,0.0020019-0.0021199i,-7.3325e-05-0.0057063i,-0.0013252+0.007182i,-0.00036519+0.0028883i,-0.0021868+0.0055202i,-0.011599-0.0019951i,-0.0087095+0.0030426i,-0.038053+0.039614i,-0.007821+0.017034i,-0.023453-0.0046027i,-0.0011364-0.0002488i,0.0096913+0.018961i,-0.0011802+0.019631i,-0.0064057-4.2293e-05i
-0.0088346+0.017797i,0.020217+0.041494i,0.034433+0.038938i,0.0041525+0.019224i,0.0012687+0.0065884i,0.026113-0.0049104i,0.015153+0.012426i,0.020481+0.039942i,0.0083496+0.018653i,-0.0012107+0.0052791i,0.0020522+0.0013226i,0.00035635-0.0031686i,0.0012939-0.0024394i,0.0031429-0.00061673i,0.0022291-0.0027423i,0.0042743-0.00079031i,0.0099316-0.008908i,0.0002114-0.00051618i,-0.0045953+0.0009405i,0.00085539+0.0014749i,-0.00094424-0.0012909i,-0.0053127-0.0002611i,-0.0023765+0.00075896i,0.0082113+0.0052364i,0.0013553+0.0019982i,0.0029102-0.0004526i,0.0020674+0.00060074i,-5.3227e-05+0.0036502i,-0.00071225+0.0014356i,-0.00039467+0.0012939i,-0.0010528-0.0030378i,-0.0016888-0.0011313i,-0.0009804-0.00040675i,0.0003302+0.0003611i,-0.001404-0.00038377i,-0.001947+0.010342i,0.0025211-0.00093345i,0.00099188-9.091e-05i,0.0006563+0.0021347i,-0.0016477-0.0027768i,-0.0017374+0.00088008i,-0.0026806-0.00044743i,0.0026113+0.0081097i,0.0023164-4.743e-05i,-0.021155+0.024784i,-0.045105+0.033991i,-0.021682+0.052005i,-0.010409+0.035092i,0.010021+0.046621i,0.0022041+0.029251i,0.0058381+0.0051018i,-0.011901-0.0094696i,-0.042856-0.0037875i,-0.032939+0.018157i,0.014091+0.016728i,-0.0022811+0.0033431i,-0.0038915+0.0062377i,-0.01198+0.0017641i,0.0079431-0.0020115i,0.015013+0.011676i,0.0021316+0.01193i,-0.012848-0.009247i,0.0023867-0.0036322i,-0.0045032-0.0016436i,-0.00099031-0.0071658i,0.0033151-0.0043764i,0.0038759+0.0072907i,0.0080589-0.007716i,0.0025579-0.0077901i,0.0020931-0.005547i,0.0039196-0.0017704i,-0.0044028-0.0045061i,-0.0018346+0.00080399i,0.0032705-0.0018045i,0.0066924+0.035144i,-0.0067792-0.0036i,0.0021425-0.0010003i,-0.0038918-0.0062418i,0.0037065-0.0021089i,-0.013666+0.0021927i,0.0016676-0.00042343i,0.0014443-0.0025238i,0.0020706-0.0030083i,-0.0017744-0.005429i,0.0010259+0.0040126i,0.00098957+0.0023122i,0.00064758+0.0062154i,-0.010831+0.0021448i,-0.0086524+0.0044661i,-0.030269+0.040707i,-0.0044231+0.019655i,-0.024471-7.0552e-06i,-0.0017394-0.0042464i,0.012364+0.018093i,0.0027859+0.021367i,-0.0081936+0.00030775i
-0.0077291+0.017628i,0.025548+0.035984i,0.042148+0.030827i,0.011089+0.017493i,0.0055184+0.0053193i,0.024447-0.010675i,0.015366+0.0088858i,0.026991+0.033661i,0.011494+0.017736i,-0.00012384+0.0050963i,0.0024128+0.00025826i,2.3869e-05-0.0013131i,8.1555e-05-0.0023774i,0.0032451-0.00099854i,0.0015459-0.0028869i,0.0035877-0.00085453i,0.006524-0.01052i,0.00014814-0.00098296i,-0.0044204+0.0024725i,0.00086228+0.00027192i,-0.0018555-0.001329i,-0.0049733+0.0013769i,-0.0024106+0.0010793i,0.0088955+0.00053592i,0.0025468+0.0017556i,0.0021941-0.0017525i,0.0019002-6.0028e-05i,0.0014645+0.0029463i,0.00019296+0.0018554i,-8.2097e-05+0.001615i,-0.0021626-0.0020187i,-0.0023443+7.0905e-05i,-0.00096472+0.00011189i,0.00015714+0.00012261i,-0.00074215+0.00069849i,0.0010355+0.0097731i,0.0017559-0.0014109i,0.00089133-0.00061921i,0.0011098+0.0013058i,-0.0024232-0.0021027i,-0.0014975+0.0011159i,-0.0026317+0.00051314i,0.0047428+0.0080346i,0.0020479-4.6018e-05i,-0.014856+0.027559i,-0.036522+0.039945i,-0.013259+0.055482i,-0.0027729+0.03355i,0.021376+0.038211i,0.0099722+0.026682i,-0.00035148+0.0021043i,-0.018302-0.0089153i,-0.045574+0.0017798i,-0.026622+0.01558i,0.016838+0.010892i,-0.0024621+0.0039778i,-0.0020861+0.007245i,-0.011169+0.005628i,0.0048067-0.0055706i,0.017619+0.0076234i,0.0073016+0.011689i,-0.016555-0.0047421i,0.0010984-0.0022437i,-0.0039388+0.00044402i,-0.0031913-0.0049571i,0.001245-0.0046831i,0.0055765+0.005891i,0.0052095-0.0083281i,-0.0019508-0.0064081i,0.0013881-0.0037621i,0.0036302-0.004069i,-0.0061927-0.0025575i,-0.00033931+0.00048232i,0.0020378-0.0028885i,0.021346+0.026263i,-0.0080909-0.0011022i,0.0020098-0.0021017i,-0.0037697-0.0039776i,0.0040849-0.0040302i,-0.0098773+0.0071677i,0.00254-0.00052089i,0.00039447-0.0026856i,0.00084515-0.0030798i,-0.0035489-0.0039323i,0.00018824+0.0031083i,0.0018314+0.0013248i,0.0033193+0.0055108i,-0.0093726+0.0046206i,-0.0079216+0.0066818i,-0.024494+0.040989i,0.0035545+0.020493i,-0.023619+0.0041922i,-0.0037619-0.0078401i,0.016988+0.014881i,0.008737+0.022429i,-0.0094505+0.0018629i
-0.0065846+0.018046i,0.028708+0.030686i,0.046447+0.020341i,0.015858+0.011923i,0.0085857+0.0015267i,0.021016-0.015467i,0.014734+0.0062476i,0.03098+0.026072i,0.015204+0.014992i,0.00078574+0.0050823i,0.001959-9.5186e-05i,0.00059764-0.00057441i,-0.0013175-0.0011848i,0.0028571-0.001477i,0.00076885-0.0030293i,0.0032739-0.00064846i,0.0026073-0.010449i,1.89e-05-0.00090167i,-0.002773+0.003592i,0.00011578-0.00027387i,-0.0025016-0.00033915i,-0.0042082+0.0032575i,-0.0021606+0.0016682i,0.0069886-0.0031386i,0.0028891+0.00074735i,0.0010449-0.0020674i,0.0015446-0.00056106i,0.0019361+0.0017871i,0.001053+0.0010884i,0.0005053+0.0018367i,-0.0025981-0.0004988i,-0.0019223+0.0012199i,-0.00076658+0.00041059i,-2.7749e-05+0.00021203i,-7.7027e-05+0.00078113i,0.0036155+0.0086575i,0.0012616-0.0016827i,0.00039934-0.00094553i,0.0011525+0.0010794i,-0.0028686-0.0013538i,-0.0011475+0.0014207i,-0.0022883+0.0011321i,0.0073077+0.0071196i,0.002002-8.4955e-05i,-0.0078609+0.027182i,-0.026645+0.043948i,-0.0041538+0.057662i,0.0019549+0.030868i,0.029543+0.026065i,0.017044+0.020181i,-0.0072761+0.0036506i,-0.025456-0.0051495i,-0.047119+0.0098107i,-0.023577+0.011673i,0.017755+0.0045144i,-0.0020087+0.0053595i,0.0002283+0.009418i,-0.0090449+0.0090955i,-0.00062356-0.0055626i,0.019536+0.0010992i,0.012121+0.0089724i,-0.018426+0.00083903i,0.00056481-0.0020376i,-0.002538+0.0016677i,-0.0039221-0.0017974i,-0.00033239-0.0043403i,0.0072365+0.0027181i,0.0025711-0.0086312i,-0.0042143-0.0023734i,0.0016014-0.0030114i,0.0017925-0.0059168i,-0.0061837+0.0005087i,0.00068763+0.00044018i,0.0010603-0.0028672i,0.029047+0.012364i,-0.0079275+0.0029458i,0.0014805-0.0032295i,-0.0039861-0.0026188i,0.0024299-0.0065902i,-0.0047565+0.0085576i,0.0035831-0.0020268i,-0.00060294-0.0018093i,0.00013309-0.0027001i,-0.0034682-0.0015448i,7.657e-06+0.0034596i,0.0017461+0.0001029i,0.0056685+0.003669i,-0.007854+0.0061743i,-0.0067201+0.0087288i,-0.019132+0.042845i,0.014154+0.014961i,-0.021042+0.0079382i,-0.0091481-0.0099317i,0.01828+0.010017i,0.015539+0.020323i,-0.0085097+0.0030878i
-0.0047323+0.018835i,0.031875+0.026352i,0.047752+0.010542i,0.018075+0.0055598i,0.0090722-0.0031541i,0.017284-0.019003i,0.01426+0.0048378i,0.032875+0.019269i,0.0182+0.011271i,0.0018228+0.0048673i,0.0017713+4.2657e-07i,0.001335-0.00052749i,-0.0014362+0.00073931i,0.00238-0.0019194i,-1.8681e-05-0.0026479i,0.0034578-0.00028634i,4.7765e-05-0.0089452i,-0.00041621-0.00090197i,-0.0013804+0.00352i,-0.00057553-0.00016202i,-0.0026088+0.00051578i,-0.002313+0.0042437i,-0.0015622+0.0022025i,0.0042034-0.0050469i,0.0026825-0.00019585i,0.00030224-0.0021153i,0.0010892-0.0010151i,0.0018222+0.00091521i,0.00094751+0.00044026i,0.0013833+0.0016894i,-0.0020587+0.00066428i,-0.0011609+0.0018694i,-0.0005847+0.00061012i,0.00025874+0.00081066i,0.00058448+0.0009348i,0.0056667+0.0069254i,0.00052331-0.0018588i,-0.00018873-0.00087367i,0.0017094+0.00086415i,-0.0029776-0.00050343i,-0.00079638+0.0013472i,-0.0018684+0.0017399i,0.0092224+0.0048252i,0.0016129-0.00057703i,-0.0032364+0.025229i,-0.016227+0.045112i,0.0072359+0.057839i,0.0066786+0.02915i,0.031806+0.013114i,0.019767+0.012534i,-0.01057+0.010149i,-0.029874+0.0037795i,-0.046415+0.020368i,-0.024805+0.0088183i,0.015004-0.00097206i,-0.00031592+0.0064155i,0.0045548+0.0089452i,-0.0060907+0.011522i,-0.0032422-0.0024602i,0.017585-0.0071101i,0.015391+0.0043722i,-0.018073+0.0064027i,0.00042346-0.00092901i,-0.0014808+0.0021681i,-0.0024504+5.9772e-05i,-0.0022181-0.002887i,0.0068298+0.00021398i,2.9004e-05-0.0082228i,-0.0033012+0.0012285i,0.0022398-0.0034958i,-0.00076784-0.0064257i,-0.0042314+0.002457i,0.0019229-0.00033127i,0.00051714-0.0023674i,0.029436-0.0015975i,-0.0048383+0.0057031i,0.00020218-0.0039484i,-0.0033392-0.0019514i,-0.00013795-0.0073361i,-0.0011813+0.0074868i,0.0028599-0.0036456i,-0.00061232-0.00022115i,0.00024769-0.0022996i,-0.0019301-0.00079813i,0.0014561+0.0041879i,0.00064955-0.00064049i,0.0058855+0.00097537i,-0.0063892+0.0069464i,-0.0044528+0.010871i,-0.012311+0.044327i,0.018507+0.0019431i,-0.016615+0.0086685i,-0.015149-0.0088408i,0.019373+0.0054724i,0.020926+0.013919i,-0.0085884+0.0029295i
-0.0026313+0.018964i,0.035245+0.021391i,0.047902+0.0014248i,0.018567-0.0012361i,0.008381-0.0068479i,0.013057-0.021945i,0.014944+0.0037854i,0.033738+0.012865i,0.020755+0.006179i,0.002566+0.0043747i,0.0021727+7.3109e-05i,0.0019215-0.00074745i,-5.8627e-06+0.0020568i,0.0018405-0.0021318i,-0.00030314-0.0021755i,0.0041111-0.00013627i,-0.0011961-0.0078698i,-0.00027559-0.00080644i,-0.0004293+0.003369i,-0.00084855+0.00034788i,-0.0019983+0.001218i,-0.0003011+0.0039798i,-0.00083388+0.0023575i,0.00085338-0.0056462i,0.0024198-0.00084524i,-0.0005829-0.0020007i,0.0005339-0.0011858i,0.0017431+0.00038678i,0.00074045+0.00025487i,0.0018818+0.00084844i,-0.0014155+0.0013409i,-0.00027555+0.0021164i,-0.00036454+0.00081361i,0.00092948+0.00053265i,0.0010186+3.8143e-05i,0.0066255+0.0048146i,-0.00010523-0.0018577i,-0.0003937-0.00041167i,0.0015445-1.7869e-05i,-0.0026049+0.00023713i,-0.00085337+0.001474i,-0.0012261+0.0020459i,0.010292+0.0025373i,0.0011455-0.00037471i,0.00012454+0.022705i,-0.0069957+0.043461i,0.018693+0.053832i,0.011545+0.02683i,0.030219+0.0016417i,0.019586+0.0060946i,-0.0087707+0.017516i,-0.028517+0.015513i,-0.04036+0.03314i,-0.027771+0.0099606i,0.011456-0.0037809i,0.0018442+0.0061612i,0.0073411+0.0066203i,-0.0022784+0.013673i,-0.0035474-0.00015048i,0.011771-0.01435i,0.015991-0.0020954i,-0.015664+0.010923i,0.0014005-0.00065382i,-0.000108+0.0021849i,-0.00093758+0.00032232i,-0.0021788-0.00049612i,0.0055061-0.0012133i,-0.0019192-0.0068918i,-0.00096442+0.0031761i,0.0017852-0.0048679i,-0.003164-0.0053819i,-0.0027485+0.0027711i,0.0019451-0.0018084i,0.00070691-0.0019762i,0.024179-0.013396i,-0.0015864+0.0061585i,-0.0013491-0.0037238i,-0.0033615-0.0013253i,-0.0028819-0.0067632i,0.00084377+0.0060541i,0.0022289-0.0045796i,0.00079144+0.00023763i,0.00023665-0.0030093i,-0.00093268-0.0015158i,0.0026619+0.0040215i,-0.00055105+4.2628e-05i,0.0052308-0.00028079i,-0.0053782+0.0073037i,-0.00080349+0.011672i,-0.0050479+0.04424i,0.01397-0.0092041i,-0.014289+0.0058067i,-0.020766-0.0042967i,0.01818-0.0010346i,0.021881+0.0069342i,-0.0092291+0.004355i
-0.00035076+0.019042i,0.037669+0.015491i,0.046035-0.0084489i,0.015921-0.0086705i,0.0069293-0.010761i,0.0081678-0.023766i,0.016438+0.0018798i,0.033817+0.0068961i,0.02117+0.00061115i,0.0032379+0.0042613i,0.0022754-0.00044796i,0.0022497-0.0020203i,0.0014876+0.0020827i,0.0012244-0.0022392i,-0.00040662-0.0018865i,0.0048609-0.00073672i,-0.0025948-0.0072415i,-0.00077223-0.0010883i,0.00060949+0.0029472i,-0.0010529+0.0009016i,-0.0016756+0.0014293i,0.00086763+0.002827i,-0.00039474+0.0023365i,-0.002129-0.0045103i,0.0017228-0.0022492i,-0.0014253-0.0013057i,-0.00014754-0.0012158i,0.0015727+8.2638e-06i,0.00089199-8.5415e-06i,0.0018347-0.00015416i,-0.00044197+0.0016647i,0.00044828+0.0020761i,-0.00019196+0.0011615i,0.00089556+0.00011434i,0.00047541-0.0008586i,0.0068272+0.0030089i,-0.00089539-0.0014902i,-0.00050233-0.00024319i,0.0012342-0.00023504i,-0.0018654+0.00086287i,-0.00059493+0.0018428i,-0.00055109+0.0023401i,0.010909-0.00050675i,0.00081487+4.4723e-05i,0.0025533+0.020492i,0.00075394+0.04032i,0.027584+0.046704i,0.016494+0.023783i,0.025408-0.0074341i,0.018016+0.0017462i,-0.0030301+0.021909i,-0.019983+0.024354i,-0.027666+0.041519i,-0.029376+0.014866i,0.0080397-0.0048866i,0.0033954+0.0049496i,0.0084034+0.0032718i,0.0025425+0.013498i,-0.0039694+0.0016553i,0.0015064-0.016799i,0.013092-0.0074908i,-0.012788+0.014446i,0.0020186-0.0019629i,0.00078337+0.0015032i,-0.00065812-0.00037338i,-0.00063234+0.00083893i,0.0044929-0.0013699i,-0.0031414-0.0059701i,0.0015166+0.0031357i,0.00018855-0.0062975i,-0.0044528-0.0035605i,-0.0012612+0.0028849i,0.00099447-0.0031276i,0.00086319-0.0025734i,0.014921-0.020042i,0.00088583+0.0054813i,-0.0022787-0.0029085i,-0.003003-0.0010552i,-0.0050744-0.0055947i,0.001979+0.0047449i,0.001255-0.0060727i,0.0017498-0.00032463i,-0.00088729-0.0032062i,-0.0014416-0.002376i,0.0044152+0.0035442i,-0.0007659+0.0014178i,0.0049424-0.0014942i,-0.0046059+0.0080348i,0.0025492+0.010635i,0.0023315+0.043543i,0.0062472-0.016198i,-0.01639+0.0028828i,-0.022613+0.0028417i,0.012616-0.0057123i,0.021633+0.00084044i,-0.0077411+0.0052974i
0.0020963+0.018503i,0.039351+0.0098831i,0.041548-0.016855i,0.0098066-0.013443i,0.0035583-0.014159i,0.003511-0.024168i,0.017995-0.0011827i,0.032817+0.0014133i,0.020224-0.0050899i,0.0046286+0.0041334i,0.0020881-0.00054734i,0.0010606-0.0032732i,0.0028036+0.001427i,0.00074907-0.0021643i,-0.00033132-0.0018813i,0.0052905-0.0016155i,-0.004784-0.0056422i,-0.0013012-0.00066306i,0.0012757+0.0020627i,-0.00071841+0.0017729i,-0.0013202+0.0018584i,0.00094742+0.0014126i,4.207e-05+0.0023625i,-0.0040224-0.002102i,-0.00015474-0.0024775i,-0.0017007-0.00041552i,-0.00064452-0.00097709i,0.0012669-0.00022804i,0.0005738-0.00065834i,0.0013906-0.00080582i,0.00050768+0.0013434i,0.0011358+0.0017207i,0.00036897+0.0013716i,0.00081324+9.8244e-06i,-0.00044107-0.00039892i,0.0067661+0.001297i,-0.001279-0.0008938i,-0.00052019+0.00012909i,0.0012272-0.00026442i,-0.0010765+0.0008466i,5.8579e-05+0.002172i,0.00023829+0.0022616i,0.010209-0.0038231i,0.00078636+0.00058856i,0.004737+0.018043i,0.007061+0.035897i,0.033349+0.038961i,0.021454+0.01945i,0.019224-0.012948i,0.015867-0.001016i,0.0034827+0.023546i,-0.0098058+0.027073i,-0.013355+0.044447i,-0.027756+0.021031i,0.0060176-0.0047801i,0.0045699+0.0034629i,0.007909+0.00064477i,0.0070335+0.011068i,-0.0031843+0.0041507i,-0.0075423-0.012911i,0.0088672-0.010696i,-0.0087498+0.01709i,0.0011652-0.0035029i,0.0010029+0.00077237i,-0.00095759-0.00042677i,0.0010615+0.0010217i,0.0041482-0.001867i,-0.0046392-0.004579i,0.0032425+0.0017827i,-0.0028108-0.0065825i,-0.0048182-0.001527i,0.00027936+0.002079i,0.00025099-0.0036194i,0.00025538-0.0038157i,0.0053237-0.021767i,0.0026836+0.0041735i,-0.0027824-0.0023197i,-0.003826-0.00087655i,-0.0065656-0.0034244i,0.0022893+0.003901i,-0.0009405-0.007332i,0.0023701-0.001461i,-0.0014674-0.0024513i,-0.0018816-0.0023761i,0.0054678+0.0020701i,1.5392e-05+0.0023299i,0.0036264-0.0026514i,-0.0035543+0.0092725i,0.0049254+0.0087726i,0.01066+0.04148i,-0.0043985-0.019572i,-0.020138+0.00314i,-0.020388+0.0099046i,0.0072243-0.0055075i,0.018599-0.005428i,-0.006039+0.0040575i
0.0042858+0.017351i,0.040587+0.003429i,0.036231-0.023026i,0.0041675-0.01416i,-0.00051051-0.015829i,-0.00041563-0.024066i,0.018862-0.0055343i,0.03169-0.0034075i,0.017848-0.010149i,0.0060509+0.0029561i,0.0025825-0.00082651i,-0.00037458-0.0031006i,0.0034943-0.00015468i,0.00042885-0.0020111i,-0.00057062-0.0019915i,0.0055966-0.0023799i,-0.0055021-0.0032532i,-0.0012171-0.00041601i,0.0013594+0.0011859i,0.00017672+0.0020288i,-0.00080449+0.0020554i,0.00053385+0.00054623i,0.00056965+0.0022868i,-0.0044011+0.00088421i,-0.0011343-0.0013418i,-0.0015776+0.00032272i,-0.00091267-0.00061068i,0.0010769-0.0004531i,-4.7464e-05-0.00029911i,0.00075429-0.0012063i,0.0011289+0.00069381i,0.0015276+0.0011977i,0.0010671+0.0010654i,0.00098891-4.9988e-05i,-0.00035635+0.00047661i,0.0062276-0.00021331i,-0.0015756-0.00018956i,-0.00028911+0.00042163i,0.0012311-0.00083872i,-0.00035509+0.00057266i,0.00079826+0.0019498i,0.00095095+0.0019063i,0.0078305-0.0063802i,0.0010072+0.00099213i,0.005765+0.015853i,0.011016+0.030947i,0.037489+0.031528i,0.024837+0.013169i,0.013285-0.016053i,0.01442-0.0011957i,0.010496+0.023227i,-0.00067887+0.027506i,-0.00020031+0.042115i,-0.023526+0.027058i,0.0046161-0.0054248i,0.0052557+0.0012175i,0.0074914-0.0016008i,0.010192+0.0071281i,-0.0008587+0.005074i,-0.0123-0.0061896i,0.003717-0.012022i,-0.0037978+0.018008i,-0.00074933-0.0039353i,0.00040991+0.00060553i,-0.0010776-0.00013473i,0.0022045+0.00012466i,0.0036895-0.0016417i,-0.0051424-0.0024472i,0.0035591+0.00017485i,-0.0052721-0.0046788i,-0.0040118+0.0001498i,0.00053747+0.00066592i,-0.00073662-0.0041499i,-0.0013-0.0043028i,-0.002582-0.019832i,0.0042173+0.0020898i,-0.0035561-0.0016108i,-0.0042017+0.00089048i,-0.0068113-0.0005183i,0.0028705+0.0035497i,-0.0046529-0.0072212i,0.0024601-0.0030024i,-0.0018193-0.002389i,-0.0024529-0.0029695i,0.0063032+0.00069629i,0.0010556+0.0026557i,0.0021307-0.0021484i,-0.0017273+0.0097793i,0.0062401+0.0063305i,0.01866+0.036832i,-0.015668-0.017085i,-0.023096+0.0056391i,-0.015174+0.013504i,0.0047687-0.0044176i,0.013096-0.0090293i,-0.0072361+0.0029774i
0.0058009+0.016155i,0.040524-0.0034907i,0.030789-0.028158i,0.00026447-0.013452i,-0.0045119-0.01635i,-0.0046232-0.02386i,0.018153-0.011059i,0.030231-0.0083813i,0.014034-0.014174i,0.0069774+0.0012543i,0.0028518-0.0019713i,-0.0013534-0.0022928i,0.002988-0.0017438i,0.00019204-0.0018819i,-0.0011134-0.0020666i,0.0058318-0.0036586i,-0.0053577-0.0013038i,-0.0014574-0.00046192i,0.0012798+0.0007525i,0.00096089+0.0018511i,-0.00030084+0.0021597i,-0.00016053+0.0003875i,0.00099483+0.002023i,-0.0030981+0.0035734i,-0.0010918-0.00029967i,-0.0012868+0.00099842i,-0.001046-0.00017139i,0.00080022-0.00052234i,-0.00011901-1.3996e-05i,-4.2044e-05-0.0012342i,0.0013469-9.2167e-05i,0.0018903+0.00068342i,0.0014171+0.00055193i,0.00086985-0.00067102i,0.00030649+0.00067527i,0.0055255-0.0013864i,-0.0013397+0.0005917i,0.00013798+0.00056129i,0.00031291-0.0011838i,0.00024511+4.9443e-05i,0.0014658+0.0016665i,0.0013705+0.0014164i,0.0051679-0.0074328i,0.0015538+0.0016878i,0.0063663+0.014223i,0.013271+0.027196i,0.040439+0.024067i,0.025597+0.0075475i,0.0069766-0.018165i,0.015906-0.00084074i,0.016944+0.019994i,0.0092353+0.024874i,0.01151+0.035607i,-0.015944+0.031572i,0.0029626-0.005805i,0.0044942-0.0017286i,0.0065794-0.0039447i,0.010593+0.0021482i,0.00042322+0.0046267i,-0.013228+0.0016495i,-0.001364-0.011053i,0.00029632+0.016468i,-0.0025833-0.0031182i,0.00023641+0.0012306i,-0.0011341+0.00035246i,0.0028487-0.0014365i,0.0043923-0.00084912i,-0.004196-0.00087762i,0.0035633-0.00038763i,-0.0060289-0.0022099i,-0.0029757+0.00087211i,0.00018467+0.00013768i,-0.0030673-0.0046357i,-0.0028003-0.0035202i,-0.0090615-0.016329i,0.0043619-0.00048435i,-0.0039913-0.00031789i,-0.0028758+0.0022245i,-0.0060777+0.0016735i,0.004102+0.0031896i,-0.0072597-0.0047514i,0.0010894-0.0048323i,-0.0026694-0.0017204i,-0.0042737-0.0025071i,0.0067071-0.0019125i,0.0021995+0.0028399i,0.0024209-0.0019503i,0.00061996+0.010075i,0.006476+0.003931i,0.025124+0.02997i,-0.022008-0.0088524i,-0.025742+0.010157i,-0.010102+0.014982i,0.002265-0.0027428i,0.0081389-0.0088759i,-0.0080746+0.0032006i
