-0.0011641-0.042754i,-0.00015442-0.047317i,-0.0083866-0.048383i,-0.031028-0.023357i,-0.022944+0.010683i,-0.037061-0.033595i,-0.064841-0.057868i,-0.019354-0.071666i,-0.024217-0.044697i,-0.0011071+0.016436i,-0.010534+0.012593i,-0.014367+0.013828i,0.0039081+0.013587i,-0.0027858-0.0018114i,0.0019361+0.0061564i,0.00044258+0.033614i,0.019485+0.05707i,0.001117-0.00067644i,-0.0033847-0.0096451i,0.0075912+0.0040057i,0.0013754+0.0014022i,-0.00058997+0.0033061i,-0.00020764-0.00039096i,-0.038529-0.009553i,-0.0027207-0.0074484i,-0.0011022+0.0045774i,0.005454-0.00034605i,-8.6425e-05+0.00034225i,0.00058683-0.00080881i,5.4282e-05-0.0022769i,-0.0017692-0.0056358i,-0.0032416-0.0063267i,-0.0011358-0.0069111i,0.0032416-0.00022554i,0.0028687-0.0016533i,-0.0016588+0.038731i,0.0063022-0.0041313i,0.0030113-0.00077866i,0.0049168-0.00077482i,-0.013306-0.0058274i,-0.00086473+8.7964e-05i,0.0096586-0.0010241i,0.0039311+0.0013228i,-0.0042043+0.0018495i,-0.00027819+0.0093367i,-0.0042091+0.01647i,0.024862-0.083454i,-0.00040523-0.055475i,-0.023788-0.043663i,-0.020186-0.03764i,0.062331-0.017554i,0.030419-0.058672i,0.038927-0.045032i,0.034101-0.053308i,0.019193-0.015529i,0.0075789+0.012142i,0.022988-0.034687i,-0.008485-0.0052306i,0.0029756-0.0010745i,-0.002915-0.004886i,0.004076-0.031911i,-0.024981+0.03139i,0.0084447-0.010477i,-0.012493-0.0023022i,-0.0044633-0.0016452i,0.00033811-0.014533i,-0.010687+0.0050951i,0.0034219+0.0065996i,-0.013635+0.03047i,0.0057509+0.0068074i,-0.0059501-0.0014939i,-0.0012345-0.0024709i,-0.01211-0.0079503i,0.00010417-0.0034637i,-0.036205+0.0070017i,0.0014877-0.012387i,-0.0092103-0.0026828i,-0.0068452-0.0030662i,0.0064711+0.0019672i,-0.008825+0.0025489i,0.00026921+0.0018124i,0.0059306+0.0099423i,0.0046887+0.00080521i,-0.0094124-0.01018i,0.0020248+0.0085471i,-0.020152+0.005423i,0.0064632+0.0030648i,-0.028358-0.0082358i,-0.036233-0.0011267i,0.02627-0.080093i,0.013785-0.0092636i,-0.043288-0.028287i,-0.025133-0.0061322i,0.017889+0.011858i,-0.02703+0.011121i,-0.012545-0.0095752i
-0.015871+0.026612i,-0.00060538+0.058435i,0.032808+0.03904i,0.0041451+0.0127i,-0.0017012+0.0050761i,0.032713-0.0064207i,0.010532+0.016923i,0.011123+0.050478i,0.0051429+0.019646i,-0.0044696+0.007522i,-6.2109e-05+0.0013988i,0.002411-0.0043282i,0.002558-0.0022453i,0.0034729-0.0012159i,0.0039281-0.00135i,0.0065999+0.00040841i,0.010805-0.0068342i,-0.0014853-1.113e-05i,-0.0046818+0.00057205i,-7.3633e-06+0.002404i,-0.0012962-0.00012701i,-0.0045464-0.0011379i,-0.0024504+0.00056163i,0.0056539+0.0082993i,0.0027792+0.0024606i,0.0021075+0.0010617i,0.0017182+0.0016619i,-0.001116+0.0033903i,3.7364e-05+0.0011885i,-0.0010532+0.0011694i,0.00097768-0.0038803i,-0.0012587-0.001626i,-0.0011341-0.00064085i,0.0002431+0.00022021i,-0.00039461-0.0024762i,-0.0068636+0.013663i,0.0028316-0.00048595i,0.00067975-0.00041964i,3.6423e-05+0.0026742i,-0.00046492-0.0041834i,-0.0016521-0.00049285i,-0.0027699-0.0024373i,0.00086436+0.0066438i,0.0043486+0.0028858i,-0.031972+0.011665i,-0.072969+0.018691i,-0.043291+0.042179i,-0.018906+0.036298i,-0.0015875+0.049974i,-0.0086602+0.030716i,0.010701+0.0096629i,-0.0074439-0.007535i,-0.036627-0.0036709i,-0.044493+0.015122i,0.0082103+0.021432i,-0.0032208+0.0038714i,-0.0035968+0.0034581i,-0.013604-0.0028058i,0.0096834+0.0016984i,0.011698+0.015604i,-0.0039743+0.0093588i,-0.0069575-0.011347i,0.0061564-0.004082i,-0.0063179-0.0044363i,0.0035689-0.0080609i,0.0060143-0.0023289i,-0.00074035+0.0097183i,0.013304-0.0052203i,0.0075762-0.0072911i,0.0051248-0.0070132i,0.0034601-0.00085113i,-0.0028074-0.0068907i,-0.0041017-0.001779i,0.002281-0.00097843i,-0.010399+0.036321i,-0.0061777-0.0052248i,0.001107+0.00065749i,-0.00035403-0.0081476i,0.0035944-0.0010579i,-0.013709-0.0048564i,0.0011595-0.00064361i,0.0038416-0.0038114i,0.0024583-0.002064i,0.00016808-0.0059298i,-0.00022683+0.006254i,-8.8127e-05+0.0037964i,-0.003007+0.0050646i,-0.011796-0.00066749i,-0.0094892+0.0020686i,-0.035534+0.041396i,-0.0080782+0.016119i,-0.023321-0.0052936i,-0.00036941-0.00078712i,0.01046+0.020335i,-0.0010301+0.02016i,-0.0056456-0.0010788i
-0.012092+0.025715i,0.0084682+0.055554i,0.039021+0.032977i,0.0069433+0.012825i,0.0020384+0.0056617i,0.030934-0.013534i,0.011789+0.014064i,0.019016+0.046992i,0.0083589+0.018251i,-0.0018031+0.0081362i,0.0010115+0.0016046i,0.00021702-0.0033418i,0.0015649-0.0022409i,0.0029283-0.0011265i,0.0033687-0.0020167i,0.0061124-0.00040733i,0.0074865-0.0086928i,-0.00069398+0.0005178i,-0.0046643+0.00094487i,0.0010421+0.0015357i,-0.0013639-4.6662e-05i,-0.0046262-5.2588e-05i,-0.0022965+0.00072526i,0.0094124+0.0046756i,0.0030731+0.0025594i,0.0028605-2.2199e-05i,0.0019591+0.00066461i,0.00029575+0.0035173i,-5.2945e-05+0.0013281i,-0.00063749+0.0016022i,-0.00076899-0.0036615i,-0.002061-0.0015293i,-0.0014863-0.00023592i,0.00035329-1.0674e-05i,-0.0013447-0.0009019i,-0.0016853+0.014329i,0.0019428-0.001444i,0.0005231-0.00032955i,0.0012459+0.0019799i,-0.0014026-0.0032159i,-0.001551-0.00026223i,-0.0036187-0.0014974i,0.0022094+0.0064038i,0.0037397+0.0021422i,-0.028194+0.017272i,-0.065644+0.030336i,-0.038125+0.049658i,-0.011005+0.037948i,0.01164+0.04544i,5.7247e-05+0.028122i,0.0059564+0.0028115i,-0.014217-0.010833i,-0.038942-0.0025208i,-0.035366+0.016514i,0.013092+0.017587i,-0.0031269+0.0046831i,-0.0021595+0.0067147i,-0.013519+0.0027143i,0.0080927-0.0019324i,0.015092+0.011957i,0.00089722+0.013607i,-0.012389-0.0089907i,0.001872-0.0048895i,-0.0056815-0.001249i,-0.0010225-0.0073443i,0.0042739-0.0047299i,0.0034984+0.0071526i,0.0087-0.0086712i,0.0024659-0.0088291i,0.0017385-0.0055082i,0.0041117-0.0021132i,-0.0042947-0.0053459i,-0.0025672+0.0010129i,0.0029198-0.0012506i,0.0085724+0.035238i,-0.0075809-0.0037013i,0.0018779-0.001094i,-0.003931-0.0070452i,0.0038764-0.0022904i,-0.013632+0.001539i,0.0014537-0.00020238i,0.0020718-0.0036397i,0.0025228-0.0031107i,-0.0012749-0.0057964i,0.001564+0.002887i,0.0015326+0.0029951i,-0.00010232+0.0060757i,-0.010688+0.0033333i,-0.009296+0.0038117i,-0.027109+0.04189i,-0.0056636+0.019008i,-0.024518-0.00014892i,-0.0013542-0.005288i,0.013327+0.019157i,0.0032696+0.021886i,-0.0080664-0.00089679i
-0.0097136+0.025634i,0.015771+0.051092i,0.04507+0.024537i,0.011225+0.010197i,0.0064697+0.0042356i,0.027305-0.020429i,0.012175+0.011092i,0.026465+0.041961i,0.01158+0.016629i,0.00020421+0.0081184i,0.0014339+0.00078889i,-0.00033564-0.0015762i,0.00057889-0.0024911i,0.0027765-0.0015012i,0.0026719-0.0025303i,0.0055792-0.0012069i,0.0046743-0.0095014i,-0.00034121+0.00029165i,-0.0049172+0.0025732i,0.0012227+0.00016461i,-0.0018476-5.2198e-05i,-0.0041526+0.0012809i,-0.0023163+0.00098885i,0.0096807-0.00060346i,0.0045912+0.0011746i,0.0022579-0.0013881i,0.0019239-0.00011326i,0.001581+0.002698i,0.00044605+0.0014862i,-0.00023415+0.0017409i,-0.0021641-0.0025968i,-0.0029073-5.4603e-06i,-0.0013338+0.00037058i,0.00012618-0.00029441i,-0.00092022+0.00034859i,0.0024994+0.013203i,0.0010097-0.0015086i,0.0003914-0.00053171i,0.0016883+0.0011488i,-0.0022634-0.0023127i,-0.0015786-2.4903e-05i,-0.0038709-0.00021631i,0.0036773+0.006315i,0.0041338+0.0020306i,-0.022602+0.021062i,-0.057248+0.040057i,-0.029448+0.056707i,-0.0024815+0.037056i,0.02314+0.036611i,0.0075096+0.025639i,-0.0005601+0.00033555i,-0.02121-0.0098472i,-0.041844+0.0019674i,-0.028507+0.014155i,0.016152+0.011773i,-0.0026558+0.0052324i,-0.00062801+0.0067273i,-0.0122+0.0069184i,0.0047342-0.0057223i,0.017854+0.0074199i,0.0071204+0.013909i,-0.015739-0.0049617i,0.00036583-0.0028534i,-0.0047544+0.0012873i,-0.0031389-0.0051057i,0.0016313-0.0053265i,0.0053177+0.0060313i,0.0053823-0.0093862i,-0.0024112-0.00711i,0.0011113-0.0036889i,0.0034077-0.0045935i,-0.0064381-0.0034608i,-0.00064041+0.0012822i,0.0020027-0.0026103i,0.023189+0.025478i,-0.0089221-0.00075992i,0.0017794-0.0021302i,-0.0042169-0.0046003i,0.0042874-0.0041111i,-0.0098889+0.006708i,0.002663-0.00020478i,0.00060398-0.0041033i,0.0011407-0.0033593i,-0.0033118-0.0045346i,0.00035012+0.0021884i,0.0025361+0.0017964i,0.0028823+0.00581i,-0.0089365+0.0058475i,-0.0089573+0.0064276i,-0.020533+0.041121i,0.0020703+0.020841i,-0.023712+0.0037815i,-0.0038293-0.0090963i,0.018071+0.015947i,0.0089915+0.022865i,-0.010178+0.0010375i
-0.0072222+0.026159i,0.020697+0.046904i,0.047979+0.014407i,0.013083+0.0053272i,0.0096796+0.00012896i,0.021573-0.025706i,0.012061+0.0091213i,0.032065+0.035319i,0.014652+0.013805i,0.0019663+0.0081452i,0.0011286+0.00064989i,0.00022767-0.00077302i,-0.00092314-0.0017169i,0.0020462-0.0016403i,0.0018018-0.002993i,0.0049461-0.0017409i,0.0015865-0.0092366i,0.00015284+0.00035313i,-0.003132+0.0042101i,0.0005661-0.00056352i,-0.0020714+0.00085463i,-0.0033404+0.0024711i,-0.0022005+0.0015823i,0.0072283-0.0043275i,0.0042065-0.00068969i,0.0012315-0.0017226i,0.0016125-0.00063321i,0.0019112+0.0017281i,0.0010745+0.00091191i,0.00029089+0.0020721i,-0.0028827-0.0009216i,-0.0022705+0.0014443i,-0.0010266+0.00071086i,-0.00024118-0.000344i,-0.000418+0.0007475i,0.0060782+0.011269i,0.00057006-0.0014844i,4.5102e-05-0.00068544i,0.0017047+0.00074099i,-0.0026828-0.0013972i,-0.0016336+0.00038237i,-0.0035858+0.00094074i,0.0056101+0.0056163i,0.0047732+0.001665i,-0.016323+0.021741i,-0.046191+0.047688i,-0.019423+0.061502i,0.003533+0.033866i,0.031151+0.023497i,0.014013+0.019308i,-0.0075361+0.0024711i,-0.028382-0.0051202i,-0.043206+0.008846i,-0.025185+0.010068i,0.017011+0.0050512i,-0.0018248+0.006575i,0.00073957+0.0089012i,-0.0095108+0.010771i,-0.00084003-0.0052686i,0.019418+0.00019872i,0.013015+0.011011i,-0.018056-2.515e-05i,-0.0002154-0.0020577i,-0.0025837+0.0026296i,-0.0040691-0.0020379i,-0.00016682-0.0048351i,0.0071695+0.0028282i,0.0022522-0.0096107i,-0.0048352-0.0024118i,0.0012741-0.0030069i,0.00097278-0.0062145i,-0.0070173-5.8874e-05i,0.0007398+0.0015071i,0.0010141-0.0028373i,0.030382+0.010797i,-0.0083702+0.0034528i,0.0014692-0.0035172i,-0.0045013-0.002715i,0.0027754-0.0068025i,-0.0047516+0.0081394i,0.0038099-0.0017966i,-0.0009358-0.003049i,0.00031761-0.0032019i,-0.0035776-0.0020565i,0.000174+0.0027733i,0.0026344+0.00012681i,0.0056047+0.0043548i,-0.0068117+0.0072196i,-0.0079124+0.0089634i,-0.015421+0.0418i,0.01293+0.016278i,-0.021307+0.0082397i,-0.0094558-0.011253i,0.020157+0.010367i,0.015575+0.02076i,-0.009177+0.0030075i
-0.0037725+0.02684i,0.025904+0.04408i,0.0484+0.0050275i,0.013459+0.00074267i,0.010057-0.004952i,0.015616-0.029147i,0.01225+0.0080341i,0.036+0.028881i,0.017126+0.010354i,0.0038849+0.0075376i,0.0011054+0.00086098i,0.00093412-0.00077844i,-0.0012463+1.561e-05i,0.0014843-0.0017606i,0.00086793-0.0028655i,0.0046518-0.0019184i,-0.00056138-0.0079449i,0.00014496+0.00031661i,-0.0014972+0.0042575i,-0.00018652-0.00066463i,-0.0016974+0.0014744i,-0.0019955+0.0032071i,-0.0016678+0.0022348i,0.0039759-0.0060627i,0.0031631-0.0019561i,0.00061481-0.0018281i,0.0011304-0.0010519i,0.0019241+0.0010167i,0.0010335+0.00029952i,0.0012438+0.0019739i,-0.0024432+0.00040775i,-0.0012855+0.0020468i,-0.00070861+0.00084988i,-0.0003304+0.00015684i,0.00029087+0.0010546i,0.0088049+0.0084586i,2.8141e-06-0.0012734i,-0.00032904-0.00054216i,0.0020307+0.00033307i,-0.0026526-0.00064688i,-0.0013656+0.00052079i,-0.0030781+0.001952i,0.0070784+0.0039472i,0.004784+0.00039582i,-0.012801+0.02116i,-0.033951+0.05185i,-0.0066959+0.064476i,0.0087976+0.031554i,0.032401+0.0096806i,0.016092+0.01226i,-0.010952+0.009262i,-0.032583+0.0044093i,-0.043622+0.01837i,-0.026306+0.0069269i,0.014106-0.00047793i,0.00027253+0.0076143i,0.0049443+0.0086589i,-0.0057869+0.01337i,-0.0031378-0.0020851i,0.016929-0.0082194i,0.017224+0.0057889i,-0.018342+0.0059278i,3.7389e-05-0.0005032i,-0.00090128+0.0028448i,-0.0025416-0.00012267i,-0.0024574-0.0034944i,0.0066588+0.0005468i,-0.00067349-0.0084929i,-0.003841+0.0013194i,0.0016522-0.0033817i,-0.0018647-0.0063458i,-0.0049413+0.0024275i,0.0025407+0.00037488i,0.00055324-0.0025095i,0.02984-0.0034398i,-0.005127+0.0061474i,-5.7244e-05-0.0046351i,-0.0035271-0.0018578i,2.5809e-05-0.007798i,-0.0012809+0.0072411i,0.0034038-0.0034694i,-0.001268-0.0011475i,0.00015193-0.0026364i,-0.002017-0.00089034i,0.0011768+0.0033332i,0.0014883-0.00096914i,0.0063157+0.001374i,-0.0049201+0.0075152i,-0.005287+0.011694i,-0.0092478+0.042182i,0.018159+0.0037032i,-0.016566+0.0089204i,-0.01636-0.010256i,0.020779+0.0051725i,0.020885+0.01441i,-0.0091189+0.0029764i
8.4122e-05+0.026485i,0.032004+0.040259i,0.047814-0.0039935i,0.012912-0.0039793i,0.0090974-0.0090439i,0.0092511-0.031517i,0.013524+0.0071964i,0.039015+0.022279i,0.018949+0.0059157i,0.0052667+0.0064354i,0.0018361+0.00097336i,0.0013219-0.001075i,-0.00014157+0.0012202i,0.0011108-0.0015915i,0.00029126-0.0025983i,0.0047341-0.0020838i,-0.0015934-0.0069979i,0.00073165+0.00012693i,-0.00037122+0.0041354i,-0.00066568-0.00039863i,-0.00093428+0.001729i,-0.00049477+0.0031371i,-0.0008754+0.0025607i,0.00032179-0.0064622i,0.0024251-0.0026755i,-0.00015748-0.0018717i,0.00055974-0.0012114i,0.0019405+0.00048822i,0.00081732+2.3599e-05i,0.0018021+0.0011019i,-0.0018679+0.0011944i,-0.00029033+0.0022023i,-0.00034652+0.0010834i,-2.1967e-05+0.0001791i,0.00069038+0.00043062i,0.009821+0.0051591i,-0.00033391-0.0010581i,-0.00045873-0.00018002i,0.0016212-0.00051088i,-0.0022569-9.9577e-05i,-0.0013996+0.00073093i,-0.0022814+0.0025691i,0.0078444+0.0021258i,0.004556-6.3016e-05i,-0.010198+0.020352i,-0.022529+0.052374i,0.0069807+0.062219i,0.014123+0.028741i,0.029419-0.002017i,0.01575+0.0069186i,-0.0089026+0.016965i,-0.030888+0.016048i,-0.0389+0.031217i,-0.029673+0.0075768i,0.010258-0.0028222i,0.0027214+0.007262i,0.0076008+0.0061509i,-0.0011955+0.014844i,-0.0035497+0.00024289i,0.010234-0.015059i,0.018143-0.0018817i,-0.016133+0.010695i,0.001283-0.00027985i,0.00037919+0.0022348i,-0.00091824+1.4263e-05i,-0.0028183-0.00076153i,0.0055195-0.00072649i,-0.0023944-0.0066348i,-0.0010637+0.0034867i,0.0012564-0.0043718i,-0.0040259-0.0047364i,-0.003342+0.0028117i,0.0025599-0.0017832i,0.00084127-0.0023861i,0.023463-0.015058i,-0.0016128+0.0068714i,-0.0020255-0.0041919i,-0.0034492-0.0012415i,-0.0030921-0.0074759i,0.00067195+0.0060939i,0.0027131-0.0048185i,-2.0103e-05-0.00042909i,0.0001012-0.0033861i,-0.00060823-0.0013835i,0.0018635+0.003502i,0.00013324-0.00052426i,0.0054466-0.00037299i,-0.003902+0.0072375i,-0.0012094+0.012798i,-0.0029869+0.041454i,0.014455-0.0079004i,-0.01424+0.0057494i,-0.022941-0.0050042i,0.018699-0.0016547i,0.022053+0.0075102i,-0.00961+0.0043824i
0.0041299+0.025836i,0.037423+0.034975i,0.044958-0.013626i,0.010082-0.0092499i,0.007035-0.013319i,0.0024622-0.032146i,0.015618+0.0052042i,0.041212+0.015267i,0.019031+0.0013326i,0.0063528+0.0057888i,0.0022046+0.00048934i,0.0014823-0.0021553i,0.00097238+0.0013497i,0.00085545-0.0015967i,-0.00012175-0.0021929i,0.00478-0.0028142i,-0.0029543-0.0063526i,0.00039944-0.00053682i,0.001137+0.0036789i,-0.0012305+0.00011979i,-0.00069307+0.0016187i,0.00060449+0.0022146i,-0.00022154+0.0026471i,-0.0028731-0.0050331i,0.00095556-0.0039934i,-0.00090473-0.0012852i,-0.00019043-0.0011936i,0.0018252-3.0297e-05i,0.00083067-0.00015871i,0.0017916+0.00018919i,-0.00093477+0.0016317i,0.00040548+0.0022442i,-3.8612e-05+0.0012704i,-5.1659e-05+0.00022419i,0.00023691-0.00032706i,0.0096778+0.0024005i,-0.00075204-0.00072172i,-0.00053443-3.2912e-05i,0.0012902-0.00080155i,-0.0015658+9.3842e-05i,-0.0012959+0.0012118i,-0.0013134+0.0030192i,0.0083099-9.8905e-05i,0.0043229-0.00060719i,-0.0080914+0.020071i,-0.012651+0.05108i,0.018221+0.056087i,0.019404+0.025114i,0.023198-0.010694i,0.014443+0.0033919i,-0.0028627+0.021813i,-0.0225+0.02531i,-0.026852+0.041226i,-0.03215+0.012218i,0.0068247-0.0031084i,0.0045727+0.0057219i,0.0084354+0.0027016i,0.0034949+0.013902i,-0.0035286+0.0021506i,-0.00030599-0.01662i,0.014774-0.0082562i,-0.013215+0.014204i,0.0021144-0.0017216i,0.00098805+0.0013126i,-0.00076053-0.00071019i,-0.0012298+0.00092898i,0.0047679-0.00095859i,-0.0032005-0.0056281i,0.0017648+0.0034409i,6.0047e-05-0.0055252i,-0.0051056-0.0027227i,-0.0017886+0.0031308i,0.0013913-0.003417i,0.00071376-0.0033285i,0.013713-0.021064i,0.0012416+0.0061845i,-0.0030127-0.0031576i,-0.0030449-0.0010752i,-0.0052184-0.0060592i,0.001856+0.0048394i,0.0014944-0.0067912i,0.00078846-0.00096524i,-0.0011045-0.0035875i,-0.00096363-0.0023736i,0.0035139+0.0034645i,-0.00018701+0.00083398i,0.0048866-0.0015446i,-0.0034092+0.0076358i,0.0023944+0.011572i,0.0034761+0.040304i,0.0072139-0.015835i,-0.016854+0.0026278i,-0.024985+0.0034291i,0.012787-0.0057789i,0.022069+0.0016001i,-0.008+0.0052471i
0.0083115+0.023722i,0.04251+0.029514i,0.039643-0.021382i,0.0046502-0.012178i,0.0031758-0.016721i,-0.0036374-0.0311i,0.017704+0.0020699i,0.041857+0.0080196i,0.018537-0.0031139i,0.0081696+0.004902i,0.002417+0.00023324i,0.00045229-0.0032617i,0.0019313+0.0010765i,0.00064767-0.0014837i,-0.00016732-0.0019698i,0.0044454-0.0034422i,-0.0049142-0.0049732i,-2.6598e-05-0.00066607i,0.002152+0.0023587i,-0.0011944+0.0012619i,-0.00035948+0.0018429i,0.00047533+0.00085318i,0.00046745+0.0026501i,-0.0047493-0.0021135i,-0.001679-0.0035596i,-0.0011144-0.00064531i,-0.00071007-0.000783i,0.0016052-0.00039327i,0.00063055-0.00067204i,0.0014617-0.0003156i,-1.9303e-05+0.0014587i,0.0010837+0.0018708i,0.00047223+0.0014344i,5.9389e-05+0.00034959i,-0.00040842+0.00017008i,0.0091539-3.1847e-05i,-0.00080263-0.00018109i,-0.00048538+0.0002589i,0.0010749-0.0010012i,-0.0010839-0.00024785i,-0.00085374+0.0017433i,-0.0003076+0.0029854i,0.0077733-0.0026138i,0.0037923-0.00099685i,-0.0057332+0.019903i,-0.0037609+0.0479i,0.025894+0.048562i,0.024628+0.020163i,0.015982-0.015192i,0.01285+0.0013232i,0.0041118+0.023406i,-0.012131+0.028596i,-0.011353+0.045007i,-0.031489+0.019086i,0.0052858-0.0023954i,0.005865+0.0036813i,0.0078362+4.9512e-05i,0.0077614+0.011239i,-0.0026705+0.0044661i,-0.0091276-0.012049i,0.0096543-0.011652i,-0.0095962+0.017262i,0.0011751-0.0033507i,0.00088706+0.00072898i,-0.001227-0.00066131i,0.0010506+0.0014197i,0.0043789-0.0015587i,-0.0045394-0.0043304i,0.0036464+0.0016092i,-0.0026227-0.0059581i,-0.0050351-0.00065155i,-4.6114e-06+0.0022895i,0.00033137-0.0042285i,-6.0342e-05-0.0041351i,0.0039564-0.0221i,0.0033507+0.0045963i,-0.0036568-0.002313i,-0.0036372-0.0010038i,-0.0067841-0.0038088i,0.0020551+0.0039565i,-0.0012881-0.0081423i,0.001106-0.0018234i,-0.001917-0.0027329i,-0.0015539-0.0027244i,0.0047882+0.0024014i,0.00043282+0.0017182i,0.0035368-0.002528i,-0.0025738+0.0083164i,0.0049779+0.0092788i,0.010562+0.038491i,-0.0036403-0.020252i,-0.020898+0.0031173i,-0.022288+0.011571i,0.0071547-0.0056295i,0.019469-0.0050372i,-0.0062124+0.0037299i
0.01154+0.020363i,0.047275+0.022224i,0.033752-0.026921i,-3.4909e-06-0.011765i,-0.0014683-0.018484i,-0.0086045-0.029408i,0.018928-0.0025217i,0.041575+0.001351i,0.017002-0.0071685i,0.0098232+0.0026785i,0.0031725-0.00038613i,-0.00097778-0.0030095i,0.0026146-4.0808e-05i,0.00057415-0.0015042i,-0.00039587-0.0019188i,0.0042415-0.0038997i,-0.0055314-0.0027009i,-0.00030975-0.0010914i,0.0020941+0.00094505i,-0.00040503+0.0017944i,0.00014368+0.0017819i,-4.3344e-05+0.00046111i,0.0012185+0.0023478i,-0.0050237+0.0011092i,-0.0027507-0.0016229i,-0.0011635-0.00013245i,-0.00084703-0.00038388i,0.001306-0.00074308i,4.2443e-05-0.00048148i,0.0010164-0.00084606i,0.00070845+0.0010161i,0.0014723+0.0014294i,0.0011799+0.0011575i,0.00042859+0.0004613i,-0.00021239+0.00080486i,0.0079719-0.0019616i,-0.00076628+0.00036164i,-0.00024652+0.00050881i,0.00079454-0.0014026i,-0.00092617-0.0006579i,-7.5084e-05+0.0018888i,0.00046234+0.0026218i,0.0061353-0.0046977i,0.0031767-0.0012396i,-0.0036903+0.020003i,0.0025627+0.043279i,0.031349+0.041418i,0.027962+0.013194i,0.009804-0.016788i,0.012135+0.0013173i,0.011387+0.022713i,-0.0028616+0.029338i,0.0025684+0.042915i,-0.027479+0.026391i,0.0047495-0.0024963i,0.0063807+0.0009608i,0.0073405-0.0022645i,0.010642+0.0070889i,-0.00033405+0.0049656i,-0.013351-0.0047137i,0.0043666-0.012843i,-0.0042409+0.01844i,-0.00065181-0.0037968i,0.00027655+0.00088954i,-0.0015893-0.00022576i,0.0024924+0.00020311i,0.0041274-0.0013844i,-0.0050765-0.0023334i,0.0037241-0.00044314i,-0.0049679-0.0042192i,-0.0038316+0.00084136i,0.00047819+0.00088941i,-0.00084692-0.0048095i,-0.0014672-0.0042257i,-0.0040369-0.019617i,0.0048475+0.0021208i,-0.0046016-0.0011278i,-0.0040438+0.00051638i,-0.0072391-0.00085672i,0.0026938+0.0037462i,-0.0051945-0.0078443i,0.00094675-0.0029826i,-0.0022225-0.0023327i,-0.0024705-0.0032307i,0.0057866+0.0011183i,0.001372+0.0021145i,0.002276-0.0020682i,-0.0014262+0.0086818i,0.0063072+0.0066453i,0.017933+0.034148i,-0.015185-0.018133i,-0.024448+0.0056373i,-0.016452+0.015614i,0.0039888-0.0041504i,0.013941-0.0091611i,-0.0077016+0.00255i
0.013144+0.017079i,0.050289+0.013615i,0.027871-0.031332i,-0.00286-0.010374i,-0.0062555-0.018745i,-0.013534-0.027426i,0.018491-0.0081952i,0.040495-0.0054177i,0.01434-0.010833i,0.010562+3.2464e-05i,0.0035965-0.0017312i,-0.0019425-0.002156i,0.0022546-0.001233i,0.00048983-0.0014965i,-0.00083758-0.0019003i,0.004029-0.0046206i,-0.0052319-0.0009549i,-0.0010585-0.0013968i,0.0018366+0.00017857i,0.00039895+0.0018789i,0.00050505+0.00177i,-0.00041227+0.00058055i,0.0016654+0.0017461i,-0.0036101+0.0039839i,-0.0024327+4.3839e-07i,-0.00098822+0.00044852i,-0.00084083-9.3936e-05i,0.00085064-0.00083346i,-0.00011101-0.00015711i,0.00030257-0.0009902i,0.0010833+0.00041782i,0.0019462+0.0010316i,0.0015187+0.00062536i,0.00062479+8.4255e-05i,0.00049821+0.001042i,0.0065903-0.0033469i,-0.0003631+0.00074454i,5.0053e-05+0.00059931i,-0.00011388-0.0014608i,-0.00079924-0.00084157i,0.00050013+0.0018631i,0.00098729+0.0021973i,0.0039787-0.0056335i,0.0028615-0.00057214i,-0.0013118+0.020067i,0.0067449+0.039717i,0.035802+0.034202i,0.028851+0.0073064i,0.0043837-0.017661i,0.014084+0.001395i,0.018166+0.01907i,0.0073373+0.027073i,0.015353+0.036089i,-0.019589+0.031719i,0.0040814-0.0029272i,0.0051591-0.0025688i,0.006193-0.0046328i,0.010794+0.002115i,0.00070493+0.0042418i,-0.013896+0.0034133i,-0.00096166-0.011938i,-4.6242e-05+0.016706i,-0.0025488-0.0028357i,0.00019051+0.0016695i,-0.0015872+0.00043805i,0.003372-0.0014398i,0.0049373-0.0010006i,-0.0041264-0.00084687i,0.003435-0.00079928i,-0.0058592-0.0020151i,-0.0025255+0.0013243i,0.00019845+0.00034994i,-0.0032343-0.00492i,-0.0028529-0.0033391i,-0.010219-0.015692i,0.0048669-0.00069048i,-0.0048781+0.00058654i,-0.0030482+0.0017786i,-0.0064147+0.0015743i,0.0039092+0.0032931i,-0.0081557-0.0052047i,-0.00029036-0.0043478i,-0.0029072-0.0017468i,-0.0042927-0.0029076i,0.0066781-0.0011832i,0.0025728+0.0022013i,0.0023463-0.0017762i,0.00045962+0.0092259i,0.0063389+0.0040572i,0.023963+0.02771i,-0.021968-0.010011i,-0.027131+0.011053i,-0.010473+0.017461i,0.0022036-0.0020282i,0.0089991-0.0092525i,-0.0084951+0.002961i
