-0.0078471-0.038882i,-0.012956-0.042816i,0.0016168-0.045791i,-0.027417-0.027313i,-0.020169+0.014326i,-0.03297-0.031349i,-0.060916-0.059002i,-0.022758-0.072427i,-0.034268-0.049738i,0.0014945+0.014998i,-0.007469+0.010302i,-0.014686+0.013223i,0.001871+0.016175i,-0.0039869-0.0034691i,0.00077858+0.0061746i,0.00064812+0.037358i,0.019324+0.058256i,0.00093377-0.00058138i,-0.0051726-0.0082201i,0.0082004+0.0046092i,0.0019263+0.00076735i,-0.00086984+0.0036766i,1.8967e-06-0.00133i,-0.034908-0.008656i,-0.0023975-0.0073497i,-0.0001885+0.0043254i,0.0046137+0.00022072i,0.00014024+0.0010503i,-0.00026976-0.0010078i,-0.00012871-0.0026154i,-0.0011759-0.005946i,-0.0024774-0.0038168i,-0.00061581-0.0082411i,0.0032694-0.0015769i,0.0030889-0.0024101i,-0.00030749+0.034126i,0.0061579-0.0041621i,0.003633-0.002342i,0.0049601+0.00033112i,-0.013614-0.004278i,-0.00029494+0.00038735i,0.0098574-0.00084094i,0.0059577-0.00052555i,-0.0033389+0.0041054i,0.0031711+0.0027665i,-0.0041466+0.0079883i,0.013453-0.087078i,-0.007178-0.048877i,-0.024935-0.038913i,-0.020324-0.041306i,0.062558-0.018178i,0.026235-0.061898i,0.038222-0.045768i,0.02885-0.057579i,0.019063-0.015707i,0.0087695+0.0097767i,0.024141-0.033368i,-0.0076936-0.0049638i,0.0020417-0.0032673i,-0.0051922-0.0062198i,0.0011953-0.031894i,-0.024047+0.031106i,0.0077804-0.010391i,-0.011022-0.0014465i,-0.0051489-0.0011399i,-0.0011147-0.014087i,-0.010488+0.0044542i,0.0040194+0.0079745i,-0.010332+0.031198i,0.0059289+0.0074899i,-0.005414-0.0016488i,-0.0017416-0.0017494i,-0.010972-0.0074312i,0.0010545-0.0034624i,-0.034729+0.0053917i,0.0022245-0.012633i,-0.0090642-0.0022776i,-0.0060402-0.0029501i,0.0063429+0.0015655i,-0.0096711+0.0015544i,0.00086061+0.00011026i,0.0051486+0.0088474i,0.0044316+0.00060513i,-0.0091084-0.0098955i,0.0024227+0.0087283i,-0.018953+0.0066434i,0.0068185+0.0032824i,-0.028948-0.0080508i,-0.033723+0.0030136i,0.024196-0.077787i,0.011872-0.010166i,-0.044055-0.026537i,-0.022202-0.0028678i,0.017869+0.012406i,-0.026706+0.012718i,-0.011286-0.008056i
-0.013208+0.020456i,0.012711+0.045904i,0.026384+0.044709i,-0.0001372+0.017987i,-0.0028107+0.0069153i,0.026648+0.001225i,0.014079+0.016136i,0.013259+0.043344i,0.0057866+0.019188i,-0.0019052+0.0050619i,0.0010455+0.0014136i,0.0028314-0.0042589i,0.0025823-0.002589i,0.003485-0.00050382i,0.0031142-0.0022506i,0.004766-0.0016772i,0.01308-0.0066754i,-0.00051511-0.00076036i,-0.0048235+0.00026007i,-0.00012585+0.0024173i,-0.00056648-0.0010473i,-0.0051791-0.0016885i,-0.0023613+0.00058991i,0.0047104+0.0078752i,0.0014998+0.0014563i,0.0024532+0.00073244i,0.0019852+0.001616i,-0.0015608+0.0033693i,-0.00053189+0.00093458i,-0.00069823+0.0013948i,0.00023738-0.0038666i,-0.0011243-0.0012709i,-0.00064505-0.00040991i,-0.00010315+0.00077633i,-0.00032403-0.0019761i,-0.0059295+0.010024i,0.0031803+7.5736e-05i,0.00082989+7.2635e-05i,-0.00058611+0.002583i,5.8423e-05-0.0034659i,-0.0021481+0.00044819i,-0.0023573-0.0017988i,0.0014236+0.0082349i,0.003858+0.0010252i,-0.028197+0.020832i,-0.054525+0.024493i,-0.028818+0.046473i,-0.017896+0.032498i,-0.0037125+0.050097i,-0.0070879+0.032124i,0.010091+0.010121i,-0.0048937-0.0071739i,-0.03806-0.0083237i,-0.041633+0.017983i,0.010019+0.021166i,-0.0016634+0.0027753i,-0.0055111+0.0024185i,-0.011634-0.0028174i,0.0094926+0.001345i,0.011095+0.013183i,-0.0026954+0.0081047i,-0.0066271-0.012044i,0.0056075-0.0027753i,-0.0049055-0.0042728i,0.0037895-0.0077619i,0.0050332-0.0022364i,-0.00087419+0.0097672i,0.012722-0.0043224i,0.0072415-0.0071073i,0.0053338-0.0073619i,0.003454-0.00032836i,-0.0030829-0.0062494i,-0.003451-0.0017169i,0.002788-0.0013041i,-0.012521+0.035543i,-0.0056611-0.0050743i,0.0013282+0.00072919i,-0.00075223-0.007126i,0.0032833-0.0010349i,-0.014232-0.0047031i,0.0014472-0.00060888i,0.0033678-0.0031305i,0.0026198-0.0019889i,-1.3373e-05-0.0058562i,-0.0011455+0.0068026i,-0.00046045+0.0034097i,-0.0024055+0.0056142i,-0.010869-0.0018696i,-0.0087104+0.0031175i,-0.03878+0.039399i,-0.0072003+0.016776i,-0.022921-0.0053254i,-0.00099718-0.0018202i,0.0098674+0.019095i,-0.0010036+0.019755i,-0.0062118-0.00056216i
-0.010526+0.020218i,0.019473+0.041738i,0.033968+0.039214i,0.0042542+0.019924i,0.0010253+0.0073336i,0.026459-0.004475i,0.015061+0.012685i,0.020275+0.038795i,0.0080576+0.017277i,-0.00022786+0.0049076i,0.0018921+0.0013504i,0.0005001-0.0032925i,0.0012021-0.0024855i,0.0032269-0.0005935i,0.0024093-0.0027772i,0.00374-0.0015847i,0.0095464-0.0093848i,8.5182e-05-0.00045925i,-0.0047115+0.00084539i,0.00085005+0.001499i,-0.0010496-0.0012682i,-0.0054109-0.00033635i,-0.0022063+0.0006437i,0.0083928+0.0048539i,0.0013489+0.0019881i,0.0029284-0.00040938i,0.0021241+0.00067087i,-7.5053e-05+0.0035298i,-0.00068929+0.0016589i,-0.00030231+0.00156i,-0.0013963-0.0033757i,-0.0017252-0.0010606i,-0.0010632-0.00034216i,0.00028141+0.00044938i,-0.0012622-0.00066509i,-0.002291+0.010734i,0.0026923-0.0012902i,0.00090678-5.3274e-05i,0.00071472+0.0022807i,-0.00081379-0.0028959i,-0.0017657+0.00066633i,-0.0029529-0.00077112i,0.0029962+0.0084414i,0.0033294+0.00037268i,-0.023445+0.025319i,-0.046874+0.032994i,-0.022653+0.050992i,-0.011003+0.033607i,0.0095084+0.045884i,0.0020921+0.029545i,0.0045149+0.0036775i,-0.012014-0.011043i,-0.042554-0.005972i,-0.032659+0.018635i,0.014593+0.016761i,-0.0022153+0.0032195i,-0.0042373+0.0063623i,-0.011703+0.0018285i,0.0079862-0.002085i,0.013514+0.011164i,0.0016+0.011807i,-0.012609-0.0099885i,0.002261-0.00367i,-0.0046152-0.0017288i,-0.00093659-0.0073136i,0.003603-0.0040669i,0.003832+0.0074479i,0.008721-0.0077409i,0.0022742-0.008376i,0.0018119-0.0055384i,0.0042168-0.0015937i,-0.0044464-0.0045227i,-0.0017346+0.00055531i,0.0027812-0.001786i,0.0061479+0.035843i,-0.0070917-0.003509i,0.0019498-0.00087058i,-0.0039847-0.0060102i,0.0037737-0.0021273i,-0.013707+0.0019646i,0.0018062-0.00034429i,0.001666-0.0031466i,0.0023626-0.0032653i,-0.0016566-0.0055706i,0.0010161+0.0034901i,0.0010721+0.002793i,0.00059671+0.0063631i,-0.010503+0.0021451i,-0.0082826+0.0045037i,-0.030744+0.0407i,-0.0037774+0.019308i,-0.024575-0.00035616i,-0.002365-0.0054268i,0.012391+0.018323i,0.0030781+0.021402i,-0.0081848-0.00010724i
-0.0085264+0.020403i,0.024889+0.036302i,0.041733+0.031241i,0.011261+0.018043i,0.0054394+0.0060045i,0.024891-0.010358i,0.015137+0.009159i,0.026369+0.032755i,0.010633+0.016227i,0.00072936+0.0044353i,0.0022719+0.00037706i,-9.0847e-05-0.001459i,4.3412e-06-0.0023937i,0.0033445-0.0010246i,0.0016782-0.0029357i,0.0028535-0.0012943i,0.0059533-0.010969i,6.8379e-05-0.00085701i,-0.0046056+0.0023865i,0.00081321+0.00026925i,-0.0019536-0.0012693i,-0.005125+0.00122i,-0.0023782+0.00085499i,0.0087787+0.00014135i,0.0025015+0.0014552i,0.0022086-0.001745i,0.0019449-6.9528e-05i,0.0014765+0.0028371i,0.00033237+0.001877i,1.8435e-05+0.0017276i,-0.002663-0.0021632i,-0.0023241+9.3127e-05i,-0.0010704+0.00024632i,0.00016477+0.00011322i,-0.00075295+0.00041319i,0.00091768+0.010373i,0.0017772-0.0018273i,0.00077811-0.00054515i,0.001131+0.0015553i,-0.0016388-0.0023381i,-0.0017435+0.00085347i,-0.0030107+0.00031445i,0.005308+0.0086042i,0.0032396-0.00010279i,-0.016926+0.028509i,-0.038339+0.039638i,-0.014385+0.054696i,-0.0037121+0.032472i,0.021025+0.037651i,0.010051+0.027047i,-0.0020826+0.0017277i,-0.019015-0.010003i,-0.046385+0.0003855i,-0.025774+0.016057i,0.01717+0.01084i,-0.0023913+0.0039164i,-0.0023929+0.0076116i,-0.010959+0.0054454i,0.0048076-0.005647i,0.016346+0.0075554i,0.0071091+0.011905i,-0.0165-0.0053936i,0.00095243-0.0023324i,-0.0040689+0.00037421i,-0.0032538-0.0049593i,0.0014942-0.0045326i,0.0057717+0.0059325i,0.0057825-0.0086839i,-0.0025307-0.0066526i,0.0013564-0.0036696i,0.003814-0.0041208i,-0.0060721-0.0025254i,-0.00037017+0.000428i,0.0016992-0.0025488i,0.0211+0.027125i,-0.0083578-0.000882i,0.0018817-0.0018519i,-0.0038979-0.0037515i,0.0041468-0.0041011i,-0.0099542+0.0068865i,0.0028881-0.00056163i,2.1552e-05-0.0033149i,0.00080183-0.003357i,-0.0034064-0.0039638i,5.9745e-05+0.0027696i,0.002198+0.0015765i,0.0033098+0.0056005i,-0.0092168+0.0045656i,-0.0077564+0.006549i,-0.024548+0.041008i,0.0036381+0.019873i,-0.023875+0.0039425i,-0.0048236-0.0083144i,0.016684+0.015322i,0.0092694+0.02236i,-0.0094582+0.0015621i
-0.0065468+0.020796i,0.028099+0.031077i,0.04607+0.020789i,0.016153+0.012325i,0.0087039+0.0022458i,0.021406-0.015327i,0.014485+0.0068564i,0.030023+0.025566i,0.013842+0.013897i,0.0014031+0.0042203i,0.0020255+5.3473e-05i,0.00051525-0.00051473i,-0.001377-0.0011714i,0.0029995-0.0015077i,0.00086817-0.0030378i,0.0024699-0.00063581i,0.0019075-0.010415i,2.9452e-05-0.00089477i,-0.0028183+0.0036667i,5.3986e-05-0.00030624i,-0.0025841-0.00032669i,-0.0043418+0.0029752i,-0.0023026+0.0015065i,0.0067792-0.0034274i,0.0026175+0.00037663i,0.0010573-0.0020965i,0.0015353-0.00063108i,0.0019365+0.0016444i,0.0010381+0.0011072i,0.00064227+0.0019509i,-0.003167-0.00040863i,-0.0018564+0.0012354i,-0.00077105+0.00057361i,-0.00010286+0.00016773i,-8.6836e-06+0.00076068i,0.003846+0.0092486i,0.0011229-0.0020648i,0.00030168-0.00083334i,0.0012761+0.0013738i,-0.0022437-0.0017712i,-0.0014681+0.0012442i,-0.0027748+0.0011692i,0.0080841+0.0076447i,0.0031918-0.00054421i,-0.009587+0.028869i,-0.02825+0.04404i,-0.0053911+0.057088i,0.00093+0.030221i,0.029154+0.02559i,0.017302+0.020457i,-0.0088242+0.0040499i,-0.026651-0.0057867i,-0.048102+0.009237i,-0.022456+0.011678i,0.018004+0.0042064i,-0.0018335+0.0052035i,0.00019753+0.0098925i,-0.0090426+0.0087264i,-0.00057013-0.0055793i,0.018427+0.0018342i,0.012245+0.0093107i,-0.01842+0.00013864i,0.00043675-0.0018861i,-0.0027164+0.0016032i,-0.0041885-0.00177i,-9.724e-05-0.0043209i,0.0074111+0.0027226i,0.0028972-0.0094032i,-0.0050686-0.0020336i,0.0017831-0.0029956i,0.0017894-0.0059627i,-0.0060128+0.00040882i,0.00062963+0.00045694i,0.0010675-0.0025853i,0.029384+0.013403i,-0.0079944+0.0031186i,0.0015352-0.0030344i,-0.0038071-0.0024958i,0.00247-0.0065068i,-0.0050412+0.0083359i,0.0036172-0.0020591i,-0.0012333-0.0021395i,-8.3536e-05-0.0029396i,-0.0034351-0.0017325i,-0.0001988+0.0032433i,0.0021577+2.7617e-05i,0.0056931+0.0037845i,-0.0078479+0.0061197i,-0.0066466+0.0086511i,-0.018989+0.042508i,0.013677+0.014316i,-0.021635+0.0080296i,-0.010169-0.009822i,0.018419+0.010529i,0.015921+0.019921i,-0.0086854+0.0026868i
-0.0039728+0.021455i,0.03134+0.02687i,0.047483+0.011098i,0.0184+0.0055998i,0.0093588-0.0025896i,0.017622-0.018913i,0.01414+0.0056377i,0.031847+0.019152i,0.016806+0.010665i,0.0021775+0.0039781i,0.0018104+1.3171e-05i,0.0013498-0.00049147i,-0.0015038+0.00078507i,0.0024359-0.0019384i,0.00011069-0.002577i,0.0028258+0.00011055i,-0.00062812-0.0086906i,-0.00046599-0.00088279i,-0.0014067+0.0036106i,-0.00065781-0.0002041i,-0.0026144+0.00053936i,-0.0025222+0.004075i,-0.0017303+0.0021095i,0.00397-0.0052967i,0.00227-0.00041447i,0.00028479-0.00218i,0.0010809-0.0010664i,0.0017762+0.00079862i,0.00092259+0.00051404i,0.0016261+0.0017388i,-0.0025226+0.00098689i,-0.0010676+0.0018461i,-0.0005281+0.0006163i,0.00014038+0.00083526i,0.00070853+0.00084103i,0.0061056+0.0074527i,0.00028786-0.0020713i,-0.00018846-0.00072047i,0.0017449+0.0011155i,-0.0025589-0.00096851i,-0.0011356+0.001296i,-0.0022704+0.0018914i,0.010309+0.0050488i,0.0025169-0.0014033i,-0.00439+0.027166i,-0.017566+0.045641i,0.0060339+0.057502i,0.0056981+0.02869i,0.031339+0.012719i,0.020166+0.012659i,-0.012097+0.010875i,-0.031275+0.0037623i,-0.047363+0.020852i,-0.02373+0.0085406i,0.014932-0.0013233i,-0.0002575+0.0061673i,0.0048218+0.0093332i,-0.0062911+0.011359i,-0.0032434-0.0024902i,0.017395-0.005623i,0.015846+0.0043037i,-0.018325+0.0060537i,0.00040376-0.00074914i,-0.0014835+0.0021992i,-0.0025033+0.00030932i,-0.0020901-0.0030439i,0.0069884+0.00021276i,-0.00026945-0.0090217i,-0.0038976+0.0019678i,0.0023848-0.003548i,-0.0009041-0.0065497i,-0.0041563+0.0023812i,0.0017763-0.00020128i,0.00063763-0.0022116i,0.03023-0.0007907i,-0.0048836+0.0058246i,0.0002742-0.0039759i,-0.0033866-0.0021187i,-0.00023968-0.0072989i,-0.0014992+0.007664i,0.0027207-0.0036248i,-0.0011788-0.00027712i,5.2016e-05-0.0022332i,-0.0021733-0.00086728i,0.0012535+0.0038089i,0.00089148-0.00096121i,0.0062171+0.0011257i,-0.0064108+0.0067929i,-0.0041774+0.010707i,-0.012361+0.043565i,0.017848+0.0018451i,-0.017091+0.0091578i,-0.015805-0.0082667i,0.019653+0.0054537i,0.020751+0.013373i,-0.0091052+0.0026201i
-0.00096356+0.021189i,0.034772+0.022013i,0.047809+0.0020113i,0.018752-0.0011768i,0.0087135-0.0064553i,0.013372-0.021832i,0.015054+0.0045751i,0.03279+0.013176i,0.019414+0.0059217i,0.002685+0.0034262i,0.0021861-1.8006e-05i,0.0019137-0.00085758i,-1.1555e-05+0.0021912i,0.0019578-0.0020805i,-0.00017837-0.0022208i,0.003819+0.00040075i,-0.00162-0.0074658i,-0.00023734-0.00080826i,-0.00046151+0.0034342i,-0.00096811+0.00025377i,-0.0020796+0.0011782i,-0.00043277+0.0038471i,-0.0010202+0.0023416i,0.00067331-0.0057453i,0.0021198-0.00094739i,-0.00061827-0.0020436i,0.00051167-0.0012748i,0.0016173+0.00032164i,0.00080398+0.00031734i,0.002131+0.00080521i,-0.001657+0.0018054i,-0.00017448+0.0020713i,-0.00032402+0.00084839i,0.0007994+0.00042595i,0.0010138+9.514e-05i,0.0072218+0.0051429i,-0.00037761-0.0018188i,-0.00028038-0.00034449i,0.0016627+0.00010267i,-0.0023261-0.000405i,-0.0010459+0.0014896i,-0.0015781+0.0023937i,0.011402+0.0021548i,0.0015634-0.0013921i,-7.4408e-05+0.024824i,-0.0078747+0.044191i,0.017569+0.053663i,0.010458+0.026547i,0.029702+0.0014274i,0.020036+0.0059594i,-0.0096639+0.018725i,-0.029729+0.015955i,-0.039918+0.033618i,-0.027065+0.0094351i,0.011184-0.0039884i,0.0017525+0.0059923i,0.0077222+0.0067681i,-0.0025296+0.013599i,-0.0035878+3.8065e-07i,0.012509-0.013133i,0.016127-0.0026484i,-0.015821+0.010585i,0.0013766-0.000509i,-0.00025255+0.0020803i,-0.00088661+0.00036646i,-0.0022812-0.000777i,0.0056683-0.0012693i,-0.0027161-0.007337i,-0.0010269+0.0039777i,0.0019013-0.0049335i,-0.0032823-0.0052905i,-0.0026735+0.002692i,0.0020426-0.0017641i,0.00086336-0.0019261i,0.025106-0.013089i,-0.0015543+0.0062077i,-0.0012844-0.0037716i,-0.0037762-0.0013172i,-0.0028877-0.0066279i,0.00065466+0.0064412i,0.0021383-0.0044003i,0.00034232+0.00022428i,3.3905e-05-0.0029919i,-0.0012277-0.0012884i,0.0022361+0.003682i,-0.00032792-0.00031769i,0.0055764-0.00060229i,-0.0053856+0.0070605i,-0.00080838+0.01147i,-0.0054738+0.043246i,0.01358-0.00896i,-0.014115+0.0064239i,-0.020812-0.0035885i,0.018207-0.0011188i,0.021413+0.0066895i,-0.0095293+0.0043311i
0.0020356+0.020656i,0.037279+0.016162i,0.046101-0.0079078i,0.01601-0.0087374i,0.0072964-0.010483i,0.0084815-0.023679i,0.016757+0.0026281i,0.033106+0.0074315i,0.019752+0.00058323i,0.0030485+0.0033155i,0.0022802-0.00062614i,0.0021422-0.0020851i,0.001574+0.0021656i,0.0013232-0.0021567i,-0.00038049-0.0018928i,0.0049882-0.00023397i,-0.0029056-0.0066844i,-0.00078227-0.0010541i,0.00063755+0.0030949i,-0.0012151+0.0008763i,-0.0017905+0.0014255i,0.0007868+0.0026797i,-0.00056113+0.0023695i,-0.0023042-0.0046465i,0.001518-0.002256i,-0.001445-0.0013081i,-0.00019863-0.0012852i,0.0014895+7.489e-05i,0.0010404-5.6997e-05i,0.0019891-0.00014931i,-0.00041229+0.0021555i,0.00054505+0.0020591i,-0.00011344+0.0011677i,0.00074298+7.5143e-05i,0.00055872-0.00067224i,0.0075957+0.0031292i,-0.0010342-0.0013575i,-0.00030519-0.00023921i,0.0013874-0.00021977i,-0.0017855-0.0001749i,-0.00067301+0.0019487i,-0.00077778+0.0026812i,0.011726-0.0013829i,0.0010048-0.00099066i,0.0030949+0.022457i,0.00018983+0.041159i,0.026401+0.046746i,0.015504+0.023785i,0.024948-0.0075007i,0.018395+0.0014594i,-0.0031553+0.022708i,-0.020513+0.025463i,-0.026535+0.041379i,-0.028816+0.014043i,0.007687-0.0046547i,0.0032803+0.0049593i,0.0088699+0.003162i,0.0023285+0.01345i,-0.0038326+0.0018862i,0.0023769-0.016229i,0.012799-0.0079869i,-0.012834+0.014039i,0.0020034-0.0018262i,0.00060412+0.0014674i,-0.00060731-0.00035128i,-0.0010027+0.00063164i,0.0045248-0.0015205i,-0.0039602-0.0058498i,0.0016145+0.0036069i,0.00030401-0.0062021i,-0.004563-0.0034045i,-0.0011732+0.0028139i,0.00097599-0.0031656i,0.0010699-0.0026895i,0.01585-0.020286i,0.00097954+0.0053896i,-0.0022183-0.0030414i,-0.0031825-0.00072946i,-0.0048642-0.0053092i,0.0018541+0.0050514i,0.0012963-0.0060327i,0.001271-0.00028358i,-0.00094963-0.0032596i,-0.0014617-0.0019817i,0.0041028+0.0037522i,-0.00075444+0.00098901i,0.0049106-0.0017733i,-0.0048428+0.0077955i,0.0025325+0.010611i,0.0014776+0.042584i,0.0060059-0.015992i,-0.016114+0.0029159i,-0.022425+0.0033065i,0.012685-0.0056897i,0.021159+0.00096751i,-0.0076997+0.005278i
0.0049829+0.019357i,0.039135+0.010618i,0.0416-0.016427i,0.0097777-0.013447i,0.0039707-0.013902i,0.0038371-0.024119i,0.018455-0.00059492i,0.032443+0.002177i,0.019162-0.0047666i,0.0041087+0.0032884i,0.0020578-0.00080609i,0.0010416-0.0032143i,0.0028851+0.0014711i,0.0008196-0.0020767i,-0.0002977-0.0018334i,0.005556-0.0013513i,-0.0048218-0.0049492i,-0.0012337-0.00059535i,0.0013969+0.0022122i,-0.00080669+0.0018039i,-0.0013357+0.001893i,0.00083758+0.0012948i,-4.4207e-05+0.0024767i,-0.0040471-0.0021835i,-0.00030659-0.002268i,-0.0016377-0.00041178i,-0.00067765-0.00096479i,0.0013631-0.00012859i,0.00058822-0.00065287i,0.0015458-0.00075786i,0.00076079+0.0018086i,0.0011864+0.0016896i,0.00048105+0.0013723i,0.00060562-2.0818e-05i,-0.00011048-0.00015337i,0.0074672+0.0011246i,-0.001408-0.00076452i,-0.00035622+3.2338e-05i,0.0013843-0.00035372i,-0.0013967-0.00031543i,7.8067e-05+0.0022962i,0.00011596+0.0026059i,0.010295-0.0048809i,0.00077934-0.00039424i,0.0059706+0.019705i,0.0068789+0.036629i,0.032221+0.039145i,0.020602+0.019497i,0.018767-0.013064i,0.016056-0.0012746i,0.0033953+0.023951i,-0.0096596+0.028177i,-0.012149+0.043507i,-0.027521+0.020033i,0.0058885-0.0043626i,0.004498+0.0034125i,0.0083167+0.00019536i,0.0068121+0.011164i,-0.0029974+0.0042398i,-0.0068131-0.012578i,0.0081282-0.01071i,-0.0091375+0.01671i,0.0012622-0.003287i,0.00081327+0.00084699i,-0.00093513-0.00038598i,0.00088705+0.00091138i,0.0040652-0.0019062i,-0.0051627-0.0041429i,0.0035363+0.0018066i,-0.0027715-0.0064788i,-0.004841-0.0013908i,0.00027051+0.0019098i,0.0001788-0.0037949i,0.00047171-0.00397i,0.0059696-0.022189i,0.002614+0.0040333i,-0.0027241-0.0024843i,-0.0037599-0.00049115i,-0.0065107-0.0031372i,0.0022425+0.0041787i,-0.0011136-0.0074782i,0.0021948-0.0011731i,-0.00165-0.0025299i,-0.001654-0.0022083i,0.0055608+0.0022672i,-0.00014692+0.0020715i,0.0035303-0.0027348i,-0.003764+0.00896i,0.0050042+0.0086017i,0.0092962+0.040807i,-0.0043267-0.019382i,-0.020172+0.0029402i,-0.020118+0.009857i,0.007577-0.0056857i,0.018045-0.0050622i,-0.0063006+0.0036923i
0.0074601+0.01734i,0.040615+0.0041314i,0.036269-0.022592i,0.004177-0.014102i,-1.9253e-05-0.015774i,-1.1363e-05-0.024082i,0.019479-0.0052303i,0.031645-0.0026647i,0.017021-0.0097064i,0.0053996+0.0023068i,0.002369-0.0010544i,-0.00033232-0.0030269i,0.0035201-0.00019929i,0.0004866-0.0019546i,-0.00049541-0.0020092i,0.005903-0.0024605i,-0.0052784-0.0026035i,-0.001163-0.00053505i,0.0013919+0.0012283i,0.00012528+0.0020668i,-0.00080244+0.002122i,0.00039396+0.00048014i,0.00058141+0.0023942i,-0.0044249+0.00080976i,-0.0012149-0.0011699i,-0.0015434+0.0002914i,-0.00088733-0.00059435i,0.0011949-0.00041205i,-8.1903e-05-0.00035758i,0.00092483-0.0012612i,0.0015851+0.0010251i,0.0015634+0.0012193i,0.0011859+0.001132i,0.00083655-5.3763e-05i,-7.4647e-05+0.0006088i,0.0067237-0.00061054i,-0.0017164+3.1721e-05i,-0.00014585+0.0002852i,0.0013192-0.00094431i,-0.0010944-0.00043959i,0.00093967+0.0021156i,0.00087537+0.0022428i,0.0075415-0.0073443i,0.00070329+1.486e-05i,0.0074281+0.016863i,0.01097+0.031426i,0.03637+0.031852i,0.023893+0.013244i,0.012784-0.016106i,0.014284-0.0013917i,0.010277+0.023534i,0.00012005+0.028122i,0.00086826+0.040727i,-0.023671+0.026001i,0.004651-0.0048081i,0.0052281+0.0012421i,0.0076642-0.002135i,0.010055+0.0072557i,-0.00072797+0.0049831i,-0.011416-0.006274i,0.0030944-0.011692i,-0.0042624+0.017714i,-0.00061305-0.0039104i,0.00020132+0.00071305i,-0.0011419-4.9892e-05i,0.0020953+2.1201e-05i,0.0034612-0.0015149i,-0.0055086-0.0017771i,0.0038787-0.00018073i,-0.0052255-0.004495i,-0.0040758+0.00025367i,0.00049481+0.00062705i,-0.00084896-0.0043541i,-0.0011734-0.0044751i,-0.0024856-0.020385i,0.004025+0.0019443i,-0.0036232-0.0016807i,-0.0038344+0.0011284i,-0.0066345-0.00038221i,0.0030245+0.0037676i,-0.0045686-0.0073097i,0.0023885-0.0028973i,-0.0019808-0.0023026i,-0.0022271-0.002831i,0.0064694+0.00061606i,0.00092498+0.0024979i,0.002113-0.0021456i,-0.0017987+0.0096029i,0.0062335+0.0061714i,0.016949+0.03653i,-0.015464-0.016857i,-0.023404+0.0052695i,-0.015178+0.013414i,0.0046804-0.0048431i,0.012692-0.0082948i,-0.0078433+0.0028311i
0.0089819+0.015165i,0.040718-0.0029484i,0.030876-0.027641i,0.00032723-0.013367i,-0.0041183-0.016409i,-0.0042102-0.024015i,0.01878-0.011072i,0.030493-0.0078677i,0.013337-0.013991i,0.0061073+0.00078956i,0.0026238-0.0020052i,-0.0012731-0.0022931i,0.0029808-0.0017835i,0.00025706-0.001838i,-0.0011162-0.0022231i,0.0059539-0.0039443i,-0.0049666-0.00072953i,-0.0014287-0.00064272i,0.0012766+0.00073454i,0.00091297+0.0018952i,-0.00029156+0.0023047i,-0.00025918+0.00034316i,0.0010184+0.0020792i,-0.0031008+0.0035189i,-0.0010816-5.836e-05i,-0.0012569+0.0010356i,-0.00099693-0.00019333i,0.00085565-0.00055302i,-0.00020786-4.3916e-05i,1.9114e-05-0.001318i,0.0019052+2.7535e-05i,0.0019091+0.00070023i,0.0015391+0.00057749i,0.00075827-0.00074166i,0.00053446+0.00085564i,0.0058441-0.0019519i,-0.0014308+0.00085533i,0.00017863+0.0004059i,0.00032459-0.0012034i,-0.0008589-0.00078095i,0.0016151+0.0017807i,0.0014674+0.0017376i,0.004461-0.0079379i,0.0010249+0.00092695i,0.0083841+0.014729i,0.01316+0.027492i,0.039358+0.024695i,0.024808+0.0078371i,0.0065416-0.017982i,0.015729-0.00079375i,0.016844+0.02051i,0.01018+0.024749i,0.012011+0.033616i,-0.016343+0.030456i,0.0032433-0.0052731i,0.0045134-0.0017616i,0.0064402-0.0045609i,0.010497+0.0022094i,0.00043365+0.0044829i,-0.012709+0.00099931i,-0.0016132-0.010571i,-0.00016178+0.016071i,-0.0023948-0.0030377i,-0.00011062+0.0014187i,-0.0011582+0.0004348i,0.0027972-0.0014961i,0.0042742-0.00054381i,-0.0041588-0.00014183i,0.0036391-0.00086812i,-0.0059593-0.0021181i,-0.0028979+0.00097295i,7.9991e-05+0.00016554i,-0.0032813-0.004642i,-0.0026808-0.0037457i,-0.00922-0.01691i,0.004161-0.00052131i,-0.0039204-0.00026774i,-0.0024338+0.0021337i,-0.0057631+0.0016517i,0.0043214+0.0030955i,-0.0072029-0.0048861i,0.0010225-0.0046321i,-0.0027482-0.0016759i,-0.0039443-0.002557i,0.0068523-0.0017038i,0.0022805+0.0027109i,0.0022371-0.0018298i,0.00050307+0.010078i,0.006349+0.0038558i,0.023363+0.030113i,-0.021819-0.0087225i,-0.026142+0.0098906i,-0.010337+0.015004i,0.0018733-0.0028622i,0.0082276-0.0081837i,-0.0086288+0.0034762i
