-0.022982-0.019119i,-0.032315-0.034224i,-0.022525-0.019837i,-0.032367-0.020517i,-0.024168+0.0038234i,-0.029049-0.017842i,-0.054934-0.048164i,-0.040683-0.04426i,-0.029865-0.018086i,0.0049232+0.0048825i,-0.0041747+0.0067611i,-0.011141+0.011279i,0.0039882+0.0072869i,-0.003795-0.0027816i,0.0028516+0.0018786i,0.0016734+0.028753i,0.023046+0.012806i,-0.00027701-1.961e-05i,-0.0033618-0.0025782i,0.0081864+0.0039355i,0.0019326+0.00067986i,-0.00060048+0.0024135i,-0.00056568+0.00033376i,-0.030595-0.0026044i,-0.0038922-0.0050441i,-0.00017995+0.0024031i,0.0047186-0.00087796i,0.00084566-0.00016247i,-0.00068647-0.00049838i,-0.0011108-0.0018974i,-0.0022949-0.00058035i,-0.0040287-0.004101i,-0.0031039-0.0047172i,0.00065179-0.0012644i,0.00031585-0.0031777i,-0.0053795+0.026472i,0.0015132-0.0031175i,0.0024951-0.0039515i,0.0041606-0.0024442i,-0.0072087-0.001121i,0.00033314+0.0013617i,0.0085938-0.0029531i,-0.0020546+0.00022274i,-0.0032153+0.0009009i,-0.0088405-0.003625i,-0.01851+0.021409i,-0.008127-0.086626i,-0.0021096-0.061422i,-0.020701-0.053742i,-0.010957-0.046246i,0.053635-0.027127i,0.023855-0.066994i,0.039717-0.054023i,0.019918-0.040273i,0.026236-0.02022i,0.011954+0.011967i,0.025402-0.027989i,-0.011591-0.00093664i,-0.0014476-0.00096679i,-0.008309-0.0017346i,-0.0047314-0.030128i,-0.021837+0.026994i,0.0071101-0.0095703i,-0.010945-0.0036058i,-0.0026121-0.0018902i,-0.000513-0.014598i,-0.008268+0.005316i,0.0061048+0.010872i,-0.0092126+0.02965i,0.0059252+0.0077286i,-0.0033603-0.0016115i,-0.0023694-0.0013335i,-0.012922-0.0060068i,0.0006978-0.004498i,-0.032811+0.0022207i,0.003343-0.0087685i,-0.0073192-0.0016554i,-0.0052577-0.0032206i,0.0068203+0.0019775i,-0.010304+0.00021098i,0.0024511-0.00022962i,0.0061464+0.0074561i,0.0056046+0.0011515i,-0.0074658-0.010295i,0.0027282+0.008018i,-0.019958+0.0066265i,0.0035023+0.005569i,-0.021034-0.0091638i,-0.026766-0.0050192i,0.0094208-0.060181i,0.018494-0.015415i,-0.051177-0.027634i,-0.022517+0.0014116i,0.018834+0.010253i,-0.027379+0.011272i,-0.012085-0.0076995i
0.005803+0.0050074i,0.036957+0.015189i,0.019767-0.0042041i,0.012961+0.0025749i,0.0087531-0.001732i,0.016035-0.0072377i,0.011912+0.014374i,0.019052+0.018127i,0.0015877-0.0025163i,0.0011892+0.00078583i,0.0025061-0.0014427i,0.00093745-0.0039483i,0.0001456-0.0012215i,0.002253-0.00018481i,0.0052611-0.0012833i,0.0052934+0.00053482i,0.0051974-0.0052101i,8.1187e-05-0.0010916i,-0.0022736-0.0001597i,0.0006615+0.00067183i,0.00019495-0.00011367i,-0.0022062-0.00056209i,-0.001574-0.0001382i,0.0062775+0.0076105i,-0.00067017+0.00013371i,0.00033501+0.00077281i,0.00096851+0.00093014i,-0.00016017+0.0012628i,-0.00040455-0.00040493i,-0.0012496+8.4576e-05i,0.00086241-0.0013613i,-0.00058987+0.00042415i,0.00031474+0.00058034i,-0.00015636+0.00054793i,-0.00022183-0.0011876i,-0.0099775+0.0048754i,0.00061921+0.00013171i,-0.0004927-1.7114e-05i,-0.00024029+0.0013369i,0.00073879-0.0028843i,-0.00057166+0.00033602i,-0.00048577-0.0001673i,0.00038481+0.001306i,0.0033635-0.0021538i,0.000174+0.0031811i,-0.049504+0.0098379i,-0.0037541+0.029749i,-0.013745+0.041205i,-0.009111+0.064856i,-0.017567+0.043583i,-0.00702+0.018499i,-0.0089462+0.012832i,-0.047497+0.0025588i,-0.024701-0.0075537i,0.015721+0.024616i,0.00050213+0.0057255i,-0.0073694+0.0013609i,-0.01362-0.0017757i,0.0039494-0.00024244i,0.0055487+0.013593i,-0.0065971+0.0071659i,-0.0051625-0.0074429i,0.0061244-0.0028508i,-0.0062119-0.0052488i,0.0039043-0.0070097i,0.0042945-0.0021542i,-0.0023592+0.010533i,0.011828-0.0052765i,0.006003-0.005001i,0.0055324-0.0081576i,0.0031545+0.00076939i,-0.0019179-0.0059251i,-0.0034932-0.0014992i,0.0020948-0.00164i,-0.010455+0.032417i,-0.0042552-0.0055725i,0.0034663+0.00011355i,-3.9111e-05-0.0067143i,0.0033556-0.0015097i,-0.013077-0.0056826i,0.00085582+0.00074364i,0.0040249-0.0022515i,0.002845-0.0013581i,0.0012114-0.0053139i,-0.0024501+0.0055484i,-1.8039e-05+0.0061091i,-0.0044666+0.0062402i,-0.0048234+0.0024267i,-0.005556-0.00010607i,-0.023672+0.019706i,-0.0082492+0.014768i,-0.02198-0.0113i,-0.01019-0.0094075i,0.0087687+0.019968i,-0.00027164+0.020237i,-0.0086649-0.0036558i
0.0061884+0.0029227i,0.038584+0.0077616i,0.018797-0.0079624i,0.013709+0.0011219i,0.0095068-0.0032637i,0.014629-0.010352i,0.0127+0.011509i,0.022194+0.014384i,0.00036-0.0028672i,0.0015097+0.00030015i,0.0022013-0.0018371i,-0.00062685-0.0027284i,-4.0507e-05-0.00069969i,0.0020756-0.00016908i,0.0044654-0.0023328i,0.0048588-1.3431e-05i,0.0029399-0.0051821i,8.0624e-05-0.00095457i,-0.002477+3.6e-05i,0.00097667+0.00011806i,5.4166e-05-0.00052544i,-0.002189+5.8731e-05i,-0.0015855+9.9059e-05i,0.0097383+0.0045264i,-0.00095529+0.00097068i,0.00089461+0.00050014i,0.0010803+0.00032117i,0.00046779+0.0011532i,-0.00087113+0.00018438i,-0.0012483+0.00053723i,-0.00035855-0.0017086i,-0.00057881+5.0981e-06i,0.00027596+0.00040893i,0.00022262+0.0005356i,-0.00077762-0.00020762i,-0.0092225+0.0050097i,0.00024774-0.00013484i,-0.00041398+0.00045664i,0.00017662+0.0011501i,-0.0002835-0.0037742i,-0.0003967+0.00012287i,-0.00062663+0.00012174i,0.00047524+0.0014062i,0.0024017-0.0023598i,0.0013693+0.0032172i,-0.044042+0.017663i,-0.00079643+0.030812i,-0.0050016+0.041626i,0.0072744+0.061873i,-0.0070833+0.042968i,-0.0093051+0.015498i,-0.012468+0.010879i,-0.04975+0.0063667i,-0.020505-0.0089853i,0.020594+0.019052i,0.00067119+0.0054767i,-0.0063295+0.0067621i,-0.013368+0.0030524i,0.0024666-0.0018872i,0.0091807+0.012265i,-0.0020895+0.011693i,-0.0094147-0.0055098i,0.002635-0.0049314i,-0.0065994-0.0018753i,-0.001002-0.0067355i,0.0026569-0.0039957i,0.0025847+0.0082206i,0.0075094-0.008476i,0.0022895-0.0065565i,0.00087493-0.0058232i,0.0041227-0.00013931i,-0.0031497-0.0045583i,-0.0019049+0.0006564i,0.0018984-0.0015977i,0.0076574+0.031539i,-0.005765-0.0046229i,0.0037348-0.0020584i,-0.0033492-0.0058464i,0.0037068-0.0024608i,-0.013439+0.00042618i,0.0016177+0.0013191i,0.0027016-0.0022964i,0.0028995-0.0023949i,0.0001027-0.0053198i,-0.0003998+0.0030473i,0.0024862+0.004716i,-0.0015704+0.0073596i,-0.0037261+0.0046136i,-0.0063296+0.00064604i,-0.018381+0.018565i,-0.0056704+0.017015i,-0.02497-0.0062762i,-0.012412-0.011916i,0.011895+0.019383i,0.0036021+0.021949i,-0.011249-0.0036629i
0.0058194+0.0013167i,0.038521-0.00057949i,0.017309-0.012337i,0.01519-0.0018065i,0.010404-0.0054628i,0.012377-0.013531i,0.012706+0.0087874i,0.024344+0.0095448i,-0.00034089-0.0025341i,0.0012964-0.00029792i,0.0015253-0.0024545i,-0.00062515-0.0012656i,-7.0763e-05-0.00067659i,0.0020408-0.00050987i,0.003554-0.0031661i,0.0042862-0.00045062i,0.0014539-0.005092i,-0.00014669-0.0011307i,-0.0024522+0.0010595i,0.00077222-0.00075585i,-0.00061178-0.00087749i,-0.0019432+0.00064268i,-0.0016673+0.00042482i,0.010315-0.00046574i,-0.00026487+0.0014591i,0.00086744-0.00010609i,0.00082255-9.5626e-05i,0.001005+0.00053517i,-0.00055308+0.00066316i,-0.0010624+0.00097432i,-0.00092895-0.0011046i,-0.0011196+0.00056641i,0.00044467+0.00035132i,0.00041764+0.00028906i,-0.00034455+0.00056438i,-0.0032479+0.015253i,4.2247e-05+0.00011979i,-6.1179e-05+0.00046162i,0.00042625+0.00098303i,-0.0026331-0.0024607i,-0.00041974-6.3536e-05i,-0.0004625+0.00031809i,0.0008308+0.0016923i,0.0018574-0.0025073i,0.0033652+0.0024693i,-0.038106+0.023636i,0.0038746+0.031798i,0.0039068+0.03863i,0.022407+0.053474i,0.0026036+0.042498i,-0.012392+0.015062i,-0.015126+0.011925i,-0.050995+0.014396i,-0.018974-0.012388i,0.023416+0.011534i,0.00096944+0.0051095i,-0.0040093+0.0087089i,-0.013138+0.006356i,-1.4243e-05-0.0037434i,0.01227+0.0092789i,0.0037017+0.012201i,-0.012469-0.001972i,0.00052697-0.0035244i,-0.005831+0.0010383i,-0.0030702-0.004208i,0.00065581-0.0038407i,0.0050046+0.0071905i,0.0045451-0.0089184i,-0.0015516-0.0047302i,0.00027304-0.0031014i,0.004404-0.0023411i,-0.0050876-0.0030301i,-0.0007116+0.00057929i,0.0011128-0.0020375i,0.019768+0.023266i,-0.0077511-0.0022468i,0.0029612-0.0032983i,-0.0034374-0.0042562i,0.0039982-0.0043987i,-0.010655+0.005789i,0.0033635+0.001153i,0.0017553-0.0025071i,0.0016942-0.0027044i,-0.0015275-0.004821i,-0.0012243+0.0026713i,0.0033917+0.0026546i,0.0017452+0.0079257i,-0.0022705+0.0051362i,-0.007165+0.0025921i,-0.015685+0.017079i,0.0010315+0.017091i,-0.025832-0.0016715i,-0.015762-0.012865i,0.016592+0.016463i,0.0093284+0.022786i,-0.013715-0.0022536i
0.0052033+0.0003298i,0.035339-0.0076745i,0.013943-0.016345i,0.015099-0.0061258i,0.010203-0.0086933i,0.0091315-0.015755i,0.012451+0.0070123i,0.023917+0.0047289i,-0.00052614-0.0025159i,0.00079611-0.0003627i,0.00082904-0.0023272i,-0.00023552-0.000727i,-0.00050152-0.00038939i,0.0017132-0.0006924i,0.0022931-0.0036445i,0.0039635-0.00059438i,8.0662e-06-0.0046592i,-0.00034067-0.0010277i,-0.0013759+0.001921i,7.0846e-05-0.0011478i,-0.0011273-0.00035526i,-0.0016439+0.0012276i,-0.0015649+0.00096115i,0.0081926-0.0041642i,0.00033409+0.0013743i,0.00053015-0.00026898i,0.00068075-0.00016786i,0.00070372-1.4721e-05i,-0.00013037+0.00065679i,-0.00067141+0.001468i,-0.0013644-0.00042224i,-0.0005634+0.0012276i,0.00060795+0.0001549i,0.0003222+4.2321e-05i,0.00022988+0.00072166i,0.00021148+0.01305i,0.00013041+0.0002411i,-4.9624e-05+0.00029812i,0.0005531+0.00090512i,-0.0027357-0.00082997i,-0.00052788-4.4304e-05i,-0.00034241+0.0003844i,0.0013692+0.0017328i,0.0012364-0.0023109i,0.0051124+0.00037102i,-0.031009+0.028166i,0.0095958+0.031544i,0.0091018+0.03447i,0.034248+0.040208i,0.012474+0.037723i,-0.015839+0.017774i,-0.018106+0.015298i,-0.048996+0.023183i,-0.020797-0.015857i,0.024171+0.003465i,0.0014454+0.0054088i,-0.0011451+0.011426i,-0.011221+0.0099892i,-0.0042738-0.0027562i,0.014834+0.0043763i,0.0090739+0.0099987i,-0.013517+0.0025031i,-0.00032329-0.00275i,-0.0041337+0.002824i,-0.0037217-0.0012882i,-0.00028441-0.0034168i,0.0069054+0.0036945i,0.0016921-0.008976i,-0.0032773-0.0016996i,0.0011397-0.0018279i,0.003157-0.0044511i,-0.0063589+0.00034053i,0.00030774+0.00094799i,0.00059838-0.0019132i,0.026533+0.011517i,-0.0077346+0.0014148i,0.0021691-0.0045897i,-0.0040571-0.0028439i,0.002019-0.0067045i,-0.0059848+0.008079i,0.004767-0.00070682i,0.0010433-0.0018359i,0.0012148-0.0024945i,-0.0025317-0.0032244i,-0.0014268+0.0035678i,0.0031133+0.00084944i,0.0056862+0.0067943i,-0.00090222+0.0047557i,-0.00722+0.0051196i,-0.013901+0.017788i,0.0094995+0.011824i,-0.024448+0.0034544i,-0.021199-0.012124i,0.018382+0.011997i,0.015893+0.020507i,-0.013534-0.000328i
0.0050855-0.0001995i,0.032025-0.012517i,0.009989-0.019006i,0.013724-0.010165i,0.0086814-0.01176i,0.0059546-0.017081i,0.012571+0.0059413i,0.023175+0.0013498i,-0.00032487-0.0027247i,0.00038631-0.00024946i,-8.0387e-05-0.0025524i,0.00023896-0.0005937i,-0.00068521+0.00024024i,0.0013913-0.00086929i,0.0011832-0.0035019i,0.0041487-0.00059644i,-0.00075029-0.0038313i,-0.00077516-0.00090421i,-0.0005731+0.001871i,-0.00061017-0.00099675i,-0.001254+8.3161e-05i,-0.00094657+0.0017432i,-0.0011727+0.0014717i,0.0052591-0.006301i,0.00064332+0.0011744i,0.00032907-0.00029147i,0.00055257-0.00035139i,0.0004181-8.9698e-05i,2.1404e-05+0.00067183i,8.6478e-05+0.0016663i,-0.0012737+0.00029337i,2.5381e-05+0.0013488i,0.00049092-0.00014682i,0.00036043+0.00022538i,0.00072612+0.000595i,0.0038743+0.010937i,0.00013375+0.00034362i,-0.00015823+0.00036813i,0.00090981+0.00075979i,-0.0023729+0.00045816i,-0.00060914-7.689e-05i,-0.00025104+0.00037859i,0.0018985+0.0012843i,0.00098291-0.0017401i,0.0053831-0.0025919i,-0.022757+0.030617i,0.016217+0.02968i,0.014375+0.031816i,0.039023+0.02493i,0.018555+0.030739i,-0.016579+0.023919i,-0.01818+0.022495i,-0.044939+0.032784i,-0.025718-0.017098i,0.020785-0.0039586i,0.0027979+0.0054794i,0.0039748+0.011549i,-0.007853+0.012655i,-0.0058504+0.00078048i,0.014538-0.0025141i,0.012803+0.0058298i,-0.012955+0.007295i,-0.00072181-0.0010865i,-0.0025677+0.003446i,-0.0019916+0.00065936i,-0.0020867-0.0023372i,0.0069731+0.00086889i,-0.0012637-0.0077847i,-0.0030443+0.0014687i,0.0023741-0.0021809i,0.0011283-0.0054732i,-0.004263+0.0021249i,0.0018799+0.00041755i,0.00033394-0.0016598i,0.026963-0.0012517i,-0.0055373+0.0041859i,0.00052354-0.0054119i,-0.0036917-0.0020294i,-0.00068947-0.0070315i,-0.0020806+0.0077247i,0.0040162-0.0031966i,0.0013421-0.00085937i,0.001272-0.0022642i,-0.0015784-0.0023835i,0.00046587+0.004455i,0.0017969-0.00013404i,0.0063214+0.0028758i,-0.00045837+0.0034275i,-0.0055686+0.0078072i,-0.010459+0.018763i,0.012167+0.00059161i,-0.0202+0.005255i,-0.026419-0.0091134i,0.019906+0.0073296i,0.020353+0.013858i,-0.014198-7.6064e-05i
0.0051121-0.0011824i,0.029193-0.01692i,0.0061433-0.020763i,0.011439-0.014097i,0.0064872-0.014231i,0.002535-0.017991i,0.01364+0.0048683i,0.022365-0.0017719i,-0.00028051-0.0037148i,-0.00012333+7.1211e-05i,-0.00070455-0.001949i,0.0004459-0.00063663i,-0.00022661+0.00094303i,0.0010515-0.00085093i,0.00044033-0.0031912i,0.0047051-0.00098627i,-0.0010743-0.0033941i,-0.00093269-0.00054067i,-4.5202e-06+0.001669i,-0.001057-0.00057982i,-0.00098608+0.00042129i,7.7922e-05+0.0015788i,-0.00056524+0.0017133i,0.0018436-0.0069581i,0.0010867+0.0010262i,0.00015012-0.0003342i,0.00039762-0.00052997i,0.00028954-0.00017199i,0.00030083+0.00064774i,0.00071599+0.0013279i,-0.00092525+0.00068165i,0.00070482+0.0011198i,0.00030299-0.00017341i,0.00058444-7.143e-06i,0.00089138+4.8435e-06i,0.0053378+0.0098165i,0.00027868+0.00031996i,-1.2053e-05+0.00056602i,0.00095344+0.00038088i,-0.0014193+0.00096697i,-0.00080076+7.825e-05i,-0.00011087+0.0002773i,0.0022296+0.00081126i,-0.0035249-0.0041726i,0.0047152-0.0053494i,-0.015422+0.030428i,0.02197+0.025274i,0.020197+0.028048i,0.039114+0.010817i,0.021737+0.024i,-0.013126+0.030763i,-0.013369+0.030368i,-0.036695+0.042636i,-0.030996-0.014474i,0.01587-0.0076763i,0.0040474+0.004524i,0.0078027+0.0091262i,-0.0040131+0.014745i,-0.0050715+0.0035214i,0.010265-0.009301i,0.01368+7.139e-05i,-0.010387+0.010206i,0.00028909-0.00016584i,-0.0012415+0.0032565i,-0.00040063+0.00057629i,-0.0022637+2.1382e-05i,0.0056213-0.0010878i,-0.0031056-0.0057679i,-0.00078402+0.0035184i,0.0026615-0.0040526i,-0.0011622-0.0052007i,-0.0027273+0.0020325i,0.002136-0.0010155i,0.00084447-0.0016028i,0.022322-0.011535i,-0.002698+0.0052888i,-0.001158-0.0050428i,-0.0037521-0.0011198i,-0.0030816-0.0063896i,0.0003339+0.0064616i,0.0030782-0.0045367i,0.0024109-0.0012786i,0.0011877-0.0028465i,-0.0010518-0.0029355i,0.0021239+0.0035381i,0.00066448+0.00025413i,0.010898+0.0043967i,-0.0010765+0.0026415i,-0.0026031+0.009421i,-0.0068325+0.01846i,0.0074719-0.0084334i,-0.018031+0.0026655i,-0.031824-0.0033234i,0.01859+0.00072282i,0.02105+0.007198i,-0.01491+0.0016005i
0.0049504-0.0020647i,0.025372-0.021445i,0.0017249-0.022509i,0.0074333-0.017892i,0.0037368-0.016466i,-0.0012188-0.017936i,0.01526+0.0029689i,0.021541-0.0054212i,-0.00078989-0.0046053i,-0.00026232+0.00098742i,-0.0012515-0.0014191i,0.00041537-0.0011675i,0.00034602+0.0010821i,0.00072619-0.00074193i,-0.00013129-0.0028111i,0.0050864-0.0020405i,-0.0015002-0.0031529i,-0.0011681-0.00034887i,0.0007512+0.0012891i,-0.001422-2.7708e-05i,-0.0010012+0.00046247i,0.00062924+0.00089556i,-4.2839e-05+0.001725i,-0.0013752-0.0063378i,0.00129+0.00032723i,-9.1102e-05-0.00017739i,-0.00010849-0.00076665i,0.00010292-0.00015118i,0.00066054+0.00034363i,0.00096647+0.00085467i,-0.00037673+0.00086541i,0.0012059+0.00093805i,5.6305e-05-6.812e-05i,0.00053107-0.00026161i,0.00045717-0.00064672i,0.0060667+0.0077174i,0.00040402+0.00027483i,7.9027e-05+0.0004904i,0.0009604+0.00026749i,-0.0004949+0.00081192i,-0.0010022+0.00032596i,-2.3784e-06+0.00026857i,0.0024189+9.2796e-05i,-0.0012398-0.0024744i,0.002938-0.0078328i,-0.0093635+0.029012i,0.026055+0.019652i,0.025427+0.022763i,0.034782-0.00073126i,0.023067+0.018743i,-0.0066425+0.034949i,-0.0036006+0.034562i,-0.024159+0.04866i,-0.035301-0.0086465i,0.010856-0.0094118i,0.0047144+0.0032006i,0.0096477+0.005122i,0.00044474+0.014903i,-0.0042899+0.0051597i,0.0021553-0.011433i,0.011238-0.0048622i,-0.007817+0.012284i,0.0015501-0.00092304i,0.0015477+0.001405i,8.2402e-05-0.00013758i,-0.00046289+0.0013989i,0.0045647-0.0013873i,-0.003385-0.0042415i,0.0018246+0.0033535i,0.0011966-0.0062212i,-0.0027046-0.0040037i,-0.0018137+0.0022375i,0.0014433-0.0025129i,0.00086906-0.0024458i,0.014361-0.017316i,5.3033e-05+0.0050494i,-0.0021462-0.0042976i,-0.0031813-0.00070126i,-0.0048247-0.0052104i,0.0017427+0.0052235i,0.0016969-0.0064367i,0.0027322-0.0023396i,3.3057e-05-0.0037219i,-0.0017849-0.0034858i,0.0031943+0.0040584i,0.00042318+0.0013575i,0.0072335-0.0011746i,-0.0017972+0.0028178i,0.00042685+0.0091378i,-0.0035454+0.018178i,0.0002835-0.014252i,-0.020423-3.559e-05i,-0.033808+0.0054786i,0.012678-0.0036633i,0.02097+0.0014833i,-0.014127+0.0035696i
0.0049684-0.0030506i,0.021042-0.024371i,-0.0036806-0.022875i,0.0018332-0.019693i,1.6612e-05-0.01786i,-0.0042474-0.016741i,0.016929+5.2769e-05i,0.020109-0.0085869i,-0.0012412-0.0056528i,0.00047301+0.0019697i,-0.0015391-0.00045218i,-0.00037962-0.0014533i,0.00093187+0.0010772i,0.00074503-0.00051018i,-0.00042332-0.0024037i,0.0048998-0.0032148i,-0.0023785-0.0025217i,-0.0013616+0.00014603i,0.0010077+0.00050052i,-0.0013774+0.00080511i,-0.00088838+0.0008022i,0.00051827+8.0799e-05i,0.00046284+0.0016215i,-0.00416-0.0040092i,0.00069046-7.7583e-05i,-0.00011168-2.8259e-05i,-0.0004903+0.00038353i,1.6322e-05+3.3836e-05i,0.00052492-0.00012504i,0.0010611+0.00050568i,4.5628e-05+0.00073033i,0.00074329+0.00016223i,5.9883e-05+0.00010945i,0.00032502-0.00025984i,-0.00021277-0.00041979i,0.007229+0.0053007i,0.00050723+0.00010732i,4.0543e-05+0.00062787i,0.0011276+6.6869e-05i,0.00017598+0.00037512i,-0.00098068+0.0009615i,0.00013866+0.00022569i,0.002065-0.00073683i,-0.0014862-0.0015251i,0.00026939-0.0094139i,-0.0043647+0.026457i,0.028212+0.014027i,0.029665+0.016047i,0.028976-0.0083333i,0.023515+0.014472i,0.00091268+0.036731i,0.0057431+0.033828i,-0.010696+0.049955i,-0.036159-0.0012958i,0.0075982-0.0094408i,0.0053493+0.0019139i,0.0093393+0.0015687i,0.0051222+0.01349i,-0.0027279+0.0070553i,-0.0043238-0.0084969i,0.00768-0.0070583i,-0.0043274+0.01398i,0.0015641-0.0029209i,0.0011362+0.0015664i,-0.00012536-0.00025766i,0.0015283+0.0012274i,0.0040122-0.0018043i,-0.0039178-0.00318i,0.0033409+0.0019167i,-0.0020711-0.0070978i,-0.0032448-0.0024736i,-0.00026376+0.0018548i,0.00067497-0.0032984i,0.00024991-0.0034422i,0.0059179-0.019242i,0.0017902+0.0036986i,-0.0029747-0.0037163i,-0.0036821-0.00047762i,-0.0061087-0.003296i,0.0024125+0.004234i,-0.0012008-0.0077228i,0.0027164-0.0034868i,-0.00094764-0.0031124i,-0.0025675-0.0032369i,0.0046095+0.0031901i,0.0011228+0.0021709i,0.0052713-0.0027995i,-0.0019272+0.0036486i,0.0028117+0.0074409i,0.00064489+0.017873i,-0.0095367-0.016596i,-0.024459+0.00046613i,-0.031328+0.014064i,0.00759-0.0032816i,0.018155-0.0039146i,-0.013055+0.0040305i
0.0047545-0.004625i,0.017041-0.027079i,-0.0084477-0.021307i,-0.0032021-0.019127i,-0.0037877-0.018176i,-0.0064834-0.015485i,0.017997-0.0040303i,0.018256-0.011758i,-0.0022257-0.0067973i,0.0018126+0.0021038i,-0.0010508+0.00038579i,-0.0010375-0.00084639i,0.0015058+0.00058317i,0.00082962-0.00053385i,-0.00059908-0.0021376i,0.0044077-0.0040578i,-0.0027616-0.0013733i,-0.00099+0.00038291i,0.00074949-0.00014771i,-0.00085767+0.0012976i,-0.00057622+0.00097871i,0.00011858-0.00022579i,0.00091346+0.0013148i,-0.0050749-0.0013107i,0.00010029-0.00013314i,-7.3392e-05+3.7753e-05i,-0.0004458-2.3026e-05i,8.9359e-05+0.00011487i,0.00017287-4.4712e-05i,0.0010546-2.7292e-06i,0.00041842+0.00040966i,0.00072895+0.00029688i,0.00023281+9.4353e-05i,0.00032786-0.00019785i,-0.00034274+0.00011348i,0.0074942+0.0028167i,0.00040003+5.8186e-05i,0.0003579+0.00076969i,0.001162-0.00031266i,0.00056327-0.00015511i,-0.00064309+0.00092698i,0.00020136-2.7108e-05i,0.0013967-0.0013017i,-0.0015592-0.00080275i,-0.002702-0.010005i,-0.001533+0.023323i,0.029398+0.0089228i,0.03143+0.0080761i,0.022616-0.013654i,0.023723+0.012285i,0.0087013+0.036441i,0.013594+0.031161i,0.0012386+0.047169i,-0.03418+0.0055704i,0.0047561-0.0096494i,0.0058314+5.2714e-05i,0.0089702-0.00093917i,0.0089889+0.010127i,0.00012966+0.0074184i,-0.0075069-0.0038854i,0.0039965-0.0079006i,-5.7063e-05+0.013651i,-0.00085822-0.0044293i,0.00055564+0.0014105i,-0.00024765-0.00012951i,0.0025255-2.4884e-06i,0.0035673-0.0012838i,-0.0041084-0.0016481i,0.0036974+0.00019914i,-0.0052901-0.0050697i,-0.0030181-0.0013039i,0.00022037+0.00055487i,-0.00026633-0.003898i,-0.0010774-0.003788i,-0.0014146-0.017786i,0.0029285+0.0021302i,-0.0040539-0.0027131i,-0.0037557+0.00086207i,-0.0063567-0.0010825i,0.0032873+0.0034716i,-0.0046359-0.0071898i,0.0021324-0.0049279i,-0.0015248-0.0029474i,-0.0031751-0.0032977i,0.0057833+0.0020708i,0.0019364+0.0023802i,0.0033951-0.0026563i,-0.0017311+0.0043955i,0.0039644+0.0054564i,0.0055025+0.01569i,-0.019733-0.013625i,-0.028298+0.0035344i,-0.026097+0.018911i,0.0053171-0.0023647i,0.013203-0.0067985i,-0.014488+0.0045483i
0.0036586-0.0061467i,0.012811-0.029639i,-0.012136-0.018969i,-0.0072339-0.017505i,-0.0075541-0.0177i,-0.0087054-0.014293i,0.017588-0.0092077i,0.01586-0.014509i,-0.0040902-0.0076777i,0.0030969+0.0014611i,-0.00032543+0.00072558i,-0.0011538+5.6475e-05i,0.0015424-0.00015441i,0.00087478-0.00062311i,-0.00090722-0.0020212i,0.0036936-0.0049355i,-0.0026199-0.00031184i,-0.00069179+0.00022851i,0.00051433-0.00038631i,-0.00028035+0.001452i,-0.00037239+0.0012766i,-0.00019001-0.00024165i,0.0011391+0.00084489i,-0.0043127+0.0011041i,-6.0755e-05+9.1148e-05i,-2.9211e-05+0.00011929i,-0.00041232+0.00010441i,9.8863e-05+9.1674e-05i,0.00018497+3.944e-05i,0.0006948-0.00040223i,0.00044655+7.4785e-05i,0.00079848+0.00051607i,0.00028578-1.0886e-05i,0.00035448-0.00051233i,-1.5664e-05+0.00041857i,0.007287+0.0012943i,0.00043664-1.0665e-05i,0.00074242+0.00069014i,0.00042678-0.00066313i,0.00082769-0.00070233i,-0.00026775+0.0007767i,0.000132-0.00012792i,0.0004881-0.0012355i,-0.0014532+0.00023654i,-0.0054462-0.0093731i,-0.00058667+0.02176i,0.029906+0.0039197i,0.0306+0.0017676i,0.015574-0.017285i,0.02621+0.011038i,0.016149+0.033673i,0.021394+0.026397i,0.01143+0.041264i,-0.029496+0.011476i,0.0019832-0.0092131i,0.0051887-0.0028523i,0.0083512-0.0039478i,0.010198+0.0054807i,0.0018319+0.0063346i,-0.008422+0.0015556i,0.00049777-0.0073291i,0.0024628+0.011247i,-0.0032333-0.0028113i,0.000165+0.0023149i,-0.00031564+9.6974e-05i,0.0030681-0.0015068i,0.0043402-0.00022023i,-0.0032434-0.00051724i,0.0036092-0.00038492i,-0.0057186-0.0025027i,-0.0023588-0.00061396i,-0.00014459+5.5439e-05i,-0.0023349-0.0044161i,-0.0023349-0.0029899i,-0.0070487-0.014863i,0.0032823+8.2224e-05i,-0.0046544-0.0012155i,-0.0028531+0.0017068i,-0.0059724+0.00056296i,0.0042063+0.0024541i,-0.0071102-0.004776i,0.00035624-0.0064981i,-0.0024237-0.0024289i,-0.0049106-0.0025968i,0.006774-0.00025043i,0.0031863+0.0026652i,0.0028604-0.0023752i,-0.000342+0.0056822i,0.0039568+0.0034057i,0.0091382+0.011599i,-0.025394-0.0053256i,-0.031337+0.0093144i,-0.020517+0.022841i,0.0032969-0.00083984i,0.0092226-0.0069859i,-0.014814+0.0066366i
