-0.031614-0.038072i,-0.021278-0.019754i,-0.012954-0.035962i,-0.029788-0.020319i,-0.021927-0.0002723i,-0.01365-0.0058063i,-0.05574-0.058239i,-0.047018-0.017283i,-0.038414-0.016193i,0.012189+0.010984i,-0.0079189+0.0049337i,-0.020132+0.019191i,0.0024336+0.011904i,-0.0061682-0.0028185i,0.00017071+0.0012836i,-0.0022606+0.03069i,0.023782+0.026693i,0.0024929-0.0021588i,-0.0026013-0.007027i,0.0091691+0.0029481i,0.0026014+0.00077626i,0.00019069+0.0033385i,-0.0003478+0.00022813i,-0.03799-0.0085378i,-0.00013211-0.0090098i,0.0011465+0.0021928i,0.006056+0.00066172i,0.0021784+0.00065719i,0.00094415-0.00037546i,-0.00049057-0.0026023i,0.0014562-0.0023505i,-0.0020371-0.006194i,-0.00075032-0.0048288i,0.0030056-0.00054647i,0.0040652-0.0032584i,0.00022987+0.029847i,0.0039573-0.0039201i,0.0029423-0.0014005i,0.0075571-0.001554i,-0.0060141-0.0029048i,-0.00020727+0.0008578i,0.0071349+0.001726i,0.0046029-0.0020411i,-0.0020422+0.0080778i,-0.018562-0.0075176i,-0.019199+0.015596i,-0.0030702-0.061363i,-0.0044909-0.026883i,-0.026147-0.032933i,-0.010947-0.026779i,0.055067-0.020241i,0.017382-0.042434i,0.023178-0.048475i,0.0062578-0.054716i,0.026586-0.021548i,0.008302+0.0061398i,0.024134-0.034177i,-0.0092787-0.0067809i,0.0033874-0.004451i,-0.0046373-0.0072085i,-0.0016424-0.033391i,-0.019745+0.029452i,0.0084723-0.011674i,-0.0090855-0.0033187i,-0.004187-0.0014699i,0.00135-0.012674i,-0.01133+0.0048408i,0.0025245+0.010224i,-0.005356+0.026544i,0.0048593+0.0028743i,-0.0047624-0.0017765i,-0.0022208-0.0021498i,-0.011956-0.0074666i,-0.00046734-0.0044894i,-0.030659+0.0044646i,0.0012724-0.010542i,-0.0083986+0.00010835i,-0.0069371-0.0022372i,0.0054446+0.0017895i,-0.0079929+1.7908e-05i,0.002154+0.00019537i,0.0041564+0.0073314i,0.0044+0.00040429i,-0.0091538-0.012451i,0.0031368+0.0095285i,-0.015015+0.0037222i,0.0066704-4.7172e-05i,-0.022698-0.00090947i,-0.017605+0.0058594i,-0.0084571-0.066946i,0.0084857-0.012585i,-0.049287-0.023473i,-0.020335-0.00038843i,0.01729+0.012123i,-0.023214+0.015012i,-0.019954-0.0058281i
0.028836+0.035003i,0.014099+0.01487i,0.017383+0.024769i,0.0061294+0.019532i,0.0082359+0.0073182i,0.0044251-0.0009139i,0.014955+0.011426i,0.01568-0.0025344i,0.0078442-0.0084818i,0.0024184+0.0038855i,0.0017467-0.00269i,0.00071572-0.0050952i,-0.0017914+0.00055509i,0.0012695-0.001714i,0.0018433-0.00059201i,0.0051465-0.0029486i,0.0061097-0.0033083i,0.00021186+0.00016322i,-0.0045878-0.0005351i,3.8534e-05+0.00065523i,-0.00083911-0.0009752i,-0.0025891-0.0009842i,-0.0016265+0.00084668i,0.0046888+0.0088973i,-0.00089508+0.0011825i,0.00042516+0.0016625i,0.0011675+0.00099507i,-0.0015923+0.002581i,-0.00087322+0.00034083i,-0.0013957+0.00053751i,-0.0011748-0.0014855i,-0.0027839-0.00066658i,-0.00012194+0.00019794i,0.00013915+0.00055938i,2.8161e-05-0.00075929i,-0.010529+0.0078124i,0.0015578-0.0002772i,0.00069805+0.00107i,0.003068+0.001119i,7.3203e-05-0.001444i,-0.00054537-0.00043012i,-0.00097699-0.0016732i,0.00025453+0.00050952i,-0.00099334+0.0016785i,0.018617+0.011427i,-0.023421+0.011317i,-0.012295+0.016421i,-0.022835+0.011234i,-0.0044063+0.038191i,-0.02237+0.017515i,0.0014416-0.005554i,-0.011689-0.018464i,-0.018745-0.001085i,-0.0074554+0.015093i,0.018176+0.019714i,-0.00061876+0.002349i,-0.0038854+0.00082792i,-0.012686-0.0048093i,0.011589+0.0013883i,0.011299+0.0096223i,-0.0010774+0.0058451i,-0.0053286-0.0080257i,0.0068258-0.0026543i,-0.0032325-0.0040318i,0.0038835-0.0085928i,0.0089541-0.0027559i,-0.0016513+0.010646i,0.012118-0.0053087i,0.004341-0.0085867i,0.0031853-0.0092009i,0.0024413+0.00065348i,-0.0020734-0.0058165i,-0.0037782-0.0013274i,0.0025784-0.00020931i,-0.0024126+0.032007i,-0.0093722-0.0051442i,0.00018317+0.0011732i,-0.00097178-0.0069764i,0.0032428-0.00039702i,-0.016823-0.0064986i,-0.0012126-0.0038423i,0.0027391-0.0023078i,0.0034985-0.0015599i,-0.0026246-0.0070194i,-9.1799e-05+0.0067998i,-0.00011699+0.0033981i,-0.0034745+0.0041351i,-0.0068862+0.0018333i,-0.006066-0.0015749i,-0.0054712+0.028225i,-0.0024426+0.015419i,-0.026731-0.010216i,-0.0018172-0.0027926i,0.014004+0.018142i,-0.00073818+0.018544i,-0.00084574-0.0043914i
0.03415+0.028111i,0.016604+0.011128i,0.021605+0.021708i,0.0095926+0.019075i,0.010337+0.0060727i,0.0045616-0.0022934i,0.014819+0.0079707i,0.014933-0.0053075i,0.0057905-0.010128i,0.0033138+0.0025316i,0.0014136-0.0027687i,-0.0012117-0.0035566i,-0.0015699+0.0012904i,0.00087246-0.00059521i,0.0017044-0.00084362i,0.0037319-0.0030735i,0.005287-0.0049795i,0.00058188+0.00012906i,-0.0034969-0.00082093i,0.00038424+3.5865e-05i,-0.00093122-0.0011812i,-0.0026375-0.0005018i,-0.0012555+0.00097134i,0.0092085+0.0059919i,-0.00085008+0.0024339i,0.0011739+0.0013248i,0.0010944+0.00010708i,-0.00054108+0.0028641i,-0.0011649+0.00078624i,-0.0011734+0.0011404i,-0.0018987-0.00079525i,-0.0021339-6.0696e-05i,-0.00026969+9.6462e-05i,0.00038796+0.00012728i,-0.00061507-0.00031279i,-0.0065798+0.0099754i,0.0010879-0.00077691i,0.00095668+0.00088488i,0.0022458+0.000535i,-9.8739e-05-0.0012543i,-0.00081588-0.00059853i,-0.0012582-0.00095983i,0.00016509+0.00076783i,-0.0012873+0.0020854i,0.021116+0.0085231i,-0.019219+0.014668i,-0.011171+0.019509i,-0.017931+0.012897i,0.0075576+0.034185i,-0.013624+0.018038i,-0.0054141-0.0084223i,-0.02007-0.019366i,-0.020981-0.0007248i,-0.00049096+0.010529i,0.020484+0.013007i,-0.0010672+0.0023383i,-0.0027411+0.0044377i,-0.012709+2.3642e-05i,0.010167-0.0029649i,0.013001+0.0068289i,0.0024321+0.0088559i,-0.009763-0.00575i,0.0026748-0.0050681i,-0.0035416-0.0019722i,-0.0013915-0.0079371i,0.0072005-0.0056876i,0.0031207+0.0086067i,0.0073871-0.0086636i,-0.0010293-0.0085679i,-0.0008904-0.0063691i,0.0039271-0.00018069i,-0.0038089-0.0053904i,-0.0017688+0.0010241i,0.0033052-0.00064732i,0.012374+0.027684i,-0.011847-0.0025638i,0.0010308+0.00044535i,-0.0041936-0.0053683i,0.0040335-0.0019222i,-0.017727+0.0013112i,-0.0017979-0.0028812i,0.0015232-0.0024002i,0.0032735-0.0031636i,-0.0041399-0.0051368i,0.0019094+0.0033904i,0.0013158+0.002668i,-0.0010336+0.0052993i,-0.0051677+0.0043483i,-0.0067689-0.0005195i,0.00046695+0.024097i,0.0004896+0.016692i,-0.028773-0.0037935i,-0.0034219-0.006236i,0.016624+0.015642i,0.0026747+0.019628i,-0.0031545-0.0047062i
0.037835+0.02042i,0.017428+0.0064939i,0.026147+0.016339i,0.014312+0.016369i,0.012636+0.0040824i,0.0042904-0.0039389i,0.014046+0.0046089i,0.01364-0.0082879i,0.0037244-0.010656i,0.0033111+0.0013521i,0.00057955-0.0034186i,-0.0014573-0.0016739i,-0.00083471+0.0016518i,0.0015695-0.00042817i,0.0014707-0.0011101i,0.0026889-0.003132i,0.0032625-0.0065835i,0.00057725-0.00025856i,-0.0025527+0.0013689i,6.3449e-05-0.00070271i,-0.0017092-0.0016742i,-0.0024672+6.296e-05i,-0.001018+0.0010632i,0.01065+0.00039854i,0.00042422+0.00313i,0.0011681+0.00061983i,0.00056752-0.00032495i,0.00062564+0.0025732i,-0.00077771+0.0014035i,-0.00070782+0.0016032i,-0.00223+0.00033293i,-0.0024782+0.00091063i,-0.0002932+0.00019266i,0.00048447-0.00014893i,-0.00061361+0.0003263i,-0.0038884+0.011202i,0.00056994-0.00080572i,0.001166+0.00039347i,0.0018702+0.0001627i,-0.00051701-0.001136i,-0.0011821-0.0004378i,-0.0013558-0.00089548i,0.00027936+0.0011062i,-0.0010106+0.0029484i,0.024059+0.0045662i,-0.014795+0.017083i,-0.0079066+0.022803i,-0.012307+0.01251i,0.017836+0.026599i,-0.0067512+0.018169i,-0.012649-0.0072329i,-0.027343-0.016075i,-0.021153+0.0037206i,0.0030974+0.0039589i,0.021044+0.0063649i,-0.0014554+0.0023448i,-0.001194+0.0047046i,-0.012638+0.0030019i,0.0062629-0.0073978i,0.013943+0.0031264i,0.0067541+0.0085666i,-0.012362-0.0026149i,0.00029647-0.0034399i,-0.0035028-0.00023126i,-0.0039497-0.0052801i,0.0048078-0.0068971i,0.0059821+0.0075576i,0.0041184-0.0088319i,-0.0055817-0.0056729i,-0.0014898-0.0033473i,0.0043939-0.0025546i,-0.0067137-0.0035874i,9.365e-05+0.00087188i,0.0026807-0.001976i,0.020414+0.015542i,-0.012103+0.0021418i,0.0015003-0.00017708i,-0.0037575-0.0035465i,0.0042258-0.0040957i,-0.013394+0.0083748i,-0.001711-0.0018576i,0.0005542-0.0025135i,0.0016022-0.0037372i,-0.0047204-0.0030595i,0.0012856+0.0022466i,0.0020214+0.0015987i,0.001084+0.0053512i,-0.0030806+0.0048202i,-0.0073952+0.0012404i,0.0031389+0.019798i,0.0076365+0.015831i,-0.028557+0.00081194i,-0.0056738-0.0086937i,0.019519+0.010484i,0.0076548+0.020194i,-0.0052364-0.0038869i
0.038987+0.012974i,0.01642+0.0030877i,0.027861+0.0093366i,0.017409+0.011356i,0.01423+0.00088483i,0.0031186-0.0053795i,0.012696+0.0024918i,0.011334-0.01072i,0.0020724-0.01115i,0.0030001+0.00080268i,-0.00069465-0.0024695i,-0.00085662-0.00081241i,-0.00052895+0.0017822i,0.0016474-0.00041361i,0.0010527-0.0013244i,0.0016897-0.0027453i,0.00084779-0.0063736i,0.00049886-0.00036985i,-0.0014461+0.0022549i,-0.00064114-0.00087199i,-0.0024403-0.00081708i,-0.002464+0.00061475i,-0.00077416+0.0011514i,0.0086118-0.0036419i,0.0018061+0.0028994i,0.00059784+0.00015811i,0.00015711-0.00017867i,0.0011614+0.0018965i,-0.00019834+0.0014163i,-4.5291e-05+0.0018246i,-0.0018724+0.0014253i,-0.0014496+0.002098i,-0.00025946+0.00023871i,0.00030907-0.00027324i,-0.00028404+0.00070664i,-0.00016816+0.01153i,0.00036306-0.0008889i,0.0011016-0.00025306i,0.0015324+0.0001858i,-0.00097589-0.00068036i,-0.0014018-0.00012984i,-0.0018551-0.00062522i,0.00068895+0.0013627i,-0.00018308+0.003752i,0.025647-0.0012842i,-0.0097559+0.018618i,-0.0030372+0.025138i,-0.010204+0.0096978i,0.025358+0.015156i,7.9723e-05+0.014341i,-0.018962-0.002141i,-0.033945-0.0095554i,-0.024788+0.012762i,0.0023688-0.0028212i,0.020088-2.9031e-05i,-0.0016343+0.0032223i,-7.7539e-05+0.0064158i,-0.011826+0.0071285i,-0.0001249-0.0075675i,0.014011-0.0015436i,0.010356+0.0061773i,-0.014032+0.0017029i,-0.00065205-0.0024154i,-0.002564+0.0011778i,-0.0050386-0.0017294i,0.0027576-0.0077805i,0.0085652+0.0038373i,0.0015442-0.0092237i,-0.0066917+0.00028053i,-0.0005105-0.0020415i,0.0028643-0.0048283i,-0.0069995+0.00014503i,0.0010076+0.00052319i,0.0018054-0.0025862i,0.022724+0.0056751i,-0.0095257+0.0066023i,0.0017456-0.0012339i,-0.0039678-0.0023431i,0.0022247-0.0066245i,-0.0074699+0.010676i,-0.0012027-0.0012224i,-0.00024738-0.0017187i,0.00016545-0.00374i,-0.0042145-0.0021666i,0.00099001+0.0019571i,0.0018184+0.00032936i,0.0036129+0.0049395i,-0.0012494+0.0038544i,-0.0076574+0.0030648i,0.0044258+0.017821i,0.01609+0.0085819i,-0.02625+0.0055594i,-0.010678-0.010347i,0.018489+0.0051977i,0.013135+0.018343i,-0.0054436-0.0028869i
0.03951+0.0062132i,0.01601+0.0009642i,0.0277+0.0035293i,0.018769+0.0061292i,0.014544-0.0025303i,0.0017565-0.0062172i,0.011845+0.001658i,0.0088025-0.012404i,0.00043761-0.011586i,0.0027708+0.00029576i,-0.00023605-0.0016473i,-0.00026576-0.00073288i,-0.00029993+0.0021855i,0.0017251-0.00075041i,0.00070677-0.0012732i,0.0014143-0.0018264i,-0.00052407-0.0055047i,0.0002678-0.00040152i,-0.00047599+0.0021654i,-0.0012366-0.00062136i,-0.0025508-0.00013591i,-0.0019187+0.0012963i,-0.00049641+0.0013012i,0.0057372-0.0057465i,0.0028181+0.0020505i,0.00026737-0.0010468i,-0.00011495-5.8206e-05i,0.0013807+0.0013708i,0.00015469+0.0013877i,0.00076955+0.0017168i,-0.00097456+0.0021187i,-0.00079286+0.0024561i,-0.00038023+0.00022318i,0.00028005-7.7472e-05i,0.00019208+0.00093509i,0.0025471+0.0097917i,-8.608e-05-0.00085771i,0.0007293-0.00062491i,0.0015729+9.6275e-06i,-0.00094844-0.00011074i,-0.0014568+0.00018193i,-0.0021499-0.0002613i,0.0010757+0.0013308i,0.00053385+0.0034362i,0.025065-0.007463i,-0.0041204+0.0187i,0.0035561+0.025901i,-0.009618+0.0092759i,0.026773+0.002132i,0.0025966+0.0087871i,-0.021187+0.0063119i,-0.036509+0.00090499i,-0.023673+0.017754i,-0.0020721-0.0071799i,0.015968-0.0054524i,-0.00089869+0.0041269i,0.0035368+0.0063995i,-0.0091522+0.010482i,-0.0034627-0.0043241i,0.011701-0.0077319i,0.012926+0.0020954i,-0.014295+0.0077975i,-0.00094433-0.00071908i,-0.0013706+0.0017825i,-0.0032231+0.00057104i,-0.00049443-0.0074825i,0.0086683+0.00035829i,-0.0012986-0.008893i,-0.0035968+0.0039598i,0.00025618-0.0022148i,0.00038044-0.0057019i,-0.0048738+0.0023575i,0.0022523-0.00040814i,0.0011329-0.0026382i,0.021139-0.0044404i,-0.004931+0.0087625i,0.00111-0.0024466i,-0.003505-0.0019216i,-0.00065836-0.0071173i,-0.0033414+0.010392i,-0.00066819-0.0017663i,-0.00014987-0.00030079i,-0.00034577-0.0032222i,-0.0046819-0.00047085i,0.0012448+0.0022541i,0.00083408-0.00028547i,0.0045211+0.002479i,-0.0012522+0.0021468i,-0.0069486+0.0053542i,0.0067393+0.016668i,0.017444-0.0043703i,-0.021987+0.0062563i,-0.016326-0.0086572i,0.017465+0.0012041i,0.017304+0.012864i,-0.0062325-0.0029396i
0.03933-0.00063389i,0.016063-0.0015263i,0.027491-0.0019341i,0.01904+0.00067253i,0.014428-0.005814i,0.00029476-0.0067678i,0.012245+0.00081761i,0.0064207-0.01351i,-0.0013939-0.011985i,0.0022271-0.00017559i,-0.00014746-0.0020307i,1.3156e-05-0.00079505i,0.0005235+0.0025367i,0.0016222-0.00092245i,0.00053183-0.0012926i,0.0020091-0.0011662i,-0.0014286-0.0053184i,0.00027293-0.00040644i,0.00015484+0.0017707i,-0.0015296-0.00015491i,-0.0021265+0.00053756i,-0.0010925+0.0014259i,-0.00014783+0.0013762i,0.0022562-0.0059743i,0.0035994+0.00093494i,0.0006297-0.0010948i,-0.00017658+2.8266e-05i,0.0015333+0.00091005i,0.00058348+0.0012793i,0.0013268+0.0011613i,7.263e-05+0.0023158i,0.00017687+0.0029093i,-0.0004748+0.00055627i,0.00039283-0.00014961i,0.00058278+0.00073006i,0.0038761+0.0080183i,-0.00038417-0.00051567i,0.00044957-0.00060493i,0.001474-0.0002553i,-0.00055805+0.00017377i,-0.0014627+0.00072961i,-0.0024563+0.00029013i,0.0014806+0.0012119i,0.0010028+0.0035824i,0.022983-0.01305i,0.00097624+0.016923i,0.010236+0.023574i,-0.0084983+0.0098111i,0.023465-0.0092392i,0.0021353+0.0050192i,-0.018238+0.015058i,-0.033843+0.011807i,-0.017527+0.02456i,-0.0075342-0.0067535i,0.01117-0.0071852i,0.00039643+0.0044148i,0.0058278+0.0040803i,-0.0056083+0.013568i,-0.0045198-0.0013611i,0.0057956-0.012909i,0.012624-0.0033972i,-0.010622+0.011455i,-0.00019613+0.00031906i,-0.00026652+0.0015574i,-0.0015698+0.00086105i,-0.0023264-0.0055235i,0.0073231-0.0021241i,-0.0030979-0.0072449i,-6.0283e-05+0.004263i,0.00034197-0.0032301i,-0.0017093-0.0050711i,-0.0031751+0.0034259i,0.0018995-0.0021993i,0.0010226-0.0027143i,0.012022-0.0053094i,-0.00071051+0.0091445i,3.1015e-05-0.0024709i,-0.0039109-0.0010352i,-0.0037261-0.0063003i,-0.00032083+0.0096924i,-0.0011054-0.00069705i,0.0012652-3.13e-05i,-0.0013437-0.0039748i,-0.0025471+0.0013987i,0.004476-0.0002866i,-1.7685e-05+0.00020074i,0.00056989-0.0058822i,-0.0023952+0.0012435i,-0.0049194+0.0070722i,0.0094464+0.014978i,0.010871-0.014053i,-0.020516+0.0033281i,-0.0209-0.0038799i,0.014044-0.0035782i,0.018426+0.0071377i,-0.0069056-0.0021657i
0.037664-0.0072032i,0.015397-0.0043731i,0.025226-0.008473i,0.017096-0.0053961i,0.013581-0.0095192i,-0.0013509-0.0068174i,0.013247-0.00067728i,0.0038405-0.014515i,-0.003415-0.011934i,0.0016435+0.000217i,-0.001035-0.0018938i,-0.00010855-0.0015512i,0.00136+0.0023776i,0.0013902-0.0012663i,0.0002969-0.0012398i,0.002855-0.0014847i,-0.0026456-0.0049589i,2.7369e-05-0.00057488i,0.00060222+0.0012405i,-0.0017993+0.00042745i,-0.00208+0.00076376i,-0.00038662+0.0010776i,0.00016616+0.001309i,3.7096e-05-0.0030889i,0.0037075-0.0010599i,0.00030384-0.00084913i,-0.0005449+0.00021109i,0.0015286+0.00054366i,0.001083+0.00089919i,0.001497+0.00047744i,0.0011647+0.002003i,0.0012427+0.0028867i,-0.00045485+0.00099313i,0.0004242-0.00021294i,0.00072133+0.00037478i,0.0046555+0.0056949i,-0.00051208-0.00032074i,0.00015293-0.00065126i,0.0016207-0.00056805i,-0.00012956+0.00015805i,-0.0013104+0.0013073i,-0.0022012+0.0010805i,0.001934+0.00092827i,0.0022373+0.0040438i,0.019685-0.018091i,0.0048609+0.013834i,0.01464+0.01938i,-0.0059662+0.010906i,0.017126-0.016725i,0.00083545+0.0033986i,-0.012135+0.020258i,-0.025815+0.019055i,-0.0076932+0.027689i,-0.010839-0.0029029i,0.0075102-0.00738i,0.001624+0.0040468i,0.0060086+0.0010315i,-0.00082773+0.014051i,-0.0050486+0.0010547i,-0.0033105-0.013086i,0.0095134-0.0074853i,-0.0070577+0.013346i,0.0014398-0.00028343i,0.00037726+0.0013114i,-0.0010344+0.00027116i,-0.0026458-0.0036924i,0.0057421-0.0030345i,-0.0041341-0.0066572i,0.0020767+0.0033217i,-0.00069192-0.004874i,-0.0035791-0.0038656i,-0.0013514+0.0038713i,0.0004477-0.0033632i,0.00040008-0.0033313i,0.018612-0.010468i,0.0030548+0.0073642i,-0.00037122-0.0024155i,-0.0031343-0.00057468i,-0.0057231-0.0044158i,0.002173+0.0083802i,-0.00056297-0.00156i,0.0019896-0.00085318i,-0.003495-0.0023991i,-0.00089496+0.00091522i,0.0030298+0.0012104i,-6.842e-05+0.0012688i,0.0063587-0.0025345i,-0.0035921+0.0014469i,-0.0029259+0.0073581i,0.012267+0.013584i,0.0024238-0.019444i,-0.023772+0.0014968i,-0.022387+0.0035267i,0.0078537-0.0057002i,0.0182+0.0023257i,-0.0066895-0.00219i
0.035092-0.012912i,0.014715-0.0064141i,0.021035-0.012812i,0.012524-0.0096352i,0.011487-0.012913i,-0.0027761-0.0063588i,0.014368-0.0028728i,0.00095993-0.014886i,-0.0051516-0.011709i,0.0019784+0.00081809i,-0.0014841-0.0010358i,-0.0010565-0.0017034i,0.0021809+0.0019972i,0.00097775-0.0013777i,0.00016161-0.0011717i,0.0031817-0.0021543i,-0.0041036-0.0038646i,-0.00017365-0.00042852i,0.0007792+0.00063555i,-0.0016173+0.0013022i,-0.0018963+0.0015545i,-0.0004439+0.00045051i,0.00042573+0.001277i,-0.0059682-0.0027823i,0.0024406-0.0024636i,-1.283e-05-0.00070053i,-0.00049895+0.00062487i,0.0014802+0.00027438i,0.0011053+0.00024523i,0.001429-6.3946e-05i,0.0019709+0.0012438i,0.0022633+0.002319i,7.7939e-05+0.0014676i,0.00032876-0.00020919i,0.00065475+0.00042376i,0.0049131+0.0036222i,-0.00063871-9.0516e-05i,-0.00017978-0.00046617i,0.0016296-0.0010881i,0.00028615+6.5927e-05i,-0.00078468+0.0018145i,-0.0017032+0.0015894i,0.0022427+0.00040208i,0.0034954+0.0029203i,0.015012-0.022067i,0.0074414+0.0099371i,0.017548+0.015017i,-0.0026133+0.01055i,0.011136-0.020747i,-0.00038416+0.0034948i,-0.0054511+0.022379i,-0.017173+0.021221i,0.0023867+0.026806i,-0.010912+0.0019468i,0.0056582-0.0069011i,0.0027711+0.0033534i,0.0048415-0.0010063i,0.0039845+0.012736i,-0.0043593+0.0040872i,-0.010198-0.0078149i,0.0055944-0.0091754i,-0.0034369+0.014073i,0.0012625-0.0021122i,0.00084092+0.00076961i,-0.0011784+0.00034069i,-0.0021996-0.0025222i,0.0046116-0.0038163i,-0.0059841-0.0058712i,0.0028693+0.0011048i,-0.0039614-0.0053219i,-0.0044251-0.0020767i,0.00097972+0.0028862i,-0.00046358-0.0038127i,-0.00074543-0.003851i,0.0086299-0.016798i,0.0048919+0.0045933i,-0.00097417-0.0025808i,-0.0037066-0.00041399i,-0.0065762-0.0016167i,0.0034766+0.006986i,-0.001422-0.0027179i,0.0024124-0.0020094i,-0.0042222+0.0069044i,-0.00019216+0.00017588i,0.0036289+0.00076165i,0.00069934+0.001815i,0.004368-0.0026263i,-0.0044359+0.0027665i,-0.0012967+0.00697i,0.016246+0.011269i,-0.0085334-0.021241i,-0.027675+0.00356i,-0.019535+0.010368i,0.003531-0.0034398i,0.015474-0.0028513i,-0.0069196-0.0034299i
0.032169-0.018419i,0.014228-0.0092484i,0.017425-0.01527i,0.0080893-0.010726i,0.0085359-0.015755i,-0.003772-0.005674i,0.015496-0.0063962i,-0.0017873-0.01476i,-0.0070216-0.011344i,0.0028739+0.00068864i,-0.0010696-0.00029607i,-0.0017685-0.00083195i,0.0027724+0.0011452i,0.00056499-0.0014484i,0.00011584-0.0011368i,0.003248-0.0027419i,-0.0049336-0.0022431i,-1.8327e-05-0.00036407i,0.00064674+0.00012969i,-0.0010741+0.0017038i,-0.0013328+0.0018901i,-0.00064346+0.00036587i,0.00075258+0.0011431i,-0.0053692-0.00038067i,0.0010126-0.0028995i,-0.00028115-0.00054512i,-0.0001735+0.00071465i,0.0014541-6.1872e-05i,0.00087074+0.00016055i,0.0012138-0.00053465i,0.0023355+0.00034964i,0.0027729+0.0014931i,0.00081479+0.0013326i,0.00047617-0.00017062i,0.0009334+0.00062969i,0.004919+0.0012368i,-0.00065874+0.00065598i,-0.0002034-0.00023723i,0.0011648-0.0016633i,0.00072986-0.00030311i,-4.449e-05+0.0018913i,-0.001081+0.0024117i,0.0023411-0.00025988i,0.0035555+0.0022506i,0.0097453-0.02453i,0.0080584+0.0057959i,0.018906+0.010564i,-9.0835e-05+0.008974i,0.0040099-0.02272i,-0.00036183+0.0055631i,0.0012944+0.022593i,-0.0099716+0.021325i,0.010489+0.022564i,-0.0078687+0.0060007i,0.0041631-0.0074081i,0.0038188+0.0018595i,0.0040968-0.002409i,0.008079+0.0091435i,-0.0017239+0.0052814i,-0.012363-0.001089i,0.0019744-0.0095831i,-0.00039319+0.013467i,0.0010405-0.0030592i,0.00044599+0.00025468i,-0.0011477+0.0008526i,-0.0019391-0.0020074i,0.0033746-0.0034205i,-0.0074259-0.0039851i,0.0022565-0.00016978i,-0.0068039-0.0025912i,-0.0040681-0.00051209i,0.0016321+0.00094693i,-0.0014212-0.0041588i,-0.0021693-0.0034767i,0.00061699-0.015802i,0.0055056+0.0018044i,-0.0019626-0.0024463i,-0.003777+0.0010057i,-0.0057739+0.00097563i,0.0050163+0.006067i,-0.0035083-0.0029201i,0.0019964-0.003627i,-0.0007749-0.0041226i,-0.00026354-0.001018i,0.0043477+1.8996e-05i,0.0014111+0.0018393i,0.0024859-0.0021147i,-0.0044611+0.0045518i,-0.00012291+0.0062581i,0.020096+0.0066995i,-0.018706-0.017303i,-0.030342+0.0076739i,-0.014173+0.012834i,0.0025343-0.0015717i,0.010454-0.0049509i,-0.0095492-0.0039825i
0.027874-0.023216i,0.012812-0.012593i,0.014172-0.017341i,0.0050055-0.010696i,0.0048215-0.017819i,-0.004585-0.0050098i,0.01526-0.011737i,-0.0043906-0.014129i,-0.0091675-0.010568i,0.0036632+0.00052959i,-0.00046962-0.00015525i,-0.0018704+0.00034315i,0.0028213+0.00011866i,0.0003024-0.0011795i,-3.6252e-05-0.0012375i,0.0029737-0.0036036i,-0.0050626-0.00076067i,0.00012425-0.0003242i,0.00047177-0.00010973i,-0.0004434+0.0018458i,-0.00090353+0.0022745i,-0.00076993+0.00049582i,0.001002+0.00080354i,-0.0039841+0.0018488i,-0.00016175-0.0029021i,-0.00044534-0.00032227i,3.9775e-05+0.0006192i,0.0012279-0.00046632i,0.00093992+4.7907e-05i,0.0007863-0.00095962i,0.0023985-0.00062441i,0.0031119+0.0007262i,0.0013702+0.001107i,0.00053342-0.00049147i,0.0015273+0.00040073i,0.0046492-0.00050602i,-0.00018535+0.001446i,-0.00019147-1.2365e-06i,0.00033539-0.0016872i,0.00095115-0.00088294i,0.00048781+0.00192i,0.00013709+0.0025765i,0.0020346-0.0010125i,0.0039087+0.0022658i,0.0045615-0.025465i,0.0068742+0.0030353i,0.019204+0.0068039i,0.0015704+0.0081667i,-0.0022182-0.023783i,0.0026252+0.0078693i,0.007571+0.02016i,-0.0029384+0.019542i,0.015779+0.015714i,-0.0027156+0.0078553i,0.0024299-0.0079008i,0.0038487-0.00074245i,0.0030167-0.0040879i,0.0091457+0.0039857i,-0.00019846+0.0047208i,-0.011728+0.0057959i,-0.0017466-0.0086189i,0.0023975+0.011474i,-0.0043774-0.003564i,-0.00024634+0.0006281i,-0.00076264+0.0014305i,-0.0014325-0.0019678i,0.0034988-0.002164i,-0.0070407-0.001001i,0.0020347+3.6763e-05i,-0.0069418+0.00083868i,-0.0028911+0.00035617i,0.0013027-0.0001969i,-0.0034848-0.0042296i,-0.0032028-0.0022928i,-0.0048915-0.013959i,0.0050854-0.00084047i,-0.0027522-0.0016383i,-0.002656+0.002036i,-0.0042391+0.0022741i,0.0068459+0.0046551i,-0.0050436-0.0011008i,0.00056995-0.0048584i,-0.0027295-0.0027465i,-0.0012934-0.0015302i,0.0049863-0.0016764i,0.0022877+0.0018223i,0.00213-0.0015688i,-0.0026287+0.0061528i,0.00046955+0.0054278i,0.022773+0.00036957i,-0.02387-0.008874i,-0.032025+0.013628i,-0.0096891+0.013466i,0.0015098+3.414e-05i,0.007094-0.0031859i,-0.011618-0.002744i
