-0.023089-0.019242i,-0.032472-0.03318i,-0.022413-0.01962i,-0.032528-0.02009i,-0.023934+0.0043095i,-0.028754-0.017369i,-0.057708-0.043744i,-0.040975-0.041698i,-0.030755-0.023434i,0.0053034+0.005749i,-0.0035221+0.0063988i,-0.011049+0.010985i,0.0039814+0.0069214i,-0.0037357-0.0027346i,0.0029444+0.0016039i,0.0042082+0.02788i,0.026277+0.032208i,0.00011436+0.00030311i,-0.0029095-0.00285i,0.0074935+0.0039816i,0.0021257+0.00069448i,-9.7404e-05+0.0025586i,-0.00060432+0.00031555i,-0.032468-0.00079832i,-0.0031524-0.0048022i,0.00013575+0.0024723i,0.0039041-0.0011232i,0.00076575-0.00017529i,-0.00044528-0.00056951i,-0.0010299-0.0018691i,-0.0022079-0.00058234i,-0.0037846-0.0038686i,-0.0029287-0.0053161i,0.00036251-0.0011824i,0.00069731-0.0030126i,-0.0015273+0.025246i,0.0021127-0.0030338i,0.0022348-0.0039451i,0.0045198-0.0025256i,-0.0065329-0.0016429i,0.00076863+0.0010368i,0.010186-0.00041258i,-0.0026145+0.00015412i,-0.0030855+0.0015441i,-0.0085899-0.0026277i,-0.018674+0.021431i,-0.0081343-0.086437i,-0.0024917-0.061032i,-0.021567-0.05361i,-0.010963-0.045915i,0.054277-0.026513i,0.024245-0.067735i,0.041112-0.053779i,0.01858-0.038863i,0.02608-0.019761i,0.012258+0.011933i,0.025459-0.029409i,-0.011414-0.001302i,-0.00089224-0.0011768i,-0.0075244-0.0015834i,-0.0051974-0.029006i,-0.020225+0.027265i,0.0076651-0.0094384i,-0.01042-0.0033228i,-0.0024658-0.0019559i,-0.00069547-0.014605i,-0.0082549+0.0047942i,0.005209+0.0103i,-0.0098552+0.030836i,0.0066089+0.0075616i,-0.0036548-0.0016758i,-0.0024284-0.0015277i,-0.013171-0.005558i,0.00045356-0.0039091i,-0.033306+0.0032439i,0.0032081-0.0087289i,-0.0071738-0.001829i,-0.0052224-0.0028989i,0.0069128+0.0018022i,-0.010321+0.00055273i,0.002425-0.00027894i,0.0059626+0.0079134i,0.0058552+0.00090071i,-0.00818-0.0098566i,0.0025703+0.008203i,-0.019646+0.0075598i,0.0030185+0.0058469i,-0.020996-0.0089797i,-0.027391-0.0051752i,0.0096496-0.061741i,0.018774-0.014117i,-0.051301-0.028913i,-0.023566+0.0030763i,0.019257+0.010355i,-0.027285+0.011694i,-0.01266-0.0080221i
0.0058402+0.0047346i,0.036906+0.014766i,0.019609-0.0043699i,0.013148+0.0020826i,0.0084902-0.0019895i,0.01577-0.0075484i,0.012508+0.014246i,0.018913+0.020423i,0.0010212-0.0023555i,0.0012053+0.00082707i,0.0023843-0.0011263i,0.0011457-0.0038198i,0.00011289-0.0012083i,0.0021419-3.2361e-07i,0.0051513-0.0012054i,0.0060233+0.00042224i,0.005603-0.0050952i,4.8808e-05-0.0010147i,-0.0021189-9.7423e-05i,0.00045958+0.00076161i,0.00020473-0.00021579i,-0.0021515-0.00044873i,-0.0015344-3.9496e-05i,0.0061543+0.0076331i,-0.0005671+0.00017935i,0.00036161+0.00083009i,0.00094471+0.00092359i,-6.5835e-06+0.0012514i,-0.00034496-0.0002557i,-0.0012202+6.2406e-06i,0.00050832-0.0010988i,-0.00045164+0.00040049i,0.00012376+0.00074384i,-1.9313e-05+0.00058692i,-0.00039147-0.00096367i,-0.0086628+0.0068386i,0.00046735+0.00039295i,-0.00044387+6.0434e-05i,-0.00034712+0.0015125i,-0.000315-0.0028043i,-0.00063081+0.00026683i,-0.00050962-0.00017641i,0.00057712+0.0016002i,0.0036237-0.0024892i,0.0003666+0.0030831i,-0.050085+0.0094149i,-0.0035242+0.029599i,-0.013946+0.041007i,-0.0089832+0.06512i,-0.016836+0.044252i,-0.0055845+0.019843i,-0.0079647+0.014403i,-0.045547+0.0041753i,-0.024674-0.0077578i,0.014987+0.025945i,0.0004659+0.005331i,-0.0073484+0.0018019i,-0.013976-0.0020396i,0.0039174-0.0002161i,0.0076982+0.013228i,-0.0058967+0.0062562i,-0.0048207-0.0063618i,0.0056123-0.0026277i,-0.0065462-0.0053531i,0.0037268-0.0066343i,0.0040151-0.0022914i,-0.002434+0.010122i,0.011155-0.0054364i,0.0063279-0.0045904i,0.0052309-0.0082176i,0.0029304+0.00071728i,-0.0018567-0.0059608i,-0.0035791-0.0013036i,0.0021343-0.0016434i,-0.010226+0.03092i,-0.0041278-0.0053297i,0.0032894+0.00016199i,-0.00055631-0.007193i,0.0032738-0.0017399i,-0.013394-0.0059158i,0.00084469+0.00089333i,0.0041615-0.0016553i,0.0024676-0.00098536i,0.0013164-0.0054731i,-0.0022048+0.0055646i,-0.00050863+0.0058223i,-0.0048642+0.0068354i,-0.0049755+0.0022247i,-0.005654-0.0001626i,-0.023608+0.019924i,-0.00885+0.014445i,-0.021896-0.01124i,-0.0083505-0.009776i,0.0088407+0.020517i,-0.00043037+0.019947i,-0.0088276-0.0041757i
0.0061611+0.002702i,0.038538+0.0071374i,0.018535-0.0080601i,0.013737+0.00069172i,0.0092386-0.0034086i,0.014243-0.010686i,0.013315+0.011223i,0.021853+0.01638i,0.00035596-0.0026951i,0.0015453+0.00026907i,0.0022927-0.0015471i,-0.00042984-0.0026036i,-5.1631e-05-0.00066089i,0.0021097-7.6886e-05i,0.0044573-0.0023004i,0.0054597-0.00040329i,0.0032597-0.0055123i,0.00012151-0.00089497i,-0.002281+0.0001715i,0.00092308+0.00016796i,2.9223e-05-0.00058168i,-0.0022021+9.8928e-05i,-0.0014861+0.00015337i,0.0097054+0.0044269i,-0.00093438+0.00095519i,0.00094754+0.00051119i,0.0010619+0.00030019i,0.00050634+0.0010697i,-0.00075725+0.00028726i,-0.0012408+0.00049386i,-9.8134e-05-0.0011519i,-0.00053875+1.5135e-05i,0.00023083+0.0006009i,0.00028689+0.00055716i,-0.00077289+6.9244e-05i,-0.0058688+0.0086895i,0.00027709+0.00019142i,-0.00029517+0.00039222i,0.00023356+0.0012398i,-0.001075-0.0021758i,-0.00041601+0.00017398i,-0.00065326+0.00013279i,0.00077984+0.001498i,0.002406-0.0026248i,0.0017348+0.0029983i,-0.044829+0.017476i,-0.00061251+0.030512i,-0.0051897+0.041388i,0.0076322+0.06211i,-0.005781+0.043444i,-0.0075664+0.015903i,-0.010911+0.011749i,-0.047146+0.0075049i,-0.021029-0.0095722i,0.020851+0.020343i,0.00036937+0.0050824i,-0.0061557+0.0069638i,-0.01364+0.0027433i,0.0023565-0.0020079i,0.010142+0.010995i,-0.0022552+0.010565i,-0.0085868-0.004977i,0.0024969-0.0042807i,-0.0067185-0.0019214i,-0.00071164-0.0064774i,0.0024538-0.0039226i,0.0023322+0.0080931i,0.0069526-0.0082034i,0.0027468-0.0061455i,0.00099333-0.0055672i,0.0040608-0.00016235i,-0.0030958-0.0048061i,-0.0019154+0.00092563i,0.0020659-0.0019494i,0.0058301+0.031048i,-0.005666-0.0045801i,0.0035818-0.0018158i,-0.0038653-0.0061716i,0.0033112-0.0025404i,-0.013595+0.00042629i,0.0017151+0.0012056i,0.0033156-0.0020134i,0.0028029-0.0020288i,-8.1458e-05-0.0056748i,-0.00056375+0.002992i,0.0017988+0.0047962i,-0.0011355+0.0080559i,-0.0037172+0.0043786i,-0.0065589+0.0007763i,-0.018173+0.018666i,-0.0063925+0.01666i,-0.024863-0.0061304i,-0.011634-0.012796i,0.012084+0.019938i,0.0033815+0.021486i,-0.011607-0.0036889i
0.0057018+0.0011915i,0.038155-0.001227i,0.017142-0.012423i,0.015069-0.0021765i,0.010077-0.0055806i,0.011852-0.013784i,0.013312+0.0082037i,0.024111+0.011662i,-8.1239e-05-0.0025226i,0.001242-0.00030712i,0.0018008-0.0024851i,-0.00046799-0.0012387i,-5.7352e-05-0.00064441i,0.0021187-0.00048678i,0.0035146-0.0031302i,0.0047332-0.0011963i,0.0014979-0.0053426i,-0.00011358-0.001074i,-0.0023383+0.0010828i,0.00077249-0.00074841i,-0.00067899-0.00089623i,-0.0019497+0.00069894i,-0.0015735+0.00041875i,0.010304-0.0004737i,-0.00025702+0.0014531i,0.00086358-0.00011128i,0.00076712-0.00012557i,0.00091363+0.00057118i,-0.00043048+0.00068144i,-0.0010431+0.00095986i,-0.00066807-0.00092302i,-0.0010851+0.0005308i,0.00045492+0.00050986i,0.00042238+0.00027828i,-0.00029089+0.00070688i,-0.0029706+0.009631i,0.00015553+0.00025839i,-3.8562e-05+0.00035126i,0.00047612+0.00096691i,-0.001682-0.0013849i,-0.00031464-9.5804e-06i,-0.00046341+0.00041123i,0.0010723+0.001562i,0.0018134-0.0026655i,0.0036517+0.0020056i,-0.038752+0.023681i,0.0038368+0.031412i,0.0035565+0.038381i,0.022797+0.053641i,0.0039681+0.042228i,-0.010821+0.01486i,-0.013455+0.01221i,-0.048139+0.013835i,-0.020047-0.012751i,0.024146+0.01225i,0.00063736+0.0049153i,-0.0035597+0.0086463i,-0.012844+0.0062942i,-1.4335e-05-0.0038049i,0.012492+0.0080465i,0.0028447+0.011555i,-0.011185-0.0021573i,0.00058719-0.0029842i,-0.0060043+0.00087908i,-0.0028388-0.0041621i,0.0005426-0.0038113i,0.0047669+0.0070466i,0.0039827-0.0085256i,-0.0011046-0.0052468i,0.00078008-0.0030539i,0.0043952-0.0023269i,-0.0051872-0.0033477i,-0.00057926+0.00072017i,0.00085314-0.0024375i,0.018794+0.023559i,-0.007574-0.0023992i,0.0030098-0.0032153i,-0.0039381-0.0041612i,0.003634-0.0040607i,-0.010712+0.0057907i,0.00341+0.00064065i,0.0022556-0.0025861i,0.001935-0.0024387i,-0.0019427-0.0047141i,-0.0013976+0.0027887i,0.0030164+0.003113i,0.0022855+0.0080683i,-0.0022927+0.0048528i,-0.0072452+0.0027655i,-0.015658+0.016939i,7.2876e-05+0.017509i,-0.025578-0.0016302i,-0.015933-0.013692i,0.01699+0.016669i,0.0086583+0.022381i,-0.013788-0.0016169i
0.0050735+0.0003315i,0.034923-0.0081953i,0.013776-0.016607i,0.014947-0.0063438i,0.0098304-0.0086795i,0.0085189-0.015868i,0.012867+0.0062074i,0.024716+0.0066899i,-0.00017158-0.0027919i,0.00068631-0.00030197i,0.00067146-0.0027286i,-9.8861e-05-0.00068018i,-0.00048794-0.00038807i,0.0017976-0.00067585i,0.0023059-0.0035981i,0.004034-0.001452i,0.00014388-0.0046568i,-0.00033024-0.00097694i,-0.0013699+0.0019573i,6.9923e-05-0.0011112i,-0.0011959-0.00038596i,-0.0015415+0.0013643i,-0.0014871+0.00092205i,0.0082462-0.0042321i,0.0003429+0.0013915i,0.00053837-0.00024762i,0.00060425-0.0001627i,0.00077896+0.00010184i,-3.6717e-05+0.00060093i,-0.00063885+0.0014345i,-0.0010874-0.00036911i,-0.0006433+0.0012189i,0.00056053+0.0001982i,0.00033673+9.8912e-05i,0.00020642+0.00075951i,5.7832e-05+0.0097036i,0.00025959+0.00024739i,-4.7806e-05+0.00020354i,0.0005733+0.00086468i,-0.0018038-0.0004996i,-0.00042133-7.415e-05i,-0.00028862+0.0004258i,0.0015525+0.0014836i,0.0013328-0.0027213i,0.0051742-0.00034161i,-0.031359+0.028507i,0.0093394+0.031301i,0.0087489+0.034563i,0.034925+0.040291i,0.013573+0.036951i,-0.014563+0.017234i,-0.016505+0.014915i,-0.047094+0.021657i,-0.02202-0.015778i,0.024764+0.0033646i,0.0011374+0.0053952i,-0.00085644+0.011197i,-0.01088+0.0099072i,-0.0042868-0.0029522i,0.014494+0.0031267i,0.0079566+0.0099749i,-0.012642+0.0017944i,-0.00017777-0.0024532i,-0.0043412+0.0026431i,-0.0035645-0.0013475i,-0.00033736-0.0033454i,0.0069465+0.0039114i,0.0013445-0.0084861i,-0.0034489-0.0021226i,0.001467-0.001854i,0.0031784-0.004368i,-0.0057957-0.0001332i,0.00043031+0.00091153i,0.00019652-0.0021016i,0.026034+0.011664i,-0.0078985+0.0014068i,0.0020952-0.0044618i,-0.004144-0.002457i,0.0021702-0.0062381i,-0.0058615+0.0079534i,0.0045176-0.001316i,0.0012383-0.0021166i,0.0012264-0.0025211i,-0.0024915-0.0029817i,-0.0015516+0.0037122i,0.0031772+0.0013109i,0.0057329+0.0066223i,-0.0011189+0.0045972i,-0.00718+0.0051849i,-0.013969+0.017891i,0.0090414+0.012661i,-0.024259+0.00346i,-0.021664-0.012363i,0.018902+0.011667i,0.015149+0.020588i,-0.013445+0.00027084i
0.0049421-0.00022295i,0.031623-0.012934i,0.009632-0.01918i,0.013595-0.010342i,0.0083244-0.011659i,0.005348-0.017004i,0.012655+0.0050884i,0.024405+0.0024382i,-0.0002008-0.0032252i,0.00027281-0.00013844i,-0.00036049-0.0023948i,0.00026093-0.00058743i,-0.00063557+0.00024422i,0.0014672-0.00092676i,0.0012038-0.0034869i,0.0037763-0.0013555i,-0.00058196-0.0037962i,-0.00075116-0.00085656i,-0.00048631+0.0018629i,-0.00057859-0.00097609i,-0.0012885+0.00010489i,-0.00078513+0.0017138i,-0.0011148+0.0014029i,0.0052953-0.0064283i,0.00072512+0.0010972i,0.00038101-0.00027591i,0.00046241-0.00030216i,0.00049631-9.103e-05i,3.9444e-05+0.0005421i,0.00010489+0.0016845i,-0.0010504+0.00022053i,-2.951e-05+0.0013631i,0.00046164-0.00010468i,0.0003567+0.00024982i,0.00076471+0.0006746i,0.0027421+0.0089658i,0.00017041+0.00024884i,-0.00020949+0.00024026i,0.0008989+0.00074719i,-0.0015936+0.00012199i,-0.00059253-0.00021746i,-0.00017763+0.00042468i,0.0018802+0.00097312i,0.00056059-0.0030323i,0.0051035-0.0032736i,-0.022989+0.030964i,0.015752+0.029581i,0.014317+0.032081i,0.039583+0.02462i,0.019216+0.029966i,-0.015562+0.023173i,-0.017148+0.021388i,-0.04423+0.030887i,-0.026812-0.01642i,0.020643-0.003986i,0.002507+0.0056512i,0.0042539+0.010989i,-0.0077413+0.012638i,-0.0059898+0.00062064i,0.013455-0.0032422i,0.011886+0.0064521i,-0.012439+0.0061545i,-0.00042296-0.0008355i,-0.0026696+0.0035484i,-0.001936+0.00055192i,-0.0019938-0.0022613i,0.006963+0.001008i,-0.00094956-0.0075597i,-0.0032057+0.0011748i,0.0028199-0.0022409i,0.0012242-0.0054139i,-0.0039905+0.0017769i,0.0016627+0.00031964i,7.9121e-05-0.0015733i,0.026803-0.00079581i,-0.0056441+0.0043489i,0.00049209-0.0052308i,-0.0032903-0.0017135i,-0.00021199-0.0069215i,-0.002038+0.0077101i,0.0038086-0.0033486i,0.0012049-0.0010343i,0.0013349-0.0022281i,-0.0015926-0.0023459i,8.7088e-05+0.0045675i,0.0021046+7.8851e-05i,0.0073695+0.0032719i,-0.00060559+0.0034569i,-0.0055189+0.0078988i,-0.010605+0.01907i,0.012181+0.0013935i,-0.020341+0.0054855i,-0.026974-0.0091449i,0.01988+0.0066749i,0.020199+0.014339i,-0.014051+0.00064051i
0.0049488-0.0011556i,0.028645-0.017258i,0.0057922-0.020782i,0.011256-0.014243i,0.0062035-0.014066i,0.0019988-0.017743i,0.013467+0.0041583i,0.023879-0.0015623i,-0.00036111-0.0039323i,-0.00019246+0.00018697i,-0.00078974-0.0017305i,0.00045004-0.00058132i,-0.00020417+0.00088592i,0.0010838-0.00096393i,0.00039965-0.0031873i,0.003986-0.0014185i,-0.00087466-0.003338i,-0.00080723-0.00054285i,0.00013486+0.0016568i,-0.00097729-0.0006345i,-0.00095647+0.00041146i,0.00015094+0.0015009i,-0.00053911+0.0016337i,0.0019625-0.0072835i,0.0011733+0.00078001i,0.00023427-0.00036436i,0.00032353-0.00044992i,0.00033557-0.00015392i,0.00018584+0.000527i,0.00076274+0.0013569i,-0.00078377+0.00056267i,0.00054276+0.0012236i,0.00024633-0.0001876i,0.00057369+3.1276e-05i,0.0010015-4.0203e-05i,0.0045679+0.0074673i,0.00026402+0.00026008i,-0.00014436+0.00044091i,0.0009239+0.00037939i,-0.0011312+0.00050897i,-0.00094257-0.00010374i,-1.518e-05+0.0002819i,0.002087+0.00066167i,-0.00023133-0.0027445i,0.0041945-0.0058604i,-0.015346+0.030894i,0.021629+0.02549i,0.02019+0.028092i,0.039393+0.010358i,0.022199+0.023256i,-0.01256+0.029803i,-0.013518+0.028814i,-0.036954+0.041283i,-0.031848-0.013642i,0.015615-0.007693i,0.0038684+0.0048296i,0.0077444+0.0085263i,-0.0038773+0.014731i,-0.0053423+0.0034668i,0.0092715-0.0088862i,0.013333+0.00080292i,-0.010575+0.0092603i,0.00058811-6.966e-05i,-0.00083513+0.0034261i,-0.00045845+0.00048724i,-0.0020653+7.6078e-05i,0.0056645-0.00076813i,-0.0026078-0.0059203i,-0.0010876+0.003109i,0.0029071-0.004078i,-0.0009859-0.0051222i,-0.0027512+0.0020174i,0.0019968-0.0010305i,0.00072479-0.0014866i,0.022206-0.011409i,-0.0025946+0.0053566i,-0.0011794-0.0048696i,-0.003149-0.0012717i,-0.0027673-0.0064873i,0.00061364+0.0066929i,0.0029634-0.004608i,0.0020695-0.001116i,0.001147-0.0031398i,-0.0011914-0.0027185i,0.0014135+0.0046274i,0.00098143+0.00025045i,0.0069711+0.00077998i,-0.0010542+0.0026243i,-0.0024286+0.0094854i,-0.0069585+0.018752i,0.007969-0.0079096i,-0.017962+0.0032302i,-0.03214-0.0028275i,0.018438+9.3399e-05i,0.021084+0.0076478i,-0.015177+0.0024981i
0.0048149-0.0019415i,0.024744-0.021558i,0.0013876-0.022428i,0.0071791-0.017933i,0.0034789-0.016291i,-0.0016125-0.017556i,0.015033+0.0023847i,0.022729-0.0056288i,-0.0009427-0.0045647i,-0.00037086+0.0011076i,-0.0011678-0.0012368i,0.0005127-0.0011716i,0.00032655+0.0010156i,0.00069635-0.00082534i,-0.00017129-0.0027455i,0.0042554-0.002029i,-0.0013368-0.0031777i,-0.0010667-0.00036095i,0.00082101+0.0012263i,-0.0014078-0.00014145i,-0.00094951+0.00047867i,0.00063586+0.00082612i,-7.7047e-05+0.0016339i,-0.0014218-0.0066052i,0.0012797-0.00023186i,-5.897e-06-0.00023414i,-0.00018004-0.00053492i,0.00016012-0.00010636i,0.00048371+0.00033017i,0.0010712+0.00079513i,-0.00034065+0.00072223i,0.00076096+0.00098009i,-2.6417e-06-7.2094e-05i,0.00045977-0.0001969i,0.00050488-0.00077804i,0.0057742+0.0059492i,0.00033436+0.00023496i,-6.9943e-05+0.00052069i,0.00098317+0.00020241i,-0.00051772+0.00062633i,-0.0011409+0.00033315i,2.9588e-05+0.00025446i,0.002334+9.8977e-05i,-0.00096945-0.0022672i,0.0021781-0.0080586i,-0.009016+0.029229i,0.0258+0.01992i,0.025339+0.022798i,0.035061-0.001298i,0.023305+0.018021i,-0.0063342+0.034238i,-0.0046773+0.033753i,-0.024774+0.048123i,-0.035631-0.0080302i,0.010727-0.0092496i,0.0047179+0.0035655i,0.0093702+0.0047141i,0.00056624+0.014941i,-0.0044151+0.00518i,0.0017816-0.010778i,0.011413-0.0043958i,-0.0081471+0.011702i,0.0015953-0.0011175i,0.00047011+0.0025358i,-4.7861e-05-0.00025854i,-0.00033649+0.0014594i,0.0045362-0.00097i,-0.0032487-0.0045606i,0.0012304+0.0033319i,0.0014904-0.006186i,-0.0024768-0.0040366i,-0.0017177+0.0022709i,0.0013805-0.0024175i,0.00082967-0.0022343i,0.014126-0.017539i,3.0182e-05+0.0050287i,-0.0021378-0.0040751i,-0.0028315-0.0011398i,-0.0045882-0.0053958i,0.0021928+0.005283i,0.0016026-0.0063525i,0.0024392-0.0020097i,-2.5781e-06-0.0037002i,-0.0020855-0.0032558i,0.0036134+0.004471i,0.00057847+0.0013056i,0.0064381-0.0010276i,-0.0019521+0.0027302i,0.00067594+0.0089254i,-0.0036385+0.018538i,0.00072729-0.013853i,-0.02011+0.00038746i,-0.033143+0.0059303i,0.012391-0.0041747i,0.020986+0.0020815i,-0.014487+0.0045663i
0.0048468-0.0029758i,0.020632-0.024396i,-0.0039643-0.022586i,0.0015896-0.019628i,-0.00017031-0.017652i,-0.0045478-0.016347i,0.016586-0.00045198i,0.020699-0.0091923i,-0.0014072-0.0054088i,0.00039103+0.0021221i,-0.001385-0.00034291i,-0.00032667-0.001502i,0.00087852+0.0010435i,0.00066819-0.00054087i,-0.00042689-0.0023257i,0.0042261-0.0026325i,-0.0024599-0.0027024i,-0.0011775+0.00015614i,0.0011002+0.00044607i,-0.0014101+0.00075394i,-0.00082053+0.0008221i,0.00050543+9.4037e-05i,0.00037778+0.0015739i,-0.0037902-0.0044081i,0.00042581-0.00068898i,-4.2951e-05-7.0506e-05i,-0.00043182-0.0002744i,7.704e-05+1.2548e-05i,0.00043431-2.1294e-05i,0.0010891+0.00038226i,5.4082e-06+0.00067391i,0.00090855+0.00063863i,6.1954e-05+9.3206e-05i,0.00030394-0.0001928i,-0.00024633-0.0005168i,0.0065474+0.0041612i,0.00042415+0.00014984i,3.0707e-05+0.00066589i,0.001088-9.6894e-06i,0.0001042+0.00033471i,-0.0010037+0.00098101i,0.00015432+0.00017187i,0.0021227-0.00069366i,-0.0013948-0.0014755i,-0.00031844-0.0091814i,-0.0040835+0.02652i,0.028187+0.014291i,0.02967+0.01633i,0.028956-0.0090079i,0.023534+0.013873i,0.0010624+0.036289i,0.0046745+0.03372i,-0.011131+0.050162i,-0.036286-0.00097786i,0.007499-0.00917i,0.005463+0.0022583i,0.0089212+0.0013786i,0.0051708+0.013355i,-0.0028662+0.007136i,-0.004655-0.0078779i,0.0080682-0.0069616i,-0.0049787+0.013533i,0.0011927-0.0030132i,0.00069759+0.001596i,-0.00029739-0.00029822i,0.0016894+0.0013022i,0.0041436-0.0013564i,-0.0041585-0.0032776i,0.002933+0.002187i,-0.0019512-0.0071263i,-0.0031025-0.0026409i,-0.00025004+0.0017209i,0.00069345-0.0031863i,0.00040907-0.0034167i,0.0057407-0.019161i,0.0017283+0.0038961i,-0.0028019-0.0034816i,-0.0036544-0.001066i,-0.0060545-0.0036143i,0.0028078+0.0040848i,-0.00103-0.0074577i,0.002544-0.0031285i,-0.00093167-0.0032262i,-0.0027636-0.0029068i,0.0050441+0.0032284i,0.0010784+0.002102i,0.0048566-0.0026611i,-0.0021918+0.0037064i,0.0028251+0.0072745i,0.00075986+0.018178i,-0.0090986-0.01645i,-0.024009+0.00065958i,-0.030061+0.014011i,0.0072222-0.0034239i,0.018412-0.0039706i,-0.013163+0.0045978i
0.0046327-0.0045971i,0.01669-0.027095i,-0.0085271-0.020988i,-0.003453-0.018972i,-0.0039035-0.017956i,-0.0066752-0.015097i,0.017428-0.0044625i,0.018407-0.012203i,-0.0022757-0.0062779i,0.0017565+0.0021936i,-0.00092365+0.00040356i,-0.0010315-0.00090456i,0.0014232+0.00054036i,0.00072954-0.00051843i,-0.00058387-0.0020658i,0.004148-0.0032409i,-0.0030719-0.0014378i,-0.00079633+0.00036953i,0.00081075-0.00021099i,-0.00087821+0.0012548i,-0.0005052+0.00097578i,0.00014273-0.00026972i,0.00081682+0.0013397i,-0.0048194-0.0016678i,-0.00017509-0.0003628i,-2.918e-05-1.9979e-05i,-0.00051768-0.00014101i,7.1124e-05+4.808e-05i,0.00017283+1.7748e-05i,0.001016-7.9823e-05i,0.00034371+0.00051044i,0.00076576+0.00042265i,0.0002275+7.1232e-05i,0.00041852-0.00017122i,-0.00036894+9.1158e-05i,0.0066892+0.0024067i,0.00034283+9.3924e-05i,0.00038909+0.00074057i,0.0011111-0.00047996i,0.00039391-0.0001619i,-0.00041354+0.0012481i,0.00015939-4.0994e-05i,0.0015128-0.0013424i,-0.0015426-0.00076957i,-0.0029565-0.009592i,-0.0012337+0.023283i,0.029449+0.00911i,0.031697+0.0082428i,0.022319-0.014215i,0.023594+0.011876i,0.0089562+0.036075i,0.01279+0.031663i,0.0012264+0.047788i,-0.03452+0.0057017i,0.004888-0.0093921i,0.0061138+0.00025329i,0.0084911-0.00097095i,0.0089269+0.010034i,1.6574e-05+0.0076155i,-0.0077196-0.0029693i,0.0043132-0.0081163i,-0.0007389+0.013758i,-0.00066686-0.0038424i,6.2429e-05+0.0014925i,-0.00031588-3.9576e-05i,0.0027273+8.3016e-05i,0.0037157-0.0011375i,-0.0042884-0.0015223i,0.0035067+0.00064219i,-0.0048997-0.0053159i,-0.002848-0.0014487i,0.00017371+0.00040676i,-0.00016125-0.0039967i,-0.00076524-0.0038062i,-0.001305-0.017765i,0.0030451+0.0022229i,-0.0038416-0.0027906i,-0.0040701+0.00047592i,-0.0065724-0.0012689i,0.0033551+0.0032061i,-0.0043713-0.0071176i,0.0021682-0.0046739i,-0.0014221-0.0029665i,-0.0032686-0.0029998i,0.0063307+0.0019391i,0.0019714+0.0022991i,0.0031109-0.0025249i,-0.0018877+0.0044442i,0.0039196+0.0053249i,0.0055772+0.015857i,-0.019523-0.013858i,-0.027802+0.00333i,-0.024864+0.01819i,0.0049293-0.0021476i,0.013101-0.007274i,-0.014494+0.0050439i
0.0035963-0.0060789i,0.012316-0.029687i,-0.012024-0.01882i,-0.0074598-0.017239i,-0.0075985-0.017481i,-0.0088726-0.013927i,0.016915-0.0094788i,0.015788-0.014905i,-0.0038731-0.007075i,0.0029192+0.0016208i,-0.00023689+0.00067946i,-0.0011927+5.0709e-05i,0.0014748-0.00010321i,0.00082853-0.00058743i,-0.00088243-0.00197i,0.0039523-0.0040736i,-0.0031284-0.00016916i,-0.00057876+0.00027802i,0.00053067-0.00042842i,-0.00029654+0.0014174i,-0.00026124+0.0010752i,-0.00019096-0.0002783i,0.0010891+0.00094555i,-0.0043998+0.0010531i,-0.0001714+0.0001321i,-8.4521e-06+8.0094e-05i,-0.00055085+7.827e-05i,9.0477e-05+7.094e-05i,0.00020728+7.7238e-05i,0.00064816-0.00044835i,0.00052389+0.00016513i,0.00082575+0.00051161i,0.00031756+1.0295e-05i,0.00041975-0.0005203i,-3.9074e-05+0.00047071i,0.0066369+0.0010196i,0.00044907+5.6182e-05i,0.00074479+0.00061749i,0.00058397-0.00084248i,0.0006478-0.0005064i,0.00017145+0.0013024i,4.9233e-05-0.00010346i,0.00066403-0.0013575i,-0.0014237+0.00030679i,-0.0054629-0.0090818i,-0.00028571+0.021489i,0.03006+0.0040911i,0.0308+0.0018252i,0.015217-0.01765i,0.026049+0.01074i,0.016406+0.033343i,0.02108+0.027333i,0.012043+0.041827i,-0.029892+0.011181i,0.0024113-0.0091768i,0.0053006-0.0030142i,0.0078803-0.003771i,0.010162+0.0054227i,0.0018577+0.0065723i,-0.008109+0.0024431i,0.00055213-0.0076367i,0.0024247+0.011513i,-0.0028139-0.0030551i,-0.0002265+0.0022346i,-0.00025808+0.00016749i,0.0032878-0.0015618i,0.0044513-0.00042795i,-0.0034085-0.00048124i,0.0037567+0.00018741i,-0.0058634-0.0029113i,-0.0023074-0.00082049i,-0.00031523+3.5403e-05i,-0.0022382-0.0045102i,-0.0021199-0.0031807i,-0.0070078-0.01505i,0.0033378+4.8438e-05i,-0.0045724-0.001504i,-0.0031142+0.0016427i,-0.00615+0.0006431i,0.0040762+0.0023643i,-0.0068375-0.0048406i,0.00030821-0.0063684i,-0.0024167-0.0024994i,-0.0048438-0.0023619i,0.0072173-0.00055596i,0.0030333+0.0024049i,0.0028023-0.0022483i,-0.00084055+0.0055681i,0.0039575+0.0032198i,0.0092883+0.01158i,-0.025214-0.0054764i,-0.030965+0.008758i,-0.019859+0.021534i,0.0032306-0.00052729i,0.0088174-0.0070066i,-0.014773+0.0069318i
