-0.025798-0.00501i,-0.021056-0.0084888i,-0.013737-0.014594i,-0.03613-0.0093455i,-0.026982+0.0014913i,-0.036605-0.0029764i,-0.0687-0.035854i,-0.034056-0.014939i,-0.023999+0.002907i,0.0070283+0.0060178i,-0.0053014+0.0072903i,-0.0079673+0.018424i,0.0058533+0.0074093i,-0.00094669+0.0038429i,0.0041053+0.0043008i,0.0047485+0.025909i,0.021128+0.018368i,0.0011207-0.00079681i,0.00052062-0.0053013i,0.008679+0.00047175i,0.0052811-0.0010577i,0.0026127+0.0020793i,0.0011017-0.00024805i,-0.023723-9.9493e-05i,-0.0054523-0.0041166i,-0.00095188+0.0030817i,0.0035628-0.0036108i,-0.0020221-2.495e-05i,-0.00075613+0.0010882i,-0.0026188-0.001626i,-0.0041311-0.00041051i,-0.0069239-0.0088674i,-0.0065478-0.0049545i,-0.00071101-8.2402e-05i,-0.00060681-0.0024959i,-0.0014224+0.020039i,0.0025927-0.0042452i,0.0010951-0.0044533i,0.0028101-0.0021999i,-0.0026682-0.0032512i,0.00098279-5.4709e-05i,0.0081514-0.0010079i,0.003939-0.0031692i,0.0002217+0.0022627i,-0.013839+0.015791i,-0.026064+0.052598i,-0.0069002-0.036615i,-0.015881-0.018826i,-0.040403-0.015976i,-0.02791-0.011937i,0.033682-0.012203i,0.0053848-0.029576i,0.012714-0.038295i,-0.0095048-0.029461i,0.025482-0.023483i,0.013519+0.0070551i,0.027426-0.03755i,-0.0014742-0.0041678i,0.0058357-0.0090582i,-0.00062658-0.0056732i,-0.00018541-0.035369i,-0.012649+0.028596i,0.0088781-0.011724i,-0.0081078-0.0047981i,-0.0027753-0.002154i,-0.0005149-0.015571i,-0.0078995+0.0061281i,0.0038197+0.0065406i,-0.00068679+0.028508i,0.0024373+0.00032138i,-0.0070457-0.0043443i,-0.0039881-0.0063427i,-0.014162-0.010279i,-0.0028027-0.0059892i,-0.048054+0.0097644i,-0.0051281-0.0085581i,-0.013128-0.00081237i,-0.0090523-0.0045524i,0.0017266-0.0017477i,-0.014233+0.0025487i,-0.0013097-0.00049561i,0.0052127+0.0057852i,0.0031367-0.0051964i,-0.011542-0.0098333i,0.0077307+0.0081426i,-0.017812+0.0049697i,0.00509-0.00039694i,-0.019119-0.0024164i,-0.01615-0.0034693i,-0.016987-0.035395i,0.02044-0.01079i,-0.040007-0.023888i,-0.0094512+0.0037749i,0.018114+0.015776i,-0.020819+0.017558i,-0.0046316-0.0030145i
0.0075913-0.010604i,0.011789+0.0012178i,0.0087387+0.0035134i,0.015772-0.0034633i,0.019242-0.0015117i,0.016518-0.014053i,0.017807-0.00507i,0.012619-0.0010165i,0.0015715-0.0098486i,-0.0022832+0.001605i,-0.0011055-0.00050292i,-0.001383+0.00039953i,-0.00091984+0.0042653i,-0.0017936+0.0023436i,0.0010115+0.0028387i,0.0010469-7.0981e-05i,0.0028803-0.0024776i,0.00079226-0.0016939i,0.00059183+0.00089097i,9.728e-05+1.339e-05i,0.00076705-0.0028536i,-0.00089431-0.0019116i,-0.00066379-0.00030368i,0.0026088+0.0044306i,-0.0020044+0.00041595i,-0.0018105+0.0015289i,-0.0024421+0.00015421i,-0.0018908+0.00011206i,-0.0023565-0.00090996i,-0.0024864+0.00059174i,0.00053099-0.0015453i,0.0003124+0.0014402i,0.0014293+0.00039146i,0.0017702+0.00043003i,0.00079735-0.00042503i,-0.008162+0.0067732i,-0.001643-0.00061787i,-0.0012497+0.0002817i,-0.0026848-0.00031314i,0.0011016-0.0022523i,0.00013115-0.0013822i,0.0010092-0.001648i,-0.0013886+0.0013921i,0.0026918-0.00017458i,0.0017523-0.013003i,-0.022721-0.0067914i,-0.0007101-0.0051904i,-0.0064069+0.0032475i,0.016785+0.02012i,0.0020345+0.0043489i,0.014258-0.013339i,-0.011192-0.027456i,-0.0042209-0.012116i,0.0075372-0.0085126i,0.021476+0.019108i,0.0028109+0.0014018i,-0.0010512+0.00037629i,-0.0055543-0.0004588i,0.010781-0.003441i,0.013132+0.009107i,0.0030799+0.0049007i,-0.0037659-0.0066493i,0.0061944-0.0033076i,-0.0038313-0.0062631i,0.0030055-0.011264i,0.0061654-0.0066839i,-0.00091943+0.0073086i,0.0085246-0.0081123i,0.0049083-0.0081682i,1.7692e-05-0.0065897i,-0.0033065-0.0015108i,-0.006068-0.0063043i,-0.0055094-0.0009375i,-0.00073021-0.0015276i,-0.0059295+0.030556i,-0.010616-0.0030788i,-7.5637e-05+0.0028455i,-0.0060003-0.0047711i,6.048e-06+0.00065797i,-0.016369+0.0016111i,-0.0032203+0.0015786i,-0.0016163-0.0018084i,-0.0038738-0.00023296i,-0.0058297-0.0037785i,-0.0017704+0.0048284i,-0.001428+0.0021469i,-0.004546+0.005887i,-0.0057384+0.00090638i,-0.0023292-0.0011033i,0.0084395-0.0023025i,-0.0052694+0.017306i,-0.028068-0.0026184i,-0.0097878-0.0029563i,0.011318+0.015741i,-0.002268+0.016463i,-0.0072612-0.0042765i
0.0057877-0.01226i,0.01198-0.0025237i,0.0092849+0.0022772i,0.014448-0.0053677i,0.018912-0.0047828i,0.013747-0.016692i,0.014803-0.008451i,0.012292-0.0030863i,-0.00034972-0.010087i,-0.001269+0.0016739i,-0.00086543+0.00024523i,-0.0013763+0.0016274i,0.00033413+0.0043093i,-0.00082809+0.0029107i,0.0018045+0.0020201i,0.00081977+0.00028881i,0.0013231-0.0029971i,0.00069468-0.0018027i,-0.00089259-0.0005578i,0.00051014-0.00060612i,-5.5759e-05-0.00311i,-0.0015357-0.0014622i,-0.00064673-0.00055029i,0.0048523+0.0028221i,-0.0021037+0.0016738i,-0.00093301+0.0022014i,-0.0025026+0.00086335i,-0.0019704+0.00087442i,-0.0030503+0.00038675i,-0.002191+0.0018659i,-0.00074976-0.0014979i,0.00042087+0.00055688i,0.00094971-0.00023478i,0.0021781-0.00087541i,0.00041702-0.0001137i,-0.0060515+0.0089815i,-0.0022491+0.00020504i,-0.0012107+0.00098137i,-0.0029272+0.00096529i,0.00051942-0.0023391i,-8.8663e-05-0.0013526i,0.00034416-0.0019111i,-0.0014956+0.0017645i,0.0019943-0.00026607i,0.0001272-0.012538i,-0.02073-0.0041885i,-0.0019937-0.0033014i,-0.002898+0.0013587i,0.024904+0.01367i,0.0056169+0.0017042i,0.0080401-0.016694i,-0.01922-0.027109i,-0.0086423-0.012945i,0.010246-0.015802i,0.026466+0.01125i,0.00069052+0.00028115i,-0.0002065+0.0027518i,-0.0051072+0.0013232i,0.0077046-0.0068777i,0.014751+0.0047705i,0.0057452+0.0054249i,-0.0075913-0.0057998i,0.0025385-0.0050477i,-0.0048318-0.0041394i,-0.0025043-0.010087i,0.003345-0.0080349i,0.0026372+0.0055338i,0.0037344-0.0094709i,0.0010523-0.0081606i,-0.0031222-0.0032519i,-0.0024671-0.0002629i,-0.0075104-0.0039547i,-0.0055809-3.4315e-06i,-0.00025634-0.00092705i,0.006858+0.028524i,-0.012362+0.001297i,0.00059975+0.0018407i,-0.0068995-0.0039463i,0.00048123+0.00020329i,-0.01376+0.0086767i,-0.0021336+0.002897i,-0.0021329-0.00044186i,-0.0027035+0.00075149i,-0.0065887-0.0015383i,-2.1992e-05+0.002365i,-0.00046627+0.0017095i,-0.0010287+0.0068698i,-0.0039192+0.002229i,-0.0035754-0.00070617i,0.0093606-0.0088228i,-0.0019173+0.01943i,-0.028774+0.0031572i,-0.01085-0.0045084i,0.013177+0.013656i,0.00050168+0.018143i,-0.0093644-0.0031517i
0.0030769-0.013412i,0.010057-0.0069351i,0.010181+0.00022403i,0.013495-0.0072736i,0.018301-0.0080459i,0.010462-0.019174i,0.011341-0.011181i,0.011646-0.005331i,-0.0021264-0.0094366i,-0.0015789+0.001456i,-0.00057066+0.00019661i,-0.00058239+0.0024837i,0.0013948+0.0036655i,0.00016102+0.0027249i,0.0018666+0.0012683i,0.00080275+0.0005175i,-7.7906e-06-0.0026396i,0.0005805-0.0023873i,-0.0012213-0.00063398i,0.00012406-0.0015153i,-0.0012499-0.003226i,-0.0015006-0.00080547i,-0.0009625-0.00076693i,0.0052641+8.9751e-05i,-0.0013207+0.0026433i,-0.00022611+0.0023979i,-0.0024422+0.0021813i,-0.0015763+0.0016309i,-0.0027997+0.002098i,-0.0012649+0.0028378i,-0.00029192-0.00041731i,-7.2253e-05+0.0012687i,0.00069041-0.00032976i,0.00016807-0.0016764i,0.00043697+0.00026229i,-0.0031084+0.010628i,-0.0021703+0.0016162i,-0.00068127+0.0014224i,-0.0023572+0.0024295i,-9.3738e-05-0.0025325i,-0.00019685-0.0013929i,-0.00016995-0.0018376i,-0.0011279+0.0026472i,0.0020311+6.7986e-05i,-0.00072682-0.011931i,-0.019589-0.0018887i,-0.0012188+0.00092601i,-9.6462e-05-0.0019385i,0.032249+0.0036187i,0.0084029-0.00024192i,0.0017473-0.017194i,-0.026029-0.023642i,-0.01267-0.010733i,0.0086196-0.023793i,0.016685+0.0021592i,-0.0012934+2.8799e-05i,-0.00045734+0.0018431i,-0.0052425+0.0022555i,0.0024805-0.0098968i,0.015082-0.00024912i,0.0081276+0.0042857i,-0.010612-0.0035516i,0.00082388-0.0038002i,-0.0053457-0.0015267i,-0.0053398-0.0069407i,0.00055665-0.0078683i,0.0046089+0.0047586i,0.00062167-0.0088043i,-0.0029989-0.0064588i,-0.002506-0.00037559i,-0.0022194-0.00020989i,-0.0090916-0.00083948i,-0.0031174+0.0029239i,-0.00092377-0.001349i,0.017697+0.020956i,-0.01151+0.0066205i,0.0011829+0.0014311i,-0.0049678+3.455e-06i,0.00087557-0.0007406i,-0.0073744+0.013189i,-0.00050294+0.0037343i,-0.0025541+0.0002276i,-0.0023369+0.0016193i,-0.0066197+0.0018052i,-0.0010578+0.0022173i,-5.0435e-05+0.0010665i,0.001911+0.0072565i,-0.0028098+0.0016373i,-0.0045906+0.00065248i,0.0061487-0.014212i,0.007229+0.018491i,-0.026918+0.0067152i,-0.012763-0.0053983i,0.016094+0.0097569i,0.0050837+0.019414i,-0.010592-0.0016696i
0.00032562-0.013501i,0.0060891-0.0088607i,0.0099299-0.002385i,0.012219-0.0094995i,0.016764-0.011348i,0.0064356-0.020674i,0.007525-0.012353i,0.010362-0.0074468i,-0.003237-0.0087636i,-0.0014186+0.0024979i,-0.00070253+0.00028701i,0.00047335+0.0027115i,0.0017727+0.0029211i,0.00053379+0.0025388i,0.0017135+0.0010277i,0.00075949+0.00080785i,-0.00095828-0.001677i,-7.5699e-05-0.002731i,-0.0011137-0.00055335i,-0.00083815-0.0018351i,-0.0021445-0.0025211i,-0.0015046-0.00056758i,-0.0014796-0.00067821i,0.0043593-0.0019377i,-0.00021865+0.0031293i,0.00063984+0.0026217i,-0.0012422+0.0034028i,-0.0010086+0.0021384i,-0.0015216+0.0032285i,4.9692e-05+0.0031929i,-0.00038618-0.00027521i,0.0010742+0.0015975i,0.00058335-0.00042145i,-0.00066689-0.00085621i,0.0005706+0.00046821i,0.00051864+0.011129i,-0.0012198+0.0026997i,-0.00023273+0.0015532i,-0.0012234+0.003375i,-0.00097669-0.0025146i,-0.00058045-0.0014788i,-0.00047571-0.0018136i,-0.00022834+0.0033354i,0.002218+9.9683e-05i,-0.0011381-0.012167i,-0.015187-0.00034475i,0.0025262+0.0022227i,-0.0010349-0.0062876i,0.035047-0.010155i,0.010339-0.004752i,-0.0041149-0.014605i,-0.032003-0.017646i,-0.014901-0.0057996i,0.0027699-0.030392i,0.015674-0.00093445i,-0.002073+0.0017735i,-0.00064911+0.004263i,-0.0049956+0.0039645i,-0.0039361-0.00829i,0.013651-0.0057039i,0.010079+0.0017463i,-0.012578+0.0010733i,-0.00024674-0.0037401i,-0.0043004+0.00061038i,-0.0061766-0.003109i,-0.0013814-0.0074654i,0.0062008+0.0017007i,-0.0019184-0.0081324i,-0.0044976-0.0025018i,-0.0015373+0.0012811i,-0.0023691+0.00018094i,-0.0086944+0.0032845i,-0.0013167+0.0035935i,-0.001753-0.0011192i,0.022869+0.010342i,-0.0084123+0.011352i,0.0015962+0.00052934i,-0.0036618+0.0018284i,-5.3294e-05-0.0017195i,-0.0010631+0.013201i,0.001467+0.0031823i,-0.0024099+0.0021802i,-0.0015143+0.0026741i,-0.0034353+0.0049467i,-0.00021963+0.0043832i,-0.00037993+0.00033031i,0.0055952+0.005988i,-0.0029637+0.00088733i,-0.005285+0.0023822i,0.0019674-0.015521i,0.016891+0.0098809i,-0.023588+0.010821i,-0.015885-0.0045572i,0.015322+0.0050713i,0.0099968+0.018134i,-0.010059-0.00047325i
-0.0019343-0.013047i,0.0034966-0.008557i,0.0089405-0.0044012i,0.01074-0.011519i,0.014678-0.014219i,0.0026122-0.021376i,0.0043267-0.012244i,0.0087939-0.009011i,-0.0041622-0.0079846i,-0.00072476+0.0032636i,-0.00086486+0.00052157i,0.0014094+0.0024068i,0.001857+0.0026092i,0.00080243+0.0023948i,0.0018819+0.0009756i,0.00083743+0.0011751i,-0.0011545-0.00070974i,-0.0009516-0.0027665i,-0.0013646-0.00072153i,-0.0018293-0.0015754i,-0.0026427-0.0019813i,-0.0015129-0.00033382i,-0.0018693-0.00023665i,0.0029908-0.003149i,0.0010051+0.0031445i,0.0016905+0.0024446i,0.0002546+0.0038161i,-0.00032437+0.0024836i,4.6134e-06+0.003661i,0.0013929+0.0029934i,-0.00028136-9.5136e-05i,0.0025871+0.0010148i,0.0004251-0.00025238i,-0.00047944+9.1179e-05i,0.001024+0.0010803i,0.0039188+0.010475i,-9.4545e-06+0.0032436i,0.00014484+0.0017857i,0.00028994+0.0037786i,-0.001641-0.0021984i,-0.00092809-0.0014313i,-0.0010853-0.0018212i,0.00077834+0.0034359i,0.0022615-0.00042318i,-0.0022899-0.012817i,-0.011144+0.0002942i,0.006821+0.0013907i,-0.003553-0.0074468i,0.031132-0.023304i,0.0096825-0.0091866i,-0.0067909-0.010122i,-0.035098-0.0092747i,-0.014329+0.00037782i,-0.0056472-0.032349i,0.012285-0.0035056i,-0.0014219+0.0031379i,0.0020765+0.004693i,-0.004037+0.0054617i,-0.0068492-0.0039756i,0.0096346-0.010939i,0.010768-0.0020195i,-0.011871+0.0057728i,-0.0011639-0.0026472i,-0.0027256+0.0014311i,-0.0048118-0.00096082i,-0.0041178-0.0063055i,0.0055644-0.00073334i,-0.0040602-0.0066671i,-0.0034532+0.00037657i,0.00026576+0.001858i,-0.0021605+0.00064496i,-0.0059592+0.0062243i,0.001101+0.0031501i,-0.0019555+0.00014412i,0.022234+0.00095897i,-0.002541+0.014596i,0.0011677-0.00013776i,-0.0017975+0.0021092i,-0.00108-0.001253i,0.0032738+0.011273i,0.0025006+0.0020293i,-0.00066564+0.0040332i,0.00053223+0.0034572i,0.00049621+0.0054561i,0.0013174+0.0033853i,-0.0013696+0.00058628i,0.0068205+0.00289i,-0.0038847+0.00094618i,-0.0044771+0.0046702i,-0.00033119-0.015282i,0.018376-0.0044315i,-0.017921+0.011085i,-0.018776-0.0023708i,0.014756+0.001797i,0.014663+0.013954i,-0.010846-0.00052798i
-0.0037553-0.012275i,0.002265-0.0083622i,0.0081028-0.0060082i,0.0089122-0.013713i,0.012318-0.01675i,-0.0015479-0.021561i,0.0023181-0.011469i,0.0071527-0.010268i,-0.0046037-0.0073076i,-3.9571e-05+0.0036462i,-0.00081115+0.0010153i,0.0021728+0.0019675i,0.0022531+0.0025972i,0.001162+0.0024067i,0.0021659+0.00066828i,0.00091468+0.0014548i,-0.0007777-7.4041e-05i,-0.0018713-0.0026564i,-0.0019153-0.00052074i,-0.0025981-0.0009006i,-0.0031093-0.0013057i,-0.0014255-0.00018987i,-0.0020342+0.00031182i,0.0012123-0.0038281i,0.0022871+0.0026665i,0.0025826+0.0017531i,0.0017911+0.0034992i,0.00059744+0.0027248i,0.0014478+0.0034154i,0.0024995+0.0022274i,-0.00015003-1.475e-05i,-0.0031419-0.00023595i,-3.1959e-05+0.00016982i,-3.6259e-05+0.00042573i,0.0030767+0.001752i,0.0067849+0.0089211i,0.0015165+0.0032203i,0.00083632+0.001907i,0.0017913+0.0034505i,-0.002116-0.0016185i,-0.0014413-0.0013734i,-0.0017465-0.0015751i,0.0016295+0.0032727i,0.0021991-0.0007427i,-0.0036957-0.013334i,-0.0081831-0.00096589i,0.010244-0.0021507i,-0.0053032-0.0069552i,0.023849-0.033225i,0.0073958-0.01232i,-0.0066548-0.0059099i,-0.033783-0.00041299i,-0.0095727+0.0063928i,-0.012897-0.030122i,0.0094885-0.005008i,-0.00031012+0.0036736i,0.003863+0.0034088i,-0.002747+0.0069156i,-0.0074508-0.00040919i,0.003118-0.014145i,0.008817-0.0060983i,-0.0097447+0.0089101i,-0.0010635-0.0017579i,-0.0017044+0.0011583i,-0.0038139-0.0002329i,-0.0051388-0.0033766i,0.0041826-0.0018897i,-0.0059249-0.0046648i,-0.0014133+0.001434i,0.0019823+0.00069165i,-0.0018788+0.0013697i,-0.003119+0.0070913i,0.0021418+0.001397i,-0.00089842+0.0011517i,0.018376-0.0072789i,0.0057557+0.01308i,0.00098687+0.00015887i,-0.00069544+0.0018258i,-0.0014086-3.4109e-05i,0.0066304+0.0085245i,0.0034026+0.00096438i,0.002191+0.0039344i,0.0021091+0.0023858i,0.003093+0.0042953i,0.0018926+0.0028253i,-0.0015799+0.0020473i,0.006433+0.00069353i,-0.0051632+0.0015988i,-0.0023473+0.005967i,-0.0022354-0.015849i,0.01081-0.015375i,-0.015208+0.0068287i,-0.021289+0.001562i,0.012774-0.0028062i,0.016594+0.0089258i,-0.012252+0.00088032i
-0.0055399-0.011195i,0.0008179-0.008525i,0.0068194-0.0083276i,0.0061614-0.015864i,0.0094356-0.019079i,-0.0058277-0.020486i,0.0010591-0.010915i,0.0055-0.011475i,-0.0050317-0.0067605i,0.00056279+0.004227i,-0.00069477+0.0013828i,0.0024649+0.00090283i,0.0028043+0.0023518i,0.0015788+0.0023281i,0.0023216+0.00026929i,0.00073932+0.0016881i,-0.00051043+0.00021447i,-0.0030479-0.0021816i,-0.0021418+1.9619e-05i,-0.0031731+0.00015102i,-0.0034907-0.00032137i,-0.0014103-0.00030157i,-0.0020668+0.0009408i,-0.00052637-0.0036851i,0.003232+0.0014193i,0.0030959+0.00079472i,0.0028365+0.0027373i,0.0017129+0.002512i,0.0028278+0.0025611i,0.0031898+0.0010147i,2.8236e-05-3.5258e-05i,0.0005816+0.0017837i,-3.6854e-05+0.00033736i,0.00046808+0.00051054i,-0.0052606-0.0091583i,0.0090221+0.0063396i,0.0026718+0.0023074i,0.0015746+0.0015798i,0.0031667+0.0024871i,-0.0022111-0.00092386i,-0.0020586-0.0010679i,-0.0022395-0.00096041i,0.0026669+0.0027628i,0.001885-0.00096121i,-0.0056418-0.013598i,-0.0063503-0.0031501i,0.011095-0.0065659i,-0.0055635-0.0053803i,0.01413-0.039944i,0.0043646-0.014055i,-0.0052151-0.0039639i,-0.028838+0.0051492i,-0.0017358+0.0084754i,-0.018478-0.025674i,0.0069511-0.005415i,0.00080584+0.0035735i,0.0039053+0.0013967i,-0.00069151+0.0076295i,-0.0073866+0.0028438i,-0.004888-0.013191i,0.0053526-0.0082136i,-0.0069787+0.011254i,-0.00046282-0.0021946i,-0.0014784+0.00089748i,-0.0037017+3.5181e-05i,-0.0046747-0.0012645i,0.0032111-0.0020479i,-0.0081173-0.0032577i,-7.5553e-05+0.0010842i,0.0023278-0.0014596i,-0.001349+0.0020023i,0.00035503+0.0071923i,0.0017096-0.00015548i,-4.7386e-05+0.00081419i,0.012225-0.011796i,0.0089005+0.0081609i,0.0016074+4.8771e-05i,0.00051777+0.00082433i,-0.0003997+0.00064108i,0.0082405+0.0051059i,0.0042138-0.0012023i,0.004138+0.0025668i,0.0028482+0.0013745i,0.0040721+0.00219i,0.0031956+0.0025026i,-0.00062291+0.0033281i,0.005716-0.00089128i,-0.0058123+0.0034783i,-0.00029192+0.005696i,-0.0040162-0.014885i,0.00023709-0.021344i,-0.018146+0.0035217i,-0.021529+0.0068391i,0.007025-0.0054421i,0.017175+0.0040863i,-0.012093+0.0018428i
-0.0065056-0.0098508i,7.4547e-05-0.0078752i,0.0044492-0.0098108i,0.0025019-0.017196i,0.0059124-0.020826i,-0.0091897-0.018307i,0.00031664-0.010581i,0.0037235-0.012464i,-0.0053677-0.0064829i,0.0020286+0.004748i,-0.00046265+0.0020737i,0.0023467+0.00030054i,0.0034555+0.0019337i,0.0021326+0.0022003i,0.0023946-0.00024129i,0.0017006+0.0015397i,-0.0005545+0.00040811i,-0.0040143-0.00082986i,-0.0020806+0.00049496i,-0.003043+0.0015637i,-0.003477+0.0006988i,-0.0019731-0.00045039i,-0.0018529+0.0016537i,-0.0021219-0.0028005i,0.0033377+1.8243e-05i,0.0031405-0.00037155i,0.0038846+0.0014909i,0.0026137+0.0018168i,0.0035969+0.0010711i,0.0032687-0.00029153i,0.00011244-0.00016745i,0.0016857+0.00075113i,0.00031444+0.00047939i,0.00091364+0.00011619i,-0.0015109-0.0014357i,0.010177+0.0031068i,0.0032702+0.0010584i,0.0021269+0.0010452i,0.0039694+0.00084007i,-0.0021795-0.00026103i,-0.0025781-0.00032083i,-0.0024314-0.0003294i,0.0034055+0.001772i,0.0016483-0.0011311i,-0.0077129-0.01331i,-0.0058116-0.0062092i,0.010098-0.010312i,-0.0042726-0.0049502i,0.0035864-0.042049i,0.0010606-0.014333i,-0.004162-0.00289i,-0.023092+0.0070367i,0.0059327+0.0060388i,-0.021212-0.019756i,0.0053752-0.0053911i,0.0019849+0.002833i,0.0033463+0.00041236i,0.0020656+0.0073015i,-0.0056939+0.0062498i,-0.010541-0.0078773i,0.0017127-0.0084529i,-0.003726+0.012462i,-0.0015482-0.0031324i,-0.0014018+0.00098658i,-0.0038191+0.00079601i,-0.0035618+0.00018354i,0.0022478-0.0022383i,-0.010203-0.003163i,0.00049513+0.00041865i,0.00023842-0.00292i,-0.00024808+0.0023082i,0.0031692+0.0052768i,0.0014455-0.0015014i,0.00030833+0.00042837i,0.0057825-0.01307i,0.010412+0.0038822i,0.002126-0.00094534i,0.00056453-5.0592e-05i,0.00067895+0.00051339i,0.0082479+0.0021702i,0.0033471-0.0039599i,0.0055787+0.00070696i,0.0037406+0.00034977i,0.0046056-2.599e-05i,0.0040409+0.0011997i,0.0010628+0.0036025i,0.0043754-0.0022905i,-0.0051848+0.0058992i,0.0013318+0.0048152i,-0.0035313-0.014359i,-0.012081-0.021777i,-0.022201+0.0042206i,-0.018626+0.01167i,0.0022652-0.0036201i,0.015334-0.0016237i,-0.011638+0.0019061i
-0.0068686-0.0090999i,6.5955e-06-0.0082333i,0.0023255-0.010131i,-0.001234-0.017092i,0.0022922-0.021817i,-0.011506-0.016044i,-0.00011253-0.011087i,0.0017911-0.013288i,-0.0058458-0.0062319i,0.0037164+0.0042273i,0.00043094+0.0027539i,0.002201-1.714e-05i,0.0041174+0.0010532i,0.0027479+0.0018101i,0.002312-0.00078751i,0.0022022+0.00091608i,-0.00034125+0.00074841i,-0.0039044+0.0006052i,-0.0020544+0.00090093i,-0.0022993+0.0025274i,-0.0032245+0.0015964i,-0.0026227+0.00022344i,-0.0013534+0.0022415i,-0.0032563-0.0012993i,0.0029683-0.0010379i,0.0027499-0.0014169i,0.0042117-0.00029558i,0.0032073+0.00078165i,0.003459-0.00026896i,0.0028795-0.0014735i,0.00015192-0.00022726i,0.0016311-0.00014i,0.00075433+0.00034896i,0.00088516-0.0004352i,-0.00093081-0.00030512i,0.0097398-0.00018563i,0.0032988-0.00022842i,0.0025722+0.00023693i,0.0038381-0.00087525i,-0.0018684+0.00036585i,-0.0025321+0.00070779i,-0.0025724+0.00031746i,0.0035198+0.00053253i,0.0014039-0.0013031i,-0.009898-0.012635i,-0.0079389-0.0090394i,0.0078412-0.013104i,-0.0036918-0.0058504i,-0.0050957-0.041419i,-0.0013625-0.012486i,-0.0027682-0.0021041i,-0.018877+0.0088852i,0.010446+0.00092569i,-0.020638-0.01407i,0.0042259-0.0061571i,0.0023384+0.0012954i,0.0034914-0.00062239i,0.0044652+0.0054027i,-0.0024843+0.0074255i,-0.012157-0.0015886i,-0.0014685-0.0075846i,-0.00040018+0.012309i,-0.0034142-0.0029545i,-0.0017094+0.0015408i,-0.0035736+0.0018448i,-0.0027362+0.00093463i,0.0015379-0.0013329i,-0.010223-0.004546i,0.00036437-0.00019202i,-0.0013184-0.002052i,0.00087614+0.0020418i,0.004149+0.0026667i,0.0014374-0.0018999i,0.00065433+0.00047219i,0.00064099-0.011891i,0.010256-0.00085213i,0.001418-0.0022099i,0.0003233+0.00010553i,0.0014691-0.00026784i,0.0080537-1.4612e-05i,0.00086583-0.0055355i,0.0060268-0.0021287i,0.0036359-0.0016241i,0.0040014-0.0028318i,0.0041148-0.0001261i,0.00241+0.0032989i,0.0026987-0.0024248i,-0.0032346+0.007355i,0.0021868+0.0034972i,-0.003859-0.015574i,-0.022901-0.01621i,-0.025381+0.007325i,-0.014374+0.013388i,0.0011849-0.0013459i,0.010545-0.0055276i,-0.012804+0.0023504i
-0.0078886-0.0085916i,-0.00063728-0.0093806i,0.00075368-0.010164i,-0.0044684-0.015977i,-0.0015286-0.022344i,-0.013733-0.013761i,-0.0011087-0.012642i,-0.00047408-0.013925i,-0.0065569-0.0059798i,0.0049057+0.0031723i,0.0018113+0.0027716i,0.0021133-0.00015629i,0.0043231-0.00019701i,0.0033826+0.0012491i,0.002075-0.0012959i,0.0025883+0.00045114i,-3.0364e-05+0.00095188i,-0.0035378+0.0016495i,-0.0018114+0.0015342i,-0.0013235+0.0031113i,-0.0028559+0.0026351i,-0.0026154+0.0014121i,-0.00079025+0.0025134i,-0.0034689+0.00058788i,0.0023753-0.0018094i,0.0020599-0.0022095i,0.0036492-0.0019647i,0.003237-0.00046796i,0.0029937-0.001418i,0.0020768-0.0024214i,0.00021475-0.00036287i,0.0013675-0.00049744i,0.00099996-9.9916e-05i,0.00059748-0.00075604i,-0.00026024-0.0001912i,0.0085106-0.0026635i,0.0030406-0.0014245i,0.0027211-0.00084093i,0.00295-0.0021966i,-0.001317+0.0009208i,-0.002175+0.0016335i,-0.0024632+0.0010983i,0.0032591-0.00038679i,0.0010652-0.0010641i,-0.012062-0.011491i,-0.011677-0.0091603i,0.0052691-0.0147i,-0.0039437-0.0058952i,-0.013377-0.039913i,-0.0015565-0.010216i,-0.0011898-0.0023606i,-0.014362+0.010181i,0.013078-0.0053818i,-0.018182-0.010978i,0.0030352-0.0066901i,0.0015768-0.00072429i,0.0031223-0.0020629i,0.0048914+0.002693i,-0.00036039+0.0069042i,-0.011205+0.0041018i,-0.0039459-0.0056632i,0.0023266+0.010622i,-0.005054-0.0012906i,-0.0015881+0.0028251i,-0.0031043+0.0028649i,-0.0012291+0.0013056i,0.0022937+0.0002991i,-0.0076508+0.0042875i,0.00034327+0.00021011i,-0.0016192-0.0010559i,0.0016808+0.001415i,0.0041103+0.00075609i,0.00016373-0.0028206i,0.0011176+0.00013198i,-0.0032608-0.010179i,0.0085313-0.0046824i,0.0008383-0.0023741i,0.00088211-0.00014565i,0.0013369-0.0014825i,0.0077148-0.0023364i,-0.001603-0.0050482i,0.004582-0.0048565i,0.002266-0.0027858i,0.0017865-0.0045175i,0.0040357-0.001449i,0.0036684+0.0024499i,0.0020767-0.0021779i,-0.00089927+0.0070512i,0.0019784+0.0019868i,-0.0049619-0.017324i,-0.027519-0.0065059i,-0.02752+0.01244i,-0.010815+0.014004i,0.00035288+0.00026042i,0.0095444+0.0092554i,-0.013482+0.0040223i
