-0.025163-0.0044657i,-0.021157-0.0068118i,-0.012364-0.012963i,-0.034987-0.0073162i,-0.027019+0.0019308i,-0.035421-0.0022727i,-0.066575-0.038389i,-0.032681-0.014741i,-0.021579+0.0027245i,0.0057358+0.0077625i,-0.0047296+0.0074588i,-0.0083093+0.017775i,0.0058376+0.0079919i,-0.0011535+0.0032587i,0.0042614+0.0038227i,0.004832+0.025732i,0.021895+0.01997i,0.0014335-0.00020895i,0.0012282-0.0046159i,0.0088262+4.5806e-05i,0.0050544-0.00030649i,0.0022412+0.0014894i,0.0012835-0.00059164i,-0.024059-0.0013353i,-0.0045546-0.0043064i,-5.4701e-05+0.0030728i,0.0047131-0.0041487i,-0.0018899-0.00042165i,-0.00029742+0.0012762i,-0.0019799-0.0013338i,-0.0034372-0.00025088i,-0.0070129-0.0083384i,-0.0048652-0.0071474i,-0.00068395+0.00029015i,-0.00024905-0.0021333i,0.00083563+0.022001i,0.0026797-0.0038173i,0.00067338-0.0042376i,0.0028588-0.0018165i,-0.0031584-0.0030769i,0.00088648-0.00011944i,0.0083789-0.0018888i,0.0029342-0.0022271i,0.00035338+0.0034033i,-0.014062+0.01562i,-0.026796+0.053655i,-0.0052951-0.037478i,-0.014972-0.018668i,-0.040122-0.01608i,-0.027042-0.012422i,0.037027-0.011771i,0.0064131-0.029903i,0.013287-0.03787i,-0.0074987-0.029723i,0.025119-0.023297i,0.013398+0.0072577i,0.028149-0.035698i,-0.0017396-0.0045195i,0.0062639-0.0089205i,-0.0007487-0.0058761i,0.00033113-0.036069i,-0.013761+0.029696i,0.009059-0.011543i,-0.0086051-0.0049074i,-0.00267-0.0021855i,0.00019247-0.015245i,-0.0076586+0.0061478i,0.0043224+0.0063672i,-0.001618+0.028897i,0.0025389+0.00081766i,-0.0070837-0.0043861i,-0.0041011-0.0060744i,-0.014604-0.0096298i,-0.0023756-0.0053128i,-0.034281+0.0065613i,-0.0047196-0.0086917i,-0.012879-0.0010401i,-0.010318-0.0056999i,0.0017231-0.0020949i,-0.013646+0.0022882i,-0.0015217-0.00072869i,0.0056132+0.0061664i,0.0036873-0.0054138i,-0.014434-0.014588i,0.007558+0.0085182i,-0.016578+0.0051474i,0.0042761+0.00048509i,-0.019237-0.0031466i,-0.016862-0.0048717i,-0.014774-0.035407i,0.020335-0.0092043i,-0.039692-0.024683i,-0.010373+0.0050793i,0.017569+0.01546i,-0.022622+0.017565i,-0.0044997-0.003782i
0.0062212-0.0098658i,0.011271+0.0016187i,0.0077746+0.0031988i,0.014212-0.0038242i,0.018362-0.0019564i,0.015631-0.0136i,0.015983-0.0054309i,0.012748-0.0018541i,0.0015407-0.0091637i,-0.0027369+0.0038116i,-0.00044374-0.00017454i,-0.0012969-7.762e-05i,-0.0011449+0.0040095i,-0.0019083+0.0025156i,0.00047919+0.0022972i,0.0010013-0.00020271i,0.0029893-0.0017145i,0.0011284-0.0011126i,-6.8757e-05-0.00085421i,-0.00015599-0.00027739i,0.00060529-0.0027864i,-0.0012154-0.0015121i,-0.00057134-0.00062694i,0.0032769+0.0044194i,-0.0014685+0.00066393i,-0.0012448+0.001231i,-0.0022963+0.00028404i,-0.0018353-7.2622e-05i,-0.0024015-0.0010001i,-0.0019894+0.00031341i,0.0016057-0.0013845i,0.00070519+0.001245i,0.0015136+0.0001491i,0.0016232-0.00024009i,0.0011919-0.00061131i,-0.010406+0.0065636i,-0.0014442-0.000268i,-0.00098643+0.00049807i,-0.0026854+0.00011906i,0.001829-0.00305i,8.1296e-06-0.00082808i,0.00060466-0.0012516i,-0.0012281+0.0022542i,0.0017042+0.00067359i,0.00057516-0.012758i,-0.024968-0.0091116i,-0.0029412-0.0063598i,-0.0071214+0.0021314i,0.016864+0.021651i,0.0012552+0.005026i,0.012676-0.013799i,-0.012092-0.027184i,-0.0047903-0.013296i,0.0069265-0.0081791i,0.018953+0.018364i,0.0018151+0.0015333i,-0.00087715-1.563e-05i,-0.0063696-0.0010469i,0.010592-0.003346i,0.013764+0.0086398i,0.0027078+0.0049764i,-0.0053166-0.0069536i,0.0061996-0.0036824i,-0.0039525-0.0067083i,0.0028641-0.011665i,0.0064785-0.0065011i,-0.00043684+0.0074367i,0.010263-0.0081591i,0.004413-0.0078091i,0.0010445-0.0067191i,-0.0023549-0.0015549i,-0.0060441-0.0070775i,-0.0082188-0.00090746i,0.00021768-0.0014459i,-0.0084574+0.028323i,-0.0093593-0.0024195i,0.00067119+0.0033018i,-0.0032093-0.0045578i,0.00061882+0.00066801i,-0.015959+0.00098961i,-0.0029906+0.0022024i,-0.001407-0.001749i,-0.0035912+0.00018657i,-0.0058154-0.0037004i,-0.0016567+0.0054733i,-0.0017358+0.0028541i,-0.0050965+0.0061062i,-0.0059596+0.0002706i,-0.0030407-0.0011977i,0.007646-0.0013626i,-0.0053337+0.018149i,-0.028639-0.0024358i,-0.010809-0.0030294i,0.012169+0.016586i,-0.001625+0.017438i,-0.0067832-0.0044173i
0.0047843-0.011405i,0.011679-0.002219i,0.0082063+0.0021228i,0.012919-0.0053101i,0.018024-0.0049731i,0.01311-0.016074i,0.013159-0.0084192i,0.012087-0.0039227i,-0.0002805-0.0096061i,-0.0014806+0.0039876i,-0.00015078+0.00019692i,-0.0014852+0.0011052i,1.2056e-05+0.0041489i,-0.00085547+0.0031712i,0.0009972+0.0021844i,0.00077181+0.00016456i,0.0019778-0.0023856i,0.0011745-0.0013109i,-0.00029604-0.0014938i,0.00016463-0.00077841i,-0.00019987-0.0029002i,-0.0015507-0.0011522i,-0.0006683-0.00084007i,0.0055762+0.0026783i,-0.0016098+0.0017905i,-0.00052367+0.0016728i,-0.0023472+0.0009676i,-0.0019683+0.00072059i,-0.0031506+0.00027824i,-0.0018386+0.0014137i,0.00083322-0.0017183i,0.0008387+0.00017174i,0.0010326-0.00045457i,0.0012259-0.00081426i,0.0007841-0.00050218i,-0.0074642+0.0094733i,-0.0018893+0.00039318i,-0.00093379+0.0011594i,-0.0025425+0.0013784i,0.00084288-0.003165i,-3.3446e-05-0.00089257i,-3.6316e-06-0.001274i,-0.00078437+0.0025629i,0.0013036+0.00071074i,-0.0010625-0.011981i,-0.02301-0.0059638i,-0.0046603-0.0030684i,-0.0041937+0.00028382i,0.025975+0.014822i,0.0051129+0.0025428i,0.0063963-0.016774i,-0.020005-0.026224i,-0.0094258-0.014077i,0.010003-0.01515i,0.020794+0.010782i,0.00046304+0.00049827i,-0.00045352+0.0024505i,-0.0061868+0.00098111i,0.0076481-0.0068588i,0.015249+0.0042153i,0.0054759+0.0057184i,-0.0090803-0.0050121i,0.0026345-0.0053228i,-0.0050768-0.0043464i,-0.002752-0.010516i,0.0034476-0.0079173i,0.0029897+0.0053786i,0.0054053-0.010033i,0.00017927-0.0074624i,-0.0023975-0.0036514i,-0.0015882-0.00072643i,-0.0076795-0.0048363i,-0.0057825+0.0027076i,0.00047969-0.0010848i,0.005578+0.027138i,-0.010071+0.00083914i,0.001474+0.001825i,-0.005363-0.0027206i,0.0010248+0.0001718i,-0.013982+0.0081342i,-0.0017888+0.0033288i,-0.0019338-0.00019071i,-0.0020684+0.00093705i,-0.0067637-0.0012639i,9.172e-06+0.0028069i,-0.00059067+0.002513i,-0.0014784+0.0075786i,-0.0042993+0.0020399i,-0.0039377-0.00076706i,0.0087449-0.0077033i,-0.0015961+0.020216i,-0.028568+0.0032651i,-0.011922-0.0045008i,0.01449+0.014163i,0.0011569+0.018641i,-0.0088519-0.0037171i
0.0024148-0.01248i,0.00974-0.0066108i,0.0091676+0.00019492i,0.012064-0.0069468i,0.017493-0.0080031i,0.010097-0.018469i,0.0098586-0.010932i,0.011253-0.0061066i,-0.0020556-0.009074i,-0.00085194+0.0039295i,3.2644e-05-7.2965e-05i,-0.00094556+0.0020523i,0.0010725+0.0037287i,0.00027089+0.0029243i,0.0015039+0.0019236i,0.00079063+0.00044996i,0.00072502-0.002605i,0.0010549-0.0019027i,-0.00093155-0.0015749i,-0.00023125-0.0015578i,-0.0011884-0.0029406i,-0.0015769-0.00070563i,-0.0010787-0.00099567i,0.0059816-0.00035825i,-0.00065638+0.0027061i,-6.7607e-05+0.0017587i,-0.0021817+0.0021279i,-0.0016227+0.0014945i,-0.0029608+0.0020411i,-0.0011163+0.0022526i,0.00011125-0.0016512i,5.0454e-05+0.00033689i,0.00066621-0.00059056i,0.00066729-0.0011178i,0.00070316-0.00045129i,-0.0039766+0.01111i,-0.001853+0.0016481i,-0.0003295+0.0015219i,-0.0017733+0.0026026i,-8.4341e-05-0.0032483i,-8.0034e-05-0.0010397i,-0.0002467-0.0010479i,-0.00028986+0.0029897i,0.0015195+0.0011301i,-0.0017205-0.01089i,-0.021439-0.0023097i,-0.0030288+0.00096836i,-0.0018837-0.0025333i,0.033272+0.0041104i,0.0081314+0.0007081i,0.00013665-0.016948i,-0.026306-0.022696i,-0.013586-0.011445i,0.008685-0.023573i,0.019406+0.0037717i,-0.0011195+0.0006608i,-0.00078889+0.0019629i,-0.0062787+0.0024454i,0.0023702-0.0098315i,0.015424-0.00071616i,0.0079544+0.0045697i,-0.011627-0.0016138i,0.00083708-0.0043226i,-0.0054396-0.0014669i,-0.0055379-0.0072992i,0.00067426-0.0077324i,0.0049248+0.0041913i,0.0020566-0.0095997i,-0.003013-0.0052837i,-0.0021607-0.0005235i,-0.0015449-0.001099i,-0.0098219-0.0014642i,-0.003141+0.0034991i,-0.00037664-0.0016942i,0.015934+0.019846i,-0.009514+0.0049199i,0.0019839+0.0010022i,-0.0046267-0.00035704i,0.0014435-0.00097417i,-0.007802+0.013109i,6.7746e-05+0.0041175i,-0.0020901+0.00053035i,-0.0017931+0.0016221i,-0.0068788+0.0020662i,-0.00074953+0.0026339i,0.00011582+0.0019682i,0.0016304+0.0074059i,-0.0031382+0.0017467i,-0.0049145+0.00057522i,0.0057621-0.012951i,0.0078077+0.019033i,-0.026978+0.0066598i,-0.013701-0.0052919i,0.017093+0.0095123i,0.0056198+0.019741i,-0.010181-0.0024708i
-0.00010714-0.012481i,0.0059309-0.0084876i,0.0089278-0.0023953i,0.010871-0.0088312i,0.016122-0.011221i,0.006307-0.019973i,0.0060756-0.011973i,0.0098517-0.0080968i,-0.0032267-0.0084057i,-0.00034632+0.0041565i,-0.0002344-0.00012422i,-6.877e-06+0.002398i,0.0015508+0.0031384i,0.00079629+0.002667i,0.0017778+0.0015277i,0.00087198+0.00070324i,-0.00048847-0.0020273i,0.00065076-0.0023403i,-0.0010566-0.0014647i,-0.0011714-0.0017604i,-0.0020739-0.0022868i,-0.0016273-0.00039471i,-0.0016347-0.00079653i,0.0049156-0.0026266i,0.0005921+0.0028825i,0.000506+0.0019379i,-0.00098908+0.0032601i,-0.0011208+0.0020486i,-0.0017385+0.003244i,-8.9392e-05+0.0026275i,-0.00046613-0.0013613i,0.00040467+0.00080914i,0.00034393-0.00068684i,1.7908e-05-0.0011763i,0.00054674-0.00054096i,-0.00025709+0.011566i,-0.00095837+0.0026166i,0.00011533+0.0014837i,-0.0006213+0.0032953i,-0.0011219-0.0030817i,-0.00043691-0.0012269i,-0.00032179-0.0010528i,0.0005181+0.0033319i,0.0020319+0.0011981i,-0.00167-0.010873i,-0.017627+0.00085154i,0.00074823+0.0029853i,-0.0031091-0.0061066i,0.035894-0.010065i,0.010369-0.0038194i,-0.0056485-0.014106i,-0.032204-0.016503i,-0.015755-0.0060819i,0.0027102-0.030344i,0.016758-0.0012227i,-0.0017119+0.0020468i,-0.00080932+0.0045893i,-0.0057013+0.0045159i,-0.0040049-0.0081997i,0.013864-0.0062274i,0.010078+0.0020854i,-0.012382+0.0026585i,-0.00060938-0.0040218i,-0.0044527+0.0006201i,-0.0066868-0.0033742i,-0.00138-0.0074164i,0.0061787+0.001225i,-0.00061495-0.0089352i,-0.0041792-0.0016486i,-0.00092937+0.0011979i,-0.0021767-0.00089806i,-0.0092411+0.0029364i,-0.00080208+0.0041374i,-0.0012861-0.00168i,0.020978+0.0097457i,-0.0065793+0.0091765i,0.0020888-0.00022691i,-0.0033726+0.001677i,0.00056474-0.0023069i,-0.0012337+0.013222i,0.0023026+0.003333i,-0.0017302+0.0022157i,-0.00090909+0.002631i,-0.0041799+0.0051351i,-0.00041342+0.0033835i,0.00012411+0.0011256i,0.0050441+0.0062391i,-0.0031916+0.0011049i,-0.0054074+0.002809i,0.0019806-0.014353i,0.017592+0.0098076i,-0.023866+0.010712i,-0.01725-0.0043765i,0.015758+0.0049363i,0.010819+0.018462i,-0.0099593-0.0011952i
-0.0020565-0.011976i,0.0034436-0.0082566i,0.0078728-0.0042416i,0.0096248-0.010583i,0.014187-0.014089i,0.0026326-0.02074i,0.0029698-0.011603i,0.0081132-0.0095722i,-0.0041085-0.0076555i,0.00045765+0.004304i,-0.00056693+3.6719e-05i,0.00084851+0.0022538i,0.0017909+0.0028803i,0.0011298+0.0024243i,0.0020034+0.0012452i,0.0012868+0.0011198i,-0.0009394-0.0010983i,-4.8105e-05-0.0027517i,-0.001608-0.0015914i,-0.0020659-0.0013364i,-0.0025641-0.0016766i,-0.001583-7.3521e-05i,-0.0020387-0.00025182i,0.0032077-0.0039763i,0.0016376+0.0025812i,0.0013019+0.0018631i,0.00044028+0.00356i,-0.00049644+0.0025045i,-0.00023855+0.0037567i,0.0010501+0.002543i,-0.00068421-0.00098177i,0.00075747+0.00078871i,-7.3493e-05-0.00062526i,-0.00056092-0.00067023i,0.00053323-0.00045091i,0.0032054+0.011035i,0.00018925+0.0030912i,0.00045068+0.0015538i,0.00082164+0.0034922i,-0.0018669-0.0025123i,-0.00076838-0.0013183i,-0.00064226-0.001086i,0.0015186+0.0032341i,0.0023491+0.00073225i,-0.0024999-0.011514i,-0.012982+0.0017279i,0.0052318+0.0023755i,-0.005161-0.0065267i,0.031863-0.023379i,0.0099769-0.0084757i,-0.0081314-0.0093183i,-0.034477-0.0077264i,-0.015345+0.00010801i,-0.0057187-0.032593i,0.012876-0.004285i,-0.00098925+0.0033003i,0.0022578+0.0051279i,-0.0044466+0.006164i,-0.0068332-0.0038777i,0.0096304-0.011424i,0.010873-0.0016946i,-0.011612+0.0067484i,-0.0015206-0.0022119i,-0.0029042+0.0016223i,-0.005202-0.00089214i,-0.0041892-0.0059275i,0.0055511-0.000989i,-0.0028053-0.0074533i,-0.0027158+0.0010996i,0.00094344+0.0014376i,-0.0024436-0.00031257i,-0.0063658+0.0058478i,0.0017516+0.0031106i,-0.0017709-0.00047472i,0.020958-0.00016556i,-0.0013712+0.010814i,0.0013864-0.0010463i,-0.0014542+0.0017042i,-0.00070974-0.0020843i,0.0031208+0.011049i,0.0032522+0.0018678i,-0.00010278+0.0040231i,0.0011571+0.0031013i,-0.00025639+0.005423i,0.00089849+0.0036565i,-0.00070854+0.00099219i,0.006785+0.0034701i,-0.0039443+0.0011101i,-0.0041148+0.0050879i,-7.0964e-05-0.014406i,0.018643-0.0050148i,-0.018273+0.010925i,-0.020023-0.0016081i,0.015271+0.0015168i,0.015102+0.013812i,-0.010703-0.0011681i
-0.0036724-0.011236i,0.0022065-0.0080937i,0.0070564-0.0056406i,0.0081197-0.01257i,0.01189-0.016682i,-0.0013138-0.021017i,0.0010004-0.010624i,0.0064377-0.010661i,-0.0046066-0.0069854i,0.00113+0.0042583i,-0.00073859+0.00052615i,0.0015754+0.0020172i,0.0023392+0.0028444i,0.0015537+0.0023384i,0.0023346+0.00081638i,0.0021321+0.0013363i,-0.00078081-0.00053369i,-0.00099591-0.0029602i,-0.0024415-0.0012206i,-0.0026492-0.00058021i,-0.00288-0.001007i,-0.0013525+0.00015245i,-0.002167+0.00043424i,0.0011189-0.004622i,0.0026203+0.0018455i,0.0020389+0.0013573i,0.0018273+0.0031953i,0.00043474+0.0028737i,0.001259+0.0036287i,0.0020458+0.0019385i,-0.00082525-0.0006937i,0.0012199+0.00067167i,-0.00032724-0.00015689i,-0.0005985-3.9398e-05i,0.00055064-0.0006085i,0.0061758+0.0094863i,0.0016032+0.0029684i,0.0010747+0.0016077i,0.0022219+0.0029094i,-0.0022539-0.001891i,-0.0012769-0.0012643i,-0.0010972-0.0010067i,0.0023877+0.0028404i,0.002565+0.00049868i,-0.0035633-0.01206i,-0.0092903+0.00045764i,0.0090537-0.00072656i,-0.0064258-0.0057224i,0.024463-0.033734i,0.0075989-0.011864i,-0.0077564-0.0049866i,-0.032405+0.00097883i,-0.010542+0.0066398i,-0.013443-0.030575i,0.0093155-0.0056893i,0.00019448+0.0037287i,0.0040316+0.0035524i,-0.0026451+0.0077852i,-0.0073833-0.00033341i,0.0029981-0.01447i,0.0091075-0.0059898i,-0.0095902+0.0097497i,-0.00068675-0.0010546i,-0.0019183+0.0013379i,-0.0040918-2.2627e-05i,-0.0051001-0.0030071i,0.004085-0.0019491i,-0.003818-0.005659i,-0.00042016+0.0016947i,0.0023024+3.9238e-05i,-0.0023107+0.00064232i,-0.0035625+0.0068864i,0.0024421+0.0011425i,-0.00097584+0.00061764i,0.017176-0.0079371i,0.003433+0.009848i,0.00079818-0.00065333i,-0.00078257+0.0016066i,-0.0015289-0.00070995i,0.0063127+0.0083343i,0.0039785+0.00063209i,0.0028082+0.0038094i,0.0026464+0.001939i,0.0027404+0.0039664i,0.001883+0.0033658i,-0.0010599+0.0021447i,0.0066072+0.0010157i,-0.005125+0.0017021i,-0.0019985+0.0057787i,-0.0016346-0.015143i,0.011007-0.015267i,-0.015736+0.0069563i,-0.022499+0.0027141i,0.012933-0.0034049i,0.016383+0.0091133i,-0.011883+0.00017147i
-0.0051197-0.010112i,0.00079789-0.0082588i,0.0058473-0.0077449i,0.0056957-0.014677i,0.0090087-0.019086i,-0.0055774-0.020202i,-0.00012849-0.0098151i,0.0047506-0.011777i,-0.0049956-0.0064082i,0.001765+0.0045577i,-0.00076036+0.00094762i,0.0019091+0.0012455i,0.003022+0.002503i,0.0019777+0.002101i,0.0025186+0.00032066i,0.0030261+0.00083769i,-0.00081048-0.00021447i,-0.0021899-0.0027941i,-0.0028597-0.00038465i,-0.0030855+0.00046868i,-0.0032643-0.0002958i,-0.0011805+5.0678e-05i,-0.0020872+0.0011432i,-0.0011032-0.0042992i,0.0032489+0.00038764i,0.0024249+0.00059884i,0.0027238+0.0024672i,0.0016594+0.0027078i,0.0027658+0.0028494i,0.002658+0.00092572i,-0.00084044-0.00043072i,0.0014518+0.0003891i,-0.00030191+0.00030474i,-0.00028227+0.00041347i,0.00038234-0.0009307i,0.0084369+0.007025i,0.002688+0.0020929i,0.0016739+0.0011873i,0.0033363+0.0018157i,-0.0024476-0.0013158i,-0.0018082-0.00085918i,-0.0012934-0.0006725i,0.0032636+0.0020943i,0.0026504+8.1098e-05i,-0.0051821-0.012494i,-0.0069916-0.0020021i,0.010568-0.0051319i,-0.0059464-0.004076i,0.014269-0.040739i,0.0045001-0.01361i,-0.0061084-0.0028345i,-0.027252+0.0064678i,-0.0025987+0.0091321i,-0.019555-0.025757i,0.0064767-0.0054347i,0.0012102+0.0034603i,0.0042525+0.0014255i,-2.7145e-05+0.0083529i,-0.0072546+0.0029186i,-0.0049605-0.013243i,0.0056523-0.0082768i,-0.0069135+0.012232i,8.4848e-05-0.0018286i,-0.0016732+0.0010869i,-0.0038856+0.00026739i,-0.0043456-0.00094549i,0.0031444-0.0021113i,-0.0044996-0.004579i,0.00068034+0.0011309i,0.0024018-0.002146i,-0.0020367+0.0015082i,-0.00032648+0.0070196i,0.001902+3.0967e-05i,-0.00022709+0.0002616i,0.011326-0.012428i,0.0069887+0.0071699i,0.0012086-0.00062325i,0.00038584+0.00086662i,-0.00075111+7.8088e-05i,0.0078882+0.0051237i,0.0046657-0.0016889i,0.0046331+0.0022485i,0.002966+0.0007334i,0.00393+0.0013726i,0.0036339+0.0029796i,-8.1122e-05+0.0033772i,0.006283-0.00076776i,-0.0057804+0.0036311i,-0.00018383+0.0053684i,-0.0030509-0.015008i,0.0010142-0.021595i,-0.018464+0.0037271i,-0.022274+0.0084371i,0.0064309-0.0060987i,0.017098+0.0049637i,-0.011767+0.0014453i
-0.0057605-0.0088623i,0.00010685-0.0076641i,0.0035949-0.0089898i,0.002354-0.015943i,0.0054344-0.020826i,-0.0091383-0.018203i,-0.00061996-0.0092403i,0.0028231-0.012548i,-0.0053181-0.0061511i,0.0032421+0.0047781i,-0.0005489+0.0016699i,0.0020024+0.00077954i,0.0036858+0.0019032i,0.0024603+0.0018279i,0.0025749-0.00024572i,0.003464+0.00016838i,-0.00082221+0.00025574i,-0.0032736-0.0019115i,-0.0028141+0.0004132i,-0.0028786+0.0018052i,-0.0033719+0.00077426i,-0.0015578-8.3533e-05i,-0.0016979+0.0018473i,-0.0028755-0.0029179i,0.0028409-0.0010464i,0.0024414-0.00030531i,0.0035816+0.001358i,0.0026588+0.0020321i,0.0036533+0.0013725i,0.0027862-0.00011427i,-0.000816-0.00022161i,0.0015476-0.00027198i,0.00011996+0.00062463i,0.00024033+0.00051786i,-3.722e-05-0.00086768i,0.0096561+0.0039812i,0.003285+0.00086903i,0.0020327+0.00062084i,0.0038588+0.00027327i,-0.0025975-0.00061733i,-0.0021034-0.00012617i,-0.0014406-0.00047281i,0.0036867+0.0009233i,0.0026564-0.00035509i,-0.0071326-0.012492i,-0.0061462-0.005327i,0.009828-0.009352i,-0.0040954-0.0039102i,0.0033169-0.042836i,0.0011731-0.013857i,-0.0048278-0.001666i,-0.022411+0.0086926i,0.0053485+0.0071327i,-0.022238-0.019323i,0.0055046-0.0050583i,0.0021366+0.0025702i,0.0035805+0.00028364i,0.002851+0.0075783i,-0.0055539+0.006163i,-0.010604-0.0079463i,0.0021965-0.008691i,-0.0035002+0.013329i,-0.0008454-0.0028613i,-0.0016808+0.0011449i,-0.0039217+0.0010503i,-0.003264+0.00027031i,0.002187-0.0021479i,-0.0053669-0.0032052i,0.0012985+0.00035472i,0.00015679-0.0036771i,-0.0010407+0.0022603i,0.0025857+0.0053302i,0.0021579-0.00063106i,6.2775e-05-4.9681e-05i,0.0051063-0.013877i,0.0088404+0.0035168i,0.0012882-0.0013852i,0.000156-0.00010244i,0.00034619+5.6588e-05i,0.0080474+0.0021772i,0.003537-0.0044926i,0.0059944+0.00013079i,0.0033532-0.00032191i,0.0043554-0.00087239i,0.0046482+0.0015238i,0.0015282+0.0036993i,0.0048948-0.0024347i,-0.0051054+0.0061525i,0.0011253+0.0042909i,-0.003437-0.014955i,-0.011573-0.02267i,-0.022016+0.0044807i,-0.018904+0.013542i,0.0017208-0.0035658i,0.015952-0.00032283i,-0.01133+0.0017687i
-0.0059658-0.0083385i,4.1425e-05-0.008134i,0.0016436-0.0091008i,-0.0010513-0.015891i,0.001722-0.021787i,-0.011683-0.015854i,-0.0005976-0.0095977i,0.00078947-0.013164i,-0.005792-0.0059247i,0.0048779+0.0039894i,0.00024851+0.0021995i,0.002028+0.0005791i,0.0042446+0.00090192i,0.0029151+0.0012959i,0.0025271-0.00086422i,0.0038015-0.00038928i,-0.00051098+0.00063239i,-0.003673-0.00077312i,-0.0027761+0.0010316i,-0.0020715+0.0027457i,-0.0030901+0.0017048i,-0.0019734+0.0003905i,-0.0010161+0.0023649i,-0.0038485-0.00090347i,0.0020167-0.0018523i,0.0021343-0.0010974i,0.003817-0.0001745i,0.003385+0.00093351i,0.0036596-1.3851e-05i,0.002584-0.0011171i,-0.00066042+6.2151e-05i,0.0010238-0.00072472i,0.00068463+0.00046981i,0.00067254+0.00038074i,-0.00022666-0.00056798i,0.0094699+0.00088741i,0.003312-0.00047929i,0.0023131-9.8925e-05i,0.0036042-0.0013163i,-0.0023922+0.0002121i,-0.0018944+0.00061985i,-0.0016396-0.00016837i,0.0035108-0.00027865i,0.0026296-0.00082355i,-0.0091978-0.011986i,-0.0083552-0.0083423i,0.0075154-0.012388i,-0.0032249-0.0053024i,-0.0057095-0.041822i,-0.0010667-0.011947i,-0.0032253-0.00072927i,-0.018537+0.010122i,0.010332+0.0018743i,-0.021517-0.013317i,0.0046461-0.006105i,0.0025583+0.0010124i,0.0035392-0.00072058i,0.0051743+0.0053592i,-0.0024125+0.0073495i,-0.012372-0.0016764i,-0.0010223-0.0081065i,0.00014471+0.013072i,-0.0026047-0.002887i,-0.0020128+0.0018934i,-0.003589+0.0021897i,-0.0024044+0.0010761i,0.0015846-0.0013299i,-0.0057312-0.0013172i,0.0012213-0.00043279i,-0.0017215-0.0028389i,0.00021832+0.0023543i,0.0037184+0.0029238i,0.0022829-0.0019264i,0.00011942+2.6672e-05i,-0.00020294-0.01295i,0.0091907-0.00054403i,0.00068253-0.0019155i,-0.00023189+2.0018e-05i,0.0010117-0.00048498i,0.0077288-0.00018458i,0.00070446-0.0060295i,0.0060459-0.0028948i,0.0030084-0.0020794i,0.0036104-0.0033942i,0.0051277+0.00011694i,0.0028012+0.0032704i,0.0030154-0.0025347i,-0.0032829+0.007724i,0.0014485+0.0028239i,-0.0036071-0.016067i,-0.022956-0.017305i,-0.024931+0.0072731i,-0.01372+0.015065i,0.00084435-0.0011677i,0.012826-0.0038712i,-0.012642+0.0020936i
-0.0067482-0.0079719i,-0.00070165-0.009379i,0.00031473-0.0089897i,-0.0040104-0.014961i,-0.0022159-0.022228i,-0.013937-0.013338i,-0.0012069-0.011219i,-0.001393-0.013474i,-0.0065128-0.005592i,0.00604+0.0025982i,0.0012719+0.0021833i,0.0021683+0.00046243i,0.004366-0.00036992i,0.0033416+0.0006147i,0.0022428-0.001529i,0.0039442-0.0011353i,-0.00014573+0.00079208i,-0.0037993+0.00034081i,-0.0024865+0.0019157i,-0.0010148+0.0032475i,-0.0025831+0.0026505i,-0.0019491+0.0011716i,-0.00031824+0.0025345i,-0.0036559+0.0013306i,0.0012161-0.0022716i,0.001605-0.0016703i,0.0033691-0.001653i,0.0034902-0.00048567i,0.0033185-0.0012424i,0.0019698-0.0020503i,-0.00037893+0.00014288i,0.00064926-0.00061472i,0.00099853+5.0921e-05i,0.0009906-0.00013681i,-0.00018469-0.00040111i,0.0084696-0.0016894i,0.0029071-0.0016858i,0.0023253-0.0010214i,0.0026638-0.0026403i,-0.0018339+0.00088975i,-0.0015029+0.0012349i,-0.0017425+0.00027294i,0.0028917-0.0010883i,0.0024436-0.0010595i,-0.01126-0.011087i,-0.012196-0.0083697i,0.0049826-0.013788i,-0.0035588-0.0056521i,-0.014126-0.040082i,-0.0010608-0.0099335i,-0.0013561-0.00091607i,-0.014161+0.010808i,0.013565-0.0045972i,-0.018672-0.009626i,0.0030248-0.0069244i,0.0015728-0.001244i,0.0031635-0.0021548i,0.00556+0.0023897i,-0.00039347+0.0069123i,-0.011497+0.0041343i,-0.0038144-0.006402i,0.0028231+0.010907i,-0.004235-0.0014263i,-0.0018078+0.0032213i,-0.0028699+0.0032983i,-0.00095054+0.0012886i,0.0024916+0.00020904i,-0.0048941+0.00014954i,0.0009427-0.00042326i,-0.0023866-0.0017685i,0.0012784+0.0018864i,0.003671+0.0011238i,0.0006698-0.0032244i,0.00051483-0.00014263i,-0.0045085-0.010845i,0.0079192-0.0041081i,9.9754e-05-0.0020851i,0.00027242-9.0425e-05i,0.0008787-0.0014201i,0.0071389-0.0022399i,-0.0019471-0.0054974i,0.0044334-0.0057444i,0.001653-0.0030162i,0.0010996-0.0045656i,0.0052141-0.0017447i,0.0038836+0.0024739i,0.0024757-0.0022328i,-0.00073379+0.0082088i,0.00095731+0.0016145i,-0.0047181-0.017973i,-0.027984-0.0072652i,-0.027242+0.011986i,-0.0098166+0.014979i,-6.0968e-05+0.00065256i,0.0096257-0.004956i,-0.013543+0.0037877i
