-0.023303+0.00077896i,-0.024148+0.00023559i,-0.014862-0.0117i,-0.034409-0.014551i,-0.030499+0.0007542i,-0.032887+0.0054434i,-0.056412-0.016475i,-0.032984-0.017818i,-0.029444+0.00095865i,0.0066199+0.003531i,-0.0033155+0.0068649i,-0.0068612+0.016334i,0.0062304+0.010402i,0.0020842+0.0034994i,0.0048853+0.0032662i,0.0050948+0.017282i,0.023273+0.02098i,0.001034-0.00084849i,0.000201-0.0056821i,0.0070914-0.00037467i,0.004128-0.0004205i,0.002162+0.0021004i,0.00068815-0.00028614i,-0.016192+0.0017469i,-0.0060444-0.0038948i,-0.0012187+0.002432i,0.0010559-0.0015346i,-0.0014314-0.00022161i,-0.0011943+0.0010814i,-0.0023439-0.0021729i,-0.0040471-8.9138e-05i,-0.0053007-0.0020246i,-0.00184-0.00024918i,-0.00016004-0.00039374i,0.00042989-0.0029998i,0.0010123+0.013118i,0.0015256-0.0029162i,0.00075187-0.003242i,0.0041859-0.0024279i,-0.0013652-0.0028847i,0.00059303-0.00042225i,0.0076205-0.00033514i,0.0046154-0.0027347i,0.00053292+0.0019213i,-0.014015+0.01427i,-0.027396+0.053767i,-0.0094505-0.035962i,-0.017152-0.018152i,-0.040824-0.01631i,-0.029074-0.01328i,0.037452-0.013336i,0.0055544-0.030708i,0.013681-0.038275i,-0.0097027-0.030429i,0.024637-0.022695i,0.014276+0.0061141i,0.02446-0.038163i,-0.0025067-0.004264i,0.0064764-0.0091023i,-0.00078009-0.0060743i,0.00092323-0.034165i,-0.013116+0.028732i,0.0089577-0.012342i,-0.00861-0.0051808i,-0.0029179-0.001902i,-0.00094264-0.015354i,-0.0098051+0.006108i,0.003069+0.0076795i,0.00072011+0.025803i,0.0027342+0.00030574i,-0.0075899-0.0043496i,-0.004421-0.0059546i,-0.014565-0.009957i,-0.0027801-0.0059612i,-0.036329+0.013158i,-0.0044764-0.0090153i,-0.013492-0.00095194i,-0.010992-0.0073401i,0.001026-0.0018344i,-0.014661+0.0013798i,-0.0013579-0.00069342i,0.0063779+0.0063218i,0.0033021-0.0050568i,-0.014743-0.014977i,0.007827+0.0086969i,-0.016089+0.0055328i,0.0052476-0.00088024i,-0.019654-0.0021119i,-0.015974-0.003984i,-0.017803-0.035065i,0.020479-0.010972i,-0.03257-0.031538i,-0.0088621+0.0035055i,0.018338+0.015117i,-0.021652+0.017183i,-0.0036417-0.0030728i
0.0066671+0.012356i,0.0076075+0.017547i,0.0026561+0.026091i,-0.0066617+0.025278i,0.0010031+0.033338i,0.014663+0.020139i,-1.9322e-05+0.029276i,-0.0065328+0.019799i,0.013005+0.0078494i,-3.4663e-05-0.00338i,0.0013198-0.00092079i,0.0049987-0.0029008i,0.0016338-0.0024162i,-0.00057888-0.0044892i,-0.00068147-0.001748i,0.003569-0.0059899i,-0.0028001-0.004633i,-0.0015117+0.0021822i,0.00053664+0.00041217i,0.0001533+0.0016646i,-0.0015132+0.00039395i,-0.0003878-0.00034269i,0.0016342+0.00021793i,-0.0056537-0.002197i,-0.00031042-0.00044588i,-0.0011738+0.00059532i,-0.0023545+0.00036327i,-0.0019153+0.00041391i,-0.002675+7.2631e-05i,-0.00061282-0.00068289i,-0.0030718+0.00037034i,-0.00076459-0.00068157i,-0.00024317-0.0020399i,0.00058854-0.0010849i,-0.00068827+0.001156i,-0.00026225-0.0017289i,-0.0017788+0.0012625i,0.0018288+0.00015267i,0.0014987+0.0036433i,0.0020479+0.00408i,8.4406e-05+0.0010105i,-0.0011125+0.00059998i,-0.0016035-0.0010205i,0.002522+0.0041431i,0.012759+0.0071078i,0.043674-0.051112i,-0.025226+0.0079533i,0.015618-0.025514i,-0.02441-0.032465i,-0.013062+0.0023853i,-0.03205+0.033215i,-0.019101+0.0062293i,-0.017865+0.0082921i,-0.0027781-0.017127i,-0.03838-0.018539i,-0.0091278+0.00211i,-0.027301+0.012483i,0.0037738+0.015385i,-0.00016603+0.0056414i,-0.0081624-0.0019803i,-0.00062389+0.0015794i,-0.016982-0.0034464i,0.0063141+0.013358i,-0.00054062+0.0072629i,-0.0020588+0.0040366i,0.0015076+0.0069705i,0.0026068+0.002863i,-0.0011354+0.020787i,0.002805+0.015146i,0.0054481-0.0052826i,0.012809-0.0059527i,0.0079567+0.0024783i,-0.0039019-0.0087912i,-0.00034499-0.0017236i,0.02588-0.034346i,0.009815+0.0055209i,0.010124-0.0020836i,0.0023618-0.00015276i,0.005585-0.0088857i,0.023154-3.6684e-05i,0.0052659-0.0024927i,0.0022577-0.0066581i,0.004141-0.0030889i,0.017766+0.0042448i,0.0057235+0.0036211i,0.003108-0.003764i,0.0079484+0.0094527i,-0.0014367+0.0044757i,0.0079592+0.0087322i,-0.012526-0.014462i,-0.0080163+0.001172i,-0.010863-0.01211i,-0.0088016-0.0073046i,-0.038306+0.0057773i,-0.0058181+0.0042409i,-0.011994-0.0020078i
0.0086169+0.010842i,0.0099226+0.014369i,0.0083457+0.021056i,-0.0024415+0.024037i,0.0060238+0.03103i,0.017455+0.017384i,0.0047697+0.028225i,-0.0025337+0.019872i,0.013495+0.0029813i,-0.00084907-0.0028253i,0.001336-0.00037329i,0.0037367-0.0047805i,0.00096746-0.0035534i,-0.0010734-0.0038423i,-0.001307-0.0014002i,0.00046332-0.0057705i,-0.0048829-0.0027073i,-0.00037957+0.0032614i,0.0014066+0.00028717i,0.001153+0.0012626i,-0.0016238+0.0017869i,0.00012154+0.00048758i,0.0019978-0.00045863i,-0.0048494-0.00017907i,-0.00014028-0.00017092i,-0.00082607+0.00096147i,-0.0016607+0.0014094i,-0.0013428+0.00083966i,-0.0021853+0.0013524i,-0.000367-0.00017621i,-0.0028498+0.0015935i,-0.00098496+0.00010003i,-0.0011869-0.0018951i,-0.00084886-0.0012901i,-0.0014773+0.0010471i,0.00044272-0.0012776i,-0.00082997+0.0018846i,0.0013957-0.0006766i,0.0039105+0.003479i,0.0031113+0.0026773i,0.00055644+0.001036i,-0.0011863+0.00094118i,-0.0019787-0.00052695i,0.003556+0.0033773i,0.01368+0.0029942i,0.024461-0.06112i,-0.019016+0.01561i,0.0052917-0.032644i,-0.034818-0.024115i,-0.010443+0.0057584i,-0.019851+0.038592i,-0.013891+0.011005i,-0.0065566+0.0025503i,-0.0052355-0.015856i,-0.042956-0.0048579i,-0.008876+0.0029707i,-0.02125+0.022808i,0.0070594+0.011065i,0.0011753+0.0043216i,-0.011548-0.004488i,-0.0032442+0.0051344i,-0.015733+0.0055418i,0.011476+0.0097178i,0.0011439+0.0090908i,-5.8368e-05+0.0043177i,0.0037957+0.0071595i,0.0041855+0.0028245i,0.0074103+0.01635i,0.0076769+0.0096209i,-0.0014977-0.0083459i,0.0060334-0.0077526i,0.007179+0.0012926i,-0.0043733+0.0005127i,-0.00049622+0.00082538i,0.0091914-0.037072i,0.012048+0.0027144i,0.0083447-0.004891i,0.0039006-0.0017719i,0.0010934-0.0058771i,0.021854-0.009935i,0.0029147-0.0034524i,-0.00043882-0.00626i,0.00048679-0.0023019i,0.015346-0.0024735i,0.0070235+0.0031585i,0.0021957-0.0023199i,0.011351+0.0055593i,-8.4916e-05+0.004963i,0.0090795+0.0045983i,-0.018226-0.012756i,-0.0042129-0.012989i,-0.0086933-0.0099895i,-0.0099598-0.0051669i,-0.037063+0.021351i,-0.0033809+0.0048156i,-0.009377+0.0027377i
0.010932+0.0087997i,0.011769+0.011622i,0.010977+0.015233i,0.00076634+0.022758i,0.011633+0.028803i,0.020065+0.013974i,0.009441+0.02624i,0.0014418+0.018831i,0.011846-0.00067797i,-0.001365-0.0023464i,0.0021233-0.0002899i,0.00064079-0.0055365i,-0.00026995-0.0037069i,-0.0019054-0.0034211i,-0.0017001-0.00088049i,-0.0018239-0.003973i,-0.0056415+0.00017582i,0.0012047+0.003317i,0.0018508-0.00082754i,0.0018498+0.00032629i,-0.00044299+0.0016855i,0.0012101+0.00020235i,0.0019277-0.0013131i,-0.0042229+0.00056594i,-6.6918e-05+9.9249e-05i,-5.7341e-05+0.001376i,-0.00045787+0.0016801i,-0.00058603+0.0011399i,-0.0020023+0.0014851i,-0.00035391-0.00012461i,-0.0018632+0.0024776i,-0.00088534+0.00061472i,-0.0020339-0.00087392i,-0.0016299-0.00070762i,-0.0012152+0.0019338i,0.0011314-0.0016702i,4.5262e-05+0.0018752i,0.00063084-0.0012185i,0.0027063+0.0077726i,0.0036586+0.0014898i,0.00088625+0.00084088i,-0.00022651+0.0015531i,-0.0022346-0.00010275i,0.004181+0.0017746i,0.01331-0.00054654i,0.0026085-0.061245i,-0.0086176+0.018454i,-0.0061801-0.033402i,-0.038115-0.015285i,-0.0046821+0.0072111i,-0.006046+0.038189i,-0.0063659+0.01039i,-0.006859-0.0041115i,-0.0070331-0.014602i,-0.040501+0.0090401i,-0.0078655+0.0048049i,-0.0089198+0.028512i,0.0074622+0.0064754i,-9.197e-05+0.0018204i,-0.018558+0.00046184i,-0.0011011+0.0070047i,-0.0097854+0.011198i,0.013054+0.0023619i,0.0048735+0.0092473i,-0.00080376+0.0045012i,0.0055542+0.0048817i,0.0053914+0.00045474i,0.0098417+0.0095249i,0.0082634+0.0040259i,-0.0073506-0.0032393i,0.0033758-0.0064332i,0.008339-0.00028118i,-0.0015365+0.0072243i,0.0020125+0.0021871i,0.0041186-0.048648i,0.013516-0.0029074i,0.0059232-0.0065681i,0.0023124-0.0034777i,0.0011455-0.0043821i,0.013545-0.017118i,0.0002804-0.00094858i,-0.0050268-0.0004554i,5.5417e-05+0.00056347i,0.011327-0.0059094i,0.01075-0.00066923i,0.0030494-0.0031427i,0.013398-0.00016043i,0.0027074+0.0040946i,0.0087521+0.0011989i,-0.021697-0.0053298i,-0.015856-0.020441i,-0.005956-0.011368i,-0.0086904-0.0037807i,-0.019816+0.032107i,-0.0032418-4.1961e-05i,-0.0078545-0.0013336i
0.01259+0.0056358i,0.013563+0.0085782i,0.011264+0.0098642i,0.0041982+0.021733i,0.01662+0.024382i,0.022054+0.010017i,0.013685+0.023289i,0.0049114+0.016747i,0.010052-0.0024946i,-0.0019241-0.0017784i,0.0025548-0.0015555i,-0.0017735-0.0039384i,-0.0014755-0.0035411i,-0.002859-0.0024456i,-0.0020754-0.00028834i,-0.0025048-0.0017712i,-0.0045272+0.0029694i,0.0022685+0.0022041i,0.0012396-0.0013412i,0.0017002-0.00096973i,0.0003302+0.0012882i,0.0017851-0.00059629i,0.0015151-0.0021494i,-0.0035759+0.0015195i,0.0003051-4.0224e-05i,0.00097392+0.00057654i,0.0005034+0.0012977i,0.0001224+0.00082817i,-0.0015882+0.0027399i,-0.0002391+0.00020437i,-0.00066019+0.0028185i,-0.00059311+0.00092421i,-0.0023357+0.00029617i,-0.0017187+0.00028549i,-0.0003358+0.0021928i,0.0013385-0.0029199i,0.0010756+0.0015607i,-0.00010994-0.0011574i,0.0011244-0.00015675i,0.0037319+0.00034849i,0.0013138+0.00027562i,0.00074851+0.0010591i,-0.0023356+0.0006443i,0.0029486-0.00043122i,0.012309-0.0034851i,-0.014101-0.049572i,-2.4253e-05+0.015242i,-0.01565-0.029808i,-0.039994-0.0060259i,0.00044126+0.0046632i,0.0048177+0.030806i,0.00056006+0.0058365i,-0.0075398-0.0043476i,-0.0072277-0.011947i,-0.033578+0.018509i,-0.0065288+0.0062719i,0.0024388+0.027354i,0.0088045+0.0036281i,-0.0029117+0.0027095i,-0.019628+0.0096838i,0.00029122+0.0086607i,-0.0040388+0.010588i,0.0095744-0.003637i,0.0081331+0.0077299i,0.00018042+0.0067249i,0.0052292+0.0039693i,0.0050265-0.0031217i,0.0088043+0.0035828i,0.0053597+0.00079706i,-0.0052897+0.0014431i,0.0014852-0.0059464i,0.0079094-0.0028918i,0.0062051+0.0065002i,0.0036461+0.00051259i,-0.013123-0.021308i,0.010324-0.0073924i,0.0030575-0.0091268i,0.0014287-0.002664i,0.00032001-0.0049889i,0.0052454-0.018259i,0.0033447+0.00018292i,-0.0036294+0.00087332i,0.0024991+0.0021289i,0.0080638-0.0062992i,0.0084058-0.0061183i,0.0015692-0.0036639i,0.010555-0.0068635i,0.0029483+0.0015475i,0.0080418-0.0025657i,-0.017068+0.0030279i,-0.025853-0.017311i,-0.0071572-0.017214i,-0.0079463-0.0044292i,-0.011733+0.026382i,-0.0085299-0.0005461i,-0.011241-0.00050976i
0.013179+0.0024764i,0.01388+0.0049704i,0.0097954+0.0060521i,0.0078775+0.020238i,0.020093+0.019273i,0.023094+0.0058465i,0.017223+0.019528i,0.0072728+0.014167i,0.0090219-0.0035443i,-0.0020688-0.0010508i,0.0016924-0.0025706i,-0.0025073-0.0020295i,-0.0025238-0.0030326i,-0.0030283-0.0013751i,-0.0021266+0.00052653i,-0.0023416-8.5367e-05i,-0.0024016+0.0046384i,0.0026646+0.0012292i,0.00097665-0.0014263i,0.00088722-0.0017967i,0.00053943+0.0008675i,0.0015761-0.0014002i,0.00053292-0.0027364i,-0.0022766+0.0018216i,0.00023742-0.00050557i,0.00082096-0.00063053i,0.00085971+0.00051619i,0.00052947+0.00038154i,-0.00030013+0.0019028i,0.00042484+0.00023348i,0.00034511+0.0027812i,-0.00016123+0.0010183i,-0.0019474+0.0015166i,-0.0015826+0.00094665i,0.00016112+0.0021117i,0.00053206-0.0040443i,0.0016539+0.0005641i,-0.00047886-0.00065988i,0.0014678-0.0012529i,0.003326-0.00068172i,0.0012621-0.00047272i,0.00095671+0.00045535i,-0.0011566+0.0013789i,0.0012591+0.00014822i,0.011044-0.005559i,-0.017324-0.03519i,0.00471+0.010078i,-0.02328-0.02327i,-0.038758+0.010761i,0.0028709-0.00028146i,0.015529+0.022579i,0.0034651-0.00034968i,-0.0062783-0.0051299i,-0.0061732-0.011747i,-0.026178+0.025026i,-0.0044805+0.0071659i,0.012584+0.02258i,0.0078995+0.00012839i,-0.0038047+0.0061389i,-0.015666+0.017601i,0.0033305+0.0091304i,0.0021231+0.0097007i,0.0041336-0.004475i,0.010612+0.0049476i,0.0031079+0.0078426i,0.0058976+0.0033938i,0.0033179-0.0049139i,0.005584+0.0027154i,0.0030588+0.0017285i,-0.0038437+0.0035528i,8.4781e-05-0.0046555i,0.0063925-0.0050056i,0.0090979+0.001169i,0.0038841-0.0016751i,-0.014723-0.01814i,0.0065073-0.010204i,-0.0012792-0.00795i,0.0026778-0.0031364i,-0.0011855-0.004276i,-0.00028116-0.016261i,0.0044814-0.002621i,-0.0014638+0.001948i,0.0050745+0.00033636i,0.0069037-0.0071457i,0.004611-0.0095471i,0.00091477-0.0033774i,0.0051936-0.0098374i,0.0019806+0.00047022i,0.0041362-0.006265i,-0.010515+0.0039803i,-0.034935-0.0076863i,-0.014898-0.020723i,-0.0086688-0.0058729i,-0.0077942+0.025311i,-0.012425+0.0032907i,-0.010487+0.0029137i
0.013186-0.00062012i,0.013312+0.0021914i,0.0079191+0.0041222i,0.011247+0.017599i,0.021779+0.013855i,0.023593+0.0016875i,0.020111+0.015283i,0.0090054+0.011574i,0.0085221-0.0049983i,-0.0022026-0.00070992i,0.00021421-0.0029337i,-0.0024842-0.00052065i,-0.003614-0.0022335i,-0.0029046-0.00070672i,-0.0019573+0.0012756i,-0.001711+0.0011268i,0.0001606+0.0050918i,0.0027461+0.00016891i,0.00040153-0.0017508i,-5.2276e-05-0.0019285i,0.00096658+0.00068131i,0.0011445-0.0021024i,-0.00056208-0.0027086i,-0.0018104+0.0011841i,-8.0212e-05-0.00055141i,1.2061e-05-0.0012942i,0.00076568-0.00026i,0.00072552-0.00036658i,0.00096708+0.0012342i,0.00069361-0.00043227i,0.0011023+0.0025503i,0.00027791+0.00082567i,-0.00096056+0.0022471i,-0.001058+0.0014184i,0.00065802+0.0020884i,-0.00081235-0.0044387i,0.0014181-0.0006183i,-0.00044401-0.00038734i,0.00051959-0.001711i,0.0026992-0.0011139i,0.00093116-0.00067586i,0.0009626+0.00011947i,-0.0011763+0.00046244i,0.0010165+0.001435i,0.0097946-0.0069035i,-0.015238-0.029324i,0.0067588+0.0059691i,-0.02659-0.013297i,-0.036145+0.023486i,-8.7769e-05-0.0048856i,0.018906+0.016981i,0.0042924-0.0056909i,-0.0052-0.0059029i,-0.0074819-0.010967i,-0.0194+0.029508i,-0.0033343+0.0076158i,0.018065+0.010577i,0.0064727-0.0025134i,-0.0018377+0.0091939i,-0.0076913+0.022834i,0.0065613+0.0077926i,0.0040215+0.0065857i,0.0020045-0.0024644i,0.012388+0.00067774i,0.0061314+0.0071125i,0.0065224+0.0024609i,-7.2072e-06-0.0075262i,0.0048204+0.0040925i,0.0038601+0.0032248i,-0.00083835+0.0059774i,0.0002009-0.004087i,0.0049122-0.0058176i,0.0091487-0.003797i,0.0031746-0.0039129i,-0.021386-0.016597i,0.0022614-0.010859i,-0.0044243-0.0062591i,0.0012017-0.0045981i,-0.0018969-0.0026315i,-0.0029368-0.013251i,0.0025516-0.0049009i,0.00064562+0.0018199i,0.005155-0.0033217i,0.004354-0.0091386i,-0.0013269-0.010831i,0.00023474-0.0038644i,-6.5851e-05-0.0098556i,0.0017033-0.00098391i,-0.00099858-0.0054189i,-0.0073784+0.0033795i,-0.033557+0.007904i,-0.023549-0.01689i,-0.010329-0.0057199i,-0.0039779+0.025033i,-0.011168+0.0088099i,-0.006569+0.0038217i
0.012291-0.0034903i,0.012653-1.3385e-06i,0.0065113+0.0035918i,0.013627+0.014098i,0.022241+0.0093312i,0.023344-0.0028182i,0.021982+0.010673i,0.010075+0.0090697i,0.0077346-0.0064672i,-0.0024003-6.4178e-05i,-0.0011069-0.0023064i,-0.001561+0.00065211i,-0.0043685-0.00084183i,-0.0029497-0.00031839i,-0.0015849+0.0019732i,-0.00089571+0.0018133i,0.0026265+0.0046002i,0.0023629-0.00048668i,-2.3479e-05-0.0016333i,-0.0008363-0.0015422i,0.0012291+0.00017602i,0.00026665-0.0025665i,-0.0013494-0.0021047i,-0.0020523+0.0012913i,-0.00027146-0.00074838i,-0.00099493-0.0012834i,0.00040658-0.0007609i,0.00028751-0.0011232i,0.0014115+0.00017872i,0.00032813-0.0011622i,0.0019326+0.001999i,0.00053893+0.00068842i,0.00039862+0.0022249i,-0.00041152+0.0015215i,0.0013122+0.0013713i,-0.002677-0.0042651i,0.00084984-0.0010148i,-0.00062298-0.00044782i,0.00013685-0.0016576i,0.0021506-0.0013545i,0.00069502-0.00094054i,0.0010642-0.00019668i,-0.0012038+0.00057632i,0.0016476+0.0017352i,0.0090648-0.0088054i,-0.015737-0.028163i,0.0081804+0.0026357i,-0.024129-0.0050226i,-0.023132+0.030557i,-0.0027528-0.0051476i,0.020665+0.010492i,0.0031389-0.01071i,-0.0045568-0.0074259i,-0.0064501-0.0088151i,-0.010909+0.033309i,-0.00079551+0.0077154i,0.012746-0.00021964i,0.0037922-0.0049569i,0.001314+0.010035i,0.00057852+0.022122i,0.008125+0.0044728i,0.0050814+0.0036283i,0.00215-0.0017228i,0.011773-0.0034463i,0.010012+0.0047192i,0.0072121+0.0019653i,-0.0047132-0.0043262i,0.0064814+0.0042629i,0.0052801+0.0033997i,0.0027714+0.0056852i,-0.00058545-0.0042373i,0.0033002-0.007304i,0.0067758-0.0099662i,-0.00013653-0.0047489i,-0.026446-0.0090811i,-0.0014073-0.010284i,-0.005758-0.0027173i,0.0011413-0.0028939i,-0.0022205-0.0019101i,-0.0042963-0.013018i,-0.0001974-0.0056539i,0.0016267+9.4641e-05i,0.0027968-0.0048422i,0.00117-0.0090122i,-0.0063686-0.0072518i,-0.0013695-0.0039186i,-0.0043064-0.0064971i,-4.6783e-05-0.0016154i,-0.0027972-0.0022968i,-0.0045174+0.003096i,-0.026446+0.011298i,-0.023918-0.011187i,-0.01246-0.0046493i,0.00092884+0.022877i,-0.0089542+0.010805i,-0.0050233+0.0023564i
0.010843-0.005819i,0.012079-0.0017385i,0.0061135+0.0039668i,0.014915+0.010621i,0.021971+0.0053348i,0.022016-0.007014i,0.023165+0.0058121i,0.010768+0.0067964i,0.006735-0.0081076i,-0.0023037+0.00060414i,-0.0016073-0.0011671i,-0.00057298+0.00058513i,-0.0045431+0.00083357i,-0.0032263+0.0004358i,-0.00083864+0.0025495i,5.2081e-05+0.0017949i,0.0044759+0.0030854i,0.0021274-0.0010699i,-0.00028362-0.0015488i,-0.0010494-0.00079787i,0.0011965-0.00043136i,-0.00064249-0.0022164i,-0.0017253-0.0014059i,-0.0017658+0.0019195i,-0.00081478-0.00079215i,-0.0016639-0.00070314i,-0.00025416-0.0011045i,-0.00059238-0.0014634i,0.00112-0.00080931i,-0.00038027-0.0015036i,0.0022759+0.0010492i,0.00081892+0.00033314i,0.0011193+0.0012638i,-9.473e-05+0.0014682i,0.0012765+0.00074829i,-0.0045017-0.003526i,0.00016225-0.0013899i,-0.00098786-0.00015376i,-0.00074989-0.0019629i,0.0018885-0.0013869i,0.00032455-0.0011033i,0.00095373-0.00055886i,-0.0012519+0.0006262i,0.0022266+0.0016247i,0.0074965-0.01115i,-0.020308-0.027033i,0.00801-0.0013398i,-0.021592+0.00061815i,-0.010517+0.031482i,-0.0056817-0.0049612i,0.021589+0.0033629i,0.00061666-0.013717i,-0.0050024-0.0088371i,-0.0032643-0.0065637i,-0.0017959+0.03384i,0.0014723+0.0065338i,0.0067815-0.0013709i,0.00068361-0.005853i,0.0055247+0.010238i,0.0075464+0.018017i,0.0072491+0.0012295i,0.0052939+0.00090763i,0.0011431-0.001177i,0.0093124-0.0076621i,0.012387+0.00056967i,0.0081527+0.00010568i,-0.0053561-0.0014181i,0.0081695+0.0037535i,0.0072694+0.0032609i,0.0062145+0.0031161i,-0.0014377-0.003862i,0.0015774-0.0084108i,0.00049538-0.012001i,-0.0017299-0.0026415i,-0.028728+0.00091253i,-0.0040987-0.0091311i,-0.0051673-6.1192e-05i,0.0014961-0.0028843i,-0.002417-0.0011011i,-0.0076347-0.012907i,-0.0026885-0.0051871i,0.0018546-0.00069291i,0.00066966-0.0055097i,-0.00014619-0.0082131i,-0.0082986-0.0038415i,-0.0033733-0.0025407i,-0.0068504-0.0029931i,-0.00046454-0.0012379i,-0.0024236-0.00061658i,-0.0021123+0.0022461i,-0.02372+0.01308i,-0.023073-0.0090231i,-0.013919-0.0019516i,0.0028585+0.021367i,-0.0079497+0.011249i,-0.0041631+0.0014368i
0.0092185-0.0076221i,0.011709-0.0035207i,0.0070539+0.0039271i,0.015546+0.0075996i,0.021829+0.0020822i,0.019957-0.010691i,0.023247+0.00047761i,0.011216+0.0045124i,0.005217-0.0095932i,-0.0020854+0.0010498i,-0.0014217-0.00058409i,-0.00050824-9.6815e-06i,-0.0039529+0.0024264i,-0.0029282+0.0013263i,0.00013535+0.0025851i,0.00049654+0.0014036i,0.0048069+0.00059119i,0.0013553-0.0017581i,-0.00069851-0.0012983i,-0.00084285-0.0002817i,0.0011109-0.00087926i,-0.001011-0.0017688i,-0.0018004-0.00069426i,-0.0010141+0.0022112i,-0.0013568-0.00053836i,-0.0019293+1.3498e-05i,-0.0011974-0.0009979i,-0.0015518-0.0011557i,0.00036875-0.0015925i,-0.0012093-0.0014148i,0.0025097+0.000373i,0.00065632-2.3897e-05i,0.0011152+0.00056651i,0.00025892+0.0014919i,0.0011767+0.00042962i,-0.0059653-0.0020345i,-0.000801-0.0012874i,-0.00098938+0.00023937i,-0.0018194-0.0016157i,0.0017032-0.0015265i,2.298e-05-0.0010174i,0.00076204-0.00078838i,-0.0014036+0.00079443i,0.002776+0.0013701i,0.0047771-0.01239i,-0.02552-0.021859i,0.0067672-0.0045227i,-0.015626+0.005351i,0.00029832+0.030818i,-0.0072964-0.0010434i,0.021156-0.0040102i,0.00013408-0.016728i,-0.0052537-0.0096333i,0.00096926-0.0038756i,0.0061149+0.031735i,0.0021074+0.004484i,0.0036304-0.0017591i,-0.003178-0.0055883i,0.010198+0.0071093i,0.010148+0.012154i,0.0042537-4.8106e-06i,0.0050121-0.0027661i,0.002053+0.0012907i,0.0043641-0.0103i,0.01227-0.005894i,0.0085437-0.0020019i,-0.0055648+0.0021167i,0.010774+0.0022121i,0.0097277+0.00011285i,0.0067342-0.001199i,-0.002098-0.003226i,-0.0011562-0.008409i,-0.0063256-0.0093366i,-0.0012215-0.00072309i,-0.028593+0.01102i,-0.0059964-0.0081375i,-0.004138+0.0017521i,0.00084644-0.0053747i,-0.0022426+0.00025522i,-0.012265-0.010526i,-0.0049004-0.0029246i,0.0012735-0.0020545i,-0.0013612-0.0050964i,-0.0021811-0.007977i,-0.0084877+0.00090136i,-0.0039021-7.0535e-05i,-0.0058227-0.0010326i,-0.0010688-0.0021513i,-0.001744-0.00029709i,-0.00035329+0.0015293i,-0.02232+0.019255i,-0.02367-0.0089894i,-0.010909-0.00016311i,0.0057413+0.020142i,-0.0073821+0.013579i,-0.0027683-0.0007083i
0.0075629-0.0089802i,0.011048-0.0054011i,0.0081587+0.0027276i,0.015871+0.004402i,0.021449-0.0011339i,0.017458-0.013752i,0.021871-0.004377i,0.011366+0.0021714i,0.0035136-0.010571i,-0.0019332+0.0015772i,-0.0017978-0.00018584i,-0.0010701-9.3614e-05i,-0.0029293+0.0034077i,-0.0024375+0.0020451i,0.00078681+0.0021594i,0.00033781+0.0010354i,0.0040198-0.0011298i,0.00071755-0.0017018i,-0.00074071-0.0008956i,-0.00047574-3.8969e-05i,0.00099409-0.0013551i,-0.001133-0.0015173i,-0.0014983-0.0002004i,-0.00028217+0.002336i,-0.0016513-0.00015039i,-0.0019866+0.00093531i,-0.0019168-0.0003596i,-0.0021121-0.00032571i,-0.00077318-0.0018123i,-0.0020541-0.00091944i,0.0023031-0.00053121i,0.00047526-0.00018554i,0.0010435+9.609e-05i,0.00095119+0.0014276i,0.0009247+0.00015058i,-0.0066435+0.00015377i,-0.0013726-0.00086446i,-0.00093051+0.00038797i,-0.0025808-0.00074475i,0.001291-0.0018733i,-0.00010095-0.00087388i,0.00063628-0.0011006i,-0.0014459+0.0011717i,0.0031551+0.00078316i,0.0025386-0.012469i,-0.025668-0.01426i,0.0038877-0.0063631i,-0.0096372+0.0056143i,0.011001+0.027387i,-0.0054973+0.0034017i,0.017827-0.011147i,-0.0032623-0.022575i,-0.0062926-0.0098634i,0.00078871-0.0021113i,0.014434+0.027069i,0.001633+0.003085i,0.00087452-0.0014523i,-0.0055539-0.0030926i,0.012007+0.0013122i,0.0063361+0.0093976i,0.0016409+0.00067133i,0.0016163-0.0063623i,0.005059+0.00054958i,-0.00063353-0.0095328i,0.0077158-0.010151i,0.0078987-0.0047164i,-0.0048629+0.0045544i,0.012151-0.0027165i,0.0087214-0.0047279i,0.0046786-0.0049389i,-0.0026366-0.0025883i,-0.0036676-0.0073966i,-0.0045598-0.0065655i,2.3243e-05-0.00086592i,-0.02251+0.021596i,-0.0087527-0.0062678i,-0.0023173+0.0030909i,-0.0022098-0.0048282i,-0.0013653+0.00085571i,-0.015645-0.0052981i,-0.004819+0.00026048i,-8.1066e-05-0.0028764i,-0.0032908-0.0038495i,-0.004265-0.0061952i,-0.0060334+0.0037265i,-0.0024021+0.0016511i,-0.0059762+0.0029051i,-0.0035129-0.0026523i,-0.0019931-0.00045434i,0.0035744+0.0011262i,-0.01162+0.024528i,-0.026871-0.0071438i,-0.010189-0.0023263i,0.0079032+0.018158i,-0.0047086+0.016198i,-0.0037732-0.0038324i
