-0.023966-0.019999i,-0.032761-0.035827i,-0.023193-0.020256i,-0.032466-0.020355i,-0.024382+0.0035428i,-0.029148-0.018666i,-0.054726-0.04918i,-0.041879-0.044359i,-0.032125-0.022807i,0.0052506+0.0053608i,-0.0035628+0.0064144i,-0.01088+0.011741i,0.0044783+0.0072511i,-0.0034136-0.0026393i,0.0029827+0.002002i,0.000821+0.029251i,0.024167+0.028416i,-0.00030863+0.00031662i,-0.0030354-0.002513i,0.0068356+0.0035242i,0.001916+0.00066491i,-0.00019992+0.002254i,-0.00080201+0.00037313i,-0.032105-0.0029492i,-0.003601-0.0050022i,-3.2764e-06+0.0023574i,0.003776-0.0014171i,0.00070431-0.00033463i,-0.00070707-0.00038779i,-0.0012384-0.0019358i,-0.002574-0.00053985i,-0.0039953-0.004005i,-0.0037534-0.0054741i,0.00034268-0.0013523i,0.00034439-0.0030743i,-0.0021061+0.025673i,0.0016411-0.0030157i,0.0021394-0.004206i,0.0041688-0.0026406i,-0.0056593-0.0019733i,0.00075312+0.0013781i,0.0082215-0.00018434i,-0.0020291-0.00029378i,-0.0033242+0.00084065i,-0.0082237-0.0044588i,-0.017764+0.020919i,-0.0091226-0.08839i,-0.0031828-0.062186i,-0.021141-0.054587i,-0.011291-0.046156i,0.051859-0.028195i,0.023397-0.067521i,0.040487-0.054703i,0.018383-0.040344i,0.026357-0.01991i,0.012414+0.012273i,0.02476-0.027782i,-0.0094434-0.00010595i,-0.0015469-0.00017901i,-0.0085165-0.0010596i,-0.0060406-0.029654i,-0.020585+0.026361i,0.0072916-0.0097725i,-0.010826-0.0032169i,-0.0026033-0.0017448i,-0.00045636-0.015038i,-0.0079334+0.0051746i,0.0062176+0.010122i,-0.010318+0.029236i,0.0066015+0.0077766i,-0.0035814-0.0016235i,-0.0022479-0.0014717i,-0.013194-0.0059202i,0.00040988-0.0044347i,-0.033488+0.0036364i,0.0032323-0.0086365i,-0.0072726-0.0020969i,-0.0052813-0.0032342i,0.0070585+0.0017427i,-0.010267+0.00043076i,0.0022057-0.00050371i,0.0059453+0.0082654i,0.0054745+0.0013916i,-0.0079454-0.0096137i,0.0028821+0.0079141i,-0.019666+0.0074593i,0.002867+0.0055217i,-0.021025-0.0089291i,-0.027444-0.0047735i,0.0087358-0.062415i,0.018491-0.015258i,-0.050539-0.02824i,-0.021919+0.00058183i,0.019046+0.010538i,-0.026968+0.012076i,-0.012576-0.0078431i
0.0061683+0.0054625i,0.039052+0.01601i,0.020728-0.0046462i,0.013636+0.001448i,0.0094263-0.0020309i,0.016511-0.0072192i,0.012104+0.01548i,0.021322+0.017046i,0.0014359-0.0016841i,0.001565+0.00055903i,0.0026197-0.0013456i,0.0012274-0.0038159i,9.2894e-05-0.001232i,0.0022039-9.0103e-05i,0.0053919-0.0011816i,0.005772+0.0010597i,0.0050156-0.0050704i,0.0001225-0.0011866i,-0.0023184+1.7833e-05i,0.00060819+0.00076316i,0.00021647-0.00010522i,-0.0022703-0.0004842i,-0.0016183-4.1452e-05i,0.0060221+0.0080874i,-0.00062034+0.00023015i,0.00036862+0.00076335i,0.00096301+0.0010128i,2.6206e-05+0.0012643i,-0.00034473-0.00031899i,-0.001229-4.6919e-05i,0.00060284-0.0012255i,-0.00053197+0.00045493i,0.00013123+0.00060819i,-3.7304e-05+0.00058228i,-0.00031568-0.0011148i,-0.0087048+0.0068369i,0.00054447+0.00021874i,-0.00056799+2.0377e-05i,-0.00022341+0.0013888i,-0.00049719-0.0027364i,-0.00073022+0.00027331i,-0.00048601-0.00032487i,0.0012237+0.0020676i,0.0040482-0.0023451i,0.0010741+0.0051226i,-0.049805+0.012133i,-0.0033232+0.0313i,-0.012649+0.042666i,-0.0079912+0.06509i,-0.016326+0.044106i,-0.0065016+0.020503i,-0.0078981+0.015181i,-0.048039+0.0045967i,-0.025305-0.0070753i,0.015177+0.024277i,0.00042229+0.0056614i,-0.0072354+0.0016782i,-0.014349-0.0016676i,0.0035988-0.00027584i,0.0068085+0.013586i,-0.006624+0.0070611i,-0.0049392-0.0059701i,0.0054082-0.0029602i,-0.006565-0.0052749i,0.0037189-0.0065669i,0.0042207-0.0024246i,-0.0021835+0.010168i,0.011664-0.0056864i,0.0060578-0.0045009i,0.0054427-0.0083027i,0.0030567+0.00076255i,-0.0020621-0.0060089i,-0.0037712-0.0013851i,0.0019468-0.0015183i,-0.010743+0.032418i,-0.0044958-0.0053563i,0.003301+0.00011907i,-0.00042275-0.0070629i,0.0031737-0.0014797i,-0.012984-0.0054937i,0.00087761+0.00078445i,0.0042969-0.0018031i,0.0024839-0.0013015i,0.0012723-0.0055391i,-0.0023406+0.0054775i,-0.00026391+0.0059677i,-0.0047136+0.0068281i,-0.0046091+0.0024339i,-0.0059292+8.5524e-05i,-0.023887+0.020507i,-0.0083793+0.013099i,-0.02206-0.011632i,-0.0088631-0.0082691i,0.0090059+0.020731i,-0.00011794+0.019862i,-0.009212-0.0037295i
0.0065115+0.0033093i,0.040562+0.0080538i,0.019637-0.0085189i,0.013983+2.6443e-05i,0.010083-0.0035855i,0.014993-0.01048i,0.013168+0.012592i,0.024289+0.01315i,0.000727-0.0019699i,0.001734+5.1623e-06i,0.0023194-0.0017999i,-0.0003597-0.0026298i,-7.7369e-05-0.00070151i,0.0021075-0.00010274i,0.004655-0.0023115i,0.0055402+0.00029182i,0.0030246-0.0051787i,9.0441e-05-0.0010013i,-0.0024708+0.00016784i,0.00087168+0.00013746i,3.6746e-05-0.00055513i,-0.0022444+7.7895e-05i,-0.0015645+0.0002024i,0.0097481+0.005027i,-0.00082536+0.0010229i,0.00090342+0.00047222i,0.0010683+0.00036566i,0.00052098+0.0010233i,-0.00079803+0.00019877i,-0.0012798+0.00047694i,-0.00014976-0.0012459i,-0.00050456-1.3178e-06i,0.00018477+0.00047477i,0.00025197+0.00053391i,-0.0007796-7.5014e-05i,-0.0047736+0.0082729i,0.00027201-2.9012e-05i,-0.00039304+0.00044896i,0.00022034+0.0013066i,-0.0011968-0.0019214i,-0.00056498+0.00018566i,-0.00072494+2.9334e-05i,0.0015583+0.001661i,0.0028225-0.0027982i,0.0027709+0.0048118i,-0.044236+0.019905i,-0.0001272+0.032176i,-0.0035975+0.042687i,0.0082428+0.061833i,-0.0058056+0.043045i,-0.0081406+0.016992i,-0.0108+0.012669i,-0.049626+0.008713i,-0.021149-0.0086699i,0.020078+0.019248i,0.00065381+0.0053149i,-0.0061498+0.0069512i,-0.013562+0.0026144i,0.0021631-0.0018641i,0.010177+0.011629i,-0.002117+0.011643i,-0.0083701-0.0045979i,0.0021514-0.0043563i,-0.006622-0.0017592i,-0.0007963-0.0063172i,0.0025165-0.0039916i,0.0023455+0.0077585i,0.0071132-0.0086679i,0.0024724-0.0060701i,0.00088144-0.0057572i,0.00407-0.00013541i,-0.0032585-0.0046369i,-0.0022252+0.00091665i,0.0018942-0.0014651i,0.0052753+0.02995i,-0.0059879-0.004307i,0.0035879-0.0018029i,-0.0036552-0.0062274i,0.0033764-0.0023123i,-0.013594+0.0005018i,0.0017806+0.0011398i,0.0030904-0.0020158i,0.0026359-0.002327i,-0.00014335-0.0056937i,-0.00068834+0.002862i,0.002104+0.0048958i,-0.0009623+0.0084237i,-0.0034283+0.0045834i,-0.0066121+0.00086353i,-0.018425+0.019454i,-0.0065499+0.015737i,-0.024917-0.0063417i,-0.011081-0.01141i,0.011866+0.020028i,0.00392+0.021426i,-0.011703-0.0035655i
0.0061137+0.0016678i,0.040286-0.00044416i,0.017996-0.013099i,0.015152-0.0026897i,0.010923-0.0059211i,0.012583-0.013758i,0.013498+0.00959i,0.024999+0.0078556i,0.00039009-0.0018679i,0.0014449-0.00060905i,0.0015781-0.0025148i,-0.00052643-0.0013094i,-5.8983e-05-0.00065148i,0.0020915-0.00060416i,0.0036788-0.0032004i,0.0051052-0.00052219i,0.0014235-0.0050671i,-0.00016923-0.0011321i,-0.0023578+0.0010415i,0.00069813-0.00072535i,-0.00069038-0.0009144i,-0.0019721+0.00065465i,-0.001596+0.00049798i,0.010452+0.00022368i,-0.00010813+0.0014208i,0.00088551-0.00013764i,0.00077267-2.3037e-05i,0.00093369+0.00049081i,-0.00048283+0.00067076i,-0.0010981+0.00097302i,-0.00076681-0.00095887i,-0.0010737+0.00047613i,0.00035916+0.00039455i,0.00039596+0.00025865i,-0.00030766+0.00062562i,-0.0035232+0.0096402i,9.7625e-05+0.00017924i,-0.00010331+0.00042527i,0.00048366+0.0010317i,-0.0015564-0.0013547i,-0.00046233+6.1182e-05i,-0.00054372+0.00032317i,0.0018254+0.0015107i,0.0020328-0.0028971i,0.0050107+0.0035526i,-0.038107+0.025788i,0.0045909+0.033115i,0.0052226+0.039318i,0.023196+0.053357i,0.0034146+0.042148i,-0.011143+0.016175i,-0.013289+0.013388i,-0.049888+0.01561i,-0.01975-0.011976i,0.023392+0.01165i,0.00085797+0.0051786i,-0.0036545+0.0087454i,-0.012789+0.0060304i,-8.7116e-05-0.0036205i,0.012987+0.0081793i,0.003561+0.012114i,-0.010975-0.0018378i,0.00026271-0.0030499i,-0.0057956+0.00096724i,-0.0028005-0.0040919i,0.00047669-0.0037926i,0.0046359+0.0070956i,0.0038674-0.0089337i,-0.0012662-0.0048864i,0.00044321-0.0029529i,0.0043272-0.0022784i,-0.0049822-0.0032902i,-0.00074964+0.00085646i,0.001151-0.0022251i,0.018436+0.022885i,-0.0076684-0.0021376i,0.003051-0.0031591i,-0.0039513-0.0043515i,0.0036056-0.0040797i,-0.010757+0.0060571i,0.0034353+0.00071579i,0.002124-0.0023851i,0.001611-0.0027269i,-0.0020838-0.0050545i,-0.0014264+0.0025984i,0.0032354+0.0030609i,0.0026841+0.0081883i,-0.0018016+0.0051821i,-0.0073032+0.0027692i,-0.015736+0.017988i,-3.5515e-05+0.016647i,-0.02563-0.0020225i,-0.014438-0.012867i,0.017087+0.016963i,0.009213+0.022067i,-0.014263-0.0018398i
0.0054522+0.00066865i,0.037163-0.0076827i,0.014429-0.017383i,0.014931-0.0068895i,0.010539-0.0092352i,0.0092155-0.015886i,0.013341+0.007465i,0.023898+0.004546i,0.00037819-0.0023457i,0.00084541-0.00073744i,0.00064755-0.0023314i,-0.00019218-0.00074498i,-0.00050208-0.00043916i,0.0017117-0.00079791i,0.0023883-0.0037218i,0.0045196-0.00092791i,0.00011191-0.0044336i,-0.00040529-0.00098829i,-0.0013539+0.00177i,-1.0379e-05-0.0010979i,-0.0012045-0.00036923i,-0.0016635+0.0012581i,-0.0014794+0.00098115i,0.0087273-0.0036367i,0.00038358+0.0012512i,0.0005479-0.00030366i,0.00063396-9.054e-05i,0.00066719+1.3297e-05i,-9.9733e-05+0.00064656i,-0.00068203+0.0014998i,-0.0011399-0.00035138i,-0.00057579+0.00118i,0.00046192+0.00020068i,0.00035864+3.2201e-05i,0.00017354+0.00076572i,-0.00014788+0.0098238i,0.00022034+0.0002034i,-7.364e-05+0.00028646i,0.00056665+0.00090573i,-0.0019175-0.00060696i,-0.00050152-1.0824e-06i,-0.00038663+0.00046951i,0.0022358+0.0011926i,0.001434-0.0026438i,0.0066865+0.00083822i,-0.030594+0.030459i,0.010462+0.032751i,0.010455+0.035032i,0.034898+0.039978i,0.01301+0.037486i,-0.014434+0.018514i,-0.015964+0.016071i,-0.048415+0.023812i,-0.02129-0.015127i,0.024154+0.0033285i,0.0015378+0.0055518i,-0.0010547+0.011424i,-0.010935+0.0098067i,-0.0043006-0.0026594i,0.014755+0.0032436i,0.0087351+0.010258i,-0.011965+0.0019048i,-0.00050926-0.0023689i,-0.0040582+0.0027168i,-0.0036606-0.0013156i,-0.00043965-0.0032028i,0.0068054+0.0038183i,0.0011066-0.0087335i,-0.0032749-0.0016966i,0.0012646-0.001854i,0.0031191-0.0043555i,-0.0058702-0.00061043i,0.00033916+0.00096934i,0.00052186-0.002185i,0.026394+0.010783i,-0.007926+0.0014392i,0.0021011-0.0044823i,-0.0042726-0.0025718i,0.0019192-0.006275i,-0.005928+0.0082583i,0.0044037-0.001006i,0.0012876-0.0018719i,0.0010364-0.0025664i,-0.0028678-0.0028003i,-0.0016175+0.003624i,0.003185+0.0012223i,0.0056738+0.006797i,-0.00046333+0.0047717i,-0.0073321+0.0052735i,-0.013955+0.018978i,0.0085467+0.011608i,-0.024401+0.0032551i,-0.019858-0.012725i,0.018815+0.011589i,0.015534+0.020325i,-0.014014+0.00013982i
0.0053407+0.00013875i,0.033947-0.012821i,0.010095-0.020077i,0.013492-0.010825i,0.0088145-0.012267i,0.0060165-0.01718i,0.013337+0.0062082i,0.023493+0.0019017i,0.00031024-0.003028i,0.00030572-0.00057319i,8.1202e-05-0.0022336i,0.00014916-0.00066828i,-0.00067275+0.00020235i,0.0014407-0.0009837i,0.0012208-0.0035661i,0.0044252-0.0010458i,-0.00052979-0.0034929i,-0.00082321-0.00081398i,-0.00052426+0.0018243i,-0.00063719-0.00094575i,-0.0013043+5.0982e-05i,-0.00091324+0.001718i,-0.0010995+0.0014757i,0.0057919-0.0061295i,0.00069226+0.00099993i,0.00033384-0.00029993i,0.00047367-0.00027211i,0.00042193-8.7882e-05i,1.5858e-05+0.00062768i,7.3884e-05+0.0016824i,-0.001109+0.00026414i,-4.8291e-05+0.0013186i,0.00048287-0.00011343i,0.00034605+0.00017126i,0.00067254+0.00072095i,0.0027399+0.008112i,0.00016099+0.0002862i,-0.00015994+0.00031766i,0.00092868+0.00073669i,-0.0018634+0.00027068i,-0.00063811-0.00019081i,-0.0002301+0.0004591i,0.0024456+0.0004549i,0.00099935-0.0027418i,0.0065659-0.0024369i,-0.021931+0.032889i,0.016937+0.03067i,0.015885+0.032278i,0.039364+0.024687i,0.018876+0.030713i,-0.01502+0.024142i,-0.016177+0.022512i,-0.044871+0.033018i,-0.025647-0.015917i,0.020217-0.0038831i,0.0028377+0.0056974i,0.0040997+0.011437i,-0.0076109+0.012558i,-0.0057882+0.00092315i,0.013781-0.00328i,0.012479+0.0064664i,-0.011784+0.0056655i,-0.00070274-0.00069743i,-0.0023994+0.0035729i,-0.0019413+0.00055936i,-0.0021027-0.0021772i,0.0069647+0.00089496i,-0.0013698-0.0075145i,-0.0030249+0.001412i,0.0024917-0.0022712i,0.0010836-0.005425i,-0.004068+0.0014693i,0.0017542+0.00033155i,0.00018801-0.0017844i,0.027221-0.0018491i,-0.0056171+0.0044221i,0.00039809-0.0052832i,-0.0035042-0.0017364i,-0.00064112-0.006861i,-0.0020229+0.0077685i,0.0038647-0.003031i,0.0012285-0.0010011i,0.0012662-0.0022613i,-0.0016402-0.0020826i,3.8284e-05+0.0047073i,0.0019389+1.6106e-05i,0.0071639+0.0042413i,-0.00010265+0.0035442i,-0.0055404+0.0080264i,-0.010313+0.020088i,0.011302+0.00073126i,-0.020333+0.0052595i,-0.025876-0.010089i,0.019814+0.0066274i,0.020011+0.013926i,-0.014718+0.00034164i
0.0054375-0.00081908i,0.030945-0.017491i,0.0059828-0.021795i,0.011186-0.014578i,0.0065798-0.014703i,0.0026202-0.018042i,0.014316+0.005042i,0.023373-0.0015824i,2.5016e-05-0.0040773i,-0.00022094-0.00015719i,-0.00046459-0.001947i,0.00036181-0.00067996i,-0.00024393+0.00085362i,0.0010514-0.00099972i,0.00047422-0.0032688i,0.0047559-0.0013946i,-0.00069365-0.0032945i,-0.00085869-0.00046495i,0.0001532+0.0016459i,-0.001032-0.00059354i,-0.00098167+0.00044942i,2.3475e-05+0.0015486i,-0.00047542+0.0016978i,0.0024441-0.0069967i,0.001176+0.00066288i,0.00018167-0.00034211i,0.00034551-0.00038554i,0.00028794-0.00016774i,0.00022526+0.00059528i,0.00070384+0.0013383i,-0.00081629+0.00060357i,0.000505+0.0011126i,0.00025887-0.0002033i,0.0005069-1.8255e-05i,0.00097039+5.5442e-05i,0.0040988+0.007322i,0.00027179+0.00031359i,-3.4047e-05+0.00045653i,0.00089169+0.00039489i,-0.0012254+0.0007431i,-0.00091824-6.3857e-05i,-6.0994e-05+0.0003596i,0.0023356-0.00014012i,-0.00056027-0.0020756i,0.0055074-0.0052816i,-0.013987+0.032531i,0.022813+0.026256i,0.021668+0.028167i,0.039323+0.010889i,0.022134+0.024084i,-0.011824+0.030526i,-0.011993+0.02967i,-0.037182+0.04309i,-0.030575-0.013244i,0.015584-0.007394i,0.0042879+0.0048185i,0.007675+0.0088128i,-0.0037507+0.014629i,-0.005021+0.0036362i,0.0094167-0.0090785i,0.013687+0.00056278i,-0.010648+0.0082953i,0.00047388+2.6011e-05i,-0.00072449+0.0034027i,-0.00037993+0.00050696i,-0.0022171+9.2044e-05i,0.005627-0.00090444i,-0.0028681-0.0054511i,-0.00083396+0.0031775i,0.0026541-0.0040967i,-0.0010641-0.0051131i,-0.0027638+0.0018894i,0.0021095-0.0010814i,0.00070808-0.0015742i,0.021945-0.011979i,-0.0025343+0.0055304i,-0.001277-0.0048021i,-0.0033295-0.0011022i,-0.0031914-0.0063207i,0.00041275+0.0065996i,0.003083-0.0044548i,0.0020393-0.0012526i,0.0012301-0.0032033i,-0.00099496-0.0025914i,0.001419+0.0047269i,0.00090325+0.00023302i,0.006151-0.00054988i,-0.00065853+0.0026652i,-0.0022913+0.009555i,-0.0065395+0.019708i,0.0068655-0.0081145i,-0.018073+0.0027967i,-0.031754-0.0038453i,0.018317-1.5339e-05i,0.020616+0.007457i,-0.015807+0.0022366i
0.0053696-0.0016976i,0.027079-0.02223i,0.0013029-0.023404i,0.0072071-0.018254i,0.0036884-0.016957i,-0.0010012-0.017993i,0.015934+0.0030817i,0.022335-0.0051636i,-0.00072647-0.0049597i,-0.0004051+0.00075465i,-0.0011501-0.0015022i,0.00039055-0.001225i,0.00027547+0.0010002i,0.00069772-0.00088311i,-9.031e-05-0.0028888i,0.0049467-0.0022479i,-0.0013151-0.0032869i,-0.0011296-0.00030307i,0.00085706+0.001234i,-0.0014038-7.0783e-05i,-0.00093428+0.00048178i,0.00056704+0.00090073i,1.524e-05+0.0016655i,-0.00079325-0.0063809i,0.0012295-0.0004805i,-1.2493e-05-0.0002043i,-5.453e-05-0.00068521i,0.00010693-9.6582e-05i,0.00052754+0.00036919i,0.00099525+0.00085303i,-0.00035951+0.00074668i,0.00073249+0.00077683i,2.7688e-05-7.7373e-05i,0.00044753-0.000217i,0.0005613-0.00069934i,0.0057558+0.0057517i,0.00036655+0.00028765i,-4.0697e-06+0.00047896i,0.00099806+0.00025348i,-0.00052319+0.00077783i,-0.0010307+0.00031083i,3.1455e-05+0.00035421i,0.0021962-0.00065419i,-0.0014871-0.0026542i,0.0034989-0.0076519i,-0.0076401+0.030519i,0.027053+0.020507i,0.026745+0.022725i,0.03503-0.00057611i,0.023493+0.018775i,-0.0056046+0.034654i,-0.0028636+0.034091i,-0.024987+0.049593i,-0.034445-0.0077915i,0.010876-0.0091238i,0.0051517+0.003367i,0.0092647+0.005017i,0.00052451+0.014928i,-0.0041151+0.005289i,0.0018327-0.010913i,0.011278-0.004536i,-0.0086634+0.011322i,0.0015556-0.00093238i,0.00096703+0.0024813i,6.4539e-05-0.00018448i,-0.00047157+0.0014329i,0.0045561-0.0011039i,-0.0030848-0.0041951i,0.0015199+0.0032012i,0.0012119-0.0061325i,-0.0024632-0.0040279i,-0.0016304+0.0022119i,0.0014692-0.0025463i,0.00071045-0.002435i,0.013823-0.017309i,0.00022725+0.0050202i,-0.0022064-0.0040753i,-0.0028533-0.00083396i,-0.0047412-0.0052566i,0.0020017+0.0052589i,0.0017449-0.006164i,0.0024383-0.0022706i,-4.591e-05-0.0038466i,-0.0017882-0.0033614i,0.0037422+0.0045045i,0.00061126+0.0012409i,0.0061323-0.0013597i,-0.0013833+0.0026301i,0.00075632+0.0089314i,-0.0030071+0.019478i,-1.8634e-05-0.013875i,-0.020513+0.00027656i,-0.033481+0.0053353i,0.012463-0.0042648i,0.020448+0.0022539i,-0.014953+0.0043597i
0.0054531-0.0028017i,0.022721-0.025563i,-0.0041504-0.0235i,0.0016439-0.020016i,-0.00015281-0.018287i,-0.0040228-0.016947i,0.017479+0.00020258i,0.020868-0.008298i,-0.0014396-0.0059108i,0.00026477+0.0017435i,-0.0015291-0.00050753i,-0.00045859-0.0015938i,0.00083658+0.0010608i,0.00070373-0.00054174i,-0.00041281-0.0025217i,0.0047638-0.00308i,-0.0024039-0.0027001i,-0.001236+0.00018127i,0.0010872+0.00046914i,-0.0013593+0.00079458i,-0.00081536+0.0008494i,0.00044986+0.00014186i,0.00043912+0.0015754i,-0.0031485-0.0042853i,0.00021331-0.0010218i,-6.4949e-05-6.3781e-05i,-0.00058036-0.00024026i,4.7873e-05+4.9927e-05i,0.00047127-3.0673e-05i,0.0010863+0.00046644i,5.764e-07+0.00067271i,0.00065959+0.00056545i,9.247e-05+0.000105i,0.00032029-0.0002844i,-0.00021599-0.00045592i,0.0062851+0.0038747i,0.00049245+0.00013865i,6.81e-05+0.00063981i,0.0010722-3.2794e-05i,0.00011639+0.00049455i,-0.00092339+0.00089239i,0.00021384+0.00032113i,0.0017481-0.0012907i,-0.001826-0.0017554i,0.00095474-0.0090605i,-0.0027041+0.027678i,0.029234+0.014591i,0.031012+0.01608i,0.029202-0.0080761i,0.024021+0.014465i,0.0020098+0.036364i,0.0064524+0.033582i,-0.011211+0.051577i,-0.035321-0.00069774i,0.0074241-0.0092537i,0.0058598+0.0019356i,0.0091137+0.0016829i,0.005097+0.013301i,-0.002588+0.007198i,-0.0045595-0.0078222i,0.0078037-0.0069236i,-0.0051016+0.013349i,0.0013425-0.00275i,0.00089221+0.0016026i,-0.00015893-0.00036077i,0.0014749+0.0012488i,0.0040615-0.0015047i,-0.0038311-0.0032558i,0.0030432+0.0019536i,-0.001969-0.0068908i,-0.0031336-0.0026038i,-0.00021417+0.0017297i,0.00075047-0.0033187i,0.0001206-0.0033598i,0.005701-0.018907i,0.0017591+0.0038007i,-0.0029007-0.0035215i,-0.0034572-0.00074526i,-0.0062585-0.0034352i,0.0027074+0.003913i,-0.00083634-0.007455i,0.0024364-0.0033618i,-0.00095479-0.0032504i,-0.002651-0.0030826i,0.0048982+0.0032344i,0.0012212+0.0021099i,0.0045994-0.0028976i,-0.0016113+0.0033074i,0.0028481+0.0072968i,0.0015314+0.019009i,-0.0098028-0.016308i,-0.024533+0.00086144i,-0.030831+0.013617i,0.0072768-0.0033598i,0.018207-0.0034641i,-0.013565+0.0045923i
0.0052574-0.0044798i,0.018461-0.028649i,-0.0088861-0.021773i,-0.0034626-0.019398i,-0.0040114-0.01852i,-0.0063206-0.015842i,0.018474-0.00382i,0.01909-0.011503i,-0.0025249-0.0067443i,0.0015511+0.0018283i,-0.0011036+0.00031256i,-0.0011777-0.00096002i,0.0014144+0.00058368i,0.00077901-0.00053123i,-0.00064029-0.0022516i,0.0045223-0.0038629i,-0.0028123-0.0014052i,-0.00080382+0.00039119i,0.00077623-0.00014385i,-0.0008562+0.0012851i,-0.00049961+0.0010796i,0.00013793-0.00016796i,0.00085108+0.0013374i,-0.0048204-0.0015492i,-0.00024025-0.00048727i,-5.5407e-05+2.7277e-05i,-0.00061359-0.00022822i,0.00012628+9.7545e-05i,0.00020671-1.9542e-05i,0.0010407-3.8308e-05i,0.00034275+0.00047044i,0.00063593+0.00045993i,0.00029098+7.4499e-05i,0.00030272-0.00021903i,-0.0003582+0.00014655i,0.006161+0.0026586i,0.00036053+6.8318e-05i,0.00043341+0.0007135i,0.0010628-0.00051809i,0.00048967+2.2237e-05i,-0.00027881+0.0011331i,0.0002716+3.8157e-05i,0.0010197-0.0017417i,-0.0019373-0.00091552i,-0.0017837-0.0096294i,0.00012122+0.024335i,0.030335+0.0093271i,0.033121+0.0078081i,0.023133-0.013104i,0.024259+0.012188i,0.0096878+0.035947i,0.014388+0.031053i,0.0013827+0.049i,-0.033632+0.0064899i,0.0046153-0.0093195i,0.0063093-0.00022713i,0.008748-0.00077031i,0.0087861+0.0099694i,0.00030306+0.0075165i,-0.0073528-0.003095i,0.0041685-0.0078436i,-0.0011377+0.013617i,-0.00052634-0.0038065i,0.0002324+0.0015348i,-0.00032287-0.00021454i,0.0026159+0.0001618i,0.0035672-0.0012422i,-0.0041032-0.0016i,0.0035361+0.00053399i,-0.0049433-0.005147i,-0.0027088-0.0012011i,0.0001838+0.00047019i,-0.00021259-0.003902i,-0.0011341-0.003586i,-0.001484-0.017291i,0.0030646+0.0022714i,-0.0039163-0.0026696i,-0.0037512+0.00059203i,-0.0065247-0.0010386i,0.0032789+0.0029425i,-0.004295-0.0071937i,0.0019631-0.0048772i,-0.0013694-0.0029742i,-0.003148-0.0030164i,0.006262+0.0020686i,0.0021826+0.0022459i,0.0029109-0.002632i,-0.0015396+0.0039606i,0.0040855+0.0053927i,0.0063553+0.016485i,-0.019848-0.013185i,-0.028166+0.0038031i,-0.025744+0.018689i,0.0053461-0.0019458i,0.013309-0.0074412i,-0.01486+0.0048281i
0.0041906-0.0060824i,0.013679-0.031515i,-0.01255-0.019482i,-0.0075576-0.017667i,-0.0077688-0.017911i,-0.0086047-0.014655i,0.01821-0.0090939i,0.01686-0.014403i,-0.0042-0.0074352i,0.002752+0.0011013i,-0.00042489+0.00061139i,-0.0013486+2.7532e-05i,0.0014786-0.00012936i,0.00081476-0.00057641i,-0.00097877-0.0021098i,0.0039729-0.004896i,-0.0026809-0.00028755i,-0.00053668+0.00031528i,0.00050531-0.00035502i,-0.00025589+0.0014685i,-0.00039729+0.0012615i,-0.00014081-0.00023201i,0.0010989+0.00092881i,-0.0045009+0.0010326i,-0.00021707+0.00010357i,1.3171e-05+0.00010818i,-0.00064227+5.0916e-05i,0.00011869+7.7045e-05i,0.00018934+1.5694e-05i,0.00063946-0.00040285i,0.00047825+9.6378e-05i,0.00083873+0.00054425i,0.00029578-3.7393e-06i,0.0003338-0.00045876i,-2.3155e-05+0.00047902i,0.0060764+0.0011019i,0.00042611+4.3151e-05i,0.00077536+0.00054486i,0.00067069-0.0008891i,0.00078792-0.00045714i,0.00020851+0.0011255i,0.00016511-6.5479e-05i,0.00013836-0.0015937i,-0.0017652+0.00029234i,-0.0043811-0.0092218i,0.0011843+0.022467i,0.030918+0.0042892i,0.032106+0.0010121i,0.016478-0.016812i,0.026704+0.010655i,0.017003+0.033166i,0.022307+0.026416i,0.012338+0.042883i,-0.028829+0.012144i,0.0023408-0.0089698i,0.0052877-0.0032691i,0.0081415-0.0036003i,0.0099812+0.0054558i,0.0019436+0.0064789i,-0.0077809+0.0022238i,0.00066181-0.0072233i,0.0022099+0.011494i,-0.0025137-0.0029322i,-0.00020024+0.0024356i,-0.0003319+7.118e-05i,0.0032524-0.0014747i,0.0042491-0.00034842i,-0.0031867-0.00050175i,0.0037808-1.323e-05i,-0.0058304-0.0026756i,-0.0020405-0.00073632i,-0.00031716+8.2513e-05i,-0.0021413-0.0042538i,-0.00235-0.0028803i,-0.0070594-0.014503i,0.0034475-5.9418e-05i,-0.0045221-0.0013164i,-0.0029092+0.0016879i,-0.005988+0.00069651i,0.0040199+0.0021749i,-0.0067893-0.0048559i,0.00019056-0.006416i,-0.0022519-0.002446i,-0.0048104-0.0025802i,0.0071002-0.00049469i,0.0033316+0.0024051i,0.0026662-0.0023469i,-0.00046239+0.005169i,0.0041426+0.0032241i,0.0099506+0.012218i,-0.025292-0.0047215i,-0.031006+0.0093263i,-0.020081+0.02227i,0.0036646-0.00050942i,0.0088717-0.0077374i,-0.015104+0.0069116i
