-0.022369-0.038333i,-0.010172-0.050271i,-0.017128-0.045995i,-0.030997-0.036019i,-0.029694-0.017029i,-0.050908-0.028993i,-0.059165-0.026378i,-0.044288-0.038814i,-0.025448-0.029901i,0.007612+0.012265i,-0.0058599+0.016083i,-0.004985+0.014857i,0.010648+0.021803i,0.00012099+0.0048925i,0.0034766+0.0033679i,0.0069027+0.018687i,0.02364+0.037637i,-0.0027616-0.0014326i,-0.0050963-0.0062667i,0.0075331+0.0014637i,-9.6e-05-0.00083827i,-0.0012281+0.0023953i,0.00013916-0.00031774i,-0.029295-0.0018999i,-0.0018342-0.0057949i,0.001949+0.0048473i,0.0032119-0.0010963i,-0.00044997+0.00082434i,0.00055893-0.000281i,-0.00093057-0.0027475i,-0.0017409-0.0060513i,-0.004353-0.0046341i,-0.0029089-0.0050337i,0.002352-0.00037992i,0.0020909-0.0027788i,0.00026745+0.0274i,0.0013995-0.0033577i,0.0029057+0.00096854i,0.0057673+0.0011063i,-0.010324-0.0018843i,-0.0036086-1.3749e-05i,0.0047681-0.00037598i,0.0061532+0.00021339i,-0.0037017+0.0048514i,0.0020954-0.0094341i,-0.012061+0.018583i,0.035604-0.090492i,0.012429-0.070436i,-0.015781-0.0603i,-0.016007-0.056045i,0.038828-0.047323i,0.016828-0.06295i,0.034675-0.056078i,0.031484-0.059508i,0.014865-0.013799i,0.0039521+0.016931i,0.016438-0.026658i,-0.011336+0.0063181i,-0.00090652+0.0056934i,-0.0052501-0.00068039i,-0.0023461-0.028077i,-0.024094+0.031149i,0.010305-0.011012i,-0.012989-0.0027778i,-0.00016314-0.0050192i,-0.0016327-0.015935i,-0.0078553+0.0050049i,0.0051038+0.0058762i,-0.0074554+0.030373i,0.0054825+0.006243i,-0.0054281-0.00095968i,-0.0030675-0.00023351i,-0.011473-0.0081888i,-0.00042518-0.0043618i,-0.030709-0.0015046i,0.00036825-0.010152i,-0.0090364-0.001917i,-0.0066423-0.0026088i,0.007011+0.0031753i,-0.0077032+0.0012717i,0.00023436+0.00025637i,0.0057225+0.010709i,0.0038093+0.0013237i,-0.0088575-0.010543i,0.0032131+0.0082312i,-0.021009+0.0059219i,0.0085381+0.00020223i,-0.029276-0.0035451i,-0.042741+0.0030975i,0.018537-0.09716i,-0.0025005-0.011786i,-0.053025-0.023026i,-0.023588+0.0015678i,0.01769+0.010525i,-0.026002+0.013178i,-0.017761-0.013746i
0.0078582+0.021789i,0.013397+0.052959i,0.024351+0.036158i,0.017696+0.027965i,0.025011+0.028155i,0.033853-0.014521i,0.018484-0.0084739i,0.030336+0.0068156i,0.011799+0.014197i,0.0027321+0.0040536i,0.0049496+0.0029887i,0.0042995+0.0033873i,0.0060608+0.0027436i,0.0050401+0.004005i,0.0032083-0.003399i,0.0083505-0.001419i,0.011145-0.004005i,-0.0018023-0.0012063i,-0.0034148+0.00065631i,-9.03e-05+0.001338i,-0.0011515-0.00015883i,-0.00265+0.0011586i,-0.0019287+0.0010647i,0.0044406+0.0077335i,0.0015563+0.0013556i,0.002385+0.00056681i,0.0019904+0.0012288i,0.001338+0.0014757i,0.00059758+4.38e-05i,-0.00050364+0.000896i,-0.0024087-0.0030508i,-0.00083678-0.00049504i,-0.0010195+0.0009538i,-0.0011055+0.00014644i,-0.00050544-0.0014755i,-0.0066176+0.0077784i,0.0011032+0.00032287i,0.0015485-0.00058345i,-0.00099154+0.0023722i,-6.4407e-05-0.0034549i,-0.0011963+0.00023721i,-0.0023685-0.00055862i,0.0020261+0.00057135i,0.0066749+0.0057869i,-0.013179+0.033068i,-0.08164+0.0344i,-0.051883+0.038069i,-0.037714+0.060506i,-0.019005+0.07255i,-0.0085509+0.051341i,0.011254+0.034804i,0.0036872-0.00050614i,-0.036332+0.0091596i,-0.046685+0.018285i,0.00051258+0.024167i,-0.0080561+0.002567i,-0.01075-0.00073253i,-0.013807-0.0020522i,0.002196+0.00068197i,0.0061224+0.009299i,-0.0016748+0.0084606i,-0.0058327-0.011793i,0.0053179-0.0068896i,-0.0067522-0.0068899i,0.0018771-0.0063366i,0.0037368-0.0041573i,-0.0017609+0.0098122i,0.0095117-0.0042828i,0.0056235-0.0055928i,0.002875-0.0063277i,0.0032565-0.00032558i,-0.0012798-0.0042568i,-0.0034526-0.00057336i,0.0026303-0.00034806i,-0.0040061+0.030544i,-0.0038141-0.0040631i,0.0020869+0.00029909i,-0.00016605-0.0069979i,0.002419-0.0014896i,-0.014282-0.0024256i,0.00052399+6.4999e-05i,0.0054279-0.0026402i,0.0030532-0.0010813i,0.00065764-0.0047198i,4.8915e-06+0.0060497i,-0.0014337+0.006603i,-0.0029855+0.0043492i,-0.012199+0.0032294i,-0.014923-0.0018216i,-0.040353+0.056981i,0.00037498+0.0048924i,-0.025279-0.017219i,-0.0071119-0.0068616i,0.009669+0.020158i,-0.0010866+0.022517i,-0.00067797-0.0012698i
0.01044+0.018068i,0.021933+0.048493i,0.030035+0.031637i,0.022603+0.025683i,0.03106+0.023988i,0.030446-0.020482i,0.015705-0.012048i,0.031109+0.0010077i,0.013864+0.011313i,0.0040002+0.0028675i,0.0056854+0.0017917i,0.0042015+0.0031751i,0.0060883+0.0016228i,0.0058118+0.0026411i,0.0021114-0.0039582i,0.006968-0.0030206i,0.0081554-0.007207i,-0.0013413-0.0010045i,-0.0027636+0.00066989i,0.00062225+0.00056725i,-0.0013361-0.00022692i,-0.0023838+0.0017117i,-0.0015572+0.001127i,0.0080483+0.0052265i,0.0015788+0.0013377i,0.0026844-0.00057418i,0.0021817+0.00013408i,0.0018423+0.00055268i,0.00023616+2.882e-05i,-0.00038289+0.00098931i,-0.0032435-0.0017582i,-0.0012848-0.00050842i,-0.00070799+0.0012502i,-0.00082129+0.00057676i,-0.0011642-0.00060644i,-0.0035714+0.0089833i,0.00093357-0.00014119i,0.001059-0.00097098i,0.00016042+0.0024502i,-0.0010923-0.0030287i,-0.0010772+0.00036871i,-0.0025819+0.00031678i,0.0016804+0.00066934i,0.0071007+0.0046169i,-0.0067625+0.033982i,-0.07002+0.048734i,-0.047767+0.046989i,-0.027548+0.064157i,-0.003101+0.070161i,0.0020381+0.04928i,0.014342+0.032445i,-0.0013535-0.0051601i,-0.03759+0.011406i,-0.038111+0.020671i,0.006539+0.022897i,-0.008313+0.0050885i,-0.0099837+0.0049655i,-0.013934+0.0030878i,0.0011934-0.00065313i,0.007766+0.0086734i,0.0025348+0.011139i,-0.011549-0.010483i,0.00089496-0.0074376i,-0.0063389-0.0031132i,-0.0015443-0.0058921i,0.0013674-0.0054054i,0.0025745+0.0077308i,0.0062394-0.0066589i,0.0012845-0.0060721i,-5.1062e-05-0.0037349i,0.0039092-0.0014649i,-0.0023662-0.0032945i,-0.0014652+0.0014401i,0.0028554-0.00071191i,0.006593+0.025478i,-0.0052151-0.003356i,0.0025901-0.0017779i,-0.0034725-0.0061993i,0.0027996-0.0022051i,-0.013288+0.0032583i,0.00091694+0.00050537i,0.0034503-0.0028262i,0.003174-0.0023122i,-0.00033861-0.0045526i,0.0018163+0.0028785i,0.0017677+0.0056565i,-0.00023281+0.0053579i,-0.010275+0.0069803i,-0.016229+0.0013575i,-0.029262+0.058342i,0.00074214+0.0055685i,-0.02906-0.011467i,-0.010121-0.010239i,0.012475+0.018631i,0.0033793+0.024229i,-0.0033547-0.0022674i
0.011695+0.015234i,0.028593+0.04188i,0.035774+0.025023i,0.02852+0.020766i,0.036907+0.018129i,0.025725-0.025884i,0.01211-0.015278i,0.030899-0.0051947i,0.015488+0.0084112i,0.0041362+0.0013996i,0.005675-0.00019362i,0.0050632+0.0029496i,0.006037+7.9699e-05i,0.0061678+0.00078222i,0.00088895-0.0041573i,0.0052601-0.004154i,0.0046282-0.0083884i,-0.0018178-0.001066i,-0.0021086+0.00091456i,0.00047758-0.00053293i,-0.0019317-0.00017696i,-0.0018502+0.0022864i,-0.0014056+0.0012393i,0.0087052+0.0011263i,0.0022442+0.00060908i,0.0019273-0.0017112i,0.0016883-0.00070971i,0.0014795-0.00030417i,0.00023092+0.0001364i,-0.00022688+0.001188i,-0.0036759-0.0001898i,-0.0018824+0.00049469i,-9.6204e-05+0.0014309i,-0.00047971+0.00090091i,-0.001031+0.000324i,-0.00035989+0.0095228i,0.00068036-0.00028256i,0.00068495-0.001256i,0.0009883+0.0016527i,-0.0022297-0.0024752i,-0.00093394+0.0004723i,-0.0021504+0.00086172i,0.0016878+0.0010804i,0.0082509+0.0032809i,0.00059491+0.033584i,-0.057101+0.059188i,-0.03962+0.055197i,-0.01633+0.065168i,0.011369+0.063347i,0.011594+0.047369i,0.012857+0.029683i,-0.0064134-0.0062857i,-0.038195+0.016753i,-0.031015+0.020048i,0.011893+0.018427i,-0.0078698+0.0071699i,-0.0076958+0.0081116i,-0.013105+0.0053169i,-0.00071114-0.0023967i,0.0098048+0.0068358i,0.0074094+0.010495i,-0.015908-0.0063715i,-0.0012529-0.0049842i,-0.005467-0.00037514i,-0.003245-0.0039548i,-0.0010345-0.0047416i,0.0048487+0.0064752i,0.0039242-0.0072469i,-0.0018416-0.0047842i,0.00031718-0.0016703i,0.0036633-0.0040077i,-0.0039635-0.0023624i,-0.00013774+0.00091339i,0.0024326-0.0015241i,0.013874+0.019298i,-0.0068941-0.0011264i,0.0024211-0.0028231i,-0.0034844-0.0037353i,0.003288-0.0036886i,-0.0093906+0.0078778i,0.0020299+0.00045438i,0.001959-0.003396i,0.0018814-0.0030554i,-0.0012608-0.0042131i,0.0011513+0.0017806i,0.003867+0.0034774i,0.002217+0.005148i,-0.0080347+0.0089777i,-0.016458+0.0061247i,-0.020423+0.058036i,0.0045918+0.0057725i,-0.030486-0.0059452i,-0.013982-0.010907i,0.016548+0.014997i,0.0093523+0.024561i,-0.0052007-0.0015711i
0.012605+0.013064i,0.03243+0.035577i,0.038666+0.016991i,0.032137+0.013281i,0.040954+0.0098531i,0.019541-0.029916i,0.0078109-0.016925i,0.028892-0.011233i,0.016671+0.0053023i,0.0036619+0.00072618i,0.0048825-0.0010239i,0.0060323+0.0019408i,0.0052383-0.00088096i,0.0056748-0.00090221i,-0.00044374-0.0039648i,0.003489-0.0044238i,0.0013356-0.0079384i,-0.0019312-0.000376i,-0.0011507+0.001565i,-0.00037444-0.000934i,-0.002189+0.00071389i,-0.0012201+0.0028319i,-0.0012536+0.001523i,0.0077338-0.002188i,0.0019945-0.00023928i,0.0010315-0.0018454i,0.0011428-0.00092402i,0.00089688-0.00090625i,0.00029733-4.2633e-05i,0.00020987+0.0014233i,-0.0034877+0.0017i,-0.0012738+0.0014433i,0.00044812+0.0011778i,-0.00019614+0.00097492i,-0.00055345+0.00086384i,0.0030559+0.0086182i,0.00052872-0.00046468i,0.00029821-0.0014827i,0.001225+0.0011416i,-0.0028184-0.0014561i,-0.00087308+0.00065555i,-0.0019495+0.0014096i,0.0021937+0.0012508i,0.0095038+0.0014253i,0.0067087+0.030243i,-0.041867+0.06682i,-0.030487+0.061242i,-0.00705+0.064683i,0.023417+0.052621i,0.021335+0.041626i,0.011543+0.028098i,-0.012701-0.0049261i,-0.037153+0.023297i,-0.026317+0.017771i,0.01526+0.011971i,-0.0062222+0.009928i,-0.0043414+0.01142i,-0.011143+0.0073911i,-0.0044452-0.0013972i,0.011874+0.0034179i,0.011378+0.0076602i,-0.018354-0.00029122i,-0.0018347-0.0038296i,-0.0036283+0.0011388i,-0.0039136-0.0015555i,-0.0026326-0.0035368i,0.0068762+0.003178i,0.0019835-0.0075427i,-0.0045624-0.001359i,0.0012772-0.00097782i,0.0015946-0.0057493i,-0.0047104-0.00041163i,0.00071648+0.0010055i,0.0020982-0.002137i,0.020482+0.010444i,-0.0065551+0.0022731i,0.0020151-0.0043687i,-0.0033718-0.0022843i,0.0016836-0.0058979i,-0.0044467+0.0091209i,0.0031585-0.00064256i,0.00087141-0.0025313i,0.00087716-0.0029688i,-0.0027467-0.00309i,0.00084368+0.0013947i,0.0038427+0.0011071i,0.0047783+0.0038365i,-0.0055288+0.010285i,-0.015098+0.011022i,-0.012581+0.058275i,0.01131+0.0012307i,-0.029559-6.0701e-05i,-0.019234-0.01012i,0.01758+0.0098347i,0.015757+0.02251i,-0.0052479-0.00088922i
0.014068+0.011106i,0.036071+0.030479i,0.039882+0.0098036i,0.033319+0.0057677i,0.042419+0.0010204i,0.013401-0.032424i,0.0038299-0.016885i,0.025761-0.016277i,0.017468+0.001999i,0.0033447+0.0002972i,0.0042661-0.001559i,0.0065843+0.00051663i,0.0047683-0.0012151i,0.0048166-0.0021547i,-0.0015911-0.0031174i,0.0021944-0.0039621i,-0.00057493-0.006746i,-0.0019835+0.00022783i,-0.00066748+0.0016085i,-0.0011265-0.00068188i,-0.0019257+0.0013693i,-6.2743e-05+0.0031822i,-0.0009572+0.0019229i,0.005689-0.0047185i,0.0014516-0.00061072i,0.00041421-0.0018234i,0.00074592-0.0010456i,0.00011014-0.00034214i,0.00014424-8.7939e-06i,0.0010068+0.0012833i,-0.0021859+0.0030228i,-0.00045277+0.0018528i,0.0007732+0.0008247i,0.00027971+0.0012729i,0.00011199+0.00098043i,0.0050807+0.0061543i,0.00021208-0.00047697i,-0.00045848-0.0014444i,0.0016057+0.00082233i,-0.00283-0.00050498i,-0.00064359+0.00067134i,-0.0014558+0.0018527i,0.0028176+0.00099306i,0.0096532-0.0015514i,0.010778+0.026092i,-0.02549+0.069736i,-0.018662+0.066172i,0.0025538+0.064069i,0.029508+0.039877i,0.027637+0.034126i,0.011548+0.029397i,-0.016862+0.0016183i,-0.034193+0.032675i,-0.025221+0.015505i,0.014207+0.0060486i,-0.0029926+0.011958i,0.00097132+0.011733i,-0.0091885+0.0098034i,-0.0055345+0.0019589i,0.012073-0.0017761i,0.014158+0.0032888i,-0.018317+0.0054149i,-0.0022057-0.0018563i,-0.0024867+0.0015149i,-0.0028637+0.00015505i,-0.0039157-0.0013611i,0.0066981+0.0004524i,-0.00019838-0.0069186i,-0.0036115+0.0031556i,0.0024947-0.0018304i,-0.0010837-0.0060621i,-0.0036887+0.00096577i,0.0021165+0.00023838i,0.001611-0.0025174i,0.020701+0.0014116i,-0.0042815+0.0045182i,0.00041676-0.0055468i,-0.0025933-0.0019263i,-0.00079321-0.0065185i,-0.00051494+0.0083138i,0.0029791-0.0022726i,0.00088634-0.001302i,0.00069532-0.002749i,-0.0013498-0.0015035i,0.0010122+0.001757i,0.0024124-0.00034231i,0.0055089+0.0015832i,-0.0030757+0.010005i,-0.011103+0.015714i,-0.0042903+0.057905i,0.012708-0.0096528i,-0.026071+0.0022797i,-0.024479-0.0069913i,0.018016+0.0052944i,0.02085+0.01647i,-0.0062197-0.0010603i
0.015585+0.0085209i,0.039827+0.024676i,0.040847+0.0024442i,0.03323-0.0016809i,0.042337-0.0075519i,0.0069957-0.033904i,0.00098299-0.016203i,0.021961-0.020514i,0.017844-0.0017558i,0.0028158-9.0246e-05i,0.0041533-0.0019976i,0.0067514-0.00098994i,0.0050646-0.0017295i,0.003753-0.0030032i,-0.0021985-0.0022125i,0.0015975-0.0033678i,-0.0014452-0.0058507i,-0.0015966+0.00059745i,-0.00029551+0.0016475i,-0.0015074-0.00016006i,-0.0013419+0.0018378i,0.0013638+0.0027879i,-0.00034987+0.0021851i,0.0024658-0.005906i,0.0012639-0.00077497i,-0.00017938-0.0017305i,0.00033381-0.0011925i,0.00070316-0.0012238i,7.3944e-05+0.00011953i,0.0014784+0.00063173i,-0.00067824+0.0035092i,0.00039925+0.0017589i,0.0009458+0.00050033i,0.00083918+0.0010399i,0.00055219+0.00053223i,0.0051333+0.0038358i,4.1047e-05-0.00035288i,-0.00089137-0.001037i,0.0015837+0.00020797i,-0.0025725+0.00019235i,-0.00053881+0.00072748i,-0.00073698+0.0019524i,0.0033631+0.00050631i,0.0090681-0.0040361i,0.013719+0.022164i,-0.011026+0.068141i,-0.0049857+0.066593i,0.012419+0.061781i,0.031709+0.028121i,0.031753+0.026311i,0.014453+0.031144i,-0.016026+0.010335i,-0.025798+0.042779i,-0.026082+0.016097i,0.012345+0.003015i,0.0010957+0.012272i,0.0046301+0.0098605i,-0.0059584+0.01226i,-0.0046628+0.004163i,0.009414-0.0070053i,0.014461-0.0025603i,-0.016726+0.010242i,-0.0013252-0.00080616i,-0.001456+0.0014484i,-0.001732+0.00047787i,-0.0032807+0.0014336i,0.0054292-0.0012543i,-0.0019014-0.0053795i,8.9098e-05+0.0048689i,0.0023663-0.0034719i,-0.0034137-0.0047537i,-0.0026859+0.0016631i,0.0024109-0.0013418i,0.0015938-0.002695i,0.01829-0.0069993i,-0.001767+0.0053143i,-0.0018333-0.0054938i,-0.0027403-0.0016512i,-0.0031849-0.0055924i,0.0017795+0.0067964i,0.002363-0.0035643i,0.00237-0.0015242i,0.00023785-0.0034727i,-0.00040407-0.0023526i,0.0014232+0.0023275i,0.00094988+0.00021549i,0.0052796+0.00055492i,-0.0016161+0.0090909i,-0.0051316+0.017791i,0.0040797+0.056336i,0.0067279-0.018894i,-0.024227+0.00077899i,-0.029437-0.00096762i,0.016325-0.00026767i,0.022117+0.0096181i,-0.0071473+4.6858e-05i
0.016872+0.0056383i,0.042486+0.017957i,0.039682-0.0058512i,0.030829-0.0095761i,0.040545-0.016675i,0.0003537-0.033736i,-0.0011633-0.015519i,0.017664-0.024072i,0.016948-0.0054618i,0.0023786+0.00025341i,0.0035548-0.0026089i,0.0065197-0.0031068i,0.0048757-0.0029805i,0.0025086-0.0035353i,-0.0025327-0.0011714i,0.0014784-0.0029864i,-0.0024762-0.0053502i,-0.0016987+0.00098375i,0.00029147+0.0015378i,-0.0019149+0.00049118i,-0.0008894+0.002031i,0.0022389+0.001743i,0.00023366+0.0022414i,-0.00076068-0.0053495i,0.000943-0.0015451i,-0.00076829-0.0011691i,-0.00025733-0.0012755i,-0.00018795-0.00099183i,0.00030467+0.00020041i,0.0013498-3.5829e-05i,0.00097513+0.0031993i,0.00092684+0.0015203i,0.00083666+0.00012204i,0.0011248+0.00068258i,0.0004777-1.3282e-05i,0.0052507+0.0020526i,-0.00013247-0.00026022i,-0.001051-0.00072623i,0.0014315-0.00023946i,-0.0020823+0.00058789i,-0.00035775+0.00078416i,-0.00012303+0.001735i,0.0038356-0.00056607i,0.0072009-0.0068204i,0.015694+0.018514i,0.0014286+0.064329i,0.0070552+0.062928i,0.022027+0.05796i,0.030497+0.017885i,0.033851+0.019416i,0.020043+0.031075i,-0.0092498+0.016324i,-0.012381+0.047675i,-0.026255+0.019643i,0.010666+0.0011704i,0.0045537+0.010488i,0.0067547+0.0068213i,-0.0021301+0.013339i,-0.0038338+0.0056331i,0.0032467-0.0093843i,0.011089-0.0073751i,-0.013682+0.014651i,-0.00055469-0.0014051i,-0.0010056+0.00087093i,-0.0013038+0.00034405i,-0.00093706+0.0028108i,0.0042248-0.0014642i,-0.0025253-0.0045378i,0.0029726+0.0039711i,0.0010829-0.0050821i,-0.0044856-0.0027994i,-0.001461+0.0021416i,0.0015434-0.0027473i,0.0011612-0.0035961i,0.011715-0.012433i,0.00041682+0.0050622i,-0.003517-0.0044704i,-0.0024075-0.0012818i,-0.0045743-0.0043362i,0.0032282+0.0052332i,0.001596-0.0050664i,0.0029228-0.00318i,-0.00053687-0.0035966i,-0.0013335-0.0033508i,0.0033199+0.0017081i,0.00078249+0.0019334i,0.0046381-0.001269i,-0.00096738+0.0088921i,0.0002517+0.016798i,0.012544+0.05429i,-0.0020065-0.024041i,-0.026708-0.00076278i,-0.029532+0.0080188i,0.011183-0.0039163i,0.021994+0.003366i,-0.0064482+0.00072161i
0.017881+0.0020522i,0.044599+0.011827i,0.036275-0.012903i,0.025549-0.015512i,0.035967-0.025151i,-0.0054846-0.03208i,-0.0027468-0.014768i,0.01275-0.026431i,0.015628-0.0088821i,0.0028436+0.00083495i,0.003016-0.0027556i,0.0050012-0.0049453i,0.0040695-0.004087i,0.0014461-0.0035451i,-0.0023182-0.00018747i,0.0013605-0.0027118i,-0.0043517-0.004205i,-0.0012231+0.0017294i,0.00061492+0.0010519i,-0.0018111+0.0017166i,-0.00027881+0.0023281i,0.0023546+0.00049744i,0.00089471+0.002163i,-0.0027696-0.0035547i,-0.00031275-0.0016671i,-0.00087572-0.00059875i,-0.00072934-0.00097389i,-0.00050461-0.00063449i,0.00035781-0.00011336i,0.0010941-0.00043894i,0.0021522+0.0021612i,0.0013615+0.0010759i,0.00079558-8.7586e-05i,0.0010649-0.00010078i,0.00019744+1.5016e-06i,0.0055063-0.00080271i,-0.00016169-0.00012125i,-0.0013627-0.0003062i,0.0011878-0.00041089i,-0.0014369+0.00095947i,-0.00028304+0.00087161i,0.00026399+0.0015801i,0.0034188-0.0018498i,0.0035332-0.007663i,0.017091+0.014632i,0.011968+0.05854i,0.016073+0.057614i,0.030997+0.052415i,0.027738+0.010716i,0.034322+0.012813i,0.026075+0.028426i,-0.0017641+0.017089i,0.0017576+0.047401i,-0.024183+0.024182i,0.0098982-4.1015e-05i,0.0069885+0.007884i,0.0072676+0.0040745i,0.0018305+0.012758i,-0.0023956+0.0074375i,-0.0023865-0.0078843i,0.0068143-0.0093439i,-0.008835+0.017562i,-0.0010075-0.0025338i,-0.0013561+0.00082892i,-0.0012382+0.00053543i,0.0015922+0.0026601i,0.0036453-0.0016786i,-0.0035035-0.0036761i,0.0045408+0.0019537i,-0.0016213-0.0057683i,-0.0044543-0.00088864i,-0.00013948+0.0016623i,0.00089405-0.003375i,4.3227e-05-0.0048039i,0.0058586-0.013812i,0.0022005+0.0040553i,-0.0045097-0.0034213i,-0.0030674-0.0013471i,-0.0058648-0.0024213i,0.0036786+0.0038319i,-0.00044297-0.0064781i,0.0027817-0.0049265i,-0.0012511-0.0029673i,-0.00226-0.0033116i,0.0037488+0.0010966i,0.0017888+0.0026857i,0.0031496-0.0016487i,0.0001034+0.0094205i,0.0042296+0.014238i,0.021757+0.050745i,-0.012732-0.025726i,-0.030766+0.00083966i,-0.0255+0.014348i,0.0066093-0.0033578i,0.019029-0.0026339i,-0.0058574-0.00061798i
0.017843-0.0022541i,0.046347+0.004381i,0.032434-0.01814i,0.020261-0.018569i,0.029868-0.031816i,-0.010203-0.029885i,-0.0039141-0.014576i,0.0079956-0.027753i,0.013635-0.01227i,0.0038637+0.00047774i,0.0029007-0.0031508i,0.0030865-0.0056136i,0.0028677-0.0052709i,0.0006096-0.0034543i,-0.0018353+0.00037572i,0.0013846-0.0024775i,-0.0052296-0.002128i,-0.00035026+0.001481i,0.00051995+0.00055431i,-0.00094313+0.0024102i,0.00040059+0.0022636i,0.0020161-0.00038238i,0.001554+0.0017494i,-0.0038528-0.0010068i,-0.00092127-0.0010663i,-0.00085992-0.00025388i,-0.00099131-0.00066175i,-0.0003024-0.00044787i,4.7943e-05-6.5346e-05i,0.00065371-0.0007539i,0.0028943+0.00084484i,0.0014495+0.00061281i,0.00078558-0.00029014i,0.0010079+2.5527e-07i,0.00021712+0.00027093i,0.0053028-0.0038945i,-0.0001755+4.5714e-05i,-0.0015052+0.0002712i,0.00085117-0.00074941i,-0.00070762+0.0011201i,-5.6308e-05+0.00091087i,0.0005834+0.0012313i,0.0024785-0.0027238i,0.0010327-0.0066824i,0.017694+0.011075i,0.019271+0.050814i,0.023342+0.052434i,0.038596+0.044665i,0.024532+0.0052894i,0.033837+0.0083915i,0.03099+0.024058i,0.0046791+0.015968i,0.014273+0.042449i,-0.020158+0.02873i,0.0093052-0.0016671i,0.0085521+0.0045742i,0.0076746+0.0018522i,0.0055137+0.01062i,0.00039341+0.007885i,-0.0056081-0.004511i,0.0026909-0.009771i,-0.0035055+0.017979i,-0.0026919-0.0023865i,-0.0020743+0.0018707i,-0.0010623+0.00082193i,0.0032153+0.0011876i,0.0030958-0.00093966i,-0.0039764-0.0022412i,0.0046889-0.00031974i,-0.0040476-0.0043486i,-0.0035146+0.00066584i,0.0002341+0.00059554i,0.00010396-0.0041722i,-0.0019728-0.0049207i,0.00076284-0.013167i,0.0034947+0.0023471i,-0.0057601-0.001865i,-0.0036134-0.0001212i,-0.0056863+9.7478e-05i,0.0041507+0.0033669i,-0.0036281-0.0064924i,0.0016822-0.0072184i,-0.0017149-0.0026409i,-0.0031614-0.003531i,0.0044424+0.00079389i,0.0032588+0.0026781i,0.0022766-0.00098794i,0.0018727+0.0090674i,0.0065241+0.010893i,0.03043+0.044776i,-0.023833-0.022135i,-0.033934+0.0045126i,-0.01973+0.01849i,0.0047106-0.0020321i,0.013908-0.0059713i,-0.0080082-0.0015232i
0.016334-0.0061637i,0.046417-0.0038379i,0.028447-0.022786i,0.015765-0.020366i,0.022816-0.03698i,-0.01479-0.027317i,-0.0054742-0.015301i,0.0030725-0.028696i,0.010894-0.014983i,0.004536-0.00048476i,0.0026672-0.0039442i,0.0013455-0.0056119i,0.0010761-0.0059224i,-0.00013594-0.0033329i,-0.0014815+0.00054918i,0.0016228-0.0026135i,-0.005101+2.6117e-05i,-0.00018122+0.0011258i,0.00046408+0.0003551i,-3.774e-05+0.002556i,0.00095659+0.0020908i,0.0015602-0.00084547i,0.0019801+0.0010471i,-0.0031855+0.0014992i,-0.0010262-0.00047748i,-0.00077004+0.00016819i,-0.0011441-0.00035601i,-0.00095372+3.6174e-05i,5.4165e-05+6.0622e-05i,5.8647e-05-0.00080254i,0.0030088-0.00054516i,0.0015354+0.0001884i,0.00065884-0.00053784i,0.0010137-0.00046222i,0.00052966+0.0004049i,0.0040972-0.0067988i,-4.1763e-05+0.00010344i,-0.0010875+0.00068943i,0.00018582-0.00078207i,-3.4407e-06+0.00097476i,4.9735e-05+0.0011191i,0.00074902+0.00098676i,0.0013317-0.0030135i,-0.00022738-0.0048746i,0.017789+0.0080343i,0.023417+0.044414i,0.030138+0.046963i,0.043558+0.036819i,0.020604+0.00092279i,0.0348+0.0047488i,0.035198+0.018808i,0.01111+0.012379i,0.024062+0.033724i,-0.013436+0.032326i,0.0083123-0.0032802i,0.0082176-8.8897e-05i,0.0078572-0.00080189i,0.0074379+0.0072113i,0.0022391+0.0070612i,-0.0070698-0.00020862i,-0.0011626-0.0086304i,0.00074065+0.015806i,-0.0038209-0.0010643i,-0.0016795+0.0037159i,-0.00089076+0.0010859i,0.0039281-0.00099146i,0.004102+0.00044882i,-0.0034347-0.00099468i,0.0041822-0.0011798i,-0.0051205-0.0020811i,-0.002013+0.0014145i,-2.0371e-05+0.00026125i,-0.0020705-0.0046489i,-0.0035715-0.0036792i,-0.003413-0.01217i,0.0038654+0.00027879i,-0.0060406+0.00012363i,-0.0029631+0.0010074i,-0.00469+0.001676i,0.0053845+0.0024512i,-0.0060584-0.0044403i,-0.00096154-0.0085867i,-0.0023805-0.0021285i,-0.0050864-0.0033146i,0.0054814-0.0011012i,0.0047032+0.0022252i,0.0027734-0.00074712i,0.0036109+0.008851i,0.0067621+0.0075513i,0.037665+0.036746i,-0.030552-0.013145i,-0.03671+0.010907i,-0.014542+0.020297i,0.0029304-0.0003676i,0.0093374-0.0055018i,-0.0095717-0.00080617i
