-0.0075794-0.039351i,-0.011166-0.04466i,0.0027915-0.045838i,-0.027084-0.0282i,-0.020535+0.014292i,-0.032585-0.033194i,-0.06111-0.061759i,-0.022118-0.073095i,-0.038628-0.063052i,0.0017224+0.015146i,-0.0077386+0.01066i,-0.015659+0.013914i,0.0013857+0.016782i,-0.0038847-0.0030338i,0.00040784+0.0068748i,0.00064333+0.03963i,0.025951+0.059974i,0.00089216-0.00039512i,-0.0052029-0.0084574i,0.0079202+0.0051098i,0.0018026+0.00087112i,-0.00086268+0.0032881i,0.00018041-0.0013334i,-0.035848-0.0092012i,-0.0028537-0.0072232i,-0.00037003+0.0046357i,0.0046607+4.9016e-05i,0.00045553+0.00085801i,-0.00018432-0.0011456i,-0.00045996-0.0026804i,-0.0011632-0.0057165i,-0.0025168-0.0040807i,-0.00082554-0.0082943i,0.0032778-0.00094701i,0.0030501-0.0027788i,-0.0030323+0.034639i,0.0063068-0.0043577i,0.0037333-0.0022488i,0.0047619-0.00024884i,-0.026319-0.00079598i,-5.7765e-05+0.00019228i,0.0086758+0.00080449i,0.006296-0.00055398i,-0.0033466+0.0038071i,0.0021936+0.0019182i,-0.0030052+0.0088344i,0.015928-0.086921i,-0.0055007-0.048446i,-0.024186-0.040016i,-0.018752-0.042329i,0.064012-0.015222i,0.028879-0.060832i,0.038649-0.044243i,0.03044-0.056084i,0.019021-0.015453i,0.0082459+0.010178i,0.024821-0.032247i,-0.0064926-0.0060022i,0.0021292-0.0026602i,-0.0044087-0.0063334i,0.001275-0.032094i,-0.02481+0.030256i,0.0083089-0.010462i,-0.010966-0.0015571i,-0.005233-0.001308i,-0.00085898-0.014226i,-0.0096315+0.0039381i,0.0035734+0.0083785i,-0.010709+0.029841i,0.0055162+0.0078948i,-0.0054292-0.0019004i,-0.0021144-0.002125i,-0.011657-0.0067204i,0.00074414-0.0037731i,-0.032119+0.0035534i,0.0023691-0.012929i,-0.0089371-0.0023175i,-0.0063574-0.0029767i,0.0066366+0.0014819i,-0.0091586+0.0014697i,0.0013719+0.00099751i,0.0056123+0.0097617i,0.004592+0.00047381i,-0.0089235-0.0092861i,0.0025582+0.0088503i,-0.01812+0.006117i,0.0070358+0.0035866i,-0.028944-0.0085917i,-0.035431+0.0020591i,0.027345-0.080941i,0.012577-0.0093877i,-0.043865-0.028532i,-0.022044-0.0041109i,0.017623+0.012918i,-0.026617+0.011614i,-0.011466-0.0090215i
-0.014068+0.018276i,0.011702+0.04827i,0.025257+0.04662i,-0.00028187+0.01804i,-0.0025392+0.0078978i,0.027482+0.0026455i,0.012707+0.018564i,0.0099336+0.04502i,0.0057076+0.020168i,-0.0025483+0.0069154i,0.00095845+0.0014187i,0.0026953-0.0043017i,0.0029516-0.0024363i,0.0036593-0.00056092i,0.0032939-0.0022057i,0.0051326-0.0016268i,0.013074-0.0064678i,-0.00056296-0.00047949i,-0.0048203+0.00020452i,-0.00018534+0.0029322i,-0.00045395-0.0010004i,-0.0053335-0.0017891i,-0.0025348+0.00065847i,0.0041458+0.0094651i,0.0023588+0.0017749i,0.0022194+0.00064886i,0.0019479+0.0016252i,-0.0012131+0.0037835i,-0.00052048+0.00076042i,-0.00089976+0.0013902i,0.00075191-0.0040741i,-0.00084688-0.0010619i,-0.00087329-0.00063228i,-0.00017999+0.00061741i,-0.00090638-0.0019972i,-0.0056942+0.009797i,0.0028759-0.00021351i,0.0010029+0.00015801i,-0.00092438+0.0021778i,-0.00076057-0.0026743i,-0.0020874+0.00053882i,-0.0018514-0.0017704i,0.0019406+0.0084924i,0.0032161+0.0010729i,-0.028395+0.022932i,-0.057365+0.024743i,-0.031843+0.046386i,-0.019329+0.032542i,-0.0048258+0.05024i,-0.0092441+0.03225i,0.0094599+0.0097974i,-0.0059843-0.0072366i,-0.036879-0.007561i,-0.043386+0.016387i,0.010821+0.020824i,-0.0020719+0.0030036i,-0.005307+0.0020293i,-0.012595-0.0033432i,0.0099695+0.0018682i,0.012306+0.014126i,-0.0027307+0.0078463i,-0.0062784-0.012248i,0.0058977-0.0029558i,-0.0047164-0.0044018i,0.0040904-0.0081389i,0.0053152-0.0023454i,-0.00070474+0.01009i,0.012423-0.0046159i,0.0078303-0.0066405i,0.0053815-0.0071912i,0.0034486-0.00064015i,-0.0030995-0.0066092i,-0.0034539-0.0014343i,0.0031013-0.001263i,-0.017794+0.031195i,-0.0055327-0.0054689i,0.0014686+0.00081472i,-0.00086876-0.0075044i,0.0032327-0.0010701i,-0.014089-0.00442i,0.0012505-0.00078071i,0.0031475-0.0031138i,0.0025751-0.002063i,0.00014577-0.0060099i,-0.0007414+0.0063996i,-0.00068775+0.0031763i,-0.0021804+0.0055536i,-0.011463-0.001771i,-0.0090445+0.0027166i,-0.040324+0.039637i,-0.0078014+0.016709i,-0.019271-0.0061056i,-0.00042204-0.0012645i,0.0099074+0.019647i,-0.0017368+0.019998i,-0.005897-0.00088695i
-0.011915+0.018141i,0.018745+0.044187i,0.033257+0.041215i,0.0038409+0.01989i,0.0015994+0.0082706i,0.027526-0.0032631i,0.014208+0.01534i,0.017553+0.041527i,0.0083755+0.018221i,-0.00037139+0.0065054i,0.001752+0.0013839i,0.00031351-0.0031953i,0.0016007-0.0025905i,0.0033332-0.00068845i,0.0026823-0.0027615i,0.0041068-0.0015617i,0.0094052-0.009166i,0.00012556-0.00013798i,-0.0046526+0.000955i,0.00091772+0.001674i,-0.00096503-0.0012758i,-0.0055276-0.00032878i,-0.0023302+0.0007539i,0.008846+0.0066624i,0.0022769+0.0020557i,0.0026707-0.00041463i,0.0020691+0.00064159i,8.1785e-05+0.003733i,-0.00074815+0.0014006i,-0.00054576+0.0016517i,-0.00087973-0.0038632i,-0.0014268-0.00096532i,-0.0015513-0.00046367i,0.0002326+0.00035315i,-0.0014843-0.00029522i,-0.0019703+0.010221i,0.0024524-0.0010708i,0.0010341-7.3866e-06i,0.0002729+0.0019111i,-0.0011433-0.0019193i,-0.001788+0.00082476i,-0.0030982-0.0025477i,0.0038099+0.0076482i,0.002568+0.00070212i,-0.02265+0.027308i,-0.049604+0.033784i,-0.025687+0.05173i,-0.01214+0.034004i,0.0084891+0.046027i,-0.0004676+0.031062i,0.0039795+0.0031696i,-0.012866-0.011143i,-0.039787-0.0061932i,-0.034704+0.01767i,0.015043+0.016496i,-0.0025266+0.0034872i,-0.00443+0.0061622i,-0.012595+0.0018765i,0.008423-0.0019417i,0.014612+0.011246i,0.0011941+0.011518i,-0.011958-0.010318i,0.0021371-0.0041176i,-0.0045871-0.0018461i,-0.0010342-0.0074796i,0.0037023-0.0042703i,0.0040339+0.0074699i,0.0084635-0.0077733i,0.0035398-0.0087694i,0.0017921-0.0053333i,0.0041945-0.0016584i,-0.0044942-0.005281i,-0.0017775+0.00073073i,0.0031627-0.0018466i,0.0014605+0.038926i,-0.0071929-0.0040703i,0.0022171-0.00096483i,-0.0040456-0.0062277i,0.0037359-0.0019863i,-0.013403+0.0018823i,0.001314-0.00033256i,0.0016689-0.0029784i,0.0024861-0.0033284i,-0.0014296-0.0057989i,0.0013508+0.0031986i,0.00085131+0.0027493i,0.00053534+0.0061797i,-0.010881+0.002243i,-0.0086532+0.0041574i,-0.032165+0.04105i,-0.0043831+0.019805i,-0.024497-0.0010766i,-0.0014597-0.0055062i,0.012523+0.01851i,0.0023729+0.022402i,-0.0082703-0.00088272i
-0.01066+0.018595i,0.024422+0.038949i,0.041554+0.033391i,0.011122+0.018423i,0.0061793+0.0068414i,0.026163-0.0094263i,0.014771+0.011879i,0.024785+0.036073i,0.01136+0.016992i,0.00079221+0.0060804i,0.0022347+0.0001361i,4.4318e-05-0.0012923i,0.00020823-0.0025932i,0.0033089-0.0012173i,0.0019547-0.0030526i,0.0031785-0.0014757i,0.0060498-0.010314i,0.00024418-0.000549i,-0.0041869+0.0028427i,0.00091119+0.00030906i,-0.0019436-0.00144i,-0.0050899+0.0014216i,-0.0024588+0.0010095i,0.010033+0.0012703i,0.0033756+0.0012706i,0.0019912-0.0015302i,0.0019777-0.00013181i,0.0017708+0.0029785i,0.00012005+0.0017242i,-0.00012202+0.001973i,-0.0023536-0.0029137i,-0.0019036+0.00010076i,-0.0016958-1.5401e-05i,0.00019787+8.1912e-06i,-0.00081206+0.00067418i,0.00093752+0.0097213i,0.0016548-0.0016238i,0.00094162-0.00074039i,0.00061269+0.0012598i,-0.001647-0.0014284i,-0.0015972+0.00099054i,-0.0032479-5.7313e-05i,0.0054799+0.0071715i,0.0026046+0.0006178i,-0.015378+0.02982i,-0.040857+0.040808i,-0.016689+0.055774i,-0.0045839+0.032862i,0.01998+0.037994i,0.011532+0.026928i,-0.0027888+0.00083001i,-0.019592-0.010456i,-0.043103-0.001635i,-0.028135+0.015807i,0.017095+0.010792i,-0.0024866+0.0042396i,-0.0025466+0.0074228i,-0.011845+0.0057826i,0.0050873-0.005716i,0.016823+0.0073105i,0.0066299+0.012038i,-0.015959-0.0062627i,0.00070081-0.0023413i,-0.0040082+0.00034602i,-0.0033081-0.0052654i,0.0014694-0.0047074i,0.0058068+0.005798i,0.005421-0.0084057i,-0.0021743-0.0074304i,0.0012551-0.003464i,0.0039689-0.0041683i,-0.0068383-0.0041426i,-0.00022072+0.00055321i,0.0018679-0.0027675i,0.020872+0.030866i,-0.0090187-0.001037i,0.0020612-0.0019479i,-0.0041256-0.0039765i,0.004245-0.0040032i,-0.0098279+0.0064371i,0.0022751-0.00034386i,0.00033493-0.0032604i,0.00077354-0.0037008i,-0.0032532-0.0045757i,0.00033246+0.0022225i,0.0019665+0.0017049i,0.0029419+0.0059208i,-0.0093524+0.004679i,-0.0082853+0.0064547i,-0.025927+0.041476i,0.0033722+0.020687i,-0.024408+0.0032886i,-0.0041824-0.0090508i,0.016863+0.01538i,0.0087477+0.023921i,-0.0097767+0.00096394i
-0.0091327+0.01962i,0.027991+0.033852i,0.046184+0.023041i,0.01645+0.012902i,0.0097173+0.0028469i,0.022864-0.014746i,0.01461+0.0094826i,0.029693+0.028829i,0.014957+0.014179i,0.0022216+0.0057024i,0.0015185-9.742e-05i,0.00085676-0.00051591i,-0.0012972-0.001368i,0.0028915-0.0016153i,0.0010562-0.0033583i,0.0027163-0.0009339i,0.0025052-0.0099459i,0.00032139-0.00062489i,-0.001845+0.0063392i,7.5387e-05-0.00032517i,-0.0027055-0.00051933i,-0.0042276+0.0030888i,-0.002317+0.0016598i,0.0083281-0.003291i,0.0034653-0.00011421i,0.00094786-0.0017505i,0.0016022-0.00071098i,0.002204+0.0017089i,0.00092841+0.0011177i,0.00055702+0.0022598i,-0.0031995-0.0012438i,-0.0014696+0.00099265i,-0.00018236+0.0010391i,-8.5524e-05+5.6188e-05i,-0.00016609+0.0009288i,0.0035848+0.008649i,0.00093702-0.001941i,0.00032824-0.0010035i,0.00051846+0.0012049i,-0.0018901-0.00090567i,-0.0012088+0.0012704i,-0.0027134+0.0012046i,0.007248+0.0057106i,0.0028027+0.00033804i,-0.0083076+0.029121i,-0.030592+0.045751i,-0.0073785+0.058186i,0.00018374+0.030572i,0.02851+0.02618i,0.016937+0.020952i,-0.010019+0.0030066i,-0.027003-0.0065018i,-0.045394+0.0049448i,-0.024487+0.012493i,0.017972+0.0045891i,-0.0018773+0.0053907i,-7.363e-05+0.0098871i,-0.009681+0.0097219i,-0.00054682-0.0057398i,0.018625+0.0011115i,0.01195+0.0097299i,-0.018731-0.00066547i,0.00034303-0.001971i,-0.0025981+0.0015364i,-0.0044032-0.0019749i,-0.00019525-0.0043957i,0.007358+0.002742i,0.0026463-0.0089591i,-0.0048081-0.0023456i,0.0017113-0.002841i,0.0017986-0.0060636i,-0.0067066-0.00021128i,0.00083743+0.00051142i,0.000969-0.0028272i,0.029568+0.014066i,-0.0085636+0.0033001i,0.0016313-0.0033188i,-0.0040397-0.0024183i,0.002418-0.0066425i,-0.0051899+0.0078837i,0.0032121-0.0015804i,-0.0010418-0.002366i,-0.0003306-0.0031205i,-0.0037499-0.0019896i,-0.00018993+0.0027352i,0.0020821+0.00019386i,0.0057963+0.00463i,-0.0078725+0.006193i,-0.0070451+0.0086308i,-0.020306+0.043248i,0.013778+0.015705i,-0.022049+0.0077702i,-0.0099282-0.010641i,0.018661+0.010379i,0.016232+0.021739i,-0.008846+0.0023414i
-0.006944+0.020744i,0.031631+0.029733i,0.048716+0.013452i,0.018618+0.0061327i,0.010481-0.0023018i,0.019054-0.018743i,0.014655+0.0081714i,0.032249+0.022012i,0.01769+0.010147i,0.0032921+0.0046474i,0.0015491+0.00028248i,0.0017764-0.00062357i,-0.0014991+0.00064544i,0.0022786-0.0020837i,3.8456e-05-0.0028925i,0.0028776-0.00032068i,-1.6125e-05-0.0087043i,6.0616e-06-0.00070514i,-0.0017671+0.0048149i,-0.00071165-0.00021197i,-0.0027961+0.0004113i,-0.0024076+0.0040795i,-0.0016331+0.0022601i,0.0056725-0.006125i,0.0028708-0.0011482i,0.000352-0.0018579i,0.0010563-0.0010794i,0.0018834+0.00063852i,0.00087183+0.00053095i,0.0016481+0.0020568i,-0.0028331+0.00020979i,-0.00093271+0.0013642i,-0.00069781+0.00095663i,0.00012446+0.00059439i,0.00057102+0.0010277i,0.0054738+0.0067522i,2.3165e-05-0.0019743i,-0.00020825-0.00091267i,0.0011354+0.0011494i,-0.0018001-0.00033722i,-0.00094873+0.0012649i,-0.0020278+0.0018563i,0.0082391+0.003189i,0.0025233-0.00041727i,-0.0035933+0.027157i,-0.019476+0.047616i,0.0041531+0.059256i,0.005+0.028972i,0.030934+0.013459i,0.019939+0.013187i,-0.013584+0.010139i,-0.031751+0.0027469i,-0.04711+0.014503i,-0.02503+0.009829i,0.015321-0.0010031i,-0.00016304+0.006501i,0.004585+0.0095411i,-0.0065239+0.01245i,-0.0033592-0.00236i,0.017069-0.0065201i,0.016+0.004856i,-0.01909+0.0053898i,0.00028722-0.00069808i,-0.0014897+0.0020143i,-0.0027646+0.0001996i,-0.0021498-0.0031299i,0.0068501+3.0536e-05i,-0.00027387-0.0086047i,-0.0039733+0.0012122i,0.0024426-0.003306i,-0.00090358-0.0065305i,-0.0044178+0.0024286i,0.0019947-0.00012822i,0.00035353-0.0023194i,0.030219+0.00012909i,-0.005182+0.0062862i,5.4583e-05-0.004098i,-0.0033264-0.0019632i,-0.00027401-0.0074787i,-0.0018028+0.0072371i,0.0023691-0.0031784i,-0.0012081-0.00047768i,-0.00033397-0.0022117i,-0.0020698-0.0011018i,0.0014258+0.0032829i,0.00086412-0.00079311i,0.0060403+0.0016892i,-0.0063074+0.0067827i,-0.004724+0.010788i,-0.013244+0.044345i,0.018655+0.0025996i,-0.017565+0.0090359i,-0.016178-0.0090902i,0.019795+0.0055338i,0.02154+0.014561i,-0.0092087+0.0023549i
-0.004266+0.021223i,0.035645+0.024714i,0.049342+0.0038417i,0.019294-0.00061071i,0.0098724-0.0064973i,0.014663-0.021821i,0.016017+0.0069715i,0.03386+0.015784i,0.019474+0.0050763i,0.0037426+0.0037672i,0.0021568+0.00028802i,0.0022133-0.00098855i,5.982e-05+0.0020828i,0.001721-0.0020998i,-0.00029256-0.0024119i,0.0036233+6.7065e-05i,-0.0013201-0.0076945i,0.00033548-0.00082627i,-0.00069468+0.0041859i,-0.0011312+0.00028974i,-0.002304+0.0011213i,-0.000301+0.0037324i,-0.00088065+0.0023956i,0.0013901-0.0083031i,0.0025842-0.0018222i,-0.00050672-0.0017623i,0.00049856-0.0012472i,0.0016344+0.00024414i,0.00080178+0.00034333i,0.0022711+0.0010997i,-0.0022819+0.0011363i,-0.00031294+0.0017103i,-0.00048418+0.0012433i,0.00068503+0.00013801i,0.0009343+0.00012065i,0.0061424+0.0046435i,-0.00065242-0.0016443i,-0.00047188-0.00044631i,0.0011881+0.00034331i,-0.0014199-0.00017232i,-0.00093169+0.0014816i,-0.0014469+0.0020248i,0.0078818+0.0012073i,0.0019139-0.00054773i,0.00031837+0.024788i,-0.0095049+0.046459i,0.016396+0.055636i,0.0098822+0.026896i,0.029631+0.0020586i,0.019766+0.0065918i,-0.011445+0.01816i,-0.031183+0.014864i,-0.043053+0.028112i,-0.027533+0.010661i,0.011442-0.0038332i,0.0018919+0.0062161i,0.0075225+0.0070332i,-0.002923+0.014778i,-0.0036401+0.00031706i,0.011619-0.013513i,0.016508-0.0021727i,-0.016889+0.010483i,0.001238-0.00036023i,-0.00040393+0.001822i,-0.00099484+0.0003747i,-0.0024139-0.00070798i,0.0053746-0.0013375i,-0.0023348-0.0070449i,-0.0015177+0.003722i,0.0020087-0.0048053i,-0.0032897-0.0051405i,-0.0028323+0.0027863i,0.0022385-0.0017696i,0.00074982-0.0019146i,0.025162-0.012811i,-0.0016728+0.006691i,-0.0015403-0.0036282i,-0.0034413-0.001387i,-0.0031755-0.0071064i,0.00045397+0.0061171i,0.0022881-0.0048912i,0.00025673+0.00027763i,-1.2546e-05-0.0026068i,-0.001022-0.0013947i,0.0057063+0.0051706i,-0.00019392-0.00015146i,0.0064086-0.00052773i,-0.0054036+0.0071246i,-0.0011877+0.011726i,-0.0060911+0.044184i,0.014656-0.0087683i,-0.014405+0.0062006i,-0.021466-0.0043614i,0.018514-0.00099931i,0.022315+0.007044i,-0.009734+0.0040098i
-0.0013027+0.02155i,0.038645+0.018644i,0.047688-0.0067835i,0.016777-0.0085092i,0.0083114-0.010844i,0.0096305-0.023871i,0.018169+0.004679i,0.034522+0.009245i,0.019156-7.5549e-05i,0.0040241+0.0034352i,0.0023464-0.00030793i,0.0024838-0.0024524i,0.0015777+0.0020723i,0.0011888-0.0020791i,-0.00038976-0.0020347i,0.0046193-0.00036899i,-0.0025969-0.0069331i,-0.00028386-0.0012868i,0.00068563+0.0036284i,-0.001377+0.0010125i,-0.0020763+0.001401i,0.00074552+0.0025291i,-0.00046331+0.0023593i,-0.0052322-0.0076526i,0.0016677-0.0033013i,-0.0012343-0.0011213i,-0.00013688-0.0012301i,0.0015195+6.5423e-05i,0.0010327-3.6138e-05i,0.0022423+4.654e-05i,-0.0012808+0.0018098i,0.00022979+0.0018483i,-0.00016738+0.0015153i,0.00071348-0.00018644i,0.00033824-0.00056521i,0.0061406+0.0027165i,-0.001328-0.0012174i,-0.00046365-0.00022835i,0.00099967+3.6722e-05i,-0.000952-0.00024129i,-0.0004748+0.0018993i,-0.00077079+0.0024467i,0.0071945+0.00034053i,0.0015981-0.00033058i,0.0031774+0.022447i,-0.00093242+0.043663i,0.025702+0.048573i,0.015179+0.024206i,0.024911-0.0069708i,0.018133+0.0022017i,-0.0055571+0.023172i,-0.022584+0.024974i,-0.031285+0.038138i,-0.029046+0.015023i,0.007824-0.0046475i,0.0034542+0.0050847i,0.0088722+0.0035117i,0.0020534+0.014146i,-0.0038209+0.0022098i,0.0015473-0.016253i,0.013422-0.0077325i,-0.013675+0.014312i,0.0020399-0.0015154i,0.0003691+0.0016046i,-0.00066397-0.00029727i,-0.00094092+0.00071635i,0.0043512-0.0012275i,-0.0036069-0.0059976i,0.0012868+0.0036226i,0.00046436-0.0063059i,-0.0045984-0.0034957i,-0.0013399+0.0029373i,0.0010355-0.0032213i,0.0010132-0.0027463i,0.015442-0.020241i,0.00095719+0.0059693i,-0.002316-0.0028655i,-0.0029852-0.0010246i,-0.0054032-0.0056826i,0.0015034+0.0048183i,0.0019771-0.00654i,0.0012433-0.00044289i,-0.00071387-0.0030816i,-0.0013865-0.0020901i,0.0036838+0.0044029i,-0.00046775+0.0010927i,0.0053076-0.0019658i,-0.0047298+0.0079875i,0.0020075+0.010844i,0.00089112+0.043344i,0.0067336-0.016243i,-0.01629+0.0025577i,-0.023708+0.0031766i,0.012987-0.0056711i,0.021982+0.00071166i,-0.0080257+0.0050864i
0.0018558+0.020994i,0.040884+0.012848i,0.043404-0.015902i,0.010438-0.01361i,0.0048012-0.014523i,0.0049099-0.02449i,0.020334+0.0010182i,0.033816+0.0032631i,0.017891-0.0050107i,0.0050583+0.0034169i,0.0022025-0.00048009i,0.0010181-0.0037402i,0.0028953+0.0014244i,0.00087255-0.0019535i,-0.00023097-0.0020479i,0.0052233-0.0012826i,-0.0045569-0.0055487i,-0.00089815-0.0010159i,0.0016092+0.0024507i,-0.00095572+0.0020135i,-0.0017542+0.0020493i,0.00070622+0.0011956i,3.6999e-06+0.0024238i,-0.0082046+0.0012052i,-0.00057745-0.0033831i,-0.0014269-0.00045112i,-0.00067352-0.00088925i,0.0012867-0.00019492i,0.00065687-0.00060261i,0.0017694-0.00078351i,-0.00019933+0.0018253i,0.00085516+0.0016372i,0.00064516+0.0015595i,0.0017316+0.0027763i,-9.2521e-05+2.7343e-05i,0.0058345+0.00093233i,-0.0019401-0.00040767i,-0.00046696+0.000173i,0.0010342-5.3125e-05i,-0.00055095-0.00057092i,0.00017825+0.0022293i,0.0001649+0.0024025i,0.007435+0.00068808i,0.0014326-9.9085e-05i,0.0057205+0.019749i,0.0061989+0.039367i,0.031539+0.040951i,0.020308+0.019791i,0.018835-0.012504i,0.016031-0.00045873i,0.0012513+0.025236i,-0.012165+0.028432i,-0.01707+0.042423i,-0.027487+0.021001i,0.0061449-0.0042648i,0.0046497+0.0034519i,0.0083564+0.00058014i,0.0070103+0.011797i,-0.0030529+0.004578i,-0.0074217-0.012611i,0.0086672-0.010851i,-0.0096019+0.017201i,0.00135-0.0031078i,0.00079551+0.0010815i,-0.00095917-0.0003076i,0.00095965+0.00097454i,0.0041967-0.0015165i,-0.0046982-0.0044358i,0.0033255+0.0022099i,-0.0026517-0.0067136i,-0.0051152-0.0015083i,0.00019863+0.0020905i,0.00016282-0.0037958i,0.00046264-0.0039378i,0.0058191-0.022275i,0.002957+0.0045852i,-0.0027861-0.002431i,-0.0037029-0.00096301i,-0.0069805-0.0032164i,0.0018066+0.0041797i,-0.0011127-0.0082109i,0.0019745-0.0013121i,-0.0014107-0.0023651i,-0.0017099-0.0022019i,0.0050121+0.0030598i,0.00011284+0.0019394i,0.0035006-0.0031223i,-0.0038163+0.009226i,0.0045385+0.0091557i,0.0086252+0.041753i,-0.0036351-0.019979i,-0.020329+0.002748i,-0.021264+0.010652i,0.0076285-0.0059452i,0.018468-0.0058517i,-0.0063389+0.0036625i
0.0046184+0.019665i,0.042611+0.0060281i,0.037926-0.022491i,0.0045476-0.014407i,0.00050677-0.01654i,0.00086748-0.024606i,0.021469-0.0041628i,0.032609-0.0018862i,0.01532-0.0090904i,0.0065993+0.0021024i,0.0026714-0.00076122i,-0.00057176-0.0033894i,0.0036443-0.00025618i,0.00058735-0.0019276i,-0.00047937-0.0022522i,0.0056326-0.0022994i,-0.0052813-0.0032093i,-0.00097063-0.00099823i,0.0015733+0.0013415i,6.4869e-06+0.0022922i,-0.0013353+0.0025298i,0.00028615+0.00038678i,0.00056039+0.0022993i,-0.0027347+0.0045164i,-0.0018654-0.0020475i,-0.0013126+0.0001563i,-0.00087597-0.00051534i,0.00058016-0.00062878i,2.7715e-05-0.00032005i,0.0010427-0.0014104i,0.00069767+0.0014695i,0.0013286+0.0011791i,0.0013881+0.001004i,0.00051342+0.00018417i,0.00037224+0.00064513i,0.005153-0.00050844i,-0.0021614+0.00074317i,-0.00019507+0.00037229i,0.00097945-0.00054071i,-0.00045497-0.00098794i,0.00094406+0.0019594i,0.00073927+0.0020143i,0.0098404-0.00062693i,0.0013948+5.642e-05i,0.0072082+0.017099i,0.010777+0.034132i,0.036036+0.033609i,0.023626+0.013578i,0.012864-0.015693i,0.014413-0.00061638i,0.0086241+0.025296i,-0.0025112+0.029282i,-0.0035727+0.041461i,-0.02349+0.026531i,0.004985-0.0048506i,0.0052994+0.0014177i,0.0078693-0.0017785i,0.010493+0.0075263i,-0.00058926+0.0054266i,-0.012062-0.0058802i,0.0034824-0.012044i,-0.0041584+0.018352i,-0.00027152-0.0038204i,0.0003387+0.00086656i,-0.0011308-2.1296e-05i,0.0020591+3.287e-05i,0.0038256-0.0013991i,-0.0049162-0.0022682i,0.003745+0.00036331i,-0.0052252-0.004651i,-0.0040075+0.00027i,0.00052549+0.00072109i,-0.00077523-0.0043729i,-0.0010305-0.0044655i,-0.0021124-0.020355i,0.0044908+0.0023115i,-0.0038528-0.0016049i,-0.0040873+0.00065246i,-0.0069795-0.00037376i,0.0026685+0.0039255i,-0.0050693-0.0078804i,0.002137-0.0027792i,-0.0017367-0.0022947i,-0.0022619-0.002795i,0.0065381+0.0015271i,0.0010086+0.0020861i,0.0021371-0.002335i,-0.0020306+0.0098816i,0.0061433+0.0068684i,0.016374+0.037588i,-0.015189-0.017959i,-0.023731+0.0051214i,-0.015531+0.014669i,0.0046236-0.0046846i,0.012197-0.0087415i,-0.0077684+0.0026613i
0.0067514+0.01829i,0.043001-0.001429i,0.032492-0.027976i,0.00056239-0.013711i,-0.0038693-0.017237i,-0.003464-0.024656i,0.020687-0.010391i,0.031356-0.0070705i,0.011969-0.012276i,0.0072977+0.00029582i,0.0029554-0.001806i,-0.0015184-0.0023819i,0.0031449-0.0018907i,0.00032125-0.0018526i,-0.0011189-0.002448i,0.0057834-0.0035768i,-0.0051625-0.0010718i,-0.0013027-0.0010647i,0.0015241+0.00080904i,0.00084979+0.0021323i,8.3431e-05+0.0025848i,-0.000418+0.00032634i,0.00090226+0.0019776i,-0.00014336+0.0033221i,-0.0019803-0.00053941i,-0.0011271+0.00076864i,-0.00095099-0.00017816i,-0.00030465-0.0011097i,-6.1557e-05-5.7721e-05i,8.0681e-05-0.0015415i,0.0012233+0.00081403i,0.0016991+0.00077182i,0.0019079+0.00033465i,0.00061444-0.00042325i,0.0012003+0.00046596i,0.0044127-0.0014895i,-0.0018538+0.001718i,0.0001195+0.00044672i,0.00014316-0.00074064i,-0.00038115-0.0015393i,0.0016201+0.0015555i,0.0011914+0.001657i,0.0099505-0.0067241i,0.0014843+0.00075681i,0.0080897+0.015014i,0.013303+0.030155i,0.039249+0.026242i,0.024534+0.0083742i,0.0065186-0.017624i,0.015802+2.0281e-05i,0.015685+0.022301i,0.0079861+0.026987i,0.0088678+0.035824i,-0.01625+0.030866i,0.0034506-0.0055155i,0.0046667-0.0016603i,0.0067581-0.0043736i,0.010832+0.0022591i,0.0007263+0.0047499i,-0.01319+0.0016732i,-0.0016342-0.010829i,0.00026273+0.016528i,-0.0021937-0.0032321i,0.00016704+0.0015844i,-0.0011296+0.00038754i,0.0029679-0.0014145i,0.0045125-0.00056686i,-0.0040937-0.00079858i,0.0038176-0.0004454i,-0.0061604-0.0023903i,-0.0026537+0.00051086i,0.00016747+0.00030156i,-0.0031838-0.0048873i,-0.0024843-0.0037549i,-0.0089221-0.017323i,0.0045218-0.00051105i,-0.0043474-0.00023305i,-0.0027682+0.0019251i,-0.0060514+0.0016176i,0.0040957+0.0033217i,-0.0075152-0.0052814i,0.00093497-0.0044519i,-0.0025345-0.00187i,-0.0041277-0.0023631i,0.0070734-0.0012516i,0.0018068+0.0025623i,0.0023755-0.0019728i,0.00039698+0.010772i,0.0063127+0.0043247i,0.022832+0.031383i,-0.022086-0.0097023i,-0.026447+0.010068i,-0.010078+0.015834i,0.0021979-0.0029012i,0.0075132-0.0079072i,-0.0086545+0.0031602i
