-0.029852-0.038787i,-0.021476-0.019081i,-0.012828-0.035746i,-0.029815-0.020021i,-0.022123-0.00016085i,-0.013549-0.0057986i,-0.055394-0.058844i,-0.046849-0.017628i,-0.037844-0.014241i,0.01055+0.011655i,-0.0078805+0.005283i,-0.019837+0.018837i,0.0024284+0.011489i,-0.006061-0.0031224i,0.00017735+0.0012348i,-0.0017074+0.030445i,0.02735+0.027968i,0.0024728-0.0022037i,-0.0021494-0.0064833i,0.0079578+0.0025392i,0.002577+0.0013725i,0.00016677+0.0038178i,-0.00031563+0.00029439i,-0.037718-0.011604i,-8.9321e-06-0.0077274i,0.0013944+0.0022029i,0.0061061+0.0013115i,0.0019608+0.00058763i,0.0011237-0.00055398i,-0.00028217-0.0025783i,0.0016334-0.0025252i,-0.0023162-0.0058728i,-0.00046658-0.0049008i,0.0028602-0.00074582i,0.0047014-0.0028718i,0.0021151+0.030187i,0.0039229-0.0033628i,0.0030588-0.0016616i,0.0083572-0.0015998i,-0.0049298-0.0023614i,-0.00012581+0.0011043i,0.0094387+0.00020828i,0.0041125-0.0024096i,-0.0014235+0.0087303i,-0.017613-0.0057575i,-0.018675+0.016152i,-0.0028602-0.060736i,-0.0050059-0.026958i,-0.026448-0.032763i,-0.011073-0.026668i,0.055126-0.01997i,0.017204-0.04247i,0.022697-0.04886i,0.0059183-0.054314i,0.026581-0.021027i,0.0083551+0.0062195i,0.024878-0.033932i,-0.0081094-0.0066669i,0.0039784-0.0049165i,-0.0043879-0.0071574i,-0.0016817-0.033605i,-0.018866+0.029703i,0.0087067-0.011572i,-0.0092428-0.0039512i,-0.0041222-0.0015667i,0.00078467-0.012952i,-0.011327+0.0048119i,0.0025889+0.010239i,-0.0054135+0.026978i,0.0047374+0.0029583i,-0.0052878-0.0018377i,-0.0020595-0.0022127i,-0.012508-0.0076485i,-0.00051554-0.004373i,-0.035743+0.00087566i,0.0011185-0.010497i,-0.0083538-0.00010595i,-0.0069502-0.0026114i,0.0053188+0.001245i,-0.0080533-0.00075545i,0.0018566-0.00020212i,0.0035464+0.0070584i,0.0044254+0.00040455i,-0.0082063-0.013551i,0.0024999+0.0090424i,-0.0152+0.0047534i,0.0069195+2.6685e-05i,-0.021994-0.00010591i,-0.017323+0.0046867i,-0.0083573-0.065106i,0.0079714-0.012578i,-0.048867-0.022767i,-0.020931+0.00067136i,0.017265+0.011524i,-0.023138+0.014529i,-0.01894-0.0055903i
0.028907+0.033145i,0.013324+0.015403i,0.016984+0.024719i,0.0064604+0.018948i,0.0081749+0.0069657i,0.0044923-0.00097481i,0.015129+0.011691i,0.015696-0.0020908i,0.0073552-0.0079911i,0.0012809+0.0031717i,0.0021184-0.0025085i,0.00057929-0.0052132i,-0.0017762+0.00068761i,0.0012404-0.0014536i,0.0019393-0.00063275i,0.0054057-0.0026764i,0.0052544-0.0070686i,0.00011664+0.0004593i,-0.0037585+0.00056839i,7.8151e-05+0.00066803i,-0.0008159-0.0011064i,-0.0025622-0.00097575i,-0.0015702+0.00077769i,0.0061458+0.0099281i,-0.0011953+0.001853i,0.00073672+0.0016509i,0.0011805+0.0010396i,-0.001855+0.0026932i,-0.001067+0.00022248i,-0.0012357+0.00064973i,-0.001139-0.0011539i,-0.0017128-0.00081596i,-9.6438e-05+0.00032713i,0.00055156+0.00067625i,2.1836e-05-0.0008037i,-0.0095064+0.010313i,0.0016782+3.3234e-05i,0.00070165+0.00090883i,0.00081073+0.0024867i,0.0010244-0.001299i,-0.00010264-0.00050849i,-0.0011416-0.00061197i,5.0693e-05+0.0014006i,0.0005875+0.0017014i,0.017354+0.013547i,-0.024629+0.012235i,-0.011893+0.016239i,-0.022662+0.011167i,-0.0037248+0.03808i,-0.02024+0.017486i,0.0021482-0.0050738i,-0.011866-0.017524i,-0.01899-0.00063775i,-0.0069123+0.014252i,0.017851+0.021186i,-0.00024328+0.0023147i,-0.0035443+0.000991i,-0.012471-0.0043146i,0.011252+0.0012571i,0.012092+0.009735i,-0.00077716+0.0054042i,-0.0049971-0.0076188i,0.0062773-0.0031193i,-0.0031458-0.0043097i,0.0037141-0.00846i,0.0089472-0.002779i,-0.0014387+0.010571i,0.01256-0.0060289i,0.0035094-0.0074685i,0.0034702-0.0082549i,0.0023341+0.00059789i,-0.0023663-0.0056926i,-0.0037545-0.0015591i,0.0026241-0.00012996i,-0.0090825+0.036516i,-0.0070962-0.0058446i,0.00024853+0.0010232i,-0.0013079-0.0071943i,0.0030933-0.00043485i,-0.018249-0.0064553i,-0.0014879-0.0035041i,0.0028584-0.002185i,0.0036447-0.0014786i,-0.0029203-0.007586i,-0.00030294+0.0072028i,8.1732e-05+0.0033473i,-0.0032022+0.0047158i,-0.0074407+0.001172i,-0.0068516-0.00065407i,-0.0075308+0.022112i,-0.0020343+0.014668i,-0.026596-0.010381i,-0.0015522-0.0027027i,0.014326+0.017998i,-0.00068142+0.018694i,-0.00075023-0.0044933i
0.033761+0.026587i,0.016155+0.01178i,0.021206+0.021869i,0.0097429+0.018529i,0.010166+0.005747i,0.0046255-0.0023411i,0.01505+0.0081007i,0.015144-0.004709i,0.0053674-0.0093677i,0.0020578+0.0023959i,0.0019442-0.0026843i,-0.0013872-0.0035611i,-0.0012918+0.0013886i,0.0010103-0.00042419i,0.0017588-0.00095326i,0.0041429-0.0029961i,0.0028218-0.0074204i,0.00062156+0.00044543i,-0.0033542+0.0010413i,0.00040204+7.7085e-05i,-0.00094872-0.0012478i,-0.0026185-0.00041909i,-0.0012385+0.00091837i,0.011335+0.0064122i,-0.00087787+0.0029332i,0.0015525+0.0011269i,0.0011119+8.9243e-05i,-0.00066648+0.0029849i,-0.0014751+0.00067587i,-0.0009946+0.0011987i,-0.0016299-0.00045583i,-0.002113-0.00069789i,-0.00022201+0.00023402i,0.00068135+0.00042378i,-0.00066592-1.4033e-05i,-0.0054629+0.012151i,0.0012717-0.00058161i,0.00096563+0.00078833i,0.0014962+0.0018726i,0.00052171-0.0012436i,-0.00025551-0.00070862i,-0.0014647-0.00011787i,0.00013529+0.0015132i,0.0004589+0.0018717i,0.020493+0.01089i,-0.019846+0.015863i,-0.010783+0.01892i,-0.018009+0.012935i,0.0079316+0.034067i,-0.012876+0.017717i,-0.0047875-0.0084523i,-0.019748-0.018556i,-0.021926-0.00054159i,-0.00043481+0.0093895i,0.02126+0.014126i,-0.0008037+0.0021102i,-0.0024494+0.0046966i,-0.012576+5.8686e-06i,0.009867-0.0028745i,0.01375+0.0064336i,0.0023265+0.0083277i,-0.0093979-0.0059134i,0.0020386-0.0045376i,-0.0034311-0.0022546i,-0.0015038-0.007806i,0.0070477-0.0054614i,0.0032603+0.0085034i,0.0076841-0.0089134i,-0.0010436-0.0074419i,-0.00066313-0.0057169i,0.0036627-0.00015207i,-0.003584-0.0048752i,-0.0021436+0.0010405i,0.0032009-0.00054435i,0.0097434+0.034806i,-0.0087232-0.0038629i,0.00099622+0.00031284i,-0.004457-0.0057368i,0.0038359-0.0016745i,-0.018669+0.0021937i,-0.0019424-0.0025762i,0.0017044-0.0023022i,0.0034346-0.0031487i,-0.0050145-0.0059478i,0.0018314+0.00374i,0.0013717+0.0025932i,-6.4657e-05+0.0060787i,-0.0059906+0.0039859i,-0.0074385+0.00050397i,-0.002468+0.01882i,0.00028285+0.015938i,-0.028675-0.004125i,-0.0032692-0.006487i,0.017123+0.01527i,0.0028877+0.019894i,-0.0034006-0.004917i
0.036838+0.019308i,0.017247+0.0070838i,0.025859+0.016535i,0.014254+0.015884i,0.0124+0.0038709i,0.0043272-0.0040082i,0.014289+0.0045967i,0.014158-0.0077111i,0.0035452-0.0096941i,0.0021005+0.0016384i,0.0013881-0.0035664i,-0.0015915-0.0015948i,-0.00069964+0.0014274i,0.0017549-0.00043564i,0.0014767-0.0012364i,0.0030952-0.0033274i,0.00079423-0.0073194i,0.00069528+3.0146e-05i,-0.0029581+0.001892i,0.00011917-0.00068108i,-0.0017867-0.0016018i,-0.0023824+0.00011709i,-0.0010261+0.0010166i,0.012597+0.00019545i,0.00041909+0.0034462i,0.0017008+0.00020467i,0.00057404-0.00028168i,0.00055008+0.0026269i,-0.0011823+0.0014775i,-0.00051043+0.0015929i,-0.0017706+0.00047627i,-0.0030097+0.00070835i,-0.0001814+0.00029333i,0.00070615+8.91e-05i,-0.00049906+0.00094838i,-0.0014625+0.012566i,0.00081192-0.00068159i,0.0012095+0.00022751i,0.001518+0.0012002i,9.7971e-06-0.0012951i,-0.00063261-0.00095717i,-0.0014534+0.0001635i,0.00034797+0.0018604i,0.00096134+0.0021703i,0.024277+0.007003i,-0.015151+0.018288i,-0.0077403+0.022099i,-0.01233+0.012744i,0.018355+0.026479i,-0.0063265+0.017937i,-0.012253-0.0073671i,-0.026569-0.015877i,-0.024079+0.003132i,0.0025861+0.002642i,0.021875+0.0065179i,-0.0014354+0.0021083i,-0.0008237+0.0047557i,-0.012538+0.0030536i,0.005985-0.0074732i,0.014427+0.0022198i,0.0063757+0.0083913i,-0.012396-0.0026587i,0.00032507-0.0029528i,-0.0034416-0.00053005i,-0.0039854-0.0050657i,0.0047689-0.0067428i,0.0059866+0.0074057i,0.0046308-0.008704i,-0.0046021-0.004648i,-0.00086607-0.0028928i,0.0041451-0.0023424i,-0.0058482-0.0032049i,-7.9994e-05+0.0010048i,0.0027229-0.0018422i,0.023492+0.024173i,-0.010331-0.0001699i,0.0014689-0.0003195i,-0.0042725-0.0036757i,0.0042599-0.0037237i,-0.014079+0.0094983i,-0.0018164-0.0018298i,0.0006848-0.002473i,0.0016763-0.0038014i,-0.0067579-0.0031102i,0.0013487+0.0026142i,0.0020501+0.0015049i,0.0029286+0.0054131i,-0.0038047+0.0048176i,-0.0078964+0.0024185i,-0.00060712+0.015219i,0.0072441+0.015754i,-0.028501+0.00054605i,-0.0061286-0.0088812i,0.019909+0.0098345i,0.0080158+0.020446i,-0.0056-0.0038484i
0.037804+0.012417i,0.016385+0.0035362i,0.027652+0.0096993i,0.017155+0.011026i,0.013905+0.00076154i,0.0031176-0.0054489i,0.012903+0.0023205i,0.012149-0.010417i,0.0022088-0.010097i,0.0018713+0.0014506i,0.00011808-0.0034384i,-0.00082258-0.00065577i,-0.00057923+0.0015451i,0.001718-0.00055646i,0.0010401-0.0014298i,0.0019101-0.0031136i,-0.00093638-0.0063019i,0.00066748-9.2016e-05i,-0.0016338+0.002553i,-0.00057607-0.00088059i,-0.0024022-0.00070395i,-0.0022733+0.00062866i,-0.00082575+0.0011381i,0.01056-0.004865i,0.001593+0.0032282i,0.0013313-0.00033553i,0.00024627-0.00018787i,0.0011134+0.0019692i,-0.00045921+0.0016438i,0.0001543+0.0017261i,-0.0014139+0.001378i,-0.002286+0.0022485i,-0.00013024+0.0003027i,0.00050578-0.0001159i,0.00010632+0.0013305i,0.0022685+0.011816i,0.00056873-0.00076793i,0.0009874-0.00036585i,0.0013609+0.0011136i,-0.00061835-0.0010262i,-0.001246-0.00079011i,-0.0016419+0.00050689i,0.00088979+0.0021313i,0.0016574+0.0020319i,0.026615+0.00079789i,-0.0096945+0.019916i,-0.0031241+0.024468i,-0.0099568+0.0098914i,0.025902+0.014635i,0.00015717+0.01424i,-0.018705-0.0022966i,-0.03334-0.0099632i,-0.024175+0.0081658i,0.0010256-0.0038672i,0.020338-0.00076217i,-0.0017351+0.0030475i,0.00024214+0.0062492i,-0.011831+0.0069662i,-0.00031596-0.0075563i,0.013864-0.0025625i,0.00999+0.0061756i,-0.013661+0.001898i,-0.00067509-0.0021115i,-0.0027003+0.00094966i,-0.0050704-0.0015744i,0.0025877-0.0074905i,0.0084824+0.003954i,0.0024-0.0087592i,-0.005402+2.1112e-05i,0.00014338-0.0019477i,0.0027673-0.004498i,-0.0063497+5.5814e-05i,0.00094366+0.00063223i,0.0018216-0.0026832i,0.029751+0.00951i,-0.0091847+0.0045426i,0.0016463-0.0014047i,-0.0041739-0.0020771i,0.0024765-0.0061926i,-0.0076459+0.011896i,-0.0016206-0.0013118i,-2.6103e-05-0.0016914i,0.00029295-0.0037826i,-0.0062664+0.00013052i,0.0012361+0.002232i,0.0018224+0.00039696i,0.0050666+0.0040396i,-0.0019015+0.0041268i,-0.007826+0.0044074i,2.9886e-05+0.013953i,0.015647+0.0089162i,-0.026232+0.0054587i,-0.01121-0.0097731i,0.018756+0.004383i,0.013383+0.018404i,-0.0057538-0.0027115i
0.038322+0.0061362i,0.016091+0.0013387i,0.027675+0.0039286i,0.018393+0.0059254i,0.014202-0.0026051i,0.0018117-0.0062925i,0.011844+0.0012762i,0.0096693-0.012408i,0.00093683-0.010633i,0.0019711+0.0012695i,-0.00080606-0.0027708i,-0.00016471-0.00062955i,-0.00036952+0.001966i,0.0017391-0.00088703i,0.0006488-0.0013561i,0.001411-0.0022311i,-0.0017704-0.0051499i,0.0005112-0.00015917i,-0.00047349+0.0022949i,-0.0011664-0.00064291i,-0.0025427-3.7503e-05i,-0.0018046+0.0012114i,-0.00053404+0.0013101i,0.0069206-0.0078797i,0.0026223+0.002647i,0.0010077-0.00062837i,-1.4358e-05-8.6432e-05i,0.0013856+0.0014362i,-3.4437e-05+0.0016251i,0.00092577+0.0015314i,-0.00056458+0.0019077i,-0.0012078+0.0030773i,-0.00022731+0.00029458i,0.0003737+5.9701e-05i,0.00079354+0.0015784i,0.0051533+0.010186i,0.00020759-0.00077803i,0.00056196-0.00064902i,0.0016583+0.00092116i,-0.00085147-0.00048463i,-0.0015539-0.00049442i,-0.0016016+0.00099186i,0.00157+0.0020478i,0.0018036+0.00139i,0.026467-0.0060882i,-0.0035674+0.019798i,0.0031826+0.02509i,-0.0094264+0.009283i,0.026646+0.0015116i,0.0025963+0.0088831i,-0.020983+0.0060932i,-0.036402+4.4961e-05i,-0.022446+0.01482i,-0.0036933-0.0076237i,0.015376-0.0057192i,-0.001098+0.0040495i,0.0037318+0.0061185i,-0.0093241+0.010485i,-0.003555-0.0042509i,0.010992-0.0082347i,0.012732+0.0022682i,-0.013567+0.0065442i,-0.00095105-0.00025088i,-0.0017051+0.001675i,-0.0031467+0.00064582i,-0.00048884-0.0070353i,0.0086932+0.00043255i,-0.00010898-0.0082573i,-0.0033752+0.0031341i,0.00097532-0.0022097i,0.00060549-0.0054299i,-0.0047237+0.0025625i,0.0020731-0.00025199i,0.0010384-0.0027708i,0.028389-0.0041287i,-0.0051483+0.0074156i,0.00099084-0.0024337i,-0.0033104-0.0017353i,-6.3697e-05-0.0069908i,-0.0028902+0.01151i,-0.0017355-0.00084781i,-1.5429e-05-0.00048193i,-4.7413e-05-0.0030773i,-0.0040439+0.0020595i,0.0016467+0.0020645i,0.00096803-0.00014333i,0.005938+0.0014579i,-0.0017407+0.0025678i,-0.0067677+0.0067943i,0.0017835+0.013614i,0.017611-0.0034668i,-0.022102+0.0066241i,-0.016363-0.0078521i,0.017294+0.00018086i,0.017485+0.012988i,-0.00644-0.0028736i
0.038217-0.00025661i,0.016233-0.001312i,0.027538-0.0016602i,0.018772+0.00068035i,0.014052-0.0057775i,0.00031741-0.0068657i,0.012015+0.00056158i,0.0071532-0.013838i,-0.00062984-0.011278i,0.0018714+0.00097568i,-0.0009162-0.0020627i,0.00013068-0.00069737i,0.00034415+0.0024391i,0.0015418-0.0010123i,0.00046694-0.0012984i,0.0017453-0.0015499i,-0.0023231-0.0049346i,0.00065626-0.00029851i,0.00014155+0.0017792i,-0.0015033-0.00016382i,-0.0020809+0.00063269i,-0.0010464+0.001342i,-0.00018275+0.0013929i,0.0026281-0.0089672i,0.0036469+0.0017094i,0.00070242-0.0008694i,-0.00013288+3.9613e-05i,0.0015706+0.00096811i,0.00041189+0.0016157i,0.0014033+0.00092384i,0.00036894+0.0019388i,0.00013667+0.003404i,-0.00027132+0.00059625i,0.00052269+3.6888e-05i,0.0013324+0.0011272i,0.0069975+0.0081011i,-0.00010475-0.00064069i,0.00023898-0.00062114i,0.0017492+0.00044517i,-0.00060541-3.2412e-05i,-0.0019177+3.8629e-05i,-0.0013908+0.0013198i,0.0021407+0.0017704i,0.0019413+0.0010644i,0.024519-0.01234i,0.0017921+0.017646i,0.0092082+0.022946i,-0.008369+0.0099234i,0.023344-0.0091406i,0.002176+0.0051546i,-0.018376+0.014725i,-0.034031+0.010882i,-0.016686+0.021976i,-0.009203-0.0068792i,0.010734-0.0071029i,0.00012694+0.004514i,0.0058653+0.0036686i,-0.0056182+0.013337i,-0.0044791-0.001367i,0.0051954-0.01269i,0.012638-0.0031719i,-0.011585+0.010266i,0.00020287+0.0007981i,-0.00067459+0.0017486i,-0.0015457+0.0009256i,-0.0022403-0.0050776i,0.007272-0.0020403i,-0.0017956-0.0068244i,-0.00036884+0.0039131i,0.0010949-0.0034233i,-0.0015201-0.0049465i,-0.0030174+0.0033323i,0.0019912-0.0020728i,0.00082808-0.0028341i,0.021807-0.014593i,-0.0012159+0.0076718i,-3.9416e-05-0.0024902i,-0.0036415-0.0011686i,-0.0030231-0.0064518i,0.00051696+0.01041i,-0.0011525-0.00038306i,0.0012408-0.00029384i,-0.00036072-0.0038136i,-0.0015891+0.0022402i,0.0018974+0.0018311i,0.00023391+0.00032829i,0.0051835-0.00046036i,-0.0027031+0.0016191i,-0.0044508+0.0084278i,0.0041055+0.01274i,0.011641-0.013444i,-0.020247+0.0037614i,-0.020783-0.0031179i,0.013833-0.0044324i,0.018175+0.0074612i,-0.0072557-0.0020256i
0.03688-0.0065809i,0.015477-0.0043101i,0.025381-0.0083086i,0.016892-0.0053426i,0.013254-0.0093724i,-0.0013886-0.006902i,0.013035-0.00080711i,0.0043437-0.015103i,-0.0025288-0.011521i,0.0016034+0.0013692i,-0.0013362-0.0018051i,1.8107e-05-0.0015338i,0.0011751+0.0023862i,0.0012682-0.0012913i,0.00027066-0.0012267i,0.0023983-0.0016549i,-0.0035225-0.004501i,0.00034518-0.00065104i,0.00057776+0.0012086i,-0.0017505+0.00040489i,-0.0020186+0.00083091i,-0.00041476+0.00097901i,0.0001453+0.0013507i,-0.0016352-0.0080773i,0.0041195-0.00012524i,0.00021052-0.0009258i,-0.00048285+0.00022485i,0.0015765+0.00053215i,0.0010444+0.0013536i,0.0014975+0.00022263i,0.0012845+0.0015844i,0.0012237+0.0033305i,-0.00025091+0.00087669i,0.00058801-1.995e-05i,0.0014261+0.00046422i,0.0082274+0.0060596i,-0.00029735-0.00051092i,-8.8299e-05-0.00058548i,0.0019396+8.4579e-05i,-0.00020289+3.8592e-05i,-0.0019664+0.0008325i,-0.0011033+0.0017878i,0.0027988+0.0011572i,0.001871+0.00083788i,0.020953-0.017871i,0.0059075+0.01395i,0.013718+0.01921i,-0.0056537+0.011064i,0.017268-0.017069i,0.00094568+0.0035535i,-0.012265+0.020085i,-0.026471+0.018495i,-0.0073866+0.025567i,-0.012572-0.0028933i,0.007342-0.0070407i,0.0014085+0.0042368i,0.0056835+0.00052719i,-0.00090879+0.014162i,-0.0050112+0.0010082i,-0.0035891-0.012621i,0.0097693-0.0075351i,-0.0084363+0.01294i,0.0017924-0.00039734i,0.00015294+0.0014703i,-0.00099219+0.00025119i,-0.0022781-0.0034807i,0.0057352-0.0028754i,-0.0028104-0.005948i,0.001591+0.0034372i,-0.000149-0.005247i,-0.0031182-0.0037678i,-0.0011588+0.0039154i,0.00045528-0.00325i,0.00022785-0.0033551i,0.012687-0.020052i,0.0018409+0.0065012i,-0.00052164-0.0023548i,-0.0030669-0.00086777i,-0.0049864-0.0049685i,0.0029982+0.0087956i,-0.00044002-0.0011869i,0.0019018-0.0010474i,-0.0015879-0.0037235i,-0.00025042+0.0013835i,0.0031559+0.0016856i,0.00022307+0.0013427i,0.0043668-0.0015967i,-0.003864+0.0017929i,-0.0021216+0.0087085i,0.0065672+0.012104i,0.0031871-0.01928i,-0.023382+0.0018113i,-0.021968+0.0036591i,0.0073024-0.0065652i,0.017954+0.0027384i,-0.0068807-0.0017256i
0.034722-0.012259i,0.014812-0.0064083i,0.021207-0.012742i,0.012408-0.0095828i,0.011212-0.012812i,-0.0027942-0.0064066i,0.014093-0.0028727i,0.0012301-0.015605i,-0.0043-0.011527i,0.002283+0.0019805i,-0.0016873-0.00094685i,-0.00091975-0.0017812i,0.0019595+0.0021044i,0.00090029-0.001344i,0.00013206-0.0011621i,0.0027211-0.0019723i,-0.0049395-0.0031137i,1.784e-05-0.00057698i,0.00073903+0.00067309i,-0.0016041+0.0012253i,-0.0017622+0.0015058i,-0.00049637+0.00039521i,0.00045077+0.0012848i,-0.004623-0.0051974i,0.0032718-0.0017293i,-0.00017894-0.0007709i,-0.00050267+0.00057965i,0.0014769+0.00026934i,0.001253+0.00065915i,0.0013233-0.00031505i,0.0019143+0.00084306i,0.0023548+0.0026287i,0.00013843+0.0012634i,0.00060711-9.6258e-05i,0.0010794+0.0004409i,0.0088248+0.0037804i,-0.00042287-0.00033619i,-0.00035236-0.00032253i,0.0020922-0.00044398i,0.00021032-5.5764e-06i,-0.001569+0.0016634i,-0.00046602+0.0022226i,0.0030519+0.00012153i,0.0018226+0.00082928i,0.016003-0.022091i,0.0082424+0.0095701i,0.016533+0.01511i,-0.0021956+0.010612i,0.01009-0.021217i,-0.00026386+0.0035965i,-0.0055761+0.02228i,-0.018306+0.02135i,0.0027093+0.025072i,-0.012728+0.0023153i,0.0056724-0.0067923i,0.0027144+0.0035226i,0.0042793-0.0012149i,0.0043102+0.012896i,-0.0042157+0.0040601i,-0.010124-0.0072051i,0.0057739-0.0094611i,-0.0047638+0.014533i,0.0012358-0.0024559i,0.00063426+0.0010325i,-0.0011641+0.00013413i,-0.001934-0.0025003i,0.0046645-0.0037383i,-0.0041932-0.0049699i,0.0027395+0.0020103i,-0.0035086-0.0057917i,-0.0037455-0.0021183i,0.0010752+0.0029212i,-0.00035531-0.0035669i,-0.00086558-0.0038596i,0.0036153-0.02066i,0.0038333+0.0044414i,-0.0010658-0.0023992i,-0.0037555-0.00067219i,-0.0063622-0.0026499i,0.0043501+0.0071755i,-0.0010462-0.0022462i,0.0023046-0.0020748i,-0.0021854-0.0027879i,0.00031519+0.00024492i,0.0037551+0.0007545i,0.0010101+0.0018465i,0.0029203-0.0023381i,-0.0047585+0.0030756i,-8.1322e-05+0.0082079i,0.010242+0.010831i,-0.0077623-0.021285i,-0.027202+0.0037165i,-0.019363+0.0096329i,0.0028755-0.0038762i,0.015631-0.0021667i,-0.0069741-0.0029573i
0.032021-0.01772i,0.014301-0.0093078i,0.017493-0.015311i,0.0080406-0.010779i,0.008354-0.015592i,-0.0037559-0.0057086i,0.015189-0.0062008i,-0.0018296-0.01545i,-0.0062493-0.011323i,0.0034774+0.0017216i,-0.0012453-0.00022885i,-0.0016967-0.00098239i,0.0025902+0.0013192i,0.00057368-0.0014006i,6.7366e-05-0.0011068i,0.0029948-0.0023842i,-0.0056487-0.0012767i,9.1921e-05-0.00072174i,0.0005928+0.00014752i,-0.0010559+0.0016763i,-0.00129+0.0017287i,-0.00069932+0.00032495i,0.0007962+0.0011252i,-0.0058114-0.0014239i,0.0021934-0.0024707i,-0.00036825-0.0005192i,-0.00019884+0.0007344i,0.0014951-7.5949e-05i,0.001+0.00049183i,0.0010117-0.00073587i,0.0022239+4.8903e-06i,0.0029066+0.0017144i,0.00080194+0.0012178i,0.00071423-0.00018253i,0.0012646+0.00078176i,0.0086003+0.0016293i,-0.00060318-2.9796e-05i,-0.0003487-4.2459e-05i,0.0018879-0.0012251i,0.00069721-0.00025307i,-0.00077346+0.0021449i,0.0002586+0.0021921i,0.0027612-0.00084191i,0.0018507+0.0009089i,0.010569-0.024675i,0.0085228+0.0052066i,0.018263+0.011194i,0.00030524+0.0087792i,0.0036556-0.022777i,-0.00021274+0.0056253i,0.0012637+0.022437i,-0.011095+0.022138i,0.010819+0.020899i,-0.0093742+0.0066456i,0.0042819-0.0072685i,0.00385+0.0018997i,0.0034575-0.0022429i,0.0085365+0.0092261i,-0.0016201+0.005286i,-0.012072-0.00052433i,0.0019439-0.0098636i,-0.0008891+0.01439i,-0.00060975-0.0033951i,0.00031993+0.00066574i,-0.0011949+0.00066803i,-0.0016691-0.0021335i,0.0034185-0.0034201i,-0.0050327-0.0030837i,0.0030008+0.00056901i,-0.0064709-0.0032383i,-0.0032975-0.00058844i,0.0017556+0.0009317i,-0.0011311-0.0038474i,-0.0021839-0.0033141i,-0.00377-0.018186i,0.0048785+0.0020259i,-0.0019219-0.0022149i,-0.0039627+0.00086726i,-0.006111+2.0897e-05i,0.0055777+0.0060199i,-0.0027761-0.0026523i,0.0019489-0.0035485i,-0.0024645-0.0024161i,0.00015317-0.0010963i,0.0043701+7.1418e-05i,0.0019414+0.0017673i,0.001686-0.001708i,-0.0048709+0.0047232i,0.0014558+0.0072237i,0.014133+0.0075953i,-0.018261-0.017563i,-0.029999+0.0074598i,-0.014487+0.012475i,0.0018477-0.0016886i,0.011547-0.0048956i,-0.0094455-0.0032806i
0.028119-0.022792i,0.012854-0.012666i,0.014276-0.017433i,0.0048751-0.010794i,0.0047966-0.017588i,-0.0045935-0.0050439i,0.015087-0.011305i,-0.0046364-0.014696i,-0.0084474-0.010588i,0.0043648+0.00080326i,-0.00064411-0.00016848i,-0.0018622+0.00016532i,0.0026661+0.00038998i,0.00030698-0.0011667i,-6.5087e-05-0.0011773i,0.0029763-0.0032536i,-0.0056954+0.00060648i,-0.00013778-0.0010478i,0.00036542-6.4109e-05i,-0.00046062+0.0018545i,-0.00085058+0.0021291i,-0.00086173+0.00047577i,0.0010231+0.00079897i,-0.0046896+0.001942i,0.0013103-0.0027171i,-0.00044619-0.00025134i,6.0276e-05+0.00066815i,0.0012243-0.00054119i,0.0011041+0.00041887i,0.00054362-0.0010273i,0.0022302-0.00091062i,0.0033633+0.00088048i,0.0012902+0.00090086i,0.00070748-0.00061071i,0.0020579+0.00058118i,0.008175-7.5835e-05i,-0.00045231+0.00033554i,-0.0002589+0.00025029i,0.0011293-0.0016388i,0.0010487-0.00075867i,-6.715e-06+0.0023809i,0.0009077+0.0020125i,0.0020736-0.00142i,0.0020838+0.0012144i,0.0052507-0.025587i,0.0071547+0.002508i,0.019161+0.0075757i,0.0018074+0.0078071i,-0.002538-0.023782i,0.0027665+0.0078263i,0.0075306+0.020069i,-0.0036593+0.020776i,0.01682+0.014082i,-0.0041626+0.0085198i,0.0027563-0.0076621i,0.0038149-0.00085049i,0.0025634-0.0035525i,0.0096325+0.0040842i,-3.5412e-05+0.0047109i,-0.011152+0.0061165i,-0.0018729-0.0087932i,0.0025934+0.012181i,-0.0025844-0.0026637i,-6.5389e-05+0.0011314i,-0.00083518+0.0011595i,-0.0013098-0.002293i,0.003502-0.0021009i,-0.0045006-0.001555i,0.0031124+0.00033589i,-0.0069313+9.6548e-05i,-0.0023474+0.00016114i,0.001378-0.00021639i,-0.0030114-0.0039539i,-0.0031169-0.0022243i,-0.0095478-0.014622i,0.0047765-0.0005309i,-0.0026939-0.0014543i,-0.0028214+0.0019899i,-0.0048891+0.0018117i,0.0072996+0.0047532i,-0.004328-0.0013003i,0.0006907-0.0048651i,-0.0033337-0.0017197i,-0.0012065-0.0017525i,0.0050413-0.0018571i,0.0027743+0.0013994i,0.0017787-0.0011151i,-0.0033971+0.0066937i,0.0023327+0.0058509i,0.016962+0.0022883i,-0.023662-0.0092392i,-0.0319+0.013233i,-0.010036+0.013305i,0.0011028+0.00020625i,0.0079541-0.0049115i,-0.011318-0.001937i
