-0.0081395-0.039584i,-0.012212-0.043483i,0.0015284-0.045945i,-0.026818-0.027954i,-0.02044+0.014432i,-0.03225-0.032463i,-0.059585-0.062487i,-0.022229-0.072787i,-0.038412-0.065299i,0.0020157+0.015584i,-0.0075303+0.010205i,-0.014967+0.013494i,0.0012819+0.017268i,-0.0038638-0.0033525i,0.00041176+0.0067406i,-0.00019671+0.039312i,0.025793+0.056087i,0.0010189-0.00031664i,-0.0058105-0.0085135i,0.0072261+0.0044663i,0.0016288+0.0010095i,-0.0015487+0.0037274i,3.7964e-05-0.001331i,-0.035593-0.0094475i,-0.0027617-0.0082269i,-0.00030973+0.0043617i,0.0048754-0.0017258i,0.00025885+0.00076798i,-8.141e-05-0.0010337i,-3.2895e-05-0.0027617i,-0.0011168-0.0055491i,-0.0023137-0.0039579i,-0.0010091-0.0077879i,0.0032471-0.00081269i,0.0030659-0.003i,-0.0042007+0.032968i,0.0063591-0.004708i,0.0038321-0.0021577i,0.0048935-0.00029177i,-0.068719-0.028302i,-1.8334e-05+0.00013327i,0.0048615-0.0016866i,0.0060058+1.5039e-05i,-0.0034774+0.0036113i,0.0029515+0.0019877i,-0.0038723+0.0087411i,0.016256-0.090169i,-0.00634-0.047498i,-0.023686-0.037002i,-0.019245-0.041758i,0.064006-0.015641i,0.028073-0.06113i,0.038593-0.044604i,0.030166-0.05666i,0.020745-0.016335i,0.0083247+0.0091533i,0.025822-0.034113i,-0.0070099-0.0047513i,0.002418-0.0025229i,-0.0045635-0.0060305i,0.0011928-0.032503i,-0.024649+0.03042i,0.0077978-0.010315i,-0.010819-0.0011784i,-0.005551-0.001417i,-0.0010273-0.013199i,-0.010189+0.0041531i,0.0034738+0.0083518i,-0.0098368+0.030434i,0.0055365+0.0072466i,-0.005273-0.0016107i,-0.0021949-0.0021985i,-0.010773-0.0073996i,0.00096892-0.003723i,-0.040875+0.0043894i,0.0024721-0.012597i,-0.0098694-0.0022936i,-0.0063608-0.0030677i,0.0064525+0.0016261i,-0.0089526+0.0013006i,0.0010134+0.00068741i,0.0057014+0.0094963i,0.0044785+0.00041193i,-0.00891-0.0092498i,0.0025088+0.0088599i,-0.019386+0.0082318i,0.0062944+0.0035787i,-0.028858-0.0090333i,-0.033558+0.0024254i,0.024538-0.080662i,0.012587-0.010289i,-0.043587-0.027902i,-0.02187-0.004734i,0.018005+0.012348i,-0.027359+0.011623i,-0.011334-0.0085411i
-0.013745+0.018075i,0.012452+0.046512i,0.027423+0.045095i,4.3222e-05+0.018i,-0.0027366+0.0073096i,0.026903+0.0023375i,0.013258+0.017473i,0.010474+0.044615i,0.0067783+0.019869i,-0.0024848+0.0064396i,0.00097975+0.0014748i,0.002572-0.0044643i,0.0028804-0.002339i,0.0034573-0.00049451i,0.0031209-0.0022973i,0.0051369-0.0012113i,0.012545-0.0058624i,-0.00064316-0.00051114i,-0.0045385-4.9502e-05i,-0.00037031+0.0026264i,-0.00049999-0.0010762i,-0.0052253-0.0017628i,-0.0026914+0.00068246i,0.007727+0.011945i,0.0026584+0.0017565i,0.0021932+0.0006429i,0.0018675+0.0015217i,-0.0015139+0.0037614i,-0.0003986+0.00076352i,-0.00098706+0.0014293i,0.00094404-0.0036485i,-0.00060504-0.0012876i,-0.00074371-0.00073463i,-9.5085e-05+0.00059767i,-0.00070004-0.0015255i,-0.0071164+0.0091023i,0.0032549-0.00038147i,0.00089368+0.0001556i,-0.0011575+0.0016416i,-0.00071541-0.0026174i,-0.0020869+0.00076691i,-0.0026031-0.0024693i,0.0030198+0.0081444i,0.0026798+0.00090969i,-0.027374+0.026053i,-0.056176+0.025138i,-0.031152+0.048086i,-0.01836+0.031646i,-0.0052342+0.04681i,-0.0077503+0.032199i,0.0091327+0.010134i,-0.0056969-0.0073339i,-0.037365-0.0076792i,-0.043235+0.017005i,0.011685+0.021801i,-0.0017122+0.0026195i,-0.0057963+0.0024186i,-0.011099-0.0030615i,0.0097705+0.0018864i,0.012196+0.014398i,-0.0029525+0.0081413i,-0.0057755-0.012255i,0.0052037-0.0024293i,-0.0047687-0.0043667i,0.0042938-0.0081112i,0.0048321-0.00203i,-0.00092899+0.010054i,0.01275-0.0046582i,0.0076458-0.006674i,0.0057919-0.0074136i,0.0034475-0.00061504i,-0.0033748-0.0068001i,-0.0035016-0.0014383i,0.0031038-0.0010615i,-0.016912+0.033529i,-0.0053525-0.0055306i,0.0015387+0.00086802i,-0.0016705-0.0075475i,0.0030301-0.00080742i,-0.013302-0.0049115i,0.0013019-0.00071208i,0.0039992-0.0030808i,0.0024576-0.002142i,2.5585e-05-0.0058079i,-0.0012251+0.0066406i,-0.00095108+0.0033438i,-0.0018141+0.0059965i,-0.011276-0.0011275i,-0.0085396+0.0028743i,-0.039601+0.039013i,-0.0084507+0.016916i,-0.024501-0.0034715i,-0.00034813-0.0012094i,0.01026+0.019503i,-0.00182+0.019919i,-0.0058534-0.00067426i
-0.011742+0.017927i,0.019137+0.042392i,0.034237+0.038942i,0.0040602+0.020236i,0.0012649+0.0077729i,0.027004-0.0034557i,0.014465+0.014058i,0.018066+0.040442i,0.0094079+0.017828i,-0.00077744+0.0064272i,0.0018303+0.0014382i,0.00021202-0.0031497i,0.0015283-0.0024917i,0.0031542-0.00058873i,0.0024565-0.0028072i,0.0042054-0.0011603i,0.0092885-0.0087129i,0.00012554-0.00015892i,-0.0044353+0.00065012i,0.0008605+0.001651i,-0.0010365-0.0013282i,-0.0054019-0.00023709i,-0.0024915+0.00073091i,0.014722+0.0067388i,0.0025324+0.0019053i,0.0025869-0.00043793i,0.0020162+0.00064726i,3.1539e-05+0.0037469i,-0.00056463+0.0012258i,-0.00053243+0.001714i,-0.00057291-0.0037302i,-0.0012203-0.0012643i,-0.0014785-0.00065255i,0.00017074+0.00033181i,-0.0011496-0.00026062i,-0.0036546+0.0097565i,0.002574-0.0014312i,0.0010058-4.2507e-05i,-0.00021524+0.0019266i,-0.001107-0.0018511i,-0.0017074+0.0010052i,-0.0045122+0.0014432i,0.0054704+0.0068991i,0.0020758+0.00053048i,-0.020185+0.03i,-0.048108+0.033922i,-0.025299+0.053094i,-0.01122+0.033219i,0.0071095+0.043027i,0.0016906+0.029146i,0.0040243+0.0033077i,-0.012303-0.011544i,-0.040621-0.0060238i,-0.034498+0.018276i,0.015767+0.01657i,-0.0022572+0.0029745i,-0.0046041+0.0067108i,-0.011421+0.001523i,0.0083299-0.0018795i,0.014831+0.011626i,0.0013372+0.011808i,-0.011714-0.010702i,0.0022753-0.0034183i,-0.0045036-0.0016993i,-0.00083128-0.0077219i,0.0035646-0.0039029i,0.0037042+0.007608i,0.0087279-0.0080916i,0.0037989-0.0085785i,0.0019237-0.0055762i,0.0041249-0.00183i,-0.0052566-0.0053676i,-0.0017475+0.00081826i,0.0032217-0.0016624i,0.0031834+0.03894i,-0.0073527-0.004007i,0.0022448-0.0008627i,-0.0044637-0.0059639i,0.0035862-0.0017755i,-0.01323+0.001058i,0.0014568-0.00039491i,0.0020771-0.0032035i,0.0024367-0.0033637i,-0.0015707-0.0053685i,0.0010398+0.0032853i,0.00089331+0.0030793i,0.0013533+0.0062743i,-0.010283+0.0027068i,-0.0081614+0.0040503i,-0.031376+0.040395i,-0.0049681+0.019825i,-0.025076-0.00019793i,-0.0015088-0.0053534i,0.012754+0.018516i,0.0024059+0.022087i,-0.0080281-0.00060969i
-0.010442+0.01838i,0.02462+0.037088i,0.041848+0.031512i,0.011453+0.0187i,0.0057885+0.0063644i,0.025495-0.009478i,0.014794+0.010525i,0.024501+0.034697i,0.012465+0.016232i,0.00045059+0.0059772i,0.0025954+0.00024974i,-0.00014656-0.0011751i,0.00021306-0.0025295i,0.0031784-0.0010717i,0.0016564-0.0029818i,0.0034718-0.0010696i,0.0058522-0.010331i,0.00012548-0.000618i,-0.0038449+0.0023751i,0.00089995+0.00026126i,-0.0019426-0.0014668i,-0.005107+0.0013716i,-0.0026015+0.0010245i,0.015077-0.0013171i,0.0036062+0.00093753i,0.0019375-0.0015257i,0.0019244-3.5894e-05i,0.0015429+0.0029638i,0.00013382+0.0014975i,-0.00015061+0.0020422i,-0.002104-0.0029274i,-0.0018571-0.00033178i,-0.0024305+2.1573e-05i,0.00011224+1.2634e-05i,-0.00060601+0.00054862i,-0.00075016+0.0095844i,0.0017612-0.0020118i,0.00089124-0.00072837i,0.00039354+0.0013116i,-0.0016515-0.001431i,-0.001455+0.0011525i,-0.0032155+0.0010208i,0.0070986+0.0049162i,0.0020334+0.00056288i,-0.011907+0.031226i,-0.039085+0.040395i,-0.016472+0.058009i,-0.0038368+0.031842i,0.017829+0.035642i,0.0098698+0.028541i,-0.0026261+0.00078601i,-0.019346-0.010859i,-0.044086-0.0011193i,-0.027602+0.016278i,0.017606+0.010557i,-0.0025455+0.003813i,-0.0026016+0.0080694i,-0.010719+0.0050941i,0.0050872-0.0054934i,0.017047+0.0075226i,0.0068189+0.012209i,-0.016119-0.0063246i,0.0011486-0.0021323i,-0.0039189+0.00044789i,-0.0032871-0.0053218i,0.0014568-0.0043192i,0.0057411+0.0060626i,0.0053221-0.0087433i,-0.0028941-0.0089763i,0.0012832-0.0036517i,0.0036884-0.0041485i,-0.008539-0.0031261i,-0.00029694+0.00059378i,0.0018934-0.0026461i,0.024109+0.029293i,-0.0089144-0.0013286i,0.0020763-0.0021495i,-0.0041186-0.0037573i,0.0041161-0.0036755i,-0.009927+0.0062747i,0.0023181-0.00032585i,0.00046277-0.0035401i,0.00083241-0.0034908i,-0.0030858-0.0040355i,0.00012607+0.0020689i,0.0022505+0.0018363i,0.0038572+0.0048898i,-0.0088734+0.0046876i,-0.0079117+0.0060961i,-0.025418+0.040725i,0.0030474+0.021345i,-0.024556+0.0042567i,-0.003974-0.0085731i,0.017152+0.015152i,0.0088293+0.023671i,-0.0094228+0.0010077i
-0.0090249+0.019367i,0.027879+0.031859i,0.046411+0.021274i,0.016142+0.012674i,0.009224+0.0024376i,0.02216-0.014529i,0.014324+0.0080186i,0.028845+0.027739i,0.015768+0.012923i,0.001806+0.0057376i,0.0016972-0.00043751i,0.00065826-0.00037378i,-0.0013609-0.0013058i,0.0028042-0.0014638i,0.00082576-0.0030255i,0.0030628-0.00066933i,0.0021009-0.0099858i,0.00020339-0.00060819i,-0.0011489+0.0045708i,0.00012707-0.00031986i,-0.0026245-0.00054961i,-0.0044045+0.0031933i,-0.0023999+0.0016819i,0.010747-0.0068056i,0.0034629-0.0004064i,0.00098763-0.0018025i,0.0015248-0.00060475i,0.0019698+0.0017158i,0.00080077+0.00097273i,0.00061174+0.0023534i,-0.0029523-0.0012991i,-0.0016816+0.00058287i,-0.00012963+0.00021021i,-9.323e-05+9.7682e-05i,-6.648e-05+0.00078005i,0.0021661+0.008956i,0.0010265-0.0023009i,0.00034444-0.0010771i,0.00045876+0.0012203i,-0.0021433-0.0008219i,-0.0010646+0.0014032i,-0.0024059+0.0022688i,0.0076764+0.0031776i,0.0021918+0.00041125i,-0.0046137+0.029162i,-0.028879+0.044681i,-0.0061534+0.060979i,0.00062028+0.029482i,0.025992+0.02498i,0.017055+0.021216i,-0.010028+0.0030182i,-0.026682-0.0066977i,-0.046091+0.0060494i,-0.024115+0.012637i,0.018391+0.0044522i,-0.0018224+0.0051873i,5.7837e-05+0.010443i,-0.0090174+0.0083406i,-0.00046126-0.0056176i,0.018799+0.0012843i,0.012575+0.009651i,-0.018643-0.00065854i,0.00070584-0.0017337i,-0.0026048+0.0015964i,-0.0044627-0.0019273i,0.00010602-0.0040456i,0.0074111+0.0027225i,0.0023832-0.0088856i,-0.0053394-0.0022438i,0.0017147-0.0029206i,0.0016462-0.005993i,-0.0068404+0.00034774i,0.00069388+0.00076043i,0.00098528-0.0026563i,0.032783+0.012365i,-0.0088422+0.0028831i,0.0015665-0.003443i,-0.0039297-0.0023355i,0.0026433-0.0062384i,-0.0050305+0.0079197i,0.0029054-0.0014881i,-0.0010198-0.0024639i,-1.686e-05-0.0031709i,-0.0035161-0.0018315i,-0.00034228+0.0026831i,0.0021637+0.00024584i,0.0051791+0.0037239i,-0.0074428+0.0061284i,-0.0070405+0.0082435i,-0.01997+0.042567i,0.014005+0.015973i,-0.022001+0.0085609i,-0.0095875-0.010511i,0.018845+0.010061i,0.016377+0.021275i,-0.0085033+0.0024206i
-0.0068+0.020602i,0.031142+0.027868i,0.047327+0.011537i,0.018353+0.0060402i,0.0098427-0.0025527i,0.018546-0.018309i,0.014092+0.0067969i,0.031334+0.021321i,0.018154+0.0086101i,0.0028504+0.0052838i,0.0014861+8.595e-05i,0.0016214-0.00057636i,-0.0014856+0.00072514i,0.002353-0.001887i,0.00011231-0.0025571i,0.0032374-0.00013058i,-0.0003048-0.0085348i,-3.8758e-05-0.0006871i,-0.0010378+0.0043344i,-0.00061106-0.00024571i,-0.0026956+0.00032034i,-0.0024989+0.0043562i,-0.0017677+0.0023035i,0.0057834-0.009818i,0.0027394-0.001426i,0.00031275-0.0019648i,0.0010049-0.0009357i,0.0017156+0.00077482i,0.00072494+0.00049629i,0.0017337+0.0021154i,-0.0027183+1.8345e-05i,-0.0013159+0.0011585i,-0.00050341+0.00080769i,0.0002379+0.00061266i,0.00055551+0.00065668i,0.0042145+0.0072142i,0.00017565-0.0022066i,-0.00023304-0.00094454i,0.00091006+0.001214i,-0.0021756-0.00010539i,-0.00076893+0.0013114i,-0.0013893+0.0027286i,0.0081385+0.00027009i,0.0019925-0.00013914i,-0.00032895+0.026201i,-0.01802+0.046045i,0.0063093+0.061521i,0.0051193+0.028079i,0.028581+0.013092i,0.019933+0.013419i,-0.013491+0.010307i,-0.031485+0.0027157i,-0.047035+0.016251i,-0.024708+0.0099387i,0.015597-0.0011875i,-0.00011492+0.0062711i,0.0050521+0.0098971i,-0.0062571+0.010884i,-0.0032786-0.0024097i,0.017244-0.0065564i,0.016273+0.0045306i,-0.019191+0.0054337i,0.00061964-0.00061363i,-0.0014437+0.0021378i,-0.0027226+0.00031549i,-0.0018203-0.0029602i,0.0070729+0.00019768i,-0.00047931-0.008396i,-0.0038826+0.001491i,0.002368-0.00362i,-0.00098936-0.0063719i,-0.0047243+0.0023516i,0.0018497+1.8817e-05i,0.00045681-0.0022855i,0.031801-0.0035231i,-0.0056837+0.0059773i,0.00014035-0.0042701i,-0.0032769-0.0017665i,-0.00010016-0.0072245i,-0.001539+0.0073694i,0.0019283-0.0027497i,-0.0013458-0.00046656i,-0.00017548-0.002465i,-0.0018598-0.00065796i,0.0012627+0.0032056i,0.001049-0.00073914i,0.0057477+0.001968i,-0.0060007+0.0067752i,-0.0045978+0.010343i,-0.012972+0.04372i,0.018956+0.0029864i,-0.017217+0.009541i,-0.015786-0.0088764i,0.019689+0.0053622i,0.021681+0.013945i,-0.0088688+0.0022595i
-0.0040625+0.021042i,0.034879+0.023113i,0.047751+0.0029652i,0.018819-0.00077069i,0.009238-0.0065306i,0.014378-0.021498i,0.015141+0.0056828i,0.032773+0.015261i,0.019574+0.0032679i,0.0038186+0.0042927i,0.0019533+0.00027893i,0.0022432-0.00097073i,4.6673e-05+0.0021442i,0.0019125-0.0020401i,-0.00014404-0.0022203i,0.0040234+0.00017374i,-0.0015487-0.0074613i,0.00025093-0.00082525i,-0.00016463+0.0038253i,-0.0010193+0.00021069i,-0.0022033+0.0010554i,-0.00038289+0.0040142i,-0.00098758+0.0024751i,-0.0018137-0.011093i,0.0022727-0.0019927i,-0.0004876-0.0017841i,0.00056581-0.001087i,0.0015317+0.0002361i,0.00064789+0.00033958i,0.0023695+0.001097i,-0.0022535+0.00099647i,-0.00059622+0.001713i,-0.0003741+0.0011923i,0.00082302+4.8655e-05i,0.00064492-1.7116e-05i,0.0054028+0.0055639i,-0.000541-0.001723i,-0.00050619-0.00052406i,0.0010333+0.00060798i,-0.0015758+4.4254e-05i,-0.00067306+0.0016052i,-0.00049117+0.0020155i,0.0057394-0.0016267i,0.0015245-0.00017158i,0.0031677+0.02303i,-0.0083892+0.044512i,0.018942+0.05731i,0.0098558+0.026031i,0.027434+0.0025286i,0.019771+0.006647i,-0.011522+0.018408i,-0.030627+0.014837i,-0.042042+0.029358i,-0.027187+0.010681i,0.011861-0.0040242i,0.001936+0.0059744i,0.0080642+0.0071396i,-0.0025145+0.013017i,-0.0036634+9.7214e-05i,0.011603-0.013866i,0.0166-0.0026134i,-0.017292+0.010823i,0.0013912-0.00035914i,-0.00067571+0.0018531i,-0.00098575+0.00046463i,-0.0021562-0.00076814i,0.0054816-0.0013944i,-0.002498-0.0070684i,-0.0012497+0.003683i,0.0017998-0.0049927i,-0.0033607-0.0050434i,-0.0033227+0.002992i,0.0019776-0.001534i,0.00075353-0.0019525i,0.024819-0.014003i,-0.002096+0.0065662i,-0.0016612-0.0039067i,-0.0033188-0.0012462i,-0.002882-0.0065152i,0.00046709+0.0062464i,0.0017536-0.0070828i,0.00020006+0.00027839i,-3.624e-05-0.0022391i,-0.00090073-0.0012257i,0.0051767+0.0029752i,-0.00014074-0.00025345i,0.0058874+0.00058687i,-0.0050179+0.0069596i,-0.001259+0.011089i,-0.0058078+0.043577i,0.015117-0.0087429i,-0.014095+0.0065065i,-0.021198-0.0039735i,0.018102-0.0010994i,0.022456+0.0067849i,-0.0093101+0.0038701i
-0.0011467+0.021268i,0.037689+0.017145i,0.046279-0.0069204i,0.016266-0.0085253i,0.0077713-0.010682i,0.0094535-0.023595i,0.016981+0.0037455i,0.033232+0.0091536i,0.018443-0.0019486i,0.0044377+0.0037181i,0.0021642-0.00015073i,0.0024326-0.0024081i,0.0016357+0.0021219i,0.0014187-0.0021946i,-0.00029766-0.0019267i,0.0050594-0.0003052i,-0.0029212-0.0065725i,-0.00034691-0.0012467i,0.00084497+0.0032322i,-0.0013272+0.00091177i,-0.0019249+0.0013894i,0.00079643+0.0027719i,-0.00052472+0.0024234i,-0.011761-0.0045128i,0.0011996-0.0033149i,-0.0011583-0.0011323i,-5.2294e-05-0.001224i,0.001517+4.3979e-05i,0.0008359+7.5001e-05i,0.0023041-1.7018e-05i,-0.0013294+0.0017261i,7.7545e-05+0.0019438i,8.8423e-05+0.0017052i,0.00089065-0.00020812i,0.0001127-0.00035314i,0.0057207+0.0041434i,-0.0011235-0.001273i,-0.00060373-0.00022679i,0.00092081+0.00027855i,-0.00095858-0.00022215i,-0.00021533+0.0019255i,-0.00014032+0.0023013i,0.0024876-6.3078e-05i,0.0013484-1.6485e-05i,0.0055389+0.020137i,-0.00044168+0.041467i,0.02862+0.04978i,0.014722+0.023235i,0.023367-0.005881i,0.018202+0.0021833i,-0.005353+0.023483i,-0.022018+0.02485i,-0.029852+0.038986i,-0.028688+0.014952i,0.0084553-0.0050284i,0.0032848+0.0047973i,0.0092604+0.003407i,0.0018264+0.013041i,-0.0038638+0.0019945i,0.0014098-0.016467i,0.013122-0.0081216i,-0.013927+0.014525i,0.0020447-0.0012062i,0.00032758+0.0019297i,-0.00073772-0.00027259i,-0.0008993+0.00060652i,0.0044548-0.0014654i,-0.003471-0.0057605i,0.0016383+0.0036218i,0.00031545-0.0063492i,-0.0046485-0.0032816i,-0.0014915+0.0031608i,0.0010559-0.0030111i,0.0010009-0.0027971i,0.015931-0.020738i,0.00070082+0.0060361i,-0.0026141-0.0028969i,-0.002924-0.0010492i,-0.0049766-0.0052197i,0.0014445+0.0049245i,0.0014535-0.0068265i,0.0013055-0.00034823i,-0.00049194-0.0027383i,-0.0012707-0.001977i,0.0042312+0.0046073i,-0.00048748+0.0010236i,0.0054134-0.0013938i,-0.00458+0.0077604i,0.0015387+0.010236i,0.0014156+0.042454i,0.0072601-0.016628i,-0.01605+0.0028348i,-0.023126+0.0031418i,0.012617-0.0055898i,0.022344+0.00080118i,-0.0077888+0.0050599i
0.0019452+0.020769i,0.039646+0.011437i,0.042135-0.015694i,0.010116-0.013421i,0.0044135-0.014221i,0.0047862-0.024268i,0.018912+0.00057907i,0.03274+0.0037185i,0.016525-0.0066676i,0.0055571+0.0030645i,0.0021102-0.00033878i,0.001043-0.0036317i,0.0029065+0.0013865i,0.00096546-0.0021164i,-0.00026739-0.0019969i,0.0055872-0.0013209i,-0.0045853-0.0049472i,-0.00087117-0.00087851i,0.0015635+0.0023213i,-0.00087207+0.001875i,-0.0015613+0.0021101i,0.00081267+0.0012282i,-4.6742e-05+0.0024809i,-0.0043399+0.0072835i,-0.0011836-0.0032185i,-0.0012823-0.00043136i,-0.00062877-0.00097067i,0.0013555-0.00014807i,0.00058363-0.00046744i,0.0017784-0.00083673i,-0.00026158+0.0018392i,0.00083908+0.0016691i,0.0010139+0.0013069i,0.00020343+0.00088634i,-4.3143e-05+0.00010629i,0.0056522+0.0027178i,-0.0018703-0.00050945i,-0.00044867+0.00014416i,0.00091197+0.00018041i,-0.00065629-0.00066005i,0.00050953+0.0021563i,0.00051163+0.0022437i,0.0037461+0.0040217i,0.0013+7.2823e-05i,0.0074039+0.016952i,0.0060095+0.037342i,0.034723+0.041018i,0.019773+0.019257i,0.017845-0.011165i,0.015975-0.00061777i,0.0016294+0.025441i,-0.011428+0.028216i,-0.015608+0.042511i,-0.027256+0.020799i,0.0065452-0.0049938i,0.0042898+0.0033452i,0.0087976+0.00031141i,0.0060604+0.010816i,-0.0031394+0.0043814i,-0.0075383-0.012537i,0.0083779-0.010985i,-0.00965+0.017174i,0.001855-0.0025082i,0.00088659+0.0011272i,-0.0010968-0.00028702i,0.0009096+0.00088446i,0.0041695-0.0018142i,-0.0050633-0.0045223i,0.0032903+0.0018695i,-0.002792-0.0067181i,-0.0051222-0.0010494i,0.00011211+0.0021203i,0.00010668-0.0035846i,0.0004358-0.0040033i,0.0056905-0.022759i,0.0028125+0.004809i,-0.0028704-0.0021748i,-0.0038764-0.00093692i,-0.0061381-0.0028656i,0.0017555+0.0041549i,-0.0012996-0.0082302i,0.0020263-0.0013697i,-0.0011592-0.0024759i,-0.0016321-0.0020888i,0.0057289+0.0030511i,8.878e-05+0.0018485i,0.0037992-0.0025473i,-0.0037141+0.0090213i,0.0038158+0.0087097i,0.0089903+0.040399i,-0.003665-0.020365i,-0.0201+0.0027448i,-0.0209+0.010399i,0.007435-0.0057036i,0.018954-0.0059933i,-0.006269+0.0038195i
0.0047877+0.019452i,0.041254+0.004876i,0.036859-0.022237i,0.0044373-0.014194i,0.00026231-0.016191i,0.00079515-0.024403i,0.020157-0.0040228i,0.032074-0.0014423i,0.013402-0.010001i,0.0065577+0.0016858i,0.0025278-0.00068735i,-0.00049895-0.0032955i,0.0035546-0.00027817i,0.00065834-0.0020857i,-0.0005356-0.0021734i,0.0060088-0.0022458i,-0.0050985-0.0026933i,-0.00091749-0.00085576i,0.0015269+0.0013478i,4.2822e-05+0.002128i,-0.00085027+0.0026921i,0.00039339+0.00038054i,0.0005324+0.0023075i,0.00258+0.0023983i,-0.002406-0.0017061i,-0.0012601+0.00016431i,-0.00085644-0.00057026i,0.00096027-0.00032471i,-8.767e-06-0.00026823i,0.00099689-0.0014193i,0.00064354+0.0014634i,0.0012423+0.001277i,0.0012296+0.00097891i,0.00058459+0.00022736i,0.00055759+0.00039002i,0.0052475+0.00098288i,-0.0019445+0.00068492i,-0.00020386+0.00037113i,0.00079556-0.00011825i,-0.00047072-0.0010801i,0.0012915+0.0017661i,0.00088424+0.0016865i,0.0090135+0.0038451i,0.0012248+0.00013876i,0.0081288+0.01412i,0.010171+0.032286i,0.038681+0.033112i,0.023285+0.013099i,0.012414-0.014213i,0.014335-0.00078097i,0.0091482+0.025177i,-0.00181+0.028681i,-0.0023642+0.041044i,-0.023106+0.026417i,0.0050594-0.0056038i,0.0048539+0.0013565i,0.008169-0.002239i,0.0090773+0.0071263i,-0.00076954+0.005269i,-0.01194-0.0057927i,0.0030559-0.011944i,-0.0043926+0.018228i,0.0011338-0.0043732i,0.0003563+0.00089457i,-0.0012504+4.1271e-05i,0.0019563-4.1793e-05i,0.0037485-0.0015867i,-0.0054932-0.0022774i,0.0037021+0.00019112i,-0.0054925-0.0048295i,-0.0041658+0.00091643i,0.00042187+0.0007272i,-0.00077571-0.0040321i,-0.001092-0.0045475i,-0.0028464-0.020403i,0.0044704+0.0023508i,-0.0038348-0.0013241i,-0.0041869+0.00075554i,-0.0061236-0.00043199i,0.0025149+0.0039779i,-0.0052815-0.0078659i,0.0022293-0.0028695i,-0.0017128-0.0024381i,-0.0021327-0.0025851i,0.006816+0.0011406i,0.0007951+0.0020172i,0.0023089-0.0020375i,-0.0019915+0.0096608i,0.0053328+0.006806i,0.016431+0.036338i,-0.015271-0.018266i,-0.023372+0.0049788i,-0.015057+0.014111i,0.0046712-0.0046345i,0.012348-0.0089069i,-0.0078049+0.0028077i
0.0069087+0.017964i,0.041379-0.0023591i,0.031445-0.027522i,0.00050644-0.013605i,-0.0038728-0.016846i,-0.0035933-0.024468i,0.019736-0.0099993i,0.030894-0.0067852i,0.0098349-0.012167i,0.0070866+1.5198e-05i,0.0028498-0.0017042i,-0.0014891-0.0024209i,0.002982-0.0018639i,0.00036829-0.0019827i,-0.0011902-0.0023437i,0.0062739-0.0036584i,-0.0048494-0.00091089i,-0.0011691-0.00091386i,0.0014536+0.00087544i,0.00082551+0.0020418i,0.00023196+0.0020194i,-0.00031543+0.00025508i,0.00088565+0.002002i,-0.00024853-0.00064804i,-0.0022049-0.00025296i,-0.0010349+0.00083933i,-0.00096212-0.0002347i,0.00044294-0.00045734i,-6.9429e-05-4.2633e-05i,-2.2446e-07-0.001479i,0.0012523+0.00086305i,0.0016819+0.00085052i,0.0017144+0.00049311i,0.00071925-0.00038941i,0.0011348-4.4997e-05i,0.0045002-0.00016374i,-0.0015418+0.0015608i,6.2363e-05+0.00051442i,0.00019155-0.00033431i,-0.0005026-0.0016384i,0.0017683+0.0012823i,0.0012345+0.0013482i,0.011669-0.0037687i,0.0012834+0.00077513i,0.0084134+0.012003i,0.012393+0.028675i,0.041741+0.025383i,0.023884+0.0077605i,0.0068084-0.016258i,0.015793-0.0001898i,0.016115+0.021946i,0.0085623+0.026033i,0.0095971+0.034933i,-0.016076+0.030502i,0.0032427-0.0060953i,0.0041693-0.001458i,0.0068952-0.0047952i,0.0096052+0.0025815i,0.00051208+0.0046636i,-0.012888+0.0017422i,-0.0018581-0.010787i,8.5139e-05+0.016443i,-0.0022353-0.0045031i,0.00012938+0.0015277i,-0.0011672+0.00048993i,0.0026662-0.0013461i,0.0045493-0.00085861i,-0.0043848-0.00071588i,0.0037583-0.00061155i,-0.0065243-0.0021117i,-0.0028207+0.001052i,6.1658e-05+0.00033611i,-0.0029371-0.0044555i,-0.0025847-0.0038181i,-0.0092636-0.016667i,0.0046028-0.00036304i,-0.0042154-4.6808e-05i,-0.0028039+0.0019526i,-0.0054491+0.001408i,0.0039891+0.0032648i,-0.0079329-0.005032i,0.001165-0.0045837i,-0.0024752-0.0018663i,-0.003878-0.0021895i,0.0071797-0.0014515i,0.0016488+0.0025589i,0.0024291-0.0018397i,0.00065613+0.010395i,0.0058764+0.0045987i,0.022582+0.030088i,-0.022031-0.0099866i,-0.026286+0.0096757i,-0.010282+0.015593i,0.0021242-0.0029784i,0.0081672-0.0076377i,-0.0086396+0.0034312i
