-0.030128-0.042764i,-0.021441-0.021982i,-0.012525-0.038395i,-0.029958-0.021641i,-0.023679-0.0014145i,-0.013885-0.0042118i,-0.053238-0.054797i,-0.047822-0.015604i,-0.033864-0.013464i,0.013794+0.01201i,-0.0085677+0.0052669i,-0.019015+0.018755i,0.0019426+0.011739i,-0.004674-0.0012764i,0.00081692+0.0010406i,-0.00074693+0.029847i,0.02166+0.022494i,0.0023722-0.0020989i,-0.0030573-0.0074593i,0.008004+0.0039993i,0.0025233+0.00025347i,-0.00021087+0.0037728i,-0.00040344+0.00015243i,-0.033335-0.0082727i,0.00048553-0.0092342i,0.0013603+0.0022356i,0.0074667+0.0006748i,0.0021978+0.00029884i,0.0012136-0.00052582i,-0.0004167-0.0027351i,0.0014553-0.0024321i,-0.0027792-0.0062188i,-0.00091131-0.004749i,0.0030254-0.00041895i,0.0044101-0.0035257i,0.0025087+0.030469i,0.0045574-0.0040413i,0.0028699-0.001397i,0.0082733-0.0013537i,-0.0093907-0.0009204i,-0.00055357+0.00074792i,0.0065278+0.0016572i,0.0048356-0.0020328i,-0.003607+0.0078032i,-0.016477-0.011093i,-0.018416+0.013056i,-0.0014353-0.063034i,-0.0049571-0.027305i,-0.025253-0.032649i,-0.010528-0.026976i,0.051527-0.024919i,0.016051-0.044181i,0.023968-0.047226i,0.0080903-0.05073i,0.027403-0.021496i,0.0084453+0.0061886i,0.026604-0.035184i,-0.008211-0.0060428i,0.0029081-0.0045203i,-0.0043708-0.0069157i,-0.0017141-0.032704i,-0.020563+0.027415i,0.008586-0.012001i,-0.00872-0.0038475i,-0.0042178-0.0018997i,-0.00013056-0.012601i,-0.010967+0.0040514i,0.002309+0.010374i,-0.0050325+0.026137i,0.0050191+0.0027802i,-0.0055557-0.0020948i,-0.0019526-0.0021368i,-0.012755-0.0076571i,-0.00049903-0.004254i,-0.014231+0.011049i,0.0010939-0.011011i,-0.0086917+0.00054319i,-0.0067819-0.002601i,0.005244+0.0011028i,-0.0081199-0.00097147i,0.002347+1.3677e-05i,0.004617+0.0082479i,0.0040318+0.00063936i,-0.006378-0.011896i,0.0031411+0.009908i,-0.012378+0.0034642i,0.0069983+8.5007e-05i,-0.023005-0.0034876i,-0.016937+0.0068329i,-0.0053241-0.067857i,0.0074139-0.012155i,-0.049591-0.024499i,-0.020541-0.00090314i,0.016466+0.012272i,-0.023603+0.015401i,-0.02054-0.0063727i
0.023125+0.043175i,0.01493+0.016955i,0.01804+0.027417i,0.0067808+0.020495i,0.0098889+0.0065072i,0.0053968-0.0014826i,0.019599+0.012666i,0.015895-0.003475i,0.0095882-0.0067916i,0.0028763+0.0042289i,0.0018946-0.0028838i,0.00096963-0.0052168i,-0.0022404+0.00062666i,0.00081474-0.0012339i,0.0021429-0.00043596i,0.0046789-0.0024535i,0.0052667-0.003576i,-0.00016602+0.00028906i,-0.0052565-0.00069484i,2.6753e-05+0.00076757i,-0.00055408-0.00088339i,-0.0023642-0.0010195i,-0.0016577+0.0010226i,0.0028377+0.010541i,-0.00098356+0.0013466i,0.00057803+0.0018977i,0.0011009+0.00067597i,-0.0019703+0.002612i,-0.00065944+0.0003052i,-0.0014679+0.00042034i,-0.0013231-0.0015547i,-0.0041468+0.0004975i,-0.00027394+0.00012912i,2.3598e-05+0.00039698i,1.241e-05-0.0007613i,-0.0082156+0.0076591i,0.0012406-0.000532i,0.0007331+0.0012281i,0.0034311+0.0015825i,0.00010748-0.00030488i,-0.00082801-0.00024433i,-0.0025979-0.0014916i,0.0012347+0.00041673i,-0.0012494+0.0014069i,0.020214+0.017934i,-0.023378+0.013655i,-0.013549+0.017999i,-0.022923+0.011512i,-0.0050223+0.037277i,-0.016044+0.028645i,0.0015146-0.00046165i,-0.010376-0.015555i,-0.018742-0.0018185i,-0.010949+0.014951i,0.018443+0.019815i,-0.00063477+0.002131i,-0.0043122+0.00092938i,-0.011745-0.0047077i,0.011324+0.0011472i,0.011093+0.0082257i,-0.0017419+0.0056315i,-0.0058119-0.0075628i,0.0066408-0.0020991i,-0.0034914-0.0040301i,0.004052-0.008466i,0.0085462-0.0030136i,-0.0015167+0.010605i,0.011994-0.0043796i,0.0044462-0.0090437i,0.0021939-0.0095047i,0.0023979+0.00076267i,-0.0023509-0.005416i,-0.0041088-0.0011438i,0.0025795-3.2155e-05i,-0.0037657+0.022772i,-0.00788-0.0023789i,2.861e-05+0.0012664i,-0.0013469-0.0073727i,0.0032266-0.00036845i,-0.015702-0.0074301i,-0.0018627-0.0041905i,0.0027356-0.0024328i,0.0030002-0.0012432i,-0.0017987-0.0073148i,0.00040397+0.0070204i,0.00020766+0.0034122i,-0.0040094+0.0038944i,-0.006184+0.0035277i,-0.0065674-0.0011944i,-0.0082004+0.031148i,-0.0023903+0.014895i,-0.028664-0.0099461i,-0.0015403-0.0023657i,0.013972+0.019088i,0.00021685+0.017322i,-0.00020819-0.0050956i
0.030305+0.037001i,0.017771+0.013012i,0.022903+0.024063i,0.010426+0.020097i,0.01165+0.005127i,0.0054671-0.0028523i,0.0199+0.008394i,0.01503-0.0062962i,0.0077805-0.0086947i,0.0039492+0.0029092i,0.0015002-0.0029136i,-0.0010349-0.0038502i,-0.0021438+0.0014484i,0.00056802-0.00023189i,0.0020295-0.00084533i,0.0034993-0.0027106i,0.0043769-0.0042364i,0.0002514+0.00030577i,-0.00416-0.0018345i,0.00037395+4.4917e-05i,-0.00066564-0.0010978i,-0.00246-0.0005863i,-0.0013351+0.0011323i,0.0085952+0.0089386i,-0.00092043+0.0026964i,0.0014768+0.0015165i,0.00097429-0.00016741i,-0.00077768+0.0030314i,-0.00094638+0.00077608i,-0.0012717+0.0011359i,-0.0020565-0.00093702i,-0.0021713+0.0012073i,-0.00042491-1.1041e-05i,0.0002598+1.1796e-05i,-0.00058314-0.00033767i,-0.0049293+0.0089313i,0.00072585-0.00078985i,0.0012529+0.00108i,0.002275+0.0007598i,0.00017547-0.00046221i,-0.001285-0.0003617i,-0.0024053-0.0023036i,0.00085928+0.00056524i,-0.0015918+0.001579i,0.024195+0.01476i,-0.018555+0.017089i,-0.012449+0.021211i,-0.017948+0.013399i,0.0063844+0.033737i,-0.015427+0.020119i,-0.0046459-0.0032633i,-0.017897-0.016698i,-0.01953-0.0016772i,-0.0032958+0.011886i,0.020183+0.013426i,-0.0011094+0.002172i,-0.003032+0.004811i,-0.012062-0.0006107i,0.0097602-0.0031535i,0.013025+0.005891i,0.0016566+0.008612i,-0.010132-0.0060477i,0.0027972-0.0042671i,-0.0035887-0.0019246i,-0.0011447-0.0079733i,0.0066971-0.0057294i,0.0033182+0.0086475i,0.0074068-0.0075856i,-0.00057809-0.0098717i,-0.0014488-0.006067i,0.0039049-8.6253e-05i,-0.0040257-0.0042811i,-0.0020779+0.0010846i,0.0033479-0.00044534i,0.0065125+0.019324i,-0.011531+0.00055546i,0.00086785+0.00060236i,-0.0044002-0.005414i,0.0037631-0.0018366i,-0.017108-6.3542e-05i,-0.0026455-0.003038i,0.0014258-0.0024137i,0.0030991-0.0026148i,-0.0029528-0.0056085i,0.0023275+0.0033042i,0.001503+0.0026656i,-0.0017863+0.0053925i,-0.0040524+0.0050887i,-0.0073206-0.0001618i,-0.0016912+0.027847i,0.00044437+0.016393i,-0.029011-0.003564i,-0.0033098-0.0055871i,0.016797+0.016244i,0.0031607+0.018309i,-0.0028713-0.005561i
0.035418+0.029838i,0.01884+0.0079661i,0.027703+0.018373i,0.015584+0.017278i,0.013645+0.0031602i,0.0051319-0.0045104i,0.019434+0.0041564i,0.013506-0.0092875i,0.0058067-0.0095636i,0.0040089+0.0015744i,0.00053262-0.003303i,-0.0013772-0.0020661i,-0.0011242+0.0019277i,0.0013331-5.2326e-05i,0.0017906-0.001282i,0.0025386-0.0028194i,0.0030413-0.0053561i,0.00027493-6.6877e-05i,-0.0020651+0.0012255i,6.0985e-05-0.00067293i,-0.0013784-0.0014387i,-0.0024213-0.0001031i,-0.0010512+0.0012175i,0.011442+0.0039109i,0.0004842+0.0033463i,0.0017138+0.00077604i,0.00037443-0.00054073i,0.00042691+0.0028016i,-0.00071187+0.0013457i,-0.00081283+0.0016744i,-0.0024497+0.00025377i,-0.0014765+0.001949i,-0.00051074+0.00011414i,0.00036769-0.00021631i,-0.00061936+0.00029902i,-0.0019052+0.0087891i,0.00035752-0.00074315i,0.0016621+0.00031428i,0.0019131+0.00050468i,-6.2761e-05-0.00058504i,-0.0015065-0.00013336i,-0.0023376-0.0040196i,0.0010601+0.00085828i,-0.0016552+0.0023972i,0.028434+0.0099713i,-0.01376+0.019229i,-0.0091685+0.024924i,-0.012166+0.012883i,0.01669+0.026596i,-0.0074209+0.019958i,-0.0109-0.0020042i,-0.024467-0.014067i,-0.015081+0.001327i,0.0017772+0.005954i,0.020106+0.0072729i,-0.0015318+0.0024215i,-0.0011356+0.0048891i,-0.012029+0.0021049i,0.0057317-0.0074517i,0.01374+0.0020873i,0.0057116+0.0086243i,-0.013439-0.0028737i,0.0007623-0.0029628i,-0.0034837-0.000115i,-0.0037652-0.0054128i,0.00442-0.0069478i,0.0061849+0.0072426i,0.0040339-0.008085i,-0.0066022-0.0063875i,-0.0013707-0.0032317i,0.0043608-0.0025497i,-0.0066903-0.0013308i,-0.00012915+0.00091983i,0.0027398-0.0019024i,0.011346+0.011252i,-0.011521+0.0037098i,0.0014421+1.2825e-05i,-0.0038889-0.0035672i,0.003771-0.0039758i,-0.013866+0.0072087i,-0.0027214-0.001822i,0.00047271-0.0023568i,0.0017158-0.0033494i,-0.0035019-0.0043301i,0.0014124+0.002373i,0.0021811+0.001584i,0.00033508+0.0058231i,-0.0020703+0.0051728i,-0.0078852+0.0017792i,0.0014709+0.023488i,0.0077914+0.015694i,-0.028297+0.00083502i,-0.0058128-0.0078982i,0.0197+0.011031i,0.0078471+0.018882i,-0.0051645-0.0046748i
0.038466+0.022692i,0.017936+0.0041562i,0.029618+0.011152i,0.018897+0.011966i,0.014984+0.00010075i,0.0039542-0.0059516i,0.018091+0.00088576i,0.011135-0.011754i,0.0043453-0.010334i,0.0035691+0.00078272i,-0.00057733-0.0024512i,-0.00086812-0.0011349i,-0.00083579+0.0019874i,0.001467-0.00016078i,0.001302-0.0016112i,0.0016198-0.0025205i,0.0011996-0.0054052i,0.0002834-0.00015408i,-0.0010438+0.0023697i,-0.0005625-0.00085146i,-0.0020831-0.00069676i,-0.0024993+0.00052971i,-0.000804+0.0013232i,0.010534-0.00097108i,0.0019549+0.0030445i,0.0014339+0.00048249i,-6.0088e-05-0.00036759i,0.0010806+0.0020688i,-0.00018211+0.001383i,-0.00013746+0.0018884i,-0.00213+0.0015454i,-0.00039776+0.0017877i,-0.00041396+0.00022034i,0.00022101-0.00026725i,-0.00033983+0.00068339i,0.00059128+0.0082247i,8.0268e-05-0.00073195i,0.0014472-0.00030184i,0.0016962+0.00031779i,-0.00045233-0.00047326i,-0.0015395+0.00028546i,-0.0038173-0.003249i,0.0015075+0.00083439i,-0.0013814+0.0036351i,0.031098+0.0027376i,-0.008398+0.020585i,-0.0039649+0.027382i,-0.010033+0.010242i,0.023825+0.01548i,3.1352e-05+0.016071i,-0.016068+0.0026711i,-0.030682-0.0082581i,-0.0098933+0.028358i,0.0028524-0.0010691i,0.020056+0.00074639i,-0.0016359+0.0033759i,-1.0811e-05+0.0064693i,-0.011396+0.0057708i,-0.00023778-0.0072603i,0.013519-0.002294i,0.009518+0.0066095i,-0.016021+0.0020811i,-0.00026525-0.0023876i,-0.0024129+0.0012175i,-0.0048562-0.0020051i,0.0021981-0.0075791i,0.0086352+0.0037149i,0.0012367-0.0085374i,-0.0072314+0.00073008i,-0.00054473-0.00217i,0.0027904-0.0047167i,-0.0073381+0.0012878i,0.00084948+0.00050045i,0.0018061-0.0026769i,0.010304+0.0067175i,-0.0087853+0.0071973i,0.0017813-0.0010321i,-0.0040745-0.0023704i,0.001819-0.0062029i,-0.0080851+0.010057i,-0.0022523-0.0011644i,-0.00012822-0.0016493i,0.00052564-0.0033044i,-0.0041098-0.0041446i,0.0014364+0.0023312i,0.0019666+0.00036649i,0.0027322+0.0062041i,-0.00052667+0.0041104i,-0.0078531+0.0038806i,0.0033213+0.021624i,0.01602+0.0083968i,-0.025748+0.005376i,-0.010582-0.008728i,0.018781+0.0055631i,0.01287+0.016907i,-0.0055684-0.003635i
0.041029+0.015893i,0.017561+0.0018014i,0.029938+0.0053074i,0.020255+0.0062557i,0.015271-0.0031931i,0.0026269-0.006881i,0.016801-0.0012736i,0.0085032-0.013282i,0.0028256-0.01112i,0.0033179+0.00015787i,-0.00025092-0.0017443i,-0.00034688-0.0010214i,-0.00056041+0.0023851i,0.0014871-0.00055105i,0.00080182-0.0016064i,0.0013684-0.0017851i,0.00012968-0.0049459i,0.00014419-0.00011671i,-0.00012379+0.0021643i,-0.0011515-0.00062072i,-0.0022441-4.4296e-05i,-0.0020028+0.0013489i,-0.00049404+0.0014554i,0.0087003-0.0036773i,0.0029534+0.0021918i,0.0010141+0.00010915i,-0.00033488-0.00012803i,0.0014718+0.0014179i,0.00013737+0.0013741i,0.00071164+0.0018357i,-0.0012085+0.0023786i,-0.00030106+0.0015546i,-0.0006024+0.00013451i,0.0002232-6.3032e-05i,0.00010602+0.00084098i,0.0021673+0.0068383i,-0.00032706-0.00053332i,0.0010404-0.00079543i,0.0015518+9.3518e-05i,-0.00052658-0.00017175i,-0.0015078+0.00041602i,-0.008654-0.0028956i,0.001786+0.00028367i,-0.00045236+0.0037896i,0.030827-0.0046865i,-0.0025575+0.020107i,0.0026652+0.028208i,-0.0092148+0.0098616i,0.024995+0.0034497i,0.0030084+0.010503i,-0.017433+0.010282i,-0.033413+0.0012597i,-0.024498+0.028383i,-0.00034909-0.0064185i,0.016125-0.0049891i,-0.00081435+0.0042377i,0.0036516+0.0064472i,-0.0090199+0.0090185i,-0.0033914-0.0041509i,0.011054-0.0079142i,0.012327+0.00299i,-0.017193+0.011026i,-0.00074854-0.000863i,-0.0012791+0.0017763i,-0.0031254+0.0002804i,-0.00081417-0.0071911i,0.0086362+0.00028644i,-0.001707-0.008428i,-0.0032829+0.0042167i,0.00022852-0.002244i,0.00051948-0.0057139i,-0.0047838+0.0031521i,0.0020338-0.0003517i,0.0012677-0.0026654i,0.010901+0.0014846i,-0.0043286+0.0090401i,0.001225-0.0020581i,-0.0035086-0.0019412i,-0.0011061-0.0066426i,-0.0039975+0.0098481i,-0.0026681-0.0015984i,-0.00014628-0.00038683i,8.3434e-05-0.0025847i,-0.0058716-0.00068523i,0.0021711+0.0025871i,0.0010618-0.00030018i,0.0032618+0.0051043i,-0.00055391+0.0025425i,-0.0067435+0.0061433i,0.006055+0.020549i,0.017679-0.0042622i,-0.02161+0.0059807i,-0.015618-0.007085i,0.017868+0.0013016i,0.016551+0.011856i,-0.0062329-0.0035791i
0.042554+0.0083701i,0.017564-0.0009694i,0.030024-0.00085391i,0.020457+0.00055865i,0.015177-0.006336i,0.001136-0.007591i,0.016307-0.0028741i,0.005958-0.014348i,0.0011963-0.012021i,0.0026716-0.00045523i,-0.00012197-0.0018806i,-0.00014853-0.0010397i,0.00019128+0.002866i,0.0013835-0.00075128i,0.00054741-0.0015319i,0.0018466-0.0012401i,-0.00047085-0.0049581i,0.00026783-0.00013423i,0.00038558+0.0016426i,-0.0014887-9.7027e-05i,-0.0018767+0.00058084i,-0.0011078+0.0015856i,-9.7678e-05+0.0015014i,0.0080007-0.0052481i,0.003799+0.0009323i,0.00084397-0.00040594i,-0.0004046+5.6453e-05i,0.0016105+0.00091179i,0.00054263+0.0013014i,0.001321+0.001256i,-3.7444e-06+0.0026932i,0.00029302+0.0021875i,-0.00074663+0.0005474i,0.00037676-0.00011888i,0.00048248+0.00066532i,0.0026929+0.0049656i,-0.0003905-0.00010644i,0.00058503-0.0009086i,0.0012869-7.5628e-05i,-0.00034689+4.9242e-05i,-0.0014826+0.00081782i,-0.0067383+0.002289i,0.001817-0.00019241i,1.7734e-05+0.0041864i,0.028798-0.011631i,0.0024344+0.017941i,0.0095857+0.02609i,-0.0080233+0.010411i,0.02178-0.006546i,0.0027924+0.0066848i,-0.014031+0.017789i,-0.030582+0.011517i,-0.018825+0.032645i,-0.0054417-0.0070214i,0.01144-0.0068939i,0.00045411+0.0045435i,0.0060628+0.0040652i,-0.0057+0.011487i,-0.0043624-0.0015189i,0.0052267-0.012687i,0.012694-0.0023586i,-0.0078233+0.017264i,3.0081e-05+0.00026379i,-9.8286e-05+0.0016357i,-0.0016094+0.00069144i,-0.0026266-0.0053348i,0.007035-0.0020265i,-0.0038063-0.007377i,0.00054087+0.0043455i,0.00037091-0.0034815i,-0.0016715-0.0052119i,-0.0030023+0.0036148i,0.0019193-0.0021542i,0.0009669-0.0029297i,0.0012192+0.0068722i,0.00010539+0.0088626i,0.00033886-0.0021243i,-0.0038166-0.00098108i,-0.0038991-0.0054423i,-0.00095436+0.009323i,-0.0011361+0.00037112i,0.0010872-0.00018517i,-0.00055235-0.0025472i,-0.002829+0.0017977i,0.00437-0.00046987i,0.00015873+0.00022379i,-0.00012744-0.012463i,-0.0016549+0.0018315i,-0.0045515+0.0075954i,0.0091638+0.018943i,0.011398-0.014141i,-0.020129+0.0029198i,-0.020134-0.0021948i,0.014683-0.0038689i,0.017155+0.0065809i,-0.0070487-0.0028176i
0.042334+0.00078398i,0.016791-0.0040795i,0.027744-0.0080959i,0.018394-0.0057804i,0.014454-0.0099503i,-0.00064999-0.0078213i,0.01631-0.0048449i,0.0032056-0.015302i,-0.00085314-0.012488i,0.0020425-0.00025553i,-0.001002-0.0020996i,-0.0003238-0.0016006i,0.0010052+0.002915i,0.0011663-0.0010944i,0.00027569-0.001499i,0.0024777-0.0014192i,-0.0017551-0.0050713i,2.6556e-05-0.00033483i,0.00072272+0.0011161i,-0.001693+0.00052492i,-0.0017419+0.00083208i,-0.00039214+0.0012413i,0.00025971+0.0014166i,0.012545+0.003579i,0.00383-0.001176i,0.00048603-0.00081018i,-0.00065098+0.00030706i,0.0016495+0.00053168i,0.0010454+0.00097627i,0.0015555+0.00053732i,0.0011895+0.0024227i,0.00086191+0.002519i,-0.00074096+0.0010735i,0.00038201-0.00022092i,0.000593+0.00035247i,0.0034474+0.002967i,-0.00043371+0.0001736i,4.9404e-05-0.00078339i,0.0016079-0.00023876i,-3.7513e-05+0.00012457i,-0.0011957+0.0013832i,-0.0061598+0.0018648i,0.0014552-0.00066217i,0.0010077+0.0052148i,0.025305-0.017812i,0.0062869+0.014504i,0.014512+0.021833i,-0.0053865+0.01152i,0.017045-0.012694i,0.0018553+0.004831i,-0.0077174+0.02187i,-0.023032+0.01838i,-0.0084155+0.034813i,-0.0091568-0.004112i,0.0077834-0.007188i,0.0015653+0.0041908i,0.0062159+0.00084881i,-0.0015749+0.012396i,-0.0049334+0.00080189i,-0.0034922-0.012622i,0.010052-0.0067312i,-0.0027931+0.015178i,0.0014201-0.00027758i,0.00042549+0.001199i,-0.0012469+0.00021806i,-0.0028961-0.0035135i,0.0056479-0.002802i,-0.0049716-0.0067495i,0.0023345+0.0028883i,-0.00072832-0.0051254i,-0.0034177-0.0040165i,-0.0010437+0.0039459i,0.00053511-0.0033664i,0.00035093-0.003657i,0.047014-0.014524i,0.0035072+0.0065588i,-8.0386e-05-0.0022024i,-0.0030529-0.00072656i,-0.0053991-0.0035063i,0.0013707+0.0083401i,-0.00029967-0.00076034i,0.0017875-0.00082596i,-0.0006739-0.00091243i,-0.0010988+0.0010182i,0.0025814+0.00072273i,0.00010353+0.0012992i,0.0059016-0.0026774i,-0.0026827+0.0023286i,-0.0025872+0.0076515i,0.012572+0.017547i,0.0027855-0.019724i,-0.023728+0.0011094i,-0.020489+0.0042129i,0.0084276-0.0062835i,0.016721+0.0016844i,-0.0066057-0.0025937i
0.041062-0.0062588i,0.016084-0.0062586i,0.023292-0.013036i,0.013698-0.010132i,0.012557-0.013516i,-0.0022399-0.0074966i,0.01636-0.0072529i,0.00024685-0.015495i,-0.0027267-0.012829i,0.0022495+8.5131e-05i,-0.0016303-0.0011872i,-0.0012345-0.0016061i,0.0018451+0.0026858i,0.00072445-0.0012291i,3.2956e-05-0.0014041i,0.0027127-0.0019333i,-0.0034091-0.0045229i,-0.00014395-0.00023988i,0.00082915+0.00051807i,-0.0014876+0.0013292i,-0.0015206+0.0013536i,-0.00038889+0.00068053i,0.0005611+0.0013411i,-0.001062+0.0036596i,0.0025261-0.0025635i,8.6035e-05-0.00082219i,-0.00048849+0.00072751i,0.0016147+0.00025715i,0.001119+0.00038718i,0.0014886-8.1499e-06i,0.0021294+0.0016358i,0.0018681+0.0023855i,-0.00019865+0.0017132i,0.00029166-0.00015832i,0.00058281+0.00044187i,0.0034843+0.0016486i,-0.000385+0.00062724i,-0.00018227-0.00048908i,0.0018291-0.00087764i,0.00023132+8.278e-05i,-0.00054625+0.0018115i,-0.0058422+0.0030122i,0.0010105-0.00072941i,0.002997+0.0049952i,0.020444-0.022698i,0.008825+0.010426i,0.017516+0.017152i,-0.0019713+0.011126i,0.012359-0.01736i,0.00078444+0.004623i,-0.0010435+0.022991i,-0.015103+0.020383i,0.002806+0.033721i,-0.0097753+0.00046456i,0.0059534-0.0068793i,0.002776+0.0034664i,0.0050875-0.00119i,0.0028685+0.0116i,-0.0040988+0.0037937i,-0.0097989-0.0071376i,0.0062239-0.0089273i,-0.00021516+0.013849i,0.0011724-0.0016944i,0.0009557+0.00079242i,-0.0014469+0.00032055i,-0.0025043-0.002288i,0.0044808-0.003398i,-0.0066871-0.0056188i,0.0031018+0.0011704i,-0.0040861-0.0054747i,-0.0042384-0.0021602i,0.0010459+0.0027346i,-0.00036968-0.0037335i,-0.00080217-0.0041422i,0.014131-0.024864i,0.0048116+0.0039545i,-0.00069043-0.0023814i,-0.0037934-0.00040899i,-0.0057115-0.0011051i,0.0028309+0.0073847i,-0.00091193-0.0019731i,0.0022107-0.001886i,0.0056826+0.0015514i,-0.0002775+0.00022662i,0.0030055+0.00019573i,0.00089345+0.001805i,0.0042437-0.0027413i,-0.0031063+0.0036666i,-0.00084217+0.0070816i,0.017408+0.015723i,-0.0079365-0.021484i,-0.027804+0.0034025i,-0.017505+0.0096879i,0.0040708-0.0042238i,0.013415-0.0032969i,-0.0066967-0.003906i
0.038878-0.01324i,0.015549-0.0092478i,0.019276-0.015797i,0.0091985-0.011511i,0.0097957-0.016528i,-0.003418-0.0069334i,0.016507-0.010547i,-0.0025138-0.015077i,-0.0048229-0.012938i,0.0026156-0.00015552i,-0.0011765-0.00029579i,-0.0018401-0.00074727i,0.0026509+0.0020267i,0.00034758-0.0011951i,-8.7393e-05-0.0013067i,0.0028822-0.002362i,-0.0046517-0.0032757i,3.0648e-06-0.00026145i,0.00062174+3.1967e-05i,-0.00092535+0.0017259i,-0.0010368+0.0015147i,-0.00051691+0.00062161i,0.00097438+0.0012127i,-0.0025564+0.00084686i,0.001253-0.0031327i,-0.0002055-0.00070504i,-0.00012803+0.00079251i,0.0016573-0.00010648i,0.00088306+0.00028269i,0.001349-0.00049247i,0.0026992+0.00062932i,0.0026069+0.0017263i,0.00073401+0.0017141i,0.00047241-0.00011902i,0.00093399+0.00058568i,0.0038475+0.00019298i,0.00037247+0.0012189i,-0.00023857-0.00028925i,0.0012962-0.001484i,0.0005634-0.00011656i,0.00018991+0.0017228i,-0.00088714+0.0068548i,0.00087801-0.00052645i,0.0038507+0.0039375i,0.014889-0.025915i,0.009355+0.006149i,0.018999+0.012727i,0.00070078+0.0094314i,0.006392-0.020849i,0.00082171+0.0063871i,0.0052308+0.022283i,-0.008217+0.020441i,0.011522+0.029488i,-0.0073759+0.0046474i,0.0041989-0.0075262i,0.0038376+0.0020124i,0.0042951-0.002673i,0.0067313+0.0085362i,-0.0017264+0.0049141i,-0.011782-0.00069223i,0.0024352-0.0096072i,0.0019666+0.012468i,0.00072707-0.0022403i,0.0005836+0.00022588i,-0.0014512+0.00096357i,-0.0021796-0.0016642i,0.0034669-0.0031759i,-0.0080387-0.0034552i,0.0025029-0.00017168i,-0.0068071-0.0026531i,-0.003814-0.00053729i,0.0016041+0.00095861i,-0.0013767-0.0039093i,-0.0022413-0.0038205i,0.0029716-0.021298i,0.0053957+0.0015365i,-0.0015641-0.0022929i,-0.0038062+0.0012268i,-0.0049042+0.0010961i,0.004542+0.0064799i,-0.0026515-0.0022869i,0.0019077-0.0034206i,-0.0042001-0.0050924i,-0.00019694-0.0010503i,0.0034504-0.00019602i,0.0016496+0.0018662i,0.0025467-0.0021523i,-0.0027196+0.0051452i,0.00016017+0.0060892i,0.022441+0.01152i,-0.018151-0.017665i,-0.030532+0.0074691i,-0.012995+0.011802i,0.0027941-0.0024973i,0.0082252-0.0044365i,-0.0091968-0.0044647i
0.034891-0.019763i,0.014152-0.012779i,0.01587-0.018258i,0.0059014-0.011647i,0.0062459-0.018857i,-0.0045034-0.0063347i,0.015773-0.015205i,-0.0050827-0.014273i,-0.0072688-0.012499i,0.002326-0.00019237i,-0.00052071-0.00015003i,-0.0019024+0.00037424i,0.0030926+0.001089i,0.00014727-0.00083038i,-0.00023684-0.0013316i,0.0027057-0.003168i,-0.0052487-0.0017158i,-9.6077e-07-0.00037076i,0.00042028-0.00014864i,-0.00032595+0.001811i,-0.00073015+0.0018478i,-0.00057277+0.00073102i,0.0013019+0.00083806i,-0.002363+0.0016337i,3.3524e-05-0.0033393i,-0.00046389-0.00052579i,0.00012097+0.00061902i,0.0013261-0.0005504i,0.00096708+0.00022136i,0.00092608-0.00096879i,0.0029214-0.00051851i,0.0031182+0.00091532i,0.0013234+0.0014005i,0.00058304-0.00046613i,0.0015842+0.00039433i,0.0036217-0.0010237i,0.0019439+0.0013857i,-0.00021097-7.5461e-05i,0.00052004-0.0016994i,0.000799-0.00048516i,0.00068187+0.0016313i,0.0017503+0.0042187i,0.0010065-0.00059264i,0.0044934+0.0036596i,0.0092874-0.027891i,0.0081728+0.0033831i,0.019789+0.009155i,0.0023855+0.0085287i,-0.00028003-0.022605i,0.0036766+0.008512i,0.010916+0.019504i,-0.001242+0.018536i,0.017774+0.023013i,-0.0028616+0.0069504i,0.0022445-0.0078309i,0.0038004-0.00055033i,0.0032181-0.0044877i,0.0078596+0.0042834i,-0.00025568+0.0044433i,-0.011082+0.0057822i,-0.0013634-0.0090474i,0.0037951+0.010395i,-0.003289-0.003785i,-0.00013433+0.00060191i,-0.00096383+0.0016255i,-0.0016454-0.001545i,0.0036482-0.0019572i,-0.0069587-0.00018783i,0.0022932+0.00010218i,-0.0071468+0.00065734i,-0.0028371+0.000318i,0.0013255-0.00010791i,-0.0033714-0.0041104i,-0.0035287-0.0026117i,-0.0032736-0.018409i,0.005155-0.0011108i,-0.0023895-0.0017067i,-0.0025573+0.0021458i,-0.0034534+0.0022818i,0.0064703+0.0052736i,-0.0040885-0.00091356i,0.0005153-0.0048714i,-0.0043564-0.0026394i,-0.0013812-0.0018894i,0.0039886-0.0017116i,0.0024309+0.0019056i,0.0022422-0.0016696i,-0.00050666+0.0061524i,0.00056933+0.0051845i,0.026779+0.0053764i,-0.023555-0.0095383i,-0.032652+0.013609i,-0.0089431+0.012216i,0.0014363-0.00073912i,0.0045544-0.001599i,-0.011253-0.00337i
