-0.023831-0.019261i,-0.032281-0.032634i,-0.022418-0.019632i,-0.032419-0.020132i,-0.023984+0.0041395i,-0.028792-0.017739i,-0.058112-0.043933i,-0.040885-0.041865i,-0.03072-0.023076i,0.0053619+0.0055692i,-0.0033087+0.006176i,-0.010875+0.010975i,0.0039482+0.0070099i,-0.0039053-0.0026875i,0.002889+0.0016936i,0.0040722+0.027907i,0.026329+0.031708i,-0.00014251+0.00024405i,-0.0028301-0.002837i,0.0074877+0.0038751i,0.0021317+0.00066251i,-8.413e-05+0.0025949i,-0.00050414+0.00034133i,-0.03237-0.00034519i,-0.0031428-0.0047694i,0.00010089+0.0025484i,0.0037696-0.00073134i,0.0007658-0.00032553i,-0.00052311-0.00058234i,-0.0010385-0.0018585i,-0.0021186-0.0006401i,-0.0040321-0.003951i,-0.0030599-0.005208i,0.00041751-0.0010398i,0.00056233-0.0029999i,-0.0012521+0.02549i,0.0020561-0.0029521i,0.0019707-0.003958i,0.0041976-0.0024421i,-0.0065873-0.0018823i,0.00073732+0.0011863i,0.010144-0.0010428i,-0.0017992+0.00012837i,-0.0032629+0.0015041i,-0.0085986-0.0022328i,-0.019425+0.021667i,-0.0069841-0.086128i,-0.0019487-0.061028i,-0.021194-0.053387i,-0.010944-0.045787i,0.054669-0.025759i,0.024171-0.067448i,0.041529-0.053692i,0.018713-0.03838i,0.026094-0.019937i,0.01228+0.011978i,0.02572-0.029409i,-0.011133-0.0013077i,-0.00063394-0.0014067i,-0.007462-0.0021594i,-0.0048582-0.029044i,-0.019845+0.026658i,0.0079251-0.0094672i,-0.010409-0.0035048i,-0.002731-0.0017713i,-0.00077433-0.014354i,-0.0080888+0.0049598i,0.0052729+0.01072i,-0.010022+0.030753i,0.0067116+0.007543i,-0.0036867-0.0017387i,-0.0025149-0.0015189i,-0.012971-0.0057418i,0.000614-0.004025i,-0.033034+0.0029577i,0.003384-0.0085583i,-0.0072786-0.0019835i,-0.0054843-0.0029846i,0.0067723+0.0016615i,-0.010331+0.00074483i,0.0025254-0.00023454i,0.0059677+0.007661i,0.0056795+0.00087376i,-0.0082761-0.0098409i,0.0028823+0.0080672i,-0.019595+0.0078355i,0.0030669+0.0059199i,-0.021217-0.0091735i,-0.027917-0.004855i,0.010253-0.061577i,0.018588-0.014343i,-0.051519-0.029145i,-0.023181+0.0031883i,0.018681+0.010675i,-0.027186+0.011959i,-0.013067-0.008001i
0.0051028+0.0051329i,0.036888+0.014777i,0.019612-0.0042847i,0.012806+0.0020524i,0.0085214-0.0018294i,0.015813-0.0075223i,0.012426+0.014273i,0.018889+0.020327i,0.0012475-0.0024266i,0.0011157+0.00073033i,0.002365-0.0012831i,0.0010262-0.003853i,8.782e-05-0.0012342i,0.0020731-6.8532e-05i,0.0051472-0.0012045i,0.0060622+0.000246i,0.0056139-0.0050828i,0.00012225-0.001036i,-0.0020579-0.00015137i,0.00043266+0.00075614i,0.00015962-0.00021226i,-0.0021717-0.00048641i,-0.0015365-6.3556e-05i,0.0061479+0.0074795i,-0.00064113+0.00020258i,0.00038337+0.00074721i,0.00098305+0.0010556i,-6.0647e-05+0.0012761i,-0.00040935-0.00028236i,-0.0011737-4.8093e-05i,0.00048793-0.0010726i,-0.00057994+0.00029793i,0.00017641+0.00066832i,-7.3777e-05+0.00059951i,-0.00032805-0.00094512i,-0.0087239+0.0068808i,0.00056298+0.00026005i,-0.00051871+7.0941e-05i,-0.000328+0.0015222i,-0.00023005-0.0028282i,-0.00061446+0.00010991i,-0.00041021-0.00015057i,0.00069342+0.0013698i,0.0032835-0.0023303i,0.00049782+0.0031978i,-0.050424+0.0084841i,-0.0038303+0.028992i,-0.014317+0.041112i,-0.0089245+0.06474i,-0.017528+0.044091i,-0.0056392+0.019439i,-0.0083968+0.013795i,-0.045271+0.003828i,-0.024536-0.0078493i,0.015229+0.026097i,0.00055303+0.005356i,-0.007718+0.0011991i,-0.01411-0.0019052i,0.0039431-0.0003594i,0.0077441+0.013183i,-0.0058867+0.0062919i,-0.0048462-0.0065445i,0.0058047-0.0025733i,-0.0067071-0.0054393i,0.0038931-0.0067243i,0.0040825-0.0021139i,-0.0024686+0.01013i,0.011457-0.0055298i,0.0063592-0.0048158i,0.0054197-0.0083636i,0.0030422+0.00082903i,-0.0021145-0.0060241i,-0.0036116-0.001559i,0.0023912-0.0018399i,-0.010326+0.031185i,-0.0041796-0.0053869i,0.0033232+0.00016233i,-0.00051563-0.0072997i,0.0032601-0.0016709i,-0.013374-0.005879i,0.00086719+0.00078027i,0.004168-0.0017479i,0.0025232-0.00090345i,0.0013235-0.0056803i,-0.0020763+0.0054436i,-0.00039433+0.0057722i,-0.0050582+0.0070093i,-0.0051766+0.0020384i,-0.0059229+0.00022963i,-0.02302+0.01874i,-0.0089569+0.014513i,-0.022283-0.011478i,-0.008498-0.0099109i,0.0089352+0.020579i,-0.00055874+0.019912i,-0.0089795-0.0038322i
0.0057116+0.0032909i,0.038545+0.0070764i,0.01852-0.0079876i,0.013364+0.00083431i,0.0093037-0.0032369i,0.014268-0.010677i,0.0132+0.011244i,0.021799+0.01622i,0.00045121-0.0028602i,0.0014118+0.00022019i,0.0022353-0.0016158i,-0.00056181-0.0025342i,-0.00010598-0.00069742i,0.0020734-0.00012506i,0.0044606-0.0022973i,0.0054351-0.00052307i,0.0032997-0.0055661i,0.00016644-0.00088884i,-0.0022602+4.7893e-05i,0.00089559+0.00020548i,5.0576e-05-0.00056139i,-0.0022363+4.8658e-05i,-0.0015026+0.00012604i,0.0096594+0.0042915i,-0.001003+0.0010256i,0.00092087+0.00044745i,0.001077+0.0004346i,0.00047771+0.0010668i,-0.00081551+0.00024704i,-0.0012347+0.00047614i,-0.00013242-0.001118i,-0.00070067+1.3998e-05i,0.00027642+0.00052862i,0.00025982+0.0005308i,-0.00070464+7.8215e-05i,-0.0059189+0.0087537i,0.00035401+5.6791e-05i,-0.00032917+0.00043396i,0.00022851+0.0012033i,-0.0010219-0.002233i,-0.00041125+3.4196e-05i,-0.00051546+0.00021499i,0.00078104+0.0012801i,0.0021888-0.0024089i,0.0018317+0.0031074i,-0.045045+0.016562i,-0.00097093+0.030008i,-0.005486+0.041393i,0.0073687+0.061678i,-0.0063209+0.043518i,-0.0077204+0.015432i,-0.011496+0.011212i,-0.046919+0.0069785i,-0.020724-0.0096693i,0.021145+0.020393i,0.0004177+0.005072i,-0.0067933+0.0067483i,-0.013552+0.0027693i,0.0022726-0.002075i,0.010341+0.011184i,-0.0021675+0.010719i,-0.0088183-0.0050793i,0.0025344-0.0042874i,-0.0067569-0.0018615i,-0.00062418-0.006735i,0.0025674-0.0038304i,0.0023924+0.008174i,0.0072043-0.0083885i,0.0026087-0.0062164i,0.00091832-0.0058038i,0.0041228-0.00018441i,-0.0033116-0.0048006i,-0.0020474+0.0007817i,0.0020993-0.0020776i,0.0058183+0.0313i,-0.0057318-0.004632i,0.003628-0.0018323i,-0.0039023-0.0061574i,0.0033141-0.0025062i,-0.013559+0.00052982i,0.0017863+0.00119i,0.0030836-0.0020934i,0.0028375-0.0019596i,-0.00022888-0.0058624i,-0.00057234+0.0030538i,0.0019657+0.0047753i,-0.0011979+0.008317i,-0.0040689+0.0042643i,-0.0066262+0.0011472i,-0.017986+0.017387i,-0.0066946+0.016866i,-0.025342-0.0062119i,-0.011806-0.01267i,0.012051+0.020066i,0.0033662+0.021479i,-0.01175-0.00332i
0.0055217+0.0017717i,0.038179-0.0014025i,0.017144-0.012341i,0.01484-0.0019259i,0.010237-0.0054478i,0.011866-0.013778i,0.013171+0.0082969i,0.023977+0.011506i,-8.2348e-05-0.0028258i,0.0010628-0.00028423i,0.0017316-0.0025019i,-0.000544-0.0011163i,-8.9876e-05-0.00067182i,0.0021001-0.00054028i,0.0035263-0.0031448i,0.0046733-0.0012772i,0.0015161-0.0054393i,-9.3211e-05-0.0010969i,-0.0023463+0.00097995i,0.00076356-0.00074311i,-0.00059727-0.00090111i,-0.0019857+0.00060965i,-0.0015835+0.00040951i,0.010202-0.00060075i,-0.00023748+0.0014971i,0.00080914-0.00011822i,0.0008611+3.7717e-05i,0.00088412+0.0005747i,-0.00043439+0.00064075i,-0.0010549+0.00098761i,-0.00069498-0.00088358i,-0.0012249+0.00061353i,0.00049118+0.00041766i,0.00041568+0.00030116i,-0.00027423+0.00065344i,-0.0029827+0.0097499i,0.00015479+9.8703e-05i,-4.2711e-05+0.00036251i,0.00047604+0.00092181i,-0.0016929-0.0014866i,-0.00037772-8.49e-05i,-0.00023153+0.00041319i,0.00097318+0.0014144i,0.0017544-0.0023956i,0.0037629+0.0020314i,-0.03906+0.022838i,0.0034851+0.031119i,0.0033756+0.038409i,0.022361+0.053351i,0.0035509+0.04236i,-0.011293+0.014481i,-0.014332+0.011666i,-0.048075+0.01322i,-0.019642-0.013025i,0.024566+0.012071i,0.00055542+0.0049703i,-0.0041357+0.0088808i,-0.012749+0.0060991i,-0.00017583-0.0039033i,0.012933+0.0080986i,0.0030043+0.011723i,-0.011556-0.0019873i,0.00059514-0.0030133i,-0.0059329+0.00092216i,-0.0029489-0.0043414i,0.00068-0.0037031i,0.0048224+0.0071329i,0.0041885-0.0087289i,-0.0011469-0.0051311i,0.00053863-0.0030443i,0.0043605-0.0023372i,-0.0052607-0.0033964i,-0.00063198+0.00071375i,0.00089281-0.0023785i,0.018918+0.023789i,-0.0076423-0.0024378i,0.0030583-0.0032216i,-0.0038775-0.0041198i,0.0037217-0.0040389i,-0.010636+0.0059768i,0.0035948+0.0006709i,0.0019859-0.0024702i,0.001949-0.0024906i,-0.0022281-0.004882i,-0.0011593+0.0028565i,0.0032058+0.0029686i,0.0023751+0.0082832i,-0.002626+0.004921i,-0.0070914+0.0029994i,-0.015932+0.015746i,-0.00010688+0.017692i,-0.026038-0.0017831i,-0.015947-0.013605i,0.016942+0.016991i,0.0087854+0.022418i,-0.013926-0.0011912i
0.0050633+0.0007955i,0.034752-0.0083156i,0.013731-0.016578i,0.014834-0.0061402i,0.010021-0.0086594i,0.0085504-0.015867i,0.012765+0.0063064i,0.024596+0.0065696i,-0.00035142-0.0031218i,0.00051434-0.00021001i,0.00058187-0.0027314i,-8.2796e-05-0.00052213i,-0.00051254-0.0004097i,0.0017456-0.00073278i,0.0022939-0.0036264i,0.0039448-0.001476i,8.813e-05-0.0047i,-0.00035901-0.0010006i,-0.0014286+0.0018856i,2.6436e-05-0.0011176i,-0.0011686-0.00035531i,-0.0016039+0.0013838i,-0.0014896+0.00090036i,0.0081086-0.0043344i,0.00034857+0.0014069i,0.00049779-0.00022527i,0.00068131-5.2004e-05i,0.00075693+7.0674e-05i,-8.2045e-05+0.00060074i,-0.00067009+0.0014644i,-0.0010644-0.00033103i,-0.00069572+0.0012945i,0.00057596+0.00016132i,0.00035405+7.7653e-05i,0.00021112+0.000761i,0.00015506+0.0099012i,0.00022404+0.00010669i,-7.7035e-05+0.00019773i,0.00052796+0.0008164i,-0.0018068-0.00055846i,-0.00048648-0.00010068i,-0.00013248+0.00036907i,0.0013781+0.0014217i,0.0014106-0.0023667i,0.0052424-0.0002593i,-0.03202+0.027766i,0.0089886+0.031079i,0.0085823+0.034458i,0.034281+0.040067i,0.013194+0.037251i,-0.015249+0.016812i,-0.01769+0.014393i,-0.047398+0.021052i,-0.021817-0.016131i,0.024803+0.0031829i,0.001014+0.0054917i,-0.0012275+0.011538i,-0.010935+0.0097777i,-0.004368-0.0029554i,0.014846+0.0031983i,0.0082163+0.010051i,-0.012862+0.0021421i,-0.00017385-0.0025272i,-0.0041922+0.0025767i,-0.003616-0.0013335i,-0.00027492-0.0032175i,0.0069529+0.0037848i,0.0014413-0.0086704i,-0.0035035-0.0020581i,0.0012956-0.001818i,0.003254-0.004347i,-0.0056965-0.0003392i,0.00042705+0.00082073i,0.00028872-0.0020577i,0.026202+0.011848i,-0.0080518+0.0014108i,0.0021489-0.0044528i,-0.0041431-0.0024037i,0.0021639-0.0062024i,-0.0058764+0.008098i,0.0046458-0.0014474i,0.0011208-0.0019731i,0.0011951-0.0025862i,-0.0028385-0.0029899i,-0.0013498+0.0035363i,0.003217+0.0010782i,0.0060026+0.0067088i,-0.0012935+0.0047445i,-0.006957+0.0053751i,-0.01453+0.016852i,0.0086518+0.01268i,-0.024642+0.0031085i,-0.021634-0.012466i,0.018965+0.012133i,0.015253+0.020679i,-0.013468+0.00068103i
0.0050199+0.00018829i,0.031333-0.01295i,0.0095687-0.019137i,0.013598-0.010136i,0.0084803-0.011741i,0.0053518-0.017021i,0.012574+0.0051883i,0.024328+0.0022837i,-0.00055879-0.0033677i,0.00016415+2.7431e-05i,-0.00044651-0.002356i,0.00034641-0.00054597i,-0.00067718+0.00025908i,0.0014757-0.00096148i,0.0011912-0.0034738i,0.0036794-0.0013342i,-0.00069663-0.0037727i,-0.0007553-0.00084034i,-0.00053301+0.0018461i,-0.00064821-0.0009854i,-0.0012605+0.00014519i,-0.00079806+0.0017222i,-0.0011452+0.0013899i,0.0051519-0.0064916i,0.00071716+0.0011427i,0.00034947-0.0002786i,0.00057212-0.00028027i,0.00046229-0.0001364i,4.8987e-06+0.00057786i,6.6465e-05+0.0016777i,-0.0009921+0.00022077i,-6.4938e-05+0.0014656i,0.00048806-0.00010233i,0.00036388+0.00021441i,0.00077171+0.00067361i,0.0028777+0.0090641i,8.6988e-05+0.00015523i,-0.00020717+0.00026796i,0.00088309+0.00073598i,-0.0015527+0.000116i,-0.00063606-0.00019861i,-6.3701e-05+0.00036123i,0.0017625+0.0010292i,0.00078625-0.0026591i,0.0051826-0.0031524i,-0.023715+0.030582i,0.015427+0.029366i,0.01395+0.031919i,0.038875+0.024573i,0.018935+0.030283i,-0.016212+0.022848i,-0.018378+0.021181i,-0.044598+0.03068i,-0.026609-0.016709i,0.020546-0.004096i,0.0024772+0.0057871i,0.0042+0.011464i,-0.0077848+0.012495i,-0.0060896+0.00061751i,0.013691-0.0031101i,0.012143+0.0063041i,-0.012617+0.0064466i,-0.00051921-0.0011195i,-0.0025114+0.0034349i,-0.0019007+0.00054573i,-0.0019768-0.0021449i,0.0069304+0.001033i,-0.0010677-0.0078059i,-0.0032599+0.0011959i,0.0027011-0.0023118i,0.0012698-0.0054829i,-0.0040408+0.0017289i,0.0016988+0.00030982i,0.00013471-0.00146i,0.026982-0.00064411i,-0.0057189+0.0043916i,0.0005402-0.0052315i,-0.0033931-0.0017071i,-0.00013767-0.0069188i,-0.0019846+0.0078461i,0.0039446-0.0035367i,0.0011775-0.00099051i,0.0011861-0.0022462i,-0.0018296-0.0021278i,3.7718e-05+0.0046178i,0.0019818-7.8358e-05i,0.0076368+0.0032935i,-0.00078038+0.003594i,-0.0053271+0.0080547i,-0.011503+0.018232i,0.011707+0.0017826i,-0.020503+0.0053236i,-0.027105-0.0092342i,0.020115+0.0068991i,0.020321+0.014389i,-0.014024+0.0011325i
0.0051489-0.00081052i,0.028399-0.017187i,0.0056773-0.020756i,0.011343-0.014073i,0.0063291-0.014131i,0.0020074-0.017774i,0.013429+0.0043262i,0.023696-0.0017614i,-0.00071013-0.0039187i,-0.00023507+0.00036685i,-0.00088391-0.0016355i,0.00054295-0.00060695i,-0.00019989+0.00088866i,0.0011286-0.0010181i,0.00042192-0.0031713i,0.003902-0.0013879i,-0.00092082-0.0033165i,-0.00076211-0.00054593i,0.00012816+0.0016662i,-0.0010241-0.00060604i,-0.00089934+0.00043738i,0.00014913+0.0014835i,-0.00055532+0.001651i,0.0018227-0.0072551i,0.0012015+0.00082956i,0.00019176-0.00034215i,0.00042747-0.00050237i,0.00028826-0.00019498i,0.00021786+0.00055703i,0.00072129+0.0013681i,-0.00074182+0.00052143i,0.00057286+0.0012808i,0.00027043-0.00017195i,0.00057337-1.9159e-05i,0.00097581-2.4476e-05i,0.0047161+0.0074729i,0.000204+0.00022614i,-0.00011244+0.00045439i,0.00089891+0.00037645i,-0.0011014+0.00049646i,-0.00094121-9.5629e-05i,6.848e-05+0.00025696i,0.0019744+0.00072171i,4.1227e-05-0.0025029i,0.0043511-0.005775i,-0.016+0.030633i,0.021345+0.025342i,0.019764+0.028043i,0.038875+0.010639i,0.022096+0.023591i,-0.013244+0.02972i,-0.014465+0.028864i,-0.037263+0.041322i,-0.031626-0.014056i,0.015474-0.0077908i,0.0039922+0.0048478i,0.0079097+0.0088728i,-0.003907+0.014547i,-0.0053964+0.003496i,0.0094986-0.0088325i,0.013569+0.00058018i,-0.010842+0.0095731i,0.0004184-0.00029679i,-0.00064776+0.0033487i,-0.00056705+0.00046155i,-0.0020685+0.00019437i,0.005703-0.00072171i,-0.0028689-0.0060161i,-0.0011008+0.0032976i,0.0027588-0.0041246i,-0.001046-0.0053494i,-0.0026587+0.0019524i,0.0021016-0.0010654i,0.00078928-0.001409i,0.022508-0.011367i,-0.0026815+0.0054135i,-0.001239-0.0049541i,-0.003309-0.0011948i,-0.0027762-0.0065599i,0.00065389+0.006655i,0.0031629-0.0047327i,0.0020896-0.0011085i,0.0010911-0.0030571i,-0.0011909-0.0024741i,0.0015345+0.0049385i,0.0008401+0.00010377i,0.0071214+0.00072802i,-0.001179+0.0028176i,-0.0021632+0.0096344i,-0.0079614+0.018199i,0.0078927-0.0075245i,-0.017876+0.003118i,-0.032316-0.0028302i,0.018468+0.00019485i,0.021222+0.0075671i,-0.014916+0.0028758i
0.0050461-0.0017779i,0.024516-0.021368i,0.0012977-0.022387i,0.0073429-0.017798i,0.0036147-0.016402i,-0.0015801-0.017586i,0.015085+0.0025585i,0.022456-0.0057606i,-0.0011914-0.0044285i,-0.00036601+0.0012523i,-0.0012649-0.0011364i,0.00058926-0.0012433i,0.00036493+0.0010121i,0.00072966-0.00089585i,-0.00013271-0.0027489i,0.004185-0.0020045i,-0.0013553-0.0031213i,-0.0010225-0.00040821i,0.00082682+0.0012438i,-0.0014166-0.00014946i,-0.00092465+0.00046882i,0.00063769+0.00080943i,-7.3295e-05+0.0016603i,-0.0015067-0.0065621i,0.0013135-0.00020657i,-2.2751e-05-0.00017347i,-0.0001197-0.00057738i,0.00011973-0.00013346i,0.00052249+0.00035692i,0.001028+0.00081075i,-0.00031546+0.0006517i,0.00078557+0.00096876i,4.639e-06-7.4984e-05i,0.00043758-0.00022307i,0.00048033-0.00075256i,0.0059021+0.0059068i,0.00028034+0.00025105i,-3.5192e-05+0.00050323i,0.00097775+0.00021739i,-0.00047255+0.00060044i,-0.0011221+0.00035226i,0.00010153+0.00014957i,0.0022144+0.00015385i,-0.00060985-0.0021553i,0.0023764-0.0080573i,-0.009706+0.029019i,0.025473+0.019853i,0.024938+0.022829i,0.034816-0.00097927i,0.023185+0.01825i,-0.0070199+0.034305i,-0.0055339+0.034035i,-0.024985+0.048151i,-0.03556-0.0085697i,0.010527-0.0091723i,0.0048635+0.0033954i,0.009657+0.0049564i,0.00044604+0.014816i,-0.0044509+0.0051707i,0.0018692-0.010826i,0.011518-0.0046834i,-0.0081353+0.01207i,0.0014775-0.0011927i,0.00053693+0.0024967i,-0.00024757-0.00012146i,-0.00035872+0.0016275i,0.0044489-0.00099579i,-0.0034979-0.0045196i,0.0013811+0.00345i,0.0013659-0.0061988i,-0.0026101-0.0041455i,-0.0016749+0.0021829i,0.0015451-0.0024236i,0.00091589-0.0022117i,0.014352-0.017618i,-5.3755e-05+0.0051238i,-0.0022369-0.0041145i,-0.0028998-0.0010418i,-0.0046268-0.005466i,0.00215+0.0053086i,0.0017436-0.0065358i,0.0025121-0.0019967i,-7.265e-06-0.0037262i,-0.0019482-0.0031519i,0.0038147+0.0045687i,0.00038742+0.0012506i,0.0064583-0.0011074i,-0.0018473+0.002883i,0.00091907+0.0089361i,-0.0045437+0.018216i,0.0009735-0.01389i,-0.019991+0.00033058i,-0.033301+0.0058184i,0.012283-0.0040974i,0.021024+0.0020437i,-0.014121+0.0047695i
0.0050517-0.0028905i,0.020399-0.024176i,-0.0040101-0.022539i,0.0017819-0.01955i,-7.2737e-05-0.017785i,-0.0044983-0.016396i,0.016704-0.00030681i,0.020361-0.0092461i,-0.0015825-0.0051698i,0.00043423+0.0022662i,-0.0014322-0.00025601i,-0.00032494-0.0015631i,0.00091767+0.0010366i,0.00066088-0.00057319i,-0.00038191-0.002346i,0.0041688-0.0025882i,-0.0024312-0.0026528i,-0.0011147+8.2223e-05i,0.0010803+0.00047611i,-0.0014067+0.00073937i,-0.00082219+0.00086714i,0.0005127+0.00012513i,0.00038776+0.001589i,-0.0037705-0.0043584i,0.00044861-0.00068095i,-2.1154e-05-1.7504e-05i,-0.00042529-0.0003203i,4.468e-05-4.4071e-05i,0.00043934+1.5639e-05i,0.0010581+0.00037512i,8.8372e-06+0.00060186i,0.00092749+0.00061429i,5.5964e-06+0.00010157i,0.00028394-0.0002605i,-0.00024683-0.00048961i,0.0066395+0.0041244i,0.00041192+0.00018415i,6.64e-05+0.00066064i,0.0010652+4.048e-06i,0.00015579+0.00031271i,-0.00092315+0.00093969i,8.1831e-05+0.00013522i,0.002001-0.00061171i,-0.00107-0.0014396i,-0.00013549-0.0092357i,-0.0047965+0.026355i,0.027725+0.01425i,0.029269+0.016443i,0.028831-0.0087025i,0.023428+0.01413i,0.00051381+0.036421i,0.004062+0.034268i,-0.011343+0.050178i,-0.036419-0.0016025i,0.0073676-0.0091069i,0.0055134+0.0019905i,0.0093755+0.0014906i,0.0050514+0.013399i,-0.0028683+0.0070208i,-0.0046976-0.0078706i,0.0080694-0.007239i,-0.0047014+0.01373i,0.0011441-0.0028942i,0.00083227+0.0015685i,-0.00041753-0.00012998i,0.0016472+0.0015241i,0.0040435-0.0011847i,-0.0043128-0.003154i,0.0029979+0.0022216i,-0.0019868-0.0072228i,-0.0032311-0.0026258i,-0.00024398+0.0017622i,0.00090009-0.0032185i,0.00045326-0.0034343i,0.0057941-0.019363i,0.0017148+0.0039496i,-0.0029743-0.0035069i,-0.0036688-0.0010473i,-0.0061664-0.0036738i,0.0028218+0.0041212i,-0.00095516-0.0076402i,0.0026174-0.003246i,-0.00098175-0.0032009i,-0.0026856-0.002975i,0.0050861+0.0031209i,0.00088098+0.0021217i,0.0048139-0.0026704i,-0.0020774+0.0037203i,0.0030184+0.0073571i,3.2673e-06+0.017994i,-0.0089686-0.016862i,-0.023961+0.00050353i,-0.030263+0.013998i,0.007248-0.0034166i,0.018455-0.003993i,-0.012789+0.0046731i
0.0048616-0.0045675i,0.016574-0.026913i,-0.0085239-0.020853i,-0.0032468-0.018971i,-0.0038223-0.018051i,-0.0066516-0.015178i,0.017601-0.0043554i,0.018047-0.012155i,-0.0023113-0.0060003i,0.001841+0.002321i,-0.00096679+0.00048649i,-0.001037-0.00094045i,0.0014448+0.00051309i,0.00074348-0.00053104i,-0.00055431-0.0021102i,0.0041225-0.0031596i,-0.0030079-0.0014476i,-0.00075135+0.00028175i,0.00083433-0.00015641i,-0.00088182+0.0012669i,-0.00050148+0.00097367i,0.00015176-0.00026504i,0.0008181+0.0013546i,-0.0047658-0.0016162i,-0.00015796-0.0003519i,-1.4233e-05+4.4455e-06i,-0.00050391-0.00016448i,8.3436e-05+1.0222e-05i,0.00017499+3.6761e-05i,0.0010143-8.0883e-05i,0.00030904+0.0004316i,0.00073324+0.00041183i,0.00019627+0.00012541i,0.00033986-0.00018888i,-0.00037541+7.0837e-05i,0.00676+0.0023471i,0.00036652+0.00011139i,0.00045637+0.00072236i,0.0011046-0.00048424i,0.00040833-0.00019506i,-0.00039297+0.0011497i,0.00010924+4.2652e-07i,0.0014425-0.0012393i,-0.0012415-0.00085998i,-0.0028088-0.0097238i,-0.0017481+0.023147i,0.028931+0.0091415i,0.031326+0.0083653i,0.022475-0.013885i,0.023603+0.011989i,0.0085098+0.036409i,0.012499+0.032184i,0.0011205+0.047802i,-0.034873+0.0049898i,0.0048518-0.0093653i,0.0060464-8.4892e-05i,0.008893-0.0010662i,0.0089044+0.010116i,-4.1933e-05+0.0074824i,-0.0078126-0.0030213i,0.0041508-0.0082709i,-0.0005726+0.01391i,-0.00072931-0.0036428i,9.4919e-05+0.001352i,-0.00038033+7.3239e-05i,0.0027739+0.00024423i,0.003834-0.00090811i,-0.0043371-0.0014127i,0.0035546+0.00065646i,-0.0048873-0.0054576i,-0.0029215-0.001445i,0.00015378+0.00056845i,-9.5387e-05-0.0040842i,-0.00087629-0.0038059i,-0.0013381-0.017948i,0.0030834+0.0022442i,-0.0039583-0.0027211i,-0.0040673+0.00049405i,-0.0066354-0.0012237i,0.0035202+0.0033546i,-0.0042901-0.007107i,0.0022531-0.0047868i,-0.0014835-0.0029746i,-0.0032669-0.0031268i,0.0062809+0.0019829i,0.0018257+0.0023896i,0.0030376-0.0024669i,-0.0019482+0.0045596i,0.0041878+0.0053261i,0.0049877+0.01584i,-0.019453-0.014087i,-0.027891+0.0033754i,-0.025022+0.018338i,0.0050466-0.0022892i,0.013169-0.0074128i,-0.014167+0.0049696i
0.0037558-0.0062062i,0.012241-0.029521i,-0.012011-0.018616i,-0.0073077-0.017267i,-0.0075341-0.017526i,-0.008835-0.014034i,0.017148-0.0094011i,0.015449-0.014753i,-0.0037797-0.0068911i,0.002986+0.0017219i,-0.0002625+0.00074067i,-0.0012552+3.2655e-05i,0.0014896-0.00015896i,0.00080909-0.00060585i,-0.00087717-0.0020119i,0.0039613-0.004015i,-0.0030669-0.00023452i,-0.00057366+0.00018352i,0.00055209-0.00038513i,-0.00027893+0.001444i,-0.00029153+0.0010612i,-0.00022107-0.00029564i,0.0010946+0.00096032i,-0.0043113+0.0010661i,-0.00011868+0.00013774i,-6.4037e-07+0.00010261i,-0.00050728+9.2686e-05i,0.00011567+5.007e-05i,0.00018851+8.0871e-05i,0.00066817-0.00042479i,0.0004518+0.00011434i,0.00085788+0.00048218i,0.00031098+3.9166e-05i,0.00035466-0.00050664i,-5.1732e-05+0.00044896i,0.0066449+0.00091621i,0.00047366+4.8408e-05i,0.00079252+0.00055331i,0.0005569-0.0008794i,0.00060396-0.00052936i,0.00015153+0.001204i,4.0806e-05-3.5317e-05i,0.00064069-0.0012602i,-0.0012078+8.1738e-05i,-0.0053827-0.009292i,-0.00079273+0.021261i,0.029627+0.0043005i,0.030405+0.0019151i,0.01557-0.017485i,0.026083+0.010821i,0.016013+0.033818i,0.020857+0.027855i,0.011891+0.041595i,-0.030693+0.010684i,0.0024829-0.0092083i,0.005127-0.0031875i,0.0082081-0.0039841i,0.010143+0.0056062i,0.0018172+0.0064847i,-0.00817+0.0024025i,0.000366-0.0075792i,0.002709+0.011567i,-0.0027948-0.0027994i,-0.00024324+0.0021704i,-0.00028614+0.00033975i,0.0033924-0.0015458i,0.0045301-0.00038296i,-0.0033417-0.00035917i,0.0037875+0.00022379i,-0.0058907-0.0029814i,-0.0023993-0.00086475i,-0.00023751+0.00015322i,-0.002316-0.0044938i,-0.0022195-0.0032008i,-0.0070828-0.015264i,0.003378+5.6862e-05i,-0.0045817-0.0013665i,-0.0031341+0.0016614i,-0.0061751+0.00068811i,0.0042834+0.0024517i,-0.0067864-0.004852i,0.00039485-0.0064351i,-0.0023767-0.0025107i,-0.0049102-0.0025693i,0.0073426-0.0006083i,0.0030096+0.0025065i,0.002742-0.0021656i,-0.00077285+0.0057683i,0.0042068+0.0030514i,0.0089665+0.011593i,-0.025114-0.0059164i,-0.03098+0.0088756i,-0.019884+0.021661i,0.0032125-0.00033299i,0.0088666-0.0071707i,-0.014478+0.0067381i
