-0.0079358-0.039278i,-0.013689-0.042948i,0.0010109-0.045491i,-0.026948-0.027362i,-0.020543+0.014073i,-0.032737-0.03047i,-0.059984-0.0594i,-0.022138-0.071127i,-0.033417-0.050228i,0.0013497+0.015193i,-0.0066518+0.010646i,-0.014567+0.013759i,0.0016948+0.015962i,-0.0035119-0.0036641i,0.0010268+0.0062102i,0.00025825+0.036962i,0.01909+0.059284i,0.00077443-0.00016171i,-0.0046592-0.0078679i,0.0082346+0.0044833i,0.0016432+0.0011111i,-0.0010593+0.0036034i,0.0001643-0.0013593i,-0.035263-0.00966i,-0.0026079-0.0071542i,-0.00010137+0.0045857i,0.0052289-0.00018438i,0.00023094+0.00050053i,-0.00029154-0.0011433i,3.823e-05-0.0024957i,-0.0015272-0.0054377i,-0.0022468-0.0038196i,-0.00059849-0.0074204i,0.0032362-0.0014709i,0.0031225-0.0023633i,-0.00096412+0.033355i,0.0060694-0.0041123i,0.0033523-0.0023257i,0.0048605+0.00023137i,-0.013428-0.0040385i,-6.844e-05+0.00031799i,0.0094941-0.000832i,0.0059095-0.00060999i,-0.0035651+0.0034939i,0.0025141+0.0016686i,-0.0032167+0.0073569i,0.012748-0.087451i,-0.0074676-0.04881i,-0.024974-0.040289i,-0.020511-0.041885i,0.061528-0.017889i,0.026229-0.06162i,0.038549-0.046064i,0.029054-0.057244i,0.019127-0.015897i,0.0084063+0.010066i,0.024188-0.031216i,-0.0075497-0.0048291i,0.0024188-0.0027276i,-0.0051311-0.0062396i,0.00093723-0.032151i,-0.023764+0.031554i,0.0076684-0.010119i,-0.010832-0.0012165i,-0.0049814-0.0010431i,-0.0012872-0.013894i,-0.01035+0.0040674i,0.003777+0.0078764i,-0.010431+0.031559i,0.005447+0.0079251i,-0.0052075-0.0013036i,-0.0019681-0.0022961i,-0.011518-0.0074794i,0.00054468-0.0036401i,-0.034723+0.0049572i,0.0021959-0.01236i,-0.008695-0.0021086i,-0.006588-0.0027691i,0.0066268+0.0013448i,-0.0096042+0.0019543i,0.0013266+0.000857i,0.0052755+0.0085527i,0.0047259+0.0002283i,-0.0092343-0.0094462i,0.0022938+0.0084633i,-0.01891+0.0067112i,0.0064745+0.0025522i,-0.029338-0.0079268i,-0.033641+0.0031723i,0.023793-0.078881i,0.012768-0.01076i,-0.042913-0.026199i,-0.023259-0.0030424i,0.017972+0.012229i,-0.026299+0.012552i,-0.011749-0.0079965i
-0.011898+0.020661i,0.013075+0.045857i,0.026566+0.044403i,0.00031528+0.016842i,-0.0023766+0.0064541i,0.026521+0.00080836i,0.014157+0.015854i,0.013246+0.043799i,0.0058371+0.019795i,-0.0023471+0.0048217i,0.0010976+0.0017505i,0.0027368-0.0044632i,0.0026099-0.0024219i,0.0034571-0.00036476i,0.003046-0.0023453i,0.0051775-0.00091264i,0.013278-0.0063486i,-0.00044726-0.00064755i,-0.0046235+0.00056959i,-0.00019855+0.0022904i,-0.00053295-0.0010901i,-0.0052196-0.0017413i,-0.0024915+0.000615i,0.0043169+0.0081025i,0.0018776+0.0016716i,0.0025733+0.00071265i,0.0019133+0.0014297i,-0.0015251+0.0035049i,-0.00039684+0.00088654i,-0.00068692+0.0011026i,0.00047539-0.0036458i,-0.0010018-0.0012193i,-0.00056372-0.00048521i,3.5071e-05+0.00074399i,-0.00027329-0.0020114i,-0.0056309+0.010131i,0.0031037+0.000191i,0.00085704+4.2966e-05i,-0.00086817+0.0026409i,-0.00047338-0.0031318i,-0.0022298+0.00055058i,-0.0023892-0.0016372i,0.0011994+0.0083077i,0.0035963+0.00044443i,-0.026636+0.021701i,-0.053668+0.025353i,-0.027828+0.047332i,-0.018152+0.033298i,-0.0032443+0.050173i,-0.0070677+0.031885i,0.0097976+0.011196i,-0.0052537-0.0064624i,-0.037947-0.0067068i,-0.041805+0.017197i,0.0090324+0.020459i,-0.0016537+0.0029553i,-0.0050127+0.0021477i,-0.011732-0.0029419i,0.009527+0.0014868i,0.012517+0.014428i,-0.0023141+0.0081458i,-0.0068411-0.011848i,0.0054027-0.00261i,-0.0045931-0.004156i,0.0037654-0.0070844i,0.0051633-0.0026665i,-0.00099124+0.009814i,0.012042-0.0047016i,0.0072901-0.0065868i,0.0053662-0.0072737i,0.0031942-0.00058409i,-0.0031206-0.006168i,-0.0039493-0.0016055i,0.0028586-0.001223i,-0.012112+0.035111i,-0.0054165-0.0051293i,0.0014157+0.00080615i,-0.00067819-0.0075049i,0.0032595-0.00099004i,-0.014241-0.0047015i,0.0012359-0.00064618i,0.0030434-0.0029581i,0.0023021-0.0023388i,-0.00017747-0.0063355i,-0.00094129+0.0068718i,-0.00047374+0.0030095i,-0.0020095+0.0057186i,-0.011288-0.0017472i,-0.0085838+0.0029352i,-0.038374+0.039885i,-0.0067746+0.016245i,-0.022685-0.0051108i,-0.00030542-0.0013635i,0.010133+0.019335i,-0.00095793+0.019329i,-0.0060001-0.0005115i
-0.0091285+0.020012i,0.019806+0.041595i,0.034259+0.038852i,0.0040346+0.018814i,0.0012996+0.0067943i,0.02627-0.0048295i,0.015217+0.012377i,0.020633+0.039287i,0.0084662+0.017997i,-0.00067008+0.0047497i,0.002089+0.0015449i,0.0002957-0.0034019i,0.0013349-0.0024242i,0.0032898-0.000518i,0.0023599-0.0027771i,0.0043595-0.0010848i,0.009971-0.0089542i,0.0001791-0.00035929i,-0.0043321+0.0011104i,0.00070078+0.0014005i,-0.00097589-0.0013193i,-0.0054795-0.0003892i,-0.0022889+0.00073573i,0.0081118+0.0050985i,0.0016835+0.0019451i,0.0029672-0.00046716i,0.0020399+0.00051732i,-3.2517e-05+0.0036423i,-0.00062166+0.0014864i,-0.00039732+0.0013612i,-0.00099504-0.0033051i,-0.0016501-0.0011177i,-0.00098499-0.0002412i,0.00037398+0.00039653i,-0.0011524-0.00069769i,-0.0019063+0.010614i,0.0026047-0.00099069i,0.00092716-5.3506e-05i,0.00046573+0.002203i,-0.0010644-0.0024996i,-0.0017908+0.00082225i,-0.0028569-0.0006273i,0.0028936+0.0084018i,0.0028789-0.0001166i,-0.021601+0.025902i,-0.04613+0.033564i,-0.021644+0.051605i,-0.010832+0.034796i,0.0097633+0.045922i,0.0021046+0.0293i,0.0051967+0.0045895i,-0.011849-0.010096i,-0.041759-0.0050365i,-0.033299+0.017849i,0.013424+0.01685i,-0.0021615+0.0033239i,-0.0040702+0.0060834i,-0.011918+0.0016926i,0.0080883-0.0020741i,0.014897+0.011039i,0.0019125+0.011486i,-0.012403-0.0096019i,0.0022618-0.0036204i,-0.004308-0.0017341i,-0.0007133-0.0068238i,0.0034647-0.0044141i,0.003548+0.0075715i,0.0081283-0.0076635i,0.002513-0.0081587i,0.001759-0.0052945i,0.0039651-0.0016725i,-0.0043527-0.0045072i,-0.0019707+0.00092676i,0.0029452-0.0016672i,0.0064864+0.0354i,-0.0068889-0.0039357i,0.0020858-0.00086455i,-0.0041059-0.006351i,0.0036471-0.0019306i,-0.01367+0.0019973i,0.0014546-0.0003946i,0.0014967-0.0027126i,0.0021665-0.0033924i,-0.0020254-0.005838i,0.0011457+0.0037093i,0.00091403+0.0025588i,0.0011401+0.0062024i,-0.01079+0.0022403i,-0.0082697+0.0043034i,-0.029899+0.040982i,-0.004018+0.018505i,-0.024414-0.00033789i,-0.0016038-0.00552i,0.012819+0.018288i,0.0029176+0.021271i,-0.0080662-0.00031959i
-0.0073023+0.019837i,0.025221+0.036155i,0.041906+0.03078i,0.010697+0.017451i,0.0055122+0.0054342i,0.024649-0.010611i,0.015345+0.0087727i,0.027004+0.033005i,0.011452+0.016897i,0.00024045+0.0045043i,0.0025109+0.00038761i,-0.00021134-0.0013738i,0.00018017-0.0024355i,0.0032897-0.0010095i,0.0016301-0.0029586i,0.0035294-0.001144i,0.0064916-0.010767i,0.00014546-0.00073066i,-0.004223+0.002363i,0.0007192+0.00024965i,-0.0019688-0.0014187i,-0.0051605+0.0011879i,-0.0023351+0.0010217i,0.0088196+0.00050628i,0.0026227+0.0013443i,0.0022756-0.0017438i,0.0018908-0.00015804i,0.0014426+0.0029939i,0.00027249+0.0017629i,-7.7034e-05+0.0016645i,-0.0022718-0.0022863i,-0.0022838+5.9874e-05i,-0.00098883+0.00022709i,0.00016718+9.6183e-05i,-0.00071885+0.0004837i,0.0010718+0.010069i,0.0017014-0.0015265i,0.00087066-0.00056797i,0.00099865+0.0013999i,-0.0017639-0.0019218i,-0.0016504+0.0010428i,-0.0027569+0.00040626i,0.0052284+0.0083453i,0.0026273-0.00034065i,-0.014811+0.028593i,-0.037557+0.040122i,-0.013508+0.055014i,-0.0028431+0.033418i,0.021079+0.037663i,0.0099096+0.026869i,-0.00086293+0.0019801i,-0.018316-0.0093997i,-0.045068+0.00050361i,-0.026792+0.015553i,0.016596+0.011301i,-0.0023439+0.0039537i,-0.0021007+0.0073298i,-0.011241+0.0054354i,0.0047601-0.0056124i,0.01696+0.0070073i,0.0070215+0.011538i,-0.016042-0.0053275i,0.0009671-0.0021137i,-0.0039233+0.00028958i,-0.0029821-0.0047478i,0.001233-0.0046421i,0.0055956+0.0061104i,0.005368-0.008324i,-0.0020898-0.0067488i,0.0012297-0.0034102i,0.0037494-0.0040229i,-0.0059493-0.0026182i,-0.00026164+0.00061806i,0.0019701-0.0026969i,0.021316+0.026551i,-0.008434-0.001083i,0.001957-0.0019346i,-0.0040935-0.003893i,0.0042213-0.0037468i,-0.0098741+0.0070424i,0.002522-0.00035717i,0.00019707-0.0029014i,0.0007111-0.0034343i,-0.0037871-0.0039488i,0.00026725+0.0027325i,0.0018838+0.0014613i,0.0035199+0.0051758i,-0.0093009+0.0047506i,-0.0078584+0.0063263i,-0.023977+0.041106i,0.00339+0.019687i,-0.023828+0.0039827i,-0.0041692-0.008761i,0.017123+0.015035i,0.0089757+0.022509i,-0.0094915+0.0014136i
-0.0055731+0.019991i,0.028398+0.030908i,0.046162+0.020304i,0.015635+0.01214i,0.0085037+0.0017803i,0.021224-0.015464i,0.014731+0.0061769i,0.030738+0.025636i,0.014916+0.014223i,0.00099186+0.0044822i,0.0022443-1.2316e-05i,0.00049137-0.00041573i,-0.0012799-0.0012343i,0.0028695-0.0014046i,0.00073786-0.0031163i,0.0030733-0.00079335i,0.0025041-0.010561i,0.00025463-0.00073017i,-0.0026673+0.0035692i,5.8327e-05-0.00026555i,-0.0025709-0.00042977i,-0.0044054+0.0029894i,-0.0021175+0.0016178i,0.0070099-0.0030759i,0.0026589+0.00032202i,0.001171-0.0021189i,0.0015049-0.00061013i,0.0020474+0.0018936i,0.0010499+0.00099939i,0.00055175+0.0019343i,-0.0028138-0.00064328i,-0.0018783+0.0012162i,-0.00082399+0.00049907i,-9.6676e-05+0.00019538i,-2.9577e-05+0.0007984i,0.003766+0.0089417i,0.0011059-0.0018321i,0.00038436-0.00091463i,0.0011195+0.0011347i,-0.0021591-0.0013262i,-0.001272+0.0013786i,-0.0024826+0.0011445i,0.0078902+0.0072811i,0.0024549-0.00050211i,-0.0074386+0.028138i,-0.027307+0.044386i,-0.0045223+0.057338i,0.0021088+0.030538i,0.029241+0.025596i,0.017076+0.020405i,-0.0077157+0.0038818i,-0.025519-0.005551i,-0.046835+0.0085229i,-0.023638+0.011585i,0.017633+0.0044864i,-0.0018125+0.0053082i,0.00022875+0.0094637i,-0.0091851+0.0090005i,-0.00056466-0.0055296i,0.018672+0.00080075i,0.011996+0.0090498i,-0.018167+0.00032115i,0.00064056-0.0017374i,-0.0025989+0.0015546i,-0.0039749-0.0016784i,-0.00025957-0.0042125i,0.00737+0.0029505i,0.0026703-0.0087677i,-0.0045674-0.0025011i,0.0017021-0.0028195i,0.0017262-0.0059246i,-0.0059768+0.00031i,0.00078086+0.00062856i,0.0011015-0.0028766i,0.029303+0.012736i,-0.0079887+0.0030249i,0.0015731-0.0030873i,-0.0040509-0.0022776i,0.0026369-0.006368i,-0.0048777+0.0084587i,0.0035637-0.0016836i,-0.00080712-0.0018956i,-0.000223-0.0031974i,-0.0035355-0.0014805i,-0.00018907+0.002945i,0.0018471+0.00011344i,0.0056421+0.0036765i,-0.0077439+0.0062673i,-0.0070372+0.0084809i,-0.018409+0.042761i,0.013441+0.014405i,-0.021496+0.0082725i,-0.009875-0.010406i,0.018902+0.010265i,0.015691+0.020118i,-0.0085791+0.0028246i
-0.0033024+0.020342i,0.031685+0.026715i,0.047465+0.010606i,0.017938+0.0057873i,0.0090193-0.0028182i,0.017452-0.019031i,0.014167+0.0048281i,0.032596+0.01902i,0.01777+0.010682i,0.0019197+0.004209i,0.0020408-0.00017613i,0.0014042-0.00037393i,-0.0014151+0.00073771i,0.002337-0.001886i,2.3358e-06-0.0026207i,0.0032441-0.00028971i,-0.00032955-0.0090925i,-0.00012556-0.00083034i,-0.0013207+0.0034988i,-0.00055439-0.00012062i,-0.0026327+0.00046966i,-0.002536+0.0042051i,-0.0014975+0.0021354i,0.0042663-0.0050636i,0.0022804-0.00047375i,0.00036232-0.0022387i,0.001057-0.00099671i,0.0019394+0.00085664i,0.00089513+0.00037868i,0.0015737+0.0017587i,-0.0022607+0.00063205i,-0.0011429+0.00183i,-0.00059725+0.00060685i,6.7069e-05+0.0008391i,0.00071125+0.00093738i,0.0059529+0.0072322i,0.00036121-0.0018858i,-0.00015-0.00081607i,0.0016976+0.00097793i,-0.0023689-0.000669i,-0.00096131+0.0013179i,-0.0020398+0.0018935i,0.0098124+0.0047442i,0.0019057-0.0011031i,-0.0026699+0.025743i,-0.016717+0.045636i,0.0068594+0.057612i,0.0067202+0.028755i,0.031174+0.01284i,0.01994+0.012751i,-0.010929+0.010467i,-0.029945+0.0035934i,-0.046756+0.01921i,-0.024598+0.0089065i,0.014717-0.0010022i,-0.00020006+0.0063429i,0.0046547+0.00901i,-0.006227+0.011597i,-0.0033298-0.0024941i,0.016879-0.0069808i,0.015533+0.0044924i,-0.018113+0.006092i,0.00077711-0.00067177i,-0.0015143+0.002207i,-0.0023905+0.00014185i,-0.0021256-0.002853i,0.0071076+0.00036529i,2.8037e-05-0.0083495i,-0.0037397+0.0011491i,0.0024113-0.0034348i,-0.00081414-0.0063226i,-0.0041238+0.0022735i,0.0018921-0.00023298i,0.00045606-0.0024049i,0.0298-0.0012374i,-0.0048253+0.0056682i,0.00027299-0.0039178i,-0.0032941-0.0017936i,-0.00012503-0.0072555i,-0.0013167+0.0075729i,0.0031036-0.0034206i,-0.00082906-0.00035779i,-0.00016302-0.0023566i,-0.0019264-0.00052531i,0.00093816+0.0038769i,0.00078086-0.00079142i,0.0060767+0.00093938i,-0.0062699+0.0068005i,-0.0045163+0.010922i,-0.011623+0.043529i,0.017727+0.0020704i,-0.016722+0.0091619i,-0.015987-0.0087872i,0.019799+0.0050571i,0.020686+0.013618i,-0.0087683+0.0027586i
-0.00077875+0.019992i,0.035143+0.021683i,0.047765+0.0014034i,0.018599-0.00072813i,0.0084159-0.0065803i,0.013211-0.021972i,0.014839+0.0037343i,0.03353+0.012822i,0.020153+0.0057968i,0.002469+0.0036649i,0.0023276-0.00024055i,0.0020098-0.00068451i,3.1622e-05+0.002108i,0.0018326-0.0020632i,-0.00022312-0.0022659i,0.0038549-7.8448e-05i,-0.0014816-0.0079028i,0.00011822-0.00087463i,-0.00046742+0.0034303i,-0.00082869+0.00032557i,-0.0021125+0.0012131i,-0.00047053+0.0039261i,-0.0008506+0.002298i,0.00098977-0.0056221i,0.0020933-0.00095043i,-0.00053963-0.002119i,0.00052024-0.0011571i,0.0017715+0.00035703i,0.00072964+0.00020311i,0.002101+0.0008481i,-0.0015477+0.0013737i,-0.00026251+0.0020747i,-0.0004268+0.00087488i,0.00079302+0.00050296i,0.001134+0.00014048i,0.0069846+0.0049522i,-0.00030571-0.0017969i,-0.00033012-0.0004392i,0.0015501+6.7445e-05i,-0.0021736-0.00016542i,-0.00096924+0.0015185i,-0.0013229+0.0023244i,0.010661+0.0021796i,0.0011396-0.00091229i,0.0009141+0.023065i,-0.0071468+0.043971i,0.018184+0.053657i,0.011534+0.02642i,0.029633+0.0017826i,0.019771+0.006129i,-0.0089768+0.01788i,-0.028586+0.015256i,-0.040668+0.032187i,-0.027511+0.0097993i,0.011089-0.0036263i,0.0018397+0.0060675i,0.0073306+0.0065016i,-0.0023412+0.013753i,-0.0036704-4.6723e-05i,0.011118-0.014036i,0.015971-0.0021942i,-0.016037+0.01065i,0.0015898-0.00048318i,-0.00026487+0.0020802i,-0.00093731+0.00019319i,-0.0022108-0.00050391i,0.0058723-0.0013178i,-0.0018914-0.0069696i,-0.0011857+0.0031934i,0.0019042-0.0048654i,-0.0031158-0.0051623i,-0.0025502+0.0026359i,0.0019477-0.0017775i,0.00068435-0.0019493i,0.024442-0.013166i,-0.0015203+0.0061364i,-0.0013833-0.0037208i,-0.0034603-0.0012216i,-0.0029246-0.0066899i,0.0006715+0.0062131i,0.0024552-0.0044506i,0.00048297+0.00013777i,-0.00010253-0.0031086i,-0.00071009-0.0011521i,0.0022684+0.0038221i,-0.00040388-0.0002279i,0.0051809-0.00063822i,-0.0053591+0.0071258i,-0.00078164+0.011697i,-0.0047539+0.043103i,0.013547-0.0086822i,-0.014124+0.0062513i,-0.021362-0.0039165i,0.017895-0.0015504i,0.02151+0.0068258i,-0.0092638+0.004178i
0.0017229+0.019474i,0.037548+0.015753i,0.045814-0.0084395i,0.016272-0.008344i,0.0069998-0.010549i,0.0083184-0.023795i,0.016342+0.0018201i,0.033697+0.0067421i,0.020428+0.00038962i,0.002867+0.0036676i,0.0022311-0.0008015i,0.0023509-0.0020104i,0.0015811+0.0021087i,0.0012104-0.0021494i,-0.00038792-0.0019789i,0.0047776-0.00053695i,-0.0029652-0.0072749i,-0.00051154-0.0012836i,0.00067096+0.0030385i,-0.001049+0.00089164i,-0.0017406+0.0014459i,0.00074819+0.0027145i,-0.00041574+0.0023124i,-0.0020197-0.0046618i,0.0014682-0.0022276i,-0.0013468-0.0014379i,-0.00012824-0.0011864i,0.0016312+1.0312e-05i,0.00092872-6.5559e-05i,0.0020036-0.00011656i,-0.00049787+0.0017304i,0.00048227+0.0020507i,-0.00020053+0.0011515i,0.00071044+0.00017222i,0.00061236-0.00070293i,0.007253+0.003011i,-0.00097814-0.0013494i,-0.00041588-0.00028852i,0.0013168-0.00023557i,-0.0016788+0.00021343i,-0.00060964+0.0019736i,-0.00058771+0.0025645i,0.011046-0.00090901i,0.00072844-0.00041634i,0.0035011+0.020471i,0.00072264+0.04075i,0.027073+0.04672i,0.016394+0.023308i,0.025165-0.0072149i,0.018139+0.0018148i,-0.0030208+0.022308i,-0.020079+0.02422i,-0.027938+0.040849i,-0.029089+0.014308i,0.007773-0.0044466i,0.0033483+0.0049397i,0.0084348+0.0033143i,0.0025539+0.013536i,-0.0039475+0.0017447i,0.0011758-0.016293i,0.013006-0.0074299i,-0.013008+0.014283i,0.0021045-0.0018054i,0.00060081+0.0014502i,-0.00067302-0.00049516i,-0.00070509+0.00076081i,0.0046747-0.0015688i,-0.00314-0.0059766i,0.0013867+0.0031964i,0.00033501-0.0061558i,-0.004474-0.0035186i,-0.0011288+0.0028206i,0.00096096-0.0031342i,0.00083397-0.0027314i,0.015226-0.020046i,0.0009731+0.0054227i,-0.00224-0.0029426i,-0.0030193-0.00083195i,-0.0049467-0.0055289i,0.0018456+0.0048651i,0.001392-0.0060559i,0.0013877-0.00034346i,-0.0010199-0.0032676i,-0.0010574-0.0021865i,0.0040519+0.0034422i,-0.00088473+0.0010439i,0.0044598-0.0016903i,-0.0047382+0.0080535i,0.0024558+0.010658i,0.0020049+0.042221i,0.0061372-0.01547i,-0.015924+0.0030861i,-0.022943+0.0034361i,0.012209-0.0058115i,0.02141+0.00091775i,-0.0077834+0.0052118i
0.0042138+0.018292i,0.039364+0.010251i,0.041359-0.016809i,0.010212-0.013419i,0.0037262-0.01397i,0.0036164-0.02424i,0.017938-0.0011629i,0.032639+0.0013097i,0.019612-0.0050592i,0.0040465+0.0035911i,0.0019965-0.00082811i,0.0011407-0.0033333i,0.0028147+0.0014157i,0.00075528-0.0020156i,-0.00038048-0.0019247i,0.0053332-0.001427i,-0.0049852-0.0053947i,-0.0011497-0.00096526i,0.0013861+0.0021211i,-0.00071157+0.001798i,-0.001301+0.0018855i,0.00086934+0.0012664i,1.4525e-05+0.0023755i,-0.0039438-0.0022893i,-0.00030402-0.0022918i,-0.0016579-0.00060322i,-0.00064026-0.00092996i,0.0013815-0.00019069i,0.00056621-0.00063802i,0.0015578-0.00078953i,0.00053723+0.0014483i,0.0011007+0.0016763i,0.00036457+0.0013559i,0.00063222+9.0544e-05i,-0.00016324-0.00025539i,0.0071451+0.0011684i,-0.0012761-0.00073543i,-0.00049794+6.0373e-05i,0.0012675-0.00032336i,-0.0011865+0.00015496i,0.0001165+0.0023088i,0.00023138+0.0024355i,0.0099903-0.0040644i,0.00057484+0.00015896i,0.0057133+0.0178i,0.0069141+0.036255i,0.032924+0.039162i,0.021108+0.01896i,0.018992-0.012925i,0.015999-0.00090804i,0.0033472+0.023869i,-0.0099484+0.027023i,-0.013576+0.043739i,-0.02778+0.020326i,0.0059899-0.0042064i,0.0044679+0.0034567i,0.0079529+0.00059108i,0.007015+0.011124i,-0.0031541+0.0041088i,-0.0075527-0.012425i,0.008682-0.010404i,-0.0090741+0.017107i,0.0014469-0.0034592i,0.00091185+0.00082012i,-0.0010328-0.00052531i,0.0011041+0.00087743i,0.0043068-0.0019027i,-0.004649-0.0046209i,0.0031619+0.0018611i,-0.0026327-0.0064124i,-0.0048801-0.0015393i,0.00032285+0.0019681i,0.00014728-0.003668i,0.00018656-0.0038408i,0.0056887-0.021766i,0.0026881+0.0039835i,-0.0027632-0.0023587i,-0.0036957-0.00072999i,-0.0065728-0.0034131i,0.0022282+0.0039508i,-0.0010378-0.0074492i,0.002163-0.0013029i,-0.001675-0.0025404i,-0.0016104-0.0024155i,0.0051809+0.0022962i,-0.00032204+0.002164i,0.0032839-0.0025207i,-0.0035349+0.0091888i,0.0048898+0.0087174i,0.0097699+0.040318i,-0.0040825-0.019292i,-0.019811+0.003001i,-0.020476+0.010402i,0.0070069-0.0056405i,0.0184-0.0055577i,-0.0062574+0.0038439i
0.0062941+0.016595i,0.040699+0.0036483i,0.036021-0.022918i,0.0043417-0.014323i,-0.00025186-0.015883i,-0.00032709-0.024141i,0.018837-0.0055802i,0.031479-0.0035168i,0.017157-0.010085i,0.005312+0.0026313i,0.0023723-0.0010588i,-0.00033437-0.0031309i,0.0034335-0.00020517i,0.00044152-0.0019591i,-0.00054592-0.0020179i,0.0057142-0.0023923i,-0.005543-0.0030034i,-0.0013083-0.00092053i,0.0014384+0.0012075i,0.00018205+0.0020408i,-0.00079529+0.0020703i,0.00047977+0.0004235i,0.00054595+0.0023274i,-0.0044706+0.00075114i,-0.0011349-0.0012254i,-0.0016273+0.00015611i,-0.00090887-0.00061116i,0.0010742-0.00043931i,-6.3543e-05-0.00033695i,0.00085968-0.001258i,0.0012297+0.00077235i,0.0015581+0.0011719i,0.0010479+0.0010894i,0.00084414+3.5905e-05i,-0.00016033+0.00049519i,0.0064646-0.00048682i,-0.0014917-6.8599e-06i,-0.00025872+0.00037166i,0.0012463-0.00081826i,-0.00071026-5.4409e-05i,0.00093519+0.002122i,0.00097177+0.0020707i,0.0076717-0.0065426i,0.00065517+0.00058897i,0.0067016+0.015282i,0.01082+0.031407i,0.03715+0.031839i,0.024269+0.01275i,0.012917-0.016005i,0.014458-0.0010865i,0.010357+0.023395i,-0.00073811+0.027394i,-0.00051392+0.04153i,-0.023815+0.026594i,0.0049692-0.0047358i,0.0051938+0.0013348i,0.0074347-0.0015025i,0.010119+0.0071337i,-0.00086014+0.0049879i,-0.012055-0.0056505i,0.003611-0.011677i,-0.0040536+0.018026i,-0.00062488-0.004086i,0.00042105+0.00067646i,-0.0012321-0.00018634i,0.0021702-6.4813e-05i,0.0038412-0.0017365i,-0.0052165-0.0023581i,0.0036137+5.5016e-05i,-0.0051304-0.0045073i,-0.0040244+0.00014171i,0.00050507+0.00069215i,-0.00078911-0.0042623i,-0.0012249-0.0041985i,-0.0024475-0.01996i,0.0040464+0.0019969i,-0.0036843-0.0015636i,-0.0040351+0.00087683i,-0.0068315-0.00048435i,0.0028936+0.0036637i,-0.004694-0.0073332i,0.0023623-0.0029367i,-0.0019222-0.0022555i,-0.0023478-0.0029669i,0.0062725+0.00097219i,0.00069925+0.0026817i,0.0019172-0.0020306i,-0.0016968+0.0095845i,0.0063335+0.0062462i,0.017378+0.036i,-0.015227-0.017148i,-0.023117+0.0053555i,-0.015211+0.014004i,0.004342-0.0044649i,0.0128-0.0087716i,-0.0076118+0.0029806i
0.0076822+0.014912i,0.040594-0.0034042i,0.030694-0.027997i,0.00033479-0.013546i,-0.0043686-0.016513i,-0.0045367-0.023948i,0.018151-0.011219i,0.030047-0.0085295i,0.013388-0.014197i,0.0061371+0.0012368i,0.0026619-0.0019983i,-0.0013646-0.0023391i,0.0028994-0.0017278i,0.00018743-0.0018326i,-0.0011406-0.0022032i,0.0058969-0.0037238i,-0.0053263-0.0010169i,-0.0018059-0.00081751i,0.001315+0.00068406i,0.00093754+0.0018466i,-0.00027949+0.002233i,-0.0002353+0.000267i,0.00094506+0.0020698i,-0.0032168+0.0034491i,-0.00098358-0.00020373i,-0.0013256+0.0009285i,-0.0010525-0.00019466i,0.00075131-0.00052015i,-0.00011294-5.8176e-06i,-3.7069e-05-0.0013042i,0.001498-6.2951e-05i,0.0018973+0.00066386i,0.0013945+0.00070443i,0.00081308-0.00068522i,0.00042776+0.00077097i,0.0055723-0.0017761i,-0.0012255+0.00071601i,0.00010232+0.00048277i,0.00038904-0.0011102i,-0.00026264-0.00050014i,0.001661+0.001781i,0.0014797+0.0015004i,0.004975-0.0073887i,0.0010586+0.0014892i,0.0072594+0.013461i,0.013247+0.027675i,0.040148+0.024469i,0.02499+0.0073433i,0.0068313-0.017777i,0.01593-0.00069846i,0.01686+0.020165i,0.0091446+0.024574i,0.011153+0.035162i,-0.01637+0.031075i,0.003529-0.0054464i,0.004533-0.0017237i,0.0065803-0.0037369i,0.010508+0.0021845i,0.00054399+0.0045508i,-0.012848+0.0018195i,-0.0012946-0.010771i,7.2916e-05+0.016542i,-0.0025914-0.0031164i,0.00026746+0.0011679i,-0.0012592+0.00032882i,0.0028647-0.0015058i,0.0044872-0.00096542i,-0.0042931-0.00073341i,0.0036631-0.00043516i,-0.0060354-0.0021124i,-0.0029419+0.00091316i,0.00014343+0.00029953i,-0.0030107-0.0046126i,-0.002644-0.0035516i,-0.0090615-0.01655i,0.0042456-0.00044129i,-0.0040621-0.00029835i,-0.0027397+0.0021066i,-0.0059921+0.0015997i,0.0041517+0.0031675i,-0.0074683-0.0047072i,0.0011099-0.0046793i,-0.0026521-0.0017005i,-0.0041655-0.0025609i,0.0068255-0.0017768i,0.002096+0.0030229i,0.0022336-0.0015886i,0.0005036+0.010072i,0.0063748+0.0036402i,0.023525+0.029654i,-0.021828-0.0091028i,-0.025858+0.010214i,-0.010023+0.015395i,0.0019585-0.0024981i,0.0081456-0.0084626i,-0.0083134+0.0032835i
