-0.031305-0.038773i,-0.020909-0.020082i,-0.013365-0.035656i,-0.029644-0.019704i,-0.022152-0.00035298i,-0.013783-0.0056833i,-0.05469-0.058573i,-0.046778-0.017272i,-0.03711-0.010434i,0.012514+0.011518i,-0.0077305+0.0042801i,-0.019389+0.019157i,0.0018543+0.011432i,-0.0058862-0.0022036i,9.5065e-05+0.0014097i,-0.0018427+0.030405i,0.025417+0.025386i,0.0024113-0.0020063i,-0.0023786-0.0070741i,0.0073101+0.003957i,0.0027126+0.00068722i,6.5849e-05+0.0038069i,-0.00033214+0.00030149i,-0.036231-0.011424i,-8.4987e-05-0.0078701i,0.0014594+0.002065i,0.0071078+0.0012458i,0.0016678+0.00073304i,0.0011458-0.00052945i,-0.00043626-0.0025016i,0.0014532-0.0023542i,-0.0020398-0.0062509i,-0.00070685-0.0050229i,0.0028762-0.00064805i,0.0046906-0.0030469i,0.00097126+0.029774i,0.0042322-0.0036054i,0.002867-0.0017905i,0.0081365-0.0014188i,-0.0065124-0.0035087i,-0.00012828+0.00085111i,0.0091331-0.00077035i,0.0046224-0.0024727i,-0.0012757+0.0083828i,-0.017433-0.0076127i,-0.018741+0.014704i,-0.0025604-0.061588i,-0.0053566-0.026605i,-0.026523-0.032434i,-0.010668-0.027281i,0.054623-0.020035i,0.017034-0.042654i,0.023134-0.047404i,0.0046602-0.054004i,0.027368-0.021255i,0.0082171+0.0058795i,0.025547-0.034518i,-0.0079686-0.0067783i,0.004149-0.0048234i,-0.0046482-0.0069774i,-0.00103-0.033282i,-0.018129+0.028872i,0.0090527-0.01201i,-0.0091725-0.0040796i,-0.0040714-0.0014351i,0.00054597-0.01327i,-0.011357+0.0042949i,0.0025408+0.010308i,-0.0046337+0.025114i,0.0051097+0.0027833i,-0.0051706-0.0020528i,-0.0021186-0.002092i,-0.013378-0.0081318i,-0.00047642-0.0040849i,-0.02381+0.0057173i,0.0012023-0.011043i,-0.0084179-0.00012734i,-0.0069235-0.0021637i,0.0051701+0.0016835i,-0.0078309-0.00047324i,0.0027191+0.00031806i,0.0035663+0.0069649i,0.0046254+0.00046383i,-0.0071773-0.013137i,0.002638+0.0096023i,-0.0151+0.0046737i,0.0068655-2.1237e-05i,-0.021965-0.0013748i,-0.017401+0.0061463i,-0.011634-0.068547i,0.0079401-0.012944i,-0.048436-0.023205i,-0.020757+0.00016088i,0.017366+0.011731i,-0.022842+0.014519i,-0.018918-0.0051658i
0.026849+0.034258i,0.013957+0.014546i,0.017481+0.024577i,0.0060405+0.018989i,0.0082948+0.0069726i,0.0044857-0.00094485i,0.015017+0.01145i,0.015333-0.0023486i,0.0077683-0.0071486i,0.0022967+0.0036088i,0.0018962-0.002689i,0.00077574-0.0050005i,-0.0018728+0.00079898i,0.0012782-0.0014998i,0.0018865-0.00060845i,0.00532-0.0025461i,0.0062106-0.0049284i,0.0001706+0.00011964i,-0.0046321+0.0010483i,-1.0032e-05+0.00059628i,-0.00078894-0.0010052i,-0.0026086-0.0010791i,-0.0016087+0.00084573i,0.0043269+0.0098004i,-0.0011023+0.0010893i,0.00050048+0.0016785i,0.001142+0.00094802i,-0.0016887+0.0027411i,-0.00095365+0.00037247i,-0.0015197+0.00044176i,-0.0014624-0.0014337i,-0.0035073-0.00022579i,-0.00013691+0.0001482i,0.00026671+0.00043679i,-0.00016754-0.00097404i,-0.010058+0.0094711i,0.0017226-0.0001507i,0.00068121+0.0010515i,0.0021579+0.0027637i,0.0002558-0.001307i,-0.00046414-0.00090413i,0.00033214-0.0018487i,0.0012098+0.0012419i,-0.0004824+0.0011819i,0.019564+0.013422i,-0.022929+0.011335i,-0.011606+0.016679i,-0.022597+0.011697i,-0.0042598+0.03759i,-0.020169+0.020732i,0.0024238-0.0047326i,-0.010918-0.017529i,-0.017841-0.0011987i,-0.0069664+0.012224i,0.017147+0.019655i,-0.00023647+0.0023806i,-0.0036261+0.00093454i,-0.012339-0.004548i,0.011389+0.0012711i,0.011868+0.0092664i,-0.00085843+0.0056998i,-0.0049281-0.0075972i,0.0059913-0.0029567i,-0.0033252-0.004263i,0.0037281-0.0083224i,0.0089703-0.0028373i,-0.0015401+0.010778i,0.011717-0.0059797i,0.0044109-0.0077671i,0.0029655-0.0092834i,0.0022516+0.00070743i,-0.0021946-0.0059267i,-0.003608-0.0016322i,0.0026438-0.00028588i,-0.0074129+0.034815i,-0.0077463-0.0048249i,0.0001132+0.0010781i,-0.0017346-0.0072702i,0.0031021-0.00043876i,-0.017066-0.0070833i,-0.0012618-0.0037552i,0.0027561-0.0023159i,0.0034373-0.001463i,-0.0025768-0.0076398i,-9.1207e-05+0.0070991i,0.00011751+0.0033271i,-0.0033103+0.0047984i,-0.0076114+0.0023703i,-0.006269-0.0014454i,-0.0067174+0.028574i,-0.0026286+0.014743i,-0.027928-0.0093463i,-0.0013753-0.0025177i,0.013862+0.018623i,-7.5267e-05+0.018535i,-0.00083351-0.0046704i
0.032151+0.028217i,0.016487+0.010921i,0.021752+0.021421i,0.0092897+0.018541i,0.010374+0.005721i,0.0046287-0.0022593i,0.01494+0.007895i,0.014681-0.0049583i,0.0060424-0.0087488i,0.0032469+0.0025867i,0.0015819-0.0027486i,-0.0012196-0.0035351i,-0.0014425+0.0016239i,0.0009761-0.00041653i,0.0017226-0.00088976i,0.0041029-0.0029044i,0.0044453-0.0059957i,0.00063965+5.7209e-05i,-0.005098+0.000936i,0.00030237+2.0985e-05i,-0.00084246-0.0012045i,-0.0027358-0.00045289i,-0.0012263+0.00098345i,0.009514+0.0074939i,-0.0011276+0.002288i,0.0013873+0.0012117i,0.0010748+7.8983e-05i,-0.00055585+0.0029148i,-0.0012778+0.00087408i,-0.0013483+0.0011236i,-0.002005-0.0007075i,-0.0026789+0.00038181i,-0.00025506+8.1736e-05i,0.00049259+6.5533e-05i,-0.00080037-0.00027865i,-0.0061528+0.011141i,0.0012595-0.00073982i,0.00099162+0.0010285i,0.0021935+0.0013927i,8.9434e-06-0.0010969i,-0.0009101-0.0011425i,-0.00043787-0.001009i,0.0011153+0.001072i,-0.00067839+0.0013913i,0.022536+0.01027i,-0.018663+0.014744i,-0.010688+0.019298i,-0.017641+0.013359i,0.0075786+0.034063i,-0.013481+0.019275i,-0.0045608-0.0081438i,-0.01884-0.019045i,-0.018916-0.0012074i,-0.001054+0.0085685i,0.019451+0.013002i,-0.00083898+0.0022963i,-0.0025038+0.0046768i,-0.012454-0.00024469i,0.0099603-0.0030208i,0.013605+0.006052i,0.0024075+0.0086278i,-0.0091987-0.0065398i,0.0022084-0.0045694i,-0.003621-0.0020605i,-0.0013729-0.0075055i,0.0070448-0.0055596i,0.0033056+0.0089076i,0.0070211-0.0089527i,0.00016659-0.0081023i,-0.0010139-0.0061008i,0.0037422-6.0645e-05i,-0.0033795-0.005148i,-0.0020856+0.0010548i,0.0032354-0.00065262i,0.0090181+0.030778i,-0.0096017-0.002458i,0.0009398+0.00044112i,-0.0047184-0.0055233i,0.0038661-0.0017168i,-0.017993+0.00058371i,-0.0020455-0.0030028i,0.0015486-0.0023295i,0.0033016-0.0030443i,-0.0045918-0.0058471i,0.0020841+0.0033139i,0.0014425+0.0025739i,-0.00030817+0.0059017i,-0.0052837+0.0050672i,-0.0071023-0.00045346i,-0.0003504+0.024829i,5.518e-05+0.016306i,-0.029128-0.0034492i,-0.003367-0.0062646i,0.016846+0.016023i,0.0034773+0.019532i,-0.003173-0.0049695i
0.035664+0.021256i,0.01731+0.0062396i,0.026152+0.016066i,0.013921+0.016054i,0.012541+0.0037464i,0.0043823-0.0039177i,0.014197+0.0043749i,0.013526-0.0078149i,0.0042898-0.009367i,0.0032941+0.0014311i,0.00084128-0.0032963i,-0.0014767-0.0017379i,-0.00067638+0.0016677i,0.0017481-0.00039093i,0.0015032-0.0011573i,0.0030635-0.0032535i,0.0022423-0.0068928i,0.0006113-0.00037577i,-0.0034245+0.0017146i,2.8896e-05-0.00066664i,-0.0016521-0.0016869i,-0.002478+0.00013491i,-0.00098435+0.0010815i,0.011566+0.0019824i,-4.2907e-05+0.0030213i,0.0015957+0.00026751i,0.00056635-0.00026066i,0.00055419+0.0025546i,-0.0008932+0.0015611i,-0.00085268+0.0016763i,-0.0022463+0.00031954i,-0.0025096+0.0019402i,-0.00028148+0.00015343i,0.00063906-0.00030981i,-0.00068214+0.00060236i,-0.0026044+0.012334i,0.00069091-0.00077581i,0.0013654+0.00047518i,0.0018854+0.00072772i,-0.00032374-0.0011199i,-0.0015432-0.0010257i,-0.00049765-0.00082911i,0.0012491+0.0012652i,-0.00050915+0.0018791i,0.026134+0.0059579i,-0.01423+0.01704i,-0.0077064+0.022851i,-0.011855+0.01284i,0.017972+0.026495i,-0.0064776+0.018941i,-0.011966-0.0071784i,-0.02579-0.0166i,-0.016612+0.0038411i,0.0019795+0.0034908i,0.019428+0.0070027i,-0.0013736+0.0023711i,-0.00095916+0.0048064i,-0.012321+0.0031934i,0.006127-0.0074746i,0.014514+0.0018729i,0.0062686+0.008379i,-0.013242-0.0038526i,0.00045161-0.0032909i,-0.0034735-0.00014005i,-0.0036492-0.0049815i,0.0047273-0.0068132i,0.006215+0.0077049i,0.0040078-0.0088387i,-0.004911-0.0058849i,-0.0013727-0.0031933i,0.0043209-0.0023065i,-0.0052933-0.0033569i,-2.0689e-05+0.0010832i,0.0027267-0.0018761i,0.020173+0.02259i,-0.010641+0.00096816i,0.0014397-0.0001889i,-0.004542-0.0036804i,0.0041884-0.0038011i,-0.014218+0.0081721i,-0.0020305-0.0019912i,0.0004997-0.002389i,0.0016903-0.003787i,-0.0055789-0.0034702i,0.0011596+0.0022457i,0.0021299+0.0013368i,0.0021138+0.0052128i,-0.0028141+0.005251i,-0.0078672+0.0014413i,0.0025529+0.020667i,0.0072942+0.015849i,-0.028425+0.00090837i,-0.0067675-0.0084868i,0.01988+0.010533i,0.0084808+0.019947i,-0.0052141-0.0042535i
0.037183+0.014474i,0.016277+0.0028425i,0.027728+0.0094076i,0.016966+0.011029i,0.013976+0.0006265i,0.0032656-0.0053859i,0.012784+0.0020578i,0.011554-0.010394i,0.0029146-0.0099017i,0.0028047+0.00086019i,-0.00022694-0.0026993i,-0.00088775-0.00085236i,-0.0005646+0.0018192i,0.0016442-0.00052224i,0.0010976-0.0014065i,0.0018678-0.0030062i,0.00013433-0.0063115i,0.00045164-0.00044676i,-0.0018058+0.0026866i,-0.00058634-0.00085479i,-0.0024302-0.00072629i,-0.00237+0.00061718i,-0.00077619+0.0011697i,0.010507-0.0030315i,0.0011588+0.003038i,0.0014705-0.00039428i,0.00021622-0.00014134i,0.0010639+0.0019289i,-0.00020754+0.0016574i,-0.00016278+0.0018949i,-0.0019245+0.0014011i,-0.0012971+0.0025966i,-0.00026835+0.00022505i,0.00042214-0.00038509i,-0.00016266+0.0010315i,0.0016787+0.01125i,0.00043729-0.00084247i,0.0013004-0.0001271i,0.0016209+0.00060365i,-0.00083622-0.00075713i,-0.0020554-0.00047993i,-0.00086689-0.0009713i,0.0017253+0.0012857i,-0.00019062+0.0023001i,0.028138-0.00065959i,-0.0091946+0.01859i,-0.0028976+0.025429i,-0.0095447+0.0099004i,0.025382+0.014987i,0.0002405+0.014894i,-0.018513-0.0021632i,-0.032574-0.010698i,-0.021532+0.019691i,0.0020622-0.0017275i,0.019448+0.0006368i,-0.0016374+0.0031955i,0.0002367+0.0062758i,-0.011602+0.0072169i,-0.00015513-0.0075864i,0.013847-0.0029833i,0.0096628+0.006335i,-0.015584+0.00086656i,-0.00072834-0.0023173i,-0.0026316+0.0011879i,-0.0047862-0.0016438i,0.002684-0.0075467i,0.0088129+0.0039438i,0.0017298-0.0089658i,-0.0055925-0.0004707i,-0.00048848-0.0020093i,0.0030557-0.0046583i,-0.005972+6.4645e-05i,0.00099067+0.00067908i,0.0018365-0.0027228i,0.028013+0.0093905i,-0.0091756+0.0058315i,0.0017788-0.0011473i,-0.0042809-0.0018755i,0.0022337-0.0064233i,-0.0079535+0.010698i,-0.0015915-0.0015634i,-0.00022196-0.0015717i,0.00032147-0.0038577i,-0.0055628-0.0015309i,0.0010869+0.0022458i,0.001754+0.00020046i,0.0044005+0.0042268i,-0.00094655+0.0042016i,-0.0079271+0.0034087i,0.0038836+0.018485i,0.015818+0.0086685i,-0.026242+0.0057327i,-0.01176-0.008952i,0.018671+0.004948i,0.013881+0.017951i,-0.0054894-0.0032408i
0.038389+0.0080961i,0.015812+0.00076337i,0.027632+0.0037433i,0.018234+0.0058831i,0.014296-0.0027089i,0.0019485-0.0062905i,0.011666+0.0010735i,0.0091078-0.012266i,0.0016359-0.010565i,0.0026291+0.00045959i,-0.00027615-0.0023524i,-0.00032779-0.00067959i,-0.00037727+0.0022518i,0.0016031-0.00091179i,0.00068686-0.0013323i,0.001398-0.0021319i,-0.00089113-0.0053814i,0.0001829-0.00042776i,-0.00065926+0.0025362i,-0.0011804-0.00061623i,-0.00252-3.7838e-05i,-0.0018585+0.0012585i,-0.00050406+0.0013342i,0.0075243-0.0063115i,0.0022938+0.0025318i,0.0014113+0.00087382i,-5.2839e-05-2.1021e-05i,0.0013522+0.0014467i,0.00018205+0.0015851i,0.00071451+0.0018213i,-0.0010028+0.0021511i,-0.00054973+0.0025118i,-0.00046467+0.00025972i,0.0003491-0.00010587i,0.00054626+0.0012744i,0.0043035+0.0094735i,4.0514e-05-0.0008158i,0.00084069-0.00060481i,0.0018261+0.00049938i,-0.0008785-0.00022593i,-0.0022437-9.3927e-06i,-0.0011775-0.0010477i,0.0021709+0.00077314i,0.00013917+0.0022589i,0.027508-0.007782i,-0.0033557+0.018563i,0.0032095+0.025882i,-0.0089786+0.0094796i,0.02637+0.0023613i,0.0028072+0.0092573i,-0.020714+0.0062532i,-0.035811-0.00095425i,-0.025189+0.020592i,-0.000795-0.00533i,0.015097-0.0045956i,-0.0010146+0.0042538i,0.0036757+0.0060093i,-0.0090864+0.010424i,-0.0035937-0.0043034i,0.011004-0.0083691i,0.012579+0.0024438i,-0.017465+0.0070447i,-0.00095561-0.00044269i,-0.001524+0.0018594i,-0.0030879+0.00056423i,-0.00056862-0.0070792i,0.0089469+0.00038418i,-0.0007642-0.0085699i,-0.0037283+0.0024058i,0.00027125-0.0020401i,0.00072033-0.0057632i,-0.0043741+0.0022042i,0.0022673-0.000333i,0.0010585-0.002775i,0.027423-0.0051338i,-0.0048454+0.008395i,0.0012308-0.0022748i,-0.0032969-0.0016228i,-0.00068153-0.0072161i,-0.0035799+0.010419i,-0.0022082-0.0019611i,-7.3852e-05-0.00030089i,-0.00010652-0.003176i,-0.0049426+0.0011007i,0.0016045+0.0024156i,0.00080424-0.00029792i,0.0057005+0.0010937i,-0.0010404+0.0024585i,-0.0070311+0.00577i,0.0061745+0.017455i,0.017379-0.0040178i,-0.021903+0.0066935i,-0.016677-0.0075138i,0.017346+0.0010866i,0.018048+0.012i,-0.0062849-0.0032887i
0.038846+0.0012575i,0.015823-0.0016741i,0.027519-0.0018969i,0.018545+0.00068902i,0.014061-0.0059797i,0.00051478-0.0069051i,0.011829+0.00035272i,0.0066044-0.013574i,0.00011425-0.011338i,0.0020818+0.00010809i,-0.00079139-0.0022143i,3.7194e-05-0.00067022i,0.00052904+0.0026645i,0.0014251-0.00098351i,0.00052658-0.0013039i,0.0017416-0.0014323i,-0.0016264-0.0052888i,0.00018333-0.00045547i,0.00018706+0.0021163i,-0.0014901-0.00012867i,-0.0020839+0.00059356i,-0.0010403+0.0014111i,-0.0001702+0.0013925i,0.00393-0.0077755i,0.003415+0.001694i,0.00066179-0.00035056i,-0.00015692+0.00010939i,0.0015392+0.00098925i,0.00063599+0.001482i,0.0013375+0.0012693i,5.7634e-05+0.0023636i,0.00025773+0.0028524i,-0.00048224+0.00062849i,0.00051988-0.00015897i,0.001033+0.00092281i,0.0058782+0.0072682i,-0.00025954-0.0006014i,0.0004584-0.00069729i,0.0017675+0.00017794i,-0.00056316+0.00012826i,-0.0023048+0.00067124i,-0.0019303-0.00082146i,0.0023836+0.00025659i,0.00035878+0.0025264i,0.025122-0.014183i,0.0016497+0.016497i,0.0094953+0.024385i,-0.0077553+0.0098554i,0.023225-0.00854i,0.0022865+0.0053958i,-0.017988+0.014796i,-0.033639+0.010077i,-0.019011+0.026294i,-0.0048508-0.0056694i,0.010918-0.0064338i,0.00020411+0.0046658i,0.0056587+0.0035738i,-0.0051697+0.013081i,-0.0046125-0.0014769i,0.0049958-0.01289i,0.012577-0.0029443i,-0.01372+0.014516i,0.00015208+0.00055911i,-0.0003513+0.0018591i,-0.0015169+0.00078697i,-0.0023412-0.0050854i,0.0074818-0.002167i,-0.0024439-0.007369i,-0.000727+0.003683i,0.00053816-0.0030278i,-0.0014554-0.0052263i,-0.0028915+0.0030634i,0.0021539-0.0023786i,0.00080824-0.0027555i,0.019034-0.016763i,-0.00067496+0.0082225i,0.00018605-0.0024455i,-0.0036374-0.00108i,-0.0037216-0.0064638i,-0.00038349+0.0095866i,-0.0011644-0.00041621i,0.001277-0.00012918i,-0.00058051-0.0038609i,-0.0020631+0.0021483i,0.0027797+0.00098565i,0.00010015+0.00031927i,0.0075285+0.0011092i,-0.002227+0.0014469i,-0.0048595+0.0073961i,0.0089528+0.015905i,0.011132-0.013772i,-0.020365+0.0037622i,-0.021319-0.0023754i,0.014224-0.0038528i,0.018231+0.0065309i,-0.0069405-0.0024807i
0.037612-0.0056153i,0.01508-0.0045127i,0.025171-0.0084646i,0.016805-0.0052555i,0.013114-0.009489i,-0.0012253-0.0070706i,0.012774-0.0010168i,0.0039681-0.014741i,-0.0018581-0.011634i,0.0015668+0.00039994i,-0.0014947-0.0018673i,-1.1064e-05-0.0013718i,0.0013612+0.0024519i,0.0011733-0.0012436i,0.00034295-0.001287i,0.0023799-0.0015886i,-0.0028005-0.0049275i,-0.00013365-0.00059754i,0.00074004+0.0014532i,-0.0017022+0.0004406i,-0.0021734+0.00078404i,-0.00034548+0.00098093i,0.00012846+0.0013457i,0.0015594-0.0065779i,0.0038748-0.00022965i,0.00041079-0.00073988i,-0.00046418+0.00032407i,0.0015384+0.0005546i,0.0011951+0.0011243i,0.0015582+0.000533i,0.0011458+0.002129i,0.0011731+0.0028582i,-0.00053607+0.00098319i,0.00050727-0.00024911i,0.0011571+0.00044545i,0.0067251+0.0054724i,-0.00048836-0.00042376i,7.1058e-05-0.00068342i,0.0019669-0.00010436i,-0.00017359+0.00014693i,-0.0020164+0.0013898i,-0.0019868-6.2277e-05i,0.0023427-0.00049158i,0.00059344+0.0034002i,0.021192-0.019736i,0.0055086+0.013184i,0.014651+0.020358i,-0.0052846+0.01078i,0.017589-0.016084i,0.0010392+0.0036938i,-0.011932+0.020191i,-0.02598+0.017895i,-0.0091716+0.029566i,-0.0078595-0.0033969i,0.0077676-0.0067234i,0.00148+0.0042354i,0.0055832+0.00054173i,-0.00039512+0.013838i,-0.0051961+0.00088341i,-0.003844-0.012639i,0.0098477-0.0074539i,-0.0075567+0.015712i,0.0018223-0.00026489i,0.00047036+0.0013105i,-0.00098688+0.00016578i,-0.0025019-0.0034113i,0.0059223-0.0029289i,-0.003368-0.0068578i,0.0014524+0.0029058i,-0.0005499-0.0046569i,-0.0031951-0.0040981i,-0.00096402+0.00372i,0.00058194-0.0034983i,0.00021309-0.0033179i,0.0097661-0.019135i,0.0024327+0.0065718i,-0.00025269-0.0024424i,-0.0030638-0.00068015i,-0.0055447-0.0048025i,0.0020213+0.0083355i,-0.00038166-0.0013194i,0.0019254-0.00097645i,-0.0028863-0.0031907i,-0.00076305+0.0011972i,0.0032763+0.0014994i,0.00016535+0.0012896i,0.0049611-0.00074073i,-0.0037816+0.0017863i,-0.0027427+0.0075144i,0.011893+0.01413i,0.0024018-0.019564i,-0.02376+0.0019853i,-0.021653+0.0045223i,0.0079467-0.0060968i,0.017757+0.0013093i,-0.0065794-0.0022855i
0.035574-0.011668i,0.014401-0.0064819i,0.020747-0.012923i,0.012556-0.0094677i,0.011079-0.012813i,-0.0026934-0.006584i,0.013763-0.0030763i,0.00098446-0.015231i,-0.0036493-0.011707i,0.0019443+0.00099017i,-0.0017463-0.00096404i,-0.00090036-0.0016233i,0.0021475+0.0022554i,0.00075563-0.0012342i,0.00016067-0.0012494i,0.002699-0.0018941i,-0.0043769-0.0037928i,-0.00036945-0.00041193i,0.00090742+0.00074382i,-0.0015586+0.0012708i,-0.0020525+0.0015719i,-0.00043643+0.0004018i,0.00043479+0.0012613i,-0.0052698-0.0023012i,0.0029914-0.0018167i,2.3951e-05-0.00070093i,-0.00044064+0.00068079i,0.0014266+0.00032477i,0.0012993+0.0004239i,0.0014806-6.6677e-05i,0.0020187+0.0014109i,0.0021706+0.0023096i,-0.00014897+0.0016933i,0.00036552-0.00024561i,0.0010367+0.00050054i,0.0072674+0.0033719i,-0.00062394-0.00014915i,-0.00022241-0.00046429i,0.0021046-0.00067169i,0.00022134+7.9185e-05i,-0.0014453+0.0022475i,-0.0017906+0.0004641i,0.0020158-0.0010388i,0.001769+0.0034215i,0.015824-0.023913i,0.0078444+0.0092358i,0.01745+0.015714i,-0.0019989+0.010523i,0.01107-0.020696i,-0.00022654+0.0036589i,-0.0051054+0.022436i,-0.017817+0.020694i,0.0017653+0.029193i,-0.0087023+0.00049364i,0.0061079-0.0067798i,0.0027098+0.0034617i,0.0042483-0.0012264i,0.0046038+0.012617i,-0.0043928+0.0039741i,-0.010364-0.0069742i,0.0061641-0.009431i,-0.0034256+0.01594i,0.0017302-0.0022896i,0.0007835+0.00088657i,-0.0011269+0.00011891i,-0.0021648-0.0022547i,0.0048393-0.0037051i,-0.005091-0.0060979i,0.0023413+0.0014211i,-0.0036469-0.0051206i,-0.0039859-0.0023202i,0.0011034+0.0027182i,-0.00022951-0.0038431i,-0.00092281-0.0038064i,0.0029092-0.018501i,0.0041535+0.0042834i,-0.00081009-0.0026454i,-0.0036466-0.00035193i,-0.0066108-0.0022486i,0.0035752+0.0072092i,-0.0011239-0.0024962i,0.0023312-0.0019757i,-0.0042641+0.00056221i,-5.8648e-05+0.00033411i,0.0038254+0.00082409i,0.00093285+0.0016781i,0.0035326-0.0020853i,-0.0047759+0.0036761i,-0.0011362+0.0069002i,0.015534+0.011643i,-0.0086607-0.020995i,-0.02793+0.0038993i,-0.018425+0.0098164i,0.0034465-0.0037418i,0.014524-0.0036164i,-0.0067832-0.0034755i
0.032777-0.017571i,0.013927-0.0092524i,0.016969-0.015197i,0.0082293-0.010791i,0.0082072-0.015608i,-0.0037148-0.0058702i,0.014856-0.0062762i,-0.0019417-0.01504i,-0.0056637-0.011578i,0.0028388+0.0010528i,-0.0012408-0.00019598i,-0.0016489-0.00083237i,0.0028419+0.001405i,0.0004767-0.0012363i,7.7001e-05-0.0011953i,0.0029873-0.0023544i,-0.0052259-0.0021364i,-0.00023508-0.00042927i,0.00070118+0.00013211i,-0.0010255+0.0017688i,-0.0013366+0.0018195i,-0.00067405+0.00033092i,0.00077917+0.0011165i,-0.0058853-0.0009106i,0.0019312-0.0024432i,-0.00020665-0.00054674i,-0.00010072+0.00075049i,0.0014785+1.1778e-05i,0.0010297+0.00025122i,0.001289-0.00055711i,0.0025319+0.00044901i,0.0027601+0.0015557i,0.00085549+0.0016055i,0.00047397-0.00020589i,0.0013957+0.00070029i,0.0072194+0.0014218i,-0.00059575+0.00042253i,-0.00027113-0.00025427i,0.0018003-0.0014527i,0.00065732-0.00022792i,-0.00041997+0.0024941i,-0.0020137+0.0016772i,0.0015578-0.0014041i,0.0022983+0.0031449i,0.010049-0.026312i,0.0081999+0.0051175i,0.019191+0.011533i,0.00045639+0.008685i,0.0046095-0.022809i,-0.00018062+0.005646i,0.0017391+0.022519i,-0.010792+0.021599i,0.010168+0.024945i,-0.0064928+0.0043311i,0.0044288-0.0075254i,0.003781+0.0019245i,0.0034619-0.002257i,0.0090015+0.0091651i,-0.001751+0.0051222i,-0.012198-0.00037834i,0.0024474-0.010042i,0.00080474+0.01483i,0.00077649-0.004145i,0.00044878+0.00044972i,-0.0012079+0.0006003i,-0.0018567-0.001872i,0.0034826-0.0033904i,-0.0063937-0.0042423i,0.0023006+0.0002332i,-0.0062984-0.002525i,-0.0035854-0.00059757i,0.0016736+0.00085314i,-0.00098797-0.0041301i,-0.0022591-0.0032244i,-0.0028731-0.016617i,0.0050348+0.001837i,-0.0018028-0.0025593i,-0.003804+0.0010711i,-0.0058838+0.00044007i,0.0050292+0.0062937i,-0.0030894-0.0027878i,0.0021326-0.0034283i,-0.0014249-0.0031238i,-0.00022256-0.0010999i,0.0045536+0.00013924i,0.0015627+0.0014535i,0.0021-0.0019098i,-0.0046069+0.0057625i,3.4317e-06+0.0061732i,0.019299+0.0076804i,-0.018724-0.017001i,-0.030649+0.007855i,-0.013528+0.012533i,0.0025129-0.0016493i,0.0088425-0.0055292i,-0.0093186-0.0040114i
0.028616-0.022834i,0.012512-0.012438i,0.013954-0.017279i,0.0049981-0.010821i,0.0046039-0.017614i,-0.0045664-0.0051892i,0.014809-0.011289i,-0.0046478-0.014237i,-0.0079147-0.010923i,0.0043194+0.00046569i,-0.00052055-0.00012926i,-0.0017891+0.00023921i,0.0029711+0.00027715i,0.00029646-0.0009927i,-6.8684e-05-0.0012854i,0.0029049-0.0031875i,-0.0055659-0.00033917i,-0.00027823-0.00048411i,0.00053264-0.00010064i,-0.00038928+0.0019368i,-0.00091404+0.0021882i,-0.00082683+0.00048344i,0.0010244+0.00077742i,-0.0047224+0.0020389i,0.0009587-0.0025723i,-0.00033304-0.00034567i,0.00012188+0.00064814i,0.0012839-0.00049085i,0.0010956+0.00015377i,0.00083371-0.00099963i,0.0026355-0.00062068i,0.0031783+0.00078035i,0.0014472+0.0011325i,0.00052937-0.00053579i,0.0021185+0.00034022i,0.0069408-0.00019595i,-0.00017672+0.001076i,-0.00023327-6.034e-06i,0.00093436-0.0018727i,0.0009448-0.0007355i,0.00045879+0.002514i,-0.00076659+0.0026512i,0.0010725-0.0015005i,0.0028473+0.003318i,0.0044639-0.027166i,0.0068235+0.002549i,0.020093+0.0078319i,0.0019714+0.0076917i,-0.0014655-0.023708i,0.0028681+0.0078945i,0.007945+0.02015i,-0.003306+0.020305i,0.016397+0.018879i,-0.0023332+0.0060267i,0.0027552-0.0079761i,0.0038047-0.00087225i,0.0026046-0.003541i,0.0096942+0.0040721i,-8.3608e-05+0.0046361i,-0.011429+0.0063005i,-0.0015886-0.0090594i,0.0038785+0.012273i,-0.0037299-0.0040086i,-4.9731e-05+0.00077722i,-0.00089894+0.0012396i,-0.0013592-0.0020804i,0.0034332-0.002169i,-0.0060914-0.0018829i,0.0024264+0.00031774i,-0.0064319+0.00050356i,-0.0026506+0.00025722i,0.0012864-0.0002017i,-0.0030554-0.0042994i,-0.003151-0.0021136i,-0.007816-0.013838i,0.0047667-0.0007792i,-0.0026733-0.0019113i,-0.0026923+0.0020494i,-0.0044011+0.0021699i,0.0070118+0.0052465i,-0.0047285-0.0012035i,0.00084303-0.0049266i,-0.0027711-0.0020433i,-0.0014849-0.0016817i,0.0049004-0.0020248i,0.0020677+0.0015926i,0.0018983-0.0014355i,-0.0020985+0.0080216i,0.00051658+0.005091i,0.022282+0.0013837i,-0.023517-0.0087567i,-0.032671+0.013859i,-0.0089369+0.013231i,0.001893+4.5862e-05i,0.0051027-0.002115i,-0.011452-0.0028699i
