-0.032077-0.039533i,-0.021338-0.01995i,-0.012655-0.035904i,-0.029894-0.020274i,-0.021972-0.00016799i,-0.013904-0.0060275i,-0.055484-0.058516i,-0.047257-0.017018i,-0.038146-0.012568i,0.012264+0.012436i,-0.007447+0.004818i,-0.018894+0.019143i,0.0017653+0.012076i,-0.005355-0.0018604i,0.00019775+0.0014371i,-0.0020216+0.03119i,0.026219+0.025208i,0.0021079-0.002373i,-0.0021757-0.0073635i,0.0081715+0.0023076i,0.0028425+0.00086478i,-2.7081e-05+0.0029151i,-0.00033386+0.00034421i,-0.036991-0.011655i,0.00022783-0.0078055i,0.0015364+0.0022773i,0.0067844+0.00017276i,0.0020734+0.00035709i,0.0010313-0.00023664i,-0.00047877-0.0026838i,0.0013-0.0024993i,-0.0019168-0.0061829i,-0.00064554-0.0049229i,0.0026972-0.00071845i,0.0046693-0.0032155i,0.00029998+0.029789i,0.004142-0.0039662i,0.0029147-0.0015307i,0.008402-0.0016682i,-0.006685-0.0039887i,-0.00013508+0.00086213i,0.0091013-0.00049881i,0.004614-0.003177i,-0.0015101+0.0085764i,-0.017628-0.007253i,-0.018534+0.015913i,-0.0027879-0.061972i,-0.0052243-0.027082i,-0.026889-0.032449i,-0.011011-0.026674i,0.055516-0.020644i,0.017008-0.042705i,0.023144-0.048242i,0.0051384-0.052493i,0.026783-0.020839i,0.0083461+0.0059444i,0.02503-0.035122i,-0.0086261-0.0065433i,0.0042241-0.0048466i,-0.0044838-0.0072193i,-0.0015861-0.032772i,-0.018088+0.029751i,0.0089013-0.011732i,-0.0087278-0.0046511i,-0.0044539-0.0011942i,0.0017171-0.012545i,-0.010964+0.0043507i,0.0023568+0.010028i,-0.0052117+0.026177i,0.0052526+0.0030114i,-0.0054879-0.0014089i,-0.0019023-0.0019411i,-0.012366-0.0079487i,-0.00073984-0.0038978i,-0.021849+0.011546i,0.0012946-0.010818i,-0.0083418-0.00032244i,-0.0068193-0.0015157i,0.0053277+0.0013796i,-0.007816+0.00036375i,0.0022627-9.263e-05i,0.0035386+0.0071348i,0.0041969+0.00018251i,-0.0073834-0.011422i,0.0028288+0.0095379i,-0.015702+0.0039424i,0.0069264-0.00034234i,-0.021881-0.00021386i,-0.01722+0.0067392i,-0.0077974-0.067289i,0.0080881-0.013114i,-0.049541-0.02254i,-0.021281+0.00082786i,0.017295+0.010494i,-0.023835+0.014372i,-0.019999-0.0046921i
0.026695+0.034368i,0.014455+0.014737i,0.017629+0.024754i,0.0067274+0.019088i,0.0085069+0.0071911i,0.0045629-0.0009561i,0.015423+0.012569i,0.015247-0.002282i,0.0077696-0.0081047i,0.0021223+0.0036361i,0.0019449-0.0026355i,0.00059539-0.005084i,-0.0018773+0.00091124i,0.0012698-0.0014878i,0.001896-0.00062471i,0.0053877-0.0023558i,0.0053664-0.0054841i,0.00019801+0.0001332i,-0.0047951+0.00055064i,4.862e-05+0.00057934i,-0.00081053-0.0010475i,-0.0026181-0.0010939i,-0.0015985+0.00092762i,0.0033664+0.0083722i,-0.0011345+0.0012168i,0.00054335+0.0016548i,0.0012343+0.00086559i,-0.0018338+0.0025962i,-0.00087373+0.00040652i,-0.001476+0.000494i,-0.0016307-0.0012322i,-0.0034128-0.0014943i,-7.2221e-05+0.00021087i,0.00018639+0.00020902i,-0.00035901-0.00084681i,-0.010463+0.0081059i,0.0017161-0.0002424i,0.00051133+0.0010896i,0.0029812+0.0031153i,-0.00022059-0.001513i,-0.00041549-0.00078646i,5.6319e-05-0.0015333i,0.00089353+0.0016866i,-0.00050284+0.0012437i,0.019739+0.013457i,-0.023416+0.013201i,-0.011538+0.016776i,-0.022674+0.011613i,-0.0037365+0.037805i,-0.021475+0.014759i,0.0022721-0.0045499i,-0.011899-0.016898i,-0.018995-0.00029191i,-0.0093335+0.015835i,0.020377+0.01915i,-0.00028077+0.0025059i,-0.003774+0.00073538i,-0.012567-0.0044392i,0.011328+0.0012352i,0.012683+0.01006i,-0.00030746+0.0053673i,-0.005608-0.0066945i,0.0061752-0.0029021i,-0.0033467-0.0042059i,0.0037897-0.0084065i,0.0087974-0.0028582i,-0.0014015+0.010454i,0.011883-0.0057978i,0.0036796-0.008271i,0.002387-0.0096239i,0.0021879+0.00083202i,-0.0020692-0.0056116i,-0.0039072-0.0016341i,0.0024894-0.00013245i,0.00039268+0.035796i,-0.0085444-0.0062639i,0.00018485+0.00099642i,-0.0013973-0.0073242i,0.0030307-0.00051311i,-0.016216-0.005915i,-0.0012593-0.0036665i,0.0026772-0.0022832i,0.0028933-0.0015497i,-0.00216-0.0071778i,0.00030982+0.0070097i,-0.0001295+0.0032379i,-0.003505+0.0039891i,-0.0060438+0.0028844i,-0.0061407-0.0012674i,-0.0041887+0.027935i,-0.002079+0.014557i,-0.026913-0.010736i,-0.0011789-0.0025484i,0.013725+0.0185i,-0.00032074+0.017291i,-0.00064421-0.0045369i
0.03217+0.028539i,0.016772+0.010862i,0.021797+0.021643i,0.0099305+0.018612i,0.010623+0.0059314i,0.0046746-0.00233i,0.015486+0.0088195i,0.014628-0.0046488i,0.0057013-0.0095222i,0.0031825+0.0026494i,0.0016777-0.0027449i,-0.0013416-0.0035245i,-0.0012153+0.0014965i,0.00098821-0.0004809i,0.0017145-0.00093232i,0.0042483-0.002841i,0.0036048-0.0059542i,0.00061769+4.076e-05i,-0.0043083+0.00024965i,0.00033394-3.2913e-05i,-0.00092088-0.0012693i,-0.0027499-0.00049124i,-0.0012349+0.0010354i,0.0073667+0.0063746i,-0.0011632+0.002555i,0.0013697+0.0012976i,0.0010476-3.0205e-05i,-0.00071722+0.002983i,-0.0010865+0.00091633i,-0.0012871+0.0011633i,-0.0019588-0.00048015i,-0.0029971+0.00064281i,-0.0002503+9.3949e-05i,0.00044493-0.0001973i,-0.00077663-1.7066e-05i,-0.0065696+0.010182i,0.0011182-0.00074678i,0.00078983+0.001079i,0.0026631+0.0014694i,-0.00032099-0.0012143i,-0.00069346-0.0010657i,-0.0005221-0.00096372i,0.0012334+0.0014541i,-0.00083138+0.0014746i,0.022619+0.010254i,-0.018781+0.016373i,-0.010433+0.019399i,-0.017764+0.013241i,0.0077169+0.034072i,-0.012415+0.017053i,-0.0043881-0.007951i,-0.019517-0.017519i,-0.021222-0.00030036i,-0.0017269+0.011787i,0.021087+0.011897i,-0.00093185+0.0024239i,-0.0024962+0.0045086i,-0.012581-9.0932e-05i,0.0098783-0.0028881i,0.013719+0.0064261i,0.0028059+0.0076687i,-0.0094826-0.0053109i,0.0019698-0.0045109i,-0.003649-0.0020704i,-0.0013129-0.0078628i,0.0070538-0.0055717i,0.0031914+0.0083684i,0.0069539-0.0087419i,-0.0010559-0.0087705i,-0.0012937-0.0061705i,0.0037346+2.5276e-06i,-0.0032731-0.0049372i,-0.0020323+0.00095475i,0.0031745-0.00057686i,0.017825+0.027452i,-0.010533-0.0044952i,0.00095521+0.00035558i,-0.004649-0.0058301i,0.0036908-0.0018904i,-0.016629+0.0017442i,-0.0018081-0.0031437i,0.0014081-0.0022718i,0.0028445-0.0028582i,-0.0042097-0.0053754i,0.0021875+0.003324i,0.001227+0.0025785i,-0.0008291+0.0054413i,-0.0038679+0.0047773i,-0.0069441-0.00022744i,0.0017637+0.023679i,0.00031724+0.015949i,-0.028957-0.0036589i,-0.0024717-0.006284i,0.016195+0.016009i,0.0026322+0.018265i,-0.0032591-0.0048191i
0.036052+0.021492i,0.017603+0.0061011i,0.026334+0.01602i,0.014374+0.016012i,0.012926+0.0039267i,0.0043477-0.0039947i,0.014885+0.005205i,0.01384-0.0074764i,0.0037507-0.0098336i,0.0033127+0.0014203i,0.0011242-0.0034754i,-0.001527-0.0017236i,-0.00065734+0.0014936i,0.0018034-0.00043875i,0.0014402-0.0011963i,0.0032157-0.0032983i,0.0019637-0.0065196i,0.00056897-0.00037517i,-0.0031072+0.0016884i,1.6123e-05-0.00071254i,-0.0017453-0.0016681i,-0.0024546+0.00019622i,-0.00097782+0.0011182i,0.0090311+0.0019585i,7.4244e-05+0.0034532i,0.0012634+0.00038367i,0.00056071-0.00031736i,0.0005917+0.0026686i,-0.00060987+0.0015436i,-0.00080463+0.0016719i,-0.0022484+0.0004433i,-0.0021961+0.0022692i,-0.0002693+0.00012117i,0.00056299-0.00044268i,-0.00049378+0.0006902i,-0.0038058+0.010681i,0.00061831-0.00081935i,0.0013712+0.00066231i,0.0020817+0.00060362i,-0.00056956-0.0010434i,-0.0014043-0.00091212i,-0.00056718-0.00077178i,0.0014167+0.0015299i,-0.00063427+0.0020477i,0.026051+0.0060295i,-0.014038+0.018532i,-0.0074815+0.022556i,-0.012172+0.012679i,0.018194+0.026715i,-0.0057805+0.017554i,-0.011793-0.0071575i,-0.0258-0.014686i,-0.021653+0.0028524i,0.0028552+0.0052459i,0.020339+0.0048865i,-0.0014614+0.0023825i,-0.00092701+0.0046323i,-0.012605+0.00296i,0.0061269-0.0073629i,0.014212+0.0021357i,0.0062753+0.0074682i,-0.012926-0.0023486i,0.00032904-0.0028721i,-0.0035525-0.00021167i,-0.0038076-0.0051699i,0.0045987-0.0068203i,0.0059789+0.0074279i,0.0037303-0.0088642i,-0.0059787-0.0051989i,-0.0015639-0.0031127i,0.0043553-0.0023921i,-0.0052296-0.0027683i,-0.00021501+0.00079679i,0.0026813-0.0019675i,0.02677+0.011811i,-0.012114-0.00048213i,0.0014351-0.00030233i,-0.0042701-0.0036016i,0.0038735-0.0039429i,-0.012843+0.0081714i,-0.0020288-0.0023593i,0.00043205-0.0022206i,0.001576-0.0035903i,-0.0048552-0.0027505i,0.0013033+0.0023419i,0.0019149+0.0014951i,0.0018146+0.005323i,-0.0018446+0.0047567i,-0.007413+0.0016i,0.0040082+0.019083i,0.0074852+0.015377i,-0.028233+0.00075425i,-0.0047536-0.0088918i,0.019271+0.010728i,0.0068678+0.01895i,-0.0052796-0.0038894i
0.037848+0.014692i,0.016438+0.0026108i,0.02785+0.0090383i,0.017532+0.011033i,0.014499+0.000788i,0.003151-0.0054354i,0.01354+0.0027162i,0.012033-0.010131i,0.002381-0.010107i,0.0028696+0.00072664i,-0.00018278-0.0033406i,-0.00087922-0.00082131i,-0.00050074+0.0016661i,0.0017729-0.00057099i,0.0010408-0.0013716i,0.0020211-0.003183i,-9.6044e-05-0.0059287i,0.00042142-0.00047434i,-0.0017525+0.0027295i,-0.00063716-0.00085004i,-0.0025108-0.00069547i,-0.0023608+0.00068067i,-0.00075878+0.0011987i,0.0083125-0.0018531i,0.0015319+0.0035074i,0.00073782+0.00014719i,0.00014021-0.00019462i,0.0011424+0.0019542i,2.4988e-05+0.0015676i,-0.00011173+0.0019116i,-0.0018999+0.0015611i,-0.0013265+0.0025649i,-0.00024908+0.0001842i,0.0003592-0.00044511i,8.1113e-06+0.0009677i,-0.0010688+0.010885i,0.00035558-0.00089317i,0.0015138-0.00025584i,0.0015154+0.00057483i,-0.00091931-0.00062581i,-0.0017631-0.00052619i,-0.00091364-0.00088419i,0.001966+0.0015111i,-0.00020794+0.0025023i,0.028171-0.00057376i,-0.0088513+0.019907i,-0.0026316+0.025137i,-0.0098828+0.0098388i,0.025885+0.014501i,0.00025158+0.013932i,-0.018425-0.0023051i,-0.031925-0.0093086i,-0.02066+0.010631i,0.0028392-0.0025473i,0.018767-0.00060473i,-0.0016889+0.0033594i,0.00015509+0.0061532i,-0.01151+0.0068026i,-0.00023597-0.0076409i,0.013719-0.0026432i,0.0093839+0.0056418i,-0.01501+0.0028783i,-0.00057016-0.0021721i,-0.002588+0.0011094i,-0.0047206-0.0017812i,0.0024197-0.0075605i,0.0086046+0.0037867i,0.0014858-0.0091443i,-0.0060445+0.0011111i,-0.00059919-0.0018511i,0.0029405-0.0046353i,-0.005849+0.0010915i,0.0010166+0.00061974i,0.0017205-0.0027031i,0.023504-0.0044138i,-0.010314+0.0050696i,0.0016814-0.0012223i,-0.0042046-0.0018554i,0.0019083-0.0064799i,-0.007241+0.010843i,-0.0017937-0.0018258i,-0.00022301-0.0015211i,0.00010616-0.0036556i,-0.00344-0.0014115i,0.0011198+0.0024105i,0.0017345+0.0002725i,0.0039853+0.0041979i,-0.00032978+0.0035682i,-0.0074707+0.0033229i,0.0050987+0.017135i,0.015457+0.0086197i,-0.026088+0.0053014i,-0.0092803-0.010597i,0.018537+0.0051749i,0.011454+0.017513i,-0.0056514-0.0027983i
0.039003+0.0080878i,0.015868+0.00060581i,0.027672+0.0033781i,0.018874+0.0057722i,0.014836-0.0026312i,0.0017868-0.0062905i,0.012474+0.0015276i,0.0097671-0.012179i,0.0011494-0.010629i,0.0026242+0.00026032i,-0.00072817-0.0025549i,-0.00029988-0.00076393i,-0.00028889+0.0021491i,0.0017145-0.00094996i,0.00069391-0.0013103i,0.001538-0.0023941i,-0.0010537-0.0050261i,0.00018141-0.00044976i,-0.00054077+0.0025143i,-0.0011823-0.00062726i,-0.0025411+3.5979e-05i,-0.0018615+0.0013556i,-0.00047811+0.0013354i,0.0058593-0.0047062i,0.0028744+0.0030032i,0.00062953-0.00058945i,-0.00013038+1.4826e-05i,0.0013682+0.0014558i,0.00040343+0.0014968i,0.00073284+0.0018244i,-0.00094628+0.0022584i,-0.00047266+0.0026561i,-0.00044229+0.00021634i,0.00033934-0.00011044i,0.00069849+0.0010951i,0.0020666+0.010272i,-5.6171e-05-0.00089008i,0.0008851-0.00072707i,0.0017821+0.00053107i,-0.00089913-0.00015366i,-0.0019608-0.00014035i,-0.0012904-0.00074623i,0.0025765+0.0009161i,0.00024005+0.0024304i,0.027497-0.0077046i,-0.0031449+0.019733i,0.0038814+0.025406i,-0.0094505+0.0093012i,0.026196+0.0013362i,0.0026326+0.0088743i,-0.020642+0.0060797i,-0.035227+6.6377e-05i,-0.020962+0.01646i,-0.00171-0.0078317i,0.014566-0.0048622i,-0.00088431+0.004217i,0.0035573+0.006067i,-0.0088088+0.010107i,-0.0036563-0.004378i,0.010752-0.0082637i,0.012013+0.0020891i,-0.014276+0.010859i,-0.00084382-0.00054454i,-0.0014985+0.0018131i,-0.0030495+0.00041191i,-0.00065248-0.0069895i,0.0087264+0.00050573i,-0.00059314-0.00874i,-0.0027752+0.0042815i,0.00042562-0.0019725i,0.00088702-0.0058215i,-0.0041926+0.0029833i,0.0021977-0.00037751i,0.0010692-0.0026862i,0.017598-0.011622i,-0.0059561+0.0078589i,0.0011034-0.0022533i,-0.0032608-0.0015837i,-0.00095991-0.007055i,-0.0028859+0.010636i,-0.0023216-0.0017689i,-9.9816e-05-0.00037733i,-0.00027138-0.0030352i,-0.0040795-0.00023787i,0.0021171+0.0029796i,0.00078512-0.00023314i,0.0042731+0.0010974i,-0.00065266+0.0020713i,-0.0065275+0.0055701i,0.0072216+0.015874i,0.017159-0.0036586i,-0.02179+0.0062996i,-0.014832-0.0096753i,0.017232+0.00090481i,0.015578+0.01339i,-0.0065675-0.0028093i
0.0392+0.0013656i,0.015908-0.0017502i,0.02754-0.0021451i,0.019104+0.0003493i,0.014633-0.0059138i,0.00031809-0.0068361i,0.012695+0.00068121i,0.0072671-0.013743i,-0.00025775-0.011272i,0.0019887-0.00011297i,-0.00084986-0.00222i,-4.4226e-05-0.000817i,0.00053908+0.0026027i,0.0015527-0.0010715i,0.00053682-0.0012395i,0.0018197-0.0017811i,-0.0017007-0.0047745i,0.00014022-0.0004878i,0.00019029+0.0019286i,-0.0015217-0.00013752i,-0.0020152+0.00064527i,-0.00098495+0.0014825i,-0.00013776+0.0013846i,0.0022695-0.0052172i,0.0042776+0.0019519i,0.00039298-0.00073374i,-0.00020261+0.00018317i,0.0015805+0.0010218i,0.00082124+0.0013274i,0.0013272+0.0012444i,0.00011725+0.0024018i,0.0005876+0.0029737i,-0.00050953+0.00061354i,0.00048661-0.00018047i,0.0010865+0.00068477i,0.0039086+0.0083989i,-0.00045816-0.00063099i,0.00053758-0.00078712i,0.0016367+0.00012728i,-0.00056695+0.00012105i,-0.0020678+0.00043196i,-0.0019002-0.00046085i,0.00267+0.00030416i,0.00045473+0.0025768i,0.0251-0.014012i,0.0021211+0.017655i,0.0097056+0.02326i,-0.0083888+0.0099085i,0.023369-0.009619i,0.0021313+0.0051836i,-0.018074+0.014607i,-0.033141+0.010446i,-0.015859+0.022555i,-0.0081392-0.0079677i,0.01033-0.0063925i,0.00034794+0.0044264i,0.0057528+0.0036674i,-0.0052705+0.013004i,-0.0046444-0.0015029i,0.0048354-0.012663i,0.01182-0.0028579i,-0.0065298+0.013453i,6.5046e-05+0.00020431i,-0.00026372+0.0018551i,-0.0015854+0.00077254i,-0.0022994-0.0050704i,0.0074077-0.0018583i,-0.0018345-0.0081007i,0.00077042+0.0035506i,0.00069426-0.0032147i,-0.0016277-0.0055413i,-0.0025857+0.0032573i,0.0021282-0.0022235i,0.00083748-0.0027894i,0.0021294-0.014112i,-0.0018749+0.0083278i,0.00017377-0.0025438i,-0.0034507-0.001002i,-0.0040254-0.0059973i,0.0004034+0.0097328i,-0.0011653-0.00053524i,0.0011224-0.00011742i,-0.00087622-0.0036536i,-0.0022582+0.0013971i,0.0023101-0.0011025i,4.508e-05+0.0003186i,0.011668-0.0047254i,-0.0017269+0.001373i,-0.0045116+0.0070247i,0.0095669+0.014225i,0.011284-0.013539i,-0.020095+0.0034648i,-0.020055-0.0056092i,0.013975-0.004161i,0.016782+0.0084976i,-0.0074974-0.0019313i
0.038096-0.0054547i,0.015264-0.0045247i,0.025383-0.0088457i,0.017038-0.0056877i,0.013865-0.0096188i,-0.0013958-0.006888i,0.013597-0.00075454i,0.0044894-0.015132i,-0.0020894-0.011531i,0.0013752+0.0002727i,-0.0014247-0.0018381i,-0.00017147-0.001483i,0.0014923+0.0025024i,0.0012618-0.0013337i,0.00037015-0.0012207i,0.0023768-0.001879i,-0.0028116-0.0044679i,-0.00018783-0.00056682i,0.00068368+0.0013093i,-0.0017664+0.00047155i,-0.0018712+0.00076341i,-0.00029508+0.001053i,0.0001728+0.0013165i,0.0014935-0.00030313i,0.0048911-0.00043857i,0.00021568-0.00072965i,-0.00050985+0.00031729i,0.0016048+0.00062207i,0.0012455+0.00090389i,0.0015264+0.00052586i,0.0012287+0.0021344i,0.0014303+0.0027423i,-0.00045533+0.0009515i,0.00054215-0.00028838i,0.0010903+0.00019745i,0.0046405+0.0061785i,-0.00067524-0.00035782i,8.3621e-05-0.00073535i,0.0018812-0.00012829i,-0.00018771+0.0001396i,-0.0019909+0.0011847i,-0.0019527+0.00030069i,0.0025955-0.0003357i,0.0010025+0.0033221i,0.02118-0.019433i,0.0060256+0.014183i,0.014213+0.019781i,-0.0057523+0.010979i,0.016729-0.017694i,0.0008927+0.0036197i,-0.012112+0.019884i,-0.026036+0.017731i,-0.0070312+0.025706i,-0.012319-0.0038648i,0.0070817-0.006604i,0.0015014+0.0040812i,0.0057244+0.00069149i,-0.0005566+0.013807i,-0.0052404+0.00092116i,-0.0036977-0.012495i,0.0094838-0.0068122i,-0.0037297+0.012573i,0.0010692-0.00044006i,0.00067921+0.0013201i,-0.0011033+0.00022835i,-0.0025285-0.0033716i,0.0058856-0.0027629i,-0.0035829-0.0081233i,0.00182+0.0023769i,-0.0005517-0.0050373i,-0.0034171-0.004227i,-0.0008284+0.0036461i,0.00065302-0.0033374i,0.00025818-0.0033283i,0.0089648-0.00068135i,0.0016075+0.0074571i,-0.0004351-0.0024581i,-0.0028997-0.00067691i,-0.0057379-0.0041885i,0.0029101+0.0082761i,-0.0005674-0.0014319i,0.0018762-0.00090544i,-0.0026935-0.0033662i,-0.00072532+0.00095014i,0.0024745+0.0011503i,2.7781e-05+0.0013733i,0.0061025-0.00080757i,-0.0026295+0.0018068i,-0.0024695+0.0072811i,0.012161+0.012592i,0.0026352-0.019737i,-0.023174+0.0015257i,-0.022995+0.0010398i,0.0076763-0.0062003i,0.016957+0.0039775i,-0.0071569-0.0016731i
0.035764-0.011651i,0.014605-0.0064415i,0.021004-0.013257i,0.012523-0.0098128i,0.011737-0.013233i,-0.0028198-0.0063775i,0.014617-0.0029216i,0.0012452-0.015637i,-0.0038395-0.01162i,0.0016441+0.00082102i,-0.0017582-0.00088763i,-0.0010874-0.0015959i,0.0023603+0.0021005i,0.00083579-0.0013977i,0.00023515-0.0012107i,0.0026125-0.0020693i,-0.0042541-0.0033046i,-0.00037194-0.00029562i,0.00081929+0.00065882i,-0.0015903+0.0013134i,-0.0019743+0.0014287i,-0.00043859+0.00038405i,0.00046025+0.0012447i,-0.010194-0.00049119i,0.0038208-0.0024237i,-6.6518e-05-0.00061778i,-0.00048143+0.00072273i,0.0015182+0.00036995i,0.0011806+0.00023307i,0.00147-3.0162e-05i,0.0020497+0.0014087i,0.0023367+0.0021966i,-8.6182e-05+0.0013945i,0.00037983-0.00030722i,0.00098985+0.00028074i,0.005078+0.0045465i,-0.00080498-2.9309e-05i,-0.00020722-0.00043874i,0.0021606-0.00069221i,0.00020885+4.9837e-05i,-0.00151+0.0019364i,-0.0016846+0.00081787i,0.0022856-0.00094048i,0.0020104+0.003097i,0.016006-0.023528i,0.0083767+0.010075i,0.017416+0.01565i,-0.0023043+0.010538i,0.009671-0.021009i,-0.000218+0.0036368i,-0.0053639+0.022087i,-0.018114+0.020268i,0.0026562+0.025145i,-0.01274+0.0018651i,0.005479-0.0063692i,0.0027685+0.0034152i,0.0045278-0.0011684i,0.0041083+0.012443i,-0.0043749+0.0041208i,-0.010282-0.0072528i,0.0060821-0.008836i,-0.0017567+0.012423i,0.00086731-0.0018303i,0.00099489+0.00076002i,-0.0011686+0.00023528i,-0.002083-0.0022527i,0.0047851-0.0036912i,-0.0062707-0.0076962i,0.0022753+0.00093031i,-0.0038827-0.0054468i,-0.0042994-0.0023725i,0.0011411+0.0027887i,-0.0002012-0.0036829i,-0.00087516-0.0038704i,0.0088882-0.010018i,0.0041581+0.0053369i,-0.00097487-0.0025774i,-0.0035526-0.00046275i,-0.0067604-0.0015746i,0.0042124+0.0067864i,-0.0013568-0.0024132i,0.0024582-0.0019341i,-0.010041+0.00032166i,-6.122e-05+0.00022261i,0.0030845+0.00060818i,0.00089774+0.0019162i,0.0040623-0.0019319i,-0.0030882+0.0029688i,-0.00092733+0.0067966i,0.016061+0.010089i,-0.008563-0.021343i,-0.027271+0.0035423i,-0.021085+0.0088092i,0.003437-0.0036091i,0.014922-0.00067039i,-0.0072828-0.003022i
0.032726-0.017279i,0.014217-0.0092153i,0.017347-0.015543i,0.0081114-0.01095i,0.0086463-0.016104i,-0.0037794-0.0056632i,0.015686-0.0063017i,-0.0018667-0.015406i,-0.0057852-0.011472i,0.0021036+0.00081581i,-0.0012534-0.00010003i,-0.0017501-0.00079213i,0.002804+0.0011332i,0.00049352-0.0014348i,0.00013054-0.0012018i,0.0028939-0.0024152i,-0.0049193-0.001695i,-0.0003824-0.00027415i,0.00070622+9.5262e-05i,-0.001003+0.0017707i,-0.0013323+0.0017007i,-0.00071063+0.00035455i,0.00078719+0.0010841i,-0.0062593-0.00030031i,0.0024086-0.0036391i,-0.00021598-0.00047054i,-9.5943e-05+0.00083395i,0.0015966+4.0766e-05i,0.00092766+0.00013516i,0.0012653-0.00052946i,0.0025471+0.00048662i,0.0028465+0.0014507i,0.00065094+0.0014451i,0.00047461-0.00023912i,0.0014139+0.00043605i,0.0051295+0.0024318i,-0.00074603+0.00080641i,-0.00022448-0.00021402i,0.0019173-0.0016723i,0.00066468-0.00025825i,-0.00060749+0.0023213i,-0.001498+0.0017506i,0.0017931-0.0014071i,0.0025049+0.0027433i,0.010317-0.025857i,0.0088168+0.0056973i,0.019597+0.011469i,0.00010912+0.0086755i,0.0035636-0.022187i,-0.00013109+0.0056709i,0.0014775+0.02234i,-0.011361+0.021266i,0.010808+0.02096i,-0.0092033+0.0066826i,0.0041221-0.0069731i,0.0038575+0.0017699i,0.0037252-0.0023615i,0.0081438+0.0088034i,-0.0017289+0.0052867i,-0.012246-0.0003052i,0.0024852-0.0095212i,0.00051513+0.012168i,0.00011421-0.0017518i,0.00050718+0.0003539i,-0.0011581+0.00075279i,-0.0018769-0.0018791i,0.0034821-0.0032781i,-0.0080517-0.005255i,0.0020053+4.573e-05i,-0.0068406-0.0028895i,-0.0037995-0.0006851i,0.0017626+0.00084981i,-0.0010809-0.0040798i,-0.0021266-0.0033705i,0.0022645-0.01278i,0.0053725+0.0025019i,-0.0019134-0.0025058i,-0.0036892+0.00094788i,-0.0058933+0.0012755i,0.0056072+0.0058238i,-0.0031239-0.0025489i,0.0020982-0.0036445i,-0.00014611-0.0039235i,-9.0834e-05-0.00093188i,0.0035808+7.2259e-05i,0.0017642+0.0016388i,0.0023957-0.0016134i,-0.0030202+0.0042811i,0.00022786+0.0061523i,0.019649+0.0055775i,-0.018775-0.017484i,-0.029875+0.0075371i,-0.015686+0.012381i,0.0025433-0.0016564i,0.012091-0.0029329i,-0.0097666-0.0034592i
0.028734-0.022239i,0.01291-0.012586i,0.014144-0.017766i,0.0049503-0.010873i,0.0048464-0.018174i,-0.0045464-0.0050348i,0.015546-0.011387i,-0.0046371-0.014588i,-0.0079613-0.010829i,0.0019697+0.001214i,-0.00059743-1.2391e-05i,-0.0018337+0.00034939i,0.0027468+0.00024779i,0.00022631-0.0011185i,-4.1743e-05-0.0012855i,0.0028515-0.0032043i,-0.0049804-3.9868e-05i,-0.00054274-0.0003242i,0.00047794-0.00017483i,-0.00033254+0.0019072i,-0.00095092+0.0020711i,-0.00086052+0.00052285i,0.0010025+0.00074516i,-0.0047776+0.0022764i,0.00098104-0.0044294i,-0.00033195-0.00031915i,0.00012177+0.00067284i,0.0014006-0.00053874i,0.00099482-8.4724e-06i,0.00081976-0.00097947i,0.002695-0.00064059i,0.0032372+0.00068306i,0.0012163+0.0011446i,0.0005164-0.00056368i,0.0021107-8.7829e-06i,0.0052775+1.131e-05i,-0.00026856+0.0015217i,-0.00019414-1.6169e-06i,0.00090201-0.0020856i,0.00093256-0.00082395i,0.0002612+0.0025213i,-0.00047569+0.0023121i,0.001215-0.001542i,0.0028874+0.0028269i,0.0049152-0.026631i,0.0074614+0.0029605i,0.020636+0.0073593i,0.0015862+0.0078648i,-0.0025707-0.023229i,0.0028806+0.0079009i,0.007709+0.02011i,-0.0040066+0.020237i,0.016488+0.014659i,-0.0034106+0.008688i,0.0028903-0.0075373i,0.0037967-0.00098805i,0.0028215-0.0038272i,0.0090979+0.0038189i,3.6784e-06+0.004753i,-0.011426+0.00647i,-0.0012389-0.0087781i,0.0032745+0.010265i,-0.0019906-0.0042952i,-4.2879e-05+0.00074583i,-0.00081558+0.0013235i,-0.0013818-0.0020226i,0.0035915-0.0021416i,-0.0075989-0.0017928i,0.0021486+6.2229e-05i,-0.0075531+0.00067123i,-0.0028487+0.00029552i,0.0012756-0.00024271i,-0.0031171-0.0044651i,-0.0030413-0.0022517i,-0.0035091-0.011677i,0.0053269-0.00028714i,-0.0026806-0.0017667i,-0.0026172+0.00208i,-0.0042573+0.0025793i,0.007758+0.0044368i,-0.0047298-0.0010886i,0.00062587-0.0049265i,-0.0023187-0.0024579i,-0.0011182-0.0016008i,0.004238-0.0011584i,0.0024256+0.0013905i,0.0020991-0.0010402i,-0.0011849+0.0054961i,0.0007286+0.0050674i,0.021777-0.0010195i,-0.024064-0.0090492i,-0.031841+0.013237i,-0.010979+0.013425i,0.0016098+9.0925e-05i,0.0097323-0.0038423i,-0.011597-0.0024636i
